context: Timing and Subtitles brought to you by The Little Lover Team @Viki response:	I won't take the entrance exam. I know exactly what I want to do.
context: Okay, this is it for today.\- Let's go eat pancakes. - pancakes? Okay.\- How about this? - I want more normal clothes.\Normal clothes...\I don't know too much about women's clothes.\Then...\- How about this? - It's not cute.\- How about this? - Weird. response:	Then, how about this?
context: - Let's go eat pancakes. - pancakes? Okay.\- How about this? - I want more normal clothes.\Normal clothes...\I don't know too much about women's clothes.\Then...\- How about this? - It's not cute.\- How about this? - Weird.\Then, how about this? response:	That's cute!
context: - How about this? - I want more normal clothes.\Normal clothes...\I don't know too much about women's clothes.\Then...\- How about this? - It's not cute.\- How about this? - Weird.\Then, how about this?\That's cute! response:	Then, I'll get this.
context: Normal clothes...\I don't know too much about women's clothes.\Then...\- How about this? - It's not cute.\- How about this? - Weird.\Then, how about this?\That's cute!\Then, I'll get this. response:	Hmm?
context: I don't know too much about women's clothes.\Then...\- How about this? - It's not cute.\- How about this? - Weird.\Then, how about this?\That's cute!\Then, I'll get this.\Hmm? response:	Gross.
context: Then...\- How about this? - It's not cute.\- How about this? - Weird.\Then, how about this?\That's cute!\Then, I'll get this.\Hmm?\Gross. response:	It's so good!
context: - How about this? - It's not cute.\- How about this? - Weird.\Then, how about this?\That's cute!\Then, I'll get this.\Hmm?\Gross.\It's so good! response:	Don't get my uniform dirty.
context: - How about this? - Weird.\Then, how about this?\That's cute!\Then, I'll get this.\Hmm?\Gross.\It's so good!\Don't get my uniform dirty. response:	Being small is nice at a time like this.
context: Then, how about this?\That's cute!\Then, I'll get this.\Hmm?\Gross.\It's so good!\Don't get my uniform dirty.\Being small is nice at a time like this. response:	I can eat more than usual.
context: That's cute!\Then, I'll get this.\Hmm?\Gross.\It's so good!\Don't get my uniform dirty.\Being small is nice at a time like this.\I can eat more than usual. response:	You are so carefree.
context: Then, I'll get this.\Hmm?\Gross.\It's so good!\Don't get my uniform dirty.\Being small is nice at a time like this.\I can eat more than usual.\You are so carefree. response:	Sorry.
context: Hmm?\Gross.\It's so good!\Don't get my uniform dirty.\Being small is nice at a time like this.\I can eat more than usual.\You are so carefree.\Sorry. response:	It's been four days already.
context: Gross.\It's so good!\Don't get my uniform dirty.\Being small is nice at a time like this.\I can eat more than usual.\You are so carefree.\Sorry.\It's been four days already. response:	No sign of getting back to normal size?
context: It's so good!\Don't get my uniform dirty.\Being small is nice at a time like this.\I can eat more than usual.\You are so carefree.\Sorry.\It's been four days already.\No sign of getting back to normal size? response:	I don't know.
context: Don't get my uniform dirty.\Being small is nice at a time like this.\I can eat more than usual.\You are so carefree.\Sorry.\It's been four days already.\No sign of getting back to normal size?\I don't know. response:	I see.
context: Being small is nice at a time like this.\I can eat more than usual.\You are so carefree.\Sorry.\It's been four days already.\No sign of getting back to normal size?\I don't know.\I see. response:	Yup.
context: I can eat more than usual.\You are so carefree.\Sorry.\It's been four days already.\No sign of getting back to normal size?\I don't know.\I see.\Yup. response:	I'm sorry.
context: You are so carefree.\Sorry.\It's been four days already.\No sign of getting back to normal size?\I don't know.\I see.\Yup.\I'm sorry. response:	Eat quickly. It's gonna melt.
context: Sorry.\It's been four days already.\No sign of getting back to normal size?\I don't know.\I see.\Yup.\I'm sorry.\Eat quickly. It's gonna melt. response:	Ah.
context: It's been four days already.\No sign of getting back to normal size?\I don't know.\I see.\Yup.\I'm sorry.\Eat quickly. It's gonna melt.\Ah. response:	Hmm?
context: No sign of getting back to normal size?\I don't know.\I see.\Yup.\I'm sorry.\Eat quickly. It's gonna melt.\Ah.\Hmm? response:	One-inch princess.
context: I don't know.\I see.\Yup.\I'm sorry.\Eat quickly. It's gonna melt.\Ah.\Hmm?\One-inch princess. response:	- One-inch princess? - Yeah.
context: I see.\Yup.\I'm sorry.\Eat quickly. It's gonna melt.\Ah.\Hmm?\One-inch princess.\- One-inch princess? - Yeah. response:	It is an old legend in this region.
context: Yup.\I'm sorry.\Eat quickly. It's gonna melt.\Ah.\Hmm?\One-inch princess.\- One-inch princess? - Yeah.\It is an old legend in this region. response:	It is a story about a cute princess who is small like one-inch boy.
context: I'm sorry.\Eat quickly. It's gonna melt.\Ah.\Hmm?\One-inch princess.\- One-inch princess? - Yeah.\It is an old legend in this region.\It is a story about a cute princess who is small like one-inch boy. response:	A small princess? I wanto to see her!
context: Eat quickly. It's gonna melt.\Ah.\Hmm?\One-inch princess.\- One-inch princess? - Yeah.\It is an old legend in this region.\It is a story about a cute princess who is small like one-inch boy.\A small princess? I wanto to see her! response:	But in the end, she became big again,
context: Ah.\Hmm?\One-inch princess.\- One-inch princess? - Yeah.\It is an old legend in this region.\It is a story about a cute princess who is small like one-inch boy.\A small princess? I wanto to see her!\But in the end, she became big again, response:	got married and had many children.
context: Hmm?\One-inch princess.\- One-inch princess? - Yeah.\It is an old legend in this region.\It is a story about a cute princess who is small like one-inch boy.\A small princess? I wanto to see her!\But in the end, she became big again,\got married and had many children. response:	And she became people's protective god.
context: One-inch princess.\- One-inch princess? - Yeah.\It is an old legend in this region.\It is a story about a cute princess who is small like one-inch boy.\A small princess? I wanto to see her!\But in the end, she became big again,\got married and had many children.\And she became people's protective god. response:	How did she become big?
context: - One-inch princess? - Yeah.\It is an old legend in this region.\It is a story about a cute princess who is small like one-inch boy.\A small princess? I wanto to see her!\But in the end, she became big again,\got married and had many children.\And she became people's protective god.\How did she become big? response:	She became big by shaking the lucky mallet stolen from an ogre
context: It is an old legend in this region.\It is a story about a cute princess who is small like one-inch boy.\A small princess? I wanto to see her!\But in the end, she became big again,\got married and had many children.\And she became people's protective god.\How did she become big?\She became big by shaking the lucky mallet stolen from an ogre response:	on a night of a full moon.
context: It is a story about a cute princess who is small like one-inch boy.\A small princess? I wanto to see her!\But in the end, she became big again,\got married and had many children.\And she became people's protective god.\How did she become big?\She became big by shaking the lucky mallet stolen from an ogre\on a night of a full moon. response:	A lucky mallet.
context: A small princess? I wanto to see her!\But in the end, she became big again,\got married and had many children.\And she became people's protective god.\How did she become big?\She became big by shaking the lucky mallet stolen from an ogre\on a night of a full moon.\A lucky mallet. response:	Eh?
context: But in the end, she became big again,\got married and had many children.\And she became people's protective god.\How did she become big?\She became big by shaking the lucky mallet stolen from an ogre\on a night of a full moon.\A lucky mallet.\Eh? response:	Well... No, no, no.
context: got married and had many children.\And she became people's protective god.\How did she become big?\She became big by shaking the lucky mallet stolen from an ogre\on a night of a full moon.\A lucky mallet.\Eh?\Well... No, no, no. response:	Ah, Minami-kun.
context: And she became people's protective god.\How did she become big?\She became big by shaking the lucky mallet stolen from an ogre\on a night of a full moon.\A lucky mallet.\Eh?\Well... No, no, no.\Ah, Minami-kun. response:	What are you doing here?
context: How did she become big?\She became big by shaking the lucky mallet stolen from an ogre\on a night of a full moon.\A lucky mallet.\Eh?\Well... No, no, no.\Ah, Minami-kun.\What are you doing here? response:	You left school in a hurry, but
context: She became big by shaking the lucky mallet stolen from an ogre\on a night of a full moon.\A lucky mallet.\Eh?\Well... No, no, no.\Ah, Minami-kun.\What are you doing here?\You left school in a hurry, but response:	you are eating ice cream alone.
context: on a night of a full moon.\A lucky mallet.\Eh?\Well... No, no, no.\Ah, Minami-kun.\What are you doing here?\You left school in a hurry, but\you are eating ice cream alone. response:	You are kind of cute.
context: A lucky mallet.\Eh?\Well... No, no, no.\Ah, Minami-kun.\What are you doing here?\You left school in a hurry, but\you are eating ice cream alone.\You are kind of cute. response:	I have no choice. I have to get in there.
context: Eh?\Well... No, no, no.\Ah, Minami-kun.\What are you doing here?\You left school in a hurry, but\you are eating ice cream alone.\You are kind of cute.\I have no choice. I have to get in there. response:	Hmm?
context: Well... No, no, no.\Ah, Minami-kun.\What are you doing here?\You left school in a hurry, but\you are eating ice cream alone.\You are kind of cute.\I have no choice. I have to get in there.\Hmm? response:	May I have a bite?
context: Ah, Minami-kun.\What are you doing here?\You left school in a hurry, but\you are eating ice cream alone.\You are kind of cute.\I have no choice. I have to get in there.\Hmm?\May I have a bite? response:	Cold.
context: What are you doing here?\You left school in a hurry, but\you are eating ice cream alone.\You are kind of cute.\I have no choice. I have to get in there.\Hmm?\May I have a bite?\Cold. response:	Nomura! Sorry.
context: You left school in a hurry, but\you are eating ice cream alone.\You are kind of cute.\I have no choice. I have to get in there.\Hmm?\May I have a bite?\Cold.\Nomura! Sorry. response:	I'm in a hurry.
context: you are eating ice cream alone.\You are kind of cute.\I have no choice. I have to get in there.\Hmm?\May I have a bite?\Cold.\Nomura! Sorry.\I'm in a hurry. response:	Hey, wait!
context: You are kind of cute.\I have no choice. I have to get in there.\Hmm?\May I have a bite?\Cold.\Nomura! Sorry.\I'm in a hurry.\Hey, wait! response:	What's with him?
context: I have no choice. I have to get in there.\Hmm?\May I have a bite?\Cold.\Nomura! Sorry.\I'm in a hurry.\Hey, wait!\What's with him? response:	Sayori-chan!
context: Hmm?\May I have a bite?\Cold.\Nomura! Sorry.\I'm in a hurry.\Hey, wait!\What's with him?\Sayori-chan! response:	You scared me. You disappeared so suddenly.
context: May I have a bite?\Cold.\Nomura! Sorry.\I'm in a hurry.\Hey, wait!\What's with him?\Sayori-chan!\You scared me. You disappeared so suddenly. response:	Masaya...
context: Cold.\Nomura! Sorry.\I'm in a hurry.\Hey, wait!\What's with him?\Sayori-chan!\You scared me. You disappeared so suddenly.\Masaya... response:	What's with your face?
context: Nomura! Sorry.\I'm in a hurry.\Hey, wait!\What's with him?\Sayori-chan!\You scared me. You disappeared so suddenly.\Masaya...\What's with your face? response:	Nothing.
context: I'm in a hurry.\Hey, wait!\What's with him?\Sayori-chan!\You scared me. You disappeared so suddenly.\Masaya...\What's with your face?\Nothing. response:	- Sorry. You wanted to eat this? - No.
context: Hey, wait!\What's with him?\Sayori-chan!\You scared me. You disappeared so suddenly.\Masaya...\What's with your face?\Nothing.\- Sorry. You wanted to eat this? - No. response:	So, it is true that Feromone has a golfer boyfriend.
context: What's with him?\Sayori-chan!\You scared me. You disappeared so suddenly.\Masaya...\What's with your face?\Nothing.\- Sorry. You wanted to eat this? - No.\So, it is true that Feromone has a golfer boyfriend. response:	Ah, Minami, Minami.
context: Sayori-chan!\You scared me. You disappeared so suddenly.\Masaya...\What's with your face?\Nothing.\- Sorry. You wanted to eat this? - No.\So, it is true that Feromone has a golfer boyfriend.\Ah, Minami, Minami. response:	According to Grandma,
context: You scared me. You disappeared so suddenly.\Masaya...\What's with your face?\Nothing.\- Sorry. You wanted to eat this? - No.\So, it is true that Feromone has a golfer boyfriend.\Ah, Minami, Minami.\According to Grandma, response:	this place has the legendary lucky mallet.
context: Masaya...\What's with your face?\Nothing.\- Sorry. You wanted to eat this? - No.\So, it is true that Feromone has a golfer boyfriend.\Ah, Minami, Minami.\According to Grandma,\this place has the legendary lucky mallet. response:	I have seen it. It is displayed only at festivals.
context: What's with your face?\Nothing.\- Sorry. You wanted to eat this? - No.\So, it is true that Feromone has a golfer boyfriend.\Ah, Minami, Minami.\According to Grandma,\this place has the legendary lucky mallet.\I have seen it. It is displayed only at festivals. response:	They say it brings you luck only by looking at it.
context: Nothing.\- Sorry. You wanted to eat this? - No.\So, it is true that Feromone has a golfer boyfriend.\Ah, Minami, Minami.\According to Grandma,\this place has the legendary lucky mallet.\I have seen it. It is displayed only at festivals.\They say it brings you luck only by looking at it. response:	So, what was it? On a night of a full moon,
context: - Sorry. You wanted to eat this? - No.\So, it is true that Feromone has a golfer boyfriend.\Ah, Minami, Minami.\According to Grandma,\this place has the legendary lucky mallet.\I have seen it. It is displayed only at festivals.\They say it brings you luck only by looking at it.\So, what was it? On a night of a full moon, response:	you are supposed to shake the mallet while you make a wish. Was it?
context: So, it is true that Feromone has a golfer boyfriend.\Ah, Minami, Minami.\According to Grandma,\this place has the legendary lucky mallet.\I have seen it. It is displayed only at festivals.\They say it brings you luck only by looking at it.\So, what was it? On a night of a full moon,\you are supposed to shake the mallet while you make a wish. Was it? response:	Right.
context: Ah, Minami, Minami.\According to Grandma,\this place has the legendary lucky mallet.\I have seen it. It is displayed only at festivals.\They say it brings you luck only by looking at it.\So, what was it? On a night of a full moon,\you are supposed to shake the mallet while you make a wish. Was it?\Right. response:	From where can I go in?
context: According to Grandma,\this place has the legendary lucky mallet.\I have seen it. It is displayed only at festivals.\They say it brings you luck only by looking at it.\So, what was it? On a night of a full moon,\you are supposed to shake the mallet while you make a wish. Was it?\Right.\From where can I go in? response:	Minami-kun.
context: this place has the legendary lucky mallet.\I have seen it. It is displayed only at festivals.\They say it brings you luck only by looking at it.\So, what was it? On a night of a full moon,\you are supposed to shake the mallet while you make a wish. Was it?\Right.\From where can I go in?\Minami-kun. response:	I can go in from there, right?
context: I have seen it. It is displayed only at festivals.\They say it brings you luck only by looking at it.\So, what was it? On a night of a full moon,\you are supposed to shake the mallet while you make a wish. Was it?\Right.\From where can I go in?\Minami-kun.\I can go in from there, right? response:	Here we go!
context: They say it brings you luck only by looking at it.\So, what was it? On a night of a full moon,\you are supposed to shake the mallet while you make a wish. Was it?\Right.\From where can I go in?\Minami-kun.\I can go in from there, right?\Here we go! response:	Be careful.
context: So, what was it? On a night of a full moon,\you are supposed to shake the mallet while you make a wish. Was it?\Right.\From where can I go in?\Minami-kun.\I can go in from there, right?\Here we go!\Be careful. response:	Oh.
context: you are supposed to shake the mallet while you make a wish. Was it?\Right.\From where can I go in?\Minami-kun.\I can go in from there, right?\Here we go!\Be careful.\Oh. response:	Timing and Subtitles brought to you by The Little Lover Team @Viki
context: Right.\From where can I go in?\Minami-kun.\I can go in from there, right?\Here we go!\Be careful.\Oh.\Timing and Subtitles brought to you by The Little Lover Team @Viki response:	Minami-kun. Over here!
context: From where can I go in?\Minami-kun.\I can go in from there, right?\Here we go!\Be careful.\Oh.\Timing and Subtitles brought to you by The Little Lover Team @Viki\Minami-kun. Over here! response:	Over here!
context: Minami-kun.\I can go in from there, right?\Here we go!\Be careful.\Oh.\Timing and Subtitles brought to you by The Little Lover Team @Viki\Minami-kun. Over here!\Over here! response:	It is convenient to be small in this kind of situation.
context: I can go in from there, right?\Here we go!\Be careful.\Oh.\Timing and Subtitles brought to you by The Little Lover Team @Viki\Minami-kun. Over here!\Over here!\It is convenient to be small in this kind of situation. response:	Ahem.
context: Here we go!\Be careful.\Oh.\Timing and Subtitles brought to you by The Little Lover Team @Viki\Minami-kun. Over here!\Over here!\It is convenient to be small in this kind of situation.\Ahem. response:	This is the real lucky mallet.
context: Be careful.\Oh.\Timing and Subtitles brought to you by The Little Lover Team @Viki\Minami-kun. Over here!\Over here!\It is convenient to be small in this kind of situation.\Ahem.\This is the real lucky mallet. response:	Seriously?
context: Oh.\Timing and Subtitles brought to you by The Little Lover Team @Viki\Minami-kun. Over here!\Over here!\It is convenient to be small in this kind of situation.\Ahem.\This is the real lucky mallet.\Seriously? response:	Please, please get me back
context: Timing and Subtitles brought to you by The Little Lover Team @Viki\Minami-kun. Over here!\Over here!\It is convenient to be small in this kind of situation.\Ahem.\This is the real lucky mallet.\Seriously?\Please, please get me back response:	to my normal size.
context: Minami-kun. Over here!\Over here!\It is convenient to be small in this kind of situation.\Ahem.\This is the real lucky mallet.\Seriously?\Please, please get me back\to my normal size. response:	Please!
context: Over here!\It is convenient to be small in this kind of situation.\Ahem.\This is the real lucky mallet.\Seriously?\Please, please get me back\to my normal size.\Please! response:	Amazing. Really amazing.
context: It is convenient to be small in this kind of situation.\Ahem.\This is the real lucky mallet.\Seriously?\Please, please get me back\to my normal size.\Please!\Amazing. Really amazing. response:	I can now go back
context: Ahem.\This is the real lucky mallet.\Seriously?\Please, please get me back\to my normal size.\Please!\Amazing. Really amazing.\I can now go back response:	to the world I lived and the life I used to have.
context: This is the real lucky mallet.\Seriously?\Please, please get me back\to my normal size.\Please!\Amazing. Really amazing.\I can now go back\to the world I lived and the life I used to have. response:	I don't like you anymore.
context: Seriously?\Please, please get me back\to my normal size.\Please!\Amazing. Really amazing.\I can now go back\to the world I lived and the life I used to have.\I don't like you anymore. response:	Hmm?
context: Please, please get me back\to my normal size.\Please!\Amazing. Really amazing.\I can now go back\to the world I lived and the life I used to have.\I don't like you anymore.\Hmm? response:	Eh?
context: to my normal size.\Please!\Amazing. Really amazing.\I can now go back\to the world I lived and the life I used to have.\I don't like you anymore.\Hmm?\Eh? response:	What?
context: Please!\Amazing. Really amazing.\I can now go back\to the world I lived and the life I used to have.\I don't like you anymore.\Hmm?\Eh?\What? response:	Didn't work.
context: Amazing. Really amazing.\I can now go back\to the world I lived and the life I used to have.\I don't like you anymore.\Hmm?\Eh?\What?\Didn't work. response:	No way. It was shining.
context: I can now go back\to the world I lived and the life I used to have.\I don't like you anymore.\Hmm?\Eh?\What?\Didn't work.\No way. It was shining. response:	It really looked like it was gonna work.
context: to the world I lived and the life I used to have.\I don't like you anymore.\Hmm?\Eh?\What?\Didn't work.\No way. It was shining.\It really looked like it was gonna work. response:	This way.
context: I don't like you anymore.\Hmm?\Eh?\What?\Didn't work.\No way. It was shining.\It really looked like it was gonna work.\This way. response:	Shoot!
context: Hmm?\Eh?\What?\Didn't work.\No way. It was shining.\It really looked like it was gonna work.\This way.\Shoot! response:	- Hurry. - Who is there? A thief?
context: Eh?\What?\Didn't work.\No way. It was shining.\It really looked like it was gonna work.\This way.\Shoot!\- Hurry. - Who is there? A thief? response:	Oh? Shunichi-kun?
context: What?\Didn't work.\No way. It was shining.\It really looked like it was gonna work.\This way.\Shoot!\- Hurry. - Who is there? A thief?\Oh? Shunichi-kun? response:	So, you have been worried that much.
context: Didn't work.\No way. It was shining.\It really looked like it was gonna work.\This way.\Shoot!\- Hurry. - Who is there? A thief?\Oh? Shunichi-kun?\So, you have been worried that much. response:	Not worried.
context: No way. It was shining.\It really looked like it was gonna work.\This way.\Shoot!\- Hurry. - Who is there? A thief?\Oh? Shunichi-kun?\So, you have been worried that much.\Not worried. response:	Right.
context: It really looked like it was gonna work.\This way.\Shoot!\- Hurry. - Who is there? A thief?\Oh? Shunichi-kun?\So, you have been worried that much.\Not worried.\Right. response:	Why don't you take it easy?
context: This way.\Shoot!\- Hurry. - Who is there? A thief?\Oh? Shunichi-kun?\So, you have been worried that much.\Not worried.\Right.\Why don't you take it easy? response:	Ohno sensei said that you would be able to pass med school with no problem.
context: Shoot!\- Hurry. - Who is there? A thief?\Oh? Shunichi-kun?\So, you have been worried that much.\Not worried.\Right.\Why don't you take it easy?\Ohno sensei said that you would be able to pass med school with no problem. response:	Sorry for doing a weird thing.
context: - Hurry. - Who is there? A thief?\Oh? Shunichi-kun?\So, you have been worried that much.\Not worried.\Right.\Why don't you take it easy?\Ohno sensei said that you would be able to pass med school with no problem.\Sorry for doing a weird thing. response:	But, I am somewhat relieved.
context: Oh? Shunichi-kun?\So, you have been worried that much.\Not worried.\Right.\Why don't you take it easy?\Ohno sensei said that you would be able to pass med school with no problem.\Sorry for doing a weird thing.\But, I am somewhat relieved. response:	I have thought that you would pretend to be strong, sayting you wouldn't believe in God.
context: So, you have been worried that much.\Not worried.\Right.\Why don't you take it easy?\Ohno sensei said that you would be able to pass med school with no problem.\Sorry for doing a weird thing.\But, I am somewhat relieved.\I have thought that you would pretend to be strong, sayting you wouldn't believe in God. response:	You still have a cute side.
context: Not worried.\Right.\Why don't you take it easy?\Ohno sensei said that you would be able to pass med school with no problem.\Sorry for doing a weird thing.\But, I am somewhat relieved.\I have thought that you would pretend to be strong, sayting you wouldn't believe in God.\You still have a cute side. response:	It's okay to whine sometimes.
context: Right.\Why don't you take it easy?\Ohno sensei said that you would be able to pass med school with no problem.\Sorry for doing a weird thing.\But, I am somewhat relieved.\I have thought that you would pretend to be strong, sayting you wouldn't believe in God.\You still have a cute side.\It's okay to whine sometimes. response:	And, you don't have to force yourself to limit the colleges of your choice.
context: Why don't you take it easy?\Ohno sensei said that you would be able to pass med school with no problem.\Sorry for doing a weird thing.\But, I am somewhat relieved.\I have thought that you would pretend to be strong, sayting you wouldn't believe in God.\You still have a cute side.\It's okay to whine sometimes.\And, you don't have to force yourself to limit the colleges of your choice. response:	Eh?
context: Ohno sensei said that you would be able to pass med school with no problem.\Sorry for doing a weird thing.\But, I am somewhat relieved.\I have thought that you would pretend to be strong, sayting you wouldn't believe in God.\You still have a cute side.\It's okay to whine sometimes.\And, you don't have to force yourself to limit the colleges of your choice.\Eh? response:	You were going to choose only those with tuition waver programs, right?
context: Sorry for doing a weird thing.\But, I am somewhat relieved.\I have thought that you would pretend to be strong, sayting you wouldn't believe in God.\You still have a cute side.\It's okay to whine sometimes.\And, you don't have to force yourself to limit the colleges of your choice.\Eh?\You were going to choose only those with tuition waver programs, right? response:	Why?
context: But, I am somewhat relieved.\I have thought that you would pretend to be strong, sayting you wouldn't believe in God.\You still have a cute side.\It's okay to whine sometimes.\And, you don't have to force yourself to limit the colleges of your choice.\Eh?\You were going to choose only those with tuition waver programs, right?\Why? response:	The hospital director told me that his daughter is concerned (about you).
context: I have thought that you would pretend to be strong, sayting you wouldn't believe in God.\You still have a cute side.\It's okay to whine sometimes.\And, you don't have to force yourself to limit the colleges of your choice.\Eh?\You were going to choose only those with tuition waver programs, right?\Why?\The hospital director told me that his daughter is concerned (about you). response:	Right.
context: You still have a cute side.\It's okay to whine sometimes.\And, you don't have to force yourself to limit the colleges of your choice.\Eh?\You were going to choose only those with tuition waver programs, right?\Why?\The hospital director told me that his daughter is concerned (about you).\Right. response:	It is true that it's hard to make ends meet for us.
context: It's okay to whine sometimes.\And, you don't have to force yourself to limit the colleges of your choice.\Eh?\You were going to choose only those with tuition waver programs, right?\Why?\The hospital director told me that his daughter is concerned (about you).\Right.\It is true that it's hard to make ends meet for us. response:	I know how hard you have been working.
context: And, you don't have to force yourself to limit the colleges of your choice.\Eh?\You were going to choose only those with tuition waver programs, right?\Why?\The hospital director told me that his daughter is concerned (about you).\Right.\It is true that it's hard to make ends meet for us.\I know how hard you have been working. response:	You have been working harder than anyone else in order to protect me and your grandma.
context: Eh?\You were going to choose only those with tuition waver programs, right?\Why?\The hospital director told me that his daughter is concerned (about you).\Right.\It is true that it's hard to make ends meet for us.\I know how hard you have been working.\You have been working harder than anyone else in order to protect me and your grandma. response:	I don't want you to overstrain yourself anymore.
context: You were going to choose only those with tuition waver programs, right?\Why?\The hospital director told me that his daughter is concerned (about you).\Right.\It is true that it's hard to make ends meet for us.\I know how hard you have been working.\You have been working harder than anyone else in order to protect me and your grandma.\I don't want you to overstrain yourself anymore. response:	Minami-kun.
context: Why?\The hospital director told me that his daughter is concerned (about you).\Right.\It is true that it's hard to make ends meet for us.\I know how hard you have been working.\You have been working harder than anyone else in order to protect me and your grandma.\I don't want you to overstrain yourself anymore.\Minami-kun. response:	Shunichi.
context: The hospital director told me that his daughter is concerned (about you).\Right.\It is true that it's hard to make ends meet for us.\I know how hard you have been working.\You have been working harder than anyone else in order to protect me and your grandma.\I don't want you to overstrain yourself anymore.\Minami-kun.\Shunichi. response:	You can aim for a med school you really want to go.
context: Right.\It is true that it's hard to make ends meet for us.\I know how hard you have been working.\You have been working harder than anyone else in order to protect me and your grandma.\I don't want you to overstrain yourself anymore.\Minami-kun.\Shunichi.\You can aim for a med school you really want to go. response:	Don't underestimate me.
context: It is true that it's hard to make ends meet for us.\I know how hard you have been working.\You have been working harder than anyone else in order to protect me and your grandma.\I don't want you to overstrain yourself anymore.\Minami-kun.\Shunichi.\You can aim for a med school you really want to go.\Don't underestimate me. response:	It is super easy for me to let you go to a college you like.
context: I know how hard you have been working.\You have been working harder than anyone else in order to protect me and your grandma.\I don't want you to overstrain yourself anymore.\Minami-kun.\Shunichi.\You can aim for a med school you really want to go.\Don't underestimate me.\It is super easy for me to let you go to a college you like. response:	Okay?
context: You have been working harder than anyone else in order to protect me and your grandma.\I don't want you to overstrain yourself anymore.\Minami-kun.\Shunichi.\You can aim for a med school you really want to go.\Don't underestimate me.\It is super easy for me to let you go to a college you like.\Okay? response:	Super easy...
context: I don't want you to overstrain yourself anymore.\Minami-kun.\Shunichi.\You can aim for a med school you really want to go.\Don't underestimate me.\It is super easy for me to let you go to a college you like.\Okay?\Super easy... response:	A storm is coming, it seems.
context: Minami-kun.\Shunichi.\You can aim for a med school you really want to go.\Don't underestimate me.\It is super easy for me to let you go to a college you like.\Okay?\Super easy...\A storm is coming, it seems. response:	Your grandma is not home, she's traveling. Shall we order pizza?
context: Shunichi.\You can aim for a med school you really want to go.\Don't underestimate me.\It is super easy for me to let you go to a college you like.\Okay?\Super easy...\A storm is coming, it seems.\Your grandma is not home, she's traveling. Shall we order pizza? response:	Yup.
context: You can aim for a med school you really want to go.\Don't underestimate me.\It is super easy for me to let you go to a college you like.\Okay?\Super easy...\A storm is coming, it seems.\Your grandma is not home, she's traveling. Shall we order pizza?\Yup. response:	Let's hurry.
context: Don't underestimate me.\It is super easy for me to let you go to a college you like.\Okay?\Super easy...\A storm is coming, it seems.\Your grandma is not home, she's traveling. Shall we order pizza?\Yup.\Let's hurry. response:	I'm sorry, Minami-kun.
context: It is super easy for me to let you go to a college you like.\Okay?\Super easy...\A storm is coming, it seems.\Your grandma is not home, she's traveling. Shall we order pizza?\Yup.\Let's hurry.\I'm sorry, Minami-kun. response:	It's my fault.
context: Okay?\Super easy...\A storm is coming, it seems.\Your grandma is not home, she's traveling. Shall we order pizza?\Yup.\Let's hurry.\I'm sorry, Minami-kun.\It's my fault. response:	It doesn't matter, it can't be helped.
context: Super easy...\A storm is coming, it seems.\Your grandma is not home, she's traveling. Shall we order pizza?\Yup.\Let's hurry.\I'm sorry, Minami-kun.\It's my fault.\It doesn't matter, it can't be helped. response:	Yah!
context: A storm is coming, it seems.\Your grandma is not home, she's traveling. Shall we order pizza?\Yup.\Let's hurry.\I'm sorry, Minami-kun.\It's my fault.\It doesn't matter, it can't be helped.\Yah! response:	Minami-Kun?
context: Your grandma is not home, she's traveling. Shall we order pizza?\Yup.\Let's hurry.\I'm sorry, Minami-kun.\It's my fault.\It doesn't matter, it can't be helped.\Yah!\Minami-Kun? response:	The day when you became small
context: Yup.\Let's hurry.\I'm sorry, Minami-kun.\It's my fault.\It doesn't matter, it can't be helped.\Yah!\Minami-Kun?\The day when you became small response:	was like this, right?
context: Let's hurry.\I'm sorry, Minami-kun.\It's my fault.\It doesn't matter, it can't be helped.\Yah!\Minami-Kun?\The day when you became small\was like this, right? response:	Right.
context: I'm sorry, Minami-kun.\It's my fault.\It doesn't matter, it can't be helped.\Yah!\Minami-Kun?\The day when you became small\was like this, right?\Right. response:	Okay.
context: It's my fault.\It doesn't matter, it can't be helped.\Yah!\Minami-Kun?\The day when you became small\was like this, right?\Right.\Okay. response:	Shall we make another foolish attempt?
context: It doesn't matter, it can't be helped.\Yah!\Minami-Kun?\The day when you became small\was like this, right?\Right.\Okay.\Shall we make another foolish attempt? response:	What?
context: Yah!\Minami-Kun?\The day when you became small\was like this, right?\Right.\Okay.\Shall we make another foolish attempt?\What? response:	Minami Kun No Koibito My Little Lover
context: Minami-Kun?\The day when you became small\was like this, right?\Right.\Okay.\Shall we make another foolish attempt?\What?\Minami Kun No Koibito My Little Lover response:	Timing and Subtitles brought to you by The Little Lover Team @Viki
context: The day when you became small\was like this, right?\Right.\Okay.\Shall we make another foolish attempt?\What?\Minami Kun No Koibito My Little Lover\Timing and Subtitles brought to you by The Little Lover Team @Viki response:	This is where you became small.
context: was like this, right?\Right.\Okay.\Shall we make another foolish attempt?\What?\Minami Kun No Koibito My Little Lover\Timing and Subtitles brought to you by The Little Lover Team @Viki\This is where you became small. response:	That day, you fainted at the sound of thunder. Then you woke up finding yourself small. Correct?
context: Right.\Okay.\Shall we make another foolish attempt?\What?\Minami Kun No Koibito My Little Lover\Timing and Subtitles brought to you by The Little Lover Team @Viki\This is where you became small.\That day, you fainted at the sound of thunder. Then you woke up finding yourself small. Correct? response:	I see!
