context: You made it to Class A, Taichi. response:	I was playing a third-year from Fujisaki.
context: Amazing.\I-I've never heard Shinobu-chan make any sound when taking a card!\How many cards did she hit with that swing?\This isn't Shinobu-chan's usual style.\She began moving after the first syllable.\She's taking risks.\Sorry, everyone.\I'm coming for you. response:	I'll take all of the remaining cards.
context: I-I've never heard Shinobu-chan make any sound when taking a card!\How many cards did she hit with that swing?\This isn't Shinobu-chan's usual style.\She began moving after the first syllable.\She's taking risks.\Sorry, everyone.\I'm coming for you.\I'll take all of the remaining cards. response:	The Queen looks so intense.
context: How many cards did she hit with that swing?\This isn't Shinobu-chan's usual style.\She began moving after the first syllable.\She's taking risks.\Sorry, everyone.\I'm coming for you.\I'll take all of the remaining cards.\The Queen looks so intense. response:	The Queen has the advantage in speed.
context: This isn't Shinobu-chan's usual style.\She began moving after the first syllable.\She's taking risks.\Sorry, everyone.\I'm coming for you.\I'll take all of the remaining cards.\The Queen looks so intense.\The Queen has the advantage in speed. response:	Technique becomes less viable later in the game.
context: She began moving after the first syllable.\She's taking risks.\Sorry, everyone.\I'm coming for you.\I'll take all of the remaining cards.\The Queen looks so intense.\The Queen has the advantage in speed.\Technique becomes less viable later in the game. response:	No, it's not his technique.
context: She's taking risks.\Sorry, everyone.\I'm coming for you.\I'll take all of the remaining cards.\The Queen looks so intense.\The Queen has the advantage in speed.\Technique becomes less viable later in the game.\No, it's not his technique. response:	What really makes him special is...
context: Sorry, everyone.\I'm coming for you.\I'll take all of the remaining cards.\The Queen looks so intense.\The Queen has the advantage in speed.\Technique becomes less viable later in the game.\No, it's not his technique.\What really makes him special is... response:	It's only noticeable if you've played against him.
context: I'm coming for you.\I'll take all of the remaining cards.\The Queen looks so intense.\The Queen has the advantage in speed.\Technique becomes less viable later in the game.\No, it's not his technique.\What really makes him special is...\It's only noticeable if you've played against him. response:	is that I have no way to tell you in person
context: I'll take all of the remaining cards.\The Queen looks so intense.\The Queen has the advantage in speed.\Technique becomes less viable later in the game.\No, it's not his technique.\What really makes him special is...\It's only noticeable if you've played against him.\is that I have no way to tell you in person response:	Wataya Arata is special because...
context: The Queen looks so intense.\The Queen has the advantage in speed.\Technique becomes less viable later in the game.\No, it's not his technique.\What really makes him special is...\It's only noticeable if you've played against him.\is that I have no way to tell you in person\Wataya Arata is special because... response:	The
context: The Queen has the advantage in speed.\Technique becomes less viable later in the game.\No, it's not his technique.\What really makes him special is...\It's only noticeable if you've played against him.\is that I have no way to tell you in person\Wataya Arata is special because...\The response:	fall wind parts...
context: Technique becomes less viable later in the game.\No, it's not his technique.\What really makes him special is...\It's only noticeable if you've played against him.\is that I have no way to tell you in person\Wataya Arata is special because...\The\fall wind parts... response:	Sorry.
context: No, it's not his technique.\What really makes him special is...\It's only noticeable if you've played against him.\is that I have no way to tell you in person\Wataya Arata is special because...\The\fall wind parts...\Sorry. response:	Was that...
context: What really makes him special is...\It's only noticeable if you've played against him.\is that I have no way to tell you in person\Wataya Arata is special because...\The\fall wind parts...\Sorry.\Was that... response:	Faster than Wakamiya Shinobu?
context: It's only noticeable if you've played against him.\is that I have no way to tell you in person\Wataya Arata is special because...\The\fall wind parts...\Sorry.\Was that...\Faster than Wakamiya Shinobu? response:	The Queen reacted first.
context: is that I have no way to tell you in person\Wataya Arata is special because...\The\fall wind parts...\Sorry.\Was that...\Faster than Wakamiya Shinobu?\The Queen reacted first. response:	Her reaction and swing were very quick.
context: Wataya Arata is special because...\The\fall wind parts...\Sorry.\Was that...\Faster than Wakamiya Shinobu?\The Queen reacted first.\Her reaction and swing were very quick. response:	However, despite that...
context: The\fall wind parts...\Sorry.\Was that...\Faster than Wakamiya Shinobu?\The Queen reacted first.\Her reaction and swing were very quick.\However, despite that... response:	He was able to catch up!
context: fall wind parts...\Sorry.\Was that...\Faster than Wakamiya Shinobu?\The Queen reacted first.\Her reaction and swing were very quick.\However, despite that...\He was able to catch up! response:	With incredible acceleration!
context: Sorry.\Was that...\Faster than Wakamiya Shinobu?\The Queen reacted first.\Her reaction and swing were very quick.\However, despite that...\He was able to catch up!\With incredible acceleration! response:	Sorry, Taichi, Chihaya.
context: Was that...\Faster than Wakamiya Shinobu?\The Queen reacted first.\Her reaction and swing were very quick.\However, despite that...\He was able to catch up!\With incredible acceleration!\Sorry, Taichi, Chihaya. response:	Oh, it's okay.
context: Faster than Wakamiya Shinobu?\The Queen reacted first.\Her reaction and swing were very quick.\However, despite that...\He was able to catch up!\With incredible acceleration!\Sorry, Taichi, Chihaya.\Oh, it's okay. response:	But it's not Wataya Arata's acceleration or his plethora of weapons that scares me.
context: The Queen reacted first.\Her reaction and swing were very quick.\However, despite that...\He was able to catch up!\With incredible acceleration!\Sorry, Taichi, Chihaya.\Oh, it's okay.\But it's not Wataya Arata's acceleration or his plethora of weapons that scares me. response:	It's his relaxed demeanor that gets me.
context: Her reaction and swing were very quick.\However, despite that...\He was able to catch up!\With incredible acceleration!\Sorry, Taichi, Chihaya.\Oh, it's okay.\But it's not Wataya Arata's acceleration or his plethora of weapons that scares me.\It's his relaxed demeanor that gets me. response:	Chihaya-chan, it would refer to a top that spins perfectly smoothly.
context: However, despite that...\He was able to catch up!\With incredible acceleration!\Sorry, Taichi, Chihaya.\Oh, it's okay.\But it's not Wataya Arata's acceleration or his plethora of weapons that scares me.\It's his relaxed demeanor that gets me.\Chihaya-chan, it would refer to a top that spins perfectly smoothly. response:	It almost looks like it's completely still,
context: He was able to catch up!\With incredible acceleration!\Sorry, Taichi, Chihaya.\Oh, it's okay.\But it's not Wataya Arata's acceleration or his plethora of weapons that scares me.\It's his relaxed demeanor that gets me.\Chihaya-chan, it would refer to a top that spins perfectly smoothly.\It almost looks like it's completely still, response:	focusing its power in perfect balance, with no lean in any direction...
context: With incredible acceleration!\Sorry, Taichi, Chihaya.\Oh, it's okay.\But it's not Wataya Arata's acceleration or his plethora of weapons that scares me.\It's his relaxed demeanor that gets me.\Chihaya-chan, it would refer to a top that spins perfectly smoothly.\It almost looks like it's completely still,\focusing its power in perfect balance, with no lean in any direction... response:	Strong enough to repel anything that makes contact,
context: Sorry, Taichi, Chihaya.\Oh, it's okay.\But it's not Wataya Arata's acceleration or his plethora of weapons that scares me.\It's his relaxed demeanor that gets me.\Chihaya-chan, it would refer to a top that spins perfectly smoothly.\It almost looks like it's completely still,\focusing its power in perfect balance, with no lean in any direction...\Strong enough to repel anything that makes contact, response:	while projecting stability.
context: Oh, it's okay.\But it's not Wataya Arata's acceleration or his plethora of weapons that scares me.\It's his relaxed demeanor that gets me.\Chihaya-chan, it would refer to a top that spins perfectly smoothly.\It almost looks like it's completely still,\focusing its power in perfect balance, with no lean in any direction...\Strong enough to repel anything that makes contact,\while projecting stability. response:	A decorative word used for gods.
context: But it's not Wataya Arata's acceleration or his plethora of weapons that scares me.\It's his relaxed demeanor that gets me.\Chihaya-chan, it would refer to a top that spins perfectly smoothly.\It almost looks like it's completely still,\focusing its power in perfect balance, with no lean in any direction...\Strong enough to repel anything that makes contact,\while projecting stability.\A decorative word used for gods. response:	Impassionate.
context: It's his relaxed demeanor that gets me.\Chihaya-chan, it would refer to a top that spins perfectly smoothly.\It almost looks like it's completely still,\focusing its power in perfect balance, with no lean in any direction...\Strong enough to repel anything that makes contact,\while projecting stability.\A decorative word used for gods.\Impassionate. response:	Chihaya, you need to stay back.
context: Chihaya-chan, it would refer to a top that spins perfectly smoothly.\It almost looks like it's completely still,\focusing its power in perfect balance, with no lean in any direction...\Strong enough to repel anything that makes contact,\while projecting stability.\A decorative word used for gods.\Impassionate.\Chihaya, you need to stay back. response:	This guy's for real.
context: It almost looks like it's completely still,\focusing its power in perfect balance, with no lean in any direction...\Strong enough to repel anything that makes contact,\while projecting stability.\A decorative word used for gods.\Impassionate.\Chihaya, you need to stay back.\This guy's for real. response:	A high school second-year.
context: focusing its power in perfect balance, with no lean in any direction...\Strong enough to repel anything that makes contact,\while projecting stability.\A decorative word used for gods.\Impassionate.\Chihaya, you need to stay back.\This guy's for real.\A high school second-year. response:	The Queen was our only hope!!
context: Strong enough to repel anything that makes contact,\while projecting stability.\A decorative word used for gods.\Impassionate.\Chihaya, you need to stay back.\This guy's for real.\A high school second-year.\The Queen was our only hope!! response:	He just turned seventeen?
context: while projecting stability.\A decorative word used for gods.\Impassionate.\Chihaya, you need to stay back.\This guy's for real.\A high school second-year.\The Queen was our only hope!!\He just turned seventeen? response:	I was expecting great things from Master Wataya's grandson,
context: A decorative word used for gods.\Impassionate.\Chihaya, you need to stay back.\This guy's for real.\A high school second-year.\The Queen was our only hope!!\He just turned seventeen?\I was expecting great things from Master Wataya's grandson, response:	but nothing like this!
context: Impassionate.\Chihaya, you need to stay back.\This guy's for real.\A high school second-year.\The Queen was our only hope!!\He just turned seventeen?\I was expecting great things from Master Wataya's grandson,\but nothing like this! response:	It's not like Arata was born a good karuta player.
context: Chihaya, you need to stay back.\This guy's for real.\A high school second-year.\The Queen was our only hope!!\He just turned seventeen?\I was expecting great things from Master Wataya's grandson,\but nothing like this!\It's not like Arata was born a good karuta player. response:	Arata-kun's making a lot of noise.
context: This guy's for real.\A high school second-year.\The Queen was our only hope!!\He just turned seventeen?\I was expecting great things from Master Wataya's grandson,\but nothing like this!\It's not like Arata was born a good karuta player.\Arata-kun's making a lot of noise. response:	He has no trouble with players his own age,
context: A high school second-year.\The Queen was our only hope!!\He just turned seventeen?\I was expecting great things from Master Wataya's grandson,\but nothing like this!\It's not like Arata was born a good karuta player.\Arata-kun's making a lot of noise.\He has no trouble with players his own age, response:	but he can't do anything against Murao-kun.
context: The Queen was our only hope!!\He just turned seventeen?\I was expecting great things from Master Wataya's grandson,\but nothing like this!\It's not like Arata was born a good karuta player.\Arata-kun's making a lot of noise.\He has no trouble with players his own age,\but he can't do anything against Murao-kun. response:	Remember how Coach Wataya always
context: He just turned seventeen?\I was expecting great things from Master Wataya's grandson,\but nothing like this!\It's not like Arata was born a good karuta player.\Arata-kun's making a lot of noise.\He has no trouble with players his own age,\but he can't do anything against Murao-kun.\Remember how Coach Wataya always response:	warns you about your swing being too wide.
context: I was expecting great things from Master Wataya's grandson,\but nothing like this!\It's not like Arata was born a good karuta player.\Arata-kun's making a lot of noise.\He has no trouble with players his own age,\but he can't do anything against Murao-kun.\Remember how Coach Wataya always\warns you about your swing being too wide. response:	Hey, let's go visit him again...
context: but nothing like this!\It's not like Arata was born a good karuta player.\Arata-kun's making a lot of noise.\He has no trouble with players his own age,\but he can't do anything against Murao-kun.\Remember how Coach Wataya always\warns you about your swing being too wide.\Hey, let's go visit him again... response:	Visualize... Visualize...
context: It's not like Arata was born a good karuta player.\Arata-kun's making a lot of noise.\He has no trouble with players his own age,\but he can't do anything against Murao-kun.\Remember how Coach Wataya always\warns you about your swing being too wide.\Hey, let's go visit him again...\Visualize... Visualize... response:	Visualize perfect karuta.
context: Arata-kun's making a lot of noise.\He has no trouble with players his own age,\but he can't do anything against Murao-kun.\Remember how Coach Wataya always\warns you about your swing being too wide.\Hey, let's go visit him again...\Visualize... Visualize...\Visualize perfect karuta. response:	Did you lose to Murao-kun again?
context: He has no trouble with players his own age,\but he can't do anything against Murao-kun.\Remember how Coach Wataya always\warns you about your swing being too wide.\Hey, let's go visit him again...\Visualize... Visualize...\Visualize perfect karuta.\Did you lose to Murao-kun again? response:	At the last Kyoto tournament, you lost because of a foolish error.
context: but he can't do anything against Murao-kun.\Remember how Coach Wataya always\warns you about your swing being too wide.\Hey, let's go visit him again...\Visualize... Visualize...\Visualize perfect karuta.\Did you lose to Murao-kun again?\At the last Kyoto tournament, you lost because of a foolish error. response:	Was your mind wandering because I wasn't there to watch you?
context: Remember how Coach Wataya always\warns you about your swing being too wide.\Hey, let's go visit him again...\Visualize... Visualize...\Visualize perfect karuta.\Did you lose to Murao-kun again?\At the last Kyoto tournament, you lost because of a foolish error.\Was your mind wandering because I wasn't there to watch you? response:	I was focused!
context: warns you about your swing being too wide.\Hey, let's go visit him again...\Visualize... Visualize...\Visualize perfect karuta.\Did you lose to Murao-kun again?\At the last Kyoto tournament, you lost because of a foolish error.\Was your mind wandering because I wasn't there to watch you?\I was focused! response:	I was visualizing my karuta with you there watching, but it didn't work!
context: Hey, let's go visit him again...\Visualize... Visualize...\Visualize perfect karuta.\Did you lose to Murao-kun again?\At the last Kyoto tournament, you lost because of a foolish error.\Was your mind wandering because I wasn't there to watch you?\I was focused!\I was visualizing my karuta with you there watching, but it didn't work! response:	I couldn't move!
context: Visualize... Visualize...\Visualize perfect karuta.\Did you lose to Murao-kun again?\At the last Kyoto tournament, you lost because of a foolish error.\Was your mind wandering because I wasn't there to watch you?\I was focused!\I was visualizing my karuta with you there watching, but it didn't work!\I couldn't move! response:	Are you playing karuta with that scary look on your face?
context: Visualize perfect karuta.\Did you lose to Murao-kun again?\At the last Kyoto tournament, you lost because of a foolish error.\Was your mind wandering because I wasn't there to watch you?\I was focused!\I was visualizing my karuta with you there watching, but it didn't work!\I couldn't move!\Are you playing karuta with that scary look on your face? response:	There's a lot more to visualization than you realize.
context: Did you lose to Murao-kun again?\At the last Kyoto tournament, you lost because of a foolish error.\Was your mind wandering because I wasn't there to watch you?\I was focused!\I was visualizing my karuta with you there watching, but it didn't work!\I couldn't move!\Are you playing karuta with that scary look on your face?\There's a lot more to visualization than you realize. response:	When do you find it easiest to move around freely?
context: At the last Kyoto tournament, you lost because of a foolish error.\Was your mind wandering because I wasn't there to watch you?\I was focused!\I was visualizing my karuta with you there watching, but it didn't work!\I couldn't move!\Are you playing karuta with that scary look on your face?\There's a lot more to visualization than you realize.\When do you find it easiest to move around freely? response:	When did you have the most fun playing karuta?
context: Was your mind wandering because I wasn't there to watch you?\I was focused!\I was visualizing my karuta with you there watching, but it didn't work!\I couldn't move!\Are you playing karuta with that scary look on your face?\There's a lot more to visualization than you realize.\When do you find it easiest to move around freely?\When did you have the most fun playing karuta? response:	For now, I would start with 300 practice swings a day.
context: I was focused!\I was visualizing my karuta with you there watching, but it didn't work!\I couldn't move!\Are you playing karuta with that scary look on your face?\There's a lot more to visualization than you realize.\When do you find it easiest to move around freely?\When did you have the most fun playing karuta?\For now, I would start with 300 practice swings a day. response:	What?!
context: I was visualizing my karuta with you there watching, but it didn't work!\I couldn't move!\Are you playing karuta with that scary look on your face?\There's a lot more to visualization than you realize.\When do you find it easiest to move around freely?\When did you have the most fun playing karuta?\For now, I would start with 300 practice swings a day.\What?! response:	Arata was on the rise when Master Wataya passed away.
context: I couldn't move!\Are you playing karuta with that scary look on your face?\There's a lot more to visualization than you realize.\When do you find it easiest to move around freely?\When did you have the most fun playing karuta?\For now, I would start with 300 practice swings a day.\What?!\Arata was on the rise when Master Wataya passed away. response:	Then he did nothing for a year and a half.
context: Are you playing karuta with that scary look on your face?\There's a lot more to visualization than you realize.\When do you find it easiest to move around freely?\When did you have the most fun playing karuta?\For now, I would start with 300 practice swings a day.\What?!\Arata was on the rise when Master Wataya passed away.\Then he did nothing for a year and a half. response:	I don't know what it was that brought Arata back.
context: There's a lot more to visualization than you realize.\When do you find it easiest to move around freely?\When did you have the most fun playing karuta?\For now, I would start with 300 practice swings a day.\What?!\Arata was on the rise when Master Wataya passed away.\Then he did nothing for a year and a half.\I don't know what it was that brought Arata back. response:	All I know
context: When do you find it easiest to move around freely?\When did you have the most fun playing karuta?\For now, I would start with 300 practice swings a day.\What?!\Arata was on the rise when Master Wataya passed away.\Then he did nothing for a year and a half.\I don't know what it was that brought Arata back.\All I know response:	is that after Master Wataya died,
context: When did you have the most fun playing karuta?\For now, I would start with 300 practice swings a day.\What?!\Arata was on the rise when Master Wataya passed away.\Then he did nothing for a year and a half.\I don't know what it was that brought Arata back.\All I know\is that after Master Wataya died, response:	Arata grew 20 centimeters,
context: For now, I would start with 300 practice swings a day.\What?!\Arata was on the rise when Master Wataya passed away.\Then he did nothing for a year and a half.\I don't know what it was that brought Arata back.\All I know\is that after Master Wataya died,\Arata grew 20 centimeters, response:	and he didn't go a single day this past year
context: What?!\Arata was on the rise when Master Wataya passed away.\Then he did nothing for a year and a half.\I don't know what it was that brought Arata back.\All I know\is that after Master Wataya died,\Arata grew 20 centimeters,\and he didn't go a single day this past year response:	without doing 500 practice swings.
context: Arata was on the rise when Master Wataya passed away.\Then he did nothing for a year and a half.\I don't know what it was that brought Arata back.\All I know\is that after Master Wataya died,\Arata grew 20 centimeters,\and he didn't go a single day this past year\without doing 500 practice swings. response:	His body grew enough
context: Then he did nothing for a year and a half.\I don't know what it was that brought Arata back.\All I know\is that after Master Wataya died,\Arata grew 20 centimeters,\and he didn't go a single day this past year\without doing 500 practice swings.\His body grew enough response:	that he could play the way he visualized.
context: I don't know what it was that brought Arata back.\All I know\is that after Master Wataya died,\Arata grew 20 centimeters,\and he didn't go a single day this past year\without doing 500 practice swings.\His body grew enough\that he could play the way he visualized. response:	Perhaps...
context: All I know\is that after Master Wataya died,\Arata grew 20 centimeters,\and he didn't go a single day this past year\without doing 500 practice swings.\His body grew enough\that he could play the way he visualized.\Perhaps... response:	Perhaps he will be
context: is that after Master Wataya died,\Arata grew 20 centimeters,\and he didn't go a single day this past year\without doing 500 practice swings.\His body grew enough\that he could play the way he visualized.\Perhaps...\Perhaps he will be response:	Wait, I'm the bad guy?
context: Arata grew 20 centimeters,\and he didn't go a single day this past year\without doing 500 practice swings.\His body grew enough\that he could play the way he visualized.\Perhaps...\Perhaps he will be\Wait, I'm the bad guy? response:	the player who unseats Master Suo?
context: and he didn't go a single day this past year\without doing 500 practice swings.\His body grew enough\that he could play the way he visualized.\Perhaps...\Perhaps he will be\Wait, I'm the bad guy?\the player who unseats Master Suo? response:	Forget about that.
context: without doing 500 practice swings.\His body grew enough\that he could play the way he visualized.\Perhaps...\Perhaps he will be\Wait, I'm the bad guy?\the player who unseats Master Suo?\Forget about that. response:	The score is 4 to 9.
context: His body grew enough\that he could play the way he visualized.\Perhaps...\Perhaps he will be\Wait, I'm the bad guy?\the player who unseats Master Suo?\Forget about that.\The score is 4 to 9. response:	The Queen's about to go down.
context: that he could play the way he visualized.\Perhaps...\Perhaps he will be\Wait, I'm the bad guy?\the player who unseats Master Suo?\Forget about that.\The score is 4 to 9.\The Queen's about to go down. response:	Too much noise...
context: Perhaps...\Perhaps he will be\Wait, I'm the bad guy?\the player who unseats Master Suo?\Forget about that.\The score is 4 to 9.\The Queen's about to go down.\Too much noise... response:	Why are there so many spectators?
context: Perhaps he will be\Wait, I'm the bad guy?\the player who unseats Master Suo?\Forget about that.\The score is 4 to 9.\The Queen's about to go down.\Too much noise...\Why are there so many spectators? response:	How stupid are they?
context: Wait, I'm the bad guy?\the player who unseats Master Suo?\Forget about that.\The score is 4 to 9.\The Queen's about to go down.\Too much noise...\Why are there so many spectators?\How stupid are they? response:	Why am I paying so much attention to my surroundings?
context: the player who unseats Master Suo?\Forget about that.\The score is 4 to 9.\The Queen's about to go down.\Too much noise...\Why are there so many spectators?\How stupid are they?\Why am I paying so much attention to my surroundings? response:	I didn't want to have to
context: Forget about that.\The score is 4 to 9.\The Queen's about to go down.\Too much noise...\Why are there so many spectators?\How stupid are they?\Why am I paying so much attention to my surroundings?\I didn't want to have to response:	use my brand new Snowmaru fluffy towel.
context: The score is 4 to 9.\The Queen's about to go down.\Too much noise...\Why are there so many spectators?\How stupid are they?\Why am I paying so much attention to my surroundings?\I didn't want to have to\use my brand new Snowmaru fluffy towel. response:	Round
context: The Queen's about to go down.\Too much noise...\Why are there so many spectators?\How stupid are they?\Why am I paying so much attention to my surroundings?\I didn't want to have to\use my brand new Snowmaru fluffy towel.\Round response:	The Queen is wiping off her sweat.
context: Too much noise...\Why are there so many spectators?\How stupid are they?\Why am I paying so much attention to my surroundings?\I didn't want to have to\use my brand new Snowmaru fluffy towel.\Round\The Queen is wiping off her sweat. response:	I've never seen her do that before.
context: Why are there so many spectators?\How stupid are they?\Why am I paying so much attention to my surroundings?\I didn't want to have to\use my brand new Snowmaru fluffy towel.\Round\The Queen is wiping off her sweat.\I've never seen her do that before. response:	This is my fifth match!
context: How stupid are they?\Why am I paying so much attention to my surroundings?\I didn't want to have to\use my brand new Snowmaru fluffy towel.\Round\The Queen is wiping off her sweat.\I've never seen her do that before.\This is my fifth match! response:	Of course I'm gonna sweat!
context: Why am I paying so much attention to my surroundings?\I didn't want to have to\use my brand new Snowmaru fluffy towel.\Round\The Queen is wiping off her sweat.\I've never seen her do that before.\This is my fifth match!\Of course I'm gonna sweat! response:	My matches weren't easy, either.
context: I didn't want to have to\use my brand new Snowmaru fluffy towel.\Round\The Queen is wiping off her sweat.\I've never seen her do that before.\This is my fifth match!\Of course I'm gonna sweat!\My matches weren't easy, either. response:	I didn't need to hold myself back today.
context: use my brand new Snowmaru fluffy towel.\Round\The Queen is wiping off her sweat.\I've never seen her do that before.\This is my fifth match!\Of course I'm gonna sweat!\My matches weren't easy, either.\I didn't need to hold myself back today. response:	Shudder
context: Round\The Queen is wiping off her sweat.\I've never seen her do that before.\This is my fifth match!\Of course I'm gonna sweat!\My matches weren't easy, either.\I didn't need to hold myself back today.\Shudder response:	to reveal moonlight, clear and bright
context: The Queen is wiping off her sweat.\I've never seen her do that before.\This is my fifth match!\Of course I'm gonna sweat!\My matches weren't easy, either.\I didn't need to hold myself back today.\Shudder\to reveal moonlight, clear and bright response:	The storm blasts autumn leaves off Mount Mimuro
context: I've never seen her do that before.\This is my fifth match!\Of course I'm gonna sweat!\My matches weren't easy, either.\I didn't need to hold myself back today.\Shudder\to reveal moonlight, clear and bright\The storm blasts autumn leaves off Mount Mimuro response:	An empty card.
context: This is my fifth match!\Of course I'm gonna sweat!\My matches weren't easy, either.\I didn't need to hold myself back today.\Shudder\to reveal moonlight, clear and bright\The storm blasts autumn leaves off Mount Mimuro\An empty card. response:	to set the Tatsuta River ablaze
context: Of course I'm gonna sweat!\My matches weren't easy, either.\I didn't need to hold myself back today.\Shudder\to reveal moonlight, clear and bright\The storm blasts autumn leaves off Mount Mimuro\An empty card.\to set the Tatsuta River ablaze response:	Like a boatsman adrift...
context: My matches weren't easy, either.\I didn't need to hold myself back today.\Shudder\to reveal moonlight, clear and bright\The storm blasts autumn leaves off Mount Mimuro\An empty card.\to set the Tatsuta River ablaze\Like a boatsman adrift... response:	Who got that one?
context: I didn't need to hold myself back today.\Shudder\to reveal moonlight, clear and bright\The storm blasts autumn leaves off Mount Mimuro\An empty card.\to set the Tatsuta River ablaze\Like a boatsman adrift...\Who got that one? response:	Same time?
context: Shudder\to reveal moonlight, clear and bright\The storm blasts autumn leaves off Mount Mimuro\An empty card.\to set the Tatsuta River ablaze\Like a boatsman adrift...\Who got that one?\Same time? response:	I couldn't tell.
context: to reveal moonlight, clear and bright\The storm blasts autumn leaves off Mount Mimuro\An empty card.\to set the Tatsuta River ablaze\Like a boatsman adrift...\Who got that one?\Same time?\I couldn't tell. response:	The Queen was faster?
context: The storm blasts autumn leaves off Mount Mimuro\An empty card.\to set the Tatsuta River ablaze\Like a boatsman adrift...\Who got that one?\Same time?\I couldn't tell.\The Queen was faster? response:	She snatched it from the opponent's lower right.
context: An empty card.\to set the Tatsuta River ablaze\Like a boatsman adrift...\Who got that one?\Same time?\I couldn't tell.\The Queen was faster?\She snatched it from the opponent's lower right. response:	For a moment, I thought that Arata was faster,
context: to set the Tatsuta River ablaze\Like a boatsman adrift...\Who got that one?\Same time?\I couldn't tell.\The Queen was faster?\She snatched it from the opponent's lower right.\For a moment, I thought that Arata was faster, response:	but she slipped in under his hand.
context: Like a boatsman adrift...\Who got that one?\Same time?\I couldn't tell.\The Queen was faster?\She snatched it from the opponent's lower right.\For a moment, I thought that Arata was faster,\but she slipped in under his hand. response:	How was she able to reach so low?
context: Who got that one?\Same time?\I couldn't tell.\The Queen was faster?\She snatched it from the opponent's lower right.\For a moment, I thought that Arata was faster,\but she slipped in under his hand.\How was she able to reach so low? response:	I do not know where this love will take me
context: Same time?\I couldn't tell.\The Queen was faster?\She snatched it from the opponent's lower right.\For a moment, I thought that Arata was faster,\but she slipped in under his hand.\How was she able to reach so low?\I do not know where this love will take me response:	May my lonely nights in bed not be so long,
context: I couldn't tell.\The Queen was faster?\She snatched it from the opponent's lower right.\For a moment, I thought that Arata was faster,\but she slipped in under his hand.\How was she able to reach so low?\I do not know where this love will take me\May my lonely nights in bed not be so long, response:	What just happened?
context: The Queen was faster?\She snatched it from the opponent's lower right.\For a moment, I thought that Arata was faster,\but she slipped in under his hand.\How was she able to reach so low?\I do not know where this love will take me\May my lonely nights in bed not be so long,\What just happened? response:	The cards flew in two different directions.
context: She snatched it from the opponent's lower right.\For a moment, I thought that Arata was faster,\but she slipped in under his hand.\How was she able to reach so low?\I do not know where this love will take me\May my lonely nights in bed not be so long,\What just happened?\The cards flew in two different directions. response:	How is that possible?
context: For a moment, I thought that Arata was faster,\but she slipped in under his hand.\How was she able to reach so low?\I do not know where this love will take me\May my lonely nights in bed not be so long,\What just happened?\The cards flew in two different directions.\How is that possible? response:	Who got it?
context: but she slipped in under his hand.\How was she able to reach so low?\I do not know where this love will take me\May my lonely nights in bed not be so long,\What just happened?\The cards flew in two different directions.\How is that possible?\Who got it? response:	They both hit the card,
context: How was she able to reach so low?\I do not know where this love will take me\May my lonely nights in bed not be so long,\What just happened?\The cards flew in two different directions.\How is that possible?\Who got it?\They both hit the card, response:	but...
context: I do not know where this love will take me\May my lonely nights in bed not be so long,\What just happened?\The cards flew in two different directions.\How is that possible?\Who got it?\They both hit the card,\but... response:	the Queen won it.
context: May my lonely nights in bed not be so long,\What just happened?\The cards flew in two different directions.\How is that possible?\Who got it?\They both hit the card,\but...\the Queen won it. response:	Was Chihaya able to see what happened?
context: What just happened?\The cards flew in two different directions.\How is that possible?\Who got it?\They both hit the card,\but...\the Queen won it.\Was Chihaya able to see what happened? response:	Incredible...
context: The cards flew in two different directions.\How is that possible?\Who got it?\They both hit the card,\but...\the Queen won it.\Was Chihaya able to see what happened?\Incredible... response:	May my lonely was just read.
context: How is that possible?\Who got it?\They both hit the card,\but...\the Queen won it.\Was Chihaya able to see what happened?\Incredible...\May my lonely was just read. response:	Shinobu-chan had May my lonely
context: Who got it?\They both hit the card,\but...\the Queen won it.\Was Chihaya able to see what happened?\Incredible...\May my lonely was just read.\Shinobu-chan had May my lonely response:	and May the time spent at her lower left,
context: They both hit the card,\but...\the Queen won it.\Was Chihaya able to see what happened?\Incredible...\May my lonely was just read.\Shinobu-chan had May my lonely\and May the time spent at her lower left, response:	so Arata went for the entire group of cards.
context: but...\the Queen won it.\Was Chihaya able to see what happened?\Incredible...\May my lonely was just read.\Shinobu-chan had May my lonely\and May the time spent at her lower left,\so Arata went for the entire group of cards. response:	But Shinobu-chan was able to pick out
context: the Queen won it.\Was Chihaya able to see what happened?\Incredible...\May my lonely was just read.\Shinobu-chan had May my lonely\and May the time spent at her lower left,\so Arata went for the entire group of cards.\But Shinobu-chan was able to pick out response:	the one card she needed.
context: Was Chihaya able to see what happened?\Incredible...\May my lonely was just read.\Shinobu-chan had May my lonely\and May the time spent at her lower left,\so Arata went for the entire group of cards.\But Shinobu-chan was able to pick out\the one card she needed. response:	Shinobu-chan was pulling on the strings.
context: Incredible...\May my lonely was just read.\Shinobu-chan had May my lonely\and May the time spent at her lower left,\so Arata went for the entire group of cards.\But Shinobu-chan was able to pick out\the one card she needed.\Shinobu-chan was pulling on the strings. response:	How is she able to do that?
context: May my lonely was just read.\Shinobu-chan had May my lonely\and May the time spent at her lower left,\so Arata went for the entire group of cards.\But Shinobu-chan was able to pick out\the one card she needed.\Shinobu-chan was pulling on the strings.\How is she able to do that? response:	Faster...
