context: People say that when someone dies, they can go to heaven. response:	But I don't think that's the case.
context: Huh?\I-Is there something weird about it?\I've got carbohydrates, a drink...\Pretty average, don't you think?\Am I violating some sort of regional taboo?\You're pretty weird.\What was weird?\How am I weird? response:	The way you're acting now.
context: I-Is there something weird about it?\I've got carbohydrates, a drink...\Pretty average, don't you think?\Am I violating some sort of regional taboo?\You're pretty weird.\What was weird?\How am I weird?\The way you're acting now. response:	Her name is Ichika Takatsuki-san.
context: I've got carbohydrates, a drink...\Pretty average, don't you think?\Am I violating some sort of regional taboo?\You're pretty weird.\What was weird?\How am I weird?\The way you're acting now.\Her name is Ichika Takatsuki-san. response:	She transferred into class 3-A today.
context: Pretty average, don't you think?\Am I violating some sort of regional taboo?\You're pretty weird.\What was weird?\How am I weird?\The way you're acting now.\Her name is Ichika Takatsuki-san.\She transferred into class 3-A today. response:	She's 160 centimeters tall,
context: Am I violating some sort of regional taboo?\You're pretty weird.\What was weird?\How am I weird?\The way you're acting now.\Her name is Ichika Takatsuki-san.\She transferred into class 3-A today.\She's 160 centimeters tall, response:	and 41 kilograms.
context: You're pretty weird.\What was weird?\How am I weird?\The way you're acting now.\Her name is Ichika Takatsuki-san.\She transferred into class 3-A today.\She's 160 centimeters tall,\and 41 kilograms. response:	Her three sizes, starting from the top,
context: What was weird?\How am I weird?\The way you're acting now.\Her name is Ichika Takatsuki-san.\She transferred into class 3-A today.\She's 160 centimeters tall,\and 41 kilograms.\Her three sizes, starting from the top, response:	are 92-58-88.
context: How am I weird?\The way you're acting now.\Her name is Ichika Takatsuki-san.\She transferred into class 3-A today.\She's 160 centimeters tall,\and 41 kilograms.\Her three sizes, starting from the top,\are 92-58-88. response:	Her shoe size is
context: The way you're acting now.\Her name is Ichika Takatsuki-san.\She transferred into class 3-A today.\She's 160 centimeters tall,\and 41 kilograms.\Her three sizes, starting from the top,\are 92-58-88.\Her shoe size is response:	How did you find all this out?
context: Her name is Ichika Takatsuki-san.\She transferred into class 3-A today.\She's 160 centimeters tall,\and 41 kilograms.\Her three sizes, starting from the top,\are 92-58-88.\Her shoe size is\How did you find all this out? response:	Well, I...
context: She transferred into class 3-A today.\She's 160 centimeters tall,\and 41 kilograms.\Her three sizes, starting from the top,\are 92-58-88.\Her shoe size is\How did you find all this out?\Well, I... response:	Teacher,
context: She's 160 centimeters tall,\and 41 kilograms.\Her three sizes, starting from the top,\are 92-58-88.\Her shoe size is\How did you find all this out?\Well, I...\Teacher, response:	could you give me the details on the third year
context: and 41 kilograms.\Her three sizes, starting from the top,\are 92-58-88.\Her shoe size is\How did you find all this out?\Well, I...\Teacher,\could you give me the details on the third year response:	who just transferred in?
context: Her three sizes, starting from the top,\are 92-58-88.\Her shoe size is\How did you find all this out?\Well, I...\Teacher,\could you give me the details on the third year\who just transferred in? response:	Aw, Ishigaki-kun...
context: are 92-58-88.\Her shoe size is\How did you find all this out?\Well, I...\Teacher,\could you give me the details on the third year\who just transferred in?\Aw, Ishigaki-kun... response:	Just don't tell anyone else, okay?
context: Her shoe size is\How did you find all this out?\Well, I...\Teacher,\could you give me the details on the third year\who just transferred in?\Aw, Ishigaki-kun...\Just don't tell anyone else, okay? response:	So that's basically how it went down.
context: How did you find all this out?\Well, I...\Teacher,\could you give me the details on the third year\who just transferred in?\Aw, Ishigaki-kun...\Just don't tell anyone else, okay?\So that's basically how it went down. response:	I'm pretty sure that was illegal.
context: Well, I...\Teacher,\could you give me the details on the third year\who just transferred in?\Aw, Ishigaki-kun...\Just don't tell anyone else, okay?\So that's basically how it went down.\I'm pretty sure that was illegal. response:	You gonna say thank you?
context: Teacher,\could you give me the details on the third year\who just transferred in?\Aw, Ishigaki-kun...\Just don't tell anyone else, okay?\So that's basically how it went down.\I'm pretty sure that was illegal.\You gonna say thank you? response:	Thank you.
context: could you give me the details on the third year\who just transferred in?\Aw, Ishigaki-kun...\Just don't tell anyone else, okay?\So that's basically how it went down.\I'm pretty sure that was illegal.\You gonna say thank you?\Thank you. response:	What are you doing over here?
context: who just transferred in?\Aw, Ishigaki-kun...\Just don't tell anyone else, okay?\So that's basically how it went down.\I'm pretty sure that was illegal.\You gonna say thank you?\Thank you.\What are you doing over here? response:	Tanigawa.
context: Aw, Ishigaki-kun...\Just don't tell anyone else, okay?\So that's basically how it went down.\I'm pretty sure that was illegal.\You gonna say thank you?\Thank you.\What are you doing over here?\Tanigawa. response:	Sup? You eat lunch already?
context: Just don't tell anyone else, okay?\So that's basically how it went down.\I'm pretty sure that was illegal.\You gonna say thank you?\Thank you.\What are you doing over here?\Tanigawa.\Sup? You eat lunch already? response:	Yeah.
context: So that's basically how it went down.\I'm pretty sure that was illegal.\You gonna say thank you?\Thank you.\What are you doing over here?\Tanigawa.\Sup? You eat lunch already?\Yeah. response:	Oh, that's what's going on.
context: I'm pretty sure that was illegal.\You gonna say thank you?\Thank you.\What are you doing over here?\Tanigawa.\Sup? You eat lunch already?\Yeah.\Oh, that's what's going on. response:	You trying to sneak more footage of her?
context: You gonna say thank you?\Thank you.\What are you doing over here?\Tanigawa.\Sup? You eat lunch already?\Yeah.\Oh, that's what's going on.\You trying to sneak more footage of her? response:	N-No.
context: Thank you.\What are you doing over here?\Tanigawa.\Sup? You eat lunch already?\Yeah.\Oh, that's what's going on.\You trying to sneak more footage of her?\N-No. response:	I just happened to hit record when she was there...
context: What are you doing over here?\Tanigawa.\Sup? You eat lunch already?\Yeah.\Oh, that's what's going on.\You trying to sneak more footage of her?\N-No.\I just happened to hit record when she was there... response:	Liar.
context: Tanigawa.\Sup? You eat lunch already?\Yeah.\Oh, that's what's going on.\You trying to sneak more footage of her?\N-No.\I just happened to hit record when she was there...\Liar. response:	I'm serious!
context: Sup? You eat lunch already?\Yeah.\Oh, that's what's going on.\You trying to sneak more footage of her?\N-No.\I just happened to hit record when she was there...\Liar.\I'm serious! response:	What?
context: Yeah.\Oh, that's what's going on.\You trying to sneak more footage of her?\N-No.\I just happened to hit record when she was there...\Liar.\I'm serious!\What? response:	I just wanna hit you now!
context: Oh, that's what's going on.\You trying to sneak more footage of her?\N-No.\I just happened to hit record when she was there...\Liar.\I'm serious!\What?\I just wanna hit you now! response:	Wai
context: You trying to sneak more footage of her?\N-No.\I just happened to hit record when she was there...\Liar.\I'm serious!\What?\I just wanna hit you now!\Wai response:	You're already hitting me!
context: N-No.\I just happened to hit record when she was there...\Liar.\I'm serious!\What?\I just wanna hit you now!\Wai\You're already hitting me! response:	Shut up!
context: I just happened to hit record when she was there...\Liar.\I'm serious!\What?\I just wanna hit you now!\Wai\You're already hitting me!\Shut up! response:	They're having their lover's quarrel.
context: Liar.\I'm serious!\What?\I just wanna hit you now!\Wai\You're already hitting me!\Shut up!\They're having their lover's quarrel. response:	Stop it, Tanigawa.
context: I'm serious!\What?\I just wanna hit you now!\Wai\You're already hitting me!\Shut up!\They're having their lover's quarrel.\Stop it, Tanigawa. response:	All right!
context: What?\I just wanna hit you now!\Wai\You're already hitting me!\Shut up!\They're having their lover's quarrel.\Stop it, Tanigawa.\All right! response:	We're doing it!
context: I just wanna hit you now!\Wai\You're already hitting me!\Shut up!\They're having their lover's quarrel.\Stop it, Tanigawa.\All right!\We're doing it! response:	I-I can't do that.
context: Wai\You're already hitting me!\Shut up!\They're having their lover's quarrel.\Stop it, Tanigawa.\All right!\We're doing it!\I-I can't do that. response:	I don't have any cute swimsuits, and I...
context: You're already hitting me!\Shut up!\They're having their lover's quarrel.\Stop it, Tanigawa.\All right!\We're doing it!\I-I can't do that.\I don't have any cute swimsuits, and I... response:	Kai!
context: Shut up!\They're having their lover's quarrel.\Stop it, Tanigawa.\All right!\We're doing it!\I-I can't do that.\I don't have any cute swimsuits, and I...\Kai! response:	Let's go.
context: They're having their lover's quarrel.\Stop it, Tanigawa.\All right!\We're doing it!\I-I can't do that.\I don't have any cute swimsuits, and I...\Kai!\Let's go. response:	Huh?
context: Stop it, Tanigawa.\All right!\We're doing it!\I-I can't do that.\I don't have any cute swimsuits, and I...\Kai!\Let's go.\Huh? response:	What?
context: All right!\We're doing it!\I-I can't do that.\I don't have any cute swimsuits, and I...\Kai!\Let's go.\Huh?\What? response:	Go where?
context: We're doing it!\I-I can't do that.\I don't have any cute swimsuits, and I...\Kai!\Let's go.\Huh?\What?\Go where? response:	S-So what's so wrong with my lunc
context: I-I can't do that.\I don't have any cute swimsuits, and I...\Kai!\Let's go.\Huh?\What?\Go where?\S-So what's so wrong with my lunc response:	Hi there.
context: I don't have any cute swimsuits, and I...\Kai!\Let's go.\Huh?\What?\Go where?\S-So what's so wrong with my lunc\Hi there. response:	Sorry, do you have a second?
context: Kai!\Let's go.\Huh?\What?\Go where?\S-So what's so wrong with my lunc\Hi there.\Sorry, do you have a second? response:	Hey, Tetsuro.
context: Let's go.\Huh?\What?\Go where?\S-So what's so wrong with my lunc\Hi there.\Sorry, do you have a second?\Hey, Tetsuro. response:	What are you trying to pull?
context: Huh?\What?\Go where?\S-So what's so wrong with my lunc\Hi there.\Sorry, do you have a second?\Hey, Tetsuro.\What are you trying to pull? response:	Just let me handle this.
context: What?\Go where?\S-So what's so wrong with my lunc\Hi there.\Sorry, do you have a second?\Hey, Tetsuro.\What are you trying to pull?\Just let me handle this. response:	N-Never mind.
context: Go where?\S-So what's so wrong with my lunc\Hi there.\Sorry, do you have a second?\Hey, Tetsuro.\What are you trying to pull?\Just let me handle this.\N-Never mind. response:	Uh, what is it?
context: S-So what's so wrong with my lunc\Hi there.\Sorry, do you have a second?\Hey, Tetsuro.\What are you trying to pull?\Just let me handle this.\N-Never mind.\Uh, what is it? response:	You're Ichika Takatsuki-senpai, who just transferred in today, right?
context: Hi there.\Sorry, do you have a second?\Hey, Tetsuro.\What are you trying to pull?\Just let me handle this.\N-Never mind.\Uh, what is it?\You're Ichika Takatsuki-senpai, who just transferred in today, right? response:	My name's Tetsuro Ishigaki, a first year.
context: Sorry, do you have a second?\Hey, Tetsuro.\What are you trying to pull?\Just let me handle this.\N-Never mind.\Uh, what is it?\You're Ichika Takatsuki-senpai, who just transferred in today, right?\My name's Tetsuro Ishigaki, a first year. response:	This is Kaito Kirishima.
context: Hey, Tetsuro.\What are you trying to pull?\Just let me handle this.\N-Never mind.\Uh, what is it?\You're Ichika Takatsuki-senpai, who just transferred in today, right?\My name's Tetsuro Ishigaki, a first year.\This is Kaito Kirishima. response:	We're trying to put together a film with some friends.
context: What are you trying to pull?\Just let me handle this.\N-Never mind.\Uh, what is it?\You're Ichika Takatsuki-senpai, who just transferred in today, right?\My name's Tetsuro Ishigaki, a first year.\This is Kaito Kirishima.\We're trying to put together a film with some friends. response:	And we were wondering if you wanted to appear in our movie?
context: Just let me handle this.\N-Never mind.\Uh, what is it?\You're Ichika Takatsuki-senpai, who just transferred in today, right?\My name's Tetsuro Ishigaki, a first year.\This is Kaito Kirishima.\We're trying to put together a film with some friends.\And we were wondering if you wanted to appear in our movie? response:	What?!
context: N-Never mind.\Uh, what is it?\You're Ichika Takatsuki-senpai, who just transferred in today, right?\My name's Tetsuro Ishigaki, a first year.\This is Kaito Kirishima.\We're trying to put together a film with some friends.\And we were wondering if you wanted to appear in our movie?\What?! response:	Huh?
context: Uh, what is it?\You're Ichika Takatsuki-senpai, who just transferred in today, right?\My name's Tetsuro Ishigaki, a first year.\This is Kaito Kirishima.\We're trying to put together a film with some friends.\And we were wondering if you wanted to appear in our movie?\What?!\Huh? response:	Hey, what are you saying?!
context: You're Ichika Takatsuki-senpai, who just transferred in today, right?\My name's Tetsuro Ishigaki, a first year.\This is Kaito Kirishima.\We're trying to put together a film with some friends.\And we were wondering if you wanted to appear in our movie?\What?!\Huh?\Hey, what are you saying?! response:	Sure.
context: My name's Tetsuro Ishigaki, a first year.\This is Kaito Kirishima.\We're trying to put together a film with some friends.\And we were wondering if you wanted to appear in our movie?\What?!\Huh?\Hey, what are you saying?!\Sure. response:	Huh?
context: This is Kaito Kirishima.\We're trying to put together a film with some friends.\And we were wondering if you wanted to appear in our movie?\What?!\Huh?\Hey, what are you saying?!\Sure.\Huh? response:	If you think I'd be good for the part...
context: We're trying to put together a film with some friends.\And we were wondering if you wanted to appear in our movie?\What?!\Huh?\Hey, what are you saying?!\Sure.\Huh?\If you think I'd be good for the part... response:	I'd love to do it.
context: And we were wondering if you wanted to appear in our movie?\What?!\Huh?\Hey, what are you saying?!\Sure.\Huh?\If you think I'd be good for the part...\I'd love to do it. response:	Once something starts moving, it's hard to stop.
context: What?!\Huh?\Hey, what are you saying?!\Sure.\Huh?\If you think I'd be good for the part...\I'd love to do it.\Once something starts moving, it's hard to stop. response:	Sinsh you're ashking...
context: Huh?\Hey, what are you saying?!\Sure.\Huh?\If you think I'd be good for the part...\I'd love to do it.\Once something starts moving, it's hard to stop.\Sinsh you're ashking... response:	I'll participate, as well.
context: Hey, what are you saying?!\Sure.\Huh?\If you think I'd be good for the part...\I'd love to do it.\Once something starts moving, it's hard to stop.\Sinsh you're ashking...\I'll participate, as well. response:	Huh?
context: Sure.\Huh?\If you think I'd be good for the part...\I'd love to do it.\Once something starts moving, it's hard to stop.\Sinsh you're ashking...\I'll participate, as well.\Huh? response:	Remon Yamano, third year here.
context: Huh?\If you think I'd be good for the part...\I'd love to do it.\Once something starts moving, it's hard to stop.\Sinsh you're ashking...\I'll participate, as well.\Huh?\Remon Yamano, third year here. response:	Nice to meet you.
context: If you think I'd be good for the part...\I'd love to do it.\Once something starts moving, it's hard to stop.\Sinsh you're ashking...\I'll participate, as well.\Huh?\Remon Yamano, third year here.\Nice to meet you. response:	Before I even knew it, the camera...
context: I'd love to do it.\Once something starts moving, it's hard to stop.\Sinsh you're ashking...\I'll participate, as well.\Huh?\Remon Yamano, third year here.\Nice to meet you.\Before I even knew it, the camera... response:	What? Third year?
context: Once something starts moving, it's hard to stop.\Sinsh you're ashking...\I'll participate, as well.\Huh?\Remon Yamano, third year here.\Nice to meet you.\Before I even knew it, the camera...\What? Third year? response:	She's older than us?
context: Sinsh you're ashking...\I'll participate, as well.\Huh?\Remon Yamano, third year here.\Nice to meet you.\Before I even knew it, the camera...\What? Third year?\She's older than us? response:	Episode 1 I can't, Senpai.
context: I'll participate, as well.\Huh?\Remon Yamano, third year here.\Nice to meet you.\Before I even knew it, the camera...\What? Third year?\She's older than us?\Episode 1 I can't, Senpai. response:	Sometimes asking is all it takes,
context: Huh?\Remon Yamano, third year here.\Nice to meet you.\Before I even knew it, the camera...\What? Third year?\She's older than us?\Episode 1 I can't, Senpai.\Sometimes asking is all it takes, response:	Free-style swimming for class today.
context: Remon Yamano, third year here.\Nice to meet you.\Before I even knew it, the camera...\What? Third year?\She's older than us?\Episode 1 I can't, Senpai.\Sometimes asking is all it takes,\Free-style swimming for class today. response:	but I never thought she'd say okay.
context: Nice to meet you.\Before I even knew it, the camera...\What? Third year?\She's older than us?\Episode 1 I can't, Senpai.\Sometimes asking is all it takes,\Free-style swimming for class today.\but I never thought she'd say okay. response:	Ichika-senpai's just too kind.
context: Before I even knew it, the camera...\What? Third year?\She's older than us?\Episode 1 I can't, Senpai.\Sometimes asking is all it takes,\Free-style swimming for class today.\but I never thought she'd say okay.\Ichika-senpai's just too kind. response:	You're nuts.
context: What? Third year?\She's older than us?\Episode 1 I can't, Senpai.\Sometimes asking is all it takes,\Free-style swimming for class today.\but I never thought she'd say okay.\Ichika-senpai's just too kind.\You're nuts. response:	I do something the second I think of it!
context: She's older than us?\Episode 1 I can't, Senpai.\Sometimes asking is all it takes,\Free-style swimming for class today.\but I never thought she'd say okay.\Ichika-senpai's just too kind.\You're nuts.\I do something the second I think of it! response:	That's my policy.
context: Episode 1 I can't, Senpai.\Sometimes asking is all it takes,\Free-style swimming for class today.\but I never thought she'd say okay.\Ichika-senpai's just too kind.\You're nuts.\I do something the second I think of it!\That's my policy. response:	Man, this feels great.
context: Sometimes asking is all it takes,\Free-style swimming for class today.\but I never thought she'd say okay.\Ichika-senpai's just too kind.\You're nuts.\I do something the second I think of it!\That's my policy.\Man, this feels great. response:	The view's great, too.
context: Free-style swimming for class today.\but I never thought she'd say okay.\Ichika-senpai's just too kind.\You're nuts.\I do something the second I think of it!\That's my policy.\Man, this feels great.\The view's great, too. response:	You sound like a dirty old man.
context: but I never thought she'd say okay.\Ichika-senpai's just too kind.\You're nuts.\I do something the second I think of it!\That's my policy.\Man, this feels great.\The view's great, too.\You sound like a dirty old man. response:	Are you really gonna make a movie?
context: Ichika-senpai's just too kind.\You're nuts.\I do something the second I think of it!\That's my policy.\Man, this feels great.\The view's great, too.\You sound like a dirty old man.\Are you really gonna make a movie? response:	We already told some senpai, so...
context: You're nuts.\I do something the second I think of it!\That's my policy.\Man, this feels great.\The view's great, too.\You sound like a dirty old man.\Are you really gonna make a movie?\We already told some senpai, so... response:	Right?
context: I do something the second I think of it!\That's my policy.\Man, this feels great.\The view's great, too.\You sound like a dirty old man.\Are you really gonna make a movie?\We already told some senpai, so...\Right? response:	Wh-What's it going to be about?
context: That's my policy.\Man, this feels great.\The view's great, too.\You sound like a dirty old man.\Are you really gonna make a movie?\We already told some senpai, so...\Right?\Wh-What's it going to be about? response:	We'll just let the tiny Remon-senpai handle it.
context: Man, this feels great.\The view's great, too.\You sound like a dirty old man.\Are you really gonna make a movie?\We already told some senpai, so...\Right?\Wh-What's it going to be about?\We'll just let the tiny Remon-senpai handle it. response:	I mean...
context: The view's great, too.\You sound like a dirty old man.\Are you really gonna make a movie?\We already told some senpai, so...\Right?\Wh-What's it going to be about?\We'll just let the tiny Remon-senpai handle it.\I mean... response:	Let me handle the plot.
context: You sound like a dirty old man.\Are you really gonna make a movie?\We already told some senpai, so...\Right?\Wh-What's it going to be about?\We'll just let the tiny Remon-senpai handle it.\I mean...\Let me handle the plot. response:	I have a script I wrote for Lucas.
context: Are you really gonna make a movie?\We already told some senpai, so...\Right?\Wh-What's it going to be about?\We'll just let the tiny Remon-senpai handle it.\I mean...\Let me handle the plot.\I have a script I wrote for Lucas. response:	A Hollywood script?!
context: We already told some senpai, so...\Right?\Wh-What's it going to be about?\We'll just let the tiny Remon-senpai handle it.\I mean...\Let me handle the plot.\I have a script I wrote for Lucas.\A Hollywood script?! response:	It wasn't something they asked you to write, was it?
context: Right?\Wh-What's it going to be about?\We'll just let the tiny Remon-senpai handle it.\I mean...\Let me handle the plot.\I have a script I wrote for Lucas.\A Hollywood script?!\It wasn't something they asked you to write, was it? response:	That's what she said, anyway.
context: Wh-What's it going to be about?\We'll just let the tiny Remon-senpai handle it.\I mean...\Let me handle the plot.\I have a script I wrote for Lucas.\A Hollywood script?!\It wasn't something they asked you to write, was it?\That's what she said, anyway. response:	Fine.
context: We'll just let the tiny Remon-senpai handle it.\I mean...\Let me handle the plot.\I have a script I wrote for Lucas.\A Hollywood script?!\It wasn't something they asked you to write, was it?\That's what she said, anyway.\Fine. response:	Huh?
context: I mean...\Let me handle the plot.\I have a script I wrote for Lucas.\A Hollywood script?!\It wasn't something they asked you to write, was it?\That's what she said, anyway.\Fine.\Huh? response:	Then... I'm in, too.
context: Let me handle the plot.\I have a script I wrote for Lucas.\A Hollywood script?!\It wasn't something they asked you to write, was it?\That's what she said, anyway.\Fine.\Huh?\Then... I'm in, too. response:	Huh?
context: I have a script I wrote for Lucas.\A Hollywood script?!\It wasn't something they asked you to write, was it?\That's what she said, anyway.\Fine.\Huh?\Then... I'm in, too.\Huh? response:	Me, too.
context: A Hollywood script?!\It wasn't something they asked you to write, was it?\That's what she said, anyway.\Fine.\Huh?\Then... I'm in, too.\Huh?\Me, too. response:	I might be able to help out as a stagehand, or something.
context: It wasn't something they asked you to write, was it?\That's what she said, anyway.\Fine.\Huh?\Then... I'm in, too.\Huh?\Me, too.\I might be able to help out as a stagehand, or something. response:	No, you should be on screen.
context: That's what she said, anyway.\Fine.\Huh?\Then... I'm in, too.\Huh?\Me, too.\I might be able to help out as a stagehand, or something.\No, you should be on screen. response:	No, I couldn't possibly!
context: Fine.\Huh?\Then... I'm in, too.\Huh?\Me, too.\I might be able to help out as a stagehand, or something.\No, you should be on screen.\No, I couldn't possibly! response:	Why not?
context: Huh?\Then... I'm in, too.\Huh?\Me, too.\I might be able to help out as a stagehand, or something.\No, you should be on screen.\No, I couldn't possibly!\Why not? response:	It'd be fine.
context: Then... I'm in, too.\Huh?\Me, too.\I might be able to help out as a stagehand, or something.\No, you should be on screen.\No, I couldn't possibly!\Why not?\It'd be fine. response:	I can't!
context: Huh?\Me, too.\I might be able to help out as a stagehand, or something.\No, you should be on screen.\No, I couldn't possibly!\Why not?\It'd be fine.\I can't! response:	A movie, huh?
context: Me, too.\I might be able to help out as a stagehand, or something.\No, you should be on screen.\No, I couldn't possibly!\Why not?\It'd be fine.\I can't!\A movie, huh? response:	Director,
context: I might be able to help out as a stagehand, or something.\No, you should be on screen.\No, I couldn't possibly!\Why not?\It'd be fine.\I can't!\A movie, huh?\Director, response:	would it be too much to ask you for direction?
context: No, you should be on screen.\No, I couldn't possibly!\Why not?\It'd be fine.\I can't!\A movie, huh?\Director,\would it be too much to ask you for direction? response:	Then...
context: No, I couldn't possibly!\Why not?\It'd be fine.\I can't!\A movie, huh?\Director,\would it be too much to ask you for direction?\Then... response:	I'll guide you step-by-waist.
context: Why not?\It'd be fine.\I can't!\A movie, huh?\Director,\would it be too much to ask you for direction?\Then...\I'll guide you step-by-waist. response:	You mean step-by-step.
context: It'd be fine.\I can't!\A movie, huh?\Director,\would it be too much to ask you for direction?\Then...\I'll guide you step-by-waist.\You mean step-by-step. response:	What are you laughing at?
context: I can't!\A movie, huh?\Director,\would it be too much to ask you for direction?\Then...\I'll guide you step-by-waist.\You mean step-by-step.\What are you laughing at? response:	Nothing, really...
context: A movie, huh?\Director,\would it be too much to ask you for direction?\Then...\I'll guide you step-by-waist.\You mean step-by-step.\What are you laughing at?\Nothing, really... response:	Wait, what is that?
context: Director,\would it be too much to ask you for direction?\Then...\I'll guide you step-by-waist.\You mean step-by-step.\What are you laughing at?\Nothing, really...\Wait, what is that? response:	Huh?
context: would it be too much to ask you for direction?\Then...\I'll guide you step-by-waist.\You mean step-by-step.\What are you laughing at?\Nothing, really...\Wait, what is that?\Huh? response:	That right there.
context: Then...\I'll guide you step-by-waist.\You mean step-by-step.\What are you laughing at?\Nothing, really...\Wait, what is that?\Huh?\That right there. response:	What?
context: I'll guide you step-by-waist.\You mean step-by-step.\What are you laughing at?\Nothing, really...\Wait, what is that?\Huh?\That right there.\What? response:	Isn't that a hickey?
context: You mean step-by-step.\What are you laughing at?\Nothing, really...\Wait, what is that?\Huh?\That right there.\What?\Isn't that a hickey? response:	What?!
context: What are you laughing at?\Nothing, really...\Wait, what is that?\Huh?\That right there.\What?\Isn't that a hickey?\What?! response:	Huh?
context: Nothing, really...\Wait, what is that?\Huh?\That right there.\What?\Isn't that a hickey?\What?!\Huh? response:	Oh, here.
context: Wait, what is that?\Huh?\That right there.\What?\Isn't that a hickey?\What?!\Huh?\Oh, here. response:	You're sure prepared...
context: Huh?\That right there.\What?\Isn't that a hickey?\What?!\Huh?\Oh, here.\You're sure prepared... response:	Wait, what is that?!
context: That right there.\What?\Isn't that a hickey?\What?!\Huh?\Oh, here.\You're sure prepared...\Wait, what is that?! response:	I told you it was a hickey...
context: What?\Isn't that a hickey?\What?!\Huh?\Oh, here.\You're sure prepared...\Wait, what is that?!\I told you it was a hickey... response:	That's not it!
context: Isn't that a hickey?\What?!\Huh?\Oh, here.\You're sure prepared...\Wait, what is that?!\I told you it was a hickey...\That's not it! response:	I bet some bug bit me when I was out filming yesterday, or something.
context: What?!\Huh?\Oh, here.\You're sure prepared...\Wait, what is that?!\I told you it was a hickey...\That's not it!\I bet some bug bit me when I was out filming yesterday, or something. response:	For the love of God,
context: Huh?\Oh, here.\You're sure prepared...\Wait, what is that?!\I told you it was a hickey...\That's not it!\I bet some bug bit me when I was out filming yesterday, or something.\For the love of God, response:	I don't remember anything happening that'd cause thi
context: Oh, here.\You're sure prepared...\Wait, what is that?!\I told you it was a hickey...\That's not it!\I bet some bug bit me when I was out filming yesterday, or something.\For the love of God,\I don't remember anything happening that'd cause thi response:	H-He...
context: You're sure prepared...\Wait, what is that?!\I told you it was a hickey...\That's not it!\I bet some bug bit me when I was out filming yesterday, or something.\For the love of God,\I don't remember anything happening that'd cause thi\H-He... response:	He went quiet.
context: Wait, what is that?!\I told you it was a hickey...\That's not it!\I bet some bug bit me when I was out filming yesterday, or something.\For the love of God,\I don't remember anything happening that'd cause thi\H-He...\He went quiet. response:	Y-You don't remember anything?
context: I told you it was a hickey...\That's not it!\I bet some bug bit me when I was out filming yesterday, or something.\For the love of God,\I don't remember anything happening that'd cause thi\H-He...\He went quiet.\Y-You don't remember anything? response:	Just what were you filming, anyway?
context: That's not it!\I bet some bug bit me when I was out filming yesterday, or something.\For the love of God,\I don't remember anything happening that'd cause thi\H-He...\He went quiet.\Y-You don't remember anything?\Just what were you filming, anyway? response:	That wasn't what happened!
context: I bet some bug bit me when I was out filming yesterday, or something.\For the love of God,\I don't remember anything happening that'd cause thi\H-He...\He went quiet.\Y-You don't remember anything?\Just what were you filming, anyway?\That wasn't what happened! response:	That they would lower land taxes for the farmers,
context: For the love of God,\I don't remember anything happening that'd cause thi\H-He...\He went quiet.\Y-You don't remember anything?\Just what were you filming, anyway?\That wasn't what happened!\That they would lower land taxes for the farmers, response:	give the citizens free speech and freedom of assembly,
context: I don't remember anything happening that'd cause thi\H-He...\He went quiet.\Y-You don't remember anything?\Just what were you filming, anyway?\That wasn't what happened!\That they would lower land taxes for the farmers,\give the citizens free speech and freedom of assembly, response:	I'm glad...
context: H-He...\He went quiet.\Y-You don't remember anything?\Just what were you filming, anyway?\That wasn't what happened!\That they would lower land taxes for the farmers,\give the citizens free speech and freedom of assembly,\I'm glad... response:	and request a more equitable renegotiation of foreign treaties with other nations...
context: He went quiet.\Y-You don't remember anything?\Just what were you filming, anyway?\That wasn't what happened!\That they would lower land taxes for the farmers,\give the citizens free speech and freedom of assembly,\I'm glad...\and request a more equitable renegotiation of foreign treaties with other nations... response:	These were the three primary demands of...
context: Y-You don't remember anything?\Just what were you filming, anyway?\That wasn't what happened!\That they would lower land taxes for the farmers,\give the citizens free speech and freedom of assembly,\I'm glad...\and request a more equitable renegotiation of foreign treaties with other nations...\These were the three primary demands of... response:	So we'll all get together, since we have tomorrow off,
context: Just what were you filming, anyway?\That wasn't what happened!\That they would lower land taxes for the farmers,\give the citizens free speech and freedom of assembly,\I'm glad...\and request a more equitable renegotiation of foreign treaties with other nations...\These were the three primary demands of...\So we'll all get together, since we have tomorrow off, response:	and have a kick-off meeting for the production of the movie.
context: That wasn't what happened!\That they would lower land taxes for the farmers,\give the citizens free speech and freedom of assembly,\I'm glad...\and request a more equitable renegotiation of foreign treaties with other nations...\These were the three primary demands of...\So we'll all get together, since we have tomorrow off,\and have a kick-off meeting for the production of the movie. response:	Right.
context: That they would lower land taxes for the farmers,\give the citizens free speech and freedom of assembly,\I'm glad...\and request a more equitable renegotiation of foreign treaties with other nations...\These were the three primary demands of...\So we'll all get together, since we have tomorrow off,\and have a kick-off meeting for the production of the movie.\Right. response:	I'll contact Remon-senpai and the others.
context: give the citizens free speech and freedom of assembly,\I'm glad...\and request a more equitable renegotiation of foreign treaties with other nations...\These were the three primary demands of...\So we'll all get together, since we have tomorrow off,\and have a kick-off meeting for the production of the movie.\Right.\I'll contact Remon-senpai and the others. response:	Then, I'll see you guys later.
context: I'm glad...\and request a more equitable renegotiation of foreign treaties with other nations...\These were the three primary demands of...\So we'll all get together, since we have tomorrow off,\and have a kick-off meeting for the production of the movie.\Right.\I'll contact Remon-senpai and the others.\Then, I'll see you guys later. response:	Right.
