context: Even if we're preoccupied by the spring weather, response:	playing with girls' dreams of love is abominable! Abominable snowman!
context: I wonder what's wrong?\She won't wake up no matter what we do.\Is it that exhausting to be a teacher?\You know, I heard there's a disease going around just like this,\where you don't ever wake up.\So you get to sleep forever! How nice.\Why?\Why? Why? response:	Because...
context: She won't wake up no matter what we do.\Is it that exhausting to be a teacher?\You know, I heard there's a disease going around just like this,\where you don't ever wake up.\So you get to sleep forever! How nice.\Why?\Why? Why?\Because... response:	You get to stay in your dreams forever.
context: Is it that exhausting to be a teacher?\You know, I heard there's a disease going around just like this,\where you don't ever wake up.\So you get to sleep forever! How nice.\Why?\Why? Why?\Because...\You get to stay in your dreams forever. response:	I bet that's a lot of fun.
context: You know, I heard there's a disease going around just like this,\where you don't ever wake up.\So you get to sleep forever! How nice.\Why?\Why? Why?\Because...\You get to stay in your dreams forever.\I bet that's a lot of fun. response:	Huh?!
context: where you don't ever wake up.\So you get to sleep forever! How nice.\Why?\Why? Why?\Because...\You get to stay in your dreams forever.\I bet that's a lot of fun.\Huh?! response:	You think so?
context: So you get to sleep forever! How nice.\Why?\Why? Why?\Because...\You get to stay in your dreams forever.\I bet that's a lot of fun.\Huh?!\You think so? response:	Mr. President, we got more letters addressed to Midnight Zero.
context: Why?\Why? Why?\Because...\You get to stay in your dreams forever.\I bet that's a lot of fun.\Huh?!\You think so?\Mr. President, we got more letters addressed to Midnight Zero. response:	Again? Why do we get so many responses for a show that doesn't even exist?
context: Why? Why?\Because...\You get to stay in your dreams forever.\I bet that's a lot of fun.\Huh?!\You think so?\Mr. President, we got more letters addressed to Midnight Zero.\Again? Why do we get so many responses for a show that doesn't even exist? response:	What should we do?
context: Because...\You get to stay in your dreams forever.\I bet that's a lot of fun.\Huh?!\You think so?\Mr. President, we got more letters addressed to Midnight Zero.\Again? Why do we get so many responses for a show that doesn't even exist?\What should we do? response:	Never mind, just put it away somewhere.
context: You get to stay in your dreams forever.\I bet that's a lot of fun.\Huh?!\You think so?\Mr. President, we got more letters addressed to Midnight Zero.\Again? Why do we get so many responses for a show that doesn't even exist?\What should we do?\Never mind, just put it away somewhere. response:	Good grief.
context: I bet that's a lot of fun.\Huh?!\You think so?\Mr. President, we got more letters addressed to Midnight Zero.\Again? Why do we get so many responses for a show that doesn't even exist?\What should we do?\Never mind, just put it away somewhere.\Good grief. response:	I'll take care of those.
context: Huh?!\You think so?\Mr. President, we got more letters addressed to Midnight Zero.\Again? Why do we get so many responses for a show that doesn't even exist?\What should we do?\Never mind, just put it away somewhere.\Good grief.\I'll take care of those. response:	Oh really? Thank you.
context: You think so?\Mr. President, we got more letters addressed to Midnight Zero.\Again? Why do we get so many responses for a show that doesn't even exist?\What should we do?\Never mind, just put it away somewhere.\Good grief.\I'll take care of those.\Oh really? Thank you. response:	No problem.
context: Mr. President, we got more letters addressed to Midnight Zero.\Again? Why do we get so many responses for a show that doesn't even exist?\What should we do?\Never mind, just put it away somewhere.\Good grief.\I'll take care of those.\Oh really? Thank you.\No problem. response:	Oh Naru, you listen to Midnight Zero too?
context: Again? Why do we get so many responses for a show that doesn't even exist?\What should we do?\Never mind, just put it away somewhere.\Good grief.\I'll take care of those.\Oh really? Thank you.\No problem.\Oh Naru, you listen to Midnight Zero too? response:	Of course. I've sent them many love letters.
context: What should we do?\Never mind, just put it away somewhere.\Good grief.\I'll take care of those.\Oh really? Thank you.\No problem.\Oh Naru, you listen to Midnight Zero too?\Of course. I've sent them many love letters. response:	Really? Written to whom?
context: Never mind, just put it away somewhere.\Good grief.\I'll take care of those.\Oh really? Thank you.\No problem.\Oh Naru, you listen to Midnight Zero too?\Of course. I've sent them many love letters.\Really? Written to whom? response:	It doesn't matter.
context: Good grief.\I'll take care of those.\Oh really? Thank you.\No problem.\Oh Naru, you listen to Midnight Zero too?\Of course. I've sent them many love letters.\Really? Written to whom?\It doesn't matter. response:	You can just write it to your future boyfriend.
context: I'll take care of those.\Oh really? Thank you.\No problem.\Oh Naru, you listen to Midnight Zero too?\Of course. I've sent them many love letters.\Really? Written to whom?\It doesn't matter.\You can just write it to your future boyfriend. response:	That's a good idea. I didn't think of that. My future boyfriend.
context: Oh really? Thank you.\No problem.\Oh Naru, you listen to Midnight Zero too?\Of course. I've sent them many love letters.\Really? Written to whom?\It doesn't matter.\You can just write it to your future boyfriend.\That's a good idea. I didn't think of that. My future boyfriend. response:	Ouch!
context: No problem.\Oh Naru, you listen to Midnight Zero too?\Of course. I've sent them many love letters.\Really? Written to whom?\It doesn't matter.\You can just write it to your future boyfriend.\That's a good idea. I didn't think of that. My future boyfriend.\Ouch! response:	I'm sorry I wasn't paying attention.
context: Oh Naru, you listen to Midnight Zero too?\Of course. I've sent them many love letters.\Really? Written to whom?\It doesn't matter.\You can just write it to your future boyfriend.\That's a good idea. I didn't think of that. My future boyfriend.\Ouch!\I'm sorry I wasn't paying attention. response:	Usagi!
context: Of course. I've sent them many love letters.\Really? Written to whom?\It doesn't matter.\You can just write it to your future boyfriend.\That's a good idea. I didn't think of that. My future boyfriend.\Ouch!\I'm sorry I wasn't paying attention.\Usagi! response:	That's good. Apologizing to the telephone pole.
context: Really? Written to whom?\It doesn't matter.\You can just write it to your future boyfriend.\That's a good idea. I didn't think of that. My future boyfriend.\Ouch!\I'm sorry I wasn't paying attention.\Usagi!\That's good. Apologizing to the telephone pole. response:	But it may be a problem if the warm weather is affecting your head.
context: It doesn't matter.\You can just write it to your future boyfriend.\That's a good idea. I didn't think of that. My future boyfriend.\Ouch!\I'm sorry I wasn't paying attention.\Usagi!\That's good. Apologizing to the telephone pole.\But it may be a problem if the warm weather is affecting your head. response:	What did you say?
context: You can just write it to your future boyfriend.\That's a good idea. I didn't think of that. My future boyfriend.\Ouch!\I'm sorry I wasn't paying attention.\Usagi!\That's good. Apologizing to the telephone pole.\But it may be a problem if the warm weather is affecting your head.\What did you say? response:	Hey, do you know that guy? He's gorgeous.
context: That's a good idea. I didn't think of that. My future boyfriend.\Ouch!\I'm sorry I wasn't paying attention.\Usagi!\That's good. Apologizing to the telephone pole.\But it may be a problem if the warm weather is affecting your head.\What did you say?\Hey, do you know that guy? He's gorgeous. response:	He is not!
context: Ouch!\I'm sorry I wasn't paying attention.\Usagi!\That's good. Apologizing to the telephone pole.\But it may be a problem if the warm weather is affecting your head.\What did you say?\Hey, do you know that guy? He's gorgeous.\He is not! response:	He ticks me off.
context: I'm sorry I wasn't paying attention.\Usagi!\That's good. Apologizing to the telephone pole.\But it may be a problem if the warm weather is affecting your head.\What did you say?\Hey, do you know that guy? He's gorgeous.\He is not!\He ticks me off. response:	All right.
context: Usagi!\That's good. Apologizing to the telephone pole.\But it may be a problem if the warm weather is affecting your head.\What did you say?\Hey, do you know that guy? He's gorgeous.\He is not!\He ticks me off.\All right. response:	Okay, I'm going to really get this letter written.
context: That's good. Apologizing to the telephone pole.\But it may be a problem if the warm weather is affecting your head.\What did you say?\Hey, do you know that guy? He's gorgeous.\He is not!\He ticks me off.\All right.\Okay, I'm going to really get this letter written. response:	Usagi, a love letter doesn't really mean much
context: But it may be a problem if the warm weather is affecting your head.\What did you say?\Hey, do you know that guy? He's gorgeous.\He is not!\He ticks me off.\All right.\Okay, I'm going to really get this letter written.\Usagi, a love letter doesn't really mean much response:	if you don't give it to the person yourself.
context: What did you say?\Hey, do you know that guy? He's gorgeous.\He is not!\He ticks me off.\All right.\Okay, I'm going to really get this letter written.\Usagi, a love letter doesn't really mean much\if you don't give it to the person yourself. response:	Don't talk to me right now.
context: Hey, do you know that guy? He's gorgeous.\He is not!\He ticks me off.\All right.\Okay, I'm going to really get this letter written.\Usagi, a love letter doesn't really mean much\if you don't give it to the person yourself.\Don't talk to me right now. response:	Okay. Okay.
context: He is not!\He ticks me off.\All right.\Okay, I'm going to really get this letter written.\Usagi, a love letter doesn't really mean much\if you don't give it to the person yourself.\Don't talk to me right now.\Okay. Okay. response:	Future boyfriend. Future boyfriend.
context: He ticks me off.\All right.\Okay, I'm going to really get this letter written.\Usagi, a love letter doesn't really mean much\if you don't give it to the person yourself.\Don't talk to me right now.\Okay. Okay.\Future boyfriend. Future boyfriend. response:	It's no use. I can't think of anything to write.
context: All right.\Okay, I'm going to really get this letter written.\Usagi, a love letter doesn't really mean much\if you don't give it to the person yourself.\Don't talk to me right now.\Okay. Okay.\Future boyfriend. Future boyfriend.\It's no use. I can't think of anything to write. response:	I failed Japanese too.
context: Okay, I'm going to really get this letter written.\Usagi, a love letter doesn't really mean much\if you don't give it to the person yourself.\Don't talk to me right now.\Okay. Okay.\Future boyfriend. Future boyfriend.\It's no use. I can't think of anything to write.\I failed Japanese too. response:	That has nothing to do with it.
context: Usagi, a love letter doesn't really mean much\if you don't give it to the person yourself.\Don't talk to me right now.\Okay. Okay.\Future boyfriend. Future boyfriend.\It's no use. I can't think of anything to write.\I failed Japanese too.\That has nothing to do with it. response:	I know.
context: if you don't give it to the person yourself.\Don't talk to me right now.\Okay. Okay.\Future boyfriend. Future boyfriend.\It's no use. I can't think of anything to write.\I failed Japanese too.\That has nothing to do with it.\I know. response:	I'm going to go see Mr. J-Dite from Midnight Zero
context: Don't talk to me right now.\Okay. Okay.\Future boyfriend. Future boyfriend.\It's no use. I can't think of anything to write.\I failed Japanese too.\That has nothing to do with it.\I know.\I'm going to go see Mr. J-Dite from Midnight Zero response:	and ask him how I should write it!
context: Okay. Okay.\Future boyfriend. Future boyfriend.\It's no use. I can't think of anything to write.\I failed Japanese too.\That has nothing to do with it.\I know.\I'm going to go see Mr. J-Dite from Midnight Zero\and ask him how I should write it! response:	What?
context: Future boyfriend. Future boyfriend.\It's no use. I can't think of anything to write.\I failed Japanese too.\That has nothing to do with it.\I know.\I'm going to go see Mr. J-Dite from Midnight Zero\and ask him how I should write it!\What? response:	I've decided. Let's go, Luna!
context: It's no use. I can't think of anything to write.\I failed Japanese too.\That has nothing to do with it.\I know.\I'm going to go see Mr. J-Dite from Midnight Zero\and ask him how I should write it!\What?\I've decided. Let's go, Luna! response:	Hey, wait!
context: I failed Japanese too.\That has nothing to do with it.\I know.\I'm going to go see Mr. J-Dite from Midnight Zero\and ask him how I should write it!\What?\I've decided. Let's go, Luna!\Hey, wait! response:	What?
context: That has nothing to do with it.\I know.\I'm going to go see Mr. J-Dite from Midnight Zero\and ask him how I should write it!\What?\I've decided. Let's go, Luna!\Hey, wait!\What? response:	But this is FM 10 right?
context: I know.\I'm going to go see Mr. J-Dite from Midnight Zero\and ask him how I should write it!\What?\I've decided. Let's go, Luna!\Hey, wait!\What?\But this is FM 10 right? response:	Yes it is. But we don't have a show called Midnight Zero.
context: I'm going to go see Mr. J-Dite from Midnight Zero\and ask him how I should write it!\What?\I've decided. Let's go, Luna!\Hey, wait!\What?\But this is FM 10 right?\Yes it is. But we don't have a show called Midnight Zero. response:	What?
context: and ask him how I should write it!\What?\I've decided. Let's go, Luna!\Hey, wait!\What?\But this is FM 10 right?\Yes it is. But we don't have a show called Midnight Zero.\What? response:	What? Now go home.
context: What?\I've decided. Let's go, Luna!\Hey, wait!\What?\But this is FM 10 right?\Yes it is. But we don't have a show called Midnight Zero.\What?\What? Now go home. response:	Now go home.
context: I've decided. Let's go, Luna!\Hey, wait!\What?\But this is FM 10 right?\Yes it is. But we don't have a show called Midnight Zero.\What?\What? Now go home.\Now go home. response:	That's weird.
context: Hey, wait!\What?\But this is FM 10 right?\Yes it is. But we don't have a show called Midnight Zero.\What?\What? Now go home.\Now go home.\That's weird. response:	That's strange.
context: What?\But this is FM 10 right?\Yes it is. But we don't have a show called Midnight Zero.\What?\What? Now go home.\Now go home.\That's weird.\That's strange. response:	Good evening, it's time for Midnight Zero.
context: But this is FM 10 right?\Yes it is. But we don't have a show called Midnight Zero.\What?\What? Now go home.\Now go home.\That's weird.\That's strange.\Good evening, it's time for Midnight Zero. response:	See. They do have it.
context: Yes it is. But we don't have a show called Midnight Zero.\What?\What? Now go home.\Now go home.\That's weird.\That's strange.\Good evening, it's time for Midnight Zero.\See. They do have it. response:	That guard lied.
context: What?\What? Now go home.\Now go home.\That's weird.\That's strange.\Good evening, it's time for Midnight Zero.\See. They do have it.\That guard lied. response:	It's still strange.
context: What? Now go home.\Now go home.\That's weird.\That's strange.\Good evening, it's time for Midnight Zero.\See. They do have it.\That guard lied.\It's still strange. response:	It says that it should be a different program on FM 10 right now.
context: Now go home.\That's weird.\That's strange.\Good evening, it's time for Midnight Zero.\See. They do have it.\That guard lied.\It's still strange.\It says that it should be a different program on FM 10 right now. response:	That must be wrong because it's on.
context: That's weird.\That's strange.\Good evening, it's time for Midnight Zero.\See. They do have it.\That guard lied.\It's still strange.\It says that it should be a different program on FM 10 right now.\That must be wrong because it's on. response:	The first love letter we will read is from Naru who lives in Jubangai.
context: That's strange.\Good evening, it's time for Midnight Zero.\See. They do have it.\That guard lied.\It's still strange.\It says that it should be a different program on FM 10 right now.\That must be wrong because it's on.\The first love letter we will read is from Naru who lives in Jubangai. response:	Naru!
context: Good evening, it's time for Midnight Zero.\See. They do have it.\That guard lied.\It's still strange.\It says that it should be a different program on FM 10 right now.\That must be wrong because it's on.\The first love letter we will read is from Naru who lives in Jubangai.\Naru! response:	It's nice to believe in fate.
context: See. They do have it.\That guard lied.\It's still strange.\It says that it should be a different program on FM 10 right now.\That must be wrong because it's on.\The first love letter we will read is from Naru who lives in Jubangai.\Naru!\It's nice to believe in fate. response:	Good morning.
context: That guard lied.\It's still strange.\It says that it should be a different program on FM 10 right now.\That must be wrong because it's on.\The first love letter we will read is from Naru who lives in Jubangai.\Naru!\It's nice to believe in fate.\Good morning. response:	Good morning. Good morning.
context: It's still strange.\It says that it should be a different program on FM 10 right now.\That must be wrong because it's on.\The first love letter we will read is from Naru who lives in Jubangai.\Naru!\It's nice to believe in fate.\Good morning.\Good morning. Good morning. response:	Good morning.
context: It says that it should be a different program on FM 10 right now.\That must be wrong because it's on.\The first love letter we will read is from Naru who lives in Jubangai.\Naru!\It's nice to believe in fate.\Good morning.\Good morning. Good morning.\Good morning. response:	Wow!
context: That must be wrong because it's on.\The first love letter we will read is from Naru who lives in Jubangai.\Naru!\It's nice to believe in fate.\Good morning.\Good morning. Good morning.\Good morning.\Wow! response:	That's the flower brooch?
context: The first love letter we will read is from Naru who lives in Jubangai.\Naru!\It's nice to believe in fate.\Good morning.\Good morning. Good morning.\Good morning.\Wow!\That's the flower brooch? response:	Yeah, it arrived this morning.
context: Naru!\It's nice to believe in fate.\Good morning.\Good morning. Good morning.\Good morning.\Wow!\That's the flower brooch?\Yeah, it arrived this morning. response:	Naru, hurry up and open it!
context: It's nice to believe in fate.\Good morning.\Good morning. Good morning.\Good morning.\Wow!\That's the flower brooch?\Yeah, it arrived this morning.\Naru, hurry up and open it! response:	Okay!
context: Good morning.\Good morning. Good morning.\Good morning.\Wow!\That's the flower brooch?\Yeah, it arrived this morning.\Naru, hurry up and open it!\Okay! response:	Wow. It's so pretty.
context: Good morning. Good morning.\Good morning.\Wow!\That's the flower brooch?\Yeah, it arrived this morning.\Naru, hurry up and open it!\Okay!\Wow. It's so pretty. response:	Hey, that's the same as Ms. Haruna's.
context: Good morning.\Wow!\That's the flower brooch?\Yeah, it arrived this morning.\Naru, hurry up and open it!\Okay!\Wow. It's so pretty.\Hey, that's the same as Ms. Haruna's. response:	Really?
context: Wow!\That's the flower brooch?\Yeah, it arrived this morning.\Naru, hurry up and open it!\Okay!\Wow. It's so pretty.\Hey, that's the same as Ms. Haruna's.\Really? response:	So the letter that was from the Haruna in love was...
context: That's the flower brooch?\Yeah, it arrived this morning.\Naru, hurry up and open it!\Okay!\Wow. It's so pretty.\Hey, that's the same as Ms. Haruna's.\Really?\So the letter that was from the Haruna in love was... response:	The teacher's.
context: Yeah, it arrived this morning.\Naru, hurry up and open it!\Okay!\Wow. It's so pretty.\Hey, that's the same as Ms. Haruna's.\Really?\So the letter that was from the Haruna in love was...\The teacher's. response:	That's kind of strange.
context: Naru, hurry up and open it!\Okay!\Wow. It's so pretty.\Hey, that's the same as Ms. Haruna's.\Really?\So the letter that was from the Haruna in love was...\The teacher's.\That's kind of strange. response:	Wow! How cute.
context: Okay!\Wow. It's so pretty.\Hey, that's the same as Ms. Haruna's.\Really?\So the letter that was from the Haruna in love was...\The teacher's.\That's kind of strange.\Wow! How cute. response:	I'm...
context: Wow. It's so pretty.\Hey, that's the same as Ms. Haruna's.\Really?\So the letter that was from the Haruna in love was...\The teacher's.\That's kind of strange.\Wow! How cute.\I'm... response:	awfully...
context: Hey, that's the same as Ms. Haruna's.\Really?\So the letter that was from the Haruna in love was...\The teacher's.\That's kind of strange.\Wow! How cute.\I'm...\awfully... response:	sleepy.
context: Really?\So the letter that was from the Haruna in love was...\The teacher's.\That's kind of strange.\Wow! How cute.\I'm...\awfully...\sleepy. response:	Naru!
context: So the letter that was from the Haruna in love was...\The teacher's.\That's kind of strange.\Wow! How cute.\I'm...\awfully...\sleepy.\Naru! response:	Hey, what happened?
context: The teacher's.\That's kind of strange.\Wow! How cute.\I'm...\awfully...\sleepy.\Naru!\Hey, what happened? response:	Naru! Naru! Hey, what happened?
context: That's kind of strange.\Wow! How cute.\I'm...\awfully...\sleepy.\Naru!\Hey, what happened?\Naru! Naru! Hey, what happened? response:	Naru! Naru!
context: Wow! How cute.\I'm...\awfully...\sleepy.\Naru!\Hey, what happened?\Naru! Naru! Hey, what happened?\Naru! Naru! response:	Not Usagi too!
context: I'm...\awfully...\sleepy.\Naru!\Hey, what happened?\Naru! Naru! Hey, what happened?\Naru! Naru!\Not Usagi too! response:	What's wrong with you, Usagi? Not Usagi too!
context: awfully...\sleepy.\Naru!\Hey, what happened?\Naru! Naru! Hey, what happened?\Naru! Naru!\Not Usagi too!\What's wrong with you, Usagi? Not Usagi too! response:	What's wrong with you, Usagi?
context: sleepy.\Naru!\Hey, what happened?\Naru! Naru! Hey, what happened?\Naru! Naru!\Not Usagi too!\What's wrong with you, Usagi? Not Usagi too!\What's wrong with you, Usagi? response:	What's wrong with you, Usagi? Get a hold of yourself, Usagi!
context: Naru!\Hey, what happened?\Naru! Naru! Hey, what happened?\Naru! Naru!\Not Usagi too!\What's wrong with you, Usagi? Not Usagi too!\What's wrong with you, Usagi?\What's wrong with you, Usagi? Get a hold of yourself, Usagi! response:	Get a hold of yourself, Usagi!
context: Hey, what happened?\Naru! Naru! Hey, what happened?\Naru! Naru!\Not Usagi too!\What's wrong with you, Usagi? Not Usagi too!\What's wrong with you, Usagi?\What's wrong with you, Usagi? Get a hold of yourself, Usagi!\Get a hold of yourself, Usagi! response:	Oh, that's...
context: Naru! Naru! Hey, what happened?\Naru! Naru!\Not Usagi too!\What's wrong with you, Usagi? Not Usagi too!\What's wrong with you, Usagi?\What's wrong with you, Usagi? Get a hold of yourself, Usagi!\Get a hold of yourself, Usagi!\Oh, that's... response:	Tuxedo Mask.
context: Naru! Naru!\Not Usagi too!\What's wrong with you, Usagi? Not Usagi too!\What's wrong with you, Usagi?\What's wrong with you, Usagi? Get a hold of yourself, Usagi!\Get a hold of yourself, Usagi!\Oh, that's...\Tuxedo Mask. response:	Tuxedo Mask, could it be that you're...
context: Not Usagi too!\What's wrong with you, Usagi? Not Usagi too!\What's wrong with you, Usagi?\What's wrong with you, Usagi? Get a hold of yourself, Usagi!\Get a hold of yourself, Usagi!\Oh, that's...\Tuxedo Mask.\Tuxedo Mask, could it be that you're... response:	my future boyfriend?
context: What's wrong with you, Usagi? Not Usagi too!\What's wrong with you, Usagi?\What's wrong with you, Usagi? Get a hold of yourself, Usagi!\Get a hold of yourself, Usagi!\Oh, that's...\Tuxedo Mask.\Tuxedo Mask, could it be that you're...\my future boyfriend? response:	I can't believe I said it.
context: What's wrong with you, Usagi?\What's wrong with you, Usagi? Get a hold of yourself, Usagi!\Get a hold of yourself, Usagi!\Oh, that's...\Tuxedo Mask.\Tuxedo Mask, could it be that you're...\my future boyfriend?\I can't believe I said it. response:	It seems that way.
context: What's wrong with you, Usagi? Get a hold of yourself, Usagi!\Get a hold of yourself, Usagi!\Oh, that's...\Tuxedo Mask.\Tuxedo Mask, could it be that you're...\my future boyfriend?\I can't believe I said it.\It seems that way. response:	Oh my God! Yay! I'm so happy!
context: Get a hold of yourself, Usagi!\Oh, that's...\Tuxedo Mask.\Tuxedo Mask, could it be that you're...\my future boyfriend?\I can't believe I said it.\It seems that way.\Oh my God! Yay! I'm so happy! response:	Oh, Tuxedo Mask, if you are my boyfriend, show me your face.
context: Oh, that's...\Tuxedo Mask.\Tuxedo Mask, could it be that you're...\my future boyfriend?\I can't believe I said it.\It seems that way.\Oh my God! Yay! I'm so happy!\Oh, Tuxedo Mask, if you are my boyfriend, show me your face. response:	With pleasure.
context: Tuxedo Mask.\Tuxedo Mask, could it be that you're...\my future boyfriend?\I can't believe I said it.\It seems that way.\Oh my God! Yay! I'm so happy!\Oh, Tuxedo Mask, if you are my boyfriend, show me your face.\With pleasure. response:	Usagi!
context: Tuxedo Mask, could it be that you're...\my future boyfriend?\I can't believe I said it.\It seems that way.\Oh my God! Yay! I'm so happy!\Oh, Tuxedo Mask, if you are my boyfriend, show me your face.\With pleasure.\Usagi! response:	Oh good, you're awake!
context: my future boyfriend?\I can't believe I said it.\It seems that way.\Oh my God! Yay! I'm so happy!\Oh, Tuxedo Mask, if you are my boyfriend, show me your face.\With pleasure.\Usagi!\Oh good, you're awake! response:	Naru!
context: I can't believe I said it.\It seems that way.\Oh my God! Yay! I'm so happy!\Oh, Tuxedo Mask, if you are my boyfriend, show me your face.\With pleasure.\Usagi!\Oh good, you're awake!\Naru! response:	Usagi, this is a case.
context: It seems that way.\Oh my God! Yay! I'm so happy!\Oh, Tuxedo Mask, if you are my boyfriend, show me your face.\With pleasure.\Usagi!\Oh good, you're awake!\Naru!\Usagi, this is a case. response:	There must be something going on at that radio station.
context: Oh my God! Yay! I'm so happy!\Oh, Tuxedo Mask, if you are my boyfriend, show me your face.\With pleasure.\Usagi!\Oh good, you're awake!\Naru!\Usagi, this is a case.\There must be something going on at that radio station. response:	Yeah!
context: Oh, Tuxedo Mask, if you are my boyfriend, show me your face.\With pleasure.\Usagi!\Oh good, you're awake!\Naru!\Usagi, this is a case.\There must be something going on at that radio station.\Yeah! response:	We've gathered quite a bit now.
context: With pleasure.\Usagi!\Oh good, you're awake!\Naru!\Usagi, this is a case.\There must be something going on at that radio station.\Yeah!\We've gathered quite a bit now. response:	It seems the experiment was a success.
context: Usagi!\Oh good, you're awake!\Naru!\Usagi, this is a case.\There must be something going on at that radio station.\Yeah!\We've gathered quite a bit now.\It seems the experiment was a success. response:	Flowa, I never thought that young women
context: Oh good, you're awake!\Naru!\Usagi, this is a case.\There must be something going on at that radio station.\Yeah!\We've gathered quite a bit now.\It seems the experiment was a success.\Flowa, I never thought that young women response:	with dreams of love would have so much energy.
context: Naru!\Usagi, this is a case.\There must be something going on at that radio station.\Yeah!\We've gathered quite a bit now.\It seems the experiment was a success.\Flowa, I never thought that young women\with dreams of love would have so much energy. response:	The flower brooch puts girls to sleep and absorbs their dreams of love.
context: Usagi, this is a case.\There must be something going on at that radio station.\Yeah!\We've gathered quite a bit now.\It seems the experiment was a success.\Flowa, I never thought that young women\with dreams of love would have so much energy.\The flower brooch puts girls to sleep and absorbs their dreams of love. response:	This brooch that you created is very useful.
context: There must be something going on at that radio station.\Yeah!\We've gathered quite a bit now.\It seems the experiment was a success.\Flowa, I never thought that young women\with dreams of love would have so much energy.\The flower brooch puts girls to sleep and absorbs their dreams of love.\This brooch that you created is very useful. response:	It's about time for Midnight Zero.
context: Yeah!\We've gathered quite a bit now.\It seems the experiment was a success.\Flowa, I never thought that young women\with dreams of love would have so much energy.\The flower brooch puts girls to sleep and absorbs their dreams of love.\This brooch that you created is very useful.\It's about time for Midnight Zero. response:	Hey Luna. How are we going to sneak in?
context: We've gathered quite a bit now.\It seems the experiment was a success.\Flowa, I never thought that young women\with dreams of love would have so much energy.\The flower brooch puts girls to sleep and absorbs their dreams of love.\This brooch that you created is very useful.\It's about time for Midnight Zero.\Hey Luna. How are we going to sneak in? response:	The guard is going to stop us again.
context: It seems the experiment was a success.\Flowa, I never thought that young women\with dreams of love would have so much energy.\The flower brooch puts girls to sleep and absorbs their dreams of love.\This brooch that you created is very useful.\It's about time for Midnight Zero.\Hey Luna. How are we going to sneak in?\The guard is going to stop us again. response:	Don't worry.
context: Flowa, I never thought that young women\with dreams of love would have so much energy.\The flower brooch puts girls to sleep and absorbs their dreams of love.\This brooch that you created is very useful.\It's about time for Midnight Zero.\Hey Luna. How are we going to sneak in?\The guard is going to stop us again.\Don't worry. response:	What's this?
context: with dreams of love would have so much energy.\The flower brooch puts girls to sleep and absorbs their dreams of love.\This brooch that you created is very useful.\It's about time for Midnight Zero.\Hey Luna. How are we going to sneak in?\The guard is going to stop us again.\Don't worry.\What's this? response:	Use this pen.
context: The flower brooch puts girls to sleep and absorbs their dreams of love.\This brooch that you created is very useful.\It's about time for Midnight Zero.\Hey Luna. How are we going to sneak in?\The guard is going to stop us again.\Don't worry.\What's this?\Use this pen. response:	Huh? What's this pretty pen?
context: This brooch that you created is very useful.\It's about time for Midnight Zero.\Hey Luna. How are we going to sneak in?\The guard is going to stop us again.\Don't worry.\What's this?\Use this pen.\Huh? What's this pretty pen? response:	This is your new item.
context: It's about time for Midnight Zero.\Hey Luna. How are we going to sneak in?\The guard is going to stop us again.\Don't worry.\What's this?\Use this pen.\Huh? What's this pretty pen?\This is your new item. response:	If you use that, you can disguise yourself as different people.
context: Hey Luna. How are we going to sneak in?\The guard is going to stop us again.\Don't worry.\What's this?\Use this pen.\Huh? What's this pretty pen?\This is your new item.\If you use that, you can disguise yourself as different people. response:	Really? How does it work?
context: The guard is going to stop us again.\Don't worry.\What's this?\Use this pen.\Huh? What's this pretty pen?\This is your new item.\If you use that, you can disguise yourself as different people.\Really? How does it work? response:	Just yell, Moon Power!
context: Don't worry.\What's this?\Use this pen.\Huh? What's this pretty pen?\This is your new item.\If you use that, you can disguise yourself as different people.\Really? How does it work?\Just yell, Moon Power! response:	Moon Power. Right, okay.
context: What's this?\Use this pen.\Huh? What's this pretty pen?\This is your new item.\If you use that, you can disguise yourself as different people.\Really? How does it work?\Just yell, Moon Power!\Moon Power. Right, okay. response:	Moon Power, make me into a beautiful newscaster!
context: Use this pen.\Huh? What's this pretty pen?\This is your new item.\If you use that, you can disguise yourself as different people.\Really? How does it work?\Just yell, Moon Power!\Moon Power. Right, okay.\Moon Power, make me into a beautiful newscaster! response:	Yay, I've transformed!
context: Huh? What's this pretty pen?\This is your new item.\If you use that, you can disguise yourself as different people.\Really? How does it work?\Just yell, Moon Power!\Moon Power. Right, okay.\Moon Power, make me into a beautiful newscaster!\Yay, I've transformed! response:	Did you have to add the beautiful part?
context: This is your new item.\If you use that, you can disguise yourself as different people.\Really? How does it work?\Just yell, Moon Power!\Moon Power. Right, okay.\Moon Power, make me into a beautiful newscaster!\Yay, I've transformed!\Did you have to add the beautiful part? response:	Okay, Luna, we're going.
context: If you use that, you can disguise yourself as different people.\Really? How does it work?\Just yell, Moon Power!\Moon Power. Right, okay.\Moon Power, make me into a beautiful newscaster!\Yay, I've transformed!\Did you have to add the beautiful part?\Okay, Luna, we're going. response:	Got the attitude down.
context: Really? How does it work?\Just yell, Moon Power!\Moon Power. Right, okay.\Moon Power, make me into a beautiful newscaster!\Yay, I've transformed!\Did you have to add the beautiful part?\Okay, Luna, we're going.\Got the attitude down. response:	I knew it!
context: Just yell, Moon Power!\Moon Power. Right, okay.\Moon Power, make me into a beautiful newscaster!\Yay, I've transformed!\Did you have to add the beautiful part?\Okay, Luna, we're going.\Got the attitude down.\I knew it! response:	Good evening, it's time for Midnight Zero.
