context: Jeez... response:	So these are the Discipline Rooms I've heard so much about...
context: Is that you, Saya? Don't give me a heart attack!\You left yourself wide open.\H-Hey, you!\Where've you been?\S-Sorry about that.\We went to get these.\What's that?\Just listen and be surprised. response:	It's lunch.
context: You left yourself wide open.\H-Hey, you!\Where've you been?\S-Sorry about that.\We went to get these.\What's that?\Just listen and be surprised.\It's lunch. response:	Um... The other day, Sasamiya-senpai...
context: H-Hey, you!\Where've you been?\S-Sorry about that.\We went to get these.\What's that?\Just listen and be surprised.\It's lunch.\Um... The other day, Sasamiya-senpai... response:	No, I mean Saya and I talked it over, and...
context: Where've you been?\S-Sorry about that.\We went to get these.\What's that?\Just listen and be surprised.\It's lunch.\Um... The other day, Sasamiya-senpai...\No, I mean Saya and I talked it over, and... response:	Um... we made these as a way of cheering you on, so...
context: S-Sorry about that.\We went to get these.\What's that?\Just listen and be surprised.\It's lunch.\Um... The other day, Sasamiya-senpai...\No, I mean Saya and I talked it over, and...\Um... we made these as a way of cheering you on, so... response:	I-If you like, please have them!
context: We went to get these.\What's that?\Just listen and be surprised.\It's lunch.\Um... The other day, Sasamiya-senpai...\No, I mean Saya and I talked it over, and...\Um... we made these as a way of cheering you on, so...\I-If you like, please have them! response:	You made them just for us, huh?
context: What's that?\Just listen and be surprised.\It's lunch.\Um... The other day, Sasamiya-senpai...\No, I mean Saya and I talked it over, and...\Um... we made these as a way of cheering you on, so...\I-If you like, please have them!\You made them just for us, huh? response:	I have almost no experience in cooking, so Saya taught me...
context: Just listen and be surprised.\It's lunch.\Um... The other day, Sasamiya-senpai...\No, I mean Saya and I talked it over, and...\Um... we made these as a way of cheering you on, so...\I-If you like, please have them!\You made them just for us, huh?\I have almost no experience in cooking, so Saya taught me... response:	Oh? You're well-versed enough in cooking to teach others, Sasamiya?
context: It's lunch.\Um... The other day, Sasamiya-senpai...\No, I mean Saya and I talked it over, and...\Um... we made these as a way of cheering you on, so...\I-If you like, please have them!\You made them just for us, huh?\I have almost no experience in cooking, so Saya taught me...\Oh? You're well-versed enough in cooking to teach others, Sasamiya? response:	I-I'm so sorry.
context: Um... The other day, Sasamiya-senpai...\No, I mean Saya and I talked it over, and...\Um... we made these as a way of cheering you on, so...\I-If you like, please have them!\You made them just for us, huh?\I have almost no experience in cooking, so Saya taught me...\Oh? You're well-versed enough in cooking to teach others, Sasamiya?\I-I'm so sorry. response:	I totally have two left thumbs.
context: No, I mean Saya and I talked it over, and...\Um... we made these as a way of cheering you on, so...\I-If you like, please have them!\You made them just for us, huh?\I have almost no experience in cooking, so Saya taught me...\Oh? You're well-versed enough in cooking to teach others, Sasamiya?\I-I'm so sorry.\I totally have two left thumbs. response:	No, no, this makes me happy.
context: Um... we made these as a way of cheering you on, so...\I-If you like, please have them!\You made them just for us, huh?\I have almost no experience in cooking, so Saya taught me...\Oh? You're well-versed enough in cooking to teach others, Sasamiya?\I-I'm so sorry.\I totally have two left thumbs.\No, no, this makes me happy. response:	Thanks, Kirin.
context: I-If you like, please have them!\You made them just for us, huh?\I have almost no experience in cooking, so Saya taught me...\Oh? You're well-versed enough in cooking to teach others, Sasamiya?\I-I'm so sorry.\I totally have two left thumbs.\No, no, this makes me happy.\Thanks, Kirin. response:	Ayato. Ayato. Take a look at mine, too.
context: You made them just for us, huh?\I have almost no experience in cooking, so Saya taught me...\Oh? You're well-versed enough in cooking to teach others, Sasamiya?\I-I'm so sorry.\I totally have two left thumbs.\No, no, this makes me happy.\Thanks, Kirin.\Ayato. Ayato. Take a look at mine, too. response:	Oh, sure.
context: I have almost no experience in cooking, so Saya taught me...\Oh? You're well-versed enough in cooking to teach others, Sasamiya?\I-I'm so sorry.\I totally have two left thumbs.\No, no, this makes me happy.\Thanks, Kirin.\Ayato. Ayato. Take a look at mine, too.\Oh, sure. response:	These are quite... um... large, eh?
context: Oh? You're well-versed enough in cooking to teach others, Sasamiya?\I-I'm so sorry.\I totally have two left thumbs.\No, no, this makes me happy.\Thanks, Kirin.\Ayato. Ayato. Take a look at mine, too.\Oh, sure.\These are quite... um... large, eh? response:	Bigger is better. That's my motto.
context: I-I'm so sorry.\I totally have two left thumbs.\No, no, this makes me happy.\Thanks, Kirin.\Ayato. Ayato. Take a look at mine, too.\Oh, sure.\These are quite... um... large, eh?\Bigger is better. That's my motto. response:	Are these all rice balls, by any chance?
context: I totally have two left thumbs.\No, no, this makes me happy.\Thanks, Kirin.\Ayato. Ayato. Take a look at mine, too.\Oh, sure.\These are quite... um... large, eh?\Bigger is better. That's my motto.\Are these all rice balls, by any chance? response:	Something wrong with that?
context: No, no, this makes me happy.\Thanks, Kirin.\Ayato. Ayato. Take a look at mine, too.\Oh, sure.\These are quite... um... large, eh?\Bigger is better. That's my motto.\Are these all rice balls, by any chance?\Something wrong with that? response:	No, I was just impressed that you'd claim you'd taught her to cook with these.
context: Thanks, Kirin.\Ayato. Ayato. Take a look at mine, too.\Oh, sure.\These are quite... um... large, eh?\Bigger is better. That's my motto.\Are these all rice balls, by any chance?\Something wrong with that?\No, I was just impressed that you'd claim you'd taught her to cook with these. response:	Just so we're clear, that wasn't a compliment, all right?
context: Ayato. Ayato. Take a look at mine, too.\Oh, sure.\These are quite... um... large, eh?\Bigger is better. That's my motto.\Are these all rice balls, by any chance?\Something wrong with that?\No, I was just impressed that you'd claim you'd taught her to cook with these.\Just so we're clear, that wasn't a compliment, all right? response:	Well, hey, this is more than enough for us all to eat, don't you think?
context: Oh, sure.\These are quite... um... large, eh?\Bigger is better. That's my motto.\Are these all rice balls, by any chance?\Something wrong with that?\No, I was just impressed that you'd claim you'd taught her to cook with these.\Just so we're clear, that wasn't a compliment, all right?\Well, hey, this is more than enough for us all to eat, don't you think? response:	That was the plan all along.
context: These are quite... um... large, eh?\Bigger is better. That's my motto.\Are these all rice balls, by any chance?\Something wrong with that?\No, I was just impressed that you'd claim you'd taught her to cook with these.\Just so we're clear, that wasn't a compliment, all right?\Well, hey, this is more than enough for us all to eat, don't you think?\That was the plan all along. response:	Hear that, Julis?
context: Bigger is better. That's my motto.\Are these all rice balls, by any chance?\Something wrong with that?\No, I was just impressed that you'd claim you'd taught her to cook with these.\Just so we're clear, that wasn't a compliment, all right?\Well, hey, this is more than enough for us all to eat, don't you think?\That was the plan all along.\Hear that, Julis? response:	Well, in that case, why don't we join them?
context: Are these all rice balls, by any chance?\Something wrong with that?\No, I was just impressed that you'd claim you'd taught her to cook with these.\Just so we're clear, that wasn't a compliment, all right?\Well, hey, this is more than enough for us all to eat, don't you think?\That was the plan all along.\Hear that, Julis?\Well, in that case, why don't we join them? response:	All right, it's a date!
context: Something wrong with that?\No, I was just impressed that you'd claim you'd taught her to cook with these.\Just so we're clear, that wasn't a compliment, all right?\Well, hey, this is more than enough for us all to eat, don't you think?\That was the plan all along.\Hear that, Julis?\Well, in that case, why don't we join them?\All right, it's a date! response:	Me, too. You have to play fair.
context: No, I was just impressed that you'd claim you'd taught her to cook with these.\Just so we're clear, that wasn't a compliment, all right?\Well, hey, this is more than enough for us all to eat, don't you think?\That was the plan all along.\Hear that, Julis?\Well, in that case, why don't we join them?\All right, it's a date!\Me, too. You have to play fair. response:	Feels good.
context: Just so we're clear, that wasn't a compliment, all right?\Well, hey, this is more than enough for us all to eat, don't you think?\That was the plan all along.\Hear that, Julis?\Well, in that case, why don't we join them?\All right, it's a date!\Me, too. You have to play fair.\Feels good. response:	We can probably eat in peace in our waiting room. Let's go!
context: Well, hey, this is more than enough for us all to eat, don't you think?\That was the plan all along.\Hear that, Julis?\Well, in that case, why don't we join them?\All right, it's a date!\Me, too. You have to play fair.\Feels good.\We can probably eat in peace in our waiting room. Let's go! response:	Hey! Hold up, Julis!
context: That was the plan all along.\Hear that, Julis?\Well, in that case, why don't we join them?\All right, it's a date!\Me, too. You have to play fair.\Feels good.\We can probably eat in peace in our waiting room. Let's go!\Hey! Hold up, Julis! response:	Thanks for the meal!
context: Hear that, Julis?\Well, in that case, why don't we join them?\All right, it's a date!\Me, too. You have to play fair.\Feels good.\We can probably eat in peace in our waiting room. Let's go!\Hey! Hold up, Julis!\Thanks for the meal! response:	Sorry for my humble offering.
context: Well, in that case, why don't we join them?\All right, it's a date!\Me, too. You have to play fair.\Feels good.\We can probably eat in peace in our waiting room. Let's go!\Hey! Hold up, Julis!\Thanks for the meal!\Sorry for my humble offering. response:	It was really good.
context: All right, it's a date!\Me, too. You have to play fair.\Feels good.\We can probably eat in peace in our waiting room. Let's go!\Hey! Hold up, Julis!\Thanks for the meal!\Sorry for my humble offering.\It was really good. response:	R-Right!
context: Me, too. You have to play fair.\Feels good.\We can probably eat in peace in our waiting room. Let's go!\Hey! Hold up, Julis!\Thanks for the meal!\Sorry for my humble offering.\It was really good.\R-Right! response:	I think I overate a little.
context: Feels good.\We can probably eat in peace in our waiting room. Let's go!\Hey! Hold up, Julis!\Thanks for the meal!\Sorry for my humble offering.\It was really good.\R-Right!\I think I overate a little. response:	Well, no wonder! You ate three or four of those gigantic rice balls!
context: We can probably eat in peace in our waiting room. Let's go!\Hey! Hold up, Julis!\Thanks for the meal!\Sorry for my humble offering.\It was really good.\R-Right!\I think I overate a little.\Well, no wonder! You ate three or four of those gigantic rice balls! response:	Whoa, it's almost time.
context: Hey! Hold up, Julis!\Thanks for the meal!\Sorry for my humble offering.\It was really good.\R-Right!\I think I overate a little.\Well, no wonder! You ate three or four of those gigantic rice balls!\Whoa, it's almost time. response:	All righty, I'm here at the Sirius Dome, site of today's first match!
context: Thanks for the meal!\Sorry for my humble offering.\It was really good.\R-Right!\I think I overate a little.\Well, no wonder! You ate three or four of those gigantic rice balls!\Whoa, it's almost time.\All righty, I'm here at the Sirius Dome, site of today's first match! response:	Live commentary will be provided by yours truly, Meeko Yanase, ABC reporter.
context: Sorry for my humble offering.\It was really good.\R-Right!\I think I overate a little.\Well, no wonder! You ate three or four of those gigantic rice balls!\Whoa, it's almost time.\All righty, I'm here at the Sirius Dome, site of today's first match!\Live commentary will be provided by yours truly, Meeko Yanase, ABC reporter. response:	Play-by-play will be provided by Jie Long Academy 7 alumna
context: It was really good.\R-Right!\I think I overate a little.\Well, no wonder! You ate three or four of those gigantic rice balls!\Whoa, it's almost time.\All righty, I'm here at the Sirius Dome, site of today's first match!\Live commentary will be provided by yours truly, Meeko Yanase, ABC reporter.\Play-by-play will be provided by Jie Long Academy 7 alumna response:	and leader of the current Executive Aladfar... Pham Thi Tram!
context: R-Right!\I think I overate a little.\Well, no wonder! You ate three or four of those gigantic rice balls!\Whoa, it's almost time.\All righty, I'm here at the Sirius Dome, site of today's first match!\Live commentary will be provided by yours truly, Meeko Yanase, ABC reporter.\Play-by-play will be provided by Jie Long Academy 7 alumna\and leader of the current Executive Aladfar... Pham Thi Tram! response:	Hello, I look forward to collaborating with you!
context: I think I overate a little.\Well, no wonder! You ate three or four of those gigantic rice balls!\Whoa, it's almost time.\All righty, I'm here at the Sirius Dome, site of today's first match!\Live commentary will be provided by yours truly, Meeko Yanase, ABC reporter.\Play-by-play will be provided by Jie Long Academy 7 alumna\and leader of the current Executive Aladfar... Pham Thi Tram!\Hello, I look forward to collaborating with you! response:	Now then, I know it's right before the match, but let's quickly review the rules!
context: Well, no wonder! You ate three or four of those gigantic rice balls!\Whoa, it's almost time.\All righty, I'm here at the Sirius Dome, site of today's first match!\Live commentary will be provided by yours truly, Meeko Yanase, ABC reporter.\Play-by-play will be provided by Jie Long Academy 7 alumna\and leader of the current Executive Aladfar... Pham Thi Tram!\Hello, I look forward to collaborating with you!\Now then, I know it's right before the match, but let's quickly review the rules! response:	This Festa will run for approximately two weeks.
context: Whoa, it's almost time.\All righty, I'm here at the Sirius Dome, site of today's first match!\Live commentary will be provided by yours truly, Meeko Yanase, ABC reporter.\Play-by-play will be provided by Jie Long Academy 7 alumna\and leader of the current Executive Aladfar... Pham Thi Tram!\Hello, I look forward to collaborating with you!\Now then, I know it's right before the match, but let's quickly review the rules!\This Festa will run for approximately two weeks. response:	The first week is casually known as the preliminary round,
context: All righty, I'm here at the Sirius Dome, site of today's first match!\Live commentary will be provided by yours truly, Meeko Yanase, ABC reporter.\Play-by-play will be provided by Jie Long Academy 7 alumna\and leader of the current Executive Aladfar... Pham Thi Tram!\Hello, I look forward to collaborating with you!\Now then, I know it's right before the match, but let's quickly review the rules!\This Festa will run for approximately two weeks.\The first week is casually known as the preliminary round, response:	and our field of 256 pairs will be whittled down to the Top 32.
context: Live commentary will be provided by yours truly, Meeko Yanase, ABC reporter.\Play-by-play will be provided by Jie Long Academy 7 alumna\and leader of the current Executive Aladfar... Pham Thi Tram!\Hello, I look forward to collaborating with you!\Now then, I know it's right before the match, but let's quickly review the rules!\This Festa will run for approximately two weeks.\The first week is casually known as the preliminary round,\and our field of 256 pairs will be whittled down to the Top 32. response:	For the final round, matchups will be drawn in advance,
context: Play-by-play will be provided by Jie Long Academy 7 alumna\and leader of the current Executive Aladfar... Pham Thi Tram!\Hello, I look forward to collaborating with you!\Now then, I know it's right before the match, but let's quickly review the rules!\This Festa will run for approximately two weeks.\The first week is casually known as the preliminary round,\and our field of 256 pairs will be whittled down to the Top 32.\For the final round, matchups will be drawn in advance, response:	and it will be a whole new tournament then, right?
context: and leader of the current Executive Aladfar... Pham Thi Tram!\Hello, I look forward to collaborating with you!\Now then, I know it's right before the match, but let's quickly review the rules!\This Festa will run for approximately two weeks.\The first week is casually known as the preliminary round,\and our field of 256 pairs will be whittled down to the Top 32.\For the final round, matchups will be drawn in advance,\and it will be a whole new tournament then, right? response:	That's right. Each academy will start earning points when the final is underway.
context: Hello, I look forward to collaborating with you!\Now then, I know it's right before the match, but let's quickly review the rules!\This Festa will run for approximately two weeks.\The first week is casually known as the preliminary round,\and our field of 256 pairs will be whittled down to the Top 32.\For the final round, matchups will be drawn in advance,\and it will be a whole new tournament then, right?\That's right. Each academy will start earning points when the final is underway. response:	The match ends when both team members have their school badges destroyed,
context: Now then, I know it's right before the match, but let's quickly review the rules!\This Festa will run for approximately two weeks.\The first week is casually known as the preliminary round,\and our field of 256 pairs will be whittled down to the Top 32.\For the final round, matchups will be drawn in advance,\and it will be a whole new tournament then, right?\That's right. Each academy will start earning points when the final is underway.\The match ends when both team members have their school badges destroyed, response:	or else when they've been judged to have lost, by losing consciousness, giving up, and so on.
context: This Festa will run for approximately two weeks.\The first week is casually known as the preliminary round,\and our field of 256 pairs will be whittled down to the Top 32.\For the final round, matchups will be drawn in advance,\and it will be a whole new tournament then, right?\That's right. Each academy will start earning points when the final is underway.\The match ends when both team members have their school badges destroyed,\or else when they've been judged to have lost, by losing consciousness, giving up, and so on. response:	This will be announced via their school badges.
context: The first week is casually known as the preliminary round,\and our field of 256 pairs will be whittled down to the Top 32.\For the final round, matchups will be drawn in advance,\and it will be a whole new tournament then, right?\That's right. Each academy will start earning points when the final is underway.\The match ends when both team members have their school badges destroyed,\or else when they've been judged to have lost, by losing consciousness, giving up, and so on.\This will be announced via their school badges. response:	Since the match and all judgment calls are fully automated, there will be no referees.
context: and our field of 256 pairs will be whittled down to the Top 32.\For the final round, matchups will be drawn in advance,\and it will be a whole new tournament then, right?\That's right. Each academy will start earning points when the final is underway.\The match ends when both team members have their school badges destroyed,\or else when they've been judged to have lost, by losing consciousness, giving up, and so on.\This will be announced via their school badges.\Since the match and all judgment calls are fully automated, there will be no referees. response:	I think your first opponents are from Galahadworth, right?
context: For the final round, matchups will be drawn in advance,\and it will be a whole new tournament then, right?\That's right. Each academy will start earning points when the final is underway.\The match ends when both team members have their school badges destroyed,\or else when they've been judged to have lost, by losing consciousness, giving up, and so on.\This will be announced via their school badges.\Since the match and all judgment calls are fully automated, there will be no referees.\I think your first opponents are from Galahadworth, right? response:	Yeah. Rank 30 and 41, I think?
context: and it will be a whole new tournament then, right?\That's right. Each academy will start earning points when the final is underway.\The match ends when both team members have their school badges destroyed,\or else when they've been judged to have lost, by losing consciousness, giving up, and so on.\This will be announced via their school badges.\Since the match and all judgment calls are fully automated, there will be no referees.\I think your first opponents are from Galahadworth, right?\Yeah. Rank 30 and 41, I think? response:	Can you beat them?
context: That's right. Each academy will start earning points when the final is underway.\The match ends when both team members have their school badges destroyed,\or else when they've been judged to have lost, by losing consciousness, giving up, and so on.\This will be announced via their school badges.\Since the match and all judgment calls are fully automated, there will be no referees.\I think your first opponents are from Galahadworth, right?\Yeah. Rank 30 and 41, I think?\Can you beat them? response:	I'm just gonna do everything I can.
context: The match ends when both team members have their school badges destroyed,\or else when they've been judged to have lost, by losing consciousness, giving up, and so on.\This will be announced via their school badges.\Since the match and all judgment calls are fully automated, there will be no referees.\I think your first opponents are from Galahadworth, right?\Yeah. Rank 30 and 41, I think?\Can you beat them?\I'm just gonna do everything I can. response:	Do you have some kind of special strategy up your sleeves?
context: or else when they've been judged to have lost, by losing consciousness, giving up, and so on.\This will be announced via their school badges.\Since the match and all judgment calls are fully automated, there will be no referees.\I think your first opponents are from Galahadworth, right?\Yeah. Rank 30 and 41, I think?\Can you beat them?\I'm just gonna do everything I can.\Do you have some kind of special strategy up your sleeves? response:	No. It's quite the opposite.
context: This will be announced via their school badges.\Since the match and all judgment calls are fully automated, there will be no referees.\I think your first opponents are from Galahadworth, right?\Yeah. Rank 30 and 41, I think?\Can you beat them?\I'm just gonna do everything I can.\Do you have some kind of special strategy up your sleeves?\No. It's quite the opposite. response:	Oh, well, just see for yourself!
context: Since the match and all judgment calls are fully automated, there will be no referees.\I think your first opponents are from Galahadworth, right?\Yeah. Rank 30 and 41, I think?\Can you beat them?\I'm just gonna do everything I can.\Do you have some kind of special strategy up your sleeves?\No. It's quite the opposite.\Oh, well, just see for yourself! response:	Now, then, this is today's second match, Block C, Round 1, Match 1!
context: I think your first opponents are from Galahadworth, right?\Yeah. Rank 30 and 41, I think?\Can you beat them?\I'm just gonna do everything I can.\Do you have some kind of special strategy up your sleeves?\No. It's quite the opposite.\Oh, well, just see for yourself!\Now, then, this is today's second match, Block C, Round 1, Match 1! response:	And who's making their way onstage from the East Corner?
context: Yeah. Rank 30 and 41, I think?\Can you beat them?\I'm just gonna do everything I can.\Do you have some kind of special strategy up your sleeves?\No. It's quite the opposite.\Oh, well, just see for yourself!\Now, then, this is today's second match, Block C, Round 1, Match 1!\And who's making their way onstage from the East Corner? response:	Seidoukan Academy!
context: Can you beat them?\I'm just gonna do everything I can.\Do you have some kind of special strategy up your sleeves?\No. It's quite the opposite.\Oh, well, just see for yourself!\Now, then, this is today's second match, Block C, Round 1, Match 1!\And who's making their way onstage from the East Corner?\Seidoukan Academy! response:	The team of Ayato Amagiri and Julis-Alexia von Riessfelt!
context: I'm just gonna do everything I can.\Do you have some kind of special strategy up your sleeves?\No. It's quite the opposite.\Oh, well, just see for yourself!\Now, then, this is today's second match, Block C, Round 1, Match 1!\And who's making their way onstage from the East Corner?\Seidoukan Academy!\The team of Ayato Amagiri and Julis-Alexia von Riessfelt! response:	SEIDOUKAN ACADEMY AYATO AMAGIRI JULIS-ALEXIA VON RIESSFELT
context: Do you have some kind of special strategy up your sleeves?\No. It's quite the opposite.\Oh, well, just see for yourself!\Now, then, this is today's second match, Block C, Round 1, Match 1!\And who's making their way onstage from the East Corner?\Seidoukan Academy!\The team of Ayato Amagiri and Julis-Alexia von Riessfelt!\SEIDOUKAN ACADEMY AYATO AMAGIRI JULIS-ALEXIA VON RIESSFELT response:	Also known as Murakumo, Ayato Amagiri, believe it or not, just rose to Rank 1 a few weeks ago!
context: No. It's quite the opposite.\Oh, well, just see for yourself!\Now, then, this is today's second match, Block C, Round 1, Match 1!\And who's making their way onstage from the East Corner?\Seidoukan Academy!\The team of Ayato Amagiri and Julis-Alexia von Riessfelt!\SEIDOUKAN ACADEMY AYATO AMAGIRI JULIS-ALEXIA VON RIESSFELT\Also known as Murakumo, Ayato Amagiri, believe it or not, just rose to Rank 1 a few weeks ago! response:	He's the only Rank 1 among the contestants this time.
context: Oh, well, just see for yourself!\Now, then, this is today's second match, Block C, Round 1, Match 1!\And who's making their way onstage from the East Corner?\Seidoukan Academy!\The team of Ayato Amagiri and Julis-Alexia von Riessfelt!\SEIDOUKAN ACADEMY AYATO AMAGIRI JULIS-ALEXIA VON RIESSFELT\Also known as Murakumo, Ayato Amagiri, believe it or not, just rose to Rank 1 a few weeks ago!\He's the only Rank 1 among the contestants this time. response:	From those viral videos, we can see that he has tremendous power.
context: Now, then, this is today's second match, Block C, Round 1, Match 1!\And who's making their way onstage from the East Corner?\Seidoukan Academy!\The team of Ayato Amagiri and Julis-Alexia von Riessfelt!\SEIDOUKAN ACADEMY AYATO AMAGIRI JULIS-ALEXIA VON RIESSFELT\Also known as Murakumo, Ayato Amagiri, believe it or not, just rose to Rank 1 a few weeks ago!\He's the only Rank 1 among the contestants this time.\From those viral videos, we can see that he has tremendous power. response:	He sure is one to watch, huh?
context: And who's making their way onstage from the East Corner?\Seidoukan Academy!\The team of Ayato Amagiri and Julis-Alexia von Riessfelt!\SEIDOUKAN ACADEMY AYATO AMAGIRI JULIS-ALEXIA VON RIESSFELT\Also known as Murakumo, Ayato Amagiri, believe it or not, just rose to Rank 1 a few weeks ago!\He's the only Rank 1 among the contestants this time.\From those viral videos, we can see that he has tremendous power.\He sure is one to watch, huh? response:	She says you're one to watch.
context: Seidoukan Academy!\The team of Ayato Amagiri and Julis-Alexia von Riessfelt!\SEIDOUKAN ACADEMY AYATO AMAGIRI JULIS-ALEXIA VON RIESSFELT\Also known as Murakumo, Ayato Amagiri, believe it or not, just rose to Rank 1 a few weeks ago!\He's the only Rank 1 among the contestants this time.\From those viral videos, we can see that he has tremendous power.\He sure is one to watch, huh?\She says you're one to watch. response:	I'm nervous enough as it is.
context: The team of Ayato Amagiri and Julis-Alexia von Riessfelt!\SEIDOUKAN ACADEMY AYATO AMAGIRI JULIS-ALEXIA VON RIESSFELT\Also known as Murakumo, Ayato Amagiri, believe it or not, just rose to Rank 1 a few weeks ago!\He's the only Rank 1 among the contestants this time.\From those viral videos, we can see that he has tremendous power.\He sure is one to watch, huh?\She says you're one to watch.\I'm nervous enough as it is. response:	Why would you say a thing like that?
context: SEIDOUKAN ACADEMY AYATO AMAGIRI JULIS-ALEXIA VON RIESSFELT\Also known as Murakumo, Ayato Amagiri, believe it or not, just rose to Rank 1 a few weeks ago!\He's the only Rank 1 among the contestants this time.\From those viral videos, we can see that he has tremendous power.\He sure is one to watch, huh?\She says you're one to watch.\I'm nervous enough as it is.\Why would you say a thing like that? response:	And if that weren't enough, his tag partner is Julis von Riessfelt, a.k.a. the Gluhen Rose!
context: Also known as Murakumo, Ayato Amagiri, believe it or not, just rose to Rank 1 a few weeks ago!\He's the only Rank 1 among the contestants this time.\From those viral videos, we can see that he has tremendous power.\He sure is one to watch, huh?\She says you're one to watch.\I'm nervous enough as it is.\Why would you say a thing like that?\And if that weren't enough, his tag partner is Julis von Riessfelt, a.k.a. the Gluhen Rose! response:	Who's Seidoukan's Rank 5.
context: He's the only Rank 1 among the contestants this time.\From those viral videos, we can see that he has tremendous power.\He sure is one to watch, huh?\She says you're one to watch.\I'm nervous enough as it is.\Why would you say a thing like that?\And if that weren't enough, his tag partner is Julis von Riessfelt, a.k.a. the Gluhen Rose!\Who's Seidoukan's Rank 5. response:	It wouldn't be an overstatement to call them the frontrunners, would it?
context: From those viral videos, we can see that he has tremendous power.\He sure is one to watch, huh?\She says you're one to watch.\I'm nervous enough as it is.\Why would you say a thing like that?\And if that weren't enough, his tag partner is Julis von Riessfelt, a.k.a. the Gluhen Rose!\Who's Seidoukan's Rank 5.\It wouldn't be an overstatement to call them the frontrunners, would it? response:	The crowd's going wild for her!
context: He sure is one to watch, huh?\She says you're one to watch.\I'm nervous enough as it is.\Why would you say a thing like that?\And if that weren't enough, his tag partner is Julis von Riessfelt, a.k.a. the Gluhen Rose!\Who's Seidoukan's Rank 5.\It wouldn't be an overstatement to call them the frontrunners, would it?\The crowd's going wild for her! response:	Well, she is a princess of Lieseltania, you know.
context: She says you're one to watch.\I'm nervous enough as it is.\Why would you say a thing like that?\And if that weren't enough, his tag partner is Julis von Riessfelt, a.k.a. the Gluhen Rose!\Who's Seidoukan's Rank 5.\It wouldn't be an overstatement to call them the frontrunners, would it?\The crowd's going wild for her!\Well, she is a princess of Lieseltania, you know. response:	And in terms of her abilities as a Strega, I think she's among the best of her generation.
context: I'm nervous enough as it is.\Why would you say a thing like that?\And if that weren't enough, his tag partner is Julis von Riessfelt, a.k.a. the Gluhen Rose!\Who's Seidoukan's Rank 5.\It wouldn't be an overstatement to call them the frontrunners, would it?\The crowd's going wild for her!\Well, she is a princess of Lieseltania, you know.\And in terms of her abilities as a Strega, I think she's among the best of her generation. response:	Let's go.
context: Why would you say a thing like that?\And if that weren't enough, his tag partner is Julis von Riessfelt, a.k.a. the Gluhen Rose!\Who's Seidoukan's Rank 5.\It wouldn't be an overstatement to call them the frontrunners, would it?\The crowd's going wild for her!\Well, she is a princess of Lieseltania, you know.\And in terms of her abilities as a Strega, I think she's among the best of her generation.\Let's go. response:	Right.
context: And if that weren't enough, his tag partner is Julis von Riessfelt, a.k.a. the Gluhen Rose!\Who's Seidoukan's Rank 5.\It wouldn't be an overstatement to call them the frontrunners, would it?\The crowd's going wild for her!\Well, she is a princess of Lieseltania, you know.\And in terms of her abilities as a Strega, I think she's among the best of her generation.\Let's go.\Right. response:	All right, they're ready to go now!
context: Who's Seidoukan's Rank 5.\It wouldn't be an overstatement to call them the frontrunners, would it?\The crowd's going wild for her!\Well, she is a princess of Lieseltania, you know.\And in terms of her abilities as a Strega, I think she's among the best of her generation.\Let's go.\Right.\All right, they're ready to go now! response:	Phoenix Festa Block C, Round 1, Team 1...
context: It wouldn't be an overstatement to call them the frontrunners, would it?\The crowd's going wild for her!\Well, she is a princess of Lieseltania, you know.\And in terms of her abilities as a Strega, I think she's among the best of her generation.\Let's go.\Right.\All right, they're ready to go now!\Phoenix Festa Block C, Round 1, Team 1... response:	Battle start!
context: The crowd's going wild for her!\Well, she is a princess of Lieseltania, you know.\And in terms of her abilities as a Strega, I think she's among the best of her generation.\Let's go.\Right.\All right, they're ready to go now!\Phoenix Festa Block C, Round 1, Team 1...\Battle start! response:	So they're going for close combat from the get-go, eh?
context: Well, she is a princess of Lieseltania, you know.\And in terms of her abilities as a Strega, I think she's among the best of her generation.\Let's go.\Right.\All right, they're ready to go now!\Phoenix Festa Block C, Round 1, Team 1...\Battle start!\So they're going for close combat from the get-go, eh? response:	Well, I suppose my predictions weren't too far off.
context: And in terms of her abilities as a Strega, I think she's among the best of her generation.\Let's go.\Right.\All right, they're ready to go now!\Phoenix Festa Block C, Round 1, Team 1...\Battle start!\So they're going for close combat from the get-go, eh?\Well, I suppose my predictions weren't too far off. response:	All right, Ayato, I'm counting on you.
context: Let's go.\Right.\All right, they're ready to go now!\Phoenix Festa Block C, Round 1, Team 1...\Battle start!\So they're going for close combat from the get-go, eh?\Well, I suppose my predictions weren't too far off.\All right, Ayato, I'm counting on you. response:	Roger that!
context: Right.\All right, they're ready to go now!\Phoenix Festa Block C, Round 1, Team 1...\Battle start!\So they're going for close combat from the get-go, eh?\Well, I suppose my predictions weren't too far off.\All right, Ayato, I'm counting on you.\Roger that! response:	With the sword inside me, I shall break out of this starry prison,
context: All right, they're ready to go now!\Phoenix Festa Block C, Round 1, Team 1...\Battle start!\So they're going for close combat from the get-go, eh?\Well, I suppose my predictions weren't too far off.\All right, Ayato, I'm counting on you.\Roger that!\With the sword inside me, I shall break out of this starry prison, response:	and release my savage force!
context: Phoenix Festa Block C, Round 1, Team 1...\Battle start!\So they're going for close combat from the get-go, eh?\Well, I suppose my predictions weren't too far off.\All right, Ayato, I'm counting on you.\Roger that!\With the sword inside me, I shall break out of this starry prison,\and release my savage force! response:	Badge broken!
