context: It's a bit late to ask, but how are you feeling? response:	I'm fine.
context: I'll put an end to your Holy Grail right now!\Tohsaka?\I'll pull Shinji out.\Whatever else he is, he's still Sakura's brother.\Besides,\isn't it your credo to save anyone if it's possible to save them?\You mean to walk through those curses?\Do you think a lowly human could walk through that? response:	Don't underestimate me.
context: Tohsaka?\I'll pull Shinji out.\Whatever else he is, he's still Sakura's brother.\Besides,\isn't it your credo to save anyone if it's possible to save them?\You mean to walk through those curses?\Do you think a lowly human could walk through that?\Don't underestimate me. response:	I can handle curses like these as if they were nothing.
context: I'll pull Shinji out.\Whatever else he is, he's still Sakura's brother.\Besides,\isn't it your credo to save anyone if it's possible to save them?\You mean to walk through those curses?\Do you think a lowly human could walk through that?\Don't underestimate me.\I can handle curses like these as if they were nothing. response:	Stubborn resolve in the face of death? How very charming.
context: Whatever else he is, he's still Sakura's brother.\Besides,\isn't it your credo to save anyone if it's possible to save them?\You mean to walk through those curses?\Do you think a lowly human could walk through that?\Don't underestimate me.\I can handle curses like these as if they were nothing.\Stubborn resolve in the face of death? How very charming. response:	However,
context: Besides,\isn't it your credo to save anyone if it's possible to save them?\You mean to walk through those curses?\Do you think a lowly human could walk through that?\Don't underestimate me.\I can handle curses like these as if they were nothing.\Stubborn resolve in the face of death? How very charming.\However, response:	who gave you permission to leave my presence?
context: isn't it your credo to save anyone if it's possible to save them?\You mean to walk through those curses?\Do you think a lowly human could walk through that?\Don't underestimate me.\I can handle curses like these as if they were nothing.\Stubborn resolve in the face of death? How very charming.\However,\who gave you permission to leave my presence? response:	Tohsaka! See to Shinji!
context: You mean to walk through those curses?\Do you think a lowly human could walk through that?\Don't underestimate me.\I can handle curses like these as if they were nothing.\Stubborn resolve in the face of death? How very charming.\However,\who gave you permission to leave my presence?\Tohsaka! See to Shinji! response:	On it!
context: Do you think a lowly human could walk through that?\Don't underestimate me.\I can handle curses like these as if they were nothing.\Stubborn resolve in the face of death? How very charming.\However,\who gave you permission to leave my presence?\Tohsaka! See to Shinji!\On it! response:	Keep your hands off Tohsaka!
context: Don't underestimate me.\I can handle curses like these as if they were nothing.\Stubborn resolve in the face of death? How very charming.\However,\who gave you permission to leave my presence?\Tohsaka! See to Shinji!\On it!\Keep your hands off Tohsaka! response:	I'm the one you're going to fight!
context: I can handle curses like these as if they were nothing.\Stubborn resolve in the face of death? How very charming.\However,\who gave you permission to leave my presence?\Tohsaka! See to Shinji!\On it!\Keep your hands off Tohsaka!\I'm the one you're going to fight! response:	but it's proven most tedious.
context: Stubborn resolve in the face of death? How very charming.\However,\who gave you permission to leave my presence?\Tohsaka! See to Shinji!\On it!\Keep your hands off Tohsaka!\I'm the one you're going to fight!\but it's proven most tedious. response:	You filthy sham,
context: However,\who gave you permission to leave my presence?\Tohsaka! See to Shinji!\On it!\Keep your hands off Tohsaka!\I'm the one you're going to fight!\but it's proven most tedious.\You filthy sham, response:	learn firsthand the difference between counterfeits and the real thing!
context: who gave you permission to leave my presence?\Tohsaka! See to Shinji!\On it!\Keep your hands off Tohsaka!\I'm the one you're going to fight!\but it's proven most tedious.\You filthy sham,\learn firsthand the difference between counterfeits and the real thing! response:	Stand aside, Assassin.
context: Tohsaka! See to Shinji!\On it!\Keep your hands off Tohsaka!\I'm the one you're going to fight!\but it's proven most tedious.\You filthy sham,\learn firsthand the difference between counterfeits and the real thing!\Stand aside, Assassin. response:	Surely guarding this gate no longer has any meaning.
context: On it!\Keep your hands off Tohsaka!\I'm the one you're going to fight!\but it's proven most tedious.\You filthy sham,\learn firsthand the difference between counterfeits and the real thing!\Stand aside, Assassin.\Surely guarding this gate no longer has any meaning. response:	Meaning, you say?
context: Keep your hands off Tohsaka!\I'm the one you're going to fight!\but it's proven most tedious.\You filthy sham,\learn firsthand the difference between counterfeits and the real thing!\Stand aside, Assassin.\Surely guarding this gate no longer has any meaning.\Meaning, you say? response:	My fighting has never had any meaning.
context: I'm the one you're going to fight!\but it's proven most tedious.\You filthy sham,\learn firsthand the difference between counterfeits and the real thing!\Stand aside, Assassin.\Surely guarding this gate no longer has any meaning.\Meaning, you say?\My fighting has never had any meaning. response:	For I have neither the pride of a Heroic Spirit nor any wish to be granted.
context: but it's proven most tedious.\You filthy sham,\learn firsthand the difference between counterfeits and the real thing!\Stand aside, Assassin.\Surely guarding this gate no longer has any meaning.\Meaning, you say?\My fighting has never had any meaning.\For I have neither the pride of a Heroic Spirit nor any wish to be granted. response:	After all, I am not even Sasaki Kojirou.
context: You filthy sham,\learn firsthand the difference between counterfeits and the real thing!\Stand aside, Assassin.\Surely guarding this gate no longer has any meaning.\Meaning, you say?\My fighting has never had any meaning.\For I have neither the pride of a Heroic Spirit nor any wish to be granted.\After all, I am not even Sasaki Kojirou. response:	You need not be so astonished.
context: learn firsthand the difference between counterfeits and the real thing!\Stand aside, Assassin.\Surely guarding this gate no longer has any meaning.\Meaning, you say?\My fighting has never had any meaning.\For I have neither the pride of a Heroic Spirit nor any wish to be granted.\After all, I am not even Sasaki Kojirou.\You need not be so astonished. response:	At some point, a man named Sasaki Kojirou likely existed.
context: Stand aside, Assassin.\Surely guarding this gate no longer has any meaning.\Meaning, you say?\My fighting has never had any meaning.\For I have neither the pride of a Heroic Spirit nor any wish to be granted.\After all, I am not even Sasaki Kojirou.\You need not be so astonished.\At some point, a man named Sasaki Kojirou likely existed. response:	There was also likely a warrior who wielded a nodachi named Monohoshizao.
context: Surely guarding this gate no longer has any meaning.\Meaning, you say?\My fighting has never had any meaning.\For I have neither the pride of a Heroic Spirit nor any wish to be granted.\After all, I am not even Sasaki Kojirou.\You need not be so astonished.\At some point, a man named Sasaki Kojirou likely existed.\There was also likely a warrior who wielded a nodachi named Monohoshizao. response:	However, those two are not the same individual.
context: Meaning, you say?\My fighting has never had any meaning.\For I have neither the pride of a Heroic Spirit nor any wish to be granted.\After all, I am not even Sasaki Kojirou.\You need not be so astonished.\At some point, a man named Sasaki Kojirou likely existed.\There was also likely a warrior who wielded a nodachi named Monohoshizao.\However, those two are not the same individual. response:	Sasaki Kojirou is a fictional entity who never existed,
context: My fighting has never had any meaning.\For I have neither the pride of a Heroic Spirit nor any wish to be granted.\After all, I am not even Sasaki Kojirou.\You need not be so astonished.\At some point, a man named Sasaki Kojirou likely existed.\There was also likely a warrior who wielded a nodachi named Monohoshizao.\However, those two are not the same individual.\Sasaki Kojirou is a fictional entity who never existed, response:	a tall tale to supply a renowned swordsman with a nemesis.
context: For I have neither the pride of a Heroic Spirit nor any wish to be granted.\After all, I am not even Sasaki Kojirou.\You need not be so astonished.\At some point, a man named Sasaki Kojirou likely existed.\There was also likely a warrior who wielded a nodachi named Monohoshizao.\However, those two are not the same individual.\Sasaki Kojirou is a fictional entity who never existed,\a tall tale to supply a renowned swordsman with a nemesis. response:	A fictional Heroic Spirit...
context: After all, I am not even Sasaki Kojirou.\You need not be so astonished.\At some point, a man named Sasaki Kojirou likely existed.\There was also likely a warrior who wielded a nodachi named Monohoshizao.\However, those two are not the same individual.\Sasaki Kojirou is a fictional entity who never existed,\a tall tale to supply a renowned swordsman with a nemesis.\A fictional Heroic Spirit... response:	Indeed. Sasaki Kojirou is a mantle.
context: You need not be so astonished.\At some point, a man named Sasaki Kojirou likely existed.\There was also likely a warrior who wielded a nodachi named Monohoshizao.\However, those two are not the same individual.\Sasaki Kojirou is a fictional entity who never existed,\a tall tale to supply a renowned swordsman with a nemesis.\A fictional Heroic Spirit...\Indeed. Sasaki Kojirou is a mantle. response:	I was merely the swordsman deemed most suitable to wearing it.
context: At some point, a man named Sasaki Kojirou likely existed.\There was also likely a warrior who wielded a nodachi named Monohoshizao.\However, those two are not the same individual.\Sasaki Kojirou is a fictional entity who never existed,\a tall tale to supply a renowned swordsman with a nemesis.\A fictional Heroic Spirit...\Indeed. Sasaki Kojirou is a mantle.\I was merely the swordsman deemed most suitable to wearing it. response:	I have no name.
context: There was also likely a warrior who wielded a nodachi named Monohoshizao.\However, those two are not the same individual.\Sasaki Kojirou is a fictional entity who never existed,\a tall tale to supply a renowned swordsman with a nemesis.\A fictional Heroic Spirit...\Indeed. Sasaki Kojirou is a mantle.\I was merely the swordsman deemed most suitable to wearing it.\I have no name. response:	I am only
context: However, those two are not the same individual.\Sasaki Kojirou is a fictional entity who never existed,\a tall tale to supply a renowned swordsman with a nemesis.\A fictional Heroic Spirit...\Indeed. Sasaki Kojirou is a mantle.\I was merely the swordsman deemed most suitable to wearing it.\I have no name.\I am only response:	a ghost, able to perform techniques records attribute to Sasaki Kojirou.
context: Sasaki Kojirou is a fictional entity who never existed,\a tall tale to supply a renowned swordsman with a nemesis.\A fictional Heroic Spirit...\Indeed. Sasaki Kojirou is a mantle.\I was merely the swordsman deemed most suitable to wearing it.\I have no name.\I am only\a ghost, able to perform techniques records attribute to Sasaki Kojirou. response:	That is the sole reason for my summoning.
context: a tall tale to supply a renowned swordsman with a nemesis.\A fictional Heroic Spirit...\Indeed. Sasaki Kojirou is a mantle.\I was merely the swordsman deemed most suitable to wearing it.\I have no name.\I am only\a ghost, able to perform techniques records attribute to Sasaki Kojirou.\That is the sole reason for my summoning. response:	As you see, there was never any meaning to it.
context: A fictional Heroic Spirit...\Indeed. Sasaki Kojirou is a mantle.\I was merely the swordsman deemed most suitable to wearing it.\I have no name.\I am only\a ghost, able to perform techniques records attribute to Sasaki Kojirou.\That is the sole reason for my summoning.\As you see, there was never any meaning to it. response:	I am empty, so all things are meaningless for me.
context: Indeed. Sasaki Kojirou is a mantle.\I was merely the swordsman deemed most suitable to wearing it.\I have no name.\I am only\a ghost, able to perform techniques records attribute to Sasaki Kojirou.\That is the sole reason for my summoning.\As you see, there was never any meaning to it.\I am empty, so all things are meaningless for me. response:	However...
context: I was merely the swordsman deemed most suitable to wearing it.\I have no name.\I am only\a ghost, able to perform techniques records attribute to Sasaki Kojirou.\That is the sole reason for my summoning.\As you see, there was never any meaning to it.\I am empty, so all things are meaningless for me.\However... response:	If one thing could be said to give my existence meaning,
context: I have no name.\I am only\a ghost, able to perform techniques records attribute to Sasaki Kojirou.\That is the sole reason for my summoning.\As you see, there was never any meaning to it.\I am empty, so all things are meaningless for me.\However...\If one thing could be said to give my existence meaning, response:	it would be this moment.
context: I am only\a ghost, able to perform techniques records attribute to Sasaki Kojirou.\That is the sole reason for my summoning.\As you see, there was never any meaning to it.\I am empty, so all things are meaningless for me.\However...\If one thing could be said to give my existence meaning,\it would be this moment. response:	That is, if a man who went to his death in obscurity
context: a ghost, able to perform techniques records attribute to Sasaki Kojirou.\That is the sole reason for my summoning.\As you see, there was never any meaning to it.\I am empty, so all things are meaningless for me.\However...\If one thing could be said to give my existence meaning,\it would be this moment.\That is, if a man who went to his death in obscurity response:	had such a thing as a wish.
context: That is the sole reason for my summoning.\As you see, there was never any meaning to it.\I am empty, so all things are meaningless for me.\However...\If one thing could be said to give my existence meaning,\it would be this moment.\That is, if a man who went to his death in obscurity\had such a thing as a wish. response:	Assassin...
context: As you see, there was never any meaning to it.\I am empty, so all things are meaningless for me.\However...\If one thing could be said to give my existence meaning,\it would be this moment.\That is, if a man who went to his death in obscurity\had such a thing as a wish.\Assassin... response:	Come on...
context: I am empty, so all things are meaningless for me.\However...\If one thing could be said to give my existence meaning,\it would be this moment.\That is, if a man who went to his death in obscurity\had such a thing as a wish.\Assassin...\Come on... response:	This is just too gross!
context: However...\If one thing could be said to give my existence meaning,\it would be this moment.\That is, if a man who went to his death in obscurity\had such a thing as a wish.\Assassin...\Come on...\This is just too gross! response:	Crap.
context: If one thing could be said to give my existence meaning,\it would be this moment.\That is, if a man who went to his death in obscurity\had such a thing as a wish.\Assassin...\Come on...\This is just too gross!\Crap. response:	Learn your place, mongrel.
context: it would be this moment.\That is, if a man who went to his death in obscurity\had such a thing as a wish.\Assassin...\Come on...\This is just too gross!\Crap.\Learn your place, mongrel. response:	After all this trouble, you will spoil the festivities.
context: That is, if a man who went to his death in obscurity\had such a thing as a wish.\Assassin...\Come on...\This is just too gross!\Crap.\Learn your place, mongrel.\After all this trouble, you will spoil the festivities. response:	Oh, it's finally happening.
context: had such a thing as a wish.\Assassin...\Come on...\This is just too gross!\Crap.\Learn your place, mongrel.\After all this trouble, you will spoil the festivities.\Oh, it's finally happening. response:	Boy.
context: Assassin...\Come on...\This is just too gross!\Crap.\Learn your place, mongrel.\After all this trouble, you will spoil the festivities.\Oh, it's finally happening.\Boy. response:	Do you know what that is?
context: Come on...\This is just too gross!\Crap.\Learn your place, mongrel.\After all this trouble, you will spoil the festivities.\Oh, it's finally happening.\Boy.\Do you know what that is? response:	Those are wishes being drawn up by the Holy Grail.
context: This is just too gross!\Crap.\Learn your place, mongrel.\After all this trouble, you will spoil the festivities.\Oh, it's finally happening.\Boy.\Do you know what that is?\Those are wishes being drawn up by the Holy Grail. response:	The true nature of you mongrels.
context: Crap.\Learn your place, mongrel.\After all this trouble, you will spoil the festivities.\Oh, it's finally happening.\Boy.\Do you know what that is?\Those are wishes being drawn up by the Holy Grail.\The true nature of you mongrels. response:	The malevolence of humanity.
context: Learn your place, mongrel.\After all this trouble, you will spoil the festivities.\Oh, it's finally happening.\Boy.\Do you know what that is?\Those are wishes being drawn up by the Holy Grail.\The true nature of you mongrels.\The malevolence of humanity. response:	To be able to grant any and all wishes...
context: After all this trouble, you will spoil the festivities.\Oh, it's finally happening.\Boy.\Do you know what that is?\Those are wishes being drawn up by the Holy Grail.\The true nature of you mongrels.\The malevolence of humanity.\To be able to grant any and all wishes... response:	That is, to transcend the limitations of life,
context: Oh, it's finally happening.\Boy.\Do you know what that is?\Those are wishes being drawn up by the Holy Grail.\The true nature of you mongrels.\The malevolence of humanity.\To be able to grant any and all wishes...\That is, to transcend the limitations of life, response:	resulting in the production of some transformation.
context: Boy.\Do you know what that is?\Those are wishes being drawn up by the Holy Grail.\The true nature of you mongrels.\The malevolence of humanity.\To be able to grant any and all wishes...\That is, to transcend the limitations of life,\resulting in the production of some transformation. response:	Why is a wish not granted?
context: Do you know what that is?\Those are wishes being drawn up by the Holy Grail.\The true nature of you mongrels.\The malevolence of humanity.\To be able to grant any and all wishes...\That is, to transcend the limitations of life,\resulting in the production of some transformation.\Why is a wish not granted? response:	That is because humans are inherently limited.
context: Those are wishes being drawn up by the Holy Grail.\The true nature of you mongrels.\The malevolence of humanity.\To be able to grant any and all wishes...\That is, to transcend the limitations of life,\resulting in the production of some transformation.\Why is a wish not granted?\That is because humans are inherently limited. response:	Equality, peace, happiness... They are all the same.
context: The true nature of you mongrels.\The malevolence of humanity.\To be able to grant any and all wishes...\That is, to transcend the limitations of life,\resulting in the production of some transformation.\Why is a wish not granted?\That is because humans are inherently limited.\Equality, peace, happiness... They are all the same. response:	You, who are prisoners of your flesh, will never be satisfied.
context: The malevolence of humanity.\To be able to grant any and all wishes...\That is, to transcend the limitations of life,\resulting in the production of some transformation.\Why is a wish not granted?\That is because humans are inherently limited.\Equality, peace, happiness... They are all the same.\You, who are prisoners of your flesh, will never be satisfied. response:	That is why you humans constructed that Holy Grail.
context: To be able to grant any and all wishes...\That is, to transcend the limitations of life,\resulting in the production of some transformation.\Why is a wish not granted?\That is because humans are inherently limited.\Equality, peace, happiness... They are all the same.\You, who are prisoners of your flesh, will never be satisfied.\That is why you humans constructed that Holy Grail. response:	Not to be released from all suffering,
context: That is, to transcend the limitations of life,\resulting in the production of some transformation.\Why is a wish not granted?\That is because humans are inherently limited.\Equality, peace, happiness... They are all the same.\You, who are prisoners of your flesh, will never be satisfied.\That is why you humans constructed that Holy Grail.\Not to be released from all suffering, response:	but rather to conquer all suffering.
context: resulting in the production of some transformation.\Why is a wish not granted?\That is because humans are inherently limited.\Equality, peace, happiness... They are all the same.\You, who are prisoners of your flesh, will never be satisfied.\That is why you humans constructed that Holy Grail.\Not to be released from all suffering,\but rather to conquer all suffering. response:	But this is that ideal's end result.
context: Why is a wish not granted?\That is because humans are inherently limited.\Equality, peace, happiness... They are all the same.\You, who are prisoners of your flesh, will never be satisfied.\That is why you humans constructed that Holy Grail.\Not to be released from all suffering,\but rather to conquer all suffering.\But this is that ideal's end result. response:	No desire to change the world is more powerful than human malevolence.
context: That is because humans are inherently limited.\Equality, peace, happiness... They are all the same.\You, who are prisoners of your flesh, will never be satisfied.\That is why you humans constructed that Holy Grail.\Not to be released from all suffering,\but rather to conquer all suffering.\But this is that ideal's end result.\No desire to change the world is more powerful than human malevolence. response:	But because it is fueled by malevolence,
context: Equality, peace, happiness... They are all the same.\You, who are prisoners of your flesh, will never be satisfied.\That is why you humans constructed that Holy Grail.\Not to be released from all suffering,\but rather to conquer all suffering.\But this is that ideal's end result.\No desire to change the world is more powerful than human malevolence.\But because it is fueled by malevolence, response:	it uses self-annihilation as its means.
context: You, who are prisoners of your flesh, will never be satisfied.\That is why you humans constructed that Holy Grail.\Not to be released from all suffering,\but rather to conquer all suffering.\But this is that ideal's end result.\No desire to change the world is more powerful than human malevolence.\But because it is fueled by malevolence,\it uses self-annihilation as its means. response:	That is your true nature.
context: That is why you humans constructed that Holy Grail.\Not to be released from all suffering,\but rather to conquer all suffering.\But this is that ideal's end result.\No desire to change the world is more powerful than human malevolence.\But because it is fueled by malevolence,\it uses self-annihilation as its means.\That is your true nature. response:	And a wish-granter perfectly adapted to this age.
context: Not to be released from all suffering,\but rather to conquer all suffering.\But this is that ideal's end result.\No desire to change the world is more powerful than human malevolence.\But because it is fueled by malevolence,\it uses self-annihilation as its means.\That is your true nature.\And a wish-granter perfectly adapted to this age. response:	It will be vastly different in scope than ten years ago.
context: but rather to conquer all suffering.\But this is that ideal's end result.\No desire to change the world is more powerful than human malevolence.\But because it is fueled by malevolence,\it uses self-annihilation as its means.\That is your true nature.\And a wish-granter perfectly adapted to this age.\It will be vastly different in scope than ten years ago. response:	The curses will stream forth without end.
context: But this is that ideal's end result.\No desire to change the world is more powerful than human malevolence.\But because it is fueled by malevolence,\it uses self-annihilation as its means.\That is your true nature.\And a wish-granter perfectly adapted to this age.\It will be vastly different in scope than ten years ago.\The curses will stream forth without end. response:	Now,
context: No desire to change the world is more powerful than human malevolence.\But because it is fueled by malevolence,\it uses self-annihilation as its means.\That is your true nature.\And a wish-granter perfectly adapted to this age.\It will be vastly different in scope than ten years ago.\The curses will stream forth without end.\Now, response:	what will you do, boy?
context: But because it is fueled by malevolence,\it uses self-annihilation as its means.\That is your true nature.\And a wish-granter perfectly adapted to this age.\It will be vastly different in scope than ten years ago.\The curses will stream forth without end.\Now,\what will you do, boy? response:	Good.
context: it uses self-annihilation as its means.\That is your true nature.\And a wish-granter perfectly adapted to this age.\It will be vastly different in scope than ten years ago.\The curses will stream forth without end.\Now,\what will you do, boy?\Good. response:	That is what will provide me some sport.
context: That is your true nature.\And a wish-granter perfectly adapted to this age.\It will be vastly different in scope than ten years ago.\The curses will stream forth without end.\Now,\what will you do, boy?\Good.\That is what will provide me some sport. response:	Shinji...
context: And a wish-granter perfectly adapted to this age.\It will be vastly different in scope than ten years ago.\The curses will stream forth without end.\Now,\what will you do, boy?\Good.\That is what will provide me some sport.\Shinji... response:	Come on, time to get out of this awful place.
context: It will be vastly different in scope than ten years ago.\The curses will stream forth without end.\Now,\what will you do, boy?\Good.\That is what will provide me some sport.\Shinji...\Come on, time to get out of this awful place. response:	What, this misshapen shell doesn't want to let you go?
context: The curses will stream forth without end.\Now,\what will you do, boy?\Good.\That is what will provide me some sport.\Shinji...\Come on, time to get out of this awful place.\What, this misshapen shell doesn't want to let you go? response:	I shouldn't be surprised that yanking out its heart angered it.
context: Now,\what will you do, boy?\Good.\That is what will provide me some sport.\Shinji...\Come on, time to get out of this awful place.\What, this misshapen shell doesn't want to let you go?\I shouldn't be surprised that yanking out its heart angered it. response:	Down we go, Shinji.
context: what will you do, boy?\Good.\That is what will provide me some sport.\Shinji...\Come on, time to get out of this awful place.\What, this misshapen shell doesn't want to let you go?\I shouldn't be surprised that yanking out its heart angered it.\Down we go, Shinji. response:	The title of king is so constrictive.
context: Good.\That is what will provide me some sport.\Shinji...\Come on, time to get out of this awful place.\What, this misshapen shell doesn't want to let you go?\I shouldn't be surprised that yanking out its heart angered it.\Down we go, Shinji.\The title of king is so constrictive. response:	The instant I take a mongrel like you seriously, that is defeat in my eyes.
context: That is what will provide me some sport.\Shinji...\Come on, time to get out of this awful place.\What, this misshapen shell doesn't want to let you go?\I shouldn't be surprised that yanking out its heart angered it.\Down we go, Shinji.\The title of king is so constrictive.\The instant I take a mongrel like you seriously, that is defeat in my eyes. response:	And so... Rejoice.
context: Shinji...\Come on, time to get out of this awful place.\What, this misshapen shell doesn't want to let you go?\I shouldn't be surprised that yanking out its heart angered it.\Down we go, Shinji.\The title of king is so constrictive.\The instant I take a mongrel like you seriously, that is defeat in my eyes.\And so... Rejoice. response:	I shall not go all-out against you.
context: Come on, time to get out of this awful place.\What, this misshapen shell doesn't want to let you go?\I shouldn't be surprised that yanking out its heart angered it.\Down we go, Shinji.\The title of king is so constrictive.\The instant I take a mongrel like you seriously, that is defeat in my eyes.\And so... Rejoice.\I shall not go all-out against you. response:	Trace...
context: What, this misshapen shell doesn't want to let you go?\I shouldn't be surprised that yanking out its heart angered it.\Down we go, Shinji.\The title of king is so constrictive.\The instant I take a mongrel like you seriously, that is defeat in my eyes.\And so... Rejoice.\I shall not go all-out against you.\Trace... response:	on!
context: I shouldn't be surprised that yanking out its heart angered it.\Down we go, Shinji.\The title of king is so constrictive.\The instant I take a mongrel like you seriously, that is defeat in my eyes.\And so... Rejoice.\I shall not go all-out against you.\Trace...\on! response:	Trace on!
context: Down we go, Shinji.\The title of king is so constrictive.\The instant I take a mongrel like you seriously, that is defeat in my eyes.\And so... Rejoice.\I shall not go all-out against you.\Trace...\on!\Trace on! response:	What's the matter? Your quality seems to be slipping.
context: The title of king is so constrictive.\The instant I take a mongrel like you seriously, that is defeat in my eyes.\And so... Rejoice.\I shall not go all-out against you.\Trace...\on!\Trace on!\What's the matter? Your quality seems to be slipping. response:	Is your tongue the only thing of substance about you, faker?
context: The instant I take a mongrel like you seriously, that is defeat in my eyes.\And so... Rejoice.\I shall not go all-out against you.\Trace...\on!\Trace on!\What's the matter? Your quality seems to be slipping.\Is your tongue the only thing of substance about you, faker? response:	It's up to you to defeat him.
context: And so... Rejoice.\I shall not go all-out against you.\Trace...\on!\Trace on!\What's the matter? Your quality seems to be slipping.\Is your tongue the only thing of substance about you, faker?\It's up to you to defeat him. response:	That bastard... How am I supposed to do that?
context: I shall not go all-out against you.\Trace...\on!\Trace on!\What's the matter? Your quality seems to be slipping.\Is your tongue the only thing of substance about you, faker?\It's up to you to defeat him.\That bastard... How am I supposed to do that? response:	With my sword skills, I can't get past his Noble Phantasm.
context: Trace...\on!\Trace on!\What's the matter? Your quality seems to be slipping.\Is your tongue the only thing of substance about you, faker?\It's up to you to defeat him.\That bastard... How am I supposed to do that?\With my sword skills, I can't get past his Noble Phantasm. response:	There's only one thing I can do.
context: on!\Trace on!\What's the matter? Your quality seems to be slipping.\Is your tongue the only thing of substance about you, faker?\It's up to you to defeat him.\That bastard... How am I supposed to do that?\With my sword skills, I can't get past his Noble Phantasm.\There's only one thing I can do. response:	My only hope is to neutralize the Noble Phantasms he fires
context: Trace on!\What's the matter? Your quality seems to be slipping.\Is your tongue the only thing of substance about you, faker?\It's up to you to defeat him.\That bastard... How am I supposed to do that?\With my sword skills, I can't get past his Noble Phantasm.\There's only one thing I can do.\My only hope is to neutralize the Noble Phantasms he fires response:	by firing back the exact same items.
context: What's the matter? Your quality seems to be slipping.\Is your tongue the only thing of substance about you, faker?\It's up to you to defeat him.\That bastard... How am I supposed to do that?\With my sword skills, I can't get past his Noble Phantasm.\There's only one thing I can do.\My only hope is to neutralize the Noble Phantasms he fires\by firing back the exact same items. response:	So...
context: Is your tongue the only thing of substance about you, faker?\It's up to you to defeat him.\That bastard... How am I supposed to do that?\With my sword skills, I can't get past his Noble Phantasm.\There's only one thing I can do.\My only hope is to neutralize the Noble Phantasms he fires\by firing back the exact same items.\So... response:	Trace...
context: It's up to you to defeat him.\That bastard... How am I supposed to do that?\With my sword skills, I can't get past his Noble Phantasm.\There's only one thing I can do.\My only hope is to neutralize the Noble Phantasms he fires\by firing back the exact same items.\So...\Trace... response:	I'll copy them all.
context: That bastard... How am I supposed to do that?\With my sword skills, I can't get past his Noble Phantasm.\There's only one thing I can do.\My only hope is to neutralize the Noble Phantasms he fires\by firing back the exact same items.\So...\Trace...\I'll copy them all. response:	Every last one!
context: With my sword skills, I can't get past his Noble Phantasm.\There's only one thing I can do.\My only hope is to neutralize the Noble Phantasms he fires\by firing back the exact same items.\So...\Trace...\I'll copy them all.\Every last one! response:	Possession experience, assimilation complete!
context: There's only one thing I can do.\My only hope is to neutralize the Noble Phantasms he fires\by firing back the exact same items.\So...\Trace...\I'll copy them all.\Every last one!\Possession experience, assimilation complete! response:	Production, complete... All projections, stand by!
context: My only hope is to neutralize the Noble Phantasms he fires\by firing back the exact same items.\So...\Trace...\I'll copy them all.\Every last one!\Possession experience, assimilation complete!\Production, complete... All projections, stand by! response:	Oh, you're producing several this time.
context: by firing back the exact same items.\So...\Trace...\I'll copy them all.\Every last one!\Possession experience, assimilation complete!\Production, complete... All projections, stand by!\Oh, you're producing several this time. response:	I see, you have duplicated all of my Noble Phantasms in your field of view.
context: So...\Trace...\I'll copy them all.\Every last one!\Possession experience, assimilation complete!\Production, complete... All projections, stand by!\Oh, you're producing several this time.\I see, you have duplicated all of my Noble Phantasms in your field of view. response:	Then let us score your efforts.
context: Trace...\I'll copy them all.\Every last one!\Possession experience, assimilation complete!\Production, complete... All projections, stand by!\Oh, you're producing several this time.\I see, you have duplicated all of my Noble Phantasms in your field of view.\Then let us score your efforts. response:	Of course, no matter how faithful the reproductions,
context: I'll copy them all.\Every last one!\Possession experience, assimilation complete!\Production, complete... All projections, stand by!\Oh, you're producing several this time.\I see, you have duplicated all of my Noble Phantasms in your field of view.\Then let us score your efforts.\Of course, no matter how faithful the reproductions, response:	I shan't allow a single one to remain.
context: Every last one!\Possession experience, assimilation complete!\Production, complete... All projections, stand by!\Oh, you're producing several this time.\I see, you have duplicated all of my Noble Phantasms in your field of view.\Then let us score your efforts.\Of course, no matter how faithful the reproductions,\I shan't allow a single one to remain. response:	Release freeze...
context: Possession experience, assimilation complete!\Production, complete... All projections, stand by!\Oh, you're producing several this time.\I see, you have duplicated all of my Noble Phantasms in your field of view.\Then let us score your efforts.\Of course, no matter how faithful the reproductions,\I shan't allow a single one to remain.\Release freeze... response:	All projections, successive fire!
context: Production, complete... All projections, stand by!\Oh, you're producing several this time.\I see, you have duplicated all of my Noble Phantasms in your field of view.\Then let us score your efforts.\Of course, no matter how faithful the reproductions,\I shan't allow a single one to remain.\Release freeze...\All projections, successive fire! response:	Quite durable, for glasswork.
context: Oh, you're producing several this time.\I see, you have duplicated all of my Noble Phantasms in your field of view.\Then let us score your efforts.\Of course, no matter how faithful the reproductions,\I shan't allow a single one to remain.\Release freeze...\All projections, successive fire!\Quite durable, for glasswork. response:	But if you don't copy faster, you'll be cut to pieces.
context: I see, you have duplicated all of my Noble Phantasms in your field of view.\Then let us score your efforts.\Of course, no matter how faithful the reproductions,\I shan't allow a single one to remain.\Release freeze...\All projections, successive fire!\Quite durable, for glasswork.\But if you don't copy faster, you'll be cut to pieces. response:	Trace on!
context: Then let us score your efforts.\Of course, no matter how faithful the reproductions,\I shan't allow a single one to remain.\Release freeze...\All projections, successive fire!\Quite durable, for glasswork.\But if you don't copy faster, you'll be cut to pieces.\Trace on! response:	What an utterly foolish notion...
