context: We humans are miserable creatures. response:	We reject what we fear.
context: What should I do?\I'll cut down a million Corpses if you ask me to.\Nameless -chan, can you hear me?\Kajika?\Kurusu, Ikoma can you hear me?\I'm talking to you from the Iron Fortress.\Signal is good.\Come meet us on platform 13. response:	We'll have the Iron Fortress head there now.
context: I'll cut down a million Corpses if you ask me to.\Nameless -chan, can you hear me?\Kajika?\Kurusu, Ikoma can you hear me?\I'm talking to you from the Iron Fortress.\Signal is good.\Come meet us on platform 13.\We'll have the Iron Fortress head there now. response:	I always get stuck with these jobs.
context: Nameless -chan, can you hear me?\Kajika?\Kurusu, Ikoma can you hear me?\I'm talking to you from the Iron Fortress.\Signal is good.\Come meet us on platform 13.\We'll have the Iron Fortress head there now.\I always get stuck with these jobs. response:	Nameless -chan, we'll all be waiting for you there!
context: Kajika?\Kurusu, Ikoma can you hear me?\I'm talking to you from the Iron Fortress.\Signal is good.\Come meet us on platform 13.\We'll have the Iron Fortress head there now.\I always get stuck with these jobs.\Nameless -chan, we'll all be waiting for you there! response:	Let's go.
context: Kurusu, Ikoma can you hear me?\I'm talking to you from the Iron Fortress.\Signal is good.\Come meet us on platform 13.\We'll have the Iron Fortress head there now.\I always get stuck with these jobs.\Nameless -chan, we'll all be waiting for you there!\Let's go. response:	I still haven't gotten his answer yet.
context: I'm talking to you from the Iron Fortress.\Signal is good.\Come meet us on platform 13.\We'll have the Iron Fortress head there now.\I always get stuck with these jobs.\Nameless -chan, we'll all be waiting for you there!\Let's go.\I still haven't gotten his answer yet. response:	Master key confirmed.
context: Signal is good.\Come meet us on platform 13.\We'll have the Iron Fortress head there now.\I always get stuck with these jobs.\Nameless -chan, we'll all be waiting for you there!\Let's go.\I still haven't gotten his answer yet.\Master key confirmed. response:	Ignite the boiler!
context: Come meet us on platform 13.\We'll have the Iron Fortress head there now.\I always get stuck with these jobs.\Nameless -chan, we'll all be waiting for you there!\Let's go.\I still haven't gotten his answer yet.\Master key confirmed.\Ignite the boiler! response:	Nameless.
context: We'll have the Iron Fortress head there now.\I always get stuck with these jobs.\Nameless -chan, we'll all be waiting for you there!\Let's go.\I still haven't gotten his answer yet.\Master key confirmed.\Ignite the boiler!\Nameless. response:	Please, launch the Iron Fortress!
context: I always get stuck with these jobs.\Nameless -chan, we'll all be waiting for you there!\Let's go.\I still haven't gotten his answer yet.\Master key confirmed.\Ignite the boiler!\Nameless.\Please, launch the Iron Fortress! response:	Out of my way!
context: Nameless -chan, we'll all be waiting for you there!\Let's go.\I still haven't gotten his answer yet.\Master key confirmed.\Ignite the boiler!\Nameless.\Please, launch the Iron Fortress!\Out of my way! response:	Nameless -chan was saying that she wanted to eat rice until she was full.
context: Let's go.\I still haven't gotten his answer yet.\Master key confirmed.\Ignite the boiler!\Nameless.\Please, launch the Iron Fortress!\Out of my way!\Nameless -chan was saying that she wanted to eat rice until she was full. response:	To make a word where that can happen.
context: I still haven't gotten his answer yet.\Master key confirmed.\Ignite the boiler!\Nameless.\Please, launch the Iron Fortress!\Out of my way!\Nameless -chan was saying that she wanted to eat rice until she was full.\To make a word where that can happen. response:	Platform 13 is right up ahead.
context: Master key confirmed.\Ignite the boiler!\Nameless.\Please, launch the Iron Fortress!\Out of my way!\Nameless -chan was saying that she wanted to eat rice until she was full.\To make a word where that can happen.\Platform 13 is right up ahead. response:	There!
context: Ignite the boiler!\Nameless.\Please, launch the Iron Fortress!\Out of my way!\Nameless -chan was saying that she wanted to eat rice until she was full.\To make a word where that can happen.\Platform 13 is right up ahead.\There! response:	It's Nameless and the others!
context: Nameless.\Please, launch the Iron Fortress!\Out of my way!\Nameless -chan was saying that she wanted to eat rice until she was full.\To make a word where that can happen.\Platform 13 is right up ahead.\There!\It's Nameless and the others! response:	Yukina-san!
context: Please, launch the Iron Fortress!\Out of my way!\Nameless -chan was saying that she wanted to eat rice until she was full.\To make a word where that can happen.\Platform 13 is right up ahead.\There!\It's Nameless and the others!\Yukina-san! response:	Yes!
context: Out of my way!\Nameless -chan was saying that she wanted to eat rice until she was full.\To make a word where that can happen.\Platform 13 is right up ahead.\There!\It's Nameless and the others!\Yukina-san!\Yes! response:	It's the Iron Fortress!
context: Nameless -chan was saying that she wanted to eat rice until she was full.\To make a word where that can happen.\Platform 13 is right up ahead.\There!\It's Nameless and the others!\Yukina-san!\Yes!\It's the Iron Fortress! response:	Nameless -chan, this way!
context: To make a word where that can happen.\Platform 13 is right up ahead.\There!\It's Nameless and the others!\Yukina-san!\Yes!\It's the Iron Fortress!\Nameless -chan, this way! response:	Everyone get ready to catch them!
context: Platform 13 is right up ahead.\There!\It's Nameless and the others!\Yukina-san!\Yes!\It's the Iron Fortress!\Nameless -chan, this way!\Everyone get ready to catch them! response:	Ikoma...
context: There!\It's Nameless and the others!\Yukina-san!\Yes!\It's the Iron Fortress!\Nameless -chan, this way!\Everyone get ready to catch them!\Ikoma... response:	You go first.
context: It's Nameless and the others!\Yukina-san!\Yes!\It's the Iron Fortress!\Nameless -chan, this way!\Everyone get ready to catch them!\Ikoma...\You go first. response:	I'm home!
context: Yukina-san!\Yes!\It's the Iron Fortress!\Nameless -chan, this way!\Everyone get ready to catch them!\Ikoma...\You go first.\I'm home! response:	Kurusu!
context: Yes!\It's the Iron Fortress!\Nameless -chan, this way!\Everyone get ready to catch them!\Ikoma...\You go first.\I'm home!\Kurusu! response:	I have returned.
context: It's the Iron Fortress!\Nameless -chan, this way!\Everyone get ready to catch them!\Ikoma...\You go first.\I'm home!\Kurusu!\I have returned. response:	Get in!
context: Nameless -chan, this way!\Everyone get ready to catch them!\Ikoma...\You go first.\I'm home!\Kurusu!\I have returned.\Get in! response:	Increasing speed.
context: Everyone get ready to catch them!\Ikoma...\You go first.\I'm home!\Kurusu!\I have returned.\Get in!\Increasing speed. response:	Ikoma.
context: Ikoma...\You go first.\I'm home!\Kurusu!\I have returned.\Get in!\Increasing speed.\Ikoma. response:	Hey, Ikoma!
context: You go first.\I'm home!\Kurusu!\I have returned.\Get in!\Increasing speed.\Ikoma.\Hey, Ikoma! response:	Is he not waking up?
context: I'm home!\Kurusu!\I have returned.\Get in!\Increasing speed.\Ikoma.\Hey, Ikoma!\Is he not waking up? response:	He's going to be fine!
context: Kurusu!\I have returned.\Get in!\Increasing speed.\Ikoma.\Hey, Ikoma!\Is he not waking up?\He's going to be fine! response:	Ikoma promised to turn me human again!
context: I have returned.\Get in!\Increasing speed.\Ikoma.\Hey, Ikoma!\Is he not waking up?\He's going to be fine!\Ikoma promised to turn me human again! response:	He hasn't done that yet!
context: Get in!\Increasing speed.\Ikoma.\Hey, Ikoma!\Is he not waking up?\He's going to be fine!\Ikoma promised to turn me human again!\He hasn't done that yet! response:	Wake up!
context: Increasing speed.\Ikoma.\Hey, Ikoma!\Is he not waking up?\He's going to be fine!\Ikoma promised to turn me human again!\He hasn't done that yet!\Wake up! response:	Wake up, Ikoma!
context: Ikoma.\Hey, Ikoma!\Is he not waking up?\He's going to be fine!\Ikoma promised to turn me human again!\He hasn't done that yet!\Wake up!\Wake up, Ikoma! response:	Ikoma!
context: Hey, Ikoma!\Is he not waking up?\He's going to be fine!\Ikoma promised to turn me human again!\He hasn't done that yet!\Wake up!\Wake up, Ikoma!\Ikoma! response:	Ikoma!
context: Is he not waking up?\He's going to be fine!\Ikoma promised to turn me human again!\He hasn't done that yet!\Wake up!\Wake up, Ikoma!\Ikoma!\Ikoma! response:	Nameless -chan...
context: He's going to be fine!\Ikoma promised to turn me human again!\He hasn't done that yet!\Wake up!\Wake up, Ikoma!\Ikoma!\Ikoma!\Nameless -chan... response:	You're my shield, so you can't die!
context: Ikoma promised to turn me human again!\He hasn't done that yet!\Wake up!\Wake up, Ikoma!\Ikoma!\Ikoma!\Nameless -chan...\You're my shield, so you can't die! response:	Wake up! Wake up!
context: He hasn't done that yet!\Wake up!\Wake up, Ikoma!\Ikoma!\Ikoma!\Nameless -chan...\You're my shield, so you can't die!\Wake up! Wake up! response:	Ow...
context: Wake up!\Wake up, Ikoma!\Ikoma!\Ikoma!\Nameless -chan...\You're my shield, so you can't die!\Wake up! Wake up!\Ow... response:	Stop shaking me...
context: Wake up, Ikoma!\Ikoma!\Ikoma!\Nameless -chan...\You're my shield, so you can't die!\Wake up! Wake up!\Ow...\Stop shaking me... response:	Ikoma!
context: Ikoma!\Ikoma!\Nameless -chan...\You're my shield, so you can't die!\Wake up! Wake up!\Ow...\Stop shaking me...\Ikoma! response:	What?
context: Ikoma!\Nameless -chan...\You're my shield, so you can't die!\Wake up! Wake up!\Ow...\Stop shaking me...\Ikoma!\What? response:	Nameless...
context: Nameless -chan...\You're my shield, so you can't die!\Wake up! Wake up!\Ow...\Stop shaking me...\Ikoma!\What?\Nameless... response:	I'm supposed to say that to you.
context: You're my shield, so you can't die!\Wake up! Wake up!\Ow...\Stop shaking me...\Ikoma!\What?\Nameless...\I'm supposed to say that to you. response:	Was this...
context: Wake up! Wake up!\Ow...\Stop shaking me...\Ikoma!\What?\Nameless...\I'm supposed to say that to you.\Was this... response:	My brother did that?
context: Ow...\Stop shaking me...\Ikoma!\What?\Nameless...\I'm supposed to say that to you.\Was this...\My brother did that? response:	Your body's fine?
context: Stop shaking me...\Ikoma!\What?\Nameless...\I'm supposed to say that to you.\Was this...\My brother did that?\Your body's fine? response:	Yup.
context: Ikoma!\What?\Nameless...\I'm supposed to say that to you.\Was this...\My brother did that?\Your body's fine?\Yup. response:	Oh, that's right.
context: What?\Nameless...\I'm supposed to say that to you.\Was this...\My brother did that?\Your body's fine?\Yup.\Oh, that's right. response:	Ikoma.
context: Nameless...\I'm supposed to say that to you.\Was this...\My brother did that?\Your body's fine?\Yup.\Oh, that's right.\Ikoma. response:	Here.
context: I'm supposed to say that to you.\Was this...\My brother did that?\Your body's fine?\Yup.\Oh, that's right.\Ikoma.\Here. response:	You forgot this.
context: Was this...\My brother did that?\Your body's fine?\Yup.\Oh, that's right.\Ikoma.\Here.\You forgot this. response:	I will remember that day
context: My brother did that?\Your body's fine?\Yup.\Oh, that's right.\Ikoma.\Here.\You forgot this.\I will remember that day response:	Losing myself
context: Your body's fine?\Yup.\Oh, that's right.\Ikoma.\Here.\You forgot this.\I will remember that day\Losing myself response:	In steam
context: Yup.\Oh, that's right.\Ikoma.\Here.\You forgot this.\I will remember that day\Losing myself\In steam response:	Countless mistakes are made
context: Oh, that's right.\Ikoma.\Here.\You forgot this.\I will remember that day\Losing myself\In steam\Countless mistakes are made response:	When I can't see anything ahead
context: Ikoma.\Here.\You forgot this.\I will remember that day\Losing myself\In steam\Countless mistakes are made\When I can't see anything ahead response:	You said
context: Here.\You forgot this.\I will remember that day\Losing myself\In steam\Countless mistakes are made\When I can't see anything ahead\You said response:	Ask your own burning blood
context: You forgot this.\I will remember that day\Losing myself\In steam\Countless mistakes are made\When I can't see anything ahead\You said\Ask your own burning blood response:	Answer my beat
context: I will remember that day\Losing myself\In steam\Countless mistakes are made\When I can't see anything ahead\You said\Ask your own burning blood\Answer my beat response:	Corpseless of the Koutetsujou
context: Losing myself\In steam\Countless mistakes are made\When I can't see anything ahead\You said\Ask your own burning blood\Answer my beat\Corpseless of the Koutetsujou response:	Stand up
context: In steam\Countless mistakes are made\When I can't see anything ahead\You said\Ask your own burning blood\Answer my beat\Corpseless of the Koutetsujou\Stand up response:	And slam everything onto the ground
context: Countless mistakes are made\When I can't see anything ahead\You said\Ask your own burning blood\Answer my beat\Corpseless of the Koutetsujou\Stand up\And slam everything onto the ground response:	My soul is devoted to my friend
context: When I can't see anything ahead\You said\Ask your own burning blood\Answer my beat\Corpseless of the Koutetsujou\Stand up\And slam everything onto the ground\My soul is devoted to my friend response:	Burn your life
context: You said\Ask your own burning blood\Answer my beat\Corpseless of the Koutetsujou\Stand up\And slam everything onto the ground\My soul is devoted to my friend\Burn your life response:	Change the world
context: Ask your own burning blood\Answer my beat\Corpseless of the Koutetsujou\Stand up\And slam everything onto the ground\My soul is devoted to my friend\Burn your life\Change the world response:	Last Chapter
context: Answer my beat\Corpseless of the Koutetsujou\Stand up\And slam everything onto the ground\My soul is devoted to my friend\Burn your life\Change the world\Last Chapter response:	Iron Fortress
context: Corpseless of the Koutetsujou\Stand up\And slam everything onto the ground\My soul is devoted to my friend\Burn your life\Change the world\Last Chapter\Iron Fortress response:	Koutetsujou
