context: Though my true power has been unleashed, response:	you are still able to keep up.
context: Saitama\THE STRONGEST HERO\It's crashing?\Is this Master's doing?\We're done! The power sphere's been broken!\We're going down!\Lord Boros went wild!\Get out, get out! response:	Run! Stop shoving, stupid!
context: THE STRONGEST HERO\It's crashing?\Is this Master's doing?\We're done! The power sphere's been broken!\We're going down!\Lord Boros went wild!\Get out, get out!\Run! Stop shoving, stupid! response:	I wanna go home, Mommy!
context: It's crashing?\Is this Master's doing?\We're done! The power sphere's been broken!\We're going down!\Lord Boros went wild!\Get out, get out!\Run! Stop shoving, stupid!\I wanna go home, Mommy! response:	It's coming down.
context: Is this Master's doing?\We're done! The power sphere's been broken!\We're going down!\Lord Boros went wild!\Get out, get out!\Run! Stop shoving, stupid!\I wanna go home, Mommy!\It's coming down. response:	Huh?
context: We're done! The power sphere's been broken!\We're going down!\Lord Boros went wild!\Get out, get out!\Run! Stop shoving, stupid!\I wanna go home, Mommy!\It's coming down.\Huh? response:	Hey, we better get outta here...!
context: We're going down!\Lord Boros went wild!\Get out, get out!\Run! Stop shoving, stupid!\I wanna go home, Mommy!\It's coming down.\Huh?\Hey, we better get outta here...! response:	This is bad. Run for the Association HQ.
context: Lord Boros went wild!\Get out, get out!\Run! Stop shoving, stupid!\I wanna go home, Mommy!\It's coming down.\Huh?\Hey, we better get outta here...!\This is bad. Run for the Association HQ. response:	Iai! Hold on to me!
context: Get out, get out!\Run! Stop shoving, stupid!\I wanna go home, Mommy!\It's coming down.\Huh?\Hey, we better get outta here...!\This is bad. Run for the Association HQ.\Iai! Hold on to me! response:	I'm okay, Master!
context: Run! Stop shoving, stupid!\I wanna go home, Mommy!\It's coming down.\Huh?\Hey, we better get outta here...!\This is bad. Run for the Association HQ.\Iai! Hold on to me!\I'm okay, Master! response:	Damn. How'd Silverfang get so fast?
context: I wanna go home, Mommy!\It's coming down.\Huh?\Hey, we better get outta here...!\This is bad. Run for the Association HQ.\Iai! Hold on to me!\I'm okay, Master!\Damn. How'd Silverfang get so fast? response:	Now's not the time to be competitive.
context: It's coming down.\Huh?\Hey, we better get outta here...!\This is bad. Run for the Association HQ.\Iai! Hold on to me!\I'm okay, Master!\Damn. How'd Silverfang get so fast?\Now's not the time to be competitive. response:	Angel Dash!
context: Huh?\Hey, we better get outta here...!\This is bad. Run for the Association HQ.\Iai! Hold on to me!\I'm okay, Master!\Damn. How'd Silverfang get so fast?\Now's not the time to be competitive.\Angel Dash! response:	Hey pansy, don't you run in front of me! You're too slow!
context: Hey, we better get outta here...!\This is bad. Run for the Association HQ.\Iai! Hold on to me!\I'm okay, Master!\Damn. How'd Silverfang get so fast?\Now's not the time to be competitive.\Angel Dash!\Hey pansy, don't you run in front of me! You're too slow! response:	Angel Dash!
context: This is bad. Run for the Association HQ.\Iai! Hold on to me!\I'm okay, Master!\Damn. How'd Silverfang get so fast?\Now's not the time to be competitive.\Angel Dash!\Hey pansy, don't you run in front of me! You're too slow!\Angel Dash! response:	Don't just say it, move!
context: Iai! Hold on to me!\I'm okay, Master!\Damn. How'd Silverfang get so fast?\Now's not the time to be competitive.\Angel Dash!\Hey pansy, don't you run in front of me! You're too slow!\Angel Dash!\Don't just say it, move! response:	- We're gonna crash! - We're gonna crash!
context: I'm okay, Master!\Damn. How'd Silverfang get so fast?\Now's not the time to be competitive.\Angel Dash!\Hey pansy, don't you run in front of me! You're too slow!\Angel Dash!\Don't just say it, move!\- We're gonna crash! - We're gonna crash! response:	It's down.
context: Damn. How'd Silverfang get so fast?\Now's not the time to be competitive.\Angel Dash!\Hey pansy, don't you run in front of me! You're too slow!\Angel Dash!\Don't just say it, move!\- We're gonna crash! - We're gonna crash!\It's down. response:	All right, let's go.
context: Now's not the time to be competitive.\Angel Dash!\Hey pansy, don't you run in front of me! You're too slow!\Angel Dash!\Don't just say it, move!\- We're gonna crash! - We're gonna crash!\It's down.\All right, let's go. response:	How did City A end up like this?
context: Angel Dash!\Hey pansy, don't you run in front of me! You're too slow!\Angel Dash!\Don't just say it, move!\- We're gonna crash! - We're gonna crash!\It's down.\All right, let's go.\How did City A end up like this? response:	HANDSOME KAMEN AMAI MASK CLASS A RANK 1
context: Hey pansy, don't you run in front of me! You're too slow!\Angel Dash!\Don't just say it, move!\- We're gonna crash! - We're gonna crash!\It's down.\All right, let's go.\How did City A end up like this?\HANDSOME KAMEN AMAI MASK CLASS A RANK 1 response:	All of Class S was meeting today HANDSOME KAMEN AMAI MASK CLASS A RANK 1
context: Angel Dash!\Don't just say it, move!\- We're gonna crash! - We're gonna crash!\It's down.\All right, let's go.\How did City A end up like this?\HANDSOME KAMEN AMAI MASK CLASS A RANK 1\All of Class S was meeting today HANDSOME KAMEN AMAI MASK CLASS A RANK 1 response:	Care to explain, Metal Bat?
context: Don't just say it, move!\- We're gonna crash! - We're gonna crash!\It's down.\All right, let's go.\How did City A end up like this?\HANDSOME KAMEN AMAI MASK CLASS A RANK 1\All of Class S was meeting today HANDSOME KAMEN AMAI MASK CLASS A RANK 1\Care to explain, Metal Bat? response:	Huh?
context: - We're gonna crash! - We're gonna crash!\It's down.\All right, let's go.\How did City A end up like this?\HANDSOME KAMEN AMAI MASK CLASS A RANK 1\All of Class S was meeting today HANDSOME KAMEN AMAI MASK CLASS A RANK 1\Care to explain, Metal Bat?\Huh? response:	Explain it so I can understand.
context: It's down.\All right, let's go.\How did City A end up like this?\HANDSOME KAMEN AMAI MASK CLASS A RANK 1\All of Class S was meeting today HANDSOME KAMEN AMAI MASK CLASS A RANK 1\Care to explain, Metal Bat?\Huh?\Explain it so I can understand. response:	Handsome Kamen Amai Mask
context: All right, let's go.\How did City A end up like this?\HANDSOME KAMEN AMAI MASK CLASS A RANK 1\All of Class S was meeting today HANDSOME KAMEN AMAI MASK CLASS A RANK 1\Care to explain, Metal Bat?\Huh?\Explain it so I can understand.\Handsome Kamen Amai Mask response:	Where the hell'd you pop up from?
context: How did City A end up like this?\HANDSOME KAMEN AMAI MASK CLASS A RANK 1\All of Class S was meeting today HANDSOME KAMEN AMAI MASK CLASS A RANK 1\Care to explain, Metal Bat?\Huh?\Explain it so I can understand.\Handsome Kamen Amai Mask\Where the hell'd you pop up from? response:	I was filming a TV drama in the next town.
context: HANDSOME KAMEN AMAI MASK CLASS A RANK 1\All of Class S was meeting today HANDSOME KAMEN AMAI MASK CLASS A RANK 1\Care to explain, Metal Bat?\Huh?\Explain it so I can understand.\Handsome Kamen Amai Mask\Where the hell'd you pop up from?\I was filming a TV drama in the next town. response:	There was a roar and tremors,
context: All of Class S was meeting today HANDSOME KAMEN AMAI MASK CLASS A RANK 1\Care to explain, Metal Bat?\Huh?\Explain it so I can understand.\Handsome Kamen Amai Mask\Where the hell'd you pop up from?\I was filming a TV drama in the next town.\There was a roar and tremors, response:	so I came and found City A wiped out.
context: Care to explain, Metal Bat?\Huh?\Explain it so I can understand.\Handsome Kamen Amai Mask\Where the hell'd you pop up from?\I was filming a TV drama in the next town.\There was a roar and tremors,\so I came and found City A wiped out. response:	Monsters on a huge-ass ship attacked us.
context: Huh?\Explain it so I can understand.\Handsome Kamen Amai Mask\Where the hell'd you pop up from?\I was filming a TV drama in the next town.\There was a roar and tremors,\so I came and found City A wiped out.\Monsters on a huge-ass ship attacked us. response:	They fired artillery at us and did all this.
context: Explain it so I can understand.\Handsome Kamen Amai Mask\Where the hell'd you pop up from?\I was filming a TV drama in the next town.\There was a roar and tremors,\so I came and found City A wiped out.\Monsters on a huge-ass ship attacked us.\They fired artillery at us and did all this. response:	But we took care of it.
context: Handsome Kamen Amai Mask\Where the hell'd you pop up from?\I was filming a TV drama in the next town.\There was a roar and tremors,\so I came and found City A wiped out.\Monsters on a huge-ass ship attacked us.\They fired artillery at us and did all this.\But we took care of it. response:	Took care of it, you say?
context: Where the hell'd you pop up from?\I was filming a TV drama in the next town.\There was a roar and tremors,\so I came and found City A wiped out.\Monsters on a huge-ass ship attacked us.\They fired artillery at us and did all this.\But we took care of it.\Took care of it, you say? response:	You call this victory?
context: I was filming a TV drama in the next town.\There was a roar and tremors,\so I came and found City A wiped out.\Monsters on a huge-ass ship attacked us.\They fired artillery at us and did all this.\But we took care of it.\Took care of it, you say?\You call this victory? response:	Such incompetence.
context: There was a roar and tremors,\so I came and found City A wiped out.\Monsters on a huge-ass ship attacked us.\They fired artillery at us and did all this.\But we took care of it.\Took care of it, you say?\You call this victory?\Such incompetence. response:	I'm completely appalled at all of you!
context: so I came and found City A wiped out.\Monsters on a huge-ass ship attacked us.\They fired artillery at us and did all this.\But we took care of it.\Took care of it, you say?\You call this victory?\Such incompetence.\I'm completely appalled at all of you! response:	Hey.
context: Monsters on a huge-ass ship attacked us.\They fired artillery at us and did all this.\But we took care of it.\Took care of it, you say?\You call this victory?\Such incompetence.\I'm completely appalled at all of you!\Hey. response:	You didn't even get here in time, so don't go acting all big.
context: They fired artillery at us and did all this.\But we took care of it.\Took care of it, you say?\You call this victory?\Such incompetence.\I'm completely appalled at all of you!\Hey.\You didn't even get here in time, so don't go acting all big. response:	It's true I didn't make it in time,
context: But we took care of it.\Took care of it, you say?\You call this victory?\Such incompetence.\I'm completely appalled at all of you!\Hey.\You didn't even get here in time, so don't go acting all big.\It's true I didn't make it in time, response:	but you all were right here.
context: Took care of it, you say?\You call this victory?\Such incompetence.\I'm completely appalled at all of you!\Hey.\You didn't even get here in time, so don't go acting all big.\It's true I didn't make it in time,\but you all were right here. response:	You didn't save a single brick!
context: You call this victory?\Such incompetence.\I'm completely appalled at all of you!\Hey.\You didn't even get here in time, so don't go acting all big.\It's true I didn't make it in time,\but you all were right here.\You didn't save a single brick! response:	We were having a meeting inside the headquarters building.
context: Such incompetence.\I'm completely appalled at all of you!\Hey.\You didn't even get here in time, so don't go acting all big.\It's true I didn't make it in time,\but you all were right here.\You didn't save a single brick!\We were having a meeting inside the headquarters building. response:	We went outside as soon as the enemy attacked,
context: I'm completely appalled at all of you!\Hey.\You didn't even get here in time, so don't go acting all big.\It's true I didn't make it in time,\but you all were right here.\You didn't save a single brick!\We were having a meeting inside the headquarters building.\We went outside as soon as the enemy attacked, response:	but the city was already in ruins.
context: Hey.\You didn't even get here in time, so don't go acting all big.\It's true I didn't make it in time,\but you all were right here.\You didn't save a single brick!\We were having a meeting inside the headquarters building.\We went outside as soon as the enemy attacked,\but the city was already in ruins. response:	So what?
context: You didn't even get here in time, so don't go acting all big.\It's true I didn't make it in time,\but you all were right here.\You didn't save a single brick!\We were having a meeting inside the headquarters building.\We went outside as soon as the enemy attacked,\but the city was already in ruins.\So what? response:	You think if you tell them that, the media will just let all this go?
context: It's true I didn't make it in time,\but you all were right here.\You didn't save a single brick!\We were having a meeting inside the headquarters building.\We went outside as soon as the enemy attacked,\but the city was already in ruins.\So what?\You think if you tell them that, the media will just let all this go? response:	You
context: but you all were right here.\You didn't save a single brick!\We were having a meeting inside the headquarters building.\We went outside as soon as the enemy attacked,\but the city was already in ruins.\So what?\You think if you tell them that, the media will just let all this go?\You response:	Whose side are you on?
context: You didn't save a single brick!\We were having a meeting inside the headquarters building.\We went outside as soon as the enemy attacked,\but the city was already in ruins.\So what?\You think if you tell them that, the media will just let all this go?\You\Whose side are you on? response:	We did our best.
context: We were having a meeting inside the headquarters building.\We went outside as soon as the enemy attacked,\but the city was already in ruins.\So what?\You think if you tell them that, the media will just let all this go?\You\Whose side are you on?\We did our best. response:	I'm on the side of justice.
context: We went outside as soon as the enemy attacked,\but the city was already in ruins.\So what?\You think if you tell them that, the media will just let all this go?\You\Whose side are you on?\We did our best.\I'm on the side of justice. response:	Having Class S heroes this pathetic
context: but the city was already in ruins.\So what?\You think if you tell them that, the media will just let all this go?\You\Whose side are you on?\We did our best.\I'm on the side of justice.\Having Class S heroes this pathetic response:	is an embarrassment.
context: So what?\You think if you tell them that, the media will just let all this go?\You\Whose side are you on?\We did our best.\I'm on the side of justice.\Having Class S heroes this pathetic\is an embarrassment. response:	Anybody this useless should voluntarily retire.
context: You think if you tell them that, the media will just let all this go?\You\Whose side are you on?\We did our best.\I'm on the side of justice.\Having Class S heroes this pathetic\is an embarrassment.\Anybody this useless should voluntarily retire. response:	Hey! Don't start talking crap with us!
context: You\Whose side are you on?\We did our best.\I'm on the side of justice.\Having Class S heroes this pathetic\is an embarrassment.\Anybody this useless should voluntarily retire.\Hey! Don't start talking crap with us! response:	Who's gonna care about a pop idol with a face busted all to Hell?!
context: Whose side are you on?\We did our best.\I'm on the side of justice.\Having Class S heroes this pathetic\is an embarrassment.\Anybody this useless should voluntarily retire.\Hey! Don't start talking crap with us!\Who's gonna care about a pop idol with a face busted all to Hell?! response:	Do you have any idea why I don't move up to Class S?
context: We did our best.\I'm on the side of justice.\Having Class S heroes this pathetic\is an embarrassment.\Anybody this useless should voluntarily retire.\Hey! Don't start talking crap with us!\Who's gonna care about a pop idol with a face busted all to Hell?!\Do you have any idea why I don't move up to Class S? response:	I remain Class A, Rank 1 so I can prevent
context: I'm on the side of justice.\Having Class S heroes this pathetic\is an embarrassment.\Anybody this useless should voluntarily retire.\Hey! Don't start talking crap with us!\Who's gonna care about a pop idol with a face busted all to Hell?!\Do you have any idea why I don't move up to Class S?\I remain Class A, Rank 1 so I can prevent response:	weak, good-for-nothing pissants like you from moving up to Class S.
context: Having Class S heroes this pathetic\is an embarrassment.\Anybody this useless should voluntarily retire.\Hey! Don't start talking crap with us!\Who's gonna care about a pop idol with a face busted all to Hell?!\Do you have any idea why I don't move up to Class S?\I remain Class A, Rank 1 so I can prevent\weak, good-for-nothing pissants like you from moving up to Class S. response:	Metal Knight, you skip the meeting and only show up now?
context: is an embarrassment.\Anybody this useless should voluntarily retire.\Hey! Don't start talking crap with us!\Who's gonna care about a pop idol with a face busted all to Hell?!\Do you have any idea why I don't move up to Class S?\I remain Class A, Rank 1 so I can prevent\weak, good-for-nothing pissants like you from moving up to Class S.\Metal Knight, you skip the meeting and only show up now? response:	This is
context: Anybody this useless should voluntarily retire.\Hey! Don't start talking crap with us!\Who's gonna care about a pop idol with a face busted all to Hell?!\Do you have any idea why I don't move up to Class S?\I remain Class A, Rank 1 so I can prevent\weak, good-for-nothing pissants like you from moving up to Class S.\Metal Knight, you skip the meeting and only show up now?\This is response:	magnificent!
context: Hey! Don't start talking crap with us!\Who's gonna care about a pop idol with a face busted all to Hell?!\Do you have any idea why I don't move up to Class S?\I remain Class A, Rank 1 so I can prevent\weak, good-for-nothing pissants like you from moving up to Class S.\Metal Knight, you skip the meeting and only show up now?\This is\magnificent! response:	Metal Knight!
context: Who's gonna care about a pop idol with a face busted all to Hell?!\Do you have any idea why I don't move up to Class S?\I remain Class A, Rank 1 so I can prevent\weak, good-for-nothing pissants like you from moving up to Class S.\Metal Knight, you skip the meeting and only show up now?\This is\magnificent!\Metal Knight! response:	What are you doing here?
context: Do you have any idea why I don't move up to Class S?\I remain Class A, Rank 1 so I can prevent\weak, good-for-nothing pissants like you from moving up to Class S.\Metal Knight, you skip the meeting and only show up now?\This is\magnificent!\Metal Knight!\What are you doing here? response:	The battle is already done.
context: I remain Class A, Rank 1 so I can prevent\weak, good-for-nothing pissants like you from moving up to Class S.\Metal Knight, you skip the meeting and only show up now?\This is\magnificent!\Metal Knight!\What are you doing here?\The battle is already done. response:	Metal Knight is your enemy.
context: weak, good-for-nothing pissants like you from moving up to Class S.\Metal Knight, you skip the meeting and only show up now?\This is\magnificent!\Metal Knight!\What are you doing here?\The battle is already done.\Metal Knight is your enemy. response:	Genos, right?
context: Metal Knight, you skip the meeting and only show up now?\This is\magnificent!\Metal Knight!\What are you doing here?\The battle is already done.\Metal Knight is your enemy.\Genos, right? response:	Do not tell me you have come to recover the spaceship.
context: This is\magnificent!\Metal Knight!\What are you doing here?\The battle is already done.\Metal Knight is your enemy.\Genos, right?\Do not tell me you have come to recover the spaceship. response:	Are you here
context: magnificent!\Metal Knight!\What are you doing here?\The battle is already done.\Metal Knight is your enemy.\Genos, right?\Do not tell me you have come to recover the spaceship.\Are you here response:	so you can create more powerful weapons with the alien technology?
context: Metal Knight!\What are you doing here?\The battle is already done.\Metal Knight is your enemy.\Genos, right?\Do not tell me you have come to recover the spaceship.\Are you here\so you can create more powerful weapons with the alien technology? response:	Precisely.
context: What are you doing here?\The battle is already done.\Metal Knight is your enemy.\Genos, right?\Do not tell me you have come to recover the spaceship.\Are you here\so you can create more powerful weapons with the alien technology?\Precisely. response:	Powerful weapons are a necessity
context: The battle is already done.\Metal Knight is your enemy.\Genos, right?\Do not tell me you have come to recover the spaceship.\Are you here\so you can create more powerful weapons with the alien technology?\Precisely.\Powerful weapons are a necessity response:	for the sake of peace.
context: Metal Knight is your enemy.\Genos, right?\Do not tell me you have come to recover the spaceship.\Are you here\so you can create more powerful weapons with the alien technology?\Precisely.\Powerful weapons are a necessity\for the sake of peace. response:	Even with powerful weapons,
context: Genos, right?\Do not tell me you have come to recover the spaceship.\Are you here\so you can create more powerful weapons with the alien technology?\Precisely.\Powerful weapons are a necessity\for the sake of peace.\Even with powerful weapons, response:	in the hands of heroes like this, they'd be wasted.
context: Do not tell me you have come to recover the spaceship.\Are you here\so you can create more powerful weapons with the alien technology?\Precisely.\Powerful weapons are a necessity\for the sake of peace.\Even with powerful weapons,\in the hands of heroes like this, they'd be wasted. response:	You're mine later, pretty boy. Watch your ass.
context: Are you here\so you can create more powerful weapons with the alien technology?\Precisely.\Powerful weapons are a necessity\for the sake of peace.\Even with powerful weapons,\in the hands of heroes like this, they'd be wasted.\You're mine later, pretty boy. Watch your ass. response:	Hey!
context: so you can create more powerful weapons with the alien technology?\Precisely.\Powerful weapons are a necessity\for the sake of peace.\Even with powerful weapons,\in the hands of heroes like this, they'd be wasted.\You're mine later, pretty boy. Watch your ass.\Hey! response:	I found some alien survivors!
context: Precisely.\Powerful weapons are a necessity\for the sake of peace.\Even with powerful weapons,\in the hands of heroes like this, they'd be wasted.\You're mine later, pretty boy. Watch your ass.\Hey!\I found some alien survivors! response:	I thought Lord Boros never lost.
context: Powerful weapons are a necessity\for the sake of peace.\Even with powerful weapons,\in the hands of heroes like this, they'd be wasted.\You're mine later, pretty boy. Watch your ass.\Hey!\I found some alien survivors!\I thought Lord Boros never lost. response:	Are we going to be killed?
context: for the sake of peace.\Even with powerful weapons,\in the hands of heroes like this, they'd be wasted.\You're mine later, pretty boy. Watch your ass.\Hey!\I found some alien survivors!\I thought Lord Boros never lost.\Are we going to be killed? response:	Maybe we can talk our way out of this.
context: Even with powerful weapons,\in the hands of heroes like this, they'd be wasted.\You're mine later, pretty boy. Watch your ass.\Hey!\I found some alien survivors!\I thought Lord Boros never lost.\Are we going to be killed?\Maybe we can talk our way out of this. response:	Aggh, I'm so hungry!
context: in the hands of heroes like this, they'd be wasted.\You're mine later, pretty boy. Watch your ass.\Hey!\I found some alien survivors!\I thought Lord Boros never lost.\Are we going to be killed?\Maybe we can talk our way out of this.\Aggh, I'm so hungry! response:	Idiot! Now's not the time for
context: You're mine later, pretty boy. Watch your ass.\Hey!\I found some alien survivors!\I thought Lord Boros never lost.\Are we going to be killed?\Maybe we can talk our way out of this.\Aggh, I'm so hungry!\Idiot! Now's not the time for response:	Shh! Someone's coming.
context: Hey!\I found some alien survivors!\I thought Lord Boros never lost.\Are we going to be killed?\Maybe we can talk our way out of this.\Aggh, I'm so hungry!\Idiot! Now's not the time for\Shh! Someone's coming. response:	Amai Mask! What the?
context: I found some alien survivors!\I thought Lord Boros never lost.\Are we going to be killed?\Maybe we can talk our way out of this.\Aggh, I'm so hungry!\Idiot! Now's not the time for\Shh! Someone's coming.\Amai Mask! What the? response:	They did not deserve to live. They were evil.
context: I thought Lord Boros never lost.\Are we going to be killed?\Maybe we can talk our way out of this.\Aggh, I'm so hungry!\Idiot! Now's not the time for\Shh! Someone's coming.\Amai Mask! What the?\They did not deserve to live. They were evil. response:	I swiftly implemented justice, that's all.
context: Are we going to be killed?\Maybe we can talk our way out of this.\Aggh, I'm so hungry!\Idiot! Now's not the time for\Shh! Someone's coming.\Amai Mask! What the?\They did not deserve to live. They were evil.\I swiftly implemented justice, that's all. response:	I'm sure you understand,
context: Maybe we can talk our way out of this.\Aggh, I'm so hungry!\Idiot! Now's not the time for\Shh! Someone's coming.\Amai Mask! What the?\They did not deserve to live. They were evil.\I swiftly implemented justice, that's all.\I'm sure you understand, response:	Genos
context: Aggh, I'm so hungry!\Idiot! Now's not the time for\Shh! Someone's coming.\Amai Mask! What the?\They did not deserve to live. They were evil.\I swiftly implemented justice, that's all.\I'm sure you understand,\Genos response:	You've been busy since the exam.
context: Idiot! Now's not the time for\Shh! Someone's coming.\Amai Mask! What the?\They did not deserve to live. They were evil.\I swiftly implemented justice, that's all.\I'm sure you understand,\Genos\You've been busy since the exam. response:	But from what I saw of the Deep Sea King incident and today,
context: Shh! Someone's coming.\Amai Mask! What the?\They did not deserve to live. They were evil.\I swiftly implemented justice, that's all.\I'm sure you understand,\Genos\You've been busy since the exam.\But from what I saw of the Deep Sea King incident and today, response:	you've mostly been a disappointment.
context: Amai Mask! What the?\They did not deserve to live. They were evil.\I swiftly implemented justice, that's all.\I'm sure you understand,\Genos\You've been busy since the exam.\But from what I saw of the Deep Sea King incident and today,\you've mostly been a disappointment. response:	Best leave it.
context: They did not deserve to live. They were evil.\I swiftly implemented justice, that's all.\I'm sure you understand,\Genos\You've been busy since the exam.\But from what I saw of the Deep Sea King incident and today,\you've mostly been a disappointment.\Best leave it. response:	Do not worry. I am fine.
context: I swiftly implemented justice, that's all.\I'm sure you understand,\Genos\You've been busy since the exam.\But from what I saw of the Deep Sea King incident and today,\you've mostly been a disappointment.\Best leave it.\Do not worry. I am fine. response:	He reminds me of how I was before I met Master.
context: I'm sure you understand,\Genos\You've been busy since the exam.\But from what I saw of the Deep Sea King incident and today,\you've mostly been a disappointment.\Best leave it.\Do not worry. I am fine.\He reminds me of how I was before I met Master. response:	A man on edge
context: Genos\You've been busy since the exam.\But from what I saw of the Deep Sea King incident and today,\you've mostly been a disappointment.\Best leave it.\Do not worry. I am fine.\He reminds me of how I was before I met Master.\A man on edge response:	too eager to eliminate evil.
context: You've been busy since the exam.\But from what I saw of the Deep Sea King incident and today,\you've mostly been a disappointment.\Best leave it.\Do not worry. I am fine.\He reminds me of how I was before I met Master.\A man on edge\too eager to eliminate evil. response:	Just like me,
context: But from what I saw of the Deep Sea King incident and today,\you've mostly been a disappointment.\Best leave it.\Do not worry. I am fine.\He reminds me of how I was before I met Master.\A man on edge\too eager to eliminate evil.\Just like me, response:	he must have gone through something terrible in his past.
context: you've mostly been a disappointment.\Best leave it.\Do not worry. I am fine.\He reminds me of how I was before I met Master.\A man on edge\too eager to eliminate evil.\Just like me,\he must have gone through something terrible in his past. response:	Wait!
context: Best leave it.\Do not worry. I am fine.\He reminds me of how I was before I met Master.\A man on edge\too eager to eliminate evil.\Just like me,\he must have gone through something terrible in his past.\Wait! response:	Where is Master Saitama?
context: Do not worry. I am fine.\He reminds me of how I was before I met Master.\A man on edge\too eager to eliminate evil.\Just like me,\he must have gone through something terrible in his past.\Wait!\Where is Master Saitama? response:	Oh, I'm out!
context: He reminds me of how I was before I met Master.\A man on edge\too eager to eliminate evil.\Just like me,\he must have gone through something terrible in his past.\Wait!\Where is Master Saitama?\Oh, I'm out! response:	Hey!
context: A man on edge\too eager to eliminate evil.\Just like me,\he must have gone through something terrible in his past.\Wait!\Where is Master Saitama?\Oh, I'm out!\Hey! response:	Why would a Class B like you be inside the ship?
context: too eager to eliminate evil.\Just like me,\he must have gone through something terrible in his past.\Wait!\Where is Master Saitama?\Oh, I'm out!\Hey!\Why would a Class B like you be inside the ship? response:	Master!
context: Just like me,\he must have gone through something terrible in his past.\Wait!\Where is Master Saitama?\Oh, I'm out!\Hey!\Why would a Class B like you be inside the ship?\Master! response:	You are safe!
context: he must have gone through something terrible in his past.\Wait!\Where is Master Saitama?\Oh, I'm out!\Hey!\Why would a Class B like you be inside the ship?\Master!\You are safe! response:	Hey, Genos!
context: Wait!\Where is Master Saitama?\Oh, I'm out!\Hey!\Why would a Class B like you be inside the ship?\Master!\You are safe!\Hey, Genos! response:	We're done here. Let's go.
context: Where is Master Saitama?\Oh, I'm out!\Hey!\Why would a Class B like you be inside the ship?\Master!\You are safe!\Hey, Genos!\We're done here. Let's go. response:	Did you defeat their leader?
context: Oh, I'm out!\Hey!\Why would a Class B like you be inside the ship?\Master!\You are safe!\Hey, Genos!\We're done here. Let's go.\Did you defeat their leader? response:	Yeah, he was really strong.
context: Hey!\Why would a Class B like you be inside the ship?\Master!\You are safe!\Hey, Genos!\We're done here. Let's go.\Did you defeat their leader?\Yeah, he was really strong. response:	Maybe the strongest I've faced.
context: Why would a Class B like you be inside the ship?\Master!\You are safe!\Hey, Genos!\We're done here. Let's go.\Did you defeat their leader?\Yeah, he was really strong.\Maybe the strongest I've faced. response:	I see.
context: Master!\You are safe!\Hey, Genos!\We're done here. Let's go.\Did you defeat their leader?\Yeah, he was really strong.\Maybe the strongest I've faced.\I see. response:	So without you, Master, the prophecy
context: You are safe!\Hey, Genos!\We're done here. Let's go.\Did you defeat their leader?\Yeah, he was really strong.\Maybe the strongest I've faced.\I see.\So without you, Master, the prophecy response:	about the earth's destruction
context: Hey, Genos!\We're done here. Let's go.\Did you defeat their leader?\Yeah, he was really strong.\Maybe the strongest I've faced.\I see.\So without you, Master, the prophecy\about the earth's destruction response:	They're ignoring me? would have come true.
context: We're done here. Let's go.\Did you defeat their leader?\Yeah, he was really strong.\Maybe the strongest I've faced.\I see.\So without you, Master, the prophecy\about the earth's destruction\They're ignoring me? would have come true. response:	Nah.
context: Did you defeat their leader?\Yeah, he was really strong.\Maybe the strongest I've faced.\I see.\So without you, Master, the prophecy\about the earth's destruction\They're ignoring me? would have come true.\Nah. response:	Turns out you can't trust prophecies to begin with.
context: Yeah, he was really strong.\Maybe the strongest I've faced.\I see.\So without you, Master, the prophecy\about the earth's destruction\They're ignoring me? would have come true.\Nah.\Turns out you can't trust prophecies to begin with. response:	Hold it right there!
context: Maybe the strongest I've faced.\I see.\So without you, Master, the prophecy\about the earth's destruction\They're ignoring me? would have come true.\Nah.\Turns out you can't trust prophecies to begin with.\Hold it right there! response:	I don't know how you did it, but you went in the ship on your own?
context: I see.\So without you, Master, the prophecy\about the earth's destruction\They're ignoring me? would have come true.\Nah.\Turns out you can't trust prophecies to begin with.\Hold it right there!\I don't know how you did it, but you went in the ship on your own? response:	You're just a Class B. How dare you butt in like that?
context: So without you, Master, the prophecy\about the earth's destruction\They're ignoring me? would have come true.\Nah.\Turns out you can't trust prophecies to begin with.\Hold it right there!\I don't know how you did it, but you went in the ship on your own?\You're just a Class B. How dare you butt in like that? response:	I didn't need you. I could have handled it on my own.
context: about the earth's destruction\They're ignoring me? would have come true.\Nah.\Turns out you can't trust prophecies to begin with.\Hold it right there!\I don't know how you did it, but you went in the ship on your own?\You're just a Class B. How dare you butt in like that?\I didn't need you. I could have handled it on my own. response:	Baldy! Octopus! Boiled egg! Light bulb! Avocado!
context: They're ignoring me? would have come true.\Nah.\Turns out you can't trust prophecies to begin with.\Hold it right there!\I don't know how you did it, but you went in the ship on your own?\You're just a Class B. How dare you butt in like that?\I didn't need you. I could have handled it on my own.\Baldy! Octopus! Boiled egg! Light bulb! Avocado! response:	G-Genos. Lame face! Goblin! Bug! Baldy!
context: Nah.\Turns out you can't trust prophecies to begin with.\Hold it right there!\I don't know how you did it, but you went in the ship on your own?\You're just a Class B. How dare you butt in like that?\I didn't need you. I could have handled it on my own.\Baldy! Octopus! Boiled egg! Light bulb! Avocado!\G-Genos. Lame face! Goblin! Bug! Baldy! response:	Say something. Ping-pong ball! Rice grain! Beanhead!
