context: Oh damn, they're doing it! response:	Looks like I fell asleep again.
context: No no no...\That's right. Listen to Kurugaya.\No, wait!\Not everyone thinks like you two!\Riki, can't you say anything but no?\No no no...\Wait, aren't you forgetting something?\We only have eight people on our team. response:	We're missing one person for a real game.
context: That's right. Listen to Kurugaya.\No, wait!\Not everyone thinks like you two!\Riki, can't you say anything but no?\No no no...\Wait, aren't you forgetting something?\We only have eight people on our team.\We're missing one person for a real game. response:	Really?
context: No, wait!\Not everyone thinks like you two!\Riki, can't you say anything but no?\No no no...\Wait, aren't you forgetting something?\We only have eight people on our team.\We're missing one person for a real game.\Really? response:	Nishizono's a manager, so she doesn't count.
context: Not everyone thinks like you two!\Riki, can't you say anything but no?\No no no...\Wait, aren't you forgetting something?\We only have eight people on our team.\We're missing one person for a real game.\Really?\Nishizono's a manager, so she doesn't count. response:	Riki, Rin, Kyousuke,
context: Riki, can't you say anything but no?\No no no...\Wait, aren't you forgetting something?\We only have eight people on our team.\We're missing one person for a real game.\Really?\Nishizono's a manager, so she doesn't count.\Riki, Rin, Kyousuke, response:	Komari, Saigusa, Kurugaya,
context: No no no...\Wait, aren't you forgetting something?\We only have eight people on our team.\We're missing one person for a real game.\Really?\Nishizono's a manager, so she doesn't count.\Riki, Rin, Kyousuke,\Komari, Saigusa, Kurugaya, response:	Rin... then there's Kud-o, and Riki.
context: Wait, aren't you forgetting something?\We only have eight people on our team.\We're missing one person for a real game.\Really?\Nishizono's a manager, so she doesn't count.\Riki, Rin, Kyousuke,\Komari, Saigusa, Kurugaya,\Rin... then there's Kud-o, and Riki. response:	Huh?
context: We only have eight people on our team.\We're missing one person for a real game.\Really?\Nishizono's a manager, so she doesn't count.\Riki, Rin, Kyousuke,\Komari, Saigusa, Kurugaya,\Rin... then there's Kud-o, and Riki.\Huh? response:	If you add me, it's ten!
context: We're missing one person for a real game.\Really?\Nishizono's a manager, so she doesn't count.\Riki, Rin, Kyousuke,\Komari, Saigusa, Kurugaya,\Rin... then there's Kud-o, and Riki.\Huh?\If you add me, it's ten! response:	There were two of Riki and me.
context: Really?\Nishizono's a manager, so she doesn't count.\Riki, Rin, Kyousuke,\Komari, Saigusa, Kurugaya,\Rin... then there's Kud-o, and Riki.\Huh?\If you add me, it's ten!\There were two of Riki and me. response:	I'm sure he meant something by it.
context: Nishizono's a manager, so she doesn't count.\Riki, Rin, Kyousuke,\Komari, Saigusa, Kurugaya,\Rin... then there's Kud-o, and Riki.\Huh?\If you add me, it's ten!\There were two of Riki and me.\I'm sure he meant something by it. response:	Don't be too hard on him.
context: Riki, Rin, Kyousuke,\Komari, Saigusa, Kurugaya,\Rin... then there's Kud-o, and Riki.\Huh?\If you add me, it's ten!\There were two of Riki and me.\I'm sure he meant something by it.\Don't be too hard on him. response:	I just messed up my counting!
context: Komari, Saigusa, Kurugaya,\Rin... then there's Kud-o, and Riki.\Huh?\If you add me, it's ten!\There were two of Riki and me.\I'm sure he meant something by it.\Don't be too hard on him.\I just messed up my counting! response:	I'm sorry!
context: Rin... then there's Kud-o, and Riki.\Huh?\If you add me, it's ten!\There were two of Riki and me.\I'm sure he meant something by it.\Don't be too hard on him.\I just messed up my counting!\I'm sorry! response:	It's true. We only have eight members.
context: Huh?\If you add me, it's ten!\There were two of Riki and me.\I'm sure he meant something by it.\Don't be too hard on him.\I just messed up my counting!\I'm sorry!\It's true. We only have eight members. response:	It's not a particularly big problem.
context: If you add me, it's ten!\There were two of Riki and me.\I'm sure he meant something by it.\Don't be too hard on him.\I just messed up my counting!\I'm sorry!\It's true. We only have eight members.\It's not a particularly big problem. response:	Or is it?
context: There were two of Riki and me.\I'm sure he meant something by it.\Don't be too hard on him.\I just messed up my counting!\I'm sorry!\It's true. We only have eight members.\It's not a particularly big problem.\Or is it? response:	It's a huge problem!
context: I'm sure he meant something by it.\Don't be too hard on him.\I just messed up my counting!\I'm sorry!\It's true. We only have eight members.\It's not a particularly big problem.\Or is it?\It's a huge problem! response:	I wanna win this!
context: Don't be too hard on him.\I just messed up my counting!\I'm sorry!\It's true. We only have eight members.\It's not a particularly big problem.\Or is it?\It's a huge problem!\I wanna win this! response:	We need nine members!
context: I just messed up my counting!\I'm sorry!\It's true. We only have eight members.\It's not a particularly big problem.\Or is it?\It's a huge problem!\I wanna win this!\We need nine members! response:	Okay.
context: I'm sorry!\It's true. We only have eight members.\It's not a particularly big problem.\Or is it?\It's a huge problem!\I wanna win this!\We need nine members!\Okay. response:	I'll see what I can do.
context: It's true. We only have eight members.\It's not a particularly big problem.\Or is it?\It's a huge problem!\I wanna win this!\We need nine members!\Okay.\I'll see what I can do. response:	I'll try to find one more person.
context: It's not a particularly big problem.\Or is it?\It's a huge problem!\I wanna win this!\We need nine members!\Okay.\I'll see what I can do.\I'll try to find one more person. response:	No. You've already done enough.
context: Or is it?\It's a huge problem!\I wanna win this!\We need nine members!\Okay.\I'll see what I can do.\I'll try to find one more person.\No. You've already done enough. response:	No need to worry.
context: It's a huge problem!\I wanna win this!\We need nine members!\Okay.\I'll see what I can do.\I'll try to find one more person.\No. You've already done enough.\No need to worry. response:	It's only a matter of time before our last member joins.
context: I wanna win this!\We need nine members!\Okay.\I'll see what I can do.\I'll try to find one more person.\No. You've already done enough.\No need to worry.\It's only a matter of time before our last member joins. response:	Oh, I get it!
context: We need nine members!\Okay.\I'll see what I can do.\I'll try to find one more person.\No. You've already done enough.\No need to worry.\It's only a matter of time before our last member joins.\Oh, I get it! response:	You already have someone in mind!
context: Okay.\I'll see what I can do.\I'll try to find one more person.\No. You've already done enough.\No need to worry.\It's only a matter of time before our last member joins.\Oh, I get it!\You already have someone in mind! response:	Oh? Really?
context: I'll see what I can do.\I'll try to find one more person.\No. You've already done enough.\No need to worry.\It's only a matter of time before our last member joins.\Oh, I get it!\You already have someone in mind!\Oh? Really? response:	Anyway, we're training like crazy for the game!
context: I'll try to find one more person.\No. You've already done enough.\No need to worry.\It's only a matter of time before our last member joins.\Oh, I get it!\You already have someone in mind!\Oh? Really?\Anyway, we're training like crazy for the game! response:	We're going for the win!
context: No. You've already done enough.\No need to worry.\It's only a matter of time before our last member joins.\Oh, I get it!\You already have someone in mind!\Oh? Really?\Anyway, we're training like crazy for the game!\We're going for the win! response:	Got it, everyone?
context: No need to worry.\It's only a matter of time before our last member joins.\Oh, I get it!\You already have someone in mind!\Oh? Really?\Anyway, we're training like crazy for the game!\We're going for the win!\Got it, everyone? response:	Wafu!
context: It's only a matter of time before our last member joins.\Oh, I get it!\You already have someone in mind!\Oh? Really?\Anyway, we're training like crazy for the game!\We're going for the win!\Got it, everyone?\Wafu! response:	Our first game! I'm so excited!
context: Oh, I get it!\You already have someone in mind!\Oh? Really?\Anyway, we're training like crazy for the game!\We're going for the win!\Got it, everyone?\Wafu!\Our first game! I'm so excited! response:	I wonder what Kyousuke's got in mind.
context: You already have someone in mind!\Oh? Really?\Anyway, we're training like crazy for the game!\We're going for the win!\Got it, everyone?\Wafu!\Our first game! I'm so excited!\I wonder what Kyousuke's got in mind. response:	Does he really have someone in mind for the ninth member?
context: Oh? Really?\Anyway, we're training like crazy for the game!\We're going for the win!\Got it, everyone?\Wafu!\Our first game! I'm so excited!\I wonder what Kyousuke's got in mind.\Does he really have someone in mind for the ninth member? response:	I don't think he does...
context: Anyway, we're training like crazy for the game!\We're going for the win!\Got it, everyone?\Wafu!\Our first game! I'm so excited!\I wonder what Kyousuke's got in mind.\Does he really have someone in mind for the ninth member?\I don't think he does... response:	Kengo would be such a boon to us if he joined.
context: We're going for the win!\Got it, everyone?\Wafu!\Our first game! I'm so excited!\I wonder what Kyousuke's got in mind.\Does he really have someone in mind for the ninth member?\I don't think he does...\Kengo would be such a boon to us if he joined. response:	But it won't happen.
context: Got it, everyone?\Wafu!\Our first game! I'm so excited!\I wonder what Kyousuke's got in mind.\Does he really have someone in mind for the ninth member?\I don't think he does...\Kengo would be such a boon to us if he joined.\But it won't happen. response:	He wouldn't change his mind now.
context: Wafu!\Our first game! I'm so excited!\I wonder what Kyousuke's got in mind.\Does he really have someone in mind for the ninth member?\I don't think he does...\Kengo would be such a boon to us if he joined.\But it won't happen.\He wouldn't change his mind now. response:	Oh man, they're flirting again.
context: Our first game! I'm so excited!\I wonder what Kyousuke's got in mind.\Does he really have someone in mind for the ninth member?\I don't think he does...\Kengo would be such a boon to us if he joined.\But it won't happen.\He wouldn't change his mind now.\Oh man, they're flirting again. response:	Huh?
context: I wonder what Kyousuke's got in mind.\Does he really have someone in mind for the ninth member?\I don't think he does...\Kengo would be such a boon to us if he joined.\But it won't happen.\He wouldn't change his mind now.\Oh man, they're flirting again.\Huh? response:	They were having tea over there the other day.
context: Does he really have someone in mind for the ninth member?\I don't think he does...\Kengo would be such a boon to us if he joined.\But it won't happen.\He wouldn't change his mind now.\Oh man, they're flirting again.\Huh?\They were having tea over there the other day. response:	It's Koshiki Miyuki-san from the archery team.
context: I don't think he does...\Kengo would be such a boon to us if he joined.\But it won't happen.\He wouldn't change his mind now.\Oh man, they're flirting again.\Huh?\They were having tea over there the other day.\It's Koshiki Miyuki-san from the archery team. response:	Who's that?
context: Kengo would be such a boon to us if he joined.\But it won't happen.\He wouldn't change his mind now.\Oh man, they're flirting again.\Huh?\They were having tea over there the other day.\It's Koshiki Miyuki-san from the archery team.\Who's that? response:	She's the daughter of a famous line of professional archers.
context: But it won't happen.\He wouldn't change his mind now.\Oh man, they're flirting again.\Huh?\They were having tea over there the other day.\It's Koshiki Miyuki-san from the archery team.\Who's that?\She's the daughter of a famous line of professional archers. response:	She was known as a genius, and everyone had high expectations of her...
context: He wouldn't change his mind now.\Oh man, they're flirting again.\Huh?\They were having tea over there the other day.\It's Koshiki Miyuki-san from the archery team.\Who's that?\She's the daughter of a famous line of professional archers.\She was known as a genius, and everyone had high expectations of her... response:	but she lost her right eye to a disease.
context: Oh man, they're flirting again.\Huh?\They were having tea over there the other day.\It's Koshiki Miyuki-san from the archery team.\Who's that?\She's the daughter of a famous line of professional archers.\She was known as a genius, and everyone had high expectations of her...\but she lost her right eye to a disease. response:	Alright! Let's make it super awkward for them!
context: Huh?\They were having tea over there the other day.\It's Koshiki Miyuki-san from the archery team.\Who's that?\She's the daughter of a famous line of professional archers.\She was known as a genius, and everyone had high expectations of her...\but she lost her right eye to a disease.\Alright! Let's make it super awkward for them! response:	No, don't.
context: They were having tea over there the other day.\It's Koshiki Miyuki-san from the archery team.\Who's that?\She's the daughter of a famous line of professional archers.\She was known as a genius, and everyone had high expectations of her...\but she lost her right eye to a disease.\Alright! Let's make it super awkward for them!\No, don't. response:	It looks like they're talking about something important.
context: It's Koshiki Miyuki-san from the archery team.\Who's that?\She's the daughter of a famous line of professional archers.\She was known as a genius, and everyone had high expectations of her...\but she lost her right eye to a disease.\Alright! Let's make it super awkward for them!\No, don't.\It looks like they're talking about something important. response:	Let's go.
context: Who's that?\She's the daughter of a famous line of professional archers.\She was known as a genius, and everyone had high expectations of her...\but she lost her right eye to a disease.\Alright! Let's make it super awkward for them!\No, don't.\It looks like they're talking about something important.\Let's go. response:	O-Okay.
context: She's the daughter of a famous line of professional archers.\She was known as a genius, and everyone had high expectations of her...\but she lost her right eye to a disease.\Alright! Let's make it super awkward for them!\No, don't.\It looks like they're talking about something important.\Let's go.\O-Okay. response:	'Sup, guys.
context: She was known as a genius, and everyone had high expectations of her...\but she lost her right eye to a disease.\Alright! Let's make it super awkward for them!\No, don't.\It looks like they're talking about something important.\Let's go.\O-Okay.\'Sup, guys. response:	Eat up and build that body for the game.
context: but she lost her right eye to a disease.\Alright! Let's make it super awkward for them!\No, don't.\It looks like they're talking about something important.\Let's go.\O-Okay.\'Sup, guys.\Eat up and build that body for the game. response:	Allow me to introduce a few members of the all-star team.
context: Alright! Let's make it super awkward for them!\No, don't.\It looks like they're talking about something important.\Let's go.\O-Okay.\'Sup, guys.\Eat up and build that body for the game.\Allow me to introduce a few members of the all-star team. response:	Saturday's gonna be a blast!
context: No, don't.\It looks like they're talking about something important.\Let's go.\O-Okay.\'Sup, guys.\Eat up and build that body for the game.\Allow me to introduce a few members of the all-star team.\Saturday's gonna be a blast! response:	We ain't holdin' back.
context: It looks like they're talking about something important.\Let's go.\O-Okay.\'Sup, guys.\Eat up and build that body for the game.\Allow me to introduce a few members of the all-star team.\Saturday's gonna be a blast!\We ain't holdin' back. response:	Yo!
context: Let's go.\O-Okay.\'Sup, guys.\Eat up and build that body for the game.\Allow me to introduce a few members of the all-star team.\Saturday's gonna be a blast!\We ain't holdin' back.\Yo! response:	It's gonna be fun.
context: O-Okay.\'Sup, guys.\Eat up and build that body for the game.\Allow me to introduce a few members of the all-star team.\Saturday's gonna be a blast!\We ain't holdin' back.\Yo!\It's gonna be fun. response:	The game starts at
context: 'Sup, guys.\Eat up and build that body for the game.\Allow me to introduce a few members of the all-star team.\Saturday's gonna be a blast!\We ain't holdin' back.\Yo!\It's gonna be fun.\The game starts at response:	I really don't want to!
context: Eat up and build that body for the game.\Allow me to introduce a few members of the all-star team.\Saturday's gonna be a blast!\We ain't holdin' back.\Yo!\It's gonna be fun.\The game starts at\I really don't want to! response:	I don't want to have a game!
context: Allow me to introduce a few members of the all-star team.\Saturday's gonna be a blast!\We ain't holdin' back.\Yo!\It's gonna be fun.\The game starts at\I really don't want to!\I don't want to have a game! response:	I can't pitch against those crazy strong people!
context: Saturday's gonna be a blast!\We ain't holdin' back.\Yo!\It's gonna be fun.\The game starts at\I really don't want to!\I don't want to have a game!\I can't pitch against those crazy strong people! response:	Rin...
context: We ain't holdin' back.\Yo!\It's gonna be fun.\The game starts at\I really don't want to!\I don't want to have a game!\I can't pitch against those crazy strong people!\Rin... response:	This isn't the time for that.
context: Yo!\It's gonna be fun.\The game starts at\I really don't want to!\I don't want to have a game!\I can't pitch against those crazy strong people!\Rin...\This isn't the time for that. response:	Can you pitch at them, then?
context: It's gonna be fun.\The game starts at\I really don't want to!\I don't want to have a game!\I can't pitch against those crazy strong people!\Rin...\This isn't the time for that.\Can you pitch at them, then? response:	You begin a battle by controlling your feelings.
context: The game starts at\I really don't want to!\I don't want to have a game!\I can't pitch against those crazy strong people!\Rin...\This isn't the time for that.\Can you pitch at them, then?\You begin a battle by controlling your feelings. response:	Rin, if you hold any anxiety or misgivings towards your opponent,
context: I really don't want to!\I don't want to have a game!\I can't pitch against those crazy strong people!\Rin...\This isn't the time for that.\Can you pitch at them, then?\You begin a battle by controlling your feelings.\Rin, if you hold any anxiety or misgivings towards your opponent, response:	you have already lost the battle.
context: I don't want to have a game!\I can't pitch against those crazy strong people!\Rin...\This isn't the time for that.\Can you pitch at them, then?\You begin a battle by controlling your feelings.\Rin, if you hold any anxiety or misgivings towards your opponent,\you have already lost the battle. response:	You need to control your feelings first.
context: I can't pitch against those crazy strong people!\Rin...\This isn't the time for that.\Can you pitch at them, then?\You begin a battle by controlling your feelings.\Rin, if you hold any anxiety or misgivings towards your opponent,\you have already lost the battle.\You need to control your feelings first. response:	What the heck?
context: Rin...\This isn't the time for that.\Can you pitch at them, then?\You begin a battle by controlling your feelings.\Rin, if you hold any anxiety or misgivings towards your opponent,\you have already lost the battle.\You need to control your feelings first.\What the heck? response:	It applies to me too.
context: This isn't the time for that.\Can you pitch at them, then?\You begin a battle by controlling your feelings.\Rin, if you hold any anxiety or misgivings towards your opponent,\you have already lost the battle.\You need to control your feelings first.\What the heck?\It applies to me too. response:	I will be fighting someone better than me at my match next week.
context: Can you pitch at them, then?\You begin a battle by controlling your feelings.\Rin, if you hold any anxiety or misgivings towards your opponent,\you have already lost the battle.\You need to control your feelings first.\What the heck?\It applies to me too.\I will be fighting someone better than me at my match next week. response:	But everyone says you're set to win the whole thing.
context: You begin a battle by controlling your feelings.\Rin, if you hold any anxiety or misgivings towards your opponent,\you have already lost the battle.\You need to control your feelings first.\What the heck?\It applies to me too.\I will be fighting someone better than me at my match next week.\But everyone says you're set to win the whole thing. response:	They say you'll be bringing home our school's first ever trophy.
context: Rin, if you hold any anxiety or misgivings towards your opponent,\you have already lost the battle.\You need to control your feelings first.\What the heck?\It applies to me too.\I will be fighting someone better than me at my match next week.\But everyone says you're set to win the whole thing.\They say you'll be bringing home our school's first ever trophy. response:	The result of the battle is in the hands of the gods.
context: you have already lost the battle.\You need to control your feelings first.\What the heck?\It applies to me too.\I will be fighting someone better than me at my match next week.\But everyone says you're set to win the whole thing.\They say you'll be bringing home our school's first ever trophy.\The result of the battle is in the hands of the gods. response:	I will simply swing my sword as myself.
context: You need to control your feelings first.\What the heck?\It applies to me too.\I will be fighting someone better than me at my match next week.\But everyone says you're set to win the whole thing.\They say you'll be bringing home our school's first ever trophy.\The result of the battle is in the hands of the gods.\I will simply swing my sword as myself. response:	What?!
context: What the heck?\It applies to me too.\I will be fighting someone better than me at my match next week.\But everyone says you're set to win the whole thing.\They say you'll be bringing home our school's first ever trophy.\The result of the battle is in the hands of the gods.\I will simply swing my sword as myself.\What?! response:	Miyazawa was with a girl?!
context: It applies to me too.\I will be fighting someone better than me at my match next week.\But everyone says you're set to win the whole thing.\They say you'll be bringing home our school's first ever trophy.\The result of the battle is in the hands of the gods.\I will simply swing my sword as myself.\What?!\Miyazawa was with a girl?! response:	No way!
context: I will be fighting someone better than me at my match next week.\But everyone says you're set to win the whole thing.\They say you'll be bringing home our school's first ever trophy.\The result of the battle is in the hands of the gods.\I will simply swing my sword as myself.\What?!\Miyazawa was with a girl?!\No way! response:	Kengo-sama has a girlfriend?!
context: But everyone says you're set to win the whole thing.\They say you'll be bringing home our school's first ever trophy.\The result of the battle is in the hands of the gods.\I will simply swing my sword as myself.\What?!\Miyazawa was with a girl?!\No way!\Kengo-sama has a girlfriend?! response:	Is that for real?
context: They say you'll be bringing home our school's first ever trophy.\The result of the battle is in the hands of the gods.\I will simply swing my sword as myself.\What?!\Miyazawa was with a girl?!\No way!\Kengo-sama has a girlfriend?!\Is that for real? response:	And he made her cry too!
context: The result of the battle is in the hands of the gods.\I will simply swing my sword as myself.\What?!\Miyazawa was with a girl?!\No way!\Kengo-sama has a girlfriend?!\Is that for real?\And he made her cry too! response:	I don't think he's got the right to swing a sword.
context: I will simply swing my sword as myself.\What?!\Miyazawa was with a girl?!\No way!\Kengo-sama has a girlfriend?!\Is that for real?\And he made her cry too!\I don't think he's got the right to swing a sword. response:	There are things you can and can't say.
context: What?!\Miyazawa was with a girl?!\No way!\Kengo-sama has a girlfriend?!\Is that for real?\And he made her cry too!\I don't think he's got the right to swing a sword.\There are things you can and can't say. response:	You wanna fight? Sounds good to me!
context: Miyazawa was with a girl?!\No way!\Kengo-sama has a girlfriend?!\Is that for real?\And he made her cry too!\I don't think he's got the right to swing a sword.\There are things you can and can't say.\You wanna fight? Sounds good to me! response:	I'll send you flying to the other side of the school!
context: No way!\Kengo-sama has a girlfriend?!\Is that for real?\And he made her cry too!\I don't think he's got the right to swing a sword.\There are things you can and can't say.\You wanna fight? Sounds good to me!\I'll send you flying to the other side of the school! response:	Kengo! Masato!
context: Kengo-sama has a girlfriend?!\Is that for real?\And he made her cry too!\I don't think he's got the right to swing a sword.\There are things you can and can't say.\You wanna fight? Sounds good to me!\I'll send you flying to the other side of the school!\Kengo! Masato! response:	Please stop!
context: Is that for real?\And he made her cry too!\I don't think he's got the right to swing a sword.\There are things you can and can't say.\You wanna fight? Sounds good to me!\I'll send you flying to the other side of the school!\Kengo! Masato!\Please stop! response:	Koshiki-san?
context: And he made her cry too!\I don't think he's got the right to swing a sword.\There are things you can and can't say.\You wanna fight? Sounds good to me!\I'll send you flying to the other side of the school!\Kengo! Masato!\Please stop!\Koshiki-san? response:	I was just asking Miyazawa-san for advice!
context: I don't think he's got the right to swing a sword.\There are things you can and can't say.\You wanna fight? Sounds good to me!\I'll send you flying to the other side of the school!\Kengo! Masato!\Please stop!\Koshiki-san?\I was just asking Miyazawa-san for advice! response:	That was all!
context: There are things you can and can't say.\You wanna fight? Sounds good to me!\I'll send you flying to the other side of the school!\Kengo! Masato!\Please stop!\Koshiki-san?\I was just asking Miyazawa-san for advice!\That was all! response:	Sorry.
context: You wanna fight? Sounds good to me!\I'll send you flying to the other side of the school!\Kengo! Masato!\Please stop!\Koshiki-san?\I was just asking Miyazawa-san for advice!\That was all!\Sorry. response:	Sorry we made things so awkward.
context: I'll send you flying to the other side of the school!\Kengo! Masato!\Please stop!\Koshiki-san?\I was just asking Miyazawa-san for advice!\That was all!\Sorry.\Sorry we made things so awkward. response:	I was simply asking Miyazawa-san's advice as a martial artist.
context: Kengo! Masato!\Please stop!\Koshiki-san?\I was just asking Miyazawa-san for advice!\That was all!\Sorry.\Sorry we made things so awkward.\I was simply asking Miyazawa-san's advice as a martial artist. response:	Yeah. He's not good with people, but he's a nice guy.
context: Please stop!\Koshiki-san?\I was just asking Miyazawa-san for advice!\That was all!\Sorry.\Sorry we made things so awkward.\I was simply asking Miyazawa-san's advice as a martial artist.\Yeah. He's not good with people, but he's a nice guy. response:	He's really reliable.
context: Koshiki-san?\I was just asking Miyazawa-san for advice!\That was all!\Sorry.\Sorry we made things so awkward.\I was simply asking Miyazawa-san's advice as a martial artist.\Yeah. He's not good with people, but he's a nice guy.\He's really reliable. response:	I regret it now.
context: I was just asking Miyazawa-san for advice!\That was all!\Sorry.\Sorry we made things so awkward.\I was simply asking Miyazawa-san's advice as a martial artist.\Yeah. He's not good with people, but he's a nice guy.\He's really reliable.\I regret it now. response:	Miyazawa-san simply comforted me like anyone else.
context: That was all!\Sorry.\Sorry we made things so awkward.\I was simply asking Miyazawa-san's advice as a martial artist.\Yeah. He's not good with people, but he's a nice guy.\He's really reliable.\I regret it now.\Miyazawa-san simply comforted me like anyone else. response:	I put everything I had into archery.
context: Sorry.\Sorry we made things so awkward.\I was simply asking Miyazawa-san's advice as a martial artist.\Yeah. He's not good with people, but he's a nice guy.\He's really reliable.\I regret it now.\Miyazawa-san simply comforted me like anyone else.\I put everything I had into archery. response:	And it was all for nothing!
context: Sorry we made things so awkward.\I was simply asking Miyazawa-san's advice as a martial artist.\Yeah. He's not good with people, but he's a nice guy.\He's really reliable.\I regret it now.\Miyazawa-san simply comforted me like anyone else.\I put everything I had into archery.\And it was all for nothing! response:	My future is over!
context: I was simply asking Miyazawa-san's advice as a martial artist.\Yeah. He's not good with people, but he's a nice guy.\He's really reliable.\I regret it now.\Miyazawa-san simply comforted me like anyone else.\I put everything I had into archery.\And it was all for nothing!\My future is over! response:	You just think your future is over.
context: Yeah. He's not good with people, but he's a nice guy.\He's really reliable.\I regret it now.\Miyazawa-san simply comforted me like anyone else.\I put everything I had into archery.\And it was all for nothing!\My future is over!\You just think your future is over. response:	You can find another way of life if you look for it.
context: He's really reliable.\I regret it now.\Miyazawa-san simply comforted me like anyone else.\I put everything I had into archery.\And it was all for nothing!\My future is over!\You just think your future is over.\You can find another way of life if you look for it. response:	A strong person like you who's never once lost hope could never understand!
context: I regret it now.\Miyazawa-san simply comforted me like anyone else.\I put everything I had into archery.\And it was all for nothing!\My future is over!\You just think your future is over.\You can find another way of life if you look for it.\A strong person like you who's never once lost hope could never understand! response:	You understand nothing!
context: Miyazawa-san simply comforted me like anyone else.\I put everything I had into archery.\And it was all for nothing!\My future is over!\You just think your future is over.\You can find another way of life if you look for it.\A strong person like you who's never once lost hope could never understand!\You understand nothing! response:	Koshiki worked harder than anyone.
context: I put everything I had into archery.\And it was all for nothing!\My future is over!\You just think your future is over.\You can find another way of life if you look for it.\A strong person like you who's never once lost hope could never understand!\You understand nothing!\Koshiki worked harder than anyone. response:	That's why she feels the pain so strongly.
context: And it was all for nothing!\My future is over!\You just think your future is over.\You can find another way of life if you look for it.\A strong person like you who's never once lost hope could never understand!\You understand nothing!\Koshiki worked harder than anyone.\That's why she feels the pain so strongly. response:	She's in the depths of despair.
context: My future is over!\You just think your future is over.\You can find another way of life if you look for it.\A strong person like you who's never once lost hope could never understand!\You understand nothing!\Koshiki worked harder than anyone.\That's why she feels the pain so strongly.\She's in the depths of despair. response:	She can't see anything else.
context: You just think your future is over.\You can find another way of life if you look for it.\A strong person like you who's never once lost hope could never understand!\You understand nothing!\Koshiki worked harder than anyone.\That's why she feels the pain so strongly.\She's in the depths of despair.\She can't see anything else. response:	All students are to return to their classrooms immediately.
context: You can find another way of life if you look for it.\A strong person like you who's never once lost hope could never understand!\You understand nothing!\Koshiki worked harder than anyone.\That's why she feels the pain so strongly.\She's in the depths of despair.\She can't see anything else.\All students are to return to their classrooms immediately. response:	You may not leave them until further notice.
context: A strong person like you who's never once lost hope could never understand!\You understand nothing!\Koshiki worked harder than anyone.\That's why she feels the pain so strongly.\She's in the depths of despair.\She can't see anything else.\All students are to return to their classrooms immediately.\You may not leave them until further notice. response:	What? What?
context: You understand nothing!\Koshiki worked harder than anyone.\That's why she feels the pain so strongly.\She's in the depths of despair.\She can't see anything else.\All students are to return to their classrooms immediately.\You may not leave them until further notice.\What? What? response:	What's going on?
context: Koshiki worked harder than anyone.\That's why she feels the pain so strongly.\She's in the depths of despair.\She can't see anything else.\All students are to return to their classrooms immediately.\You may not leave them until further notice.\What? What?\What's going on? response:	Huh? Did something happen?
context: That's why she feels the pain so strongly.\She's in the depths of despair.\She can't see anything else.\All students are to return to their classrooms immediately.\You may not leave them until further notice.\What? What?\What's going on?\Huh? Did something happen? response:	This isn't good! Koshiki-san's on the roof!
context: She's in the depths of despair.\She can't see anything else.\All students are to return to their classrooms immediately.\You may not leave them until further notice.\What? What?\What's going on?\Huh? Did something happen?\This isn't good! Koshiki-san's on the roof! response:	The roof...
context: She can't see anything else.\All students are to return to their classrooms immediately.\You may not leave them until further notice.\What? What?\What's going on?\Huh? Did something happen?\This isn't good! Koshiki-san's on the roof!\The roof... response:	What?!
context: All students are to return to their classrooms immediately.\You may not leave them until further notice.\What? What?\What's going on?\Huh? Did something happen?\This isn't good! Koshiki-san's on the roof!\The roof...\What?! response:	Is she planning to jump?!
context: You may not leave them until further notice.\What? What?\What's going on?\Huh? Did something happen?\This isn't good! Koshiki-san's on the roof!\The roof...\What?!\Is she planning to jump?! response:	She's going to give up on life itself?
context: What? What?\What's going on?\Huh? Did something happen?\This isn't good! Koshiki-san's on the roof!\The roof...\What?!\Is she planning to jump?!\She's going to give up on life itself? response:	We need to save her!
context: What's going on?\Huh? Did something happen?\This isn't good! Koshiki-san's on the roof!\The roof...\What?!\Is she planning to jump?!\She's going to give up on life itself?\We need to save her! response:	Don't we?!
context: Huh? Did something happen?\This isn't good! Koshiki-san's on the roof!\The roof...\What?!\Is she planning to jump?!\She's going to give up on life itself?\We need to save her!\Don't we?! response:	Kengo!
context: This isn't good! Koshiki-san's on the roof!\The roof...\What?!\Is she planning to jump?!\She's going to give up on life itself?\We need to save her!\Don't we?!\Kengo! response:	Let's go!
context: The roof...\What?!\Is she planning to jump?!\She's going to give up on life itself?\We need to save her!\Don't we?!\Kengo!\Let's go! response:	Killing yourself is just plain wrong!
context: What?!\Is she planning to jump?!\She's going to give up on life itself?\We need to save her!\Don't we?!\Kengo!\Let's go!\Killing yourself is just plain wrong! response:	Kengo may be regretting it.
context: Is she planning to jump?!\She's going to give up on life itself?\We need to save her!\Don't we?!\Kengo!\Let's go!\Killing yourself is just plain wrong!\Kengo may be regretting it. response:	He could have done something to stop this from happening.
context: She's going to give up on life itself?\We need to save her!\Don't we?!\Kengo!\Let's go!\Killing yourself is just plain wrong!\Kengo may be regretting it.\He could have done something to stop this from happening. response:	Come back here!
context: We need to save her!\Don't we?!\Kengo!\Let's go!\Killing yourself is just plain wrong!\Kengo may be regretting it.\He could have done something to stop this from happening.\Come back here! response:	Before something terrible happens!
