context: Frill-necked lizards, Mexican salamanders, and human-faced fish are all mad. response:	Mad, saying they're not toys.
context: And each animal has a different scent.\Wow!\I'll buy this chanela.\I like this one. But it's expensive, right?\Just bring the money when you can.\Really?\That helps. Really?\That helps. response:	What a nice smell.
context: Wow!\I'll buy this chanela.\I like this one. But it's expensive, right?\Just bring the money when you can.\Really?\That helps. Really?\That helps.\What a nice smell. response:	I know.
context: I'll buy this chanela.\I like this one. But it's expensive, right?\Just bring the money when you can.\Really?\That helps. Really?\That helps.\What a nice smell.\I know. response:	As long as I have my chanela, I don't need anything else.
context: I like this one. But it's expensive, right?\Just bring the money when you can.\Really?\That helps. Really?\That helps.\What a nice smell.\I know.\As long as I have my chanela, I don't need anything else. response:	Oh, it didn't work, huh?
context: Just bring the money when you can.\Really?\That helps. Really?\That helps.\What a nice smell.\I know.\As long as I have my chanela, I don't need anything else.\Oh, it didn't work, huh? response:	I don't have to be a house cat, you know.
context: Really?\That helps. Really?\That helps.\What a nice smell.\I know.\As long as I have my chanela, I don't need anything else.\Oh, it didn't work, huh?\I don't have to be a house cat, you know. response:	No. It's not like you to give up that easily.
context: That helps. Really?\That helps.\What a nice smell.\I know.\As long as I have my chanela, I don't need anything else.\Oh, it didn't work, huh?\I don't have to be a house cat, you know.\No. It's not like you to give up that easily. response:	Anyways, you're always lecturing me.
context: That helps.\What a nice smell.\I know.\As long as I have my chanela, I don't need anything else.\Oh, it didn't work, huh?\I don't have to be a house cat, you know.\No. It's not like you to give up that easily.\Anyways, you're always lecturing me. response:	You need to set a good example!
context: What a nice smell.\I know.\As long as I have my chanela, I don't need anything else.\Oh, it didn't work, huh?\I don't have to be a house cat, you know.\No. It's not like you to give up that easily.\Anyways, you're always lecturing me.\You need to set a good example! response:	Okay.
context: I know.\As long as I have my chanela, I don't need anything else.\Oh, it didn't work, huh?\I don't have to be a house cat, you know.\No. It's not like you to give up that easily.\Anyways, you're always lecturing me.\You need to set a good example!\Okay. response:	Shingo...
context: As long as I have my chanela, I don't need anything else.\Oh, it didn't work, huh?\I don't have to be a house cat, you know.\No. It's not like you to give up that easily.\Anyways, you're always lecturing me.\You need to set a good example!\Okay.\Shingo... response:	That's it!
context: Oh, it didn't work, huh?\I don't have to be a house cat, you know.\No. It's not like you to give up that easily.\Anyways, you're always lecturing me.\You need to set a good example!\Okay.\Shingo...\That's it! response:	This chanela is my pet starting today.
context: I don't have to be a house cat, you know.\No. It's not like you to give up that easily.\Anyways, you're always lecturing me.\You need to set a good example!\Okay.\Shingo...\That's it!\This chanela is my pet starting today. response:	So hurry up and get rid of that cat.
context: No. It's not like you to give up that easily.\Anyways, you're always lecturing me.\You need to set a good example!\Okay.\Shingo...\That's it!\This chanela is my pet starting today.\So hurry up and get rid of that cat. response:	You're being mean to Luna.
context: Anyways, you're always lecturing me.\You need to set a good example!\Okay.\Shingo...\That's it!\This chanela is my pet starting today.\So hurry up and get rid of that cat.\You're being mean to Luna. response:	Usagi, I'm okay.
context: You need to set a good example!\Okay.\Shingo...\That's it!\This chanela is my pet starting today.\So hurry up and get rid of that cat.\You're being mean to Luna.\Usagi, I'm okay. response:	I'm sorry he did that.
context: Okay.\Shingo...\That's it!\This chanela is my pet starting today.\So hurry up and get rid of that cat.\You're being mean to Luna.\Usagi, I'm okay.\I'm sorry he did that. response:	Usagi! Tea is ready!
context: Shingo...\That's it!\This chanela is my pet starting today.\So hurry up and get rid of that cat.\You're being mean to Luna.\Usagi, I'm okay.\I'm sorry he did that.\Usagi! Tea is ready! response:	Coming!
context: That's it!\This chanela is my pet starting today.\So hurry up and get rid of that cat.\You're being mean to Luna.\Usagi, I'm okay.\I'm sorry he did that.\Usagi! Tea is ready!\Coming! response:	Oh well.
context: This chanela is my pet starting today.\So hurry up and get rid of that cat.\You're being mean to Luna.\Usagi, I'm okay.\I'm sorry he did that.\Usagi! Tea is ready!\Coming!\Oh well. response:	That pet really does smell good.
context: So hurry up and get rid of that cat.\You're being mean to Luna.\Usagi, I'm okay.\I'm sorry he did that.\Usagi! Tea is ready!\Coming!\Oh well.\That pet really does smell good. response:	Doesn't it? And this chanela doesn't eat anything.
context: You're being mean to Luna.\Usagi, I'm okay.\I'm sorry he did that.\Usagi! Tea is ready!\Coming!\Oh well.\That pet really does smell good.\Doesn't it? And this chanela doesn't eat anything. response:	Well that's good, money wise.
context: Usagi, I'm okay.\I'm sorry he did that.\Usagi! Tea is ready!\Coming!\Oh well.\That pet really does smell good.\Doesn't it? And this chanela doesn't eat anything.\Well that's good, money wise. response:	Well, I agree it's cute. But...
context: I'm sorry he did that.\Usagi! Tea is ready!\Coming!\Oh well.\That pet really does smell good.\Doesn't it? And this chanela doesn't eat anything.\Well that's good, money wise.\Well, I agree it's cute. But... response:	Well then, we'll keep Luna and Chanela.
context: Usagi! Tea is ready!\Coming!\Oh well.\That pet really does smell good.\Doesn't it? And this chanela doesn't eat anything.\Well that's good, money wise.\Well, I agree it's cute. But...\Well then, we'll keep Luna and Chanela. response:	I agree.
context: Coming!\Oh well.\That pet really does smell good.\Doesn't it? And this chanela doesn't eat anything.\Well that's good, money wise.\Well, I agree it's cute. But...\Well then, we'll keep Luna and Chanela.\I agree. response:	No way!
context: Oh well.\That pet really does smell good.\Doesn't it? And this chanela doesn't eat anything.\Well that's good, money wise.\Well, I agree it's cute. But...\Well then, we'll keep Luna and Chanela.\I agree.\No way! response:	You are so cute.
context: That pet really does smell good.\Doesn't it? And this chanela doesn't eat anything.\Well that's good, money wise.\Well, I agree it's cute. But...\Well then, we'll keep Luna and Chanela.\I agree.\No way!\You are so cute. response:	Shingo! You're going to be late if you don't hurry!
context: Doesn't it? And this chanela doesn't eat anything.\Well that's good, money wise.\Well, I agree it's cute. But...\Well then, we'll keep Luna and Chanela.\I agree.\No way!\You are so cute.\Shingo! You're going to be late if you don't hurry! response:	Shingo! C'mon, Shingo.
context: Well that's good, money wise.\Well, I agree it's cute. But...\Well then, we'll keep Luna and Chanela.\I agree.\No way!\You are so cute.\Shingo! You're going to be late if you don't hurry!\Shingo! C'mon, Shingo. response:	I'm staying home today.
context: Well, I agree it's cute. But...\Well then, we'll keep Luna and Chanela.\I agree.\No way!\You are so cute.\Shingo! You're going to be late if you don't hurry!\Shingo! C'mon, Shingo.\I'm staying home today. response:	What?
context: Well then, we'll keep Luna and Chanela.\I agree.\No way!\You are so cute.\Shingo! You're going to be late if you don't hurry!\Shingo! C'mon, Shingo.\I'm staying home today.\What? response:	We'll always be together.
context: I agree.\No way!\You are so cute.\Shingo! You're going to be late if you don't hurry!\Shingo! C'mon, Shingo.\I'm staying home today.\What?\We'll always be together. response:	Juban Municipal Junior High School
context: No way!\You are so cute.\Shingo! You're going to be late if you don't hurry!\Shingo! C'mon, Shingo.\I'm staying home today.\What?\We'll always be together.\Juban Municipal Junior High School response:	What do you think of my chanela?
context: You are so cute.\Shingo! You're going to be late if you don't hurry!\Shingo! C'mon, Shingo.\I'm staying home today.\What?\We'll always be together.\Juban Municipal Junior High School\What do you think of my chanela? response:	My chanela smells better.
context: Shingo! You're going to be late if you don't hurry!\Shingo! C'mon, Shingo.\I'm staying home today.\What?\We'll always be together.\Juban Municipal Junior High School\What do you think of my chanela?\My chanela smells better. response:	Let's see. Not quite.
context: Shingo! C'mon, Shingo.\I'm staying home today.\What?\We'll always be together.\Juban Municipal Junior High School\What do you think of my chanela?\My chanela smells better.\Let's see. Not quite. response:	Those chanelas are pretty popular right now.
context: I'm staying home today.\What?\We'll always be together.\Juban Municipal Junior High School\What do you think of my chanela?\My chanela smells better.\Let's see. Not quite.\Those chanelas are pretty popular right now. response:	Yeah, they're a huge hit.
context: What?\We'll always be together.\Juban Municipal Junior High School\What do you think of my chanela?\My chanela smells better.\Let's see. Not quite.\Those chanelas are pretty popular right now.\Yeah, they're a huge hit. response:	But can they bring them to school?
context: We'll always be together.\Juban Municipal Junior High School\What do you think of my chanela?\My chanela smells better.\Let's see. Not quite.\Those chanelas are pretty popular right now.\Yeah, they're a huge hit.\But can they bring them to school? response:	Oh, it's Ms. Haruna! Everyone hide your chanelas!
context: Juban Municipal Junior High School\What do you think of my chanela?\My chanela smells better.\Let's see. Not quite.\Those chanelas are pretty popular right now.\Yeah, they're a huge hit.\But can they bring them to school?\Oh, it's Ms. Haruna! Everyone hide your chanelas! response:	Let's start class.
context: What do you think of my chanela?\My chanela smells better.\Let's see. Not quite.\Those chanelas are pretty popular right now.\Yeah, they're a huge hit.\But can they bring them to school?\Oh, it's Ms. Haruna! Everyone hide your chanelas!\Let's start class. response:	Please open your book to page 234.
context: My chanela smells better.\Let's see. Not quite.\Those chanelas are pretty popular right now.\Yeah, they're a huge hit.\But can they bring them to school?\Oh, it's Ms. Haruna! Everyone hide your chanelas!\Let's start class.\Please open your book to page 234. response:	Oh, I want to look at my chanela.
context: Let's see. Not quite.\Those chanelas are pretty popular right now.\Yeah, they're a huge hit.\But can they bring them to school?\Oh, it's Ms. Haruna! Everyone hide your chanelas!\Let's start class.\Please open your book to page 234.\Oh, I want to look at my chanela. response:	I can't wait anymore.
context: Those chanelas are pretty popular right now.\Yeah, they're a huge hit.\But can they bring them to school?\Oh, it's Ms. Haruna! Everyone hide your chanelas!\Let's start class.\Please open your book to page 234.\Oh, I want to look at my chanela.\I can't wait anymore. response:	So cute.
context: Yeah, they're a huge hit.\But can they bring them to school?\Oh, it's Ms. Haruna! Everyone hide your chanelas!\Let's start class.\Please open your book to page 234.\Oh, I want to look at my chanela.\I can't wait anymore.\So cute. response:	What are you people doing?
context: But can they bring them to school?\Oh, it's Ms. Haruna! Everyone hide your chanelas!\Let's start class.\Please open your book to page 234.\Oh, I want to look at my chanela.\I can't wait anymore.\So cute.\What are you people doing? response:	I'll have to confiscate it.
context: Oh, it's Ms. Haruna! Everyone hide your chanelas!\Let's start class.\Please open your book to page 234.\Oh, I want to look at my chanela.\I can't wait anymore.\So cute.\What are you people doing?\I'll have to confiscate it. response:	No, don't. I'll have to confiscate it.
context: Let's start class.\Please open your book to page 234.\Oh, I want to look at my chanela.\I can't wait anymore.\So cute.\What are you people doing?\I'll have to confiscate it.\No, don't. I'll have to confiscate it. response:	No, don't.
context: Please open your book to page 234.\Oh, I want to look at my chanela.\I can't wait anymore.\So cute.\What are you people doing?\I'll have to confiscate it.\No, don't. I'll have to confiscate it.\No, don't. response:	Ms. Haruna, are you okay?
context: Oh, I want to look at my chanela.\I can't wait anymore.\So cute.\What are you people doing?\I'll have to confiscate it.\No, don't. I'll have to confiscate it.\No, don't.\Ms. Haruna, are you okay? response:	I'm going home.
context: I can't wait anymore.\So cute.\What are you people doing?\I'll have to confiscate it.\No, don't. I'll have to confiscate it.\No, don't.\Ms. Haruna, are you okay?\I'm going home. response:	Me too.
context: So cute.\What are you people doing?\I'll have to confiscate it.\No, don't. I'll have to confiscate it.\No, don't.\Ms. Haruna, are you okay?\I'm going home.\Me too. response:	Me too.
context: What are you people doing?\I'll have to confiscate it.\No, don't. I'll have to confiscate it.\No, don't.\Ms. Haruna, are you okay?\I'm going home.\Me too.\Me too. response:	Naru, don't you think something is wrong?
context: I'll have to confiscate it.\No, don't. I'll have to confiscate it.\No, don't.\Ms. Haruna, are you okay?\I'm going home.\Me too.\Me too.\Naru, don't you think something is wrong? response:	I know.
context: No, don't. I'll have to confiscate it.\No, don't.\Ms. Haruna, are you okay?\I'm going home.\Me too.\Me too.\Naru, don't you think something is wrong?\I know. response:	I think the chanelas are cute, but they're a bit weird.
context: No, don't.\Ms. Haruna, are you okay?\I'm going home.\Me too.\Me too.\Naru, don't you think something is wrong?\I know.\I think the chanelas are cute, but they're a bit weird. response:	Speaking of which, even Shingo...
context: Ms. Haruna, are you okay?\I'm going home.\Me too.\Me too.\Naru, don't you think something is wrong?\I know.\I think the chanelas are cute, but they're a bit weird.\Speaking of which, even Shingo... response:	I wonder if it has something to do with it?
context: I'm going home.\Me too.\Me too.\Naru, don't you think something is wrong?\I know.\I think the chanelas are cute, but they're a bit weird.\Speaking of which, even Shingo...\I wonder if it has something to do with it? response:	Hey Naru, do you know where they sell chanelas?
context: Me too.\Me too.\Naru, don't you think something is wrong?\I know.\I think the chanelas are cute, but they're a bit weird.\Speaking of which, even Shingo...\I wonder if it has something to do with it?\Hey Naru, do you know where they sell chanelas? response:	Pet Shop Perfume, I think.
context: Me too.\Naru, don't you think something is wrong?\I know.\I think the chanelas are cute, but they're a bit weird.\Speaking of which, even Shingo...\I wonder if it has something to do with it?\Hey Naru, do you know where they sell chanelas?\Pet Shop Perfume, I think. response:	Do you want to go?
context: Naru, don't you think something is wrong?\I know.\I think the chanelas are cute, but they're a bit weird.\Speaking of which, even Shingo...\I wonder if it has something to do with it?\Hey Naru, do you know where they sell chanelas?\Pet Shop Perfume, I think.\Do you want to go? response:	Sorry, I've got cram school today.
context: I know.\I think the chanelas are cute, but they're a bit weird.\Speaking of which, even Shingo...\I wonder if it has something to do with it?\Hey Naru, do you know where they sell chanelas?\Pet Shop Perfume, I think.\Do you want to go?\Sorry, I've got cram school today. response:	Oh well, I'll go by myself.
context: I think the chanelas are cute, but they're a bit weird.\Speaking of which, even Shingo...\I wonder if it has something to do with it?\Hey Naru, do you know where they sell chanelas?\Pet Shop Perfume, I think.\Do you want to go?\Sorry, I've got cram school today.\Oh well, I'll go by myself. response:	Will you be okay alone?
context: Speaking of which, even Shingo...\I wonder if it has something to do with it?\Hey Naru, do you know where they sell chanelas?\Pet Shop Perfume, I think.\Do you want to go?\Sorry, I've got cram school today.\Oh well, I'll go by myself.\Will you be okay alone? response:	It's hard having a dumb brother.
context: I wonder if it has something to do with it?\Hey Naru, do you know where they sell chanelas?\Pet Shop Perfume, I think.\Do you want to go?\Sorry, I've got cram school today.\Oh well, I'll go by myself.\Will you be okay alone?\It's hard having a dumb brother. response:	You're such a good sister!
context: Hey Naru, do you know where they sell chanelas?\Pet Shop Perfume, I think.\Do you want to go?\Sorry, I've got cram school today.\Oh well, I'll go by myself.\Will you be okay alone?\It's hard having a dumb brother.\You're such a good sister! response:	Pet Shop Perfume
context: Pet Shop Perfume, I think.\Do you want to go?\Sorry, I've got cram school today.\Oh well, I'll go by myself.\Will you be okay alone?\It's hard having a dumb brother.\You're such a good sister!\Pet Shop Perfume response:	So this shop has chanelas?
context: Do you want to go?\Sorry, I've got cram school today.\Oh well, I'll go by myself.\Will you be okay alone?\It's hard having a dumb brother.\You're such a good sister!\Pet Shop Perfume\So this shop has chanelas? response:	What am I going to do if I become like Shingo?
context: Sorry, I've got cram school today.\Oh well, I'll go by myself.\Will you be okay alone?\It's hard having a dumb brother.\You're such a good sister!\Pet Shop Perfume\So this shop has chanelas?\What am I going to do if I become like Shingo? response:	Hey, Dumpling Head!
context: Oh well, I'll go by myself.\Will you be okay alone?\It's hard having a dumb brother.\You're such a good sister!\Pet Shop Perfume\So this shop has chanelas?\What am I going to do if I become like Shingo?\Hey, Dumpling Head! response:	That voice...
context: Will you be okay alone?\It's hard having a dumb brother.\You're such a good sister!\Pet Shop Perfume\So this shop has chanelas?\What am I going to do if I become like Shingo?\Hey, Dumpling Head!\That voice... response:	Why do you keep showing up?
context: It's hard having a dumb brother.\You're such a good sister!\Pet Shop Perfume\So this shop has chanelas?\What am I going to do if I become like Shingo?\Hey, Dumpling Head!\That voice...\Why do you keep showing up? response:	I can say the same to you.
context: You're such a good sister!\Pet Shop Perfume\So this shop has chanelas?\What am I going to do if I become like Shingo?\Hey, Dumpling Head!\That voice...\Why do you keep showing up?\I can say the same to you. response:	You're not buying a chanela, are you?
context: Pet Shop Perfume\So this shop has chanelas?\What am I going to do if I become like Shingo?\Hey, Dumpling Head!\That voice...\Why do you keep showing up?\I can say the same to you.\You're not buying a chanela, are you? response:	Why?
context: So this shop has chanelas?\What am I going to do if I become like Shingo?\Hey, Dumpling Head!\That voice...\Why do you keep showing up?\I can say the same to you.\You're not buying a chanela, are you?\Why? response:	Perfume doesn't suit you.
context: What am I going to do if I become like Shingo?\Hey, Dumpling Head!\That voice...\Why do you keep showing up?\I can say the same to you.\You're not buying a chanela, are you?\Why?\Perfume doesn't suit you. response:	Shut up.
context: Hey, Dumpling Head!\That voice...\Why do you keep showing up?\I can say the same to you.\You're not buying a chanela, are you?\Why?\Perfume doesn't suit you.\Shut up. response:	And I'm in...
context: That voice...\Why do you keep showing up?\I can say the same to you.\You're not buying a chanela, are you?\Why?\Perfume doesn't suit you.\Shut up.\And I'm in... response:	Please take your time.
context: Why do you keep showing up?\I can say the same to you.\You're not buying a chanela, are you?\Why?\Perfume doesn't suit you.\Shut up.\And I'm in...\Please take your time. response:	Thank you.
context: I can say the same to you.\You're not buying a chanela, are you?\Why?\Perfume doesn't suit you.\Shut up.\And I'm in...\Please take your time.\Thank you. response:	I should have come with Naru.
context: You're not buying a chanela, are you?\Why?\Perfume doesn't suit you.\Shut up.\And I'm in...\Please take your time.\Thank you.\I should have come with Naru. response:	They are pretty cute.
context: Why?\Perfume doesn't suit you.\Shut up.\And I'm in...\Please take your time.\Thank you.\I should have come with Naru.\They are pretty cute. response:	Usagi, don't fall for that trap.
context: Perfume doesn't suit you.\Shut up.\And I'm in...\Please take your time.\Thank you.\I should have come with Naru.\They are pretty cute.\Usagi, don't fall for that trap. response:	Luna? Why?
context: Shut up.\And I'm in...\Please take your time.\Thank you.\I should have come with Naru.\They are pretty cute.\Usagi, don't fall for that trap.\Luna? Why? response:	I was checking out this store because something wasn't right.
context: And I'm in...\Please take your time.\Thank you.\I should have come with Naru.\They are pretty cute.\Usagi, don't fall for that trap.\Luna? Why?\I was checking out this store because something wasn't right. response:	You think so?
context: Please take your time.\Thank you.\I should have come with Naru.\They are pretty cute.\Usagi, don't fall for that trap.\Luna? Why?\I was checking out this store because something wasn't right.\You think so? response:	Don't look into its eyes.
context: Thank you.\I should have come with Naru.\They are pretty cute.\Usagi, don't fall for that trap.\Luna? Why?\I was checking out this store because something wasn't right.\You think so?\Don't look into its eyes. response:	So cute...
context: I should have come with Naru.\They are pretty cute.\Usagi, don't fall for that trap.\Luna? Why?\I was checking out this store because something wasn't right.\You think so?\Don't look into its eyes.\So cute... response:	Usagi.
context: They are pretty cute.\Usagi, don't fall for that trap.\Luna? Why?\I was checking out this store because something wasn't right.\You think so?\Don't look into its eyes.\So cute...\Usagi. response:	It's no surprise a pretty customer like you
context: Usagi, don't fall for that trap.\Luna? Why?\I was checking out this store because something wasn't right.\You think so?\Don't look into its eyes.\So cute...\Usagi.\It's no surprise a pretty customer like you response:	would pick out the cutest chanela in the store.
context: Luna? Why?\I was checking out this store because something wasn't right.\You think so?\Don't look into its eyes.\So cute...\Usagi.\It's no surprise a pretty customer like you\would pick out the cutest chanela in the store. response:	How cute.
context: I was checking out this store because something wasn't right.\You think so?\Don't look into its eyes.\So cute...\Usagi.\It's no surprise a pretty customer like you\would pick out the cutest chanela in the store.\How cute. response:	Usagi, I think you should return it.
context: You think so?\Don't look into its eyes.\So cute...\Usagi.\It's no surprise a pretty customer like you\would pick out the cutest chanela in the store.\How cute.\Usagi, I think you should return it. response:	If you get any closer, I'll kick you!
context: Don't look into its eyes.\So cute...\Usagi.\It's no surprise a pretty customer like you\would pick out the cutest chanela in the store.\How cute.\Usagi, I think you should return it.\If you get any closer, I'll kick you! response:	Usagi!
context: So cute...\Usagi.\It's no surprise a pretty customer like you\would pick out the cutest chanela in the store.\How cute.\Usagi, I think you should return it.\If you get any closer, I'll kick you!\Usagi! response:	I don't like you.
context: Usagi.\It's no surprise a pretty customer like you\would pick out the cutest chanela in the store.\How cute.\Usagi, I think you should return it.\If you get any closer, I'll kick you!\Usagi!\I don't like you. response:	It's okay, it's not your fault.
context: It's no surprise a pretty customer like you\would pick out the cutest chanela in the store.\How cute.\Usagi, I think you should return it.\If you get any closer, I'll kick you!\Usagi!\I don't like you.\It's okay, it's not your fault. response:	Coming through!
context: would pick out the cutest chanela in the store.\How cute.\Usagi, I think you should return it.\If you get any closer, I'll kick you!\Usagi!\I don't like you.\It's okay, it's not your fault.\Coming through! response:	It hurts!
context: How cute.\Usagi, I think you should return it.\If you get any closer, I'll kick you!\Usagi!\I don't like you.\It's okay, it's not your fault.\Coming through!\It hurts! response:	Usagi.
context: Usagi, I think you should return it.\If you get any closer, I'll kick you!\Usagi!\I don't like you.\It's okay, it's not your fault.\Coming through!\It hurts!\Usagi. response:	Cute kitty cat.
context: If you get any closer, I'll kick you!\Usagi!\I don't like you.\It's okay, it's not your fault.\Coming through!\It hurts!\Usagi.\Cute kitty cat. response:	I can't leave her alone.
context: Usagi!\I don't like you.\It's okay, it's not your fault.\Coming through!\It hurts!\Usagi.\Cute kitty cat.\I can't leave her alone. response:	Oh, good.
context: I don't like you.\It's okay, it's not your fault.\Coming through!\It hurts!\Usagi.\Cute kitty cat.\I can't leave her alone.\Oh, good. response:	Luna, what was I doing?
context: It's okay, it's not your fault.\Coming through!\It hurts!\Usagi.\Cute kitty cat.\I can't leave her alone.\Oh, good.\Luna, what was I doing? response:	I'm sorry Luna. I just...
context: Coming through!\It hurts!\Usagi.\Cute kitty cat.\I can't leave her alone.\Oh, good.\Luna, what was I doing?\I'm sorry Luna. I just... response:	More importantly, I'm worried about Shingo.
context: It hurts!\Usagi.\Cute kitty cat.\I can't leave her alone.\Oh, good.\Luna, what was I doing?\I'm sorry Luna. I just...\More importantly, I'm worried about Shingo. response:	Okay.
context: Usagi.\Cute kitty cat.\I can't leave her alone.\Oh, good.\Luna, what was I doing?\I'm sorry Luna. I just...\More importantly, I'm worried about Shingo.\Okay. response:	Shingo, hand over that chanela!
context: Cute kitty cat.\I can't leave her alone.\Oh, good.\Luna, what was I doing?\I'm sorry Luna. I just...\More importantly, I'm worried about Shingo.\Okay.\Shingo, hand over that chanela! response:	No way!
context: I can't leave her alone.\Oh, good.\Luna, what was I doing?\I'm sorry Luna. I just...\More importantly, I'm worried about Shingo.\Okay.\Shingo, hand over that chanela!\No way! response:	What are you doing? Stop it!
context: Oh, good.\Luna, what was I doing?\I'm sorry Luna. I just...\More importantly, I'm worried about Shingo.\Okay.\Shingo, hand over that chanela!\No way!\What are you doing? Stop it! response:	You idiot.
context: Luna, what was I doing?\I'm sorry Luna. I just...\More importantly, I'm worried about Shingo.\Okay.\Shingo, hand over that chanela!\No way!\What are you doing? Stop it!\You idiot. response:	Oh, I'm sorry.
context: I'm sorry Luna. I just...\More importantly, I'm worried about Shingo.\Okay.\Shingo, hand over that chanela!\No way!\What are you doing? Stop it!\You idiot.\Oh, I'm sorry. response:	I'm not giving anyone my chanela.
context: More importantly, I'm worried about Shingo.\Okay.\Shingo, hand over that chanela!\No way!\What are you doing? Stop it!\You idiot.\Oh, I'm sorry.\I'm not giving anyone my chanela. response:	Usagi, there's no time to be depressed!
context: Okay.\Shingo, hand over that chanela!\No way!\What are you doing? Stop it!\You idiot.\Oh, I'm sorry.\I'm not giving anyone my chanela.\Usagi, there's no time to be depressed! response:	We've got to follow him.
context: Shingo, hand over that chanela!\No way!\What are you doing? Stop it!\You idiot.\Oh, I'm sorry.\I'm not giving anyone my chanela.\Usagi, there's no time to be depressed!\We've got to follow him. response:	But where should we go?
context: No way!\What are you doing? Stop it!\You idiot.\Oh, I'm sorry.\I'm not giving anyone my chanela.\Usagi, there's no time to be depressed!\We've got to follow him.\But where should we go? response:	That pet shop of course.
context: What are you doing? Stop it!\You idiot.\Oh, I'm sorry.\I'm not giving anyone my chanela.\Usagi, there's no time to be depressed!\We've got to follow him.\But where should we go?\That pet shop of course. response:	Now change into Sailor Moon!
context: You idiot.\Oh, I'm sorry.\I'm not giving anyone my chanela.\Usagi, there's no time to be depressed!\We've got to follow him.\But where should we go?\That pet shop of course.\Now change into Sailor Moon! response:	What am I going to do if the chanela looks at me again?
context: Oh, I'm sorry.\I'm not giving anyone my chanela.\Usagi, there's no time to be depressed!\We've got to follow him.\But where should we go?\That pet shop of course.\Now change into Sailor Moon!\What am I going to do if the chanela looks at me again? response:	You can't be scared now. You've got an important mission.
context: I'm not giving anyone my chanela.\Usagi, there's no time to be depressed!\We've got to follow him.\But where should we go?\That pet shop of course.\Now change into Sailor Moon!\What am I going to do if the chanela looks at me again?\You can't be scared now. You've got an important mission. response:	I know.
context: Usagi, there's no time to be depressed!\We've got to follow him.\But where should we go?\That pet shop of course.\Now change into Sailor Moon!\What am I going to do if the chanela looks at me again?\You can't be scared now. You've got an important mission.\I know. response:	Moon Prism Power Makeup!
context: We've got to follow him.\But where should we go?\That pet shop of course.\Now change into Sailor Moon!\What am I going to do if the chanela looks at me again?\You can't be scared now. You've got an important mission.\I know.\Moon Prism Power Makeup! response:	You are to spread these chanelas. Do you understand?
context: But where should we go?\That pet shop of course.\Now change into Sailor Moon!\What am I going to do if the chanela looks at me again?\You can't be scared now. You've got an important mission.\I know.\Moon Prism Power Makeup!\You are to spread these chanelas. Do you understand? response:	Yeah!
context: That pet shop of course.\Now change into Sailor Moon!\What am I going to do if the chanela looks at me again?\You can't be scared now. You've got an important mission.\I know.\Moon Prism Power Makeup!\You are to spread these chanelas. Do you understand?\Yeah! response:	Frill-necked lizards, Mexican salamanders, and human-faced fish are all mad.
context: Now change into Sailor Moon!\What am I going to do if the chanela looks at me again?\You can't be scared now. You've got an important mission.\I know.\Moon Prism Power Makeup!\You are to spread these chanelas. Do you understand?\Yeah!\Frill-necked lizards, Mexican salamanders, and human-faced fish are all mad. response:	Who are you?
context: What am I going to do if the chanela looks at me again?\You can't be scared now. You've got an important mission.\I know.\Moon Prism Power Makeup!\You are to spread these chanelas. Do you understand?\Yeah!\Frill-necked lizards, Mexican salamanders, and human-faced fish are all mad.\Who are you? response:	They are mad, saying that they are not toys!
context: You can't be scared now. You've got an important mission.\I know.\Moon Prism Power Makeup!\You are to spread these chanelas. Do you understand?\Yeah!\Frill-necked lizards, Mexican salamanders, and human-faced fish are all mad.\Who are you?\They are mad, saying that they are not toys! response:	Sailor warrior of love and justice,
context: I know.\Moon Prism Power Makeup!\You are to spread these chanelas. Do you understand?\Yeah!\Frill-necked lizards, Mexican salamanders, and human-faced fish are all mad.\Who are you?\They are mad, saying that they are not toys!\Sailor warrior of love and justice, response:	Sailor Moon.
context: Moon Prism Power Makeup!\You are to spread these chanelas. Do you understand?\Yeah!\Frill-necked lizards, Mexican salamanders, and human-faced fish are all mad.\Who are you?\They are mad, saying that they are not toys!\Sailor warrior of love and justice,\Sailor Moon. response:	In the name of the moon, I will punish you.
context: You are to spread these chanelas. Do you understand?\Yeah!\Frill-necked lizards, Mexican salamanders, and human-faced fish are all mad.\Who are you?\They are mad, saying that they are not toys!\Sailor warrior of love and justice,\Sailor Moon.\In the name of the moon, I will punish you. response:	Why you...
context: Yeah!\Frill-necked lizards, Mexican salamanders, and human-faced fish are all mad.\Who are you?\They are mad, saying that they are not toys!\Sailor warrior of love and justice,\Sailor Moon.\In the name of the moon, I will punish you.\Why you... response:	Scary!
context: Frill-necked lizards, Mexican salamanders, and human-faced fish are all mad.\Who are you?\They are mad, saying that they are not toys!\Sailor warrior of love and justice,\Sailor Moon.\In the name of the moon, I will punish you.\Why you...\Scary! response:	Shingo! Shingo!
context: Who are you?\They are mad, saying that they are not toys!\Sailor warrior of love and justice,\Sailor Moon.\In the name of the moon, I will punish you.\Why you...\Scary!\Shingo! Shingo! response:	It's usually at times like this that
context: They are mad, saying that they are not toys!\Sailor warrior of love and justice,\Sailor Moon.\In the name of the moon, I will punish you.\Why you...\Scary!\Shingo! Shingo!\It's usually at times like this that response:	the Tuxedo Mask comes to save me.
context: Sailor warrior of love and justice,\Sailor Moon.\In the name of the moon, I will punish you.\Why you...\Scary!\Shingo! Shingo!\It's usually at times like this that\the Tuxedo Mask comes to save me. response:	He's not coming.
