context: Pardon me... response:	What day is it today?
context: Even though we were together, he felt so far away...\And the closer I got to him,\the farther away he felt...\What?\Oh.\Well, I guess you were feeling the same thing I was.\But now we may be able to get into that circle.\Now... response:	Hey, do you want to go see Kaname-san?
context: And the closer I got to him,\the farther away he felt...\What?\Oh.\Well, I guess you were feeling the same thing I was.\But now we may be able to get into that circle.\Now...\Hey, do you want to go see Kaname-san? response:	Huh?
context: the farther away he felt...\What?\Oh.\Well, I guess you were feeling the same thing I was.\But now we may be able to get into that circle.\Now...\Hey, do you want to go see Kaname-san?\Huh? response:	After a little while when Kaname-san's settled down a bit.
context: What?\Oh.\Well, I guess you were feeling the same thing I was.\But now we may be able to get into that circle.\Now...\Hey, do you want to go see Kaname-san?\Huh?\After a little while when Kaname-san's settled down a bit. response:	Oh, b-but...
context: Oh.\Well, I guess you were feeling the same thing I was.\But now we may be able to get into that circle.\Now...\Hey, do you want to go see Kaname-san?\Huh?\After a little while when Kaname-san's settled down a bit.\Oh, b-but... response:	Sayu.
context: Well, I guess you were feeling the same thing I was.\But now we may be able to get into that circle.\Now...\Hey, do you want to go see Kaname-san?\Huh?\After a little while when Kaname-san's settled down a bit.\Oh, b-but...\Sayu. response:	Oh, r-right.
context: But now we may be able to get into that circle.\Now...\Hey, do you want to go see Kaname-san?\Huh?\After a little while when Kaname-san's settled down a bit.\Oh, b-but...\Sayu.\Oh, r-right. response:	I wonder if things haven't changed...
context: Now...\Hey, do you want to go see Kaname-san?\Huh?\After a little while when Kaname-san's settled down a bit.\Oh, b-but...\Sayu.\Oh, r-right.\I wonder if things haven't changed... response:	See ya.
context: Hey, do you want to go see Kaname-san?\Huh?\After a little while when Kaname-san's settled down a bit.\Oh, b-but...\Sayu.\Oh, r-right.\I wonder if things haven't changed...\See ya. response:	Let's do our best, Sayu.
context: Huh?\After a little while when Kaname-san's settled down a bit.\Oh, b-but...\Sayu.\Oh, r-right.\I wonder if things haven't changed...\See ya.\Let's do our best, Sayu. response:	Yeah.
context: After a little while when Kaname-san's settled down a bit.\Oh, b-but...\Sayu.\Oh, r-right.\I wonder if things haven't changed...\See ya.\Let's do our best, Sayu.\Yeah. response:	Do your best in what?
context: Oh, b-but...\Sayu.\Oh, r-right.\I wonder if things haven't changed...\See ya.\Let's do our best, Sayu.\Yeah.\Do your best in what? response:	It's a secret.
context: Sayu.\Oh, r-right.\I wonder if things haven't changed...\See ya.\Let's do our best, Sayu.\Yeah.\Do your best in what?\It's a secret. response:	That's rude.
context: Oh, r-right.\I wonder if things haven't changed...\See ya.\Let's do our best, Sayu.\Yeah.\Do your best in what?\It's a secret.\That's rude. response:	I'll do my best...
context: I wonder if things haven't changed...\See ya.\Let's do our best, Sayu.\Yeah.\Do your best in what?\It's a secret.\That's rude.\I'll do my best... response:	Come here.
context: See ya.\Let's do our best, Sayu.\Yeah.\Do your best in what?\It's a secret.\That's rude.\I'll do my best...\Come here. response:	Hey, Kaname!
context: Let's do our best, Sayu.\Yeah.\Do your best in what?\It's a secret.\That's rude.\I'll do my best...\Come here.\Hey, Kaname! response:	I heard you were back!
context: Yeah.\Do your best in what?\It's a secret.\That's rude.\I'll do my best...\Come here.\Hey, Kaname!\I heard you were back! response:	You haven't changed at all, of course!
context: Do your best in what?\It's a secret.\That's rude.\I'll do my best...\Come here.\Hey, Kaname!\I heard you were back!\You haven't changed at all, of course! response:	Um, could you be...
context: It's a secret.\That's rude.\I'll do my best...\Come here.\Hey, Kaname!\I heard you were back!\You haven't changed at all, of course!\Um, could you be... response:	What? You can't tell?
context: That's rude.\I'll do my best...\Come here.\Hey, Kaname!\I heard you were back!\You haven't changed at all, of course!\Um, could you be...\What? You can't tell? response:	It's me, Sayama. Sayama from Saya Mart.
context: I'll do my best...\Come here.\Hey, Kaname!\I heard you were back!\You haven't changed at all, of course!\Um, could you be...\What? You can't tell?\It's me, Sayama. Sayama from Saya Mart. response:	Oh, it is you.
context: Come here.\Hey, Kaname!\I heard you were back!\You haven't changed at all, of course!\Um, could you be...\What? You can't tell?\It's me, Sayama. Sayama from Saya Mart.\Oh, it is you. response:	Once you get a little more settled, let's meet up with everyone.
context: Hey, Kaname!\I heard you were back!\You haven't changed at all, of course!\Um, could you be...\What? You can't tell?\It's me, Sayama. Sayama from Saya Mart.\Oh, it is you.\Once you get a little more settled, let's meet up with everyone. response:	See ya later!
context: I heard you were back!\You haven't changed at all, of course!\Um, could you be...\What? You can't tell?\It's me, Sayama. Sayama from Saya Mart.\Oh, it is you.\Once you get a little more settled, let's meet up with everyone.\See ya later! response:	Oh, uh...
context: You haven't changed at all, of course!\Um, could you be...\What? You can't tell?\It's me, Sayama. Sayama from Saya Mart.\Oh, it is you.\Once you get a little more settled, let's meet up with everyone.\See ya later!\Oh, uh... response:	I guess you wouldn't know.
context: Um, could you be...\What? You can't tell?\It's me, Sayama. Sayama from Saya Mart.\Oh, it is you.\Once you get a little more settled, let's meet up with everyone.\See ya later!\Oh, uh...\I guess you wouldn't know. response:	Oh...
context: What? You can't tell?\It's me, Sayama. Sayama from Saya Mart.\Oh, it is you.\Once you get a little more settled, let's meet up with everyone.\See ya later!\Oh, uh...\I guess you wouldn't know.\Oh... response:	Could it be...
context: It's me, Sayama. Sayama from Saya Mart.\Oh, it is you.\Once you get a little more settled, let's meet up with everyone.\See ya later!\Oh, uh...\I guess you wouldn't know.\Oh...\Could it be... response:	Kaname?
context: Oh, it is you.\Once you get a little more settled, let's meet up with everyone.\See ya later!\Oh, uh...\I guess you wouldn't know.\Oh...\Could it be...\Kaname? response:	Is something wrong?
context: Once you get a little more settled, let's meet up with everyone.\See ya later!\Oh, uh...\I guess you wouldn't know.\Oh...\Could it be...\Kaname?\Is something wrong? response:	No...
context: See ya later!\Oh, uh...\I guess you wouldn't know.\Oh...\Could it be...\Kaname?\Is something wrong?\No... response:	Is school fun?
context: Oh, uh...\I guess you wouldn't know.\Oh...\Could it be...\Kaname?\Is something wrong?\No...\Is school fun? response:	Yeah, I guess.
context: I guess you wouldn't know.\Oh...\Could it be...\Kaname?\Is something wrong?\No...\Is school fun?\Yeah, I guess. response:	I had no idea that you wanted to be a nurse.
context: Oh...\Could it be...\Kaname?\Is something wrong?\No...\Is school fun?\Yeah, I guess.\I had no idea that you wanted to be a nurse. response:	I wasn't considering it that long ago.
context: Could it be...\Kaname?\Is something wrong?\No...\Is school fun?\Yeah, I guess.\I had no idea that you wanted to be a nurse.\I wasn't considering it that long ago. response:	So it was while I was sleeping...
context: Kaname?\Is something wrong?\No...\Is school fun?\Yeah, I guess.\I had no idea that you wanted to be a nurse.\I wasn't considering it that long ago.\So it was while I was sleeping... response:	What were you up to today?
context: Is something wrong?\No...\Is school fun?\Yeah, I guess.\I had no idea that you wanted to be a nurse.\I wasn't considering it that long ago.\So it was while I was sleeping...\What were you up to today? response:	I thought I should see various things.
context: No...\Is school fun?\Yeah, I guess.\I had no idea that you wanted to be a nurse.\I wasn't considering it that long ago.\So it was while I was sleeping...\What were you up to today?\I thought I should see various things. response:	Things that changed... things that haven't changed...
context: Is school fun?\Yeah, I guess.\I had no idea that you wanted to be a nurse.\I wasn't considering it that long ago.\So it was while I was sleeping...\What were you up to today?\I thought I should see various things.\Things that changed... things that haven't changed... response:	Have you changed, Chisaki?
context: Yeah, I guess.\I had no idea that you wanted to be a nurse.\I wasn't considering it that long ago.\So it was while I was sleeping...\What were you up to today?\I thought I should see various things.\Things that changed... things that haven't changed...\Have you changed, Chisaki? response:	I did age five years.
context: I had no idea that you wanted to be a nurse.\I wasn't considering it that long ago.\So it was while I was sleeping...\What were you up to today?\I thought I should see various things.\Things that changed... things that haven't changed...\Have you changed, Chisaki?\I did age five years. response:	That doesn't matter.
context: I wasn't considering it that long ago.\So it was while I was sleeping...\What were you up to today?\I thought I should see various things.\Things that changed... things that haven't changed...\Have you changed, Chisaki?\I did age five years.\That doesn't matter. response:	I like older women.
context: So it was while I was sleeping...\What were you up to today?\I thought I should see various things.\Things that changed... things that haven't changed...\Have you changed, Chisaki?\I did age five years.\That doesn't matter.\I like older women. response:	What the heck? What about you, Kaname?
context: What were you up to today?\I thought I should see various things.\Things that changed... things that haven't changed...\Have you changed, Chisaki?\I did age five years.\That doesn't matter.\I like older women.\What the heck? What about you, Kaname? response:	I've liked you, Chisaki.
context: I thought I should see various things.\Things that changed... things that haven't changed...\Have you changed, Chisaki?\I did age five years.\That doesn't matter.\I like older women.\What the heck? What about you, Kaname?\I've liked you, Chisaki. response:	For quite a while now.
context: Things that changed... things that haven't changed...\Have you changed, Chisaki?\I did age five years.\That doesn't matter.\I like older women.\What the heck? What about you, Kaname?\I've liked you, Chisaki.\For quite a while now. response:	Have you changed, Kaname?
context: Have you changed, Chisaki?\I did age five years.\That doesn't matter.\I like older women.\What the heck? What about you, Kaname?\I've liked you, Chisaki.\For quite a while now.\Have you changed, Kaname? response:	I haven't changed at all.
context: I did age five years.\That doesn't matter.\I like older women.\What the heck? What about you, Kaname?\I've liked you, Chisaki.\For quite a while now.\Have you changed, Kaname?\I haven't changed at all. response:	I was just sleeping.
context: That doesn't matter.\I like older women.\What the heck? What about you, Kaname?\I've liked you, Chisaki.\For quite a while now.\Have you changed, Kaname?\I haven't changed at all.\I was just sleeping. response:	I see...
context: I like older women.\What the heck? What about you, Kaname?\I've liked you, Chisaki.\For quite a while now.\Have you changed, Kaname?\I haven't changed at all.\I was just sleeping.\I see... response:	There's no way I'd change.
context: What the heck? What about you, Kaname?\I've liked you, Chisaki.\For quite a while now.\Have you changed, Kaname?\I haven't changed at all.\I was just sleeping.\I see...\There's no way I'd change. response:	It's been a few days since Kaname-san came back.
context: I've liked you, Chisaki.\For quite a while now.\Have you changed, Kaname?\I haven't changed at all.\I was just sleeping.\I see...\There's no way I'd change.\It's been a few days since Kaname-san came back. response:	Huh?
context: For quite a while now.\Have you changed, Kaname?\I haven't changed at all.\I was just sleeping.\I see...\There's no way I'd change.\It's been a few days since Kaname-san came back.\Huh? response:	Miuna has Ena?
context: Have you changed, Kaname?\I haven't changed at all.\I was just sleeping.\I see...\There's no way I'd change.\It's been a few days since Kaname-san came back.\Huh?\Miuna has Ena? response:	After close examination, it's become clear that
context: I haven't changed at all.\I was just sleeping.\I see...\There's no way I'd change.\It's been a few days since Kaname-san came back.\Huh?\Miuna has Ena?\After close examination, it's become clear that response:	she has about a 50-micron layer of membrane above her normal skin.
context: I was just sleeping.\I see...\There's no way I'd change.\It's been a few days since Kaname-san came back.\Huh?\Miuna has Ena?\After close examination, it's become clear that\she has about a 50-micron layer of membrane above her normal skin. response:	We aren't certain yet,
context: I see...\There's no way I'd change.\It's been a few days since Kaname-san came back.\Huh?\Miuna has Ena?\After close examination, it's become clear that\she has about a 50-micron layer of membrane above her normal skin.\We aren't certain yet, response:	but it appears to be Ena for sure.
context: There's no way I'd change.\It's been a few days since Kaname-san came back.\Huh?\Miuna has Ena?\After close examination, it's become clear that\she has about a 50-micron layer of membrane above her normal skin.\We aren't certain yet,\but it appears to be Ena for sure. response:	But don't kids born between someone from the surface and someone from the sea lose their Ena?
context: It's been a few days since Kaname-san came back.\Huh?\Miuna has Ena?\After close examination, it's become clear that\she has about a 50-micron layer of membrane above her normal skin.\We aren't certain yet,\but it appears to be Ena for sure.\But don't kids born between someone from the surface and someone from the sea lose their Ena? response:	Right.
context: Huh?\Miuna has Ena?\After close examination, it's become clear that\she has about a 50-micron layer of membrane above her normal skin.\We aren't certain yet,\but it appears to be Ena for sure.\But don't kids born between someone from the surface and someone from the sea lose their Ena?\Right. response:	This would be the first time I've seen a case like this.
context: Miuna has Ena?\After close examination, it's become clear that\she has about a 50-micron layer of membrane above her normal skin.\We aren't certain yet,\but it appears to be Ena for sure.\But don't kids born between someone from the surface and someone from the sea lose their Ena?\Right.\This would be the first time I've seen a case like this. response:	I'd like to examine Akira-kun once, as well.
context: After close examination, it's become clear that\she has about a 50-micron layer of membrane above her normal skin.\We aren't certain yet,\but it appears to be Ena for sure.\But don't kids born between someone from the surface and someone from the sea lose their Ena?\Right.\This would be the first time I've seen a case like this.\I'd like to examine Akira-kun once, as well. response:	I still don't get it.
context: she has about a 50-micron layer of membrane above her normal skin.\We aren't certain yet,\but it appears to be Ena for sure.\But don't kids born between someone from the surface and someone from the sea lose their Ena?\Right.\This would be the first time I've seen a case like this.\I'd like to examine Akira-kun once, as well.\I still don't get it. response:	Hey, stop that.
context: We aren't certain yet,\but it appears to be Ena for sure.\But don't kids born between someone from the surface and someone from the sea lose their Ena?\Right.\This would be the first time I've seen a case like this.\I'd like to examine Akira-kun once, as well.\I still don't get it.\Hey, stop that. response:	But to think that Miuna has Ena...
context: but it appears to be Ena for sure.\But don't kids born between someone from the surface and someone from the sea lose their Ena?\Right.\This would be the first time I've seen a case like this.\I'd like to examine Akira-kun once, as well.\I still don't get it.\Hey, stop that.\But to think that Miuna has Ena... response:	Miu? Ena?
context: But don't kids born between someone from the surface and someone from the sea lose their Ena?\Right.\This would be the first time I've seen a case like this.\I'd like to examine Akira-kun once, as well.\I still don't get it.\Hey, stop that.\But to think that Miuna has Ena...\Miu? Ena? response:	Yeah, just like me.
context: Right.\This would be the first time I've seen a case like this.\I'd like to examine Akira-kun once, as well.\I still don't get it.\Hey, stop that.\But to think that Miuna has Ena...\Miu? Ena?\Yeah, just like me. response:	She's just like me.
context: This would be the first time I've seen a case like this.\I'd like to examine Akira-kun once, as well.\I still don't get it.\Hey, stop that.\But to think that Miuna has Ena...\Miu? Ena?\Yeah, just like me.\She's just like me. response:	Ena, Ena.
context: I'd like to examine Akira-kun once, as well.\I still don't get it.\Hey, stop that.\But to think that Miuna has Ena...\Miu? Ena?\Yeah, just like me.\She's just like me.\Ena, Ena. response:	Good morning.
context: I still don't get it.\Hey, stop that.\But to think that Miuna has Ena...\Miu? Ena?\Yeah, just like me.\She's just like me.\Ena, Ena.\Good morning. response:	Good morning!
context: Hey, stop that.\But to think that Miuna has Ena...\Miu? Ena?\Yeah, just like me.\She's just like me.\Ena, Ena.\Good morning.\Good morning! response:	Good morning.
context: But to think that Miuna has Ena...\Miu? Ena?\Yeah, just like me.\She's just like me.\Ena, Ena.\Good morning.\Good morning!\Good morning. response:	What's wrong?
context: Miu? Ena?\Yeah, just like me.\She's just like me.\Ena, Ena.\Good morning.\Good morning!\Good morning.\What's wrong? response:	What do you mean?
context: Yeah, just like me.\She's just like me.\Ena, Ena.\Good morning.\Good morning!\Good morning.\What's wrong?\What do you mean? response:	You seem down.
context: She's just like me.\Ena, Ena.\Good morning.\Good morning!\Good morning.\What's wrong?\What do you mean?\You seem down. response:	Not really.
context: Ena, Ena.\Good morning.\Good morning!\Good morning.\What's wrong?\What do you mean?\You seem down.\Not really. response:	I see...
context: Good morning.\Good morning!\Good morning.\What's wrong?\What do you mean?\You seem down.\Not really.\I see... response:	When do you want to go see Kaname-san?
context: Good morning!\Good morning.\What's wrong?\What do you mean?\You seem down.\Not really.\I see...\When do you want to go see Kaname-san? response:	I'm not going.
context: Good morning.\What's wrong?\What do you mean?\You seem down.\Not really.\I see...\When do you want to go see Kaname-san?\I'm not going. response:	What?
context: What's wrong?\What do you mean?\You seem down.\Not really.\I see...\When do you want to go see Kaname-san?\I'm not going.\What? response:	I'm not going.
context: What do you mean?\You seem down.\Not really.\I see...\When do you want to go see Kaname-san?\I'm not going.\What?\I'm not going. response:	Sayu?
context: You seem down.\Not really.\I see...\When do you want to go see Kaname-san?\I'm not going.\What?\I'm not going.\Sayu? response:	I wonder where Sayu went.
context: Not really.\I see...\When do you want to go see Kaname-san?\I'm not going.\What?\I'm not going.\Sayu?\I wonder where Sayu went. response:	Miuna! Let's go home!
context: I see...\When do you want to go see Kaname-san?\I'm not going.\What?\I'm not going.\Sayu?\I wonder where Sayu went.\Miuna! Let's go home! response:	Sorry, could you go ahead without me?
context: When do you want to go see Kaname-san?\I'm not going.\What?\I'm not going.\Sayu?\I wonder where Sayu went.\Miuna! Let's go home!\Sorry, could you go ahead without me? response:	Jeez...
context: I'm not going.\What?\I'm not going.\Sayu?\I wonder where Sayu went.\Miuna! Let's go home!\Sorry, could you go ahead without me?\Jeez... response:	I really don't get girls.
context: What?\I'm not going.\Sayu?\I wonder where Sayu went.\Miuna! Let's go home!\Sorry, could you go ahead without me?\Jeez...\I really don't get girls. response:	Seriously.
context: I'm not going.\Sayu?\I wonder where Sayu went.\Miuna! Let's go home!\Sorry, could you go ahead without me?\Jeez...\I really don't get girls.\Seriously. response:	I thought I'd head back to school finally and come to check things out,
context: Sayu?\I wonder where Sayu went.\Miuna! Let's go home!\Sorry, could you go ahead without me?\Jeez...\I really don't get girls.\Seriously.\I thought I'd head back to school finally and come to check things out, response:	but apparently things haven't...
context: I wonder where Sayu went.\Miuna! Let's go home!\Sorry, could you go ahead without me?\Jeez...\I really don't get girls.\Seriously.\I thought I'd head back to school finally and come to check things out,\but apparently things haven't... response:	Oh!
context: Miuna! Let's go home!\Sorry, could you go ahead without me?\Jeez...\I really don't get girls.\Seriously.\I thought I'd head back to school finally and come to check things out,\but apparently things haven't...\Oh! response:	They apparently kept it around so we could still use it at any time.
context: Sorry, could you go ahead without me?\Jeez...\I really don't get girls.\Seriously.\I thought I'd head back to school finally and come to check things out,\but apparently things haven't...\Oh!\They apparently kept it around so we could still use it at any time. response:	Apparently Miuna and the others have been keeping it clean.
context: Jeez...\I really don't get girls.\Seriously.\I thought I'd head back to school finally and come to check things out,\but apparently things haven't...\Oh!\They apparently kept it around so we could still use it at any time.\Apparently Miuna and the others have been keeping it clean. response:	I see.
context: I really don't get girls.\Seriously.\I thought I'd head back to school finally and come to check things out,\but apparently things haven't...\Oh!\They apparently kept it around so we could still use it at any time.\Apparently Miuna and the others have been keeping it clean.\I see. response:	By the way, Miuna-chan's grown up quite a bit.
context: Seriously.\I thought I'd head back to school finally and come to check things out,\but apparently things haven't...\Oh!\They apparently kept it around so we could still use it at any time.\Apparently Miuna and the others have been keeping it clean.\I see.\By the way, Miuna-chan's grown up quite a bit. response:	Not so much on the inside.
context: I thought I'd head back to school finally and come to check things out,\but apparently things haven't...\Oh!\They apparently kept it around so we could still use it at any time.\Apparently Miuna and the others have been keeping it clean.\I see.\By the way, Miuna-chan's grown up quite a bit.\Not so much on the inside. response:	I see.
context: but apparently things haven't...\Oh!\They apparently kept it around so we could still use it at any time.\Apparently Miuna and the others have been keeping it clean.\I see.\By the way, Miuna-chan's grown up quite a bit.\Not so much on the inside.\I see. response:	Seriously.
context: Oh!\They apparently kept it around so we could still use it at any time.\Apparently Miuna and the others have been keeping it clean.\I see.\By the way, Miuna-chan's grown up quite a bit.\Not so much on the inside.\I see.\Seriously. response:	But I guess it can't be helped.
context: They apparently kept it around so we could still use it at any time.\Apparently Miuna and the others have been keeping it clean.\I see.\By the way, Miuna-chan's grown up quite a bit.\Not so much on the inside.\I see.\Seriously.\But I guess it can't be helped. response:	She looks like she's changed.
context: Apparently Miuna and the others have been keeping it clean.\I see.\By the way, Miuna-chan's grown up quite a bit.\Not so much on the inside.\I see.\Seriously.\But I guess it can't be helped.\She looks like she's changed. response:	A lot's changed, and a lot hasn't changed...
context: I see.\By the way, Miuna-chan's grown up quite a bit.\Not so much on the inside.\I see.\Seriously.\But I guess it can't be helped.\She looks like she's changed.\A lot's changed, and a lot hasn't changed... response:	Honestly, it's pretty overwhelming.
context: By the way, Miuna-chan's grown up quite a bit.\Not so much on the inside.\I see.\Seriously.\But I guess it can't be helped.\She looks like she's changed.\A lot's changed, and a lot hasn't changed...\Honestly, it's pretty overwhelming. response:	Could it be you're trying to cheer me up?
context: Not so much on the inside.\I see.\Seriously.\But I guess it can't be helped.\She looks like she's changed.\A lot's changed, and a lot hasn't changed...\Honestly, it's pretty overwhelming.\Could it be you're trying to cheer me up? response:	Well, I am the senpai that woke up before you.
context: I see.\Seriously.\But I guess it can't be helped.\She looks like she's changed.\A lot's changed, and a lot hasn't changed...\Honestly, it's pretty overwhelming.\Could it be you're trying to cheer me up?\Well, I am the senpai that woke up before you. response:	You've matured, too, Hikari.
context: Seriously.\But I guess it can't be helped.\She looks like she's changed.\A lot's changed, and a lot hasn't changed...\Honestly, it's pretty overwhelming.\Could it be you're trying to cheer me up?\Well, I am the senpai that woke up before you.\You've matured, too, Hikari. response:	Shut up!
context: But I guess it can't be helped.\She looks like she's changed.\A lot's changed, and a lot hasn't changed...\Honestly, it's pretty overwhelming.\Could it be you're trying to cheer me up?\Well, I am the senpai that woke up before you.\You've matured, too, Hikari.\Shut up! response:	Though I've been prepared,
context: She looks like she's changed.\A lot's changed, and a lot hasn't changed...\Honestly, it's pretty overwhelming.\Could it be you're trying to cheer me up?\Well, I am the senpai that woke up before you.\You've matured, too, Hikari.\Shut up!\Though I've been prepared, response:	ever since we knew we'd be falling asleep.
context: A lot's changed, and a lot hasn't changed...\Honestly, it's pretty overwhelming.\Could it be you're trying to cheer me up?\Well, I am the senpai that woke up before you.\You've matured, too, Hikari.\Shut up!\Though I've been prepared,\ever since we knew we'd be falling asleep. response:	But once it happens, it's actually rough, isn't it?
context: Honestly, it's pretty overwhelming.\Could it be you're trying to cheer me up?\Well, I am the senpai that woke up before you.\You've matured, too, Hikari.\Shut up!\Though I've been prepared,\ever since we knew we'd be falling asleep.\But once it happens, it's actually rough, isn't it? response:	You really have changed, Hikari...
context: Could it be you're trying to cheer me up?\Well, I am the senpai that woke up before you.\You've matured, too, Hikari.\Shut up!\Though I've been prepared,\ever since we knew we'd be falling asleep.\But once it happens, it's actually rough, isn't it?\You really have changed, Hikari... response:	Even though you woke up just a little before me.
context: Well, I am the senpai that woke up before you.\You've matured, too, Hikari.\Shut up!\Though I've been prepared,\ever since we knew we'd be falling asleep.\But once it happens, it's actually rough, isn't it?\You really have changed, Hikari...\Even though you woke up just a little before me. response:	You think so?
context: You've matured, too, Hikari.\Shut up!\Though I've been prepared,\ever since we knew we'd be falling asleep.\But once it happens, it's actually rough, isn't it?\You really have changed, Hikari...\Even though you woke up just a little before me.\You think so? response:	Yeah.
context: Shut up!\Though I've been prepared,\ever since we knew we'd be falling asleep.\But once it happens, it's actually rough, isn't it?\You really have changed, Hikari...\Even though you woke up just a little before me.\You think so?\Yeah. response:	You only woke up a few days before me and changed.
context: Though I've been prepared,\ever since we knew we'd be falling asleep.\But once it happens, it's actually rough, isn't it?\You really have changed, Hikari...\Even though you woke up just a little before me.\You think so?\Yeah.\You only woke up a few days before me and changed. response:	So if five years have passed...
context: ever since we knew we'd be falling asleep.\But once it happens, it's actually rough, isn't it?\You really have changed, Hikari...\Even though you woke up just a little before me.\You think so?\Yeah.\You only woke up a few days before me and changed.\So if five years have passed... response:	I see...
context: But once it happens, it's actually rough, isn't it?\You really have changed, Hikari...\Even though you woke up just a little before me.\You think so?\Yeah.\You only woke up a few days before me and changed.\So if five years have passed...\I see... response:	I guess that might be.
context: You really have changed, Hikari...\Even though you woke up just a little before me.\You think so?\Yeah.\You only woke up a few days before me and changed.\So if five years have passed...\I see...\I guess that might be. response:	Then I won't change anymore.
context: Even though you woke up just a little before me.\You think so?\Yeah.\You only woke up a few days before me and changed.\So if five years have passed...\I see...\I guess that might be.\Then I won't change anymore. response:	If I change anymore, once Manaka wakes up,
context: You think so?\Yeah.\You only woke up a few days before me and changed.\So if five years have passed...\I see...\I guess that might be.\Then I won't change anymore.\If I change anymore, once Manaka wakes up, response:	it'll surprise her.
context: Yeah.\You only woke up a few days before me and changed.\So if five years have passed...\I see...\I guess that might be.\Then I won't change anymore.\If I change anymore, once Manaka wakes up,\it'll surprise her. response:	Now that you've woken up, that means Manaka...
context: You only woke up a few days before me and changed.\So if five years have passed...\I see...\I guess that might be.\Then I won't change anymore.\If I change anymore, once Manaka wakes up,\it'll surprise her.\Now that you've woken up, that means Manaka... response:	She probably hasn't changed since then...
context: So if five years have passed...\I see...\I guess that might be.\Then I won't change anymore.\If I change anymore, once Manaka wakes up,\it'll surprise her.\Now that you've woken up, that means Manaka...\She probably hasn't changed since then... response:	Her feelings for Tsumugu...
context: I see...\I guess that might be.\Then I won't change anymore.\If I change anymore, once Manaka wakes up,\it'll surprise her.\Now that you've woken up, that means Manaka...\She probably hasn't changed since then...\Her feelings for Tsumugu... response:	But even then, I won't change.
context: I guess that might be.\Then I won't change anymore.\If I change anymore, once Manaka wakes up,\it'll surprise her.\Now that you've woken up, that means Manaka...\She probably hasn't changed since then...\Her feelings for Tsumugu...\But even then, I won't change. response:	No matter what...
context: Then I won't change anymore.\If I change anymore, once Manaka wakes up,\it'll surprise her.\Now that you've woken up, that means Manaka...\She probably hasn't changed since then...\Her feelings for Tsumugu...\But even then, I won't change.\No matter what... response:	Hikari...
context: If I change anymore, once Manaka wakes up,\it'll surprise her.\Now that you've woken up, that means Manaka...\She probably hasn't changed since then...\Her feelings for Tsumugu...\But even then, I won't change.\No matter what...\Hikari... response:	Sayu.
context: it'll surprise her.\Now that you've woken up, that means Manaka...\She probably hasn't changed since then...\Her feelings for Tsumugu...\But even then, I won't change.\No matter what...\Hikari...\Sayu. response:	Do Not Enter
context: Now that you've woken up, that means Manaka...\She probably hasn't changed since then...\Her feelings for Tsumugu...\But even then, I won't change.\No matter what...\Hikari...\Sayu.\Do Not Enter response:	I thought I was able to get a little closer...
context: She probably hasn't changed since then...\Her feelings for Tsumugu...\But even then, I won't change.\No matter what...\Hikari...\Sayu.\Do Not Enter\I thought I was able to get a little closer... response:	But we're still so far away. Man...
context: Her feelings for Tsumugu...\But even then, I won't change.\No matter what...\Hikari...\Sayu.\Do Not Enter\I thought I was able to get a little closer...\But we're still so far away. Man... response:	But you know,
context: But even then, I won't change.\No matter what...\Hikari...\Sayu.\Do Not Enter\I thought I was able to get a little closer...\But we're still so far away. Man...\But you know, response:	there's no way a childhood crush bears fruit.
context: No matter what...\Hikari...\Sayu.\Do Not Enter\I thought I was able to get a little closer...\But we're still so far away. Man...\But you know,\there's no way a childhood crush bears fruit. response:	I'm bound to forget these feelings one day.
context: Hikari...\Sayu.\Do Not Enter\I thought I was able to get a little closer...\But we're still so far away. Man...\But you know,\there's no way a childhood crush bears fruit.\I'm bound to forget these feelings one day. response:	You think so?
context: Sayu.\Do Not Enter\I thought I was able to get a little closer...\But we're still so far away. Man...\But you know,\there's no way a childhood crush bears fruit.\I'm bound to forget these feelings one day.\You think so? response:	Yeah.
context: Do Not Enter\I thought I was able to get a little closer...\But we're still so far away. Man...\But you know,\there's no way a childhood crush bears fruit.\I'm bound to forget these feelings one day.\You think so?\Yeah. response:	Even though I try to be tough and live on my own,
context: I thought I was able to get a little closer...\But we're still so far away. Man...\But you know,\there's no way a childhood crush bears fruit.\I'm bound to forget these feelings one day.\You think so?\Yeah.\Even though I try to be tough and live on my own, response:	as time passes, I'll probably like someone else.
context: But we're still so far away. Man...\But you know,\there's no way a childhood crush bears fruit.\I'm bound to forget these feelings one day.\You think so?\Yeah.\Even though I try to be tough and live on my own,\as time passes, I'll probably like someone else. response:	Or be with someone I don't like just to avoid being lonely.
context: But you know,\there's no way a childhood crush bears fruit.\I'm bound to forget these feelings one day.\You think so?\Yeah.\Even though I try to be tough and live on my own,\as time passes, I'll probably like someone else.\Or be with someone I don't like just to avoid being lonely. response:	That's how it is.
context: there's no way a childhood crush bears fruit.\I'm bound to forget these feelings one day.\You think so?\Yeah.\Even though I try to be tough and live on my own,\as time passes, I'll probably like someone else.\Or be with someone I don't like just to avoid being lonely.\That's how it is. response:	It's not possible to keep feeling the same way for one person
context: I'm bound to forget these feelings one day.\You think so?\Yeah.\Even though I try to be tough and live on my own,\as time passes, I'll probably like someone else.\Or be with someone I don't like just to avoid being lonely.\That's how it is.\It's not possible to keep feeling the same way for one person response:	from when you're a kid.
