context: Well then, let's get started. response:	Hey hey, wait a second!
context: In that case, Guild will disband too.\We were only able to keep going because of you guys carrying on the fight.\Thanks for everything.\If it weren't for you, we wouldn't have been able to do anything.\No, I'm just an old fool who happened to be around.\Bye then.\Time to go.\- Inside Large Dining Hall response:	Did I go too far?
context: We were only able to keep going because of you guys carrying on the fight.\Thanks for everything.\If it weren't for you, we wouldn't have been able to do anything.\No, I'm just an old fool who happened to be around.\Bye then.\Time to go.\- Inside Large Dining Hall\Did I go too far? response:	Guess I'll take a short break.
context: Thanks for everything.\If it weren't for you, we wouldn't have been able to do anything.\No, I'm just an old fool who happened to be around.\Bye then.\Time to go.\- Inside Large Dining Hall\Did I go too far?\Guess I'll take a short break. response:	Angel...
context: If it weren't for you, we wouldn't have been able to do anything.\No, I'm just an old fool who happened to be around.\Bye then.\Time to go.\- Inside Large Dining Hall\Did I go too far?\Guess I'll take a short break.\Angel... response:	No, I wonder if Kanade - chan is doing well.
context: No, I'm just an old fool who happened to be around.\Bye then.\Time to go.\- Inside Large Dining Hall\Did I go too far?\Guess I'll take a short break.\Angel...\No, I wonder if Kanade - chan is doing well. response:	I should have come to understand her sooner.
context: Bye then.\Time to go.\- Inside Large Dining Hall\Did I go too far?\Guess I'll take a short break.\Angel...\No, I wonder if Kanade - chan is doing well.\I should have come to understand her sooner. response:	We might have become friends, since we're both girls.
context: Time to go.\- Inside Large Dining Hall\Did I go too far?\Guess I'll take a short break.\Angel...\No, I wonder if Kanade - chan is doing well.\I should have come to understand her sooner.\We might have become friends, since we're both girls. response:	Even in this world, maybe I could have found clothes which suit her...
context: - Inside Large Dining Hall\Did I go too far?\Guess I'll take a short break.\Angel...\No, I wonder if Kanade - chan is doing well.\I should have come to understand her sooner.\We might have become friends, since we're both girls.\Even in this world, maybe I could have found clothes which suit her... response:	But in the end it's impossible.
context: Did I go too far?\Guess I'll take a short break.\Angel...\No, I wonder if Kanade - chan is doing well.\I should have come to understand her sooner.\We might have become friends, since we're both girls.\Even in this world, maybe I could have found clothes which suit her...\But in the end it's impossible. response:	I just can't forgive God.
context: Guess I'll take a short break.\Angel...\No, I wonder if Kanade - chan is doing well.\I should have come to understand her sooner.\We might have become friends, since we're both girls.\Even in this world, maybe I could have found clothes which suit her...\But in the end it's impossible.\I just can't forgive God. response:	So...
context: Angel...\No, I wonder if Kanade - chan is doing well.\I should have come to understand her sooner.\We might have become friends, since we're both girls.\Even in this world, maybe I could have found clothes which suit her...\But in the end it's impossible.\I just can't forgive God.\So... response:	Dammit!
context: No, I wonder if Kanade - chan is doing well.\I should have come to understand her sooner.\We might have become friends, since we're both girls.\Even in this world, maybe I could have found clothes which suit her...\But in the end it's impossible.\I just can't forgive God.\So...\Dammit! response:	Die!
context: I should have come to understand her sooner.\We might have become friends, since we're both girls.\Even in this world, maybe I could have found clothes which suit her...\But in the end it's impossible.\I just can't forgive God.\So...\Dammit!\Die! response:	Die!
context: We might have become friends, since we're both girls.\Even in this world, maybe I could have found clothes which suit her...\But in the end it's impossible.\I just can't forgive God.\So...\Dammit!\Die!\Die! response:	Die!
context: Even in this world, maybe I could have found clothes which suit her...\But in the end it's impossible.\I just can't forgive God.\So...\Dammit!\Die!\Die!\Die! response:	Die!
context: But in the end it's impossible.\I just can't forgive God.\So...\Dammit!\Die!\Die!\Die!\Die! response:	Die!
context: I just can't forgive God.\So...\Dammit!\Die!\Die!\Die!\Die!\Die! response:	Die!
context: So...\Dammit!\Die!\Die!\Die!\Die!\Die!\Die! response:	Die!
context: Dammit!\Die!\Die!\Die!\Die!\Die!\Die!\Die! response:	And so...
context: Die!\Die!\Die!\Die!\Die!\Die!\Die!\And so... response:	Huh?
context: Die!\Die!\Die!\Die!\Die!\Die!\And so...\Huh? response:	Wasn't I thinking about something?
context: Die!\Die!\Die!\Die!\Die!\And so...\Huh?\Wasn't I thinking about something? response:	What was it...
context: Die!\Die!\Die!\Die!\And so...\Huh?\Wasn't I thinking about something?\What was it... response:	I'm erasing this part, okay?
context: Die!\Die!\Die!\And so...\Huh?\Wasn't I thinking about something?\What was it...\I'm erasing this part, okay? response:	Eh?
context: Die!\Die!\And so...\Huh?\Wasn't I thinking about something?\What was it...\I'm erasing this part, okay?\Eh? response:	What's wrong, Nakamura?
context: Die!\And so...\Huh?\Wasn't I thinking about something?\What was it...\I'm erasing this part, okay?\Eh?\What's wrong, Nakamura? response:	Can I erase this?
context: And so...\Huh?\Wasn't I thinking about something?\What was it...\I'm erasing this part, okay?\Eh?\What's wrong, Nakamura?\Can I erase this? response:	Y - Yes, go ahead!
context: Huh?\Wasn't I thinking about something?\What was it...\I'm erasing this part, okay?\Eh?\What's wrong, Nakamura?\Can I erase this?\Y - Yes, go ahead! response:	Dammit!
context: Wasn't I thinking about something?\What was it...\I'm erasing this part, okay?\Eh?\What's wrong, Nakamura?\Can I erase this?\Y - Yes, go ahead!\Dammit! response:	That was embarrassing!
context: What was it...\I'm erasing this part, okay?\Eh?\What's wrong, Nakamura?\Can I erase this?\Y - Yes, go ahead!\Dammit!\That was embarrassing! response:	Hellooo, Yuri?
context: I'm erasing this part, okay?\Eh?\What's wrong, Nakamura?\Can I erase this?\Y - Yes, go ahead!\Dammit!\That was embarrassing!\Hellooo, Yuri? response:	What were you doing in the middle of class?
context: Eh?\What's wrong, Nakamura?\Can I erase this?\Y - Yes, go ahead!\Dammit!\That was embarrassing!\Hellooo, Yuri?\What were you doing in the middle of class? response:	Nothing really.
context: What's wrong, Nakamura?\Can I erase this?\Y - Yes, go ahead!\Dammit!\That was embarrassing!\Hellooo, Yuri?\What were you doing in the middle of class?\Nothing really. response:	I was just thinking.
context: Can I erase this?\Y - Yes, go ahead!\Dammit!\That was embarrassing!\Hellooo, Yuri?\What were you doing in the middle of class?\Nothing really.\I was just thinking. response:	Thinking?
context: Y - Yes, go ahead!\Dammit!\That was embarrassing!\Hellooo, Yuri?\What were you doing in the middle of class?\Nothing really.\I was just thinking.\Thinking? response:	So deeply that you stopped paying attention in class?
context: Dammit!\That was embarrassing!\Hellooo, Yuri?\What were you doing in the middle of class?\Nothing really.\I was just thinking.\Thinking?\So deeply that you stopped paying attention in class? response:	Could it be love?
context: That was embarrassing!\Hellooo, Yuri?\What were you doing in the middle of class?\Nothing really.\I was just thinking.\Thinking?\So deeply that you stopped paying attention in class?\Could it be love? response:	Is it love??
context: Hellooo, Yuri?\What were you doing in the middle of class?\Nothing really.\I was just thinking.\Thinking?\So deeply that you stopped paying attention in class?\Could it be love?\Is it love?? response:	Idiot. I wish I had that sort of thing to daydream about.
context: What were you doing in the middle of class?\Nothing really.\I was just thinking.\Thinking?\So deeply that you stopped paying attention in class?\Could it be love?\Is it love??\Idiot. I wish I had that sort of thing to daydream about. response:	I think you and Fujiwara - kun would go well together...
context: Nothing really.\I was just thinking.\Thinking?\So deeply that you stopped paying attention in class?\Could it be love?\Is it love??\Idiot. I wish I had that sort of thing to daydream about.\I think you and Fujiwara - kun would go well together... response:	Are you listening, Yuri?
context: I was just thinking.\Thinking?\So deeply that you stopped paying attention in class?\Could it be love?\Is it love??\Idiot. I wish I had that sort of thing to daydream about.\I think you and Fujiwara - kun would go well together...\Are you listening, Yuri? response:	Look! Fujiwara - kun's alone right now!
context: Thinking?\So deeply that you stopped paying attention in class?\Could it be love?\Is it love??\Idiot. I wish I had that sort of thing to daydream about.\I think you and Fujiwara - kun would go well together...\Are you listening, Yuri?\Look! Fujiwara - kun's alone right now! response:	Fujiwara - kun!
context: So deeply that you stopped paying attention in class?\Could it be love?\Is it love??\Idiot. I wish I had that sort of thing to daydream about.\I think you and Fujiwara - kun would go well together...\Are you listening, Yuri?\Look! Fujiwara - kun's alone right now!\Fujiwara - kun! response:	Hey, don't!!
context: Could it be love?\Is it love??\Idiot. I wish I had that sort of thing to daydream about.\I think you and Fujiwara - kun would go well together...\Are you listening, Yuri?\Look! Fujiwara - kun's alone right now!\Fujiwara - kun!\Hey, don't!! response:	Wait...
context: Is it love??\Idiot. I wish I had that sort of thing to daydream about.\I think you and Fujiwara - kun would go well together...\Are you listening, Yuri?\Look! Fujiwara - kun's alone right now!\Fujiwara - kun!\Hey, don't!!\Wait... response:	Who are you again?
context: Idiot. I wish I had that sort of thing to daydream about.\I think you and Fujiwara - kun would go well together...\Are you listening, Yuri?\Look! Fujiwara - kun's alone right now!\Fujiwara - kun!\Hey, don't!!\Wait...\Who are you again? response:	Huh?
context: I think you and Fujiwara - kun would go well together...\Are you listening, Yuri?\Look! Fujiwara - kun's alone right now!\Fujiwara - kun!\Hey, don't!!\Wait...\Who are you again?\Huh? response:	Hitomi...
context: Are you listening, Yuri?\Look! Fujiwara - kun's alone right now!\Fujiwara - kun!\Hey, don't!!\Wait...\Who are you again?\Huh?\Hitomi... response:	Oh, Hitomi...
context: Look! Fujiwara - kun's alone right now!\Fujiwara - kun!\Hey, don't!!\Wait...\Who are you again?\Huh?\Hitomi...\Oh, Hitomi... response:	Yeah. Have you lost it?
context: Fujiwara - kun!\Hey, don't!!\Wait...\Who are you again?\Huh?\Hitomi...\Oh, Hitomi...\Yeah. Have you lost it? response:	Maybe...
context: Hey, don't!!\Wait...\Who are you again?\Huh?\Hitomi...\Oh, Hitomi...\Yeah. Have you lost it?\Maybe... response:	Well then it must be...
context: Wait...\Who are you again?\Huh?\Hitomi...\Oh, Hitomi...\Yeah. Have you lost it?\Maybe...\Well then it must be... response:	Don't tell me I'm lovesick.
context: Who are you again?\Huh?\Hitomi...\Oh, Hitomi...\Yeah. Have you lost it?\Maybe...\Well then it must be...\Don't tell me I'm lovesick. response:	Correct!
context: Huh?\Hitomi...\Oh, Hitomi...\Yeah. Have you lost it?\Maybe...\Well then it must be...\Don't tell me I'm lovesick.\Correct! response:	Just go back to your desk.
context: Hitomi...\Oh, Hitomi...\Yeah. Have you lost it?\Maybe...\Well then it must be...\Don't tell me I'm lovesick.\Correct!\Just go back to your desk. response:	So, make sure you remember this part.
context: Oh, Hitomi...\Yeah. Have you lost it?\Maybe...\Well then it must be...\Don't tell me I'm lovesick.\Correct!\Just go back to your desk.\So, make sure you remember this part. response:	Nakamura, where are you looking?
context: Yeah. Have you lost it?\Maybe...\Well then it must be...\Don't tell me I'm lovesick.\Correct!\Just go back to your desk.\So, make sure you remember this part.\Nakamura, where are you looking? response:	Hey, Yuri!
context: Maybe...\Well then it must be...\Don't tell me I'm lovesick.\Correct!\Just go back to your desk.\So, make sure you remember this part.\Nakamura, where are you looking?\Hey, Yuri! response:	Okay Nakamura, why don't you read the next page from the top then?
context: Well then it must be...\Don't tell me I'm lovesick.\Correct!\Just go back to your desk.\So, make sure you remember this part.\Nakamura, where are you looking?\Hey, Yuri!\Okay Nakamura, why don't you read the next page from the top then? response:	What's wrong?
context: Don't tell me I'm lovesick.\Correct!\Just go back to your desk.\So, make sure you remember this part.\Nakamura, where are you looking?\Hey, Yuri!\Okay Nakamura, why don't you read the next page from the top then?\What's wrong? response:	This is like paradise.
context: Correct!\Just go back to your desk.\So, make sure you remember this part.\Nakamura, where are you looking?\Hey, Yuri!\Okay Nakamura, why don't you read the next page from the top then?\What's wrong?\This is like paradise. response:	What are you talking about?
context: Just go back to your desk.\So, make sure you remember this part.\Nakamura, where are you looking?\Hey, Yuri!\Okay Nakamura, why don't you read the next page from the top then?\What's wrong?\This is like paradise.\What are you talking about? response:	This is such a happy sight.
context: So, make sure you remember this part.\Nakamura, where are you looking?\Hey, Yuri!\Okay Nakamura, why don't you read the next page from the top then?\What's wrong?\This is like paradise.\What are you talking about?\This is such a happy sight. response:	It's too dazzling for me.
context: Nakamura, where are you looking?\Hey, Yuri!\Okay Nakamura, why don't you read the next page from the top then?\What's wrong?\This is like paradise.\What are you talking about?\This is such a happy sight.\It's too dazzling for me. response:	This is how everyone spends their time...
context: Hey, Yuri!\Okay Nakamura, why don't you read the next page from the top then?\What's wrong?\This is like paradise.\What are you talking about?\This is such a happy sight.\It's too dazzling for me.\This is how everyone spends their time... response:	It must be great.
context: Okay Nakamura, why don't you read the next page from the top then?\What's wrong?\This is like paradise.\What are you talking about?\This is such a happy sight.\It's too dazzling for me.\This is how everyone spends their time...\It must be great. response:	I'm jealous.
context: What's wrong?\This is like paradise.\What are you talking about?\This is such a happy sight.\It's too dazzling for me.\This is how everyone spends their time...\It must be great.\I'm jealous. response:	If I disappear from here, can I start over?
context: This is like paradise.\What are you talking about?\This is such a happy sight.\It's too dazzling for me.\This is how everyone spends their time...\It must be great.\I'm jealous.\If I disappear from here, can I start over? response:	Will I be able to accept such an obvious happiness?
context: What are you talking about?\This is such a happy sight.\It's too dazzling for me.\This is how everyone spends their time...\It must be great.\I'm jealous.\If I disappear from here, can I start over?\Will I be able to accept such an obvious happiness? response:	Nakamura...
context: This is such a happy sight.\It's too dazzling for me.\This is how everyone spends their time...\It must be great.\I'm jealous.\If I disappear from here, can I start over?\Will I be able to accept such an obvious happiness?\Nakamura... response:	Yuri?
context: It's too dazzling for me.\This is how everyone spends their time...\It must be great.\I'm jealous.\If I disappear from here, can I start over?\Will I be able to accept such an obvious happiness?\Nakamura...\Yuri? response:	If I lost my memories and changed my personality, I'm sure I could.
context: This is how everyone spends their time...\It must be great.\I'm jealous.\If I disappear from here, can I start over?\Will I be able to accept such an obvious happiness?\Nakamura...\Yuri?\If I lost my memories and changed my personality, I'm sure I could. response:	But what does it mean to be born again?
context: It must be great.\I'm jealous.\If I disappear from here, can I start over?\Will I be able to accept such an obvious happiness?\Nakamura...\Yuri?\If I lost my memories and changed my personality, I'm sure I could.\But what does it mean to be born again? response:	I would no longer be living my life.
context: I'm jealous.\If I disappear from here, can I start over?\Will I be able to accept such an obvious happiness?\Nakamura...\Yuri?\If I lost my memories and changed my personality, I'm sure I could.\But what does it mean to be born again?\I would no longer be living my life. response:	It would be someone else's.
context: If I disappear from here, can I start over?\Will I be able to accept such an obvious happiness?\Nakamura...\Yuri?\If I lost my memories and changed my personality, I'm sure I could.\But what does it mean to be born again?\I would no longer be living my life.\It would be someone else's. response:	I only have one chance to have my life,
context: Will I be able to accept such an obvious happiness?\Nakamura...\Yuri?\If I lost my memories and changed my personality, I'm sure I could.\But what does it mean to be born again?\I would no longer be living my life.\It would be someone else's.\I only have one chance to have my life, response:	and it's right here.
context: Nakamura...\Yuri?\If I lost my memories and changed my personality, I'm sure I could.\But what does it mean to be born again?\I would no longer be living my life.\It would be someone else's.\I only have one chance to have my life,\and it's right here. response:	It's the only one I have.
context: Yuri?\If I lost my memories and changed my personality, I'm sure I could.\But what does it mean to be born again?\I would no longer be living my life.\It would be someone else's.\I only have one chance to have my life,\and it's right here.\It's the only one I have. response:	This is my life.
context: If I lost my memories and changed my personality, I'm sure I could.\But what does it mean to be born again?\I would no longer be living my life.\It would be someone else's.\I only have one chance to have my life,\and it's right here.\It's the only one I have.\This is my life. response:	I can't give it to anyone else.
context: But what does it mean to be born again?\I would no longer be living my life.\It would be someone else's.\I only have one chance to have my life,\and it's right here.\It's the only one I have.\This is my life.\I can't give it to anyone else. response:	It can't be stolen.
context: I would no longer be living my life.\It would be someone else's.\I only have one chance to have my life,\and it's right here.\It's the only one I have.\This is my life.\I can't give it to anyone else.\It can't be stolen. response:	I can't force it on anyone, or forget it, or make it disappear, or trample on it, or laugh it away, or beautify it.
context: It would be someone else's.\I only have one chance to have my life,\and it's right here.\It's the only one I have.\This is my life.\I can't give it to anyone else.\It can't be stolen.\I can't force it on anyone, or forget it, or make it disappear, or trample on it, or laugh it away, or beautify it. response:	I have no choice but to accept this one cruel, meaningless life!
context: I only have one chance to have my life,\and it's right here.\It's the only one I have.\This is my life.\I can't give it to anyone else.\It can't be stolen.\I can't force it on anyone, or forget it, or make it disappear, or trample on it, or laugh it away, or beautify it.\I have no choice but to accept this one cruel, meaningless life! response:	Do you understand, sensei?
context: and it's right here.\It's the only one I have.\This is my life.\I can't give it to anyone else.\It can't be stolen.\I can't force it on anyone, or forget it, or make it disappear, or trample on it, or laugh it away, or beautify it.\I have no choice but to accept this one cruel, meaningless life!\Do you understand, sensei? response:	That's why I will fight.
context: It's the only one I have.\This is my life.\I can't give it to anyone else.\It can't be stolen.\I can't force it on anyone, or forget it, or make it disappear, or trample on it, or laugh it away, or beautify it.\I have no choice but to accept this one cruel, meaningless life!\Do you understand, sensei?\That's why I will fight. response:	I will continue fighting.
context: This is my life.\I can't give it to anyone else.\It can't be stolen.\I can't force it on anyone, or forget it, or make it disappear, or trample on it, or laugh it away, or beautify it.\I have no choice but to accept this one cruel, meaningless life!\Do you understand, sensei?\That's why I will fight.\I will continue fighting. response:	Because this kind of life...
context: I can't give it to anyone else.\It can't be stolen.\I can't force it on anyone, or forget it, or make it disappear, or trample on it, or laugh it away, or beautify it.\I have no choice but to accept this one cruel, meaningless life!\Do you understand, sensei?\That's why I will fight.\I will continue fighting.\Because this kind of life... response:	is unacceptable!
context: It can't be stolen.\I can't force it on anyone, or forget it, or make it disappear, or trample on it, or laugh it away, or beautify it.\I have no choice but to accept this one cruel, meaningless life!\Do you understand, sensei?\That's why I will fight.\I will continue fighting.\Because this kind of life...\is unacceptable! response:	Give me your hand!!
context: I can't force it on anyone, or forget it, or make it disappear, or trample on it, or laugh it away, or beautify it.\I have no choice but to accept this one cruel, meaningless life!\Do you understand, sensei?\That's why I will fight.\I will continue fighting.\Because this kind of life...\is unacceptable!\Give me your hand!! response:	Oh hey! Yo!
context: I have no choice but to accept this one cruel, meaningless life!\Do you understand, sensei?\That's why I will fight.\I will continue fighting.\Because this kind of life...\is unacceptable!\Give me your hand!!\Oh hey! Yo! response:	Looks like we made it in time.
context: Do you understand, sensei?\That's why I will fight.\I will continue fighting.\Because this kind of life...\is unacceptable!\Give me your hand!!\Oh hey! Yo!\Looks like we made it in time. response:	Otonashi - kun? Hinata - kun?
context: That's why I will fight.\I will continue fighting.\Because this kind of life...\is unacceptable!\Give me your hand!!\Oh hey! Yo!\Looks like we made it in time.\Otonashi - kun? Hinata - kun? response:	I'm here too, you know...
context: I will continue fighting.\Because this kind of life...\is unacceptable!\Give me your hand!!\Oh hey! Yo!\Looks like we made it in time.\Otonashi - kun? Hinata - kun?\I'm here too, you know... response:	You brought me back?
context: Because this kind of life...\is unacceptable!\Give me your hand!!\Oh hey! Yo!\Looks like we made it in time.\Otonashi - kun? Hinata - kun?\I'm here too, you know...\You brought me back? response:	She heard your voice
context: is unacceptable!\Give me your hand!!\Oh hey! Yo!\Looks like we made it in time.\Otonashi - kun? Hinata - kun?\I'm here too, you know...\You brought me back?\She heard your voice response:	no, your thoughts exploding, and then led us here.
context: Give me your hand!!\Oh hey! Yo!\Looks like we made it in time.\Otonashi - kun? Hinata - kun?\I'm here too, you know...\You brought me back?\She heard your voice\no, your thoughts exploding, and then led us here. response:	Kanade - chan?
context: Oh hey! Yo!\Looks like we made it in time.\Otonashi - kun? Hinata - kun?\I'm here too, you know...\You brought me back?\She heard your voice\no, your thoughts exploding, and then led us here.\Kanade - chan? response:	I see...
context: Looks like we made it in time.\Otonashi - kun? Hinata - kun?\I'm here too, you know...\You brought me back?\She heard your voice\no, your thoughts exploding, and then led us here.\Kanade - chan?\I see... response:	Thanks to everyone, I guess I was saved.
context: Otonashi - kun? Hinata - kun?\I'm here too, you know...\You brought me back?\She heard your voice\no, your thoughts exploding, and then led us here.\Kanade - chan?\I see...\Thanks to everyone, I guess I was saved. response:	But why are you guys here?
context: I'm here too, you know...\You brought me back?\She heard your voice\no, your thoughts exploding, and then led us here.\Kanade - chan?\I see...\Thanks to everyone, I guess I was saved.\But why are you guys here? response:	We left it in the others' hands.
context: You brought me back?\She heard your voice\no, your thoughts exploding, and then led us here.\Kanade - chan?\I see...\Thanks to everyone, I guess I was saved.\But why are you guys here?\We left it in the others' hands. response:	They decided to take over for us.
context: She heard your voice\no, your thoughts exploding, and then led us here.\Kanade - chan?\I see...\Thanks to everyone, I guess I was saved.\But why are you guys here?\We left it in the others' hands.\They decided to take over for us. response:	So you came here to save me?
context: no, your thoughts exploding, and then led us here.\Kanade - chan?\I see...\Thanks to everyone, I guess I was saved.\But why are you guys here?\We left it in the others' hands.\They decided to take over for us.\So you came here to save me? response:	We came to fight with you.
context: Kanade - chan?\I see...\Thanks to everyone, I guess I was saved.\But why are you guys here?\We left it in the others' hands.\They decided to take over for us.\So you came here to save me?\We came to fight with you. response:	Isn't that the same?
context: I see...\Thanks to everyone, I guess I was saved.\But why are you guys here?\We left it in the others' hands.\They decided to take over for us.\So you came here to save me?\We came to fight with you.\Isn't that the same? response:	Well yeah, I guess.
context: Thanks to everyone, I guess I was saved.\But why are you guys here?\We left it in the others' hands.\They decided to take over for us.\So you came here to save me?\We came to fight with you.\Isn't that the same?\Well yeah, I guess. response:	We just can't help worrying about you, Yurippe.
context: But why are you guys here?\We left it in the others' hands.\They decided to take over for us.\So you came here to save me?\We came to fight with you.\Isn't that the same?\Well yeah, I guess.\We just can't help worrying about you, Yurippe. response:	For the time being, why don't you fix your clothes?
context: We left it in the others' hands.\They decided to take over for us.\So you came here to save me?\We came to fight with you.\Isn't that the same?\Well yeah, I guess.\We just can't help worrying about you, Yurippe.\For the time being, why don't you fix your clothes? response:	Alright, let's go!
context: They decided to take over for us.\So you came here to save me?\We came to fight with you.\Isn't that the same?\Well yeah, I guess.\We just can't help worrying about you, Yurippe.\For the time being, why don't you fix your clothes?\Alright, let's go! response:	Okay...
context: So you came here to save me?\We came to fight with you.\Isn't that the same?\Well yeah, I guess.\We just can't help worrying about you, Yurippe.\For the time being, why don't you fix your clothes?\Alright, let's go!\Okay... response:	Geez...
context: We came to fight with you.\Isn't that the same?\Well yeah, I guess.\We just can't help worrying about you, Yurippe.\For the time being, why don't you fix your clothes?\Alright, let's go!\Okay...\Geez... response:	There she goes at her usual pace.
context: Isn't that the same?\Well yeah, I guess.\We just can't help worrying about you, Yurippe.\For the time being, why don't you fix your clothes?\Alright, let's go!\Okay...\Geez...\There she goes at her usual pace. response:	- B20
context: Well yeah, I guess.\We just can't help worrying about you, Yurippe.\For the time being, why don't you fix your clothes?\Alright, let's go!\Okay...\Geez...\There she goes at her usual pace.\- B20 response:	Hey...
context: We just can't help worrying about you, Yurippe.\For the time being, why don't you fix your clothes?\Alright, let's go!\Okay...\Geez...\There she goes at her usual pace.\- B20\Hey... response:	Do you get the feeling they're protecting that area?
context: For the time being, why don't you fix your clothes?\Alright, let's go!\Okay...\Geez...\There she goes at her usual pace.\- B20\Hey...\Do you get the feeling they're protecting that area? response:	What a coincidence, that's what I was thinking too.
context: Alright, let's go!\Okay...\Geez...\There she goes at her usual pace.\- B20\Hey...\Do you get the feeling they're protecting that area?\What a coincidence, that's what I was thinking too. response:	But with that many, it would take a carpet bombing to
context: Okay...\Geez...\There she goes at her usual pace.\- B20\Hey...\Do you get the feeling they're protecting that area?\What a coincidence, that's what I was thinking too.\But with that many, it would take a carpet bombing to response:	I'll go then.
context: Geez...\There she goes at her usual pace.\- B20\Hey...\Do you get the feeling they're protecting that area?\What a coincidence, that's what I was thinking too.\But with that many, it would take a carpet bombing to\I'll go then. response:	Kanade - chan!
context: There she goes at her usual pace.\- B20\Hey...\Do you get the feeling they're protecting that area?\What a coincidence, that's what I was thinking too.\But with that many, it would take a carpet bombing to\I'll go then.\Kanade - chan! response:	How foolish...
context: - B20\Hey...\Do you get the feeling they're protecting that area?\What a coincidence, that's what I was thinking too.\But with that many, it would take a carpet bombing to\I'll go then.\Kanade - chan!\How foolish... response:	That's suicide.
context: Hey...\Do you get the feeling they're protecting that area?\What a coincidence, that's what I was thinking too.\But with that many, it would take a carpet bombing to\I'll go then.\Kanade - chan!\How foolish...\That's suicide. response:	No, wait...
context: Do you get the feeling they're protecting that area?\What a coincidence, that's what I was thinking too.\But with that many, it would take a carpet bombing to\I'll go then.\Kanade - chan!\How foolish...\That's suicide.\No, wait... response:	Alright!
context: What a coincidence, that's what I was thinking too.\But with that many, it would take a carpet bombing to\I'll go then.\Kanade - chan!\How foolish...\That's suicide.\No, wait...\Alright! response:	She has the offensive strength of a jet bomber?
context: But with that many, it would take a carpet bombing to\I'll go then.\Kanade - chan!\How foolish...\That's suicide.\No, wait...\Alright!\She has the offensive strength of a jet bomber? response:	Let's go.
context: I'll go then.\Kanade - chan!\How foolish...\That's suicide.\No, wait...\Alright!\She has the offensive strength of a jet bomber?\Let's go. response:	They're more of them already?!
context: Kanade - chan!\How foolish...\That's suicide.\No, wait...\Alright!\She has the offensive strength of a jet bomber?\Let's go.\They're more of them already?! response:	Go on ahead, Yuri.
context: How foolish...\That's suicide.\No, wait...\Alright!\She has the offensive strength of a jet bomber?\Let's go.\They're more of them already?!\Go on ahead, Yuri. response:	We'll clean them up here.
context: That's suicide.\No, wait...\Alright!\She has the offensive strength of a jet bomber?\Let's go.\They're more of them already?!\Go on ahead, Yuri.\We'll clean them up here. response:	Alright, I'm counting on you.
context: No, wait...\Alright!\She has the offensive strength of a jet bomber?\Let's go.\They're more of them already?!\Go on ahead, Yuri.\We'll clean them up here.\Alright, I'm counting on you. response:	Leave it to us.
context: Alright!\She has the offensive strength of a jet bomber?\Let's go.\They're more of them already?!\Go on ahead, Yuri.\We'll clean them up here.\Alright, I'm counting on you.\Leave it to us. response:	<Sign: Second Computer Lab>
context: She has the offensive strength of a jet bomber?\Let's go.\They're more of them already?!\Go on ahead, Yuri.\We'll clean them up here.\Alright, I'm counting on you.\Leave it to us.\<Sign: Second Computer Lab> response:	Now he's making fun of us.
context: Let's go.\They're more of them already?!\Go on ahead, Yuri.\We'll clean them up here.\Alright, I'm counting on you.\Leave it to us.\<Sign: Second Computer Lab>\Now he's making fun of us. response:	But this time...
context: They're more of them already?!\Go on ahead, Yuri.\We'll clean them up here.\Alright, I'm counting on you.\Leave it to us.\<Sign: Second Computer Lab>\Now he's making fun of us.\But this time... response:	Just how many did he steal?
context: Go on ahead, Yuri.\We'll clean them up here.\Alright, I'm counting on you.\Leave it to us.\<Sign: Second Computer Lab>\Now he's making fun of us.\But this time...\Just how many did he steal? response:	No doubt about it...
context: We'll clean them up here.\Alright, I'm counting on you.\Leave it to us.\<Sign: Second Computer Lab>\Now he's making fun of us.\But this time...\Just how many did he steal?\No doubt about it... response:	You've done well to reach here.
context: Alright, I'm counting on you.\Leave it to us.\<Sign: Second Computer Lab>\Now he's making fun of us.\But this time...\Just how many did he steal?\No doubt about it...\You've done well to reach here. response:	Are you making fun of me?
context: Leave it to us.\<Sign: Second Computer Lab>\Now he's making fun of us.\But this time...\Just how many did he steal?\No doubt about it...\You've done well to reach here.\Are you making fun of me? response:	Going to the trouble of showing off that stupid room nameplate...
context: <Sign: Second Computer Lab>\Now he's making fun of us.\But this time...\Just how many did he steal?\No doubt about it...\You've done well to reach here.\Are you making fun of me?\Going to the trouble of showing off that stupid room nameplate... response:	Well, this is a school.
context: Now he's making fun of us.\But this time...\Just how many did he steal?\No doubt about it...\You've done well to reach here.\Are you making fun of me?\Going to the trouble of showing off that stupid room nameplate...\Well, this is a school. response:	You seem to have some messed up sense of value.
context: But this time...\Just how many did he steal?\No doubt about it...\You've done well to reach here.\Are you making fun of me?\Going to the trouble of showing off that stupid room nameplate...\Well, this is a school.\You seem to have some messed up sense of value. response:	No, that's just the rules.
context: Just how many did he steal?\No doubt about it...\You've done well to reach here.\Are you making fun of me?\Going to the trouble of showing off that stupid room nameplate...\Well, this is a school.\You seem to have some messed up sense of value.\No, that's just the rules. response:	This world's... God's
context: No doubt about it...\You've done well to reach here.\Are you making fun of me?\Going to the trouble of showing off that stupid room nameplate...\Well, this is a school.\You seem to have some messed up sense of value.\No, that's just the rules.\This world's... God's response:	God... whether he exists or not is a truly profound question.
