context: What a kill count, and on only her third mission. response:	Not bad, not bad.
context: I think it'd look awesome on your machine.\A Para-mail is a Norma's casket.\It's because you'll die there\that you're allowed to customize it to your liking.\Powerful weapons, thick armor, flashy decorations.\It's one of few freedoms given to Norma.\Pointless.\You can't blame the others for targeting you, response:	if you're going to be like that.
context: A Para-mail is a Norma's casket.\It's because you'll die there\that you're allowed to customize it to your liking.\Powerful weapons, thick armor, flashy decorations.\It's one of few freedoms given to Norma.\Pointless.\You can't blame the others for targeting you,\if you're going to be like that. response:	But even that is something that money can save you from.
context: It's because you'll die there\that you're allowed to customize it to your liking.\Powerful weapons, thick armor, flashy decorations.\It's one of few freedoms given to Norma.\Pointless.\You can't blame the others for targeting you,\if you're going to be like that.\But even that is something that money can save you from. response:	Safety, peace of mind, and life...
context: that you're allowed to customize it to your liking.\Powerful weapons, thick armor, flashy decorations.\It's one of few freedoms given to Norma.\Pointless.\You can't blame the others for targeting you,\if you're going to be like that.\But even that is something that money can save you from.\Safety, peace of mind, and life... response:	It's not just material objects that you can buy.
context: Powerful weapons, thick armor, flashy decorations.\It's one of few freedoms given to Norma.\Pointless.\You can't blame the others for targeting you,\if you're going to be like that.\But even that is something that money can save you from.\Safety, peace of mind, and life...\It's not just material objects that you can buy. response:	Buy them out, huh?
context: It's one of few freedoms given to Norma.\Pointless.\You can't blame the others for targeting you,\if you're going to be like that.\But even that is something that money can save you from.\Safety, peace of mind, and life...\It's not just material objects that you can buy.\Buy them out, huh? response:	You're indeed a princess. You're quick to understand.
context: Pointless.\You can't blame the others for targeting you,\if you're going to be like that.\But even that is something that money can save you from.\Safety, peace of mind, and life...\It's not just material objects that you can buy.\Buy them out, huh?\You're indeed a princess. You're quick to understand. response:	How about 10,000,000 for handling each?
context: You can't blame the others for targeting you,\if you're going to be like that.\But even that is something that money can save you from.\Safety, peace of mind, and life...\It's not just material objects that you can buy.\Buy them out, huh?\You're indeed a princess. You're quick to understand.\How about 10,000,000 for handling each? response:	Such a shameless Norma.
context: if you're going to be like that.\But even that is something that money can save you from.\Safety, peace of mind, and life...\It's not just material objects that you can buy.\Buy them out, huh?\You're indeed a princess. You're quick to understand.\How about 10,000,000 for handling each?\Such a shameless Norma. response:	I'm fine by myself.
context: But even that is something that money can save you from.\Safety, peace of mind, and life...\It's not just material objects that you can buy.\Buy them out, huh?\You're indeed a princess. You're quick to understand.\How about 10,000,000 for handling each?\Such a shameless Norma.\I'm fine by myself. response:	I've been dismissing it as just blowing off steam,
context: Safety, peace of mind, and life...\It's not just material objects that you can buy.\Buy them out, huh?\You're indeed a princess. You're quick to understand.\How about 10,000,000 for handling each?\Such a shameless Norma.\I'm fine by myself.\I've been dismissing it as just blowing off steam, response:	but it's becoming intolerable lately.
context: It's not just material objects that you can buy.\Buy them out, huh?\You're indeed a princess. You're quick to understand.\How about 10,000,000 for handling each?\Such a shameless Norma.\I'm fine by myself.\I've been dismissing it as just blowing off steam,\but it's becoming intolerable lately. response:	I know you don't like her, but
context: Buy them out, huh?\You're indeed a princess. You're quick to understand.\How about 10,000,000 for handling each?\Such a shameless Norma.\I'm fine by myself.\I've been dismissing it as just blowing off steam,\but it's becoming intolerable lately.\I know you don't like her, but response:	Don't you have a problem with this?
context: You're indeed a princess. You're quick to understand.\How about 10,000,000 for handling each?\Such a shameless Norma.\I'm fine by myself.\I've been dismissing it as just blowing off steam,\but it's becoming intolerable lately.\I know you don't like her, but\Don't you have a problem with this? response:	She killed our captain and two new recruits, but she's still alive!
context: How about 10,000,000 for handling each?\Such a shameless Norma.\I'm fine by myself.\I've been dismissing it as just blowing off steam,\but it's becoming intolerable lately.\I know you don't like her, but\Don't you have a problem with this?\She killed our captain and two new recruits, but she's still alive! response:	But she bought all our graves, and she came back to the battlefield.
context: Such a shameless Norma.\I'm fine by myself.\I've been dismissing it as just blowing off steam,\but it's becoming intolerable lately.\I know you don't like her, but\Don't you have a problem with this?\She killed our captain and two new recruits, but she's still alive!\But she bought all our graves, and she came back to the battlefield. response:	She's already redeemed herself.
context: I'm fine by myself.\I've been dismissing it as just blowing off steam,\but it's becoming intolerable lately.\I know you don't like her, but\Don't you have a problem with this?\She killed our captain and two new recruits, but she's still alive!\But she bought all our graves, and she came back to the battlefield.\She's already redeemed herself. response:	That's enough?
context: I've been dismissing it as just blowing off steam,\but it's becoming intolerable lately.\I know you don't like her, but\Don't you have a problem with this?\She killed our captain and two new recruits, but she's still alive!\But she bought all our graves, and she came back to the battlefield.\She's already redeemed herself.\That's enough? response:	You're telling us to stop over that?
context: but it's becoming intolerable lately.\I know you don't like her, but\Don't you have a problem with this?\She killed our captain and two new recruits, but she's still alive!\But she bought all our graves, and she came back to the battlefield.\She's already redeemed herself.\That's enough?\You're telling us to stop over that? response:	Maybe a good girl like you could, but not the rest of us ordinary people.
context: I know you don't like her, but\Don't you have a problem with this?\She killed our captain and two new recruits, but she's still alive!\But she bought all our graves, and she came back to the battlefield.\She's already redeemed herself.\That's enough?\You're telling us to stop over that?\Maybe a good girl like you could, but not the rest of us ordinary people. response:	Hilda.
context: Don't you have a problem with this?\She killed our captain and two new recruits, but she's still alive!\But she bought all our graves, and she came back to the battlefield.\She's already redeemed herself.\That's enough?\You're telling us to stop over that?\Maybe a good girl like you could, but not the rest of us ordinary people.\Hilda. response:	What the hell is Command thinking?
context: She killed our captain and two new recruits, but she's still alive!\But she bought all our graves, and she came back to the battlefield.\She's already redeemed herself.\That's enough?\You're telling us to stop over that?\Maybe a good girl like you could, but not the rest of us ordinary people.\Hilda.\What the hell is Command thinking? response:	Her only punishment was being put in that crappy machine.
context: But she bought all our graves, and she came back to the battlefield.\She's already redeemed herself.\That's enough?\You're telling us to stop over that?\Maybe a good girl like you could, but not the rest of us ordinary people.\Hilda.\What the hell is Command thinking?\Her only punishment was being put in that crappy machine. response:	Ah, I bet Command likes her, too.
context: She's already redeemed herself.\That's enough?\You're telling us to stop over that?\Maybe a good girl like you could, but not the rest of us ordinary people.\Hilda.\What the hell is Command thinking?\Her only punishment was being put in that crappy machine.\Ah, I bet Command likes her, too. response:	I guess then I can understand why.
context: That's enough?\You're telling us to stop over that?\Maybe a good girl like you could, but not the rest of us ordinary people.\Hilda.\What the hell is Command thinking?\Her only punishment was being put in that crappy machine.\Ah, I bet Command likes her, too.\I guess then I can understand why. response:	Smooth-talking that Commander...
context: You're telling us to stop over that?\Maybe a good girl like you could, but not the rest of us ordinary people.\Hilda.\What the hell is Command thinking?\Her only punishment was being put in that crappy machine.\Ah, I bet Command likes her, too.\I guess then I can understand why.\Smooth-talking that Commander... response:	Impressive. Her Majesty the Princess must be good in bed, too.
context: Maybe a good girl like you could, but not the rest of us ordinary people.\Hilda.\What the hell is Command thinking?\Her only punishment was being put in that crappy machine.\Ah, I bet Command likes her, too.\I guess then I can understand why.\Smooth-talking that Commander...\Impressive. Her Majesty the Princess must be good in bed, too. response:	That's insubordination.
context: Hilda.\What the hell is Command thinking?\Her only punishment was being put in that crappy machine.\Ah, I bet Command likes her, too.\I guess then I can understand why.\Smooth-talking that Commander...\Impressive. Her Majesty the Princess must be good in bed, too.\That's insubordination. response:	And if it is?
context: What the hell is Command thinking?\Her only punishment was being put in that crappy machine.\Ah, I bet Command likes her, too.\I guess then I can understand why.\Smooth-talking that Commander...\Impressive. Her Majesty the Princess must be good in bed, too.\That's insubordination.\And if it is? response:	I won't let you mess with Ange any more.
context: Her only punishment was being put in that crappy machine.\Ah, I bet Command likes her, too.\I guess then I can understand why.\Smooth-talking that Commander...\Impressive. Her Majesty the Princess must be good in bed, too.\That's insubordination.\And if it is?\I won't let you mess with Ange any more. response:	You're defending her, when she looks at you like you're a bug?
context: Ah, I bet Command likes her, too.\I guess then I can understand why.\Smooth-talking that Commander...\Impressive. Her Majesty the Princess must be good in bed, too.\That's insubordination.\And if it is?\I won't let you mess with Ange any more.\You're defending her, when she looks at you like you're a bug? response:	That's an order.
context: I guess then I can understand why.\Smooth-talking that Commander...\Impressive. Her Majesty the Princess must be good in bed, too.\That's insubordination.\And if it is?\I won't let you mess with Ange any more.\You're defending her, when she looks at you like you're a bug?\That's an order. response:	Fine, Captain.
context: Smooth-talking that Commander...\Impressive. Her Majesty the Princess must be good in bed, too.\That's insubordination.\And if it is?\I won't let you mess with Ange any more.\You're defending her, when she looks at you like you're a bug?\That's an order.\Fine, Captain. response:	Let's go, you two.
context: Impressive. Her Majesty the Princess must be good in bed, too.\That's insubordination.\And if it is?\I won't let you mess with Ange any more.\You're defending her, when she looks at you like you're a bug?\That's an order.\Fine, Captain.\Let's go, you two. response:	Dammit, you two need to go all the way.
context: That's insubordination.\And if it is?\I won't let you mess with Ange any more.\You're defending her, when she looks at you like you're a bug?\That's an order.\Fine, Captain.\Let's go, you two.\Dammit, you two need to go all the way. response:	You could have helped, if you were watching.
context: And if it is?\I won't let you mess with Ange any more.\You're defending her, when she looks at you like you're a bug?\That's an order.\Fine, Captain.\Let's go, you two.\Dammit, you two need to go all the way.\You could have helped, if you were watching. response:	I was busy, too.
context: I won't let you mess with Ange any more.\You're defending her, when she looks at you like you're a bug?\That's an order.\Fine, Captain.\Let's go, you two.\Dammit, you two need to go all the way.\You could have helped, if you were watching.\I was busy, too. response:	That key.
context: You're defending her, when she looks at you like you're a bug?\That's an order.\Fine, Captain.\Let's go, you two.\Dammit, you two need to go all the way.\You could have helped, if you were watching.\I was busy, too.\That key. response:	I haven't been in this room for a while.
context: That's an order.\Fine, Captain.\Let's go, you two.\Dammit, you two need to go all the way.\You could have helped, if you were watching.\I was busy, too.\That key.\I haven't been in this room for a while. response:	Captain.
context: Fine, Captain.\Let's go, you two.\Dammit, you two need to go all the way.\You could have helped, if you were watching.\I was busy, too.\That key.\I haven't been in this room for a while.\Captain. response:	I'm sorry.
context: Let's go, you two.\Dammit, you two need to go all the way.\You could have helped, if you were watching.\I was busy, too.\That key.\I haven't been in this room for a while.\Captain.\I'm sorry. response:	I couldn't even avenge you right.
context: Dammit, you two need to go all the way.\You could have helped, if you were watching.\I was busy, too.\That key.\I haven't been in this room for a while.\Captain.\I'm sorry.\I couldn't even avenge you right. response:	Quit crying.
context: You could have helped, if you were watching.\I was busy, too.\That key.\I haven't been in this room for a while.\Captain.\I'm sorry.\I couldn't even avenge you right.\Quit crying. response:	Just leave everything to me from now on.
context: I was busy, too.\That key.\I haven't been in this room for a while.\Captain.\I'm sorry.\I couldn't even avenge you right.\Quit crying.\Just leave everything to me from now on. response:	I bought up all of it.
context: That key.\I haven't been in this room for a while.\Captain.\I'm sorry.\I couldn't even avenge you right.\Quit crying.\Just leave everything to me from now on.\I bought up all of it. response:	Everything Zola left.
context: I haven't been in this room for a while.\Captain.\I'm sorry.\I couldn't even avenge you right.\Quit crying.\Just leave everything to me from now on.\I bought up all of it.\Everything Zola left. response:	It's mine now.
context: Captain.\I'm sorry.\I couldn't even avenge you right.\Quit crying.\Just leave everything to me from now on.\I bought up all of it.\Everything Zola left.\It's mine now. response:	Hilda.
context: I'm sorry.\I couldn't even avenge you right.\Quit crying.\Just leave everything to me from now on.\I bought up all of it.\Everything Zola left.\It's mine now.\Hilda. response:	This room, the two of you...
context: I couldn't even avenge you right.\Quit crying.\Just leave everything to me from now on.\I bought up all of it.\Everything Zola left.\It's mine now.\Hilda.\This room, the two of you... response:	You're all mine.
context: Quit crying.\Just leave everything to me from now on.\I bought up all of it.\Everything Zola left.\It's mine now.\Hilda.\This room, the two of you...\You're all mine. response:	Got it?
context: Just leave everything to me from now on.\I bought up all of it.\Everything Zola left.\It's mine now.\Hilda.\This room, the two of you...\You're all mine.\Got it? response:	Y-Yes.
context: I bought up all of it.\Everything Zola left.\It's mine now.\Hilda.\This room, the two of you...\You're all mine.\Got it?\Y-Yes. response:	High-speed armor piercing shells, high-output variable gears,
context: Everything Zola left.\It's mine now.\Hilda.\This room, the two of you...\You're all mine.\Got it?\Y-Yes.\High-speed armor piercing shells, high-output variable gears, response:	composite armor, and potato chips.
context: It's mine now.\Hilda.\This room, the two of you...\You're all mine.\Got it?\Y-Yes.\High-speed armor piercing shells, high-output variable gears,\composite armor, and potato chips. response:	There are so many things I want!
context: Hilda.\This room, the two of you...\You're all mine.\Got it?\Y-Yes.\High-speed armor piercing shells, high-output variable gears,\composite armor, and potato chips.\There are so many things I want! response:	It must suck not wanting anything, too.
context: This room, the two of you...\You're all mine.\Got it?\Y-Yes.\High-speed armor piercing shells, high-output variable gears,\composite armor, and potato chips.\There are so many things I want!\It must suck not wanting anything, too. response:	And now for a quiz.
context: You're all mine.\Got it?\Y-Yes.\High-speed armor piercing shells, high-output variable gears,\composite armor, and potato chips.\There are so many things I want!\It must suck not wanting anything, too.\And now for a quiz. response:	What is Salia reading?
context: Got it?\Y-Yes.\High-speed armor piercing shells, high-output variable gears,\composite armor, and potato chips.\There are so many things I want!\It must suck not wanting anything, too.\And now for a quiz.\What is Salia reading? response:	Training instructions.
context: Y-Yes.\High-speed armor piercing shells, high-output variable gears,\composite armor, and potato chips.\There are so many things I want!\It must suck not wanting anything, too.\And now for a quiz.\What is Salia reading?\Training instructions. response:	It's tough, being in charge and readying and managing troops.
context: High-speed armor piercing shells, high-output variable gears,\composite armor, and potato chips.\There are so many things I want!\It must suck not wanting anything, too.\And now for a quiz.\What is Salia reading?\Training instructions.\It's tough, being in charge and readying and managing troops. response:	So do you think you can do it?
context: composite armor, and potato chips.\There are so many things I want!\It must suck not wanting anything, too.\And now for a quiz.\What is Salia reading?\Training instructions.\It's tough, being in charge and readying and managing troops.\So do you think you can do it? response:	I wouldn't be struggling if it were so easy.
context: There are so many things I want!\It must suck not wanting anything, too.\And now for a quiz.\What is Salia reading?\Training instructions.\It's tough, being in charge and readying and managing troops.\So do you think you can do it?\I wouldn't be struggling if it were so easy. response:	No fun.
context: It must suck not wanting anything, too.\And now for a quiz.\What is Salia reading?\Training instructions.\It's tough, being in charge and readying and managing troops.\So do you think you can do it?\I wouldn't be struggling if it were so easy.\No fun. response:	You promised, Jill, that you'd give me that machine.
context: And now for a quiz.\What is Salia reading?\Training instructions.\It's tough, being in charge and readying and managing troops.\So do you think you can do it?\I wouldn't be struggling if it were so easy.\No fun.\You promised, Jill, that you'd give me that machine. response:	You look scary again.
context: What is Salia reading?\Training instructions.\It's tough, being in charge and readying and managing troops.\So do you think you can do it?\I wouldn't be struggling if it were so easy.\No fun.\You promised, Jill, that you'd give me that machine.\You look scary again. response:	Hey.
context: Training instructions.\It's tough, being in charge and readying and managing troops.\So do you think you can do it?\I wouldn't be struggling if it were so easy.\No fun.\You promised, Jill, that you'd give me that machine.\You look scary again.\Hey. response:	You have a better expression when you're reading the usual stuff.
context: It's tough, being in charge and readying and managing troops.\So do you think you can do it?\I wouldn't be struggling if it were so easy.\No fun.\You promised, Jill, that you'd give me that machine.\You look scary again.\Hey.\You have a better expression when you're reading the usual stuff. response:	The usual stuff?
context: So do you think you can do it?\I wouldn't be struggling if it were so easy.\No fun.\You promised, Jill, that you'd give me that machine.\You look scary again.\Hey.\You have a better expression when you're reading the usual stuff.\The usual stuff? response:	You know, that one in your second drawer,
context: I wouldn't be struggling if it were so easy.\No fun.\You promised, Jill, that you'd give me that machine.\You look scary again.\Hey.\You have a better expression when you're reading the usual stuff.\The usual stuff?\You know, that one in your second drawer, response:	the one with the boy and girl kissing.
context: No fun.\You promised, Jill, that you'd give me that machine.\You look scary again.\Hey.\You have a better expression when you're reading the usual stuff.\The usual stuff?\You know, that one in your second drawer,\the one with the boy and girl kissing. response:	Now show me your everything!
context: You promised, Jill, that you'd give me that machine.\You look scary again.\Hey.\You have a better expression when you're reading the usual stuff.\The usual stuff?\You know, that one in your second drawer,\the one with the boy and girl kissing.\Now show me your everything! response:	Stop it!
context: You look scary again.\Hey.\You have a better expression when you're reading the usual stuff.\The usual stuff?\You know, that one in your second drawer,\the one with the boy and girl kissing.\Now show me your everything!\Stop it! response:	Go through my things again, and I'll really stab you.
context: Hey.\You have a better expression when you're reading the usual stuff.\The usual stuff?\You know, that one in your second drawer,\the one with the boy and girl kissing.\Now show me your everything!\Stop it!\Go through my things again, and I'll really stab you. response:	Sorry.
context: You have a better expression when you're reading the usual stuff.\The usual stuff?\You know, that one in your second drawer,\the one with the boy and girl kissing.\Now show me your everything!\Stop it!\Go through my things again, and I'll really stab you.\Sorry. response:	Time to eat.
context: The usual stuff?\You know, that one in your second drawer,\the one with the boy and girl kissing.\Now show me your everything!\Stop it!\Go through my things again, and I'll really stab you.\Sorry.\Time to eat. response:	Let's go, Salia.
context: You know, that one in your second drawer,\the one with the boy and girl kissing.\Now show me your everything!\Stop it!\Go through my things again, and I'll really stab you.\Sorry.\Time to eat.\Let's go, Salia. response:	I'm
context: the one with the boy and girl kissing.\Now show me your everything!\Stop it!\Go through my things again, and I'll really stab you.\Sorry.\Time to eat.\Let's go, Salia.\I'm response:	I'm going to study some more.
context: Now show me your everything!\Stop it!\Go through my things again, and I'll really stab you.\Sorry.\Time to eat.\Let's go, Salia.\I'm\I'm going to study some more. response:	Yeah? Okay.
context: Stop it!\Go through my things again, and I'll really stab you.\Sorry.\Time to eat.\Let's go, Salia.\I'm\I'm going to study some more.\Yeah? Okay. response:	Readying and managing troops?
context: Go through my things again, and I'll really stab you.\Sorry.\Time to eat.\Let's go, Salia.\I'm\I'm going to study some more.\Yeah? Okay.\Readying and managing troops? response:	So complicated.
context: Sorry.\Time to eat.\Let's go, Salia.\I'm\I'm going to study some more.\Yeah? Okay.\Readying and managing troops?\So complicated. response:	Oh, yeah.
context: Time to eat.\Let's go, Salia.\I'm\I'm going to study some more.\Yeah? Okay.\Readying and managing troops?\So complicated.\Oh, yeah. response:	It's good, isn't it?
context: Let's go, Salia.\I'm\I'm going to study some more.\Yeah? Okay.\Readying and managing troops?\So complicated.\Oh, yeah.\It's good, isn't it? response:	Ersha's on cooking duty today.
context: I'm\I'm going to study some more.\Yeah? Okay.\Readying and managing troops?\So complicated.\Oh, yeah.\It's good, isn't it?\Ersha's on cooking duty today. response:	Lucky us.
context: I'm going to study some more.\Yeah? Okay.\Readying and managing troops?\So complicated.\Oh, yeah.\It's good, isn't it?\Ersha's on cooking duty today.\Lucky us. response:	Hi, there!
context: Yeah? Okay.\Readying and managing troops?\So complicated.\Oh, yeah.\It's good, isn't it?\Ersha's on cooking duty today.\Lucky us.\Hi, there! response:	Ersha's curry is the best curry.
context: Readying and managing troops?\So complicated.\Oh, yeah.\It's good, isn't it?\Ersha's on cooking duty today.\Lucky us.\Hi, there!\Ersha's curry is the best curry. response:	Time to eat.
context: So complicated.\Oh, yeah.\It's good, isn't it?\Ersha's on cooking duty today.\Lucky us.\Hi, there!\Ersha's curry is the best curry.\Time to eat. response:	It's so good.
context: Oh, yeah.\It's good, isn't it?\Ersha's on cooking duty today.\Lucky us.\Hi, there!\Ersha's curry is the best curry.\Time to eat.\It's so good. response:	Oh, yeah.
context: It's good, isn't it?\Ersha's on cooking duty today.\Lucky us.\Hi, there!\Ersha's curry is the best curry.\Time to eat.\It's so good.\Oh, yeah. response:	I'll give you this.
context: Ersha's on cooking duty today.\Lucky us.\Hi, there!\Ersha's curry is the best curry.\Time to eat.\It's so good.\Oh, yeah.\I'll give you this. response:	Quiz time.
context: Lucky us.\Hi, there!\Ersha's curry is the best curry.\Time to eat.\It's so good.\Oh, yeah.\I'll give you this.\Quiz time. response:	What could this be?
context: Hi, there!\Ersha's curry is the best curry.\Time to eat.\It's so good.\Oh, yeah.\I'll give you this.\Quiz time.\What could this be? response:	The correct answer is, it's a set!
context: Ersha's curry is the best curry.\Time to eat.\It's so good.\Oh, yeah.\I'll give you this.\Quiz time.\What could this be?\The correct answer is, it's a set! response:	With me, Hilda, and you in a forward,
context: Time to eat.\It's so good.\Oh, yeah.\I'll give you this.\Quiz time.\What could this be?\The correct answer is, it's a set!\With me, Hilda, and you in a forward, response:	I think we can form an even stronger team.
context: It's so good.\Oh, yeah.\I'll give you this.\Quiz time.\What could this be?\The correct answer is, it's a set!\With me, Hilda, and you in a forward,\I think we can form an even stronger team. response:	This is so we have proof.
context: Oh, yeah.\I'll give you this.\Quiz time.\What could this be?\The correct answer is, it's a set!\With me, Hilda, and you in a forward,\I think we can form an even stronger team.\This is so we have proof. response:	I told you, I'm fine by myself.
context: I'll give you this.\Quiz time.\What could this be?\The correct answer is, it's a set!\With me, Hilda, and you in a forward,\I think we can form an even stronger team.\This is so we have proof.\I told you, I'm fine by myself. response:	Ange.
context: Quiz time.\What could this be?\The correct answer is, it's a set!\With me, Hilda, and you in a forward,\I think we can form an even stronger team.\This is so we have proof.\I told you, I'm fine by myself.\Ange. response:	Ange-chan.
context: What could this be?\The correct answer is, it's a set!\With me, Hilda, and you in a forward,\I think we can form an even stronger team.\This is so we have proof.\I told you, I'm fine by myself.\Ange.\Ange-chan. response:	I liked you, Zola.
context: The correct answer is, it's a set!\With me, Hilda, and you in a forward,\I think we can form an even stronger team.\This is so we have proof.\I told you, I'm fine by myself.\Ange.\Ange-chan.\I liked you, Zola. response:	All assemble.
context: With me, Hilda, and you in a forward,\I think we can form an even stronger team.\This is so we have proof.\I told you, I'm fine by myself.\Ange.\Ange-chan.\I liked you, Zola.\All assemble. response:	That's it for today.
context: I think we can form an even stronger team.\This is so we have proof.\I told you, I'm fine by myself.\Ange.\Ange-chan.\I liked you, Zola.\All assemble.\That's it for today. response:	Dismissed.
context: This is so we have proof.\I told you, I'm fine by myself.\Ange.\Ange-chan.\I liked you, Zola.\All assemble.\That's it for today.\Dismissed. response:	I'm going to work hard.
context: I told you, I'm fine by myself.\Ange.\Ange-chan.\I liked you, Zola.\All assemble.\That's it for today.\Dismissed.\I'm going to work hard. response:	For you, too, Onee.
context: Ange.\Ange-chan.\I liked you, Zola.\All assemble.\That's it for today.\Dismissed.\I'm going to work hard.\For you, too, Onee. response:	Type 1 contact warning.
context: Ange-chan.\I liked you, Zola.\All assemble.\That's it for today.\Dismissed.\I'm going to work hard.\For you, too, Onee.\Type 1 contact warning. response:	Para-mail First Troop, prepare for sortie.
context: I liked you, Zola.\All assemble.\That's it for today.\Dismissed.\I'm going to work hard.\For you, too, Onee.\Type 1 contact warning.\Para-mail First Troop, prepare for sortie. response:	I repeat, Type 1 contact warning.
context: All assemble.\That's it for today.\Dismissed.\I'm going to work hard.\For you, too, Onee.\Type 1 contact warning.\Para-mail First Troop, prepare for sortie.\I repeat, Type 1 contact warning. response:	All right, bring it to the deck.
context: That's it for today.\Dismissed.\I'm going to work hard.\For you, too, Onee.\Type 1 contact warning.\Para-mail First Troop, prepare for sortie.\I repeat, Type 1 contact warning.\All right, bring it to the deck. response:	Para-mail First Troop, prepare for sortie.
context: Dismissed.\I'm going to work hard.\For you, too, Onee.\Type 1 contact warning.\Para-mail First Troop, prepare for sortie.\I repeat, Type 1 contact warning.\All right, bring it to the deck.\Para-mail First Troop, prepare for sortie. response:	Signal received from Observation Post 21.
context: I'm going to work hard.\For you, too, Onee.\Type 1 contact warning.\Para-mail First Troop, prepare for sortie.\I repeat, Type 1 contact warning.\All right, bring it to the deck.\Para-mail First Troop, prepare for sortie.\Signal received from Observation Post 21. response:	Planck signal above threshold detected at
context: For you, too, Onee.\Type 1 contact warning.\Para-mail First Troop, prepare for sortie.\I repeat, Type 1 contact warning.\All right, bring it to the deck.\Para-mail First Troop, prepare for sortie.\Signal received from Observation Post 21.\Planck signal above threshold detected at response:	Partial breaking of chiral symmetry. Singular point opening.
context: Type 1 contact warning.\Para-mail First Troop, prepare for sortie.\I repeat, Type 1 contact warning.\All right, bring it to the deck.\Para-mail First Troop, prepare for sortie.\Signal received from Observation Post 21.\Planck signal above threshold detected at\Partial breaking of chiral symmetry. Singular point opening. response:	altitude 2,400, bearing 83 degrees, 50 minutes.
context: Para-mail First Troop, prepare for sortie.\I repeat, Type 1 contact warning.\All right, bring it to the deck.\Para-mail First Troop, prepare for sortie.\Signal received from Observation Post 21.\Planck signal above threshold detected at\Partial breaking of chiral symmetry. Singular point opening.\altitude 2,400, bearing 83 degrees, 50 minutes. response:	T plus 280 from estimated opening.
context: I repeat, Type 1 contact warning.\All right, bring it to the deck.\Para-mail First Troop, prepare for sortie.\Signal received from Observation Post 21.\Planck signal above threshold detected at\Partial breaking of chiral symmetry. Singular point opening.\altitude 2,400, bearing 83 degrees, 50 minutes.\T plus 280 from estimated opening. response:	Estimated fifteen Scuna-class.
context: All right, bring it to the deck.\Para-mail First Troop, prepare for sortie.\Signal received from Observation Post 21.\Planck signal above threshold detected at\Partial breaking of chiral symmetry. Singular point opening.\altitude 2,400, bearing 83 degrees, 50 minutes.\T plus 280 from estimated opening.\Estimated fifteen Scuna-class. response:	Classes and numbers undetermined due to absence of signal.
context: Para-mail First Troop, prepare for sortie.\Signal received from Observation Post 21.\Planck signal above threshold detected at\Partial breaking of chiral symmetry. Singular point opening.\altitude 2,400, bearing 83 degrees, 50 minutes.\T plus 280 from estimated opening.\Estimated fifteen Scuna-class.\Classes and numbers undetermined due to absence of signal. response:	Respond as appropriate upon contact.
context: Signal received from Observation Post 21.\Planck signal above threshold detected at\Partial breaking of chiral symmetry. Singular point opening.\altitude 2,400, bearing 83 degrees, 50 minutes.\T plus 280 from estimated opening.\Estimated fifteen Scuna-class.\Classes and numbers undetermined due to absence of signal.\Respond as appropriate upon contact. response:	All soldiers, man your machines.
context: Planck signal above threshold detected at\Partial breaking of chiral symmetry. Singular point opening.\altitude 2,400, bearing 83 degrees, 50 minutes.\T plus 280 from estimated opening.\Estimated fifteen Scuna-class.\Classes and numbers undetermined due to absence of signal.\Respond as appropriate upon contact.\All soldiers, man your machines. response:	Reactor temperature rising to 2 million degrees Kelvin.
context: Partial breaking of chiral symmetry. Singular point opening.\altitude 2,400, bearing 83 degrees, 50 minutes.\T plus 280 from estimated opening.\Estimated fifteen Scuna-class.\Classes and numbers undetermined due to absence of signal.\Respond as appropriate upon contact.\All soldiers, man your machines.\Reactor temperature rising to 2 million degrees Kelvin. response:	Igniting plenum chambers.
context: altitude 2,400, bearing 83 degrees, 50 minutes.\T plus 280 from estimated opening.\Estimated fifteen Scuna-class.\Classes and numbers undetermined due to absence of signal.\Respond as appropriate upon contact.\All soldiers, man your machines.\Reactor temperature rising to 2 million degrees Kelvin.\Igniting plenum chambers. response:	Ow.
context: T plus 280 from estimated opening.\Estimated fifteen Scuna-class.\Classes and numbers undetermined due to absence of signal.\Respond as appropriate upon contact.\All soldiers, man your machines.\Reactor temperature rising to 2 million degrees Kelvin.\Igniting plenum chambers.\Ow. response:	Air traffic controller evacuation confirmed.
context: Estimated fifteen Scuna-class.\Classes and numbers undetermined due to absence of signal.\Respond as appropriate upon contact.\All soldiers, man your machines.\Reactor temperature rising to 2 million degrees Kelvin.\Igniting plenum chambers.\Ow.\Air traffic controller evacuation confirmed. response:	Open blast doors immediately.
context: Classes and numbers undetermined due to absence of signal.\Respond as appropriate upon contact.\All soldiers, man your machines.\Reactor temperature rising to 2 million degrees Kelvin.\Igniting plenum chambers.\Ow.\Air traffic controller evacuation confirmed.\Open blast doors immediately. response:	Brainless insects.
context: Respond as appropriate upon contact.\All soldiers, man your machines.\Reactor temperature rising to 2 million degrees Kelvin.\Igniting plenum chambers.\Ow.\Air traffic controller evacuation confirmed.\Open blast doors immediately.\Brainless insects. response:	Ange, your final checks!
context: All soldiers, man your machines.\Reactor temperature rising to 2 million degrees Kelvin.\Igniting plenum chambers.\Ow.\Air traffic controller evacuation confirmed.\Open blast doors immediately.\Brainless insects.\Ange, your final checks! response:	PMA exterior armor normal.
context: Reactor temperature rising to 2 million degrees Kelvin.\Igniting plenum chambers.\Ow.\Air traffic controller evacuation confirmed.\Open blast doors immediately.\Brainless insects.\Ange, your final checks!\PMA exterior armor normal. response:	How are the interiors?
