context: Last night, multiple witnesses observed a mysterious light response:	along the Pacific coast, between Shikoku and Kyuushuu.
context: You're a cold man,\refusing Hitomi-chan's offer like that.\I would never turn her down.\I?\Who is this I you speak of, I wonder.\I sense a degree of irritation in your voice.\You're the one who told me\to let Amara and Moco handle the Machine Goodfellow testing. response:	What is their relationship to the Kiltgangs?
context: refusing Hitomi-chan's offer like that.\I would never turn her down.\I?\Who is this I you speak of, I wonder.\I sense a degree of irritation in your voice.\You're the one who told me\to let Amara and Moco handle the Machine Goodfellow testing.\What is their relationship to the Kiltgangs? response:	Were you the one who made Legacy fall?
context: I would never turn her down.\I?\Who is this I you speak of, I wonder.\I sense a degree of irritation in your voice.\You're the one who told me\to let Amara and Moco handle the Machine Goodfellow testing.\What is their relationship to the Kiltgangs?\Were you the one who made Legacy fall? response:	Secrets are a necessary part of life,
context: I?\Who is this I you speak of, I wonder.\I sense a degree of irritation in your voice.\You're the one who told me\to let Amara and Moco handle the Machine Goodfellow testing.\What is their relationship to the Kiltgangs?\Were you the one who made Legacy fall?\Secrets are a necessary part of life, response:	but they do make things very difficult...
context: Who is this I you speak of, I wonder.\I sense a degree of irritation in your voice.\You're the one who told me\to let Amara and Moco handle the Machine Goodfellow testing.\What is their relationship to the Kiltgangs?\Were you the one who made Legacy fall?\Secrets are a necessary part of life,\but they do make things very difficult... response:	What are you planning?
context: I sense a degree of irritation in your voice.\You're the one who told me\to let Amara and Moco handle the Machine Goodfellow testing.\What is their relationship to the Kiltgangs?\Were you the one who made Legacy fall?\Secrets are a necessary part of life,\but they do make things very difficult...\What are you planning? response:	What do you want?
context: You're the one who told me\to let Amara and Moco handle the Machine Goodfellow testing.\What is their relationship to the Kiltgangs?\Were you the one who made Legacy fall?\Secrets are a necessary part of life,\but they do make things very difficult...\What are you planning?\What do you want? response:	Something that will ease all your worries.
context: to let Amara and Moco handle the Machine Goodfellow testing.\What is their relationship to the Kiltgangs?\Were you the one who made Legacy fall?\Secrets are a necessary part of life,\but they do make things very difficult...\What are you planning?\What do you want?\Something that will ease all your worries. response:	That is my wish.
context: What is their relationship to the Kiltgangs?\Were you the one who made Legacy fall?\Secrets are a necessary part of life,\but they do make things very difficult...\What are you planning?\What do you want?\Something that will ease all your worries.\That is my wish. response:	Stupid machine!
context: Were you the one who made Legacy fall?\Secrets are a necessary part of life,\but they do make things very difficult...\What are you planning?\What do you want?\Something that will ease all your worries.\That is my wish.\Stupid machine! response:	The emergency shutdown switch...
context: Secrets are a necessary part of life,\but they do make things very difficult...\What are you planning?\What do you want?\Something that will ease all your worries.\That is my wish.\Stupid machine!\The emergency shutdown switch... response:	Did you really think that would still work?
context: but they do make things very difficult...\What are you planning?\What do you want?\Something that will ease all your worries.\That is my wish.\Stupid machine!\The emergency shutdown switch...\Did you really think that would still work? response:	You were such an easy man to control.
context: What are you planning?\What do you want?\Something that will ease all your worries.\That is my wish.\Stupid machine!\The emergency shutdown switch...\Did you really think that would still work?\You were such an easy man to control. response:	That's Hana's call sign!
context: What do you want?\Something that will ease all your worries.\That is my wish.\Stupid machine!\The emergency shutdown switch...\Did you really think that would still work?\You were such an easy man to control.\That's Hana's call sign! response:	This is the Midsummer's Knights.
context: Something that will ease all your worries.\That is my wish.\Stupid machine!\The emergency shutdown switch...\Did you really think that would still work?\You were such an easy man to control.\That's Hana's call sign!\This is the Midsummer's Knights. response:	This is Hana Mutou...
context: That is my wish.\Stupid machine!\The emergency shutdown switch...\Did you really think that would still work?\You were such an easy man to control.\That's Hana's call sign!\This is the Midsummer's Knights.\This is Hana Mutou... response:	Where are you right now?
context: Stupid machine!\The emergency shutdown switch...\Did you really think that would still work?\You were such an easy man to control.\That's Hana's call sign!\This is the Midsummer's Knights.\This is Hana Mutou...\Where are you right now? response:	I'm sorry. I don't know...
context: The emergency shutdown switch...\Did you really think that would still work?\You were such an easy man to control.\That's Hana's call sign!\This is the Midsummer's Knights.\This is Hana Mutou...\Where are you right now?\I'm sorry. I don't know... response:	Don't turn off the power again.
context: Did you really think that would still work?\You were such an easy man to control.\That's Hana's call sign!\This is the Midsummer's Knights.\This is Hana Mutou...\Where are you right now?\I'm sorry. I don't know...\Don't turn off the power again. response:	I'll trace her signal!
context: You were such an easy man to control.\That's Hana's call sign!\This is the Midsummer's Knights.\This is Hana Mutou...\Where are you right now?\I'm sorry. I don't know...\Don't turn off the power again.\I'll trace her signal! response:	Captain!
context: That's Hana's call sign!\This is the Midsummer's Knights.\This is Hana Mutou...\Where are you right now?\I'm sorry. I don't know...\Don't turn off the power again.\I'll trace her signal!\Captain! response:	You heard him, didn't you?
context: This is the Midsummer's Knights.\This is Hana Mutou...\Where are you right now?\I'm sorry. I don't know...\Don't turn off the power again.\I'll trace her signal!\Captain!\You heard him, didn't you? response:	Please don't turn your communicator off again.
context: This is Hana Mutou...\Where are you right now?\I'm sorry. I don't know...\Don't turn off the power again.\I'll trace her signal!\Captain!\You heard him, didn't you?\Please don't turn your communicator off again. response:	Hana Mutou...
context: Where are you right now?\I'm sorry. I don't know...\Don't turn off the power again.\I'll trace her signal!\Captain!\You heard him, didn't you?\Please don't turn your communicator off again.\Hana Mutou... response:	You're a member of a combat unit.
context: I'm sorry. I don't know...\Don't turn off the power again.\I'll trace her signal!\Captain!\You heard him, didn't you?\Please don't turn your communicator off again.\Hana Mutou...\You're a member of a combat unit. response:	Obey your captain's orders.
context: Don't turn off the power again.\I'll trace her signal!\Captain!\You heard him, didn't you?\Please don't turn your communicator off again.\Hana Mutou...\You're a member of a combat unit.\Obey your captain's orders. response:	I'm sorry.
context: I'll trace her signal!\Captain!\You heard him, didn't you?\Please don't turn your communicator off again.\Hana Mutou...\You're a member of a combat unit.\Obey your captain's orders.\I'm sorry. response:	There is no major Orgone energy movement today.
context: Captain!\You heard him, didn't you?\Please don't turn your communicator off again.\Hana Mutou...\You're a member of a combat unit.\Obey your captain's orders.\I'm sorry.\There is no major Orgone energy movement today. response:	But...
context: You heard him, didn't you?\Please don't turn your communicator off again.\Hana Mutou...\You're a member of a combat unit.\Obey your captain's orders.\I'm sorry.\There is no major Orgone energy movement today.\But... response:	But what?
context: Please don't turn your communicator off again.\Hana Mutou...\You're a member of a combat unit.\Obey your captain's orders.\I'm sorry.\There is no major Orgone energy movement today.\But...\But what? response:	Pitz is hurt.
context: Hana Mutou...\You're a member of a combat unit.\Obey your captain's orders.\I'm sorry.\There is no major Orgone energy movement today.\But...\But what?\Pitz is hurt. response:	From tomorrow on, we won't be able to read what the enemy will do.
context: You're a member of a combat unit.\Obey your captain's orders.\I'm sorry.\There is no major Orgone energy movement today.\But...\But what?\Pitz is hurt.\From tomorrow on, we won't be able to read what the enemy will do. response:	Th-That's him.
context: Obey your captain's orders.\I'm sorry.\There is no major Orgone energy movement today.\But...\But what?\Pitz is hurt.\From tomorrow on, we won't be able to read what the enemy will do.\Th-That's him. response:	What's wrong, Hana?
context: I'm sorry.\There is no major Orgone energy movement today.\But...\But what?\Pitz is hurt.\From tomorrow on, we won't be able to read what the enemy will do.\Th-That's him.\What's wrong, Hana? response:	Amarok is here...
context: There is no major Orgone energy movement today.\But...\But what?\Pitz is hurt.\From tomorrow on, we won't be able to read what the enemy will do.\Th-That's him.\What's wrong, Hana?\Amarok is here... response:	Earlier, Malkin was with him, also!
context: But...\But what?\Pitz is hurt.\From tomorrow on, we won't be able to read what the enemy will do.\Th-That's him.\What's wrong, Hana?\Amarok is here...\Earlier, Malkin was with him, also! response:	It's dangerous for the captain to go alone...
context: But what?\Pitz is hurt.\From tomorrow on, we won't be able to read what the enemy will do.\Th-That's him.\What's wrong, Hana?\Amarok is here...\Earlier, Malkin was with him, also!\It's dangerous for the captain to go alone... response:	I'll go, too!
context: Pitz is hurt.\From tomorrow on, we won't be able to read what the enemy will do.\Th-That's him.\What's wrong, Hana?\Amarok is here...\Earlier, Malkin was with him, also!\It's dangerous for the captain to go alone...\I'll go, too! response:	Since there's no Orgone energy activity tonight, I'll go, too!
context: From tomorrow on, we won't be able to read what the enemy will do.\Th-That's him.\What's wrong, Hana?\Amarok is here...\Earlier, Malkin was with him, also!\It's dangerous for the captain to go alone...\I'll go, too!\Since there's no Orgone energy activity tonight, I'll go, too! response:	Wait, you two!
context: Th-That's him.\What's wrong, Hana?\Amarok is here...\Earlier, Malkin was with him, also!\It's dangerous for the captain to go alone...\I'll go, too!\Since there's no Orgone energy activity tonight, I'll go, too!\Wait, you two! response:	You contact the captain!
context: What's wrong, Hana?\Amarok is here...\Earlier, Malkin was with him, also!\It's dangerous for the captain to go alone...\I'll go, too!\Since there's no Orgone energy activity tonight, I'll go, too!\Wait, you two!\You contact the captain! response:	Jeez...
context: Amarok is here...\Earlier, Malkin was with him, also!\It's dangerous for the captain to go alone...\I'll go, too!\Since there's no Orgone energy activity tonight, I'll go, too!\Wait, you two!\You contact the captain!\Jeez... response:	I'm the one he's after.
context: Earlier, Malkin was with him, also!\It's dangerous for the captain to go alone...\I'll go, too!\Since there's no Orgone energy activity tonight, I'll go, too!\Wait, you two!\You contact the captain!\Jeez...\I'm the one he's after. response:	If you stay here, you'll be safe.
context: It's dangerous for the captain to go alone...\I'll go, too!\Since there's no Orgone energy activity tonight, I'll go, too!\Wait, you two!\You contact the captain!\Jeez...\I'm the one he's after.\If you stay here, you'll be safe. response:	Thank you for everything.
context: I'll go, too!\Since there's no Orgone energy activity tonight, I'll go, too!\Wait, you two!\You contact the captain!\Jeez...\I'm the one he's after.\If you stay here, you'll be safe.\Thank you for everything. response:	Sir, I've brought tea.
context: Since there's no Orgone energy activity tonight, I'll go, too!\Wait, you two!\You contact the captain!\Jeez...\I'm the one he's after.\If you stay here, you'll be safe.\Thank you for everything.\Sir, I've brought tea. response:	Sir?
context: Wait, you two!\You contact the captain!\Jeez...\I'm the one he's after.\If you stay here, you'll be safe.\Thank you for everything.\Sir, I've brought tea.\Sir? response:	I can move... I can move.
context: You contact the captain!\Jeez...\I'm the one he's after.\If you stay here, you'll be safe.\Thank you for everything.\Sir, I've brought tea.\Sir?\I can move... I can move. response:	They aren't following?
context: Jeez...\I'm the one he's after.\If you stay here, you'll be safe.\Thank you for everything.\Sir, I've brought tea.\Sir?\I can move... I can move.\They aren't following? response:	Hana!
context: I'm the one he's after.\If you stay here, you'll be safe.\Thank you for everything.\Sir, I've brought tea.\Sir?\I can move... I can move.\They aren't following?\Hana! response:	Where are Amarok and Malkin?
context: If you stay here, you'll be safe.\Thank you for everything.\Sir, I've brought tea.\Sir?\I can move... I can move.\They aren't following?\Hana!\Where are Amarok and Malkin? response:	They found me, but they didn't follow.
context: Thank you for everything.\Sir, I've brought tea.\Sir?\I can move... I can move.\They aren't following?\Hana!\Where are Amarok and Malkin?\They found me, but they didn't follow. response:	I'm glad...
context: Sir, I've brought tea.\Sir?\I can move... I can move.\They aren't following?\Hana!\Where are Amarok and Malkin?\They found me, but they didn't follow.\I'm glad... response:	I'm sorry.
context: Sir?\I can move... I can move.\They aren't following?\Hana!\Where are Amarok and Malkin?\They found me, but they didn't follow.\I'm glad...\I'm sorry. response:	Daichi?
context: I can move... I can move.\They aren't following?\Hana!\Where are Amarok and Malkin?\They found me, but they didn't follow.\I'm glad...\I'm sorry.\Daichi? response:	Who are you?
context: They aren't following?\Hana!\Where are Amarok and Malkin?\They found me, but they didn't follow.\I'm glad...\I'm sorry.\Daichi?\Who are you? response:	Trumpet!
context: Hana!\Where are Amarok and Malkin?\They found me, but they didn't follow.\I'm glad...\I'm sorry.\Daichi?\Who are you?\Trumpet! response:	This won't take long.
context: Where are Amarok and Malkin?\They found me, but they didn't follow.\I'm glad...\I'm sorry.\Daichi?\Who are you?\Trumpet!\This won't take long. response:	Sir?
context: They found me, but they didn't follow.\I'm glad...\I'm sorry.\Daichi?\Who are you?\Trumpet!\This won't take long.\Sir? response:	She's back!
context: I'm glad...\I'm sorry.\Daichi?\Who are you?\Trumpet!\This won't take long.\Sir?\She's back! response:	Huh?
context: I'm sorry.\Daichi?\Who are you?\Trumpet!\This won't take long.\Sir?\She's back!\Huh? response:	That was so sudden, it took me by surprise...
context: Daichi?\Who are you?\Trumpet!\This won't take long.\Sir?\She's back!\Huh?\That was so sudden, it took me by surprise... response:	My biggest worry is gone, and now I feel free.
context: Who are you?\Trumpet!\This won't take long.\Sir?\She's back!\Huh?\That was so sudden, it took me by surprise...\My biggest worry is gone, and now I feel free. response:	This is the real me I've been waiting for.
context: Trumpet!\This won't take long.\Sir?\She's back!\Huh?\That was so sudden, it took me by surprise...\My biggest worry is gone, and now I feel free.\This is the real me I've been waiting for. response:	Puck does not lie.
context: This won't take long.\Sir?\She's back!\Huh?\That was so sudden, it took me by surprise...\My biggest worry is gone, and now I feel free.\This is the real me I've been waiting for.\Puck does not lie. response:	What is this?
context: Sir?\She's back!\Huh?\That was so sudden, it took me by surprise...\My biggest worry is gone, and now I feel free.\This is the real me I've been waiting for.\Puck does not lie.\What is this? response:	Are they filming something?
context: She's back!\Huh?\That was so sudden, it took me by surprise...\My biggest worry is gone, and now I feel free.\This is the real me I've been waiting for.\Puck does not lie.\What is this?\Are they filming something? response:	Then where's the camera?
context: Huh?\That was so sudden, it took me by surprise...\My biggest worry is gone, and now I feel free.\This is the real me I've been waiting for.\Puck does not lie.\What is this?\Are they filming something?\Then where's the camera? response:	How does it feel to awaken to the real you?
context: That was so sudden, it took me by surprise...\My biggest worry is gone, and now I feel free.\This is the real me I've been waiting for.\Puck does not lie.\What is this?\Are they filming something?\Then where's the camera?\How does it feel to awaken to the real you? response:	We are the Planetary Gears.
context: My biggest worry is gone, and now I feel free.\This is the real me I've been waiting for.\Puck does not lie.\What is this?\Are they filming something?\Then where's the camera?\How does it feel to awaken to the real you?\We are the Planetary Gears. response:	We reveal the dream of the world.
context: This is the real me I've been waiting for.\Puck does not lie.\What is this?\Are they filming something?\Then where's the camera?\How does it feel to awaken to the real you?\We are the Planetary Gears.\We reveal the dream of the world. response:	What?
context: Puck does not lie.\What is this?\Are they filming something?\Then where's the camera?\How does it feel to awaken to the real you?\We are the Planetary Gears.\We reveal the dream of the world.\What? response:	How are they doing that?
context: What is this?\Are they filming something?\Then where's the camera?\How does it feel to awaken to the real you?\We are the Planetary Gears.\We reveal the dream of the world.\What?\How are they doing that? response:	Until a moment ago, you seemed to be with Blume.
context: Are they filming something?\Then where's the camera?\How does it feel to awaken to the real you?\We are the Planetary Gears.\We reveal the dream of the world.\What?\How are they doing that?\Until a moment ago, you seemed to be with Blume. response:	That girl is Blume?
context: Then where's the camera?\How does it feel to awaken to the real you?\We are the Planetary Gears.\We reveal the dream of the world.\What?\How are they doing that?\Until a moment ago, you seemed to be with Blume.\That girl is Blume? response:	I need to hear more about this.
context: How does it feel to awaken to the real you?\We are the Planetary Gears.\We reveal the dream of the world.\What?\How are they doing that?\Until a moment ago, you seemed to be with Blume.\That girl is Blume?\I need to hear more about this. response:	Understood.
context: We are the Planetary Gears.\We reveal the dream of the world.\What?\How are they doing that?\Until a moment ago, you seemed to be with Blume.\That girl is Blume?\I need to hear more about this.\Understood. response:	The engine series is probably here.
context: We reveal the dream of the world.\What?\How are they doing that?\Until a moment ago, you seemed to be with Blume.\That girl is Blume?\I need to hear more about this.\Understood.\The engine series is probably here. response:	Then...
context: What?\How are they doing that?\Until a moment ago, you seemed to be with Blume.\That girl is Blume?\I need to hear more about this.\Understood.\The engine series is probably here.\Then... response:	We'll meet them in our Machine Goodfellows.
context: How are they doing that?\Until a moment ago, you seemed to be with Blume.\That girl is Blume?\I need to hear more about this.\Understood.\The engine series is probably here.\Then...\We'll meet them in our Machine Goodfellows. response:	You knew about the real me?
context: Until a moment ago, you seemed to be with Blume.\That girl is Blume?\I need to hear more about this.\Understood.\The engine series is probably here.\Then...\We'll meet them in our Machine Goodfellows.\You knew about the real me? response:	When I heard you were made at the same time as the Blume,
context: That girl is Blume?\I need to hear more about this.\Understood.\The engine series is probably here.\Then...\We'll meet them in our Machine Goodfellows.\You knew about the real me?\When I heard you were made at the same time as the Blume, response:	I had a feeling.
context: I need to hear more about this.\Understood.\The engine series is probably here.\Then...\We'll meet them in our Machine Goodfellows.\You knew about the real me?\When I heard you were made at the same time as the Blume,\I had a feeling. response:	It doesn't bother you?
context: Understood.\The engine series is probably here.\Then...\We'll meet them in our Machine Goodfellows.\You knew about the real me?\When I heard you were made at the same time as the Blume,\I had a feeling.\It doesn't bother you? response:	You know how I feel now, right?
context: The engine series is probably here.\Then...\We'll meet them in our Machine Goodfellows.\You knew about the real me?\When I heard you were made at the same time as the Blume,\I had a feeling.\It doesn't bother you?\You know how I feel now, right? response:	Don't keep your problems to yourself and get sad anymore, okay?
context: Then...\We'll meet them in our Machine Goodfellows.\You knew about the real me?\When I heard you were made at the same time as the Blume,\I had a feeling.\It doesn't bother you?\You know how I feel now, right?\Don't keep your problems to yourself and get sad anymore, okay? response:	Yes, Captain.
context: We'll meet them in our Machine Goodfellows.\You knew about the real me?\When I heard you were made at the same time as the Blume,\I had a feeling.\It doesn't bother you?\You know how I feel now, right?\Don't keep your problems to yourself and get sad anymore, okay?\Yes, Captain. response:	And...
context: You knew about the real me?\When I heard you were made at the same time as the Blume,\I had a feeling.\It doesn't bother you?\You know how I feel now, right?\Don't keep your problems to yourself and get sad anymore, okay?\Yes, Captain.\And... response:	Thanks for saving Tanegashima.
context: When I heard you were made at the same time as the Blume,\I had a feeling.\It doesn't bother you?\You know how I feel now, right?\Don't keep your problems to yourself and get sad anymore, okay?\Yes, Captain.\And...\Thanks for saving Tanegashima. response:	It's kind of hard to go out there now.
context: I had a feeling.\It doesn't bother you?\You know how I feel now, right?\Don't keep your problems to yourself and get sad anymore, okay?\Yes, Captain.\And...\Thanks for saving Tanegashima.\It's kind of hard to go out there now. response:	For the time being, there's no sign of Amarok and Malkin...
context: It doesn't bother you?\You know how I feel now, right?\Don't keep your problems to yourself and get sad anymore, okay?\Yes, Captain.\And...\Thanks for saving Tanegashima.\It's kind of hard to go out there now.\For the time being, there's no sign of Amarok and Malkin... response:	Captain! Look out!
context: You know how I feel now, right?\Don't keep your problems to yourself and get sad anymore, okay?\Yes, Captain.\And...\Thanks for saving Tanegashima.\It's kind of hard to go out there now.\For the time being, there's no sign of Amarok and Malkin...\Captain! Look out! response:	Teppei?
context: Don't keep your problems to yourself and get sad anymore, okay?\Yes, Captain.\And...\Thanks for saving Tanegashima.\It's kind of hard to go out there now.\For the time being, there's no sign of Amarok and Malkin...\Captain! Look out!\Teppei? response:	They're coming!
context: Yes, Captain.\And...\Thanks for saving Tanegashima.\It's kind of hard to go out there now.\For the time being, there's no sign of Amarok and Malkin...\Captain! Look out!\Teppei?\They're coming! response:	Hana, take Pitz and hide!
context: And...\Thanks for saving Tanegashima.\It's kind of hard to go out there now.\For the time being, there's no sign of Amarok and Malkin...\Captain! Look out!\Teppei?\They're coming!\Hana, take Pitz and hide! response:	Okay.
context: Thanks for saving Tanegashima.\It's kind of hard to go out there now.\For the time being, there's no sign of Amarok and Malkin...\Captain! Look out!\Teppei?\They're coming!\Hana, take Pitz and hide!\Okay. response:	Let's go, Teppei!
context: It's kind of hard to go out there now.\For the time being, there's no sign of Amarok and Malkin...\Captain! Look out!\Teppei?\They're coming!\Hana, take Pitz and hide!\Okay.\Let's go, Teppei! response:	Roger.
context: For the time being, there's no sign of Amarok and Malkin...\Captain! Look out!\Teppei?\They're coming!\Hana, take Pitz and hide!\Okay.\Let's go, Teppei!\Roger. response:	This is Akari.
context: Captain! Look out!\Teppei?\They're coming!\Hana, take Pitz and hide!\Okay.\Let's go, Teppei!\Roger.\This is Akari. response:	The Machine Goodfellows have appeared.
context: Teppei?\They're coming!\Hana, take Pitz and hide!\Okay.\Let's go, Teppei!\Roger.\This is Akari.\The Machine Goodfellows have appeared. response:	The captain and Teppei are fighting them.
context: They're coming!\Hana, take Pitz and hide!\Okay.\Let's go, Teppei!\Roger.\This is Akari.\The Machine Goodfellows have appeared.\The captain and Teppei are fighting them. response:	I'm tracking it here.
context: Hana, take Pitz and hide!\Okay.\Let's go, Teppei!\Roger.\This is Akari.\The Machine Goodfellows have appeared.\The captain and Teppei are fighting them.\I'm tracking it here. response:	But there's no MM bus signal.
context: Okay.\Let's go, Teppei!\Roger.\This is Akari.\The Machine Goodfellows have appeared.\The captain and Teppei are fighting them.\I'm tracking it here.\But there's no MM bus signal. response:	What's going on?
context: Let's go, Teppei!\Roger.\This is Akari.\The Machine Goodfellows have appeared.\The captain and Teppei are fighting them.\I'm tracking it here.\But there's no MM bus signal.\What's going on? response:	I don't know...
context: Roger.\This is Akari.\The Machine Goodfellows have appeared.\The captain and Teppei are fighting them.\I'm tracking it here.\But there's no MM bus signal.\What's going on?\I don't know... response:	They may have some other goal.
context: This is Akari.\The Machine Goodfellows have appeared.\The captain and Teppei are fighting them.\I'm tracking it here.\But there's no MM bus signal.\What's going on?\I don't know...\They may have some other goal. response:	Anyway, ready the Earth Engine.
context: The Machine Goodfellows have appeared.\The captain and Teppei are fighting them.\I'm tracking it here.\But there's no MM bus signal.\What's going on?\I don't know...\They may have some other goal.\Anyway, ready the Earth Engine. response:	The Nebula just arrived.
context: The captain and Teppei are fighting them.\I'm tracking it here.\But there's no MM bus signal.\What's going on?\I don't know...\They may have some other goal.\Anyway, ready the Earth Engine.\The Nebula just arrived. response:	I'll send it, too.
context: I'm tracking it here.\But there's no MM bus signal.\What's going on?\I don't know...\They may have some other goal.\Anyway, ready the Earth Engine.\The Nebula just arrived.\I'll send it, too. response:	Roger.
context: But there's no MM bus signal.\What's going on?\I don't know...\They may have some other goal.\Anyway, ready the Earth Engine.\The Nebula just arrived.\I'll send it, too.\Roger. response:	Earth Engine, Nebula Engine... Launch!
context: What's going on?\I don't know...\They may have some other goal.\Anyway, ready the Earth Engine.\The Nebula just arrived.\I'll send it, too.\Roger.\Earth Engine, Nebula Engine... Launch! response:	There are two Machine Goodfellows on radar.
context: I don't know...\They may have some other goal.\Anyway, ready the Earth Engine.\The Nebula just arrived.\I'll send it, too.\Roger.\Earth Engine, Nebula Engine... Launch!\There are two Machine Goodfellows on radar. response:	Be very careful.
context: They may have some other goal.\Anyway, ready the Earth Engine.\The Nebula just arrived.\I'll send it, too.\Roger.\Earth Engine, Nebula Engine... Launch!\There are two Machine Goodfellows on radar.\Be very careful. response:	Two?
context: Anyway, ready the Earth Engine.\The Nebula just arrived.\I'll send it, too.\Roger.\Earth Engine, Nebula Engine... Launch!\There are two Machine Goodfellows on radar.\Be very careful.\Two? response:	I found the princess.
context: The Nebula just arrived.\I'll send it, too.\Roger.\Earth Engine, Nebula Engine... Launch!\There are two Machine Goodfellows on radar.\Be very careful.\Two?\I found the princess. response:	I can't hit him...
context: I'll send it, too.\Roger.\Earth Engine, Nebula Engine... Launch!\There are two Machine Goodfellows on radar.\Be very careful.\Two?\I found the princess.\I can't hit him... response:	He's too fast!
context: Roger.\Earth Engine, Nebula Engine... Launch!\There are two Machine Goodfellows on radar.\Be very careful.\Two?\I found the princess.\I can't hit him...\He's too fast! response:	Once it's tuned, the Neural Maneuver System isn't so bad.
context: Earth Engine, Nebula Engine... Launch!\There are two Machine Goodfellows on radar.\Be very careful.\Two?\I found the princess.\I can't hit him...\He's too fast!\Once it's tuned, the Neural Maneuver System isn't so bad. response:	What?
context: There are two Machine Goodfellows on radar.\Be very careful.\Two?\I found the princess.\I can't hit him...\He's too fast!\Once it's tuned, the Neural Maneuver System isn't so bad.\What? response:	They're here!
context: Be very careful.\Two?\I found the princess.\I can't hit him...\He's too fast!\Once it's tuned, the Neural Maneuver System isn't so bad.\What?\They're here! response:	Earth...
context: Two?\I found the princess.\I can't hit him...\He's too fast!\Once it's tuned, the Neural Maneuver System isn't so bad.\What?\They're here!\Earth... response:	Nebula, too!
context: I found the princess.\I can't hit him...\He's too fast!\Once it's tuned, the Neural Maneuver System isn't so bad.\What?\They're here!\Earth...\Nebula, too! response:	Two against one isn't fair, but...
context: I can't hit him...\He's too fast!\Once it's tuned, the Neural Maneuver System isn't so bad.\What?\They're here!\Earth...\Nebula, too!\Two against one isn't fair, but... response:	Let's go, Teppei!
context: He's too fast!\Once it's tuned, the Neural Maneuver System isn't so bad.\What?\They're here!\Earth...\Nebula, too!\Two against one isn't fair, but...\Let's go, Teppei! response:	Roger.
context: Once it's tuned, the Neural Maneuver System isn't so bad.\What?\They're here!\Earth...\Nebula, too!\Two against one isn't fair, but...\Let's go, Teppei!\Roger. response:	Okay, stop!
context: What?\They're here!\Earth...\Nebula, too!\Two against one isn't fair, but...\Let's go, Teppei!\Roger.\Okay, stop! response:	Move even a tiny bit, and I'll kill the princess.
context: They're here!\Earth...\Nebula, too!\Two against one isn't fair, but...\Let's go, Teppei!\Roger.\Okay, stop!\Move even a tiny bit, and I'll kill the princess. response:	I like it...
context: Earth...\Nebula, too!\Two against one isn't fair, but...\Let's go, Teppei!\Roger.\Okay, stop!\Move even a tiny bit, and I'll kill the princess.\I like it... response:	We look like a really evil bunch now!
context: Nebula, too!\Two against one isn't fair, but...\Let's go, Teppei!\Roger.\Okay, stop!\Move even a tiny bit, and I'll kill the princess.\I like it...\We look like a really evil bunch now! response:	Teppei!
context: Two against one isn't fair, but...\Let's go, Teppei!\Roger.\Okay, stop!\Move even a tiny bit, and I'll kill the princess.\I like it...\We look like a really evil bunch now!\Teppei! response:	I said...
context: Let's go, Teppei!\Roger.\Okay, stop!\Move even a tiny bit, and I'll kill the princess.\I like it...\We look like a really evil bunch now!\Teppei!\I said... response:	Don't move!
context: Roger.\Okay, stop!\Move even a tiny bit, and I'll kill the princess.\I like it...\We look like a really evil bunch now!\Teppei!\I said...\Don't move! response:	Daichi!
context: Okay, stop!\Move even a tiny bit, and I'll kill the princess.\I like it...\We look like a really evil bunch now!\Teppei!\I said...\Don't move!\Daichi! response:	Teppei!
context: Move even a tiny bit, and I'll kill the princess.\I like it...\We look like a really evil bunch now!\Teppei!\I said...\Don't move!\Daichi!\Teppei! response:	This is seriously bad...
context: I like it...\We look like a really evil bunch now!\Teppei!\I said...\Don't move!\Daichi!\Teppei!\This is seriously bad... response:	Regret your choice to give up eternal life, Albion!
context: We look like a really evil bunch now!\Teppei!\I said...\Don't move!\Daichi!\Teppei!\This is seriously bad...\Regret your choice to give up eternal life, Albion! response:	Teppei!
context: Teppei!\I said...\Don't move!\Daichi!\Teppei!\This is seriously bad...\Regret your choice to give up eternal life, Albion!\Teppei! response:	For my sake... They're both going to...
context: I said...\Don't move!\Daichi!\Teppei!\This is seriously bad...\Regret your choice to give up eternal life, Albion!\Teppei!\For my sake... They're both going to... response:	What?
context: Don't move!\Daichi!\Teppei!\This is seriously bad...\Regret your choice to give up eternal life, Albion!\Teppei!\For my sake... They're both going to...\What? response:	This light... It can't be...
context: Daichi!\Teppei!\This is seriously bad...\Regret your choice to give up eternal life, Albion!\Teppei!\For my sake... They're both going to...\What?\This light... It can't be... response:	Orgone energy?
context: Teppei!\This is seriously bad...\Regret your choice to give up eternal life, Albion!\Teppei!\For my sake... They're both going to...\What?\This light... It can't be...\Orgone energy? response:	What is that?
context: This is seriously bad...\Regret your choice to give up eternal life, Albion!\Teppei!\For my sake... They're both going to...\What?\This light... It can't be...\Orgone energy?\What is that? response:	Hana?
context: Regret your choice to give up eternal life, Albion!\Teppei!\For my sake... They're both going to...\What?\This light... It can't be...\Orgone energy?\What is that?\Hana? response:	The Blossom?!
context: Teppei!\For my sake... They're both going to...\What?\This light... It can't be...\Orgone energy?\What is that?\Hana?\The Blossom?! response:	How dare you hurt my friends?!
context: For my sake... They're both going to...\What?\This light... It can't be...\Orgone energy?\What is that?\Hana?\The Blossom?!\How dare you hurt my friends?! response:	She's controlling the beam?
