context: Kiss Him, Not Me response:	Christmas in the Holy Land
context: Thank you very much!\All right, Nana. Let's keep going like this.\Uh, yeah. The next one is...\Huh? It's the next next booth over.\Um, the newest issue, please.\Yes, sir.\The next one's right here, too.\Please take a look. response:	And the next one.
context: All right, Nana. Let's keep going like this.\Uh, yeah. The next one is...\Huh? It's the next next booth over.\Um, the newest issue, please.\Yes, sir.\The next one's right here, too.\Please take a look.\And the next one. response:	Thank you very much.
context: Uh, yeah. The next one is...\Huh? It's the next next booth over.\Um, the newest issue, please.\Yes, sir.\The next one's right here, too.\Please take a look.\And the next one.\Thank you very much. response:	Next.
context: Huh? It's the next next booth over.\Um, the newest issue, please.\Yes, sir.\The next one's right here, too.\Please take a look.\And the next one.\Thank you very much.\Next. response:	We have a new issue.
context: Um, the newest issue, please.\Yes, sir.\The next one's right here, too.\Please take a look.\And the next one.\Thank you very much.\Next.\We have a new issue. response:	Next.
context: Yes, sir.\The next one's right here, too.\Please take a look.\And the next one.\Thank you very much.\Next.\We have a new issue.\Next. response:	Thank you very much!
context: The next one's right here, too.\Please take a look.\And the next one.\Thank you very much.\Next.\We have a new issue.\Next.\Thank you very much! response:	It's like they're carpet bombing the place.
context: Please take a look.\And the next one.\Thank you very much.\Next.\We have a new issue.\Next.\Thank you very much!\It's like they're carpet bombing the place. response:	They're doing the crab walk.
context: And the next one.\Thank you very much.\Next.\We have a new issue.\Next.\Thank you very much!\It's like they're carpet bombing the place.\They're doing the crab walk. response:	They must love these comics.
context: Thank you very much.\Next.\We have a new issue.\Next.\Thank you very much!\It's like they're carpet bombing the place.\They're doing the crab walk.\They must love these comics. response:	We don't!
context: Next.\We have a new issue.\Next.\Thank you very much!\It's like they're carpet bombing the place.\They're doing the crab walk.\They must love these comics.\We don't! response:	Give me all the new issues!
context: We have a new issue.\Next.\Thank you very much!\It's like they're carpet bombing the place.\They're doing the crab walk.\They must love these comics.\We don't!\Give me all the new issues! response:	Coming right up!
context: Next.\Thank you very much!\It's like they're carpet bombing the place.\They're doing the crab walk.\They must love these comics.\We don't!\Give me all the new issues!\Coming right up! response:	You're very skilled.
context: Thank you very much!\It's like they're carpet bombing the place.\They're doing the crab walk.\They must love these comics.\We don't!\Give me all the new issues!\Coming right up!\You're very skilled. response:	Oh, uh, thank you very much!
context: It's like they're carpet bombing the place.\They're doing the crab walk.\They must love these comics.\We don't!\Give me all the new issues!\Coming right up!\You're very skilled.\Oh, uh, thank you very much! response:	Did you make this all by yourself?
context: They're doing the crab walk.\They must love these comics.\We don't!\Give me all the new issues!\Coming right up!\You're very skilled.\Oh, uh, thank you very much!\Did you make this all by yourself? response:	Y-Yes!
context: They must love these comics.\We don't!\Give me all the new issues!\Coming right up!\You're very skilled.\Oh, uh, thank you very much!\Did you make this all by yourself?\Y-Yes! response:	Amazing. I can't draw, so you have my respect.
context: We don't!\Give me all the new issues!\Coming right up!\You're very skilled.\Oh, uh, thank you very much!\Did you make this all by yourself?\Y-Yes!\Amazing. I can't draw, so you have my respect. response:	A-An angel!
context: Give me all the new issues!\Coming right up!\You're very skilled.\Oh, uh, thank you very much!\Did you make this all by yourself?\Y-Yes!\Amazing. I can't draw, so you have my respect.\A-An angel! response:	He's radiant!
context: Coming right up!\You're very skilled.\Oh, uh, thank you very much!\Did you make this all by yourself?\Y-Yes!\Amazing. I can't draw, so you have my respect.\A-An angel!\He's radiant! response:	My eyes! My eyes!
context: You're very skilled.\Oh, uh, thank you very much!\Did you make this all by yourself?\Y-Yes!\Amazing. I can't draw, so you have my respect.\A-An angel!\He's radiant!\My eyes! My eyes! response:	Come on! Enough with the idle chatter! Let's get this over with!
context: Oh, uh, thank you very much!\Did you make this all by yourself?\Y-Yes!\Amazing. I can't draw, so you have my respect.\A-An angel!\He's radiant!\My eyes! My eyes!\Come on! Enough with the idle chatter! Let's get this over with! response:	It wasn't idle chatter.
context: Did you make this all by yourself?\Y-Yes!\Amazing. I can't draw, so you have my respect.\A-An angel!\He's radiant!\My eyes! My eyes!\Come on! Enough with the idle chatter! Let's get this over with!\It wasn't idle chatter. response:	Besides, it's a while before our meetup time.
context: Y-Yes!\Amazing. I can't draw, so you have my respect.\A-An angel!\He's radiant!\My eyes! My eyes!\Come on! Enough with the idle chatter! Let's get this over with!\It wasn't idle chatter.\Besides, it's a while before our meetup time. response:	I want to finish this up quickly and get out of here.
context: Amazing. I can't draw, so you have my respect.\A-An angel!\He's radiant!\My eyes! My eyes!\Come on! Enough with the idle chatter! Let's get this over with!\It wasn't idle chatter.\Besides, it's a while before our meetup time.\I want to finish this up quickly and get out of here. response:	Why? Isn't this fun?
context: A-An angel!\He's radiant!\My eyes! My eyes!\Come on! Enough with the idle chatter! Let's get this over with!\It wasn't idle chatter.\Besides, it's a while before our meetup time.\I want to finish this up quickly and get out of here.\Why? Isn't this fun? response:	Not at all!
context: He's radiant!\My eyes! My eyes!\Come on! Enough with the idle chatter! Let's get this over with!\It wasn't idle chatter.\Besides, it's a while before our meetup time.\I want to finish this up quickly and get out of here.\Why? Isn't this fun?\Not at all! response:	There are too many people, the books are heavy, it's cold outside, but hot inside.
context: My eyes! My eyes!\Come on! Enough with the idle chatter! Let's get this over with!\It wasn't idle chatter.\Besides, it's a while before our meetup time.\I want to finish this up quickly and get out of here.\Why? Isn't this fun?\Not at all!\There are too many people, the books are heavy, it's cold outside, but hot inside. response:	The place is dusty, too big, and we're walking too much!
context: Come on! Enough with the idle chatter! Let's get this over with!\It wasn't idle chatter.\Besides, it's a while before our meetup time.\I want to finish this up quickly and get out of here.\Why? Isn't this fun?\Not at all!\There are too many people, the books are heavy, it's cold outside, but hot inside.\The place is dusty, too big, and we're walking too much! response:	What's more...
context: It wasn't idle chatter.\Besides, it's a while before our meetup time.\I want to finish this up quickly and get out of here.\Why? Isn't this fun?\Not at all!\There are too many people, the books are heavy, it's cold outside, but hot inside.\The place is dusty, too big, and we're walking too much!\What's more... response:	It feels like I could lose you at any second!
context: Besides, it's a while before our meetup time.\I want to finish this up quickly and get out of here.\Why? Isn't this fun?\Not at all!\There are too many people, the books are heavy, it's cold outside, but hot inside.\The place is dusty, too big, and we're walking too much!\What's more...\It feels like I could lose you at any second! response:	Sorry.
context: I want to finish this up quickly and get out of here.\Why? Isn't this fun?\Not at all!\There are too many people, the books are heavy, it's cold outside, but hot inside.\The place is dusty, too big, and we're walking too much!\What's more...\It feels like I could lose you at any second!\Sorry. response:	Are you a child?
context: Why? Isn't this fun?\Not at all!\There are too many people, the books are heavy, it's cold outside, but hot inside.\The place is dusty, too big, and we're walking too much!\What's more...\It feels like I could lose you at any second!\Sorry.\Are you a child? response:	Then how about I try this?
context: Not at all!\There are too many people, the books are heavy, it's cold outside, but hot inside.\The place is dusty, too big, and we're walking too much!\What's more...\It feels like I could lose you at any second!\Sorry.\Are you a child?\Then how about I try this? response:	You know what? After we're done, I'd like to go see the history study group.
context: There are too many people, the books are heavy, it's cold outside, but hot inside.\The place is dusty, too big, and we're walking too much!\What's more...\It feels like I could lose you at any second!\Sorry.\Are you a child?\Then how about I try this?\You know what? After we're done, I'd like to go see the history study group. response:	I suppose this is better than you getting lost.
context: The place is dusty, too big, and we're walking too much!\What's more...\It feels like I could lose you at any second!\Sorry.\Are you a child?\Then how about I try this?\You know what? After we're done, I'd like to go see the history study group.\I suppose this is better than you getting lost. response:	Let's go.
context: What's more...\It feels like I could lose you at any second!\Sorry.\Are you a child?\Then how about I try this?\You know what? After we're done, I'd like to go see the history study group.\I suppose this is better than you getting lost.\Let's go. response:	Wh-What was that?
context: It feels like I could lose you at any second!\Sorry.\Are you a child?\Then how about I try this?\You know what? After we're done, I'd like to go see the history study group.\I suppose this is better than you getting lost.\Let's go.\Wh-What was that? response:	Adorable!
context: Sorry.\Are you a child?\Then how about I try this?\You know what? After we're done, I'd like to go see the history study group.\I suppose this is better than you getting lost.\Let's go.\Wh-What was that?\Adorable! response:	Look at this haul!
context: Are you a child?\Then how about I try this?\You know what? After we're done, I'd like to go see the history study group.\I suppose this is better than you getting lost.\Let's go.\Wh-What was that?\Adorable!\Look at this haul! response:	Guess the others aren't here yet.
context: Then how about I try this?\You know what? After we're done, I'd like to go see the history study group.\I suppose this is better than you getting lost.\Let's go.\Wh-What was that?\Adorable!\Look at this haul!\Guess the others aren't here yet. response:	We did say we were meeting at 2:00.
context: You know what? After we're done, I'd like to go see the history study group.\I suppose this is better than you getting lost.\Let's go.\Wh-What was that?\Adorable!\Look at this haul!\Guess the others aren't here yet.\We did say we were meeting at 2:00. response:	I've gotta thank them all properly.
context: I suppose this is better than you getting lost.\Let's go.\Wh-What was that?\Adorable!\Look at this haul!\Guess the others aren't here yet.\We did say we were meeting at 2:00.\I've gotta thank them all properly. response:	I wonder what would be good...
context: Let's go.\Wh-What was that?\Adorable!\Look at this haul!\Guess the others aren't here yet.\We did say we were meeting at 2:00.\I've gotta thank them all properly.\I wonder what would be good... response:	Nice, very nice! Can you strike a pose for me?
context: Wh-What was that?\Adorable!\Look at this haul!\Guess the others aren't here yet.\We did say we were meeting at 2:00.\I've gotta thank them all properly.\I wonder what would be good...\Nice, very nice! Can you strike a pose for me? response:	Please stop! I'm not a cosplayer!
context: Adorable!\Look at this haul!\Guess the others aren't here yet.\We did say we were meeting at 2:00.\I've gotta thank them all properly.\I wonder what would be good...\Nice, very nice! Can you strike a pose for me?\Please stop! I'm not a cosplayer! response:	Aw, what a waste!
context: Look at this haul!\Guess the others aren't here yet.\We did say we were meeting at 2:00.\I've gotta thank them all properly.\I wonder what would be good...\Nice, very nice! Can you strike a pose for me?\Please stop! I'm not a cosplayer!\Aw, what a waste! response:	Just lemme take a few shots!
context: Guess the others aren't here yet.\We did say we were meeting at 2:00.\I've gotta thank them all properly.\I wonder what would be good...\Nice, very nice! Can you strike a pose for me?\Please stop! I'm not a cosplayer!\Aw, what a waste!\Just lemme take a few shots! response:	Don't move.
context: We did say we were meeting at 2:00.\I've gotta thank them all properly.\I wonder what would be good...\Nice, very nice! Can you strike a pose for me?\Please stop! I'm not a cosplayer!\Aw, what a waste!\Just lemme take a few shots!\Don't move. response:	That's bad manners, sir.
context: I've gotta thank them all properly.\I wonder what would be good...\Nice, very nice! Can you strike a pose for me?\Please stop! I'm not a cosplayer!\Aw, what a waste!\Just lemme take a few shots!\Don't move.\That's bad manners, sir. response:	Not a gentleman, I see.
context: I wonder what would be good...\Nice, very nice! Can you strike a pose for me?\Please stop! I'm not a cosplayer!\Aw, what a waste!\Just lemme take a few shots!\Don't move.\That's bad manners, sir.\Not a gentleman, I see. response:	What's your problem?
context: Nice, very nice! Can you strike a pose for me?\Please stop! I'm not a cosplayer!\Aw, what a waste!\Just lemme take a few shots!\Don't move.\That's bad manners, sir.\Not a gentleman, I see.\What's your problem? response:	If you call yourself a photographer,
context: Please stop! I'm not a cosplayer!\Aw, what a waste!\Just lemme take a few shots!\Don't move.\That's bad manners, sir.\Not a gentleman, I see.\What's your problem?\If you call yourself a photographer, response:	shouldn't you carry yourself with decorum?
context: Aw, what a waste!\Just lemme take a few shots!\Don't move.\That's bad manners, sir.\Not a gentleman, I see.\What's your problem?\If you call yourself a photographer,\shouldn't you carry yourself with decorum? response:	It's not at all acceptable to take photos of a lady who refuses.
context: Just lemme take a few shots!\Don't move.\That's bad manners, sir.\Not a gentleman, I see.\What's your problem?\If you call yourself a photographer,\shouldn't you carry yourself with decorum?\It's not at all acceptable to take photos of a lady who refuses. response:	You understand, don't you? Look.
context: Don't move.\That's bad manners, sir.\Not a gentleman, I see.\What's your problem?\If you call yourself a photographer,\shouldn't you carry yourself with decorum?\It's not at all acceptable to take photos of a lady who refuses.\You understand, don't you? Look. response:	You're being rude!
context: That's bad manners, sir.\Not a gentleman, I see.\What's your problem?\If you call yourself a photographer,\shouldn't you carry yourself with decorum?\It's not at all acceptable to take photos of a lady who refuses.\You understand, don't you? Look.\You're being rude! response:	People like you give us a bad name!
context: Not a gentleman, I see.\What's your problem?\If you call yourself a photographer,\shouldn't you carry yourself with decorum?\It's not at all acceptable to take photos of a lady who refuses.\You understand, don't you? Look.\You're being rude!\People like you give us a bad name! response:	Apologize!
context: What's your problem?\If you call yourself a photographer,\shouldn't you carry yourself with decorum?\It's not at all acceptable to take photos of a lady who refuses.\You understand, don't you? Look.\You're being rude!\People like you give us a bad name!\Apologize! response:	Everyone's upset with you.
context: If you call yourself a photographer,\shouldn't you carry yourself with decorum?\It's not at all acceptable to take photos of a lady who refuses.\You understand, don't you? Look.\You're being rude!\People like you give us a bad name!\Apologize!\Everyone's upset with you. response:	On your knees! On your knees!
context: shouldn't you carry yourself with decorum?\It's not at all acceptable to take photos of a lady who refuses.\You understand, don't you? Look.\You're being rude!\People like you give us a bad name!\Apologize!\Everyone's upset with you.\On your knees! On your knees! response:	U-Um!
context: It's not at all acceptable to take photos of a lady who refuses.\You understand, don't you? Look.\You're being rude!\People like you give us a bad name!\Apologize!\Everyone's upset with you.\On your knees! On your knees!\U-Um! response:	I'm fine!
context: You understand, don't you? Look.\You're being rude!\People like you give us a bad name!\Apologize!\Everyone's upset with you.\On your knees! On your knees!\U-Um!\I'm fine! response:	Y-You're not going to do this sort of thing again, right?
context: You're being rude!\People like you give us a bad name!\Apologize!\Everyone's upset with you.\On your knees! On your knees!\U-Um!\I'm fine!\Y-You're not going to do this sort of thing again, right? response:	I-I get it! Sorry!
context: People like you give us a bad name!\Apologize!\Everyone's upset with you.\On your knees! On your knees!\U-Um!\I'm fine!\Y-You're not going to do this sort of thing again, right?\I-I get it! Sorry! response:	That was a shock.
context: Apologize!\Everyone's upset with you.\On your knees! On your knees!\U-Um!\I'm fine!\Y-You're not going to do this sort of thing again, right?\I-I get it! Sorry!\That was a shock. response:	You're letting him off with that? That's kind.
context: Everyone's upset with you.\On your knees! On your knees!\U-Um!\I'm fine!\Y-You're not going to do this sort of thing again, right?\I-I get it! Sorry!\That was a shock.\You're letting him off with that? That's kind. response:	Thank you very much!
context: On your knees! On your knees!\U-Um!\I'm fine!\Y-You're not going to do this sort of thing again, right?\I-I get it! Sorry!\That was a shock.\You're letting him off with that? That's kind.\Thank you very much! response:	Trouble-making punks like that crop up from time to time. Be careful.
context: U-Um!\I'm fine!\Y-You're not going to do this sort of thing again, right?\I-I get it! Sorry!\That was a shock.\You're letting him off with that? That's kind.\Thank you very much!\Trouble-making punks like that crop up from time to time. Be careful. response:	Y-You're Sebastian from Gray Butler right?
context: I'm fine!\Y-You're not going to do this sort of thing again, right?\I-I get it! Sorry!\That was a shock.\You're letting him off with that? That's kind.\Thank you very much!\Trouble-making punks like that crop up from time to time. Be careful.\Y-You're Sebastian from Gray Butler right? response:	Yup.
context: Y-You're not going to do this sort of thing again, right?\I-I get it! Sorry!\That was a shock.\You're letting him off with that? That's kind.\Thank you very much!\Trouble-making punks like that crop up from time to time. Be careful.\Y-You're Sebastian from Gray Butler right?\Yup. response:	Amazing! It's perfect! You look just like him!
context: I-I get it! Sorry!\That was a shock.\You're letting him off with that? That's kind.\Thank you very much!\Trouble-making punks like that crop up from time to time. Be careful.\Y-You're Sebastian from Gray Butler right?\Yup.\Amazing! It's perfect! You look just like him! response:	Thank you.
context: That was a shock.\You're letting him off with that? That's kind.\Thank you very much!\Trouble-making punks like that crop up from time to time. Be careful.\Y-You're Sebastian from Gray Butler right?\Yup.\Amazing! It's perfect! You look just like him!\Thank you. response:	There she is.
context: You're letting him off with that? That's kind.\Thank you very much!\Trouble-making punks like that crop up from time to time. Be careful.\Y-You're Sebastian from Gray Butler right?\Yup.\Amazing! It's perfect! You look just like him!\Thank you.\There she is. response:	Sorry. We got a bit lost.
context: Thank you very much!\Trouble-making punks like that crop up from time to time. Be careful.\Y-You're Sebastian from Gray Butler right?\Yup.\Amazing! It's perfect! You look just like him!\Thank you.\There she is.\Sorry. We got a bit lost. response:	Our phones had bad reception, too.
context: Trouble-making punks like that crop up from time to time. Be careful.\Y-You're Sebastian from Gray Butler right?\Yup.\Amazing! It's perfect! You look just like him!\Thank you.\There she is.\Sorry. We got a bit lost.\Our phones had bad reception, too. response:	Thanks for all your hard work!
context: Y-You're Sebastian from Gray Butler right?\Yup.\Amazing! It's perfect! You look just like him!\Thank you.\There she is.\Sorry. We got a bit lost.\Our phones had bad reception, too.\Thanks for all your hard work! response:	What's this? You already have so many princes.
context: Yup.\Amazing! It's perfect! You look just like him!\Thank you.\There she is.\Sorry. We got a bit lost.\Our phones had bad reception, too.\Thanks for all your hard work!\What's this? You already have so many princes. response:	You guys should keep a better eye on her.
context: Amazing! It's perfect! You look just like him!\Thank you.\There she is.\Sorry. We got a bit lost.\Our phones had bad reception, too.\Thanks for all your hard work!\What's this? You already have so many princes.\You guys should keep a better eye on her. response:	Huh? Who are you?
context: Thank you.\There she is.\Sorry. We got a bit lost.\Our phones had bad reception, too.\Thanks for all your hard work!\What's this? You already have so many princes.\You guys should keep a better eye on her.\Huh? Who are you? response:	Oh, well, he just helped me out.
context: There she is.\Sorry. We got a bit lost.\Our phones had bad reception, too.\Thanks for all your hard work!\What's this? You already have so many princes.\You guys should keep a better eye on her.\Huh? Who are you?\Oh, well, he just helped me out. response:	Well then, I'll leave the rest to your princes, and excuse myself, my lady.
context: Sorry. We got a bit lost.\Our phones had bad reception, too.\Thanks for all your hard work!\What's this? You already have so many princes.\You guys should keep a better eye on her.\Huh? Who are you?\Oh, well, he just helped me out.\Well then, I'll leave the rest to your princes, and excuse myself, my lady. response:	Adieu.
context: Our phones had bad reception, too.\Thanks for all your hard work!\What's this? You already have so many princes.\You guys should keep a better eye on her.\Huh? Who are you?\Oh, well, he just helped me out.\Well then, I'll leave the rest to your princes, and excuse myself, my lady.\Adieu. response:	What the heck was that?!
context: Thanks for all your hard work!\What's this? You already have so many princes.\You guys should keep a better eye on her.\Huh? Who are you?\Oh, well, he just helped me out.\Well then, I'll leave the rest to your princes, and excuse myself, my lady.\Adieu.\What the heck was that?! response:	Serinuma-san, did he do anything to you?!
context: What's this? You already have so many princes.\You guys should keep a better eye on her.\Huh? Who are you?\Oh, well, he just helped me out.\Well then, I'll leave the rest to your princes, and excuse myself, my lady.\Adieu.\What the heck was that?!\Serinuma-san, did he do anything to you?! response:	N-N-No! That's not it!
context: You guys should keep a better eye on her.\Huh? Who are you?\Oh, well, he just helped me out.\Well then, I'll leave the rest to your princes, and excuse myself, my lady.\Adieu.\What the heck was that?!\Serinuma-san, did he do anything to you?!\N-N-No! That's not it! response:	I got tangled up with a creep earlier and he helped me!
context: Huh? Who are you?\Oh, well, he just helped me out.\Well then, I'll leave the rest to your princes, and excuse myself, my lady.\Adieu.\What the heck was that?!\Serinuma-san, did he do anything to you?!\N-N-No! That's not it!\I got tangled up with a creep earlier and he helped me! response:	Tangled?
context: Oh, well, he just helped me out.\Well then, I'll leave the rest to your princes, and excuse myself, my lady.\Adieu.\What the heck was that?!\Serinuma-san, did he do anything to you?!\N-N-No! That's not it!\I got tangled up with a creep earlier and he helped me!\Tangled? response:	Sorry. If only we weren't so late...
context: Well then, I'll leave the rest to your princes, and excuse myself, my lady.\Adieu.\What the heck was that?!\Serinuma-san, did he do anything to you?!\N-N-No! That's not it!\I got tangled up with a creep earlier and he helped me!\Tangled?\Sorry. If only we weren't so late... response:	That's not it! Don't worry about it!
context: Adieu.\What the heck was that?!\Serinuma-san, did he do anything to you?!\N-N-No! That's not it!\I got tangled up with a creep earlier and he helped me!\Tangled?\Sorry. If only we weren't so late...\That's not it! Don't worry about it! response:	You're the ones going along with my selfish whims.
context: What the heck was that?!\Serinuma-san, did he do anything to you?!\N-N-No! That's not it!\I got tangled up with a creep earlier and he helped me!\Tangled?\Sorry. If only we weren't so late...\That's not it! Don't worry about it!\You're the ones going along with my selfish whims. response:	I'm the one who's sorry!
context: Serinuma-san, did he do anything to you?!\N-N-No! That's not it!\I got tangled up with a creep earlier and he helped me!\Tangled?\Sorry. If only we weren't so late...\That's not it! Don't worry about it!\You're the ones going along with my selfish whims.\I'm the one who's sorry! response:	I really appreciate it!
context: N-N-No! That's not it!\I got tangled up with a creep earlier and he helped me!\Tangled?\Sorry. If only we weren't so late...\That's not it! Don't worry about it!\You're the ones going along with my selfish whims.\I'm the one who's sorry!\I really appreciate it! response:	Thank you!
context: I got tangled up with a creep earlier and he helped me!\Tangled?\Sorry. If only we weren't so late...\That's not it! Don't worry about it!\You're the ones going along with my selfish whims.\I'm the one who's sorry!\I really appreciate it!\Thank you! response:	All right! Shall we party?
context: Tangled?\Sorry. If only we weren't so late...\That's not it! Don't worry about it!\You're the ones going along with my selfish whims.\I'm the one who's sorry!\I really appreciate it!\Thank you!\All right! Shall we party? response:	Yeah!
context: Sorry. If only we weren't so late...\That's not it! Don't worry about it!\You're the ones going along with my selfish whims.\I'm the one who's sorry!\I really appreciate it!\Thank you!\All right! Shall we party?\Yeah! response:	We just have to go back now. Easy.
context: That's not it! Don't worry about it!\You're the ones going along with my selfish whims.\I'm the one who's sorry!\I really appreciate it!\Thank you!\All right! Shall we party?\Yeah!\We just have to go back now. Easy. response:	It was my first time, but I had a lot of fun.
context: You're the ones going along with my selfish whims.\I'm the one who's sorry!\I really appreciate it!\Thank you!\All right! Shall we party?\Yeah!\We just have to go back now. Easy.\It was my first time, but I had a lot of fun. response:	But, little did they know...
context: I'm the one who's sorry!\I really appreciate it!\Thank you!\All right! Shall we party?\Yeah!\We just have to go back now. Easy.\It was my first time, but I had a lot of fun.\But, little did they know... response:	The traffic on the way back was an even worse hell than when they came.
context: I really appreciate it!\Thank you!\All right! Shall we party?\Yeah!\We just have to go back now. Easy.\It was my first time, but I had a lot of fun.\But, little did they know...\The traffic on the way back was an even worse hell than when they came. response:	So, by the time they arrived
context: Thank you!\All right! Shall we party?\Yeah!\We just have to go back now. Easy.\It was my first time, but I had a lot of fun.\But, little did they know...\The traffic on the way back was an even worse hell than when they came.\So, by the time they arrived response:	for their closing celebration and Chri-Pa...
context: All right! Shall we party?\Yeah!\We just have to go back now. Easy.\It was my first time, but I had a lot of fun.\But, little did they know...\The traffic on the way back was an even worse hell than when they came.\So, by the time they arrived\for their closing celebration and Chri-Pa... response:	all the boys had the energy level of corpses.
context: Yeah!\We just have to go back now. Easy.\It was my first time, but I had a lot of fun.\But, little did they know...\The traffic on the way back was an even worse hell than when they came.\So, by the time they arrived\for their closing celebration and Chri-Pa...\all the boys had the energy level of corpses. response:	Exhausted
context: We just have to go back now. Easy.\It was my first time, but I had a lot of fun.\But, little did they know...\The traffic on the way back was an even worse hell than when they came.\So, by the time they arrived\for their closing celebration and Chri-Pa...\all the boys had the energy level of corpses.\Exhausted response:	Give me a break.
context: It was my first time, but I had a lot of fun.\But, little did they know...\The traffic on the way back was an even worse hell than when they came.\So, by the time they arrived\for their closing celebration and Chri-Pa...\all the boys had the energy level of corpses.\Exhausted\Give me a break. response:	I'm going to die.
context: But, little did they know...\The traffic on the way back was an even worse hell than when they came.\So, by the time they arrived\for their closing celebration and Chri-Pa...\all the boys had the energy level of corpses.\Exhausted\Give me a break.\I'm going to die. response:	Closing Ceremony
context: The traffic on the way back was an even worse hell than when they came.\So, by the time they arrived\for their closing celebration and Chri-Pa...\all the boys had the energy level of corpses.\Exhausted\Give me a break.\I'm going to die.\Closing Ceremony response:	That's what happens at your first Comiket.
context: So, by the time they arrived\for their closing celebration and Chri-Pa...\all the boys had the energy level of corpses.\Exhausted\Give me a break.\I'm going to die.\Closing Ceremony\That's what happens at your first Comiket. response:	It takes a lot out of you.
context: for their closing celebration and Chri-Pa...\all the boys had the energy level of corpses.\Exhausted\Give me a break.\I'm going to die.\Closing Ceremony\That's what happens at your first Comiket.\It takes a lot out of you. response:	Isn't it funny? I'm weaker than them, yet I feel great!
context: all the boys had the energy level of corpses.\Exhausted\Give me a break.\I'm going to die.\Closing Ceremony\That's what happens at your first Comiket.\It takes a lot out of you.\Isn't it funny? I'm weaker than them, yet I feel great! response:	Well that's because you had moe power.
context: Exhausted\Give me a break.\I'm going to die.\Closing Ceremony\That's what happens at your first Comiket.\It takes a lot out of you.\Isn't it funny? I'm weaker than them, yet I feel great!\Well that's because you had moe power. response:	Moe energy! Got lots of it!
context: Give me a break.\I'm going to die.\Closing Ceremony\That's what happens at your first Comiket.\It takes a lot out of you.\Isn't it funny? I'm weaker than them, yet I feel great!\Well that's because you had moe power.\Moe energy! Got lots of it! response:	Oh, yeah!
context: I'm going to die.\Closing Ceremony\That's what happens at your first Comiket.\It takes a lot out of you.\Isn't it funny? I'm weaker than them, yet I feel great!\Well that's because you had moe power.\Moe energy! Got lots of it!\Oh, yeah! response:	There was a super cool Sebastian there, too.
context: Closing Ceremony\That's what happens at your first Comiket.\It takes a lot out of you.\Isn't it funny? I'm weaker than them, yet I feel great!\Well that's because you had moe power.\Moe energy! Got lots of it!\Oh, yeah!\There was a super cool Sebastian there, too. response:	Got any pics?!
context: That's what happens at your first Comiket.\It takes a lot out of you.\Isn't it funny? I'm weaker than them, yet I feel great!\Well that's because you had moe power.\Moe energy! Got lots of it!\Oh, yeah!\There was a super cool Sebastian there, too.\Got any pics?! response:	I don't, actually.
context: It takes a lot out of you.\Isn't it funny? I'm weaker than them, yet I feel great!\Well that's because you had moe power.\Moe energy! Got lots of it!\Oh, yeah!\There was a super cool Sebastian there, too.\Got any pics?!\I don't, actually. response:	Ugh! If only I had taken one!
context: Isn't it funny? I'm weaker than them, yet I feel great!\Well that's because you had moe power.\Moe energy! Got lots of it!\Oh, yeah!\There was a super cool Sebastian there, too.\Got any pics?!\I don't, actually.\Ugh! If only I had taken one! response:	I'm honored to hear that.
context: Well that's because you had moe power.\Moe energy! Got lots of it!\Oh, yeah!\There was a super cool Sebastian there, too.\Got any pics?!\I don't, actually.\Ugh! If only I had taken one!\I'm honored to hear that. response:	How about taking one now?
context: Moe energy! Got lots of it!\Oh, yeah!\There was a super cool Sebastian there, too.\Got any pics?!\I don't, actually.\Ugh! If only I had taken one!\I'm honored to hear that.\How about taking one now? response:	No way! How? You're a student at this school?!
context: Oh, yeah!\There was a super cool Sebastian there, too.\Got any pics?!\I don't, actually.\Ugh! If only I had taken one!\I'm honored to hear that.\How about taking one now?\No way! How? You're a student at this school?! response:	Yup. I'm in class 1-F.
context: There was a super cool Sebastian there, too.\Got any pics?!\I don't, actually.\Ugh! If only I had taken one!\I'm honored to hear that.\How about taking one now?\No way! How? You're a student at this school?!\Yup. I'm in class 1-F. response:	He's a
context: Got any pics?!\I don't, actually.\Ugh! If only I had taken one!\I'm honored to hear that.\How about taking one now?\No way! How? You're a student at this school?!\Yup. I'm in class 1-F.\He's a response:	I'm Nishina Shima.
context: I don't, actually.\Ugh! If only I had taken one!\I'm honored to hear that.\How about taking one now?\No way! How? You're a student at this school?!\Yup. I'm in class 1-F.\He's a\I'm Nishina Shima. response:	Pleased to meet you, Senpai!
context: Ugh! If only I had taken one!\I'm honored to hear that.\How about taking one now?\No way! How? You're a student at this school?!\Yup. I'm in class 1-F.\He's a\I'm Nishina Shima.\Pleased to meet you, Senpai! response:	He's a girl?!
context: I'm honored to hear that.\How about taking one now?\No way! How? You're a student at this school?!\Yup. I'm in class 1-F.\He's a\I'm Nishina Shima.\Pleased to meet you, Senpai!\He's a girl?! response:	Kiss Him, Not Me
context: How about taking one now?\No way! How? You're a student at this school?!\Yup. I'm in class 1-F.\He's a\I'm Nishina Shima.\Pleased to meet you, Senpai!\He's a girl?!\Kiss Him, Not Me response:	Kiss Him, Not Me
context: No way! How? You're a student at this school?!\Yup. I'm in class 1-F.\He's a\I'm Nishina Shima.\Pleased to meet you, Senpai!\He's a girl?!\Kiss Him, Not Me\Kiss Him, Not Me response:	Y-You!
