context: Sarah and Lola competed in a receptionist battle. response:	I wanted my receptionist, Lola, to win, so I went looking for rare items,
context: So this bee monster... Golden Bee, was it?\Yes. It seems like it's pretty powerful.\Honestly, I'd like you to just ignore this one.\What?\It'd be extremely difficult for you to win this fight right now.\I really don't want you to die.\But I don't have any choice.\This isn't like you. What's going on? response:	You fall for the loli tree spirit?
context: Yes. It seems like it's pretty powerful.\Honestly, I'd like you to just ignore this one.\What?\It'd be extremely difficult for you to win this fight right now.\I really don't want you to die.\But I don't have any choice.\This isn't like you. What's going on?\You fall for the loli tree spirit? response:	N-No!
context: Honestly, I'd like you to just ignore this one.\What?\It'd be extremely difficult for you to win this fight right now.\I really don't want you to die.\But I don't have any choice.\This isn't like you. What's going on?\You fall for the loli tree spirit?\N-No! response:	It's just...
context: What?\It'd be extremely difficult for you to win this fight right now.\I really don't want you to die.\But I don't have any choice.\This isn't like you. What's going on?\You fall for the loli tree spirit?\N-No!\It's just... response:	If I don't save her, she's going to die.
context: It'd be extremely difficult for you to win this fight right now.\I really don't want you to die.\But I don't have any choice.\This isn't like you. What's going on?\You fall for the loli tree spirit?\N-No!\It's just...\If I don't save her, she's going to die. response:	Plus, she looks just like a very close friend of mine.
context: I really don't want you to die.\But I don't have any choice.\This isn't like you. What's going on?\You fall for the loli tree spirit?\N-No!\It's just...\If I don't save her, she's going to die.\Plus, she looks just like a very close friend of mine. response:	If I just let her die...
context: But I don't have any choice.\This isn't like you. What's going on?\You fall for the loli tree spirit?\N-No!\It's just...\If I don't save her, she's going to die.\Plus, she looks just like a very close friend of mine.\If I just let her die... response:	I feel like I'd never be able to smile at her again.
context: This isn't like you. What's going on?\You fall for the loli tree spirit?\N-No!\It's just...\If I don't save her, she's going to die.\Plus, she looks just like a very close friend of mine.\If I just let her die...\I feel like I'd never be able to smile at her again. response:	Oh, very well. I'll tell you how you can win.
context: You fall for the loli tree spirit?\N-No!\It's just...\If I don't save her, she's going to die.\Plus, she looks just like a very close friend of mine.\If I just let her die...\I feel like I'd never be able to smile at her again.\Oh, very well. I'll tell you how you can win. response:	Thank you so much!
context: N-No!\It's just...\If I don't save her, she's going to die.\Plus, she looks just like a very close friend of mine.\If I just let her die...\I feel like I'd never be able to smile at her again.\Oh, very well. I'll tell you how you can win.\Thank you so much! response:	But you'd better not die.
context: It's just...\If I don't save her, she's going to die.\Plus, she looks just like a very close friend of mine.\If I just let her die...\I feel like I'd never be able to smile at her again.\Oh, very well. I'll tell you how you can win.\Thank you so much!\But you'd better not die. response:	I'll go all the way to Hell to punch you if you do.
context: If I don't save her, she's going to die.\Plus, she looks just like a very close friend of mine.\If I just let her die...\I feel like I'd never be able to smile at her again.\Oh, very well. I'll tell you how you can win.\Thank you so much!\But you'd better not die.\I'll go all the way to Hell to punch you if you do. response:	Y-You don't mean Heaven?
context: Plus, she looks just like a very close friend of mine.\If I just let her die...\I feel like I'd never be able to smile at her again.\Oh, very well. I'll tell you how you can win.\Thank you so much!\But you'd better not die.\I'll go all the way to Hell to punch you if you do.\Y-You don't mean Heaven? response:	Well, I won't be going to Heaven.
context: If I just let her die...\I feel like I'd never be able to smile at her again.\Oh, very well. I'll tell you how you can win.\Thank you so much!\But you'd better not die.\I'll go all the way to Hell to punch you if you do.\Y-You don't mean Heaven?\Well, I won't be going to Heaven. response:	I'm a bad girl, after all!
context: I feel like I'd never be able to smile at her again.\Oh, very well. I'll tell you how you can win.\Thank you so much!\But you'd better not die.\I'll go all the way to Hell to punch you if you do.\Y-You don't mean Heaven?\Well, I won't be going to Heaven.\I'm a bad girl, after all! response:	7th Floor Again
context: Oh, very well. I'll tell you how you can win.\Thank you so much!\But you'd better not die.\I'll go all the way to Hell to punch you if you do.\Y-You don't mean Heaven?\Well, I won't be going to Heaven.\I'm a bad girl, after all!\7th Floor Again response:	We found the Golden Bee's nest using Dory's Forest Sensitivity skill.
context: Thank you so much!\But you'd better not die.\I'll go all the way to Hell to punch you if you do.\Y-You don't mean Heaven?\Well, I won't be going to Heaven.\I'm a bad girl, after all!\7th Floor Again\We found the Golden Bee's nest using Dory's Forest Sensitivity skill. response:	It hasn't noticed us.
context: But you'd better not die.\I'll go all the way to Hell to punch you if you do.\Y-You don't mean Heaven?\Well, I won't be going to Heaven.\I'm a bad girl, after all!\7th Floor Again\We found the Golden Bee's nest using Dory's Forest Sensitivity skill.\It hasn't noticed us. response:	Yeah. First, let's go forward with step one of our plan.
context: I'll go all the way to Hell to punch you if you do.\Y-You don't mean Heaven?\Well, I won't be going to Heaven.\I'm a bad girl, after all!\7th Floor Again\We found the Golden Bee's nest using Dory's Forest Sensitivity skill.\It hasn't noticed us.\Yeah. First, let's go forward with step one of our plan. response:	I'll Get Creative, create the skill Target,
context: Y-You don't mean Heaven?\Well, I won't be going to Heaven.\I'm a bad girl, after all!\7th Floor Again\We found the Golden Bee's nest using Dory's Forest Sensitivity skill.\It hasn't noticed us.\Yeah. First, let's go forward with step one of our plan.\I'll Get Creative, create the skill Target, response:	and use it on the Golden Bee.
context: Well, I won't be going to Heaven.\I'm a bad girl, after all!\7th Floor Again\We found the Golden Bee's nest using Dory's Forest Sensitivity skill.\It hasn't noticed us.\Yeah. First, let's go forward with step one of our plan.\I'll Get Creative, create the skill Target,\and use it on the Golden Bee. response:	Target
context: I'm a bad girl, after all!\7th Floor Again\We found the Golden Bee's nest using Dory's Forest Sensitivity skill.\It hasn't noticed us.\Yeah. First, let's go forward with step one of our plan.\I'll Get Creative, create the skill Target,\and use it on the Golden Bee.\Target response:	Allows hostile enemies to target the skill holder more easily.
context: 7th Floor Again\We found the Golden Bee's nest using Dory's Forest Sensitivity skill.\It hasn't noticed us.\Yeah. First, let's go forward with step one of our plan.\I'll Get Creative, create the skill Target,\and use it on the Golden Bee.\Target\Allows hostile enemies to target the skill holder more easily. response:	And then, the second step...
context: We found the Golden Bee's nest using Dory's Forest Sensitivity skill.\It hasn't noticed us.\Yeah. First, let's go forward with step one of our plan.\I'll Get Creative, create the skill Target,\and use it on the Golden Bee.\Target\Allows hostile enemies to target the skill holder more easily.\And then, the second step... response:	This is where it gets dangerous.
context: It hasn't noticed us.\Yeah. First, let's go forward with step one of our plan.\I'll Get Creative, create the skill Target,\and use it on the Golden Bee.\Target\Allows hostile enemies to target the skill holder more easily.\And then, the second step...\This is where it gets dangerous. response:	You go hide somewhere, Dory.
context: Yeah. First, let's go forward with step one of our plan.\I'll Get Creative, create the skill Target,\and use it on the Golden Bee.\Target\Allows hostile enemies to target the skill holder more easily.\And then, the second step...\This is where it gets dangerous.\You go hide somewhere, Dory. response:	Okay.
context: I'll Get Creative, create the skill Target,\and use it on the Golden Bee.\Target\Allows hostile enemies to target the skill holder more easily.\And then, the second step...\This is where it gets dangerous.\You go hide somewhere, Dory.\Okay. response:	Make sure you come back safe.
context: and use it on the Golden Bee.\Target\Allows hostile enemies to target the skill holder more easily.\And then, the second step...\This is where it gets dangerous.\You go hide somewhere, Dory.\Okay.\Make sure you come back safe. response:	I-I will.
context: Target\Allows hostile enemies to target the skill holder more easily.\And then, the second step...\This is where it gets dangerous.\You go hide somewhere, Dory.\Okay.\Make sure you come back safe.\I-I will. response:	And the rest is up to me.
context: Allows hostile enemies to target the skill holder more easily.\And then, the second step...\This is where it gets dangerous.\You go hide somewhere, Dory.\Okay.\Make sure you come back safe.\I-I will.\And the rest is up to me. response:	Okay, this is just like that time with the dragon...
context: And then, the second step...\This is where it gets dangerous.\You go hide somewhere, Dory.\Okay.\Make sure you come back safe.\I-I will.\And the rest is up to me.\Okay, this is just like that time with the dragon... response:	Th-They're way faster!
context: This is where it gets dangerous.\You go hide somewhere, Dory.\Okay.\Make sure you come back safe.\I-I will.\And the rest is up to me.\Okay, this is just like that time with the dragon...\Th-They're way faster! response:	So far, so good. Now to make it to the Golden Bee's nest...
context: You go hide somewhere, Dory.\Okay.\Make sure you come back safe.\I-I will.\And the rest is up to me.\Okay, this is just like that time with the dragon...\Th-They're way faster!\So far, so good. Now to make it to the Golden Bee's nest... response:	N-No! It was just at the nest...
context: Okay.\Make sure you come back safe.\I-I will.\And the rest is up to me.\Okay, this is just like that time with the dragon...\Th-They're way faster!\So far, so good. Now to make it to the Golden Bee's nest...\N-No! It was just at the nest... response:	The Hidden Dungeon Only I Can Enter!
context: Make sure you come back safe.\I-I will.\And the rest is up to me.\Okay, this is just like that time with the dragon...\Th-They're way faster!\So far, so good. Now to make it to the Golden Bee's nest...\N-No! It was just at the nest...\The Hidden Dungeon Only I Can Enter! response:	Lightning Strike!
context: I-I will.\And the rest is up to me.\Okay, this is just like that time with the dragon...\Th-They're way faster!\So far, so good. Now to make it to the Golden Bee's nest...\N-No! It was just at the nest...\The Hidden Dungeon Only I Can Enter!\Lightning Strike! response:	It's fast!
context: And the rest is up to me.\Okay, this is just like that time with the dragon...\Th-They're way faster!\So far, so good. Now to make it to the Golden Bee's nest...\N-No! It was just at the nest...\The Hidden Dungeon Only I Can Enter!\Lightning Strike!\It's fast! response:	I-It's no use. They keep coming straight for me.
context: Okay, this is just like that time with the dragon...\Th-They're way faster!\So far, so good. Now to make it to the Golden Bee's nest...\N-No! It was just at the nest...\The Hidden Dungeon Only I Can Enter!\Lightning Strike!\It's fast!\I-It's no use. They keep coming straight for me. response:	I-I know! The Target skill I Bestowed earlier!
context: Th-They're way faster!\So far, so good. Now to make it to the Golden Bee's nest...\N-No! It was just at the nest...\The Hidden Dungeon Only I Can Enter!\Lightning Strike!\It's fast!\I-It's no use. They keep coming straight for me.\I-I know! The Target skill I Bestowed earlier! response:	Target
context: So far, so good. Now to make it to the Golden Bee's nest...\N-No! It was just at the nest...\The Hidden Dungeon Only I Can Enter!\Lightning Strike!\It's fast!\I-It's no use. They keep coming straight for me.\I-I know! The Target skill I Bestowed earlier!\Target response:	Allows hostile enemies to target the skill holder more easily.
context: N-No! It was just at the nest...\The Hidden Dungeon Only I Can Enter!\Lightning Strike!\It's fast!\I-It's no use. They keep coming straight for me.\I-I know! The Target skill I Bestowed earlier!\Target\Allows hostile enemies to target the skill holder more easily. response:	Target
context: The Hidden Dungeon Only I Can Enter!\Lightning Strike!\It's fast!\I-It's no use. They keep coming straight for me.\I-I know! The Target skill I Bestowed earlier!\Target\Allows hostile enemies to target the skill holder more easily.\Target response:	Allows hostile enemies to target the skill holder more easily.
context: Lightning Strike!\It's fast!\I-It's no use. They keep coming straight for me.\I-I know! The Target skill I Bestowed earlier!\Target\Allows hostile enemies to target the skill holder more easily.\Target\Allows hostile enemies to target the skill holder more easily. response:	I can use Editor!
context: It's fast!\I-It's no use. They keep coming straight for me.\I-I know! The Target skill I Bestowed earlier!\Target\Allows hostile enemies to target the skill holder more easily.\Target\Allows hostile enemies to target the skill holder more easily.\I can use Editor! response:	Target
context: I-It's no use. They keep coming straight for me.\I-I know! The Target skill I Bestowed earlier!\Target\Allows hostile enemies to target the skill holder more easily.\Target\Allows hostile enemies to target the skill holder more easily.\I can use Editor!\Target response:	Allows hostile enemies to target the skill holder more easily, especially by Silver Wolves, who will consider it their natural enemy.
context: I-I know! The Target skill I Bestowed earlier!\Target\Allows hostile enemies to target the skill holder more easily.\Target\Allows hostile enemies to target the skill holder more easily.\I can use Editor!\Target\Allows hostile enemies to target the skill holder more easily, especially by Silver Wolves, who will consider it their natural enemy. response:	So how do the monsters in the forest on the seventh floor get along?
context: Target\Allows hostile enemies to target the skill holder more easily.\Target\Allows hostile enemies to target the skill holder more easily.\I can use Editor!\Target\Allows hostile enemies to target the skill holder more easily, especially by Silver Wolves, who will consider it their natural enemy.\So how do the monsters in the forest on the seventh floor get along? response:	From what I saw, the Silver Wolves really seemed to look out for each other.
context: Allows hostile enemies to target the skill holder more easily.\Target\Allows hostile enemies to target the skill holder more easily.\I can use Editor!\Target\Allows hostile enemies to target the skill holder more easily, especially by Silver Wolves, who will consider it their natural enemy.\So how do the monsters in the forest on the seventh floor get along?\From what I saw, the Silver Wolves really seemed to look out for each other. response:	That might work to your advantage.
context: Target\Allows hostile enemies to target the skill holder more easily.\I can use Editor!\Target\Allows hostile enemies to target the skill holder more easily, especially by Silver Wolves, who will consider it their natural enemy.\So how do the monsters in the forest on the seventh floor get along?\From what I saw, the Silver Wolves really seemed to look out for each other.\That might work to your advantage. response:	I call it the... Yesterday's Enemy Is Today's Pawn strategy!
context: Allows hostile enemies to target the skill holder more easily.\I can use Editor!\Target\Allows hostile enemies to target the skill holder more easily, especially by Silver Wolves, who will consider it their natural enemy.\So how do the monsters in the forest on the seventh floor get along?\From what I saw, the Silver Wolves really seemed to look out for each other.\That might work to your advantage.\I call it the... Yesterday's Enemy Is Today's Pawn strategy! response:	Whatcha think?
context: I can use Editor!\Target\Allows hostile enemies to target the skill holder more easily, especially by Silver Wolves, who will consider it their natural enemy.\So how do the monsters in the forest on the seventh floor get along?\From what I saw, the Silver Wolves really seemed to look out for each other.\That might work to your advantage.\I call it the... Yesterday's Enemy Is Today's Pawn strategy!\Whatcha think? response:	Whatcha think?
context: Target\Allows hostile enemies to target the skill holder more easily, especially by Silver Wolves, who will consider it their natural enemy.\So how do the monsters in the forest on the seventh floor get along?\From what I saw, the Silver Wolves really seemed to look out for each other.\That might work to your advantage.\I call it the... Yesterday's Enemy Is Today's Pawn strategy!\Whatcha think?\Whatcha think? response:	Dory!
context: Allows hostile enemies to target the skill holder more easily, especially by Silver Wolves, who will consider it their natural enemy.\So how do the monsters in the forest on the seventh floor get along?\From what I saw, the Silver Wolves really seemed to look out for each other.\That might work to your advantage.\I call it the... Yesterday's Enemy Is Today's Pawn strategy!\Whatcha think?\Whatcha think?\Dory! response:	Nory...
context: So how do the monsters in the forest on the seventh floor get along?\From what I saw, the Silver Wolves really seemed to look out for each other.\That might work to your advantage.\I call it the... Yesterday's Enemy Is Today's Pawn strategy!\Whatcha think?\Whatcha think?\Dory!\Nory... response:	You'll be fine now. All that's left is...
context: From what I saw, the Silver Wolves really seemed to look out for each other.\That might work to your advantage.\I call it the... Yesterday's Enemy Is Today's Pawn strategy!\Whatcha think?\Whatcha think?\Dory!\Nory...\You'll be fine now. All that's left is... response:	Water Drop
context: That might work to your advantage.\I call it the... Yesterday's Enemy Is Today's Pawn strategy!\Whatcha think?\Whatcha think?\Dory!\Nory...\You'll be fine now. All that's left is...\Water Drop response:	Creates a drop of fresh water. Droplets may be fired.
context: I call it the... Yesterday's Enemy Is Today's Pawn strategy!\Whatcha think?\Whatcha think?\Dory!\Nory...\You'll be fine now. All that's left is...\Water Drop\Creates a drop of fresh water. Droplets may be fired. response:	I'll use Editor on Water Drop.
context: Whatcha think?\Whatcha think?\Dory!\Nory...\You'll be fine now. All that's left is...\Water Drop\Creates a drop of fresh water. Droplets may be fired.\I'll use Editor on Water Drop. response:	Creates a drop of fresh or sea water. Droplets may be fired.
context: Whatcha think?\Dory!\Nory...\You'll be fine now. All that's left is...\Water Drop\Creates a drop of fresh water. Droplets may be fired.\I'll use Editor on Water Drop.\Creates a drop of fresh or sea water. Droplets may be fired. response:	Sea water conducts electricity better. Now...
context: Dory!\Nory...\You'll be fine now. All that's left is...\Water Drop\Creates a drop of fresh water. Droplets may be fired.\I'll use Editor on Water Drop.\Creates a drop of fresh or sea water. Droplets may be fired.\Sea water conducts electricity better. Now... response:	I can go for it!
context: Nory...\You'll be fine now. All that's left is...\Water Drop\Creates a drop of fresh water. Droplets may be fired.\I'll use Editor on Water Drop.\Creates a drop of fresh or sea water. Droplets may be fired.\Sea water conducts electricity better. Now...\I can go for it! response:	Lightning strengthening skill! Water Drop x Lightning Strike!
context: You'll be fine now. All that's left is...\Water Drop\Creates a drop of fresh water. Droplets may be fired.\I'll use Editor on Water Drop.\Creates a drop of fresh or sea water. Droplets may be fired.\Sea water conducts electricity better. Now...\I can go for it!\Lightning strengthening skill! Water Drop x Lightning Strike! response:	It's over now, Dory.
context: Water Drop\Creates a drop of fresh water. Droplets may be fired.\I'll use Editor on Water Drop.\Creates a drop of fresh or sea water. Droplets may be fired.\Sea water conducts electricity better. Now...\I can go for it!\Lightning strengthening skill! Water Drop x Lightning Strike!\It's over now, Dory. response:	I'm sorry... I couldn't help at all.
context: Creates a drop of fresh water. Droplets may be fired.\I'll use Editor on Water Drop.\Creates a drop of fresh or sea water. Droplets may be fired.\Sea water conducts electricity better. Now...\I can go for it!\Lightning strengthening skill! Water Drop x Lightning Strike!\It's over now, Dory.\I'm sorry... I couldn't help at all. response:	No, that's not true.
context: I'll use Editor on Water Drop.\Creates a drop of fresh or sea water. Droplets may be fired.\Sea water conducts electricity better. Now...\I can go for it!\Lightning strengthening skill! Water Drop x Lightning Strike!\It's over now, Dory.\I'm sorry... I couldn't help at all.\No, that's not true. response:	You managed to give me more LP.
context: Creates a drop of fresh or sea water. Droplets may be fired.\Sea water conducts electricity better. Now...\I can go for it!\Lightning strengthening skill! Water Drop x Lightning Strike!\It's over now, Dory.\I'm sorry... I couldn't help at all.\No, that's not true.\You managed to give me more LP. response:	Huh?
context: Sea water conducts electricity better. Now...\I can go for it!\Lightning strengthening skill! Water Drop x Lightning Strike!\It's over now, Dory.\I'm sorry... I couldn't help at all.\No, that's not true.\You managed to give me more LP.\Huh? response:	A-Anyway, the reason we were able to take down such a powerful enemy
context: I can go for it!\Lightning strengthening skill! Water Drop x Lightning Strike!\It's over now, Dory.\I'm sorry... I couldn't help at all.\No, that's not true.\You managed to give me more LP.\Huh?\A-Anyway, the reason we were able to take down such a powerful enemy response:	is because we worked together.
context: Lightning strengthening skill! Water Drop x Lightning Strike!\It's over now, Dory.\I'm sorry... I couldn't help at all.\No, that's not true.\You managed to give me more LP.\Huh?\A-Anyway, the reason we were able to take down such a powerful enemy\is because we worked together. response:	Right!
context: It's over now, Dory.\I'm sorry... I couldn't help at all.\No, that's not true.\You managed to give me more LP.\Huh?\A-Anyway, the reason we were able to take down such a powerful enemy\is because we worked together.\Right! response:	Right in there is where you'll find what I wanted to give you as thanks.
context: I'm sorry... I couldn't help at all.\No, that's not true.\You managed to give me more LP.\Huh?\A-Anyway, the reason we were able to take down such a powerful enemy\is because we worked together.\Right!\Right in there is where you'll find what I wanted to give you as thanks. response:	Oh, I see them. But it's a pretty tight squeeze...
context: No, that's not true.\You managed to give me more LP.\Huh?\A-Anyway, the reason we were able to take down such a powerful enemy\is because we worked together.\Right!\Right in there is where you'll find what I wanted to give you as thanks.\Oh, I see them. But it's a pretty tight squeeze... response:	Then I'll go get them for you.
context: You managed to give me more LP.\Huh?\A-Anyway, the reason we were able to take down such a powerful enemy\is because we worked together.\Right!\Right in there is where you'll find what I wanted to give you as thanks.\Oh, I see them. But it's a pretty tight squeeze...\Then I'll go get them for you. response:	These were the two items inside the treasure chests.
context: Huh?\A-Anyway, the reason we were able to take down such a powerful enemy\is because we worked together.\Right!\Right in there is where you'll find what I wanted to give you as thanks.\Oh, I see them. But it's a pretty tight squeeze...\Then I'll go get them for you.\These were the two items inside the treasure chests. response:	I wonder what they are.
context: A-Anyway, the reason we were able to take down such a powerful enemy\is because we worked together.\Right!\Right in there is where you'll find what I wanted to give you as thanks.\Oh, I see them. But it's a pretty tight squeeze...\Then I'll go get them for you.\These were the two items inside the treasure chests.\I wonder what they are. response:	These are...
context: is because we worked together.\Right!\Right in there is where you'll find what I wanted to give you as thanks.\Oh, I see them. But it's a pretty tight squeeze...\Then I'll go get them for you.\These were the two items inside the treasure chests.\I wonder what they are.\These are... response:	Get Creative and Create the skill Discerning Eye for Items.
context: Right!\Right in there is where you'll find what I wanted to give you as thanks.\Oh, I see them. But it's a pretty tight squeeze...\Then I'll go get them for you.\These were the two items inside the treasure chests.\I wonder what they are.\These are...\Get Creative and Create the skill Discerning Eye for Items. response:	Wind Selection
context: Right in there is where you'll find what I wanted to give you as thanks.\Oh, I see them. But it's a pretty tight squeeze...\Then I'll go get them for you.\These were the two items inside the treasure chests.\I wonder what they are.\These are...\Get Creative and Create the skill Discerning Eye for Items.\Wind Selection response:	Grade A
context: Oh, I see them. But it's a pretty tight squeeze...\Then I'll go get them for you.\These were the two items inside the treasure chests.\I wonder what they are.\These are...\Get Creative and Create the skill Discerning Eye for Items.\Wind Selection\Grade A response:	This'd be great for Emma, since she has the wind attribute!
context: Then I'll go get them for you.\These were the two items inside the treasure chests.\I wonder what they are.\These are...\Get Creative and Create the skill Discerning Eye for Items.\Wind Selection\Grade A\This'd be great for Emma, since she has the wind attribute! response:	And this...
context: These were the two items inside the treasure chests.\I wonder what they are.\These are...\Get Creative and Create the skill Discerning Eye for Items.\Wind Selection\Grade A\This'd be great for Emma, since she has the wind attribute!\And this... response:	Fruitful Drop
context: I wonder what they are.\These are...\Get Creative and Create the skill Discerning Eye for Items.\Wind Selection\Grade A\This'd be great for Emma, since she has the wind attribute!\And this...\Fruitful Drop response:	Grade AAA
context: These are...\Get Creative and Create the skill Discerning Eye for Items.\Wind Selection\Grade A\This'd be great for Emma, since she has the wind attribute!\And this...\Fruitful Drop\Grade AAA response:	Yes! This is amazing!
context: Get Creative and Create the skill Discerning Eye for Items.\Wind Selection\Grade A\This'd be great for Emma, since she has the wind attribute!\And this...\Fruitful Drop\Grade AAA\Yes! This is amazing! response:	This was definitely worth all the trouble!
context: Wind Selection\Grade A\This'd be great for Emma, since she has the wind attribute!\And this...\Fruitful Drop\Grade AAA\Yes! This is amazing!\This was definitely worth all the trouble! response:	Thanks, Dory!
context: Grade A\This'd be great for Emma, since she has the wind attribute!\And this...\Fruitful Drop\Grade AAA\Yes! This is amazing!\This was definitely worth all the trouble!\Thanks, Dory! response:	I'm so happy.
context: This'd be great for Emma, since she has the wind attribute!\And this...\Fruitful Drop\Grade AAA\Yes! This is amazing!\This was definitely worth all the trouble!\Thanks, Dory!\I'm so happy. response:	Wow, this place was really hard to find. I never would've found it on my own.
context: And this...\Fruitful Drop\Grade AAA\Yes! This is amazing!\This was definitely worth all the trouble!\Thanks, Dory!\I'm so happy.\Wow, this place was really hard to find. I never would've found it on my own. response:	Thanks.
context: Fruitful Drop\Grade AAA\Yes! This is amazing!\This was definitely worth all the trouble!\Thanks, Dory!\I'm so happy.\Wow, this place was really hard to find. I never would've found it on my own.\Thanks. response:	Dory?
context: Grade AAA\Yes! This is amazing!\This was definitely worth all the trouble!\Thanks, Dory!\I'm so happy.\Wow, this place was really hard to find. I never would've found it on my own.\Thanks.\Dory? response:	Nory, are you leaving already?
context: Yes! This is amazing!\This was definitely worth all the trouble!\Thanks, Dory!\I'm so happy.\Wow, this place was really hard to find. I never would've found it on my own.\Thanks.\Dory?\Nory, are you leaving already? response:	We'll see each other again soon.
context: This was definitely worth all the trouble!\Thanks, Dory!\I'm so happy.\Wow, this place was really hard to find. I never would've found it on my own.\Thanks.\Dory?\Nory, are you leaving already?\We'll see each other again soon. response:	Next time, I'll bring something yummy from my world.
context: Thanks, Dory!\I'm so happy.\Wow, this place was really hard to find. I never would've found it on my own.\Thanks.\Dory?\Nory, are you leaving already?\We'll see each other again soon.\Next time, I'll bring something yummy from my world. response:	Really?
context: I'm so happy.\Wow, this place was really hard to find. I never would've found it on my own.\Thanks.\Dory?\Nory, are you leaving already?\We'll see each other again soon.\Next time, I'll bring something yummy from my world.\Really? response:	Yeah. Let's keep doing our best together!
context: Wow, this place was really hard to find. I never would've found it on my own.\Thanks.\Dory?\Nory, are you leaving already?\We'll see each other again soon.\Next time, I'll bring something yummy from my world.\Really?\Yeah. Let's keep doing our best together! response:	Right.
context: Thanks.\Dory?\Nory, are you leaving already?\We'll see each other again soon.\Next time, I'll bring something yummy from my world.\Really?\Yeah. Let's keep doing our best together!\Right. response:	I then gave the rare item to Lola...
context: Dory?\Nory, are you leaving already?\We'll see each other again soon.\Next time, I'll bring something yummy from my world.\Really?\Yeah. Let's keep doing our best together!\Right.\I then gave the rare item to Lola... response:	And the day of her battle against Sarah finally arrived.
context: Nory, are you leaving already?\We'll see each other again soon.\Next time, I'll bring something yummy from my world.\Really?\Yeah. Let's keep doing our best together!\Right.\I then gave the rare item to Lola...\And the day of her battle against Sarah finally arrived. response:	I will now announce the receptionist ranking for the Adventurer Guild Odin.
context: We'll see each other again soon.\Next time, I'll bring something yummy from my world.\Really?\Yeah. Let's keep doing our best together!\Right.\I then gave the rare item to Lola...\And the day of her battle against Sarah finally arrived.\I will now announce the receptionist ranking for the Adventurer Guild Odin. response:	We've been waiting for this!
context: Next time, I'll bring something yummy from my world.\Really?\Yeah. Let's keep doing our best together!\Right.\I then gave the rare item to Lola...\And the day of her battle against Sarah finally arrived.\I will now announce the receptionist ranking for the Adventurer Guild Odin.\We've been waiting for this! response:	We've already converted each receptionist's scores into chips,
context: Really?\Yeah. Let's keep doing our best together!\Right.\I then gave the rare item to Lola...\And the day of her battle against Sarah finally arrived.\I will now announce the receptionist ranking for the Adventurer Guild Odin.\We've been waiting for this!\We've already converted each receptionist's scores into chips, response:	which have been given to their respective adventurers.
context: Yeah. Let's keep doing our best together!\Right.\I then gave the rare item to Lola...\And the day of her battle against Sarah finally arrived.\I will now announce the receptionist ranking for the Adventurer Guild Odin.\We've been waiting for this!\We've already converted each receptionist's scores into chips,\which have been given to their respective adventurers. response:	Each adventurer will reveal one chip at a time,
context: Right.\I then gave the rare item to Lola...\And the day of her battle against Sarah finally arrived.\I will now announce the receptionist ranking for the Adventurer Guild Odin.\We've been waiting for this!\We've already converted each receptionist's scores into chips,\which have been given to their respective adventurers.\Each adventurer will reveal one chip at a time, response:	and the last one remaining will be the victor.
context: I then gave the rare item to Lola...\And the day of her battle against Sarah finally arrived.\I will now announce the receptionist ranking for the Adventurer Guild Odin.\We've been waiting for this!\We've already converted each receptionist's scores into chips,\which have been given to their respective adventurers.\Each adventurer will reveal one chip at a time,\and the last one remaining will be the victor. response:	Hurry it up!
context: And the day of her battle against Sarah finally arrived.\I will now announce the receptionist ranking for the Adventurer Guild Odin.\We've been waiting for this!\We've already converted each receptionist's scores into chips,\which have been given to their respective adventurers.\Each adventurer will reveal one chip at a time,\and the last one remaining will be the victor.\Hurry it up! response:	All right. Let the count... begin!
context: I will now announce the receptionist ranking for the Adventurer Guild Odin.\We've been waiting for this!\We've already converted each receptionist's scores into chips,\which have been given to their respective adventurers.\Each adventurer will reveal one chip at a time,\and the last one remaining will be the victor.\Hurry it up!\All right. Let the count... begin! response:	The chips were placed one by one,
context: We've been waiting for this!\We've already converted each receptionist's scores into chips,\which have been given to their respective adventurers.\Each adventurer will reveal one chip at a time,\and the last one remaining will be the victor.\Hurry it up!\All right. Let the count... begin!\The chips were placed one by one, response:	and the other adventurers around me tapped out one after another.
context: We've already converted each receptionist's scores into chips,\which have been given to their respective adventurers.\Each adventurer will reveal one chip at a time,\and the last one remaining will be the victor.\Hurry it up!\All right. Let the count... begin!\The chips were placed one by one,\and the other adventurers around me tapped out one after another. response:	And then...
context: which have been given to their respective adventurers.\Each adventurer will reveal one chip at a time,\and the last one remaining will be the victor.\Hurry it up!\All right. Let the count... begin!\The chips were placed one by one,\and the other adventurers around me tapped out one after another.\And then... response:	Only two remain. It all comes down to Sarah and Lola.
context: Each adventurer will reveal one chip at a time,\and the last one remaining will be the victor.\Hurry it up!\All right. Let the count... begin!\The chips were placed one by one,\and the other adventurers around me tapped out one after another.\And then...\Only two remain. It all comes down to Sarah and Lola. response:	I knew it'd be these two!
context: and the last one remaining will be the victor.\Hurry it up!\All right. Let the count... begin!\The chips were placed one by one,\and the other adventurers around me tapped out one after another.\And then...\Only two remain. It all comes down to Sarah and Lola.\I knew it'd be these two! response:	You've both got this!
context: Hurry it up!\All right. Let the count... begin!\The chips were placed one by one,\and the other adventurers around me tapped out one after another.\And then...\Only two remain. It all comes down to Sarah and Lola.\I knew it'd be these two!\You've both got this! response:	Has Lola run out of points?
