context: Inside the human body, response:	roughly 37.2 trillion cells work energetically,
context: Okay, dammit, is this the place? Where are those viruses at?\KILLER T CELLS (CYTOTOXIC T CELLS): Mobilize under orders from the Helper T Cells. They kill virus-infected cells, cancer cells and the like.\The Killer T Cells are here to wipe'em all out!\Macrophage, thank you for your hard work!\Thank you for your hard work!\And thank you, as well!\Hey, so you're here, too.\Yeah. response:	Hey, Naive!
context: KILLER T CELLS (CYTOTOXIC T CELLS): Mobilize under orders from the Helper T Cells. They kill virus-infected cells, cancer cells and the like.\The Killer T Cells are here to wipe'em all out!\Macrophage, thank you for your hard work!\Thank you for your hard work!\And thank you, as well!\Hey, so you're here, too.\Yeah.\Hey, Naive! response:	You let someone else do your work for you again, huh?
context: The Killer T Cells are here to wipe'em all out!\Macrophage, thank you for your hard work!\Thank you for your hard work!\And thank you, as well!\Hey, so you're here, too.\Yeah.\Hey, Naive!\You let someone else do your work for you again, huh? response:	When are you gonna learn to pull your own weight?
context: Macrophage, thank you for your hard work!\Thank you for your hard work!\And thank you, as well!\Hey, so you're here, too.\Yeah.\Hey, Naive!\You let someone else do your work for you again, huh?\When are you gonna learn to pull your own weight? response:	And you call yourself a T Cell like us?
context: Thank you for your hard work!\And thank you, as well!\Hey, so you're here, too.\Yeah.\Hey, Naive!\You let someone else do your work for you again, huh?\When are you gonna learn to pull your own weight?\And you call yourself a T Cell like us? response:	S-S-S-S-S-Sorry! I'm so sorry!
context: And thank you, as well!\Hey, so you're here, too.\Yeah.\Hey, Naive!\You let someone else do your work for you again, huh?\When are you gonna learn to pull your own weight?\And you call yourself a T Cell like us?\S-S-S-S-S-Sorry! I'm so sorry! response:	I see. So the senpais like to bust his chops, huh?
context: Hey, so you're here, too.\Yeah.\Hey, Naive!\You let someone else do your work for you again, huh?\When are you gonna learn to pull your own weight?\And you call yourself a T Cell like us?\S-S-S-S-S-Sorry! I'm so sorry!\I see. So the senpais like to bust his chops, huh? response:	Yoo-hoo! We're here as backup.
context: Yeah.\Hey, Naive!\You let someone else do your work for you again, huh?\When are you gonna learn to pull your own weight?\And you call yourself a T Cell like us?\S-S-S-S-S-Sorry! I'm so sorry!\I see. So the senpais like to bust his chops, huh?\Yoo-hoo! We're here as backup. response:	Hey, there's still a whole horde of them over there!
context: Hey, Naive!\You let someone else do your work for you again, huh?\When are you gonna learn to pull your own weight?\And you call yourself a T Cell like us?\S-S-S-S-S-Sorry! I'm so sorry!\I see. So the senpais like to bust his chops, huh?\Yoo-hoo! We're here as backup.\Hey, there's still a whole horde of them over there! response:	Let's see you slaughter at least one of them this time, ya hear me, you little punk?
context: You let someone else do your work for you again, huh?\When are you gonna learn to pull your own weight?\And you call yourself a T Cell like us?\S-S-S-S-S-Sorry! I'm so sorry!\I see. So the senpais like to bust his chops, huh?\Yoo-hoo! We're here as backup.\Hey, there's still a whole horde of them over there!\Let's see you slaughter at least one of them this time, ya hear me, you little punk? response:	Got that?
context: When are you gonna learn to pull your own weight?\And you call yourself a T Cell like us?\S-S-S-S-S-Sorry! I'm so sorry!\I see. So the senpais like to bust his chops, huh?\Yoo-hoo! We're here as backup.\Hey, there's still a whole horde of them over there!\Let's see you slaughter at least one of them this time, ya hear me, you little punk?\Got that? response:	C'mon, dammit!
context: And you call yourself a T Cell like us?\S-S-S-S-S-Sorry! I'm so sorry!\I see. So the senpais like to bust his chops, huh?\Yoo-hoo! We're here as backup.\Hey, there's still a whole horde of them over there!\Let's see you slaughter at least one of them this time, ya hear me, you little punk?\Got that?\C'mon, dammit! response:	Could you give me a yank?
context: S-S-S-S-S-Sorry! I'm so sorry!\I see. So the senpais like to bust his chops, huh?\Yoo-hoo! We're here as backup.\Hey, there's still a whole horde of them over there!\Let's see you slaughter at least one of them this time, ya hear me, you little punk?\Got that?\C'mon, dammit!\Could you give me a yank? response:	Sure.
context: I see. So the senpais like to bust his chops, huh?\Yoo-hoo! We're here as backup.\Hey, there's still a whole horde of them over there!\Let's see you slaughter at least one of them this time, ya hear me, you little punk?\Got that?\C'mon, dammit!\Could you give me a yank?\Sure. response:	Obliterate every last one of them!
context: Yoo-hoo! We're here as backup.\Hey, there's still a whole horde of them over there!\Let's see you slaughter at least one of them this time, ya hear me, you little punk?\Got that?\C'mon, dammit!\Could you give me a yank?\Sure.\Obliterate every last one of them! response:	MEMORIES Memories of viruses
context: Hey, there's still a whole horde of them over there!\Let's see you slaughter at least one of them this time, ya hear me, you little punk?\Got that?\C'mon, dammit!\Could you give me a yank?\Sure.\Obliterate every last one of them!\MEMORIES Memories of viruses response:	Listen up! Don't let your guard down, any of you!
context: Let's see you slaughter at least one of them this time, ya hear me, you little punk?\Got that?\C'mon, dammit!\Could you give me a yank?\Sure.\Obliterate every last one of them!\MEMORIES Memories of viruses\Listen up! Don't let your guard down, any of you! response:	MEMORY T CELL: Part of the Killer T Cells. Equipped to attack again when an enemy reappears for the second time.
context: Got that?\C'mon, dammit!\Could you give me a yank?\Sure.\Obliterate every last one of them!\MEMORIES Memories of viruses\Listen up! Don't let your guard down, any of you!\MEMORY T CELL: Part of the Killer T Cells. Equipped to attack again when an enemy reappears for the second time. response:	According to my memory of encountering those guys,
context: C'mon, dammit!\Could you give me a yank?\Sure.\Obliterate every last one of them!\MEMORIES Memories of viruses\Listen up! Don't let your guard down, any of you!\MEMORY T CELL: Part of the Killer T Cells. Equipped to attack again when an enemy reappears for the second time.\According to my memory of encountering those guys, response:	compared to bacteria, the influenza virus's proliferation speed is on a different level!
context: Could you give me a yank?\Sure.\Obliterate every last one of them!\MEMORIES Memories of viruses\Listen up! Don't let your guard down, any of you!\MEMORY T CELL: Part of the Killer T Cells. Equipped to attack again when an enemy reappears for the second time.\According to my memory of encountering those guys,\compared to bacteria, the influenza virus's proliferation speed is on a different level! response:	Right, Memory T Cell!
context: Sure.\Obliterate every last one of them!\MEMORIES Memories of viruses\Listen up! Don't let your guard down, any of you!\MEMORY T CELL: Part of the Killer T Cells. Equipped to attack again when an enemy reappears for the second time.\According to my memory of encountering those guys,\compared to bacteria, the influenza virus's proliferation speed is on a different level!\Right, Memory T Cell! response:	Memory...
context: Obliterate every last one of them!\MEMORIES Memories of viruses\Listen up! Don't let your guard down, any of you!\MEMORY T CELL: Part of the Killer T Cells. Equipped to attack again when an enemy reappears for the second time.\According to my memory of encountering those guys,\compared to bacteria, the influenza virus's proliferation speed is on a different level!\Right, Memory T Cell!\Memory... response:	Kill'em all!
context: MEMORIES Memories of viruses\Listen up! Don't let your guard down, any of you!\MEMORY T CELL: Part of the Killer T Cells. Equipped to attack again when an enemy reappears for the second time.\According to my memory of encountering those guys,\compared to bacteria, the influenza virus's proliferation speed is on a different level!\Right, Memory T Cell!\Memory...\Kill'em all! response:	Don't allow any more common cell casualties!
context: Listen up! Don't let your guard down, any of you!\MEMORY T CELL: Part of the Killer T Cells. Equipped to attack again when an enemy reappears for the second time.\According to my memory of encountering those guys,\compared to bacteria, the influenza virus's proliferation speed is on a different level!\Right, Memory T Cell!\Memory...\Kill'em all!\Don't allow any more common cell casualties! response:	Eradicate those viruses once and for all!
context: MEMORY T CELL: Part of the Killer T Cells. Equipped to attack again when an enemy reappears for the second time.\According to my memory of encountering those guys,\compared to bacteria, the influenza virus's proliferation speed is on a different level!\Right, Memory T Cell!\Memory...\Kill'em all!\Don't allow any more common cell casualties!\Eradicate those viruses once and for all! response:	Hey! You join in, too!
context: According to my memory of encountering those guys,\compared to bacteria, the influenza virus's proliferation speed is on a different level!\Right, Memory T Cell!\Memory...\Kill'em all!\Don't allow any more common cell casualties!\Eradicate those viruses once and for all!\Hey! You join in, too! response:	Right!
context: compared to bacteria, the influenza virus's proliferation speed is on a different level!\Right, Memory T Cell!\Memory...\Kill'em all!\Don't allow any more common cell casualties!\Eradicate those viruses once and for all!\Hey! You join in, too!\Right! response:	Give it your best shot!
context: Right, Memory T Cell!\Memory...\Kill'em all!\Don't allow any more common cell casualties!\Eradicate those viruses once and for all!\Hey! You join in, too!\Right!\Give it your best shot! response:	Th-That's right.
context: Memory...\Kill'em all!\Don't allow any more common cell casualties!\Eradicate those viruses once and for all!\Hey! You join in, too!\Right!\Give it your best shot!\Th-That's right. response:	I've got to give it my all, too!
context: Kill'em all!\Don't allow any more common cell casualties!\Eradicate those viruses once and for all!\Hey! You join in, too!\Right!\Give it your best shot!\Th-That's right.\I've got to give it my all, too! response:	After all,
context: Don't allow any more common cell casualties!\Eradicate those viruses once and for all!\Hey! You join in, too!\Right!\Give it your best shot!\Th-That's right.\I've got to give it my all, too!\After all, response:	I'm a T Cell, too just like the senpais!
context: Eradicate those viruses once and for all!\Hey! You join in, too!\Right!\Give it your best shot!\Th-That's right.\I've got to give it my all, too!\After all,\I'm a T Cell, too just like the senpais! response:	Naive!
context: Hey! You join in, too!\Right!\Give it your best shot!\Th-That's right.\I've got to give it my all, too!\After all,\I'm a T Cell, too just like the senpais!\Naive! response:	Are you okay, Nai
context: Right!\Give it your best shot!\Th-That's right.\I've got to give it my all, too!\After all,\I'm a T Cell, too just like the senpais!\Naive!\Are you okay, Nai response:	Hey, you!
context: Give it your best shot!\Th-That's right.\I've got to give it my all, too!\After all,\I'm a T Cell, too just like the senpais!\Naive!\Are you okay, Nai\Hey, you! response:	What are you doing, spacing out like that?
context: Th-That's right.\I've got to give it my all, too!\After all,\I'm a T Cell, too just like the senpais!\Naive!\Are you okay, Nai\Hey, you!\What are you doing, spacing out like that? response:	He made a run for it.
context: I've got to give it my all, too!\After all,\I'm a T Cell, too just like the senpais!\Naive!\Are you okay, Nai\Hey, you!\What are you doing, spacing out like that?\He made a run for it. response:	Hey, Naive!
context: After all,\I'm a T Cell, too just like the senpais!\Naive!\Are you okay, Nai\Hey, you!\What are you doing, spacing out like that?\He made a run for it.\Hey, Naive! response:	Oh my...
context: I'm a T Cell, too just like the senpais!\Naive!\Are you okay, Nai\Hey, you!\What are you doing, spacing out like that?\He made a run for it.\Hey, Naive!\Oh my... response:	Just forget about him!
context: Naive!\Are you okay, Nai\Hey, you!\What are you doing, spacing out like that?\He made a run for it.\Hey, Naive!\Oh my...\Just forget about him! response:	For now, let's deal with the virus!
context: Are you okay, Nai\Hey, you!\What are you doing, spacing out like that?\He made a run for it.\Hey, Naive!\Oh my...\Just forget about him!\For now, let's deal with the virus! response:	Right!
context: Hey, you!\What are you doing, spacing out like that?\He made a run for it.\Hey, Naive!\Oh my...\Just forget about him!\For now, let's deal with the virus!\Right! response:	Did something happen?
context: What are you doing, spacing out like that?\He made a run for it.\Hey, Naive!\Oh my...\Just forget about him!\For now, let's deal with the virus!\Right!\Did something happen? response:	Run!
context: He made a run for it.\Hey, Naive!\Oh my...\Just forget about him!\For now, let's deal with the virus!\Right!\Did something happen?\Run! response:	U-Um, excuse me!
context: Hey, Naive!\Oh my...\Just forget about him!\For now, let's deal with the virus!\Right!\Did something happen?\Run!\U-Um, excuse me! response:	Is something going on?
context: Oh my...\Just forget about him!\For now, let's deal with the virus!\Right!\Did something happen?\Run!\U-Um, excuse me!\Is something going on? response:	There's been a report about a viral infection up there!
context: Just forget about him!\For now, let's deal with the virus!\Right!\Did something happen?\Run!\U-Um, excuse me!\Is something going on?\There's been a report about a viral infection up there! response:	Thank you very much!
context: For now, let's deal with the virus!\Right!\Did something happen?\Run!\U-Um, excuse me!\Is something going on?\There's been a report about a viral infection up there!\Thank you very much! response:	Senpai, what should we do?
context: Right!\Did something happen?\Run!\U-Um, excuse me!\Is something going on?\There's been a report about a viral infection up there!\Thank you very much!\Senpai, what should we do? response:	That's a good question.
context: Did something happen?\Run!\U-Um, excuse me!\Is something going on?\There's been a report about a viral infection up there!\Thank you very much!\Senpai, what should we do?\That's a good question. response:	I'm...
context: Run!\U-Um, excuse me!\Is something going on?\There's been a report about a viral infection up there!\Thank you very much!\Senpai, what should we do?\That's a good question.\I'm... response:	What's the matter?
context: U-Um, excuse me!\Is something going on?\There's been a report about a viral infection up there!\Thank you very much!\Senpai, what should we do?\That's a good question.\I'm...\What's the matter? response:	Hey, you're a T Cell, right?
context: Is something going on?\There's been a report about a viral infection up there!\Thank you very much!\Senpai, what should we do?\That's a good question.\I'm...\What's the matter?\Hey, you're a T Cell, right? response:	Did something happen?
context: There's been a report about a viral infection up there!\Thank you very much!\Senpai, what should we do?\That's a good question.\I'm...\What's the matter?\Hey, you're a T Cell, right?\Did something happen? response:	DENDRITIC CELLS Their role is to present bacteria that have invaded the body, and fragments of viral infection cells as antigens, and to notify other immune system cells. As their name implies, they feature protrusions.
context: Thank you very much!\Senpai, what should we do?\That's a good question.\I'm...\What's the matter?\Hey, you're a T Cell, right?\Did something happen?\DENDRITIC CELLS Their role is to present bacteria that have invaded the body, and fragments of viral infection cells as antigens, and to notify other immune system cells. As their name implies, they feature protrusions. response:	Dendritic Cell.
context: Senpai, what should we do?\That's a good question.\I'm...\What's the matter?\Hey, you're a T Cell, right?\Did something happen?\DENDRITIC CELLS Their role is to present bacteria that have invaded the body, and fragments of viral infection cells as antigens, and to notify other immune system cells. As their name implies, they feature protrusions.\Dendritic Cell. response:	Their role is to present bacteria and virus-infected cells
context: That's a good question.\I'm...\What's the matter?\Hey, you're a T Cell, right?\Did something happen?\DENDRITIC CELLS Their role is to present bacteria that have invaded the body, and fragments of viral infection cells as antigens, and to notify other immune system cells. As their name implies, they feature protrusions.\Dendritic Cell.\Their role is to present bacteria and virus-infected cells response:	that have invaded the body as antigen fragments,
context: I'm...\What's the matter?\Hey, you're a T Cell, right?\Did something happen?\DENDRITIC CELLS Their role is to present bacteria that have invaded the body, and fragments of viral infection cells as antigens, and to notify other immune system cells. As their name implies, they feature protrusions.\Dendritic Cell.\Their role is to present bacteria and virus-infected cells\that have invaded the body as antigen fragments, response:	and then notify other immune system cells.
context: What's the matter?\Hey, you're a T Cell, right?\Did something happen?\DENDRITIC CELLS Their role is to present bacteria that have invaded the body, and fragments of viral infection cells as antigens, and to notify other immune system cells. As their name implies, they feature protrusions.\Dendritic Cell.\Their role is to present bacteria and virus-infected cells\that have invaded the body as antigen fragments,\and then notify other immune system cells. response:	Wait, are you struggling in battle?
context: Hey, you're a T Cell, right?\Did something happen?\DENDRITIC CELLS Their role is to present bacteria that have invaded the body, and fragments of viral infection cells as antigens, and to notify other immune system cells. As their name implies, they feature protrusions.\Dendritic Cell.\Their role is to present bacteria and virus-infected cells\that have invaded the body as antigen fragments,\and then notify other immune system cells.\Wait, are you struggling in battle? response:	All right. I'm going to make a call right now.
context: Did something happen?\DENDRITIC CELLS Their role is to present bacteria that have invaded the body, and fragments of viral infection cells as antigens, and to notify other immune system cells. As their name implies, they feature protrusions.\Dendritic Cell.\Their role is to present bacteria and virus-infected cells\that have invaded the body as antigen fragments,\and then notify other immune system cells.\Wait, are you struggling in battle?\All right. I'm going to make a call right now. response:	Th-That's not it!
context: DENDRITIC CELLS Their role is to present bacteria that have invaded the body, and fragments of viral infection cells as antigens, and to notify other immune system cells. As their name implies, they feature protrusions.\Dendritic Cell.\Their role is to present bacteria and virus-infected cells\that have invaded the body as antigen fragments,\and then notify other immune system cells.\Wait, are you struggling in battle?\All right. I'm going to make a call right now.\Th-That's not it! response:	I ran away from the battle!
context: Dendritic Cell.\Their role is to present bacteria and virus-infected cells\that have invaded the body as antigen fragments,\and then notify other immune system cells.\Wait, are you struggling in battle?\All right. I'm going to make a call right now.\Th-That's not it!\I ran away from the battle! response:	No way can I fight those scum that terrifying!
context: Their role is to present bacteria and virus-infected cells\that have invaded the body as antigen fragments,\and then notify other immune system cells.\Wait, are you struggling in battle?\All right. I'm going to make a call right now.\Th-That's not it!\I ran away from the battle!\No way can I fight those scum that terrifying! response:	I'm... I'm...
context: that have invaded the body as antigen fragments,\and then notify other immune system cells.\Wait, are you struggling in battle?\All right. I'm going to make a call right now.\Th-That's not it!\I ran away from the battle!\No way can I fight those scum that terrifying!\I'm... I'm... response:	I'm just not powerful like White Blood Cell, Macrophage or my senpais!
context: and then notify other immune system cells.\Wait, are you struggling in battle?\All right. I'm going to make a call right now.\Th-That's not it!\I ran away from the battle!\No way can I fight those scum that terrifying!\I'm... I'm...\I'm just not powerful like White Blood Cell, Macrophage or my senpais! response:	It's better not to have a weakling like me around!
context: Wait, are you struggling in battle?\All right. I'm going to make a call right now.\Th-That's not it!\I ran away from the battle!\No way can I fight those scum that terrifying!\I'm... I'm...\I'm just not powerful like White Blood Cell, Macrophage or my senpais!\It's better not to have a weakling like me around! response:	That's not true, Naive T Cell.
context: All right. I'm going to make a call right now.\Th-That's not it!\I ran away from the battle!\No way can I fight those scum that terrifying!\I'm... I'm...\I'm just not powerful like White Blood Cell, Macrophage or my senpais!\It's better not to have a weakling like me around!\That's not true, Naive T Cell. response:	Chin up, all right?
context: Th-That's not it!\I ran away from the battle!\No way can I fight those scum that terrifying!\I'm... I'm...\I'm just not powerful like White Blood Cell, Macrophage or my senpais!\It's better not to have a weakling like me around!\That's not true, Naive T Cell.\Chin up, all right? response:	You're not the only one.
context: I ran away from the battle!\No way can I fight those scum that terrifying!\I'm... I'm...\I'm just not powerful like White Blood Cell, Macrophage or my senpais!\It's better not to have a weakling like me around!\That's not true, Naive T Cell.\Chin up, all right?\You're not the only one. response:	Nobody starts out powerful, you know.
context: No way can I fight those scum that terrifying!\I'm... I'm...\I'm just not powerful like White Blood Cell, Macrophage or my senpais!\It's better not to have a weakling like me around!\That's not true, Naive T Cell.\Chin up, all right?\You're not the only one.\Nobody starts out powerful, you know. response:	I've got the chills!
context: I'm... I'm...\I'm just not powerful like White Blood Cell, Macrophage or my senpais!\It's better not to have a weakling like me around!\That's not true, Naive T Cell.\Chin up, all right?\You're not the only one.\Nobody starts out powerful, you know.\I've got the chills! response:	Here, take a look at this.
context: I'm just not powerful like White Blood Cell, Macrophage or my senpais!\It's better not to have a weakling like me around!\That's not true, Naive T Cell.\Chin up, all right?\You're not the only one.\Nobody starts out powerful, you know.\I've got the chills!\Here, take a look at this. response:	T CELLS MEMORIES 18905 - 20105 SEALED
context: It's better not to have a weakling like me around!\That's not true, Naive T Cell.\Chin up, all right?\You're not the only one.\Nobody starts out powerful, you know.\I've got the chills!\Here, take a look at this.\T CELLS MEMORIES 18905 - 20105 SEALED response:	B-But these are
context: That's not true, Naive T Cell.\Chin up, all right?\You're not the only one.\Nobody starts out powerful, you know.\I've got the chills!\Here, take a look at this.\T CELLS MEMORIES 18905 - 20105 SEALED\B-But these are response:	pictures of the senpais from long ago?
context: Chin up, all right?\You're not the only one.\Nobody starts out powerful, you know.\I've got the chills!\Here, take a look at this.\T CELLS MEMORIES 18905 - 20105 SEALED\B-But these are\pictures of the senpais from long ago? response:	T CELL CATEGORIZATION: Upon recognizing an antigen, Naive T Cells activate and turn into Effector T Cells.
context: You're not the only one.\Nobody starts out powerful, you know.\I've got the chills!\Here, take a look at this.\T CELLS MEMORIES 18905 - 20105 SEALED\B-But these are\pictures of the senpais from long ago?\T CELL CATEGORIZATION: Upon recognizing an antigen, Naive T Cells activate and turn into Effector T Cells. response:	Keep up the good work... Failure leads to... Get well soon!
context: Nobody starts out powerful, you know.\I've got the chills!\Here, take a look at this.\T CELLS MEMORIES 18905 - 20105 SEALED\B-But these are\pictures of the senpais from long ago?\T CELL CATEGORIZATION: Upon recognizing an antigen, Naive T Cells activate and turn into Effector T Cells.\Keep up the good work... Failure leads to... Get well soon! response:	That's right.
context: I've got the chills!\Here, take a look at this.\T CELLS MEMORIES 18905 - 20105 SEALED\B-But these are\pictures of the senpais from long ago?\T CELL CATEGORIZATION: Upon recognizing an antigen, Naive T Cells activate and turn into Effector T Cells.\Keep up the good work... Failure leads to... Get well soon!\That's right. response:	Long ago, your senpais were just like you.
context: Here, take a look at this.\T CELLS MEMORIES 18905 - 20105 SEALED\B-But these are\pictures of the senpais from long ago?\T CELL CATEGORIZATION: Upon recognizing an antigen, Naive T Cells activate and turn into Effector T Cells.\Keep up the good work... Failure leads to... Get well soon!\That's right.\Long ago, your senpais were just like you. response:	They were all Naive T Cells, too.
context: T CELLS MEMORIES 18905 - 20105 SEALED\B-But these are\pictures of the senpais from long ago?\T CELL CATEGORIZATION: Upon recognizing an antigen, Naive T Cells activate and turn into Effector T Cells.\Keep up the good work... Failure leads to... Get well soon!\That's right.\Long ago, your senpais were just like you.\They were all Naive T Cells, too. response:	They're crying. Just like me!
context: B-But these are\pictures of the senpais from long ago?\T CELL CATEGORIZATION: Upon recognizing an antigen, Naive T Cells activate and turn into Effector T Cells.\Keep up the good work... Failure leads to... Get well soon!\That's right.\Long ago, your senpais were just like you.\They were all Naive T Cells, too.\They're crying. Just like me! response:	There are tons more where that came from.
context: pictures of the senpais from long ago?\T CELL CATEGORIZATION: Upon recognizing an antigen, Naive T Cells activate and turn into Effector T Cells.\Keep up the good work... Failure leads to... Get well soon!\That's right.\Long ago, your senpais were just like you.\They were all Naive T Cells, too.\They're crying. Just like me!\There are tons more where that came from. response:	Here!
context: T CELL CATEGORIZATION: Upon recognizing an antigen, Naive T Cells activate and turn into Effector T Cells.\Keep up the good work... Failure leads to... Get well soon!\That's right.\Long ago, your senpais were just like you.\They were all Naive T Cells, too.\They're crying. Just like me!\There are tons more where that came from.\Here! response:	I'm getting goosebumps for some reason!
context: Keep up the good work... Failure leads to... Get well soon!\That's right.\Long ago, your senpais were just like you.\They were all Naive T Cells, too.\They're crying. Just like me!\There are tons more where that came from.\Here!\I'm getting goosebumps for some reason! response:	Hey, what's wrong? Did you get infected by the virus?
context: That's right.\Long ago, your senpais were just like you.\They were all Naive T Cells, too.\They're crying. Just like me!\There are tons more where that came from.\Here!\I'm getting goosebumps for some reason!\Hey, what's wrong? Did you get infected by the virus? response:	Like that would ever happen.
context: Long ago, your senpais were just like you.\They were all Naive T Cells, too.\They're crying. Just like me!\There are tons more where that came from.\Here!\I'm getting goosebumps for some reason!\Hey, what's wrong? Did you get infected by the virus?\Like that would ever happen. response:	It feels like the dark past that we sealed away has been released!
context: They were all Naive T Cells, too.\They're crying. Just like me!\There are tons more where that came from.\Here!\I'm getting goosebumps for some reason!\Hey, what's wrong? Did you get infected by the virus?\Like that would ever happen.\It feels like the dark past that we sealed away has been released! response:	Those kinds of chills!
context: They're crying. Just like me!\There are tons more where that came from.\Here!\I'm getting goosebumps for some reason!\Hey, what's wrong? Did you get infected by the virus?\Like that would ever happen.\It feels like the dark past that we sealed away has been released!\Those kinds of chills! response:	The reason your senpais give you such a hard time
context: There are tons more where that came from.\Here!\I'm getting goosebumps for some reason!\Hey, what's wrong? Did you get infected by the virus?\Like that would ever happen.\It feels like the dark past that we sealed away has been released!\Those kinds of chills!\The reason your senpais give you such a hard time response:	might be because they see their past selves in you, don't you think?
context: Here!\I'm getting goosebumps for some reason!\Hey, what's wrong? Did you get infected by the virus?\Like that would ever happen.\It feels like the dark past that we sealed away has been released!\Those kinds of chills!\The reason your senpais give you such a hard time\might be because they see their past selves in you, don't you think? response:	Hey, Naive!
context: I'm getting goosebumps for some reason!\Hey, what's wrong? Did you get infected by the virus?\Like that would ever happen.\It feels like the dark past that we sealed away has been released!\Those kinds of chills!\The reason your senpais give you such a hard time\might be because they see their past selves in you, don't you think?\Hey, Naive! response:	When are you gonna learn to pull your own weight?
context: Hey, what's wrong? Did you get infected by the virus?\Like that would ever happen.\It feels like the dark past that we sealed away has been released!\Those kinds of chills!\The reason your senpais give you such a hard time\might be because they see their past selves in you, don't you think?\Hey, Naive!\When are you gonna learn to pull your own weight? response:	Let's see you slaughter at least one of them this time, ya hear me, you little punk? Got that?
context: Like that would ever happen.\It feels like the dark past that we sealed away has been released!\Those kinds of chills!\The reason your senpais give you such a hard time\might be because they see their past selves in you, don't you think?\Hey, Naive!\When are you gonna learn to pull your own weight?\Let's see you slaughter at least one of them this time, ya hear me, you little punk? Got that? response:	C'mon, dammit! This way!
context: It feels like the dark past that we sealed away has been released!\Those kinds of chills!\The reason your senpais give you such a hard time\might be because they see their past selves in you, don't you think?\Hey, Naive!\When are you gonna learn to pull your own weight?\Let's see you slaughter at least one of them this time, ya hear me, you little punk? Got that?\C'mon, dammit! This way! response:	Hey! You join in, too!
context: Those kinds of chills!\The reason your senpais give you such a hard time\might be because they see their past selves in you, don't you think?\Hey, Naive!\When are you gonna learn to pull your own weight?\Let's see you slaughter at least one of them this time, ya hear me, you little punk? Got that?\C'mon, dammit! This way!\Hey! You join in, too! response:	I had no idea.
context: The reason your senpais give you such a hard time\might be because they see their past selves in you, don't you think?\Hey, Naive!\When are you gonna learn to pull your own weight?\Let's see you slaughter at least one of them this time, ya hear me, you little punk? Got that?\C'mon, dammit! This way!\Hey! You join in, too!\I had no idea. response:	Don't worry.
context: might be because they see their past selves in you, don't you think?\Hey, Naive!\When are you gonna learn to pull your own weight?\Let's see you slaughter at least one of them this time, ya hear me, you little punk? Got that?\C'mon, dammit! This way!\Hey! You join in, too!\I had no idea.\Don't worry. response:	There's no reason to be afraid, Naive.
context: Hey, Naive!\When are you gonna learn to pull your own weight?\Let's see you slaughter at least one of them this time, ya hear me, you little punk? Got that?\C'mon, dammit! This way!\Hey! You join in, too!\I had no idea.\Don't worry.\There's no reason to be afraid, Naive. response:	We're all here for you.
context: When are you gonna learn to pull your own weight?\Let's see you slaughter at least one of them this time, ya hear me, you little punk? Got that?\C'mon, dammit! This way!\Hey! You join in, too!\I had no idea.\Don't worry.\There's no reason to be afraid, Naive.\We're all here for you. response:	All here for me!
context: Let's see you slaughter at least one of them this time, ya hear me, you little punk? Got that?\C'mon, dammit! This way!\Hey! You join in, too!\I had no idea.\Don't worry.\There's no reason to be afraid, Naive.\We're all here for you.\All here for me! response:	White Blood Cell goes on patrol to spot the enemy.
context: C'mon, dammit! This way!\Hey! You join in, too!\I had no idea.\Don't worry.\There's no reason to be afraid, Naive.\We're all here for you.\All here for me!\White Blood Cell goes on patrol to spot the enemy. response:	Macrophage relays information on the enemy.
context: Hey! You join in, too!\I had no idea.\Don't worry.\There's no reason to be afraid, Naive.\We're all here for you.\All here for me!\White Blood Cell goes on patrol to spot the enemy.\Macrophage relays information on the enemy. response:	Because of that, Helper T Commander is able to issue commands,
context: I had no idea.\Don't worry.\There's no reason to be afraid, Naive.\We're all here for you.\All here for me!\White Blood Cell goes on patrol to spot the enemy.\Macrophage relays information on the enemy.\Because of that, Helper T Commander is able to issue commands, response:	and the Killer T Cells can then bring the enemy down.
context: Don't worry.\There's no reason to be afraid, Naive.\We're all here for you.\All here for me!\White Blood Cell goes on patrol to spot the enemy.\Macrophage relays information on the enemy.\Because of that, Helper T Commander is able to issue commands,\and the Killer T Cells can then bring the enemy down. response:	See? You have all these friends working with you, taking pride in their work!
context: There's no reason to be afraid, Naive.\We're all here for you.\All here for me!\White Blood Cell goes on patrol to spot the enemy.\Macrophage relays information on the enemy.\Because of that, Helper T Commander is able to issue commands,\and the Killer T Cells can then bring the enemy down.\See? You have all these friends working with you, taking pride in their work! response:	So you know what it is you have to do, don't you?
context: We're all here for you.\All here for me!\White Blood Cell goes on patrol to spot the enemy.\Macrophage relays information on the enemy.\Because of that, Helper T Commander is able to issue commands,\and the Killer T Cells can then bring the enemy down.\See? You have all these friends working with you, taking pride in their work!\So you know what it is you have to do, don't you? response:	My job is...
context: All here for me!\White Blood Cell goes on patrol to spot the enemy.\Macrophage relays information on the enemy.\Because of that, Helper T Commander is able to issue commands,\and the Killer T Cells can then bring the enemy down.\See? You have all these friends working with you, taking pride in their work!\So you know what it is you have to do, don't you?\My job is... response:	Well, encouraging the T Cells and activating them in this way...
