context: How do you like the pleasure of being enveloped by Junketsu? response:	I had no idea...
context: All it is is pathetic!\That isn't true.\When we were synchronized, you wore me and I was worn by you.\As it stands now, you are only being worn by Junketsu.\And what's wrong with that?\Being worn by it feels so amazing I can't stand it!\Humanity was born to be worn by Life Fibers.\Being worn by them is the ultimate bliss. response:	That is the bliss of slavery.
context: That isn't true.\When we were synchronized, you wore me and I was worn by you.\As it stands now, you are only being worn by Junketsu.\And what's wrong with that?\Being worn by it feels so amazing I can't stand it!\Humanity was born to be worn by Life Fibers.\Being worn by them is the ultimate bliss.\That is the bliss of slavery. response:	Submit or die. That's the sort of line you love to say!
context: When we were synchronized, you wore me and I was worn by you.\As it stands now, you are only being worn by Junketsu.\And what's wrong with that?\Being worn by it feels so amazing I can't stand it!\Humanity was born to be worn by Life Fibers.\Being worn by them is the ultimate bliss.\That is the bliss of slavery.\Submit or die. That's the sort of line you love to say! response:	Ain't that right, Satsuki Kiryuin?!
context: As it stands now, you are only being worn by Junketsu.\And what's wrong with that?\Being worn by it feels so amazing I can't stand it!\Humanity was born to be worn by Life Fibers.\Being worn by them is the ultimate bliss.\That is the bliss of slavery.\Submit or die. That's the sort of line you love to say!\Ain't that right, Satsuki Kiryuin?! response:	Senketsu Senjin!
context: And what's wrong with that?\Being worn by it feels so amazing I can't stand it!\Humanity was born to be worn by Life Fibers.\Being worn by them is the ultimate bliss.\That is the bliss of slavery.\Submit or die. That's the sort of line you love to say!\Ain't that right, Satsuki Kiryuin?!\Senketsu Senjin! response:	Senketsu Senjin!
context: Being worn by it feels so amazing I can't stand it!\Humanity was born to be worn by Life Fibers.\Being worn by them is the ultimate bliss.\That is the bliss of slavery.\Submit or die. That's the sort of line you love to say!\Ain't that right, Satsuki Kiryuin?!\Senketsu Senjin!\Senketsu Senjin! response:	Don't hold back!
context: Humanity was born to be worn by Life Fibers.\Being worn by them is the ultimate bliss.\That is the bliss of slavery.\Submit or die. That's the sort of line you love to say!\Ain't that right, Satsuki Kiryuin?!\Senketsu Senjin!\Senketsu Senjin!\Don't hold back! response:	Oh, I get it now. So that's what's going on.
context: Being worn by them is the ultimate bliss.\That is the bliss of slavery.\Submit or die. That's the sort of line you love to say!\Ain't that right, Satsuki Kiryuin?!\Senketsu Senjin!\Senketsu Senjin!\Don't hold back!\Oh, I get it now. So that's what's going on. response:	I knew it, you haven't mastered wearing that Kamui properly.
context: That is the bliss of slavery.\Submit or die. That's the sort of line you love to say!\Ain't that right, Satsuki Kiryuin?!\Senketsu Senjin!\Senketsu Senjin!\Don't hold back!\Oh, I get it now. So that's what's going on.\I knew it, you haven't mastered wearing that Kamui properly. response:	Senketsu Shippu!
context: Submit or die. That's the sort of line you love to say!\Ain't that right, Satsuki Kiryuin?!\Senketsu Senjin!\Senketsu Senjin!\Don't hold back!\Oh, I get it now. So that's what's going on.\I knew it, you haven't mastered wearing that Kamui properly.\Senketsu Shippu! response:	Too slow.
context: Ain't that right, Satsuki Kiryuin?!\Senketsu Senjin!\Senketsu Senjin!\Don't hold back!\Oh, I get it now. So that's what's going on.\I knew it, you haven't mastered wearing that Kamui properly.\Senketsu Shippu!\Too slow. response:	Senjin Shippu!
context: Senketsu Senjin!\Senketsu Senjin!\Don't hold back!\Oh, I get it now. So that's what's going on.\I knew it, you haven't mastered wearing that Kamui properly.\Senketsu Shippu!\Too slow.\Senjin Shippu! response:	That one's slow, too!
context: Senketsu Senjin!\Don't hold back!\Oh, I get it now. So that's what's going on.\I knew it, you haven't mastered wearing that Kamui properly.\Senketsu Shippu!\Too slow.\Senjin Shippu!\That one's slow, too! response:	Lady Satsuki!
context: Don't hold back!\Oh, I get it now. So that's what's going on.\I knew it, you haven't mastered wearing that Kamui properly.\Senketsu Shippu!\Too slow.\Senjin Shippu!\That one's slow, too!\Lady Satsuki! response:	What's she doing?!
context: Oh, I get it now. So that's what's going on.\I knew it, you haven't mastered wearing that Kamui properly.\Senketsu Shippu!\Too slow.\Senjin Shippu!\That one's slow, too!\Lady Satsuki!\What's she doing?! response:	What's the deal, huh? You can't fight back?
context: I knew it, you haven't mastered wearing that Kamui properly.\Senketsu Shippu!\Too slow.\Senjin Shippu!\That one's slow, too!\Lady Satsuki!\What's she doing?!\What's the deal, huh? You can't fight back? response:	You can't, can't you?'Cause I've seen through all your moves!
context: Senketsu Shippu!\Too slow.\Senjin Shippu!\That one's slow, too!\Lady Satsuki!\What's she doing?!\What's the deal, huh? You can't fight back?\You can't, can't you?'Cause I've seen through all your moves! response:	Come on!
context: Too slow.\Senjin Shippu!\That one's slow, too!\Lady Satsuki!\What's she doing?!\What's the deal, huh? You can't fight back?\You can't, can't you?'Cause I've seen through all your moves!\Come on! response:	Synchronization, my ass!
context: Senjin Shippu!\That one's slow, too!\Lady Satsuki!\What's she doing?!\What's the deal, huh? You can't fight back?\You can't, can't you?'Cause I've seen through all your moves!\Come on!\Synchronization, my ass! response:	You and Senketsu aren't synchronized at all!
context: That one's slow, too!\Lady Satsuki!\What's she doing?!\What's the deal, huh? You can't fight back?\You can't, can't you?'Cause I've seen through all your moves!\Come on!\Synchronization, my ass!\You and Senketsu aren't synchronized at all! response:	You shout out your instructions, and Senketsu
context: Lady Satsuki!\What's she doing?!\What's the deal, huh? You can't fight back?\You can't, can't you?'Cause I've seen through all your moves!\Come on!\Synchronization, my ass!\You and Senketsu aren't synchronized at all!\You shout out your instructions, and Senketsu response:	attacks using his own strength!
context: What's she doing?!\What's the deal, huh? You can't fight back?\You can't, can't you?'Cause I've seen through all your moves!\Come on!\Synchronization, my ass!\You and Senketsu aren't synchronized at all!\You shout out your instructions, and Senketsu\attacks using his own strength! response:	That's why there's a split-second delay in your transformations!
context: What's the deal, huh? You can't fight back?\You can't, can't you?'Cause I've seen through all your moves!\Come on!\Synchronization, my ass!\You and Senketsu aren't synchronized at all!\You shout out your instructions, and Senketsu\attacks using his own strength!\That's why there's a split-second delay in your transformations! response:	You're the one who's just being worn by her Kamui!
context: You can't, can't you?'Cause I've seen through all your moves!\Come on!\Synchronization, my ass!\You and Senketsu aren't synchronized at all!\You shout out your instructions, and Senketsu\attacks using his own strength!\That's why there's a split-second delay in your transformations!\You're the one who's just being worn by her Kamui! response:	You haven't advanced one damn bit since the time you wore Junketsu!
context: Come on!\Synchronization, my ass!\You and Senketsu aren't synchronized at all!\You shout out your instructions, and Senketsu\attacks using his own strength!\That's why there's a split-second delay in your transformations!\You're the one who's just being worn by her Kamui!\You haven't advanced one damn bit since the time you wore Junketsu! response:	I am so freaking sick of your empty talk.
context: Synchronization, my ass!\You and Senketsu aren't synchronized at all!\You shout out your instructions, and Senketsu\attacks using his own strength!\That's why there's a split-second delay in your transformations!\You're the one who's just being worn by her Kamui!\You haven't advanced one damn bit since the time you wore Junketsu!\I am so freaking sick of your empty talk. response:	Aw, what's the matter?
context: You and Senketsu aren't synchronized at all!\You shout out your instructions, and Senketsu\attacks using his own strength!\That's why there's a split-second delay in your transformations!\You're the one who's just being worn by her Kamui!\You haven't advanced one damn bit since the time you wore Junketsu!\I am so freaking sick of your empty talk.\Aw, what's the matter? response:	Aren't you gonna look down on me like you always do?
context: You shout out your instructions, and Senketsu\attacks using his own strength!\That's why there's a split-second delay in your transformations!\You're the one who's just being worn by her Kamui!\You haven't advanced one damn bit since the time you wore Junketsu!\I am so freaking sick of your empty talk.\Aw, what's the matter?\Aren't you gonna look down on me like you always do? response:	If you can't stand on your own, how about I put you on your feet?
context: attacks using his own strength!\That's why there's a split-second delay in your transformations!\You're the one who's just being worn by her Kamui!\You haven't advanced one damn bit since the time you wore Junketsu!\I am so freaking sick of your empty talk.\Aw, what's the matter?\Aren't you gonna look down on me like you always do?\If you can't stand on your own, how about I put you on your feet? response:	Feel better now, Little Miss Satsuki?
context: That's why there's a split-second delay in your transformations!\You're the one who's just being worn by her Kamui!\You haven't advanced one damn bit since the time you wore Junketsu!\I am so freaking sick of your empty talk.\Aw, what's the matter?\Aren't you gonna look down on me like you always do?\If you can't stand on your own, how about I put you on your feet?\Feel better now, Little Miss Satsuki? response:	But you're not standing on anything.
context: You're the one who's just being worn by her Kamui!\You haven't advanced one damn bit since the time you wore Junketsu!\I am so freaking sick of your empty talk.\Aw, what's the matter?\Aren't you gonna look down on me like you always do?\If you can't stand on your own, how about I put you on your feet?\Feel better now, Little Miss Satsuki?\But you're not standing on anything. response:	You're a sad little princess who's standing on top of a sand castle.
context: You haven't advanced one damn bit since the time you wore Junketsu!\I am so freaking sick of your empty talk.\Aw, what's the matter?\Aren't you gonna look down on me like you always do?\If you can't stand on your own, how about I put you on your feet?\Feel better now, Little Miss Satsuki?\But you're not standing on anything.\You're a sad little princess who's standing on top of a sand castle. response:	The instant a wave comes, that castle comes crashing down.
context: I am so freaking sick of your empty talk.\Aw, what's the matter?\Aren't you gonna look down on me like you always do?\If you can't stand on your own, how about I put you on your feet?\Feel better now, Little Miss Satsuki?\But you're not standing on anything.\You're a sad little princess who's standing on top of a sand castle.\The instant a wave comes, that castle comes crashing down. response:	Stop it, Ryuko!
context: Aw, what's the matter?\Aren't you gonna look down on me like you always do?\If you can't stand on your own, how about I put you on your feet?\Feel better now, Little Miss Satsuki?\But you're not standing on anything.\You're a sad little princess who's standing on top of a sand castle.\The instant a wave comes, that castle comes crashing down.\Stop it, Ryuko! response:	I admit, Satsuki cannot hear me when I speak.
context: Aren't you gonna look down on me like you always do?\If you can't stand on your own, how about I put you on your feet?\Feel better now, Little Miss Satsuki?\But you're not standing on anything.\You're a sad little princess who's standing on top of a sand castle.\The instant a wave comes, that castle comes crashing down.\Stop it, Ryuko!\I admit, Satsuki cannot hear me when I speak. response:	Our synchronization is makeshift, as well.
context: If you can't stand on your own, how about I put you on your feet?\Feel better now, Little Miss Satsuki?\But you're not standing on anything.\You're a sad little princess who's standing on top of a sand castle.\The instant a wave comes, that castle comes crashing down.\Stop it, Ryuko!\I admit, Satsuki cannot hear me when I speak.\Our synchronization is makeshift, as well. response:	And yet, our hearts are one.
context: Feel better now, Little Miss Satsuki?\But you're not standing on anything.\You're a sad little princess who's standing on top of a sand castle.\The instant a wave comes, that castle comes crashing down.\Stop it, Ryuko!\I admit, Satsuki cannot hear me when I speak.\Our synchronization is makeshift, as well.\And yet, our hearts are one. response:	We are of one mind in our desire to bring you back to your senses.
context: But you're not standing on anything.\You're a sad little princess who's standing on top of a sand castle.\The instant a wave comes, that castle comes crashing down.\Stop it, Ryuko!\I admit, Satsuki cannot hear me when I speak.\Our synchronization is makeshift, as well.\And yet, our hearts are one.\We are of one mind in our desire to bring you back to your senses. response:	Shut up.
context: You're a sad little princess who's standing on top of a sand castle.\The instant a wave comes, that castle comes crashing down.\Stop it, Ryuko!\I admit, Satsuki cannot hear me when I speak.\Our synchronization is makeshift, as well.\And yet, our hearts are one.\We are of one mind in our desire to bring you back to your senses.\Shut up. response:	Can you imagine how much of a strain Satsuki is bearing to let me fight?
context: The instant a wave comes, that castle comes crashing down.\Stop it, Ryuko!\I admit, Satsuki cannot hear me when I speak.\Our synchronization is makeshift, as well.\And yet, our hearts are one.\We are of one mind in our desire to bring you back to your senses.\Shut up.\Can you imagine how much of a strain Satsuki is bearing to let me fight? response:	No other human could do that. No one but Satsuki Kiryuin!
context: Stop it, Ryuko!\I admit, Satsuki cannot hear me when I speak.\Our synchronization is makeshift, as well.\And yet, our hearts are one.\We are of one mind in our desire to bring you back to your senses.\Shut up.\Can you imagine how much of a strain Satsuki is bearing to let me fight?\No other human could do that. No one but Satsuki Kiryuin! response:	So what? It don't change the fact that she's a loser!
context: I admit, Satsuki cannot hear me when I speak.\Our synchronization is makeshift, as well.\And yet, our hearts are one.\We are of one mind in our desire to bring you back to your senses.\Shut up.\Can you imagine how much of a strain Satsuki is bearing to let me fight?\No other human could do that. No one but Satsuki Kiryuin!\So what? It don't change the fact that she's a loser! response:	I'm sick of hearing you yammering on and on, you dishrag!
context: Our synchronization is makeshift, as well.\And yet, our hearts are one.\We are of one mind in our desire to bring you back to your senses.\Shut up.\Can you imagine how much of a strain Satsuki is bearing to let me fight?\No other human could do that. No one but Satsuki Kiryuin!\So what? It don't change the fact that she's a loser!\I'm sick of hearing you yammering on and on, you dishrag! response:	I'm gonna chop up both you and
context: And yet, our hearts are one.\We are of one mind in our desire to bring you back to your senses.\Shut up.\Can you imagine how much of a strain Satsuki is bearing to let me fight?\No other human could do that. No one but Satsuki Kiryuin!\So what? It don't change the fact that she's a loser!\I'm sick of hearing you yammering on and on, you dishrag!\I'm gonna chop up both you and response:	Don't you dare mock Satsuki!
context: We are of one mind in our desire to bring you back to your senses.\Shut up.\Can you imagine how much of a strain Satsuki is bearing to let me fight?\No other human could do that. No one but Satsuki Kiryuin!\So what? It don't change the fact that she's a loser!\I'm sick of hearing you yammering on and on, you dishrag!\I'm gonna chop up both you and\Don't you dare mock Satsuki! response:	Satsuki's sand castle is made of is steel!
context: Shut up.\Can you imagine how much of a strain Satsuki is bearing to let me fight?\No other human could do that. No one but Satsuki Kiryuin!\So what? It don't change the fact that she's a loser!\I'm sick of hearing you yammering on and on, you dishrag!\I'm gonna chop up both you and\Don't you dare mock Satsuki!\Satsuki's sand castle is made of is steel! response:	It won't collapse that easily!
context: Can you imagine how much of a strain Satsuki is bearing to let me fight?\No other human could do that. No one but Satsuki Kiryuin!\So what? It don't change the fact that she's a loser!\I'm sick of hearing you yammering on and on, you dishrag!\I'm gonna chop up both you and\Don't you dare mock Satsuki!\Satsuki's sand castle is made of is steel!\It won't collapse that easily! response:	Butt the hell out!
context: No other human could do that. No one but Satsuki Kiryuin!\So what? It don't change the fact that she's a loser!\I'm sick of hearing you yammering on and on, you dishrag!\I'm gonna chop up both you and\Don't you dare mock Satsuki!\Satsuki's sand castle is made of is steel!\It won't collapse that easily!\Butt the hell out! response:	If you can't see what is in her heart, you can't see anything!
context: So what? It don't change the fact that she's a loser!\I'm sick of hearing you yammering on and on, you dishrag!\I'm gonna chop up both you and\Don't you dare mock Satsuki!\Satsuki's sand castle is made of is steel!\It won't collapse that easily!\Butt the hell out!\If you can't see what is in her heart, you can't see anything! response:	Quit pissing me off, human! What can you do with that little knife?!
context: I'm sick of hearing you yammering on and on, you dishrag!\I'm gonna chop up both you and\Don't you dare mock Satsuki!\Satsuki's sand castle is made of is steel!\It won't collapse that easily!\Butt the hell out!\If you can't see what is in her heart, you can't see anything!\Quit pissing me off, human! What can you do with that little knife?! response:	What can he do?
context: I'm gonna chop up both you and\Don't you dare mock Satsuki!\Satsuki's sand castle is made of is steel!\It won't collapse that easily!\Butt the hell out!\If you can't see what is in her heart, you can't see anything!\Quit pissing me off, human! What can you do with that little knife?!\What can he do? response:	Lure you into my firing range, I suppose.
context: Don't you dare mock Satsuki!\Satsuki's sand castle is made of is steel!\It won't collapse that easily!\Butt the hell out!\If you can't see what is in her heart, you can't see anything!\Quit pissing me off, human! What can you do with that little knife?!\What can he do?\Lure you into my firing range, I suppose. response:	Did you think that would do anything to Junketsu?
context: Satsuki's sand castle is made of is steel!\It won't collapse that easily!\Butt the hell out!\If you can't see what is in her heart, you can't see anything!\Quit pissing me off, human! What can you do with that little knife?!\What can he do?\Lure you into my firing range, I suppose.\Did you think that would do anything to Junketsu? response:	No, but it did allow me to get in close.
context: It won't collapse that easily!\Butt the hell out!\If you can't see what is in her heart, you can't see anything!\Quit pissing me off, human! What can you do with that little knife?!\What can he do?\Lure you into my firing range, I suppose.\Did you think that would do anything to Junketsu?\No, but it did allow me to get in close. response:	What the
context: Butt the hell out!\If you can't see what is in her heart, you can't see anything!\Quit pissing me off, human! What can you do with that little knife?!\What can he do?\Lure you into my firing range, I suppose.\Did you think that would do anything to Junketsu?\No, but it did allow me to get in close.\What the response:	I'm going to rip Junketsu off of you!
context: If you can't see what is in her heart, you can't see anything!\Quit pissing me off, human! What can you do with that little knife?!\What can he do?\Lure you into my firing range, I suppose.\Did you think that would do anything to Junketsu?\No, but it did allow me to get in close.\What the\I'm going to rip Junketsu off of you! response:	Satsuki, you bitch! This was your plan all along?!
context: Quit pissing me off, human! What can you do with that little knife?!\What can he do?\Lure you into my firing range, I suppose.\Did you think that would do anything to Junketsu?\No, but it did allow me to get in close.\What the\I'm going to rip Junketsu off of you!\Satsuki, you bitch! This was your plan all along?! response:	Indeed!
context: What can he do?\Lure you into my firing range, I suppose.\Did you think that would do anything to Junketsu?\No, but it did allow me to get in close.\What the\I'm going to rip Junketsu off of you!\Satsuki, you bitch! This was your plan all along?!\Indeed! response:	Senketsu and I cannot defeat you in your current state.
context: Lure you into my firing range, I suppose.\Did you think that would do anything to Junketsu?\No, but it did allow me to get in close.\What the\I'm going to rip Junketsu off of you!\Satsuki, you bitch! This was your plan all along?!\Indeed!\Senketsu and I cannot defeat you in your current state. response:	However, if I give the Elite Four a fighting chance, it is possible!
context: Did you think that would do anything to Junketsu?\No, but it did allow me to get in close.\What the\I'm going to rip Junketsu off of you!\Satsuki, you bitch! This was your plan all along?!\Indeed!\Senketsu and I cannot defeat you in your current state.\However, if I give the Elite Four a fighting chance, it is possible! response:	Son of a...
context: No, but it did allow me to get in close.\What the\I'm going to rip Junketsu off of you!\Satsuki, you bitch! This was your plan all along?!\Indeed!\Senketsu and I cannot defeat you in your current state.\However, if I give the Elite Four a fighting chance, it is possible!\Son of a... response:	Yes! It went according to plan!
context: What the\I'm going to rip Junketsu off of you!\Satsuki, you bitch! This was your plan all along?!\Indeed!\Senketsu and I cannot defeat you in your current state.\However, if I give the Elite Four a fighting chance, it is possible!\Son of a...\Yes! It went according to plan! response:	I still can't believe that Satsuki proposed
context: I'm going to rip Junketsu off of you!\Satsuki, you bitch! This was your plan all along?!\Indeed!\Senketsu and I cannot defeat you in your current state.\However, if I give the Elite Four a fighting chance, it is possible!\Son of a...\Yes! It went according to plan!\I still can't believe that Satsuki proposed response:	a coordinated operation with the Elite Four.
context: Satsuki, you bitch! This was your plan all along?!\Indeed!\Senketsu and I cannot defeat you in your current state.\However, if I give the Elite Four a fighting chance, it is possible!\Son of a...\Yes! It went according to plan!\I still can't believe that Satsuki proposed\a coordinated operation with the Elite Four. response:	But what's most surprising of all
context: Indeed!\Senketsu and I cannot defeat you in your current state.\However, if I give the Elite Four a fighting chance, it is possible!\Son of a...\Yes! It went according to plan!\I still can't believe that Satsuki proposed\a coordinated operation with the Elite Four.\But what's most surprising of all response:	is that you were able to accurately relay
context: Senketsu and I cannot defeat you in your current state.\However, if I give the Elite Four a fighting chance, it is possible!\Son of a...\Yes! It went according to plan!\I still can't believe that Satsuki proposed\a coordinated operation with the Elite Four.\But what's most surprising of all\is that you were able to accurately relay response:	such a convoluted message, Mankanshoku.
context: However, if I give the Elite Four a fighting chance, it is possible!\Son of a...\Yes! It went according to plan!\I still can't believe that Satsuki proposed\a coordinated operation with the Elite Four.\But what's most surprising of all\is that you were able to accurately relay\such a convoluted message, Mankanshoku. response:	She wrote it on my hands!
context: Son of a...\Yes! It went according to plan!\I still can't believe that Satsuki proposed\a coordinated operation with the Elite Four.\But what's most surprising of all\is that you were able to accurately relay\such a convoluted message, Mankanshoku.\She wrote it on my hands! response:	That girl thinks of everything.
context: Yes! It went according to plan!\I still can't believe that Satsuki proposed\a coordinated operation with the Elite Four.\But what's most surprising of all\is that you were able to accurately relay\such a convoluted message, Mankanshoku.\She wrote it on my hands!\That girl thinks of everything. response:	I can't believe you'd use yourself as bait.
context: I still can't believe that Satsuki proposed\a coordinated operation with the Elite Four.\But what's most surprising of all\is that you were able to accurately relay\such a convoluted message, Mankanshoku.\She wrote it on my hands!\That girl thinks of everything.\I can't believe you'd use yourself as bait. response:	I'd do anything to win.
context: a coordinated operation with the Elite Four.\But what's most surprising of all\is that you were able to accurately relay\such a convoluted message, Mankanshoku.\She wrote it on my hands!\That girl thinks of everything.\I can't believe you'd use yourself as bait.\I'd do anything to win. response:	Did you forget that that is my modus operandi?
context: But what's most surprising of all\is that you were able to accurately relay\such a convoluted message, Mankanshoku.\She wrote it on my hands!\That girl thinks of everything.\I can't believe you'd use yourself as bait.\I'd do anything to win.\Did you forget that that is my modus operandi? response:	And now we're going to pull you out of Junketsu
context: is that you were able to accurately relay\such a convoluted message, Mankanshoku.\She wrote it on my hands!\That girl thinks of everything.\I can't believe you'd use yourself as bait.\I'd do anything to win.\Did you forget that that is my modus operandi?\And now we're going to pull you out of Junketsu response:	and make you come back to your senses!
context: such a convoluted message, Mankanshoku.\She wrote it on my hands!\That girl thinks of everything.\I can't believe you'd use yourself as bait.\I'd do anything to win.\Did you forget that that is my modus operandi?\And now we're going to pull you out of Junketsu\and make you come back to your senses! response:	Why can't it separate Matoi?!
context: She wrote it on my hands!\That girl thinks of everything.\I can't believe you'd use yourself as bait.\I'd do anything to win.\Did you forget that that is my modus operandi?\And now we're going to pull you out of Junketsu\and make you come back to your senses!\Why can't it separate Matoi?! response:	Run! Gamagoori!
context: That girl thinks of everything.\I can't believe you'd use yourself as bait.\I'd do anything to win.\Did you forget that that is my modus operandi?\And now we're going to pull you out of Junketsu\and make you come back to your senses!\Why can't it separate Matoi?!\Run! Gamagoori! response:	Nui Harime!
context: I can't believe you'd use yourself as bait.\I'd do anything to win.\Did you forget that that is my modus operandi?\And now we're going to pull you out of Junketsu\and make you come back to your senses!\Why can't it separate Matoi?!\Run! Gamagoori!\Nui Harime! response:	You little
context: I'd do anything to win.\Did you forget that that is my modus operandi?\And now we're going to pull you out of Junketsu\and make you come back to your senses!\Why can't it separate Matoi?!\Run! Gamagoori!\Nui Harime!\You little response:	Nope, nope, nope!
context: Did you forget that that is my modus operandi?\And now we're going to pull you out of Junketsu\and make you come back to your senses!\Why can't it separate Matoi?!\Run! Gamagoori!\Nui Harime!\You little\Nope, nope, nope! response:	Gosh, you humans sure like to waste time on things that don't work, don't you?
context: And now we're going to pull you out of Junketsu\and make you come back to your senses!\Why can't it separate Matoi?!\Run! Gamagoori!\Nui Harime!\You little\Nope, nope, nope!\Gosh, you humans sure like to waste time on things that don't work, don't you? response:	Those bullets are never gonna hit me!
context: and make you come back to your senses!\Why can't it separate Matoi?!\Run! Gamagoori!\Nui Harime!\You little\Nope, nope, nope!\Gosh, you humans sure like to waste time on things that don't work, don't you?\Those bullets are never gonna hit me! response:	Ryuko will never be able to take off Junketsu.
context: Why can't it separate Matoi?!\Run! Gamagoori!\Nui Harime!\You little\Nope, nope, nope!\Gosh, you humans sure like to waste time on things that don't work, don't you?\Those bullets are never gonna hit me!\Ryuko will never be able to take off Junketsu. response:	Why not?
context: Run! Gamagoori!\Nui Harime!\You little\Nope, nope, nope!\Gosh, you humans sure like to waste time on things that don't work, don't you?\Those bullets are never gonna hit me!\Ryuko will never be able to take off Junketsu.\Why not? response:	Cause Junketsu's Life Fibers are tightly
context: Nui Harime!\You little\Nope, nope, nope!\Gosh, you humans sure like to waste time on things that don't work, don't you?\Those bullets are never gonna hit me!\Ryuko will never be able to take off Junketsu.\Why not?\Cause Junketsu's Life Fibers are tightly response:	linked with the ones inside Ryuko's body!
context: You little\Nope, nope, nope!\Gosh, you humans sure like to waste time on things that don't work, don't you?\Those bullets are never gonna hit me!\Ryuko will never be able to take off Junketsu.\Why not?\Cause Junketsu's Life Fibers are tightly\linked with the ones inside Ryuko's body! response:	If you try to pull Junketsu off, they'll snap, and she'll die from the shock!
context: Nope, nope, nope!\Gosh, you humans sure like to waste time on things that don't work, don't you?\Those bullets are never gonna hit me!\Ryuko will never be able to take off Junketsu.\Why not?\Cause Junketsu's Life Fibers are tightly\linked with the ones inside Ryuko's body!\If you try to pull Junketsu off, they'll snap, and she'll die from the shock! response:	What?!
context: Gosh, you humans sure like to waste time on things that don't work, don't you?\Those bullets are never gonna hit me!\Ryuko will never be able to take off Junketsu.\Why not?\Cause Junketsu's Life Fibers are tightly\linked with the ones inside Ryuko's body!\If you try to pull Junketsu off, they'll snap, and she'll die from the shock!\What?! response:	Why, you
context: Those bullets are never gonna hit me!\Ryuko will never be able to take off Junketsu.\Why not?\Cause Junketsu's Life Fibers are tightly\linked with the ones inside Ryuko's body!\If you try to pull Junketsu off, they'll snap, and she'll die from the shock!\What?!\Why, you response:	The Kamui's been stitched to her body?
context: Ryuko will never be able to take off Junketsu.\Why not?\Cause Junketsu's Life Fibers are tightly\linked with the ones inside Ryuko's body!\If you try to pull Junketsu off, they'll snap, and she'll die from the shock!\What?!\Why, you\The Kamui's been stitched to her body? response:	That's so mean! What kind of penalty game is that?!
context: Why not?\Cause Junketsu's Life Fibers are tightly\linked with the ones inside Ryuko's body!\If you try to pull Junketsu off, they'll snap, and she'll die from the shock!\What?!\Why, you\The Kamui's been stitched to her body?\That's so mean! What kind of penalty game is that?! response:	Mako Mankanshoku is on her way!
context: Cause Junketsu's Life Fibers are tightly\linked with the ones inside Ryuko's body!\If you try to pull Junketsu off, they'll snap, and she'll die from the shock!\What?!\Why, you\The Kamui's been stitched to her body?\That's so mean! What kind of penalty game is that?!\Mako Mankanshoku is on her way! response:	As a result of our recent successful buyout
context: linked with the ones inside Ryuko's body!\If you try to pull Junketsu off, they'll snap, and she'll die from the shock!\What?!\Why, you\The Kamui's been stitched to her body?\That's so mean! What kind of penalty game is that?!\Mako Mankanshoku is on her way!\As a result of our recent successful buyout response:	of China and India's garment factories,
context: If you try to pull Junketsu off, they'll snap, and she'll die from the shock!\What?!\Why, you\The Kamui's been stitched to her body?\That's so mean! What kind of penalty game is that?!\Mako Mankanshoku is on her way!\As a result of our recent successful buyout\of China and India's garment factories, response:	REVOCS now controls 100 of the world garment market.
context: What?!\Why, you\The Kamui's been stitched to her body?\That's so mean! What kind of penalty game is that?!\Mako Mankanshoku is on her way!\As a result of our recent successful buyout\of China and India's garment factories,\REVOCS now controls 100 of the world garment market. response:	This means that every human being on the planet
context: Why, you\The Kamui's been stitched to her body?\That's so mean! What kind of penalty game is that?!\Mako Mankanshoku is on her way!\As a result of our recent successful buyout\of China and India's garment factories,\REVOCS now controls 100 of the world garment market.\This means that every human being on the planet response:	is wearing our clothing in one form or another.
context: The Kamui's been stitched to her body?\That's so mean! What kind of penalty game is that?!\Mako Mankanshoku is on her way!\As a result of our recent successful buyout\of China and India's garment factories,\REVOCS now controls 100 of the world garment market.\This means that every human being on the planet\is wearing our clothing in one form or another. response:	Congratulations, ladies and gentlemen, Life Fibers have now spread to all humanity.
context: That's so mean! What kind of penalty game is that?!\Mako Mankanshoku is on her way!\As a result of our recent successful buyout\of China and India's garment factories,\REVOCS now controls 100 of the world garment market.\This means that every human being on the planet\is wearing our clothing in one form or another.\Congratulations, ladies and gentlemen, Life Fibers have now spread to all humanity. response:	And now, I ask you to perform one last task for me.
context: Mako Mankanshoku is on her way!\As a result of our recent successful buyout\of China and India's garment factories,\REVOCS now controls 100 of the world garment market.\This means that every human being on the planet\is wearing our clothing in one form or another.\Congratulations, ladies and gentlemen, Life Fibers have now spread to all humanity.\And now, I ask you to perform one last task for me. response:	After it arrived on Earth and gave us clothing,
context: As a result of our recent successful buyout\of China and India's garment factories,\REVOCS now controls 100 of the world garment market.\This means that every human being on the planet\is wearing our clothing in one form or another.\Congratulations, ladies and gentlemen, Life Fibers have now spread to all humanity.\And now, I ask you to perform one last task for me.\After it arrived on Earth and gave us clothing, response:	the Original Life Fiber, the cause of human evolution,
context: of China and India's garment factories,\REVOCS now controls 100 of the world garment market.\This means that every human being on the planet\is wearing our clothing in one form or another.\Congratulations, ladies and gentlemen, Life Fibers have now spread to all humanity.\And now, I ask you to perform one last task for me.\After it arrived on Earth and gave us clothing,\the Original Life Fiber, the cause of human evolution, response:	has remained asleep until the human race
