context: Manatsu-kun will be staying in the hospital for a few more days. response:	I'm fine now.
context: That young pilot is kind of cute.\Hey, now...\I hope we'll have some time to talk later.\Hey, there was another shuttle at the dock.\Where'd it come from?\That's the regular supply shuttle.\Regular?\There are twenty-five containers. response:	We've brought them all aboard.
context: Hey, now...\I hope we'll have some time to talk later.\Hey, there was another shuttle at the dock.\Where'd it come from?\That's the regular supply shuttle.\Regular?\There are twenty-five containers.\We've brought them all aboard. response:	Container loading confirmed.
context: I hope we'll have some time to talk later.\Hey, there was another shuttle at the dock.\Where'd it come from?\That's the regular supply shuttle.\Regular?\There are twenty-five containers.\We've brought them all aboard.\Container loading confirmed. response:	Thank you.
context: Hey, there was another shuttle at the dock.\Where'd it come from?\That's the regular supply shuttle.\Regular?\There are twenty-five containers.\We've brought them all aboard.\Container loading confirmed.\Thank you. response:	Yo.
context: Where'd it come from?\That's the regular supply shuttle.\Regular?\There are twenty-five containers.\We've brought them all aboard.\Container loading confirmed.\Thank you.\Yo. response:	Time for work, huh?
context: That's the regular supply shuttle.\Regular?\There are twenty-five containers.\We've brought them all aboard.\Container loading confirmed.\Thank you.\Yo.\Time for work, huh? response:	I'll help you.
context: Regular?\There are twenty-five containers.\We've brought them all aboard.\Container loading confirmed.\Thank you.\Yo.\Time for work, huh?\I'll help you. response:	You don't want to talk to your mother?
context: There are twenty-five containers.\We've brought them all aboard.\Container loading confirmed.\Thank you.\Yo.\Time for work, huh?\I'll help you.\You don't want to talk to your mother? response:	This seems more interesting.
context: We've brought them all aboard.\Container loading confirmed.\Thank you.\Yo.\Time for work, huh?\I'll help you.\You don't want to talk to your mother?\This seems more interesting. response:	And...
context: Container loading confirmed.\Thank you.\Yo.\Time for work, huh?\I'll help you.\You don't want to talk to your mother?\This seems more interesting.\And... response:	If you're going to use this, you need me!
context: Thank you.\Yo.\Time for work, huh?\I'll help you.\You don't want to talk to your mother?\This seems more interesting.\And...\If you're going to use this, you need me! response:	The corridor to the Kivotos Plan cold sleep block, also known as the Ark block,
context: Yo.\Time for work, huh?\I'll help you.\You don't want to talk to your mother?\This seems more interesting.\And...\If you're going to use this, you need me!\The corridor to the Kivotos Plan cold sleep block, also known as the Ark block, response:	is protected by dozens of bulkheads.
context: Time for work, huh?\I'll help you.\You don't want to talk to your mother?\This seems more interesting.\And...\If you're going to use this, you need me!\The corridor to the Kivotos Plan cold sleep block, also known as the Ark block,\is protected by dozens of bulkheads. response:	On the outside, it's a long-distance spaceflight staffed by volunteers.
context: I'll help you.\You don't want to talk to your mother?\This seems more interesting.\And...\If you're going to use this, you need me!\The corridor to the Kivotos Plan cold sleep block, also known as the Ark block,\is protected by dozens of bulkheads.\On the outside, it's a long-distance spaceflight staffed by volunteers. response:	But in reality, it's a secret plan for carefully chosen elites to escape Earth.
context: You don't want to talk to your mother?\This seems more interesting.\And...\If you're going to use this, you need me!\The corridor to the Kivotos Plan cold sleep block, also known as the Ark block,\is protected by dozens of bulkheads.\On the outside, it's a long-distance spaceflight staffed by volunteers.\But in reality, it's a secret plan for carefully chosen elites to escape Earth. response:	If this got out, there could be panic and rioting.
context: This seems more interesting.\And...\If you're going to use this, you need me!\The corridor to the Kivotos Plan cold sleep block, also known as the Ark block,\is protected by dozens of bulkheads.\On the outside, it's a long-distance spaceflight staffed by volunteers.\But in reality, it's a secret plan for carefully chosen elites to escape Earth.\If this got out, there could be panic and rioting. response:	Supposedly, my mom's requested that I be in the third group of sleepers.
context: And...\If you're going to use this, you need me!\The corridor to the Kivotos Plan cold sleep block, also known as the Ark block,\is protected by dozens of bulkheads.\On the outside, it's a long-distance spaceflight staffed by volunteers.\But in reality, it's a secret plan for carefully chosen elites to escape Earth.\If this got out, there could be panic and rioting.\Supposedly, my mom's requested that I be in the third group of sleepers. response:	The Ark Faction thinks anyone who stays on Earth will be destroyed.
context: If you're going to use this, you need me!\The corridor to the Kivotos Plan cold sleep block, also known as the Ark block,\is protected by dozens of bulkheads.\On the outside, it's a long-distance spaceflight staffed by volunteers.\But in reality, it's a secret plan for carefully chosen elites to escape Earth.\If this got out, there could be panic and rioting.\Supposedly, my mom's requested that I be in the third group of sleepers.\The Ark Faction thinks anyone who stays on Earth will be destroyed. response:	They're too pessimistic.
context: The corridor to the Kivotos Plan cold sleep block, also known as the Ark block,\is protected by dozens of bulkheads.\On the outside, it's a long-distance spaceflight staffed by volunteers.\But in reality, it's a secret plan for carefully chosen elites to escape Earth.\If this got out, there could be panic and rioting.\Supposedly, my mom's requested that I be in the third group of sleepers.\The Ark Faction thinks anyone who stays on Earth will be destroyed.\They're too pessimistic. response:	I'm definitely with the Intercept Faction.
context: is protected by dozens of bulkheads.\On the outside, it's a long-distance spaceflight staffed by volunteers.\But in reality, it's a secret plan for carefully chosen elites to escape Earth.\If this got out, there could be panic and rioting.\Supposedly, my mom's requested that I be in the third group of sleepers.\The Ark Faction thinks anyone who stays on Earth will be destroyed.\They're too pessimistic.\I'm definitely with the Intercept Faction. response:	Huh?
context: On the outside, it's a long-distance spaceflight staffed by volunteers.\But in reality, it's a secret plan for carefully chosen elites to escape Earth.\If this got out, there could be panic and rioting.\Supposedly, my mom's requested that I be in the third group of sleepers.\The Ark Faction thinks anyone who stays on Earth will be destroyed.\They're too pessimistic.\I'm definitely with the Intercept Faction.\Huh? response:	What's wrong?
context: But in reality, it's a secret plan for carefully chosen elites to escape Earth.\If this got out, there could be panic and rioting.\Supposedly, my mom's requested that I be in the third group of sleepers.\The Ark Faction thinks anyone who stays on Earth will be destroyed.\They're too pessimistic.\I'm definitely with the Intercept Faction.\Huh?\What's wrong? response:	Some of this sector's alarms have been shut off.
context: If this got out, there could be panic and rioting.\Supposedly, my mom's requested that I be in the third group of sleepers.\The Ark Faction thinks anyone who stays on Earth will be destroyed.\They're too pessimistic.\I'm definitely with the Intercept Faction.\Huh?\What's wrong?\Some of this sector's alarms have been shut off. response:	Someone else sneaked in.
context: Supposedly, my mom's requested that I be in the third group of sleepers.\The Ark Faction thinks anyone who stays on Earth will be destroyed.\They're too pessimistic.\I'm definitely with the Intercept Faction.\Huh?\What's wrong?\Some of this sector's alarms have been shut off.\Someone else sneaked in. response:	I think spies sneaked in from the supply shuttle at the dock.
context: The Ark Faction thinks anyone who stays on Earth will be destroyed.\They're too pessimistic.\I'm definitely with the Intercept Faction.\Huh?\What's wrong?\Some of this sector's alarms have been shut off.\Someone else sneaked in.\I think spies sneaked in from the supply shuttle at the dock. response:	Don't worry.
context: They're too pessimistic.\I'm definitely with the Intercept Faction.\Huh?\What's wrong?\Some of this sector's alarms have been shut off.\Someone else sneaked in.\I think spies sneaked in from the supply shuttle at the dock.\Don't worry. response:	As long as I'm here, we have the advantage.
context: I'm definitely with the Intercept Faction.\Huh?\What's wrong?\Some of this sector's alarms have been shut off.\Someone else sneaked in.\I think spies sneaked in from the supply shuttle at the dock.\Don't worry.\As long as I'm here, we have the advantage. response:	Logical, logical... Open sesame!
context: Huh?\What's wrong?\Some of this sector's alarms have been shut off.\Someone else sneaked in.\I think spies sneaked in from the supply shuttle at the dock.\Don't worry.\As long as I'm here, we have the advantage.\Logical, logical... Open sesame! response:	Let's hurry.
context: What's wrong?\Some of this sector's alarms have been shut off.\Someone else sneaked in.\I think spies sneaked in from the supply shuttle at the dock.\Don't worry.\As long as I'm here, we have the advantage.\Logical, logical... Open sesame!\Let's hurry. response:	Hey, how much do you know...
context: Some of this sector's alarms have been shut off.\Someone else sneaked in.\I think spies sneaked in from the supply shuttle at the dock.\Don't worry.\As long as I'm here, we have the advantage.\Logical, logical... Open sesame!\Let's hurry.\Hey, how much do you know... response:	You can call me Akari, Teppei.
context: Someone else sneaked in.\I think spies sneaked in from the supply shuttle at the dock.\Don't worry.\As long as I'm here, we have the advantage.\Logical, logical... Open sesame!\Let's hurry.\Hey, how much do you know...\You can call me Akari, Teppei. response:	How much do you know about this mission, Akari?
context: I think spies sneaked in from the supply shuttle at the dock.\Don't worry.\As long as I'm here, we have the advantage.\Logical, logical... Open sesame!\Let's hurry.\Hey, how much do you know...\You can call me Akari, Teppei.\How much do you know about this mission, Akari? response:	If you mean that the target was your gene donor,
context: Don't worry.\As long as I'm here, we have the advantage.\Logical, logical... Open sesame!\Let's hurry.\Hey, how much do you know...\You can call me Akari, Teppei.\How much do you know about this mission, Akari?\If you mean that the target was your gene donor, response:	they didn't tell me, but I know.
context: As long as I'm here, we have the advantage.\Logical, logical... Open sesame!\Let's hurry.\Hey, how much do you know...\You can call me Akari, Teppei.\How much do you know about this mission, Akari?\If you mean that the target was your gene donor,\they didn't tell me, but I know. response:	You learned it all through hacking?
context: Logical, logical... Open sesame!\Let's hurry.\Hey, how much do you know...\You can call me Akari, Teppei.\How much do you know about this mission, Akari?\If you mean that the target was your gene donor,\they didn't tell me, but I know.\You learned it all through hacking? response:	Well, yes, but...
context: Let's hurry.\Hey, how much do you know...\You can call me Akari, Teppei.\How much do you know about this mission, Akari?\If you mean that the target was your gene donor,\they didn't tell me, but I know.\You learned it all through hacking?\Well, yes, but... response:	When I looked at you,
context: Hey, how much do you know...\You can call me Akari, Teppei.\How much do you know about this mission, Akari?\If you mean that the target was your gene donor,\they didn't tell me, but I know.\You learned it all through hacking?\Well, yes, but...\When I looked at you, response:	I suddenly wanted to meet this person.
context: You can call me Akari, Teppei.\How much do you know about this mission, Akari?\If you mean that the target was your gene donor,\they didn't tell me, but I know.\You learned it all through hacking?\Well, yes, but...\When I looked at you,\I suddenly wanted to meet this person. response:	Number 10801F to number 10900F.
context: How much do you know about this mission, Akari?\If you mean that the target was your gene donor,\they didn't tell me, but I know.\You learned it all through hacking?\Well, yes, but...\When I looked at you,\I suddenly wanted to meet this person.\Number 10801F to number 10900F. response:	This is it.
context: If you mean that the target was your gene donor,\they didn't tell me, but I know.\You learned it all through hacking?\Well, yes, but...\When I looked at you,\I suddenly wanted to meet this person.\Number 10801F to number 10900F.\This is it. response:	It's finally time.
context: they didn't tell me, but I know.\You learned it all through hacking?\Well, yes, but...\When I looked at you,\I suddenly wanted to meet this person.\Number 10801F to number 10900F.\This is it.\It's finally time. response:	Teppei...
context: You learned it all through hacking?\Well, yes, but...\When I looked at you,\I suddenly wanted to meet this person.\Number 10801F to number 10900F.\This is it.\It's finally time.\Teppei... response:	Number 10878F.
context: Well, yes, but...\When I looked at you,\I suddenly wanted to meet this person.\Number 10801F to number 10900F.\This is it.\It's finally time.\Teppei...\Number 10878F. response:	I'm unloading it.
context: When I looked at you,\I suddenly wanted to meet this person.\Number 10801F to number 10900F.\This is it.\It's finally time.\Teppei...\Number 10878F.\I'm unloading it. response:	This man is my gene donor?
context: I suddenly wanted to meet this person.\Number 10801F to number 10900F.\This is it.\It's finally time.\Teppei...\Number 10878F.\I'm unloading it.\This man is my gene donor? response:	He looks more like a boy than a man...
context: Number 10801F to number 10900F.\This is it.\It's finally time.\Teppei...\Number 10878F.\I'm unloading it.\This man is my gene donor?\He looks more like a boy than a man... response:	This is bad...
context: This is it.\It's finally time.\Teppei...\Number 10878F.\I'm unloading it.\This man is my gene donor?\He looks more like a boy than a man...\This is bad... response:	They've entered the area.
context: It's finally time.\Teppei...\Number 10878F.\I'm unloading it.\This man is my gene donor?\He looks more like a boy than a man...\This is bad...\They've entered the area. response:	That was faster than I expected.
context: Teppei...\Number 10878F.\I'm unloading it.\This man is my gene donor?\He looks more like a boy than a man...\This is bad...\They've entered the area.\That was faster than I expected. response:	They'll be here before we can wake him.
context: Number 10878F.\I'm unloading it.\This man is my gene donor?\He looks more like a boy than a man...\This is bad...\They've entered the area.\That was faster than I expected.\They'll be here before we can wake him. response:	Doesn't this sector have emergency blast doors?
context: I'm unloading it.\This man is my gene donor?\He looks more like a boy than a man...\This is bad...\They've entered the area.\That was faster than I expected.\They'll be here before we can wake him.\Doesn't this sector have emergency blast doors? response:	Yeah.
context: This man is my gene donor?\He looks more like a boy than a man...\This is bad...\They've entered the area.\That was faster than I expected.\They'll be here before we can wake him.\Doesn't this sector have emergency blast doors?\Yeah. response:	Can you close them without triggering the alarm?
context: He looks more like a boy than a man...\This is bad...\They've entered the area.\That was faster than I expected.\They'll be here before we can wake him.\Doesn't this sector have emergency blast doors?\Yeah.\Can you close them without triggering the alarm? response:	It's impossible...
context: This is bad...\They've entered the area.\That was faster than I expected.\They'll be here before we can wake him.\Doesn't this sector have emergency blast doors?\Yeah.\Can you close them without triggering the alarm?\It's impossible... response:	For normal people.
context: They've entered the area.\That was faster than I expected.\They'll be here before we can wake him.\Doesn't this sector have emergency blast doors?\Yeah.\Can you close them without triggering the alarm?\It's impossible...\For normal people. response:	Leave it to the magical girl!
context: That was faster than I expected.\They'll be here before we can wake him.\Doesn't this sector have emergency blast doors?\Yeah.\Can you close them without triggering the alarm?\It's impossible...\For normal people.\Leave it to the magical girl! response:	We'll use the time to wake him, and take him through the emergency hatch in the back.
context: They'll be here before we can wake him.\Doesn't this sector have emergency blast doors?\Yeah.\Can you close them without triggering the alarm?\It's impossible...\For normal people.\Leave it to the magical girl!\We'll use the time to wake him, and take him through the emergency hatch in the back. response:	Calm down.
context: Doesn't this sector have emergency blast doors?\Yeah.\Can you close them without triggering the alarm?\It's impossible...\For normal people.\Leave it to the magical girl!\We'll use the time to wake him, and take him through the emergency hatch in the back.\Calm down. response:	Do you understand what I'm saying?
context: Yeah.\Can you close them without triggering the alarm?\It's impossible...\For normal people.\Leave it to the magical girl!\We'll use the time to wake him, and take him through the emergency hatch in the back.\Calm down.\Do you understand what I'm saying? response:	This is not part of the original Kivotos Plan program.
context: Can you close them without triggering the alarm?\It's impossible...\For normal people.\Leave it to the magical girl!\We'll use the time to wake him, and take him through the emergency hatch in the back.\Calm down.\Do you understand what I'm saying?\This is not part of the original Kivotos Plan program. response:	You've been awakened early for another reason.
context: It's impossible...\For normal people.\Leave it to the magical girl!\We'll use the time to wake him, and take him through the emergency hatch in the back.\Calm down.\Do you understand what I'm saying?\This is not part of the original Kivotos Plan program.\You've been awakened early for another reason. response:	Do you feel all right?
context: For normal people.\Leave it to the magical girl!\We'll use the time to wake him, and take him through the emergency hatch in the back.\Calm down.\Do you understand what I'm saying?\This is not part of the original Kivotos Plan program.\You've been awakened early for another reason.\Do you feel all right? response:	I'll ask again.
context: Leave it to the magical girl!\We'll use the time to wake him, and take him through the emergency hatch in the back.\Calm down.\Do you understand what I'm saying?\This is not part of the original Kivotos Plan program.\You've been awakened early for another reason.\Do you feel all right?\I'll ask again. response:	Do you understand what I'm saying?
context: We'll use the time to wake him, and take him through the emergency hatch in the back.\Calm down.\Do you understand what I'm saying?\This is not part of the original Kivotos Plan program.\You've been awakened early for another reason.\Do you feel all right?\I'll ask again.\Do you understand what I'm saying? response:	You're Teppei, aren't you?
context: Calm down.\Do you understand what I'm saying?\This is not part of the original Kivotos Plan program.\You've been awakened early for another reason.\Do you feel all right?\I'll ask again.\Do you understand what I'm saying?\You're Teppei, aren't you? response:	How do you know my name?
context: Do you understand what I'm saying?\This is not part of the original Kivotos Plan program.\You've been awakened early for another reason.\Do you feel all right?\I'll ask again.\Do you understand what I'm saying?\You're Teppei, aren't you?\How do you know my name? response:	I gave it to you.
context: This is not part of the original Kivotos Plan program.\You've been awakened early for another reason.\Do you feel all right?\I'll ask again.\Do you understand what I'm saying?\You're Teppei, aren't you?\How do you know my name?\I gave it to you. response:	I could tell with one look.
context: You've been awakened early for another reason.\Do you feel all right?\I'll ask again.\Do you understand what I'm saying?\You're Teppei, aren't you?\How do you know my name?\I gave it to you.\I could tell with one look. response:	Damn, you've grown up.
context: Do you feel all right?\I'll ask again.\Do you understand what I'm saying?\You're Teppei, aren't you?\How do you know my name?\I gave it to you.\I could tell with one look.\Damn, you've grown up. response:	We have to hurry.
context: I'll ask again.\Do you understand what I'm saying?\You're Teppei, aren't you?\How do you know my name?\I gave it to you.\I could tell with one look.\Damn, you've grown up.\We have to hurry. response:	They'll unlock the door soon.
context: Do you understand what I'm saying?\You're Teppei, aren't you?\How do you know my name?\I gave it to you.\I could tell with one look.\Damn, you've grown up.\We have to hurry.\They'll unlock the door soon. response:	Am I the target?
context: You're Teppei, aren't you?\How do you know my name?\I gave it to you.\I could tell with one look.\Damn, you've grown up.\We have to hurry.\They'll unlock the door soon.\Am I the target? response:	You seem to be a good hacker, miss.
context: How do you know my name?\I gave it to you.\I could tell with one look.\Damn, you've grown up.\We have to hurry.\They'll unlock the door soon.\Am I the target?\You seem to be a good hacker, miss. response:	Give me a line in, and I can do anything!
context: I gave it to you.\I could tell with one look.\Damn, you've grown up.\We have to hurry.\They'll unlock the door soon.\Am I the target?\You seem to be a good hacker, miss.\Give me a line in, and I can do anything! response:	After all, I'm a magical girl!
context: I could tell with one look.\Damn, you've grown up.\We have to hurry.\They'll unlock the door soon.\Am I the target?\You seem to be a good hacker, miss.\Give me a line in, and I can do anything!\After all, I'm a magical girl! response:	That's wonderful.
context: Damn, you've grown up.\We have to hurry.\They'll unlock the door soon.\Am I the target?\You seem to be a good hacker, miss.\Give me a line in, and I can do anything!\After all, I'm a magical girl!\That's wonderful. response:	The target's gone.
context: We have to hurry.\They'll unlock the door soon.\Am I the target?\You seem to be a good hacker, miss.\Give me a line in, and I can do anything!\After all, I'm a magical girl!\That's wonderful.\The target's gone. response:	Looks like someone got here before us.
context: They'll unlock the door soon.\Am I the target?\You seem to be a good hacker, miss.\Give me a line in, and I can do anything!\After all, I'm a magical girl!\That's wonderful.\The target's gone.\Looks like someone got here before us. response:	Come to think of it, there was a Tanegashima shuttle here, too.
context: Am I the target?\You seem to be a good hacker, miss.\Give me a line in, and I can do anything!\After all, I'm a magical girl!\That's wonderful.\The target's gone.\Looks like someone got here before us.\Come to think of it, there was a Tanegashima shuttle here, too. response:	I can't believe they beat us.
context: You seem to be a good hacker, miss.\Give me a line in, and I can do anything!\After all, I'm a magical girl!\That's wonderful.\The target's gone.\Looks like someone got here before us.\Come to think of it, there was a Tanegashima shuttle here, too.\I can't believe they beat us. response:	I hope that'll get them off our trail.
context: Give me a line in, and I can do anything!\After all, I'm a magical girl!\That's wonderful.\The target's gone.\Looks like someone got here before us.\Come to think of it, there was a Tanegashima shuttle here, too.\I can't believe they beat us.\I hope that'll get them off our trail. response:	I'm impressed you came up with this.
context: After all, I'm a magical girl!\That's wonderful.\The target's gone.\Looks like someone got here before us.\Come to think of it, there was a Tanegashima shuttle here, too.\I can't believe they beat us.\I hope that'll get them off our trail.\I'm impressed you came up with this. response:	Sorry to bother you.
context: That's wonderful.\The target's gone.\Looks like someone got here before us.\Come to think of it, there was a Tanegashima shuttle here, too.\I can't believe they beat us.\I hope that'll get them off our trail.\I'm impressed you came up with this.\Sorry to bother you. response:	Okay, let's go.
context: The target's gone.\Looks like someone got here before us.\Come to think of it, there was a Tanegashima shuttle here, too.\I can't believe they beat us.\I hope that'll get them off our trail.\I'm impressed you came up with this.\Sorry to bother you.\Okay, let's go. response:	Wait!
context: Looks like someone got here before us.\Come to think of it, there was a Tanegashima shuttle here, too.\I can't believe they beat us.\I hope that'll get them off our trail.\I'm impressed you came up with this.\Sorry to bother you.\Okay, let's go.\Wait! response:	Thanks.
context: Come to think of it, there was a Tanegashima shuttle here, too.\I can't believe they beat us.\I hope that'll get them off our trail.\I'm impressed you came up with this.\Sorry to bother you.\Okay, let's go.\Wait!\Thanks. response:	Sure...
context: I can't believe they beat us.\I hope that'll get them off our trail.\I'm impressed you came up with this.\Sorry to bother you.\Okay, let's go.\Wait!\Thanks.\Sure... response:	Is she your girlfriend?
context: I hope that'll get them off our trail.\I'm impressed you came up with this.\Sorry to bother you.\Okay, let's go.\Wait!\Thanks.\Sure...\Is she your girlfriend? response:	No, she isn't.
context: I'm impressed you came up with this.\Sorry to bother you.\Okay, let's go.\Wait!\Thanks.\Sure...\Is she your girlfriend?\No, she isn't. response:	At your age, your mom and dad were already in love.
context: Sorry to bother you.\Okay, let's go.\Wait!\Thanks.\Sure...\Is she your girlfriend?\No, she isn't.\At your age, your mom and dad were already in love. response:	My dad...
context: Okay, let's go.\Wait!\Thanks.\Sure...\Is she your girlfriend?\No, she isn't.\At your age, your mom and dad were already in love.\My dad... response:	By the way...
context: Wait!\Thanks.\Sure...\Is she your girlfriend?\No, she isn't.\At your age, your mom and dad were already in love.\My dad...\By the way... response:	What is a dad?
context: Thanks.\Sure...\Is she your girlfriend?\No, she isn't.\At your age, your mom and dad were already in love.\My dad...\By the way...\What is a dad? response:	I don't have a dad.
context: Sure...\Is she your girlfriend?\No, she isn't.\At your age, your mom and dad were already in love.\My dad...\By the way...\What is a dad?\I don't have a dad. response:	An ambush, huh?
context: Is she your girlfriend?\No, she isn't.\At your age, your mom and dad were already in love.\My dad...\By the way...\What is a dad?\I don't have a dad.\An ambush, huh? response:	Just one, I think.
context: No, she isn't.\At your age, your mom and dad were already in love.\My dad...\By the way...\What is a dad?\I don't have a dad.\An ambush, huh?\Just one, I think. response:	I'm amazed you could tell.
context: At your age, your mom and dad were already in love.\My dad...\By the way...\What is a dad?\I don't have a dad.\An ambush, huh?\Just one, I think.\I'm amazed you could tell. response:	Do you have any weapons?
context: My dad...\By the way...\What is a dad?\I don't have a dad.\An ambush, huh?\Just one, I think.\I'm amazed you could tell.\Do you have any weapons? response:	This is a tranquilizer gun.
context: By the way...\What is a dad?\I don't have a dad.\An ambush, huh?\Just one, I think.\I'm amazed you could tell.\Do you have any weapons?\This is a tranquilizer gun. response:	Okay.
context: What is a dad?\I don't have a dad.\An ambush, huh?\Just one, I think.\I'm amazed you could tell.\Do you have any weapons?\This is a tranquilizer gun.\Okay. response:	Guess we'll use that... and these.
context: I don't have a dad.\An ambush, huh?\Just one, I think.\I'm amazed you could tell.\Do you have any weapons?\This is a tranquilizer gun.\Okay.\Guess we'll use that... and these. response:	Empty spacesuits?
context: An ambush, huh?\Just one, I think.\I'm amazed you could tell.\Do you have any weapons?\This is a tranquilizer gun.\Okay.\Guess we'll use that... and these.\Empty spacesuits? response:	Are you okay?
context: Just one, I think.\I'm amazed you could tell.\Do you have any weapons?\This is a tranquilizer gun.\Okay.\Guess we'll use that... and these.\Empty spacesuits?\Are you okay? response:	Thanks.
context: I'm amazed you could tell.\Do you have any weapons?\This is a tranquilizer gun.\Okay.\Guess we'll use that... and these.\Empty spacesuits?\Are you okay?\Thanks. response:	There's a high probability that they know where we are now.
context: Do you have any weapons?\This is a tranquilizer gun.\Okay.\Guess we'll use that... and these.\Empty spacesuits?\Are you okay?\Thanks.\There's a high probability that they know where we are now. response:	Staying here is dangerous.
context: This is a tranquilizer gun.\Okay.\Guess we'll use that... and these.\Empty spacesuits?\Are you okay?\Thanks.\There's a high probability that they know where we are now.\Staying here is dangerous. response:	Let's look for spacesuits.
context: Okay.\Guess we'll use that... and these.\Empty spacesuits?\Are you okay?\Thanks.\There's a high probability that they know where we are now.\Staying here is dangerous.\Let's look for spacesuits. response:	You're going outside?
context: Guess we'll use that... and these.\Empty spacesuits?\Are you okay?\Thanks.\There's a high probability that they know where we are now.\Staying here is dangerous.\Let's look for spacesuits.\You're going outside? response:	The external hatches aren't electronically controlled.
context: Empty spacesuits?\Are you okay?\Thanks.\There's a high probability that they know where we are now.\Staying here is dangerous.\Let's look for spacesuits.\You're going outside?\The external hatches aren't electronically controlled. response:	You need a key.
context: Are you okay?\Thanks.\There's a high probability that they know where we are now.\Staying here is dangerous.\Let's look for spacesuits.\You're going outside?\The external hatches aren't electronically controlled.\You need a key. response:	Here it is.
context: Thanks.\There's a high probability that they know where we are now.\Staying here is dangerous.\Let's look for spacesuits.\You're going outside?\The external hatches aren't electronically controlled.\You need a key.\Here it is. response:	Plastic explosives?
context: There's a high probability that they know where we are now.\Staying here is dangerous.\Let's look for spacesuits.\You're going outside?\The external hatches aren't electronically controlled.\You need a key.\Here it is.\Plastic explosives? response:	We can use it to go outside, reach the dock, and steal their shuttle.
context: Staying here is dangerous.\Let's look for spacesuits.\You're going outside?\The external hatches aren't electronically controlled.\You need a key.\Here it is.\Plastic explosives?\We can use it to go outside, reach the dock, and steal their shuttle. response:	But we have our own shuttle.
context: Let's look for spacesuits.\You're going outside?\The external hatches aren't electronically controlled.\You need a key.\Here it is.\Plastic explosives?\We can use it to go outside, reach the dock, and steal their shuttle.\But we have our own shuttle. response:	Given the nature of their operation,
context: You're going outside?\The external hatches aren't electronically controlled.\You need a key.\Here it is.\Plastic explosives?\We can use it to go outside, reach the dock, and steal their shuttle.\But we have our own shuttle.\Given the nature of their operation, response:	their shuttle will be ready to leave at a moment's notice.
context: The external hatches aren't electronically controlled.\You need a key.\Here it is.\Plastic explosives?\We can use it to go outside, reach the dock, and steal their shuttle.\But we have our own shuttle.\Given the nature of their operation,\their shuttle will be ready to leave at a moment's notice. response:	Stealing it will be faster.
context: You need a key.\Here it is.\Plastic explosives?\We can use it to go outside, reach the dock, and steal their shuttle.\But we have our own shuttle.\Given the nature of their operation,\their shuttle will be ready to leave at a moment's notice.\Stealing it will be faster. response:	With your magic, we can take over their navigation system, right?
context: Here it is.\Plastic explosives?\We can use it to go outside, reach the dock, and steal their shuttle.\But we have our own shuttle.\Given the nature of their operation,\their shuttle will be ready to leave at a moment's notice.\Stealing it will be faster.\With your magic, we can take over their navigation system, right? response:	That's crazy!
context: Plastic explosives?\We can use it to go outside, reach the dock, and steal their shuttle.\But we have our own shuttle.\Given the nature of their operation,\their shuttle will be ready to leave at a moment's notice.\Stealing it will be faster.\With your magic, we can take over their navigation system, right?\That's crazy! response:	Do as your dad says.
context: We can use it to go outside, reach the dock, and steal their shuttle.\But we have our own shuttle.\Given the nature of their operation,\their shuttle will be ready to leave at a moment's notice.\Stealing it will be faster.\With your magic, we can take over their navigation system, right?\That's crazy!\Do as your dad says. response:	Trouble with bulkhead 1883.
context: But we have our own shuttle.\Given the nature of their operation,\their shuttle will be ready to leave at a moment's notice.\Stealing it will be faster.\With your magic, we can take over their navigation system, right?\That's crazy!\Do as your dad says.\Trouble with bulkhead 1883. response:	What?
context: Given the nature of their operation,\their shuttle will be ready to leave at a moment's notice.\Stealing it will be faster.\With your magic, we can take over their navigation system, right?\That's crazy!\Do as your dad says.\Trouble with bulkhead 1883.\What? response:	What's this?
context: their shuttle will be ready to leave at a moment's notice.\Stealing it will be faster.\With your magic, we can take over their navigation system, right?\That's crazy!\Do as your dad says.\Trouble with bulkhead 1883.\What?\What's this? response:	What's wrong?
context: Stealing it will be faster.\With your magic, we can take over their navigation system, right?\That's crazy!\Do as your dad says.\Trouble with bulkhead 1883.\What?\What's this?\What's wrong? response:	That's their shuttle.
context: With your magic, we can take over their navigation system, right?\That's crazy!\Do as your dad says.\Trouble with bulkhead 1883.\What?\What's this?\What's wrong?\That's their shuttle. response:	He's definitely armed.
context: That's crazy!\Do as your dad says.\Trouble with bulkhead 1883.\What?\What's this?\What's wrong?\That's their shuttle.\He's definitely armed. response:	What?
context: Do as your dad says.\Trouble with bulkhead 1883.\What?\What's this?\What's wrong?\That's their shuttle.\He's definitely armed.\What? response:	Hey, Teppei, your dad
context: Trouble with bulkhead 1883.\What?\What's this?\What's wrong?\That's their shuttle.\He's definitely armed.\What?\Hey, Teppei, your dad response:	Listen.
context: What?\What's this?\What's wrong?\That's their shuttle.\He's definitely armed.\What?\Hey, Teppei, your dad\Listen. response:	Would you stop calling yourself that?
context: What's this?\What's wrong?\That's their shuttle.\He's definitely armed.\What?\Hey, Teppei, your dad\Listen.\Would you stop calling yourself that? response:	I don't know what you may think,
context: What's wrong?\That's their shuttle.\He's definitely armed.\What?\Hey, Teppei, your dad\Listen.\Would you stop calling yourself that?\I don't know what you may think, response:	but I don't see you that way.
