context: Five... response:	Four...
context: I've indicated the frequency on this graph.\Would appearing in a dream really lead to an increased awareness?\Even I've had you and other people appear in my dreams.\What happened between us in that dream?\Is that information necessary?\Tell me. If the information is accurate, having more will do no harm.\We... held hands.\Information must be recorded precisely. response:	Time you've appeared in dreams
context: Would appearing in a dream really lead to an increased awareness?\Even I've had you and other people appear in my dreams.\What happened between us in that dream?\Is that information necessary?\Tell me. If the information is accurate, having more will do no harm.\We... held hands.\Information must be recorded precisely.\Time you've appeared in dreams response:	holding my hand.
context: Even I've had you and other people appear in my dreams.\What happened between us in that dream?\Is that information necessary?\Tell me. If the information is accurate, having more will do no harm.\We... held hands.\Information must be recorded precisely.\Time you've appeared in dreams\holding my hand. response:	Ambiguous phrasing will only hinder analysis of
context: What happened between us in that dream?\Is that information necessary?\Tell me. If the information is accurate, having more will do no harm.\We... held hands.\Information must be recorded precisely.\Time you've appeared in dreams\holding my hand.\Ambiguous phrasing will only hinder analysis of response:	Yukimura-kun, didn't you also say I've appeared in your dreams, as well?
context: Is that information necessary?\Tell me. If the information is accurate, having more will do no harm.\We... held hands.\Information must be recorded precisely.\Time you've appeared in dreams\holding my hand.\Ambiguous phrasing will only hinder analysis of\Yukimura-kun, didn't you also say I've appeared in your dreams, as well? response:	What happened between us in the dream?
context: Tell me. If the information is accurate, having more will do no harm.\We... held hands.\Information must be recorded precisely.\Time you've appeared in dreams\holding my hand.\Ambiguous phrasing will only hinder analysis of\Yukimura-kun, didn't you also say I've appeared in your dreams, as well?\What happened between us in the dream? response:	Is that information necessary?
context: We... held hands.\Information must be recorded precisely.\Time you've appeared in dreams\holding my hand.\Ambiguous phrasing will only hinder analysis of\Yukimura-kun, didn't you also say I've appeared in your dreams, as well?\What happened between us in the dream?\Is that information necessary? response:	If the information is accurate, having more will do no harm. Isn't that right?
context: Information must be recorded precisely.\Time you've appeared in dreams\holding my hand.\Ambiguous phrasing will only hinder analysis of\Yukimura-kun, didn't you also say I've appeared in your dreams, as well?\What happened between us in the dream?\Is that information necessary?\If the information is accurate, having more will do no harm. Isn't that right? response:	We... held hands.
context: Time you've appeared in dreams\holding my hand.\Ambiguous phrasing will only hinder analysis of\Yukimura-kun, didn't you also say I've appeared in your dreams, as well?\What happened between us in the dream?\Is that information necessary?\If the information is accurate, having more will do no harm. Isn't that right?\We... held hands. response:	Wh-What did you say?
context: holding my hand.\Ambiguous phrasing will only hinder analysis of\Yukimura-kun, didn't you also say I've appeared in your dreams, as well?\What happened between us in the dream?\Is that information necessary?\If the information is accurate, having more will do no harm. Isn't that right?\We... held hands.\Wh-What did you say? response:	This point of commonality...
context: Ambiguous phrasing will only hinder analysis of\Yukimura-kun, didn't you also say I've appeared in your dreams, as well?\What happened between us in the dream?\Is that information necessary?\If the information is accurate, having more will do no harm. Isn't that right?\We... held hands.\Wh-What did you say?\This point of commonality... response:	Is it simply coincidence?
context: Yukimura-kun, didn't you also say I've appeared in your dreams, as well?\What happened between us in the dream?\Is that information necessary?\If the information is accurate, having more will do no harm. Isn't that right?\We... held hands.\Wh-What did you say?\This point of commonality...\Is it simply coincidence? response:	At this stage, I can't say anything for certain, however, it may indicate relatedness.
context: What happened between us in the dream?\Is that information necessary?\If the information is accurate, having more will do no harm. Isn't that right?\We... held hands.\Wh-What did you say?\This point of commonality...\Is it simply coincidence?\At this stage, I can't say anything for certain, however, it may indicate relatedness. response:	Even when science-types fall in love,
context: Is that information necessary?\If the information is accurate, having more will do no harm. Isn't that right?\We... held hands.\Wh-What did you say?\This point of commonality...\Is it simply coincidence?\At this stage, I can't say anything for certain, however, it may indicate relatedness.\Even when science-types fall in love, response:	the progress is slower than a turtle's.
context: If the information is accurate, having more will do no harm. Isn't that right?\We... held hands.\Wh-What did you say?\This point of commonality...\Is it simply coincidence?\At this stage, I can't say anything for certain, however, it may indicate relatedness.\Even when science-types fall in love,\the progress is slower than a turtle's. response:	Good morning!
context: We... held hands.\Wh-What did you say?\This point of commonality...\Is it simply coincidence?\At this stage, I can't say anything for certain, however, it may indicate relatedness.\Even when science-types fall in love,\the progress is slower than a turtle's.\Good morning! response:	Oh! Himuro-senpai! Yukimura-senpai!
context: Wh-What did you say?\This point of commonality...\Is it simply coincidence?\At this stage, I can't say anything for certain, however, it may indicate relatedness.\Even when science-types fall in love,\the progress is slower than a turtle's.\Good morning!\Oh! Himuro-senpai! Yukimura-senpai! response:	Saitama University 4th year college student Kanade Kotonoha Height: 162 cm Weight:? Blood type: B Hobbies: Making sweets, shojo manga Favorite foods: Snacks, sweets Favorite phrase: Halcyon days Idol: Her middle school homeroom teacher, Sayama Future goals: Still thinking about it
context: This point of commonality...\Is it simply coincidence?\At this stage, I can't say anything for certain, however, it may indicate relatedness.\Even when science-types fall in love,\the progress is slower than a turtle's.\Good morning!\Oh! Himuro-senpai! Yukimura-senpai!\Saitama University 4th year college student Kanade Kotonoha Height: 162 cm Weight:? Blood type: B Hobbies: Making sweets, shojo manga Favorite foods: Snacks, sweets Favorite phrase: Halcyon days Idol: Her middle school homeroom teacher, Sayama Future goals: Still thinking about it response:	You're early again tod
context: Is it simply coincidence?\At this stage, I can't say anything for certain, however, it may indicate relatedness.\Even when science-types fall in love,\the progress is slower than a turtle's.\Good morning!\Oh! Himuro-senpai! Yukimura-senpai!\Saitama University 4th year college student Kanade Kotonoha Height: 162 cm Weight:? Blood type: B Hobbies: Making sweets, shojo manga Favorite foods: Snacks, sweets Favorite phrase: Halcyon days Idol: Her middle school homeroom teacher, Sayama Future goals: Still thinking about it\You're early again tod response:	Which means that romantic affection
context: At this stage, I can't say anything for certain, however, it may indicate relatedness.\Even when science-types fall in love,\the progress is slower than a turtle's.\Good morning!\Oh! Himuro-senpai! Yukimura-senpai!\Saitama University 4th year college student Kanade Kotonoha Height: 162 cm Weight:? Blood type: B Hobbies: Making sweets, shojo manga Favorite foods: Snacks, sweets Favorite phrase: Halcyon days Idol: Her middle school homeroom teacher, Sayama Future goals: Still thinking about it\You're early again tod\Which means that romantic affection response:	and the question of its determination can be rendered as a formula like this.
context: Even when science-types fall in love,\the progress is slower than a turtle's.\Good morning!\Oh! Himuro-senpai! Yukimura-senpai!\Saitama University 4th year college student Kanade Kotonoha Height: 162 cm Weight:? Blood type: B Hobbies: Making sweets, shojo manga Favorite foods: Snacks, sweets Favorite phrase: Halcyon days Idol: Her middle school homeroom teacher, Sayama Future goals: Still thinking about it\You're early again tod\Which means that romantic affection\and the question of its determination can be rendered as a formula like this. response:	A is in love with B (A,BHuman) Is this determination possible?
context: the progress is slower than a turtle's.\Good morning!\Oh! Himuro-senpai! Yukimura-senpai!\Saitama University 4th year college student Kanade Kotonoha Height: 162 cm Weight:? Blood type: B Hobbies: Making sweets, shojo manga Favorite foods: Snacks, sweets Favorite phrase: Halcyon days Idol: Her middle school homeroom teacher, Sayama Future goals: Still thinking about it\You're early again tod\Which means that romantic affection\and the question of its determination can be rendered as a formula like this.\A is in love with B (A,BHuman) Is this determination possible? response:	A is in love with B.
context: Good morning!\Oh! Himuro-senpai! Yukimura-senpai!\Saitama University 4th year college student Kanade Kotonoha Height: 162 cm Weight:? Blood type: B Hobbies: Making sweets, shojo manga Favorite foods: Snacks, sweets Favorite phrase: Halcyon days Idol: Her middle school homeroom teacher, Sayama Future goals: Still thinking about it\You're early again tod\Which means that romantic affection\and the question of its determination can be rendered as a formula like this.\A is in love with B (A,BHuman) Is this determination possible?\A is in love with B. response:	Parenthesis, A and B belong to the category of human, close parenthesis.
context: Oh! Himuro-senpai! Yukimura-senpai!\Saitama University 4th year college student Kanade Kotonoha Height: 162 cm Weight:? Blood type: B Hobbies: Making sweets, shojo manga Favorite foods: Snacks, sweets Favorite phrase: Halcyon days Idol: Her middle school homeroom teacher, Sayama Future goals: Still thinking about it\You're early again tod\Which means that romantic affection\and the question of its determination can be rendered as a formula like this.\A is in love with B (A,BHuman) Is this determination possible?\A is in love with B.\Parenthesis, A and B belong to the category of human, close parenthesis. response:	Is this determination possible?
context: Saitama University 4th year college student Kanade Kotonoha Height: 162 cm Weight:? Blood type: B Hobbies: Making sweets, shojo manga Favorite foods: Snacks, sweets Favorite phrase: Halcyon days Idol: Her middle school homeroom teacher, Sayama Future goals: Still thinking about it\You're early again tod\Which means that romantic affection\and the question of its determination can be rendered as a formula like this.\A is in love with B (A,BHuman) Is this determination possible?\A is in love with B.\Parenthesis, A and B belong to the category of human, close parenthesis.\Is this determination possible? response:	Being togetherhhh increases heart rate
context: You're early again tod\Which means that romantic affection\and the question of its determination can be rendered as a formula like this.\A is in love with B (A,BHuman) Is this determination possible?\A is in love with B.\Parenthesis, A and B belong to the category of human, close parenthesis.\Is this determination possible?\Being togetherhhh increases heart rate response:	If by finding the conditions which generally indicate love,
context: Which means that romantic affection\and the question of its determination can be rendered as a formula like this.\A is in love with B (A,BHuman) Is this determination possible?\A is in love with B.\Parenthesis, A and B belong to the category of human, close parenthesis.\Is this determination possible?\Being togetherhhh increases heart rate\If by finding the conditions which generally indicate love, response:	Appears in dreams
context: and the question of its determination can be rendered as a formula like this.\A is in love with B (A,BHuman) Is this determination possible?\A is in love with B.\Parenthesis, A and B belong to the category of human, close parenthesis.\Is this determination possible?\Being togetherhhh increases heart rate\If by finding the conditions which generally indicate love,\Appears in dreams response:	Captivated by the sight of the person thinking
context: A is in love with B (A,BHuman) Is this determination possible?\A is in love with B.\Parenthesis, A and B belong to the category of human, close parenthesis.\Is this determination possible?\Being togetherhhh increases heart rate\If by finding the conditions which generally indicate love,\Appears in dreams\Captivated by the sight of the person thinking response:	Being together is funhhhhh
context: A is in love with B.\Parenthesis, A and B belong to the category of human, close parenthesis.\Is this determination possible?\Being togetherhhh increases heart rate\If by finding the conditions which generally indicate love,\Appears in dreams\Captivated by the sight of the person thinking\Being together is funhhhhh response:	Found one's self looking at the personhh
context: Parenthesis, A and B belong to the category of human, close parenthesis.\Is this determination possible?\Being togetherhhh increases heart rate\If by finding the conditions which generally indicate love,\Appears in dreams\Captivated by the sight of the person thinking\Being together is funhhhhh\Found one's self looking at the personhh response:	Ends up waiting for the person to reply to textsh
context: Is this determination possible?\Being togetherhhh increases heart rate\If by finding the conditions which generally indicate love,\Appears in dreams\Captivated by the sight of the person thinking\Being together is funhhhhh\Found one's self looking at the personhh\Ends up waiting for the person to reply to textsh response:	Thinks of the person every spare momenth
context: Being togetherhhh increases heart rate\If by finding the conditions which generally indicate love,\Appears in dreams\Captivated by the sight of the person thinking\Being together is funhhhhh\Found one's self looking at the personhh\Ends up waiting for the person to reply to textsh\Thinks of the person every spare momenth response:	we can construct a Turing machine like this, then...
context: If by finding the conditions which generally indicate love,\Appears in dreams\Captivated by the sight of the person thinking\Being together is funhhhhh\Found one's self looking at the personhh\Ends up waiting for the person to reply to textsh\Thinks of the person every spare momenth\we can construct a Turing machine like this, then... response:	If conditions are met
context: Appears in dreams\Captivated by the sight of the person thinking\Being together is funhhhhh\Found one's self looking at the personhh\Ends up waiting for the person to reply to textsh\Thinks of the person every spare momenth\we can construct a Turing machine like this, then...\If conditions are met response:	If conditions aren't met
context: Captivated by the sight of the person thinking\Being together is funhhhhh\Found one's self looking at the personhh\Ends up waiting for the person to reply to textsh\Thinks of the person every spare momenth\we can construct a Turing machine like this, then...\If conditions are met\If conditions aren't met response:	Love is output
context: Being together is funhhhhh\Found one's self looking at the personhh\Ends up waiting for the person to reply to textsh\Thinks of the person every spare momenth\we can construct a Turing machine like this, then...\If conditions are met\If conditions aren't met\Love is output response:	Not love is output
context: Found one's self looking at the personhh\Ends up waiting for the person to reply to textsh\Thinks of the person every spare momenth\we can construct a Turing machine like this, then...\If conditions are met\If conditions aren't met\Love is output\Not love is output response:	Which means we can determine whether I love you or not. Correct?
context: Ends up waiting for the person to reply to textsh\Thinks of the person every spare momenth\we can construct a Turing machine like this, then...\If conditions are met\If conditions aren't met\Love is output\Not love is output\Which means we can determine whether I love you or not. Correct? response:	Not just that. We can also determine whether I love you or not.
context: Thinks of the person every spare momenth\we can construct a Turing machine like this, then...\If conditions are met\If conditions aren't met\Love is output\Not love is output\Which means we can determine whether I love you or not. Correct?\Not just that. We can also determine whether I love you or not. response:	This research topic is much more interesting than I'd originally thought.
context: we can construct a Turing machine like this, then...\If conditions are met\If conditions aren't met\Love is output\Not love is output\Which means we can determine whether I love you or not. Correct?\Not just that. We can also determine whether I love you or not.\This research topic is much more interesting than I'd originally thought. response:	I'd thought romance was something only for idiots who run on impulses and urges, but...
context: If conditions are met\If conditions aren't met\Love is output\Not love is output\Which means we can determine whether I love you or not. Correct?\Not just that. We can also determine whether I love you or not.\This research topic is much more interesting than I'd originally thought.\I'd thought romance was something only for idiots who run on impulses and urges, but... response:	It appears even romance is an aggregation of numbers and data!
context: If conditions aren't met\Love is output\Not love is output\Which means we can determine whether I love you or not. Correct?\Not just that. We can also determine whether I love you or not.\This research topic is much more interesting than I'd originally thought.\I'd thought romance was something only for idiots who run on impulses and urges, but...\It appears even romance is an aggregation of numbers and data! response:	We'll find the proof.
context: Love is output\Not love is output\Which means we can determine whether I love you or not. Correct?\Not just that. We can also determine whether I love you or not.\This research topic is much more interesting than I'd originally thought.\I'd thought romance was something only for idiots who run on impulses and urges, but...\It appears even romance is an aggregation of numbers and data!\We'll find the proof. response:	What is this ridiculous couple talking about?
context: Not love is output\Which means we can determine whether I love you or not. Correct?\Not just that. We can also determine whether I love you or not.\This research topic is much more interesting than I'd originally thought.\I'd thought romance was something only for idiots who run on impulses and urges, but...\It appears even romance is an aggregation of numbers and data!\We'll find the proof.\What is this ridiculous couple talking about? response:	Will this be okay?
context: Which means we can determine whether I love you or not. Correct?\Not just that. We can also determine whether I love you or not.\This research topic is much more interesting than I'd originally thought.\I'd thought romance was something only for idiots who run on impulses and urges, but...\It appears even romance is an aggregation of numbers and data!\We'll find the proof.\What is this ridiculous couple talking about?\Will this be okay? response:	Y-Yukimura-kun...
context: Not just that. We can also determine whether I love you or not.\This research topic is much more interesting than I'd originally thought.\I'd thought romance was something only for idiots who run on impulses and urges, but...\It appears even romance is an aggregation of numbers and data!\We'll find the proof.\What is this ridiculous couple talking about?\Will this be okay?\Y-Yukimura-kun... response:	W-We shouldn't be doing this...
context: This research topic is much more interesting than I'd originally thought.\I'd thought romance was something only for idiots who run on impulses and urges, but...\It appears even romance is an aggregation of numbers and data!\We'll find the proof.\What is this ridiculous couple talking about?\Will this be okay?\Y-Yukimura-kun...\W-We shouldn't be doing this... response:	We're not done with our experiment. Don't try to escape, Himuro.
context: I'd thought romance was something only for idiots who run on impulses and urges, but...\It appears even romance is an aggregation of numbers and data!\We'll find the proof.\What is this ridiculous couple talking about?\Will this be okay?\Y-Yukimura-kun...\W-We shouldn't be doing this...\We're not done with our experiment. Don't try to escape, Himuro. response:	Yuki...mura-kun...
context: It appears even romance is an aggregation of numbers and data!\We'll find the proof.\What is this ridiculous couple talking about?\Will this be okay?\Y-Yukimura-kun...\W-We shouldn't be doing this...\We're not done with our experiment. Don't try to escape, Himuro.\Yuki...mura-kun... response:	Right. We're done.
context: We'll find the proof.\What is this ridiculous couple talking about?\Will this be okay?\Y-Yukimura-kun...\W-We shouldn't be doing this...\We're not done with our experiment. Don't try to escape, Himuro.\Yuki...mura-kun...\Right. We're done. response:	Starting at 3:27 pm for ten seconds.
context: What is this ridiculous couple talking about?\Will this be okay?\Y-Yukimura-kun...\W-We shouldn't be doing this...\We're not done with our experiment. Don't try to escape, Himuro.\Yuki...mura-kun...\Right. We're done.\Starting at 3:27 pm for ten seconds. response:	The experiment concerned the action commonly known as a wall slam.
context: Will this be okay?\Y-Yukimura-kun...\W-We shouldn't be doing this...\We're not done with our experiment. Don't try to escape, Himuro.\Yuki...mura-kun...\Right. We're done.\Starting at 3:27 pm for ten seconds.\The experiment concerned the action commonly known as a wall slam. response:	Hmm... Unclear...
context: Y-Yukimura-kun...\W-We shouldn't be doing this...\We're not done with our experiment. Don't try to escape, Himuro.\Yuki...mura-kun...\Right. We're done.\Starting at 3:27 pm for ten seconds.\The experiment concerned the action commonly known as a wall slam.\Hmm... Unclear... response:	Trembling due to nervousness... Agitation in the voice...
context: W-We shouldn't be doing this...\We're not done with our experiment. Don't try to escape, Himuro.\Yuki...mura-kun...\Right. We're done.\Starting at 3:27 pm for ten seconds.\The experiment concerned the action commonly known as a wall slam.\Hmm... Unclear...\Trembling due to nervousness... Agitation in the voice... response:	Yukimura-kun, it's obvious you aren't used to this sort of thing.
context: We're not done with our experiment. Don't try to escape, Himuro.\Yuki...mura-kun...\Right. We're done.\Starting at 3:27 pm for ten seconds.\The experiment concerned the action commonly known as a wall slam.\Hmm... Unclear...\Trembling due to nervousness... Agitation in the voice...\Yukimura-kun, it's obvious you aren't used to this sort of thing. response:	We are not interested in that kind of data.
context: Yuki...mura-kun...\Right. We're done.\Starting at 3:27 pm for ten seconds.\The experiment concerned the action commonly known as a wall slam.\Hmm... Unclear...\Trembling due to nervousness... Agitation in the voice...\Yukimura-kun, it's obvious you aren't used to this sort of thing.\We are not interested in that kind of data. response:	The important thing here is your heart rate. How was it?
context: Right. We're done.\Starting at 3:27 pm for ten seconds.\The experiment concerned the action commonly known as a wall slam.\Hmm... Unclear...\Trembling due to nervousness... Agitation in the voice...\Yukimura-kun, it's obvious you aren't used to this sort of thing.\We are not interested in that kind of data.\The important thing here is your heart rate. How was it? response:	Heart rate of 147.
context: Starting at 3:27 pm for ten seconds.\The experiment concerned the action commonly known as a wall slam.\Hmm... Unclear...\Trembling due to nervousness... Agitation in the voice...\Yukimura-kun, it's obvious you aren't used to this sort of thing.\We are not interested in that kind of data.\The important thing here is your heart rate. How was it?\Heart rate of 147. response:	That's on par with an all-out sprint.
context: The experiment concerned the action commonly known as a wall slam.\Hmm... Unclear...\Trembling due to nervousness... Agitation in the voice...\Yukimura-kun, it's obvious you aren't used to this sort of thing.\We are not interested in that kind of data.\The important thing here is your heart rate. How was it?\Heart rate of 147.\That's on par with an all-out sprint. response:	For all your complaints, your heart rate was quite elevated.
context: Hmm... Unclear...\Trembling due to nervousness... Agitation in the voice...\Yukimura-kun, it's obvious you aren't used to this sort of thing.\We are not interested in that kind of data.\The important thing here is your heart rate. How was it?\Heart rate of 147.\That's on par with an all-out sprint.\For all your complaints, your heart rate was quite elevated. response:	At any rate...
context: Trembling due to nervousness... Agitation in the voice...\Yukimura-kun, it's obvious you aren't used to this sort of thing.\We are not interested in that kind of data.\The important thing here is your heart rate. How was it?\Heart rate of 147.\That's on par with an all-out sprint.\For all your complaints, your heart rate was quite elevated.\At any rate... response:	If we continue these sorts of experiments, we may be able to find the proof
context: Yukimura-kun, it's obvious you aren't used to this sort of thing.\We are not interested in that kind of data.\The important thing here is your heart rate. How was it?\Heart rate of 147.\That's on par with an all-out sprint.\For all your complaints, your heart rate was quite elevated.\At any rate...\If we continue these sorts of experiments, we may be able to find the proof response:	as to whether I love you or not, Yukimura-kun.
context: We are not interested in that kind of data.\The important thing here is your heart rate. How was it?\Heart rate of 147.\That's on par with an all-out sprint.\For all your complaints, your heart rate was quite elevated.\At any rate...\If we continue these sorts of experiments, we may be able to find the proof\as to whether I love you or not, Yukimura-kun. response:	Let's move on to the next.
context: The important thing here is your heart rate. How was it?\Heart rate of 147.\That's on par with an all-out sprint.\For all your complaints, your heart rate was quite elevated.\At any rate...\If we continue these sorts of experiments, we may be able to find the proof\as to whether I love you or not, Yukimura-kun.\Let's move on to the next. response:	Yes.
context: Heart rate of 147.\That's on par with an all-out sprint.\For all your complaints, your heart rate was quite elevated.\At any rate...\If we continue these sorts of experiments, we may be able to find the proof\as to whether I love you or not, Yukimura-kun.\Let's move on to the next.\Yes. response:	Well, if I had to say what the two of them are up to, it'd be...
context: That's on par with an all-out sprint.\For all your complaints, your heart rate was quite elevated.\At any rate...\If we continue these sorts of experiments, we may be able to find the proof\as to whether I love you or not, Yukimura-kun.\Let's move on to the next.\Yes.\Well, if I had to say what the two of them are up to, it'd be... response:	minutes prior.
context: For all your complaints, your heart rate was quite elevated.\At any rate...\If we continue these sorts of experiments, we may be able to find the proof\as to whether I love you or not, Yukimura-kun.\Let's move on to the next.\Yes.\Well, if I had to say what the two of them are up to, it'd be...\minutes prior. response:	minute prior.
context: At any rate...\If we continue these sorts of experiments, we may be able to find the proof\as to whether I love you or not, Yukimura-kun.\Let's move on to the next.\Yes.\Well, if I had to say what the two of them are up to, it'd be...\minutes prior.\minute prior. response:	minutes prior.
context: If we continue these sorts of experiments, we may be able to find the proof\as to whether I love you or not, Yukimura-kun.\Let's move on to the next.\Yes.\Well, if I had to say what the two of them are up to, it'd be...\minutes prior.\minute prior.\minutes prior. response:	Preconditions for believing you're in love with someone...is that right?
context: as to whether I love you or not, Yukimura-kun.\Let's move on to the next.\Yes.\Well, if I had to say what the two of them are up to, it'd be...\minutes prior.\minute prior.\minutes prior.\Preconditions for believing you're in love with someone...is that right? response:	Kanade-chan, what kinds of things make you think you've fallen in love with someone?
context: Let's move on to the next.\Yes.\Well, if I had to say what the two of them are up to, it'd be...\minutes prior.\minute prior.\minutes prior.\Preconditions for believing you're in love with someone...is that right?\Kanade-chan, what kinds of things make you think you've fallen in love with someone? response:	M-Me?
context: Yes.\Well, if I had to say what the two of them are up to, it'd be...\minutes prior.\minute prior.\minutes prior.\Preconditions for believing you're in love with someone...is that right?\Kanade-chan, what kinds of things make you think you've fallen in love with someone?\M-Me? response:	Well, let's see...
context: Well, if I had to say what the two of them are up to, it'd be...\minutes prior.\minute prior.\minutes prior.\Preconditions for believing you're in love with someone...is that right?\Kanade-chan, what kinds of things make you think you've fallen in love with someone?\M-Me?\Well, let's see... response:	Oh!
context: minutes prior.\minute prior.\minutes prior.\Preconditions for believing you're in love with someone...is that right?\Kanade-chan, what kinds of things make you think you've fallen in love with someone?\M-Me?\Well, let's see...\Oh! response:	Wham
context: minute prior.\minutes prior.\Preconditions for believing you're in love with someone...is that right?\Kanade-chan, what kinds of things make you think you've fallen in love with someone?\M-Me?\Well, let's see...\Oh!\Wham response:	ba-dump
context: minutes prior.\Preconditions for believing you're in love with someone...is that right?\Kanade-chan, what kinds of things make you think you've fallen in love with someone?\M-Me?\Well, let's see...\Oh!\Wham\ba-dump response:	ba-dump
context: Preconditions for believing you're in love with someone...is that right?\Kanade-chan, what kinds of things make you think you've fallen in love with someone?\M-Me?\Well, let's see...\Oh!\Wham\ba-dump\ba-dump response:	hhhhh hhhhhhhhhhhh hHender- hson-kun... hhhhhhhhh hhhhhhhhhh
context: Kanade-chan, what kinds of things make you think you've fallen in love with someone?\M-Me?\Well, let's see...\Oh!\Wham\ba-dump\ba-dump\hhhhh hhhhhhhhhhhh hHender- hson-kun... hhhhhhhhh hhhhhhhhhh response:	This kind of thing.
context: M-Me?\Well, let's see...\Oh!\Wham\ba-dump\ba-dump\hhhhh hhhhhhhhhhhh hHender- hson-kun... hhhhhhhhh hhhhhhhhhh\This kind of thing. response:	When I feel my heart racing... that kind of thing. Probably.
context: Well, let's see...\Oh!\Wham\ba-dump\ba-dump\hhhhh hhhhhhhhhhhh hHender- hson-kun... hhhhhhhhh hhhhhhhhhh\This kind of thing.\When I feel my heart racing... that kind of thing. Probably. response:	Your heart racing?
context: Oh!\Wham\ba-dump\ba-dump\hhhhh hhhhhhhhhhhh hHender- hson-kun... hhhhhhhhh hhhhhhhhhh\This kind of thing.\When I feel my heart racing... that kind of thing. Probably.\Your heart racing? response:	That's one of the preconditions Himuro listed for love, too.
context: Wham\ba-dump\ba-dump\hhhhh hhhhhhhhhhhh hHender- hson-kun... hhhhhhhhh hhhhhhhhhh\This kind of thing.\When I feel my heart racing... that kind of thing. Probably.\Your heart racing?\That's one of the preconditions Himuro listed for love, too. response:	That's right! That's it!
context: ba-dump\ba-dump\hhhhh hhhhhhhhhhhh hHender- hson-kun... hhhhhhhhh hhhhhhhhhh\This kind of thing.\When I feel my heart racing... that kind of thing. Probably.\Your heart racing?\That's one of the preconditions Himuro listed for love, too.\That's right! That's it! response:	Heart rate!
context: ba-dump\hhhhh hhhhhhhhhhhh hHender- hson-kun... hhhhhhhhh hhhhhhhhhh\This kind of thing.\When I feel my heart racing... that kind of thing. Probably.\Your heart racing?\That's one of the preconditions Himuro listed for love, too.\That's right! That's it!\Heart rate! response:	If we monitor heart rate,
context: hhhhh hhhhhhhhhhhh hHender- hson-kun... hhhhhhhhh hhhhhhhhhh\This kind of thing.\When I feel my heart racing... that kind of thing. Probably.\Your heart racing?\That's one of the preconditions Himuro listed for love, too.\That's right! That's it!\Heart rate!\If we monitor heart rate, response:	we can quantitatively measure thrilling palpitations of love.
context: This kind of thing.\When I feel my heart racing... that kind of thing. Probably.\Your heart racing?\That's one of the preconditions Himuro listed for love, too.\That's right! That's it!\Heart rate!\If we monitor heart rate,\we can quantitatively measure thrilling palpitations of love. response:	Science-types always
context: When I feel my heart racing... that kind of thing. Probably.\Your heart racing?\That's one of the preconditions Himuro listed for love, too.\That's right! That's it!\Heart rate!\If we monitor heart rate,\we can quantitatively measure thrilling palpitations of love.\Science-types always response:	Ready a heart rate monitor!
context: Your heart racing?\That's one of the preconditions Himuro listed for love, too.\That's right! That's it!\Heart rate!\If we monitor heart rate,\we can quantitatively measure thrilling palpitations of love.\Science-types always\Ready a heart rate monitor! response:	feel reassured when things can be converted into numbers.
context: That's one of the preconditions Himuro listed for love, too.\That's right! That's it!\Heart rate!\If we monitor heart rate,\we can quantitatively measure thrilling palpitations of love.\Science-types always\Ready a heart rate monitor!\feel reassured when things can be converted into numbers. response:	We'll start the experiments immediately!
context: That's right! That's it!\Heart rate!\If we monitor heart rate,\we can quantitatively measure thrilling palpitations of love.\Science-types always\Ready a heart rate monitor!\feel reassured when things can be converted into numbers.\We'll start the experiments immediately! response:	All right.
context: Heart rate!\If we monitor heart rate,\we can quantitatively measure thrilling palpitations of love.\Science-types always\Ready a heart rate monitor!\feel reassured when things can be converted into numbers.\We'll start the experiments immediately!\All right. response:	Now, then.
context: If we monitor heart rate,\we can quantitatively measure thrilling palpitations of love.\Science-types always\Ready a heart rate monitor!\feel reassured when things can be converted into numbers.\We'll start the experiments immediately!\All right.\Now, then. response:	Shall we continue our If I do this with someone I love, my heart will race situations?
context: we can quantitatively measure thrilling palpitations of love.\Science-types always\Ready a heart rate monitor!\feel reassured when things can be converted into numbers.\We'll start the experiments immediately!\All right.\Now, then.\Shall we continue our If I do this with someone I love, my heart will race situations? response:	We should. After doing the wall slam we should...
context: Science-types always\Ready a heart rate monitor!\feel reassured when things can be converted into numbers.\We'll start the experiments immediately!\All right.\Now, then.\Shall we continue our If I do this with someone I love, my heart will race situations?\We should. After doing the wall slam we should... response:	I have no idea.
context: Ready a heart rate monitor!\feel reassured when things can be converted into numbers.\We'll start the experiments immediately!\All right.\Now, then.\Shall we continue our If I do this with someone I love, my heart will race situations?\We should. After doing the wall slam we should...\I have no idea. response:	Romantic Experience: Zero.
context: feel reassured when things can be converted into numbers.\We'll start the experiments immediately!\All right.\Now, then.\Shall we continue our If I do this with someone I love, my heart will race situations?\We should. After doing the wall slam we should...\I have no idea.\Romantic Experience: Zero. response:	At times like these, we should look it up on the Internet.
context: We'll start the experiments immediately!\All right.\Now, then.\Shall we continue our If I do this with someone I love, my heart will race situations?\We should. After doing the wall slam we should...\I have no idea.\Romantic Experience: Zero.\At times like these, we should look it up on the Internet. response:	Information on the Internet comes from unverified sources. I don't like it.
context: All right.\Now, then.\Shall we continue our If I do this with someone I love, my heart will race situations?\We should. After doing the wall slam we should...\I have no idea.\Romantic Experience: Zero.\At times like these, we should look it up on the Internet.\Information on the Internet comes from unverified sources. I don't like it. response:	But I suppose we have no choice.
