context: Dungeons are places such as abandoned structures, response:	fortresses, shrines, or caves.
context: Yes, thank you.\One day, I'll get even with you.\I didn't know you were the type to hold a grudge, my lord.\How petty.\What about you, Akatsuki?\You seem a little grouchy today.\Not at all.\You are. response:	Am not.
context: One day, I'll get even with you.\I didn't know you were the type to hold a grudge, my lord.\How petty.\What about you, Akatsuki?\You seem a little grouchy today.\Not at all.\You are.\Am not. response:	Are, too!
context: I didn't know you were the type to hold a grudge, my lord.\How petty.\What about you, Akatsuki?\You seem a little grouchy today.\Not at all.\You are.\Am not.\Are, too! response:	My lord!
context: How petty.\What about you, Akatsuki?\You seem a little grouchy today.\Not at all.\You are.\Am not.\Are, too!\My lord! response:	Pear Jam Maihama
context: What about you, Akatsuki?\You seem a little grouchy today.\Not at all.\You are.\Am not.\Are, too!\My lord!\Pear Jam Maihama response:	The jam.
context: You seem a little grouchy today.\Not at all.\You are.\Am not.\Are, too!\My lord!\Pear Jam Maihama\The jam. response:	Pass me the jam.
context: Not at all.\You are.\Am not.\Are, too!\My lord!\Pear Jam Maihama\The jam.\Pass me the jam. response:	Oh, right... Right, right.
context: You are.\Am not.\Are, too!\My lord!\Pear Jam Maihama\The jam.\Pass me the jam.\Oh, right... Right, right. response:	By the way, Michitaka...
context: Am not.\Are, too!\My lord!\Pear Jam Maihama\The jam.\Pass me the jam.\Oh, right... Right, right.\By the way, Michitaka... response:	Did we bring any cooks with us?
context: Are, too!\My lord!\Pear Jam Maihama\The jam.\Pass me the jam.\Oh, right... Right, right.\By the way, Michitaka...\Did we bring any cooks with us? response:	Hmm? A few...
context: My lord!\Pear Jam Maihama\The jam.\Pass me the jam.\Oh, right... Right, right.\By the way, Michitaka...\Did we bring any cooks with us?\Hmm? A few... response:	We should call in the support squad.
context: Pear Jam Maihama\The jam.\Pass me the jam.\Oh, right... Right, right.\By the way, Michitaka...\Did we bring any cooks with us?\Hmm? A few...\We should call in the support squad. response:	Indeed.
context: The jam.\Pass me the jam.\Oh, right... Right, right.\By the way, Michitaka...\Did we bring any cooks with us?\Hmm? A few...\We should call in the support squad.\Indeed. response:	What do you mean?
context: Pass me the jam.\Oh, right... Right, right.\By the way, Michitaka...\Did we bring any cooks with us?\Hmm? A few...\We should call in the support squad.\Indeed.\What do you mean? response:	From the size of this terrace, I believe they're expecting guests.
context: Oh, right... Right, right.\By the way, Michitaka...\Did we bring any cooks with us?\Hmm? A few...\We should call in the support squad.\Indeed.\What do you mean?\From the size of this terrace, I believe they're expecting guests. response:	Guests?
context: By the way, Michitaka...\Did we bring any cooks with us?\Hmm? A few...\We should call in the support squad.\Indeed.\What do you mean?\From the size of this terrace, I believe they're expecting guests.\Guests? response:	Nobles?
context: Did we bring any cooks with us?\Hmm? A few...\We should call in the support squad.\Indeed.\What do you mean?\From the size of this terrace, I believe they're expecting guests.\Guests?\Nobles? response:	The conference lasts for ten days.
context: Hmm? A few...\We should call in the support squad.\Indeed.\What do you mean?\From the size of this terrace, I believe they're expecting guests.\Guests?\Nobles?\The conference lasts for ten days. response:	But it isn't held every day.
context: We should call in the support squad.\Indeed.\What do you mean?\From the size of this terrace, I believe they're expecting guests.\Guests?\Nobles?\The conference lasts for ten days.\But it isn't held every day. response:	The majority is backroom deals and private meetings.
context: Indeed.\What do you mean?\From the size of this terrace, I believe they're expecting guests.\Guests?\Nobles?\The conference lasts for ten days.\But it isn't held every day.\The majority is backroom deals and private meetings. response:	Like a tea party, you might say.
context: What do you mean?\From the size of this terrace, I believe they're expecting guests.\Guests?\Nobles?\The conference lasts for ten days.\But it isn't held every day.\The majority is backroom deals and private meetings.\Like a tea party, you might say. response:	The politics here are more complicated than I'd expected...
context: From the size of this terrace, I believe they're expecting guests.\Guests?\Nobles?\The conference lasts for ten days.\But it isn't held every day.\The majority is backroom deals and private meetings.\Like a tea party, you might say.\The politics here are more complicated than I'd expected... response:	Within Eastal's League of Freedom Cities, there are twenty-four noble families.
context: Guests?\Nobles?\The conference lasts for ten days.\But it isn't held every day.\The majority is backroom deals and private meetings.\Like a tea party, you might say.\The politics here are more complicated than I'd expected...\Within Eastal's League of Freedom Cities, there are twenty-four noble families. response:	Add in the Round Table, and it's twenty-five.
context: Nobles?\The conference lasts for ten days.\But it isn't held every day.\The majority is backroom deals and private meetings.\Like a tea party, you might say.\The politics here are more complicated than I'd expected...\Within Eastal's League of Freedom Cities, there are twenty-four noble families.\Add in the Round Table, and it's twenty-five. response:	Lord Sergiatte's city, Maihama, has a population of thirty thousand or so.
context: The conference lasts for ten days.\But it isn't held every day.\The majority is backroom deals and private meetings.\Like a tea party, you might say.\The politics here are more complicated than I'd expected...\Within Eastal's League of Freedom Cities, there are twenty-four noble families.\Add in the Round Table, and it's twenty-five.\Lord Sergiatte's city, Maihama, has a population of thirty thousand or so. response:	That puts Akihabara's strength, with its twenty thousand, into perspective.
context: But it isn't held every day.\The majority is backroom deals and private meetings.\Like a tea party, you might say.\The politics here are more complicated than I'd expected...\Within Eastal's League of Freedom Cities, there are twenty-four noble families.\Add in the Round Table, and it's twenty-five.\Lord Sergiatte's city, Maihama, has a population of thirty thousand or so.\That puts Akihabara's strength, with its twenty thousand, into perspective. response:	I have a good idea as to what the nobles seek.
context: The majority is backroom deals and private meetings.\Like a tea party, you might say.\The politics here are more complicated than I'd expected...\Within Eastal's League of Freedom Cities, there are twenty-four noble families.\Add in the Round Table, and it's twenty-five.\Lord Sergiatte's city, Maihama, has a population of thirty thousand or so.\That puts Akihabara's strength, with its twenty thousand, into perspective.\I have a good idea as to what the nobles seek. response:	Their first goal
context: Like a tea party, you might say.\The politics here are more complicated than I'd expected...\Within Eastal's League of Freedom Cities, there are twenty-four noble families.\Add in the Round Table, and it's twenty-five.\Lord Sergiatte's city, Maihama, has a population of thirty thousand or so.\That puts Akihabara's strength, with its twenty thousand, into perspective.\I have a good idea as to what the nobles seek.\Their first goal response:	was to learn the scope of Akihabara and the Round Table's ambitions.
context: The politics here are more complicated than I'd expected...\Within Eastal's League of Freedom Cities, there are twenty-four noble families.\Add in the Round Table, and it's twenty-five.\Lord Sergiatte's city, Maihama, has a population of thirty thousand or so.\That puts Akihabara's strength, with its twenty thousand, into perspective.\I have a good idea as to what the nobles seek.\Their first goal\was to learn the scope of Akihabara and the Round Table's ambitions. response:	But last night, at the ball, it's likely that we dispelled some of those concerns.
context: Within Eastal's League of Freedom Cities, there are twenty-four noble families.\Add in the Round Table, and it's twenty-five.\Lord Sergiatte's city, Maihama, has a population of thirty thousand or so.\That puts Akihabara's strength, with its twenty thousand, into perspective.\I have a good idea as to what the nobles seek.\Their first goal\was to learn the scope of Akihabara and the Round Table's ambitions.\But last night, at the ball, it's likely that we dispelled some of those concerns. response:	So, next, they'll try to win us to their side...
context: Add in the Round Table, and it's twenty-five.\Lord Sergiatte's city, Maihama, has a population of thirty thousand or so.\That puts Akihabara's strength, with its twenty thousand, into perspective.\I have a good idea as to what the nobles seek.\Their first goal\was to learn the scope of Akihabara and the Round Table's ambitions.\But last night, at the ball, it's likely that we dispelled some of those concerns.\So, next, they'll try to win us to their side... response:	Yes.
context: Lord Sergiatte's city, Maihama, has a population of thirty thousand or so.\That puts Akihabara's strength, with its twenty thousand, into perspective.\I have a good idea as to what the nobles seek.\Their first goal\was to learn the scope of Akihabara and the Round Table's ambitions.\But last night, at the ball, it's likely that we dispelled some of those concerns.\So, next, they'll try to win us to their side...\Yes. response:	Since the Apocalypse,
context: That puts Akihabara's strength, with its twenty thousand, into perspective.\I have a good idea as to what the nobles seek.\Their first goal\was to learn the scope of Akihabara and the Round Table's ambitions.\But last night, at the ball, it's likely that we dispelled some of those concerns.\So, next, they'll try to win us to their side...\Yes.\Since the Apocalypse, response:	we haven't received any quests from the People of the Land, after all.
context: I have a good idea as to what the nobles seek.\Their first goal\was to learn the scope of Akihabara and the Round Table's ambitions.\But last night, at the ball, it's likely that we dispelled some of those concerns.\So, next, they'll try to win us to their side...\Yes.\Since the Apocalypse,\we haven't received any quests from the People of the Land, after all. response:	The May incident caused all this.
context: Their first goal\was to learn the scope of Akihabara and the Round Table's ambitions.\But last night, at the ball, it's likely that we dispelled some of those concerns.\So, next, they'll try to win us to their side...\Yes.\Since the Apocalypse,\we haven't received any quests from the People of the Land, after all.\The May incident caused all this. response:	Supposedly, the adventurers call it the Apocalypse.
context: was to learn the scope of Akihabara and the Round Table's ambitions.\But last night, at the ball, it's likely that we dispelled some of those concerns.\So, next, they'll try to win us to their side...\Yes.\Since the Apocalypse,\we haven't received any quests from the People of the Land, after all.\The May incident caused all this.\Supposedly, the adventurers call it the Apocalypse. response:	Until now, Akihabara adventurers were merely a disorganized mob.
context: But last night, at the ball, it's likely that we dispelled some of those concerns.\So, next, they'll try to win us to their side...\Yes.\Since the Apocalypse,\we haven't received any quests from the People of the Land, after all.\The May incident caused all this.\Supposedly, the adventurers call it the Apocalypse.\Until now, Akihabara adventurers were merely a disorganized mob. response:	That made them easy to deal with individually.
context: So, next, they'll try to win us to their side...\Yes.\Since the Apocalypse,\we haven't received any quests from the People of the Land, after all.\The May incident caused all this.\Supposedly, the adventurers call it the Apocalypse.\Until now, Akihabara adventurers were merely a disorganized mob.\That made them easy to deal with individually. response:	That's true.
context: Yes.\Since the Apocalypse,\we haven't received any quests from the People of the Land, after all.\The May incident caused all this.\Supposedly, the adventurers call it the Apocalypse.\Until now, Akihabara adventurers were merely a disorganized mob.\That made them easy to deal with individually.\That's true. response:	Exterminating monsters, guarding caravans...
context: Since the Apocalypse,\we haven't received any quests from the People of the Land, after all.\The May incident caused all this.\Supposedly, the adventurers call it the Apocalypse.\Until now, Akihabara adventurers were merely a disorganized mob.\That made them easy to deal with individually.\That's true.\Exterminating monsters, guarding caravans... response:	As long as we paid them, they were willing to do anything.
context: we haven't received any quests from the People of the Land, after all.\The May incident caused all this.\Supposedly, the adventurers call it the Apocalypse.\Until now, Akihabara adventurers were merely a disorganized mob.\That made them easy to deal with individually.\That's true.\Exterminating monsters, guarding caravans...\As long as we paid them, they were willing to do anything. response:	But since then, they've stopped coming to our territory almost entirely.
context: The May incident caused all this.\Supposedly, the adventurers call it the Apocalypse.\Until now, Akihabara adventurers were merely a disorganized mob.\That made them easy to deal with individually.\That's true.\Exterminating monsters, guarding caravans...\As long as we paid them, they were willing to do anything.\But since then, they've stopped coming to our territory almost entirely. response:	And now, they've founded that Round Table,
context: Supposedly, the adventurers call it the Apocalypse.\Until now, Akihabara adventurers were merely a disorganized mob.\That made them easy to deal with individually.\That's true.\Exterminating monsters, guarding caravans...\As long as we paid them, they were willing to do anything.\But since then, they've stopped coming to our territory almost entirely.\And now, they've founded that Round Table, response:	trying to rule their city just like we do!
context: Until now, Akihabara adventurers were merely a disorganized mob.\That made them easy to deal with individually.\That's true.\Exterminating monsters, guarding caravans...\As long as we paid them, they were willing to do anything.\But since then, they've stopped coming to our territory almost entirely.\And now, they've founded that Round Table,\trying to rule their city just like we do! response:	I've heard their technology advances by the moment.
context: That made them easy to deal with individually.\That's true.\Exterminating monsters, guarding caravans...\As long as we paid them, they were willing to do anything.\But since then, they've stopped coming to our territory almost entirely.\And now, they've founded that Round Table,\trying to rule their city just like we do!\I've heard their technology advances by the moment. response:	We must get them on our side, and fast!
context: That's true.\Exterminating monsters, guarding caravans...\As long as we paid them, they were willing to do anything.\But since then, they've stopped coming to our territory almost entirely.\And now, they've founded that Round Table,\trying to rule their city just like we do!\I've heard their technology advances by the moment.\We must get them on our side, and fast! response:	If we screw this up, we could find ourselves left behind!
context: Exterminating monsters, guarding caravans...\As long as we paid them, they were willing to do anything.\But since then, they've stopped coming to our territory almost entirely.\And now, they've founded that Round Table,\trying to rule their city just like we do!\I've heard their technology advances by the moment.\We must get them on our side, and fast!\If we screw this up, we could find ourselves left behind! response:	They need our power.
context: As long as we paid them, they were willing to do anything.\But since then, they've stopped coming to our territory almost entirely.\And now, they've founded that Round Table,\trying to rule their city just like we do!\I've heard their technology advances by the moment.\We must get them on our side, and fast!\If we screw this up, we could find ourselves left behind!\They need our power. response:	But they'll never act like our inferiors.
context: But since then, they've stopped coming to our territory almost entirely.\And now, they've founded that Round Table,\trying to rule their city just like we do!\I've heard their technology advances by the moment.\We must get them on our side, and fast!\If we screw this up, we could find ourselves left behind!\They need our power.\But they'll never act like our inferiors. response:	Most likely, they'll grant a noble title to Crusty or the Round Table.
context: And now, they've founded that Round Table,\trying to rule their city just like we do!\I've heard their technology advances by the moment.\We must get them on our side, and fast!\If we screw this up, we could find ourselves left behind!\They need our power.\But they'll never act like our inferiors.\Most likely, they'll grant a noble title to Crusty or the Round Table. response:	Always trying to put us in their debt...
context: trying to rule their city just like we do!\I've heard their technology advances by the moment.\We must get them on our side, and fast!\If we screw this up, we could find ourselves left behind!\They need our power.\But they'll never act like our inferiors.\Most likely, they'll grant a noble title to Crusty or the Round Table.\Always trying to put us in their debt... response:	The problem is how to deal with them when they come to us individually,
context: I've heard their technology advances by the moment.\We must get them on our side, and fast!\If we screw this up, we could find ourselves left behind!\They need our power.\But they'll never act like our inferiors.\Most likely, they'll grant a noble title to Crusty or the Round Table.\Always trying to put us in their debt...\The problem is how to deal with them when they come to us individually, response:	rather than through the Round Table.
context: We must get them on our side, and fast!\If we screw this up, we could find ourselves left behind!\They need our power.\But they'll never act like our inferiors.\Most likely, they'll grant a noble title to Crusty or the Round Table.\Always trying to put us in their debt...\The problem is how to deal with them when they come to us individually,\rather than through the Round Table. response:	It's a difficult problem.
context: If we screw this up, we could find ourselves left behind!\They need our power.\But they'll never act like our inferiors.\Most likely, they'll grant a noble title to Crusty or the Round Table.\Always trying to put us in their debt...\The problem is how to deal with them when they come to us individually,\rather than through the Round Table.\It's a difficult problem. response:	Most likely, some nobles will try to speak to individuals or to guilds in the future.
context: They need our power.\But they'll never act like our inferiors.\Most likely, they'll grant a noble title to Crusty or the Round Table.\Always trying to put us in their debt...\The problem is how to deal with them when they come to us individually,\rather than through the Round Table.\It's a difficult problem.\Most likely, some nobles will try to speak to individuals or to guilds in the future. response:	But both the combat and craft guilds are likely to want
context: But they'll never act like our inferiors.\Most likely, they'll grant a noble title to Crusty or the Round Table.\Always trying to put us in their debt...\The problem is how to deal with them when they come to us individually,\rather than through the Round Table.\It's a difficult problem.\Most likely, some nobles will try to speak to individuals or to guilds in the future.\But both the combat and craft guilds are likely to want response:	to take them up on their offers.
context: Most likely, they'll grant a noble title to Crusty or the Round Table.\Always trying to put us in their debt...\The problem is how to deal with them when they come to us individually,\rather than through the Round Table.\It's a difficult problem.\Most likely, some nobles will try to speak to individuals or to guilds in the future.\But both the combat and craft guilds are likely to want\to take them up on their offers. response:	As will individuals.
context: Always trying to put us in their debt...\The problem is how to deal with them when they come to us individually,\rather than through the Round Table.\It's a difficult problem.\Most likely, some nobles will try to speak to individuals or to guilds in the future.\But both the combat and craft guilds are likely to want\to take them up on their offers.\As will individuals. response:	It's impossible for the Round Table to monitor everyone,
context: The problem is how to deal with them when they come to us individually,\rather than through the Round Table.\It's a difficult problem.\Most likely, some nobles will try to speak to individuals or to guilds in the future.\But both the combat and craft guilds are likely to want\to take them up on their offers.\As will individuals.\It's impossible for the Round Table to monitor everyone, response:	nor is it our purpose.
context: rather than through the Round Table.\It's a difficult problem.\Most likely, some nobles will try to speak to individuals or to guilds in the future.\But both the combat and craft guilds are likely to want\to take them up on their offers.\As will individuals.\It's impossible for the Round Table to monitor everyone,\nor is it our purpose. response:	But we'll have to establish rules of some sort.
context: It's a difficult problem.\Most likely, some nobles will try to speak to individuals or to guilds in the future.\But both the combat and craft guilds are likely to want\to take them up on their offers.\As will individuals.\It's impossible for the Round Table to monitor everyone,\nor is it our purpose.\But we'll have to establish rules of some sort. response:	And that's one reason it's so important for us to know what they're thinking.
context: Most likely, some nobles will try to speak to individuals or to guilds in the future.\But both the combat and craft guilds are likely to want\to take them up on their offers.\As will individuals.\It's impossible for the Round Table to monitor everyone,\nor is it our purpose.\But we'll have to establish rules of some sort.\And that's one reason it's so important for us to know what they're thinking. response:	And so, Akatsuki...
context: But both the combat and craft guilds are likely to want\to take them up on their offers.\As will individuals.\It's impossible for the Round Table to monitor everyone,\nor is it our purpose.\But we'll have to establish rules of some sort.\And that's one reason it's so important for us to know what they're thinking.\And so, Akatsuki... response:	Your turn.
context: to take them up on their offers.\As will individuals.\It's impossible for the Round Table to monitor everyone,\nor is it our purpose.\But we'll have to establish rules of some sort.\And that's one reason it's so important for us to know what they're thinking.\And so, Akatsuki...\Your turn. response:	Go and recon.
context: As will individuals.\It's impossible for the Round Table to monitor everyone,\nor is it our purpose.\But we'll have to establish rules of some sort.\And that's one reason it's so important for us to know what they're thinking.\And so, Akatsuki...\Your turn.\Go and recon. response:	Understood.
context: It's impossible for the Round Table to monitor everyone,\nor is it our purpose.\But we'll have to establish rules of some sort.\And that's one reason it's so important for us to know what they're thinking.\And so, Akatsuki...\Your turn.\Go and recon.\Understood. response:	That is the Forest of Lagranda.
context: nor is it our purpose.\But we'll have to establish rules of some sort.\And that's one reason it's so important for us to know what they're thinking.\And so, Akatsuki...\Your turn.\Go and recon.\Understood.\That is the Forest of Lagranda. response:	It's fairly large inside, but basically,
context: But we'll have to establish rules of some sort.\And that's one reason it's so important for us to know what they're thinking.\And so, Akatsuki...\Your turn.\Go and recon.\Understood.\That is the Forest of Lagranda.\It's fairly large inside, but basically, response:	at the first branch, the right side leads to the beginner course.
context: And that's one reason it's so important for us to know what they're thinking.\And so, Akatsuki...\Your turn.\Go and recon.\Understood.\That is the Forest of Lagranda.\It's fairly large inside, but basically,\at the first branch, the right side leads to the beginner course. response:	The left is for intermediate players.
context: And so, Akatsuki...\Your turn.\Go and recon.\Understood.\That is the Forest of Lagranda.\It's fairly large inside, but basically,\at the first branch, the right side leads to the beginner course.\The left is for intermediate players. response:	Lagranda Forest Walkthrough
context: Your turn.\Go and recon.\Understood.\That is the Forest of Lagranda.\It's fairly large inside, but basically,\at the first branch, the right side leads to the beginner course.\The left is for intermediate players.\Lagranda Forest Walkthrough response:	Don't push yourselves too hard.
context: Go and recon.\Understood.\That is the Forest of Lagranda.\It's fairly large inside, but basically,\at the first branch, the right side leads to the beginner course.\The left is for intermediate players.\Lagranda Forest Walkthrough\Don't push yourselves too hard. response:	It's important to know your own limits.
context: Understood.\That is the Forest of Lagranda.\It's fairly large inside, but basically,\at the first branch, the right side leads to the beginner course.\The left is for intermediate players.\Lagranda Forest Walkthrough\Don't push yourselves too hard.\It's important to know your own limits. response:	That's right, don't get yourselves killed.
context: That is the Forest of Lagranda.\It's fairly large inside, but basically,\at the first branch, the right side leads to the beginner course.\The left is for intermediate players.\Lagranda Forest Walkthrough\Don't push yourselves too hard.\It's important to know your own limits.\That's right, don't get yourselves killed. response:	You'll all be camping in the clearing here,
context: It's fairly large inside, but basically,\at the first branch, the right side leads to the beginner course.\The left is for intermediate players.\Lagranda Forest Walkthrough\Don't push yourselves too hard.\It's important to know your own limits.\That's right, don't get yourselves killed.\You'll all be camping in the clearing here, response:	entering the dungeon each day.
context: at the first branch, the right side leads to the beginner course.\The left is for intermediate players.\Lagranda Forest Walkthrough\Don't push yourselves too hard.\It's important to know your own limits.\That's right, don't get yourselves killed.\You'll all be camping in the clearing here,\entering the dungeon each day. response:	After you return, I'm in charge of your support.
context: The left is for intermediate players.\Lagranda Forest Walkthrough\Don't push yourselves too hard.\It's important to know your own limits.\That's right, don't get yourselves killed.\You'll all be camping in the clearing here,\entering the dungeon each day.\After you return, I'm in charge of your support. response:	All right, time to split into groups.
context: Lagranda Forest Walkthrough\Don't push yourselves too hard.\It's important to know your own limits.\That's right, don't get yourselves killed.\You'll all be camping in the clearing here,\entering the dungeon each day.\After you return, I'm in charge of your support.\All right, time to split into groups. response:	After that, each group will hold a strategy meeting,
context: Don't push yourselves too hard.\It's important to know your own limits.\That's right, don't get yourselves killed.\You'll all be camping in the clearing here,\entering the dungeon each day.\After you return, I'm in charge of your support.\All right, time to split into groups.\After that, each group will hold a strategy meeting, response:	then enter the dungeon.
context: It's important to know your own limits.\That's right, don't get yourselves killed.\You'll all be camping in the clearing here,\entering the dungeon each day.\After you return, I'm in charge of your support.\All right, time to split into groups.\After that, each group will hold a strategy meeting,\then enter the dungeon. response:	Okay!
context: That's right, don't get yourselves killed.\You'll all be camping in the clearing here,\entering the dungeon each day.\After you return, I'm in charge of your support.\All right, time to split into groups.\After that, each group will hold a strategy meeting,\then enter the dungeon.\Okay! response:	Right, let's start by introducing ourselves.
context: You'll all be camping in the clearing here,\entering the dungeon each day.\After you return, I'm in charge of your support.\All right, time to split into groups.\After that, each group will hold a strategy meeting,\then enter the dungeon.\Okay!\Right, let's start by introducing ourselves. response:	Tohya Race/ Human Samurai, Lv. 29 Log Horizon
context: entering the dungeon each day.\After you return, I'm in charge of your support.\All right, time to split into groups.\After that, each group will hold a strategy meeting,\then enter the dungeon.\Okay!\Right, let's start by introducing ourselves.\Tohya Race/ Human Samurai, Lv. 29 Log Horizon response:	I'm Tohya.
context: After you return, I'm in charge of your support.\All right, time to split into groups.\After that, each group will hold a strategy meeting,\then enter the dungeon.\Okay!\Right, let's start by introducing ourselves.\Tohya Race/ Human Samurai, Lv. 29 Log Horizon\I'm Tohya. response:	I'm a samurai.
context: All right, time to split into groups.\After that, each group will hold a strategy meeting,\then enter the dungeon.\Okay!\Right, let's start by introducing ourselves.\Tohya Race/ Human Samurai, Lv. 29 Log Horizon\I'm Tohya.\I'm a samurai. response:	I'm level 29.
context: After that, each group will hold a strategy meeting,\then enter the dungeon.\Okay!\Right, let's start by introducing ourselves.\Tohya Race/ Human Samurai, Lv. 29 Log Horizon\I'm Tohya.\I'm a samurai.\I'm level 29. response:	Leave the front rank to me!
context: then enter the dungeon.\Okay!\Right, let's start by introducing ourselves.\Tohya Race/ Human Samurai, Lv. 29 Log Horizon\I'm Tohya.\I'm a samurai.\I'm level 29.\Leave the front rank to me! response:	Serara Race/ Human Druid, Lv. 25 Crescent Moon Alliance
context: Okay!\Right, let's start by introducing ourselves.\Tohya Race/ Human Samurai, Lv. 29 Log Horizon\I'm Tohya.\I'm a samurai.\I'm level 29.\Leave the front rank to me!\Serara Race/ Human Druid, Lv. 25 Crescent Moon Alliance response:	I'm Serara.
context: Right, let's start by introducing ourselves.\Tohya Race/ Human Samurai, Lv. 29 Log Horizon\I'm Tohya.\I'm a samurai.\I'm level 29.\Leave the front rank to me!\Serara Race/ Human Druid, Lv. 25 Crescent Moon Alliance\I'm Serara. response:	I'm a druid.
context: Tohya Race/ Human Samurai, Lv. 29 Log Horizon\I'm Tohya.\I'm a samurai.\I'm level 29.\Leave the front rank to me!\Serara Race/ Human Druid, Lv. 25 Crescent Moon Alliance\I'm Serara.\I'm a druid. response:	I'm level 25.
context: I'm Tohya.\I'm a samurai.\I'm level 29.\Leave the front rank to me!\Serara Race/ Human Druid, Lv. 25 Crescent Moon Alliance\I'm Serara.\I'm a druid.\I'm level 25. response:	While I'm not good at attacking, leave the healing to me!
context: I'm a samurai.\I'm level 29.\Leave the front rank to me!\Serara Race/ Human Druid, Lv. 25 Crescent Moon Alliance\I'm Serara.\I'm a druid.\I'm level 25.\While I'm not good at attacking, leave the healing to me! response:	Isuzu Race/ Human Bard, Lv. 24 Crescent Moon Alliance
context: I'm level 29.\Leave the front rank to me!\Serara Race/ Human Druid, Lv. 25 Crescent Moon Alliance\I'm Serara.\I'm a druid.\I'm level 25.\While I'm not good at attacking, leave the healing to me!\Isuzu Race/ Human Bard, Lv. 24 Crescent Moon Alliance response:	I'm Isuzu!
context: Leave the front rank to me!\Serara Race/ Human Druid, Lv. 25 Crescent Moon Alliance\I'm Serara.\I'm a druid.\I'm level 25.\While I'm not good at attacking, leave the healing to me!\Isuzu Race/ Human Bard, Lv. 24 Crescent Moon Alliance\I'm Isuzu! response:	I'm a bard.
context: Serara Race/ Human Druid, Lv. 25 Crescent Moon Alliance\I'm Serara.\I'm a druid.\I'm level 25.\While I'm not good at attacking, leave the healing to me!\Isuzu Race/ Human Bard, Lv. 24 Crescent Moon Alliance\I'm Isuzu!\I'm a bard. response:	I'll be taking part in attacks, too.
context: I'm Serara.\I'm a druid.\I'm level 25.\While I'm not good at attacking, leave the healing to me!\Isuzu Race/ Human Bard, Lv. 24 Crescent Moon Alliance\I'm Isuzu!\I'm a bard.\I'll be taking part in attacks, too. response:	I'm level 24.
context: I'm a druid.\I'm level 25.\While I'm not good at attacking, leave the healing to me!\Isuzu Race/ Human Bard, Lv. 24 Crescent Moon Alliance\I'm Isuzu!\I'm a bard.\I'll be taking part in attacks, too.\I'm level 24. response:	Nice to meet you all!
context: I'm level 25.\While I'm not good at attacking, leave the healing to me!\Isuzu Race/ Human Bard, Lv. 24 Crescent Moon Alliance\I'm Isuzu!\I'm a bard.\I'll be taking part in attacks, too.\I'm level 24.\Nice to meet you all! response:	Minori Race/ Human Shrine Priest, Lv. 21 Log Horizon
context: While I'm not good at attacking, leave the healing to me!\Isuzu Race/ Human Bard, Lv. 24 Crescent Moon Alliance\I'm Isuzu!\I'm a bard.\I'll be taking part in attacks, too.\I'm level 24.\Nice to meet you all!\Minori Race/ Human Shrine Priest, Lv. 21 Log Horizon response:	I'm Minori.
context: Isuzu Race/ Human Bard, Lv. 24 Crescent Moon Alliance\I'm Isuzu!\I'm a bard.\I'll be taking part in attacks, too.\I'm level 24.\Nice to meet you all!\Minori Race/ Human Shrine Priest, Lv. 21 Log Horizon\I'm Minori. response:	My class is shrine priest.
context: I'm Isuzu!\I'm a bard.\I'll be taking part in attacks, too.\I'm level 24.\Nice to meet you all!\Minori Race/ Human Shrine Priest, Lv. 21 Log Horizon\I'm Minori.\My class is shrine priest. response:	My specialty is defensive magic.
context: I'm a bard.\I'll be taking part in attacks, too.\I'm level 24.\Nice to meet you all!\Minori Race/ Human Shrine Priest, Lv. 21 Log Horizon\I'm Minori.\My class is shrine priest.\My specialty is defensive magic. response:	I hope to work in combination with Serara to keep all of you healthy.
context: I'll be taking part in attacks, too.\I'm level 24.\Nice to meet you all!\Minori Race/ Human Shrine Priest, Lv. 21 Log Horizon\I'm Minori.\My class is shrine priest.\My specialty is defensive magic.\I hope to work in combination with Serara to keep all of you healthy. response:	I'm level...
context: I'm level 24.\Nice to meet you all!\Minori Race/ Human Shrine Priest, Lv. 21 Log Horizon\I'm Minori.\My class is shrine priest.\My specialty is defensive magic.\I hope to work in combination with Serara to keep all of you healthy.\I'm level... response:	21.
context: Nice to meet you all!\Minori Race/ Human Shrine Priest, Lv. 21 Log Horizon\I'm Minori.\My class is shrine priest.\My specialty is defensive magic.\I hope to work in combination with Serara to keep all of you healthy.\I'm level...\21. response:	21?
context: Minori Race/ Human Shrine Priest, Lv. 21 Log Horizon\I'm Minori.\My class is shrine priest.\My specialty is defensive magic.\I hope to work in combination with Serara to keep all of you healthy.\I'm level...\21.\21? response:	Don't slow me down!
context: I'm Minori.\My class is shrine priest.\My specialty is defensive magic.\I hope to work in combination with Serara to keep all of you healthy.\I'm level...\21.\21?\Don't slow me down! response:	Who are you?
context: My class is shrine priest.\My specialty is defensive magic.\I hope to work in combination with Serara to keep all of you healthy.\I'm level...\21.\21?\Don't slow me down!\Who are you? response:	My name is Rundel Haus Code.
context: My specialty is defensive magic.\I hope to work in combination with Serara to keep all of you healthy.\I'm level...\21.\21?\Don't slow me down!\Who are you?\My name is Rundel Haus Code. response:	You can call me Rudy!
context: I hope to work in combination with Serara to keep all of you healthy.\I'm level...\21.\21?\Don't slow me down!\Who are you?\My name is Rundel Haus Code.\You can call me Rudy! response:	What's your class?
context: I'm level...\21.\21?\Don't slow me down!\Who are you?\My name is Rundel Haus Code.\You can call me Rudy!\What's your class? response:	Can't you tell by looking?
