context: What should I do for training? response:	W- what should I do to train?
context: Now, now, it's no good to stand here talkin' like this!\Come on in the house! Come on, come on!\I can't wait to see my grandson's happy face!\I ain't even seen him in a over year now.\I bet he's gotten a lot bigger, huh?\l can't handle this. I can't tell them. Not that he won't be back for a year...\Nobody's told me anythin', so I called the Kame House earlier,\but nobody was there. response:	Y- yeah, come to mention it,
context: Come on in the house! Come on, come on!\I can't wait to see my grandson's happy face!\I ain't even seen him in a over year now.\I bet he's gotten a lot bigger, huh?\l can't handle this. I can't tell them. Not that he won't be back for a year...\Nobody's told me anythin', so I called the Kame House earlier,\but nobody was there.\Y- yeah, come to mention it, response:	everyone's gone off to some uninhabited island somewhere to play.
context: I can't wait to see my grandson's happy face!\I ain't even seen him in a over year now.\I bet he's gotten a lot bigger, huh?\l can't handle this. I can't tell them. Not that he won't be back for a year...\Nobody's told me anythin', so I called the Kame House earlier,\but nobody was there.\Y- yeah, come to mention it,\everyone's gone off to some uninhabited island somewhere to play. response:	That must be it.
context: I ain't even seen him in a over year now.\I bet he's gotten a lot bigger, huh?\l can't handle this. I can't tell them. Not that he won't be back for a year...\Nobody's told me anythin', so I called the Kame House earlier,\but nobody was there.\Y- yeah, come to mention it,\everyone's gone off to some uninhabited island somewhere to play.\That must be it. response:	You wouldn't be able to reach them there... would you?
context: I bet he's gotten a lot bigger, huh?\l can't handle this. I can't tell them. Not that he won't be back for a year...\Nobody's told me anythin', so I called the Kame House earlier,\but nobody was there.\Y- yeah, come to mention it,\everyone's gone off to some uninhabited island somewhere to play.\That must be it.\You wouldn't be able to reach them there... would you? response:	But Goku- sa and them will be back by nighttime, yeah?
context: l can't handle this. I can't tell them. Not that he won't be back for a year...\Nobody's told me anythin', so I called the Kame House earlier,\but nobody was there.\Y- yeah, come to mention it,\everyone's gone off to some uninhabited island somewhere to play.\That must be it.\You wouldn't be able to reach them there... would you?\But Goku- sa and them will be back by nighttime, yeah? response:	Y- yeah... I suppose...
context: Nobody's told me anythin', so I called the Kame House earlier,\but nobody was there.\Y- yeah, come to mention it,\everyone's gone off to some uninhabited island somewhere to play.\That must be it.\You wouldn't be able to reach them there... would you?\But Goku- sa and them will be back by nighttime, yeah?\Y- yeah... I suppose... response:	Goku- sa aside, Gohan has his studyin', you know? He can't just skip it.
context: but nobody was there.\Y- yeah, come to mention it,\everyone's gone off to some uninhabited island somewhere to play.\That must be it.\You wouldn't be able to reach them there... would you?\But Goku- sa and them will be back by nighttime, yeah?\Y- yeah... I suppose...\Goku- sa aside, Gohan has his studyin', you know? He can't just skip it. response:	You know, Goku- sa can't do anythin' as a parent!
context: Y- yeah, come to mention it,\everyone's gone off to some uninhabited island somewhere to play.\That must be it.\You wouldn't be able to reach them there... would you?\But Goku- sa and them will be back by nighttime, yeah?\Y- yeah... I suppose...\Goku- sa aside, Gohan has his studyin', you know? He can't just skip it.\You know, Goku- sa can't do anythin' as a parent! response:	Don't go gettin' so jumpy, Chichi. This is Goku we're talkin' about.
context: everyone's gone off to some uninhabited island somewhere to play.\That must be it.\You wouldn't be able to reach them there... would you?\But Goku- sa and them will be back by nighttime, yeah?\Y- yeah... I suppose...\Goku- sa aside, Gohan has his studyin', you know? He can't just skip it.\You know, Goku- sa can't do anythin' as a parent!\Don't go gettin' so jumpy, Chichi. This is Goku we're talkin' about. response:	He'll be sure to bring him home. Just relax.
context: That must be it.\You wouldn't be able to reach them there... would you?\But Goku- sa and them will be back by nighttime, yeah?\Y- yeah... I suppose...\Goku- sa aside, Gohan has his studyin', you know? He can't just skip it.\You know, Goku- sa can't do anythin' as a parent!\Don't go gettin' so jumpy, Chichi. This is Goku we're talkin' about.\He'll be sure to bring him home. Just relax. response:	Really? You're right. Good. They'll probably be comin' back hungry,
context: You wouldn't be able to reach them there... would you?\But Goku- sa and them will be back by nighttime, yeah?\Y- yeah... I suppose...\Goku- sa aside, Gohan has his studyin', you know? He can't just skip it.\You know, Goku- sa can't do anythin' as a parent!\Don't go gettin' so jumpy, Chichi. This is Goku we're talkin' about.\He'll be sure to bring him home. Just relax.\Really? You're right. Good. They'll probably be comin' back hungry, response:	so I better go make some dinner.
context: But Goku- sa and them will be back by nighttime, yeah?\Y- yeah... I suppose...\Goku- sa aside, Gohan has his studyin', you know? He can't just skip it.\You know, Goku- sa can't do anythin' as a parent!\Don't go gettin' so jumpy, Chichi. This is Goku we're talkin' about.\He'll be sure to bring him home. Just relax.\Really? You're right. Good. They'll probably be comin' back hungry,\so I better go make some dinner. response:	Um...
context: Y- yeah... I suppose...\Goku- sa aside, Gohan has his studyin', you know? He can't just skip it.\You know, Goku- sa can't do anythin' as a parent!\Don't go gettin' so jumpy, Chichi. This is Goku we're talkin' about.\He'll be sure to bring him home. Just relax.\Really? You're right. Good. They'll probably be comin' back hungry,\so I better go make some dinner.\Um... response:	I should be heading on back soon...
context: Goku- sa aside, Gohan has his studyin', you know? He can't just skip it.\You know, Goku- sa can't do anythin' as a parent!\Don't go gettin' so jumpy, Chichi. This is Goku we're talkin' about.\He'll be sure to bring him home. Just relax.\Really? You're right. Good. They'll probably be comin' back hungry,\so I better go make some dinner.\Um...\I should be heading on back soon... response:	B- but why? You just barely got here, didn'cha?
context: You know, Goku- sa can't do anythin' as a parent!\Don't go gettin' so jumpy, Chichi. This is Goku we're talkin' about.\He'll be sure to bring him home. Just relax.\Really? You're right. Good. They'll probably be comin' back hungry,\so I better go make some dinner.\Um...\I should be heading on back soon...\B- but why? You just barely got here, didn'cha? response:	You could wait here until Goku- sa and Gohan get back.
context: Don't go gettin' so jumpy, Chichi. This is Goku we're talkin' about.\He'll be sure to bring him home. Just relax.\Really? You're right. Good. They'll probably be comin' back hungry,\so I better go make some dinner.\Um...\I should be heading on back soon...\B- but why? You just barely got here, didn'cha?\You could wait here until Goku- sa and Gohan get back. response:	At least have some dinner first!
context: He'll be sure to bring him home. Just relax.\Really? You're right. Good. They'll probably be comin' back hungry,\so I better go make some dinner.\Um...\I should be heading on back soon...\B- but why? You just barely got here, didn'cha?\You could wait here until Goku- sa and Gohan get back.\At least have some dinner first! response:	B- but I have things to attend to...
context: Really? You're right. Good. They'll probably be comin' back hungry,\so I better go make some dinner.\Um...\I should be heading on back soon...\B- but why? You just barely got here, didn'cha?\You could wait here until Goku- sa and Gohan get back.\At least have some dinner first!\B- but I have things to attend to... response:	Look, don't worry, don't worry.
context: so I better go make some dinner.\Um...\I should be heading on back soon...\B- but why? You just barely got here, didn'cha?\You could wait here until Goku- sa and Gohan get back.\At least have some dinner first!\B- but I have things to attend to...\Look, don't worry, don't worry. response:	Mother!
context: Um...\I should be heading on back soon...\B- but why? You just barely got here, didn'cha?\You could wait here until Goku- sa and Gohan get back.\At least have some dinner first!\B- but I have things to attend to...\Look, don't worry, don't worry.\Mother! response:	Help! Somebody help!
context: I should be heading on back soon...\B- but why? You just barely got here, didn'cha?\You could wait here until Goku- sa and Gohan get back.\At least have some dinner first!\B- but I have things to attend to...\Look, don't worry, don't worry.\Mother!\Help! Somebody help! response:	I can't get down!
context: B- but why? You just barely got here, didn'cha?\You could wait here until Goku- sa and Gohan get back.\At least have some dinner first!\B- but I have things to attend to...\Look, don't worry, don't worry.\Mother!\Help! Somebody help!\I can't get down! response:	Come on, come on, they're goin' to burn!
context: You could wait here until Goku- sa and Gohan get back.\At least have some dinner first!\B- but I have things to attend to...\Look, don't worry, don't worry.\Mother!\Help! Somebody help!\I can't get down!\Come on, come on, they're goin' to burn! response:	Eat up, eat up!
context: At least have some dinner first!\B- but I have things to attend to...\Look, don't worry, don't worry.\Mother!\Help! Somebody help!\I can't get down!\Come on, come on, they're goin' to burn!\Eat up, eat up! response:	Before long, Goku will be bringin' Gohan home!
context: B- but I have things to attend to...\Look, don't worry, don't worry.\Mother!\Help! Somebody help!\I can't get down!\Come on, come on, they're goin' to burn!\Eat up, eat up!\Before long, Goku will be bringin' Gohan home! response:	I can't stand for this any longer!
context: Look, don't worry, don't worry.\Mother!\Help! Somebody help!\I can't get down!\Come on, come on, they're goin' to burn!\Eat up, eat up!\Before long, Goku will be bringin' Gohan home!\I can't stand for this any longer! response:	Ogre spirits.
context: Mother!\Help! Somebody help!\I can't get down!\Come on, come on, they're goin' to burn!\Eat up, eat up!\Before long, Goku will be bringin' Gohan home!\I can't stand for this any longer!\Ogre spirits. response:	One crazy dancer drink.
context: Help! Somebody help!\I can't get down!\Come on, come on, they're goin' to burn!\Eat up, eat up!\Before long, Goku will be bringin' Gohan home!\I can't stand for this any longer!\Ogre spirits.\One crazy dancer drink. response:	Sure, sure...
context: I can't get down!\Come on, come on, they're goin' to burn!\Eat up, eat up!\Before long, Goku will be bringin' Gohan home!\I can't stand for this any longer!\Ogre spirits.\One crazy dancer drink.\Sure, sure... response:	Here's my check.
context: Come on, come on, they're goin' to burn!\Eat up, eat up!\Before long, Goku will be bringin' Gohan home!\I can't stand for this any longer!\Ogre spirits.\One crazy dancer drink.\Sure, sure...\Here's my check. response:	Thanks for coming. Here's your change.
context: Eat up, eat up!\Before long, Goku will be bringin' Gohan home!\I can't stand for this any longer!\Ogre spirits.\One crazy dancer drink.\Sure, sure...\Here's my check.\Thanks for coming. Here's your change. response:	10,000... 20,000... 30,000... 40,000... I'm 10,000 short.
context: Before long, Goku will be bringin' Gohan home!\I can't stand for this any longer!\Ogre spirits.\One crazy dancer drink.\Sure, sure...\Here's my check.\Thanks for coming. Here's your change.\10,000... 20,000... 30,000... 40,000... I'm 10,000 short. response:	I beg your pardon.
context: I can't stand for this any longer!\Ogre spirits.\One crazy dancer drink.\Sure, sure...\Here's my check.\Thanks for coming. Here's your change.\10,000... 20,000... 30,000... 40,000... I'm 10,000 short.\I beg your pardon. response:	H - how creepy!
context: Ogre spirits.\One crazy dancer drink.\Sure, sure...\Here's my check.\Thanks for coming. Here's your change.\10,000... 20,000... 30,000... 40,000... I'm 10,000 short.\I beg your pardon.\H - how creepy! response:	I see. And I should tell this to the Turtle guy?
context: One crazy dancer drink.\Sure, sure...\Here's my check.\Thanks for coming. Here's your change.\10,000... 20,000... 30,000... 40,000... I'm 10,000 short.\I beg your pardon.\H - how creepy!\I see. And I should tell this to the Turtle guy? response:	Yes. Please be sure not to forget.
context: Sure, sure...\Here's my check.\Thanks for coming. Here's your change.\10,000... 20,000... 30,000... 40,000... I'm 10,000 short.\I beg your pardon.\H - how creepy!\I see. And I should tell this to the Turtle guy?\Yes. Please be sure not to forget. response:	Goku is a curious one, huh? He still wants to become stronger?
context: Here's my check.\Thanks for coming. Here's your change.\10,000... 20,000... 30,000... 40,000... I'm 10,000 short.\I beg your pardon.\H - how creepy!\I see. And I should tell this to the Turtle guy?\Yes. Please be sure not to forget.\Goku is a curious one, huh? He still wants to become stronger? response:	Damn... that guy lied to me!
context: Thanks for coming. Here's your change.\10,000... 20,000... 30,000... 40,000... I'm 10,000 short.\I beg your pardon.\H - how creepy!\I see. And I should tell this to the Turtle guy?\Yes. Please be sure not to forget.\Goku is a curious one, huh? He still wants to become stronger?\Damn... that guy lied to me! response:	He said I wouldn't get hungry, but here I am, hungry!
context: 10,000... 20,000... 30,000... 40,000... I'm 10,000 short.\I beg your pardon.\H - how creepy!\I see. And I should tell this to the Turtle guy?\Yes. Please be sure not to forget.\Goku is a curious one, huh? He still wants to become stronger?\Damn... that guy lied to me!\He said I wouldn't get hungry, but here I am, hungry! response:	I'm scared and cold!
context: I beg your pardon.\H - how creepy!\I see. And I should tell this to the Turtle guy?\Yes. Please be sure not to forget.\Goku is a curious one, huh? He still wants to become stronger?\Damn... that guy lied to me!\He said I wouldn't get hungry, but here I am, hungry!\I'm scared and cold! response:	I'm so hungry I could die!
context: H - how creepy!\I see. And I should tell this to the Turtle guy?\Yes. Please be sure not to forget.\Goku is a curious one, huh? He still wants to become stronger?\Damn... that guy lied to me!\He said I wouldn't get hungry, but here I am, hungry!\I'm scared and cold!\I'm so hungry I could die! response:	Apples! Some apples fell down! How lucky!
context: I see. And I should tell this to the Turtle guy?\Yes. Please be sure not to forget.\Goku is a curious one, huh? He still wants to become stronger?\Damn... that guy lied to me!\He said I wouldn't get hungry, but here I am, hungry!\I'm scared and cold!\I'm so hungry I could die!\Apples! Some apples fell down! How lucky! response:	Oh well...
context: Yes. Please be sure not to forget.\Goku is a curious one, huh? He still wants to become stronger?\Damn... that guy lied to me!\He said I wouldn't get hungry, but here I am, hungry!\I'm scared and cold!\I'm so hungry I could die!\Apples! Some apples fell down! How lucky!\Oh well... response:	Yuck, they're sour!
context: Goku is a curious one, huh? He still wants to become stronger?\Damn... that guy lied to me!\He said I wouldn't get hungry, but here I am, hungry!\I'm scared and cold!\I'm so hungry I could die!\Apples! Some apples fell down! How lucky!\Oh well...\Yuck, they're sour! response:	I want some juice or something to drink! I want to eat shao mai dumplings!
context: Damn... that guy lied to me!\He said I wouldn't get hungry, but here I am, hungry!\I'm scared and cold!\I'm so hungry I could die!\Apples! Some apples fell down! How lucky!\Oh well...\Yuck, they're sour!\I want some juice or something to drink! I want to eat shao mai dumplings! response:	I want my mother's curry!
context: He said I wouldn't get hungry, but here I am, hungry!\I'm scared and cold!\I'm so hungry I could die!\Apples! Some apples fell down! How lucky!\Oh well...\Yuck, they're sour!\I want some juice or something to drink! I want to eat shao mai dumplings!\I want my mother's curry! response:	Dirty brat! Give me trouble, will you?
context: I'm scared and cold!\I'm so hungry I could die!\Apples! Some apples fell down! How lucky!\Oh well...\Yuck, they're sour!\I want some juice or something to drink! I want to eat shao mai dumplings!\I want my mother's curry!\Dirty brat! Give me trouble, will you? response:	I'm scared!
context: I'm so hungry I could die!\Apples! Some apples fell down! How lucky!\Oh well...\Yuck, they're sour!\I want some juice or something to drink! I want to eat shao mai dumplings!\I want my mother's curry!\Dirty brat! Give me trouble, will you?\I'm scared! response:	Now listen, this is the last time I lend you a hand..
context: Apples! Some apples fell down! How lucky!\Oh well...\Yuck, they're sour!\I want some juice or something to drink! I want to eat shao mai dumplings!\I want my mother's curry!\Dirty brat! Give me trouble, will you?\I'm scared!\Now listen, this is the last time I lend you a hand.. response:	From here on, if you are unable to survive,
context: Oh well...\Yuck, they're sour!\I want some juice or something to drink! I want to eat shao mai dumplings!\I want my mother's curry!\Dirty brat! Give me trouble, will you?\I'm scared!\Now listen, this is the last time I lend you a hand..\From here on, if you are unable to survive, response:	then that's all you're worth as a kid.
context: Yuck, they're sour!\I want some juice or something to drink! I want to eat shao mai dumplings!\I want my mother's curry!\Dirty brat! Give me trouble, will you?\I'm scared!\Now listen, this is the last time I lend you a hand..\From here on, if you are unable to survive,\then that's all you're worth as a kid. response:	Exhausted, Son Gohan sleeps.
context: I want some juice or something to drink! I want to eat shao mai dumplings!\I want my mother's curry!\Dirty brat! Give me trouble, will you?\I'm scared!\Now listen, this is the last time I lend you a hand..\From here on, if you are unable to survive,\then that's all you're worth as a kid.\Exhausted, Son Gohan sleeps. response:	There's no way he could have known
context: I want my mother's curry!\Dirty brat! Give me trouble, will you?\I'm scared!\Now listen, this is the last time I lend you a hand..\From here on, if you are unable to survive,\then that's all you're worth as a kid.\Exhausted, Son Gohan sleeps.\There's no way he could have known response:	that one of his moments of destiny was drawing near.
