context: Science Fell in Love, So I Tried to Prove It response:	Gone Home
context: When you say Aika-chan, do you mean this girl?\Rika Koi Another\Ibarada! Where'd you come from?!\Give it back!\You really do love your tsundere characters, don't you, Torasuke?\Silence, Ibarada!\What do you know about my preferences?!\Childhood friends who can't get rid of each other. response:	We've been together since we were kids.
context: Rika Koi Another\Ibarada! Where'd you come from?!\Give it back!\You really do love your tsundere characters, don't you, Torasuke?\Silence, Ibarada!\What do you know about my preferences?!\Childhood friends who can't get rid of each other.\We've been together since we were kids. response:	Do I really need to prove it at this point?
context: Ibarada! Where'd you come from?!\Give it back!\You really do love your tsundere characters, don't you, Torasuke?\Silence, Ibarada!\What do you know about my preferences?!\Childhood friends who can't get rid of each other.\We've been together since we were kids.\Do I really need to prove it at this point? response:	Oh! This character is Aika-chan, right?
context: Give it back!\You really do love your tsundere characters, don't you, Torasuke?\Silence, Ibarada!\What do you know about my preferences?!\Childhood friends who can't get rid of each other.\We've been together since we were kids.\Do I really need to prove it at this point?\Oh! This character is Aika-chan, right? response:	She reminds me a little of Ibarada-senpai
context: You really do love your tsundere characters, don't you, Torasuke?\Silence, Ibarada!\What do you know about my preferences?!\Childhood friends who can't get rid of each other.\We've been together since we were kids.\Do I really need to prove it at this point?\Oh! This character is Aika-chan, right?\She reminds me a little of Ibarada-senpai response:	That's the version for the second playthough! Blast! Did it autoplay?
context: Silence, Ibarada!\What do you know about my preferences?!\Childhood friends who can't get rid of each other.\We've been together since we were kids.\Do I really need to prove it at this point?\Oh! This character is Aika-chan, right?\She reminds me a little of Ibarada-senpai\That's the version for the second playthough! Blast! Did it autoplay? response:	What? When you said you were in love, you were talking about that thing?
context: What do you know about my preferences?!\Childhood friends who can't get rid of each other.\We've been together since we were kids.\Do I really need to prove it at this point?\Oh! This character is Aika-chan, right?\She reminds me a little of Ibarada-senpai\That's the version for the second playthough! Blast! Did it autoplay?\What? When you said you were in love, you were talking about that thing? response:	Well... Um...
context: Childhood friends who can't get rid of each other.\We've been together since we were kids.\Do I really need to prove it at this point?\Oh! This character is Aika-chan, right?\She reminds me a little of Ibarada-senpai\That's the version for the second playthough! Blast! Did it autoplay?\What? When you said you were in love, you were talking about that thing?\Well... Um... response:	Explain the preconditions clearly and precisely.
context: We've been together since we were kids.\Do I really need to prove it at this point?\Oh! This character is Aika-chan, right?\She reminds me a little of Ibarada-senpai\That's the version for the second playthough! Blast! Did it autoplay?\What? When you said you were in love, you were talking about that thing?\Well... Um...\Explain the preconditions clearly and precisely. response:	Yeah! That's right!
context: Do I really need to prove it at this point?\Oh! This character is Aika-chan, right?\She reminds me a little of Ibarada-senpai\That's the version for the second playthough! Blast! Did it autoplay?\What? When you said you were in love, you were talking about that thing?\Well... Um...\Explain the preconditions clearly and precisely.\Yeah! That's right! response:	Aika is a character from a gal game!
context: Oh! This character is Aika-chan, right?\She reminds me a little of Ibarada-senpai\That's the version for the second playthough! Blast! Did it autoplay?\What? When you said you were in love, you were talking about that thing?\Well... Um...\Explain the preconditions clearly and precisely.\Yeah! That's right!\Aika is a character from a gal game! response:	Of all the women I have loved in my life,
context: She reminds me a little of Ibarada-senpai\That's the version for the second playthough! Blast! Did it autoplay?\What? When you said you were in love, you were talking about that thing?\Well... Um...\Explain the preconditions clearly and precisely.\Yeah! That's right!\Aika is a character from a gal game!\Of all the women I have loved in my life, response:	all of them are 2D!
context: That's the version for the second playthough! Blast! Did it autoplay?\What? When you said you were in love, you were talking about that thing?\Well... Um...\Explain the preconditions clearly and precisely.\Yeah! That's right!\Aika is a character from a gal game!\Of all the women I have loved in my life,\all of them are 2D! response:	And the 227,000 yen I spent was on this!
context: What? When you said you were in love, you were talking about that thing?\Well... Um...\Explain the preconditions clearly and precisely.\Yeah! That's right!\Aika is a character from a gal game!\Of all the women I have loved in my life,\all of them are 2D!\And the 227,000 yen I spent was on this! response:	Mashiro Aika 1/8 size figure Y12,778 Mashiro Aika: cell phone strap Y525 Mashiro Aika T-shirt Y2,500 Mashiro Aika Body pillow cover Y15,800 The amount of money spent to pull Aika from the game collab event Y127,200 Total Y 227,542
context: Well... Um...\Explain the preconditions clearly and precisely.\Yeah! That's right!\Aika is a character from a gal game!\Of all the women I have loved in my life,\all of them are 2D!\And the 227,000 yen I spent was on this!\Mashiro Aika 1/8 size figure Y12,778 Mashiro Aika: cell phone strap Y525 Mashiro Aika T-shirt Y2,500 Mashiro Aika Body pillow cover Y15,800 The amount of money spent to pull Aika from the game collab event Y127,200 Total Y 227,542 response:	Without her body pillow, I couldn't fall asleep, so...
context: Explain the preconditions clearly and precisely.\Yeah! That's right!\Aika is a character from a gal game!\Of all the women I have loved in my life,\all of them are 2D!\And the 227,000 yen I spent was on this!\Mashiro Aika 1/8 size figure Y12,778 Mashiro Aika: cell phone strap Y525 Mashiro Aika T-shirt Y2,500 Mashiro Aika Body pillow cover Y15,800 The amount of money spent to pull Aika from the game collab event Y127,200 Total Y 227,542\Without her body pillow, I couldn't fall asleep, so... response:	All my interests have been exposed!
context: Yeah! That's right!\Aika is a character from a gal game!\Of all the women I have loved in my life,\all of them are 2D!\And the 227,000 yen I spent was on this!\Mashiro Aika 1/8 size figure Y12,778 Mashiro Aika: cell phone strap Y525 Mashiro Aika T-shirt Y2,500 Mashiro Aika Body pillow cover Y15,800 The amount of money spent to pull Aika from the game collab event Y127,200 Total Y 227,542\Without her body pillow, I couldn't fall asleep, so...\All my interests have been exposed! response:	Huh... So you did all that thinking you were keeping it hidden?
context: Aika is a character from a gal game!\Of all the women I have loved in my life,\all of them are 2D!\And the 227,000 yen I spent was on this!\Mashiro Aika 1/8 size figure Y12,778 Mashiro Aika: cell phone strap Y525 Mashiro Aika T-shirt Y2,500 Mashiro Aika Body pillow cover Y15,800 The amount of money spent to pull Aika from the game collab event Y127,200 Total Y 227,542\Without her body pillow, I couldn't fall asleep, so...\All my interests have been exposed!\Huh... So you did all that thinking you were keeping it hidden? response:	You're beautiful as ever today, Aika.
context: Of all the women I have loved in my life,\all of them are 2D!\And the 227,000 yen I spent was on this!\Mashiro Aika 1/8 size figure Y12,778 Mashiro Aika: cell phone strap Y525 Mashiro Aika T-shirt Y2,500 Mashiro Aika Body pillow cover Y15,800 The amount of money spent to pull Aika from the game collab event Y127,200 Total Y 227,542\Without her body pillow, I couldn't fall asleep, so...\All my interests have been exposed!\Huh... So you did all that thinking you were keeping it hidden?\You're beautiful as ever today, Aika. response:	In InfoSci, it's not particularly unusual to have otaku-type interests, is it?
context: all of them are 2D!\And the 227,000 yen I spent was on this!\Mashiro Aika 1/8 size figure Y12,778 Mashiro Aika: cell phone strap Y525 Mashiro Aika T-shirt Y2,500 Mashiro Aika Body pillow cover Y15,800 The amount of money spent to pull Aika from the game collab event Y127,200 Total Y 227,542\Without her body pillow, I couldn't fall asleep, so...\All my interests have been exposed!\Huh... So you did all that thinking you were keeping it hidden?\You're beautiful as ever today, Aika.\In InfoSci, it's not particularly unusual to have otaku-type interests, is it? response:	There's no need to hide it.
context: And the 227,000 yen I spent was on this!\Mashiro Aika 1/8 size figure Y12,778 Mashiro Aika: cell phone strap Y525 Mashiro Aika T-shirt Y2,500 Mashiro Aika Body pillow cover Y15,800 The amount of money spent to pull Aika from the game collab event Y127,200 Total Y 227,542\Without her body pillow, I couldn't fall asleep, so...\All my interests have been exposed!\Huh... So you did all that thinking you were keeping it hidden?\You're beautiful as ever today, Aika.\In InfoSci, it's not particularly unusual to have otaku-type interests, is it?\There's no need to hide it. response:	You say that,
context: Mashiro Aika 1/8 size figure Y12,778 Mashiro Aika: cell phone strap Y525 Mashiro Aika T-shirt Y2,500 Mashiro Aika Body pillow cover Y15,800 The amount of money spent to pull Aika from the game collab event Y127,200 Total Y 227,542\Without her body pillow, I couldn't fall asleep, so...\All my interests have been exposed!\Huh... So you did all that thinking you were keeping it hidden?\You're beautiful as ever today, Aika.\In InfoSci, it's not particularly unusual to have otaku-type interests, is it?\There's no need to hide it.\You say that, response:	but people who are satisfied with an offline life stare at you like you're crazy.
context: Without her body pillow, I couldn't fall asleep, so...\All my interests have been exposed!\Huh... So you did all that thinking you were keeping it hidden?\You're beautiful as ever today, Aika.\In InfoSci, it's not particularly unusual to have otaku-type interests, is it?\There's no need to hide it.\You say that,\but people who are satisfied with an offline life stare at you like you're crazy. response:	Kiss...
context: All my interests have been exposed!\Huh... So you did all that thinking you were keeping it hidden?\You're beautiful as ever today, Aika.\In InfoSci, it's not particularly unusual to have otaku-type interests, is it?\There's no need to hide it.\You say that,\but people who are satisfied with an offline life stare at you like you're crazy.\Kiss... response:	And if you say that every morning you give your pillow a good morning kiss...
context: Huh... So you did all that thinking you were keeping it hidden?\You're beautiful as ever today, Aika.\In InfoSci, it's not particularly unusual to have otaku-type interests, is it?\There's no need to hide it.\You say that,\but people who are satisfied with an offline life stare at you like you're crazy.\Kiss...\And if you say that every morning you give your pillow a good morning kiss... response:	most people freak out, like it's totally creepy!
context: You're beautiful as ever today, Aika.\In InfoSci, it's not particularly unusual to have otaku-type interests, is it?\There's no need to hide it.\You say that,\but people who are satisfied with an offline life stare at you like you're crazy.\Kiss...\And if you say that every morning you give your pillow a good morning kiss...\most people freak out, like it's totally creepy! response:	Well, yeah.
context: In InfoSci, it's not particularly unusual to have otaku-type interests, is it?\There's no need to hide it.\You say that,\but people who are satisfied with an offline life stare at you like you're crazy.\Kiss...\And if you say that every morning you give your pillow a good morning kiss...\most people freak out, like it's totally creepy!\Well, yeah. response:	Rikakoi
context: There's no need to hide it.\You say that,\but people who are satisfied with an offline life stare at you like you're crazy.\Kiss...\And if you say that every morning you give your pillow a good morning kiss...\most people freak out, like it's totally creepy!\Well, yeah.\Rikakoi response:	I do understand.
context: You say that,\but people who are satisfied with an offline life stare at you like you're crazy.\Kiss...\And if you say that every morning you give your pillow a good morning kiss...\most people freak out, like it's totally creepy!\Well, yeah.\Rikakoi\I do understand. response:	Falling in love with a 2D character is creepy. I know that much.
context: but people who are satisfied with an offline life stare at you like you're crazy.\Kiss...\And if you say that every morning you give your pillow a good morning kiss...\most people freak out, like it's totally creepy!\Well, yeah.\Rikakoi\I do understand.\Falling in love with a 2D character is creepy. I know that much. response:	Creepy?
context: Kiss...\And if you say that every morning you give your pillow a good morning kiss...\most people freak out, like it's totally creepy!\Well, yeah.\Rikakoi\I do understand.\Falling in love with a 2D character is creepy. I know that much.\Creepy? response:	If you consider yourself a science-type,
context: And if you say that every morning you give your pillow a good morning kiss...\most people freak out, like it's totally creepy!\Well, yeah.\Rikakoi\I do understand.\Falling in love with a 2D character is creepy. I know that much.\Creepy?\If you consider yourself a science-type, response:	then do not make determinations based on ridiculous emotional arguments.
context: most people freak out, like it's totally creepy!\Well, yeah.\Rikakoi\I do understand.\Falling in love with a 2D character is creepy. I know that much.\Creepy?\If you consider yourself a science-type,\then do not make determinations based on ridiculous emotional arguments. response:	Romance can only occur between two humans.
context: Well, yeah.\Rikakoi\I do understand.\Falling in love with a 2D character is creepy. I know that much.\Creepy?\If you consider yourself a science-type,\then do not make determinations based on ridiculous emotional arguments.\Romance can only occur between two humans. response:	There is no definition or rule which states this.
context: Rikakoi\I do understand.\Falling in love with a 2D character is creepy. I know that much.\Creepy?\If you consider yourself a science-type,\then do not make determinations based on ridiculous emotional arguments.\Romance can only occur between two humans.\There is no definition or rule which states this. response:	Human sexual orientation is diverse.
context: I do understand.\Falling in love with a 2D character is creepy. I know that much.\Creepy?\If you consider yourself a science-type,\then do not make determinations based on ridiculous emotional arguments.\Romance can only occur between two humans.\There is no definition or rule which states this.\Human sexual orientation is diverse. response:	There is no right or wrong in that.
context: Falling in love with a 2D character is creepy. I know that much.\Creepy?\If you consider yourself a science-type,\then do not make determinations based on ridiculous emotional arguments.\Romance can only occur between two humans.\There is no definition or rule which states this.\Human sexual orientation is diverse.\There is no right or wrong in that. response:	Pretty 2D Girl
context: Creepy?\If you consider yourself a science-type,\then do not make determinations based on ridiculous emotional arguments.\Romance can only occur between two humans.\There is no definition or rule which states this.\Human sexual orientation is diverse.\There is no right or wrong in that.\Pretty 2D Girl response:	Game characters are
context: If you consider yourself a science-type,\then do not make determinations based on ridiculous emotional arguments.\Romance can only occur between two humans.\There is no definition or rule which states this.\Human sexual orientation is diverse.\There is no right or wrong in that.\Pretty 2D Girl\Game characters are response:	a collection of attractive characteristics creating the ideal personality.
context: then do not make determinations based on ridiculous emotional arguments.\Romance can only occur between two humans.\There is no definition or rule which states this.\Human sexual orientation is diverse.\There is no right or wrong in that.\Pretty 2D Girl\Game characters are\a collection of attractive characteristics creating the ideal personality. response:	Pigtails
context: Romance can only occur between two humans.\There is no definition or rule which states this.\Human sexual orientation is diverse.\There is no right or wrong in that.\Pretty 2D Girl\Game characters are\a collection of attractive characteristics creating the ideal personality.\Pigtails response:	Cute
context: There is no definition or rule which states this.\Human sexual orientation is diverse.\There is no right or wrong in that.\Pretty 2D Girl\Game characters are\a collection of attractive characteristics creating the ideal personality.\Pigtails\Cute response:	Nice Figure
context: Human sexual orientation is diverse.\There is no right or wrong in that.\Pretty 2D Girl\Game characters are\a collection of attractive characteristics creating the ideal personality.\Pigtails\Cute\Nice Figure response:	Kind
context: There is no right or wrong in that.\Pretty 2D Girl\Game characters are\a collection of attractive characteristics creating the ideal personality.\Pigtails\Cute\Nice Figure\Kind response:	Pop Idol
context: Pretty 2D Girl\Game characters are\a collection of attractive characteristics creating the ideal personality.\Pigtails\Cute\Nice Figure\Kind\Pop Idol response:	In other words, an icon or idol, just like a pop idol.
context: Game characters are\a collection of attractive characteristics creating the ideal personality.\Pigtails\Cute\Nice Figure\Kind\Pop Idol\In other words, an icon or idol, just like a pop idol. response:	Nice Figure
context: a collection of attractive characteristics creating the ideal personality.\Pigtails\Cute\Nice Figure\Kind\Pop Idol\In other words, an icon or idol, just like a pop idol.\Nice Figure response:	Cute
context: Pigtails\Cute\Nice Figure\Kind\Pop Idol\In other words, an icon or idol, just like a pop idol.\Nice Figure\Cute response:	Doesn't Poop
context: Cute\Nice Figure\Kind\Pop Idol\In other words, an icon or idol, just like a pop idol.\Nice Figure\Cute\Doesn't Poop response:	Including the point that it's nearly impossible that you would ever date them.
context: Nice Figure\Kind\Pop Idol\In other words, an icon or idol, just like a pop idol.\Nice Figure\Cute\Doesn't Poop\Including the point that it's nearly impossible that you would ever date them. response:	Pretty Costume
context: Kind\Pop Idol\In other words, an icon or idol, just like a pop idol.\Nice Figure\Cute\Doesn't Poop\Including the point that it's nearly impossible that you would ever date them.\Pretty Costume response:	Which means...
context: Pop Idol\In other words, an icon or idol, just like a pop idol.\Nice Figure\Cute\Doesn't Poop\Including the point that it's nearly impossible that you would ever date them.\Pretty Costume\Which means... response:	you saying you're in love with Aika,
context: In other words, an icon or idol, just like a pop idol.\Nice Figure\Cute\Doesn't Poop\Including the point that it's nearly impossible that you would ever date them.\Pretty Costume\Which means...\you saying you're in love with Aika, response:	and any random person you might find on the street saying,
context: Nice Figure\Cute\Doesn't Poop\Including the point that it's nearly impossible that you would ever date them.\Pretty Costume\Which means...\you saying you're in love with Aika,\and any random person you might find on the street saying, response:	I wanna date someone from AK*Beep*! are in essence the same thing.
context: Cute\Doesn't Poop\Including the point that it's nearly impossible that you would ever date them.\Pretty Costume\Which means...\you saying you're in love with Aika,\and any random person you might find on the street saying,\I wanna date someone from AK*Beep*! are in essence the same thing. response:	There is nothing strange about you!
context: Doesn't Poop\Including the point that it's nearly impossible that you would ever date them.\Pretty Costume\Which means...\you saying you're in love with Aika,\and any random person you might find on the street saying,\I wanna date someone from AK*Beep*! are in essence the same thing.\There is nothing strange about you! response:	Amazing!
context: Including the point that it's nearly impossible that you would ever date them.\Pretty Costume\Which means...\you saying you're in love with Aika,\and any random person you might find on the street saying,\I wanna date someone from AK*Beep*! are in essence the same thing.\There is nothing strange about you!\Amazing! response:	He's totally made a logical affirmation of my interests!
context: Pretty Costume\Which means...\you saying you're in love with Aika,\and any random person you might find on the street saying,\I wanna date someone from AK*Beep*! are in essence the same thing.\There is nothing strange about you!\Amazing!\He's totally made a logical affirmation of my interests! response:	Yukimura-senpai's science powers truly are awesome!
context: Which means...\you saying you're in love with Aika,\and any random person you might find on the street saying,\I wanna date someone from AK*Beep*! are in essence the same thing.\There is nothing strange about you!\Amazing!\He's totally made a logical affirmation of my interests!\Yukimura-senpai's science powers truly are awesome! response:	Thanks, Yukimura-senpai.
context: you saying you're in love with Aika,\and any random person you might find on the street saying,\I wanna date someone from AK*Beep*! are in essence the same thing.\There is nothing strange about you!\Amazing!\He's totally made a logical affirmation of my interests!\Yukimura-senpai's science powers truly are awesome!\Thanks, Yukimura-senpai. response:	I feel like a load's been taken off my chest.
context: and any random person you might find on the street saying,\I wanna date someone from AK*Beep*! are in essence the same thing.\There is nothing strange about you!\Amazing!\He's totally made a logical affirmation of my interests!\Yukimura-senpai's science powers truly are awesome!\Thanks, Yukimura-senpai.\I feel like a load's been taken off my chest. response:	Now, I can once again live by love as I have always done!
context: I wanna date someone from AK*Beep*! are in essence the same thing.\There is nothing strange about you!\Amazing!\He's totally made a logical affirmation of my interests!\Yukimura-senpai's science powers truly are awesome!\Thanks, Yukimura-senpai.\I feel like a load's been taken off my chest.\Now, I can once again live by love as I have always done! response:	Aika!
context: There is nothing strange about you!\Amazing!\He's totally made a logical affirmation of my interests!\Yukimura-senpai's science powers truly are awesome!\Thanks, Yukimura-senpai.\I feel like a load's been taken off my chest.\Now, I can once again live by love as I have always done!\Aika! response:	What's wrong, Himuro? Do you have a refutation or something?
context: Amazing!\He's totally made a logical affirmation of my interests!\Yukimura-senpai's science powers truly are awesome!\Thanks, Yukimura-senpai.\I feel like a load's been taken off my chest.\Now, I can once again live by love as I have always done!\Aika!\What's wrong, Himuro? Do you have a refutation or something? response:	I don't know what to do. I might not be in love with you, Yukimura-kun.
context: He's totally made a logical affirmation of my interests!\Yukimura-senpai's science powers truly are awesome!\Thanks, Yukimura-senpai.\I feel like a load's been taken off my chest.\Now, I can once again live by love as I have always done!\Aika!\What's wrong, Himuro? Do you have a refutation or something?\I don't know what to do. I might not be in love with you, Yukimura-kun. response:	What?
context: Yukimura-senpai's science powers truly are awesome!\Thanks, Yukimura-senpai.\I feel like a load's been taken off my chest.\Now, I can once again live by love as I have always done!\Aika!\What's wrong, Himuro? Do you have a refutation or something?\I don't know what to do. I might not be in love with you, Yukimura-kun.\What? response:	How did you arrive at that conclusion?
context: Thanks, Yukimura-senpai.\I feel like a load's been taken off my chest.\Now, I can once again live by love as I have always done!\Aika!\What's wrong, Himuro? Do you have a refutation or something?\I don't know what to do. I might not be in love with you, Yukimura-kun.\What?\How did you arrive at that conclusion? response:	If Kosuke-kun's love is close to the general prerequisites for the condition,
context: I feel like a load's been taken off my chest.\Now, I can once again live by love as I have always done!\Aika!\What's wrong, Himuro? Do you have a refutation or something?\I don't know what to do. I might not be in love with you, Yukimura-kun.\What?\How did you arrive at that conclusion?\If Kosuke-kun's love is close to the general prerequisites for the condition, response:	Love' A love, B pillow Index representing the number of times A has slept with a pillow of B.
context: Now, I can once again live by love as I have always done!\Aika!\What's wrong, Himuro? Do you have a refutation or something?\I don't know what to do. I might not be in love with you, Yukimura-kun.\What?\How did you arrive at that conclusion?\If Kosuke-kun's love is close to the general prerequisites for the condition,\Love' A love, B pillow Index representing the number of times A has slept with a pillow of B. response:	Love' A love, B money Index representing the amount of money A has spent on B.
context: Aika!\What's wrong, Himuro? Do you have a refutation or something?\I don't know what to do. I might not be in love with you, Yukimura-kun.\What?\How did you arrive at that conclusion?\If Kosuke-kun's love is close to the general prerequisites for the condition,\Love' A love, B pillow Index representing the number of times A has slept with a pillow of B.\Love' A love, B money Index representing the amount of money A has spent on B. response:	then I'm nowhere near reaching them.
context: What's wrong, Himuro? Do you have a refutation or something?\I don't know what to do. I might not be in love with you, Yukimura-kun.\What?\How did you arrive at that conclusion?\If Kosuke-kun's love is close to the general prerequisites for the condition,\Love' A love, B pillow Index representing the number of times A has slept with a pillow of B.\Love' A love, B money Index representing the amount of money A has spent on B.\then I'm nowhere near reaching them. response:	But, that's only if Kosuke represents the norm!
context: I don't know what to do. I might not be in love with you, Yukimura-kun.\What?\How did you arrive at that conclusion?\If Kosuke-kun's love is close to the general prerequisites for the condition,\Love' A love, B pillow Index representing the number of times A has slept with a pillow of B.\Love' A love, B money Index representing the amount of money A has spent on B.\then I'm nowhere near reaching them.\But, that's only if Kosuke represents the norm! response:	Kosuke.
context: What?\How did you arrive at that conclusion?\If Kosuke-kun's love is close to the general prerequisites for the condition,\Love' A love, B pillow Index representing the number of times A has slept with a pillow of B.\Love' A love, B money Index representing the amount of money A has spent on B.\then I'm nowhere near reaching them.\But, that's only if Kosuke represents the norm!\Kosuke. response:	Yes?
context: How did you arrive at that conclusion?\If Kosuke-kun's love is close to the general prerequisites for the condition,\Love' A love, B pillow Index representing the number of times A has slept with a pillow of B.\Love' A love, B money Index representing the amount of money A has spent on B.\then I'm nowhere near reaching them.\But, that's only if Kosuke represents the norm!\Kosuke.\Yes? response:	I am making a retraction.
context: If Kosuke-kun's love is close to the general prerequisites for the condition,\Love' A love, B pillow Index representing the number of times A has slept with a pillow of B.\Love' A love, B money Index representing the amount of money A has spent on B.\then I'm nowhere near reaching them.\But, that's only if Kosuke represents the norm!\Kosuke.\Yes?\I am making a retraction. response:	You are strange!
context: Love' A love, B pillow Index representing the number of times A has slept with a pillow of B.\Love' A love, B money Index representing the amount of money A has spent on B.\then I'm nowhere near reaching them.\But, that's only if Kosuke represents the norm!\Kosuke.\Yes?\I am making a retraction.\You are strange! response:	What?!
context: Love' A love, B money Index representing the amount of money A has spent on B.\then I'm nowhere near reaching them.\But, that's only if Kosuke represents the norm!\Kosuke.\Yes?\I am making a retraction.\You are strange!\What?! response:	I said that loving a 2D character and a famous person were the same,
context: then I'm nowhere near reaching them.\But, that's only if Kosuke represents the norm!\Kosuke.\Yes?\I am making a retraction.\You are strange!\What?!\I said that loving a 2D character and a famous person were the same, response:	but there aren't many people who would have a body pillow
context: But, that's only if Kosuke represents the norm!\Kosuke.\Yes?\I am making a retraction.\You are strange!\What?!\I said that loving a 2D character and a famous person were the same,\but there aren't many people who would have a body pillow response:	of a famous person they love for over two years.
context: Kosuke.\Yes?\I am making a retraction.\You are strange!\What?!\I said that loving a 2D character and a famous person were the same,\but there aren't many people who would have a body pillow\of a famous person they love for over two years. response:	Wait, what about all that emotion and determination I had just now,
context: Yes?\I am making a retraction.\You are strange!\What?!\I said that loving a 2D character and a famous person were the same,\but there aren't many people who would have a body pillow\of a famous person they love for over two years.\Wait, what about all that emotion and determination I had just now, response:	Yukimura-senpai?!
context: I am making a retraction.\You are strange!\What?!\I said that loving a 2D character and a famous person were the same,\but there aren't many people who would have a body pillow\of a famous person they love for over two years.\Wait, what about all that emotion and determination I had just now,\Yukimura-senpai?! response:	In a word, your love is excessive.
context: You are strange!\What?!\I said that loving a 2D character and a famous person were the same,\but there aren't many people who would have a body pillow\of a famous person they love for over two years.\Wait, what about all that emotion and determination I had just now,\Yukimura-senpai?!\In a word, your love is excessive. response:	What?!
context: What?!\I said that loving a 2D character and a famous person were the same,\but there aren't many people who would have a body pillow\of a famous person they love for over two years.\Wait, what about all that emotion and determination I had just now,\Yukimura-senpai?!\In a word, your love is excessive.\What?! response:	What's wrong, Himuro-senpai?
context: I said that loving a 2D character and a famous person were the same,\but there aren't many people who would have a body pillow\of a famous person they love for over two years.\Wait, what about all that emotion and determination I had just now,\Yukimura-senpai?!\In a word, your love is excessive.\What?!\What's wrong, Himuro-senpai? response:	Nothing. I'm all right.
context: but there aren't many people who would have a body pillow\of a famous person they love for over two years.\Wait, what about all that emotion and determination I had just now,\Yukimura-senpai?!\In a word, your love is excessive.\What?!\What's wrong, Himuro-senpai?\Nothing. I'm all right. response:	Kosuke-kun's love was deemed excessive,
context: of a famous person they love for over two years.\Wait, what about all that emotion and determination I had just now,\Yukimura-senpai?!\In a word, your love is excessive.\What?!\What's wrong, Himuro-senpai?\Nothing. I'm all right.\Kosuke-kun's love was deemed excessive, response:	so it isn't certain that my love, which is less than his,
context: Wait, what about all that emotion and determination I had just now,\Yukimura-senpai?!\In a word, your love is excessive.\What?!\What's wrong, Himuro-senpai?\Nothing. I'm all right.\Kosuke-kun's love was deemed excessive,\so it isn't certain that my love, which is less than his, response:	would be deemed as not reaching normal levels...
context: Yukimura-senpai?!\In a word, your love is excessive.\What?!\What's wrong, Himuro-senpai?\Nothing. I'm all right.\Kosuke-kun's love was deemed excessive,\so it isn't certain that my love, which is less than his,\would be deemed as not reaching normal levels... response:	D-Don't worry! Please, believe in yourself!
context: In a word, your love is excessive.\What?!\What's wrong, Himuro-senpai?\Nothing. I'm all right.\Kosuke-kun's love was deemed excessive,\so it isn't certain that my love, which is less than his,\would be deemed as not reaching normal levels...\D-Don't worry! Please, believe in yourself! response:	Come on, chin up. Let's go with that dignity you always carry yourself with!
context: What?!\What's wrong, Himuro-senpai?\Nothing. I'm all right.\Kosuke-kun's love was deemed excessive,\so it isn't certain that my love, which is less than his,\would be deemed as not reaching normal levels...\D-Don't worry! Please, believe in yourself!\Come on, chin up. Let's go with that dignity you always carry yourself with! response:	Th-Thank you, Kanade-chan.
context: What's wrong, Himuro-senpai?\Nothing. I'm all right.\Kosuke-kun's love was deemed excessive,\so it isn't certain that my love, which is less than his,\would be deemed as not reaching normal levels...\D-Don't worry! Please, believe in yourself!\Come on, chin up. Let's go with that dignity you always carry yourself with!\Th-Thank you, Kanade-chan. response:	A long, long time ago,
context: Nothing. I'm all right.\Kosuke-kun's love was deemed excessive,\so it isn't certain that my love, which is less than his,\would be deemed as not reaching normal levels...\D-Don't worry! Please, believe in yourself!\Come on, chin up. Let's go with that dignity you always carry yourself with!\Th-Thank you, Kanade-chan.\A long, long time ago, response:	there was someone who said the same things you say to me, Kanade-chan.
context: Kosuke-kun's love was deemed excessive,\so it isn't certain that my love, which is less than his,\would be deemed as not reaching normal levels...\D-Don't worry! Please, believe in yourself!\Come on, chin up. Let's go with that dignity you always carry yourself with!\Th-Thank you, Kanade-chan.\A long, long time ago,\there was someone who said the same things you say to me, Kanade-chan. response:	Said the same things?
context: so it isn't certain that my love, which is less than his,\would be deemed as not reaching normal levels...\D-Don't worry! Please, believe in yourself!\Come on, chin up. Let's go with that dignity you always carry yourself with!\Th-Thank you, Kanade-chan.\A long, long time ago,\there was someone who said the same things you say to me, Kanade-chan.\Said the same things? response:	Because I was the kind of child who would spend all day studying pillbugs.
context: would be deemed as not reaching normal levels...\D-Don't worry! Please, believe in yourself!\Come on, chin up. Let's go with that dignity you always carry yourself with!\Th-Thank you, Kanade-chan.\A long, long time ago,\there was someone who said the same things you say to me, Kanade-chan.\Said the same things?\Because I was the kind of child who would spend all day studying pillbugs. response:	S-So, you've always been a science-type!
context: D-Don't worry! Please, believe in yourself!\Come on, chin up. Let's go with that dignity you always carry yourself with!\Th-Thank you, Kanade-chan.\A long, long time ago,\there was someone who said the same things you say to me, Kanade-chan.\Said the same things?\Because I was the kind of child who would spend all day studying pillbugs.\S-So, you've always been a science-type! response:	Oh, man! Did I step on a land mine?
context: Come on, chin up. Let's go with that dignity you always carry yourself with!\Th-Thank you, Kanade-chan.\A long, long time ago,\there was someone who said the same things you say to me, Kanade-chan.\Said the same things?\Because I was the kind of child who would spend all day studying pillbugs.\S-So, you've always been a science-type!\Oh, man! Did I step on a land mine? response:	But, you know...
context: Th-Thank you, Kanade-chan.\A long, long time ago,\there was someone who said the same things you say to me, Kanade-chan.\Said the same things?\Because I was the kind of child who would spend all day studying pillbugs.\S-So, you've always been a science-type!\Oh, man! Did I step on a land mine?\But, you know... response:	I met someone, and I changed.
