context: Kawagoe Seminar Azumi Kotarou response:	Koumei Private High School
context: Total worth\Score\English Mathematics Language 3-Subject Exams Science Social Studies 4-Subject Exams 5-Subject Exams\I heard you're applying for Koumei.\Oh, yeah...\That's awesome.\My first choice is a public school.\Yeah? response:	Hello, my son is in Class 3-1...
context: Score\English Mathematics Language 3-Subject Exams Science Social Studies 4-Subject Exams 5-Subject Exams\I heard you're applying for Koumei.\Oh, yeah...\That's awesome.\My first choice is a public school.\Yeah?\Hello, my son is in Class 3-1... response:	Hello.
context: English Mathematics Language 3-Subject Exams Science Social Studies 4-Subject Exams 5-Subject Exams\I heard you're applying for Koumei.\Oh, yeah...\That's awesome.\My first choice is a public school.\Yeah?\Hello, my son is in Class 3-1...\Hello. response:	Thanks for coming in.
context: I heard you're applying for Koumei.\Oh, yeah...\That's awesome.\My first choice is a public school.\Yeah?\Hello, my son is in Class 3-1...\Hello.\Thanks for coming in. response:	Thank you very much for having me.
context: Oh, yeah...\That's awesome.\My first choice is a public school.\Yeah?\Hello, my son is in Class 3-1...\Hello.\Thanks for coming in.\Thank you very much for having me. response:	Reception
context: That's awesome.\My first choice is a public school.\Yeah?\Hello, my son is in Class 3-1...\Hello.\Thanks for coming in.\Thank you very much for having me.\Reception response:	Exams are brutal, huh?
context: My first choice is a public school.\Yeah?\Hello, my son is in Class 3-1...\Hello.\Thanks for coming in.\Thank you very much for having me.\Reception\Exams are brutal, huh? response:	My grades aren't good.
context: Yeah?\Hello, my son is in Class 3-1...\Hello.\Thanks for coming in.\Thank you very much for having me.\Reception\Exams are brutal, huh?\My grades aren't good. response:	I see...
context: Hello, my son is in Class 3-1...\Hello.\Thanks for coming in.\Thank you very much for having me.\Reception\Exams are brutal, huh?\My grades aren't good.\I see... response:	I might not get into the school I want.
context: Hello.\Thanks for coming in.\Thank you very much for having me.\Reception\Exams are brutal, huh?\My grades aren't good.\I see...\I might not get into the school I want. response:	You look pale.
context: Thanks for coming in.\Thank you very much for having me.\Reception\Exams are brutal, huh?\My grades aren't good.\I see...\I might not get into the school I want.\You look pale. response:	You're pushing yourself too hard.
context: Thank you very much for having me.\Reception\Exams are brutal, huh?\My grades aren't good.\I see...\I might not get into the school I want.\You look pale.\You're pushing yourself too hard. response:	Your family must be worried.
context: Reception\Exams are brutal, huh?\My grades aren't good.\I see...\I might not get into the school I want.\You look pale.\You're pushing yourself too hard.\Your family must be worried. response:	My parents are against it.
context: Exams are brutal, huh?\My grades aren't good.\I see...\I might not get into the school I want.\You look pale.\You're pushing yourself too hard.\Your family must be worried.\My parents are against it. response:	They probably hope I fail.
context: My grades aren't good.\I see...\I might not get into the school I want.\You look pale.\You're pushing yourself too hard.\Your family must be worried.\My parents are against it.\They probably hope I fail. response:	Don't be afraid to rest when things get rough.
context: I see...\I might not get into the school I want.\You look pale.\You're pushing yourself too hard.\Your family must be worried.\My parents are against it.\They probably hope I fail.\Don't be afraid to rest when things get rough. response:	It's important to clear your mind, too.
context: I might not get into the school I want.\You look pale.\You're pushing yourself too hard.\Your family must be worried.\My parents are against it.\They probably hope I fail.\Don't be afraid to rest when things get rough.\It's important to clear your mind, too. response:	Why don't you try talking to your parents again after things settle down a little?
context: You look pale.\You're pushing yourself too hard.\Your family must be worried.\My parents are against it.\They probably hope I fail.\Don't be afraid to rest when things get rough.\It's important to clear your mind, too.\Why don't you try talking to your parents again after things settle down a little? response:	I'm home.
context: You're pushing yourself too hard.\Your family must be worried.\My parents are against it.\They probably hope I fail.\Don't be afraid to rest when things get rough.\It's important to clear your mind, too.\Why don't you try talking to your parents again after things settle down a little?\I'm home. response:	Don't overdo it
context: Your family must be worried.\My parents are against it.\They probably hope I fail.\Don't be afraid to rest when things get rough.\It's important to clear your mind, too.\Why don't you try talking to your parents again after things settle down a little?\I'm home.\Don't overdo it response:	Yes, sir!
context: My parents are against it.\They probably hope I fail.\Don't be afraid to rest when things get rough.\It's important to clear your mind, too.\Why don't you try talking to your parents again after things settle down a little?\I'm home.\Don't overdo it\Yes, sir! response:	Can we meet up for Christmas tomorrow, at least for a bit?
context: They probably hope I fail.\Don't be afraid to rest when things get rough.\It's important to clear your mind, too.\Why don't you try talking to your parents again after things settle down a little?\I'm home.\Don't overdo it\Yes, sir!\Can we meet up for Christmas tomorrow, at least for a bit? response:	It's so cute!
context: Don't be afraid to rest when things get rough.\It's important to clear your mind, too.\Why don't you try talking to your parents again after things settle down a little?\I'm home.\Don't overdo it\Yes, sir!\Can we meet up for Christmas tomorrow, at least for a bit?\It's so cute! response:	Sorry, were you waiting long?
context: It's important to clear your mind, too.\Why don't you try talking to your parents again after things settle down a little?\I'm home.\Don't overdo it\Yes, sir!\Can we meet up for Christmas tomorrow, at least for a bit?\It's so cute!\Sorry, were you waiting long? response:	No.
context: Why don't you try talking to your parents again after things settle down a little?\I'm home.\Don't overdo it\Yes, sir!\Can we meet up for Christmas tomorrow, at least for a bit?\It's so cute!\Sorry, were you waiting long?\No. response:	It's been a long time since it was just the two of us.
context: I'm home.\Don't overdo it\Yes, sir!\Can we meet up for Christmas tomorrow, at least for a bit?\It's so cute!\Sorry, were you waiting long?\No.\It's been a long time since it was just the two of us. response:	Yeah.
context: Don't overdo it\Yes, sir!\Can we meet up for Christmas tomorrow, at least for a bit?\It's so cute!\Sorry, were you waiting long?\No.\It's been a long time since it was just the two of us.\Yeah. response:	Hey...
context: Yes, sir!\Can we meet up for Christmas tomorrow, at least for a bit?\It's so cute!\Sorry, were you waiting long?\No.\It's been a long time since it was just the two of us.\Yeah.\Hey... response:	Hey...
context: Can we meet up for Christmas tomorrow, at least for a bit?\It's so cute!\Sorry, were you waiting long?\No.\It's been a long time since it was just the two of us.\Yeah.\Hey...\Hey... response:	Sorry, I know you're studying.
context: It's so cute!\Sorry, were you waiting long?\No.\It's been a long time since it was just the two of us.\Yeah.\Hey...\Hey...\Sorry, I know you're studying. response:	You, too.
context: Sorry, were you waiting long?\No.\It's been a long time since it was just the two of us.\Yeah.\Hey...\Hey...\Sorry, I know you're studying.\You, too. response:	H-Hey...
context: No.\It's been a long time since it was just the two of us.\Yeah.\Hey...\Hey...\Sorry, I know you're studying.\You, too.\H-Hey... response:	Merry Christmas.
context: It's been a long time since it was just the two of us.\Yeah.\Hey...\Hey...\Sorry, I know you're studying.\You, too.\H-Hey...\Merry Christmas. response:	Thanks.
context: Yeah.\Hey...\Hey...\Sorry, I know you're studying.\You, too.\H-Hey...\Merry Christmas.\Thanks. response:	I have something, too.
context: Hey...\Hey...\Sorry, I know you're studying.\You, too.\H-Hey...\Merry Christmas.\Thanks.\I have something, too. response:	Can I open it?
context: Hey...\Sorry, I know you're studying.\You, too.\H-Hey...\Merry Christmas.\Thanks.\I have something, too.\Can I open it? response:	Sure.
context: Sorry, I know you're studying.\You, too.\H-Hey...\Merry Christmas.\Thanks.\I have something, too.\Can I open it?\Sure. response:	I thought it might be useful for your club.
context: You, too.\H-Hey...\Merry Christmas.\Thanks.\I have something, too.\Can I open it?\Sure.\I thought it might be useful for your club. response:	It's so cute! Thanks!
context: H-Hey...\Merry Christmas.\Thanks.\I have something, too.\Can I open it?\Sure.\I thought it might be useful for your club.\It's so cute! Thanks! response:	Me next, then.
context: Merry Christmas.\Thanks.\I have something, too.\Can I open it?\Sure.\I thought it might be useful for your club.\It's so cute! Thanks!\Me next, then. response:	Yeah.
context: Thanks.\I have something, too.\Can I open it?\Sure.\I thought it might be useful for your club.\It's so cute! Thanks!\Me next, then.\Yeah. response:	U-Um...
context: I have something, too.\Can I open it?\Sure.\I thought it might be useful for your club.\It's so cute! Thanks!\Me next, then.\Yeah.\U-Um... response:	Sorry it's so bad.
context: Can I open it?\Sure.\I thought it might be useful for your club.\It's so cute! Thanks!\Me next, then.\Yeah.\U-Um...\Sorry it's so bad. response:	It was my first time knitting.
context: Sure.\I thought it might be useful for your club.\It's so cute! Thanks!\Me next, then.\Yeah.\U-Um...\Sorry it's so bad.\It was my first time knitting. response:	R-Really?
context: I thought it might be useful for your club.\It's so cute! Thanks!\Me next, then.\Yeah.\U-Um...\Sorry it's so bad.\It was my first time knitting.\R-Really? response:	Wow...
context: It's so cute! Thanks!\Me next, then.\Yeah.\U-Um...\Sorry it's so bad.\It was my first time knitting.\R-Really?\Wow... response:	Huh?
context: Me next, then.\Yeah.\U-Um...\Sorry it's so bad.\It was my first time knitting.\R-Really?\Wow...\Huh? response:	No way... Why?
context: Yeah.\U-Um...\Sorry it's so bad.\It was my first time knitting.\R-Really?\Wow...\Huh?\No way... Why? response:	I followed the book...
context: U-Um...\Sorry it's so bad.\It was my first time knitting.\R-Really?\Wow...\Huh?\No way... Why?\I followed the book... response:	Huh?
context: Sorry it's so bad.\It was my first time knitting.\R-Really?\Wow...\Huh?\No way... Why?\I followed the book...\Huh? response:	Sorry.
context: It was my first time knitting.\R-Really?\Wow...\Huh?\No way... Why?\I followed the book...\Huh?\Sorry. response:	It's fine.
context: R-Really?\Wow...\Huh?\No way... Why?\I followed the book...\Huh?\Sorry.\It's fine. response:	See?
context: Wow...\Huh?\No way... Why?\I followed the book...\Huh?\Sorry.\It's fine.\See? response:	It's warm.
context: Huh?\No way... Why?\I followed the book...\Huh?\Sorry.\It's fine.\See?\It's warm. response:	Thank goodness.
context: No way... Why?\I followed the book...\Huh?\Sorry.\It's fine.\See?\It's warm.\Thank goodness. response:	Thanks, Akane-chan.
context: I followed the book...\Huh?\Sorry.\It's fine.\See?\It's warm.\Thank goodness.\Thanks, Akane-chan. response:	You're studying really hard, aren't you?
context: Huh?\Sorry.\It's fine.\See?\It's warm.\Thank goodness.\Thanks, Akane-chan.\You're studying really hard, aren't you? response:	Huh?
context: Sorry.\It's fine.\See?\It's warm.\Thank goodness.\Thanks, Akane-chan.\You're studying really hard, aren't you?\Huh? response:	You look sleepy in class.
context: It's fine.\See?\It's warm.\Thank goodness.\Thanks, Akane-chan.\You're studying really hard, aren't you?\Huh?\You look sleepy in class. response:	Are you always up late studying?
context: See?\It's warm.\Thank goodness.\Thanks, Akane-chan.\You're studying really hard, aren't you?\Huh?\You look sleepy in class.\Are you always up late studying? response:	Yeah.
context: It's warm.\Thank goodness.\Thanks, Akane-chan.\You're studying really hard, aren't you?\Huh?\You look sleepy in class.\Are you always up late studying?\Yeah. response:	I see.
context: Thank goodness.\Thanks, Akane-chan.\You're studying really hard, aren't you?\Huh?\You look sleepy in class.\Are you always up late studying?\Yeah.\I see. response:	I'm running out of time.
context: Thanks, Akane-chan.\You're studying really hard, aren't you?\Huh?\You look sleepy in class.\Are you always up late studying?\Yeah.\I see.\I'm running out of time. response:	My mom's against it, so I want to get my grades up and show her,
context: You're studying really hard, aren't you?\Huh?\You look sleepy in class.\Are you always up late studying?\Yeah.\I see.\I'm running out of time.\My mom's against it, so I want to get my grades up and show her, response:	but it's not working out.
context: Huh?\You look sleepy in class.\Are you always up late studying?\Yeah.\I see.\I'm running out of time.\My mom's against it, so I want to get my grades up and show her,\but it's not working out. response:	Yeah.
context: You look sleepy in class.\Are you always up late studying?\Yeah.\I see.\I'm running out of time.\My mom's against it, so I want to get my grades up and show her,\but it's not working out.\Yeah. response:	Having your family's support is important, isn't it?
context: Are you always up late studying?\Yeah.\I see.\I'm running out of time.\My mom's against it, so I want to get my grades up and show her,\but it's not working out.\Yeah.\Having your family's support is important, isn't it? response:	At my last meet, my mom left a message in my lunch box saying,
context: Yeah.\I see.\I'm running out of time.\My mom's against it, so I want to get my grades up and show her,\but it's not working out.\Yeah.\Having your family's support is important, isn't it?\At my last meet, my mom left a message in my lunch box saying, response:	Good work over the past three years.
context: I see.\I'm running out of time.\My mom's against it, so I want to get my grades up and show her,\but it's not working out.\Yeah.\Having your family's support is important, isn't it?\At my last meet, my mom left a message in my lunch box saying,\Good work over the past three years. response:	Yeah?
context: I'm running out of time.\My mom's against it, so I want to get my grades up and show her,\but it's not working out.\Yeah.\Having your family's support is important, isn't it?\At my last meet, my mom left a message in my lunch box saying,\Good work over the past three years.\Yeah? response:	I realized she'd been watching over me the whole time.
context: My mom's against it, so I want to get my grades up and show her,\but it's not working out.\Yeah.\Having your family's support is important, isn't it?\At my last meet, my mom left a message in my lunch box saying,\Good work over the past three years.\Yeah?\I realized she'd been watching over me the whole time. response:	I cried a little.
context: but it's not working out.\Yeah.\Having your family's support is important, isn't it?\At my last meet, my mom left a message in my lunch box saying,\Good work over the past three years.\Yeah?\I realized she'd been watching over me the whole time.\I cried a little. response:	Yeah?
context: Yeah.\Having your family's support is important, isn't it?\At my last meet, my mom left a message in my lunch box saying,\Good work over the past three years.\Yeah?\I realized she'd been watching over me the whole time.\I cried a little.\Yeah? response:	Either way, I'm just going to have to succeed.
context: Having your family's support is important, isn't it?\At my last meet, my mom left a message in my lunch box saying,\Good work over the past three years.\Yeah?\I realized she'd been watching over me the whole time.\I cried a little.\Yeah?\Either way, I'm just going to have to succeed. response:	Aitai Fortune
context: At my last meet, my mom left a message in my lunch box saying,\Good work over the past three years.\Yeah?\I realized she'd been watching over me the whole time.\I cried a little.\Yeah?\Either way, I'm just going to have to succeed.\Aitai Fortune response:	Kawagoe Hikawa Shrine
context: Good work over the past three years.\Yeah?\I realized she'd been watching over me the whole time.\I cried a little.\Yeah?\Either way, I'm just going to have to succeed.\Aitai Fortune\Kawagoe Hikawa Shrine response:	Yeah.
context: Yeah?\I realized she'd been watching over me the whole time.\I cried a little.\Yeah?\Either way, I'm just going to have to succeed.\Aitai Fortune\Kawagoe Hikawa Shrine\Yeah. response:	Me, too.
context: I realized she'd been watching over me the whole time.\I cried a little.\Yeah?\Either way, I'm just going to have to succeed.\Aitai Fortune\Kawagoe Hikawa Shrine\Yeah.\Me, too. response:	Exams start right after New Year's.
context: I cried a little.\Yeah?\Either way, I'm just going to have to succeed.\Aitai Fortune\Kawagoe Hikawa Shrine\Yeah.\Me, too.\Exams start right after New Year's. response:	Let's do this.
context: Yeah?\Either way, I'm just going to have to succeed.\Aitai Fortune\Kawagoe Hikawa Shrine\Yeah.\Me, too.\Exams start right after New Year's.\Let's do this. response:	Yeah.
context: Either way, I'm just going to have to succeed.\Aitai Fortune\Kawagoe Hikawa Shrine\Yeah.\Me, too.\Exams start right after New Year's.\Let's do this.\Yeah. response:	Sorry it didn't turn out so great I'm glad you liked it, though And thanks for the handkerchief I'll use it at my club
context: Aitai Fortune\Kawagoe Hikawa Shrine\Yeah.\Me, too.\Exams start right after New Year's.\Let's do this.\Yeah.\Sorry it didn't turn out so great I'm glad you liked it, though And thanks for the handkerchief I'll use it at my club response:	Thanks for meeting up today I feel like I'm ready to study again starting tomorrow
context: Kawagoe Hikawa Shrine\Yeah.\Me, too.\Exams start right after New Year's.\Let's do this.\Yeah.\Sorry it didn't turn out so great I'm glad you liked it, though And thanks for the handkerchief I'll use it at my club\Thanks for meeting up today I feel like I'm ready to study again starting tomorrow response:	I hope we both do well
context: Yeah.\Me, too.\Exams start right after New Year's.\Let's do this.\Yeah.\Sorry it didn't turn out so great I'm glad you liked it, though And thanks for the handkerchief I'll use it at my club\Thanks for meeting up today I feel like I'm ready to study again starting tomorrow\I hope we both do well response:	Yeah!
context: Me, too.\Exams start right after New Year's.\Let's do this.\Yeah.\Sorry it didn't turn out so great I'm glad you liked it, though And thanks for the handkerchief I'll use it at my club\Thanks for meeting up today I feel like I'm ready to study again starting tomorrow\I hope we both do well\Yeah! response:	Akane's getting her result today, right?
context: Exams start right after New Year's.\Let's do this.\Yeah.\Sorry it didn't turn out so great I'm glad you liked it, though And thanks for the handkerchief I'll use it at my club\Thanks for meeting up today I feel like I'm ready to study again starting tomorrow\I hope we both do well\Yeah!\Akane's getting her result today, right? response:	Yeah.
context: Let's do this.\Yeah.\Sorry it didn't turn out so great I'm glad you liked it, though And thanks for the handkerchief I'll use it at my club\Thanks for meeting up today I feel like I'm ready to study again starting tomorrow\I hope we both do well\Yeah!\Akane's getting her result today, right?\Yeah. response:	I passed
context: Yeah.\Sorry it didn't turn out so great I'm glad you liked it, though And thanks for the handkerchief I'll use it at my club\Thanks for meeting up today I feel like I'm ready to study again starting tomorrow\I hope we both do well\Yeah!\Akane's getting her result today, right?\Yeah.\I passed response:	Did... Did she...
context: Sorry it didn't turn out so great I'm glad you liked it, though And thanks for the handkerchief I'll use it at my club\Thanks for meeting up today I feel like I'm ready to study again starting tomorrow\I hope we both do well\Yeah!\Akane's getting her result today, right?\Yeah.\I passed\Did... Did she... response:	She passed?
context: Thanks for meeting up today I feel like I'm ready to study again starting tomorrow\I hope we both do well\Yeah!\Akane's getting her result today, right?\Yeah.\I passed\Did... Did she...\She passed? response:	Yup!
context: I hope we both do well\Yeah!\Akane's getting her result today, right?\Yeah.\I passed\Did... Did she...\She passed?\Yup! response:	All right!
context: Yeah!\Akane's getting her result today, right?\Yeah.\I passed\Did... Did she...\She passed?\Yup!\All right! response:	Yes!
context: Akane's getting her result today, right?\Yeah.\I passed\Did... Did she...\She passed?\Yup!\All right!\Yes! response:	Congrats!!
context: Yeah.\I passed\Did... Did she...\She passed?\Yup!\All right!\Yes!\Congrats!! response:	Good for her.
context: I passed\Did... Did she...\She passed?\Yup!\All right!\Yes!\Congrats!!\Good for her. response:	Yeah.
context: Did... Did she...\She passed?\Yup!\All right!\Yes!\Congrats!!\Good for her.\Yeah. response:	You can do it too, Azumi-kun.
context: She passed?\Yup!\All right!\Yes!\Congrats!!\Good for her.\Yeah.\You can do it too, Azumi-kun. response:	Yeah.
context: Yup!\All right!\Yes!\Congrats!!\Good for her.\Yeah.\You can do it too, Azumi-kun.\Yeah. response:	Morning.
context: All right!\Yes!\Congrats!!\Good for her.\Yeah.\You can do it too, Azumi-kun.\Yeah.\Morning. response:	Were you up all night?
context: Yes!\Congrats!!\Good for her.\Yeah.\You can do it too, Azumi-kun.\Yeah.\Morning.\Were you up all night? response:	Yeah, studying.
context: Congrats!!\Good for her.\Yeah.\You can do it too, Azumi-kun.\Yeah.\Morning.\Were you up all night?\Yeah, studying. response:	About your high school...
context: Good for her.\Yeah.\You can do it too, Azumi-kun.\Yeah.\Morning.\Were you up all night?\Yeah, studying.\About your high school... response:	I've heard enough.
context: Yeah.\You can do it too, Azumi-kun.\Yeah.\Morning.\Were you up all night?\Yeah, studying.\About your high school...\I've heard enough. response:	You can apply to Koumei.
context: You can do it too, Azumi-kun.\Yeah.\Morning.\Were you up all night?\Yeah, studying.\About your high school...\I've heard enough.\You can apply to Koumei. response:	But if you fail, you're applying to a municipal high school.
context: Yeah.\Morning.\Were you up all night?\Yeah, studying.\About your high school...\I've heard enough.\You can apply to Koumei.\But if you fail, you're applying to a municipal high school. response:	Got it?
context: Morning.\Were you up all night?\Yeah, studying.\About your high school...\I've heard enough.\You can apply to Koumei.\But if you fail, you're applying to a municipal high school.\Got it? response:	Can you promise?
context: Were you up all night?\Yeah, studying.\About your high school...\I've heard enough.\You can apply to Koumei.\But if you fail, you're applying to a municipal high school.\Got it?\Can you promise? response:	Yeah.
context: Yeah, studying.\About your high school...\I've heard enough.\You can apply to Koumei.\But if you fail, you're applying to a municipal high school.\Got it?\Can you promise?\Yeah. response:	Got it.
context: About your high school...\I've heard enough.\You can apply to Koumei.\But if you fail, you're applying to a municipal high school.\Got it?\Can you promise?\Yeah.\Got it. response:	Your mom got called in by your homeroom teacher the other day.
context: I've heard enough.\You can apply to Koumei.\But if you fail, you're applying to a municipal high school.\Got it?\Can you promise?\Yeah.\Got it.\Your mom got called in by your homeroom teacher the other day. response:	She said you shouldn't try for Koumei with your current grades.
context: You can apply to Koumei.\But if you fail, you're applying to a municipal high school.\Got it?\Can you promise?\Yeah.\Got it.\Your mom got called in by your homeroom teacher the other day.\She said you shouldn't try for Koumei with your current grades. response:	But your mother apparently fought back, saying she wants to give you a chance
context: But if you fail, you're applying to a municipal high school.\Got it?\Can you promise?\Yeah.\Got it.\Your mom got called in by your homeroom teacher the other day.\She said you shouldn't try for Koumei with your current grades.\But your mother apparently fought back, saying she wants to give you a chance response:	since you're trying so hard.
context: Got it?\Can you promise?\Yeah.\Got it.\Your mom got called in by your homeroom teacher the other day.\She said you shouldn't try for Koumei with your current grades.\But your mother apparently fought back, saying she wants to give you a chance\since you're trying so hard. response:	She can be naggy, but...
context: Can you promise?\Yeah.\Got it.\Your mom got called in by your homeroom teacher the other day.\She said you shouldn't try for Koumei with your current grades.\But your mother apparently fought back, saying she wants to give you a chance\since you're trying so hard.\She can be naggy, but... response:	Well, there you have it.
context: Yeah.\Got it.\Your mom got called in by your homeroom teacher the other day.\She said you shouldn't try for Koumei with your current grades.\But your mother apparently fought back, saying she wants to give you a chance\since you're trying so hard.\She can be naggy, but...\Well, there you have it. response:	Oh.
context: Got it.\Your mom got called in by your homeroom teacher the other day.\She said you shouldn't try for Koumei with your current grades.\But your mother apparently fought back, saying she wants to give you a chance\since you're trying so hard.\She can be naggy, but...\Well, there you have it.\Oh. response:	What is it?
context: Your mom got called in by your homeroom teacher the other day.\She said you shouldn't try for Koumei with your current grades.\But your mother apparently fought back, saying she wants to give you a chance\since you're trying so hard.\She can be naggy, but...\Well, there you have it.\Oh.\What is it? response:	Are you hungry?
context: She said you shouldn't try for Koumei with your current grades.\But your mother apparently fought back, saying she wants to give you a chance\since you're trying so hard.\She can be naggy, but...\Well, there you have it.\Oh.\What is it?\Are you hungry? response:	I was just about to bring this upstairs.
context: But your mother apparently fought back, saying she wants to give you a chance\since you're trying so hard.\She can be naggy, but...\Well, there you have it.\Oh.\What is it?\Are you hungry?\I was just about to bring this upstairs. response:	Have a seat.
context: since you're trying so hard.\She can be naggy, but...\Well, there you have it.\Oh.\What is it?\Are you hungry?\I was just about to bring this upstairs.\Have a seat. response:	Why don't you go back to sleeping earlier and being awake at normal times?
context: She can be naggy, but...\Well, there you have it.\Oh.\What is it?\Are you hungry?\I was just about to bring this upstairs.\Have a seat.\Why don't you go back to sleeping earlier and being awake at normal times? response:	You're putting so much work into this.
context: Well, there you have it.\Oh.\What is it?\Are you hungry?\I was just about to bring this upstairs.\Have a seat.\Why don't you go back to sleeping earlier and being awake at normal times?\You're putting so much work into this. response:	What good will it do you if you aren't fully awake at the exam?
context: Oh.\What is it?\Are you hungry?\I was just about to bring this upstairs.\Have a seat.\Why don't you go back to sleeping earlier and being awake at normal times?\You're putting so much work into this.\What good will it do you if you aren't fully awake at the exam? response:	Yeah.
context: What is it?\Are you hungry?\I was just about to bring this upstairs.\Have a seat.\Why don't you go back to sleeping earlier and being awake at normal times?\You're putting so much work into this.\What good will it do you if you aren't fully awake at the exam?\Yeah. response:	Here, tea.
context: Are you hungry?\I was just about to bring this upstairs.\Have a seat.\Why don't you go back to sleeping earlier and being awake at normal times?\You're putting so much work into this.\What good will it do you if you aren't fully awake at the exam?\Yeah.\Here, tea. response:	Goodnight.
context: I was just about to bring this upstairs.\Have a seat.\Why don't you go back to sleeping earlier and being awake at normal times?\You're putting so much work into this.\What good will it do you if you aren't fully awake at the exam?\Yeah.\Here, tea.\Goodnight. response:	Goodnight.
context: Have a seat.\Why don't you go back to sleeping earlier and being awake at normal times?\You're putting so much work into this.\What good will it do you if you aren't fully awake at the exam?\Yeah.\Here, tea.\Goodnight.\Goodnight. response:	Don't overdo it.
context: Why don't you go back to sleeping earlier and being awake at normal times?\You're putting so much work into this.\What good will it do you if you aren't fully awake at the exam?\Yeah.\Here, tea.\Goodnight.\Goodnight.\Don't overdo it. response:	Do you have your exam ticket?
context: You're putting so much work into this.\What good will it do you if you aren't fully awake at the exam?\Yeah.\Here, tea.\Goodnight.\Goodnight.\Don't overdo it.\Do you have your exam ticket? response:	I got it.
context: What good will it do you if you aren't fully awake at the exam?\Yeah.\Here, tea.\Goodnight.\Goodnight.\Don't overdo it.\Do you have your exam ticket?\I got it. response:	I wrote down your transfers and departure times.
context: Yeah.\Here, tea.\Goodnight.\Goodnight.\Don't overdo it.\Do you have your exam ticket?\I got it.\I wrote down your transfers and departure times. response:	Don't you dare take the wrong train.
context: Here, tea.\Goodnight.\Goodnight.\Don't overdo it.\Do you have your exam ticket?\I got it.\I wrote down your transfers and departure times.\Don't you dare take the wrong train. response:	It's really far.
context: Goodnight.\Goodnight.\Don't overdo it.\Do you have your exam ticket?\I got it.\I wrote down your transfers and departure times.\Don't you dare take the wrong train.\It's really far. response:	I know.
context: Goodnight.\Don't overdo it.\Do you have your exam ticket?\I got it.\I wrote down your transfers and departure times.\Don't you dare take the wrong train.\It's really far.\I know. response:	Kotarou, here.
context: Don't overdo it.\Do you have your exam ticket?\I got it.\I wrote down your transfers and departure times.\Don't you dare take the wrong train.\It's really far.\I know.\Kotarou, here. response:	Thanks.
context: Do you have your exam ticket?\I got it.\I wrote down your transfers and departure times.\Don't you dare take the wrong train.\It's really far.\I know.\Kotarou, here.\Thanks. response:	Hurry up, now.
context: I got it.\I wrote down your transfers and departure times.\Don't you dare take the wrong train.\It's really far.\I know.\Kotarou, here.\Thanks.\Hurry up, now. response:	You don't want to be late.
context: I wrote down your transfers and departure times.\Don't you dare take the wrong train.\It's really far.\I know.\Kotarou, here.\Thanks.\Hurry up, now.\You don't want to be late. response:	I'm going.
context: Don't you dare take the wrong train.\It's really far.\I know.\Kotarou, here.\Thanks.\Hurry up, now.\You don't want to be late.\I'm going. response:	Off you go.
context: It's really far.\I know.\Kotarou, here.\Thanks.\Hurry up, now.\You don't want to be late.\I'm going.\Off you go. response:	Dazai once said, I must live up to my promise.
context: I know.\Kotarou, here.\Thanks.\Hurry up, now.\You don't want to be late.\I'm going.\Off you go.\Dazai once said, I must live up to my promise. response:	That is all that matters to me now.
context: Kotarou, here.\Thanks.\Hurry up, now.\You don't want to be late.\I'm going.\Off you go.\Dazai once said, I must live up to my promise.\That is all that matters to me now. response:	An Encouragement of Learning
