context: Tsuritama Episode 3 response:	I don't regret my decision to fish,
context: JF2, are impersonating humans.\What is JF1 doing in Enoshima?\He fishes every day.\He fishes? Is he just a tourist alien?\Last month one of them came to Nagoya to play pachinko.\They possess a dangerous power.\They can control humans using water.\Control? What does that mean, exactly? response:	He made his classmate perform the Enoshima dance.
context: What is JF1 doing in Enoshima?\He fishes every day.\He fishes? Is he just a tourist alien?\Last month one of them came to Nagoya to play pachinko.\They possess a dangerous power.\They can control humans using water.\Control? What does that mean, exactly?\He made his classmate perform the Enoshima dance. response:	Fine. Take care of the rest.
context: He fishes every day.\He fishes? Is he just a tourist alien?\Last month one of them came to Nagoya to play pachinko.\They possess a dangerous power.\They can control humans using water.\Control? What does that mean, exactly?\He made his classmate perform the Enoshima dance.\Fine. Take care of the rest. response:	we've got our hands full with the Bermuda syndrome investigation.
context: He fishes? Is he just a tourist alien?\Last month one of them came to Nagoya to play pachinko.\They possess a dangerous power.\They can control humans using water.\Control? What does that mean, exactly?\He made his classmate perform the Enoshima dance.\Fine. Take care of the rest.\we've got our hands full with the Bermuda syndrome investigation. response:	Yamada, enjoy your high school life a little longer.
context: Last month one of them came to Nagoya to play pachinko.\They possess a dangerous power.\They can control humans using water.\Control? What does that mean, exactly?\He made his classmate perform the Enoshima dance.\Fine. Take care of the rest.\we've got our hands full with the Bermuda syndrome investigation.\Yamada, enjoy your high school life a little longer. response:	Farewell.
context: They possess a dangerous power.\They can control humans using water.\Control? What does that mean, exactly?\He made his classmate perform the Enoshima dance.\Fine. Take care of the rest.\we've got our hands full with the Bermuda syndrome investigation.\Yamada, enjoy your high school life a little longer.\Farewell. response:	Duck.
context: They can control humans using water.\Control? What does that mean, exactly?\He made his classmate perform the Enoshima dance.\Fine. Take care of the rest.\we've got our hands full with the Bermuda syndrome investigation.\Yamada, enjoy your high school life a little longer.\Farewell.\Duck. response:	Duck.
context: Control? What does that mean, exactly?\He made his classmate perform the Enoshima dance.\Fine. Take care of the rest.\we've got our hands full with the Bermuda syndrome investigation.\Yamada, enjoy your high school life a little longer.\Farewell.\Duck.\Duck. response:	How dare they treat me like a fool?
context: He made his classmate perform the Enoshima dance.\Fine. Take care of the rest.\we've got our hands full with the Bermuda syndrome investigation.\Yamada, enjoy your high school life a little longer.\Farewell.\Duck.\Duck.\How dare they treat me like a fool? response:	I don't have time to sit around here.
context: Fine. Take care of the rest.\we've got our hands full with the Bermuda syndrome investigation.\Yamada, enjoy your high school life a little longer.\Farewell.\Duck.\Duck.\How dare they treat me like a fool?\I don't have time to sit around here. response:	Water feels great.
context: we've got our hands full with the Bermuda syndrome investigation.\Yamada, enjoy your high school life a little longer.\Farewell.\Duck.\Duck.\How dare they treat me like a fool?\I don't have time to sit around here.\Water feels great. response:	Koko, the Indian guy is scary.
context: Yamada, enjoy your high school life a little longer.\Farewell.\Duck.\Duck.\How dare they treat me like a fool?\I don't have time to sit around here.\Water feels great.\Koko, the Indian guy is scary. response:	His eyes are scary.
context: Farewell.\Duck.\Duck.\How dare they treat me like a fool?\I don't have time to sit around here.\Water feels great.\Koko, the Indian guy is scary.\His eyes are scary. response:	And that white bird...
context: Duck.\Duck.\How dare they treat me like a fool?\I don't have time to sit around here.\Water feels great.\Koko, the Indian guy is scary.\His eyes are scary.\And that white bird... response:	That's called a duck.
context: Duck.\How dare they treat me like a fool?\I don't have time to sit around here.\Water feels great.\Koko, the Indian guy is scary.\His eyes are scary.\And that white bird...\That's called a duck. response:	It must be some kind of weapon.
context: How dare they treat me like a fool?\I don't have time to sit around here.\Water feels great.\Koko, the Indian guy is scary.\His eyes are scary.\And that white bird...\That's called a duck.\It must be some kind of weapon. response:	If we lock eyes with it, it'll kill us.
context: I don't have time to sit around here.\Water feels great.\Koko, the Indian guy is scary.\His eyes are scary.\And that white bird...\That's called a duck.\It must be some kind of weapon.\If we lock eyes with it, it'll kill us. response:	What? I think I already did.
context: Water feels great.\Koko, the Indian guy is scary.\His eyes are scary.\And that white bird...\That's called a duck.\It must be some kind of weapon.\If we lock eyes with it, it'll kill us.\What? I think I already did. response:	Nii-chan, you should get out of that house.
context: Koko, the Indian guy is scary.\His eyes are scary.\And that white bird...\That's called a duck.\It must be some kind of weapon.\If we lock eyes with it, it'll kill us.\What? I think I already did.\Nii-chan, you should get out of that house. response:	Why?
context: His eyes are scary.\And that white bird...\That's called a duck.\It must be some kind of weapon.\If we lock eyes with it, it'll kill us.\What? I think I already did.\Nii-chan, you should get out of that house.\Why? response:	You'll be in trouble if they find you.
context: And that white bird...\That's called a duck.\It must be some kind of weapon.\If we lock eyes with it, it'll kill us.\What? I think I already did.\Nii-chan, you should get out of that house.\Why?\You'll be in trouble if they find you. response:	Besides, Yuki still hasn't caught a single fish.
context: That's called a duck.\It must be some kind of weapon.\If we lock eyes with it, it'll kill us.\What? I think I already did.\Nii-chan, you should get out of that house.\Why?\You'll be in trouble if they find you.\Besides, Yuki still hasn't caught a single fish. response:	We should pick someone else.
context: It must be some kind of weapon.\If we lock eyes with it, it'll kill us.\What? I think I already did.\Nii-chan, you should get out of that house.\Why?\You'll be in trouble if they find you.\Besides, Yuki still hasn't caught a single fish.\We should pick someone else. response:	Nii-chan? Do you understand?
context: If we lock eyes with it, it'll kill us.\What? I think I already did.\Nii-chan, you should get out of that house.\Why?\You'll be in trouble if they find you.\Besides, Yuki still hasn't caught a single fish.\We should pick someone else.\Nii-chan? Do you understand? response:	Are you taking care of the flowers again?
context: What? I think I already did.\Nii-chan, you should get out of that house.\Why?\You'll be in trouble if they find you.\Besides, Yuki still hasn't caught a single fish.\We should pick someone else.\Nii-chan? Do you understand?\Are you taking care of the flowers again? response:	I won't be seeing them for a while,
context: Nii-chan, you should get out of that house.\Why?\You'll be in trouble if they find you.\Besides, Yuki still hasn't caught a single fish.\We should pick someone else.\Nii-chan? Do you understand?\Are you taking care of the flowers again?\I won't be seeing them for a while, response:	so I wanted to see their faces.
context: Why?\You'll be in trouble if they find you.\Besides, Yuki still hasn't caught a single fish.\We should pick someone else.\Nii-chan? Do you understand?\Are you taking care of the flowers again?\I won't be seeing them for a while,\so I wanted to see their faces. response:	Keito, can I ask you something?
context: You'll be in trouble if they find you.\Besides, Yuki still hasn't caught a single fish.\We should pick someone else.\Nii-chan? Do you understand?\Are you taking care of the flowers again?\I won't be seeing them for a while,\so I wanted to see their faces.\Keito, can I ask you something? response:	What?
context: Besides, Yuki still hasn't caught a single fish.\We should pick someone else.\Nii-chan? Do you understand?\Are you taking care of the flowers again?\I won't be seeing them for a while,\so I wanted to see their faces.\Keito, can I ask you something?\What? response:	All these flowers will die, won't they?
context: We should pick someone else.\Nii-chan? Do you understand?\Are you taking care of the flowers again?\I won't be seeing them for a while,\so I wanted to see their faces.\Keito, can I ask you something?\What?\All these flowers will die, won't they? response:	Yes.
context: Nii-chan? Do you understand?\Are you taking care of the flowers again?\I won't be seeing them for a while,\so I wanted to see their faces.\Keito, can I ask you something?\What?\All these flowers will die, won't they?\Yes. response:	Then why do you take such good care of them?
context: Are you taking care of the flowers again?\I won't be seeing them for a while,\so I wanted to see their faces.\Keito, can I ask you something?\What?\All these flowers will die, won't they?\Yes.\Then why do you take such good care of them? response:	Because they'll die.
context: I won't be seeing them for a while,\so I wanted to see their faces.\Keito, can I ask you something?\What?\All these flowers will die, won't they?\Yes.\Then why do you take such good care of them?\Because they'll die. response:	I don't understand.
context: so I wanted to see their faces.\Keito, can I ask you something?\What?\All these flowers will die, won't they?\Yes.\Then why do you take such good care of them?\Because they'll die.\I don't understand. response:	They'll all die eventually,
context: Keito, can I ask you something?\What?\All these flowers will die, won't they?\Yes.\Then why do you take such good care of them?\Because they'll die.\I don't understand.\They'll all die eventually, response:	so I want them to bloom beautifully
context: What?\All these flowers will die, won't they?\Yes.\Then why do you take such good care of them?\Because they'll die.\I don't understand.\They'll all die eventually,\so I want them to bloom beautifully response:	and healthily while they're alive.
context: All these flowers will die, won't they?\Yes.\Then why do you take such good care of them?\Because they'll die.\I don't understand.\They'll all die eventually,\so I want them to bloom beautifully\and healthily while they're alive. response:	I see. They're beautiful.
context: Yes.\Then why do you take such good care of them?\Because they'll die.\I don't understand.\They'll all die eventually,\so I want them to bloom beautifully\and healthily while they're alive.\I see. They're beautiful. response:	Haru, look after Yuki.
context: Then why do you take such good care of them?\Because they'll die.\I don't understand.\They'll all die eventually,\so I want them to bloom beautifully\and healthily while they're alive.\I see. They're beautiful.\Haru, look after Yuki. response:	Okay, I'll do it.
context: Because they'll die.\I don't understand.\They'll all die eventually,\so I want them to bloom beautifully\and healthily while they're alive.\I see. They're beautiful.\Haru, look after Yuki.\Okay, I'll do it. response:	Thank you, Haru.
context: I don't understand.\They'll all die eventually,\so I want them to bloom beautifully\and healthily while they're alive.\I see. They're beautiful.\Haru, look after Yuki.\Okay, I'll do it.\Thank you, Haru. response:	That's wrong.
context: They'll all die eventually,\so I want them to bloom beautifully\and healthily while they're alive.\I see. They're beautiful.\Haru, look after Yuki.\Okay, I'll do it.\Thank you, Haru.\That's wrong. response:	I haven't done anything for you.
context: so I want them to bloom beautifully\and healthily while they're alive.\I see. They're beautiful.\Haru, look after Yuki.\Okay, I'll do it.\Thank you, Haru.\That's wrong.\I haven't done anything for you. response:	You don't just thank people
context: and healthily while they're alive.\I see. They're beautiful.\Haru, look after Yuki.\Okay, I'll do it.\Thank you, Haru.\That's wrong.\I haven't done anything for you.\You don't just thank people response:	when they've done something for you.
context: I see. They're beautiful.\Haru, look after Yuki.\Okay, I'll do it.\Thank you, Haru.\That's wrong.\I haven't done anything for you.\You don't just thank people\when they've done something for you. response:	Really?
context: Haru, look after Yuki.\Okay, I'll do it.\Thank you, Haru.\That's wrong.\I haven't done anything for you.\You don't just thank people\when they've done something for you.\Really? response:	You thank someone because you're happy.
context: Okay, I'll do it.\Thank you, Haru.\That's wrong.\I haven't done anything for you.\You don't just thank people\when they've done something for you.\Really?\You thank someone because you're happy. response:	Haru, you became Yuki's friend.
context: Thank you, Haru.\That's wrong.\I haven't done anything for you.\You don't just thank people\when they've done something for you.\Really?\You thank someone because you're happy.\Haru, you became Yuki's friend. response:	You eat together, go to school together,
context: That's wrong.\I haven't done anything for you.\You don't just thank people\when they've done something for you.\Really?\You thank someone because you're happy.\Haru, you became Yuki's friend.\You eat together, go to school together, response:	and fish together.
context: I haven't done anything for you.\You don't just thank people\when they've done something for you.\Really?\You thank someone because you're happy.\Haru, you became Yuki's friend.\You eat together, go to school together,\and fish together. response:	Yuki didn't have anyone like that before, so I am happy.
context: You don't just thank people\when they've done something for you.\Really?\You thank someone because you're happy.\Haru, you became Yuki's friend.\You eat together, go to school together,\and fish together.\Yuki didn't have anyone like that before, so I am happy. response:	That's why I'm thanking you.
context: when they've done something for you.\Really?\You thank someone because you're happy.\Haru, you became Yuki's friend.\You eat together, go to school together,\and fish together.\Yuki didn't have anyone like that before, so I am happy.\That's why I'm thanking you. response:	You thank someone because you're happy?
context: Really?\You thank someone because you're happy.\Haru, you became Yuki's friend.\You eat together, go to school together,\and fish together.\Yuki didn't have anyone like that before, so I am happy.\That's why I'm thanking you.\You thank someone because you're happy? response:	That's right. I know Yuki is happy, too.
context: You thank someone because you're happy.\Haru, you became Yuki's friend.\You eat together, go to school together,\and fish together.\Yuki didn't have anyone like that before, so I am happy.\That's why I'm thanking you.\You thank someone because you're happy?\That's right. I know Yuki is happy, too. response:	He just doesn't know how to express it.
context: Haru, you became Yuki's friend.\You eat together, go to school together,\and fish together.\Yuki didn't have anyone like that before, so I am happy.\That's why I'm thanking you.\You thank someone because you're happy?\That's right. I know Yuki is happy, too.\He just doesn't know how to express it. response:	But he'll be fine as long as he's with you.
context: You eat together, go to school together,\and fish together.\Yuki didn't have anyone like that before, so I am happy.\That's why I'm thanking you.\You thank someone because you're happy?\That's right. I know Yuki is happy, too.\He just doesn't know how to express it.\But he'll be fine as long as he's with you. response:	I'm sure he'll show you his happiness some day.
context: and fish together.\Yuki didn't have anyone like that before, so I am happy.\That's why I'm thanking you.\You thank someone because you're happy?\That's right. I know Yuki is happy, too.\He just doesn't know how to express it.\But he'll be fine as long as he's with you.\I'm sure he'll show you his happiness some day. response:	Think of these as me and keep them with you.
context: Yuki didn't have anyone like that before, so I am happy.\That's why I'm thanking you.\You thank someone because you're happy?\That's right. I know Yuki is happy, too.\He just doesn't know how to express it.\But he'll be fine as long as he's with you.\I'm sure he'll show you his happiness some day.\Think of these as me and keep them with you. response:	Those are Keito?
context: That's why I'm thanking you.\You thank someone because you're happy?\That's right. I know Yuki is happy, too.\He just doesn't know how to express it.\But he'll be fine as long as he's with you.\I'm sure he'll show you his happiness some day.\Think of these as me and keep them with you.\Those are Keito? response:	Yes. If something happens, look at these flowers.
context: You thank someone because you're happy?\That's right. I know Yuki is happy, too.\He just doesn't know how to express it.\But he'll be fine as long as he's with you.\I'm sure he'll show you his happiness some day.\Think of these as me and keep them with you.\Those are Keito?\Yes. If something happens, look at these flowers. response:	If something happens?
context: That's right. I know Yuki is happy, too.\He just doesn't know how to express it.\But he'll be fine as long as he's with you.\I'm sure he'll show you his happiness some day.\Think of these as me and keep them with you.\Those are Keito?\Yes. If something happens, look at these flowers.\If something happens? response:	When you think you're bothering Yuki,
context: He just doesn't know how to express it.\But he'll be fine as long as he's with you.\I'm sure he'll show you his happiness some day.\Think of these as me and keep them with you.\Those are Keito?\Yes. If something happens, look at these flowers.\If something happens?\When you think you're bothering Yuki, response:	when you think you'll have a fight with Yuki,
context: But he'll be fine as long as he's with you.\I'm sure he'll show you his happiness some day.\Think of these as me and keep them with you.\Those are Keito?\Yes. If something happens, look at these flowers.\If something happens?\When you think you're bothering Yuki,\when you think you'll have a fight with Yuki, response:	when you're not happy,
context: I'm sure he'll show you his happiness some day.\Think of these as me and keep them with you.\Those are Keito?\Yes. If something happens, look at these flowers.\If something happens?\When you think you're bothering Yuki,\when you think you'll have a fight with Yuki,\when you're not happy, response:	when you want to wish for something...
context: Think of these as me and keep them with you.\Those are Keito?\Yes. If something happens, look at these flowers.\If something happens?\When you think you're bothering Yuki,\when you think you'll have a fight with Yuki,\when you're not happy,\when you want to wish for something... response:	That's a lot of things.
context: Those are Keito?\Yes. If something happens, look at these flowers.\If something happens?\When you think you're bothering Yuki,\when you think you'll have a fight with Yuki,\when you're not happy,\when you want to wish for something...\That's a lot of things. response:	What will happen if I look at them?
context: Yes. If something happens, look at these flowers.\If something happens?\When you think you're bothering Yuki,\when you think you'll have a fight with Yuki,\when you're not happy,\when you want to wish for something...\That's a lot of things.\What will happen if I look at them? response:	They will make you happy.
context: If something happens?\When you think you're bothering Yuki,\when you think you'll have a fight with Yuki,\when you're not happy,\when you want to wish for something...\That's a lot of things.\What will happen if I look at them?\They will make you happy. response:	Water them every day.
context: When you think you're bothering Yuki,\when you think you'll have a fight with Yuki,\when you're not happy,\when you want to wish for something...\That's a lot of things.\What will happen if I look at them?\They will make you happy.\Water them every day. response:	That way, they'll live for a while.
context: when you think you'll have a fight with Yuki,\when you're not happy,\when you want to wish for something...\That's a lot of things.\What will happen if I look at them?\They will make you happy.\Water them every day.\That way, they'll live for a while. response:	Will they die without water?
context: when you're not happy,\when you want to wish for something...\That's a lot of things.\What will happen if I look at them?\They will make you happy.\Water them every day.\That way, they'll live for a while.\Will they die without water? response:	Yes.
context: when you want to wish for something...\That's a lot of things.\What will happen if I look at them?\They will make you happy.\Water them every day.\That way, they'll live for a while.\Will they die without water?\Yes. response:	Just like me.
context: That's a lot of things.\What will happen if I look at them?\They will make you happy.\Water them every day.\That way, they'll live for a while.\Will they die without water?\Yes.\Just like me. response:	I should get going.
context: What will happen if I look at them?\They will make you happy.\Water them every day.\That way, they'll live for a while.\Will they die without water?\Yes.\Just like me.\I should get going. response:	Okay!
context: They will make you happy.\Water them every day.\That way, they'll live for a while.\Will they die without water?\Yes.\Just like me.\I should get going.\Okay! response:	Enoshima bowl!
context: Water them every day.\That way, they'll live for a while.\Will they die without water?\Yes.\Just like me.\I should get going.\Okay!\Enoshima bowl! response:	Don't give up.
context: That way, they'll live for a while.\Will they die without water?\Yes.\Just like me.\I should get going.\Okay!\Enoshima bowl!\Don't give up. response:	It's okay. Yuki won't give up.
context: Will they die without water?\Yes.\Just like me.\I should get going.\Okay!\Enoshima bowl!\Don't give up.\It's okay. Yuki won't give up. response:	You're right. If he gives up, his friends will be sad.
context: Yes.\Just like me.\I should get going.\Okay!\Enoshima bowl!\Don't give up.\It's okay. Yuki won't give up.\You're right. If he gives up, his friends will be sad. response:	Yuki, it's okay.
context: Just like me.\I should get going.\Okay!\Enoshima bowl!\Don't give up.\It's okay. Yuki won't give up.\You're right. If he gives up, his friends will be sad.\Yuki, it's okay. response:	Everyone dies someday.
context: I should get going.\Okay!\Enoshima bowl!\Don't give up.\It's okay. Yuki won't give up.\You're right. If he gives up, his friends will be sad.\Yuki, it's okay.\Everyone dies someday. response:	So...
context: Okay!\Enoshima bowl!\Don't give up.\It's okay. Yuki won't give up.\You're right. If he gives up, his friends will be sad.\Yuki, it's okay.\Everyone dies someday.\So... response:	What's wrong with him?
context: Enoshima bowl!\Don't give up.\It's okay. Yuki won't give up.\You're right. If he gives up, his friends will be sad.\Yuki, it's okay.\Everyone dies someday.\So...\What's wrong with him? response:	Grandma's in the hospital.
context: Don't give up.\It's okay. Yuki won't give up.\You're right. If he gives up, his friends will be sad.\Yuki, it's okay.\Everyone dies someday.\So...\What's wrong with him?\Grandma's in the hospital. response:	I see.
context: It's okay. Yuki won't give up.\You're right. If he gives up, his friends will be sad.\Yuki, it's okay.\Everyone dies someday.\So...\What's wrong with him?\Grandma's in the hospital.\I see. response:	Get up, Yuki!
context: You're right. If he gives up, his friends will be sad.\Yuki, it's okay.\Everyone dies someday.\So...\What's wrong with him?\Grandma's in the hospital.\I see.\Get up, Yuki! response:	We'll be late!
context: Yuki, it's okay.\Everyone dies someday.\So...\What's wrong with him?\Grandma's in the hospital.\I see.\Get up, Yuki!\We'll be late! response:	Come on.
context: Everyone dies someday.\So...\What's wrong with him?\Grandma's in the hospital.\I see.\Get up, Yuki!\We'll be late!\Come on. response:	Hey, Haru, where's your place?
context: So...\What's wrong with him?\Grandma's in the hospital.\I see.\Get up, Yuki!\We'll be late!\Come on.\Hey, Haru, where's your place? response:	Huh?
context: What's wrong with him?\Grandma's in the hospital.\I see.\Get up, Yuki!\We'll be late!\Come on.\Hey, Haru, where's your place?\Huh? response:	Where do you guys live?
context: Grandma's in the hospital.\I see.\Get up, Yuki!\We'll be late!\Come on.\Hey, Haru, where's your place?\Huh?\Where do you guys live? response:	Did you get it in the bucket?
context: I see.\Get up, Yuki!\We'll be late!\Come on.\Hey, Haru, where's your place?\Huh?\Where do you guys live?\Did you get it in the bucket? response:	You're pathetic.
context: Get up, Yuki!\We'll be late!\Come on.\Hey, Haru, where's your place?\Huh?\Where do you guys live?\Did you get it in the bucket?\You're pathetic. response:	I can't let you fish if you can't do it.
context: We'll be late!\Come on.\Hey, Haru, where's your place?\Huh?\Where do you guys live?\Did you get it in the bucket?\You're pathetic.\I can't let you fish if you can't do it. response:	There's still a lot to learn after casting.
context: Come on.\Hey, Haru, where's your place?\Huh?\Where do you guys live?\Did you get it in the bucket?\You're pathetic.\I can't let you fish if you can't do it.\There's still a lot to learn after casting. response:	Sorry, but I don't have time for that right now.
context: Hey, Haru, where's your place?\Huh?\Where do you guys live?\Did you get it in the bucket?\You're pathetic.\I can't let you fish if you can't do it.\There's still a lot to learn after casting.\Sorry, but I don't have time for that right now. response:	This is the perfect time to cast.
context: Huh?\Where do you guys live?\Did you get it in the bucket?\You're pathetic.\I can't let you fish if you can't do it.\There's still a lot to learn after casting.\Sorry, but I don't have time for that right now.\This is the perfect time to cast. response:	Yuki, let's do some Enoshima bowl.
context: Where do you guys live?\Did you get it in the bucket?\You're pathetic.\I can't let you fish if you can't do it.\There's still a lot to learn after casting.\Sorry, but I don't have time for that right now.\This is the perfect time to cast.\Yuki, let's do some Enoshima bowl. response:	If you get the Enoshima bowl in, Keito will be happy.
context: Did you get it in the bucket?\You're pathetic.\I can't let you fish if you can't do it.\There's still a lot to learn after casting.\Sorry, but I don't have time for that right now.\This is the perfect time to cast.\Yuki, let's do some Enoshima bowl.\If you get the Enoshima bowl in, Keito will be happy. response:	You're an alien, aren't you?
context: You're pathetic.\I can't let you fish if you can't do it.\There's still a lot to learn after casting.\Sorry, but I don't have time for that right now.\This is the perfect time to cast.\Yuki, let's do some Enoshima bowl.\If you get the Enoshima bowl in, Keito will be happy.\You're an alien, aren't you? response:	Yep, I'm an alien.
context: I can't let you fish if you can't do it.\There's still a lot to learn after casting.\Sorry, but I don't have time for that right now.\This is the perfect time to cast.\Yuki, let's do some Enoshima bowl.\If you get the Enoshima bowl in, Keito will be happy.\You're an alien, aren't you?\Yep, I'm an alien. response:	Then you wouldn't know how I feel.
context: There's still a lot to learn after casting.\Sorry, but I don't have time for that right now.\This is the perfect time to cast.\Yuki, let's do some Enoshima bowl.\If you get the Enoshima bowl in, Keito will be happy.\You're an alien, aren't you?\Yep, I'm an alien.\Then you wouldn't know how I feel. response:	There's no way you could know!
context: Sorry, but I don't have time for that right now.\This is the perfect time to cast.\Yuki, let's do some Enoshima bowl.\If you get the Enoshima bowl in, Keito will be happy.\You're an alien, aren't you?\Yep, I'm an alien.\Then you wouldn't know how I feel.\There's no way you could know! response:	May Yuki smile.
context: This is the perfect time to cast.\Yuki, let's do some Enoshima bowl.\If you get the Enoshima bowl in, Keito will be happy.\You're an alien, aren't you?\Yep, I'm an alien.\Then you wouldn't know how I feel.\There's no way you could know!\May Yuki smile. response:	May Yuki be happy.
context: Yuki, let's do some Enoshima bowl.\If you get the Enoshima bowl in, Keito will be happy.\You're an alien, aren't you?\Yep, I'm an alien.\Then you wouldn't know how I feel.\There's no way you could know!\May Yuki smile.\May Yuki be happy. response:	May Yuki get the Enoshima bowl in.
context: If you get the Enoshima bowl in, Keito will be happy.\You're an alien, aren't you?\Yep, I'm an alien.\Then you wouldn't know how I feel.\There's no way you could know!\May Yuki smile.\May Yuki be happy.\May Yuki get the Enoshima bowl in. response:	May Keito get better.
context: You're an alien, aren't you?\Yep, I'm an alien.\Then you wouldn't know how I feel.\There's no way you could know!\May Yuki smile.\May Yuki be happy.\May Yuki get the Enoshima bowl in.\May Keito get better. response:	This is Keito.
context: Yep, I'm an alien.\Then you wouldn't know how I feel.\There's no way you could know!\May Yuki smile.\May Yuki be happy.\May Yuki get the Enoshima bowl in.\May Keito get better.\This is Keito. response:	They'll all die eventually,
context: Then you wouldn't know how I feel.\There's no way you could know!\May Yuki smile.\May Yuki be happy.\May Yuki get the Enoshima bowl in.\May Keito get better.\This is Keito.\They'll all die eventually, response:	so I want them to bloom
context: There's no way you could know!\May Yuki smile.\May Yuki be happy.\May Yuki get the Enoshima bowl in.\May Keito get better.\This is Keito.\They'll all die eventually,\so I want them to bloom response:	beautifully and healthily while they're alive.
context: May Yuki smile.\May Yuki be happy.\May Yuki get the Enoshima bowl in.\May Keito get better.\This is Keito.\They'll all die eventually,\so I want them to bloom\beautifully and healthily while they're alive. response:	That's what Keito said.
context: May Yuki be happy.\May Yuki get the Enoshima bowl in.\May Keito get better.\This is Keito.\They'll all die eventually,\so I want them to bloom\beautifully and healthily while they're alive.\That's what Keito said. response:	Nii-chan, you're going to break it off with Yuki, right?
context: May Yuki get the Enoshima bowl in.\May Keito get better.\This is Keito.\They'll all die eventually,\so I want them to bloom\beautifully and healthily while they're alive.\That's what Keito said.\Nii-chan, you're going to break it off with Yuki, right? response:	I don't want to leave him.
context: May Keito get better.\This is Keito.\They'll all die eventually,\so I want them to bloom\beautifully and healthily while they're alive.\That's what Keito said.\Nii-chan, you're going to break it off with Yuki, right?\I don't want to leave him. response:	Yuki don't feel the same way.
context: This is Keito.\They'll all die eventually,\so I want them to bloom\beautifully and healthily while they're alive.\That's what Keito said.\Nii-chan, you're going to break it off with Yuki, right?\I don't want to leave him.\Yuki don't feel the same way. response:	You shouldn't bother your friends.
context: They'll all die eventually,\so I want them to bloom\beautifully and healthily while they're alive.\That's what Keito said.\Nii-chan, you're going to break it off with Yuki, right?\I don't want to leave him.\Yuki don't feel the same way.\You shouldn't bother your friends. response:	You should give up on Yuki.
context: so I want them to bloom\beautifully and healthily while they're alive.\That's what Keito said.\Nii-chan, you're going to break it off with Yuki, right?\I don't want to leave him.\Yuki don't feel the same way.\You shouldn't bother your friends.\You should give up on Yuki. response:	I want them to bloom beautifully
context: beautifully and healthily while they're alive.\That's what Keito said.\Nii-chan, you're going to break it off with Yuki, right?\I don't want to leave him.\Yuki don't feel the same way.\You shouldn't bother your friends.\You should give up on Yuki.\I want them to bloom beautifully response:	and healthily while they're alive.
context: That's what Keito said.\Nii-chan, you're going to break it off with Yuki, right?\I don't want to leave him.\Yuki don't feel the same way.\You shouldn't bother your friends.\You should give up on Yuki.\I want them to bloom beautifully\and healthily while they're alive. response:	Don't give up on Enoshima bowl.
context: Nii-chan, you're going to break it off with Yuki, right?\I don't want to leave him.\Yuki don't feel the same way.\You shouldn't bother your friends.\You should give up on Yuki.\I want them to bloom beautifully\and healthily while they're alive.\Don't give up on Enoshima bowl. response:	This is the perfect time to cast.
context: I don't want to leave him.\Yuki don't feel the same way.\You shouldn't bother your friends.\You should give up on Yuki.\I want them to bloom beautifully\and healthily while they're alive.\Don't give up on Enoshima bowl.\This is the perfect time to cast. response:	Give up.
context: Yuki don't feel the same way.\You shouldn't bother your friends.\You should give up on Yuki.\I want them to bloom beautifully\and healthily while they're alive.\Don't give up on Enoshima bowl.\This is the perfect time to cast.\Give up. response:	Give up.
context: You shouldn't bother your friends.\You should give up on Yuki.\I want them to bloom beautifully\and healthily while they're alive.\Don't give up on Enoshima bowl.\This is the perfect time to cast.\Give up.\Give up. response:	Give up.
context: You should give up on Yuki.\I want them to bloom beautifully\and healthily while they're alive.\Don't give up on Enoshima bowl.\This is the perfect time to cast.\Give up.\Give up.\Give up. response:	Enoshima bowl!
context: I want them to bloom beautifully\and healthily while they're alive.\Don't give up on Enoshima bowl.\This is the perfect time to cast.\Give up.\Give up.\Give up.\Enoshima bowl! response:	Enoshima bowl!
context: and healthily while they're alive.\Don't give up on Enoshima bowl.\This is the perfect time to cast.\Give up.\Give up.\Give up.\Enoshima bowl!\Enoshima bowl! response:	Enoshima bowl!
context: Don't give up on Enoshima bowl.\This is the perfect time to cast.\Give up.\Give up.\Give up.\Enoshima bowl!\Enoshima bowl!\Enoshima bowl! response:	Why don't you give up already?
context: This is the perfect time to cast.\Give up.\Give up.\Give up.\Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\Why don't you give up already? response:	There's no point in casting into that.
context: Give up.\Give up.\Give up.\Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\Why don't you give up already?\There's no point in casting into that. response:	Nii-chan, let's go.
context: Give up.\Give up.\Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\Why don't you give up already?\There's no point in casting into that.\Nii-chan, let's go. response:	No, Yuki's thinking!
context: Give up.\Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\Why don't you give up already?\There's no point in casting into that.\Nii-chan, let's go.\No, Yuki's thinking! response:	Leave him. You don't know how Yuki feels.
context: Enoshima bowl!\Enoshima bowl!\Enoshima bowl!\Why don't you give up already?\There's no point in casting into that.\Nii-chan, let's go.\No, Yuki's thinking!\Leave him. You don't know how Yuki feels. response:	I do know.
context: Enoshima bowl!\Enoshima bowl!\Why don't you give up already?\There's no point in casting into that.\Nii-chan, let's go.\No, Yuki's thinking!\Leave him. You don't know how Yuki feels.\I do know. response:	Yuki thinks about important things when he's by himself.
