context: For one still so young, your calligraphy is highly conformist. response:	I don't know if it's better described as copybook-style,
context: I'm terribly sorry.\I told her to leave, but...\Hey, mister! You a Junon Boy?\Huh?\Naru! It's rude to ask questions like that.\But Miwa-nee was sayin', Junon Boys look really cool.\This guy looks really cool, so he's a Junon Boy!\That's not entirely incorrect, but this man is a master calligrapher. response:	Oh! I get it, Village Chief!
context: I told her to leave, but...\Hey, mister! You a Junon Boy?\Huh?\Naru! It's rude to ask questions like that.\But Miwa-nee was sayin', Junon Boys look really cool.\This guy looks really cool, so he's a Junon Boy!\That's not entirely incorrect, but this man is a master calligrapher.\Oh! I get it, Village Chief! response:	He's a Junon Boy who can also do calligraphy!
context: Hey, mister! You a Junon Boy?\Huh?\Naru! It's rude to ask questions like that.\But Miwa-nee was sayin', Junon Boys look really cool.\This guy looks really cool, so he's a Junon Boy!\That's not entirely incorrect, but this man is a master calligrapher.\Oh! I get it, Village Chief!\He's a Junon Boy who can also do calligraphy! response:	No, that's wrong!
context: Huh?\Naru! It's rude to ask questions like that.\But Miwa-nee was sayin', Junon Boys look really cool.\This guy looks really cool, so he's a Junon Boy!\That's not entirely incorrect, but this man is a master calligrapher.\Oh! I get it, Village Chief!\He's a Junon Boy who can also do calligraphy!\No, that's wrong! response:	I still think he's a Junon Boy.
context: Naru! It's rude to ask questions like that.\But Miwa-nee was sayin', Junon Boys look really cool.\This guy looks really cool, so he's a Junon Boy!\That's not entirely incorrect, but this man is a master calligrapher.\Oh! I get it, Village Chief!\He's a Junon Boy who can also do calligraphy!\No, that's wrong!\I still think he's a Junon Boy. response:	But he's past the age where you'd call him a boy, see?
context: But Miwa-nee was sayin', Junon Boys look really cool.\This guy looks really cool, so he's a Junon Boy!\That's not entirely incorrect, but this man is a master calligrapher.\Oh! I get it, Village Chief!\He's a Junon Boy who can also do calligraphy!\No, that's wrong!\I still think he's a Junon Boy.\But he's past the age where you'd call him a boy, see? response:	Hey.
context: This guy looks really cool, so he's a Junon Boy!\That's not entirely incorrect, but this man is a master calligrapher.\Oh! I get it, Village Chief!\He's a Junon Boy who can also do calligraphy!\No, that's wrong!\I still think he's a Junon Boy.\But he's past the age where you'd call him a boy, see?\Hey. response:	But don't people on TV claim they're younger'n they are?
context: That's not entirely incorrect, but this man is a master calligrapher.\Oh! I get it, Village Chief!\He's a Junon Boy who can also do calligraphy!\No, that's wrong!\I still think he's a Junon Boy.\But he's past the age where you'd call him a boy, see?\Hey.\But don't people on TV claim they're younger'n they are? response:	Miwa-nee said...
context: Oh! I get it, Village Chief!\He's a Junon Boy who can also do calligraphy!\No, that's wrong!\I still think he's a Junon Boy.\But he's past the age where you'd call him a boy, see?\Hey.\But don't people on TV claim they're younger'n they are?\Miwa-nee said... response:	Hey.
context: He's a Junon Boy who can also do calligraphy!\No, that's wrong!\I still think he's a Junon Boy.\But he's past the age where you'd call him a boy, see?\Hey.\But don't people on TV claim they're younger'n they are?\Miwa-nee said...\Hey. response:	Well, fudgin' numbers in their favor may just be part of the job.
context: No, that's wrong!\I still think he's a Junon Boy.\But he's past the age where you'd call him a boy, see?\Hey.\But don't people on TV claim they're younger'n they are?\Miwa-nee said...\Hey.\Well, fudgin' numbers in their favor may just be part of the job. response:	Oh! And cowboys are boys even when they're old!
context: I still think he's a Junon Boy.\But he's past the age where you'd call him a boy, see?\Hey.\But don't people on TV claim they're younger'n they are?\Miwa-nee said...\Hey.\Well, fudgin' numbers in their favor may just be part of the job.\Oh! And cowboys are boys even when they're old! response:	I'm sorry about that.
context: But he's past the age where you'd call him a boy, see?\Hey.\But don't people on TV claim they're younger'n they are?\Miwa-nee said...\Hey.\Well, fudgin' numbers in their favor may just be part of the job.\Oh! And cowboys are boys even when they're old!\I'm sorry about that. response:	That child never listens.
context: Hey.\But don't people on TV claim they're younger'n they are?\Miwa-nee said...\Hey.\Well, fudgin' numbers in their favor may just be part of the job.\Oh! And cowboys are boys even when they're old!\I'm sorry about that.\That child never listens. response:	Uh, could you leave, too?
context: But don't people on TV claim they're younger'n they are?\Miwa-nee said...\Hey.\Well, fudgin' numbers in their favor may just be part of the job.\Oh! And cowboys are boys even when they're old!\I'm sorry about that.\That child never listens.\Uh, could you leave, too? response:	He locked it?
context: Miwa-nee said...\Hey.\Well, fudgin' numbers in their favor may just be part of the job.\Oh! And cowboys are boys even when they're old!\I'm sorry about that.\That child never listens.\Uh, could you leave, too?\He locked it? response:	Damn!
context: Hey.\Well, fudgin' numbers in their favor may just be part of the job.\Oh! And cowboys are boys even when they're old!\I'm sorry about that.\That child never listens.\Uh, could you leave, too?\He locked it?\Damn! response:	This is her base, huh? Like hell it is.
context: Well, fudgin' numbers in their favor may just be part of the job.\Oh! And cowboys are boys even when they're old!\I'm sorry about that.\That child never listens.\Uh, could you leave, too?\He locked it?\Damn!\This is her base, huh? Like hell it is. response:	But it's lucky for me that it already has some semblance of living space.
context: Oh! And cowboys are boys even when they're old!\I'm sorry about that.\That child never listens.\Uh, could you leave, too?\He locked it?\Damn!\This is her base, huh? Like hell it is.\But it's lucky for me that it already has some semblance of living space. response:	I wanna write, too!
context: I'm sorry about that.\That child never listens.\Uh, could you leave, too?\He locked it?\Damn!\This is her base, huh? Like hell it is.\But it's lucky for me that it already has some semblance of living space.\I wanna write, too! response:	How did you get in here?!
context: That child never listens.\Uh, could you leave, too?\He locked it?\Damn!\This is her base, huh? Like hell it is.\But it's lucky for me that it already has some semblance of living space.\I wanna write, too!\How did you get in here?! response:	Who does he think he is? Just because he won a prize.
context: Uh, could you leave, too?\He locked it?\Damn!\This is her base, huh? Like hell it is.\But it's lucky for me that it already has some semblance of living space.\I wanna write, too!\How did you get in here?!\Who does he think he is? Just because he won a prize. response:	He punched the exhibit hall director.
context: He locked it?\Damn!\This is her base, huh? Like hell it is.\But it's lucky for me that it already has some semblance of living space.\I wanna write, too!\How did you get in here?!\Who does he think he is? Just because he won a prize.\He punched the exhibit hall director. response:	Now he's basically dead to the calligraphy world.
context: Damn!\This is her base, huh? Like hell it is.\But it's lucky for me that it already has some semblance of living space.\I wanna write, too!\How did you get in here?!\Who does he think he is? Just because he won a prize.\He punched the exhibit hall director.\Now he's basically dead to the calligraphy world. response:	He has no manners.
context: This is her base, huh? Like hell it is.\But it's lucky for me that it already has some semblance of living space.\I wanna write, too!\How did you get in here?!\Who does he think he is? Just because he won a prize.\He punched the exhibit hall director.\Now he's basically dead to the calligraphy world.\He has no manners. response:	Don't talk to him. They might think you're like him.
context: But it's lucky for me that it already has some semblance of living space.\I wanna write, too!\How did you get in here?!\Who does he think he is? Just because he won a prize.\He punched the exhibit hall director.\Now he's basically dead to the calligraphy world.\He has no manners.\Don't talk to him. They might think you're like him. response:	Don't have anything to do with him.
context: I wanna write, too!\How did you get in here?!\Who does he think he is? Just because he won a prize.\He punched the exhibit hall director.\Now he's basically dead to the calligraphy world.\He has no manners.\Don't talk to him. They might think you're like him.\Don't have anything to do with him. response:	Spring Summer Fall Winter Praying To Deaf Ears Independence And Self-Respect Enemies On All Sides
context: How did you get in here?!\Who does he think he is? Just because he won a prize.\He punched the exhibit hall director.\Now he's basically dead to the calligraphy world.\He has no manners.\Don't talk to him. They might think you're like him.\Don't have anything to do with him.\Spring Summer Fall Winter Praying To Deaf Ears Independence And Self-Respect Enemies On All Sides response:	Damn!
context: Who does he think he is? Just because he won a prize.\He punched the exhibit hall director.\Now he's basically dead to the calligraphy world.\He has no manners.\Don't talk to him. They might think you're like him.\Don't have anything to do with him.\Spring Summer Fall Winter Praying To Deaf Ears Independence And Self-Respect Enemies On All Sides\Damn! response:	I keep getting distracted!
context: He punched the exhibit hall director.\Now he's basically dead to the calligraphy world.\He has no manners.\Don't talk to him. They might think you're like him.\Don't have anything to do with him.\Spring Summer Fall Winter Praying To Deaf Ears Independence And Self-Respect Enemies On All Sides\Damn!\I keep getting distracted! response:	Is there a kettle in this house?
context: Now he's basically dead to the calligraphy world.\He has no manners.\Don't talk to him. They might think you're like him.\Don't have anything to do with him.\Spring Summer Fall Winter Praying To Deaf Ears Independence And Self-Respect Enemies On All Sides\Damn!\I keep getting distracted!\Is there a kettle in this house? response:	You gotta eat Corn Cones in stacks like this!
context: He has no manners.\Don't talk to him. They might think you're like him.\Don't have anything to do with him.\Spring Summer Fall Winter Praying To Deaf Ears Independence And Self-Respect Enemies On All Sides\Damn!\I keep getting distracted!\Is there a kettle in this house?\You gotta eat Corn Cones in stacks like this! response:	I've got metabolic syndrome, so one at a time's plenty.
context: Don't talk to him. They might think you're like him.\Don't have anything to do with him.\Spring Summer Fall Winter Praying To Deaf Ears Independence And Self-Respect Enemies On All Sides\Damn!\I keep getting distracted!\Is there a kettle in this house?\You gotta eat Corn Cones in stacks like this!\I've got metabolic syndrome, so one at a time's plenty. response:	Hey.
context: Don't have anything to do with him.\Spring Summer Fall Winter Praying To Deaf Ears Independence And Self-Respect Enemies On All Sides\Damn!\I keep getting distracted!\Is there a kettle in this house?\You gotta eat Corn Cones in stacks like this!\I've got metabolic syndrome, so one at a time's plenty.\Hey. response:	Oh! Handa-sensei!
context: Spring Summer Fall Winter Praying To Deaf Ears Independence And Self-Respect Enemies On All Sides\Damn!\I keep getting distracted!\Is there a kettle in this house?\You gotta eat Corn Cones in stacks like this!\I've got metabolic syndrome, so one at a time's plenty.\Hey.\Oh! Handa-sensei! response:	Want some finger-corn?
context: Damn!\I keep getting distracted!\Is there a kettle in this house?\You gotta eat Corn Cones in stacks like this!\I've got metabolic syndrome, so one at a time's plenty.\Hey.\Oh! Handa-sensei!\Want some finger-corn? response:	Roll, roll...
context: I keep getting distracted!\Is there a kettle in this house?\You gotta eat Corn Cones in stacks like this!\I've got metabolic syndrome, so one at a time's plenty.\Hey.\Oh! Handa-sensei!\Want some finger-corn?\Roll, roll... response:	Yay! A new technique!
context: Is there a kettle in this house?\You gotta eat Corn Cones in stacks like this!\I've got metabolic syndrome, so one at a time's plenty.\Hey.\Oh! Handa-sensei!\Want some finger-corn?\Roll, roll...\Yay! A new technique! response:	That's pretty cool, Naru!
context: You gotta eat Corn Cones in stacks like this!\I've got metabolic syndrome, so one at a time's plenty.\Hey.\Oh! Handa-sensei!\Want some finger-corn?\Roll, roll...\Yay! A new technique!\That's pretty cool, Naru! response:	Teach me how, too.
context: I've got metabolic syndrome, so one at a time's plenty.\Hey.\Oh! Handa-sensei!\Want some finger-corn?\Roll, roll...\Yay! A new technique!\That's pretty cool, Naru!\Teach me how, too. response:	I can't do calligraphy like this.
context: Hey.\Oh! Handa-sensei!\Want some finger-corn?\Roll, roll...\Yay! A new technique!\That's pretty cool, Naru!\Teach me how, too.\I can't do calligraphy like this. response:	Focus... focus... focus...
context: Oh! Handa-sensei!\Want some finger-corn?\Roll, roll...\Yay! A new technique!\That's pretty cool, Naru!\Teach me how, too.\I can't do calligraphy like this.\Focus... focus... focus... response:	How?!
context: Want some finger-corn?\Roll, roll...\Yay! A new technique!\That's pretty cool, Naru!\Teach me how, too.\I can't do calligraphy like this.\Focus... focus... focus...\How?! response:	Kotoishi Naru
context: Roll, roll...\Yay! A new technique!\That's pretty cool, Naru!\Teach me how, too.\I can't do calligraphy like this.\Focus... focus... focus...\How?!\Kotoishi Naru response:	Look! Pretty good, right?
context: Yay! A new technique!\That's pretty cool, Naru!\Teach me how, too.\I can't do calligraphy like this.\Focus... focus... focus...\How?!\Kotoishi Naru\Look! Pretty good, right? response:	Did I say you could write anything?
context: That's pretty cool, Naru!\Teach me how, too.\I can't do calligraphy like this.\Focus... focus... focus...\How?!\Kotoishi Naru\Look! Pretty good, right?\Did I say you could write anything? response:	Don't be so uptight, Junon Boy.
context: Teach me how, too.\I can't do calligraphy like this.\Focus... focus... focus...\How?!\Kotoishi Naru\Look! Pretty good, right?\Did I say you could write anything?\Don't be so uptight, Junon Boy. response:	I told you, I'm not a Junon Boy.
context: I can't do calligraphy like this.\Focus... focus... focus...\How?!\Kotoishi Naru\Look! Pretty good, right?\Did I say you could write anything?\Don't be so uptight, Junon Boy.\I told you, I'm not a Junon Boy. response:	Just like you have the name Kotoishi Naru...
context: Focus... focus... focus...\How?!\Kotoishi Naru\Look! Pretty good, right?\Did I say you could write anything?\Don't be so uptight, Junon Boy.\I told you, I'm not a Junon Boy.\Just like you have the name Kotoishi Naru... response:	I have a name, too.
context: How?!\Kotoishi Naru\Look! Pretty good, right?\Did I say you could write anything?\Don't be so uptight, Junon Boy.\I told you, I'm not a Junon Boy.\Just like you have the name Kotoishi Naru...\I have a name, too. response:	How'd you know my name?!
context: Kotoishi Naru\Look! Pretty good, right?\Did I say you could write anything?\Don't be so uptight, Junon Boy.\I told you, I'm not a Junon Boy.\Just like you have the name Kotoishi Naru...\I have a name, too.\How'd you know my name?! response:	You a psychic?!
context: Look! Pretty good, right?\Did I say you could write anything?\Don't be so uptight, Junon Boy.\I told you, I'm not a Junon Boy.\Just like you have the name Kotoishi Naru...\I have a name, too.\How'd you know my name?!\You a psychic?! response:	Are you really that stupid, or do you think I am?
context: Did I say you could write anything?\Don't be so uptight, Junon Boy.\I told you, I'm not a Junon Boy.\Just like you have the name Kotoishi Naru...\I have a name, too.\How'd you know my name?!\You a psychic?!\Are you really that stupid, or do you think I am? response:	I know your name too, Junon Boy!
context: Don't be so uptight, Junon Boy.\I told you, I'm not a Junon Boy.\Just like you have the name Kotoishi Naru...\I have a name, too.\How'd you know my name?!\You a psychic?!\Are you really that stupid, or do you think I am?\I know your name too, Junon Boy! response:	Well, good for you.
context: I told you, I'm not a Junon Boy.\Just like you have the name Kotoishi Naru...\I have a name, too.\How'd you know my name?!\You a psychic?!\Are you really that stupid, or do you think I am?\I know your name too, Junon Boy!\Well, good for you. response:	It's...
context: Just like you have the name Kotoishi Naru...\I have a name, too.\How'd you know my name?!\You a psychic?!\Are you really that stupid, or do you think I am?\I know your name too, Junon Boy!\Well, good for you.\It's... response:	It's, um...
context: I have a name, too.\How'd you know my name?!\You a psychic?!\Are you really that stupid, or do you think I am?\I know your name too, Junon Boy!\Well, good for you.\It's...\It's, um... response:	Village Chief was sayin' before...
context: How'd you know my name?!\You a psychic?!\Are you really that stupid, or do you think I am?\I know your name too, Junon Boy!\Well, good for you.\It's...\It's, um...\Village Chief was sayin' before... response:	By golly!
context: You a psychic?!\Are you really that stupid, or do you think I am?\I know your name too, Junon Boy!\Well, good for you.\It's...\It's, um...\Village Chief was sayin' before...\By golly! response:	Pretty outdated cry of realization...
context: Are you really that stupid, or do you think I am?\I know your name too, Junon Boy!\Well, good for you.\It's...\It's, um...\Village Chief was sayin' before...\By golly!\Pretty outdated cry of realization... response:	Junon Takeo!
context: I know your name too, Junon Boy!\Well, good for you.\It's...\It's, um...\Village Chief was sayin' before...\By golly!\Pretty outdated cry of realization...\Junon Takeo! response:	Handa Seishuu
context: Well, good for you.\It's...\It's, um...\Village Chief was sayin' before...\By golly!\Pretty outdated cry of realization...\Junon Takeo!\Handa Seishuu response:	Handa Seishuu.
context: It's...\It's, um...\Village Chief was sayin' before...\By golly!\Pretty outdated cry of realization...\Junon Takeo!\Handa Seishuu\Handa Seishuu. response:	Junon aside, where'd you get Takeo?
context: It's, um...\Village Chief was sayin' before...\By golly!\Pretty outdated cry of realization...\Junon Takeo!\Handa Seishuu\Handa Seishuu.\Junon aside, where'd you get Takeo? response:	This's like a middle schooler's pen name!
context: Village Chief was sayin' before...\By golly!\Pretty outdated cry of realization...\Junon Takeo!\Handa Seishuu\Handa Seishuu.\Junon aside, where'd you get Takeo?\This's like a middle schooler's pen name! response:	That's pseudonym!
context: By golly!\Pretty outdated cry of realization...\Junon Takeo!\Handa Seishuu\Handa Seishuu.\Junon aside, where'd you get Takeo?\This's like a middle schooler's pen name!\That's pseudonym! response:	Amazin'! Your calligraphy's real good, Sensei!
context: Pretty outdated cry of realization...\Junon Takeo!\Handa Seishuu\Handa Seishuu.\Junon aside, where'd you get Takeo?\This's like a middle schooler's pen name!\That's pseudonym!\Amazin'! Your calligraphy's real good, Sensei! response:	It better be.
context: Junon Takeo!\Handa Seishuu\Handa Seishuu.\Junon aside, where'd you get Takeo?\This's like a middle schooler's pen name!\That's pseudonym!\Amazin'! Your calligraphy's real good, Sensei!\It better be. response:	It's just like how my teacher at school writes.
context: Handa Seishuu\Handa Seishuu.\Junon aside, where'd you get Takeo?\This's like a middle schooler's pen name!\That's pseudonym!\Amazin'! Your calligraphy's real good, Sensei!\It better be.\It's just like how my teacher at school writes. response:	Your calligraphy is highly conformist.
context: Handa Seishuu.\Junon aside, where'd you get Takeo?\This's like a middle schooler's pen name!\That's pseudonym!\Amazin'! Your calligraphy's real good, Sensei!\It better be.\It's just like how my teacher at school writes.\Your calligraphy is highly conformist. response:	I don't know if it's better described as copybook-style...
context: Junon aside, where'd you get Takeo?\This's like a middle schooler's pen name!\That's pseudonym!\Amazin'! Your calligraphy's real good, Sensei!\It better be.\It's just like how my teacher at school writes.\Your calligraphy is highly conformist.\I don't know if it's better described as copybook-style... response:	Your calligraphy is just plain dull.
context: This's like a middle schooler's pen name!\That's pseudonym!\Amazin'! Your calligraphy's real good, Sensei!\It better be.\It's just like how my teacher at school writes.\Your calligraphy is highly conformist.\I don't know if it's better described as copybook-style...\Your calligraphy is just plain dull. response:	Oh, right! For dinner, Village Chief
context: That's pseudonym!\Amazin'! Your calligraphy's real good, Sensei!\It better be.\It's just like how my teacher at school writes.\Your calligraphy is highly conformist.\I don't know if it's better described as copybook-style...\Your calligraphy is just plain dull.\Oh, right! For dinner, Village Chief response:	What're you doin'?!
context: Amazin'! Your calligraphy's real good, Sensei!\It better be.\It's just like how my teacher at school writes.\Your calligraphy is highly conformist.\I don't know if it's better described as copybook-style...\Your calligraphy is just plain dull.\Oh, right! For dinner, Village Chief\What're you doin'?! response:	You worked hard to write that so good!
context: It better be.\It's just like how my teacher at school writes.\Your calligraphy is highly conformist.\I don't know if it's better described as copybook-style...\Your calligraphy is just plain dull.\Oh, right! For dinner, Village Chief\What're you doin'?!\You worked hard to write that so good! response:	Shut up!
context: It's just like how my teacher at school writes.\Your calligraphy is highly conformist.\I don't know if it's better described as copybook-style...\Your calligraphy is just plain dull.\Oh, right! For dinner, Village Chief\What're you doin'?!\You worked hard to write that so good!\Shut up! response:	What do you know about my writing?!
context: Your calligraphy is highly conformist.\I don't know if it's better described as copybook-style...\Your calligraphy is just plain dull.\Oh, right! For dinner, Village Chief\What're you doin'?!\You worked hard to write that so good!\Shut up!\What do you know about my writing?! response:	Don't talk like you know anything!
context: I don't know if it's better described as copybook-style...\Your calligraphy is just plain dull.\Oh, right! For dinner, Village Chief\What're you doin'?!\You worked hard to write that so good!\Shut up!\What do you know about my writing?!\Don't talk like you know anything! response:	Ow!
context: Your calligraphy is just plain dull.\Oh, right! For dinner, Village Chief\What're you doin'?!\You worked hard to write that so good!\Shut up!\What do you know about my writing?!\Don't talk like you know anything!\Ow! response:	Hey!
context: Oh, right! For dinner, Village Chief\What're you doin'?!\You worked hard to write that so good!\Shut up!\What do you know about my writing?!\Don't talk like you know anything!\Ow!\Hey! response:	I'm horrible...
context: What're you doin'?!\You worked hard to write that so good!\Shut up!\What do you know about my writing?!\Don't talk like you know anything!\Ow!\Hey!\I'm horrible... response:	What's a grown man doing, flipping out whenever someone hits the bull's eye?
context: You worked hard to write that so good!\Shut up!\What do you know about my writing?!\Don't talk like you know anything!\Ow!\Hey!\I'm horrible...\What's a grown man doing, flipping out whenever someone hits the bull's eye? response:	Huh? You're going to an island?
context: Shut up!\What do you know about my writing?!\Don't talk like you know anything!\Ow!\Hey!\I'm horrible...\What's a grown man doing, flipping out whenever someone hits the bull's eye?\Huh? You're going to an island? response:	Why would you do that?
context: What do you know about my writing?!\Don't talk like you know anything!\Ow!\Hey!\I'm horrible...\What's a grown man doing, flipping out whenever someone hits the bull's eye?\Huh? You're going to an island?\Why would you do that? response:	Dad said... I should go cool my head...
context: Don't talk like you know anything!\Ow!\Hey!\I'm horrible...\What's a grown man doing, flipping out whenever someone hits the bull's eye?\Huh? You're going to an island?\Why would you do that?\Dad said... I should go cool my head... response:	He said, You're still flawed as a human being, let alone a calligrapher.
context: Ow!\Hey!\I'm horrible...\What's a grown man doing, flipping out whenever someone hits the bull's eye?\Huh? You're going to an island?\Why would you do that?\Dad said... I should go cool my head...\He said, You're still flawed as a human being, let alone a calligrapher. response:	What are you laughing about?!
context: Hey!\I'm horrible...\What's a grown man doing, flipping out whenever someone hits the bull's eye?\Huh? You're going to an island?\Why would you do that?\Dad said... I should go cool my head...\He said, You're still flawed as a human being, let alone a calligrapher.\What are you laughing about?! response:	Kawafuji House of the Arts
context: I'm horrible...\What's a grown man doing, flipping out whenever someone hits the bull's eye?\Huh? You're going to an island?\Why would you do that?\Dad said... I should go cool my head...\He said, You're still flawed as a human being, let alone a calligrapher.\What are you laughing about?!\Kawafuji House of the Arts response:	You punched an old man who uses a cane. You get no sympathy.
context: What's a grown man doing, flipping out whenever someone hits the bull's eye?\Huh? You're going to an island?\Why would you do that?\Dad said... I should go cool my head...\He said, You're still flawed as a human being, let alone a calligrapher.\What are you laughing about?!\Kawafuji House of the Arts\You punched an old man who uses a cane. You get no sympathy. response:	You could apologize, you know.
context: Huh? You're going to an island?\Why would you do that?\Dad said... I should go cool my head...\He said, You're still flawed as a human being, let alone a calligrapher.\What are you laughing about?!\Kawafuji House of the Arts\You punched an old man who uses a cane. You get no sympathy.\You could apologize, you know. response:	Like hell I will!
context: Why would you do that?\Dad said... I should go cool my head...\He said, You're still flawed as a human being, let alone a calligrapher.\What are you laughing about?!\Kawafuji House of the Arts\You punched an old man who uses a cane. You get no sympathy.\You could apologize, you know.\Like hell I will! response:	Dad and that geezer just don't get it.
context: Dad said... I should go cool my head...\He said, You're still flawed as a human being, let alone a calligrapher.\What are you laughing about?!\Kawafuji House of the Arts\You punched an old man who uses a cane. You get no sympathy.\You could apologize, you know.\Like hell I will!\Dad and that geezer just don't get it. response:	What's wrong with being faithful to the fundamentals?
context: He said, You're still flawed as a human being, let alone a calligrapher.\What are you laughing about?!\Kawafuji House of the Arts\You punched an old man who uses a cane. You get no sympathy.\You could apologize, you know.\Like hell I will!\Dad and that geezer just don't get it.\What's wrong with being faithful to the fundamentals? response:	Look...
context: What are you laughing about?!\Kawafuji House of the Arts\You punched an old man who uses a cane. You get no sympathy.\You could apologize, you know.\Like hell I will!\Dad and that geezer just don't get it.\What's wrong with being faithful to the fundamentals?\Look... response:	Is writing calligraphy that way
context: Kawafuji House of the Arts\You punched an old man who uses a cane. You get no sympathy.\You could apologize, you know.\Like hell I will!\Dad and that geezer just don't get it.\What's wrong with being faithful to the fundamentals?\Look...\Is writing calligraphy that way response:	any fun for you?
context: You punched an old man who uses a cane. You get no sympathy.\You could apologize, you know.\Like hell I will!\Dad and that geezer just don't get it.\What's wrong with being faithful to the fundamentals?\Look...\Is writing calligraphy that way\any fun for you? response:	It's a given that the fundamentals make the most beautiful writing.
context: You could apologize, you know.\Like hell I will!\Dad and that geezer just don't get it.\What's wrong with being faithful to the fundamentals?\Look...\Is writing calligraphy that way\any fun for you?\It's a given that the fundamentals make the most beautiful writing. response:	I'm not wrong about that.
context: Like hell I will!\Dad and that geezer just don't get it.\What's wrong with being faithful to the fundamentals?\Look...\Is writing calligraphy that way\any fun for you?\It's a given that the fundamentals make the most beautiful writing.\I'm not wrong about that. response:	What's the most important thing?
context: Dad and that geezer just don't get it.\What's wrong with being faithful to the fundamentals?\Look...\Is writing calligraphy that way\any fun for you?\It's a given that the fundamentals make the most beautiful writing.\I'm not wrong about that.\What's the most important thing? response:	She heard me singing?!
context: What's wrong with being faithful to the fundamentals?\Look...\Is writing calligraphy that way\any fun for you?\It's a given that the fundamentals make the most beautiful writing.\I'm not wrong about that.\What's the most important thing?\She heard me singing?! response:	Well? What's the most important thing?
context: Look...\Is writing calligraphy that way\any fun for you?\It's a given that the fundamentals make the most beautiful writing.\I'm not wrong about that.\What's the most important thing?\She heard me singing?!\Well? What's the most important thing? response:	Well? Well? Well?
context: Is writing calligraphy that way\any fun for you?\It's a given that the fundamentals make the most beautiful writing.\I'm not wrong about that.\What's the most important thing?\She heard me singing?!\Well? What's the most important thing?\Well? Well? Well? response:	What do you want?!
context: any fun for you?\It's a given that the fundamentals make the most beautiful writing.\I'm not wrong about that.\What's the most important thing?\She heard me singing?!\Well? What's the most important thing?\Well? Well? Well?\What do you want?! response:	I'm not going to apologize!
context: It's a given that the fundamentals make the most beautiful writing.\I'm not wrong about that.\What's the most important thing?\She heard me singing?!\Well? What's the most important thing?\Well? Well? Well?\What do you want?!\I'm not going to apologize! response:	Why should you apologize?
context: I'm not wrong about that.\What's the most important thing?\She heard me singing?!\Well? What's the most important thing?\Well? Well? Well?\What do you want?!\I'm not going to apologize!\Why should you apologize? response:	I'm the one who was pesterin' you.
context: What's the most important thing?\She heard me singing?!\Well? What's the most important thing?\Well? Well? Well?\What do you want?!\I'm not going to apologize!\Why should you apologize?\I'm the one who was pesterin' you. response:	So anyhow,
context: She heard me singing?!\Well? What's the most important thing?\Well? Well? Well?\What do you want?!\I'm not going to apologize!\Why should you apologize?\I'm the one who was pesterin' you.\So anyhow, response:	I tried rewritin' your words.
context: Well? What's the most important thing?\Well? Well? Well?\What do you want?!\I'm not going to apologize!\Why should you apologize?\I'm the one who was pesterin' you.\So anyhow,\I tried rewritin' your words. response:	But, I just couldn't write'em the way you do.
context: Well? Well? Well?\What do you want?!\I'm not going to apologize!\Why should you apologize?\I'm the one who was pesterin' you.\So anyhow,\I tried rewritin' your words.\But, I just couldn't write'em the way you do. response:	I'm sorry!
context: What do you want?!\I'm not going to apologize!\Why should you apologize?\I'm the one who was pesterin' you.\So anyhow,\I tried rewritin' your words.\But, I just couldn't write'em the way you do.\I'm sorry! response:	Hey...
context: I'm not going to apologize!\Why should you apologize?\I'm the one who was pesterin' you.\So anyhow,\I tried rewritin' your words.\But, I just couldn't write'em the way you do.\I'm sorry!\Hey... response:	You didn't do anything wrong.
context: Why should you apologize?\I'm the one who was pesterin' you.\So anyhow,\I tried rewritin' your words.\But, I just couldn't write'em the way you do.\I'm sorry!\Hey...\You didn't do anything wrong. response:	Then, you forgive me?
context: I'm the one who was pesterin' you.\So anyhow,\I tried rewritin' your words.\But, I just couldn't write'em the way you do.\I'm sorry!\Hey...\You didn't do anything wrong.\Then, you forgive me? response:	Yeah...
context: So anyhow,\I tried rewritin' your words.\But, I just couldn't write'em the way you do.\I'm sorry!\Hey...\You didn't do anything wrong.\Then, you forgive me?\Yeah... response:	There's nothing to even forgive.
context: I tried rewritin' your words.\But, I just couldn't write'em the way you do.\I'm sorry!\Hey...\You didn't do anything wrong.\Then, you forgive me?\Yeah...\There's nothing to even forgive. response:	Thank goodness!
context: But, I just couldn't write'em the way you do.\I'm sorry!\Hey...\You didn't do anything wrong.\Then, you forgive me?\Yeah...\There's nothing to even forgive.\Thank goodness! response:	I'm so glad you forgave me!
context: I'm sorry!\Hey...\You didn't do anything wrong.\Then, you forgive me?\Yeah...\There's nothing to even forgive.\Thank goodness!\I'm so glad you forgave me! response:	I was mighty scared of apologizin' to you.
context: Hey...\You didn't do anything wrong.\Then, you forgive me?\Yeah...\There's nothing to even forgive.\Thank goodness!\I'm so glad you forgave me!\I was mighty scared of apologizin' to you. response:	But now I'm really glad I did.
context: You didn't do anything wrong.\Then, you forgive me?\Yeah...\There's nothing to even forgive.\Thank goodness!\I'm so glad you forgave me!\I was mighty scared of apologizin' to you.\But now I'm really glad I did. response:	I'm sorry I yelled at you.
context: Then, you forgive me?\Yeah...\There's nothing to even forgive.\Thank goodness!\I'm so glad you forgave me!\I was mighty scared of apologizin' to you.\But now I'm really glad I did.\I'm sorry I yelled at you. response:	Hm?
