context: The one who showed up this time sure is pretentious. response:	According to the Division of Astronomy, the spectrum of the detected star contained characteristics of a Moratorium.
context: A child?\Episode Four\A New Star Shines in the Dawn Sky... (Part Two)\Dr. Tahara, you're so mean-spirited.\Everything has gone according to your plans, hasn't it?\I'm talking about your research on suppressing contractors from awakening.\In any case, I didn't realize your daughter was the subject of your experiments.\Of course, I could personally make a trip to your factory, but... response:	I would prefer to avoid further casualties.
context: Episode Four\A New Star Shines in the Dawn Sky... (Part Two)\Dr. Tahara, you're so mean-spirited.\Everything has gone according to your plans, hasn't it?\I'm talking about your research on suppressing contractors from awakening.\In any case, I didn't realize your daughter was the subject of your experiments.\Of course, I could personally make a trip to your factory, but...\I would prefer to avoid further casualties. response:	I will release your daughter.
context: A New Star Shines in the Dawn Sky... (Part Two)\Dr. Tahara, you're so mean-spirited.\Everything has gone according to your plans, hasn't it?\I'm talking about your research on suppressing contractors from awakening.\In any case, I didn't realize your daughter was the subject of your experiments.\Of course, I could personally make a trip to your factory, but...\I would prefer to avoid further casualties.\I will release your daughter. response:	You have my word.
context: Dr. Tahara, you're so mean-spirited.\Everything has gone according to your plans, hasn't it?\I'm talking about your research on suppressing contractors from awakening.\In any case, I didn't realize your daughter was the subject of your experiments.\Of course, I could personally make a trip to your factory, but...\I would prefer to avoid further casualties.\I will release your daughter.\You have my word. response:	Um... His hair is messy and...
context: Everything has gone according to your plans, hasn't it?\I'm talking about your research on suppressing contractors from awakening.\In any case, I didn't realize your daughter was the subject of your experiments.\Of course, I could personally make a trip to your factory, but...\I would prefer to avoid further casualties.\I will release your daughter.\You have my word.\Um... His hair is messy and... response:	Is it true?
context: I'm talking about your research on suppressing contractors from awakening.\In any case, I didn't realize your daughter was the subject of your experiments.\Of course, I could personally make a trip to your factory, but...\I would prefer to avoid further casualties.\I will release your daughter.\You have my word.\Um... His hair is messy and...\Is it true? response:	Did you use your daughter as a sample for your experiment?
context: In any case, I didn't realize your daughter was the subject of your experiments.\Of course, I could personally make a trip to your factory, but...\I would prefer to avoid further casualties.\I will release your daughter.\You have my word.\Um... His hair is messy and...\Is it true?\Did you use your daughter as a sample for your experiment? response:	What did you do to your daughter?
context: Of course, I could personally make a trip to your factory, but...\I would prefer to avoid further casualties.\I will release your daughter.\You have my word.\Um... His hair is messy and...\Is it true?\Did you use your daughter as a sample for your experiment?\What did you do to your daughter? response:	What did you plant in Mai's wrist?
context: I would prefer to avoid further casualties.\I will release your daughter.\You have my word.\Um... His hair is messy and...\Is it true?\Did you use your daughter as a sample for your experiment?\What did you do to your daughter?\What did you plant in Mai's wrist? response:	I'm sure you've heard about it before.
context: I will release your daughter.\You have my word.\Um... His hair is messy and...\Is it true?\Did you use your daughter as a sample for your experiment?\What did you do to your daughter?\What did you plant in Mai's wrist?\I'm sure you've heard about it before. response:	I was the sole survivor of the First Gate Reconnaissance Troop.
context: You have my word.\Um... His hair is messy and...\Is it true?\Did you use your daughter as a sample for your experiment?\What did you do to your daughter?\What did you plant in Mai's wrist?\I'm sure you've heard about it before.\I was the sole survivor of the First Gate Reconnaissance Troop. response:	I had brought a certain material back with me at the time.
context: Um... His hair is messy and...\Is it true?\Did you use your daughter as a sample for your experiment?\What did you do to your daughter?\What did you plant in Mai's wrist?\I'm sure you've heard about it before.\I was the sole survivor of the First Gate Reconnaissance Troop.\I had brought a certain material back with me at the time. response:	There was a possibility I could block the activation of a contractor's abilities by implanting it inside their bodies.
context: Is it true?\Did you use your daughter as a sample for your experiment?\What did you do to your daughter?\What did you plant in Mai's wrist?\I'm sure you've heard about it before.\I was the sole survivor of the First Gate Reconnaissance Troop.\I had brought a certain material back with me at the time.\There was a possibility I could block the activation of a contractor's abilities by implanting it inside their bodies. response:	I discovered it two years after being employed by Meyer Hilton.
context: Did you use your daughter as a sample for your experiment?\What did you do to your daughter?\What did you plant in Mai's wrist?\I'm sure you've heard about it before.\I was the sole survivor of the First Gate Reconnaissance Troop.\I had brought a certain material back with me at the time.\There was a possibility I could block the activation of a contractor's abilities by implanting it inside their bodies.\I discovered it two years after being employed by Meyer Hilton. response:	Around the same time...
context: What did you do to your daughter?\What did you plant in Mai's wrist?\I'm sure you've heard about it before.\I was the sole survivor of the First Gate Reconnaissance Troop.\I had brought a certain material back with me at the time.\There was a possibility I could block the activation of a contractor's abilities by implanting it inside their bodies.\I discovered it two years after being employed by Meyer Hilton.\Around the same time... response:	M-Mai!
context: What did you plant in Mai's wrist?\I'm sure you've heard about it before.\I was the sole survivor of the First Gate Reconnaissance Troop.\I had brought a certain material back with me at the time.\There was a possibility I could block the activation of a contractor's abilities by implanting it inside their bodies.\I discovered it two years after being employed by Meyer Hilton.\Around the same time...\M-Mai! response:	Stop that!
context: I'm sure you've heard about it before.\I was the sole survivor of the First Gate Reconnaissance Troop.\I had brought a certain material back with me at the time.\There was a possibility I could block the activation of a contractor's abilities by implanting it inside their bodies.\I discovered it two years after being employed by Meyer Hilton.\Around the same time...\M-Mai!\Stop that! response:	Why?
context: I was the sole survivor of the First Gate Reconnaissance Troop.\I had brought a certain material back with me at the time.\There was a possibility I could block the activation of a contractor's abilities by implanting it inside their bodies.\I discovered it two years after being employed by Meyer Hilton.\Around the same time...\M-Mai!\Stop that!\Why? response:	The way contractors were regarded by the public...
context: I had brought a certain material back with me at the time.\There was a possibility I could block the activation of a contractor's abilities by implanting it inside their bodies.\I discovered it two years after being employed by Meyer Hilton.\Around the same time...\M-Mai!\Stop that!\Why?\The way contractors were regarded by the public... response:	You know what I'm talking about, don't you?
context: There was a possibility I could block the activation of a contractor's abilities by implanting it inside their bodies.\I discovered it two years after being employed by Meyer Hilton.\Around the same time...\M-Mai!\Stop that!\Why?\The way contractors were regarded by the public...\You know what I'm talking about, don't you? response:	By implanting the unknown material found within the gate into Mai's wrist...
context: I discovered it two years after being employed by Meyer Hilton.\Around the same time...\M-Mai!\Stop that!\Why?\The way contractors were regarded by the public...\You know what I'm talking about, don't you?\By implanting the unknown material found within the gate into Mai's wrist... response:	I attempted to prevent the activation of her abilities.
context: Around the same time...\M-Mai!\Stop that!\Why?\The way contractors were regarded by the public...\You know what I'm talking about, don't you?\By implanting the unknown material found within the gate into Mai's wrist...\I attempted to prevent the activation of her abilities. response:	I was grasping at straws.
context: M-Mai!\Stop that!\Why?\The way contractors were regarded by the public...\You know what I'm talking about, don't you?\By implanting the unknown material found within the gate into Mai's wrist...\I attempted to prevent the activation of her abilities.\I was grasping at straws. response:	No, straws isn't correct. What I was grasping at were seeds.
context: Stop that!\Why?\The way contractors were regarded by the public...\You know what I'm talking about, don't you?\By implanting the unknown material found within the gate into Mai's wrist...\I attempted to prevent the activation of her abilities.\I was grasping at straws.\No, straws isn't correct. What I was grasping at were seeds. response:	In retrospect, those seeds may have contained the curse of the gate.
context: Why?\The way contractors were regarded by the public...\You know what I'm talking about, don't you?\By implanting the unknown material found within the gate into Mai's wrist...\I attempted to prevent the activation of her abilities.\I was grasping at straws.\No, straws isn't correct. What I was grasping at were seeds.\In retrospect, those seeds may have contained the curse of the gate. response:	It might have been punishment for treading inside.
context: The way contractors were regarded by the public...\You know what I'm talking about, don't you?\By implanting the unknown material found within the gate into Mai's wrist...\I attempted to prevent the activation of her abilities.\I was grasping at straws.\No, straws isn't correct. What I was grasping at were seeds.\In retrospect, those seeds may have contained the curse of the gate.\It might have been punishment for treading inside. response:	The seed implanted in Mai will eventually deteriorate.
context: You know what I'm talking about, don't you?\By implanting the unknown material found within the gate into Mai's wrist...\I attempted to prevent the activation of her abilities.\I was grasping at straws.\No, straws isn't correct. What I was grasping at were seeds.\In retrospect, those seeds may have contained the curse of the gate.\It might have been punishment for treading inside.\The seed implanted in Mai will eventually deteriorate. response:	After that happens, her ability will be awakened.
context: By implanting the unknown material found within the gate into Mai's wrist...\I attempted to prevent the activation of her abilities.\I was grasping at straws.\No, straws isn't correct. What I was grasping at were seeds.\In retrospect, those seeds may have contained the curse of the gate.\It might have been punishment for treading inside.\The seed implanted in Mai will eventually deteriorate.\After that happens, her ability will be awakened. response:	As I continued my research,
context: I attempted to prevent the activation of her abilities.\I was grasping at straws.\No, straws isn't correct. What I was grasping at were seeds.\In retrospect, those seeds may have contained the curse of the gate.\It might have been punishment for treading inside.\The seed implanted in Mai will eventually deteriorate.\After that happens, her ability will be awakened.\As I continued my research, response:	I came to the conclusion that complete suppression would be impossible.
context: I was grasping at straws.\No, straws isn't correct. What I was grasping at were seeds.\In retrospect, those seeds may have contained the curse of the gate.\It might have been punishment for treading inside.\The seed implanted in Mai will eventually deteriorate.\After that happens, her ability will be awakened.\As I continued my research,\I came to the conclusion that complete suppression would be impossible. response:	Furthermore, the host body of the implanted seed would transform into a Moratorium.
context: No, straws isn't correct. What I was grasping at were seeds.\In retrospect, those seeds may have contained the curse of the gate.\It might have been punishment for treading inside.\The seed implanted in Mai will eventually deteriorate.\After that happens, her ability will be awakened.\As I continued my research,\I came to the conclusion that complete suppression would be impossible.\Furthermore, the host body of the implanted seed would transform into a Moratorium. response:	There's no telling when its curse will subside.
context: In retrospect, those seeds may have contained the curse of the gate.\It might have been punishment for treading inside.\The seed implanted in Mai will eventually deteriorate.\After that happens, her ability will be awakened.\As I continued my research,\I came to the conclusion that complete suppression would be impossible.\Furthermore, the host body of the implanted seed would transform into a Moratorium.\There's no telling when its curse will subside. response:	With my own hands, I turned my daughter into a monster that can't even become a contractor.
context: It might have been punishment for treading inside.\The seed implanted in Mai will eventually deteriorate.\After that happens, her ability will be awakened.\As I continued my research,\I came to the conclusion that complete suppression would be impossible.\Furthermore, the host body of the implanted seed would transform into a Moratorium.\There's no telling when its curse will subside.\With my own hands, I turned my daughter into a monster that can't even become a contractor. response:	I destroyed whatever data remained.
context: The seed implanted in Mai will eventually deteriorate.\After that happens, her ability will be awakened.\As I continued my research,\I came to the conclusion that complete suppression would be impossible.\Furthermore, the host body of the implanted seed would transform into a Moratorium.\There's no telling when its curse will subside.\With my own hands, I turned my daughter into a monster that can't even become a contractor.\I destroyed whatever data remained. response:	I erased Mai's memories using the M.E. and left the company.
context: After that happens, her ability will be awakened.\As I continued my research,\I came to the conclusion that complete suppression would be impossible.\Furthermore, the host body of the implanted seed would transform into a Moratorium.\There's no telling when its curse will subside.\With my own hands, I turned my daughter into a monster that can't even become a contractor.\I destroyed whatever data remained.\I erased Mai's memories using the M.E. and left the company. response:	I couldn't afford to let them find out about it.
context: As I continued my research,\I came to the conclusion that complete suppression would be impossible.\Furthermore, the host body of the implanted seed would transform into a Moratorium.\There's no telling when its curse will subside.\With my own hands, I turned my daughter into a monster that can't even become a contractor.\I destroyed whatever data remained.\I erased Mai's memories using the M.E. and left the company.\I couldn't afford to let them find out about it. response:	I didn't want her to become the subject of an actual experiment.
context: I came to the conclusion that complete suppression would be impossible.\Furthermore, the host body of the implanted seed would transform into a Moratorium.\There's no telling when its curse will subside.\With my own hands, I turned my daughter into a monster that can't even become a contractor.\I destroyed whatever data remained.\I erased Mai's memories using the M.E. and left the company.\I couldn't afford to let them find out about it.\I didn't want her to become the subject of an actual experiment. response:	So you abandoned everything you had and ran off to this town.
context: Furthermore, the host body of the implanted seed would transform into a Moratorium.\There's no telling when its curse will subside.\With my own hands, I turned my daughter into a monster that can't even become a contractor.\I destroyed whatever data remained.\I erased Mai's memories using the M.E. and left the company.\I couldn't afford to let them find out about it.\I didn't want her to become the subject of an actual experiment.\So you abandoned everything you had and ran off to this town. response:	Didn't I just say it's impossible to suppress the activation of the contract?
context: There's no telling when its curse will subside.\With my own hands, I turned my daughter into a monster that can't even become a contractor.\I destroyed whatever data remained.\I erased Mai's memories using the M.E. and left the company.\I couldn't afford to let them find out about it.\I didn't want her to become the subject of an actual experiment.\So you abandoned everything you had and ran off to this town.\Didn't I just say it's impossible to suppress the activation of the contract? response:	Are you saying I should continue this meaningless experiment on my child?
context: With my own hands, I turned my daughter into a monster that can't even become a contractor.\I destroyed whatever data remained.\I erased Mai's memories using the M.E. and left the company.\I couldn't afford to let them find out about it.\I didn't want her to become the subject of an actual experiment.\So you abandoned everything you had and ran off to this town.\Didn't I just say it's impossible to suppress the activation of the contract?\Are you saying I should continue this meaningless experiment on my child? response:	I was able to bring back two seeds.
context: I destroyed whatever data remained.\I erased Mai's memories using the M.E. and left the company.\I couldn't afford to let them find out about it.\I didn't want her to become the subject of an actual experiment.\So you abandoned everything you had and ran off to this town.\Didn't I just say it's impossible to suppress the activation of the contract?\Are you saying I should continue this meaningless experiment on my child?\I was able to bring back two seeds. response:	One is in Mai's wrist.
context: I erased Mai's memories using the M.E. and left the company.\I couldn't afford to let them find out about it.\I didn't want her to become the subject of an actual experiment.\So you abandoned everything you had and ran off to this town.\Didn't I just say it's impossible to suppress the activation of the contract?\Are you saying I should continue this meaningless experiment on my child?\I was able to bring back two seeds.\One is in Mai's wrist. response:	The other...
context: I couldn't afford to let them find out about it.\I didn't want her to become the subject of an actual experiment.\So you abandoned everything you had and ran off to this town.\Didn't I just say it's impossible to suppress the activation of the contract?\Are you saying I should continue this meaningless experiment on my child?\I was able to bring back two seeds.\One is in Mai's wrist.\The other... response:	If the seed within Mai began to deteriorate to the point of vanishing entirely...
context: I didn't want her to become the subject of an actual experiment.\So you abandoned everything you had and ran off to this town.\Didn't I just say it's impossible to suppress the activation of the contract?\Are you saying I should continue this meaningless experiment on my child?\I was able to bring back two seeds.\One is in Mai's wrist.\The other...\If the seed within Mai began to deteriorate to the point of vanishing entirely... response:	If I could cultivate the seed and implant it again,
context: So you abandoned everything you had and ran off to this town.\Didn't I just say it's impossible to suppress the activation of the contract?\Are you saying I should continue this meaningless experiment on my child?\I was able to bring back two seeds.\One is in Mai's wrist.\The other...\If the seed within Mai began to deteriorate to the point of vanishing entirely...\If I could cultivate the seed and implant it again, response:	I'd be able to suppress the Moratorium's instinctual behavior forever.
context: Didn't I just say it's impossible to suppress the activation of the contract?\Are you saying I should continue this meaningless experiment on my child?\I was able to bring back two seeds.\One is in Mai's wrist.\The other...\If the seed within Mai began to deteriorate to the point of vanishing entirely...\If I could cultivate the seed and implant it again,\I'd be able to suppress the Moratorium's instinctual behavior forever. response:	The only time I had peace of mind was when I watered this pot.
context: Are you saying I should continue this meaningless experiment on my child?\I was able to bring back two seeds.\One is in Mai's wrist.\The other...\If the seed within Mai began to deteriorate to the point of vanishing entirely...\If I could cultivate the seed and implant it again,\I'd be able to suppress the Moratorium's instinctual behavior forever.\The only time I had peace of mind was when I watered this pot. response:	However, time stopped this morning.
context: I was able to bring back two seeds.\One is in Mai's wrist.\The other...\If the seed within Mai began to deteriorate to the point of vanishing entirely...\If I could cultivate the seed and implant it again,\I'd be able to suppress the Moratorium's instinctual behavior forever.\The only time I had peace of mind was when I watered this pot.\However, time stopped this morning. response:	It didn't bear any seeds.
context: One is in Mai's wrist.\The other...\If the seed within Mai began to deteriorate to the point of vanishing entirely...\If I could cultivate the seed and implant it again,\I'd be able to suppress the Moratorium's instinctual behavior forever.\The only time I had peace of mind was when I watered this pot.\However, time stopped this morning.\It didn't bear any seeds. response:	I was frightened...
context: The other...\If the seed within Mai began to deteriorate to the point of vanishing entirely...\If I could cultivate the seed and implant it again,\I'd be able to suppress the Moratorium's instinctual behavior forever.\The only time I had peace of mind was when I watered this pot.\However, time stopped this morning.\It didn't bear any seeds.\I was frightened... response:	Frightened of witnessing the result of my sins.
context: If the seed within Mai began to deteriorate to the point of vanishing entirely...\If I could cultivate the seed and implant it again,\I'd be able to suppress the Moratorium's instinctual behavior forever.\The only time I had peace of mind was when I watered this pot.\However, time stopped this morning.\It didn't bear any seeds.\I was frightened...\Frightened of witnessing the result of my sins. response:	If I knew this was going to happen, she would have been better off as a contractor!
context: If I could cultivate the seed and implant it again,\I'd be able to suppress the Moratorium's instinctual behavior forever.\The only time I had peace of mind was when I watered this pot.\However, time stopped this morning.\It didn't bear any seeds.\I was frightened...\Frightened of witnessing the result of my sins.\If I knew this was going to happen, she would have been better off as a contractor! response:	You're confessing your sins to the wrong person.
context: I'd be able to suppress the Moratorium's instinctual behavior forever.\The only time I had peace of mind was when I watered this pot.\However, time stopped this morning.\It didn't bear any seeds.\I was frightened...\Frightened of witnessing the result of my sins.\If I knew this was going to happen, she would have been better off as a contractor!\You're confessing your sins to the wrong person. response:	You deserve to be confined inside this room forever.
context: The only time I had peace of mind was when I watered this pot.\However, time stopped this morning.\It didn't bear any seeds.\I was frightened...\Frightened of witnessing the result of my sins.\If I knew this was going to happen, she would have been better off as a contractor!\You're confessing your sins to the wrong person.\You deserve to be confined inside this room forever. response:	It was supposed to bear lots of fruit.
context: However, time stopped this morning.\It didn't bear any seeds.\I was frightened...\Frightened of witnessing the result of my sins.\If I knew this was going to happen, she would have been better off as a contractor!\You're confessing your sins to the wrong person.\You deserve to be confined inside this room forever.\It was supposed to bear lots of fruit. response:	Mai...
context: It didn't bear any seeds.\I was frightened...\Frightened of witnessing the result of my sins.\If I knew this was going to happen, she would have been better off as a contractor!\You're confessing your sins to the wrong person.\You deserve to be confined inside this room forever.\It was supposed to bear lots of fruit.\Mai... response:	Lots and lots of seeds for your amulet were supposed to come out.
context: I was frightened...\Frightened of witnessing the result of my sins.\If I knew this was going to happen, she would have been better off as a contractor!\You're confessing your sins to the wrong person.\You deserve to be confined inside this room forever.\It was supposed to bear lots of fruit.\Mai...\Lots and lots of seeds for your amulet were supposed to come out. response:	And the eyebrow is bushy with spots of whiskers...
context: Frightened of witnessing the result of my sins.\If I knew this was going to happen, she would have been better off as a contractor!\You're confessing your sins to the wrong person.\You deserve to be confined inside this room forever.\It was supposed to bear lots of fruit.\Mai...\Lots and lots of seeds for your amulet were supposed to come out.\And the eyebrow is bushy with spots of whiskers... response:	Finally here?
context: If I knew this was going to happen, she would have been better off as a contractor!\You're confessing your sins to the wrong person.\You deserve to be confined inside this room forever.\It was supposed to bear lots of fruit.\Mai...\Lots and lots of seeds for your amulet were supposed to come out.\And the eyebrow is bushy with spots of whiskers...\Finally here? response:	Yeah, some dog wandered in.
context: You're confessing your sins to the wrong person.\You deserve to be confined inside this room forever.\It was supposed to bear lots of fruit.\Mai...\Lots and lots of seeds for your amulet were supposed to come out.\And the eyebrow is bushy with spots of whiskers...\Finally here?\Yeah, some dog wandered in. response:	That idiot!
context: You deserve to be confined inside this room forever.\It was supposed to bear lots of fruit.\Mai...\Lots and lots of seeds for your amulet were supposed to come out.\And the eyebrow is bushy with spots of whiskers...\Finally here?\Yeah, some dog wandered in.\That idiot! response:	Koutou Ward, Shinonome warehouse district.
context: It was supposed to bear lots of fruit.\Mai...\Lots and lots of seeds for your amulet were supposed to come out.\And the eyebrow is bushy with spots of whiskers...\Finally here?\Yeah, some dog wandered in.\That idiot!\Koutou Ward, Shinonome warehouse district. response:	A contractor?
context: Mai...\Lots and lots of seeds for your amulet were supposed to come out.\And the eyebrow is bushy with spots of whiskers...\Finally here?\Yeah, some dog wandered in.\That idiot!\Koutou Ward, Shinonome warehouse district.\A contractor? response:	It looks like you and I are alike.
context: Lots and lots of seeds for your amulet were supposed to come out.\And the eyebrow is bushy with spots of whiskers...\Finally here?\Yeah, some dog wandered in.\That idiot!\Koutou Ward, Shinonome warehouse district.\A contractor?\It looks like you and I are alike. response:	That's as far as you go!
context: And the eyebrow is bushy with spots of whiskers...\Finally here?\Yeah, some dog wandered in.\That idiot!\Koutou Ward, Shinonome warehouse district.\A contractor?\It looks like you and I are alike.\That's as far as you go! response:	Or do you not care about what happens to Tahara's daughter?
context: Finally here?\Yeah, some dog wandered in.\That idiot!\Koutou Ward, Shinonome warehouse district.\A contractor?\It looks like you and I are alike.\That's as far as you go!\Or do you not care about what happens to Tahara's daughter? response:	You should have retrieved the daughter instead of going after me.
context: Yeah, some dog wandered in.\That idiot!\Koutou Ward, Shinonome warehouse district.\A contractor?\It looks like you and I are alike.\That's as far as you go!\Or do you not care about what happens to Tahara's daughter?\You should have retrieved the daughter instead of going after me. response:	Really, you hired a strange contractor...
context: That idiot!\Koutou Ward, Shinonome warehouse district.\A contractor?\It looks like you and I are alike.\That's as far as you go!\Or do you not care about what happens to Tahara's daughter?\You should have retrieved the daughter instead of going after me.\Really, you hired a strange contractor... response:	Dr. Tahara.
context: Koutou Ward, Shinonome warehouse district.\A contractor?\It looks like you and I are alike.\That's as far as you go!\Or do you not care about what happens to Tahara's daughter?\You should have retrieved the daughter instead of going after me.\Really, you hired a strange contractor...\Dr. Tahara. response:	Return my daughter.
context: A contractor?\It looks like you and I are alike.\That's as far as you go!\Or do you not care about what happens to Tahara's daughter?\You should have retrieved the daughter instead of going after me.\Really, you hired a strange contractor...\Dr. Tahara.\Return my daughter. response:	In that case, are you willing to lend us a hand?
context: It looks like you and I are alike.\That's as far as you go!\Or do you not care about what happens to Tahara's daughter?\You should have retrieved the daughter instead of going after me.\Really, you hired a strange contractor...\Dr. Tahara.\Return my daughter.\In that case, are you willing to lend us a hand? response:	I will not return to your company.
context: That's as far as you go!\Or do you not care about what happens to Tahara's daughter?\You should have retrieved the daughter instead of going after me.\Really, you hired a strange contractor...\Dr. Tahara.\Return my daughter.\In that case, are you willing to lend us a hand?\I will not return to your company. response:	I brought referential material from my research instead.
context: Or do you not care about what happens to Tahara's daughter?\You should have retrieved the daughter instead of going after me.\Really, you hired a strange contractor...\Dr. Tahara.\Return my daughter.\In that case, are you willing to lend us a hand?\I will not return to your company.\I brought referential material from my research instead. response:	Hand it over.
context: You should have retrieved the daughter instead of going after me.\Really, you hired a strange contractor...\Dr. Tahara.\Return my daughter.\In that case, are you willing to lend us a hand?\I will not return to your company.\I brought referential material from my research instead.\Hand it over. response:	My daughter comes first.
context: Really, you hired a strange contractor...\Dr. Tahara.\Return my daughter.\In that case, are you willing to lend us a hand?\I will not return to your company.\I brought referential material from my research instead.\Hand it over.\My daughter comes first. response:	Hey, your beloved papa has come to pick you up, Mai-chan.
context: Dr. Tahara.\Return my daughter.\In that case, are you willing to lend us a hand?\I will not return to your company.\I brought referential material from my research instead.\Hand it over.\My daughter comes first.\Hey, your beloved papa has come to pick you up, Mai-chan. response:	No, I don't know... that person.
context: Return my daughter.\In that case, are you willing to lend us a hand?\I will not return to your company.\I brought referential material from my research instead.\Hand it over.\My daughter comes first.\Hey, your beloved papa has come to pick you up, Mai-chan.\No, I don't know... that person. response:	No!
context: In that case, are you willing to lend us a hand?\I will not return to your company.\I brought referential material from my research instead.\Hand it over.\My daughter comes first.\Hey, your beloved papa has come to pick you up, Mai-chan.\No, I don't know... that person.\No! response:	H-Hurry up and hand over the documents!
context: I will not return to your company.\I brought referential material from my research instead.\Hand it over.\My daughter comes first.\Hey, your beloved papa has come to pick you up, Mai-chan.\No, I don't know... that person.\No!\H-Hurry up and hand over the documents! response:	What the hell is this?
context: I brought referential material from my research instead.\Hand it over.\My daughter comes first.\Hey, your beloved papa has come to pick you up, Mai-chan.\No, I don't know... that person.\No!\H-Hurry up and hand over the documents!\What the hell is this? response:	References.
context: Hand it over.\My daughter comes first.\Hey, your beloved papa has come to pick you up, Mai-chan.\No, I don't know... that person.\No!\H-Hurry up and hand over the documents!\What the hell is this?\References. response:	What are you trying to pull?
context: My daughter comes first.\Hey, your beloved papa has come to pick you up, Mai-chan.\No, I don't know... that person.\No!\H-Hurry up and hand over the documents!\What the hell is this?\References.\What are you trying to pull? response:	Hand over the real thing!
context: Hey, your beloved papa has come to pick you up, Mai-chan.\No, I don't know... that person.\No!\H-Hurry up and hand over the documents!\What the hell is this?\References.\What are you trying to pull?\Hand over the real thing! response:	This is all that's left of my research.
context: No, I don't know... that person.\No!\H-Hurry up and hand over the documents!\What the hell is this?\References.\What are you trying to pull?\Hand over the real thing!\This is all that's left of my research. response:	No! No! Let go!
context: No!\H-Hurry up and hand over the documents!\What the hell is this?\References.\What are you trying to pull?\Hand over the real thing!\This is all that's left of my research.\No! No! Let go! response:	No, Mai's papa is more handsome!
context: H-Hurry up and hand over the documents!\What the hell is this?\References.\What are you trying to pull?\Hand over the real thing!\This is all that's left of my research.\No! No! Let go!\No, Mai's papa is more handsome! response:	He's stronger!
context: What the hell is this?\References.\What are you trying to pull?\Hand over the real thing!\This is all that's left of my research.\No! No! Let go!\No, Mai's papa is more handsome!\He's stronger! response:	No, your father is a horrible person.
context: References.\What are you trying to pull?\Hand over the real thing!\This is all that's left of my research.\No! No! Let go!\No, Mai's papa is more handsome!\He's stronger!\No, your father is a horrible person. response:	He's not horrible! He tells me many, many stories!
context: What are you trying to pull?\Hand over the real thing!\This is all that's left of my research.\No! No! Let go!\No, Mai's papa is more handsome!\He's stronger!\No, your father is a horrible person.\He's not horrible! He tells me many, many stories! response:	He protects Mai!
context: Hand over the real thing!\This is all that's left of my research.\No! No! Let go!\No, Mai's papa is more handsome!\He's stronger!\No, your father is a horrible person.\He's not horrible! He tells me many, many stories!\He protects Mai! response:	Mai likes Papa very much!
context: This is all that's left of my research.\No! No! Let go!\No, Mai's papa is more handsome!\He's stronger!\No, your father is a horrible person.\He's not horrible! He tells me many, many stories!\He protects Mai!\Mai likes Papa very much! response:	Papa likes you very much, too.
context: No! No! Let go!\No, Mai's papa is more handsome!\He's stronger!\No, your father is a horrible person.\He's not horrible! He tells me many, many stories!\He protects Mai!\Mai likes Papa very much!\Papa likes you very much, too. response:	I love you...
context: No, Mai's papa is more handsome!\He's stronger!\No, your father is a horrible person.\He's not horrible! He tells me many, many stories!\He protects Mai!\Mai likes Papa very much!\Papa likes you very much, too.\I love you... response:	Mai.
context: He's stronger!\No, your father is a horrible person.\He's not horrible! He tells me many, many stories!\He protects Mai!\Mai likes Papa very much!\Papa likes you very much, too.\I love you...\Mai. response:	Forget about him! Get a hold of the sample!
context: No, your father is a horrible person.\He's not horrible! He tells me many, many stories!\He protects Mai!\Mai likes Papa very much!\Papa likes you very much, too.\I love you...\Mai.\Forget about him! Get a hold of the sample! response:	Smiles don't belong on people like you.
context: He's not horrible! He tells me many, many stories!\He protects Mai!\Mai likes Papa very much!\Papa likes you very much, too.\I love you...\Mai.\Forget about him! Get a hold of the sample!\Smiles don't belong on people like you. response:	Mai...
context: He protects Mai!\Mai likes Papa very much!\Papa likes you very much, too.\I love you...\Mai.\Forget about him! Get a hold of the sample!\Smiles don't belong on people like you.\Mai... response:	Mai...
context: Mai likes Papa very much!\Papa likes you very much, too.\I love you...\Mai.\Forget about him! Get a hold of the sample!\Smiles don't belong on people like you.\Mai...\Mai... response:	My work... is finally done.
context: Papa likes you very much, too.\I love you...\Mai.\Forget about him! Get a hold of the sample!\Smiles don't belong on people like you.\Mai...\Mai...\My work... is finally done. response:	Mai...
context: I love you...\Mai.\Forget about him! Get a hold of the sample!\Smiles don't belong on people like you.\Mai...\Mai...\My work... is finally done.\Mai... response:	I'm home.
context: Mai.\Forget about him! Get a hold of the sample!\Smiles don't belong on people like you.\Mai...\Mai...\My work... is finally done.\Mai...\I'm home. response:	Papa.
context: Forget about him! Get a hold of the sample!\Smiles don't belong on people like you.\Mai...\Mai...\My work... is finally done.\Mai...\I'm home.\Papa. response:	Wait... It was Ruuko who did it, not me!
context: Smiles don't belong on people like you.\Mai...\Mai...\My work... is finally done.\Mai...\I'm home.\Papa.\Wait... It was Ruuko who did it, not me! response:	Stop, Mai.
context: Mai...\Mai...\My work... is finally done.\Mai...\I'm home.\Papa.\Wait... It was Ruuko who did it, not me!\Stop, Mai. response:	Why?
context: Mai...\My work... is finally done.\Mai...\I'm home.\Papa.\Wait... It was Ruuko who did it, not me!\Stop, Mai.\Why? response:	D-Don't...
context: My work... is finally done.\Mai...\I'm home.\Papa.\Wait... It was Ruuko who did it, not me!\Stop, Mai.\Why?\D-Don't... response:	Her remuneration.
