context: Endeavor's my old man. response:	He's been stuck as the number two hero for forever.
context: And isn't that something you could solve by using the heat from your left side?\Everyone's fighting with everything they've got...\To win and get closer to their dream...\To become number one...\You want to win with just half your strength?!\You haven't put a single scratch on me yet, you know!\Come at with me with everything you've got!\You want to win with just half your strength?! response:	You haven't put a single scratch on me yet, you know!
context: Everyone's fighting with everything they've got...\To win and get closer to their dream...\To become number one...\You want to win with just half your strength?!\You haven't put a single scratch on me yet, you know!\Come at with me with everything you've got!\You want to win with just half your strength?!\You haven't put a single scratch on me yet, you know! response:	Come at with me with everything you've got!
context: To win and get closer to their dream...\To become number one...\You want to win with just half your strength?!\You haven't put a single scratch on me yet, you know!\Come at with me with everything you've got!\You want to win with just half your strength?!\You haven't put a single scratch on me yet, you know!\Come at with me with everything you've got! response:	Young Midoriya...
context: To become number one...\You want to win with just half your strength?!\You haven't put a single scratch on me yet, you know!\Come at with me with everything you've got!\You want to win with just half your strength?!\You haven't put a single scratch on me yet, you know!\Come at with me with everything you've got!\Young Midoriya... response:	Todoroki isn't you, either.
context: You want to win with just half your strength?!\You haven't put a single scratch on me yet, you know!\Come at with me with everything you've got!\You want to win with just half your strength?!\You haven't put a single scratch on me yet, you know!\Come at with me with everything you've got!\Young Midoriya...\Todoroki isn't you, either. response:	That boy...
context: You haven't put a single scratch on me yet, you know!\Come at with me with everything you've got!\You want to win with just half your strength?!\You haven't put a single scratch on me yet, you know!\Come at with me with everything you've got!\Young Midoriya...\Todoroki isn't you, either.\That boy... response:	Midoriya...
context: Come at with me with everything you've got!\You want to win with just half your strength?!\You haven't put a single scratch on me yet, you know!\Come at with me with everything you've got!\Young Midoriya...\Todoroki isn't you, either.\That boy...\Midoriya... response:	What are you planning?
context: You want to win with just half your strength?!\You haven't put a single scratch on me yet, you know!\Come at with me with everything you've got!\Young Midoriya...\Todoroki isn't you, either.\That boy...\Midoriya...\What are you planning? response:	Everything I've got?
context: You haven't put a single scratch on me yet, you know!\Come at with me with everything you've got!\Young Midoriya...\Todoroki isn't you, either.\That boy...\Midoriya...\What are you planning?\Everything I've got? response:	Did my damn old man buy you off or something?
context: Come at with me with everything you've got!\Young Midoriya...\Todoroki isn't you, either.\That boy...\Midoriya...\What are you planning?\Everything I've got?\Did my damn old man buy you off or something? response:	Now I'm angry!
context: Young Midoriya...\Todoroki isn't you, either.\That boy...\Midoriya...\What are you planning?\Everything I've got?\Did my damn old man buy you off or something?\Now I'm angry! response:	His movements are...
context: Todoroki isn't you, either.\That boy...\Midoriya...\What are you planning?\Everything I've got?\Did my damn old man buy you off or something?\Now I'm angry!\His movements are... response:	It's because frost fell on his body...
context: That boy...\Midoriya...\What are you planning?\Everything I've got?\Did my damn old man buy you off or something?\Now I'm angry!\His movements are...\It's because frost fell on his body... response:	Unlike the limit to my power, it's probably like the MP in a game...
context: Midoriya...\What are you planning?\Everything I've got?\Did my damn old man buy you off or something?\Now I'm angry!\His movements are...\It's because frost fell on his body...\Unlike the limit to my power, it's probably like the MP in a game... response:	Was the scale during his fight with Flat Face the upper limit?
context: What are you planning?\Everything I've got?\Did my damn old man buy you off or something?\Now I'm angry!\His movements are...\It's because frost fell on his body...\Unlike the limit to my power, it's probably like the MP in a game...\Was the scale during his fight with Flat Face the upper limit? response:	In close quarters, you won't be able to do anything about it!
context: Everything I've got?\Did my damn old man buy you off or something?\Now I'm angry!\His movements are...\It's because frost fell on his body...\Unlike the limit to my power, it's probably like the MP in a game...\Was the scale during his fight with Flat Face the upper limit?\In close quarters, you won't be able to do anything about it! response:	The instant I lifted my right foot... This guy...!
context: Did my damn old man buy you off or something?\Now I'm angry!\His movements are...\It's because frost fell on his body...\Unlike the limit to my power, it's probably like the MP in a game...\Was the scale during his fight with Flat Face the upper limit?\In close quarters, you won't be able to do anything about it!\The instant I lifted my right foot... This guy...! response:	Imagine... the microwave...
context: Now I'm angry!\His movements are...\It's because frost fell on his body...\Unlike the limit to my power, it's probably like the MP in a game...\Was the scale during his fight with Flat Face the upper limit?\In close quarters, you won't be able to do anything about it!\The instant I lifted my right foot... This guy...!\Imagine... the microwave... response:	It won't explode... It won't... It won't...! It won't...!
context: His movements are...\It's because frost fell on his body...\Unlike the limit to my power, it's probably like the MP in a game...\Was the scale during his fight with Flat Face the upper limit?\In close quarters, you won't be able to do anything about it!\The instant I lifted my right foot... This guy...!\Imagine... the microwave...\It won't explode... It won't... It won't...! It won't...! response:	A solid hit!
context: It's because frost fell on his body...\Unlike the limit to my power, it's probably like the MP in a game...\Was the scale during his fight with Flat Face the upper limit?\In close quarters, you won't be able to do anything about it!\The instant I lifted my right foot... This guy...!\Imagine... the microwave...\It won't explode... It won't... It won't...! It won't...!\A solid hit! response:	We've got some action!
context: Unlike the limit to my power, it's probably like the MP in a game...\Was the scale during his fight with Flat Face the upper limit?\In close quarters, you won't be able to do anything about it!\The instant I lifted my right foot... This guy...!\Imagine... the microwave...\It won't explode... It won't... It won't...! It won't...!\A solid hit!\We've got some action! response:	He got a hit on Todoroki!
context: Was the scale during his fight with Flat Face the upper limit?\In close quarters, you won't be able to do anything about it!\The instant I lifted my right foot... This guy...!\Imagine... the microwave...\It won't explode... It won't... It won't...! It won't...!\A solid hit!\We've got some action!\He got a hit on Todoroki! response:	Even though Midoriya looks way more beat up...
context: In close quarters, you won't be able to do anything about it!\The instant I lifted my right foot... This guy...!\Imagine... the microwave...\It won't explode... It won't... It won't...! It won't...!\A solid hit!\We've got some action!\He got a hit on Todoroki!\Even though Midoriya looks way more beat up... response:	I can't believe he went on the offensive here!
context: The instant I lifted my right foot... This guy...!\Imagine... the microwave...\It won't explode... It won't... It won't...! It won't...!\A solid hit!\We've got some action!\He got a hit on Todoroki!\Even though Midoriya looks way more beat up...\I can't believe he went on the offensive here! response:	Why...?
context: Imagine... the microwave...\It won't explode... It won't... It won't...! It won't...!\A solid hit!\We've got some action!\He got a hit on Todoroki!\Even though Midoriya looks way more beat up...\I can't believe he went on the offensive here!\Why...? response:	The ice isn't coming as fast...
context: It won't explode... It won't... It won't...! It won't...!\A solid hit!\We've got some action!\He got a hit on Todoroki!\Even though Midoriya looks way more beat up...\I can't believe he went on the offensive here!\Why...?\The ice isn't coming as fast... response:	Should I stop it, Midnight?
context: A solid hit!\We've got some action!\He got a hit on Todoroki!\Even though Midoriya looks way more beat up...\I can't believe he went on the offensive here!\Why...?\The ice isn't coming as fast...\Should I stop it, Midnight? response:	That Midoriya's probably thinking, Recovery Girl will heal me anyway,
context: We've got some action!\He got a hit on Todoroki!\Even though Midoriya looks way more beat up...\I can't believe he went on the offensive here!\Why...?\The ice isn't coming as fast...\Should I stop it, Midnight?\That Midoriya's probably thinking, Recovery Girl will heal me anyway, response:	and is being reckless.
context: He got a hit on Todoroki!\Even though Midoriya looks way more beat up...\I can't believe he went on the offensive here!\Why...?\The ice isn't coming as fast...\Should I stop it, Midnight?\That Midoriya's probably thinking, Recovery Girl will heal me anyway,\and is being reckless. response:	He's full of adrenaline right now, so he probably isn't feeling much pain...
context: Even though Midoriya looks way more beat up...\I can't believe he went on the offensive here!\Why...?\The ice isn't coming as fast...\Should I stop it, Midnight?\That Midoriya's probably thinking, Recovery Girl will heal me anyway,\and is being reckless.\He's full of adrenaline right now, so he probably isn't feeling much pain... response:	But, those injuries...
context: I can't believe he went on the offensive here!\Why...?\The ice isn't coming as fast...\Should I stop it, Midnight?\That Midoriya's probably thinking, Recovery Girl will heal me anyway,\and is being reckless.\He's full of adrenaline right now, so he probably isn't feeling much pain...\But, those injuries... response:	They probably can't be fully healed in one go.
context: Why...?\The ice isn't coming as fast...\Should I stop it, Midnight?\That Midoriya's probably thinking, Recovery Girl will heal me anyway,\and is being reckless.\He's full of adrenaline right now, so he probably isn't feeling much pain...\But, those injuries...\They probably can't be fully healed in one go. response:	Even if he wins, he might not be able to fight his next match.
context: The ice isn't coming as fast...\Should I stop it, Midnight?\That Midoriya's probably thinking, Recovery Girl will heal me anyway,\and is being reckless.\He's full of adrenaline right now, so he probably isn't feeling much pain...\But, those injuries...\They probably can't be fully healed in one go.\Even if he wins, he might not be able to fight his next match. response:	You can't keep saying you can't help it because you can't control your Quirk.
context: Should I stop it, Midnight?\That Midoriya's probably thinking, Recovery Girl will heal me anyway,\and is being reckless.\He's full of adrenaline right now, so he probably isn't feeling much pain...\But, those injuries...\They probably can't be fully healed in one go.\Even if he wins, he might not be able to fight his next match.\You can't keep saying you can't help it because you can't control your Quirk. response:	His power's gone down, but he's gained some control.
context: That Midoriya's probably thinking, Recovery Girl will heal me anyway,\and is being reckless.\He's full of adrenaline right now, so he probably isn't feeling much pain...\But, those injuries...\They probably can't be fully healed in one go.\Even if he wins, he might not be able to fight his next match.\You can't keep saying you can't help it because you can't control your Quirk.\His power's gone down, but he's gained some control. response:	He's not just fighting recklessly.
context: and is being reckless.\He's full of adrenaline right now, so he probably isn't feeling much pain...\But, those injuries...\They probably can't be fully healed in one go.\Even if he wins, he might not be able to fight his next match.\You can't keep saying you can't help it because you can't control your Quirk.\His power's gone down, but he's gained some control.\He's not just fighting recklessly. response:	This is the best he can do to win at this point in time.
context: He's full of adrenaline right now, so he probably isn't feeling much pain...\But, those injuries...\They probably can't be fully healed in one go.\Even if he wins, he might not be able to fight his next match.\You can't keep saying you can't help it because you can't control your Quirk.\His power's gone down, but he's gained some control.\He's not just fighting recklessly.\This is the best he can do to win at this point in time. response:	But man...
context: But, those injuries...\They probably can't be fully healed in one go.\Even if he wins, he might not be able to fight his next match.\You can't keep saying you can't help it because you can't control your Quirk.\His power's gone down, but he's gained some control.\He's not just fighting recklessly.\This is the best he can do to win at this point in time.\But man... response:	Even if it can be healed,
context: They probably can't be fully healed in one go.\Even if he wins, he might not be able to fight his next match.\You can't keep saying you can't help it because you can't control your Quirk.\His power's gone down, but he's gained some control.\He's not just fighting recklessly.\This is the best he can do to win at this point in time.\But man...\Even if it can be healed, response:	to be able to jump into intense pain like that requires a lot of resolve.
context: Even if he wins, he might not be able to fight his next match.\You can't keep saying you can't help it because you can't control your Quirk.\His power's gone down, but he's gained some control.\He's not just fighting recklessly.\This is the best he can do to win at this point in time.\But man...\Even if it can be healed,\to be able to jump into intense pain like that requires a lot of resolve. response:	What is stirring him up?
context: You can't keep saying you can't help it because you can't control your Quirk.\His power's gone down, but he's gained some control.\He's not just fighting recklessly.\This is the best he can do to win at this point in time.\But man...\Even if it can be healed,\to be able to jump into intense pain like that requires a lot of resolve.\What is stirring him up? response:	All Might.
context: His power's gone down, but he's gained some control.\He's not just fighting recklessly.\This is the best he can do to win at this point in time.\But man...\Even if it can be healed,\to be able to jump into intense pain like that requires a lot of resolve.\What is stirring him up?\All Might. response:	I want to be like him.
context: He's not just fighting recklessly.\This is the best he can do to win at this point in time.\But man...\Even if it can be healed,\to be able to jump into intense pain like that requires a lot of resolve.\What is stirring him up?\All Might.\I want to be like him. response:	In order to do that, I have to be strong enough to become number one.
context: This is the best he can do to win at this point in time.\But man...\Even if it can be healed,\to be able to jump into intense pain like that requires a lot of resolve.\What is stirring him up?\All Might.\I want to be like him.\In order to do that, I have to be strong enough to become number one. response:	My motivation might seem trivial compared to yours...
context: But man...\Even if it can be healed,\to be able to jump into intense pain like that requires a lot of resolve.\What is stirring him up?\All Might.\I want to be like him.\In order to do that, I have to be strong enough to become number one.\My motivation might seem trivial compared to yours... response:	I can't make a fist...!
context: Even if it can be healed,\to be able to jump into intense pain like that requires a lot of resolve.\What is stirring him up?\All Might.\I want to be like him.\In order to do that, I have to be strong enough to become number one.\My motivation might seem trivial compared to yours...\I can't make a fist...! response:	Smash...!
context: to be able to jump into intense pain like that requires a lot of resolve.\What is stirring him up?\All Might.\I want to be like him.\In order to do that, I have to be strong enough to become number one.\My motivation might seem trivial compared to yours...\I can't make a fist...!\Smash...! response:	Why are you going so far?
context: What is stirring him up?\All Might.\I want to be like him.\In order to do that, I have to be strong enough to become number one.\My motivation might seem trivial compared to yours...\I can't make a fist...!\Smash...!\Why are you going so far? response:	Because I want to live up to everyone's expectations...
context: All Might.\I want to be like him.\In order to do that, I have to be strong enough to become number one.\My motivation might seem trivial compared to yours...\I can't make a fist...!\Smash...!\Why are you going so far?\Because I want to live up to everyone's expectations... response:	I want to be able to smile... and respond to them...
context: I want to be like him.\In order to do that, I have to be strong enough to become number one.\My motivation might seem trivial compared to yours...\I can't make a fist...!\Smash...!\Why are you going so far?\Because I want to live up to everyone's expectations...\I want to be able to smile... and respond to them... response:	To be a cool hero...
context: In order to do that, I have to be strong enough to become number one.\My motivation might seem trivial compared to yours...\I can't make a fist...!\Smash...!\Why are you going so far?\Because I want to live up to everyone's expectations...\I want to be able to smile... and respond to them...\To be a cool hero... response:	That's what I want to be!
context: My motivation might seem trivial compared to yours...\I can't make a fist...!\Smash...!\Why are you going so far?\Because I want to live up to everyone's expectations...\I want to be able to smile... and respond to them...\To be a cool hero...\That's what I want to be! response:	Shoto...
context: I can't make a fist...!\Smash...!\Why are you going so far?\Because I want to live up to everyone's expectations...\I want to be able to smile... and respond to them...\To be a cool hero...\That's what I want to be!\Shoto... response:	That's why-
context: Smash...!\Why are you going so far?\Because I want to live up to everyone's expectations...\I want to be able to smile... and respond to them...\To be a cool hero...\That's what I want to be!\Shoto...\That's why- response:	Everyone's giving it their all!
context: Why are you going so far?\Because I want to live up to everyone's expectations...\I want to be able to smile... and respond to them...\To be a cool hero...\That's what I want to be!\Shoto...\That's why-\Everyone's giving it their all! response:	There's no way I can know all of your circumstances, or your resolve.
context: Because I want to live up to everyone's expectations...\I want to be able to smile... and respond to them...\To be a cool hero...\That's what I want to be!\Shoto...\That's why-\Everyone's giving it their all!\There's no way I can know all of your circumstances, or your resolve. response:	But for you to become number one without giving it your all,
context: I want to be able to smile... and respond to them...\To be a cool hero...\That's what I want to be!\Shoto...\That's why-\Everyone's giving it their all!\There's no way I can know all of your circumstances, or your resolve.\But for you to become number one without giving it your all, response:	to completely reject your father...
context: To be a cool hero...\That's what I want to be!\Shoto...\That's why-\Everyone's giving it their all!\There's no way I can know all of your circumstances, or your resolve.\But for you to become number one without giving it your all,\to completely reject your father... response:	Right now, I think you should stop screwing around!
context: That's what I want to be!\Shoto...\That's why-\Everyone's giving it their all!\There's no way I can know all of your circumstances, or your resolve.\But for you to become number one without giving it your all,\to completely reject your father...\Right now, I think you should stop screwing around! response:	Stand up!
context: Shoto...\That's why-\Everyone's giving it their all!\There's no way I can know all of your circumstances, or your resolve.\But for you to become number one without giving it your all,\to completely reject your father...\Right now, I think you should stop screwing around!\Stand up! response:	If you're downed by something like this, forget beating All Might,
context: That's why-\Everyone's giving it their all!\There's no way I can know all of your circumstances, or your resolve.\But for you to become number one without giving it your all,\to completely reject your father...\Right now, I think you should stop screwing around!\Stand up!\If you're downed by something like this, forget beating All Might, response:	you won't even be able to take the small fry villains-
context: Everyone's giving it their all!\There's no way I can know all of your circumstances, or your resolve.\But for you to become number one without giving it your all,\to completely reject your father...\Right now, I think you should stop screwing around!\Stand up!\If you're downed by something like this, forget beating All Might,\you won't even be able to take the small fry villains- response:	Please, stop! He's only five!
context: There's no way I can know all of your circumstances, or your resolve.\But for you to become number one without giving it your all,\to completely reject your father...\Right now, I think you should stop screwing around!\Stand up!\If you're downed by something like this, forget beating All Might,\you won't even be able to take the small fry villains-\Please, stop! He's only five! response:	He's already five! Get out of my way!
context: But for you to become number one without giving it your all,\to completely reject your father...\Right now, I think you should stop screwing around!\Stand up!\If you're downed by something like this, forget beating All Might,\you won't even be able to take the small fry villains-\Please, stop! He's only five!\He's already five! Get out of my way! response:	Mom...!
context: to completely reject your father...\Right now, I think you should stop screwing around!\Stand up!\If you're downed by something like this, forget beating All Might,\you won't even be able to take the small fry villains-\Please, stop! He's only five!\He's already five! Get out of my way!\Mom...! response:	Shut up.
context: Right now, I think you should stop screwing around!\Stand up!\If you're downed by something like this, forget beating All Might,\you won't even be able to take the small fry villains-\Please, stop! He's only five!\He's already five! Get out of my way!\Mom...!\Shut up. response:	I don't wanna, Mom...
context: Stand up!\If you're downed by something like this, forget beating All Might,\you won't even be able to take the small fry villains-\Please, stop! He's only five!\He's already five! Get out of my way!\Mom...!\Shut up.\I don't wanna, Mom... response:	I don't want to be like Dad...
context: If you're downed by something like this, forget beating All Might,\you won't even be able to take the small fry villains-\Please, stop! He's only five!\He's already five! Get out of my way!\Mom...!\Shut up.\I don't wanna, Mom...\I don't want to be like Dad... response:	I don't want to become someone who bullies you, Mom!
context: you won't even be able to take the small fry villains-\Please, stop! He's only five!\He's already five! Get out of my way!\Mom...!\Shut up.\I don't wanna, Mom...\I don't want to be like Dad...\I don't want to become someone who bullies you, Mom! response:	But you want to be a hero, don't you?
context: Please, stop! He's only five!\He's already five! Get out of my way!\Mom...!\Shut up.\I don't wanna, Mom...\I don't want to be like Dad...\I don't want to become someone who bullies you, Mom!\But you want to be a hero, don't you? response:	It's okay for you to be one.
context: He's already five! Get out of my way!\Mom...!\Shut up.\I don't wanna, Mom...\I don't want to be like Dad...\I don't want to become someone who bullies you, Mom!\But you want to be a hero, don't you?\It's okay for you to be one. response:	As long as you have a future you feel strongly about.
context: Mom...!\Shut up.\I don't wanna, Mom...\I don't want to be like Dad...\I don't want to become someone who bullies you, Mom!\But you want to be a hero, don't you?\It's okay for you to be one.\As long as you have a future you feel strongly about. response:	That's why... I will win!
context: Shut up.\I don't wanna, Mom...\I don't want to be like Dad...\I don't want to become someone who bullies you, Mom!\But you want to be a hero, don't you?\It's okay for you to be one.\As long as you have a future you feel strongly about.\That's why... I will win! response:	I'll surpass you!
context: I don't wanna, Mom...\I don't want to be like Dad...\I don't want to become someone who bullies you, Mom!\But you want to be a hero, don't you?\It's okay for you to be one.\As long as you have a future you feel strongly about.\That's why... I will win!\I'll surpass you! response:	Don't look at that, Shoto.
context: I don't want to be like Dad...\I don't want to become someone who bullies you, Mom!\But you want to be a hero, don't you?\It's okay for you to be one.\As long as you have a future you feel strongly about.\That's why... I will win!\I'll surpass you!\Don't look at that, Shoto. response:	They're from a different world than you.
context: I don't want to become someone who bullies you, Mom!\But you want to be a hero, don't you?\It's okay for you to be one.\As long as you have a future you feel strongly about.\That's why... I will win!\I'll surpass you!\Don't look at that, Shoto.\They're from a different world than you. response:	Mom, I'm going crazy...
context: But you want to be a hero, don't you?\It's okay for you to be one.\As long as you have a future you feel strongly about.\That's why... I will win!\I'll surpass you!\Don't look at that, Shoto.\They're from a different world than you.\Mom, I'm going crazy... response:	I can't take it anymore.
context: It's okay for you to be one.\As long as you have a future you feel strongly about.\That's why... I will win!\I'll surpass you!\Don't look at that, Shoto.\They're from a different world than you.\Mom, I'm going crazy...\I can't take it anymore. response:	Every day, the children seem to become more and more like him...
context: As long as you have a future you feel strongly about.\That's why... I will win!\I'll surpass you!\Don't look at that, Shoto.\They're from a different world than you.\Mom, I'm going crazy...\I can't take it anymore.\Every day, the children seem to become more and more like him... response:	Shoto's... That child's left side sometimes looks very unsightly to me...
context: That's why... I will win!\I'll surpass you!\Don't look at that, Shoto.\They're from a different world than you.\Mom, I'm going crazy...\I can't take it anymore.\Every day, the children seem to become more and more like him...\Shoto's... That child's left side sometimes looks very unsightly to me... response:	I can't raise him anymore... I feel like I shouldn't...
context: I'll surpass you!\Don't look at that, Shoto.\They're from a different world than you.\Mom, I'm going crazy...\I can't take it anymore.\Every day, the children seem to become more and more like him...\Shoto's... That child's left side sometimes looks very unsightly to me...\I can't raise him anymore... I feel like I shouldn't... response:	Good grief, this is an important time, too...
context: Don't look at that, Shoto.\They're from a different world than you.\Mom, I'm going crazy...\I can't take it anymore.\Every day, the children seem to become more and more like him...\Shoto's... That child's left side sometimes looks very unsightly to me...\I can't raise him anymore... I feel like I shouldn't...\Good grief, this is an important time, too... response:	Where's Mom?
context: They're from a different world than you.\Mom, I'm going crazy...\I can't take it anymore.\Every day, the children seem to become more and more like him...\Shoto's... That child's left side sometimes looks very unsightly to me...\I can't raise him anymore... I feel like I shouldn't...\Good grief, this is an important time, too...\Where's Mom? response:	Oh, she injured you, so I put her in a hospital.
context: Mom, I'm going crazy...\I can't take it anymore.\Every day, the children seem to become more and more like him...\Shoto's... That child's left side sometimes looks very unsightly to me...\I can't raise him anymore... I feel like I shouldn't...\Good grief, this is an important time, too...\Where's Mom?\Oh, she injured you, so I put her in a hospital. response:	It's your fault.
context: I can't take it anymore.\Every day, the children seem to become more and more like him...\Shoto's... That child's left side sometimes looks very unsightly to me...\I can't raise him anymore... I feel like I shouldn't...\Good grief, this is an important time, too...\Where's Mom?\Oh, she injured you, so I put her in a hospital.\It's your fault. response:	You're the one who made Mom...
context: Every day, the children seem to become more and more like him...\Shoto's... That child's left side sometimes looks very unsightly to me...\I can't raise him anymore... I feel like I shouldn't...\Good grief, this is an important time, too...\Where's Mom?\Oh, she injured you, so I put her in a hospital.\It's your fault.\You're the one who made Mom... response:	I will reject...
context: Shoto's... That child's left side sometimes looks very unsightly to me...\I can't raise him anymore... I feel like I shouldn't...\Good grief, this is an important time, too...\Where's Mom?\Oh, she injured you, so I put her in a hospital.\It's your fault.\You're the one who made Mom...\I will reject... response:	It's your power, isn't it?!
context: I can't raise him anymore... I feel like I shouldn't...\Good grief, this is an important time, too...\Where's Mom?\Oh, she injured you, so I put her in a hospital.\It's your fault.\You're the one who made Mom...\I will reject...\It's your power, isn't it?! response:	Yes, that's right!
context: Good grief, this is an important time, too...\Where's Mom?\Oh, she injured you, so I put her in a hospital.\It's your fault.\You're the one who made Mom...\I will reject...\It's your power, isn't it?!\Yes, that's right! response:	Children inherit Quirks from their parents.
context: Where's Mom?\Oh, she injured you, so I put her in a hospital.\It's your fault.\You're the one who made Mom...\I will reject...\It's your power, isn't it?!\Yes, that's right!\Children inherit Quirks from their parents. response:	But the really important thing is not that connection,
context: Oh, she injured you, so I put her in a hospital.\It's your fault.\You're the one who made Mom...\I will reject...\It's your power, isn't it?!\Yes, that's right!\Children inherit Quirks from their parents.\But the really important thing is not that connection, response:	but recognizing your own flesh and blood-
context: It's your fault.\You're the one who made Mom...\I will reject...\It's your power, isn't it?!\Yes, that's right!\Children inherit Quirks from their parents.\But the really important thing is not that connection,\but recognizing your own flesh and blood- response:	recognizing yourself.
context: You're the one who made Mom...\I will reject...\It's your power, isn't it?!\Yes, that's right!\Children inherit Quirks from their parents.\But the really important thing is not that connection,\but recognizing your own flesh and blood-\recognizing yourself. response:	I am here!
context: I will reject...\It's your power, isn't it?!\Yes, that's right!\Children inherit Quirks from their parents.\But the really important thing is not that connection,\but recognizing your own flesh and blood-\recognizing yourself.\I am here! response:	Looking back at that time
context: It's your power, isn't it?!\Yes, that's right!\Children inherit Quirks from their parents.\But the really important thing is not that connection,\but recognizing your own flesh and blood-\recognizing yourself.\I am here!\Looking back at that time response:	You see?
context: Yes, that's right!\Children inherit Quirks from their parents.\But the really important thing is not that connection,\but recognizing your own flesh and blood-\recognizing yourself.\I am here!\Looking back at that time\You see? response:	But you want to be a hero, don't you?
context: Children inherit Quirks from their parents.\But the really important thing is not that connection,\but recognizing your own flesh and blood-\recognizing yourself.\I am here!\Looking back at that time\You see?\But you want to be a hero, don't you? response:	It's okay for you to be one.
context: But the really important thing is not that connection,\but recognizing your own flesh and blood-\recognizing yourself.\I am here!\Looking back at that time\You see?\But you want to be a hero, don't you?\It's okay for you to be one. response:	Before I knew it, I had forgotten...
context: but recognizing your own flesh and blood-\recognizing yourself.\I am here!\Looking back at that time\You see?\But you want to be a hero, don't you?\It's okay for you to be one.\Before I knew it, I had forgotten... response:	You don't have to be a prisoner of your blood.
context: recognizing yourself.\I am here!\Looking back at that time\You see?\But you want to be a hero, don't you?\It's okay for you to be one.\Before I knew it, I had forgotten...\You don't have to be a prisoner of your blood. response:	It's okay for you to become
context: I am here!\Looking back at that time\You see?\But you want to be a hero, don't you?\It's okay for you to be one.\Before I knew it, I had forgotten...\You don't have to be a prisoner of your blood.\It's okay for you to become response:	who you want to be.
context: Looking back at that time\You see?\But you want to be a hero, don't you?\It's okay for you to be one.\Before I knew it, I had forgotten...\You don't have to be a prisoner of your blood.\It's okay for you to become\who you want to be. response:	Th-This is...!
context: You see?\But you want to be a hero, don't you?\It's okay for you to be one.\Before I knew it, I had forgotten...\You don't have to be a prisoner of your blood.\It's okay for you to become\who you want to be.\Th-This is...! response:	The fire's here...
context: But you want to be a hero, don't you?\It's okay for you to be one.\Before I knew it, I had forgotten...\You don't have to be a prisoner of your blood.\It's okay for you to become\who you want to be.\Th-This is...!\The fire's here... response:	In battle...
context: It's okay for you to be one.\Before I knew it, I had forgotten...\You don't have to be a prisoner of your blood.\It's okay for you to become\who you want to be.\Th-This is...!\The fire's here...\In battle... response:	He used it!
context: Before I knew it, I had forgotten...\You don't have to be a prisoner of your blood.\It's okay for you to become\who you want to be.\Th-This is...!\The fire's here...\In battle...\He used it! response:	You made him use his left side...
context: You don't have to be a prisoner of your blood.\It's okay for you to become\who you want to be.\Th-This is...!\The fire's here...\In battle...\He used it!\You made him use his left side... response:	Young Midoriya, don't tell me you're trying to save Young Todoroki...?
context: It's okay for you to become\who you want to be.\Th-This is...!\The fire's here...\In battle...\He used it!\You made him use his left side...\Young Midoriya, don't tell me you're trying to save Young Todoroki...? response:	Even though you want to win...
context: who you want to be.\Th-This is...!\The fire's here...\In battle...\He used it!\You made him use his left side...\Young Midoriya, don't tell me you're trying to save Young Todoroki...?\Even though you want to win... response:	Damn it...
context: Th-This is...!\The fire's here...\In battle...\He used it!\You made him use his left side...\Young Midoriya, don't tell me you're trying to save Young Todoroki...?\Even though you want to win...\Damn it... response:	To help your enemy...
context: The fire's here...\In battle...\He used it!\You made him use his left side...\Young Midoriya, don't tell me you're trying to save Young Todoroki...?\Even though you want to win...\Damn it...\To help your enemy... response:	Which one of us is screwing around now?
context: In battle...\He used it!\You made him use his left side...\Young Midoriya, don't tell me you're trying to save Young Todoroki...?\Even though you want to win...\Damn it...\To help your enemy...\Which one of us is screwing around now? response:	I want... to be a hero, too...!
context: He used it!\You made him use his left side...\Young Midoriya, don't tell me you're trying to save Young Todoroki...?\Even though you want to win...\Damn it...\To help your enemy...\Which one of us is screwing around now?\I want... to be a hero, too...! response:	Shoto!
context: You made him use his left side...\Young Midoriya, don't tell me you're trying to save Young Todoroki...?\Even though you want to win...\Damn it...\To help your enemy...\Which one of us is screwing around now?\I want... to be a hero, too...!\Shoto! response:	Huh?
context: Young Midoriya, don't tell me you're trying to save Young Todoroki...?\Even though you want to win...\Damn it...\To help your enemy...\Which one of us is screwing around now?\I want... to be a hero, too...!\Shoto!\Huh? response:	Have you finally accepted yourself?!
context: Even though you want to win...\Damn it...\To help your enemy...\Which one of us is screwing around now?\I want... to be a hero, too...!\Shoto!\Huh?\Have you finally accepted yourself?! response:	That's it! Good!
context: Damn it...\To help your enemy...\Which one of us is screwing around now?\I want... to be a hero, too...!\Shoto!\Huh?\Have you finally accepted yourself?!\That's it! Good! response:	It all starts from here for you!
context: To help your enemy...\Which one of us is screwing around now?\I want... to be a hero, too...!\Shoto!\Huh?\Have you finally accepted yourself?!\That's it! Good!\It all starts from here for you! response:	With my blood, you will surpass me...
context: Which one of us is screwing around now?\I want... to be a hero, too...!\Shoto!\Huh?\Have you finally accepted yourself?!\That's it! Good!\It all starts from here for you!\With my blood, you will surpass me... response:	You will fulfill my desire!
context: I want... to be a hero, too...!\Shoto!\Huh?\Have you finally accepted yourself?!\That's it! Good!\It all starts from here for you!\With my blood, you will surpass me...\You will fulfill my desire! response:	Endeavor suddenly shouts encouragement...?
context: Shoto!\Huh?\Have you finally accepted yourself?!\That's it! Good!\It all starts from here for you!\With my blood, you will surpass me...\You will fulfill my desire!\Endeavor suddenly shouts encouragement...? response:	Such a doting father.
