context: To Mr. Junichi Katsuragi response:	I empathize with you. You were right about the way things are, but we should stand up for ourselves. And so, I have decided to form a publishing company together with a few of our comrades joining forces. I would like you to see it as the same battle but in a new form, and hope you will join me in this endeavor. I want to talk to you about this face to face.
context: O-Oh, a misunderstanding. Sorry for talkin' so weird...\R-Right! We're like family. You made me nervous for a second there...\I-In that case, good.\We're like family, so I couldn't stand the thought of causin' you pain.\I'm glad I heard this now, and not a while back.\What's that supposed to mean?\I'm never going to tell a blockhead like you.\There's something I have to tell you. response:	I'm going back to Tokyo soon.
context: R-Right! We're like family. You made me nervous for a second there...\I-In that case, good.\We're like family, so I couldn't stand the thought of causin' you pain.\I'm glad I heard this now, and not a while back.\What's that supposed to mean?\I'm never going to tell a blockhead like you.\There's something I have to tell you.\I'm going back to Tokyo soon. response:	I probably won't see you again...
context: I-In that case, good.\We're like family, so I couldn't stand the thought of causin' you pain.\I'm glad I heard this now, and not a while back.\What's that supposed to mean?\I'm never going to tell a blockhead like you.\There's something I have to tell you.\I'm going back to Tokyo soon.\I probably won't see you again... response:	An upperclassman from my college is starting up his own publishing company
context: We're like family, so I couldn't stand the thought of causin' you pain.\I'm glad I heard this now, and not a while back.\What's that supposed to mean?\I'm never going to tell a blockhead like you.\There's something I have to tell you.\I'm going back to Tokyo soon.\I probably won't see you again...\An upperclassman from my college is starting up his own publishing company response:	and he wants me to help him.
context: I'm glad I heard this now, and not a while back.\What's that supposed to mean?\I'm never going to tell a blockhead like you.\There's something I have to tell you.\I'm going back to Tokyo soon.\I probably won't see you again...\An upperclassman from my college is starting up his own publishing company\and he wants me to help him. response:	I plan on leaving soon after New Year's.
context: What's that supposed to mean?\I'm never going to tell a blockhead like you.\There's something I have to tell you.\I'm going back to Tokyo soon.\I probably won't see you again...\An upperclassman from my college is starting up his own publishing company\and he wants me to help him.\I plan on leaving soon after New Year's. response:	It's taken me a long time to get to this point,
context: I'm never going to tell a blockhead like you.\There's something I have to tell you.\I'm going back to Tokyo soon.\I probably won't see you again...\An upperclassman from my college is starting up his own publishing company\and he wants me to help him.\I plan on leaving soon after New Year's.\It's taken me a long time to get to this point, response:	but I owe it to you for making me think I should give going back one more try.
context: There's something I have to tell you.\I'm going back to Tokyo soon.\I probably won't see you again...\An upperclassman from my college is starting up his own publishing company\and he wants me to help him.\I plan on leaving soon after New Year's.\It's taken me a long time to get to this point,\but I owe it to you for making me think I should give going back one more try. response:	I'm grateful.
context: I'm going back to Tokyo soon.\I probably won't see you again...\An upperclassman from my college is starting up his own publishing company\and he wants me to help him.\I plan on leaving soon after New Year's.\It's taken me a long time to get to this point,\but I owe it to you for making me think I should give going back one more try.\I'm grateful. response:	Idiot. I don't want to hear those words.
context: I probably won't see you again...\An upperclassman from my college is starting up his own publishing company\and he wants me to help him.\I plan on leaving soon after New Year's.\It's taken me a long time to get to this point,\but I owe it to you for making me think I should give going back one more try.\I'm grateful.\Idiot. I don't want to hear those words. response:	Just don't leave me...
context: An upperclassman from my college is starting up his own publishing company\and he wants me to help him.\I plan on leaving soon after New Year's.\It's taken me a long time to get to this point,\but I owe it to you for making me think I should give going back one more try.\I'm grateful.\Idiot. I don't want to hear those words.\Just don't leave me... response:	But I can't bring myself to say that.
context: and he wants me to help him.\I plan on leaving soon after New Year's.\It's taken me a long time to get to this point,\but I owe it to you for making me think I should give going back one more try.\I'm grateful.\Idiot. I don't want to hear those words.\Just don't leave me...\But I can't bring myself to say that. response:	Not when he's finally trying to move forward.
context: I plan on leaving soon after New Year's.\It's taken me a long time to get to this point,\but I owe it to you for making me think I should give going back one more try.\I'm grateful.\Idiot. I don't want to hear those words.\Just don't leave me...\But I can't bring myself to say that.\Not when he's finally trying to move forward. response:	Ritsuko-chan!
context: It's taken me a long time to get to this point,\but I owe it to you for making me think I should give going back one more try.\I'm grateful.\Idiot. I don't want to hear those words.\Just don't leave me...\But I can't bring myself to say that.\Not when he's finally trying to move forward.\Ritsuko-chan! response:	Yurika-san!
context: but I owe it to you for making me think I should give going back one more try.\I'm grateful.\Idiot. I don't want to hear those words.\Just don't leave me...\But I can't bring myself to say that.\Not when he's finally trying to move forward.\Ritsuko-chan!\Yurika-san! response:	W-What are you doing?
context: I'm grateful.\Idiot. I don't want to hear those words.\Just don't leave me...\But I can't bring myself to say that.\Not when he's finally trying to move forward.\Ritsuko-chan!\Yurika-san!\W-What are you doing? response:	Looking for something.
context: Idiot. I don't want to hear those words.\Just don't leave me...\But I can't bring myself to say that.\Not when he's finally trying to move forward.\Ritsuko-chan!\Yurika-san!\W-What are you doing?\Looking for something. response:	I carelessly threw something away that was important to me.
context: Just don't leave me...\But I can't bring myself to say that.\Not when he's finally trying to move forward.\Ritsuko-chan!\Yurika-san!\W-What are you doing?\Looking for something.\I carelessly threw something away that was important to me. response:	Hey, is that girl homeless?
context: But I can't bring myself to say that.\Not when he's finally trying to move forward.\Ritsuko-chan!\Yurika-san!\W-What are you doing?\Looking for something.\I carelessly threw something away that was important to me.\Hey, is that girl homeless? response:	Say, Ritsuko-chan...
context: Not when he's finally trying to move forward.\Ritsuko-chan!\Yurika-san!\W-What are you doing?\Looking for something.\I carelessly threw something away that was important to me.\Hey, is that girl homeless?\Say, Ritsuko-chan... response:	Never mind me. Please, go on ahead.
context: Ritsuko-chan!\Yurika-san!\W-What are you doing?\Looking for something.\I carelessly threw something away that was important to me.\Hey, is that girl homeless?\Say, Ritsuko-chan...\Never mind me. Please, go on ahead. response:	A beautiful girl like you shouldn't be seen doing something like this, Yurika-san.
context: Yurika-san!\W-What are you doing?\Looking for something.\I carelessly threw something away that was important to me.\Hey, is that girl homeless?\Say, Ritsuko-chan...\Never mind me. Please, go on ahead.\A beautiful girl like you shouldn't be seen doing something like this, Yurika-san. response:	Ritsuko-chan...
context: W-What are you doing?\Looking for something.\I carelessly threw something away that was important to me.\Hey, is that girl homeless?\Say, Ritsuko-chan...\Never mind me. Please, go on ahead.\A beautiful girl like you shouldn't be seen doing something like this, Yurika-san.\Ritsuko-chan... response:	I'll help you.
context: Looking for something.\I carelessly threw something away that was important to me.\Hey, is that girl homeless?\Say, Ritsuko-chan...\Never mind me. Please, go on ahead.\A beautiful girl like you shouldn't be seen doing something like this, Yurika-san.\Ritsuko-chan...\I'll help you. response:	P-Please, don't!
context: I carelessly threw something away that was important to me.\Hey, is that girl homeless?\Say, Ritsuko-chan...\Never mind me. Please, go on ahead.\A beautiful girl like you shouldn't be seen doing something like this, Yurika-san.\Ritsuko-chan...\I'll help you.\P-Please, don't! response:	It's something important, isn't it?
context: Hey, is that girl homeless?\Say, Ritsuko-chan...\Never mind me. Please, go on ahead.\A beautiful girl like you shouldn't be seen doing something like this, Yurika-san.\Ritsuko-chan...\I'll help you.\P-Please, don't!\It's something important, isn't it? response:	Yurika-san...
context: Say, Ritsuko-chan...\Never mind me. Please, go on ahead.\A beautiful girl like you shouldn't be seen doing something like this, Yurika-san.\Ritsuko-chan...\I'll help you.\P-Please, don't!\It's something important, isn't it?\Yurika-san... response:	So... what am I looking for?
context: Never mind me. Please, go on ahead.\A beautiful girl like you shouldn't be seen doing something like this, Yurika-san.\Ritsuko-chan...\I'll help you.\P-Please, don't!\It's something important, isn't it?\Yurika-san...\So... what am I looking for? response:	Here it is!
context: A beautiful girl like you shouldn't be seen doing something like this, Yurika-san.\Ritsuko-chan...\I'll help you.\P-Please, don't!\It's something important, isn't it?\Yurika-san...\So... what am I looking for?\Here it is! response:	This is it, right?
context: Ritsuko-chan...\I'll help you.\P-Please, don't!\It's something important, isn't it?\Yurika-san...\So... what am I looking for?\Here it is!\This is it, right? response:	Yes!
context: I'll help you.\P-Please, don't!\It's something important, isn't it?\Yurika-san...\So... what am I looking for?\Here it is!\This is it, right?\Yes! response:	But I'll have to start over with clean yarn...
context: P-Please, don't!\It's something important, isn't it?\Yurika-san...\So... what am I looking for?\Here it is!\This is it, right?\Yes!\But I'll have to start over with clean yarn... response:	Is this going to be a present for someone?
context: It's something important, isn't it?\Yurika-san...\So... what am I looking for?\Here it is!\This is it, right?\Yes!\But I'll have to start over with clean yarn...\Is this going to be a present for someone? response:	Um...
context: Yurika-san...\So... what am I looking for?\Here it is!\This is it, right?\Yes!\But I'll have to start over with clean yarn...\Is this going to be a present for someone?\Um... response:	Why did you throw away something so important?
context: So... what am I looking for?\Here it is!\This is it, right?\Yes!\But I'll have to start over with clean yarn...\Is this going to be a present for someone?\Um...\Why did you throw away something so important? response:	I was confused.
context: Here it is!\This is it, right?\Yes!\But I'll have to start over with clean yarn...\Is this going to be a present for someone?\Um...\Why did you throw away something so important?\I was confused. response:	I suddenly felt stupid for knitting a gift that I'd never be able to give.
context: This is it, right?\Yes!\But I'll have to start over with clean yarn...\Is this going to be a present for someone?\Um...\Why did you throw away something so important?\I was confused.\I suddenly felt stupid for knitting a gift that I'd never be able to give. response:	Why wouldn't you be able to?
context: Yes!\But I'll have to start over with clean yarn...\Is this going to be a present for someone?\Um...\Why did you throw away something so important?\I was confused.\I suddenly felt stupid for knitting a gift that I'd never be able to give.\Why wouldn't you be able to? response:	B-Because a lot of things have happened between us...
context: But I'll have to start over with clean yarn...\Is this going to be a present for someone?\Um...\Why did you throw away something so important?\I was confused.\I suddenly felt stupid for knitting a gift that I'd never be able to give.\Why wouldn't you be able to?\B-Because a lot of things have happened between us... response:	You turned him down, didn't you?
context: Is this going to be a present for someone?\Um...\Why did you throw away something so important?\I was confused.\I suddenly felt stupid for knitting a gift that I'd never be able to give.\Why wouldn't you be able to?\B-Because a lot of things have happened between us...\You turned him down, didn't you? response:	And I couldn't tell him I like him now, after all that,
context: Um...\Why did you throw away something so important?\I was confused.\I suddenly felt stupid for knitting a gift that I'd never be able to give.\Why wouldn't you be able to?\B-Because a lot of things have happened between us...\You turned him down, didn't you?\And I couldn't tell him I like him now, after all that, response:	so I decided to let it go.
context: Why did you throw away something so important?\I was confused.\I suddenly felt stupid for knitting a gift that I'd never be able to give.\Why wouldn't you be able to?\B-Because a lot of things have happened between us...\You turned him down, didn't you?\And I couldn't tell him I like him now, after all that,\so I decided to let it go. response:	But then I thought that wouldn't do.
context: I was confused.\I suddenly felt stupid for knitting a gift that I'd never be able to give.\Why wouldn't you be able to?\B-Because a lot of things have happened between us...\You turned him down, didn't you?\And I couldn't tell him I like him now, after all that,\so I decided to let it go.\But then I thought that wouldn't do. response:	See, there was another time when I said nothing and just gave up.
context: I suddenly felt stupid for knitting a gift that I'd never be able to give.\Why wouldn't you be able to?\B-Because a lot of things have happened between us...\You turned him down, didn't you?\And I couldn't tell him I like him now, after all that,\so I decided to let it go.\But then I thought that wouldn't do.\See, there was another time when I said nothing and just gave up. response:	Do you regret it?
context: Why wouldn't you be able to?\B-Because a lot of things have happened between us...\You turned him down, didn't you?\And I couldn't tell him I like him now, after all that,\so I decided to let it go.\But then I thought that wouldn't do.\See, there was another time when I said nothing and just gave up.\Do you regret it? response:	No. I'd given up on that long ago.
context: B-Because a lot of things have happened between us...\You turned him down, didn't you?\And I couldn't tell him I like him now, after all that,\so I decided to let it go.\But then I thought that wouldn't do.\See, there was another time when I said nothing and just gave up.\Do you regret it?\No. I'd given up on that long ago. response:	Besides, I've realized this person has been there
context: You turned him down, didn't you?\And I couldn't tell him I like him now, after all that,\so I decided to let it go.\But then I thought that wouldn't do.\See, there was another time when I said nothing and just gave up.\Do you regret it?\No. I'd given up on that long ago.\Besides, I've realized this person has been there response:	to support me all this time, whenever I've felt down.
context: And I couldn't tell him I like him now, after all that,\so I decided to let it go.\But then I thought that wouldn't do.\See, there was another time when I said nothing and just gave up.\Do you regret it?\No. I'd given up on that long ago.\Besides, I've realized this person has been there\to support me all this time, whenever I've felt down. response:	I had no confidence in myself, but he did his best to encourage me.
context: so I decided to let it go.\But then I thought that wouldn't do.\See, there was another time when I said nothing and just gave up.\Do you regret it?\No. I'd given up on that long ago.\Besides, I've realized this person has been there\to support me all this time, whenever I've felt down.\I had no confidence in myself, but he did his best to encourage me. response:	This time, I want to be the one to tell him how I feel.
context: But then I thought that wouldn't do.\See, there was another time when I said nothing and just gave up.\Do you regret it?\No. I'd given up on that long ago.\Besides, I've realized this person has been there\to support me all this time, whenever I've felt down.\I had no confidence in myself, but he did his best to encourage me.\This time, I want to be the one to tell him how I feel. response:	I finally decided to stop keeping my mouth shut and waiting for things to end.
context: See, there was another time when I said nothing and just gave up.\Do you regret it?\No. I'd given up on that long ago.\Besides, I've realized this person has been there\to support me all this time, whenever I've felt down.\I had no confidence in myself, but he did his best to encourage me.\This time, I want to be the one to tell him how I feel.\I finally decided to stop keeping my mouth shut and waiting for things to end. response:	I'm sorry for talking about this...
context: Do you regret it?\No. I'd given up on that long ago.\Besides, I've realized this person has been there\to support me all this time, whenever I've felt down.\I had no confidence in myself, but he did his best to encourage me.\This time, I want to be the one to tell him how I feel.\I finally decided to stop keeping my mouth shut and waiting for things to end.\I'm sorry for talking about this... response:	No, I'm glad you did.
context: No. I'd given up on that long ago.\Besides, I've realized this person has been there\to support me all this time, whenever I've felt down.\I had no confidence in myself, but he did his best to encourage me.\This time, I want to be the one to tell him how I feel.\I finally decided to stop keeping my mouth shut and waiting for things to end.\I'm sorry for talking about this...\No, I'm glad you did. response:	I think you've opened my eyes as well.
context: Besides, I've realized this person has been there\to support me all this time, whenever I've felt down.\I had no confidence in myself, but he did his best to encourage me.\This time, I want to be the one to tell him how I feel.\I finally decided to stop keeping my mouth shut and waiting for things to end.\I'm sorry for talking about this...\No, I'm glad you did.\I think you've opened my eyes as well. response:	So...
context: to support me all this time, whenever I've felt down.\I had no confidence in myself, but he did his best to encourage me.\This time, I want to be the one to tell him how I feel.\I finally decided to stop keeping my mouth shut and waiting for things to end.\I'm sorry for talking about this...\No, I'm glad you did.\I think you've opened my eyes as well.\So... response:	By the way, who is it?
context: I had no confidence in myself, but he did his best to encourage me.\This time, I want to be the one to tell him how I feel.\I finally decided to stop keeping my mouth shut and waiting for things to end.\I'm sorry for talking about this...\No, I'm glad you did.\I think you've opened my eyes as well.\So...\By the way, who is it? response:	Who's your prince, Ritsuko-chan?
context: This time, I want to be the one to tell him how I feel.\I finally decided to stop keeping my mouth shut and waiting for things to end.\I'm sorry for talking about this...\No, I'm glad you did.\I think you've opened my eyes as well.\So...\By the way, who is it?\Who's your prince, Ritsuko-chan? response:	Oh, that's...
context: I finally decided to stop keeping my mouth shut and waiting for things to end.\I'm sorry for talking about this...\No, I'm glad you did.\I think you've opened my eyes as well.\So...\By the way, who is it?\Who's your prince, Ritsuko-chan?\Oh, that's... response:	Shall I try and guess?
context: I'm sorry for talking about this...\No, I'm glad you did.\I think you've opened my eyes as well.\So...\By the way, who is it?\Who's your prince, Ritsuko-chan?\Oh, that's...\Shall I try and guess? response:	W-W-What are you saying?! Please, stop!
context: No, I'm glad you did.\I think you've opened my eyes as well.\So...\By the way, who is it?\Who's your prince, Ritsuko-chan?\Oh, that's...\Shall I try and guess?\W-W-What are you saying?! Please, stop! response:	You're so cute!
context: I think you've opened my eyes as well.\So...\By the way, who is it?\Who's your prince, Ritsuko-chan?\Oh, that's...\Shall I try and guess?\W-W-What are you saying?! Please, stop!\You're so cute! response:	Yes. I'm set to leave this weekend.
context: So...\By the way, who is it?\Who's your prince, Ritsuko-chan?\Oh, that's...\Shall I try and guess?\W-W-What are you saying?! Please, stop!\You're so cute!\Yes. I'm set to leave this weekend. response:	Working in Tokyo?
context: By the way, who is it?\Who's your prince, Ritsuko-chan?\Oh, that's...\Shall I try and guess?\W-W-What are you saying?! Please, stop!\You're so cute!\Yes. I'm set to leave this weekend.\Working in Tokyo? response:	Yeah. A lot happened at college and I ended up dropping out.
context: Who's your prince, Ritsuko-chan?\Oh, that's...\Shall I try and guess?\W-W-What are you saying?! Please, stop!\You're so cute!\Yes. I'm set to leave this weekend.\Working in Tokyo?\Yeah. A lot happened at college and I ended up dropping out. response:	But you'll come back once in a while, won't you? Like you've been doing?
context: Oh, that's...\Shall I try and guess?\W-W-What are you saying?! Please, stop!\You're so cute!\Yes. I'm set to leave this weekend.\Working in Tokyo?\Yeah. A lot happened at college and I ended up dropping out.\But you'll come back once in a while, won't you? Like you've been doing? response:	No. I'm never coming back to this town.
context: Shall I try and guess?\W-W-What are you saying?! Please, stop!\You're so cute!\Yes. I'm set to leave this weekend.\Working in Tokyo?\Yeah. A lot happened at college and I ended up dropping out.\But you'll come back once in a while, won't you? Like you've been doing?\No. I'm never coming back to this town. response:	Kaoru-kun, our sessions were fun.
context: W-W-What are you saying?! Please, stop!\You're so cute!\Yes. I'm set to leave this weekend.\Working in Tokyo?\Yeah. A lot happened at college and I ended up dropping out.\But you'll come back once in a while, won't you? Like you've been doing?\No. I'm never coming back to this town.\Kaoru-kun, our sessions were fun. response:	I'll miss seeing you and Sen-boy,
context: You're so cute!\Yes. I'm set to leave this weekend.\Working in Tokyo?\Yeah. A lot happened at college and I ended up dropping out.\But you'll come back once in a while, won't you? Like you've been doing?\No. I'm never coming back to this town.\Kaoru-kun, our sessions were fun.\I'll miss seeing you and Sen-boy, response:	but I don't want you guys to stop playing jazz.
context: Yes. I'm set to leave this weekend.\Working in Tokyo?\Yeah. A lot happened at college and I ended up dropping out.\But you'll come back once in a while, won't you? Like you've been doing?\No. I'm never coming back to this town.\Kaoru-kun, our sessions were fun.\I'll miss seeing you and Sen-boy,\but I don't want you guys to stop playing jazz. response:	Brother Jun! Did you tell him you were going back to Tokyo?!
context: Working in Tokyo?\Yeah. A lot happened at college and I ended up dropping out.\But you'll come back once in a while, won't you? Like you've been doing?\No. I'm never coming back to this town.\Kaoru-kun, our sessions were fun.\I'll miss seeing you and Sen-boy,\but I don't want you guys to stop playing jazz.\Brother Jun! Did you tell him you were going back to Tokyo?! response:	Hey, Sen!
context: Yeah. A lot happened at college and I ended up dropping out.\But you'll come back once in a while, won't you? Like you've been doing?\No. I'm never coming back to this town.\Kaoru-kun, our sessions were fun.\I'll miss seeing you and Sen-boy,\but I don't want you guys to stop playing jazz.\Brother Jun! Did you tell him you were going back to Tokyo?!\Hey, Sen! response:	What's the hubbub, Richie?
context: But you'll come back once in a while, won't you? Like you've been doing?\No. I'm never coming back to this town.\Kaoru-kun, our sessions were fun.\I'll miss seeing you and Sen-boy,\but I don't want you guys to stop playing jazz.\Brother Jun! Did you tell him you were going back to Tokyo?!\Hey, Sen!\What's the hubbub, Richie? response:	It's about Brother Jun!
context: No. I'm never coming back to this town.\Kaoru-kun, our sessions were fun.\I'll miss seeing you and Sen-boy,\but I don't want you guys to stop playing jazz.\Brother Jun! Did you tell him you were going back to Tokyo?!\Hey, Sen!\What's the hubbub, Richie?\It's about Brother Jun! response:	Yeah, he's about to go back to Tokyo, right?
context: Kaoru-kun, our sessions were fun.\I'll miss seeing you and Sen-boy,\but I don't want you guys to stop playing jazz.\Brother Jun! Did you tell him you were going back to Tokyo?!\Hey, Sen!\What's the hubbub, Richie?\It's about Brother Jun!\Yeah, he's about to go back to Tokyo, right? response:	I heard from Pops.
context: I'll miss seeing you and Sen-boy,\but I don't want you guys to stop playing jazz.\Brother Jun! Did you tell him you were going back to Tokyo?!\Hey, Sen!\What's the hubbub, Richie?\It's about Brother Jun!\Yeah, he's about to go back to Tokyo, right?\I heard from Pops. response:	Well, ain't got nothin' to do with me.
context: but I don't want you guys to stop playing jazz.\Brother Jun! Did you tell him you were going back to Tokyo?!\Hey, Sen!\What's the hubbub, Richie?\It's about Brother Jun!\Yeah, he's about to go back to Tokyo, right?\I heard from Pops.\Well, ain't got nothin' to do with me. response:	Hey, wanna jam?
context: Brother Jun! Did you tell him you were going back to Tokyo?!\Hey, Sen!\What's the hubbub, Richie?\It's about Brother Jun!\Yeah, he's about to go back to Tokyo, right?\I heard from Pops.\Well, ain't got nothin' to do with me.\Hey, wanna jam? response:	You're gonna let that be the last you see of him?
context: Hey, Sen!\What's the hubbub, Richie?\It's about Brother Jun!\Yeah, he's about to go back to Tokyo, right?\I heard from Pops.\Well, ain't got nothin' to do with me.\Hey, wanna jam?\You're gonna let that be the last you see of him? response:	There's nothin' to say.
context: What's the hubbub, Richie?\It's about Brother Jun!\Yeah, he's about to go back to Tokyo, right?\I heard from Pops.\Well, ain't got nothin' to do with me.\Hey, wanna jam?\You're gonna let that be the last you see of him?\There's nothin' to say. response:	You looked up to him as a big brother since you were a kid!
context: It's about Brother Jun!\Yeah, he's about to go back to Tokyo, right?\I heard from Pops.\Well, ain't got nothin' to do with me.\Hey, wanna jam?\You're gonna let that be the last you see of him?\There's nothin' to say.\You looked up to him as a big brother since you were a kid! response:	You may never get the chance to meet him again!
context: Yeah, he's about to go back to Tokyo, right?\I heard from Pops.\Well, ain't got nothin' to do with me.\Hey, wanna jam?\You're gonna let that be the last you see of him?\There's nothin' to say.\You looked up to him as a big brother since you were a kid!\You may never get the chance to meet him again! response:	There'd be no point.
context: I heard from Pops.\Well, ain't got nothin' to do with me.\Hey, wanna jam?\You're gonna let that be the last you see of him?\There's nothin' to say.\You looked up to him as a big brother since you were a kid!\You may never get the chance to meet him again!\There'd be no point. response:	Once he's gone, it'll be too late!
context: Well, ain't got nothin' to do with me.\Hey, wanna jam?\You're gonna let that be the last you see of him?\There's nothin' to say.\You looked up to him as a big brother since you were a kid!\You may never get the chance to meet him again!\There'd be no point.\Once he's gone, it'll be too late! response:	Enough about Brother Jun already.
context: Hey, wanna jam?\You're gonna let that be the last you see of him?\There's nothin' to say.\You looked up to him as a big brother since you were a kid!\You may never get the chance to meet him again!\There'd be no point.\Once he's gone, it'll be too late!\Enough about Brother Jun already. response:	Let's get started here.
context: You're gonna let that be the last you see of him?\There's nothin' to say.\You looked up to him as a big brother since you were a kid!\You may never get the chance to meet him again!\There'd be no point.\Once he's gone, it'll be too late!\Enough about Brother Jun already.\Let's get started here. response:	If you don't feel like practicin', I'm goin' home.
context: There's nothin' to say.\You looked up to him as a big brother since you were a kid!\You may never get the chance to meet him again!\There'd be no point.\Once he's gone, it'll be too late!\Enough about Brother Jun already.\Let's get started here.\If you don't feel like practicin', I'm goin' home. response:	What's all the fuss about?
context: You looked up to him as a big brother since you were a kid!\You may never get the chance to meet him again!\There'd be no point.\Once he's gone, it'll be too late!\Enough about Brother Jun already.\Let's get started here.\If you don't feel like practicin', I'm goin' home.\What's all the fuss about? response:	I guess college students from Tokyo and all over have come to demonstrate
context: You may never get the chance to meet him again!\There'd be no point.\Once he's gone, it'll be too late!\Enough about Brother Jun already.\Let's get started here.\If you don't feel like practicin', I'm goin' home.\What's all the fuss about?\I guess college students from Tokyo and all over have come to demonstrate response:	against letting the nuclear aircraft carrier into port.
context: There'd be no point.\Once he's gone, it'll be too late!\Enough about Brother Jun already.\Let's get started here.\If you don't feel like practicin', I'm goin' home.\What's all the fuss about?\I guess college students from Tokyo and all over have come to demonstrate\against letting the nuclear aircraft carrier into port. response:	That's terrible...
context: Once he's gone, it'll be too late!\Enough about Brother Jun already.\Let's get started here.\If you don't feel like practicin', I'm goin' home.\What's all the fuss about?\I guess college students from Tokyo and all over have come to demonstrate\against letting the nuclear aircraft carrier into port.\That's terrible... response:	In their eyes, I'm a traitor.
context: Enough about Brother Jun already.\Let's get started here.\If you don't feel like practicin', I'm goin' home.\What's all the fuss about?\I guess college students from Tokyo and all over have come to demonstrate\against letting the nuclear aircraft carrier into port.\That's terrible...\In their eyes, I'm a traitor. response:	They may never forgive me.
context: Let's get started here.\If you don't feel like practicin', I'm goin' home.\What's all the fuss about?\I guess college students from Tokyo and all over have come to demonstrate\against letting the nuclear aircraft carrier into port.\That's terrible...\In their eyes, I'm a traitor.\They may never forgive me. response:	But...
context: If you don't feel like practicin', I'm goin' home.\What's all the fuss about?\I guess college students from Tokyo and all over have come to demonstrate\against letting the nuclear aircraft carrier into port.\That's terrible...\In their eyes, I'm a traitor.\They may never forgive me.\But... response:	Using a different method than them...
context: What's all the fuss about?\I guess college students from Tokyo and all over have come to demonstrate\against letting the nuclear aircraft carrier into port.\That's terrible...\In their eyes, I'm a traitor.\They may never forgive me.\But...\Using a different method than them... response:	Oh, you're here, Richie.
context: I guess college students from Tokyo and all over have come to demonstrate\against letting the nuclear aircraft carrier into port.\That's terrible...\In their eyes, I'm a traitor.\They may never forgive me.\But...\Using a different method than them...\Oh, you're here, Richie. response:	Here, eat.
context: against letting the nuclear aircraft carrier into port.\That's terrible...\In their eyes, I'm a traitor.\They may never forgive me.\But...\Using a different method than them...\Oh, you're here, Richie.\Here, eat. response:	I made it myself, so it might be a little salty...
context: That's terrible...\In their eyes, I'm a traitor.\They may never forgive me.\But...\Using a different method than them...\Oh, you're here, Richie.\Here, eat.\I made it myself, so it might be a little salty... response:	But if you're not gonna eat it, I will.
context: In their eyes, I'm a traitor.\They may never forgive me.\But...\Using a different method than them...\Oh, you're here, Richie.\Here, eat.\I made it myself, so it might be a little salty...\But if you're not gonna eat it, I will. response:	Is this any time to be eating?!
context: They may never forgive me.\But...\Using a different method than them...\Oh, you're here, Richie.\Here, eat.\I made it myself, so it might be a little salty...\But if you're not gonna eat it, I will.\Is this any time to be eating?! response:	Did you forget what I said last time?!
context: But...\Using a different method than them...\Oh, you're here, Richie.\Here, eat.\I made it myself, so it might be a little salty...\But if you're not gonna eat it, I will.\Is this any time to be eating?!\Did you forget what I said last time?! response:	What are you talkin' about?
context: Using a different method than them...\Oh, you're here, Richie.\Here, eat.\I made it myself, so it might be a little salty...\But if you're not gonna eat it, I will.\Is this any time to be eating?!\Did you forget what I said last time?!\What are you talkin' about? response:	Don't play dumb! Are you going to be stubborn'til it's too late?!
context: Oh, you're here, Richie.\Here, eat.\I made it myself, so it might be a little salty...\But if you're not gonna eat it, I will.\Is this any time to be eating?!\Did you forget what I said last time?!\What are you talkin' about?\Don't play dumb! Are you going to be stubborn'til it's too late?! response:	Brother Jun is leaving this town today or tomorrow!
context: Here, eat.\I made it myself, so it might be a little salty...\But if you're not gonna eat it, I will.\Is this any time to be eating?!\Did you forget what I said last time?!\What are you talkin' about?\Don't play dumb! Are you going to be stubborn'til it's too late?!\Brother Jun is leaving this town today or tomorrow! response:	It's today.
context: I made it myself, so it might be a little salty...\But if you're not gonna eat it, I will.\Is this any time to be eating?!\Did you forget what I said last time?!\What are you talkin' about?\Don't play dumb! Are you going to be stubborn'til it's too late?!\Brother Jun is leaving this town today or tomorrow!\It's today. response:	I'm taking the night train, Kaoru-kun.
context: But if you're not gonna eat it, I will.\Is this any time to be eating?!\Did you forget what I said last time?!\What are you talkin' about?\Don't play dumb! Are you going to be stubborn'til it's too late?!\Brother Jun is leaving this town today or tomorrow!\It's today.\I'm taking the night train, Kaoru-kun. response:	Sen-boy, this was rather old-fashioned of you.
context: Is this any time to be eating?!\Did you forget what I said last time?!\What are you talkin' about?\Don't play dumb! Are you going to be stubborn'til it's too late?!\Brother Jun is leaving this town today or tomorrow!\It's today.\I'm taking the night train, Kaoru-kun.\Sen-boy, this was rather old-fashioned of you. response:	Letter of Challenge
context: Did you forget what I said last time?!\What are you talkin' about?\Don't play dumb! Are you going to be stubborn'til it's too late?!\Brother Jun is leaving this town today or tomorrow!\It's today.\I'm taking the night train, Kaoru-kun.\Sen-boy, this was rather old-fashioned of you.\Letter of Challenge response:	I thought it was some kind of joke.
context: What are you talkin' about?\Don't play dumb! Are you going to be stubborn'til it's too late?!\Brother Jun is leaving this town today or tomorrow!\It's today.\I'm taking the night train, Kaoru-kun.\Sen-boy, this was rather old-fashioned of you.\Letter of Challenge\I thought it was some kind of joke. response:	It's no joke.
