context: Signs response:	Openingz
context: So the 34th unit was nearly wiped out...\If we fight the Titans, we'll end up like them.\I'm sorry, Mikasa.\Eren died in my stead...\I couldn't do anything!\I'm so sorry!\Armin.\Take a deep breath. response:	This isn't the time to be emotional.
context: If we fight the Titans, we'll end up like them.\I'm sorry, Mikasa.\Eren died in my stead...\I couldn't do anything!\I'm so sorry!\Armin.\Take a deep breath.\This isn't the time to be emotional. response:	Stand up.
context: I'm sorry, Mikasa.\Eren died in my stead...\I couldn't do anything!\I'm so sorry!\Armin.\Take a deep breath.\This isn't the time to be emotional.\Stand up. response:	Marco.
context: Eren died in my stead...\I couldn't do anything!\I'm so sorry!\Armin.\Take a deep breath.\This isn't the time to be emotional.\Stand up.\Marco. response:	If we take out the Titans around the HQ,
context: I couldn't do anything!\I'm so sorry!\Armin.\Take a deep breath.\This isn't the time to be emotional.\Stand up.\Marco.\If we take out the Titans around the HQ, response:	we can replenish our gas supplies and climb the wall.
context: I'm so sorry!\Armin.\Take a deep breath.\This isn't the time to be emotional.\Stand up.\Marco.\If we take out the Titans around the HQ,\we can replenish our gas supplies and climb the wall. response:	Does that sound correct?
context: Armin.\Take a deep breath.\This isn't the time to be emotional.\Stand up.\Marco.\If we take out the Titans around the HQ,\we can replenish our gas supplies and climb the wall.\Does that sound correct? response:	Yeah...
context: Take a deep breath.\This isn't the time to be emotional.\Stand up.\Marco.\If we take out the Titans around the HQ,\we can replenish our gas supplies and climb the wall.\Does that sound correct?\Yeah... response:	But even if you're with us, there's just too many...
context: This isn't the time to be emotional.\Stand up.\Marco.\If we take out the Titans around the HQ,\we can replenish our gas supplies and climb the wall.\Does that sound correct?\Yeah...\But even if you're with us, there's just too many... response:	We can do it.
context: Stand up.\Marco.\If we take out the Titans around the HQ,\we can replenish our gas supplies and climb the wall.\Does that sound correct?\Yeah...\But even if you're with us, there's just too many...\We can do it. response:	I'm strong.
context: Marco.\If we take out the Titans around the HQ,\we can replenish our gas supplies and climb the wall.\Does that sound correct?\Yeah...\But even if you're with us, there's just too many...\We can do it.\I'm strong. response:	Stronger than all of you.
context: If we take out the Titans around the HQ,\we can replenish our gas supplies and climb the wall.\Does that sound correct?\Yeah...\But even if you're with us, there's just too many...\We can do it.\I'm strong.\Stronger than all of you. response:	Extremely strong.
context: we can replenish our gas supplies and climb the wall.\Does that sound correct?\Yeah...\But even if you're with us, there's just too many...\We can do it.\I'm strong.\Stronger than all of you.\Extremely strong. response:	I can kill all those Titans there.
context: Does that sound correct?\Yeah...\But even if you're with us, there's just too many...\We can do it.\I'm strong.\Stronger than all of you.\Extremely strong.\I can kill all those Titans there. response:	Even if I'm alone.
context: Yeah...\But even if you're with us, there's just too many...\We can do it.\I'm strong.\Stronger than all of you.\Extremely strong.\I can kill all those Titans there.\Even if I'm alone. response:	You're either incompetent or you're spineless cowards.
context: But even if you're with us, there's just too many...\We can do it.\I'm strong.\Stronger than all of you.\Extremely strong.\I can kill all those Titans there.\Even if I'm alone.\You're either incompetent or you're spineless cowards. response:	How pathetic.
context: We can do it.\I'm strong.\Stronger than all of you.\Extremely strong.\I can kill all those Titans there.\Even if I'm alone.\You're either incompetent or you're spineless cowards.\How pathetic. response:	You can sit here and suck on your fingers. Yeah, do that.
context: I'm strong.\Stronger than all of you.\Extremely strong.\I can kill all those Titans there.\Even if I'm alone.\You're either incompetent or you're spineless cowards.\How pathetic.\You can sit here and suck on your fingers. Yeah, do that. response:	Hey, Mikasa! What are you saying?
context: Stronger than all of you.\Extremely strong.\I can kill all those Titans there.\Even if I'm alone.\You're either incompetent or you're spineless cowards.\How pathetic.\You can sit here and suck on your fingers. Yeah, do that.\Hey, Mikasa! What are you saying? response:	You want to fight all those Titans by yourself?
context: Extremely strong.\I can kill all those Titans there.\Even if I'm alone.\You're either incompetent or you're spineless cowards.\How pathetic.\You can sit here and suck on your fingers. Yeah, do that.\Hey, Mikasa! What are you saying?\You want to fight all those Titans by yourself? response:	There's no way you can do that!
context: I can kill all those Titans there.\Even if I'm alone.\You're either incompetent or you're spineless cowards.\How pathetic.\You can sit here and suck on your fingers. Yeah, do that.\Hey, Mikasa! What are you saying?\You want to fight all those Titans by yourself?\There's no way you can do that! response:	If I can't, then I'll just die.
context: Even if I'm alone.\You're either incompetent or you're spineless cowards.\How pathetic.\You can sit here and suck on your fingers. Yeah, do that.\Hey, Mikasa! What are you saying?\You want to fight all those Titans by yourself?\There's no way you can do that!\If I can't, then I'll just die. response:	But if I win, I live.
context: You're either incompetent or you're spineless cowards.\How pathetic.\You can sit here and suck on your fingers. Yeah, do that.\Hey, Mikasa! What are you saying?\You want to fight all those Titans by yourself?\There's no way you can do that!\If I can't, then I'll just die.\But if I win, I live. response:	Unless I fight, I cannot win.
context: How pathetic.\You can sit here and suck on your fingers. Yeah, do that.\Hey, Mikasa! What are you saying?\You want to fight all those Titans by yourself?\There's no way you can do that!\If I can't, then I'll just die.\But if I win, I live.\Unless I fight, I cannot win. response:	Hey!
context: You can sit here and suck on your fingers. Yeah, do that.\Hey, Mikasa! What are you saying?\You want to fight all those Titans by yourself?\There's no way you can do that!\If I can't, then I'll just die.\But if I win, I live.\Unless I fight, I cannot win.\Hey! response:	Your oratory skills are what's pathetic.
context: Hey, Mikasa! What are you saying?\You want to fight all those Titans by yourself?\There's no way you can do that!\If I can't, then I'll just die.\But if I win, I live.\Unless I fight, I cannot win.\Hey!\Your oratory skills are what's pathetic. response:	Was the point of that to shock us into action?
context: You want to fight all those Titans by yourself?\There's no way you can do that!\If I can't, then I'll just die.\But if I win, I live.\Unless I fight, I cannot win.\Hey!\Your oratory skills are what's pathetic.\Was the point of that to shock us into action? response:	It's all your fault, Eren!
context: There's no way you can do that!\If I can't, then I'll just die.\But if I win, I live.\Unless I fight, I cannot win.\Hey!\Your oratory skills are what's pathetic.\Was the point of that to shock us into action?\It's all your fault, Eren! response:	Hey! Were we trained to let our comrades fight alone?!
context: If I can't, then I'll just die.\But if I win, I live.\Unless I fight, I cannot win.\Hey!\Your oratory skills are what's pathetic.\Was the point of that to shock us into action?\It's all your fault, Eren!\Hey! Were we trained to let our comrades fight alone?! response:	At this rate, we're going to turn out to be spineless cowards!
context: But if I win, I live.\Unless I fight, I cannot win.\Hey!\Your oratory skills are what's pathetic.\Was the point of that to shock us into action?\It's all your fault, Eren!\Hey! Were we trained to let our comrades fight alone?!\At this rate, we're going to turn out to be spineless cowards! response:	I'm surprised I'd hear him say that.
context: Unless I fight, I cannot win.\Hey!\Your oratory skills are what's pathetic.\Was the point of that to shock us into action?\It's all your fault, Eren!\Hey! Were we trained to let our comrades fight alone?!\At this rate, we're going to turn out to be spineless cowards!\I'm surprised I'd hear him say that. response:	Hey!
context: Hey!\Your oratory skills are what's pathetic.\Was the point of that to shock us into action?\It's all your fault, Eren!\Hey! Were we trained to let our comrades fight alone?!\At this rate, we're going to turn out to be spineless cowards!\I'm surprised I'd hear him say that.\Hey! response:	Cowards! Weaklings! Retards!
context: Your oratory skills are what's pathetic.\Was the point of that to shock us into action?\It's all your fault, Eren!\Hey! Were we trained to let our comrades fight alone?!\At this rate, we're going to turn out to be spineless cowards!\I'm surprised I'd hear him say that.\Hey!\Cowards! Weaklings! Retards! response:	They're nuts...
context: Was the point of that to shock us into action?\It's all your fault, Eren!\Hey! Were we trained to let our comrades fight alone?!\At this rate, we're going to turn out to be spineless cowards!\I'm surprised I'd hear him say that.\Hey!\Cowards! Weaklings! Retards!\They're nuts... response:	Dammit!
context: It's all your fault, Eren!\Hey! Were we trained to let our comrades fight alone?!\At this rate, we're going to turn out to be spineless cowards!\I'm surprised I'd hear him say that.\Hey!\Cowards! Weaklings! Retards!\They're nuts...\Dammit! response:	Let's do it!
context: Hey! Were we trained to let our comrades fight alone?!\At this rate, we're going to turn out to be spineless cowards!\I'm surprised I'd hear him say that.\Hey!\Cowards! Weaklings! Retards!\They're nuts...\Dammit!\Let's do it! response:	Hurry! Follow Mikasa!
context: At this rate, we're going to turn out to be spineless cowards!\I'm surprised I'd hear him say that.\Hey!\Cowards! Weaklings! Retards!\They're nuts...\Dammit!\Let's do it!\Hurry! Follow Mikasa! response:	Let's keep this fight short!
context: I'm surprised I'd hear him say that.\Hey!\Cowards! Weaklings! Retards!\They're nuts...\Dammit!\Let's do it!\Hurry! Follow Mikasa!\Let's keep this fight short! response:	We need to kill them all before we run out of gas!
context: Hey!\Cowards! Weaklings! Retards!\They're nuts...\Dammit!\Let's do it!\Hurry! Follow Mikasa!\Let's keep this fight short!\We need to kill them all before we run out of gas! response:	Mikasa's just amazing.
context: Cowards! Weaklings! Retards!\They're nuts...\Dammit!\Let's do it!\Hurry! Follow Mikasa!\Let's keep this fight short!\We need to kill them all before we run out of gas!\Mikasa's just amazing. response:	How can she move that fast?
context: They're nuts...\Dammit!\Let's do it!\Hurry! Follow Mikasa!\Let's keep this fight short!\We need to kill them all before we run out of gas!\Mikasa's just amazing.\How can she move that fast? response:	She's using too much gas.
context: Dammit!\Let's do it!\Hurry! Follow Mikasa!\Let's keep this fight short!\We need to kill them all before we run out of gas!\Mikasa's just amazing.\How can she move that fast?\She's using too much gas. response:	She'll run out right away.
context: Let's do it!\Hurry! Follow Mikasa!\Let's keep this fight short!\We need to kill them all before we run out of gas!\Mikasa's just amazing.\How can she move that fast?\She's using too much gas.\She'll run out right away. response:	I don't care how skilled she is...
context: Hurry! Follow Mikasa!\Let's keep this fight short!\We need to kill them all before we run out of gas!\Mikasa's just amazing.\How can she move that fast?\She's using too much gas.\She'll run out right away.\I don't care how skilled she is... response:	Without our agility, we can't do anything!
context: Let's keep this fight short!\We need to kill them all before we run out of gas!\Mikasa's just amazing.\How can she move that fast?\She's using too much gas.\She'll run out right away.\I don't care how skilled she is...\Without our agility, we can't do anything! response:	She's not in her usual cool-headed state...
context: We need to kill them all before we run out of gas!\Mikasa's just amazing.\How can she move that fast?\She's using too much gas.\She'll run out right away.\I don't care how skilled she is...\Without our agility, we can't do anything!\She's not in her usual cool-headed state... response:	She wants to drown out her pain through action.
context: Mikasa's just amazing.\How can she move that fast?\She's using too much gas.\She'll run out right away.\I don't care how skilled she is...\Without our agility, we can't do anything!\She's not in her usual cool-headed state...\She wants to drown out her pain through action. response:	If she keeps this up...
context: How can she move that fast?\She's using too much gas.\She'll run out right away.\I don't care how skilled she is...\Without our agility, we can't do anything!\She's not in her usual cool-headed state...\She wants to drown out her pain through action.\If she keeps this up... response:	Mikasa!
context: She's using too much gas.\She'll run out right away.\I don't care how skilled she is...\Without our agility, we can't do anything!\She's not in her usual cool-headed state...\She wants to drown out her pain through action.\If she keeps this up...\Mikasa! response:	Dammit!
context: She'll run out right away.\I don't care how skilled she is...\Without our agility, we can't do anything!\She's not in her usual cool-headed state...\She wants to drown out her pain through action.\If she keeps this up...\Mikasa!\Dammit! response:	Jean! You lead the others!
context: I don't care how skilled she is...\Without our agility, we can't do anything!\She's not in her usual cool-headed state...\She wants to drown out her pain through action.\If she keeps this up...\Mikasa!\Dammit!\Jean! You lead the others! response:	I'll go with Armin!
context: Without our agility, we can't do anything!\She's not in her usual cool-headed state...\She wants to drown out her pain through action.\If she keeps this up...\Mikasa!\Dammit!\Jean! You lead the others!\I'll go with Armin! response:	I'm coming with you!
context: She's not in her usual cool-headed state...\She wants to drown out her pain through action.\If she keeps this up...\Mikasa!\Dammit!\Jean! You lead the others!\I'll go with Armin!\I'm coming with you! response:	What are you talking about?!
context: She wants to drown out her pain through action.\If she keeps this up...\Mikasa!\Dammit!\Jean! You lead the others!\I'll go with Armin!\I'm coming with you!\What are you talking about?! response:	There are more Titans left!
context: If she keeps this up...\Mikasa!\Dammit!\Jean! You lead the others!\I'll go with Armin!\I'm coming with you!\What are you talking about?!\There are more Titans left! response:	We need your skills!
context: Mikasa!\Dammit!\Jean! You lead the others!\I'll go with Armin!\I'm coming with you!\What are you talking about?!\There are more Titans left!\We need your skills! response:	Again...
context: Dammit!\Jean! You lead the others!\I'll go with Armin!\I'm coming with you!\What are you talking about?!\There are more Titans left!\We need your skills!\Again... response:	It happened again.
context: Jean! You lead the others!\I'll go with Armin!\I'm coming with you!\What are you talking about?!\There are more Titans left!\We need your skills!\Again...\It happened again. response:	I lost my family once again...
context: I'll go with Armin!\I'm coming with you!\What are you talking about?!\There are more Titans left!\We need your skills!\Again...\It happened again.\I lost my family once again... response:	This pain is familiar.
context: I'm coming with you!\What are you talking about?!\There are more Titans left!\We need your skills!\Again...\It happened again.\I lost my family once again...\This pain is familiar. response:	Will I have to start fresh once again?
context: What are you talking about?!\There are more Titans left!\We need your skills!\Again...\It happened again.\I lost my family once again...\This pain is familiar.\Will I have to start fresh once again? response:	It's no good.
context: There are more Titans left!\We need your skills!\Again...\It happened again.\I lost my family once again...\This pain is familiar.\Will I have to start fresh once again?\It's no good. response:	We won't get close to the HQ...
context: We need your skills!\Again...\It happened again.\I lost my family once again...\This pain is familiar.\Will I have to start fresh once again?\It's no good.\We won't get close to the HQ... response:	Unless we're prepared to make sacrifices.
context: Again...\It happened again.\I lost my family once again...\This pain is familiar.\Will I have to start fresh once again?\It's no good.\We won't get close to the HQ...\Unless we're prepared to make sacrifices. response:	Damn!
context: It happened again.\I lost my family once again...\This pain is familiar.\Will I have to start fresh once again?\It's no good.\We won't get close to the HQ...\Unless we're prepared to make sacrifices.\Damn! response:	He's outta gas!
context: I lost my family once again...\This pain is familiar.\Will I have to start fresh once again?\It's no good.\We won't get close to the HQ...\Unless we're prepared to make sacrifices.\Damn!\He's outta gas! response:	Stay away!
context: This pain is familiar.\Will I have to start fresh once again?\It's no good.\We won't get close to the HQ...\Unless we're prepared to make sacrifices.\Damn!\He's outta gas!\Stay away! response:	Tom! I'm going to save you!
context: Will I have to start fresh once again?\It's no good.\We won't get close to the HQ...\Unless we're prepared to make sacrifices.\Damn!\He's outta gas!\Stay away!\Tom! I'm going to save you! response:	Stop! You can't!
context: It's no good.\We won't get close to the HQ...\Unless we're prepared to make sacrifices.\Damn!\He's outta gas!\Stay away!\Tom! I'm going to save you!\Stop! You can't! response:	Stop!
context: We won't get close to the HQ...\Unless we're prepared to make sacrifices.\Damn!\He's outta gas!\Stay away!\Tom! I'm going to save you!\Stop! You can't!\Stop! response:	Why couldn't I stop them?
context: Unless we're prepared to make sacrifices.\Damn!\He's outta gas!\Stay away!\Tom! I'm going to save you!\Stop! You can't!\Stop!\Why couldn't I stop them? response:	Why didn't I stop them?
context: Damn!\He's outta gas!\Stay away!\Tom! I'm going to save you!\Stop! You can't!\Stop!\Why couldn't I stop them?\Why didn't I stop them? response:	If I had stopped them, even if by force...
context: He's outta gas!\Stay away!\Tom! I'm going to save you!\Stop! You can't!\Stop!\Why couldn't I stop them?\Why didn't I stop them?\If I had stopped them, even if by force... response:	This wouldn't happen.
context: Stay away!\Tom! I'm going to save you!\Stop! You can't!\Stop!\Why couldn't I stop them?\Why didn't I stop them?\If I had stopped them, even if by force...\This wouldn't happen. response:	Am I really cut out for this?
context: Tom! I'm going to save you!\Stop! You can't!\Stop!\Why couldn't I stop them?\Why didn't I stop them?\If I had stopped them, even if by force...\This wouldn't happen.\Am I really cut out for this? response:	Am I really cut out for a position with so much responsibility?
context: Stop! You can't!\Stop!\Why couldn't I stop them?\Why didn't I stop them?\If I had stopped them, even if by force...\This wouldn't happen.\Am I really cut out for this?\Am I really cut out for a position with so much responsibility? response:	Stop! I don't want to die!
context: Stop!\Why couldn't I stop them?\Why didn't I stop them?\If I had stopped them, even if by force...\This wouldn't happen.\Am I really cut out for this?\Am I really cut out for a position with so much responsibility?\Stop! I don't want to die! response:	This world is merciless...
context: Why couldn't I stop them?\Why didn't I stop them?\If I had stopped them, even if by force...\This wouldn't happen.\Am I really cut out for this?\Am I really cut out for a position with so much responsibility?\Stop! I don't want to die!\This world is merciless... response:	And it's also very beautiful.
context: Why didn't I stop them?\If I had stopped them, even if by force...\This wouldn't happen.\Am I really cut out for this?\Am I really cut out for a position with so much responsibility?\Stop! I don't want to die!\This world is merciless...\And it's also very beautiful. response:	I lived a good life.
context: If I had stopped them, even if by force...\This wouldn't happen.\Am I really cut out for this?\Am I really cut out for a position with so much responsibility?\Stop! I don't want to die!\This world is merciless...\And it's also very beautiful.\I lived a good life. response:	Huh?
context: This wouldn't happen.\Am I really cut out for this?\Am I really cut out for a position with so much responsibility?\Stop! I don't want to die!\This world is merciless...\And it's also very beautiful.\I lived a good life.\Huh? response:	Why?
context: Am I really cut out for this?\Am I really cut out for a position with so much responsibility?\Stop! I don't want to die!\This world is merciless...\And it's also very beautiful.\I lived a good life.\Huh?\Why? response:	I thought I'd given up.
context: Am I really cut out for a position with so much responsibility?\Stop! I don't want to die!\This world is merciless...\And it's also very beautiful.\I lived a good life.\Huh?\Why?\I thought I'd given up. response:	Why am I standing?
context: Stop! I don't want to die!\This world is merciless...\And it's also very beautiful.\I lived a good life.\Huh?\Why?\I thought I'd given up.\Why am I standing? response:	Why am I struggling?
context: This world is merciless...\And it's also very beautiful.\I lived a good life.\Huh?\Why?\I thought I'd given up.\Why am I standing?\Why am I struggling? response:	Why?
context: And it's also very beautiful.\I lived a good life.\Huh?\Why?\I thought I'd given up.\Why am I standing?\Why am I struggling?\Why? response:	My life has no meaning anymore.
context: I lived a good life.\Huh?\Why?\I thought I'd given up.\Why am I standing?\Why am I struggling?\Why?\My life has no meaning anymore. response:	What's keeping me going?
context: Huh?\Why?\I thought I'd given up.\Why am I standing?\Why am I struggling?\Why?\My life has no meaning anymore.\What's keeping me going? response:	Fight!
context: Why?\I thought I'd given up.\Why am I standing?\Why am I struggling?\Why?\My life has no meaning anymore.\What's keeping me going?\Fight! response:	Fight!
context: I thought I'd given up.\Why am I standing?\Why am I struggling?\Why?\My life has no meaning anymore.\What's keeping me going?\Fight!\Fight! response:	Fight!
context: Why am I standing?\Why am I struggling?\Why?\My life has no meaning anymore.\What's keeping me going?\Fight!\Fight!\Fight! response:	Eren...
context: Why am I struggling?\Why?\My life has no meaning anymore.\What's keeping me going?\Fight!\Fight!\Fight!\Eren... response:	Fight!
context: Why?\My life has no meaning anymore.\What's keeping me going?\Fight!\Fight!\Fight!\Eren...\Fight! response:	You must fight!
context: My life has no meaning anymore.\What's keeping me going?\Fight!\Fight!\Fight!\Eren...\Fight!\You must fight! response:	Fight!
context: What's keeping me going?\Fight!\Fight!\Fight!\Eren...\Fight!\You must fight!\Fight! response:	Fight!
context: Fight!\Fight!\Fight!\Eren...\Fight!\You must fight!\Fight!\Fight! response:	I'm sorry, Eren.
context: Fight!\Fight!\Eren...\Fight!\You must fight!\Fight!\Fight!\I'm sorry, Eren. response:	I won't give up.
context: Fight!\Eren...\Fight!\You must fight!\Fight!\Fight!\I'm sorry, Eren.\I won't give up. response:	I'll never give up again.
context: Eren...\Fight!\You must fight!\Fight!\Fight!\I'm sorry, Eren.\I won't give up.\I'll never give up again. response:	If I died, I won't be able to remember you.
context: Fight!\You must fight!\Fight!\Fight!\I'm sorry, Eren.\I won't give up.\I'll never give up again.\If I died, I won't be able to remember you. response:	So I'll win, no matter what!
context: You must fight!\Fight!\Fight!\I'm sorry, Eren.\I won't give up.\I'll never give up again.\If I died, I won't be able to remember you.\So I'll win, no matter what! response:	I'll survive, no matter what!
context: Fight!\Fight!\I'm sorry, Eren.\I won't give up.\I'll never give up again.\If I died, I won't be able to remember you.\So I'll win, no matter what!\I'll survive, no matter what! response:	What's going on?
context: Fight!\I'm sorry, Eren.\I won't give up.\I'll never give up again.\If I died, I won't be able to remember you.\So I'll win, no matter what!\I'll survive, no matter what!\What's going on? response:	A Titan...
context: I'm sorry, Eren.\I won't give up.\I'll never give up again.\If I died, I won't be able to remember you.\So I'll win, no matter what!\I'll survive, no matter what!\What's going on?\A Titan... response:	is killing...
context: I won't give up.\I'll never give up again.\If I died, I won't be able to remember you.\So I'll win, no matter what!\I'll survive, no matter what!\What's going on?\A Titan...\is killing... response:	another Titan...
context: I'll never give up again.\If I died, I won't be able to remember you.\So I'll win, no matter what!\I'll survive, no matter what!\What's going on?\A Titan...\is killing...\another Titan... response:	Please be all right, Mikasa!
context: If I died, I won't be able to remember you.\So I'll win, no matter what!\I'll survive, no matter what!\What's going on?\A Titan...\is killing...\another Titan...\Please be all right, Mikasa! response:	Mikasa!
context: So I'll win, no matter what!\I'll survive, no matter what!\What's going on?\A Titan...\is killing...\another Titan...\Please be all right, Mikasa!\Mikasa! response:	Mikasa, are you hurt?
context: I'll survive, no matter what!\What's going on?\A Titan...\is killing...\another Titan...\Please be all right, Mikasa!\Mikasa!\Mikasa, are you hurt? response:	Are you guys okay?!
context: What's going on?\A Titan...\is killing...\another Titan...\Please be all right, Mikasa!\Mikasa!\Mikasa, are you hurt?\Are you guys okay?! response:	Yeah!
context: A Titan...\is killing...\another Titan...\Please be all right, Mikasa!\Mikasa!\Mikasa, are you hurt?\Are you guys okay?!\Yeah! response:	We must get going!
context: is killing...\another Titan...\Please be all right, Mikasa!\Mikasa!\Mikasa, are you hurt?\Are you guys okay?!\Yeah!\We must get going! response:	Shit! This is bad!
context: another Titan...\Please be all right, Mikasa!\Mikasa!\Mikasa, are you hurt?\Are you guys okay?!\Yeah!\We must get going!\Shit! This is bad! response:	There are two 15 meter classes!
context: Please be all right, Mikasa!\Mikasa!\Mikasa, are you hurt?\Are you guys okay?!\Yeah!\We must get going!\Shit! This is bad!\There are two 15 meter classes! response:	No... That Titan's...
context: Mikasa!\Mikasa, are you hurt?\Are you guys okay?!\Yeah!\We must get going!\Shit! This is bad!\There are two 15 meter classes!\No... That Titan's... response:	It finished the other Titan off?
context: Mikasa, are you hurt?\Are you guys okay?!\Yeah!\We must get going!\Shit! This is bad!\There are two 15 meter classes!\No... That Titan's...\It finished the other Titan off? response:	It knew of a Titan's weak point?
context: Are you guys okay?!\Yeah!\We must get going!\Shit! This is bad!\There are two 15 meter classes!\No... That Titan's...\It finished the other Titan off?\It knew of a Titan's weak point? response:	We must get going before it comes this way!
context: Yeah!\We must get going!\Shit! This is bad!\There are two 15 meter classes!\No... That Titan's...\It finished the other Titan off?\It knew of a Titan's weak point?\We must get going before it comes this way! response:	No. It doesn't care about us.
context: We must get going!\Shit! This is bad!\There are two 15 meter classes!\No... That Titan's...\It finished the other Titan off?\It knew of a Titan's weak point?\We must get going before it comes this way!\No. It doesn't care about us. response:	It could've attacked us long ago.
context: Shit! This is bad!\There are two 15 meter classes!\No... That Titan's...\It finished the other Titan off?\It knew of a Titan's weak point?\We must get going before it comes this way!\No. It doesn't care about us.\It could've attacked us long ago. response:	It seemed like it had an idea of how to perform hand-to-hand combat.
context: There are two 15 meter classes!\No... That Titan's...\It finished the other Titan off?\It knew of a Titan's weak point?\We must get going before it comes this way!\No. It doesn't care about us.\It could've attacked us long ago.\It seemed like it had an idea of how to perform hand-to-hand combat. response:	What was that?!
context: No... That Titan's...\It finished the other Titan off?\It knew of a Titan's weak point?\We must get going before it comes this way!\No. It doesn't care about us.\It could've attacked us long ago.\It seemed like it had an idea of how to perform hand-to-hand combat.\What was that?! response:	Just consider it an abnormal!
context: It finished the other Titan off?\It knew of a Titan's weak point?\We must get going before it comes this way!\No. It doesn't care about us.\It could've attacked us long ago.\It seemed like it had an idea of how to perform hand-to-hand combat.\What was that?!\Just consider it an abnormal! response:	There's just too much we don't know.
context: It knew of a Titan's weak point?\We must get going before it comes this way!\No. It doesn't care about us.\It could've attacked us long ago.\It seemed like it had an idea of how to perform hand-to-hand combat.\What was that?!\Just consider it an abnormal!\There's just too much we don't know. response:	Anyway, we must hurry to the HQ!
context: We must get going before it comes this way!\No. It doesn't care about us.\It could've attacked us long ago.\It seemed like it had an idea of how to perform hand-to-hand combat.\What was that?!\Just consider it an abnormal!\There's just too much we don't know.\Anyway, we must hurry to the HQ! response:	Wait!
context: No. It doesn't care about us.\It could've attacked us long ago.\It seemed like it had an idea of how to perform hand-to-hand combat.\What was that?!\Just consider it an abnormal!\There's just too much we don't know.\Anyway, we must hurry to the HQ!\Wait! response:	Mikasa's out of gas!
context: It could've attacked us long ago.\It seemed like it had an idea of how to perform hand-to-hand combat.\What was that?!\Just consider it an abnormal!\There's just too much we don't know.\Anyway, we must hurry to the HQ!\Wait!\Mikasa's out of gas! response:	Huh?! Are you fucking kidding me?!
context: It seemed like it had an idea of how to perform hand-to-hand combat.\What was that?!\Just consider it an abnormal!\There's just too much we don't know.\Anyway, we must hurry to the HQ!\Wait!\Mikasa's out of gas!\Huh?! Are you fucking kidding me?! response:	What are we gonna do without you?!
context: What was that?!\Just consider it an abnormal!\There's just too much we don't know.\Anyway, we must hurry to the HQ!\Wait!\Mikasa's out of gas!\Huh?! Are you fucking kidding me?!\What are we gonna do without you?! response:	It's obvious what we need to do.
context: Just consider it an abnormal!\There's just too much we don't know.\Anyway, we must hurry to the HQ!\Wait!\Mikasa's out of gas!\Huh?! Are you fucking kidding me?!\What are we gonna do without you?!\It's obvious what we need to do. response:	I don't have much gas left...
context: There's just too much we don't know.\Anyway, we must hurry to the HQ!\Wait!\Mikasa's out of gas!\Huh?! Are you fucking kidding me?!\What are we gonna do without you?!\It's obvious what we need to do.\I don't have much gas left... response:	You can take mine.
context: Anyway, we must hurry to the HQ!\Wait!\Mikasa's out of gas!\Huh?! Are you fucking kidding me?!\What are we gonna do without you?!\It's obvious what we need to do.\I don't have much gas left...\You can take mine. response:	Armin?!
context: Wait!\Mikasa's out of gas!\Huh?! Are you fucking kidding me?!\What are we gonna do without you?!\It's obvious what we need to do.\I don't have much gas left...\You can take mine.\Armin?! response:	There's no other choice!
context: Mikasa's out of gas!\Huh?! Are you fucking kidding me?!\What are we gonna do without you?!\It's obvious what we need to do.\I don't have much gas left...\You can take mine.\Armin?!\There's no other choice! response:	The gas is useless on me.
context: Huh?! Are you fucking kidding me?!\What are we gonna do without you?!\It's obvious what we need to do.\I don't have much gas left...\You can take mine.\Armin?!\There's no other choice!\The gas is useless on me. response:	But please use it carefully this time.
context: What are we gonna do without you?!\It's obvious what we need to do.\I don't have much gas left...\You can take mine.\Armin?!\There's no other choice!\The gas is useless on me.\But please use it carefully this time. response:	You must save everyone.
context: It's obvious what we need to do.\I don't have much gas left...\You can take mine.\Armin?!\There's no other choice!\The gas is useless on me.\But please use it carefully this time.\You must save everyone. response:	I moved in without the determination to shoulder their lives.
context: I don't have much gas left...\You can take mine.\Armin?!\There's no other choice!\The gas is useless on me.\But please use it carefully this time.\You must save everyone.\I moved in without the determination to shoulder their lives. response:	I even gave up on my life without realizing the responsibility I held.
context: You can take mine.\Armin?!\There's no other choice!\The gas is useless on me.\But please use it carefully this time.\You must save everyone.\I moved in without the determination to shoulder their lives.\I even gave up on my life without realizing the responsibility I held. response:	And it was all due to my own issues.
context: Armin?!\There's no other choice!\The gas is useless on me.\But please use it carefully this time.\You must save everyone.\I moved in without the determination to shoulder their lives.\I even gave up on my life without realizing the responsibility I held.\And it was all due to my own issues. response:	I...
context: There's no other choice!\The gas is useless on me.\But please use it carefully this time.\You must save everyone.\I moved in without the determination to shoulder their lives.\I even gave up on my life without realizing the responsibility I held.\And it was all due to my own issues.\I... response:	All right!
context: The gas is useless on me.\But please use it carefully this time.\You must save everyone.\I moved in without the determination to shoulder their lives.\I even gave up on my life without realizing the responsibility I held.\And it was all due to my own issues.\I...\All right! response:	Your maneuver gear's good to go.
context: But please use it carefully this time.\You must save everyone.\I moved in without the determination to shoulder their lives.\I even gave up on my life without realizing the responsibility I held.\And it was all due to my own issues.\I...\All right!\Your maneuver gear's good to go. response:	I gave you all of my blades as well.
context: You must save everyone.\I moved in without the determination to shoulder their lives.\I even gave up on my life without realizing the responsibility I held.\And it was all due to my own issues.\I...\All right!\Your maneuver gear's good to go.\I gave you all of my blades as well. response:	Just leave one with me.
