context: In order to conduct a force reconnaissance mission response:	and uncover the secrets behind the Valvraves,
context: Your escape from Dorssiana was amazing.\I can't believe you used a shuttle from a museum.\It may have been preserved in working order,\but it was still a race against the clock.\If it weren't for the schedule I'd worked out down to the second, we-\The return of the Earthfall operation team\seems to have filled the students with both\fresh sadness as well as confidence. response:	Check it out man, we're on TV!
context: I can't believe you used a shuttle from a museum.\It may have been preserved in working order,\but it was still a race against the clock.\If it weren't for the schedule I'd worked out down to the second, we-\The return of the Earthfall operation team\seems to have filled the students with both\fresh sadness as well as confidence.\Check it out man, we're on TV! response:	It's getting the top ratings of any news show, I hear.
context: It may have been preserved in working order,\but it was still a race against the clock.\If it weren't for the schedule I'd worked out down to the second, we-\The return of the Earthfall operation team\seems to have filled the students with both\fresh sadness as well as confidence.\Check it out man, we're on TV!\It's getting the top ratings of any news show, I hear. response:	Even the Beast Up Company had nice things to say about us.
context: but it was still a race against the clock.\If it weren't for the schedule I'd worked out down to the second, we-\The return of the Earthfall operation team\seems to have filled the students with both\fresh sadness as well as confidence.\Check it out man, we're on TV!\It's getting the top ratings of any news show, I hear.\Even the Beast Up Company had nice things to say about us. response:	They say their sales have doubled thanks to us!
context: If it weren't for the schedule I'd worked out down to the second, we-\The return of the Earthfall operation team\seems to have filled the students with both\fresh sadness as well as confidence.\Check it out man, we're on TV!\It's getting the top ratings of any news show, I hear.\Even the Beast Up Company had nice things to say about us.\They say their sales have doubled thanks to us! response:	We've also gotten offers from insurance companies to-
context: The return of the Earthfall operation team\seems to have filled the students with both\fresh sadness as well as confidence.\Check it out man, we're on TV!\It's getting the top ratings of any news show, I hear.\Even the Beast Up Company had nice things to say about us.\They say their sales have doubled thanks to us!\We've also gotten offers from insurance companies to- response:	This is no time to be going on TV.
context: seems to have filled the students with both\fresh sadness as well as confidence.\Check it out man, we're on TV!\It's getting the top ratings of any news show, I hear.\Even the Beast Up Company had nice things to say about us.\They say their sales have doubled thanks to us!\We've also gotten offers from insurance companies to-\This is no time to be going on TV. response:	You saw the Phantom, didn't you?
context: fresh sadness as well as confidence.\Check it out man, we're on TV!\It's getting the top ratings of any news show, I hear.\Even the Beast Up Company had nice things to say about us.\They say their sales have doubled thanks to us!\We've also gotten offers from insurance companies to-\This is no time to be going on TV.\You saw the Phantom, didn't you? response:	Those people have been eating people on a regular basis.
context: Check it out man, we're on TV!\It's getting the top ratings of any news show, I hear.\Even the Beast Up Company had nice things to say about us.\They say their sales have doubled thanks to us!\We've also gotten offers from insurance companies to-\This is no time to be going on TV.\You saw the Phantom, didn't you?\Those people have been eating people on a regular basis. response:	Just like I have!
context: It's getting the top ratings of any news show, I hear.\Even the Beast Up Company had nice things to say about us.\They say their sales have doubled thanks to us!\We've also gotten offers from insurance companies to-\This is no time to be going on TV.\You saw the Phantom, didn't you?\Those people have been eating people on a regular basis.\Just like I have! response:	Relax, Haruto.
context: Even the Beast Up Company had nice things to say about us.\They say their sales have doubled thanks to us!\We've also gotten offers from insurance companies to-\This is no time to be going on TV.\You saw the Phantom, didn't you?\Those people have been eating people on a regular basis.\Just like I have!\Relax, Haruto. response:	And Miss Rukino's still on Earth.
context: They say their sales have doubled thanks to us!\We've also gotten offers from insurance companies to-\This is no time to be going on TV.\You saw the Phantom, didn't you?\Those people have been eating people on a regular basis.\Just like I have!\Relax, Haruto.\And Miss Rukino's still on Earth. response:	And then there's the Magiuses and the Council of 101.
context: We've also gotten offers from insurance companies to-\This is no time to be going on TV.\You saw the Phantom, didn't you?\Those people have been eating people on a regular basis.\Just like I have!\Relax, Haruto.\And Miss Rukino's still on Earth.\And then there's the Magiuses and the Council of 101. response:	We have to do something.
context: This is no time to be going on TV.\You saw the Phantom, didn't you?\Those people have been eating people on a regular basis.\Just like I have!\Relax, Haruto.\And Miss Rukino's still on Earth.\And then there's the Magiuses and the Council of 101.\We have to do something. response:	Where are they?
context: You saw the Phantom, didn't you?\Those people have been eating people on a regular basis.\Just like I have!\Relax, Haruto.\And Miss Rukino's still on Earth.\And then there's the Magiuses and the Council of 101.\We have to do something.\Where are they? response:	Based on what Akira found when she hacked the Phantom,
context: Those people have been eating people on a regular basis.\Just like I have!\Relax, Haruto.\And Miss Rukino's still on Earth.\And then there's the Magiuses and the Council of 101.\We have to do something.\Where are they?\Based on what Akira found when she hacked the Phantom, response:	given the ship's registration number,
context: Just like I have!\Relax, Haruto.\And Miss Rukino's still on Earth.\And then there's the Magiuses and the Council of 101.\We have to do something.\Where are they?\Based on what Akira found when she hacked the Phantom,\given the ship's registration number, response:	there's probably over 100 of the things.
context: Relax, Haruto.\And Miss Rukino's still on Earth.\And then there's the Magiuses and the Council of 101.\We have to do something.\Where are they?\Based on what Akira found when she hacked the Phantom,\given the ship's registration number,\there's probably over 100 of the things. response:	But other than that, we have no intel whatsoever.
context: And Miss Rukino's still on Earth.\And then there's the Magiuses and the Council of 101.\We have to do something.\Where are they?\Based on what Akira found when she hacked the Phantom,\given the ship's registration number,\there's probably over 100 of the things.\But other than that, we have no intel whatsoever. response:	If we can't even pinpoint their location,
context: And then there's the Magiuses and the Council of 101.\We have to do something.\Where are they?\Based on what Akira found when she hacked the Phantom,\given the ship's registration number,\there's probably over 100 of the things.\But other than that, we have no intel whatsoever.\If we can't even pinpoint their location, response:	how do you intend to fight them?
context: We have to do something.\Where are they?\Based on what Akira found when she hacked the Phantom,\given the ship's registration number,\there's probably over 100 of the things.\But other than that, we have no intel whatsoever.\If we can't even pinpoint their location,\how do you intend to fight them? response:	Do you some kind of plan?
context: Where are they?\Based on what Akira found when she hacked the Phantom,\given the ship's registration number,\there's probably over 100 of the things.\But other than that, we have no intel whatsoever.\If we can't even pinpoint their location,\how do you intend to fight them?\Do you some kind of plan? response:	A plan...
context: Based on what Akira found when she hacked the Phantom,\given the ship's registration number,\there's probably over 100 of the things.\But other than that, we have no intel whatsoever.\If we can't even pinpoint their location,\how do you intend to fight them?\Do you some kind of plan?\A plan... response:	Face facts.
context: given the ship's registration number,\there's probably over 100 of the things.\But other than that, we have no intel whatsoever.\If we can't even pinpoint their location,\how do you intend to fight them?\Do you some kind of plan?\A plan...\Face facts. response:	Right now, all we can do is focus
context: there's probably over 100 of the things.\But other than that, we have no intel whatsoever.\If we can't even pinpoint their location,\how do you intend to fight them?\Do you some kind of plan?\A plan...\Face facts.\Right now, all we can do is focus response:	on what we can do and go from there.
context: But other than that, we have no intel whatsoever.\If we can't even pinpoint their location,\how do you intend to fight them?\Do you some kind of plan?\A plan...\Face facts.\Right now, all we can do is focus\on what we can do and go from there. response:	Do you hate being a celebrity?
context: If we can't even pinpoint their location,\how do you intend to fight them?\Do you some kind of plan?\A plan...\Face facts.\Right now, all we can do is focus\on what we can do and go from there.\Do you hate being a celebrity? response:	That's definitely what you kids are.
context: how do you intend to fight them?\Do you some kind of plan?\A plan...\Face facts.\Right now, all we can do is focus\on what we can do and go from there.\Do you hate being a celebrity?\That's definitely what you kids are. response:	But that's all.
context: Do you some kind of plan?\A plan...\Face facts.\Right now, all we can do is focus\on what we can do and go from there.\Do you hate being a celebrity?\That's definitely what you kids are.\But that's all. response:	Fame is a fleeting thing.
context: A plan...\Face facts.\Right now, all we can do is focus\on what we can do and go from there.\Do you hate being a celebrity?\That's definitely what you kids are.\But that's all.\Fame is a fleeting thing. response:	A year from now, people will have grown tired of you,
context: Face facts.\Right now, all we can do is focus\on what we can do and go from there.\Do you hate being a celebrity?\That's definitely what you kids are.\But that's all.\Fame is a fleeting thing.\A year from now, people will have grown tired of you, response:	and you'll be back to being regular people.
context: Right now, all we can do is focus\on what we can do and go from there.\Do you hate being a celebrity?\That's definitely what you kids are.\But that's all.\Fame is a fleeting thing.\A year from now, people will have grown tired of you,\and you'll be back to being regular people. response:	What are you trying to say?
context: on what we can do and go from there.\Do you hate being a celebrity?\That's definitely what you kids are.\But that's all.\Fame is a fleeting thing.\A year from now, people will have grown tired of you,\and you'll be back to being regular people.\What are you trying to say? response:	Do you believe that you can win?
context: Do you hate being a celebrity?\That's definitely what you kids are.\But that's all.\Fame is a fleeting thing.\A year from now, people will have grown tired of you,\and you'll be back to being regular people.\What are you trying to say?\Do you believe that you can win? response:	Unlike our viewers, Dorssia will never sympathize with you.
context: That's definitely what you kids are.\But that's all.\Fame is a fleeting thing.\A year from now, people will have grown tired of you,\and you'll be back to being regular people.\What are you trying to say?\Do you believe that you can win?\Unlike our viewers, Dorssia will never sympathize with you. response:	You lack the requisite military power to liberate your homeland.
context: But that's all.\Fame is a fleeting thing.\A year from now, people will have grown tired of you,\and you'll be back to being regular people.\What are you trying to say?\Do you believe that you can win?\Unlike our viewers, Dorssia will never sympathize with you.\You lack the requisite military power to liberate your homeland. response:	Mr. Burnett, maybe you could go easier on him...
context: Fame is a fleeting thing.\A year from now, people will have grown tired of you,\and you'll be back to being regular people.\What are you trying to say?\Do you believe that you can win?\Unlike our viewers, Dorssia will never sympathize with you.\You lack the requisite military power to liberate your homeland.\Mr. Burnett, maybe you could go easier on him... response:	Haven't you ever thought you're like Don Quixote here?
context: A year from now, people will have grown tired of you,\and you'll be back to being regular people.\What are you trying to say?\Do you believe that you can win?\Unlike our viewers, Dorssia will never sympathize with you.\You lack the requisite military power to liberate your homeland.\Mr. Burnett, maybe you could go easier on him...\Haven't you ever thought you're like Don Quixote here? response:	That maybe Dorssia is a windmill that's just too big for you?
context: and you'll be back to being regular people.\What are you trying to say?\Do you believe that you can win?\Unlike our viewers, Dorssia will never sympathize with you.\You lack the requisite military power to liberate your homeland.\Mr. Burnett, maybe you could go easier on him...\Haven't you ever thought you're like Don Quixote here?\That maybe Dorssia is a windmill that's just too big for you? response:	I can't
context: What are you trying to say?\Do you believe that you can win?\Unlike our viewers, Dorssia will never sympathize with you.\You lack the requisite military power to liberate your homeland.\Mr. Burnett, maybe you could go easier on him...\Haven't you ever thought you're like Don Quixote here?\That maybe Dorssia is a windmill that's just too big for you?\I can't response:	really say.
context: Do you believe that you can win?\Unlike our viewers, Dorssia will never sympathize with you.\You lack the requisite military power to liberate your homeland.\Mr. Burnett, maybe you could go easier on him...\Haven't you ever thought you're like Don Quixote here?\That maybe Dorssia is a windmill that's just too big for you?\I can't\really say. response:	That was mean.
context: Unlike our viewers, Dorssia will never sympathize with you.\You lack the requisite military power to liberate your homeland.\Mr. Burnett, maybe you could go easier on him...\Haven't you ever thought you're like Don Quixote here?\That maybe Dorssia is a windmill that's just too big for you?\I can't\really say.\That was mean. response:	I've interviewed many people who successfully carried out revolutions,
context: You lack the requisite military power to liberate your homeland.\Mr. Burnett, maybe you could go easier on him...\Haven't you ever thought you're like Don Quixote here?\That maybe Dorssia is a windmill that's just too big for you?\I can't\really say.\That was mean.\I've interviewed many people who successfully carried out revolutions, response:	and the one thing they had in common is that they were all naive.
context: Mr. Burnett, maybe you could go easier on him...\Haven't you ever thought you're like Don Quixote here?\That maybe Dorssia is a windmill that's just too big for you?\I can't\really say.\That was mean.\I've interviewed many people who successfully carried out revolutions,\and the one thing they had in common is that they were all naive. response:	These belonged to H-neun.
context: Haven't you ever thought you're like Don Quixote here?\That maybe Dorssia is a windmill that's just too big for you?\I can't\really say.\That was mean.\I've interviewed many people who successfully carried out revolutions,\and the one thing they had in common is that they were all naive.\These belonged to H-neun. response:	Are you sure it's a good idea to divvy up the belongings of a traitor?
context: That maybe Dorssia is a windmill that's just too big for you?\I can't\really say.\That was mean.\I've interviewed many people who successfully carried out revolutions,\and the one thing they had in common is that they were all naive.\These belonged to H-neun.\Are you sure it's a good idea to divvy up the belongings of a traitor? response:	This was the color of our hair.
context: I can't\really say.\That was mean.\I've interviewed many people who successfully carried out revolutions,\and the one thing they had in common is that they were all naive.\These belonged to H-neun.\Are you sure it's a good idea to divvy up the belongings of a traitor?\This was the color of our hair. response:	After all he had done...
context: really say.\That was mean.\I've interviewed many people who successfully carried out revolutions,\and the one thing they had in common is that they were all naive.\These belonged to H-neun.\Are you sure it's a good idea to divvy up the belongings of a traitor?\This was the color of our hair.\After all he had done... response:	Why would he turn traitor?
context: That was mean.\I've interviewed many people who successfully carried out revolutions,\and the one thing they had in common is that they were all naive.\These belonged to H-neun.\Are you sure it's a good idea to divvy up the belongings of a traitor?\This was the color of our hair.\After all he had done...\Why would he turn traitor? response:	Hey, I wanted-
context: I've interviewed many people who successfully carried out revolutions,\and the one thing they had in common is that they were all naive.\These belonged to H-neun.\Are you sure it's a good idea to divvy up the belongings of a traitor?\This was the color of our hair.\After all he had done...\Why would he turn traitor?\Hey, I wanted- response:	This one...
context: and the one thing they had in common is that they were all naive.\These belonged to H-neun.\Are you sure it's a good idea to divvy up the belongings of a traitor?\This was the color of our hair.\After all he had done...\Why would he turn traitor?\Hey, I wanted-\This one... response:	belongs to me.
context: These belonged to H-neun.\Are you sure it's a good idea to divvy up the belongings of a traitor?\This was the color of our hair.\After all he had done...\Why would he turn traitor?\Hey, I wanted-\This one...\belongs to me. response:	Fine, if you want it...
context: Are you sure it's a good idea to divvy up the belongings of a traitor?\This was the color of our hair.\After all he had done...\Why would he turn traitor?\Hey, I wanted-\This one...\belongs to me.\Fine, if you want it... response:	Did you really betray us?
context: This was the color of our hair.\After all he had done...\Why would he turn traitor?\Hey, I wanted-\This one...\belongs to me.\Fine, if you want it...\Did you really betray us? response:	I appreciate all your help.
context: After all he had done...\Why would he turn traitor?\Hey, I wanted-\This one...\belongs to me.\Fine, if you want it...\Did you really betray us?\I appreciate all your help. response:	From what I hear, we'll be able to repair Unit 3 thanks to you.
context: Why would he turn traitor?\Hey, I wanted-\This one...\belongs to me.\Fine, if you want it...\Did you really betray us?\I appreciate all your help.\From what I hear, we'll be able to repair Unit 3 thanks to you. response:	Just let me atone for my sins.
context: Hey, I wanted-\This one...\belongs to me.\Fine, if you want it...\Did you really betray us?\I appreciate all your help.\From what I hear, we'll be able to repair Unit 3 thanks to you.\Just let me atone for my sins. response:	Of course.
context: This one...\belongs to me.\Fine, if you want it...\Did you really betray us?\I appreciate all your help.\From what I hear, we'll be able to repair Unit 3 thanks to you.\Just let me atone for my sins.\Of course. response:	Still, I'm amazed that you perfected machines like these.
context: belongs to me.\Fine, if you want it...\Did you really betray us?\I appreciate all your help.\From what I hear, we'll be able to repair Unit 3 thanks to you.\Just let me atone for my sins.\Of course.\Still, I'm amazed that you perfected machines like these. response:	I know what you mean.
context: Fine, if you want it...\Did you really betray us?\I appreciate all your help.\From what I hear, we'll be able to repair Unit 3 thanks to you.\Just let me atone for my sins.\Of course.\Still, I'm amazed that you perfected machines like these.\I know what you mean. response:	I wish that we'd had another option besides using this technology.
context: Did you really betray us?\I appreciate all your help.\From what I hear, we'll be able to repair Unit 3 thanks to you.\Just let me atone for my sins.\Of course.\Still, I'm amazed that you perfected machines like these.\I know what you mean.\I wish that we'd had another option besides using this technology. response:	L-elf? You're in there, right?
context: I appreciate all your help.\From what I hear, we'll be able to repair Unit 3 thanks to you.\Just let me atone for my sins.\Of course.\Still, I'm amazed that you perfected machines like these.\I know what you mean.\I wish that we'd had another option besides using this technology.\L-elf? You're in there, right? response:	It's me. I'm coming in.
context: From what I hear, we'll be able to repair Unit 3 thanks to you.\Just let me atone for my sins.\Of course.\Still, I'm amazed that you perfected machines like these.\I know what you mean.\I wish that we'd had another option besides using this technology.\L-elf? You're in there, right?\It's me. I'm coming in. response:	I want your help with something.
context: Just let me atone for my sins.\Of course.\Still, I'm amazed that you perfected machines like these.\I know what you mean.\I wish that we'd had another option besides using this technology.\L-elf? You're in there, right?\It's me. I'm coming in.\I want your help with something. response:	I know you want revenge against the Council of 101, so-
context: Of course.\Still, I'm amazed that you perfected machines like these.\I know what you mean.\I wish that we'd had another option besides using this technology.\L-elf? You're in there, right?\It's me. I'm coming in.\I want your help with something.\I know you want revenge against the Council of 101, so- response:	What is this?
context: Still, I'm amazed that you perfected machines like these.\I know what you mean.\I wish that we'd had another option besides using this technology.\L-elf? You're in there, right?\It's me. I'm coming in.\I want your help with something.\I know you want revenge against the Council of 101, so-\What is this? response:	I couldn't save her, not even in simulations.
context: I know what you mean.\I wish that we'd had another option besides using this technology.\L-elf? You're in there, right?\It's me. I'm coming in.\I want your help with something.\I know you want revenge against the Council of 101, so-\What is this?\I couldn't save her, not even in simulations. response:	Lieselotte!
context: I wish that we'd had another option besides using this technology.\L-elf? You're in there, right?\It's me. I'm coming in.\I want your help with something.\I know you want revenge against the Council of 101, so-\What is this?\I couldn't save her, not even in simulations.\Lieselotte! response:	Look, about Lieselotte...
context: L-elf? You're in there, right?\It's me. I'm coming in.\I want your help with something.\I know you want revenge against the Council of 101, so-\What is this?\I couldn't save her, not even in simulations.\Lieselotte!\Look, about Lieselotte... response:	Get out.
context: It's me. I'm coming in.\I want your help with something.\I know you want revenge against the Council of 101, so-\What is this?\I couldn't save her, not even in simulations.\Lieselotte!\Look, about Lieselotte...\Get out. response:	There is nothing that you can do.
context: I want your help with something.\I know you want revenge against the Council of 101, so-\What is this?\I couldn't save her, not even in simulations.\Lieselotte!\Look, about Lieselotte...\Get out.\There is nothing that you can do. response:	L-elf,
context: I know you want revenge against the Council of 101, so-\What is this?\I couldn't save her, not even in simulations.\Lieselotte!\Look, about Lieselotte...\Get out.\There is nothing that you can do.\L-elf, response:	I'll come back.
context: What is this?\I couldn't save her, not even in simulations.\Lieselotte!\Look, about Lieselotte...\Get out.\There is nothing that you can do.\L-elf,\I'll come back. response:	I can't do anything...
context: I couldn't save her, not even in simulations.\Lieselotte!\Look, about Lieselotte...\Get out.\There is nothing that you can do.\L-elf,\I'll come back.\I can't do anything... response:	L-elf might take some time.
context: Lieselotte!\Look, about Lieselotte...\Get out.\There is nothing that you can do.\L-elf,\I'll come back.\I can't do anything...\L-elf might take some time. response:	Yeah.
context: Look, about Lieselotte...\Get out.\There is nothing that you can do.\L-elf,\I'll come back.\I can't do anything...\L-elf might take some time.\Yeah. response:	Look, Haruto. Don't be in such a rush.
context: Get out.\There is nothing that you can do.\L-elf,\I'll come back.\I can't do anything...\L-elf might take some time.\Yeah.\Look, Haruto. Don't be in such a rush. response:	But we-
context: There is nothing that you can do.\L-elf,\I'll come back.\I can't do anything...\L-elf might take some time.\Yeah.\Look, Haruto. Don't be in such a rush.\But we- response:	I know things are serious.
context: L-elf,\I'll come back.\I can't do anything...\L-elf might take some time.\Yeah.\Look, Haruto. Don't be in such a rush.\But we-\I know things are serious. response:	The Magiuses. The search for Rukino. The Phantoms.
context: I'll come back.\I can't do anything...\L-elf might take some time.\Yeah.\Look, Haruto. Don't be in such a rush.\But we-\I know things are serious.\The Magiuses. The search for Rukino. The Phantoms. response:	We have a ton of problems on our plate.
context: I can't do anything...\L-elf might take some time.\Yeah.\Look, Haruto. Don't be in such a rush.\But we-\I know things are serious.\The Magiuses. The search for Rukino. The Phantoms.\We have a ton of problems on our plate. response:	And then there's the matter of your dad.
context: L-elf might take some time.\Yeah.\Look, Haruto. Don't be in such a rush.\But we-\I know things are serious.\The Magiuses. The search for Rukino. The Phantoms.\We have a ton of problems on our plate.\And then there's the matter of your dad. response:	But each one of those problems
context: Yeah.\Look, Haruto. Don't be in such a rush.\But we-\I know things are serious.\The Magiuses. The search for Rukino. The Phantoms.\We have a ton of problems on our plate.\And then there's the matter of your dad.\But each one of those problems response:	isn't something that can be solved right away.
context: Look, Haruto. Don't be in such a rush.\But we-\I know things are serious.\The Magiuses. The search for Rukino. The Phantoms.\We have a ton of problems on our plate.\And then there's the matter of your dad.\But each one of those problems\isn't something that can be solved right away. response:	Right?
context: But we-\I know things are serious.\The Magiuses. The search for Rukino. The Phantoms.\We have a ton of problems on our plate.\And then there's the matter of your dad.\But each one of those problems\isn't something that can be solved right away.\Right? response:	At a time like this, you should
context: I know things are serious.\The Magiuses. The search for Rukino. The Phantoms.\We have a ton of problems on our plate.\And then there's the matter of your dad.\But each one of those problems\isn't something that can be solved right away.\Right?\At a time like this, you should response:	go out on a date with Shoko or something.
context: The Magiuses. The search for Rukino. The Phantoms.\We have a ton of problems on our plate.\And then there's the matter of your dad.\But each one of those problems\isn't something that can be solved right away.\Right?\At a time like this, you should\go out on a date with Shoko or something. response:	It's important to take your mind off things, right?
context: We have a ton of problems on our plate.\And then there's the matter of your dad.\But each one of those problems\isn't something that can be solved right away.\Right?\At a time like this, you should\go out on a date with Shoko or something.\It's important to take your mind off things, right? response:	What are you talking about? I can't, not now.
context: And then there's the matter of your dad.\But each one of those problems\isn't something that can be solved right away.\Right?\At a time like this, you should\go out on a date with Shoko or something.\It's important to take your mind off things, right?\What are you talking about? I can't, not now. response:	That's why we need to take our minds off things.
context: But each one of those problems\isn't something that can be solved right away.\Right?\At a time like this, you should\go out on a date with Shoko or something.\It's important to take your mind off things, right?\What are you talking about? I can't, not now.\That's why we need to take our minds off things. response:	There's no telling when we might die.
context: isn't something that can be solved right away.\Right?\At a time like this, you should\go out on a date with Shoko or something.\It's important to take your mind off things, right?\What are you talking about? I can't, not now.\That's why we need to take our minds off things.\There's no telling when we might die. response:	If you're prepared to die, you can do anything, right?
context: Right?\At a time like this, you should\go out on a date with Shoko or something.\It's important to take your mind off things, right?\What are you talking about? I can't, not now.\That's why we need to take our minds off things.\There's no telling when we might die.\If you're prepared to die, you can do anything, right? response:	Don't regret things left undone, you hear?
context: At a time like this, you should\go out on a date with Shoko or something.\It's important to take your mind off things, right?\What are you talking about? I can't, not now.\That's why we need to take our minds off things.\There's no telling when we might die.\If you're prepared to die, you can do anything, right?\Don't regret things left undone, you hear? response:	Sure.
context: go out on a date with Shoko or something.\It's important to take your mind off things, right?\What are you talking about? I can't, not now.\That's why we need to take our minds off things.\There's no telling when we might die.\If you're prepared to die, you can do anything, right?\Don't regret things left undone, you hear?\Sure. response:	There you are!
context: It's important to take your mind off things, right?\What are you talking about? I can't, not now.\That's why we need to take our minds off things.\There's no telling when we might die.\If you're prepared to die, you can do anything, right?\Don't regret things left undone, you hear?\Sure.\There you are! response:	I've been looking everywhere for you!
context: What are you talking about? I can't, not now.\That's why we need to take our minds off things.\There's no telling when we might die.\If you're prepared to die, you can do anything, right?\Don't regret things left undone, you hear?\Sure.\There you are!\I've been looking everywhere for you! response:	Shoko...
context: That's why we need to take our minds off things.\There's no telling when we might die.\If you're prepared to die, you can do anything, right?\Don't regret things left undone, you hear?\Sure.\There you are!\I've been looking everywhere for you!\Shoko... response:	Well, I should get going.
context: There's no telling when we might die.\If you're prepared to die, you can do anything, right?\Don't regret things left undone, you hear?\Sure.\There you are!\I've been looking everywhere for you!\Shoko...\Well, I should get going. response:	Senpai!
context: If you're prepared to die, you can do anything, right?\Don't regret things left undone, you hear?\Sure.\There you are!\I've been looking everywhere for you!\Shoko...\Well, I should get going.\Senpai! response:	Where are you going?
context: Don't regret things left undone, you hear?\Sure.\There you are!\I've been looking everywhere for you!\Shoko...\Well, I should get going.\Senpai!\Where are you going? response:	I'm sleepy! Good night!
context: Sure.\There you are!\I've been looking everywhere for you!\Shoko...\Well, I should get going.\Senpai!\Where are you going?\I'm sleepy! Good night! response:	Good night!
context: There you are!\I've been looking everywhere for you!\Shoko...\Well, I should get going.\Senpai!\Where are you going?\I'm sleepy! Good night!\Good night! response:	Good night.
context: I've been looking everywhere for you!\Shoko...\Well, I should get going.\Senpai!\Where are you going?\I'm sleepy! Good night!\Good night!\Good night. response:	I wonder if he's worn out?
context: Shoko...\Well, I should get going.\Senpai!\Where are you going?\I'm sleepy! Good night!\Good night!\Good night.\I wonder if he's worn out? response:	Shoko, you said you've been looking for me?
context: Well, I should get going.\Senpai!\Where are you going?\I'm sleepy! Good night!\Good night!\Good night.\I wonder if he's worn out?\Shoko, you said you've been looking for me? response:	Oh, right! I have big news!
context: Senpai!\Where are you going?\I'm sleepy! Good night!\Good night!\Good night.\I wonder if he's worn out?\Shoko, you said you've been looking for me?\Oh, right! I have big news! response:	The condemnation resolution against Dorssia has been adopted!
context: Where are you going?\I'm sleepy! Good night!\Good night!\Good night.\I wonder if he's worn out?\Shoko, you said you've been looking for me?\Oh, right! I have big news!\The condemnation resolution against Dorssia has been adopted! response:	She's been pushing for it this whole time!
context: I'm sleepy! Good night!\Good night!\Good night.\I wonder if he's worn out?\Shoko, you said you've been looking for me?\Oh, right! I have big news!\The condemnation resolution against Dorssia has been adopted!\She's been pushing for it this whole time! response:	She said she wanted to make them adopt a condemnation resolution!
context: Good night!\Good night.\I wonder if he's worn out?\Shoko, you said you've been looking for me?\Oh, right! I have big news!\The condemnation resolution against Dorssia has been adopted!\She's been pushing for it this whole time!\She said she wanted to make them adopt a condemnation resolution! response:	To be honest, when Shoko suggested it, I thought it was a lost cause.
context: Good night.\I wonder if he's worn out?\Shoko, you said you've been looking for me?\Oh, right! I have big news!\The condemnation resolution against Dorssia has been adopted!\She's been pushing for it this whole time!\She said she wanted to make them adopt a condemnation resolution!\To be honest, when Shoko suggested it, I thought it was a lost cause. response:	Before we knew it, we all got caught up in it.
context: I wonder if he's worn out?\Shoko, you said you've been looking for me?\Oh, right! I have big news!\The condemnation resolution against Dorssia has been adopted!\She's been pushing for it this whole time!\She said she wanted to make them adopt a condemnation resolution!\To be honest, when Shoko suggested it, I thought it was a lost cause.\Before we knew it, we all got caught up in it. response:	This means that ARUS will side with us!
context: Shoko, you said you've been looking for me?\Oh, right! I have big news!\The condemnation resolution against Dorssia has been adopted!\She's been pushing for it this whole time!\She said she wanted to make them adopt a condemnation resolution!\To be honest, when Shoko suggested it, I thought it was a lost cause.\Before we knew it, we all got caught up in it.\This means that ARUS will side with us! response:	Not just ARUS!
context: Oh, right! I have big news!\The condemnation resolution against Dorssia has been adopted!\She's been pushing for it this whole time!\She said she wanted to make them adopt a condemnation resolution!\To be honest, when Shoko suggested it, I thought it was a lost cause.\Before we knew it, we all got caught up in it.\This means that ARUS will side with us!\Not just ARUS! response:	They say there's 84 other countries, too!
context: The condemnation resolution against Dorssia has been adopted!\She's been pushing for it this whole time!\She said she wanted to make them adopt a condemnation resolution!\To be honest, when Shoko suggested it, I thought it was a lost cause.\Before we knew it, we all got caught up in it.\This means that ARUS will side with us!\Not just ARUS!\They say there's 84 other countries, too! response:	With that many, not even Dorssia can ignore it!
context: She's been pushing for it this whole time!\She said she wanted to make them adopt a condemnation resolution!\To be honest, when Shoko suggested it, I thought it was a lost cause.\Before we knew it, we all got caught up in it.\This means that ARUS will side with us!\Not just ARUS!\They say there's 84 other countries, too!\With that many, not even Dorssia can ignore it! response:	ARUS has their presidential election coming up soon, too.
context: She said she wanted to make them adopt a condemnation resolution!\To be honest, when Shoko suggested it, I thought it was a lost cause.\Before we knew it, we all got caught up in it.\This means that ARUS will side with us!\Not just ARUS!\They say there's 84 other countries, too!\With that many, not even Dorssia can ignore it!\ARUS has their presidential election coming up soon, too. response:	I guess this means that in the end, democracy is a popularity contest.
context: To be honest, when Shoko suggested it, I thought it was a lost cause.\Before we knew it, we all got caught up in it.\This means that ARUS will side with us!\Not just ARUS!\They say there's 84 other countries, too!\With that many, not even Dorssia can ignore it!\ARUS has their presidential election coming up soon, too.\I guess this means that in the end, democracy is a popularity contest. response:	If they ignore the condemnation resolution,
context: Before we knew it, we all got caught up in it.\This means that ARUS will side with us!\Not just ARUS!\They say there's 84 other countries, too!\With that many, not even Dorssia can ignore it!\ARUS has their presidential election coming up soon, too.\I guess this means that in the end, democracy is a popularity contest.\If they ignore the condemnation resolution, response:	the next step is a resolution to impose sanctions.
context: This means that ARUS will side with us!\Not just ARUS!\They say there's 84 other countries, too!\With that many, not even Dorssia can ignore it!\ARUS has their presidential election coming up soon, too.\I guess this means that in the end, democracy is a popularity contest.\If they ignore the condemnation resolution,\the next step is a resolution to impose sanctions. response:	Dorssia is running out of options to avoid coming to the negotiation table.
