context: Someone beloved to me... response:	I first learned what that meant... during the winter when I was fifteen years old.
context: That's a nice one.\Yeah. That definitely would fit someone like you.\Ah, then I'll take...\I-It's so expensive...\Ah, umm... I think I'll go with the one I was just trying on instead...\It was less expensive...\So I'll go with the other one, please.\Ah, the other one? We only have those sizes 11 and 13. response:	That's too big for you, right?
context: Yeah. That definitely would fit someone like you.\Ah, then I'll take...\I-It's so expensive...\Ah, umm... I think I'll go with the one I was just trying on instead...\It was less expensive...\So I'll go with the other one, please.\Ah, the other one? We only have those sizes 11 and 13.\That's too big for you, right? response:	H-Huh? The one I just had on fit me perfectly...
context: Ah, then I'll take...\I-It's so expensive...\Ah, umm... I think I'll go with the one I was just trying on instead...\It was less expensive...\So I'll go with the other one, please.\Ah, the other one? We only have those sizes 11 and 13.\That's too big for you, right?\H-Huh? The one I just had on fit me perfectly... response:	Was I just imagining it?
context: I-It's so expensive...\Ah, umm... I think I'll go with the one I was just trying on instead...\It was less expensive...\So I'll go with the other one, please.\Ah, the other one? We only have those sizes 11 and 13.\That's too big for you, right?\H-Huh? The one I just had on fit me perfectly...\Was I just imagining it? response:	I'm terribly sorry.
context: Ah, umm... I think I'll go with the one I was just trying on instead...\It was less expensive...\So I'll go with the other one, please.\Ah, the other one? We only have those sizes 11 and 13.\That's too big for you, right?\H-Huh? The one I just had on fit me perfectly...\Was I just imagining it?\I'm terribly sorry. response:	Ah, then I'll take another look around...
context: It was less expensive...\So I'll go with the other one, please.\Ah, the other one? We only have those sizes 11 and 13.\That's too big for you, right?\H-Huh? The one I just had on fit me perfectly...\Was I just imagining it?\I'm terribly sorry.\Ah, then I'll take another look around... response:	That would be fine. We have many other cute rings.
context: So I'll go with the other one, please.\Ah, the other one? We only have those sizes 11 and 13.\That's too big for you, right?\H-Huh? The one I just had on fit me perfectly...\Was I just imagining it?\I'm terribly sorry.\Ah, then I'll take another look around...\That would be fine. We have many other cute rings. response:	You're buying it, right?
context: Ah, the other one? We only have those sizes 11 and 13.\That's too big for you, right?\H-Huh? The one I just had on fit me perfectly...\Was I just imagining it?\I'm terribly sorry.\Ah, then I'll take another look around...\That would be fine. We have many other cute rings.\You're buying it, right? response:	Of course.
context: That's too big for you, right?\H-Huh? The one I just had on fit me perfectly...\Was I just imagining it?\I'm terribly sorry.\Ah, then I'll take another look around...\That would be fine. We have many other cute rings.\You're buying it, right?\Of course. response:	Umm... could I pay in installments?
context: H-Huh? The one I just had on fit me perfectly...\Was I just imagining it?\I'm terribly sorry.\Ah, then I'll take another look around...\That would be fine. We have many other cute rings.\You're buying it, right?\Of course.\Umm... could I pay in installments? response:	The money I'll get for New Year and my allowance...
context: Was I just imagining it?\I'm terribly sorry.\Ah, then I'll take another look around...\That would be fine. We have many other cute rings.\You're buying it, right?\Of course.\Umm... could I pay in installments?\The money I'll get for New Year and my allowance... response:	And then if I sell those things...
context: I'm terribly sorry.\Ah, then I'll take another look around...\That would be fine. We have many other cute rings.\You're buying it, right?\Of course.\Umm... could I pay in installments?\The money I'll get for New Year and my allowance...\And then if I sell those things... response:	Or maybe a deferred payment?
context: Ah, then I'll take another look around...\That would be fine. We have many other cute rings.\You're buying it, right?\Of course.\Umm... could I pay in installments?\The money I'll get for New Year and my allowance...\And then if I sell those things...\Or maybe a deferred payment? response:	Having the product delivered later, of course.
context: That would be fine. We have many other cute rings.\You're buying it, right?\Of course.\Umm... could I pay in installments?\The money I'll get for New Year and my allowance...\And then if I sell those things...\Or maybe a deferred payment?\Having the product delivered later, of course. response:	Moron.
context: You're buying it, right?\Of course.\Umm... could I pay in installments?\The money I'll get for New Year and my allowance...\And then if I sell those things...\Or maybe a deferred payment?\Having the product delivered later, of course.\Moron. response:	Then hold it until I have enough money.
context: Of course.\Umm... could I pay in installments?\The money I'll get for New Year and my allowance...\And then if I sell those things...\Or maybe a deferred payment?\Having the product delivered later, of course.\Moron.\Then hold it until I have enough money. response:	Don't sell it.
context: Umm... could I pay in installments?\The money I'll get for New Year and my allowance...\And then if I sell those things...\Or maybe a deferred payment?\Having the product delivered later, of course.\Moron.\Then hold it until I have enough money.\Don't sell it. response:	If I did that, you'd never make it in time for Christmas.
context: The money I'll get for New Year and my allowance...\And then if I sell those things...\Or maybe a deferred payment?\Having the product delivered later, of course.\Moron.\Then hold it until I have enough money.\Don't sell it.\If I did that, you'd never make it in time for Christmas. response:	Y-Yeah... you have a point.
context: And then if I sell those things...\Or maybe a deferred payment?\Having the product delivered later, of course.\Moron.\Then hold it until I have enough money.\Don't sell it.\If I did that, you'd never make it in time for Christmas.\Y-Yeah... you have a point. response:	I'll just use my E.D. and get it for you.
context: Or maybe a deferred payment?\Having the product delivered later, of course.\Moron.\Then hold it until I have enough money.\Don't sell it.\If I did that, you'd never make it in time for Christmas.\Y-Yeah... you have a point.\I'll just use my E.D. and get it for you. response:	Your E.D.?
context: Having the product delivered later, of course.\Moron.\Then hold it until I have enough money.\Don't sell it.\If I did that, you'd never make it in time for Christmas.\Y-Yeah... you have a point.\I'll just use my E.D. and get it for you.\Your E.D.? response:	Employee discount.
context: Moron.\Then hold it until I have enough money.\Don't sell it.\If I did that, you'd never make it in time for Christmas.\Y-Yeah... you have a point.\I'll just use my E.D. and get it for you.\Your E.D.?\Employee discount. response:	It'll only cost 60 of its value.
context: Then hold it until I have enough money.\Don't sell it.\If I did that, you'd never make it in time for Christmas.\Y-Yeah... you have a point.\I'll just use my E.D. and get it for you.\Your E.D.?\Employee discount.\It'll only cost 60 of its value. response:	In other words, 40 off.
context: Don't sell it.\If I did that, you'd never make it in time for Christmas.\Y-Yeah... you have a point.\I'll just use my E.D. and get it for you.\Your E.D.?\Employee discount.\It'll only cost 60 of its value.\In other words, 40 off. response:	If it's 40 off, then...
context: If I did that, you'd never make it in time for Christmas.\Y-Yeah... you have a point.\I'll just use my E.D. and get it for you.\Your E.D.?\Employee discount.\It'll only cost 60 of its value.\In other words, 40 off.\If it's 40 off, then... response:	Things like this... are really against the rules, though.
context: Y-Yeah... you have a point.\I'll just use my E.D. and get it for you.\Your E.D.?\Employee discount.\It'll only cost 60 of its value.\In other words, 40 off.\If it's 40 off, then...\Things like this... are really against the rules, though. response:	But I'll make this one time a special case.
context: I'll just use my E.D. and get it for you.\Your E.D.?\Employee discount.\It'll only cost 60 of its value.\In other words, 40 off.\If it's 40 off, then...\Things like this... are really against the rules, though.\But I'll make this one time a special case. response:	But you'd damn well better not forget, so bring me all of the money you have on hand by next week.
context: Your E.D.?\Employee discount.\It'll only cost 60 of its value.\In other words, 40 off.\If it's 40 off, then...\Things like this... are really against the rules, though.\But I'll make this one time a special case.\But you'd damn well better not forget, so bring me all of the money you have on hand by next week. response:	I hate lending money to people in the first place.
context: Employee discount.\It'll only cost 60 of its value.\In other words, 40 off.\If it's 40 off, then...\Things like this... are really against the rules, though.\But I'll make this one time a special case.\But you'd damn well better not forget, so bring me all of the money you have on hand by next week.\I hate lending money to people in the first place. response:	Let's go.
context: It'll only cost 60 of its value.\In other words, 40 off.\If it's 40 off, then...\Things like this... are really against the rules, though.\But I'll make this one time a special case.\But you'd damn well better not forget, so bring me all of the money you have on hand by next week.\I hate lending money to people in the first place.\Let's go. response:	I'm hungry.
context: In other words, 40 off.\If it's 40 off, then...\Things like this... are really against the rules, though.\But I'll make this one time a special case.\But you'd damn well better not forget, so bring me all of the money you have on hand by next week.\I hate lending money to people in the first place.\Let's go.\I'm hungry. response:	Let's get something to eat.
context: If it's 40 off, then...\Things like this... are really against the rules, though.\But I'll make this one time a special case.\But you'd damn well better not forget, so bring me all of the money you have on hand by next week.\I hate lending money to people in the first place.\Let's go.\I'm hungry.\Let's get something to eat. response:	Ayaka-san was really mature and beautiful, wasn't she?
context: Things like this... are really against the rules, though.\But I'll make this one time a special case.\But you'd damn well better not forget, so bring me all of the money you have on hand by next week.\I hate lending money to people in the first place.\Let's go.\I'm hungry.\Let's get something to eat.\Ayaka-san was really mature and beautiful, wasn't she? response:	I guess so...
context: But I'll make this one time a special case.\But you'd damn well better not forget, so bring me all of the money you have on hand by next week.\I hate lending money to people in the first place.\Let's go.\I'm hungry.\Let's get something to eat.\Ayaka-san was really mature and beautiful, wasn't she?\I guess so... response:	I wonder if I can end up like her if I try really hard...
context: But you'd damn well better not forget, so bring me all of the money you have on hand by next week.\I hate lending money to people in the first place.\Let's go.\I'm hungry.\Let's get something to eat.\Ayaka-san was really mature and beautiful, wasn't she?\I guess so...\I wonder if I can end up like her if I try really hard... response:	Y-Yeah... I'm sure you can.
context: I hate lending money to people in the first place.\Let's go.\I'm hungry.\Let's get something to eat.\Ayaka-san was really mature and beautiful, wasn't she?\I guess so...\I wonder if I can end up like her if I try really hard...\Y-Yeah... I'm sure you can. response:	Ah, I figured it out!
context: Let's go.\I'm hungry.\Let's get something to eat.\Ayaka-san was really mature and beautiful, wasn't she?\I guess so...\I wonder if I can end up like her if I try really hard...\Y-Yeah... I'm sure you can.\Ah, I figured it out! response:	What?
context: I'm hungry.\Let's get something to eat.\Ayaka-san was really mature and beautiful, wasn't she?\I guess so...\I wonder if I can end up like her if I try really hard...\Y-Yeah... I'm sure you can.\Ah, I figured it out!\What? response:	Why Takeuchi-kun has such a hard time getting a girlfriend.
context: Let's get something to eat.\Ayaka-san was really mature and beautiful, wasn't she?\I guess so...\I wonder if I can end up like her if I try really hard...\Y-Yeah... I'm sure you can.\Ah, I figured it out!\What?\Why Takeuchi-kun has such a hard time getting a girlfriend. response:	He seems like he'd be pretty popular.
context: Ayaka-san was really mature and beautiful, wasn't she?\I guess so...\I wonder if I can end up like her if I try really hard...\Y-Yeah... I'm sure you can.\Ah, I figured it out!\What?\Why Takeuchi-kun has such a hard time getting a girlfriend.\He seems like he'd be pretty popular. response:	What?
context: I guess so...\I wonder if I can end up like her if I try really hard...\Y-Yeah... I'm sure you can.\Ah, I figured it out!\What?\Why Takeuchi-kun has such a hard time getting a girlfriend.\He seems like he'd be pretty popular.\What? response:	His older sister's too beautiful, so he has higher standards for his dream girl than normal.
context: I wonder if I can end up like her if I try really hard...\Y-Yeah... I'm sure you can.\Ah, I figured it out!\What?\Why Takeuchi-kun has such a hard time getting a girlfriend.\He seems like he'd be pretty popular.\What?\His older sister's too beautiful, so he has higher standards for his dream girl than normal. response:	I get it now... yeah, yeah.
context: Y-Yeah... I'm sure you can.\Ah, I figured it out!\What?\Why Takeuchi-kun has such a hard time getting a girlfriend.\He seems like he'd be pretty popular.\What?\His older sister's too beautiful, so he has higher standards for his dream girl than normal.\I get it now... yeah, yeah. response:	Takeuchi-kun probably wants a girl more beautiful and mature than his older sister.
context: Ah, I figured it out!\What?\Why Takeuchi-kun has such a hard time getting a girlfriend.\He seems like he'd be pretty popular.\What?\His older sister's too beautiful, so he has higher standards for his dream girl than normal.\I get it now... yeah, yeah.\Takeuchi-kun probably wants a girl more beautiful and mature than his older sister. response:	I don't really think that's it.
context: What?\Why Takeuchi-kun has such a hard time getting a girlfriend.\He seems like he'd be pretty popular.\What?\His older sister's too beautiful, so he has higher standards for his dream girl than normal.\I get it now... yeah, yeah.\Takeuchi-kun probably wants a girl more beautiful and mature than his older sister.\I don't really think that's it. response:	Anyway...
context: Why Takeuchi-kun has such a hard time getting a girlfriend.\He seems like he'd be pretty popular.\What?\His older sister's too beautiful, so he has higher standards for his dream girl than normal.\I get it now... yeah, yeah.\Takeuchi-kun probably wants a girl more beautiful and mature than his older sister.\I don't really think that's it.\Anyway... response:	You said Takeuchi-kun is always taking good care of you.
context: He seems like he'd be pretty popular.\What?\His older sister's too beautiful, so he has higher standards for his dream girl than normal.\I get it now... yeah, yeah.\Takeuchi-kun probably wants a girl more beautiful and mature than his older sister.\I don't really think that's it.\Anyway...\You said Takeuchi-kun is always taking good care of you. response:	Just when has he taken good care of you?
context: What?\His older sister's too beautiful, so he has higher standards for his dream girl than normal.\I get it now... yeah, yeah.\Takeuchi-kun probably wants a girl more beautiful and mature than his older sister.\I don't really think that's it.\Anyway...\You said Takeuchi-kun is always taking good care of you.\Just when has he taken good care of you? response:	Ah... that was just a figure of speech... umm...
context: His older sister's too beautiful, so he has higher standards for his dream girl than normal.\I get it now... yeah, yeah.\Takeuchi-kun probably wants a girl more beautiful and mature than his older sister.\I don't really think that's it.\Anyway...\You said Takeuchi-kun is always taking good care of you.\Just when has he taken good care of you?\Ah... that was just a figure of speech... umm... response:	It was just meant as a greeting.
context: I get it now... yeah, yeah.\Takeuchi-kun probably wants a girl more beautiful and mature than his older sister.\I don't really think that's it.\Anyway...\You said Takeuchi-kun is always taking good care of you.\Just when has he taken good care of you?\Ah... that was just a figure of speech... umm...\It was just meant as a greeting. response:	Ah... I can't believe this is happening...
context: Takeuchi-kun probably wants a girl more beautiful and mature than his older sister.\I don't really think that's it.\Anyway...\You said Takeuchi-kun is always taking good care of you.\Just when has he taken good care of you?\Ah... that was just a figure of speech... umm...\It was just meant as a greeting.\Ah... I can't believe this is happening... response:	Yano's jealous.
context: I don't really think that's it.\Anyway...\You said Takeuchi-kun is always taking good care of you.\Just when has he taken good care of you?\Ah... that was just a figure of speech... umm...\It was just meant as a greeting.\Ah... I can't believe this is happening...\Yano's jealous. response:	It all seems so unreal...
context: Anyway...\You said Takeuchi-kun is always taking good care of you.\Just when has he taken good care of you?\Ah... that was just a figure of speech... umm...\It was just meant as a greeting.\Ah... I can't believe this is happening...\Yano's jealous.\It all seems so unreal... response:	So unreal...
context: You said Takeuchi-kun is always taking good care of you.\Just when has he taken good care of you?\Ah... that was just a figure of speech... umm...\It was just meant as a greeting.\Ah... I can't believe this is happening...\Yano's jealous.\It all seems so unreal...\So unreal... response:	I'm sorry for being a bit of a tease about this, Yano...
context: Just when has he taken good care of you?\Ah... that was just a figure of speech... umm...\It was just meant as a greeting.\Ah... I can't believe this is happening...\Yano's jealous.\It all seems so unreal...\So unreal...\I'm sorry for being a bit of a tease about this, Yano... response:	I hope Takeuchi-kun finds a girl soon.
context: Ah... that was just a figure of speech... umm...\It was just meant as a greeting.\Ah... I can't believe this is happening...\Yano's jealous.\It all seems so unreal...\So unreal...\I'm sorry for being a bit of a tease about this, Yano...\I hope Takeuchi-kun finds a girl soon. response:	After all, Takeuchi-kun's a good guy.
context: It was just meant as a greeting.\Ah... I can't believe this is happening...\Yano's jealous.\It all seems so unreal...\So unreal...\I'm sorry for being a bit of a tease about this, Yano...\I hope Takeuchi-kun finds a girl soon.\After all, Takeuchi-kun's a good guy. response:	I'll cheer him on.
context: Ah... I can't believe this is happening...\Yano's jealous.\It all seems so unreal...\So unreal...\I'm sorry for being a bit of a tease about this, Yano...\I hope Takeuchi-kun finds a girl soon.\After all, Takeuchi-kun's a good guy.\I'll cheer him on. response:	And then maybe once he gets one, the four of us could go on a double date.
context: Yano's jealous.\It all seems so unreal...\So unreal...\I'm sorry for being a bit of a tease about this, Yano...\I hope Takeuchi-kun finds a girl soon.\After all, Takeuchi-kun's a good guy.\I'll cheer him on.\And then maybe once he gets one, the four of us could go on a double date. response:	Why do the four of us have to go somewhere together?
context: It all seems so unreal...\So unreal...\I'm sorry for being a bit of a tease about this, Yano...\I hope Takeuchi-kun finds a girl soon.\After all, Takeuchi-kun's a good guy.\I'll cheer him on.\And then maybe once he gets one, the four of us could go on a double date.\Why do the four of us have to go somewhere together? response:	It's fine if the two of us are alone together, right?
context: So unreal...\I'm sorry for being a bit of a tease about this, Yano...\I hope Takeuchi-kun finds a girl soon.\After all, Takeuchi-kun's a good guy.\I'll cheer him on.\And then maybe once he gets one, the four of us could go on a double date.\Why do the four of us have to go somewhere together?\It's fine if the two of us are alone together, right? response:	Yeah...
context: I'm sorry for being a bit of a tease about this, Yano...\I hope Takeuchi-kun finds a girl soon.\After all, Takeuchi-kun's a good guy.\I'll cheer him on.\And then maybe once he gets one, the four of us could go on a double date.\Why do the four of us have to go somewhere together?\It's fine if the two of us are alone together, right?\Yeah... response:	I want to firmly accept Yano's feelings.
context: I hope Takeuchi-kun finds a girl soon.\After all, Takeuchi-kun's a good guy.\I'll cheer him on.\And then maybe once he gets one, the four of us could go on a double date.\Why do the four of us have to go somewhere together?\It's fine if the two of us are alone together, right?\Yeah...\I want to firmly accept Yano's feelings. response:	What? You two met?
context: After all, Takeuchi-kun's a good guy.\I'll cheer him on.\And then maybe once he gets one, the four of us could go on a double date.\Why do the four of us have to go somewhere together?\It's fine if the two of us are alone together, right?\Yeah...\I want to firmly accept Yano's feelings.\What? You two met? response:	Yeah. She treated me really well.
context: I'll cheer him on.\And then maybe once he gets one, the four of us could go on a double date.\Why do the four of us have to go somewhere together?\It's fine if the two of us are alone together, right?\Yeah...\I want to firmly accept Yano's feelings.\What? You two met?\Yeah. She treated me really well. response:	I hate to say this, but... she's really a he, dressed up in female clothing.
context: And then maybe once he gets one, the four of us could go on a double date.\Why do the four of us have to go somewhere together?\It's fine if the two of us are alone together, right?\Yeah...\I want to firmly accept Yano's feelings.\What? You two met?\Yeah. She treated me really well.\I hate to say this, but... she's really a he, dressed up in female clothing. response:	But... she was really beautiful and so feminine, it surprised me.
context: Why do the four of us have to go somewhere together?\It's fine if the two of us are alone together, right?\Yeah...\I want to firmly accept Yano's feelings.\What? You two met?\Yeah. She treated me really well.\I hate to say this, but... she's really a he, dressed up in female clothing.\But... she was really beautiful and so feminine, it surprised me. response:	Ah, just stop.
context: It's fine if the two of us are alone together, right?\Yeah...\I want to firmly accept Yano's feelings.\What? You two met?\Yeah. She treated me really well.\I hate to say this, but... she's really a he, dressed up in female clothing.\But... she was really beautiful and so feminine, it surprised me.\Ah, just stop. response:	He's got you totally fooled.
context: Yeah...\I want to firmly accept Yano's feelings.\What? You two met?\Yeah. She treated me really well.\I hate to say this, but... she's really a he, dressed up in female clothing.\But... she was really beautiful and so feminine, it surprised me.\Ah, just stop.\He's got you totally fooled. response:	In the first place, calling that guy a male is really an insult to all men.
context: I want to firmly accept Yano's feelings.\What? You two met?\Yeah. She treated me really well.\I hate to say this, but... she's really a he, dressed up in female clothing.\But... she was really beautiful and so feminine, it surprised me.\Ah, just stop.\He's got you totally fooled.\In the first place, calling that guy a male is really an insult to all men. response:	Men are more delicate.
context: What? You two met?\Yeah. She treated me really well.\I hate to say this, but... she's really a he, dressed up in female clothing.\But... she was really beautiful and so feminine, it surprised me.\Ah, just stop.\He's got you totally fooled.\In the first place, calling that guy a male is really an insult to all men.\Men are more delicate. response:	When I was a kid, I had no idea...
context: Yeah. She treated me really well.\I hate to say this, but... she's really a he, dressed up in female clothing.\But... she was really beautiful and so feminine, it surprised me.\Ah, just stop.\He's got you totally fooled.\In the first place, calling that guy a male is really an insult to all men.\Men are more delicate.\When I was a kid, I had no idea... response:	It was awful.
context: I hate to say this, but... she's really a he, dressed up in female clothing.\But... she was really beautiful and so feminine, it surprised me.\Ah, just stop.\He's got you totally fooled.\In the first place, calling that guy a male is really an insult to all men.\Men are more delicate.\When I was a kid, I had no idea...\It was awful. response:	I totally thought you had a sister complex or something.
context: But... she was really beautiful and so feminine, it surprised me.\Ah, just stop.\He's got you totally fooled.\In the first place, calling that guy a male is really an insult to all men.\Men are more delicate.\When I was a kid, I had no idea...\It was awful.\I totally thought you had a sister complex or something. response:	P-Please stop... I'm begging you...
context: Ah, just stop.\He's got you totally fooled.\In the first place, calling that guy a male is really an insult to all men.\Men are more delicate.\When I was a kid, I had no idea...\It was awful.\I totally thought you had a sister complex or something.\P-Please stop... I'm begging you... response:	Then why don't you have a girlfriend?
context: He's got you totally fooled.\In the first place, calling that guy a male is really an insult to all men.\Men are more delicate.\When I was a kid, I had no idea...\It was awful.\I totally thought you had a sister complex or something.\P-Please stop... I'm begging you...\Then why don't you have a girlfriend? response:	That's straight to the point.
context: In the first place, calling that guy a male is really an insult to all men.\Men are more delicate.\When I was a kid, I had no idea...\It was awful.\I totally thought you had a sister complex or something.\P-Please stop... I'm begging you...\Then why don't you have a girlfriend?\That's straight to the point. response:	Really, these people who are all lovey-dovey nowadays...
context: Men are more delicate.\When I was a kid, I had no idea...\It was awful.\I totally thought you had a sister complex or something.\P-Please stop... I'm begging you...\Then why don't you have a girlfriend?\That's straight to the point.\Really, these people who are all lovey-dovey nowadays... response:	Anyway, it's because he's gay.
context: When I was a kid, I had no idea...\It was awful.\I totally thought you had a sister complex or something.\P-Please stop... I'm begging you...\Then why don't you have a girlfriend?\That's straight to the point.\Really, these people who are all lovey-dovey nowadays...\Anyway, it's because he's gay. response:	Go to hell.
context: It was awful.\I totally thought you had a sister complex or something.\P-Please stop... I'm begging you...\Then why don't you have a girlfriend?\That's straight to the point.\Really, these people who are all lovey-dovey nowadays...\Anyway, it's because he's gay.\Go to hell. response:	And besides, it's not like you're not popular.
context: I totally thought you had a sister complex or something.\P-Please stop... I'm begging you...\Then why don't you have a girlfriend?\That's straight to the point.\Really, these people who are all lovey-dovey nowadays...\Anyway, it's because he's gay.\Go to hell.\And besides, it's not like you're not popular. response:	I'm not.
context: P-Please stop... I'm begging you...\Then why don't you have a girlfriend?\That's straight to the point.\Really, these people who are all lovey-dovey nowadays...\Anyway, it's because he's gay.\Go to hell.\And besides, it's not like you're not popular.\I'm not. response:	It's because I'm not popular that I'm single.
context: Then why don't you have a girlfriend?\That's straight to the point.\Really, these people who are all lovey-dovey nowadays...\Anyway, it's because he's gay.\Go to hell.\And besides, it's not like you're not popular.\I'm not.\It's because I'm not popular that I'm single. response:	What? You're kidding!
context: That's straight to the point.\Really, these people who are all lovey-dovey nowadays...\Anyway, it's because he's gay.\Go to hell.\And besides, it's not like you're not popular.\I'm not.\It's because I'm not popular that I'm single.\What? You're kidding! response:	Like I've been saying, he's a homo.
context: Really, these people who are all lovey-dovey nowadays...\Anyway, it's because he's gay.\Go to hell.\And besides, it's not like you're not popular.\I'm not.\It's because I'm not popular that I'm single.\What? You're kidding!\Like I've been saying, he's a homo. response:	Isn't there anyone you like?
context: Anyway, it's because he's gay.\Go to hell.\And besides, it's not like you're not popular.\I'm not.\It's because I'm not popular that I'm single.\What? You're kidding!\Like I've been saying, he's a homo.\Isn't there anyone you like? response:	No.
context: Go to hell.\And besides, it's not like you're not popular.\I'm not.\It's because I'm not popular that I'm single.\What? You're kidding!\Like I've been saying, he's a homo.\Isn't there anyone you like?\No. response:	Why not?
context: And besides, it's not like you're not popular.\I'm not.\It's because I'm not popular that I'm single.\What? You're kidding!\Like I've been saying, he's a homo.\Isn't there anyone you like?\No.\Why not? response:	Who knows? Maybe it's a sister complex after all.
context: I'm not.\It's because I'm not popular that I'm single.\What? You're kidding!\Like I've been saying, he's a homo.\Isn't there anyone you like?\No.\Why not?\Who knows? Maybe it's a sister complex after all. response:	That was weird...
context: It's because I'm not popular that I'm single.\What? You're kidding!\Like I've been saying, he's a homo.\Isn't there anyone you like?\No.\Why not?\Who knows? Maybe it's a sister complex after all.\That was weird... response:	Sorry It looks like students council meeting's going to go over time again, so you can leave ahead of me. (>_<)
context: What? You're kidding!\Like I've been saying, he's a homo.\Isn't there anyone you like?\No.\Why not?\Who knows? Maybe it's a sister complex after all.\That was weird...\Sorry It looks like students council meeting's going to go over time again, so you can leave ahead of me. (>_<) response:	You haven't even put a single stick of incense... Pretty heartless, aren't we?
context: Like I've been saying, he's a homo.\Isn't there anyone you like?\No.\Why not?\Who knows? Maybe it's a sister complex after all.\That was weird...\Sorry It looks like students council meeting's going to go over time again, so you can leave ahead of me. (>_<)\You haven't even put a single stick of incense... Pretty heartless, aren't we? response:	Even though half a year's passed since then.
context: Isn't there anyone you like?\No.\Why not?\Who knows? Maybe it's a sister complex after all.\That was weird...\Sorry It looks like students council meeting's going to go over time again, so you can leave ahead of me. (>_<)\You haven't even put a single stick of incense... Pretty heartless, aren't we?\Even though half a year's passed since then. response:	Well, I know Onee-chan always had a bad eye for guys.
context: No.\Why not?\Who knows? Maybe it's a sister complex after all.\That was weird...\Sorry It looks like students council meeting's going to go over time again, so you can leave ahead of me. (>_<)\You haven't even put a single stick of incense... Pretty heartless, aren't we?\Even though half a year's passed since then.\Well, I know Onee-chan always had a bad eye for guys. response:	Is that... her scarf?
context: Why not?\Who knows? Maybe it's a sister complex after all.\That was weird...\Sorry It looks like students council meeting's going to go over time again, so you can leave ahead of me. (>_<)\You haven't even put a single stick of incense... Pretty heartless, aren't we?\Even though half a year's passed since then.\Well, I know Onee-chan always had a bad eye for guys.\Is that... her scarf? response:	It was originally mine.
context: Who knows? Maybe it's a sister complex after all.\That was weird...\Sorry It looks like students council meeting's going to go over time again, so you can leave ahead of me. (>_<)\You haven't even put a single stick of incense... Pretty heartless, aren't we?\Even though half a year's passed since then.\Well, I know Onee-chan always had a bad eye for guys.\Is that... her scarf?\It was originally mine. response:	She would always borrow stuff from everyone.
context: That was weird...\Sorry It looks like students council meeting's going to go over time again, so you can leave ahead of me. (>_<)\You haven't even put a single stick of incense... Pretty heartless, aren't we?\Even though half a year's passed since then.\Well, I know Onee-chan always had a bad eye for guys.\Is that... her scarf?\It was originally mine.\She would always borrow stuff from everyone. response:	And she'd always get it dirty right away.
context: Sorry It looks like students council meeting's going to go over time again, so you can leave ahead of me. (>_<)\You haven't even put a single stick of incense... Pretty heartless, aren't we?\Even though half a year's passed since then.\Well, I know Onee-chan always had a bad eye for guys.\Is that... her scarf?\It was originally mine.\She would always borrow stuff from everyone.\And she'd always get it dirty right away. response:	She returned one of my favorite T-shirts with a large tomato juice stain on it.
context: You haven't even put a single stick of incense... Pretty heartless, aren't we?\Even though half a year's passed since then.\Well, I know Onee-chan always had a bad eye for guys.\Is that... her scarf?\It was originally mine.\She would always borrow stuff from everyone.\And she'd always get it dirty right away.\She returned one of my favorite T-shirts with a large tomato juice stain on it. response:	How could she make such a big stain, just like a child?
context: Even though half a year's passed since then.\Well, I know Onee-chan always had a bad eye for guys.\Is that... her scarf?\It was originally mine.\She would always borrow stuff from everyone.\And she'd always get it dirty right away.\She returned one of my favorite T-shirts with a large tomato juice stain on it.\How could she make such a big stain, just like a child? response:	Do you want it as a memento?
context: Well, I know Onee-chan always had a bad eye for guys.\Is that... her scarf?\It was originally mine.\She would always borrow stuff from everyone.\And she'd always get it dirty right away.\She returned one of my favorite T-shirts with a large tomato juice stain on it.\How could she make such a big stain, just like a child?\Do you want it as a memento? response:	Don't act like you're so cool.
context: Is that... her scarf?\It was originally mine.\She would always borrow stuff from everyone.\And she'd always get it dirty right away.\She returned one of my favorite T-shirts with a large tomato juice stain on it.\How could she make such a big stain, just like a child?\Do you want it as a memento?\Don't act like you're so cool. response:	She threw you out.
context: It was originally mine.\She would always borrow stuff from everyone.\And she'd always get it dirty right away.\She returned one of my favorite T-shirts with a large tomato juice stain on it.\How could she make such a big stain, just like a child?\Do you want it as a memento?\Don't act like you're so cool.\She threw you out. response:	Don't act like you're so much better than me.
context: She would always borrow stuff from everyone.\And she'd always get it dirty right away.\She returned one of my favorite T-shirts with a large tomato juice stain on it.\How could she make such a big stain, just like a child?\Do you want it as a memento?\Don't act like you're so cool.\She threw you out.\Don't act like you're so much better than me. response:	You sisters, both older and younger, are the worst.
context: And she'd always get it dirty right away.\She returned one of my favorite T-shirts with a large tomato juice stain on it.\How could she make such a big stain, just like a child?\Do you want it as a memento?\Don't act like you're so cool.\She threw you out.\Don't act like you're so much better than me.\You sisters, both older and younger, are the worst. response:	Don't...
context: She returned one of my favorite T-shirts with a large tomato juice stain on it.\How could she make such a big stain, just like a child?\Do you want it as a memento?\Don't act like you're so cool.\She threw you out.\Don't act like you're so much better than me.\You sisters, both older and younger, are the worst.\Don't... response:	Hurry and end already...
context: How could she make such a big stain, just like a child?\Do you want it as a memento?\Don't act like you're so cool.\She threw you out.\Don't act like you're so much better than me.\You sisters, both older and younger, are the worst.\Don't...\Hurry and end already... response:	I've been thinking about Yano all day.
