context: I put on the armillary compass I found in the laboratory basement, response:	which sent me back to 19th century London with Mari.
context: In the center?\This one?\Probably!\I was being careful not to touch things\when someone was in the past, so as not to cause any trouble, but...\Would you like more tea?\Yes, please!\Faraday! Awful news! response:	What's wrong?
context: This one?\Probably!\I was being careful not to touch things\when someone was in the past, so as not to cause any trouble, but...\Would you like more tea?\Yes, please!\Faraday! Awful news!\What's wrong? response:	Sir Davy's been going around everywhere since last night,
context: Probably!\I was being careful not to touch things\when someone was in the past, so as not to cause any trouble, but...\Would you like more tea?\Yes, please!\Faraday! Awful news!\What's wrong?\Sir Davy's been going around everywhere since last night, response:	telling everyone you stole his and Dr. Wollaston's research!
context: I was being careful not to touch things\when someone was in the past, so as not to cause any trouble, but...\Would you like more tea?\Yes, please!\Faraday! Awful news!\What's wrong?\Sir Davy's been going around everywhere since last night,\telling everyone you stole his and Dr. Wollaston's research! response:	What?
context: when someone was in the past, so as not to cause any trouble, but...\Would you like more tea?\Yes, please!\Faraday! Awful news!\What's wrong?\Sir Davy's been going around everywhere since last night,\telling everyone you stole his and Dr. Wollaston's research!\What? response:	I guess he didn't like that his apprentice got results when he didn't.
context: Would you like more tea?\Yes, please!\Faraday! Awful news!\What's wrong?\Sir Davy's been going around everywhere since last night,\telling everyone you stole his and Dr. Wollaston's research!\What?\I guess he didn't like that his apprentice got results when he didn't. response:	Of course, we don't believe you'd do something like that.
context: Yes, please!\Faraday! Awful news!\What's wrong?\Sir Davy's been going around everywhere since last night,\telling everyone you stole his and Dr. Wollaston's research!\What?\I guess he didn't like that his apprentice got results when he didn't.\Of course, we don't believe you'd do something like that. response:	But it's been the talk of the society all morning.
context: Faraday! Awful news!\What's wrong?\Sir Davy's been going around everywhere since last night,\telling everyone you stole his and Dr. Wollaston's research!\What?\I guess he didn't like that his apprentice got results when he didn't.\Of course, we don't believe you'd do something like that.\But it's been the talk of the society all morning. response:	It's just a rumor... but it's possible he may oppose your membership
context: What's wrong?\Sir Davy's been going around everywhere since last night,\telling everyone you stole his and Dr. Wollaston's research!\What?\I guess he didn't like that his apprentice got results when he didn't.\Of course, we don't believe you'd do something like that.\But it's been the talk of the society all morning.\It's just a rumor... but it's possible he may oppose your membership response:	in the Royal Institution.
context: Sir Davy's been going around everywhere since last night,\telling everyone you stole his and Dr. Wollaston's research!\What?\I guess he didn't like that his apprentice got results when he didn't.\Of course, we don't believe you'd do something like that.\But it's been the talk of the society all morning.\It's just a rumor... but it's possible he may oppose your membership\in the Royal Institution. response:	Sir Davy has a lot of influence with the Institution.
context: telling everyone you stole his and Dr. Wollaston's research!\What?\I guess he didn't like that his apprentice got results when he didn't.\Of course, we don't believe you'd do something like that.\But it's been the talk of the society all morning.\It's just a rumor... but it's possible he may oppose your membership\in the Royal Institution.\Sir Davy has a lot of influence with the Institution. response:	Yeah... And some people might use this to curry favor with him.
context: What?\I guess he didn't like that his apprentice got results when he didn't.\Of course, we don't believe you'd do something like that.\But it's been the talk of the society all morning.\It's just a rumor... but it's possible he may oppose your membership\in the Royal Institution.\Sir Davy has a lot of influence with the Institution.\Yeah... And some people might use this to curry favor with him. response:	Oh, no...
context: I guess he didn't like that his apprentice got results when he didn't.\Of course, we don't believe you'd do something like that.\But it's been the talk of the society all morning.\It's just a rumor... but it's possible he may oppose your membership\in the Royal Institution.\Sir Davy has a lot of influence with the Institution.\Yeah... And some people might use this to curry favor with him.\Oh, no... response:	Wait, please! Sir Davy!
context: Of course, we don't believe you'd do something like that.\But it's been the talk of the society all morning.\It's just a rumor... but it's possible he may oppose your membership\in the Royal Institution.\Sir Davy has a lot of influence with the Institution.\Yeah... And some people might use this to curry favor with him.\Oh, no...\Wait, please! Sir Davy! response:	I swear, I didn't steal your research!
context: But it's been the talk of the society all morning.\It's just a rumor... but it's possible he may oppose your membership\in the Royal Institution.\Sir Davy has a lot of influence with the Institution.\Yeah... And some people might use this to curry favor with him.\Oh, no...\Wait, please! Sir Davy!\I swear, I didn't steal your research! response:	I got those results from my own experiment!
context: It's just a rumor... but it's possible he may oppose your membership\in the Royal Institution.\Sir Davy has a lot of influence with the Institution.\Yeah... And some people might use this to curry favor with him.\Oh, no...\Wait, please! Sir Davy!\I swear, I didn't steal your research!\I got those results from my own experiment! response:	I will firmly denounce you
context: in the Royal Institution.\Sir Davy has a lot of influence with the Institution.\Yeah... And some people might use this to curry favor with him.\Oh, no...\Wait, please! Sir Davy!\I swear, I didn't steal your research!\I got those results from my own experiment!\I will firmly denounce you response:	as a shameless fraud who stole his patron's research.
context: Sir Davy has a lot of influence with the Institution.\Yeah... And some people might use this to curry favor with him.\Oh, no...\Wait, please! Sir Davy!\I swear, I didn't steal your research!\I got those results from my own experiment!\I will firmly denounce you\as a shameless fraud who stole his patron's research. response:	Sir...
context: Yeah... And some people might use this to curry favor with him.\Oh, no...\Wait, please! Sir Davy!\I swear, I didn't steal your research!\I got those results from my own experiment!\I will firmly denounce you\as a shameless fraud who stole his patron's research.\Sir... response:	At this rate, you may be left unable to take part in scientific study anywhere.
context: Oh, no...\Wait, please! Sir Davy!\I swear, I didn't steal your research!\I got those results from my own experiment!\I will firmly denounce you\as a shameless fraud who stole his patron's research.\Sir...\At this rate, you may be left unable to take part in scientific study anywhere. response:	He wants to take science away from me?
context: Wait, please! Sir Davy!\I swear, I didn't steal your research!\I got those results from my own experiment!\I will firmly denounce you\as a shameless fraud who stole his patron's research.\Sir...\At this rate, you may be left unable to take part in scientific study anywhere.\He wants to take science away from me? response:	Is that it?
context: I swear, I didn't steal your research!\I got those results from my own experiment!\I will firmly denounce you\as a shameless fraud who stole his patron's research.\Sir...\At this rate, you may be left unable to take part in scientific study anywhere.\He wants to take science away from me?\Is that it? response:	Wait!
context: I got those results from my own experiment!\I will firmly denounce you\as a shameless fraud who stole his patron's research.\Sir...\At this rate, you may be left unable to take part in scientific study anywhere.\He wants to take science away from me?\Is that it?\Wait! response:	Please, wait!
context: I will firmly denounce you\as a shameless fraud who stole his patron's research.\Sir...\At this rate, you may be left unable to take part in scientific study anywhere.\He wants to take science away from me?\Is that it?\Wait!\Please, wait! response:	W-Wait!
context: as a shameless fraud who stole his patron's research.\Sir...\At this rate, you may be left unable to take part in scientific study anywhere.\He wants to take science away from me?\Is that it?\Wait!\Please, wait!\W-Wait! response:	Please...
context: Sir...\At this rate, you may be left unable to take part in scientific study anywhere.\He wants to take science away from me?\Is that it?\Wait!\Please, wait!\W-Wait!\Please... response:	You were Faraday's...
context: At this rate, you may be left unable to take part in scientific study anywhere.\He wants to take science away from me?\Is that it?\Wait!\Please, wait!\W-Wait!\Please...\You were Faraday's... response:	His friend.
context: He wants to take science away from me?\Is that it?\Wait!\Please, wait!\W-Wait!\Please...\You were Faraday's...\His friend. response:	Please! Don't take science from him!
context: Is that it?\Wait!\Please, wait!\W-Wait!\Please...\You were Faraday's...\His friend.\Please! Don't take science from him! response:	Did you come running after me to say that?
context: Wait!\Please, wait!\W-Wait!\Please...\You were Faraday's...\His friend.\Please! Don't take science from him!\Did you come running after me to say that? response:	Pathetic.
context: Please, wait!\W-Wait!\Please...\You were Faraday's...\His friend.\Please! Don't take science from him!\Did you come running after me to say that?\Pathetic. response:	He really does love science!
context: W-Wait!\Please...\You were Faraday's...\His friend.\Please! Don't take science from him!\Did you come running after me to say that?\Pathetic.\He really does love science! response:	To take that from him... It's going too far.
context: Please...\You were Faraday's...\His friend.\Please! Don't take science from him!\Did you come running after me to say that?\Pathetic.\He really does love science!\To take that from him... It's going too far. response:	He's getting what's coming to him.
context: You were Faraday's...\His friend.\Please! Don't take science from him!\Did you come running after me to say that?\Pathetic.\He really does love science!\To take that from him... It's going too far.\He's getting what's coming to him. response:	You're a scientist too, aren't you?
context: His friend.\Please! Don't take science from him!\Did you come running after me to say that?\Pathetic.\He really does love science!\To take that from him... It's going too far.\He's getting what's coming to him.\You're a scientist too, aren't you? response:	Then... you know how painful it would be to lose your scientific work, right?
context: Please! Don't take science from him!\Did you come running after me to say that?\Pathetic.\He really does love science!\To take that from him... It's going too far.\He's getting what's coming to him.\You're a scientist too, aren't you?\Then... you know how painful it would be to lose your scientific work, right? response:	Do not compare me to Faraday!
context: Did you come running after me to say that?\Pathetic.\He really does love science!\To take that from him... It's going too far.\He's getting what's coming to him.\You're a scientist too, aren't you?\Then... you know how painful it would be to lose your scientific work, right?\Do not compare me to Faraday! response:	He can't even do math!
context: Pathetic.\He really does love science!\To take that from him... It's going too far.\He's getting what's coming to him.\You're a scientist too, aren't you?\Then... you know how painful it would be to lose your scientific work, right?\Do not compare me to Faraday!\He can't even do math! response:	He hasn't had a day's proper education!
context: He really does love science!\To take that from him... It's going too far.\He's getting what's coming to him.\You're a scientist too, aren't you?\Then... you know how painful it would be to lose your scientific work, right?\Do not compare me to Faraday!\He can't even do math!\He hasn't had a day's proper education! response:	He can't do anything
context: To take that from him... It's going too far.\He's getting what's coming to him.\You're a scientist too, aren't you?\Then... you know how painful it would be to lose your scientific work, right?\Do not compare me to Faraday!\He can't even do math!\He hasn't had a day's proper education!\He can't do anything response:	except for running experiments over and over!
context: He's getting what's coming to him.\You're a scientist too, aren't you?\Then... you know how painful it would be to lose your scientific work, right?\Do not compare me to Faraday!\He can't even do math!\He hasn't had a day's proper education!\He can't do anything\except for running experiments over and over! response:	What's wrong with that?
context: You're a scientist too, aren't you?\Then... you know how painful it would be to lose your scientific work, right?\Do not compare me to Faraday!\He can't even do math!\He hasn't had a day's proper education!\He can't do anything\except for running experiments over and over!\What's wrong with that? response:	What?
context: Then... you know how painful it would be to lose your scientific work, right?\Do not compare me to Faraday!\He can't even do math!\He hasn't had a day's proper education!\He can't do anything\except for running experiments over and over!\What's wrong with that?\What? response:	Getting results through constant experiments.
context: Do not compare me to Faraday!\He can't even do math!\He hasn't had a day's proper education!\He can't do anything\except for running experiments over and over!\What's wrong with that?\What?\Getting results through constant experiments. response:	That's how he does science.
context: He can't even do math!\He hasn't had a day's proper education!\He can't do anything\except for running experiments over and over!\What's wrong with that?\What?\Getting results through constant experiments.\That's how he does science. response:	That's how he does the science he loves!
context: He hasn't had a day's proper education!\He can't do anything\except for running experiments over and over!\What's wrong with that?\What?\Getting results through constant experiments.\That's how he does science.\That's how he does the science he loves! response:	Losing yourself in something...
context: He can't do anything\except for running experiments over and over!\What's wrong with that?\What?\Getting results through constant experiments.\That's how he does science.\That's how he does the science he loves!\Losing yourself in something... response:	Losing yourself in just one thing... What's wrong with that?
context: except for running experiments over and over!\What's wrong with that?\What?\Getting results through constant experiments.\That's how he does science.\That's how he does the science he loves!\Losing yourself in something...\Losing yourself in just one thing... What's wrong with that? response:	What's wrong with losing yourself in what you love?
context: What's wrong with that?\What?\Getting results through constant experiments.\That's how he does science.\That's how he does the science he loves!\Losing yourself in something...\Losing yourself in just one thing... What's wrong with that?\What's wrong with losing yourself in what you love? response:	I'm back.
context: What?\Getting results through constant experiments.\That's how he does science.\That's how he does the science he loves!\Losing yourself in something...\Losing yourself in just one thing... What's wrong with that?\What's wrong with losing yourself in what you love?\I'm back. response:	Mr. Faraday!
context: Getting results through constant experiments.\That's how he does science.\That's how he does the science he loves!\Losing yourself in something...\Losing yourself in just one thing... What's wrong with that?\What's wrong with losing yourself in what you love?\I'm back.\Mr. Faraday! response:	Where did he go?
context: That's how he does science.\That's how he does the science he loves!\Losing yourself in something...\Losing yourself in just one thing... What's wrong with that?\What's wrong with losing yourself in what you love?\I'm back.\Mr. Faraday!\Where did he go? response:	How's it going, Shun?
context: That's how he does the science he loves!\Losing yourself in something...\Losing yourself in just one thing... What's wrong with that?\What's wrong with losing yourself in what you love?\I'm back.\Mr. Faraday!\Where did he go?\How's it going, Shun? response:	Well, it says synchronization rate is 100...
context: Losing yourself in something...\Losing yourself in just one thing... What's wrong with that?\What's wrong with losing yourself in what you love?\I'm back.\Mr. Faraday!\Where did he go?\How's it going, Shun?\Well, it says synchronization rate is 100... response:	Brother? Mari?
context: Losing yourself in just one thing... What's wrong with that?\What's wrong with losing yourself in what you love?\I'm back.\Mr. Faraday!\Where did he go?\How's it going, Shun?\Well, it says synchronization rate is 100...\Brother? Mari? response:	Is that you, Mari? Can you hear me? Hey!
context: What's wrong with losing yourself in what you love?\I'm back.\Mr. Faraday!\Where did he go?\How's it going, Shun?\Well, it says synchronization rate is 100...\Brother? Mari?\Is that you, Mari? Can you hear me? Hey! response:	Waka!
context: I'm back.\Mr. Faraday!\Where did he go?\How's it going, Shun?\Well, it says synchronization rate is 100...\Brother? Mari?\Is that you, Mari? Can you hear me? Hey!\Waka! response:	I can hear you!
context: Mr. Faraday!\Where did he go?\How's it going, Shun?\Well, it says synchronization rate is 100...\Brother? Mari?\Is that you, Mari? Can you hear me? Hey!\Waka!\I can hear you! response:	Hey, what's going on?
context: Where did he go?\How's it going, Shun?\Well, it says synchronization rate is 100...\Brother? Mari?\Is that you, Mari? Can you hear me? Hey!\Waka!\I can hear you!\Hey, what's going on? response:	It's not on fast-forward anymore!
context: How's it going, Shun?\Well, it says synchronization rate is 100...\Brother? Mari?\Is that you, Mari? Can you hear me? Hey!\Waka!\I can hear you!\Hey, what's going on?\It's not on fast-forward anymore! response:	I see! The armillary compass and the system have synchronized!
context: Well, it says synchronization rate is 100...\Brother? Mari?\Is that you, Mari? Can you hear me? Hey!\Waka!\I can hear you!\Hey, what's going on?\It's not on fast-forward anymore!\I see! The armillary compass and the system have synchronized! response:	I'm so glad!
context: Brother? Mari?\Is that you, Mari? Can you hear me? Hey!\Waka!\I can hear you!\Hey, what's going on?\It's not on fast-forward anymore!\I see! The armillary compass and the system have synchronized!\I'm so glad! response:	Waka! Listen close!
context: Is that you, Mari? Can you hear me? Hey!\Waka!\I can hear you!\Hey, what's going on?\It's not on fast-forward anymore!\I see! The armillary compass and the system have synchronized!\I'm so glad!\Waka! Listen close! response:	You know the knob at the bottom of the compass?
context: Waka!\I can hear you!\Hey, what's going on?\It's not on fast-forward anymore!\I see! The armillary compass and the system have synchronized!\I'm so glad!\Waka! Listen close!\You know the knob at the bottom of the compass? response:	Knob?
context: I can hear you!\Hey, what's going on?\It's not on fast-forward anymore!\I see! The armillary compass and the system have synchronized!\I'm so glad!\Waka! Listen close!\You know the knob at the bottom of the compass?\Knob? response:	This?
context: Hey, what's going on?\It's not on fast-forward anymore!\I see! The armillary compass and the system have synchronized!\I'm so glad!\Waka! Listen close!\You know the knob at the bottom of the compass?\Knob?\This? response:	Yeah, that!
context: It's not on fast-forward anymore!\I see! The armillary compass and the system have synchronized!\I'm so glad!\Waka! Listen close!\You know the knob at the bottom of the compass?\Knob?\This?\Yeah, that! response:	If you turn that, you can come back here!
context: I see! The armillary compass and the system have synchronized!\I'm so glad!\Waka! Listen close!\You know the knob at the bottom of the compass?\Knob?\This?\Yeah, that!\If you turn that, you can come back here! response:	Really?
context: I'm so glad!\Waka! Listen close!\You know the knob at the bottom of the compass?\Knob?\This?\Yeah, that!\If you turn that, you can come back here!\Really? response:	Yeah!
context: Waka! Listen close!\You know the knob at the bottom of the compass?\Knob?\This?\Yeah, that!\If you turn that, you can come back here!\Really?\Yeah! response:	That's how I got back from Mr. Volta's time!
context: You know the knob at the bottom of the compass?\Knob?\This?\Yeah, that!\If you turn that, you can come back here!\Really?\Yeah!\That's how I got back from Mr. Volta's time! response:	Thank goodness!
context: Knob?\This?\Yeah, that!\If you turn that, you can come back here!\Really?\Yeah!\That's how I got back from Mr. Volta's time!\Thank goodness! response:	I thought I'd never make it home!
context: This?\Yeah, that!\If you turn that, you can come back here!\Really?\Yeah!\That's how I got back from Mr. Volta's time!\Thank goodness!\I thought I'd never make it home! response:	Now, now. Don't cry!
context: Yeah, that!\If you turn that, you can come back here!\Really?\Yeah!\That's how I got back from Mr. Volta's time!\Thank goodness!\I thought I'd never make it home!\Now, now. Don't cry! response:	Waka, come back.
context: If you turn that, you can come back here!\Really?\Yeah!\That's how I got back from Mr. Volta's time!\Thank goodness!\I thought I'd never make it home!\Now, now. Don't cry!\Waka, come back. response:	Okay!
context: Really?\Yeah!\That's how I got back from Mr. Volta's time!\Thank goodness!\I thought I'd never make it home!\Now, now. Don't cry!\Waka, come back.\Okay! response:	What's wrong?
context: Yeah!\That's how I got back from Mr. Volta's time!\Thank goodness!\I thought I'd never make it home!\Now, now. Don't cry!\Waka, come back.\Okay!\What's wrong? response:	Hey... What's going to happen with Mr. Faraday's discoveries and research?
context: That's how I got back from Mr. Volta's time!\Thank goodness!\I thought I'd never make it home!\Now, now. Don't cry!\Waka, come back.\Okay!\What's wrong?\Hey... What's going to happen with Mr. Faraday's discoveries and research? response:	To put it simply, his discovery will be the basis
context: Thank goodness!\I thought I'd never make it home!\Now, now. Don't cry!\Waka, come back.\Okay!\What's wrong?\Hey... What's going to happen with Mr. Faraday's discoveries and research?\To put it simply, his discovery will be the basis response:	for the invention of the modern-day motor.
context: I thought I'd never make it home!\Now, now. Don't cry!\Waka, come back.\Okay!\What's wrong?\Hey... What's going to happen with Mr. Faraday's discoveries and research?\To put it simply, his discovery will be the basis\for the invention of the modern-day motor. response:	Motor?
context: Now, now. Don't cry!\Waka, come back.\Okay!\What's wrong?\Hey... What's going to happen with Mr. Faraday's discoveries and research?\To put it simply, his discovery will be the basis\for the invention of the modern-day motor.\Motor? response:	Then cars and washing machines and stuff...
context: Waka, come back.\Okay!\What's wrong?\Hey... What's going to happen with Mr. Faraday's discoveries and research?\To put it simply, his discovery will be the basis\for the invention of the modern-day motor.\Motor?\Then cars and washing machines and stuff... response:	We owe them all to Mr. Faraday?
context: Okay!\What's wrong?\Hey... What's going to happen with Mr. Faraday's discoveries and research?\To put it simply, his discovery will be the basis\for the invention of the modern-day motor.\Motor?\Then cars and washing machines and stuff...\We owe them all to Mr. Faraday? response:	Yes. His influence won't stop at the scientific world.
context: What's wrong?\Hey... What's going to happen with Mr. Faraday's discoveries and research?\To put it simply, his discovery will be the basis\for the invention of the modern-day motor.\Motor?\Then cars and washing machines and stuff...\We owe them all to Mr. Faraday?\Yes. His influence won't stop at the scientific world. response:	In a way, he's the man who laid the foundation for all modern culture.
context: Hey... What's going to happen with Mr. Faraday's discoveries and research?\To put it simply, his discovery will be the basis\for the invention of the modern-day motor.\Motor?\Then cars and washing machines and stuff...\We owe them all to Mr. Faraday?\Yes. His influence won't stop at the scientific world.\In a way, he's the man who laid the foundation for all modern culture. response:	Waka?
context: To put it simply, his discovery will be the basis\for the invention of the modern-day motor.\Motor?\Then cars and washing machines and stuff...\We owe them all to Mr. Faraday?\Yes. His influence won't stop at the scientific world.\In a way, he's the man who laid the foundation for all modern culture.\Waka? response:	Is it okay... if I stay here a little bit longer?
context: for the invention of the modern-day motor.\Motor?\Then cars and washing machines and stuff...\We owe them all to Mr. Faraday?\Yes. His influence won't stop at the scientific world.\In a way, he's the man who laid the foundation for all modern culture.\Waka?\Is it okay... if I stay here a little bit longer? response:	Where are you, Mr. Faraday?
context: Motor?\Then cars and washing machines and stuff...\We owe them all to Mr. Faraday?\Yes. His influence won't stop at the scientific world.\In a way, he's the man who laid the foundation for all modern culture.\Waka?\Is it okay... if I stay here a little bit longer?\Where are you, Mr. Faraday? response:	Mr. Faraday!
context: Then cars and washing machines and stuff...\We owe them all to Mr. Faraday?\Yes. His influence won't stop at the scientific world.\In a way, he's the man who laid the foundation for all modern culture.\Waka?\Is it okay... if I stay here a little bit longer?\Where are you, Mr. Faraday?\Mr. Faraday! response:	I've been searching everywhere!
context: We owe them all to Mr. Faraday?\Yes. His influence won't stop at the scientific world.\In a way, he's the man who laid the foundation for all modern culture.\Waka?\Is it okay... if I stay here a little bit longer?\Where are you, Mr. Faraday?\Mr. Faraday!\I've been searching everywhere! response:	Are you going to quit...
context: Yes. His influence won't stop at the scientific world.\In a way, he's the man who laid the foundation for all modern culture.\Waka?\Is it okay... if I stay here a little bit longer?\Where are you, Mr. Faraday?\Mr. Faraday!\I've been searching everywhere!\Are you going to quit... response:	You can't quit. You can't!
context: In a way, he's the man who laid the foundation for all modern culture.\Waka?\Is it okay... if I stay here a little bit longer?\Where are you, Mr. Faraday?\Mr. Faraday!\I've been searching everywhere!\Are you going to quit...\You can't quit. You can't! response:	What you're doing now will lead to some very important inventions in the future.
context: Waka?\Is it okay... if I stay here a little bit longer?\Where are you, Mr. Faraday?\Mr. Faraday!\I've been searching everywhere!\Are you going to quit...\You can't quit. You can't!\What you're doing now will lead to some very important inventions in the future. response:	In the future?
context: Is it okay... if I stay here a little bit longer?\Where are you, Mr. Faraday?\Mr. Faraday!\I've been searching everywhere!\Are you going to quit...\You can't quit. You can't!\What you're doing now will lead to some very important inventions in the future.\In the future? response:	It's called a motor.
context: Where are you, Mr. Faraday?\Mr. Faraday!\I've been searching everywhere!\Are you going to quit...\You can't quit. You can't!\What you're doing now will lead to some very important inventions in the future.\In the future?\It's called a motor. response:	You invent that, and it improves everybody's lives.
context: Mr. Faraday!\I've been searching everywhere!\Are you going to quit...\You can't quit. You can't!\What you're doing now will lead to some very important inventions in the future.\In the future?\It's called a motor.\You invent that, and it improves everybody's lives. response:	Motors have an incredible power... the power to move things!
context: I've been searching everywhere!\Are you going to quit...\You can't quit. You can't!\What you're doing now will lead to some very important inventions in the future.\In the future?\It's called a motor.\You invent that, and it improves everybody's lives.\Motors have an incredible power... the power to move things! response:	Waka...
context: Are you going to quit...\You can't quit. You can't!\What you're doing now will lead to some very important inventions in the future.\In the future?\It's called a motor.\You invent that, and it improves everybody's lives.\Motors have an incredible power... the power to move things!\Waka... response:	You believe that science exists to make people happy, right?
context: You can't quit. You can't!\What you're doing now will lead to some very important inventions in the future.\In the future?\It's called a motor.\You invent that, and it improves everybody's lives.\Motors have an incredible power... the power to move things!\Waka...\You believe that science exists to make people happy, right? response:	You love science, right?
context: What you're doing now will lead to some very important inventions in the future.\In the future?\It's called a motor.\You invent that, and it improves everybody's lives.\Motors have an incredible power... the power to move things!\Waka...\You believe that science exists to make people happy, right?\You love science, right? response:	Then you can't stop!
context: In the future?\It's called a motor.\You invent that, and it improves everybody's lives.\Motors have an incredible power... the power to move things!\Waka...\You believe that science exists to make people happy, right?\You love science, right?\Then you can't stop! response:	Come on now, Waka. Who said I was going to give up on science?
context: It's called a motor.\You invent that, and it improves everybody's lives.\Motors have an incredible power... the power to move things!\Waka...\You believe that science exists to make people happy, right?\You love science, right?\Then you can't stop!\Come on now, Waka. Who said I was going to give up on science? response:	What? But... you'd cleaned up all your things...
context: You invent that, and it improves everybody's lives.\Motors have an incredible power... the power to move things!\Waka...\You believe that science exists to make people happy, right?\You love science, right?\Then you can't stop!\Come on now, Waka. Who said I was going to give up on science?\What? But... you'd cleaned up all your things... response:	And you were here, staring off into the distance... so...
context: Motors have an incredible power... the power to move things!\Waka...\You believe that science exists to make people happy, right?\You love science, right?\Then you can't stop!\Come on now, Waka. Who said I was going to give up on science?\What? But... you'd cleaned up all your things...\And you were here, staring off into the distance... so... response:	No, no!
context: Waka...\You believe that science exists to make people happy, right?\You love science, right?\Then you can't stop!\Come on now, Waka. Who said I was going to give up on science?\What? But... you'd cleaned up all your things...\And you were here, staring off into the distance... so...\No, no! response:	I came up with a new experiment,
context: You believe that science exists to make people happy, right?\You love science, right?\Then you can't stop!\Come on now, Waka. Who said I was going to give up on science?\What? But... you'd cleaned up all your things...\And you were here, staring off into the distance... so...\No, no!\I came up with a new experiment, response:	so I cleared off my desk to make space for it!
context: You love science, right?\Then you can't stop!\Come on now, Waka. Who said I was going to give up on science?\What? But... you'd cleaned up all your things...\And you were here, staring off into the distance... so...\No, no!\I came up with a new experiment,\so I cleared off my desk to make space for it! response:	Then why didn't you tell me that earlier?!
context: Then you can't stop!\Come on now, Waka. Who said I was going to give up on science?\What? But... you'd cleaned up all your things...\And you were here, staring off into the distance... so...\No, no!\I came up with a new experiment,\so I cleared off my desk to make space for it!\Then why didn't you tell me that earlier?! response:	Sorry! Anyway, let's get started!
context: Come on now, Waka. Who said I was going to give up on science?\What? But... you'd cleaned up all your things...\And you were here, staring off into the distance... so...\No, no!\I came up with a new experiment,\so I cleared off my desk to make space for it!\Then why didn't you tell me that earlier?!\Sorry! Anyway, let's get started! response:	If running electricity through the copper wire
context: What? But... you'd cleaned up all your things...\And you were here, staring off into the distance... so...\No, no!\I came up with a new experiment,\so I cleared off my desk to make space for it!\Then why didn't you tell me that earlier?!\Sorry! Anyway, let's get started!\If running electricity through the copper wire response:	can cause a magnet to rotate,
context: And you were here, staring off into the distance... so...\No, no!\I came up with a new experiment,\so I cleared off my desk to make space for it!\Then why didn't you tell me that earlier?!\Sorry! Anyway, let's get started!\If running electricity through the copper wire\can cause a magnet to rotate, response:	then thinking backwards from there,
context: No, no!\I came up with a new experiment,\so I cleared off my desk to make space for it!\Then why didn't you tell me that earlier?!\Sorry! Anyway, let's get started!\If running electricity through the copper wire\can cause a magnet to rotate,\then thinking backwards from there, response:	you should be able to generate electricity using copper wire and magnets, too.
context: I came up with a new experiment,\so I cleared off my desk to make space for it!\Then why didn't you tell me that earlier?!\Sorry! Anyway, let's get started!\If running electricity through the copper wire\can cause a magnet to rotate,\then thinking backwards from there,\you should be able to generate electricity using copper wire and magnets, too. response:	Anything?
context: so I cleared off my desk to make space for it!\Then why didn't you tell me that earlier?!\Sorry! Anyway, let's get started!\If running electricity through the copper wire\can cause a magnet to rotate,\then thinking backwards from there,\you should be able to generate electricity using copper wire and magnets, too.\Anything? response:	No reaction.
context: Then why didn't you tell me that earlier?!\Sorry! Anyway, let's get started!\If running electricity through the copper wire\can cause a magnet to rotate,\then thinking backwards from there,\you should be able to generate electricity using copper wire and magnets, too.\Anything?\No reaction. response:	Let's run some electricity through it, to make sure the galvanometer is working.
context: Sorry! Anyway, let's get started!\If running electricity through the copper wire\can cause a magnet to rotate,\then thinking backwards from there,\you should be able to generate electricity using copper wire and magnets, too.\Anything?\No reaction.\Let's run some electricity through it, to make sure the galvanometer is working. response:	Working normally.
context: If running electricity through the copper wire\can cause a magnet to rotate,\then thinking backwards from there,\you should be able to generate electricity using copper wire and magnets, too.\Anything?\No reaction.\Let's run some electricity through it, to make sure the galvanometer is working.\Working normally. response:	Okay, let's try it again!
context: can cause a magnet to rotate,\then thinking backwards from there,\you should be able to generate electricity using copper wire and magnets, too.\Anything?\No reaction.\Let's run some electricity through it, to make sure the galvanometer is working.\Working normally.\Okay, let's try it again! response:	No reaction.
context: then thinking backwards from there,\you should be able to generate electricity using copper wire and magnets, too.\Anything?\No reaction.\Let's run some electricity through it, to make sure the galvanometer is working.\Working normally.\Okay, let's try it again!\No reaction. response:	Let's change the direction of the magnet.
context: you should be able to generate electricity using copper wire and magnets, too.\Anything?\No reaction.\Let's run some electricity through it, to make sure the galvanometer is working.\Working normally.\Okay, let's try it again!\No reaction.\Let's change the direction of the magnet. response:	What now?
context: Anything?\No reaction.\Let's run some electricity through it, to make sure the galvanometer is working.\Working normally.\Okay, let's try it again!\No reaction.\Let's change the direction of the magnet.\What now? response:	Nothing.
context: No reaction.\Let's run some electricity through it, to make sure the galvanometer is working.\Working normally.\Okay, let's try it again!\No reaction.\Let's change the direction of the magnet.\What now?\Nothing. response:	What about now?
context: Let's run some electricity through it, to make sure the galvanometer is working.\Working normally.\Okay, let's try it again!\No reaction.\Let's change the direction of the magnet.\What now?\Nothing.\What about now? response:	No reaction.
context: Working normally.\Okay, let's try it again!\No reaction.\Let's change the direction of the magnet.\What now?\Nothing.\What about now?\No reaction. response:	No use, huh?
context: Okay, let's try it again!\No reaction.\Let's change the direction of the magnet.\What now?\Nothing.\What about now?\No reaction.\No use, huh? response:	It seems theoretically possible, but...
context: No reaction.\Let's change the direction of the magnet.\What now?\Nothing.\What about now?\No reaction.\No use, huh?\It seems theoretically possible, but... response:	But not getting any result in an experiment makes it a failure, right?
