context: The same power, the same voice... response:	I see. It's uncanny.
context: to pull the lacrima island and ram it into Extalia.\But!\If we crash the Dragon Chain Cannon, infused with Dragon Slayer magic,\directly into the lacrima...\Oh! I don't get it, but I see!\The Dragon Chain Cannon seems to be up ahead.\Right, let's go.\We have a problem though. response:	There's no way to enter the room.
context: But!\If we crash the Dragon Chain Cannon, infused with Dragon Slayer magic,\directly into the lacrima...\Oh! I don't get it, but I see!\The Dragon Chain Cannon seems to be up ahead.\Right, let's go.\We have a problem though.\There's no way to enter the room. response:	Then we just bust our way in, right?
context: If we crash the Dragon Chain Cannon, infused with Dragon Slayer magic,\directly into the lacrima...\Oh! I don't get it, but I see!\The Dragon Chain Cannon seems to be up ahead.\Right, let's go.\We have a problem though.\There's no way to enter the room.\Then we just bust our way in, right? response:	I can use magic now, remember?
context: directly into the lacrima...\Oh! I don't get it, but I see!\The Dragon Chain Cannon seems to be up ahead.\Right, let's go.\We have a problem though.\There's no way to enter the room.\Then we just bust our way in, right?\I can use magic now, remember? response:	Not gonna work.
context: Oh! I don't get it, but I see!\The Dragon Chain Cannon seems to be up ahead.\Right, let's go.\We have a problem though.\There's no way to enter the room.\Then we just bust our way in, right?\I can use magic now, remember?\Not gonna work. response:	There's some kind of Wizard Canceler device that makes it so magic won't work.
context: The Dragon Chain Cannon seems to be up ahead.\Right, let's go.\We have a problem though.\There's no way to enter the room.\Then we just bust our way in, right?\I can use magic now, remember?\Not gonna work.\There's some kind of Wizard Canceler device that makes it so magic won't work. response:	Won't know until we try, right?
context: Right, let's go.\We have a problem though.\There's no way to enter the room.\Then we just bust our way in, right?\I can use magic now, remember?\Not gonna work.\There's some kind of Wizard Canceler device that makes it so magic won't work.\Won't know until we try, right? response:	We need a plan, first!
context: We have a problem though.\There's no way to enter the room.\Then we just bust our way in, right?\I can use magic now, remember?\Not gonna work.\There's some kind of Wizard Canceler device that makes it so magic won't work.\Won't know until we try, right?\We need a plan, first! response:	So there you are...
context: There's no way to enter the room.\Then we just bust our way in, right?\I can use magic now, remember?\Not gonna work.\There's some kind of Wizard Canceler device that makes it so magic won't work.\Won't know until we try, right?\We need a plan, first!\So there you are... response:	Erza!
context: Then we just bust our way in, right?\I can use magic now, remember?\Not gonna work.\There's some kind of Wizard Canceler device that makes it so magic won't work.\Won't know until we try, right?\We need a plan, first!\So there you are...\Erza! response:	Wait... That's the Edolas's...
context: I can use magic now, remember?\Not gonna work.\There's some kind of Wizard Canceler device that makes it so magic won't work.\Won't know until we try, right?\We need a plan, first!\So there you are...\Erza!\Wait... That's the Edolas's... response:	Damn it...
context: Not gonna work.\There's some kind of Wizard Canceler device that makes it so magic won't work.\Won't know until we try, right?\We need a plan, first!\So there you are...\Erza!\Wait... That's the Edolas's...\Damn it... response:	Our Erza... lost?
context: There's some kind of Wizard Canceler device that makes it so magic won't work.\Won't know until we try, right?\We need a plan, first!\So there you are...\Erza!\Wait... That's the Edolas's...\Damn it...\Our Erza... lost? response:	Are you well, Captain Knightwalker?
context: Won't know until we try, right?\We need a plan, first!\So there you are...\Erza!\Wait... That's the Edolas's...\Damn it...\Our Erza... lost?\Are you well, Captain Knightwalker? response:	Well? Look at her!
context: We need a plan, first!\So there you are...\Erza!\Wait... That's the Edolas's...\Damn it...\Our Erza... lost?\Are you well, Captain Knightwalker?\Well? Look at her! response:	W-Where did you get those wounds?
context: So there you are...\Erza!\Wait... That's the Edolas's...\Damn it...\Our Erza... lost?\Are you well, Captain Knightwalker?\Well? Look at her!\W-Where did you get those wounds? response:	Just a few scratches.
context: Erza!\Wait... That's the Edolas's...\Damn it...\Our Erza... lost?\Are you well, Captain Knightwalker?\Well? Look at her!\W-Where did you get those wounds?\Just a few scratches. response:	And those two...?
context: Wait... That's the Edolas's...\Damn it...\Our Erza... lost?\Are you well, Captain Knightwalker?\Well? Look at her!\W-Where did you get those wounds?\Just a few scratches.\And those two...? response:	The key to the Dragon Chain Cannon.
context: Damn it...\Our Erza... lost?\Are you well, Captain Knightwalker?\Well? Look at her!\W-Where did you get those wounds?\Just a few scratches.\And those two...?\The key to the Dragon Chain Cannon. response:	K-Key?
context: Our Erza... lost?\Are you well, Captain Knightwalker?\Well? Look at her!\W-Where did you get those wounds?\Just a few scratches.\And those two...?\The key to the Dragon Chain Cannon.\K-Key? response:	Is His Highness inside?
context: Are you well, Captain Knightwalker?\Well? Look at her!\W-Where did you get those wounds?\Just a few scratches.\And those two...?\The key to the Dragon Chain Cannon.\K-Key?\Is His Highness inside? response:	Yes! This way.
context: Well? Look at her!\W-Where did you get those wounds?\Just a few scratches.\And those two...?\The key to the Dragon Chain Cannon.\K-Key?\Is His Highness inside?\Yes! This way. response:	All the preparations are complete.
context: W-Where did you get those wounds?\Just a few scratches.\And those two...?\The key to the Dragon Chain Cannon.\K-Key?\Is His Highness inside?\Yes! This way.\All the preparations are complete. response:	An eternity of magic, right before my eyes...
context: Just a few scratches.\And those two...?\The key to the Dragon Chain Cannon.\K-Key?\Is His Highness inside?\Yes! This way.\All the preparations are complete.\An eternity of magic, right before my eyes... response:	Damn, he's slow.
context: And those two...?\The key to the Dragon Chain Cannon.\K-Key?\Is His Highness inside?\Yes! This way.\All the preparations are complete.\An eternity of magic, right before my eyes...\Damn, he's slow. response:	Hey, you call out to her!
context: The key to the Dragon Chain Cannon.\K-Key?\Is His Highness inside?\Yes! This way.\All the preparations are complete.\An eternity of magic, right before my eyes...\Damn, he's slow.\Hey, you call out to her! response:	R-Right...
context: K-Key?\Is His Highness inside?\Yes! This way.\All the preparations are complete.\An eternity of magic, right before my eyes...\Damn, he's slow.\Hey, you call out to her!\R-Right... response:	H-Hey, what are you doing there?
context: Is His Highness inside?\Yes! This way.\All the preparations are complete.\An eternity of magic, right before my eyes...\Damn, he's slow.\Hey, you call out to her!\R-Right...\H-Hey, what are you doing there? response:	Everyone's waiting.
context: Yes! This way.\All the preparations are complete.\An eternity of magic, right before my eyes...\Damn, he's slow.\Hey, you call out to her!\R-Right...\H-Hey, what are you doing there?\Everyone's waiting. response:	My informant.
context: All the preparations are complete.\An eternity of magic, right before my eyes...\Damn, he's slow.\Hey, you call out to her!\R-Right...\H-Hey, what are you doing there?\Everyone's waiting.\My informant. response:	W-What?
context: An eternity of magic, right before my eyes...\Damn, he's slow.\Hey, you call out to her!\R-Right...\H-Hey, what are you doing there?\Everyone's waiting.\My informant.\W-What? response:	Plotting something again?
context: Damn, he's slow.\Hey, you call out to her!\R-Right...\H-Hey, what are you doing there?\Everyone's waiting.\My informant.\W-What?\Plotting something again? response:	I need the latest information... if I'm going to convince everyone, anyway.
context: Hey, you call out to her!\R-Right...\H-Hey, what are you doing there?\Everyone's waiting.\My informant.\W-What?\Plotting something again?\I need the latest information... if I'm going to convince everyone, anyway. response:	Convince us?
context: R-Right...\H-Hey, what are you doing there?\Everyone's waiting.\My informant.\W-What?\Plotting something again?\I need the latest information... if I'm going to convince everyone, anyway.\Convince us? response:	I don't like the sound of that.
context: H-Hey, what are you doing there?\Everyone's waiting.\My informant.\W-What?\Plotting something again?\I need the latest information... if I'm going to convince everyone, anyway.\Convince us?\I don't like the sound of that. response:	How is everyone doing?
context: Everyone's waiting.\My informant.\W-What?\Plotting something again?\I need the latest information... if I'm going to convince everyone, anyway.\Convince us?\I don't like the sound of that.\How is everyone doing? response:	They heard you had something to say, Lucy-san, so they're uneasy.
context: My informant.\W-What?\Plotting something again?\I need the latest information... if I'm going to convince everyone, anyway.\Convince us?\I don't like the sound of that.\How is everyone doing?\They heard you had something to say, Lucy-san, so they're uneasy. response:	No kidding.
context: W-What?\Plotting something again?\I need the latest information... if I'm going to convince everyone, anyway.\Convince us?\I don't like the sound of that.\How is everyone doing?\They heard you had something to say, Lucy-san, so they're uneasy.\No kidding. response:	After meeting those guys from the other world, Lucy's been more uptight than ever!
context: Plotting something again?\I need the latest information... if I'm going to convince everyone, anyway.\Convince us?\I don't like the sound of that.\How is everyone doing?\They heard you had something to say, Lucy-san, so they're uneasy.\No kidding.\After meeting those guys from the other world, Lucy's been more uptight than ever! response:	Yeah... That'd scare anyone, for sure...
context: I need the latest information... if I'm going to convince everyone, anyway.\Convince us?\I don't like the sound of that.\How is everyone doing?\They heard you had something to say, Lucy-san, so they're uneasy.\No kidding.\After meeting those guys from the other world, Lucy's been more uptight than ever!\Yeah... That'd scare anyone, for sure... response:	You bunch of goddamn scaredy-cats!
context: Convince us?\I don't like the sound of that.\How is everyone doing?\They heard you had something to say, Lucy-san, so they're uneasy.\No kidding.\After meeting those guys from the other world, Lucy's been more uptight than ever!\Yeah... That'd scare anyone, for sure...\You bunch of goddamn scaredy-cats! response:	We're sorry!
context: I don't like the sound of that.\How is everyone doing?\They heard you had something to say, Lucy-san, so they're uneasy.\No kidding.\After meeting those guys from the other world, Lucy's been more uptight than ever!\Yeah... That'd scare anyone, for sure...\You bunch of goddamn scaredy-cats!\We're sorry! response:	Don't harmonize!
context: How is everyone doing?\They heard you had something to say, Lucy-san, so they're uneasy.\No kidding.\After meeting those guys from the other world, Lucy's been more uptight than ever!\Yeah... That'd scare anyone, for sure...\You bunch of goddamn scaredy-cats!\We're sorry!\Don't harmonize! response:	Erza, is it true you bring the key with you?
context: They heard you had something to say, Lucy-san, so they're uneasy.\No kidding.\After meeting those guys from the other world, Lucy's been more uptight than ever!\Yeah... That'd scare anyone, for sure...\You bunch of goddamn scaredy-cats!\We're sorry!\Don't harmonize!\Erza, is it true you bring the key with you? response:	It was destroyed, but do not worry.
context: No kidding.\After meeting those guys from the other world, Lucy's been more uptight than ever!\Yeah... That'd scare anyone, for sure...\You bunch of goddamn scaredy-cats!\We're sorry!\Don't harmonize!\Erza, is it true you bring the key with you?\It was destroyed, but do not worry. response:	What?
context: After meeting those guys from the other world, Lucy's been more uptight than ever!\Yeah... That'd scare anyone, for sure...\You bunch of goddamn scaredy-cats!\We're sorry!\Don't harmonize!\Erza, is it true you bring the key with you?\It was destroyed, but do not worry.\What? response:	He can make a key.
context: Yeah... That'd scare anyone, for sure...\You bunch of goddamn scaredy-cats!\We're sorry!\Don't harmonize!\Erza, is it true you bring the key with you?\It was destroyed, but do not worry.\What?\He can make a key. response:	Damn you...
context: You bunch of goddamn scaredy-cats!\We're sorry!\Don't harmonize!\Erza, is it true you bring the key with you?\It was destroyed, but do not worry.\What?\He can make a key.\Damn you... response:	And he is...?
context: We're sorry!\Don't harmonize!\Erza, is it true you bring the key with you?\It was destroyed, but do not worry.\What?\He can make a key.\Damn you...\And he is...? response:	An Earthland wizard.
context: Don't harmonize!\Erza, is it true you bring the key with you?\It was destroyed, but do not worry.\What?\He can make a key.\Damn you...\And he is...?\An Earthland wizard. response:	A friend of the Dragon Slayer.
context: Erza, is it true you bring the key with you?\It was destroyed, but do not worry.\What?\He can make a key.\Damn you...\And he is...?\An Earthland wizard.\A friend of the Dragon Slayer. response:	Are you saying...
context: It was destroyed, but do not worry.\What?\He can make a key.\Damn you...\And he is...?\An Earthland wizard.\A friend of the Dragon Slayer.\Are you saying... response:	They have something to do with the disappearance of the lacrima in the public square?
context: What?\He can make a key.\Damn you...\And he is...?\An Earthland wizard.\A friend of the Dragon Slayer.\Are you saying...\They have something to do with the disappearance of the lacrima in the public square? response:	Exactly.
context: He can make a key.\Damn you...\And he is...?\An Earthland wizard.\A friend of the Dragon Slayer.\Are you saying...\They have something to do with the disappearance of the lacrima in the public square?\Exactly. response:	Fine then.
context: Damn you...\And he is...?\An Earthland wizard.\A friend of the Dragon Slayer.\Are you saying...\They have something to do with the disappearance of the lacrima in the public square?\Exactly.\Fine then. response:	Activate the Dragon Chain Cannon immediately.
context: And he is...?\An Earthland wizard.\A friend of the Dragon Slayer.\Are you saying...\They have something to do with the disappearance of the lacrima in the public square?\Exactly.\Fine then.\Activate the Dragon Chain Cannon immediately. response:	Stand, Ice Wizard.
context: An Earthland wizard.\A friend of the Dragon Slayer.\Are you saying...\They have something to do with the disappearance of the lacrima in the public square?\Exactly.\Fine then.\Activate the Dragon Chain Cannon immediately.\Stand, Ice Wizard. response:	And don't try anything funny.
context: A friend of the Dragon Slayer.\Are you saying...\They have something to do with the disappearance of the lacrima in the public square?\Exactly.\Fine then.\Activate the Dragon Chain Cannon immediately.\Stand, Ice Wizard.\And don't try anything funny. response:	Activate the Dragon Chain Cannon.
context: Are you saying...\They have something to do with the disappearance of the lacrima in the public square?\Exactly.\Fine then.\Activate the Dragon Chain Cannon immediately.\Stand, Ice Wizard.\And don't try anything funny.\Activate the Dragon Chain Cannon. response:	This is the Dragon Chain Cannon?
context: They have something to do with the disappearance of the lacrima in the public square?\Exactly.\Fine then.\Activate the Dragon Chain Cannon immediately.\Stand, Ice Wizard.\And don't try anything funny.\Activate the Dragon Chain Cannon.\This is the Dragon Chain Cannon? response:	It's a whole lot different than I'd imagined.
context: Exactly.\Fine then.\Activate the Dragon Chain Cannon immediately.\Stand, Ice Wizard.\And don't try anything funny.\Activate the Dragon Chain Cannon.\This is the Dragon Chain Cannon?\It's a whole lot different than I'd imagined. response:	On a much bigger scale, for sure...
context: Fine then.\Activate the Dragon Chain Cannon immediately.\Stand, Ice Wizard.\And don't try anything funny.\Activate the Dragon Chain Cannon.\This is the Dragon Chain Cannon?\It's a whole lot different than I'd imagined.\On a much bigger scale, for sure... response:	Hurry and do it!
context: Activate the Dragon Chain Cannon immediately.\Stand, Ice Wizard.\And don't try anything funny.\Activate the Dragon Chain Cannon.\This is the Dragon Chain Cannon?\It's a whole lot different than I'd imagined.\On a much bigger scale, for sure...\Hurry and do it! response:	I don't have any choice...
context: Stand, Ice Wizard.\And don't try anything funny.\Activate the Dragon Chain Cannon.\This is the Dragon Chain Cannon?\It's a whole lot different than I'd imagined.\On a much bigger scale, for sure...\Hurry and do it!\I don't have any choice... response:	W-Whoa...
context: And don't try anything funny.\Activate the Dragon Chain Cannon.\This is the Dragon Chain Cannon?\It's a whole lot different than I'd imagined.\On a much bigger scale, for sure...\Hurry and do it!\I don't have any choice...\W-Whoa... response:	Is that Earthland magic?
context: Activate the Dragon Chain Cannon.\This is the Dragon Chain Cannon?\It's a whole lot different than I'd imagined.\On a much bigger scale, for sure...\Hurry and do it!\I don't have any choice...\W-Whoa...\Is that Earthland magic? response:	But, why is he naked?
context: This is the Dragon Chain Cannon?\It's a whole lot different than I'd imagined.\On a much bigger scale, for sure...\Hurry and do it!\I don't have any choice...\W-Whoa...\Is that Earthland magic?\But, why is he naked? response:	I should charge admission for this!
context: It's a whole lot different than I'd imagined.\On a much bigger scale, for sure...\Hurry and do it!\I don't have any choice...\W-Whoa...\Is that Earthland magic?\But, why is he naked?\I should charge admission for this! response:	I only have one chance.
context: On a much bigger scale, for sure...\Hurry and do it!\I don't have any choice...\W-Whoa...\Is that Earthland magic?\But, why is he naked?\I should charge admission for this!\I only have one chance. response:	I'll smash the Dragon Chain Cannon straight into the lacrima!
context: Hurry and do it!\I don't have any choice...\W-Whoa...\Is that Earthland magic?\But, why is he naked?\I should charge admission for this!\I only have one chance.\I'll smash the Dragon Chain Cannon straight into the lacrima! response:	That way we can save all our friends, and everyone from Magnolia!
context: I don't have any choice...\W-Whoa...\Is that Earthland magic?\But, why is he naked?\I should charge admission for this!\I only have one chance.\I'll smash the Dragon Chain Cannon straight into the lacrima!\That way we can save all our friends, and everyone from Magnolia! response:	Yes, that's wonderful!
context: W-Whoa...\Is that Earthland magic?\But, why is he naked?\I should charge admission for this!\I only have one chance.\I'll smash the Dragon Chain Cannon straight into the lacrima!\That way we can save all our friends, and everyone from Magnolia!\Yes, that's wonderful! response:	The castle is transforming?!
context: Is that Earthland magic?\But, why is he naked?\I should charge admission for this!\I only have one chance.\I'll smash the Dragon Chain Cannon straight into the lacrima!\That way we can save all our friends, and everyone from Magnolia!\Yes, that's wonderful!\The castle is transforming?! response:	What in the world is going on?
context: But, why is he naked?\I should charge admission for this!\I only have one chance.\I'll smash the Dragon Chain Cannon straight into the lacrima!\That way we can save all our friends, and everyone from Magnolia!\Yes, that's wonderful!\The castle is transforming?!\What in the world is going on? response:	It's started!
context: I should charge admission for this!\I only have one chance.\I'll smash the Dragon Chain Cannon straight into the lacrima!\That way we can save all our friends, and everyone from Magnolia!\Yes, that's wonderful!\The castle is transforming?!\What in the world is going on?\It's started! response:	The Dragon Chain Cannon has been activated!
context: I only have one chance.\I'll smash the Dragon Chain Cannon straight into the lacrima!\That way we can save all our friends, and everyone from Magnolia!\Yes, that's wonderful!\The castle is transforming?!\What in the world is going on?\It's started!\The Dragon Chain Cannon has been activated! response:	It's almost like the Gildarts Shift!
context: I'll smash the Dragon Chain Cannon straight into the lacrima!\That way we can save all our friends, and everyone from Magnolia!\Yes, that's wonderful!\The castle is transforming?!\What in the world is going on?\It's started!\The Dragon Chain Cannon has been activated!\It's almost like the Gildarts Shift! response:	What insane idiot came up with this?
context: That way we can save all our friends, and everyone from Magnolia!\Yes, that's wonderful!\The castle is transforming?!\What in the world is going on?\It's started!\The Dragon Chain Cannon has been activated!\It's almost like the Gildarts Shift!\What insane idiot came up with this? response:	The King!
context: Yes, that's wonderful!\The castle is transforming?!\What in the world is going on?\It's started!\The Dragon Chain Cannon has been activated!\It's almost like the Gildarts Shift!\What insane idiot came up with this?\The King! response:	How do I change the aim?
context: The castle is transforming?!\What in the world is going on?\It's started!\The Dragon Chain Cannon has been activated!\It's almost like the Gildarts Shift!\What insane idiot came up with this?\The King!\How do I change the aim? response:	Where?!
context: What in the world is going on?\It's started!\The Dragon Chain Cannon has been activated!\It's almost like the Gildarts Shift!\What insane idiot came up with this?\The King!\How do I change the aim?\Where?! response:	That's the Dragon Chain Cannon?
context: It's started!\The Dragon Chain Cannon has been activated!\It's almost like the Gildarts Shift!\What insane idiot came up with this?\The King!\How do I change the aim?\Where?!\That's the Dragon Chain Cannon? response:	Things are proceeding faster than I anticipated.
context: The Dragon Chain Cannon has been activated!\It's almost like the Gildarts Shift!\What insane idiot came up with this?\The King!\How do I change the aim?\Where?!\That's the Dragon Chain Cannon?\Things are proceeding faster than I anticipated. response:	This is bad! I must hurry!
context: It's almost like the Gildarts Shift!\What insane idiot came up with this?\The King!\How do I change the aim?\Where?!\That's the Dragon Chain Cannon?\Things are proceeding faster than I anticipated.\This is bad! I must hurry! response:	Prepare to fire!
context: What insane idiot came up with this?\The King!\How do I change the aim?\Where?!\That's the Dragon Chain Cannon?\Things are proceeding faster than I anticipated.\This is bad! I must hurry!\Prepare to fire! response:	Crap!
context: The King!\How do I change the aim?\Where?!\That's the Dragon Chain Cannon?\Things are proceeding faster than I anticipated.\This is bad! I must hurry!\Prepare to fire!\Crap! response:	This is it.
context: How do I change the aim?\Where?!\That's the Dragon Chain Cannon?\Things are proceeding faster than I anticipated.\This is bad! I must hurry!\Prepare to fire!\Crap!\This is it. response:	Natsu!
context: Where?!\That's the Dragon Chain Cannon?\Things are proceeding faster than I anticipated.\This is bad! I must hurry!\Prepare to fire!\Crap!\This is it.\Natsu! response:	Right on!
context: That's the Dragon Chain Cannon?\Things are proceeding faster than I anticipated.\This is bad! I must hurry!\Prepare to fire!\Crap!\This is it.\Natsu!\Right on! response:	What?
context: Things are proceeding faster than I anticipated.\This is bad! I must hurry!\Prepare to fire!\Crap!\This is it.\Natsu!\Right on!\What? response:	Wing Slash of the Fire Dragon!
context: This is bad! I must hurry!\Prepare to fire!\Crap!\This is it.\Natsu!\Right on!\What?\Wing Slash of the Fire Dragon! response:	What is the meaning of this?
context: Prepare to fire!\Crap!\This is it.\Natsu!\Right on!\What?\Wing Slash of the Fire Dragon!\What is the meaning of this? response:	Stop the launch!
context: Crap!\This is it.\Natsu!\Right on!\What?\Wing Slash of the Fire Dragon!\What is the meaning of this?\Stop the launch! response:	Erza! You fiend!
context: This is it.\Natsu!\Right on!\What?\Wing Slash of the Fire Dragon!\What is the meaning of this?\Stop the launch!\Erza! You fiend! response:	What treachery is this, Erza?!
context: Natsu!\Right on!\What?\Wing Slash of the Fire Dragon!\What is the meaning of this?\Stop the launch!\Erza! You fiend!\What treachery is this, Erza?! response:	I am Erza Scarlet!
context: Right on!\What?\Wing Slash of the Fire Dragon!\What is the meaning of this?\Stop the launch!\Erza! You fiend!\What treachery is this, Erza?!\I am Erza Scarlet! response:	Earthland's Erza!
context: What?\Wing Slash of the Fire Dragon!\What is the meaning of this?\Stop the launch!\Erza! You fiend!\What treachery is this, Erza?!\I am Erza Scarlet!\Earthland's Erza! response:	Sorry about that. Your quick thinking helped us out.
context: Wing Slash of the Fire Dragon!\What is the meaning of this?\Stop the launch!\Erza! You fiend!\What treachery is this, Erza?!\I am Erza Scarlet!\Earthland's Erza!\Sorry about that. Your quick thinking helped us out. response:	This was plan D! D for Dupe the Dolts!
context: What is the meaning of this?\Stop the launch!\Erza! You fiend!\What treachery is this, Erza?!\I am Erza Scarlet!\Earthland's Erza!\Sorry about that. Your quick thinking helped us out.\This was plan D! D for Dupe the Dolts! response:	Aim the Dragon Chain Cannon at the lacrima!
context: Stop the launch!\Erza! You fiend!\What treachery is this, Erza?!\I am Erza Scarlet!\Earthland's Erza!\Sorry about that. Your quick thinking helped us out.\This was plan D! D for Dupe the Dolts!\Aim the Dragon Chain Cannon at the lacrima! response:	Do not listen to her!
context: Erza! You fiend!\What treachery is this, Erza?!\I am Erza Scarlet!\Earthland's Erza!\Sorry about that. Your quick thinking helped us out.\This was plan D! D for Dupe the Dolts!\Aim the Dragon Chain Cannon at the lacrima!\Do not listen to her! response:	Fire it immediately!
context: What treachery is this, Erza?!\I am Erza Scarlet!\Earthland's Erza!\Sorry about that. Your quick thinking helped us out.\This was plan D! D for Dupe the Dolts!\Aim the Dragon Chain Cannon at the lacrima!\Do not listen to her!\Fire it immediately! response:	What'll we do?
context: I am Erza Scarlet!\Earthland's Erza!\Sorry about that. Your quick thinking helped us out.\This was plan D! D for Dupe the Dolts!\Aim the Dragon Chain Cannon at the lacrima!\Do not listen to her!\Fire it immediately!\What'll we do? response:	Taking a hostage? That's low!
context: Earthland's Erza!\Sorry about that. Your quick thinking helped us out.\This was plan D! D for Dupe the Dolts!\Aim the Dragon Chain Cannon at the lacrima!\Do not listen to her!\Fire it immediately!\What'll we do?\Taking a hostage? That's low! response:	Oh, yeah?
context: Sorry about that. Your quick thinking helped us out.\This was plan D! D for Dupe the Dolts!\Aim the Dragon Chain Cannon at the lacrima!\Do not listen to her!\Fire it immediately!\What'll we do?\Taking a hostage? That's low!\Oh, yeah? response:	We'll do whatever it takes to save our friends!
context: This was plan D! D for Dupe the Dolts!\Aim the Dragon Chain Cannon at the lacrima!\Do not listen to her!\Fire it immediately!\What'll we do?\Taking a hostage? That's low!\Oh, yeah?\We'll do whatever it takes to save our friends! response:	Hurry and do it, or else...
context: Aim the Dragon Chain Cannon at the lacrima!\Do not listen to her!\Fire it immediately!\What'll we do?\Taking a hostage? That's low!\Oh, yeah?\We'll do whatever it takes to save our friends!\Hurry and do it, or else... response:	Do it! Our Highness is in danger!
context: Do not listen to her!\Fire it immediately!\What'll we do?\Taking a hostage? That's low!\Oh, yeah?\We'll do whatever it takes to save our friends!\Hurry and do it, or else...\Do it! Our Highness is in danger! response:	Do not mind me!
context: Fire it immediately!\What'll we do?\Taking a hostage? That's low!\Oh, yeah?\We'll do whatever it takes to save our friends!\Hurry and do it, or else...\Do it! Our Highness is in danger!\Do not mind me! response:	Fire it, in order to destroy the Exceed!
context: What'll we do?\Taking a hostage? That's low!\Oh, yeah?\We'll do whatever it takes to save our friends!\Hurry and do it, or else...\Do it! Our Highness is in danger!\Do not mind me!\Fire it, in order to destroy the Exceed! response:	Readjust the aim!
context: Taking a hostage? That's low!\Oh, yeah?\We'll do whatever it takes to save our friends!\Hurry and do it, or else...\Do it! Our Highness is in danger!\Do not mind me!\Fire it, in order to destroy the Exceed!\Readjust the aim! response:	Change it to hit the giant lacrima!
context: Oh, yeah?\We'll do whatever it takes to save our friends!\Hurry and do it, or else...\Do it! Our Highness is in danger!\Do not mind me!\Fire it, in order to destroy the Exceed!\Readjust the aim!\Change it to hit the giant lacrima! response:	You fools!
context: We'll do whatever it takes to save our friends!\Hurry and do it, or else...\Do it! Our Highness is in danger!\Do not mind me!\Fire it, in order to destroy the Exceed!\Readjust the aim!\Change it to hit the giant lacrima!\You fools! response:	You're going to throw away an eternity of magic power?
context: Hurry and do it, or else...\Do it! Our Highness is in danger!\Do not mind me!\Fire it, in order to destroy the Exceed!\Readjust the aim!\Change it to hit the giant lacrima!\You fools!\You're going to throw away an eternity of magic power? response:	Scarlet!
context: Do it! Our Highness is in danger!\Do not mind me!\Fire it, in order to destroy the Exceed!\Readjust the aim!\Change it to hit the giant lacrima!\You fools!\You're going to throw away an eternity of magic power?\Scarlet! response:	Knightwalker!
context: Do not mind me!\Fire it, in order to destroy the Exceed!\Readjust the aim!\Change it to hit the giant lacrima!\You fools!\You're going to throw away an eternity of magic power?\Scarlet!\Knightwalker! response:	His Highness has been freed!
context: Fire it, in order to destroy the Exceed!\Readjust the aim!\Change it to hit the giant lacrima!\You fools!\You're going to throw away an eternity of magic power?\Scarlet!\Knightwalker!\His Highness has been freed! response:	Now, revert the aim back!
context: Readjust the aim!\Change it to hit the giant lacrima!\You fools!\You're going to throw away an eternity of magic power?\Scarlet!\Knightwalker!\His Highness has been freed!\Now, revert the aim back! response:	Crap!
context: Change it to hit the giant lacrima!\You fools!\You're going to throw away an eternity of magic power?\Scarlet!\Knightwalker!\His Highness has been freed!\Now, revert the aim back!\Crap! response:	Knightwalker, you're still...
context: You fools!\You're going to throw away an eternity of magic power?\Scarlet!\Knightwalker!\His Highness has been freed!\Now, revert the aim back!\Crap!\Knightwalker, you're still... response:	This isn't over yet, Scarlet!
context: You're going to throw away an eternity of magic power?\Scarlet!\Knightwalker!\His Highness has been freed!\Now, revert the aim back!\Crap!\Knightwalker, you're still...\This isn't over yet, Scarlet! response:	Fire!!
context: Scarlet!\Knightwalker!\His Highness has been freed!\Now, revert the aim back!\Crap!\Knightwalker, you're still...\This isn't over yet, Scarlet!\Fire!! response:	What the...
context: Knightwalker!\His Highness has been freed!\Now, revert the aim back!\Crap!\Knightwalker, you're still...\This isn't over yet, Scarlet!\Fire!!\What the... response:	The Dragon Chain Cannon has connected...
context: His Highness has been freed!\Now, revert the aim back!\Crap!\Knightwalker, you're still...\This isn't over yet, Scarlet!\Fire!!\What the...\The Dragon Chain Cannon has connected... response:	We didn't make it!
context: Now, revert the aim back!\Crap!\Knightwalker, you're still...\This isn't over yet, Scarlet!\Fire!!\What the...\The Dragon Chain Cannon has connected...\We didn't make it! response:	What the... Something huge has stuck on!
context: Crap!\Knightwalker, you're still...\This isn't over yet, Scarlet!\Fire!!\What the...\The Dragon Chain Cannon has connected...\We didn't make it!\What the... Something huge has stuck on! response:	O-Oh, no!
context: Knightwalker, you're still...\This isn't over yet, Scarlet!\Fire!!\What the...\The Dragon Chain Cannon has connected...\We didn't make it!\What the... Something huge has stuck on!\O-Oh, no! response:	Grappling complete!
context: This isn't over yet, Scarlet!\Fire!!\What the...\The Dragon Chain Cannon has connected...\We didn't make it!\What the... Something huge has stuck on!\O-Oh, no!\Grappling complete! response:	Ram it into Extalia!
context: Fire!!\What the...\The Dragon Chain Cannon has connected...\We didn't make it!\What the... Something huge has stuck on!\O-Oh, no!\Grappling complete!\Ram it into Extalia! response:	Don't!!!
context: What the...\The Dragon Chain Cannon has connected...\We didn't make it!\What the... Something huge has stuck on!\O-Oh, no!\Grappling complete!\Ram it into Extalia!\Don't!!! response:	Everyone!
context: The Dragon Chain Cannon has connected...\We didn't make it!\What the... Something huge has stuck on!\O-Oh, no!\Grappling complete!\Ram it into Extalia!\Don't!!!\Everyone! response:	Everyone, get on!
