context: She's so annoying. response:	And she's so loud, even though she's tiny.
context: I guess it makes sense for there to\be low-class waitresses at a low-class hot spring inn.\Back off already!\Hey! Why did you show yourself?!\Because you're taking it too far!\Ohana...?\There's no other choice!\Now I'll have to confine you too! response:	What?
context: be low-class waitresses at a low-class hot spring inn.\Back off already!\Hey! Why did you show yourself?!\Because you're taking it too far!\Ohana...?\There's no other choice!\Now I'll have to confine you too!\What? response:	Guess I have no choice but to tie this old man up-
context: Back off already!\Hey! Why did you show yourself?!\Because you're taking it too far!\Ohana...?\There's no other choice!\Now I'll have to confine you too!\What?\Guess I have no choice but to tie this old man up- response:	Blush.
context: Hey! Why did you show yourself?!\Because you're taking it too far!\Ohana...?\There's no other choice!\Now I'll have to confine you too!\What?\Guess I have no choice but to tie this old man up-\Blush. response:	Huh?
context: Because you're taking it too far!\Ohana...?\There's no other choice!\Now I'll have to confine you too!\What?\Guess I have no choice but to tie this old man up-\Blush.\Huh? response:	Why are you...
context: Ohana...?\There's no other choice!\Now I'll have to confine you too!\What?\Guess I have no choice but to tie this old man up-\Blush.\Huh?\Why are you... response:	Huh?
context: There's no other choice!\Now I'll have to confine you too!\What?\Guess I have no choice but to tie this old man up-\Blush.\Huh?\Why are you...\Huh? response:	No, no, no!
context: Now I'll have to confine you too!\What?\Guess I have no choice but to tie this old man up-\Blush.\Huh?\Why are you...\Huh?\No, no, no! response:	There's no way I can tie all of them up!
context: What?\Guess I have no choice but to tie this old man up-\Blush.\Huh?\Why are you...\Huh?\No, no, no!\There's no way I can tie all of them up! response:	Hang on, Mr. Jiroumaru!
context: Guess I have no choice but to tie this old man up-\Blush.\Huh?\Why are you...\Huh?\No, no, no!\There's no way I can tie all of them up!\Hang on, Mr. Jiroumaru! response:	I see.
context: Blush.\Huh?\Why are you...\Huh?\No, no, no!\There's no way I can tie all of them up!\Hang on, Mr. Jiroumaru!\I see. response:	So he was the culprit behind it all.
context: Huh?\Why are you...\Huh?\No, no, no!\There's no way I can tie all of them up!\Hang on, Mr. Jiroumaru!\I see.\So he was the culprit behind it all. response:	That creeper!
context: Why are you...\Huh?\No, no, no!\There's no way I can tie all of them up!\Hang on, Mr. Jiroumaru!\I see.\So he was the culprit behind it all.\That creeper! response:	I let him off for the
context: Huh?\No, no, no!\There's no way I can tie all of them up!\Hang on, Mr. Jiroumaru!\I see.\So he was the culprit behind it all.\That creeper!\I let him off for the response:	sexual harrassment because he said he was famous!
context: No, no, no!\There's no way I can tie all of them up!\Hang on, Mr. Jiroumaru!\I see.\So he was the culprit behind it all.\That creeper!\I let him off for the\sexual harrassment because he said he was famous! response:	He always complained about our food as well!
context: There's no way I can tie all of them up!\Hang on, Mr. Jiroumaru!\I see.\So he was the culprit behind it all.\That creeper!\I let him off for the\sexual harrassment because he said he was famous!\He always complained about our food as well! response:	Madam Manager, just call the cops on him already-
context: Hang on, Mr. Jiroumaru!\I see.\So he was the culprit behind it all.\That creeper!\I let him off for the\sexual harrassment because he said he was famous!\He always complained about our food as well!\Madam Manager, just call the cops on him already- response:	The cops?!
context: I see.\So he was the culprit behind it all.\That creeper!\I let him off for the\sexual harrassment because he said he was famous!\He always complained about our food as well!\Madam Manager, just call the cops on him already-\The cops?! response:	Wait.
context: So he was the culprit behind it all.\That creeper!\I let him off for the\sexual harrassment because he said he was famous!\He always complained about our food as well!\Madam Manager, just call the cops on him already-\The cops?!\Wait. response:	We can't make a decision until we hear the truth
context: That creeper!\I let him off for the\sexual harrassment because he said he was famous!\He always complained about our food as well!\Madam Manager, just call the cops on him already-\The cops?!\Wait.\We can't make a decision until we hear the truth response:	from that customer himself.
context: I let him off for the\sexual harrassment because he said he was famous!\He always complained about our food as well!\Madam Manager, just call the cops on him already-\The cops?!\Wait.\We can't make a decision until we hear the truth\from that customer himself. response:	Are you saying you don't believe me?
context: sexual harrassment because he said he was famous!\He always complained about our food as well!\Madam Manager, just call the cops on him already-\The cops?!\Wait.\We can't make a decision until we hear the truth\from that customer himself.\Are you saying you don't believe me? response:	That's not it.
context: He always complained about our food as well!\Madam Manager, just call the cops on him already-\The cops?!\Wait.\We can't make a decision until we hear the truth\from that customer himself.\Are you saying you don't believe me?\That's not it. response:	But more importantly,
context: Madam Manager, just call the cops on him already-\The cops?!\Wait.\We can't make a decision until we hear the truth\from that customer himself.\Are you saying you don't believe me?\That's not it.\But more importantly, response:	I don't want to doubt a customer.
context: The cops?!\Wait.\We can't make a decision until we hear the truth\from that customer himself.\Are you saying you don't believe me?\That's not it.\But more importantly,\I don't want to doubt a customer. response:	What? But we saw it all!
context: Wait.\We can't make a decision until we hear the truth\from that customer himself.\Are you saying you don't believe me?\That's not it.\But more importantly,\I don't want to doubt a customer.\What? But we saw it all! response:	Beanman was about to be put in a turtle shell bondage!
context: We can't make a decision until we hear the truth\from that customer himself.\Are you saying you don't believe me?\That's not it.\But more importantly,\I don't want to doubt a customer.\What? But we saw it all!\Beanman was about to be put in a turtle shell bondage! response:	Either way, we'll...
context: from that customer himself.\Are you saying you don't believe me?\That's not it.\But more importantly,\I don't want to doubt a customer.\What? But we saw it all!\Beanman was about to be put in a turtle shell bondage!\Either way, we'll... response:	Huh?
context: Are you saying you don't believe me?\That's not it.\But more importantly,\I don't want to doubt a customer.\What? But we saw it all!\Beanman was about to be put in a turtle shell bondage!\Either way, we'll...\Huh? response:	That's our truck.
context: That's not it.\But more importantly,\I don't want to doubt a customer.\What? But we saw it all!\Beanman was about to be put in a turtle shell bondage!\Either way, we'll...\Huh?\That's our truck. response:	Wait, then who's behind the wheel?
context: But more importantly,\I don't want to doubt a customer.\What? But we saw it all!\Beanman was about to be put in a turtle shell bondage!\Either way, we'll...\Huh?\That's our truck.\Wait, then who's behind the wheel? response:	Get back here!
context: I don't want to doubt a customer.\What? But we saw it all!\Beanman was about to be put in a turtle shell bondage!\Either way, we'll...\Huh?\That's our truck.\Wait, then who's behind the wheel?\Get back here! response:	I'm such a good-for-nothing.
context: What? But we saw it all!\Beanman was about to be put in a turtle shell bondage!\Either way, we'll...\Huh?\That's our truck.\Wait, then who's behind the wheel?\Get back here!\I'm such a good-for-nothing. response:	Look at me, following the rules even in situations like this.
context: Beanman was about to be put in a turtle shell bondage!\Either way, we'll...\Huh?\That's our truck.\Wait, then who's behind the wheel?\Get back here!\I'm such a good-for-nothing.\Look at me, following the rules even in situations like this. response:	I can't break out of my shell...
context: Either way, we'll...\Huh?\That's our truck.\Wait, then who's behind the wheel?\Get back here!\I'm such a good-for-nothing.\Look at me, following the rules even in situations like this.\I can't break out of my shell... response:	You! Open up!
context: Huh?\That's our truck.\Wait, then who's behind the wheel?\Get back here!\I'm such a good-for-nothing.\Look at me, following the rules even in situations like this.\I can't break out of my shell...\You! Open up! response:	Hey!
context: That's our truck.\Wait, then who's behind the wheel?\Get back here!\I'm such a good-for-nothing.\Look at me, following the rules even in situations like this.\I can't break out of my shell...\You! Open up!\Hey! response:	Son of a...
context: Wait, then who's behind the wheel?\Get back here!\I'm such a good-for-nothing.\Look at me, following the rules even in situations like this.\I can't break out of my shell...\You! Open up!\Hey!\Son of a... response:	Huh? Wait-
context: Get back here!\I'm such a good-for-nothing.\Look at me, following the rules even in situations like this.\I can't break out of my shell...\You! Open up!\Hey!\Son of a...\Huh? Wait- response:	Mr. Ren!
context: I'm such a good-for-nothing.\Look at me, following the rules even in situations like this.\I can't break out of my shell...\You! Open up!\Hey!\Son of a...\Huh? Wait-\Mr. Ren! response:	Get him, Mr. Ren!
context: Look at me, following the rules even in situations like this.\I can't break out of my shell...\You! Open up!\Hey!\Son of a...\Huh? Wait-\Mr. Ren!\Get him, Mr. Ren! response:	Beancurd skin.
context: I can't break out of my shell...\You! Open up!\Hey!\Son of a...\Huh? Wait-\Mr. Ren!\Get him, Mr. Ren!\Beancurd skin. response:	What?
context: You! Open up!\Hey!\Son of a...\Huh? Wait-\Mr. Ren!\Get him, Mr. Ren!\Beancurd skin.\What? response:	What do you say we add that to next month's menu, Madam?
context: Hey!\Son of a...\Huh? Wait-\Mr. Ren!\Get him, Mr. Ren!\Beancurd skin.\What?\What do you say we add that to next month's menu, Madam? response:	Sounds good.
context: Son of a...\Huh? Wait-\Mr. Ren!\Get him, Mr. Ren!\Beancurd skin.\What?\What do you say we add that to next month's menu, Madam?\Sounds good. response:	Try making it.
context: Huh? Wait-\Mr. Ren!\Get him, Mr. Ren!\Beancurd skin.\What?\What do you say we add that to next month's menu, Madam?\Sounds good.\Try making it. response:	Huh?
context: Mr. Ren!\Get him, Mr. Ren!\Beancurd skin.\What?\What do you say we add that to next month's menu, Madam?\Sounds good.\Try making it.\Huh? response:	Kaneko Tofu Shop
context: Get him, Mr. Ren!\Beancurd skin.\What?\What do you say we add that to next month's menu, Madam?\Sounds good.\Try making it.\Huh?\Kaneko Tofu Shop response:	This situation isn't as tense as I'd imagined.
context: Beancurd skin.\What?\What do you say we add that to next month's menu, Madam?\Sounds good.\Try making it.\Huh?\Kaneko Tofu Shop\This situation isn't as tense as I'd imagined. response:	I know, right?
context: What?\What do you say we add that to next month's menu, Madam?\Sounds good.\Try making it.\Huh?\Kaneko Tofu Shop\This situation isn't as tense as I'd imagined.\I know, right? response:	Huh?
context: What do you say we add that to next month's menu, Madam?\Sounds good.\Try making it.\Huh?\Kaneko Tofu Shop\This situation isn't as tense as I'd imagined.\I know, right?\Huh? response:	Huh?
context: Sounds good.\Try making it.\Huh?\Kaneko Tofu Shop\This situation isn't as tense as I'd imagined.\I know, right?\Huh?\Huh? response:	Excuse me...
context: Try making it.\Huh?\Kaneko Tofu Shop\This situation isn't as tense as I'd imagined.\I know, right?\Huh?\Huh?\Excuse me... response:	Oww!
context: Huh?\Kaneko Tofu Shop\This situation isn't as tense as I'd imagined.\I know, right?\Huh?\Huh?\Excuse me...\Oww! response:	No, it's nothing...
context: Kaneko Tofu Shop\This situation isn't as tense as I'd imagined.\I know, right?\Huh?\Huh?\Excuse me...\Oww!\No, it's nothing... response:	There he is.
context: This situation isn't as tense as I'd imagined.\I know, right?\Huh?\Huh?\Excuse me...\Oww!\No, it's nothing...\There he is. response:	Where did he go?
context: I know, right?\Huh?\Huh?\Excuse me...\Oww!\No, it's nothing...\There he is.\Where did he go? response:	You okay?
context: Huh?\Huh?\Excuse me...\Oww!\No, it's nothing...\There he is.\Where did he go?\You okay? response:	Somewhat.
context: Huh?\Excuse me...\Oww!\No, it's nothing...\There he is.\Where did he go?\You okay?\Somewhat. response:	Isn't that-
context: Excuse me...\Oww!\No, it's nothing...\There he is.\Where did he go?\You okay?\Somewhat.\Isn't that- response:	Over there?!
context: Oww!\No, it's nothing...\There he is.\Where did he go?\You okay?\Somewhat.\Isn't that-\Over there?! response:	Where?!
context: No, it's nothing...\There he is.\Where did he go?\You okay?\Somewhat.\Isn't that-\Over there?!\Where?! response:	Kissuiso
context: There he is.\Where did he go?\You okay?\Somewhat.\Isn't that-\Over there?!\Where?!\Kissuiso response:	He isn't in here!
context: Where did he go?\You okay?\Somewhat.\Isn't that-\Over there?!\Where?!\Kissuiso\He isn't in here! response:	Dammit!
context: You okay?\Somewhat.\Isn't that-\Over there?!\Where?!\Kissuiso\He isn't in here!\Dammit! response:	Up there!
context: Somewhat.\Isn't that-\Over there?!\Where?!\Kissuiso\He isn't in here!\Dammit!\Up there! response:	Hey!
context: Isn't that-\Over there?!\Where?!\Kissuiso\He isn't in here!\Dammit!\Up there!\Hey! response:	It's dangerous up-
context: Over there?!\Where?!\Kissuiso\He isn't in here!\Dammit!\Up there!\Hey!\It's dangerous up- response:	Stay away!
context: Where?!\Kissuiso\He isn't in here!\Dammit!\Up there!\Hey!\It's dangerous up-\Stay away! response:	Please, stay away!
context: Kissuiso\He isn't in here!\Dammit!\Up there!\Hey!\It's dangerous up-\Stay away!\Please, stay away! response:	I've...
context: He isn't in here!\Dammit!\Up there!\Hey!\It's dangerous up-\Stay away!\Please, stay away!\I've... response:	I've been acting all high and mighty,
context: Dammit!\Up there!\Hey!\It's dangerous up-\Stay away!\Please, stay away!\I've...\I've been acting all high and mighty, response:	thinking that I had you all fooled.
context: Up there!\Hey!\It's dangerous up-\Stay away!\Please, stay away!\I've...\I've been acting all high and mighty,\thinking that I had you all fooled. response:	But I was seen through long ago.
context: Hey!\It's dangerous up-\Stay away!\Please, stay away!\I've...\I've been acting all high and mighty,\thinking that I had you all fooled.\But I was seen through long ago. response:	By the Madam Manager.
context: It's dangerous up-\Stay away!\Please, stay away!\I've...\I've been acting all high and mighty,\thinking that I had you all fooled.\But I was seen through long ago.\By the Madam Manager. response:	I'm so ashamed.
context: Stay away!\Please, stay away!\I've...\I've been acting all high and mighty,\thinking that I had you all fooled.\But I was seen through long ago.\By the Madam Manager.\I'm so ashamed. response:	I was taking advantage of her goodwill.
context: Please, stay away!\I've...\I've been acting all high and mighty,\thinking that I had you all fooled.\But I was seen through long ago.\By the Madam Manager.\I'm so ashamed.\I was taking advantage of her goodwill. response:	I should just disappear-
context: I've...\I've been acting all high and mighty,\thinking that I had you all fooled.\But I was seen through long ago.\By the Madam Manager.\I'm so ashamed.\I was taking advantage of her goodwill.\I should just disappear- response:	It wasn't goodwill.
context: I've been acting all high and mighty,\thinking that I had you all fooled.\But I was seen through long ago.\By the Madam Manager.\I'm so ashamed.\I was taking advantage of her goodwill.\I should just disappear-\It wasn't goodwill. response:	Huh?
context: thinking that I had you all fooled.\But I was seen through long ago.\By the Madam Manager.\I'm so ashamed.\I was taking advantage of her goodwill.\I should just disappear-\It wasn't goodwill.\Huh? response:	She only said what she said because it's a part of her job.
context: But I was seen through long ago.\By the Madam Manager.\I'm so ashamed.\I was taking advantage of her goodwill.\I should just disappear-\It wasn't goodwill.\Huh?\She only said what she said because it's a part of her job. response:	Do you honestly think she's that nice of a person?
context: By the Madam Manager.\I'm so ashamed.\I was taking advantage of her goodwill.\I should just disappear-\It wasn't goodwill.\Huh?\She only said what she said because it's a part of her job.\Do you honestly think she's that nice of a person? response:	H-H-Hang on.
context: I'm so ashamed.\I was taking advantage of her goodwill.\I should just disappear-\It wasn't goodwill.\Huh?\She only said what she said because it's a part of her job.\Do you honestly think she's that nice of a person?\H-H-Hang on. response:	You just ruined the mood.
context: I was taking advantage of her goodwill.\I should just disappear-\It wasn't goodwill.\Huh?\She only said what she said because it's a part of her job.\Do you honestly think she's that nice of a person?\H-H-Hang on.\You just ruined the mood. response:	I'm sorry, sir. She's absolutely right.
context: I should just disappear-\It wasn't goodwill.\Huh?\She only said what she said because it's a part of her job.\Do you honestly think she's that nice of a person?\H-H-Hang on.\You just ruined the mood.\I'm sorry, sir. She's absolutely right. response:	Yeah.
context: It wasn't goodwill.\Huh?\She only said what she said because it's a part of her job.\Do you honestly think she's that nice of a person?\H-H-Hang on.\You just ruined the mood.\I'm sorry, sir. She's absolutely right.\Yeah. response:	Huh?
context: Huh?\She only said what she said because it's a part of her job.\Do you honestly think she's that nice of a person?\H-H-Hang on.\You just ruined the mood.\I'm sorry, sir. She's absolutely right.\Yeah.\Huh? response:	Madam!
context: She only said what she said because it's a part of her job.\Do you honestly think she's that nice of a person?\H-H-Hang on.\You just ruined the mood.\I'm sorry, sir. She's absolutely right.\Yeah.\Huh?\Madam! response:	In this occupation, you cannot doubt the
context: Do you honestly think she's that nice of a person?\H-H-Hang on.\You just ruined the mood.\I'm sorry, sir. She's absolutely right.\Yeah.\Huh?\Madam!\In this occupation, you cannot doubt the response:	customer even if you realize their true background.
context: H-H-Hang on.\You just ruined the mood.\I'm sorry, sir. She's absolutely right.\Yeah.\Huh?\Madam!\In this occupation, you cannot doubt the\customer even if you realize their true background. response:	Besides,
context: You just ruined the mood.\I'm sorry, sir. She's absolutely right.\Yeah.\Huh?\Madam!\In this occupation, you cannot doubt the\customer even if you realize their true background.\Besides, response:	if you really pay the bill after winning an award,
context: I'm sorry, sir. She's absolutely right.\Yeah.\Huh?\Madam!\In this occupation, you cannot doubt the\customer even if you realize their true background.\Besides,\if you really pay the bill after winning an award, response:	we'll be even.
context: Yeah.\Huh?\Madam!\In this occupation, you cannot doubt the\customer even if you realize their true background.\Besides,\if you really pay the bill after winning an award,\we'll be even. response:	No one knows what the future holds.
context: Huh?\Madam!\In this occupation, you cannot doubt the\customer even if you realize their true background.\Besides,\if you really pay the bill after winning an award,\we'll be even.\No one knows what the future holds. response:	As long as you win the award-
context: Madam!\In this occupation, you cannot doubt the\customer even if you realize their true background.\Besides,\if you really pay the bill after winning an award,\we'll be even.\No one knows what the future holds.\As long as you win the award- response:	No, as long as you don't give up on winning it,
context: In this occupation, you cannot doubt the\customer even if you realize their true background.\Besides,\if you really pay the bill after winning an award,\we'll be even.\No one knows what the future holds.\As long as you win the award-\No, as long as you don't give up on winning it, response:	there's still a chance.
context: customer even if you realize their true background.\Besides,\if you really pay the bill after winning an award,\we'll be even.\No one knows what the future holds.\As long as you win the award-\No, as long as you don't give up on winning it,\there's still a chance. response:	You're still our customer.
context: Besides,\if you really pay the bill after winning an award,\we'll be even.\No one knows what the future holds.\As long as you win the award-\No, as long as you don't give up on winning it,\there's still a chance.\You're still our customer. response:	H-Hey, that was too cool!
context: if you really pay the bill after winning an award,\we'll be even.\No one knows what the future holds.\As long as you win the award-\No, as long as you don't give up on winning it,\there's still a chance.\You're still our customer.\H-Hey, that was too cool! response:	But I can't!
context: we'll be even.\No one knows what the future holds.\As long as you win the award-\No, as long as you don't give up on winning it,\there's still a chance.\You're still our customer.\H-Hey, that was too cool!\But I can't! response:	It's impossible!
context: No one knows what the future holds.\As long as you win the award-\No, as long as you don't give up on winning it,\there's still a chance.\You're still our customer.\H-Hey, that was too cool!\But I can't!\It's impossible! response:	Im-poss-i-ble!
context: As long as you win the award-\No, as long as you don't give up on winning it,\there's still a chance.\You're still our customer.\H-Hey, that was too cool!\But I can't!\It's impossible!\Im-poss-i-ble! response:	I'm talentless!
context: No, as long as you don't give up on winning it,\there's still a chance.\You're still our customer.\H-Hey, that was too cool!\But I can't!\It's impossible!\Im-poss-i-ble!\I'm talentless! response:	I'll never be able to win an award!
context: there's still a chance.\You're still our customer.\H-Hey, that was too cool!\But I can't!\It's impossible!\Im-poss-i-ble!\I'm talentless!\I'll never be able to win an award! response:	Mr. Jiroumaru!
context: You're still our customer.\H-Hey, that was too cool!\But I can't!\It's impossible!\Im-poss-i-ble!\I'm talentless!\I'll never be able to win an award!\Mr. Jiroumaru! response:	What?
context: H-Hey, that was too cool!\But I can't!\It's impossible!\Im-poss-i-ble!\I'm talentless!\I'll never be able to win an award!\Mr. Jiroumaru!\What? response:	Hey, we're lending him a hand.
context: But I can't!\It's impossible!\Im-poss-i-ble!\I'm talentless!\I'll never be able to win an award!\Mr. Jiroumaru!\What?\Hey, we're lending him a hand. response:	Please hold on to that, Ohana!
context: It's impossible!\Im-poss-i-ble!\I'm talentless!\I'll never be able to win an award!\Mr. Jiroumaru!\What?\Hey, we're lending him a hand.\Please hold on to that, Ohana! response:	Nako!
context: Im-poss-i-ble!\I'm talentless!\I'll never be able to win an award!\Mr. Jiroumaru!\What?\Hey, we're lending him a hand.\Please hold on to that, Ohana!\Nako! response:	Hey, don't-
context: I'm talentless!\I'll never be able to win an award!\Mr. Jiroumaru!\What?\Hey, we're lending him a hand.\Please hold on to that, Ohana!\Nako!\Hey, don't- response:	Holy...
context: I'll never be able to win an award!\Mr. Jiroumaru!\What?\Hey, we're lending him a hand.\Please hold on to that, Ohana!\Nako!\Hey, don't-\Holy... response:	Is she okay?
context: Mr. Jiroumaru!\What?\Hey, we're lending him a hand.\Please hold on to that, Ohana!\Nako!\Hey, don't-\Holy...\Is she okay? response:	Of course she is.
context: What?\Hey, we're lending him a hand.\Please hold on to that, Ohana!\Nako!\Hey, don't-\Holy...\Is she okay?\Of course she is. response:	She used to be called kappappa as a child.
context: Hey, we're lending him a hand.\Please hold on to that, Ohana!\Nako!\Hey, don't-\Holy...\Is she okay?\Of course she is.\She used to be called kappappa as a child. response:	What?
context: Please hold on to that, Ohana!\Nako!\Hey, don't-\Holy...\Is she okay?\Of course she is.\She used to be called kappappa as a child.\What? response:	K-Ka?
context: Nako!\Hey, don't-\Holy...\Is she okay?\Of course she is.\She used to be called kappappa as a child.\What?\K-Ka? response:	If I recall, she's been having swimming lessons since she was three.
context: Hey, don't-\Holy...\Is she okay?\Of course she is.\She used to be called kappappa as a child.\What?\K-Ka?\If I recall, she's been having swimming lessons since she was three. response:	Okay, let's go meet up with them!
context: Holy...\Is she okay?\Of course she is.\She used to be called kappappa as a child.\What?\K-Ka?\If I recall, she's been having swimming lessons since she was three.\Okay, let's go meet up with them! response:	Nako!
context: Is she okay?\Of course she is.\She used to be called kappappa as a child.\What?\K-Ka?\If I recall, she's been having swimming lessons since she was three.\Okay, let's go meet up with them!\Nako! response:	Nako!
context: Of course she is.\She used to be called kappappa as a child.\What?\K-Ka?\If I recall, she's been having swimming lessons since she was three.\Okay, let's go meet up with them!\Nako!\Nako! response:	You go girl!
context: She used to be called kappappa as a child.\What?\K-Ka?\If I recall, she's been having swimming lessons since she was three.\Okay, let's go meet up with them!\Nako!\Nako!\You go girl! response:	You okay, Nako?
context: What?\K-Ka?\If I recall, she's been having swimming lessons since she was three.\Okay, let's go meet up with them!\Nako!\Nako!\You go girl!\You okay, Nako? response:	Minchi...
context: K-Ka?\If I recall, she's been having swimming lessons since she was three.\Okay, let's go meet up with them!\Nako!\Nako!\You go girl!\You okay, Nako?\Minchi... response:	Yeah.
context: If I recall, she's been having swimming lessons since she was three.\Okay, let's go meet up with them!\Nako!\Nako!\You go girl!\You okay, Nako?\Minchi...\Yeah. response:	Let me go grab you a towel.
context: Okay, let's go meet up with them!\Nako!\Nako!\You go girl!\You okay, Nako?\Minchi...\Yeah.\Let me go grab you a towel. response:	Nako.
context: Nako!\Nako!\You go girl!\You okay, Nako?\Minchi...\Yeah.\Let me go grab you a towel.\Nako. response:	I can't even manage to die.
context: Nako!\You go girl!\You okay, Nako?\Minchi...\Yeah.\Let me go grab you a towel.\Nako.\I can't even manage to die. response:	I'm such a...
context: You go girl!\You okay, Nako?\Minchi...\Yeah.\Let me go grab you a towel.\Nako.\I can't even manage to die.\I'm such a... response:	You're still spouting crap like that?
context: You okay, Nako?\Minchi...\Yeah.\Let me go grab you a towel.\Nako.\I can't even manage to die.\I'm such a...\You're still spouting crap like that? response:	I'm seriously such a-
context: Minchi...\Yeah.\Let me go grab you a towel.\Nako.\I can't even manage to die.\I'm such a...\You're still spouting crap like that?\I'm seriously such a- response:	You *do* have talent!
context: Yeah.\Let me go grab you a towel.\Nako.\I can't even manage to die.\I'm such a...\You're still spouting crap like that?\I'm seriously such a-\You *do* have talent! response:	I want to sparkle!
context: Let me go grab you a towel.\Nako.\I can't even manage to die.\I'm such a...\You're still spouting crap like that?\I'm seriously such a-\You *do* have talent!\I want to sparkle! response:	What the heck are you talking about?!
context: Nako.\I can't even manage to die.\I'm such a...\You're still spouting crap like that?\I'm seriously such a-\You *do* have talent!\I want to sparkle!\What the heck are you talking about?! response:	It's a line from something Mr. Jiroumaru wrote.
context: I can't even manage to die.\I'm such a...\You're still spouting crap like that?\I'm seriously such a-\You *do* have talent!\I want to sparkle!\What the heck are you talking about?!\It's a line from something Mr. Jiroumaru wrote. response:	You, Nako and I are a part of the cast.
context: I'm such a...\You're still spouting crap like that?\I'm seriously such a-\You *do* have talent!\I want to sparkle!\What the heck are you talking about?!\It's a line from something Mr. Jiroumaru wrote.\You, Nako and I are a part of the cast. response:	What?
context: You're still spouting crap like that?\I'm seriously such a-\You *do* have talent!\I want to sparkle!\What the heck are you talking about?!\It's a line from something Mr. Jiroumaru wrote.\You, Nako and I are a part of the cast.\What? response:	And...
context: I'm seriously such a-\You *do* have talent!\I want to sparkle!\What the heck are you talking about?!\It's a line from something Mr. Jiroumaru wrote.\You, Nako and I are a part of the cast.\What?\And... response:	We're rubbing each other in
context: You *do* have talent!\I want to sparkle!\What the heck are you talking about?!\It's a line from something Mr. Jiroumaru wrote.\You, Nako and I are a part of the cast.\What?\And...\We're rubbing each other in response:	inappropriate places with the mop, but...
context: I want to sparkle!\What the heck are you talking about?!\It's a line from something Mr. Jiroumaru wrote.\You, Nako and I are a part of the cast.\What?\And...\We're rubbing each other in\inappropriate places with the mop, but... response:	We're what?!
context: What the heck are you talking about?!\It's a line from something Mr. Jiroumaru wrote.\You, Nako and I are a part of the cast.\What?\And...\We're rubbing each other in\inappropriate places with the mop, but...\We're what?! response:	That novel was perverted, yeah,
context: It's a line from something Mr. Jiroumaru wrote.\You, Nako and I are a part of the cast.\What?\And...\We're rubbing each other in\inappropriate places with the mop, but...\We're what?!\That novel was perverted, yeah, response:	but you understood things about me even
context: You, Nako and I are a part of the cast.\What?\And...\We're rubbing each other in\inappropriate places with the mop, but...\We're what?!\That novel was perverted, yeah,\but you understood things about me even response:	I never realized myself!
context: What?\And...\We're rubbing each other in\inappropriate places with the mop, but...\We're what?!\That novel was perverted, yeah,\but you understood things about me even\I never realized myself! response:	It's not like I even want to work, but I was upset.
context: And...\We're rubbing each other in\inappropriate places with the mop, but...\We're what?!\That novel was perverted, yeah,\but you understood things about me even\I never realized myself!\It's not like I even want to work, but I was upset. response:	I wanted to do *something*.
context: We're rubbing each other in\inappropriate places with the mop, but...\We're what?!\That novel was perverted, yeah,\but you understood things about me even\I never realized myself!\It's not like I even want to work, but I was upset.\I wanted to do *something*. response:	Even I didn't understand
context: inappropriate places with the mop, but...\We're what?!\That novel was perverted, yeah,\but you understood things about me even\I never realized myself!\It's not like I even want to work, but I was upset.\I wanted to do *something*.\Even I didn't understand response:	where those feelings were coming from.
context: We're what?!\That novel was perverted, yeah,\but you understood things about me even\I never realized myself!\It's not like I even want to work, but I was upset.\I wanted to do *something*.\Even I didn't understand\where those feelings were coming from. response:	But you knew, and you told me.
context: That novel was perverted, yeah,\but you understood things about me even\I never realized myself!\It's not like I even want to work, but I was upset.\I wanted to do *something*.\Even I didn't understand\where those feelings were coming from.\But you knew, and you told me. response:	I wanted to sparkle.
context: but you understood things about me even\I never realized myself!\It's not like I even want to work, but I was upset.\I wanted to do *something*.\Even I didn't understand\where those feelings were coming from.\But you knew, and you told me.\I wanted to sparkle. response:	Ohana...
context: I never realized myself!\It's not like I even want to work, but I was upset.\I wanted to do *something*.\Even I didn't understand\where those feelings were coming from.\But you knew, and you told me.\I wanted to sparkle.\Ohana... response:	I don't know much about novels,
context: It's not like I even want to work, but I was upset.\I wanted to do *something*.\Even I didn't understand\where those feelings were coming from.\But you knew, and you told me.\I wanted to sparkle.\Ohana...\I don't know much about novels, response:	but I think it's important for writers to have a keen eye.
context: I wanted to do *something*.\Even I didn't understand\where those feelings were coming from.\But you knew, and you told me.\I wanted to sparkle.\Ohana...\I don't know much about novels,\but I think it's important for writers to have a keen eye. response:	You taught me something about me I didn't know.
context: Even I didn't understand\where those feelings were coming from.\But you knew, and you told me.\I wanted to sparkle.\Ohana...\I don't know much about novels,\but I think it's important for writers to have a keen eye.\You taught me something about me I didn't know. response:	You're a true novelist!
context: where those feelings were coming from.\But you knew, and you told me.\I wanted to sparkle.\Ohana...\I don't know much about novels,\but I think it's important for writers to have a keen eye.\You taught me something about me I didn't know.\You're a true novelist! response:	I'm so sorry!
context: But you knew, and you told me.\I wanted to sparkle.\Ohana...\I don't know much about novels,\but I think it's important for writers to have a keen eye.\You taught me something about me I didn't know.\You're a true novelist!\I'm so sorry! response:	Mr. Jiroumaru is going to start working at the inn now.
context: I wanted to sparkle.\Ohana...\I don't know much about novels,\but I think it's important for writers to have a keen eye.\You taught me something about me I didn't know.\You're a true novelist!\I'm so sorry!\Mr. Jiroumaru is going to start working at the inn now. response:	Hey!
