context: A healthy soul... response:	I'll leave this to you.
context: You're disappointed by a Devil Sword that shows no sign of turning into a Kishin.\That's why you're taking this huge risk by using the black blood and aiming to revive the Kishin.\Once she becomes of no use what do you intend to do with her?\Your experience was a failure.\That's the best news of this year!\What is it?\Did I say something funny?\Really, such a cheeky boy. response:	This might hit you as a failure, Dr. Stein,
context: That's why you're taking this huge risk by using the black blood and aiming to revive the Kishin.\Once she becomes of no use what do you intend to do with her?\Your experience was a failure.\That's the best news of this year!\What is it?\Did I say something funny?\Really, such a cheeky boy.\This might hit you as a failure, Dr. Stein, response:	One more thing...
context: Once she becomes of no use what do you intend to do with her?\Your experience was a failure.\That's the best news of this year!\What is it?\Did I say something funny?\Really, such a cheeky boy.\This might hit you as a failure, Dr. Stein,\One more thing... response:	You're wrong about one thing.
context: Your experience was a failure.\That's the best news of this year!\What is it?\Did I say something funny?\Really, such a cheeky boy.\This might hit you as a failure, Dr. Stein,\One more thing...\You're wrong about one thing. response:	That child wasn't abducted.
context: That's the best news of this year!\What is it?\Did I say something funny?\Really, such a cheeky boy.\This might hit you as a failure, Dr. Stein,\One more thing...\You're wrong about one thing.\That child wasn't abducted. response:	Chrona is my legitimate child.
context: What is it?\Did I say something funny?\Really, such a cheeky boy.\This might hit you as a failure, Dr. Stein,\One more thing...\You're wrong about one thing.\That child wasn't abducted.\Chrona is my legitimate child. response:	Parfait...
context: Did I say something funny?\Really, such a cheeky boy.\This might hit you as a failure, Dr. Stein,\One more thing...\You're wrong about one thing.\That child wasn't abducted.\Chrona is my legitimate child.\Parfait... response:	Even though you're better off not standing...
context: Really, such a cheeky boy.\This might hit you as a failure, Dr. Stein,\One more thing...\You're wrong about one thing.\That child wasn't abducted.\Chrona is my legitimate child.\Parfait...\Even though you're better off not standing... response:	Why do you keep trying to hit me?
context: This might hit you as a failure, Dr. Stein,\One more thing...\You're wrong about one thing.\That child wasn't abducted.\Chrona is my legitimate child.\Parfait...\Even though you're better off not standing...\Why do you keep trying to hit me? response:	Even though you're this weak...
context: One more thing...\You're wrong about one thing.\That child wasn't abducted.\Chrona is my legitimate child.\Parfait...\Even though you're better off not standing...\Why do you keep trying to hit me?\Even though you're this weak... response:	Cut it off.
context: You're wrong about one thing.\That child wasn't abducted.\Chrona is my legitimate child.\Parfait...\Even though you're better off not standing...\Why do you keep trying to hit me?\Even though you're this weak...\Cut it off. response:	I don't know how to deal with that.
context: That child wasn't abducted.\Chrona is my legitimate child.\Parfait...\Even though you're better off not standing...\Why do you keep trying to hit me?\Even though you're this weak...\Cut it off.\I don't know how to deal with that. response:	She's using blood from her injury again.
context: Chrona is my legitimate child.\Parfait...\Even though you're better off not standing...\Why do you keep trying to hit me?\Even though you're this weak...\Cut it off.\I don't know how to deal with that.\She's using blood from her injury again. response:	Cutting her won't work.
context: Parfait...\Even though you're better off not standing...\Why do you keep trying to hit me?\Even though you're this weak...\Cut it off.\I don't know how to deal with that.\She's using blood from her injury again.\Cutting her won't work. response:	Our cuts will turn into a disadvantage.
context: Even though you're better off not standing...\Why do you keep trying to hit me?\Even though you're this weak...\Cut it off.\I don't know how to deal with that.\She's using blood from her injury again.\Cutting her won't work.\Our cuts will turn into a disadvantage. response:	But there's one thing we can do.
context: Why do you keep trying to hit me?\Even though you're this weak...\Cut it off.\I don't know how to deal with that.\She's using blood from her injury again.\Cutting her won't work.\Our cuts will turn into a disadvantage.\But there's one thing we can do. response:	Yeah, you're right...
context: Even though you're this weak...\Cut it off.\I don't know how to deal with that.\She's using blood from her injury again.\Cutting her won't work.\Our cuts will turn into a disadvantage.\But there's one thing we can do.\Yeah, you're right... response:	Let's do this, Maka!
context: Cut it off.\I don't know how to deal with that.\She's using blood from her injury again.\Cutting her won't work.\Our cuts will turn into a disadvantage.\But there's one thing we can do.\Yeah, you're right...\Let's do this, Maka! response:	Soul Resonance!
context: I don't know how to deal with that.\She's using blood from her injury again.\Cutting her won't work.\Our cuts will turn into a disadvantage.\But there's one thing we can do.\Yeah, you're right...\Let's do this, Maka!\Soul Resonance! response:	Hey, Chrona!
context: She's using blood from her injury again.\Cutting her won't work.\Our cuts will turn into a disadvantage.\But there's one thing we can do.\Yeah, you're right...\Let's do this, Maka!\Soul Resonance!\Hey, Chrona! response:	Scream Resonance.
context: Cutting her won't work.\Our cuts will turn into a disadvantage.\But there's one thing we can do.\Yeah, you're right...\Let's do this, Maka!\Soul Resonance!\Hey, Chrona!\Scream Resonance. response:	I'm gonna raise the resonance!
context: Our cuts will turn into a disadvantage.\But there's one thing we can do.\Yeah, you're right...\Let's do this, Maka!\Soul Resonance!\Hey, Chrona!\Scream Resonance.\I'm gonna raise the resonance! response:	This resonance response...
context: But there's one thing we can do.\Yeah, you're right...\Let's do this, Maka!\Soul Resonance!\Hey, Chrona!\Scream Resonance.\I'm gonna raise the resonance!\This resonance response... response:	So, it's started?
context: Yeah, you're right...\Let's do this, Maka!\Soul Resonance!\Hey, Chrona!\Scream Resonance.\I'm gonna raise the resonance!\This resonance response...\So, it's started? response:	Witch Hunting!
context: Let's do this, Maka!\Soul Resonance!\Hey, Chrona!\Scream Resonance.\I'm gonna raise the resonance!\This resonance response...\So, it's started?\Witch Hunting! response:	Screech Gamma!
context: Soul Resonance!\Hey, Chrona!\Scream Resonance.\I'm gonna raise the resonance!\This resonance response...\So, it's started?\Witch Hunting!\Screech Gamma! response:	Oi, Stein! What's going on?
context: Hey, Chrona!\Scream Resonance.\I'm gonna raise the resonance!\This resonance response...\So, it's started?\Witch Hunting!\Screech Gamma!\Oi, Stein! What's going on? response:	The black blood is on the move.
context: Scream Resonance.\I'm gonna raise the resonance!\This resonance response...\So, it's started?\Witch Hunting!\Screech Gamma!\Oi, Stein! What's going on?\The black blood is on the move. response:	Soul Eater Episode 20.
context: I'm gonna raise the resonance!\This resonance response...\So, it's started?\Witch Hunting!\Screech Gamma!\Oi, Stein! What's going on?\The black blood is on the move.\Soul Eater Episode 20. response:	Namari misspelled.
context: This resonance response...\So, it's started?\Witch Hunting!\Screech Gamma!\Oi, Stein! What's going on?\The black blood is on the move.\Soul Eater Episode 20.\Namari misspelled. response:	Kishin misspelled.
context: So, it's started?\Witch Hunting!\Screech Gamma!\Oi, Stein! What's going on?\The black blood is on the move.\Soul Eater Episode 20.\Namari misspelled.\Kishin misspelled. response:	Taikaku misspelled, kinryoku misspelled.
context: Witch Hunting!\Screech Gamma!\Oi, Stein! What's going on?\The black blood is on the move.\Soul Eater Episode 20.\Namari misspelled.\Kishin misspelled.\Taikaku misspelled, kinryoku misspelled. response:	Maken misspelled.
context: Screech Gamma!\Oi, Stein! What's going on?\The black blood is on the move.\Soul Eater Episode 20.\Namari misspelled.\Kishin misspelled.\Taikaku misspelled, kinryoku misspelled.\Maken misspelled. response:	Kiritsu misspelled, kid demon wrong.
context: Oi, Stein! What's going on?\The black blood is on the move.\Soul Eater Episode 20.\Namari misspelled.\Kishin misspelled.\Taikaku misspelled, kinryoku misspelled.\Maken misspelled.\Kiritsu misspelled, kid demon wrong. response:	Sendou misspelled.
context: The black blood is on the move.\Soul Eater Episode 20.\Namari misspelled.\Kishin misspelled.\Taikaku misspelled, kinryoku misspelled.\Maken misspelled.\Kiritsu misspelled, kid demon wrong.\Sendou misspelled. response:	Hexagonal Hunting!
context: Soul Eater Episode 20.\Namari misspelled.\Kishin misspelled.\Taikaku misspelled, kinryoku misspelled.\Maken misspelled.\Kiritsu misspelled, kid demon wrong.\Sendou misspelled.\Hexagonal Hunting! response:	U-Shaped Hunting!
context: Namari misspelled.\Kishin misspelled.\Taikaku misspelled, kinryoku misspelled.\Maken misspelled.\Kiritsu misspelled, kid demon wrong.\Sendou misspelled.\Hexagonal Hunting!\U-Shaped Hunting! response:	What... that's it?
context: Kishin misspelled.\Taikaku misspelled, kinryoku misspelled.\Maken misspelled.\Kiritsu misspelled, kid demon wrong.\Sendou misspelled.\Hexagonal Hunting!\U-Shaped Hunting!\What... that's it? response:	What... that's it?
context: Taikaku misspelled, kinryoku misspelled.\Maken misspelled.\Kiritsu misspelled, kid demon wrong.\Sendou misspelled.\Hexagonal Hunting!\U-Shaped Hunting!\What... that's it?\What... that's it? response:	Eh?
context: Maken misspelled.\Kiritsu misspelled, kid demon wrong.\Sendou misspelled.\Hexagonal Hunting!\U-Shaped Hunting!\What... that's it?\What... that's it?\Eh? response:	The Witch Hunting was blocked with magic?
context: Kiritsu misspelled, kid demon wrong.\Sendou misspelled.\Hexagonal Hunting!\U-Shaped Hunting!\What... that's it?\What... that's it?\Eh?\The Witch Hunting was blocked with magic? response:	With a such a weak body why does she have such strength?
context: Sendou misspelled.\Hexagonal Hunting!\U-Shaped Hunting!\What... that's it?\What... that's it?\Eh?\The Witch Hunting was blocked with magic?\With a such a weak body why does she have such strength? response:	This case has nothing to do with physical constitution.
context: Hexagonal Hunting!\U-Shaped Hunting!\What... that's it?\What... that's it?\Eh?\The Witch Hunting was blocked with magic?\With a such a weak body why does she have such strength?\This case has nothing to do with physical constitution. response:	The black blood flowing in her veins...
context: U-Shaped Hunting!\What... that's it?\What... that's it?\Eh?\The Witch Hunting was blocked with magic?\With a such a weak body why does she have such strength?\This case has nothing to do with physical constitution.\The black blood flowing in her veins... response:	Ragnarok takes care of Chrona's moves supporting her with physical power.
context: What... that's it?\What... that's it?\Eh?\The Witch Hunting was blocked with magic?\With a such a weak body why does she have such strength?\This case has nothing to do with physical constitution.\The black blood flowing in her veins...\Ragnarok takes care of Chrona's moves supporting her with physical power. response:	Now it's my turn, right?
context: What... that's it?\Eh?\The Witch Hunting was blocked with magic?\With a such a weak body why does she have such strength?\This case has nothing to do with physical constitution.\The black blood flowing in her veins...\Ragnarok takes care of Chrona's moves supporting her with physical power.\Now it's my turn, right? response:	Screech Gamma!
context: Eh?\The Witch Hunting was blocked with magic?\With a such a weak body why does she have such strength?\This case has nothing to do with physical constitution.\The black blood flowing in her veins...\Ragnarok takes care of Chrona's moves supporting her with physical power.\Now it's my turn, right?\Screech Gamma! response:	Geez! No!
context: The Witch Hunting was blocked with magic?\With a such a weak body why does she have such strength?\This case has nothing to do with physical constitution.\The black blood flowing in her veins...\Ragnarok takes care of Chrona's moves supporting her with physical power.\Now it's my turn, right?\Screech Gamma!\Geez! No! response:	No! No! No!
context: With a such a weak body why does she have such strength?\This case has nothing to do with physical constitution.\The black blood flowing in her veins...\Ragnarok takes care of Chrona's moves supporting her with physical power.\Now it's my turn, right?\Screech Gamma!\Geez! No!\No! No! No! response:	No! No! No!
context: This case has nothing to do with physical constitution.\The black blood flowing in her veins...\Ragnarok takes care of Chrona's moves supporting her with physical power.\Now it's my turn, right?\Screech Gamma!\Geez! No!\No! No! No!\No! No! No! response:	No! No! No!
context: The black blood flowing in her veins...\Ragnarok takes care of Chrona's moves supporting her with physical power.\Now it's my turn, right?\Screech Gamma!\Geez! No!\No! No! No!\No! No! No!\No! No! No! response:	No!
context: Ragnarok takes care of Chrona's moves supporting her with physical power.\Now it's my turn, right?\Screech Gamma!\Geez! No!\No! No! No!\No! No! No!\No! No! No!\No! response:	Geez! Die already, you weapon!
context: Now it's my turn, right?\Screech Gamma!\Geez! No!\No! No! No!\No! No! No!\No! No! No!\No!\Geez! Die already, you weapon! response:	Soul!
context: Screech Gamma!\Geez! No!\No! No! No!\No! No! No!\No! No! No!\No!\Geez! Die already, you weapon!\Soul! response:	Shut up! You just stay back!
context: Geez! No!\No! No! No!\No! No! No!\No! No! No!\No!\Geez! Die already, you weapon!\Soul!\Shut up! You just stay back! response:	But at this rate you'll...
context: No! No! No!\No! No! No!\No! No! No!\No!\Geez! Die already, you weapon!\Soul!\Shut up! You just stay back!\But at this rate you'll... response:	Maka, don't get any dumb thoughts!
context: No! No! No!\No! No! No!\No!\Geez! Die already, you weapon!\Soul!\Shut up! You just stay back!\But at this rate you'll...\Maka, don't get any dumb thoughts! response:	Keep guarding like that!
context: No! No! No!\No!\Geez! Die already, you weapon!\Soul!\Shut up! You just stay back!\But at this rate you'll...\Maka, don't get any dumb thoughts!\Keep guarding like that! response:	Soul, you should stop with the boring talk, too...
context: No!\Geez! Die already, you weapon!\Soul!\Shut up! You just stay back!\But at this rate you'll...\Maka, don't get any dumb thoughts!\Keep guarding like that!\Soul, you should stop with the boring talk, too... response:	Soul, you should stop with the boring talk, too...
context: Geez! Die already, you weapon!\Soul!\Shut up! You just stay back!\But at this rate you'll...\Maka, don't get any dumb thoughts!\Keep guarding like that!\Soul, you should stop with the boring talk, too...\Soul, you should stop with the boring talk, too... response:	Cut the crap and leave it to us.
context: Soul!\Shut up! You just stay back!\But at this rate you'll...\Maka, don't get any dumb thoughts!\Keep guarding like that!\Soul, you should stop with the boring talk, too...\Soul, you should stop with the boring talk, too...\Cut the crap and leave it to us. response:	We'll make you stronger.
context: Shut up! You just stay back!\But at this rate you'll...\Maka, don't get any dumb thoughts!\Keep guarding like that!\Soul, you should stop with the boring talk, too...\Soul, you should stop with the boring talk, too...\Cut the crap and leave it to us.\We'll make you stronger. response:	Are you alright, Soul?
context: But at this rate you'll...\Maka, don't get any dumb thoughts!\Keep guarding like that!\Soul, you should stop with the boring talk, too...\Soul, you should stop with the boring talk, too...\Cut the crap and leave it to us.\We'll make you stronger.\Are you alright, Soul? response:	Yeah.
context: Maka, don't get any dumb thoughts!\Keep guarding like that!\Soul, you should stop with the boring talk, too...\Soul, you should stop with the boring talk, too...\Cut the crap and leave it to us.\We'll make you stronger.\Are you alright, Soul?\Yeah. response:	How come...?
context: Keep guarding like that!\Soul, you should stop with the boring talk, too...\Soul, you should stop with the boring talk, too...\Cut the crap and leave it to us.\We'll make you stronger.\Are you alright, Soul?\Yeah.\How come...? response:	I was almost there.
context: Soul, you should stop with the boring talk, too...\Soul, you should stop with the boring talk, too...\Cut the crap and leave it to us.\We'll make you stronger.\Are you alright, Soul?\Yeah.\How come...?\I was almost there. response:	I wasn't going to lose to the Devil Sword.
context: Soul, you should stop with the boring talk, too...\Cut the crap and leave it to us.\We'll make you stronger.\Are you alright, Soul?\Yeah.\How come...?\I was almost there.\I wasn't going to lose to the Devil Sword. response:	That's how I felt.
context: Cut the crap and leave it to us.\We'll make you stronger.\Are you alright, Soul?\Yeah.\How come...?\I was almost there.\I wasn't going to lose to the Devil Sword.\That's how I felt. response:	I thought I had gotten a hold on Chrona's wavelength but still...
context: We'll make you stronger.\Are you alright, Soul?\Yeah.\How come...?\I was almost there.\I wasn't going to lose to the Devil Sword.\That's how I felt.\I thought I had gotten a hold on Chrona's wavelength but still... response:	This can't go on.
context: Are you alright, Soul?\Yeah.\How come...?\I was almost there.\I wasn't going to lose to the Devil Sword.\That's how I felt.\I thought I had gotten a hold on Chrona's wavelength but still...\This can't go on. response:	Dammit.
context: Yeah.\How come...?\I was almost there.\I wasn't going to lose to the Devil Sword.\That's how I felt.\I thought I had gotten a hold on Chrona's wavelength but still...\This can't go on.\Dammit. response:	Are you afraid?
context: How come...?\I was almost there.\I wasn't going to lose to the Devil Sword.\That's how I felt.\I thought I had gotten a hold on Chrona's wavelength but still...\This can't go on.\Dammit.\Are you afraid? response:	You look like him.
context: I was almost there.\I wasn't going to lose to the Devil Sword.\That's how I felt.\I thought I had gotten a hold on Chrona's wavelength but still...\This can't go on.\Dammit.\Are you afraid?\You look like him. response:	Even now, I still don't know how to deal with it.
context: I wasn't going to lose to the Devil Sword.\That's how I felt.\I thought I had gotten a hold on Chrona's wavelength but still...\This can't go on.\Dammit.\Are you afraid?\You look like him.\Even now, I still don't know how to deal with it. response:	You look like the little one from that time...
context: That's how I felt.\I thought I had gotten a hold on Chrona's wavelength but still...\This can't go on.\Dammit.\Are you afraid?\You look like him.\Even now, I still don't know how to deal with it.\You look like the little one from that time... response:	Now, kill it, Chrona.
context: I thought I had gotten a hold on Chrona's wavelength but still...\This can't go on.\Dammit.\Are you afraid?\You look like him.\Even now, I still don't know how to deal with it.\You look like the little one from that time...\Now, kill it, Chrona. response:	I can't do it!
context: This can't go on.\Dammit.\Are you afraid?\You look like him.\Even now, I still don't know how to deal with it.\You look like the little one from that time...\Now, kill it, Chrona.\I can't do it! response:	I don't know how to deal with it!
context: Dammit.\Are you afraid?\You look like him.\Even now, I still don't know how to deal with it.\You look like the little one from that time...\Now, kill it, Chrona.\I can't do it!\I don't know how to deal with it! response:	You disobedient girl, please stay out of my sight.
context: Are you afraid?\You look like him.\Even now, I still don't know how to deal with it.\You look like the little one from that time...\Now, kill it, Chrona.\I can't do it!\I don't know how to deal with it!\You disobedient girl, please stay out of my sight. response:	As punishment, I won't let you out of this room for a few days.
context: You look like him.\Even now, I still don't know how to deal with it.\You look like the little one from that time...\Now, kill it, Chrona.\I can't do it!\I don't know how to deal with it!\You disobedient girl, please stay out of my sight.\As punishment, I won't let you out of this room for a few days. response:	No!
context: Even now, I still don't know how to deal with it.\You look like the little one from that time...\Now, kill it, Chrona.\I can't do it!\I don't know how to deal with it!\You disobedient girl, please stay out of my sight.\As punishment, I won't let you out of this room for a few days.\No! response:	This is too dark! I can't see anything!
context: You look like the little one from that time...\Now, kill it, Chrona.\I can't do it!\I don't know how to deal with it!\You disobedient girl, please stay out of my sight.\As punishment, I won't let you out of this room for a few days.\No!\This is too dark! I can't see anything! response:	And the two of us alone in this room is...
context: Now, kill it, Chrona.\I can't do it!\I don't know how to deal with it!\You disobedient girl, please stay out of my sight.\As punishment, I won't let you out of this room for a few days.\No!\This is too dark! I can't see anything!\And the two of us alone in this room is... response:	It's dark and I don't know how to deal with it...
context: I can't do it!\I don't know how to deal with it!\You disobedient girl, please stay out of my sight.\As punishment, I won't let you out of this room for a few days.\No!\This is too dark! I can't see anything!\And the two of us alone in this room is...\It's dark and I don't know how to deal with it... response:	Why you... Chrona! Dammit!
context: I don't know how to deal with it!\You disobedient girl, please stay out of my sight.\As punishment, I won't let you out of this room for a few days.\No!\This is too dark! I can't see anything!\And the two of us alone in this room is...\It's dark and I don't know how to deal with it...\Why you... Chrona! Dammit! response:	Ragnarok?
context: You disobedient girl, please stay out of my sight.\As punishment, I won't let you out of this room for a few days.\No!\This is too dark! I can't see anything!\And the two of us alone in this room is...\It's dark and I don't know how to deal with it...\Why you... Chrona! Dammit!\Ragnarok? response:	If you don't behave, I too will get locked!
context: As punishment, I won't let you out of this room for a few days.\No!\This is too dark! I can't see anything!\And the two of us alone in this room is...\It's dark and I don't know how to deal with it...\Why you... Chrona! Dammit!\Ragnarok?\If you don't behave, I too will get locked! response:	No! Stop it!
context: No!\This is too dark! I can't see anything!\And the two of us alone in this room is...\It's dark and I don't know how to deal with it...\Why you... Chrona! Dammit!\Ragnarok?\If you don't behave, I too will get locked!\No! Stop it! response:	Stop pulling my nose!
context: This is too dark! I can't see anything!\And the two of us alone in this room is...\It's dark and I don't know how to deal with it...\Why you... Chrona! Dammit!\Ragnarok?\If you don't behave, I too will get locked!\No! Stop it!\Stop pulling my nose! response:	It hurts! It stings!
context: And the two of us alone in this room is...\It's dark and I don't know how to deal with it...\Why you... Chrona! Dammit!\Ragnarok?\If you don't behave, I too will get locked!\No! Stop it!\Stop pulling my nose!\It hurts! It stings! response:	You're hurting my nose!
context: It's dark and I don't know how to deal with it...\Why you... Chrona! Dammit!\Ragnarok?\If you don't behave, I too will get locked!\No! Stop it!\Stop pulling my nose!\It hurts! It stings!\You're hurting my nose! response:	It's dark and I can't see and it hurts and it stings!
context: Why you... Chrona! Dammit!\Ragnarok?\If you don't behave, I too will get locked!\No! Stop it!\Stop pulling my nose!\It hurts! It stings!\You're hurting my nose!\It's dark and I can't see and it hurts and it stings! response:	It's your fault!
context: Ragnarok?\If you don't behave, I too will get locked!\No! Stop it!\Stop pulling my nose!\It hurts! It stings!\You're hurting my nose!\It's dark and I can't see and it hurts and it stings!\It's your fault! response:	Damn you! Damn you!
context: If you don't behave, I too will get locked!\No! Stop it!\Stop pulling my nose!\It hurts! It stings!\You're hurting my nose!\It's dark and I can't see and it hurts and it stings!\It's your fault!\Damn you! Damn you! response:	I'm sorry, I'm sorry!
context: No! Stop it!\Stop pulling my nose!\It hurts! It stings!\You're hurting my nose!\It's dark and I can't see and it hurts and it stings!\It's your fault!\Damn you! Damn you!\I'm sorry, I'm sorry! response:	It really...
context: Stop pulling my nose!\It hurts! It stings!\You're hurting my nose!\It's dark and I can't see and it hurts and it stings!\It's your fault!\Damn you! Damn you!\I'm sorry, I'm sorry!\It really... response:	Damn you! Damn you!
context: It hurts! It stings!\You're hurting my nose!\It's dark and I can't see and it hurts and it stings!\It's your fault!\Damn you! Damn you!\I'm sorry, I'm sorry!\It really...\Damn you! Damn you! response:	Stop! It hurts!
context: You're hurting my nose!\It's dark and I can't see and it hurts and it stings!\It's your fault!\Damn you! Damn you!\I'm sorry, I'm sorry!\It really...\Damn you! Damn you!\Stop! It hurts! response:	Now, come out.
context: It's dark and I can't see and it hurts and it stings!\It's your fault!\Damn you! Damn you!\I'm sorry, I'm sorry!\It really...\Damn you! Damn you!\Stop! It hurts!\Now, come out. response:	It's horrible! Ragnarok beat me up!
context: It's your fault!\Damn you! Damn you!\I'm sorry, I'm sorry!\It really...\Damn you! Damn you!\Stop! It hurts!\Now, come out.\It's horrible! Ragnarok beat me up! response:	It hurts! I hate it! Make him stop!
context: Damn you! Damn you!\I'm sorry, I'm sorry!\It really...\Damn you! Damn you!\Stop! It hurts!\Now, come out.\It's horrible! Ragnarok beat me up!\It hurts! I hate it! Make him stop! response:	Now, come. We're continuing the other day's task.
context: I'm sorry, I'm sorry!\It really...\Damn you! Damn you!\Stop! It hurts!\Now, come out.\It's horrible! Ragnarok beat me up!\It hurts! I hate it! Make him stop!\Now, come. We're continuing the other day's task. response:	You're going to kill it.
context: It really...\Damn you! Damn you!\Stop! It hurts!\Now, come out.\It's horrible! Ragnarok beat me up!\It hurts! I hate it! Make him stop!\Now, come. We're continuing the other day's task.\You're going to kill it. response:	I can't...
context: Damn you! Damn you!\Stop! It hurts!\Now, come out.\It's horrible! Ragnarok beat me up!\It hurts! I hate it! Make him stop!\Now, come. We're continuing the other day's task.\You're going to kill it.\I can't... response:	I can't do something like that.
context: Stop! It hurts!\Now, come out.\It's horrible! Ragnarok beat me up!\It hurts! I hate it! Make him stop!\Now, come. We're continuing the other day's task.\You're going to kill it.\I can't...\I can't do something like that. response:	Vector Plate.
context: Now, come out.\It's horrible! Ragnarok beat me up!\It hurts! I hate it! Make him stop!\Now, come. We're continuing the other day's task.\You're going to kill it.\I can't...\I can't do something like that.\Vector Plate. response:	Stay out of my sight for a while longer.
context: It's horrible! Ragnarok beat me up!\It hurts! I hate it! Make him stop!\Now, come. We're continuing the other day's task.\You're going to kill it.\I can't...\I can't do something like that.\Vector Plate.\Stay out of my sight for a while longer. response:	Why you... Chrona! Dammit!
context: It hurts! I hate it! Make him stop!\Now, come. We're continuing the other day's task.\You're going to kill it.\I can't...\I can't do something like that.\Vector Plate.\Stay out of my sight for a while longer.\Why you... Chrona! Dammit! response:	Damn you! Damn you!
context: Now, come. We're continuing the other day's task.\You're going to kill it.\I can't...\I can't do something like that.\Vector Plate.\Stay out of my sight for a while longer.\Why you... Chrona! Dammit!\Damn you! Damn you! response:	Stop! It hurts!
context: You're going to kill it.\I can't...\I can't do something like that.\Vector Plate.\Stay out of my sight for a while longer.\Why you... Chrona! Dammit!\Damn you! Damn you!\Stop! It hurts! response:	Stop, stop, stop it!
context: I can't...\I can't do something like that.\Vector Plate.\Stay out of my sight for a while longer.\Why you... Chrona! Dammit!\Damn you! Damn you!\Stop! It hurts!\Stop, stop, stop it! response:	With this, how many times has it been?
context: I can't do something like that.\Vector Plate.\Stay out of my sight for a while longer.\Why you... Chrona! Dammit!\Damn you! Damn you!\Stop! It hurts!\Stop, stop, stop it!\With this, how many times has it been? response:	It's unproductive...
context: Vector Plate.\Stay out of my sight for a while longer.\Why you... Chrona! Dammit!\Damn you! Damn you!\Stop! It hurts!\Stop, stop, stop it!\With this, how many times has it been?\It's unproductive... response:	How many times do we have to repeat this until you're satisfied?
context: Stay out of my sight for a while longer.\Why you... Chrona! Dammit!\Damn you! Damn you!\Stop! It hurts!\Stop, stop, stop it!\With this, how many times has it been?\It's unproductive...\How many times do we have to repeat this until you're satisfied? response:	Look...
context: Why you... Chrona! Dammit!\Damn you! Damn you!\Stop! It hurts!\Stop, stop, stop it!\With this, how many times has it been?\It's unproductive...\How many times do we have to repeat this until you're satisfied?\Look... response:	My blood is black.
context: Damn you! Damn you!\Stop! It hurts!\Stop, stop, stop it!\With this, how many times has it been?\It's unproductive...\How many times do we have to repeat this until you're satisfied?\Look...\My blood is black. response:	Bye, bye, little one.
context: Stop! It hurts!\Stop, stop, stop it!\With this, how many times has it been?\It's unproductive...\How many times do we have to repeat this until you're satisfied?\Look...\My blood is black.\Bye, bye, little one. response:	Soul.
context: Stop, stop, stop it!\With this, how many times has it been?\It's unproductive...\How many times do we have to repeat this until you're satisfied?\Look...\My blood is black.\Bye, bye, little one.\Soul. response:	Oi, Soul!
context: With this, how many times has it been?\It's unproductive...\How many times do we have to repeat this until you're satisfied?\Look...\My blood is black.\Bye, bye, little one.\Soul.\Oi, Soul! response:	Maka...
context: It's unproductive...\How many times do we have to repeat this until you're satisfied?\Look...\My blood is black.\Bye, bye, little one.\Soul.\Oi, Soul!\Maka... response:	If this goes on you'll be done for.
context: How many times do we have to repeat this until you're satisfied?\Look...\My blood is black.\Bye, bye, little one.\Soul.\Oi, Soul!\Maka...\If this goes on you'll be done for. response:	Just leave it to us...
context: Look...\My blood is black.\Bye, bye, little one.\Soul.\Oi, Soul!\Maka...\If this goes on you'll be done for.\Just leave it to us... response:	Get rid of your reason.
context: My blood is black.\Bye, bye, little one.\Soul.\Oi, Soul!\Maka...\If this goes on you'll be done for.\Just leave it to us...\Get rid of your reason. response:	We'll make you stronger.
context: Bye, bye, little one.\Soul.\Oi, Soul!\Maka...\If this goes on you'll be done for.\Just leave it to us...\Get rid of your reason.\We'll make you stronger. response:	Never.
context: Soul.\Oi, Soul!\Maka...\If this goes on you'll be done for.\Just leave it to us...\Get rid of your reason.\We'll make you stronger.\Never. response:	Hand over the power.
context: Oi, Soul!\Maka...\If this goes on you'll be done for.\Just leave it to us...\Get rid of your reason.\We'll make you stronger.\Never.\Hand over the power. response:	But...
context: Maka...\If this goes on you'll be done for.\Just leave it to us...\Get rid of your reason.\We'll make you stronger.\Never.\Hand over the power.\But... response:	I won't give up my rationality.
context: If this goes on you'll be done for.\Just leave it to us...\Get rid of your reason.\We'll make you stronger.\Never.\Hand over the power.\But...\I won't give up my rationality. response:	What?
context: Just leave it to us...\Get rid of your reason.\We'll make you stronger.\Never.\Hand over the power.\But...\I won't give up my rationality.\What? response:	That way you can't win to the Devil Sword's power.
context: Get rid of your reason.\We'll make you stronger.\Never.\Hand over the power.\But...\I won't give up my rationality.\What?\That way you can't win to the Devil Sword's power. response:	Just leave it to us.
context: We'll make you stronger.\Never.\Hand over the power.\But...\I won't give up my rationality.\What?\That way you can't win to the Devil Sword's power.\Just leave it to us. response:	If you think you can become stronger without losing your reason, you're way off!
context: Never.\Hand over the power.\But...\I won't give up my rationality.\What?\That way you can't win to the Devil Sword's power.\Just leave it to us.\If you think you can become stronger without losing your reason, you're way off! response:	We've never heard such a great story before.
context: Hand over the power.\But...\I won't give up my rationality.\What?\That way you can't win to the Devil Sword's power.\Just leave it to us.\If you think you can become stronger without losing your reason, you're way off!\We've never heard such a great story before. response:	I understand fear, so I fight it.
context: But...\I won't give up my rationality.\What?\That way you can't win to the Devil Sword's power.\Just leave it to us.\If you think you can become stronger without losing your reason, you're way off!\We've never heard such a great story before.\I understand fear, so I fight it. response:	I understand order, so I follow it.
