context: Until the competition is over, response:	there will be no practice.
context: But..why is she playing so happily?\<c:FF80FF>Alright, everyone, let's fart together!\<c:FF80FF>Hey! Hey!\<c:FF80FF> Booo!!\<c:FF80FF>(It came out!!)\Fart exercise... We finished it!\Sensei..\Although it is just for a short time, I'm indebted to you. response:	Take care!
context: <c:FF80FF>Alright, everyone, let's fart together!\<c:FF80FF>Hey! Hey!\<c:FF80FF> Booo!!\<c:FF80FF>(It came out!!)\Fart exercise... We finished it!\Sensei..\Although it is just for a short time, I'm indebted to you.\Take care! response:	WAIT!
context: <c:FF80FF>Hey! Hey!\<c:FF80FF> Booo!!\<c:FF80FF>(It came out!!)\Fart exercise... We finished it!\Sensei..\Although it is just for a short time, I'm indebted to you.\Take care!\WAIT! response:	What take care?
context: <c:FF80FF> Booo!!\<c:FF80FF>(It came out!!)\Fart exercise... We finished it!\Sensei..\Although it is just for a short time, I'm indebted to you.\Take care!\WAIT!\What take care? response:	The other written agreement! After completing one song, you will start a lesson as I tell you to. - Eto Kozo
context: <c:FF80FF>(It came out!!)\Fart exercise... We finished it!\Sensei..\Although it is just for a short time, I'm indebted to you.\Take care!\WAIT!\What take care?\The other written agreement! After completing one song, you will start a lesson as I tell you to. - Eto Kozo response:	You haven't forget it.. have you?
context: Fart exercise... We finished it!\Sensei..\Although it is just for a short time, I'm indebted to you.\Take care!\WAIT!\What take care?\The other written agreement! After completing one song, you will start a lesson as I tell you to. - Eto Kozo\You haven't forget it.. have you? response:	Therefore, these are for you!
context: Sensei..\Although it is just for a short time, I'm indebted to you.\Take care!\WAIT!\What take care?\The other written agreement! After completing one song, you will start a lesson as I tell you to. - Eto Kozo\You haven't forget it.. have you?\Therefore, these are for you! response:	Until next lesson, choose 10 pieces from here, and read the scores.
context: Although it is just for a short time, I'm indebted to you.\Take care!\WAIT!\What take care?\The other written agreement! After completing one song, you will start a lesson as I tell you to. - Eto Kozo\You haven't forget it.. have you?\Therefore, these are for you!\Until next lesson, choose 10 pieces from here, and read the scores. response:	Read them?
context: Take care!\WAIT!\What take care?\The other written agreement! After completing one song, you will start a lesson as I tell you to. - Eto Kozo\You haven't forget it.. have you?\Therefore, these are for you!\Until next lesson, choose 10 pieces from here, and read the scores.\Read them? response:	Yes
context: WAIT!\What take care?\The other written agreement! After completing one song, you will start a lesson as I tell you to. - Eto Kozo\You haven't forget it.. have you?\Therefore, these are for you!\Until next lesson, choose 10 pieces from here, and read the scores.\Read them?\Yes response:	Wait, Kiyora!
context: What take care?\The other written agreement! After completing one song, you will start a lesson as I tell you to. - Eto Kozo\You haven't forget it.. have you?\Therefore, these are for you!\Until next lesson, choose 10 pieces from here, and read the scores.\Read them?\Yes\Wait, Kiyora! response:	What do you intend to do with the Oke's practice?
context: The other written agreement! After completing one song, you will start a lesson as I tell you to. - Eto Kozo\You haven't forget it.. have you?\Therefore, these are for you!\Until next lesson, choose 10 pieces from here, and read the scores.\Read them?\Yes\Wait, Kiyora!\What do you intend to do with the Oke's practice? response:	Isn't it a Concert Master's job to pull the Oke when the conductor's not there?
context: You haven't forget it.. have you?\Therefore, these are for you!\Until next lesson, choose 10 pieces from here, and read the scores.\Read them?\Yes\Wait, Kiyora!\What do you intend to do with the Oke's practice?\Isn't it a Concert Master's job to pull the Oke when the conductor's not there? response:	After competition is over, I will do it properly
context: Therefore, these are for you!\Until next lesson, choose 10 pieces from here, and read the scores.\Read them?\Yes\Wait, Kiyora!\What do you intend to do with the Oke's practice?\Isn't it a Concert Master's job to pull the Oke when the conductor's not there?\After competition is over, I will do it properly response:	Competition.. competition.....as if you were some great musician
context: Until next lesson, choose 10 pieces from here, and read the scores.\Read them?\Yes\Wait, Kiyora!\What do you intend to do with the Oke's practice?\Isn't it a Concert Master's job to pull the Oke when the conductor's not there?\After competition is over, I will do it properly\Competition.. competition.....as if you were some great musician response:	I have no choice!
context: Read them?\Yes\Wait, Kiyora!\What do you intend to do with the Oke's practice?\Isn't it a Concert Master's job to pull the Oke when the conductor's not there?\After competition is over, I will do it properly\Competition.. competition.....as if you were some great musician\I have no choice! response:	Everybody's future depends on it!
context: Yes\Wait, Kiyora!\What do you intend to do with the Oke's practice?\Isn't it a Concert Master's job to pull the Oke when the conductor's not there?\After competition is over, I will do it properly\Competition.. competition.....as if you were some great musician\I have no choice!\Everybody's future depends on it! response:	If we win, the road as a soloist, and the chance to be recognized worldwide will be bigger!
context: Wait, Kiyora!\What do you intend to do with the Oke's practice?\Isn't it a Concert Master's job to pull the Oke when the conductor's not there?\After competition is over, I will do it properly\Competition.. competition.....as if you were some great musician\I have no choice!\Everybody's future depends on it!\If we win, the road as a soloist, and the chance to be recognized worldwide will be bigger! response:	Therefore, I can't tell them to put the first priority on the Oke's practice!
context: What do you intend to do with the Oke's practice?\Isn't it a Concert Master's job to pull the Oke when the conductor's not there?\After competition is over, I will do it properly\Competition.. competition.....as if you were some great musician\I have no choice!\Everybody's future depends on it!\If we win, the road as a soloist, and the chance to be recognized worldwide will be bigger!\Therefore, I can't tell them to put the first priority on the Oke's practice! response:	And moreover, me too,
context: Isn't it a Concert Master's job to pull the Oke when the conductor's not there?\After competition is over, I will do it properly\Competition.. competition.....as if you were some great musician\I have no choice!\Everybody's future depends on it!\If we win, the road as a soloist, and the chance to be recognized worldwide will be bigger!\Therefore, I can't tell them to put the first priority on the Oke's practice!\And moreover, me too, response:	in Oshiuri Competition's final selection, my Master will also come...
context: After competition is over, I will do it properly\Competition.. competition.....as if you were some great musician\I have no choice!\Everybody's future depends on it!\If we win, the road as a soloist, and the chance to be recognized worldwide will be bigger!\Therefore, I can't tell them to put the first priority on the Oke's practice!\And moreover, me too,\in Oshiuri Competition's final selection, my Master will also come... response:	Master?
context: Competition.. competition.....as if you were some great musician\I have no choice!\Everybody's future depends on it!\If we win, the road as a soloist, and the chance to be recognized worldwide will be bigger!\Therefore, I can't tell them to put the first priority on the Oke's practice!\And moreover, me too,\in Oshiuri Competition's final selection, my Master will also come...\Master? response:	A former Concert Master in Berlin Philharmony.. Kai Dun Sensei..
context: I have no choice!\Everybody's future depends on it!\If we win, the road as a soloist, and the chance to be recognized worldwide will be bigger!\Therefore, I can't tell them to put the first priority on the Oke's practice!\And moreover, me too,\in Oshiuri Competition's final selection, my Master will also come...\Master?\A former Concert Master in Berlin Philharmony.. Kai Dun Sensei.. response:	Eh.. K.. Kai Dun, that famous...
context: Everybody's future depends on it!\If we win, the road as a soloist, and the chance to be recognized worldwide will be bigger!\Therefore, I can't tell them to put the first priority on the Oke's practice!\And moreover, me too,\in Oshiuri Competition's final selection, my Master will also come...\Master?\A former Concert Master in Berlin Philharmony.. Kai Dun Sensei..\Eh.. K.. Kai Dun, that famous... response:	That's why I can't fail..
context: If we win, the road as a soloist, and the chance to be recognized worldwide will be bigger!\Therefore, I can't tell them to put the first priority on the Oke's practice!\And moreover, me too,\in Oshiuri Competition's final selection, my Master will also come...\Master?\A former Concert Master in Berlin Philharmony.. Kai Dun Sensei..\Eh.. K.. Kai Dun, that famous...\That's why I can't fail.. response:	I have to win!
context: Therefore, I can't tell them to put the first priority on the Oke's practice!\And moreover, me too,\in Oshiuri Competition's final selection, my Master will also come...\Master?\A former Concert Master in Berlin Philharmony.. Kai Dun Sensei..\Eh.. K.. Kai Dun, that famous...\That's why I can't fail..\I have to win! response:	What's that...
context: And moreover, me too,\in Oshiuri Competition's final selection, my Master will also come...\Master?\A former Concert Master in Berlin Philharmony.. Kai Dun Sensei..\Eh.. K.. Kai Dun, that famous...\That's why I can't fail..\I have to win!\What's that... response:	then you shouldn't have made any Oke from the start!
context: in Oshiuri Competition's final selection, my Master will also come...\Master?\A former Concert Master in Berlin Philharmony.. Kai Dun Sensei..\Eh.. K.. Kai Dun, that famous...\That's why I can't fail..\I have to win!\What's that...\then you shouldn't have made any Oke from the start! response:	Idiot Kiyora!
context: Master?\A former Concert Master in Berlin Philharmony.. Kai Dun Sensei..\Eh.. K.. Kai Dun, that famous...\That's why I can't fail..\I have to win!\What's that...\then you shouldn't have made any Oke from the start!\Idiot Kiyora! response:	Eto Kozo
context: A former Concert Master in Berlin Philharmony.. Kai Dun Sensei..\Eh.. K.. Kai Dun, that famous...\That's why I can't fail..\I have to win!\What's that...\then you shouldn't have made any Oke from the start!\Idiot Kiyora!\Eto Kozo response:	Hai, Uraken fried rice!
context: Eh.. K.. Kai Dun, that famous...\That's why I can't fail..\I have to win!\What's that...\then you shouldn't have made any Oke from the start!\Idiot Kiyora!\Eto Kozo\Hai, Uraken fried rice! response:	Doumo! (casual greeting)
context: That's why I can't fail..\I have to win!\What's that...\then you shouldn't have made any Oke from the start!\Idiot Kiyora!\Eto Kozo\Hai, Uraken fried rice!\Doumo! (casual greeting) response:	Oh, Etu Sensei! So you have finalled decided, haven't you? (they call him Etu, not Eto)
context: I have to win!\What's that...\then you shouldn't have made any Oke from the start!\Idiot Kiyora!\Eto Kozo\Hai, Uraken fried rice!\Doumo! (casual greeting)\Oh, Etu Sensei! So you have finalled decided, haven't you? (they call him Etu, not Eto) response:	The student candidate for Maradonna Piano Competition!
context: What's that...\then you shouldn't have made any Oke from the start!\Idiot Kiyora!\Eto Kozo\Hai, Uraken fried rice!\Doumo! (casual greeting)\Oh, Etu Sensei! So you have finalled decided, haven't you? (they call him Etu, not Eto)\The student candidate for Maradonna Piano Competition! response:	Student Name : Noda Megumi Instructor Name : Eto Kozo
context: then you shouldn't have made any Oke from the start!\Idiot Kiyora!\Eto Kozo\Hai, Uraken fried rice!\Doumo! (casual greeting)\Oh, Etu Sensei! So you have finalled decided, haven't you? (they call him Etu, not Eto)\The student candidate for Maradonna Piano Competition!\Student Name : Noda Megumi Instructor Name : Eto Kozo response:	Excuse me...
context: Idiot Kiyora!\Eto Kozo\Hai, Uraken fried rice!\Doumo! (casual greeting)\Oh, Etu Sensei! So you have finalled decided, haven't you? (they call him Etu, not Eto)\The student candidate for Maradonna Piano Competition!\Student Name : Noda Megumi Instructor Name : Eto Kozo\Excuse me... response:	Senpai! You still haven't taken a bath?
context: Eto Kozo\Hai, Uraken fried rice!\Doumo! (casual greeting)\Oh, Etu Sensei! So you have finalled decided, haven't you? (they call him Etu, not Eto)\The student candidate for Maradonna Piano Competition!\Student Name : Noda Megumi Instructor Name : Eto Kozo\Excuse me...\Senpai! You still haven't taken a bath? response:	AAAh... You haven't eaten my rice balls either...
context: Hai, Uraken fried rice!\Doumo! (casual greeting)\Oh, Etu Sensei! So you have finalled decided, haven't you? (they call him Etu, not Eto)\The student candidate for Maradonna Piano Competition!\Student Name : Noda Megumi Instructor Name : Eto Kozo\Excuse me...\Senpai! You still haven't taken a bath?\AAAh... You haven't eaten my rice balls either... response:	They're hard now..
context: Doumo! (casual greeting)\Oh, Etu Sensei! So you have finalled decided, haven't you? (they call him Etu, not Eto)\The student candidate for Maradonna Piano Competition!\Student Name : Noda Megumi Instructor Name : Eto Kozo\Excuse me...\Senpai! You still haven't taken a bath?\AAAh... You haven't eaten my rice balls either...\They're hard now.. response:	Ohhh! Don't only drink!
context: Oh, Etu Sensei! So you have finalled decided, haven't you? (they call him Etu, not Eto)\The student candidate for Maradonna Piano Competition!\Student Name : Noda Megumi Instructor Name : Eto Kozo\Excuse me...\Senpai! You still haven't taken a bath?\AAAh... You haven't eaten my rice balls either...\They're hard now..\Ohhh! Don't only drink! response:	You should eat something that can fill up your stomach
context: The student candidate for Maradonna Piano Competition!\Student Name : Noda Megumi Instructor Name : Eto Kozo\Excuse me...\Senpai! You still haven't taken a bath?\AAAh... You haven't eaten my rice balls either...\They're hard now..\Ohhh! Don't only drink!\You should eat something that can fill up your stomach response:	Pudding
context: Student Name : Noda Megumi Instructor Name : Eto Kozo\Excuse me...\Senpai! You still haven't taken a bath?\AAAh... You haven't eaten my rice balls either...\They're hard now..\Ohhh! Don't only drink!\You should eat something that can fill up your stomach\Pudding response:	Hai, Senpai
context: Excuse me...\Senpai! You still haven't taken a bath?\AAAh... You haven't eaten my rice balls either...\They're hard now..\Ohhh! Don't only drink!\You should eat something that can fill up your stomach\Pudding\Hai, Senpai response:	AAAng...
context: Senpai! You still haven't taken a bath?\AAAh... You haven't eaten my rice balls either...\They're hard now..\Ohhh! Don't only drink!\You should eat something that can fill up your stomach\Pudding\Hai, Senpai\AAAng... response:	Slurp!
context: AAAh... You haven't eaten my rice balls either...\They're hard now..\Ohhh! Don't only drink!\You should eat something that can fill up your stomach\Pudding\Hai, Senpai\AAAng...\Slurp! response:	Yosh!
context: They're hard now..\Ohhh! Don't only drink!\You should eat something that can fill up your stomach\Pudding\Hai, Senpai\AAAng...\Slurp!\Yosh! response:	Senpai, the hot bath is ready..
context: Ohhh! Don't only drink!\You should eat something that can fill up your stomach\Pudding\Hai, Senpai\AAAng...\Slurp!\Yosh!\Senpai, the hot bath is ready.. response:	Let's become clean...
context: You should eat something that can fill up your stomach\Pudding\Hai, Senpai\AAAng...\Slurp!\Yosh!\Senpai, the hot bath is ready..\Let's become clean... response:	Nodame will shampoo your hair too
context: Pudding\Hai, Senpai\AAAng...\Slurp!\Yosh!\Senpai, the hot bath is ready..\Let's become clean...\Nodame will shampoo your hair too response:	Gyabo!
context: Hai, Senpai\AAAng...\Slurp!\Yosh!\Senpai, the hot bath is ready..\Let's become clean...\Nodame will shampoo your hair too\Gyabo! response:	Senpai.. so you were sane after all
context: AAAng...\Slurp!\Yosh!\Senpai, the hot bath is ready..\Let's become clean...\Nodame will shampoo your hair too\Gyabo!\Senpai.. so you were sane after all response:	By the next lesson, pick 10 pieces from here.. and read the score.
context: Slurp!\Yosh!\Senpai, the hot bath is ready..\Let's become clean...\Nodame will shampoo your hair too\Gyabo!\Senpai.. so you were sane after all\By the next lesson, pick 10 pieces from here.. and read the score. response:	Megumi chan.. Tomorrow's competition...
context: Yosh!\Senpai, the hot bath is ready..\Let's become clean...\Nodame will shampoo your hair too\Gyabo!\Senpai.. so you were sane after all\By the next lesson, pick 10 pieces from here.. and read the score.\Megumi chan.. Tomorrow's competition... response:	I want Megumi-chan to come and listen to m...my oboe
context: Senpai, the hot bath is ready..\Let's become clean...\Nodame will shampoo your hair too\Gyabo!\Senpai.. so you were sane after all\By the next lesson, pick 10 pieces from here.. and read the score.\Megumi chan.. Tomorrow's competition...\I want Megumi-chan to come and listen to m...my oboe response:	No...
context: Let's become clean...\Nodame will shampoo your hair too\Gyabo!\Senpai.. so you were sane after all\By the next lesson, pick 10 pieces from here.. and read the score.\Megumi chan.. Tomorrow's competition...\I want Megumi-chan to come and listen to m...my oboe\No... response:	I will play for you
context: Nodame will shampoo your hair too\Gyabo!\Senpai.. so you were sane after all\By the next lesson, pick 10 pieces from here.. and read the score.\Megumi chan.. Tomorrow's competition...\I want Megumi-chan to come and listen to m...my oboe\No...\I will play for you response:	Ack, Megumi chan! Tomorrow's competition..
context: Gyabo!\Senpai.. so you were sane after all\By the next lesson, pick 10 pieces from here.. and read the score.\Megumi chan.. Tomorrow's competition...\I want Megumi-chan to come and listen to m...my oboe\No...\I will play for you\Ack, Megumi chan! Tomorrow's competition.. response:	Konnichiwa!
context: Senpai.. so you were sane after all\By the next lesson, pick 10 pieces from here.. and read the score.\Megumi chan.. Tomorrow's competition...\I want Megumi-chan to come and listen to m...my oboe\No...\I will play for you\Ack, Megumi chan! Tomorrow's competition..\Konnichiwa! response:	Megumi chan! Where are you going in such a hurry?
context: By the next lesson, pick 10 pieces from here.. and read the score.\Megumi chan.. Tomorrow's competition...\I want Megumi-chan to come and listen to m...my oboe\No...\I will play for you\Ack, Megumi chan! Tomorrow's competition..\Konnichiwa!\Megumi chan! Where are you going in such a hurry? response:	I'm going to Super Hitoshi-kun!
context: Megumi chan.. Tomorrow's competition...\I want Megumi-chan to come and listen to m...my oboe\No...\I will play for you\Ack, Megumi chan! Tomorrow's competition..\Konnichiwa!\Megumi chan! Where are you going in such a hurry?\I'm going to Super Hitoshi-kun! response:	Super Hitoshi-kun?
context: I want Megumi-chan to come and listen to m...my oboe\No...\I will play for you\Ack, Megumi chan! Tomorrow's competition..\Konnichiwa!\Megumi chan! Where are you going in such a hurry?\I'm going to Super Hitoshi-kun!\Super Hitoshi-kun? response:	It's Time Service from now! (=time-limited sale)
context: No...\I will play for you\Ack, Megumi chan! Tomorrow's competition..\Konnichiwa!\Megumi chan! Where are you going in such a hurry?\I'm going to Super Hitoshi-kun!\Super Hitoshi-kun?\It's Time Service from now! (=time-limited sale) response:	Eels... 3 eels for only 300 yen!!
context: I will play for you\Ack, Megumi chan! Tomorrow's competition..\Konnichiwa!\Megumi chan! Where are you going in such a hurry?\I'm going to Super Hitoshi-kun!\Super Hitoshi-kun?\It's Time Service from now! (=time-limited sale)\Eels... 3 eels for only 300 yen!! response:	Eels for Chiaki Senpai...
context: Ack, Megumi chan! Tomorrow's competition..\Konnichiwa!\Megumi chan! Where are you going in such a hurry?\I'm going to Super Hitoshi-kun!\Super Hitoshi-kun?\It's Time Service from now! (=time-limited sale)\Eels... 3 eels for only 300 yen!!\Eels for Chiaki Senpai... response:	He needs eel power!!
context: Konnichiwa!\Megumi chan! Where are you going in such a hurry?\I'm going to Super Hitoshi-kun!\Super Hitoshi-kun?\It's Time Service from now! (=time-limited sale)\Eels... 3 eels for only 300 yen!!\Eels for Chiaki Senpai...\He needs eel power!! response:	What's wrong with Chiaki-kun?
context: Megumi chan! Where are you going in such a hurry?\I'm going to Super Hitoshi-kun!\Super Hitoshi-kun?\It's Time Service from now! (=time-limited sale)\Eels... 3 eels for only 300 yen!!\Eels for Chiaki Senpai...\He needs eel power!!\What's wrong with Chiaki-kun? response:	Chiaki Senpai almost drowned in the bath tub yesterday
context: I'm going to Super Hitoshi-kun!\Super Hitoshi-kun?\It's Time Service from now! (=time-limited sale)\Eels... 3 eels for only 300 yen!!\Eels for Chiaki Senpai...\He needs eel power!!\What's wrong with Chiaki-kun?\Chiaki Senpai almost drowned in the bath tub yesterday response:	Senpai, are you alright?
context: Super Hitoshi-kun?\It's Time Service from now! (=time-limited sale)\Eels... 3 eels for only 300 yen!!\Eels for Chiaki Senpai...\He needs eel power!!\What's wrong with Chiaki-kun?\Chiaki Senpai almost drowned in the bath tub yesterday\Senpai, are you alright? response:	GET UP!
context: It's Time Service from now! (=time-limited sale)\Eels... 3 eels for only 300 yen!!\Eels for Chiaki Senpai...\He needs eel power!!\What's wrong with Chiaki-kun?\Chiaki Senpai almost drowned in the bath tub yesterday\Senpai, are you alright?\GET UP! response:	Had I not peeked in, I wonder what would have happened!
context: Eels... 3 eels for only 300 yen!!\Eels for Chiaki Senpai...\He needs eel power!!\What's wrong with Chiaki-kun?\Chiaki Senpai almost drowned in the bath tub yesterday\Senpai, are you alright?\GET UP!\Had I not peeked in, I wonder what would have happened! response:	peeked???
context: Eels for Chiaki Senpai...\He needs eel power!!\What's wrong with Chiaki-kun?\Chiaki Senpai almost drowned in the bath tub yesterday\Senpai, are you alright?\GET UP!\Had I not peeked in, I wonder what would have happened!\peeked??? response:	Super Hitoshikun
context: He needs eel power!!\What's wrong with Chiaki-kun?\Chiaki Senpai almost drowned in the bath tub yesterday\Senpai, are you alright?\GET UP!\Had I not peeked in, I wonder what would have happened!\peeked???\Super Hitoshikun response:	Time Service! 3 eels for only 300 yen!! (usually 1200 yen)
context: What's wrong with Chiaki-kun?\Chiaki Senpai almost drowned in the bath tub yesterday\Senpai, are you alright?\GET UP!\Had I not peeked in, I wonder what would have happened!\peeked???\Super Hitoshikun\Time Service! 3 eels for only 300 yen!! (usually 1200 yen) response:	WAIT!
context: Chiaki Senpai almost drowned in the bath tub yesterday\Senpai, are you alright?\GET UP!\Had I not peeked in, I wonder what would have happened!\peeked???\Super Hitoshikun\Time Service! 3 eels for only 300 yen!! (usually 1200 yen)\WAIT! response:	Nodame too!
context: Senpai, are you alright?\GET UP!\Had I not peeked in, I wonder what would have happened!\peeked???\Super Hitoshikun\Time Service! 3 eels for only 300 yen!! (usually 1200 yen)\WAIT!\Nodame too! response:	Certainly
context: GET UP!\Had I not peeked in, I wonder what would have happened!\peeked???\Super Hitoshikun\Time Service! 3 eels for only 300 yen!! (usually 1200 yen)\WAIT!\Nodame too!\Certainly response:	(I don't catch this one)
context: Had I not peeked in, I wonder what would have happened!\peeked???\Super Hitoshikun\Time Service! 3 eels for only 300 yen!! (usually 1200 yen)\WAIT!\Nodame too!\Certainly\(I don't catch this one) response:	SOLD OUT
context: peeked???\Super Hitoshikun\Time Service! 3 eels for only 300 yen!! (usually 1200 yen)\WAIT!\Nodame too!\Certainly\(I don't catch this one)\SOLD OUT response:	Thank you, thank you
context: Super Hitoshikun\Time Service! 3 eels for only 300 yen!! (usually 1200 yen)\WAIT!\Nodame too!\Certainly\(I don't catch this one)\SOLD OUT\Thank you, thank you response:	I lost...
context: Time Service! 3 eels for only 300 yen!! (usually 1200 yen)\WAIT!\Nodame too!\Certainly\(I don't catch this one)\SOLD OUT\Thank you, thank you\I lost... response:	Megumi chan, are you OK?
context: WAIT!\Nodame too!\Certainly\(I don't catch this one)\SOLD OUT\Thank you, thank you\I lost...\Megumi chan, are you OK? response:	Anago 500 yen (=sea eel, not as good as usual eel)
context: Nodame too!\Certainly\(I don't catch this one)\SOLD OUT\Thank you, thank you\I lost...\Megumi chan, are you OK?\Anago 500 yen (=sea eel, not as good as usual eel) response:	Does anago also help for adding stamina?
context: Certainly\(I don't catch this one)\SOLD OUT\Thank you, thank you\I lost...\Megumi chan, are you OK?\Anago 500 yen (=sea eel, not as good as usual eel)\Does anago also help for adding stamina? response:	Sorry.. I wish I had helped you earlier...
context: (I don't catch this one)\SOLD OUT\Thank you, thank you\I lost...\Megumi chan, are you OK?\Anago 500 yen (=sea eel, not as good as usual eel)\Does anago also help for adding stamina?\Sorry.. I wish I had helped you earlier... response:	It's OK. Kuroki kun doesn't have to.
context: SOLD OUT\Thank you, thank you\I lost...\Megumi chan, are you OK?\Anago 500 yen (=sea eel, not as good as usual eel)\Does anago also help for adding stamina?\Sorry.. I wish I had helped you earlier...\It's OK. Kuroki kun doesn't have to. response:	Because you're always doing your best in the orchestra, already.
context: Thank you, thank you\I lost...\Megumi chan, are you OK?\Anago 500 yen (=sea eel, not as good as usual eel)\Does anago also help for adding stamina?\Sorry.. I wish I had helped you earlier...\It's OK. Kuroki kun doesn't have to.\Because you're always doing your best in the orchestra, already. response:	Eh?
context: I lost...\Megumi chan, are you OK?\Anago 500 yen (=sea eel, not as good as usual eel)\Does anago also help for adding stamina?\Sorry.. I wish I had helped you earlier...\It's OK. Kuroki kun doesn't have to.\Because you're always doing your best in the orchestra, already.\Eh? response:	Because for now Nodame...
context: Megumi chan, are you OK?\Anago 500 yen (=sea eel, not as good as usual eel)\Does anago also help for adding stamina?\Sorry.. I wish I had helped you earlier...\It's OK. Kuroki kun doesn't have to.\Because you're always doing your best in the orchestra, already.\Eh?\Because for now Nodame... response:	cannot relate to Chiaki-Senpai through music.
context: Anago 500 yen (=sea eel, not as good as usual eel)\Does anago also help for adding stamina?\Sorry.. I wish I had helped you earlier...\It's OK. Kuroki kun doesn't have to.\Because you're always doing your best in the orchestra, already.\Eh?\Because for now Nodame...\cannot relate to Chiaki-Senpai through music. response:	At least, if this can help build Senpai's blood and muscle...
context: Does anago also help for adding stamina?\Sorry.. I wish I had helped you earlier...\It's OK. Kuroki kun doesn't have to.\Because you're always doing your best in the orchestra, already.\Eh?\Because for now Nodame...\cannot relate to Chiaki-Senpai through music.\At least, if this can help build Senpai's blood and muscle... response:	Megumi chan..
context: Sorry.. I wish I had helped you earlier...\It's OK. Kuroki kun doesn't have to.\Because you're always doing your best in the orchestra, already.\Eh?\Because for now Nodame...\cannot relate to Chiaki-Senpai through music.\At least, if this can help build Senpai's blood and muscle...\Megumi chan.. response:	You like Chiaki-kun...
context: It's OK. Kuroki kun doesn't have to.\Because you're always doing your best in the orchestra, already.\Eh?\Because for now Nodame...\cannot relate to Chiaki-Senpai through music.\At least, if this can help build Senpai's blood and muscle...\Megumi chan..\You like Chiaki-kun... response:	Ohh...anago is expensive..
context: Because you're always doing your best in the orchestra, already.\Eh?\Because for now Nodame...\cannot relate to Chiaki-Senpai through music.\At least, if this can help build Senpai's blood and muscle...\Megumi chan..\You like Chiaki-kun...\Ohh...anago is expensive.. response:	Nodame Cantabile Lesson 8
context: Eh?\Because for now Nodame...\cannot relate to Chiaki-Senpai through music.\At least, if this can help build Senpai's blood and muscle...\Megumi chan..\You like Chiaki-kun...\Ohh...anago is expensive..\Nodame Cantabile Lesson 8 response:	Please do not distribute this softsubs.
context: Because for now Nodame...\cannot relate to Chiaki-Senpai through music.\At least, if this can help build Senpai's blood and muscle...\Megumi chan..\You like Chiaki-kun...\Ohh...anago is expensive..\Nodame Cantabile Lesson 8\Please do not distribute this softsubs. response:	You can download it at
context: cannot relate to Chiaki-Senpai through music.\At least, if this can help build Senpai's blood and muscle...\Megumi chan..\You like Chiaki-kun...\Ohh...anago is expensive..\Nodame Cantabile Lesson 8\Please do not distribute this softsubs.\You can download it at response:	All Japan Music Competition
context: At least, if this can help build Senpai's blood and muscle...\Megumi chan..\You like Chiaki-kun...\Ohh...anago is expensive..\Nodame Cantabile Lesson 8\Please do not distribute this softsubs.\You can download it at\All Japan Music Competition response:	Oboe Section
context: Megumi chan..\You like Chiaki-kun...\Ohh...anago is expensive..\Nodame Cantabile Lesson 8\Please do not distribute this softsubs.\You can download it at\All Japan Music Competition\Oboe Section response:	Megumi chan,
context: You like Chiaki-kun...\Ohh...anago is expensive..\Nodame Cantabile Lesson 8\Please do not distribute this softsubs.\You can download it at\All Japan Music Competition\Oboe Section\Megumi chan, response:	while I was looking at you,
context: Ohh...anago is expensive..\Nodame Cantabile Lesson 8\Please do not distribute this softsubs.\You can download it at\All Japan Music Competition\Oboe Section\Megumi chan,\while I was looking at you, response:	your thoughts were full with love for Chiaki-kun..
context: Nodame Cantabile Lesson 8\Please do not distribute this softsubs.\You can download it at\All Japan Music Competition\Oboe Section\Megumi chan,\while I was looking at you,\your thoughts were full with love for Chiaki-kun.. response:	Concentrate!
context: Please do not distribute this softsubs.\You can download it at\All Japan Music Competition\Oboe Section\Megumi chan,\while I was looking at you,\your thoughts were full with love for Chiaki-kun..\Concentrate! response:	Return to my cool self!
context: You can download it at\All Japan Music Competition\Oboe Section\Megumi chan,\while I was looking at you,\your thoughts were full with love for Chiaki-kun..\Concentrate!\Return to my cool self! response:	It will be fine. For today's sake I've practiced so very hard..
context: All Japan Music Competition\Oboe Section\Megumi chan,\while I was looking at you,\your thoughts were full with love for Chiaki-kun..\Concentrate!\Return to my cool self!\It will be fine. For today's sake I've practiced so very hard.. response:	Moreover I have made my reed perfect...
context: Oboe Section\Megumi chan,\while I was looking at you,\your thoughts were full with love for Chiaki-kun..\Concentrate!\Return to my cool self!\It will be fine. For today's sake I've practiced so very hard..\Moreover I have made my reed perfect... response:	Ah!
context: Megumi chan,\while I was looking at you,\your thoughts were full with love for Chiaki-kun..\Concentrate!\Return to my cool self!\It will be fine. For today's sake I've practiced so very hard..\Moreover I have made my reed perfect...\Ah! response:	Oh no! I put it in the water too long!
context: while I was looking at you,\your thoughts were full with love for Chiaki-kun..\Concentrate!\Return to my cool self!\It will be fine. For today's sake I've practiced so very hard..\Moreover I have made my reed perfect...\Ah!\Oh no! I put it in the water too long! response:	I need another reed..
context: your thoughts were full with love for Chiaki-kun..\Concentrate!\Return to my cool self!\It will be fine. For today's sake I've practiced so very hard..\Moreover I have made my reed perfect...\Ah!\Oh no! I put it in the water too long!\I need another reed.. response:	The next person Kuroki Yasunori-san
