context: He became a prince out of necessity. response:	He realized that if nothing else, the future we hoped for
context: Have I killed people?!\U-Um, you're the person I loaned my coat to, right?\Would you mind giving it back?\You see, my passport and wallet are in the pockets.\I'll give you the coat itself, so please just give those back!\That's fine. Hang on a second.\Saki Morimi...\Born in 1 989, eh? response:	This is the one! I'll use this one.
context: U-Um, you're the person I loaned my coat to, right?\Would you mind giving it back?\You see, my passport and wallet are in the pockets.\I'll give you the coat itself, so please just give those back!\That's fine. Hang on a second.\Saki Morimi...\Born in 1 989, eh?\This is the one! I'll use this one. response:	The name is... Akira Takizawa.
context: Would you mind giving it back?\You see, my passport and wallet are in the pockets.\I'll give you the coat itself, so please just give those back!\That's fine. Hang on a second.\Saki Morimi...\Born in 1 989, eh?\This is the one! I'll use this one.\The name is... Akira Takizawa. response:	Okay, from now on I'm Akira Takizawa!
context: You see, my passport and wallet are in the pockets.\I'll give you the coat itself, so please just give those back!\That's fine. Hang on a second.\Saki Morimi...\Born in 1 989, eh?\This is the one! I'll use this one.\The name is... Akira Takizawa.\Okay, from now on I'm Akira Takizawa! response:	What's he doing in there? Hurry up!
context: I'll give you the coat itself, so please just give those back!\That's fine. Hang on a second.\Saki Morimi...\Born in 1 989, eh?\This is the one! I'll use this one.\The name is... Akira Takizawa.\Okay, from now on I'm Akira Takizawa!\What's he doing in there? Hurry up! response:	Hello. I need to ask you something.
context: That's fine. Hang on a second.\Saki Morimi...\Born in 1 989, eh?\This is the one! I'll use this one.\The name is... Akira Takizawa.\Okay, from now on I'm Akira Takizawa!\What's he doing in there? Hurry up!\Hello. I need to ask you something. response:	What is it?
context: Saki Morimi...\Born in 1 989, eh?\This is the one! I'll use this one.\The name is... Akira Takizawa.\Okay, from now on I'm Akira Takizawa!\What's he doing in there? Hurry up!\Hello. I need to ask you something.\What is it? response:	The girl in this picture- is that you?
context: Born in 1 989, eh?\This is the one! I'll use this one.\The name is... Akira Takizawa.\Okay, from now on I'm Akira Takizawa!\What's he doing in there? Hurry up!\Hello. I need to ask you something.\What is it?\The girl in this picture- is that you? response:	U-Um... Er...
context: This is the one! I'll use this one.\The name is... Akira Takizawa.\Okay, from now on I'm Akira Takizawa!\What's he doing in there? Hurry up!\Hello. I need to ask you something.\What is it?\The girl in this picture- is that you?\U-Um... Er... response:	Sorry to keep you waiting.
context: The name is... Akira Takizawa.\Okay, from now on I'm Akira Takizawa!\What's he doing in there? Hurry up!\Hello. I need to ask you something.\What is it?\The girl in this picture- is that you?\U-Um... Er...\Sorry to keep you waiting. response:	Let's go.
context: Okay, from now on I'm Akira Takizawa!\What's he doing in there? Hurry up!\Hello. I need to ask you something.\What is it?\The girl in this picture- is that you?\U-Um... Er...\Sorry to keep you waiting.\Let's go. response:	U-Um...
context: What's he doing in there? Hurry up!\Hello. I need to ask you something.\What is it?\The girl in this picture- is that you?\U-Um... Er...\Sorry to keep you waiting.\Let's go.\U-Um... response:	Wait a sec. Come this way, please.
context: Hello. I need to ask you something.\What is it?\The girl in this picture- is that you?\U-Um... Er...\Sorry to keep you waiting.\Let's go.\U-Um...\Wait a sec. Come this way, please. response:	Are you Japanese?
context: What is it?\The girl in this picture- is that you?\U-Um... Er...\Sorry to keep you waiting.\Let's go.\U-Um...\Wait a sec. Come this way, please.\Are you Japanese? response:	I need to see your johnny.
context: The girl in this picture- is that you?\U-Um... Er...\Sorry to keep you waiting.\Let's go.\U-Um...\Wait a sec. Come this way, please.\Are you Japanese?\I need to see your johnny. response:	Whoa! It sure does look like me, but where was that taken?
context: U-Um... Er...\Sorry to keep you waiting.\Let's go.\U-Um...\Wait a sec. Come this way, please.\Are you Japanese?\I need to see your johnny.\Whoa! It sure does look like me, but where was that taken? response:	What do you think? I guess it is me, huh?
context: Sorry to keep you waiting.\Let's go.\U-Um...\Wait a sec. Come this way, please.\Are you Japanese?\I need to see your johnny.\Whoa! It sure does look like me, but where was that taken?\What do you think? I guess it is me, huh? response:	Thank you. Have a nice date.
context: Let's go.\U-Um...\Wait a sec. Come this way, please.\Are you Japanese?\I need to see your johnny.\Whoa! It sure does look like me, but where was that taken?\What do you think? I guess it is me, huh?\Thank you. Have a nice date. response:	Oh, it's someone else?
context: U-Um...\Wait a sec. Come this way, please.\Are you Japanese?\I need to see your johnny.\Whoa! It sure does look like me, but where was that taken?\What do you think? I guess it is me, huh?\Thank you. Have a nice date.\Oh, it's someone else? response:	Okay, have a good one!
context: Wait a sec. Come this way, please.\Are you Japanese?\I need to see your johnny.\Whoa! It sure does look like me, but where was that taken?\What do you think? I guess it is me, huh?\Thank you. Have a nice date.\Oh, it's someone else?\Okay, have a good one! response:	Safe! I was pretty cold back there, after all.
context: Are you Japanese?\I need to see your johnny.\Whoa! It sure does look like me, but where was that taken?\What do you think? I guess it is me, huh?\Thank you. Have a nice date.\Oh, it's someone else?\Okay, have a good one!\Safe! I was pretty cold back there, after all. response:	Let's hurry. Things are getting desperate.
context: I need to see your johnny.\Whoa! It sure does look like me, but where was that taken?\What do you think? I guess it is me, huh?\Thank you. Have a nice date.\Oh, it's someone else?\Okay, have a good one!\Safe! I was pretty cold back there, after all.\Let's hurry. Things are getting desperate. response:	What do you mean, desperate?
context: Whoa! It sure does look like me, but where was that taken?\What do you think? I guess it is me, huh?\Thank you. Have a nice date.\Oh, it's someone else?\Okay, have a good one!\Safe! I was pretty cold back there, after all.\Let's hurry. Things are getting desperate.\What do you mean, desperate? response:	If we're unlucky, this whole place could burn down.
context: What do you think? I guess it is me, huh?\Thank you. Have a nice date.\Oh, it's someone else?\Okay, have a good one!\Safe! I was pretty cold back there, after all.\Let's hurry. Things are getting desperate.\What do you mean, desperate?\If we're unlucky, this whole place could burn down. response:	When are you going back to Japan?
context: Thank you. Have a nice date.\Oh, it's someone else?\Okay, have a good one!\Safe! I was pretty cold back there, after all.\Let's hurry. Things are getting desperate.\What do you mean, desperate?\If we're unlucky, this whole place could burn down.\When are you going back to Japan? response:	Well, now, actually.
context: Oh, it's someone else?\Okay, have a good one!\Safe! I was pretty cold back there, after all.\Let's hurry. Things are getting desperate.\What do you mean, desperate?\If we're unlucky, this whole place could burn down.\When are you going back to Japan?\Well, now, actually. response:	Really? Let's go home together, then.
context: Okay, have a good one!\Safe! I was pretty cold back there, after all.\Let's hurry. Things are getting desperate.\What do you mean, desperate?\If we're unlucky, this whole place could burn down.\When are you going back to Japan?\Well, now, actually.\Really? Let's go home together, then. response:	Wait, um, I...
context: Safe! I was pretty cold back there, after all.\Let's hurry. Things are getting desperate.\What do you mean, desperate?\If we're unlucky, this whole place could burn down.\When are you going back to Japan?\Well, now, actually.\Really? Let's go home together, then.\Wait, um, I... response:	What?
context: Let's hurry. Things are getting desperate.\What do you mean, desperate?\If we're unlucky, this whole place could burn down.\When are you going back to Japan?\Well, now, actually.\Really? Let's go home together, then.\Wait, um, I...\What? response:	I left my bag behind on my way here.
context: What do you mean, desperate?\If we're unlucky, this whole place could burn down.\When are you going back to Japan?\Well, now, actually.\Really? Let's go home together, then.\Wait, um, I...\What?\I left my bag behind on my way here. response:	You mean back at the White House? Was anything important in it?
context: If we're unlucky, this whole place could burn down.\When are you going back to Japan?\Well, now, actually.\Really? Let's go home together, then.\Wait, um, I...\What?\I left my bag behind on my way here.\You mean back at the White House? Was anything important in it? response:	Presents, and clothes I like...
context: When are you going back to Japan?\Well, now, actually.\Really? Let's go home together, then.\Wait, um, I...\What?\I left my bag behind on my way here.\You mean back at the White House? Was anything important in it?\Presents, and clothes I like... response:	Then it's too bad, but you shouldn't go back there.
context: Well, now, actually.\Really? Let's go home together, then.\Wait, um, I...\What?\I left my bag behind on my way here.\You mean back at the White House? Was anything important in it?\Presents, and clothes I like...\Then it's too bad, but you shouldn't go back there. response:	Leave things to me. Will you loan me enough for cab fare?
context: Really? Let's go home together, then.\Wait, um, I...\What?\I left my bag behind on my way here.\You mean back at the White House? Was anything important in it?\Presents, and clothes I like...\Then it's too bad, but you shouldn't go back there.\Leave things to me. Will you loan me enough for cab fare? response:	Okay, get in.
context: Wait, um, I...\What?\I left my bag behind on my way here.\You mean back at the White House? Was anything important in it?\Presents, and clothes I like...\Then it's too bad, but you shouldn't go back there.\Leave things to me. Will you loan me enough for cab fare?\Okay, get in. response:	Go on.
context: What?\I left my bag behind on my way here.\You mean back at the White House? Was anything important in it?\Presents, and clothes I like...\Then it's too bad, but you shouldn't go back there.\Leave things to me. Will you loan me enough for cab fare?\Okay, get in.\Go on. response:	Take us to the police station, quick as you can.
context: I left my bag behind on my way here.\You mean back at the White House? Was anything important in it?\Presents, and clothes I like...\Then it's too bad, but you shouldn't go back there.\Leave things to me. Will you loan me enough for cab fare?\Okay, get in.\Go on.\Take us to the police station, quick as you can. response:	Why the police station?!
context: You mean back at the White House? Was anything important in it?\Presents, and clothes I like...\Then it's too bad, but you shouldn't go back there.\Leave things to me. Will you loan me enough for cab fare?\Okay, get in.\Go on.\Take us to the police station, quick as you can.\Why the police station?! response:	So this passport's not fake, anyway...
context: Presents, and clothes I like...\Then it's too bad, but you shouldn't go back there.\Leave things to me. Will you loan me enough for cab fare?\Okay, get in.\Go on.\Take us to the police station, quick as you can.\Why the police station?!\So this passport's not fake, anyway... response:	Here you go, ticket and passport.
context: Then it's too bad, but you shouldn't go back there.\Leave things to me. Will you loan me enough for cab fare?\Okay, get in.\Go on.\Take us to the police station, quick as you can.\Why the police station?!\So this passport's not fake, anyway...\Here you go, ticket and passport. response:	You're well-traveled, huh?
context: Leave things to me. Will you loan me enough for cab fare?\Okay, get in.\Go on.\Take us to the police station, quick as you can.\Why the police station?!\So this passport's not fake, anyway...\Here you go, ticket and passport.\You're well-traveled, huh? response:	You think so?
context: Okay, get in.\Go on.\Take us to the police station, quick as you can.\Why the police station?!\So this passport's not fake, anyway...\Here you go, ticket and passport.\You're well-traveled, huh?\You think so? response:	To think the embassy even booked us a flight...
context: Go on.\Take us to the police station, quick as you can.\Why the police station?!\So this passport's not fake, anyway...\Here you go, ticket and passport.\You're well-traveled, huh?\You think so?\To think the embassy even booked us a flight... response:	I was secretly really nervous,
context: Take us to the police station, quick as you can.\Why the police station?!\So this passport's not fake, anyway...\Here you go, ticket and passport.\You're well-traveled, huh?\You think so?\To think the embassy even booked us a flight...\I was secretly really nervous, response:	worrying about what'd happen if they found out we lied...
context: Why the police station?!\So this passport's not fake, anyway...\Here you go, ticket and passport.\You're well-traveled, huh?\You think so?\To think the embassy even booked us a flight...\I was secretly really nervous,\worrying about what'd happen if they found out we lied... response:	We didn't lie about anything.
context: So this passport's not fake, anyway...\Here you go, ticket and passport.\You're well-traveled, huh?\You think so?\To think the embassy even booked us a flight...\I was secretly really nervous,\worrying about what'd happen if they found out we lied...\We didn't lie about anything. response:	And we properly reported the theft to the police.
context: Here you go, ticket and passport.\You're well-traveled, huh?\You think so?\To think the embassy even booked us a flight...\I was secretly really nervous,\worrying about what'd happen if they found out we lied...\We didn't lie about anything.\And we properly reported the theft to the police. response:	Otherwise, the embassy wouldn't have lent us plane fare.
context: You're well-traveled, huh?\You think so?\To think the embassy even booked us a flight...\I was secretly really nervous,\worrying about what'd happen if they found out we lied...\We didn't lie about anything.\And we properly reported the theft to the police.\Otherwise, the embassy wouldn't have lent us plane fare. response:	Government officials are more cold-hearted than you'd think.
context: You think so?\To think the embassy even booked us a flight...\I was secretly really nervous,\worrying about what'd happen if they found out we lied...\We didn't lie about anything.\And we properly reported the theft to the police.\Otherwise, the embassy wouldn't have lent us plane fare.\Government officials are more cold-hearted than you'd think. response:	Really?
context: To think the embassy even booked us a flight...\I was secretly really nervous,\worrying about what'd happen if they found out we lied...\We didn't lie about anything.\And we properly reported the theft to the police.\Otherwise, the embassy wouldn't have lent us plane fare.\Government officials are more cold-hearted than you'd think.\Really? response:	Um, it feels like you've ended up helping me with a lot of things,
context: I was secretly really nervous,\worrying about what'd happen if they found out we lied...\We didn't lie about anything.\And we properly reported the theft to the police.\Otherwise, the embassy wouldn't have lent us plane fare.\Government officials are more cold-hearted than you'd think.\Really?\Um, it feels like you've ended up helping me with a lot of things, response:	but can I ask you about one thing that's been bugging me?
context: worrying about what'd happen if they found out we lied...\We didn't lie about anything.\And we properly reported the theft to the police.\Otherwise, the embassy wouldn't have lent us plane fare.\Government officials are more cold-hearted than you'd think.\Really?\Um, it feels like you've ended up helping me with a lot of things,\but can I ask you about one thing that's been bugging me? response:	What?
context: We didn't lie about anything.\And we properly reported the theft to the police.\Otherwise, the embassy wouldn't have lent us plane fare.\Government officials are more cold-hearted than you'd think.\Really?\Um, it feels like you've ended up helping me with a lot of things,\but can I ask you about one thing that's been bugging me?\What? response:	What were you really doing there when I first met you?
context: And we properly reported the theft to the police.\Otherwise, the embassy wouldn't have lent us plane fare.\Government officials are more cold-hearted than you'd think.\Really?\Um, it feels like you've ended up helping me with a lot of things,\but can I ask you about one thing that's been bugging me?\What?\What were you really doing there when I first met you? response:	Staging some kind of protest?
context: Otherwise, the embassy wouldn't have lent us plane fare.\Government officials are more cold-hearted than you'd think.\Really?\Um, it feels like you've ended up helping me with a lot of things,\but can I ask you about one thing that's been bugging me?\What?\What were you really doing there when I first met you?\Staging some kind of protest? response:	The truth is, I'm a terrorist.
context: Government officials are more cold-hearted than you'd think.\Really?\Um, it feels like you've ended up helping me with a lot of things,\but can I ask you about one thing that's been bugging me?\What?\What were you really doing there when I first met you?\Staging some kind of protest?\The truth is, I'm a terrorist. response:	Nah, just kidding.
context: Really?\Um, it feels like you've ended up helping me with a lot of things,\but can I ask you about one thing that's been bugging me?\What?\What were you really doing there when I first met you?\Staging some kind of protest?\The truth is, I'm a terrorist.\Nah, just kidding. response:	See, that's a popular game among the exchange students over here.
context: Um, it feels like you've ended up helping me with a lot of things,\but can I ask you about one thing that's been bugging me?\What?\What were you really doing there when I first met you?\Staging some kind of protest?\The truth is, I'm a terrorist.\Nah, just kidding.\See, that's a popular game among the exchange students over here. response:	Pretty awful how they make us carry guns, huh? Even if they are fake.
context: but can I ask you about one thing that's been bugging me?\What?\What were you really doing there when I first met you?\Staging some kind of protest?\The truth is, I'm a terrorist.\Nah, just kidding.\See, that's a popular game among the exchange students over here.\Pretty awful how they make us carry guns, huh? Even if they are fake. response:	That's a very extreme game.
context: What?\What were you really doing there when I first met you?\Staging some kind of protest?\The truth is, I'm a terrorist.\Nah, just kidding.\See, that's a popular game among the exchange students over here.\Pretty awful how they make us carry guns, huh? Even if they are fake.\That's a very extreme game. response:	I guess so.
context: What were you really doing there when I first met you?\Staging some kind of protest?\The truth is, I'm a terrorist.\Nah, just kidding.\See, that's a popular game among the exchange students over here.\Pretty awful how they make us carry guns, huh? Even if they are fake.\That's a very extreme game.\I guess so. response:	What are you doing in D.C.?
context: Staging some kind of protest?\The truth is, I'm a terrorist.\Nah, just kidding.\See, that's a popular game among the exchange students over here.\Pretty awful how they make us carry guns, huh? Even if they are fake.\That's a very extreme game.\I guess so.\What are you doing in D.C.? response:	Oh, I was on a college graduation trip.
context: The truth is, I'm a terrorist.\Nah, just kidding.\See, that's a popular game among the exchange students over here.\Pretty awful how they make us carry guns, huh? Even if they are fake.\That's a very extreme game.\I guess so.\What are you doing in D.C.?\Oh, I was on a college graduation trip. response:	It was a trip to New York, but I really wanted to see the White House,
context: Nah, just kidding.\See, that's a popular game among the exchange students over here.\Pretty awful how they make us carry guns, huh? Even if they are fake.\That's a very extreme game.\I guess so.\What are you doing in D.C.?\Oh, I was on a college graduation trip.\It was a trip to New York, but I really wanted to see the White House, response:	so I slipped away.
context: See, that's a popular game among the exchange students over here.\Pretty awful how they make us carry guns, huh? Even if they are fake.\That's a very extreme game.\I guess so.\What are you doing in D.C.?\Oh, I was on a college graduation trip.\It was a trip to New York, but I really wanted to see the White House,\so I slipped away. response:	Huh.
context: Pretty awful how they make us carry guns, huh? Even if they are fake.\That's a very extreme game.\I guess so.\What are you doing in D.C.?\Oh, I was on a college graduation trip.\It was a trip to New York, but I really wanted to see the White House,\so I slipped away.\Huh. response:	Why the White House?
context: That's a very extreme game.\I guess so.\What are you doing in D.C.?\Oh, I was on a college graduation trip.\It was a trip to New York, but I really wanted to see the White House,\so I slipped away.\Huh.\Why the White House? response:	How should I put it...? I thought maybe it was the center of the world.
context: I guess so.\What are you doing in D.C.?\Oh, I was on a college graduation trip.\It was a trip to New York, but I really wanted to see the White House,\so I slipped away.\Huh.\Why the White House?\How should I put it...? I thought maybe it was the center of the world. response:	That's strange, huh? I don't usually pay much attention to the U.S.,
context: What are you doing in D.C.?\Oh, I was on a college graduation trip.\It was a trip to New York, but I really wanted to see the White House,\so I slipped away.\Huh.\Why the White House?\How should I put it...? I thought maybe it was the center of the world.\That's strange, huh? I don't usually pay much attention to the U.S., response:	but I started thinking maybe everything from my little problems
context: Oh, I was on a college graduation trip.\It was a trip to New York, but I really wanted to see the White House,\so I slipped away.\Huh.\Why the White House?\How should I put it...? I thought maybe it was the center of the world.\That's strange, huh? I don't usually pay much attention to the U.S.,\but I started thinking maybe everything from my little problems response:	to the whole world situation was connected to this place at the root.
context: It was a trip to New York, but I really wanted to see the White House,\so I slipped away.\Huh.\Why the White House?\How should I put it...? I thought maybe it was the center of the world.\That's strange, huh? I don't usually pay much attention to the U.S.,\but I started thinking maybe everything from my little problems\to the whole world situation was connected to this place at the root. response:	And there's something going on in Japan, you know?
context: so I slipped away.\Huh.\Why the White House?\How should I put it...? I thought maybe it was the center of the world.\That's strange, huh? I don't usually pay much attention to the U.S.,\but I started thinking maybe everything from my little problems\to the whole world situation was connected to this place at the root.\And there's something going on in Japan, you know? response:	A heavy atmosphere that we can't do anything about ourselves anymore.
context: Huh.\Why the White House?\How should I put it...? I thought maybe it was the center of the world.\That's strange, huh? I don't usually pay much attention to the U.S.,\but I started thinking maybe everything from my little problems\to the whole world situation was connected to this place at the root.\And there's something going on in Japan, you know?\A heavy atmosphere that we can't do anything about ourselves anymore. response:	So I thought I'd wish for them to help us out, even a little.
context: Why the White House?\How should I put it...? I thought maybe it was the center of the world.\That's strange, huh? I don't usually pay much attention to the U.S.,\but I started thinking maybe everything from my little problems\to the whole world situation was connected to this place at the root.\And there's something going on in Japan, you know?\A heavy atmosphere that we can't do anything about ourselves anymore.\So I thought I'd wish for them to help us out, even a little. response:	And I interrupted you.
context: How should I put it...? I thought maybe it was the center of the world.\That's strange, huh? I don't usually pay much attention to the U.S.,\but I started thinking maybe everything from my little problems\to the whole world situation was connected to this place at the root.\And there's something going on in Japan, you know?\A heavy atmosphere that we can't do anything about ourselves anymore.\So I thought I'd wish for them to help us out, even a little.\And I interrupted you. response:	No... I'd actually thought better of it even before you came.
context: That's strange, huh? I don't usually pay much attention to the U.S.,\but I started thinking maybe everything from my little problems\to the whole world situation was connected to this place at the root.\And there's something going on in Japan, you know?\A heavy atmosphere that we can't do anything about ourselves anymore.\So I thought I'd wish for them to help us out, even a little.\And I interrupted you.\No... I'd actually thought better of it even before you came. response:	I realized this place has nothing to do with us.
context: but I started thinking maybe everything from my little problems\to the whole world situation was connected to this place at the root.\And there's something going on in Japan, you know?\A heavy atmosphere that we can't do anything about ourselves anymore.\So I thought I'd wish for them to help us out, even a little.\And I interrupted you.\No... I'd actually thought better of it even before you came.\I realized this place has nothing to do with us. response:	I get you... not that I understand.
context: to the whole world situation was connected to this place at the root.\And there's something going on in Japan, you know?\A heavy atmosphere that we can't do anything about ourselves anymore.\So I thought I'd wish for them to help us out, even a little.\And I interrupted you.\No... I'd actually thought better of it even before you came.\I realized this place has nothing to do with us.\I get you... not that I understand. response:	What's that mean?!
context: And there's something going on in Japan, you know?\A heavy atmosphere that we can't do anything about ourselves anymore.\So I thought I'd wish for them to help us out, even a little.\And I interrupted you.\No... I'd actually thought better of it even before you came.\I realized this place has nothing to do with us.\I get you... not that I understand.\What's that mean?! response:	But a certain someone's little terrorist act landed a blow for me,
context: A heavy atmosphere that we can't do anything about ourselves anymore.\So I thought I'd wish for them to help us out, even a little.\And I interrupted you.\No... I'd actually thought better of it even before you came.\I realized this place has nothing to do with us.\I get you... not that I understand.\What's that mean?!\But a certain someone's little terrorist act landed a blow for me, response:	and that's good enough.
context: So I thought I'd wish for them to help us out, even a little.\And I interrupted you.\No... I'd actually thought better of it even before you came.\I realized this place has nothing to do with us.\I get you... not that I understand.\What's that mean?!\But a certain someone's little terrorist act landed a blow for me,\and that's good enough. response:	My johnny landed a blow.
context: And I interrupted you.\No... I'd actually thought better of it even before you came.\I realized this place has nothing to do with us.\I get you... not that I understand.\What's that mean?!\But a certain someone's little terrorist act landed a blow for me,\and that's good enough.\My johnny landed a blow. response:	I'm Saki Morimi.
context: No... I'd actually thought better of it even before you came.\I realized this place has nothing to do with us.\I get you... not that I understand.\What's that mean?!\But a certain someone's little terrorist act landed a blow for me,\and that's good enough.\My johnny landed a blow.\I'm Saki Morimi. response:	I'm...
context: I realized this place has nothing to do with us.\I get you... not that I understand.\What's that mean?!\But a certain someone's little terrorist act landed a blow for me,\and that's good enough.\My johnny landed a blow.\I'm Saki Morimi.\I'm... response:	Here.
context: I get you... not that I understand.\What's that mean?!\But a certain someone's little terrorist act landed a blow for me,\and that's good enough.\My johnny landed a blow.\I'm Saki Morimi.\I'm...\Here. response:	Akira Takizawa?
context: What's that mean?!\But a certain someone's little terrorist act landed a blow for me,\and that's good enough.\My johnny landed a blow.\I'm Saki Morimi.\I'm...\Here.\Akira Takizawa? response:	What?
context: But a certain someone's little terrorist act landed a blow for me,\and that's good enough.\My johnny landed a blow.\I'm Saki Morimi.\I'm...\Here.\Akira Takizawa?\What? response:	You were born on January 7th, 1 989- you're the same as me!
context: and that's good enough.\My johnny landed a blow.\I'm Saki Morimi.\I'm...\Here.\Akira Takizawa?\What?\You were born on January 7th, 1 989- you're the same as me! response:	Born during the last week of the Showa era, right before it became Heisei!
context: My johnny landed a blow.\I'm Saki Morimi.\I'm...\Here.\Akira Takizawa?\What?\You were born on January 7th, 1 989- you're the same as me!\Born during the last week of the Showa era, right before it became Heisei! response:	Huh, so you're in the Showa 64 gang too...
context: I'm Saki Morimi.\I'm...\Here.\Akira Takizawa?\What?\You were born on January 7th, 1 989- you're the same as me!\Born during the last week of the Showa era, right before it became Heisei!\Huh, so you're in the Showa 64 gang too... response:	But since you were born on the seventh, I'm a day older.
context: I'm...\Here.\Akira Takizawa?\What?\You were born on January 7th, 1 989- you're the same as me!\Born during the last week of the Showa era, right before it became Heisei!\Huh, so you're in the Showa 64 gang too...\But since you were born on the seventh, I'm a day older. response:	Right, Takizawa?
context: Here.\Akira Takizawa?\What?\You were born on January 7th, 1 989- you're the same as me!\Born during the last week of the Showa era, right before it became Heisei!\Huh, so you're in the Showa 64 gang too...\But since you were born on the seventh, I'm a day older.\Right, Takizawa? response:	Could Takizawa be my prince?
context: Akira Takizawa?\What?\You were born on January 7th, 1 989- you're the same as me!\Born during the last week of the Showa era, right before it became Heisei!\Huh, so you're in the Showa 64 gang too...\But since you were born on the seventh, I'm a day older.\Right, Takizawa?\Could Takizawa be my prince? response:	Nah, of course not.
context: What?\You were born on January 7th, 1 989- you're the same as me!\Born during the last week of the Showa era, right before it became Heisei!\Huh, so you're in the Showa 64 gang too...\But since you were born on the seventh, I'm a day older.\Right, Takizawa?\Could Takizawa be my prince?\Nah, of course not. response:	What is it?
context: You were born on January 7th, 1 989- you're the same as me!\Born during the last week of the Showa era, right before it became Heisei!\Huh, so you're in the Showa 64 gang too...\But since you were born on the seventh, I'm a day older.\Right, Takizawa?\Could Takizawa be my prince?\Nah, of course not.\What is it? response:	That heavy atmosphere you were talking about... is it this?
context: Born during the last week of the Showa era, right before it became Heisei!\Huh, so you're in the Showa 64 gang too...\But since you were born on the seventh, I'm a day older.\Right, Takizawa?\Could Takizawa be my prince?\Nah, of course not.\What is it?\That heavy atmosphere you were talking about... is it this? response:	A missile attack on Tokyo...
context: Huh, so you're in the Showa 64 gang too...\But since you were born on the seventh, I'm a day older.\Right, Takizawa?\Could Takizawa be my prince?\Nah, of course not.\What is it?\That heavy atmosphere you were talking about... is it this?\A missile attack on Tokyo... response:	The night is a seal
context: But since you were born on the seventh, I'm a day older.\Right, Takizawa?\Could Takizawa be my prince?\Nah, of course not.\What is it?\That heavy atmosphere you were talking about... is it this?\A missile attack on Tokyo...\The night is a seal response:	If we mix in some bewilderment, it will end
context: Right, Takizawa?\Could Takizawa be my prince?\Nah, of course not.\What is it?\That heavy atmosphere you were talking about... is it this?\A missile attack on Tokyo...\The night is a seal\If we mix in some bewilderment, it will end response:	If we're in danger of wavering, let's just abandon our reasons
context: Could Takizawa be my prince?\Nah, of course not.\What is it?\That heavy atmosphere you were talking about... is it this?\A missile attack on Tokyo...\The night is a seal\If we mix in some bewilderment, it will end\If we're in danger of wavering, let's just abandon our reasons response:	We drown in dreams again
context: Nah, of course not.\What is it?\That heavy atmosphere you were talking about... is it this?\A missile attack on Tokyo...\The night is a seal\If we mix in some bewilderment, it will end\If we're in danger of wavering, let's just abandon our reasons\We drown in dreams again response:	The future stretches on uncertainly
context: What is it?\That heavy atmosphere you were talking about... is it this?\A missile attack on Tokyo...\The night is a seal\If we mix in some bewilderment, it will end\If we're in danger of wavering, let's just abandon our reasons\We drown in dreams again\The future stretches on uncertainly response:	I can still forgive you, I can still know the meaning
context: That heavy atmosphere you were talking about... is it this?\A missile attack on Tokyo...\The night is a seal\If we mix in some bewilderment, it will end\If we're in danger of wavering, let's just abandon our reasons\We drown in dreams again\The future stretches on uncertainly\I can still forgive you, I can still know the meaning response:	The night exists to be listened to closely
context: A missile attack on Tokyo...\The night is a seal\If we mix in some bewilderment, it will end\If we're in danger of wavering, let's just abandon our reasons\We drown in dreams again\The future stretches on uncertainly\I can still forgive you, I can still know the meaning\The night exists to be listened to closely response:	I can copy that reason, and change
context: The night is a seal\If we mix in some bewilderment, it will end\If we're in danger of wavering, let's just abandon our reasons\We drown in dreams again\The future stretches on uncertainly\I can still forgive you, I can still know the meaning\The night exists to be listened to closely\I can copy that reason, and change response:	I wouldn't mind cutting off the future to know your breath
context: If we mix in some bewilderment, it will end\If we're in danger of wavering, let's just abandon our reasons\We drown in dreams again\The future stretches on uncertainly\I can still forgive you, I can still know the meaning\The night exists to be listened to closely\I can copy that reason, and change\I wouldn't mind cutting off the future to know your breath response:	I wouldn't mind cutting off the future
