context: I have put up a barrier. response:	Those insects cannot get through.
context: are touched by the creepers I've placed here...\their soul will be consumed into the dark.\Where have they all gone?\What are these vines?!\Oh yuck!\Is it because she has the Sacred Jewel fragments?\That girl alone is unaffected by my sorcery.\Only she will succeed in reaching here. response:	I have set the stage for you.
context: their soul will be consumed into the dark.\Where have they all gone?\What are these vines?!\Oh yuck!\Is it because she has the Sacred Jewel fragments?\That girl alone is unaffected by my sorcery.\Only she will succeed in reaching here.\I have set the stage for you. response:	Such cunning...
context: Where have they all gone?\What are these vines?!\Oh yuck!\Is it because she has the Sacred Jewel fragments?\That girl alone is unaffected by my sorcery.\Only she will succeed in reaching here.\I have set the stage for you.\Such cunning... response:	She destroyed my puppet.
context: What are these vines?!\Oh yuck!\Is it because she has the Sacred Jewel fragments?\That girl alone is unaffected by my sorcery.\Only she will succeed in reaching here.\I have set the stage for you.\Such cunning...\She destroyed my puppet. response:	How dare she defy me.
context: Oh yuck!\Is it because she has the Sacred Jewel fragments?\That girl alone is unaffected by my sorcery.\Only she will succeed in reaching here.\I have set the stage for you.\Such cunning...\She destroyed my puppet.\How dare she defy me. response:	Kikyo!
context: Is it because she has the Sacred Jewel fragments?\That girl alone is unaffected by my sorcery.\Only she will succeed in reaching here.\I have set the stage for you.\Such cunning...\She destroyed my puppet.\How dare she defy me.\Kikyo! response:	Kikyo! You're all right! Kikyo!
context: That girl alone is unaffected by my sorcery.\Only she will succeed in reaching here.\I have set the stage for you.\Such cunning...\She destroyed my puppet.\How dare she defy me.\Kikyo!\Kikyo! You're all right! Kikyo! response:	Everyone was so worried...
context: Only she will succeed in reaching here.\I have set the stage for you.\Such cunning...\She destroyed my puppet.\How dare she defy me.\Kikyo!\Kikyo! You're all right! Kikyo!\Everyone was so worried... response:	Kikyo!
context: I have set the stage for you.\Such cunning...\She destroyed my puppet.\How dare she defy me.\Kikyo!\Kikyo! You're all right! Kikyo!\Everyone was so worried...\Kikyo! response:	Naraku fears you.
context: Such cunning...\She destroyed my puppet.\How dare she defy me.\Kikyo!\Kikyo! You're all right! Kikyo!\Everyone was so worried...\Kikyo!\Naraku fears you. response:	So he tried to control me with a Sacred Jewel fragment...
context: She destroyed my puppet.\How dare she defy me.\Kikyo!\Kikyo! You're all right! Kikyo!\Everyone was so worried...\Kikyo!\Naraku fears you.\So he tried to control me with a Sacred Jewel fragment... response:	and force me into fight you.
context: How dare she defy me.\Kikyo!\Kikyo! You're all right! Kikyo!\Everyone was so worried...\Kikyo!\Naraku fears you.\So he tried to control me with a Sacred Jewel fragment...\and force me into fight you. response:	Are they saving me?
context: Kikyo!\Kikyo! You're all right! Kikyo!\Everyone was so worried...\Kikyo!\Naraku fears you.\So he tried to control me with a Sacred Jewel fragment...\and force me into fight you.\Are they saving me? response:	There's a Sacred Jewel fragment in your chest!
context: Kikyo! You're all right! Kikyo!\Everyone was so worried...\Kikyo!\Naraku fears you.\So he tried to control me with a Sacred Jewel fragment...\and force me into fight you.\Are they saving me?\There's a Sacred Jewel fragment in your chest! response:	I am the priestess who held the Sacred Jewel in check...
context: Everyone was so worried...\Kikyo!\Naraku fears you.\So he tried to control me with a Sacred Jewel fragment...\and force me into fight you.\Are they saving me?\There's a Sacred Jewel fragment in your chest!\I am the priestess who held the Sacred Jewel in check... response:	I have not fallen so low as to be controlled by a mere fragment.
context: Kikyo!\Naraku fears you.\So he tried to control me with a Sacred Jewel fragment...\and force me into fight you.\Are they saving me?\There's a Sacred Jewel fragment in your chest!\I am the priestess who held the Sacred Jewel in check...\I have not fallen so low as to be controlled by a mere fragment. response:	Kikyo!
context: Naraku fears you.\So he tried to control me with a Sacred Jewel fragment...\and force me into fight you.\Are they saving me?\There's a Sacred Jewel fragment in your chest!\I am the priestess who held the Sacred Jewel in check...\I have not fallen so low as to be controlled by a mere fragment.\Kikyo! response:	Kikyo has been suffering... all alone.
context: So he tried to control me with a Sacred Jewel fragment...\and force me into fight you.\Are they saving me?\There's a Sacred Jewel fragment in your chest!\I am the priestess who held the Sacred Jewel in check...\I have not fallen so low as to be controlled by a mere fragment.\Kikyo!\Kikyo has been suffering... all alone. response:	Kikyo...I will never allow you to be alone again!
context: and force me into fight you.\Are they saving me?\There's a Sacred Jewel fragment in your chest!\I am the priestess who held the Sacred Jewel in check...\I have not fallen so low as to be controlled by a mere fragment.\Kikyo!\Kikyo has been suffering... all alone.\Kikyo...I will never allow you to be alone again! response:	Rest assured... I will protect you!
context: Are they saving me?\There's a Sacred Jewel fragment in your chest!\I am the priestess who held the Sacred Jewel in check...\I have not fallen so low as to be controlled by a mere fragment.\Kikyo!\Kikyo has been suffering... all alone.\Kikyo...I will never allow you to be alone again!\Rest assured... I will protect you! response:	What's that?
context: There's a Sacred Jewel fragment in your chest!\I am the priestess who held the Sacred Jewel in check...\I have not fallen so low as to be controlled by a mere fragment.\Kikyo!\Kikyo has been suffering... all alone.\Kikyo...I will never allow you to be alone again!\Rest assured... I will protect you!\What's that? response:	Does it mean there is another I must protect?
context: I am the priestess who held the Sacred Jewel in check...\I have not fallen so low as to be controlled by a mere fragment.\Kikyo!\Kikyo has been suffering... all alone.\Kikyo...I will never allow you to be alone again!\Rest assured... I will protect you!\What's that?\Does it mean there is another I must protect? response:	Who?
context: I have not fallen so low as to be controlled by a mere fragment.\Kikyo!\Kikyo has been suffering... all alone.\Kikyo...I will never allow you to be alone again!\Rest assured... I will protect you!\What's that?\Does it mean there is another I must protect?\Who? response:	Who is the other one... I must protect?
context: Kikyo!\Kikyo has been suffering... all alone.\Kikyo...I will never allow you to be alone again!\Rest assured... I will protect you!\What's that?\Does it mean there is another I must protect?\Who?\Who is the other one... I must protect? response:	Kagome...
context: Kikyo has been suffering... all alone.\Kikyo...I will never allow you to be alone again!\Rest assured... I will protect you!\What's that?\Does it mean there is another I must protect?\Who?\Who is the other one... I must protect?\Kagome... response:	That's right! What happened to Kagome?
context: Kikyo...I will never allow you to be alone again!\Rest assured... I will protect you!\What's that?\Does it mean there is another I must protect?\Who?\Who is the other one... I must protect?\Kagome...\That's right! What happened to Kagome? response:	Where's Kagome?!
context: Rest assured... I will protect you!\What's that?\Does it mean there is another I must protect?\Who?\Who is the other one... I must protect?\Kagome...\That's right! What happened to Kagome?\Where's Kagome?! response:	Inuyasha!
context: What's that?\Does it mean there is another I must protect?\Who?\Who is the other one... I must protect?\Kagome...\That's right! What happened to Kagome?\Where's Kagome?!\Inuyasha! response:	Is that girl more precious to you?!
context: Does it mean there is another I must protect?\Who?\Who is the other one... I must protect?\Kagome...\That's right! What happened to Kagome?\Where's Kagome?!\Inuyasha!\Is that girl more precious to you?! response:	This was all an illusion!
context: Who?\Who is the other one... I must protect?\Kagome...\That's right! What happened to Kagome?\Where's Kagome?!\Inuyasha!\Is that girl more precious to you?!\This was all an illusion! response:	Miroku!
context: Who is the other one... I must protect?\Kagome...\That's right! What happened to Kagome?\Where's Kagome?!\Inuyasha!\Is that girl more precious to you?!\This was all an illusion!\Miroku! response:	Miroku!
context: Kagome...\That's right! What happened to Kagome?\Where's Kagome?!\Inuyasha!\Is that girl more precious to you?!\This was all an illusion!\Miroku!\Miroku! response:	Miroku! Snap out of it!
context: That's right! What happened to Kagome?\Where's Kagome?!\Inuyasha!\Is that girl more precious to you?!\This was all an illusion!\Miroku!\Miroku!\Miroku! Snap out of it! response:	My arm... The Wind Tunnel...
context: Where's Kagome?!\Inuyasha!\Is that girl more precious to you?!\This was all an illusion!\Miroku!\Miroku!\Miroku! Snap out of it!\My arm... The Wind Tunnel... response:	This guy is actually scared!
context: Inuyasha!\Is that girl more precious to you?!\This was all an illusion!\Miroku!\Miroku!\Miroku! Snap out of it!\My arm... The Wind Tunnel...\This guy is actually scared! response:	Miroku! Wake up!
context: Is that girl more precious to you?!\This was all an illusion!\Miroku!\Miroku!\Miroku! Snap out of it!\My arm... The Wind Tunnel...\This guy is actually scared!\Miroku! Wake up! response:	The Wind Tunnel was sucking up my body...
context: This was all an illusion!\Miroku!\Miroku!\Miroku! Snap out of it!\My arm... The Wind Tunnel...\This guy is actually scared!\Miroku! Wake up!\The Wind Tunnel was sucking up my body... response:	The vines of this tree are the cause.
context: Miroku!\Miroku!\Miroku! Snap out of it!\My arm... The Wind Tunnel...\This guy is actually scared!\Miroku! Wake up!\The Wind Tunnel was sucking up my body...\The vines of this tree are the cause. response:	Miroku, find Sango and Shippo.
context: Miroku!\Miroku! Snap out of it!\My arm... The Wind Tunnel...\This guy is actually scared!\Miroku! Wake up!\The Wind Tunnel was sucking up my body...\The vines of this tree are the cause.\Miroku, find Sango and Shippo. response:	They're probably under the illusionary spell of the vines, too.
context: Miroku! Snap out of it!\My arm... The Wind Tunnel...\This guy is actually scared!\Miroku! Wake up!\The Wind Tunnel was sucking up my body...\The vines of this tree are the cause.\Miroku, find Sango and Shippo.\They're probably under the illusionary spell of the vines, too. response:	I'll find Kagome!
context: My arm... The Wind Tunnel...\This guy is actually scared!\Miroku! Wake up!\The Wind Tunnel was sucking up my body...\The vines of this tree are the cause.\Miroku, find Sango and Shippo.\They're probably under the illusionary spell of the vines, too.\I'll find Kagome! response:	Kagome! Where are you?!
context: This guy is actually scared!\Miroku! Wake up!\The Wind Tunnel was sucking up my body...\The vines of this tree are the cause.\Miroku, find Sango and Shippo.\They're probably under the illusionary spell of the vines, too.\I'll find Kagome!\Kagome! Where are you?! response:	Kagome!
context: Miroku! Wake up!\The Wind Tunnel was sucking up my body...\The vines of this tree are the cause.\Miroku, find Sango and Shippo.\They're probably under the illusionary spell of the vines, too.\I'll find Kagome!\Kagome! Where are you?!\Kagome! response:	Kagome!
context: The Wind Tunnel was sucking up my body...\The vines of this tree are the cause.\Miroku, find Sango and Shippo.\They're probably under the illusionary spell of the vines, too.\I'll find Kagome!\Kagome! Where are you?!\Kagome!\Kagome! response:	Inu... yasha?
context: The vines of this tree are the cause.\Miroku, find Sango and Shippo.\They're probably under the illusionary spell of the vines, too.\I'll find Kagome!\Kagome! Where are you?!\Kagome!\Kagome!\Inu... yasha? response:	Kagome!
context: Miroku, find Sango and Shippo.\They're probably under the illusionary spell of the vines, too.\I'll find Kagome!\Kagome! Where are you?!\Kagome!\Kagome!\Inu... yasha?\Kagome! response:	If you touch these vines, you'll get caught in an illusionary trap.
context: They're probably under the illusionary spell of the vines, too.\I'll find Kagome!\Kagome! Where are you?!\Kagome!\Kagome!\Inu... yasha?\Kagome!\If you touch these vines, you'll get caught in an illusionary trap. response:	You seem to be okay.
context: I'll find Kagome!\Kagome! Where are you?!\Kagome!\Kagome!\Inu... yasha?\Kagome!\If you touch these vines, you'll get caught in an illusionary trap.\You seem to be okay. response:	Uh-huh...
context: Kagome! Where are you?!\Kagome!\Kagome!\Inu... yasha?\Kagome!\If you touch these vines, you'll get caught in an illusionary trap.\You seem to be okay.\Uh-huh... response:	Kikyo...
context: Kagome!\Kagome!\Inu... yasha?\Kagome!\If you touch these vines, you'll get caught in an illusionary trap.\You seem to be okay.\Uh-huh...\Kikyo... response:	That's... Kagome's Sacred Jewel!
context: Kagome!\Inu... yasha?\Kagome!\If you touch these vines, you'll get caught in an illusionary trap.\You seem to be okay.\Uh-huh...\Kikyo...\That's... Kagome's Sacred Jewel! response:	Kagome?
context: Inu... yasha?\Kagome!\If you touch these vines, you'll get caught in an illusionary trap.\You seem to be okay.\Uh-huh...\Kikyo...\That's... Kagome's Sacred Jewel!\Kagome? response:	Kikyo... what did you do to Kagome?!
context: Kagome!\If you touch these vines, you'll get caught in an illusionary trap.\You seem to be okay.\Uh-huh...\Kikyo...\That's... Kagome's Sacred Jewel!\Kagome?\Kikyo... what did you do to Kagome?! response:	What's the matter, Inuyasha?
context: If you touch these vines, you'll get caught in an illusionary trap.\You seem to be okay.\Uh-huh...\Kikyo...\That's... Kagome's Sacred Jewel!\Kagome?\Kikyo... what did you do to Kagome?!\What's the matter, Inuyasha? response:	Aren't you going to rejoice that I am well?
context: You seem to be okay.\Uh-huh...\Kikyo...\That's... Kagome's Sacred Jewel!\Kagome?\Kikyo... what did you do to Kagome?!\What's the matter, Inuyasha?\Aren't you going to rejoice that I am well? response:	Answer me, Kikyo!
context: Uh-huh...\Kikyo...\That's... Kagome's Sacred Jewel!\Kagome?\Kikyo... what did you do to Kagome?!\What's the matter, Inuyasha?\Aren't you going to rejoice that I am well?\Answer me, Kikyo! response:	What did you do to Kagome?
context: Kikyo...\That's... Kagome's Sacred Jewel!\Kagome?\Kikyo... what did you do to Kagome?!\What's the matter, Inuyasha?\Aren't you going to rejoice that I am well?\Answer me, Kikyo!\What did you do to Kagome? response:	If I tell you that I tried to kill her...
context: That's... Kagome's Sacred Jewel!\Kagome?\Kikyo... what did you do to Kagome?!\What's the matter, Inuyasha?\Aren't you going to rejoice that I am well?\Answer me, Kikyo!\What did you do to Kagome?\If I tell you that I tried to kill her... response:	what will you do then?
context: Kagome?\Kikyo... what did you do to Kagome?!\What's the matter, Inuyasha?\Aren't you going to rejoice that I am well?\Answer me, Kikyo!\What did you do to Kagome?\If I tell you that I tried to kill her...\what will you do then? response:	Will you kill me?
context: Kikyo... what did you do to Kagome?!\What's the matter, Inuyasha?\Aren't you going to rejoice that I am well?\Answer me, Kikyo!\What did you do to Kagome?\If I tell you that I tried to kill her...\what will you do then?\Will you kill me? response:	What captured your heart...
context: What's the matter, Inuyasha?\Aren't you going to rejoice that I am well?\Answer me, Kikyo!\What did you do to Kagome?\If I tell you that I tried to kill her...\what will you do then?\Will you kill me?\What captured your heart... response:	when you were under Naraku's illusionary spell?
context: Aren't you going to rejoice that I am well?\Answer me, Kikyo!\What did you do to Kagome?\If I tell you that I tried to kill her...\what will you do then?\Will you kill me?\What captured your heart...\when you were under Naraku's illusionary spell? response:	I...!
context: Answer me, Kikyo!\What did you do to Kagome?\If I tell you that I tried to kill her...\what will you do then?\Will you kill me?\What captured your heart...\when you were under Naraku's illusionary spell?\I...! response:	Rest assured... I will protect you.
context: What did you do to Kagome?\If I tell you that I tried to kill her...\what will you do then?\Will you kill me?\What captured your heart...\when you were under Naraku's illusionary spell?\I...!\Rest assured... I will protect you. response:	I doubt that you can kill me.
context: If I tell you that I tried to kill her...\what will you do then?\Will you kill me?\What captured your heart...\when you were under Naraku's illusionary spell?\I...!\Rest assured... I will protect you.\I doubt that you can kill me. response:	I will be waiting...
context: what will you do then?\Will you kill me?\What captured your heart...\when you were under Naraku's illusionary spell?\I...!\Rest assured... I will protect you.\I doubt that you can kill me.\I will be waiting... response:	for the day we can embrace death together.
context: Will you kill me?\What captured your heart...\when you were under Naraku's illusionary spell?\I...!\Rest assured... I will protect you.\I doubt that you can kill me.\I will be waiting...\for the day we can embrace death together. response:	Kagome...
context: What captured your heart...\when you were under Naraku's illusionary spell?\I...!\Rest assured... I will protect you.\I doubt that you can kill me.\I will be waiting...\for the day we can embrace death together.\Kagome... response:	what happened with Kikyo?
context: when you were under Naraku's illusionary spell?\I...!\Rest assured... I will protect you.\I doubt that you can kill me.\I will be waiting...\for the day we can embrace death together.\Kagome...\what happened with Kikyo? response:	She took my Sacred Jewel fragment...
context: I...!\Rest assured... I will protect you.\I doubt that you can kill me.\I will be waiting...\for the day we can embrace death together.\Kagome...\what happened with Kikyo?\She took my Sacred Jewel fragment... response:	I'm sorry.
context: Rest assured... I will protect you.\I doubt that you can kill me.\I will be waiting...\for the day we can embrace death together.\Kagome...\what happened with Kikyo?\She took my Sacred Jewel fragment...\I'm sorry. response:	I'm not asking that!!
context: I doubt that you can kill me.\I will be waiting...\for the day we can embrace death together.\Kagome...\what happened with Kikyo?\She took my Sacred Jewel fragment...\I'm sorry.\I'm not asking that!! response:	Did Kikyo?!
context: I will be waiting...\for the day we can embrace death together.\Kagome...\what happened with Kikyo?\She took my Sacred Jewel fragment...\I'm sorry.\I'm not asking that!!\Did Kikyo?! response:	Don't ask!
context: for the day we can embrace death together.\Kagome...\what happened with Kikyo?\She took my Sacred Jewel fragment...\I'm sorry.\I'm not asking that!!\Did Kikyo?!\Don't ask! response:	Kagome...
context: Kagome...\what happened with Kikyo?\She took my Sacred Jewel fragment...\I'm sorry.\I'm not asking that!!\Did Kikyo?!\Don't ask!\Kagome... response:	It's not right... It's like I'm snitching on her.
context: what happened with Kikyo?\She took my Sacred Jewel fragment...\I'm sorry.\I'm not asking that!!\Did Kikyo?!\Don't ask!\Kagome...\It's not right... It's like I'm snitching on her. response:	Umm... Are you finished talking?
context: She took my Sacred Jewel fragment...\I'm sorry.\I'm not asking that!!\Did Kikyo?!\Don't ask!\Kagome...\It's not right... It's like I'm snitching on her.\Umm... Are you finished talking? response:	To Kikyo...my life is meaningless.
context: I'm sorry.\I'm not asking that!!\Did Kikyo?!\Don't ask!\Kagome...\It's not right... It's like I'm snitching on her.\Umm... Are you finished talking?\To Kikyo...my life is meaningless. response:	If you touch these vines, you'll get caught in an illusionary trap.
context: I'm not asking that!!\Did Kikyo?!\Don't ask!\Kagome...\It's not right... It's like I'm snitching on her.\Umm... Are you finished talking?\To Kikyo...my life is meaningless.\If you touch these vines, you'll get caught in an illusionary trap. response:	You seem to be okay.
context: Did Kikyo?!\Don't ask!\Kagome...\It's not right... It's like I'm snitching on her.\Umm... Are you finished talking?\To Kikyo...my life is meaningless.\If you touch these vines, you'll get caught in an illusionary trap.\You seem to be okay. response:	Uh-huh...
context: Don't ask!\Kagome...\It's not right... It's like I'm snitching on her.\Umm... Are you finished talking?\To Kikyo...my life is meaningless.\If you touch these vines, you'll get caught in an illusionary trap.\You seem to be okay.\Uh-huh... response:	Illusionary Death...
context: Kagome...\It's not right... It's like I'm snitching on her.\Umm... Are you finished talking?\To Kikyo...my life is meaningless.\If you touch these vines, you'll get caught in an illusionary trap.\You seem to be okay.\Uh-huh...\Illusionary Death... response:	We were all put to the test by the pain and confusion in our hearts.
context: It's not right... It's like I'm snitching on her.\Umm... Are you finished talking?\To Kikyo...my life is meaningless.\If you touch these vines, you'll get caught in an illusionary trap.\You seem to be okay.\Uh-huh...\Illusionary Death...\We were all put to the test by the pain and confusion in our hearts. response:	And I...got a small glimpse into my own heart.
context: Umm... Are you finished talking?\To Kikyo...my life is meaningless.\If you touch these vines, you'll get caught in an illusionary trap.\You seem to be okay.\Uh-huh...\Illusionary Death...\We were all put to the test by the pain and confusion in our hearts.\And I...got a small glimpse into my own heart. response:	Inside my heart...
context: To Kikyo...my life is meaningless.\If you touch these vines, you'll get caught in an illusionary trap.\You seem to be okay.\Uh-huh...\Illusionary Death...\We were all put to the test by the pain and confusion in our hearts.\And I...got a small glimpse into my own heart.\Inside my heart... response:	Inuyasha and Kikyo...were kissing.
context: If you touch these vines, you'll get caught in an illusionary trap.\You seem to be okay.\Uh-huh...\Illusionary Death...\We were all put to the test by the pain and confusion in our hearts.\And I...got a small glimpse into my own heart.\Inside my heart...\Inuyasha and Kikyo...were kissing. response:	You are careless, Naraku.
context: You seem to be okay.\Uh-huh...\Illusionary Death...\We were all put to the test by the pain and confusion in our hearts.\And I...got a small glimpse into my own heart.\Inside my heart...\Inuyasha and Kikyo...were kissing.\You are careless, Naraku. response:	Kikyo...
context: Uh-huh...\Illusionary Death...\We were all put to the test by the pain and confusion in our hearts.\And I...got a small glimpse into my own heart.\Inside my heart...\Inuyasha and Kikyo...were kissing.\You are careless, Naraku.\Kikyo... response:	With your puppet broken, you could see nothing, huh?
context: Illusionary Death...\We were all put to the test by the pain and confusion in our hearts.\And I...got a small glimpse into my own heart.\Inside my heart...\Inuyasha and Kikyo...were kissing.\You are careless, Naraku.\Kikyo...\With your puppet broken, you could see nothing, huh? response:	Remember that...
context: We were all put to the test by the pain and confusion in our hearts.\And I...got a small glimpse into my own heart.\Inside my heart...\Inuyasha and Kikyo...were kissing.\You are careless, Naraku.\Kikyo...\With your puppet broken, you could see nothing, huh?\Remember that... response:	your petty sorcery does not work on me.
context: And I...got a small glimpse into my own heart.\Inside my heart...\Inuyasha and Kikyo...were kissing.\You are careless, Naraku.\Kikyo...\With your puppet broken, you could see nothing, huh?\Remember that...\your petty sorcery does not work on me. response:	And the barrier around this castle...
context: Inside my heart...\Inuyasha and Kikyo...were kissing.\You are careless, Naraku.\Kikyo...\With your puppet broken, you could see nothing, huh?\Remember that...\your petty sorcery does not work on me.\And the barrier around this castle... response:	preventing Inuyasha and the others from approaching...
context: Inuyasha and Kikyo...were kissing.\You are careless, Naraku.\Kikyo...\With your puppet broken, you could see nothing, huh?\Remember that...\your petty sorcery does not work on me.\And the barrier around this castle...\preventing Inuyasha and the others from approaching... response:	was very easy to break.
context: You are careless, Naraku.\Kikyo...\With your puppet broken, you could see nothing, huh?\Remember that...\your petty sorcery does not work on me.\And the barrier around this castle...\preventing Inuyasha and the others from approaching...\was very easy to break. response:	You coveted this, didn't you?
context: Kikyo...\With your puppet broken, you could see nothing, huh?\Remember that...\your petty sorcery does not work on me.\And the barrier around this castle...\preventing Inuyasha and the others from approaching...\was very easy to break.\You coveted this, didn't you? response:	I will leave it in your possession.
context: With your puppet broken, you could see nothing, huh?\Remember that...\your petty sorcery does not work on me.\And the barrier around this castle...\preventing Inuyasha and the others from approaching...\was very easy to break.\You coveted this, didn't you?\I will leave it in your possession. response:	After all, no one needs the power of the Sacred Jewel more than you...
context: Remember that...\your petty sorcery does not work on me.\And the barrier around this castle...\preventing Inuyasha and the others from approaching...\was very easy to break.\You coveted this, didn't you?\I will leave it in your possession.\After all, no one needs the power of the Sacred Jewel more than you... response:	Demon Naraku...
context: your petty sorcery does not work on me.\And the barrier around this castle...\preventing Inuyasha and the others from approaching...\was very easy to break.\You coveted this, didn't you?\I will leave it in your possession.\After all, no one needs the power of the Sacred Jewel more than you...\Demon Naraku... response:	rather...
context: And the barrier around this castle...\preventing Inuyasha and the others from approaching...\was very easy to break.\You coveted this, didn't you?\I will leave it in your possession.\After all, no one needs the power of the Sacred Jewel more than you...\Demon Naraku...\rather... response:	half-demon Naraku.
context: preventing Inuyasha and the others from approaching...\was very easy to break.\You coveted this, didn't you?\I will leave it in your possession.\After all, no one needs the power of the Sacred Jewel more than you...\Demon Naraku...\rather...\half-demon Naraku. response:	I, Naraku, a half-demon?
context: was very easy to break.\You coveted this, didn't you?\I will leave it in your possession.\After all, no one needs the power of the Sacred Jewel more than you...\Demon Naraku...\rather...\half-demon Naraku.\I, Naraku, a half-demon? response:	You may have disguised yourself well...
context: You coveted this, didn't you?\I will leave it in your possession.\After all, no one needs the power of the Sacred Jewel more than you...\Demon Naraku...\rather...\half-demon Naraku.\I, Naraku, a half-demon?\You may have disguised yourself well... response:	but the blood of the thief, Onigumo, that courses through your veins...
context: I will leave it in your possession.\After all, no one needs the power of the Sacred Jewel more than you...\Demon Naraku...\rather...\half-demon Naraku.\I, Naraku, a half-demon?\You may have disguised yourself well...\but the blood of the thief, Onigumo, that courses through your veins... response:	cannot be erased.
context: After all, no one needs the power of the Sacred Jewel more than you...\Demon Naraku...\rather...\half-demon Naraku.\I, Naraku, a half-demon?\You may have disguised yourself well...\but the blood of the thief, Onigumo, that courses through your veins...\cannot be erased. response:	You desire the Sacred Jewel...
context: Demon Naraku...\rather...\half-demon Naraku.\I, Naraku, a half-demon?\You may have disguised yourself well...\but the blood of the thief, Onigumo, that courses through your veins...\cannot be erased.\You desire the Sacred Jewel... response:	in order to become a full-fledged demon.
context: rather...\half-demon Naraku.\I, Naraku, a half-demon?\You may have disguised yourself well...\but the blood of the thief, Onigumo, that courses through your veins...\cannot be erased.\You desire the Sacred Jewel...\in order to become a full-fledged demon. response:	Then why hand me these fragments of the Sacred Jewel?
context: half-demon Naraku.\I, Naraku, a half-demon?\You may have disguised yourself well...\but the blood of the thief, Onigumo, that courses through your veins...\cannot be erased.\You desire the Sacred Jewel...\in order to become a full-fledged demon.\Then why hand me these fragments of the Sacred Jewel? response:	Am I not the one you seek...
context: I, Naraku, a half-demon?\You may have disguised yourself well...\but the blood of the thief, Onigumo, that courses through your veins...\cannot be erased.\You desire the Sacred Jewel...\in order to become a full-fledged demon.\Then why hand me these fragments of the Sacred Jewel?\Am I not the one you seek... response:	to avenge your death fifty years ago?
context: You may have disguised yourself well...\but the blood of the thief, Onigumo, that courses through your veins...\cannot be erased.\You desire the Sacred Jewel...\in order to become a full-fledged demon.\Then why hand me these fragments of the Sacred Jewel?\Am I not the one you seek...\to avenge your death fifty years ago? response:	Humph... My physical self died on that day.
context: but the blood of the thief, Onigumo, that courses through your veins...\cannot be erased.\You desire the Sacred Jewel...\in order to become a full-fledged demon.\Then why hand me these fragments of the Sacred Jewel?\Am I not the one you seek...\to avenge your death fifty years ago?\Humph... My physical self died on that day. response:	But with this borrowed body, I feel more comfortable.
context: cannot be erased.\You desire the Sacred Jewel...\in order to become a full-fledged demon.\Then why hand me these fragments of the Sacred Jewel?\Am I not the one you seek...\to avenge your death fifty years ago?\Humph... My physical self died on that day.\But with this borrowed body, I feel more comfortable. response:	I do not expect you to understand.
context: You desire the Sacred Jewel...\in order to become a full-fledged demon.\Then why hand me these fragments of the Sacred Jewel?\Am I not the one you seek...\to avenge your death fifty years ago?\Humph... My physical self died on that day.\But with this borrowed body, I feel more comfortable.\I do not expect you to understand. response:	I will return to my shrine.
context: in order to become a full-fledged demon.\Then why hand me these fragments of the Sacred Jewel?\Am I not the one you seek...\to avenge your death fifty years ago?\Humph... My physical self died on that day.\But with this borrowed body, I feel more comfortable.\I do not expect you to understand.\I will return to my shrine. response:	I will neither run nor hide.
context: Then why hand me these fragments of the Sacred Jewel?\Am I not the one you seek...\to avenge your death fifty years ago?\Humph... My physical self died on that day.\But with this borrowed body, I feel more comfortable.\I do not expect you to understand.\I will return to my shrine.\I will neither run nor hide. response:	If you have business with me, send a messenger.
context: Am I not the one you seek...\to avenge your death fifty years ago?\Humph... My physical self died on that day.\But with this borrowed body, I feel more comfortable.\I do not expect you to understand.\I will return to my shrine.\I will neither run nor hide.\If you have business with me, send a messenger. response:	It's appeared again.
context: to avenge your death fifty years ago?\Humph... My physical self died on that day.\But with this borrowed body, I feel more comfortable.\I do not expect you to understand.\I will return to my shrine.\I will neither run nor hide.\If you have business with me, send a messenger.\It's appeared again. response:	No matter how often I change my body...
context: Humph... My physical self died on that day.\But with this borrowed body, I feel more comfortable.\I do not expect you to understand.\I will return to my shrine.\I will neither run nor hide.\If you have business with me, send a messenger.\It's appeared again.\No matter how often I change my body... response:	the burn scars of the thief Onigumo...
context: But with this borrowed body, I feel more comfortable.\I do not expect you to understand.\I will return to my shrine.\I will neither run nor hide.\If you have business with me, send a messenger.\It's appeared again.\No matter how often I change my body...\the burn scars of the thief Onigumo... response:	will not disappear from my back.
context: I do not expect you to understand.\I will return to my shrine.\I will neither run nor hide.\If you have business with me, send a messenger.\It's appeared again.\No matter how often I change my body...\the burn scars of the thief Onigumo...\will not disappear from my back. response:	Naraku... Go and gather the fragments of the Sacred Jewel.
context: I will return to my shrine.\I will neither run nor hide.\If you have business with me, send a messenger.\It's appeared again.\No matter how often I change my body...\the burn scars of the thief Onigumo...\will not disappear from my back.\Naraku... Go and gather the fragments of the Sacred Jewel. response:	When you have the complete Sacred Jewel...
context: I will neither run nor hide.\If you have business with me, send a messenger.\It's appeared again.\No matter how often I change my body...\the burn scars of the thief Onigumo...\will not disappear from my back.\Naraku... Go and gather the fragments of the Sacred Jewel.\When you have the complete Sacred Jewel... response:	I will send you to Hell.
context: If you have business with me, send a messenger.\It's appeared again.\No matter how often I change my body...\the burn scars of the thief Onigumo...\will not disappear from my back.\Naraku... Go and gather the fragments of the Sacred Jewel.\When you have the complete Sacred Jewel...\I will send you to Hell. response:	I am free to hate.
