context: Timing and Subtitles brought to you by The Little Lover Team@Viki. response:	Moon Bunny Michaela!
context: What is it?\Well, what happened to Horikiri-san?\I got a call from Chiyomi's mom last night. I am so worried.\Right, you are good friends of Horikiri-san.\She doesn't really have a cold, does she?\There's no need for you to worry.\But, I know you can't help it.\The school talked with her parents and decided not to make a big deal out of this. response:	Ohno sensei. Ohno sensei!
context: Well, what happened to Horikiri-san?\I got a call from Chiyomi's mom last night. I am so worried.\Right, you are good friends of Horikiri-san.\She doesn't really have a cold, does she?\There's no need for you to worry.\But, I know you can't help it.\The school talked with her parents and decided not to make a big deal out of this.\Ohno sensei. Ohno sensei! response:	Sasaki sensei.
context: I got a call from Chiyomi's mom last night. I am so worried.\Right, you are good friends of Horikiri-san.\She doesn't really have a cold, does she?\There's no need for you to worry.\But, I know you can't help it.\The school talked with her parents and decided not to make a big deal out of this.\Ohno sensei. Ohno sensei!\Sasaki sensei. response:	I heard about it. Horikiri in your class
context: Right, you are good friends of Horikiri-san.\She doesn't really have a cold, does she?\There's no need for you to worry.\But, I know you can't help it.\The school talked with her parents and decided not to make a big deal out of this.\Ohno sensei. Ohno sensei!\Sasaki sensei.\I heard about it. Horikiri in your class response:	has disappeared, right?
context: She doesn't really have a cold, does she?\There's no need for you to worry.\But, I know you can't help it.\The school talked with her parents and decided not to make a big deal out of this.\Ohno sensei. Ohno sensei!\Sasaki sensei.\I heard about it. Horikiri in your class\has disappeared, right? response:	Disappeared? Horikiri?
context: There's no need for you to worry.\But, I know you can't help it.\The school talked with her parents and decided not to make a big deal out of this.\Ohno sensei. Ohno sensei!\Sasaki sensei.\I heard about it. Horikiri in your class\has disappeared, right?\Disappeared? Horikiri? response:	Timing and Subtitles brought to you by The Little Lover Team @Viki
context: But, I know you can't help it.\The school talked with her parents and decided not to make a big deal out of this.\Ohno sensei. Ohno sensei!\Sasaki sensei.\I heard about it. Horikiri in your class\has disappeared, right?\Disappeared? Horikiri?\Timing and Subtitles brought to you by The Little Lover Team @Viki response:	So, this is Minami-kun's room, huh.
context: The school talked with her parents and decided not to make a big deal out of this.\Ohno sensei. Ohno sensei!\Sasaki sensei.\I heard about it. Horikiri in your class\has disappeared, right?\Disappeared? Horikiri?\Timing and Subtitles brought to you by The Little Lover Team @Viki\So, this is Minami-kun's room, huh. response:	He is so perfect at school, but
context: Ohno sensei. Ohno sensei!\Sasaki sensei.\I heard about it. Horikiri in your class\has disappeared, right?\Disappeared? Horikiri?\Timing and Subtitles brought to you by The Little Lover Team @Viki\So, this is Minami-kun's room, huh.\He is so perfect at school, but response:	he can't organize his room.
context: Sasaki sensei.\I heard about it. Horikiri in your class\has disappeared, right?\Disappeared? Horikiri?\Timing and Subtitles brought to you by The Little Lover Team @Viki\So, this is Minami-kun's room, huh.\He is so perfect at school, but\he can't organize his room. response:	He still plays
context: I heard about it. Horikiri in your class\has disappeared, right?\Disappeared? Horikiri?\Timing and Subtitles brought to you by The Little Lover Team @Viki\So, this is Minami-kun's room, huh.\He is so perfect at school, but\he can't organize his room.\He still plays response:	with Kendama.
context: has disappeared, right?\Disappeared? Horikiri?\Timing and Subtitles brought to you by The Little Lover Team @Viki\So, this is Minami-kun's room, huh.\He is so perfect at school, but\he can't organize his room.\He still plays\with Kendama. response:	He is so funny.
context: Disappeared? Horikiri?\Timing and Subtitles brought to you by The Little Lover Team @Viki\So, this is Minami-kun's room, huh.\He is so perfect at school, but\he can't organize his room.\He still plays\with Kendama.\He is so funny. response:	Maybe not.
context: Timing and Subtitles brought to you by The Little Lover Team @Viki\So, this is Minami-kun's room, huh.\He is so perfect at school, but\he can't organize his room.\He still plays\with Kendama.\He is so funny.\Maybe not. response:	There is no telling how long it has been here.
context: So, this is Minami-kun's room, huh.\He is so perfect at school, but\he can't organize his room.\He still plays\with Kendama.\He is so funny.\Maybe not.\There is no telling how long it has been here. response:	He surely is a good student. His notebook is so organized.
context: He is so perfect at school, but\he can't organize his room.\He still plays\with Kendama.\He is so funny.\Maybe not.\There is no telling how long it has been here.\He surely is a good student. His notebook is so organized. response:	What?
context: he can't organize his room.\He still plays\with Kendama.\He is so funny.\Maybe not.\There is no telling how long it has been here.\He surely is a good student. His notebook is so organized.\What? response:	This is...
context: He still plays\with Kendama.\He is so funny.\Maybe not.\There is no telling how long it has been here.\He surely is a good student. His notebook is so organized.\What?\This is... response:	me?
context: with Kendama.\He is so funny.\Maybe not.\There is no telling how long it has been here.\He surely is a good student. His notebook is so organized.\What?\This is...\me? response:	One, two. One, two.
context: He is so funny.\Maybe not.\There is no telling how long it has been here.\He surely is a good student. His notebook is so organized.\What?\This is...\me?\One, two. One, two. response:	My goodness. This sure is a boy's room.
context: Maybe not.\There is no telling how long it has been here.\He surely is a good student. His notebook is so organized.\What?\This is...\me?\One, two. One, two.\My goodness. This sure is a boy's room. response:	So, his grandma cleans his room.
context: There is no telling how long it has been here.\He surely is a good student. His notebook is so organized.\What?\This is...\me?\One, two. One, two.\My goodness. This sure is a boy's room.\So, his grandma cleans his room. response:	He shouldn't have left this out here.
context: He surely is a good student. His notebook is so organized.\What?\This is...\me?\One, two. One, two.\My goodness. This sure is a boy's room.\So, his grandma cleans his room.\He shouldn't have left this out here. response:	Alright!
context: What?\This is...\me?\One, two. One, two.\My goodness. This sure is a boy's room.\So, his grandma cleans his room.\He shouldn't have left this out here.\Alright! response:	Really...
context: This is...\me?\One, two. One, two.\My goodness. This sure is a boy's room.\So, his grandma cleans his room.\He shouldn't have left this out here.\Alright!\Really... response:	He left a window open.
context: me?\One, two. One, two.\My goodness. This sure is a boy's room.\So, his grandma cleans his room.\He shouldn't have left this out here.\Alright!\Really...\He left a window open. response:	Okay.
context: One, two. One, two.\My goodness. This sure is a boy's room.\So, his grandma cleans his room.\He shouldn't have left this out here.\Alright!\Really...\He left a window open.\Okay. response:	Okay, it's done.
context: My goodness. This sure is a boy's room.\So, his grandma cleans his room.\He shouldn't have left this out here.\Alright!\Really...\He left a window open.\Okay.\Okay, it's done. response:	It's cold!
context: So, his grandma cleans his room.\He shouldn't have left this out here.\Alright!\Really...\He left a window open.\Okay.\Okay, it's done.\It's cold! response:	Oh, it's cold! It's so cold!
context: He shouldn't have left this out here.\Alright!\Really...\He left a window open.\Okay.\Okay, it's done.\It's cold!\Oh, it's cold! It's so cold! response:	I wonder what Chiyomi is doing now.
context: Alright!\Really...\He left a window open.\Okay.\Okay, it's done.\It's cold!\Oh, it's cold! It's so cold!\I wonder what Chiyomi is doing now. response:	I wonder if she's eating properly.
context: Really...\He left a window open.\Okay.\Okay, it's done.\It's cold!\Oh, it's cold! It's so cold!\I wonder what Chiyomi is doing now.\I wonder if she's eating properly. response:	Can I sit here?
context: He left a window open.\Okay.\Okay, it's done.\It's cold!\Oh, it's cold! It's so cold!\I wonder what Chiyomi is doing now.\I wonder if she's eating properly.\Can I sit here? response:	Yeah.
context: Okay.\Okay, it's done.\It's cold!\Oh, it's cold! It's so cold!\I wonder what Chiyomi is doing now.\I wonder if she's eating properly.\Can I sit here?\Yeah. response:	As I thought, those two...
context: Okay, it's done.\It's cold!\Oh, it's cold! It's so cold!\I wonder what Chiyomi is doing now.\I wonder if she's eating properly.\Can I sit here?\Yeah.\As I thought, those two... response:	Nomura-san is aggressive.
context: It's cold!\Oh, it's cold! It's so cold!\I wonder what Chiyomi is doing now.\I wonder if she's eating properly.\Can I sit here?\Yeah.\As I thought, those two...\Nomura-san is aggressive. response:	Hey, Minami! Is Minami here?
context: Oh, it's cold! It's so cold!\I wonder what Chiyomi is doing now.\I wonder if she's eating properly.\Can I sit here?\Yeah.\As I thought, those two...\Nomura-san is aggressive.\Hey, Minami! Is Minami here? response:	Let's eat lunch together.
context: I wonder what Chiyomi is doing now.\I wonder if she's eating properly.\Can I sit here?\Yeah.\As I thought, those two...\Nomura-san is aggressive.\Hey, Minami! Is Minami here?\Let's eat lunch together. response:	Why don't you eat in your classroom?
context: I wonder if she's eating properly.\Can I sit here?\Yeah.\As I thought, those two...\Nomura-san is aggressive.\Hey, Minami! Is Minami here?\Let's eat lunch together.\Why don't you eat in your classroom? response:	What are you saying? I came because I'm concerned about you.
context: Can I sit here?\Yeah.\As I thought, those two...\Nomura-san is aggressive.\Hey, Minami! Is Minami here?\Let's eat lunch together.\Why don't you eat in your classroom?\What are you saying? I came because I'm concerned about you. response:	If I didn't come, you would be eating lunch alone again...
context: Yeah.\As I thought, those two...\Nomura-san is aggressive.\Hey, Minami! Is Minami here?\Let's eat lunch together.\Why don't you eat in your classroom?\What are you saying? I came because I'm concerned about you.\If I didn't come, you would be eating lunch alone again... response:	Hello.
context: As I thought, those two...\Nomura-san is aggressive.\Hey, Minami! Is Minami here?\Let's eat lunch together.\Why don't you eat in your classroom?\What are you saying? I came because I'm concerned about you.\If I didn't come, you would be eating lunch alone again...\Hello. response:	Waaah! Pheromone!
context: Nomura-san is aggressive.\Hey, Minami! Is Minami here?\Let's eat lunch together.\Why don't you eat in your classroom?\What are you saying? I came because I'm concerned about you.\If I didn't come, you would be eating lunch alone again...\Hello.\Waaah! Pheromone! response:	What is it? You're noisy.
context: Hey, Minami! Is Minami here?\Let's eat lunch together.\Why don't you eat in your classroom?\What are you saying? I came because I'm concerned about you.\If I didn't come, you would be eating lunch alone again...\Hello.\Waaah! Pheromone!\What is it? You're noisy. response:	When did you start dating Nomura-san. You didn't even tell me.
context: Let's eat lunch together.\Why don't you eat in your classroom?\What are you saying? I came because I'm concerned about you.\If I didn't come, you would be eating lunch alone again...\Hello.\Waaah! Pheromone!\What is it? You're noisy.\When did you start dating Nomura-san. You didn't even tell me. response:	We just work as class reps together.
context: Why don't you eat in your classroom?\What are you saying? I came because I'm concerned about you.\If I didn't come, you would be eating lunch alone again...\Hello.\Waaah! Pheromone!\What is it? You're noisy.\When did you start dating Nomura-san. You didn't even tell me.\We just work as class reps together. response:	Class reps.
context: What are you saying? I came because I'm concerned about you.\If I didn't come, you would be eating lunch alone again...\Hello.\Waaah! Pheromone!\What is it? You're noisy.\When did you start dating Nomura-san. You didn't even tell me.\We just work as class reps together.\Class reps. response:	Ah, I see.
context: If I didn't come, you would be eating lunch alone again...\Hello.\Waaah! Pheromone!\What is it? You're noisy.\When did you start dating Nomura-san. You didn't even tell me.\We just work as class reps together.\Class reps.\Ah, I see. response:	Well,
context: Hello.\Waaah! Pheromone!\What is it? You're noisy.\When did you start dating Nomura-san. You didn't even tell me.\We just work as class reps together.\Class reps.\Ah, I see.\Well, response:	you came here to tell me to go back to Kendo Club, right?
context: Waaah! Pheromone!\What is it? You're noisy.\When did you start dating Nomura-san. You didn't even tell me.\We just work as class reps together.\Class reps.\Ah, I see.\Well,\you came here to tell me to go back to Kendo Club, right? response:	It's not that.
context: What is it? You're noisy.\When did you start dating Nomura-san. You didn't even tell me.\We just work as class reps together.\Class reps.\Ah, I see.\Well,\you came here to tell me to go back to Kendo Club, right?\It's not that. response:	I'm not going back. It was my plan to quit the club at the end of winter in 11th grade.
context: When did you start dating Nomura-san. You didn't even tell me.\We just work as class reps together.\Class reps.\Ah, I see.\Well,\you came here to tell me to go back to Kendo Club, right?\It's not that.\I'm not going back. It was my plan to quit the club at the end of winter in 11th grade. response:	Huh? You are so heartless.
context: We just work as class reps together.\Class reps.\Ah, I see.\Well,\you came here to tell me to go back to Kendo Club, right?\It's not that.\I'm not going back. It was my plan to quit the club at the end of winter in 11th grade.\Huh? You are so heartless. response:	Oh, by the way, I heard from Sasaki...
context: Class reps.\Ah, I see.\Well,\you came here to tell me to go back to Kendo Club, right?\It's not that.\I'm not going back. It was my plan to quit the club at the end of winter in 11th grade.\Huh? You are so heartless.\Oh, by the way, I heard from Sasaki... response:	Sasaki?
context: Ah, I see.\Well,\you came here to tell me to go back to Kendo Club, right?\It's not that.\I'm not going back. It was my plan to quit the club at the end of winter in 11th grade.\Huh? You are so heartless.\Oh, by the way, I heard from Sasaki...\Sasaki? response:	You forgot already? He is the supervisor for Kendo Club.
context: Well,\you came here to tell me to go back to Kendo Club, right?\It's not that.\I'm not going back. It was my plan to quit the club at the end of winter in 11th grade.\Huh? You are so heartless.\Oh, by the way, I heard from Sasaki...\Sasaki?\You forgot already? He is the supervisor for Kendo Club. response:	Ah. That big guy with a big mouth.
context: you came here to tell me to go back to Kendo Club, right?\It's not that.\I'm not going back. It was my plan to quit the club at the end of winter in 11th grade.\Huh? You are so heartless.\Oh, by the way, I heard from Sasaki...\Sasaki?\You forgot already? He is the supervisor for Kendo Club.\Ah. That big guy with a big mouth. response:	And, he told me that your neighbor has disappeared.
context: It's not that.\I'm not going back. It was my plan to quit the club at the end of winter in 11th grade.\Huh? You are so heartless.\Oh, by the way, I heard from Sasaki...\Sasaki?\You forgot already? He is the supervisor for Kendo Club.\Ah. That big guy with a big mouth.\And, he told me that your neighbor has disappeared. response:	It seems you didin't like her, but I have thought she was pretty nice.
context: I'm not going back. It was my plan to quit the club at the end of winter in 11th grade.\Huh? You are so heartless.\Oh, by the way, I heard from Sasaki...\Sasaki?\You forgot already? He is the supervisor for Kendo Club.\Ah. That big guy with a big mouth.\And, he told me that your neighbor has disappeared.\It seems you didin't like her, but I have thought she was pretty nice. response:	Ah, of course you are also pretty, Nomura-san.
context: Huh? You are so heartless.\Oh, by the way, I heard from Sasaki...\Sasaki?\You forgot already? He is the supervisor for Kendo Club.\Ah. That big guy with a big mouth.\And, he told me that your neighbor has disappeared.\It seems you didin't like her, but I have thought she was pretty nice.\Ah, of course you are also pretty, Nomura-san. response:	Thank you very much.
context: Oh, by the way, I heard from Sasaki...\Sasaki?\You forgot already? He is the supervisor for Kendo Club.\Ah. That big guy with a big mouth.\And, he told me that your neighbor has disappeared.\It seems you didin't like her, but I have thought she was pretty nice.\Ah, of course you are also pretty, Nomura-san.\Thank you very much. response:	Huh. I see.
context: Sasaki?\You forgot already? He is the supervisor for Kendo Club.\Ah. That big guy with a big mouth.\And, he told me that your neighbor has disappeared.\It seems you didin't like her, but I have thought she was pretty nice.\Ah, of course you are also pretty, Nomura-san.\Thank you very much.\Huh. I see. response:	She acts pure, but there is no telling what she has been doing behind the scenes.
context: You forgot already? He is the supervisor for Kendo Club.\Ah. That big guy with a big mouth.\And, he told me that your neighbor has disappeared.\It seems you didin't like her, but I have thought she was pretty nice.\Ah, of course you are also pretty, Nomura-san.\Thank you very much.\Huh. I see.\She acts pure, but there is no telling what she has been doing behind the scenes. response:	Pheromone...!!
context: Ah. That big guy with a big mouth.\And, he told me that your neighbor has disappeared.\It seems you didin't like her, but I have thought she was pretty nice.\Ah, of course you are also pretty, Nomura-san.\Thank you very much.\Huh. I see.\She acts pure, but there is no telling what she has been doing behind the scenes.\Pheromone...!! response:	What's the matter, Minami?
context: And, he told me that your neighbor has disappeared.\It seems you didin't like her, but I have thought she was pretty nice.\Ah, of course you are also pretty, Nomura-san.\Thank you very much.\Huh. I see.\She acts pure, but there is no telling what she has been doing behind the scenes.\Pheromone...!!\What's the matter, Minami? response:	All of a sudden,
context: It seems you didin't like her, but I have thought she was pretty nice.\Ah, of course you are also pretty, Nomura-san.\Thank you very much.\Huh. I see.\She acts pure, but there is no telling what she has been doing behind the scenes.\Pheromone...!!\What's the matter, Minami?\All of a sudden, response:	a person becomes small...
context: Ah, of course you are also pretty, Nomura-san.\Thank you very much.\Huh. I see.\She acts pure, but there is no telling what she has been doing behind the scenes.\Pheromone...!!\What's the matter, Minami?\All of a sudden,\a person becomes small... response:	- Do you think that's possible? - What?
context: Thank you very much.\Huh. I see.\She acts pure, but there is no telling what she has been doing behind the scenes.\Pheromone...!!\What's the matter, Minami?\All of a sudden,\a person becomes small...\- Do you think that's possible? - What? response:	What are you talking about?
context: Huh. I see.\She acts pure, but there is no telling what she has been doing behind the scenes.\Pheromone...!!\What's the matter, Minami?\All of a sudden,\a person becomes small...\- Do you think that's possible? - What?\What are you talking about? response:	Ah, no...
context: She acts pure, but there is no telling what she has been doing behind the scenes.\Pheromone...!!\What's the matter, Minami?\All of a sudden,\a person becomes small...\- Do you think that's possible? - What?\What are you talking about?\Ah, no... response:	What? Minami-kun?
context: Pheromone...!!\What's the matter, Minami?\All of a sudden,\a person becomes small...\- Do you think that's possible? - What?\What are you talking about?\Ah, no...\What? Minami-kun? response:	Sorry, Nomura. Tell sensei that I am going home early.
context: What's the matter, Minami?\All of a sudden,\a person becomes small...\- Do you think that's possible? - What?\What are you talking about?\Ah, no...\What? Minami-kun?\Sorry, Nomura. Tell sensei that I am going home early. response:	Going home early? You don't feel well?
context: All of a sudden,\a person becomes small...\- Do you think that's possible? - What?\What are you talking about?\Ah, no...\What? Minami-kun?\Sorry, Nomura. Tell sensei that I am going home early.\Going home early? You don't feel well? response:	Right... I don't feel well.
context: a person becomes small...\- Do you think that's possible? - What?\What are you talking about?\Ah, no...\What? Minami-kun?\Sorry, Nomura. Tell sensei that I am going home early.\Going home early? You don't feel well?\Right... I don't feel well. response:	Oh, hey.
context: - Do you think that's possible? - What?\What are you talking about?\Ah, no...\What? Minami-kun?\Sorry, Nomura. Tell sensei that I am going home early.\Going home early? You don't feel well?\Right... I don't feel well.\Oh, hey. response:	I'm home.
context: What are you talking about?\Ah, no...\What? Minami-kun?\Sorry, Nomura. Tell sensei that I am going home early.\Going home early? You don't feel well?\Right... I don't feel well.\Oh, hey.\I'm home. response:	Why...
context: Ah, no...\What? Minami-kun?\Sorry, Nomura. Tell sensei that I am going home early.\Going home early? You don't feel well?\Right... I don't feel well.\Oh, hey.\I'm home.\Why... response:	is he in such a hurry?
context: What? Minami-kun?\Sorry, Nomura. Tell sensei that I am going home early.\Going home early? You don't feel well?\Right... I don't feel well.\Oh, hey.\I'm home.\Why...\is he in such a hurry? response:	Chiyomi!
context: Sorry, Nomura. Tell sensei that I am going home early.\Going home early? You don't feel well?\Right... I don't feel well.\Oh, hey.\I'm home.\Why...\is he in such a hurry?\Chiyomi! response:	Chiyomi?
context: Going home early? You don't feel well?\Right... I don't feel well.\Oh, hey.\I'm home.\Why...\is he in such a hurry?\Chiyomi!\Chiyomi? response:	Grandma, did you clean my room?
context: Right... I don't feel well.\Oh, hey.\I'm home.\Why...\is he in such a hurry?\Chiyomi!\Chiyomi?\Grandma, did you clean my room? response:	I did.
context: Oh, hey.\I'm home.\Why...\is he in such a hurry?\Chiyomi!\Chiyomi?\Grandma, did you clean my room?\I did. response:	Minami-kun! Minami-kun!
context: I'm home.\Why...\is he in such a hurry?\Chiyomi!\Chiyomi?\Grandma, did you clean my room?\I did.\Minami-kun! Minami-kun! response:	Minami-kun! Here!
context: Why...\is he in such a hurry?\Chiyomi!\Chiyomi?\Grandma, did you clean my room?\I did.\Minami-kun! Minami-kun!\Minami-kun! Here! response:	I'm right here!
context: is he in such a hurry?\Chiyomi!\Chiyomi?\Grandma, did you clean my room?\I did.\Minami-kun! Minami-kun!\Minami-kun! Here!\I'm right here! response:	I'm saved!
context: Chiyomi!\Chiyomi?\Grandma, did you clean my room?\I did.\Minami-kun! Minami-kun!\Minami-kun! Here!\I'm right here!\I'm saved! response:	Thanks!
context: Chiyomi?\Grandma, did you clean my room?\I did.\Minami-kun! Minami-kun!\Minami-kun! Here!\I'm right here!\I'm saved!\Thanks! response:	What's going on?
context: Grandma, did you clean my room?\I did.\Minami-kun! Minami-kun!\Minami-kun! Here!\I'm right here!\I'm saved!\Thanks!\What's going on? response:	No, it's nothing.
context: I did.\Minami-kun! Minami-kun!\Minami-kun! Here!\I'm right here!\I'm saved!\Thanks!\What's going on?\No, it's nothing. response:	Okay.
context: Minami-kun! Minami-kun!\Minami-kun! Here!\I'm right here!\I'm saved!\Thanks!\What's going on?\No, it's nothing.\Okay. response:	I was feeling helpless.
context: Minami-kun! Here!\I'm right here!\I'm saved!\Thanks!\What's going on?\No, it's nothing.\Okay.\I was feeling helpless. response:	Thank you very much for coming back.
context: I'm right here!\I'm saved!\Thanks!\What's going on?\No, it's nothing.\Okay.\I was feeling helpless.\Thank you very much for coming back. response:	You know, people are making a big deal out of your disappearance at school.
context: I'm saved!\Thanks!\What's going on?\No, it's nothing.\Okay.\I was feeling helpless.\Thank you very much for coming back.\You know, people are making a big deal out of your disappearance at school. response:	What? Really?
context: Thanks!\What's going on?\No, it's nothing.\Okay.\I was feeling helpless.\Thank you very much for coming back.\You know, people are making a big deal out of your disappearance at school.\What? Really? response:	Oh, right. Minami-kun, people in this town are forming a search party.
context: What's going on?\No, it's nothing.\Okay.\I was feeling helpless.\Thank you very much for coming back.\You know, people are making a big deal out of your disappearance at school.\What? Really?\Oh, right. Minami-kun, people in this town are forming a search party. response:	Search party?
context: No, it's nothing.\Okay.\I was feeling helpless.\Thank you very much for coming back.\You know, people are making a big deal out of your disappearance at school.\What? Really?\Oh, right. Minami-kun, people in this town are forming a search party.\Search party? response:	I left my clothes and shoes over there, right?
context: Okay.\I was feeling helpless.\Thank you very much for coming back.\You know, people are making a big deal out of your disappearance at school.\What? Really?\Oh, right. Minami-kun, people in this town are forming a search party.\Search party?\I left my clothes and shoes over there, right? response:	It's going to be a problem if they find them.
context: I was feeling helpless.\Thank you very much for coming back.\You know, people are making a big deal out of your disappearance at school.\What? Really?\Oh, right. Minami-kun, people in this town are forming a search party.\Search party?\I left my clothes and shoes over there, right?\It's going to be a problem if they find them. response:	They might think this is an abduction, rape and murder case.
context: Thank you very much for coming back.\You know, people are making a big deal out of your disappearance at school.\What? Really?\Oh, right. Minami-kun, people in this town are forming a search party.\Search party?\I left my clothes and shoes over there, right?\It's going to be a problem if they find them.\They might think this is an abduction, rape and murder case. response:	Abuduction, rape and murder case? Gosh.
context: You know, people are making a big deal out of your disappearance at school.\What? Really?\Oh, right. Minami-kun, people in this town are forming a search party.\Search party?\I left my clothes and shoes over there, right?\It's going to be a problem if they find them.\They might think this is an abduction, rape and murder case.\Abuduction, rape and murder case? Gosh. response:	Chiyomi-chan!
context: What? Really?\Oh, right. Minami-kun, people in this town are forming a search party.\Search party?\I left my clothes and shoes over there, right?\It's going to be a problem if they find them.\They might think this is an abduction, rape and murder case.\Abuduction, rape and murder case? Gosh.\Chiyomi-chan! response:	Well, I hope we won't find her here.
context: Oh, right. Minami-kun, people in this town are forming a search party.\Search party?\I left my clothes and shoes over there, right?\It's going to be a problem if they find them.\They might think this is an abduction, rape and murder case.\Abuduction, rape and murder case? Gosh.\Chiyomi-chan!\Well, I hope we won't find her here. response:	If she just ran away from home, she wouldn't come to this kind of place.
context: Search party?\I left my clothes and shoes over there, right?\It's going to be a problem if they find them.\They might think this is an abduction, rape and murder case.\Abuduction, rape and murder case? Gosh.\Chiyomi-chan!\Well, I hope we won't find her here.\If she just ran away from home, she wouldn't come to this kind of place. response:	Chiyomi-chan!
context: I left my clothes and shoes over there, right?\It's going to be a problem if they find them.\They might think this is an abduction, rape and murder case.\Abuduction, rape and murder case? Gosh.\Chiyomi-chan!\Well, I hope we won't find her here.\If she just ran away from home, she wouldn't come to this kind of place.\Chiyomi-chan! response:	- Chiyomi-chan! - Chiyomi-chan!
context: It's going to be a problem if they find them.\They might think this is an abduction, rape and murder case.\Abuduction, rape and murder case? Gosh.\Chiyomi-chan!\Well, I hope we won't find her here.\If she just ran away from home, she wouldn't come to this kind of place.\Chiyomi-chan!\- Chiyomi-chan! - Chiyomi-chan! response:	Chiyomi-chan.
context: They might think this is an abduction, rape and murder case.\Abuduction, rape and murder case? Gosh.\Chiyomi-chan!\Well, I hope we won't find her here.\If she just ran away from home, she wouldn't come to this kind of place.\Chiyomi-chan!\- Chiyomi-chan! - Chiyomi-chan!\Chiyomi-chan. response:	What am I doing here?
context: Abuduction, rape and murder case? Gosh.\Chiyomi-chan!\Well, I hope we won't find her here.\If she just ran away from home, she wouldn't come to this kind of place.\Chiyomi-chan!\- Chiyomi-chan! - Chiyomi-chan!\Chiyomi-chan.\What am I doing here? response:	Oh.
context: Chiyomi-chan!\Well, I hope we won't find her here.\If she just ran away from home, she wouldn't come to this kind of place.\Chiyomi-chan!\- Chiyomi-chan! - Chiyomi-chan!\Chiyomi-chan.\What am I doing here?\Oh. response:	How dare she made me do this kind of thing.
context: Well, I hope we won't find her here.\If she just ran away from home, she wouldn't come to this kind of place.\Chiyomi-chan!\- Chiyomi-chan! - Chiyomi-chan!\Chiyomi-chan.\What am I doing here?\Oh.\How dare she made me do this kind of thing. response:	Oh? Minami-kun, what are you doing at this hour? What about school?
context: If she just ran away from home, she wouldn't come to this kind of place.\Chiyomi-chan!\- Chiyomi-chan! - Chiyomi-chan!\Chiyomi-chan.\What am I doing here?\Oh.\How dare she made me do this kind of thing.\Oh? Minami-kun, what are you doing at this hour? What about school? response:	Ah, ah...
context: Chiyomi-chan!\- Chiyomi-chan! - Chiyomi-chan!\Chiyomi-chan.\What am I doing here?\Oh.\How dare she made me do this kind of thing.\Oh? Minami-kun, what are you doing at this hour? What about school?\Ah, ah... response:	I have an upset stomach.
context: - Chiyomi-chan! - Chiyomi-chan!\Chiyomi-chan.\What am I doing here?\Oh.\How dare she made me do this kind of thing.\Oh? Minami-kun, what are you doing at this hour? What about school?\Ah, ah...\I have an upset stomach. response:	Ah, I see.
context: Chiyomi-chan.\What am I doing here?\Oh.\How dare she made me do this kind of thing.\Oh? Minami-kun, what are you doing at this hour? What about school?\Ah, ah...\I have an upset stomach.\Ah, I see. response:	Chiyomi-chan hasn't come home yet. Did anything unusual happen at school?
context: What am I doing here?\Oh.\How dare she made me do this kind of thing.\Oh? Minami-kun, what are you doing at this hour? What about school?\Ah, ah...\I have an upset stomach.\Ah, I see.\Chiyomi-chan hasn't come home yet. Did anything unusual happen at school? response:	No...
context: Oh.\How dare she made me do this kind of thing.\Oh? Minami-kun, what are you doing at this hour? What about school?\Ah, ah...\I have an upset stomach.\Ah, I see.\Chiyomi-chan hasn't come home yet. Did anything unusual happen at school?\No... response:	Not really.
context: How dare she made me do this kind of thing.\Oh? Minami-kun, what are you doing at this hour? What about school?\Ah, ah...\I have an upset stomach.\Ah, I see.\Chiyomi-chan hasn't come home yet. Did anything unusual happen at school?\No...\Not really. response:	What's that? Did you go shopping?
context: Oh? Minami-kun, what are you doing at this hour? What about school?\Ah, ah...\I have an upset stomach.\Ah, I see.\Chiyomi-chan hasn't come home yet. Did anything unusual happen at school?\No...\Not really.\What's that? Did you go shopping? response:	I got some medicine for my stomach
context: Ah, ah...\I have an upset stomach.\Ah, I see.\Chiyomi-chan hasn't come home yet. Did anything unusual happen at school?\No...\Not really.\What's that? Did you go shopping?\I got some medicine for my stomach response:	to stockpile it.
context: I have an upset stomach.\Ah, I see.\Chiyomi-chan hasn't come home yet. Did anything unusual happen at school?\No...\Not really.\What's that? Did you go shopping?\I got some medicine for my stomach\to stockpile it. response:	Ah, it hurts... Sorry, excuse me.
context: Ah, I see.\Chiyomi-chan hasn't come home yet. Did anything unusual happen at school?\No...\Not really.\What's that? Did you go shopping?\I got some medicine for my stomach\to stockpile it.\Ah, it hurts... Sorry, excuse me. response:	Hm...
context: Chiyomi-chan hasn't come home yet. Did anything unusual happen at school?\No...\Not really.\What's that? Did you go shopping?\I got some medicine for my stomach\to stockpile it.\Ah, it hurts... Sorry, excuse me.\Hm... response:	He was definitely suspicious of me.
context: No...\Not really.\What's that? Did you go shopping?\I got some medicine for my stomach\to stockpile it.\Ah, it hurts... Sorry, excuse me.\Hm...\He was definitely suspicious of me. response:	You are okay. That officer can be a bit dumb.
context: Not really.\What's that? Did you go shopping?\I got some medicine for my stomach\to stockpile it.\Ah, it hurts... Sorry, excuse me.\Hm...\He was definitely suspicious of me.\You are okay. That officer can be a bit dumb. response:	Why don't you go home?
