context: And, the one-inch-boy, wearing a needle sword response:	that his grandfather made,
context: Hey, look.\Wow, she is so cute!\Far out!\We are in the same class as Pheromone. We are super lucky.\Yeah, I wanna date her. I feel like melting.\I am different.\Minami-kun.\Minami-kun. response:	Okay, the male class rep will be Minami-kun.
context: Wow, she is so cute!\Far out!\We are in the same class as Pheromone. We are super lucky.\Yeah, I wanna date her. I feel like melting.\I am different.\Minami-kun.\Minami-kun.\Okay, the male class rep will be Minami-kun. response:	Minami-kun. Thank you very much.
context: Far out!\We are in the same class as Pheromone. We are super lucky.\Yeah, I wanna date her. I feel like melting.\I am different.\Minami-kun.\Minami-kun.\Okay, the male class rep will be Minami-kun.\Minami-kun. Thank you very much. response:	Wow, if Minami-kun becomes one, maybe I should run for one.
context: We are in the same class as Pheromone. We are super lucky.\Yeah, I wanna date her. I feel like melting.\I am different.\Minami-kun.\Minami-kun.\Okay, the male class rep will be Minami-kun.\Minami-kun. Thank you very much.\Wow, if Minami-kun becomes one, maybe I should run for one. response:	No way. I want to be the class rep with Minami-kun, too.
context: Yeah, I wanna date her. I feel like melting.\I am different.\Minami-kun.\Minami-kun.\Okay, the male class rep will be Minami-kun.\Minami-kun. Thank you very much.\Wow, if Minami-kun becomes one, maybe I should run for one.\No way. I want to be the class rep with Minami-kun, too. response:	Your neighbor is really popular, as always.
context: I am different.\Minami-kun.\Minami-kun.\Okay, the male class rep will be Minami-kun.\Minami-kun. Thank you very much.\Wow, if Minami-kun becomes one, maybe I should run for one.\No way. I want to be the class rep with Minami-kun, too.\Your neighbor is really popular, as always. response:	He is so rude, though.
context: Minami-kun.\Minami-kun.\Okay, the male class rep will be Minami-kun.\Minami-kun. Thank you very much.\Wow, if Minami-kun becomes one, maybe I should run for one.\No way. I want to be the class rep with Minami-kun, too.\Your neighbor is really popular, as always.\He is so rude, though. response:	Okay, the female rep next.
context: Minami-kun.\Okay, the male class rep will be Minami-kun.\Minami-kun. Thank you very much.\Wow, if Minami-kun becomes one, maybe I should run for one.\No way. I want to be the class rep with Minami-kun, too.\Your neighbor is really popular, as always.\He is so rude, though.\Okay, the female rep next. response:	Nomura-san.
context: Okay, the male class rep will be Minami-kun.\Minami-kun. Thank you very much.\Wow, if Minami-kun becomes one, maybe I should run for one.\No way. I want to be the class rep with Minami-kun, too.\Your neighbor is really popular, as always.\He is so rude, though.\Okay, the female rep next.\Nomura-san. response:	Horikiri-san.
context: Minami-kun. Thank you very much.\Wow, if Minami-kun becomes one, maybe I should run for one.\No way. I want to be the class rep with Minami-kun, too.\Your neighbor is really popular, as always.\He is so rude, though.\Okay, the female rep next.\Nomura-san.\Horikiri-san. response:	- Nomura-san. - Why me? My grades are not good.
context: Wow, if Minami-kun becomes one, maybe I should run for one.\No way. I want to be the class rep with Minami-kun, too.\Your neighbor is really popular, as always.\He is so rude, though.\Okay, the female rep next.\Nomura-san.\Horikiri-san.\- Nomura-san. - Why me? My grades are not good. response:	Well, last year, at the school festival...
context: No way. I want to be the class rep with Minami-kun, too.\Your neighbor is really popular, as always.\He is so rude, though.\Okay, the female rep next.\Nomura-san.\Horikiri-san.\- Nomura-san. - Why me? My grades are not good.\Well, last year, at the school festival... response:	We have a crepe shop. Please come.
context: Your neighbor is really popular, as always.\He is so rude, though.\Okay, the female rep next.\Nomura-san.\Horikiri-san.\- Nomura-san. - Why me? My grades are not good.\Well, last year, at the school festival...\We have a crepe shop. Please come. response:	Here is our crepe shop. Would you like to come?
context: He is so rude, though.\Okay, the female rep next.\Nomura-san.\Horikiri-san.\- Nomura-san. - Why me? My grades are not good.\Well, last year, at the school festival...\We have a crepe shop. Please come.\Here is our crepe shop. Would you like to come? response:	That's because our class couldn't sell crepe at all.
context: Okay, the female rep next.\Nomura-san.\Horikiri-san.\- Nomura-san. - Why me? My grades are not good.\Well, last year, at the school festival...\We have a crepe shop. Please come.\Here is our crepe shop. Would you like to come?\That's because our class couldn't sell crepe at all. response:	But, at the athletic meeting, too...
context: Nomura-san.\Horikiri-san.\- Nomura-san. - Why me? My grades are not good.\Well, last year, at the school festival...\We have a crepe shop. Please come.\Here is our crepe shop. Would you like to come?\That's because our class couldn't sell crepe at all.\But, at the athletic meeting, too... response:	Go, Go, Go.
context: Horikiri-san.\- Nomura-san. - Why me? My grades are not good.\Well, last year, at the school festival...\We have a crepe shop. Please come.\Here is our crepe shop. Would you like to come?\That's because our class couldn't sell crepe at all.\But, at the athletic meeting, too...\Go, Go, Go. response:	That's because our class wasn't doing well...
context: - Nomura-san. - Why me? My grades are not good.\Well, last year, at the school festival...\We have a crepe shop. Please come.\Here is our crepe shop. Would you like to come?\That's because our class couldn't sell crepe at all.\But, at the athletic meeting, too...\Go, Go, Go.\That's because our class wasn't doing well... response:	People now see you as a person who'll give behind-the-scenes support.
context: Well, last year, at the school festival...\We have a crepe shop. Please come.\Here is our crepe shop. Would you like to come?\That's because our class couldn't sell crepe at all.\But, at the athletic meeting, too...\Go, Go, Go.\That's because our class wasn't doing well...\People now see you as a person who'll give behind-the-scenes support. response:	Horikiri-san.
context: We have a crepe shop. Please come.\Here is our crepe shop. Would you like to come?\That's because our class couldn't sell crepe at all.\But, at the athletic meeting, too...\Go, Go, Go.\That's because our class wasn't doing well...\People now see you as a person who'll give behind-the-scenes support.\Horikiri-san. response:	Okay, this is the last one.
context: Here is our crepe shop. Would you like to come?\That's because our class couldn't sell crepe at all.\But, at the athletic meeting, too...\Go, Go, Go.\That's because our class wasn't doing well...\People now see you as a person who'll give behind-the-scenes support.\Horikiri-san.\Okay, this is the last one. response:	Horikiri-san.
context: That's because our class couldn't sell crepe at all.\But, at the athletic meeting, too...\Go, Go, Go.\That's because our class wasn't doing well...\People now see you as a person who'll give behind-the-scenes support.\Horikiri-san.\Okay, this is the last one.\Horikiri-san. response:	No way.
context: But, at the athletic meeting, too...\Go, Go, Go.\That's because our class wasn't doing well...\People now see you as a person who'll give behind-the-scenes support.\Horikiri-san.\Okay, this is the last one.\Horikiri-san.\No way. response:	Okay, I want to ask Horikiri-san to be the female class rep.
context: Go, Go, Go.\That's because our class wasn't doing well...\People now see you as a person who'll give behind-the-scenes support.\Horikiri-san.\Okay, this is the last one.\Horikiri-san.\No way.\Okay, I want to ask Horikiri-san to be the female class rep. response:	Eh, but...
context: That's because our class wasn't doing well...\People now see you as a person who'll give behind-the-scenes support.\Horikiri-san.\Okay, this is the last one.\Horikiri-san.\No way.\Okay, I want to ask Horikiri-san to be the female class rep.\Eh, but... response:	Why don't you do it?
context: People now see you as a person who'll give behind-the-scenes support.\Horikiri-san.\Okay, this is the last one.\Horikiri-san.\No way.\Okay, I want to ask Horikiri-san to be the female class rep.\Eh, but...\Why don't you do it? response:	Eh, well. Oh, no...
context: Horikiri-san.\Okay, this is the last one.\Horikiri-san.\No way.\Okay, I want to ask Horikiri-san to be the female class rep.\Eh, but...\Why don't you do it?\Eh, well. Oh, no... response:	Excuse me, sensei.
context: Okay, this is the last one.\Horikiri-san.\No way.\Okay, I want to ask Horikiri-san to be the female class rep.\Eh, but...\Why don't you do it?\Eh, well. Oh, no...\Excuse me, sensei. response:	What is it, Nomura-san?
context: Horikiri-san.\No way.\Okay, I want to ask Horikiri-san to be the female class rep.\Eh, but...\Why don't you do it?\Eh, well. Oh, no...\Excuse me, sensei.\What is it, Nomura-san? response:	I want to run for the class rep.
context: No way.\Okay, I want to ask Horikiri-san to be the female class rep.\Eh, but...\Why don't you do it?\Eh, well. Oh, no...\Excuse me, sensei.\What is it, Nomura-san?\I want to run for the class rep. response:	Well, but, now Horikiri-san was...
context: Okay, I want to ask Horikiri-san to be the female class rep.\Eh, but...\Why don't you do it?\Eh, well. Oh, no...\Excuse me, sensei.\What is it, Nomura-san?\I want to run for the class rep.\Well, but, now Horikiri-san was... response:	Horikiri-san, do you want to be the class rep?
context: Eh, but...\Why don't you do it?\Eh, well. Oh, no...\Excuse me, sensei.\What is it, Nomura-san?\I want to run for the class rep.\Well, but, now Horikiri-san was...\Horikiri-san, do you want to be the class rep? response:	It doesn't matter.
context: Why don't you do it?\Eh, well. Oh, no...\Excuse me, sensei.\What is it, Nomura-san?\I want to run for the class rep.\Well, but, now Horikiri-san was...\Horikiri-san, do you want to be the class rep?\It doesn't matter. response:	I want to be the class rep.
context: Eh, well. Oh, no...\Excuse me, sensei.\What is it, Nomura-san?\I want to run for the class rep.\Well, but, now Horikiri-san was...\Horikiri-san, do you want to be the class rep?\It doesn't matter.\I want to be the class rep. response:	Sensei,
context: Excuse me, sensei.\What is it, Nomura-san?\I want to run for the class rep.\Well, but, now Horikiri-san was...\Horikiri-san, do you want to be the class rep?\It doesn't matter.\I want to be the class rep.\Sensei, response:	The one who wants to do it should do it.
context: What is it, Nomura-san?\I want to run for the class rep.\Well, but, now Horikiri-san was...\Horikiri-san, do you want to be the class rep?\It doesn't matter.\I want to be the class rep.\Sensei,\The one who wants to do it should do it. response:	That's true.
context: I want to run for the class rep.\Well, but, now Horikiri-san was...\Horikiri-san, do you want to be the class rep?\It doesn't matter.\I want to be the class rep.\Sensei,\The one who wants to do it should do it.\That's true. response:	Okay, it seems Horikiri-san is reluctant anyway...
context: Well, but, now Horikiri-san was...\Horikiri-san, do you want to be the class rep?\It doesn't matter.\I want to be the class rep.\Sensei,\The one who wants to do it should do it.\That's true.\Okay, it seems Horikiri-san is reluctant anyway... response:	Maybe I will ask Nomura-san to do it since she volunteered.
context: Horikiri-san, do you want to be the class rep?\It doesn't matter.\I want to be the class rep.\Sensei,\The one who wants to do it should do it.\That's true.\Okay, it seems Horikiri-san is reluctant anyway...\Maybe I will ask Nomura-san to do it since she volunteered. response:	Is that okay, Horikiri-san?
context: It doesn't matter.\I want to be the class rep.\Sensei,\The one who wants to do it should do it.\That's true.\Okay, it seems Horikiri-san is reluctant anyway...\Maybe I will ask Nomura-san to do it since she volunteered.\Is that okay, Horikiri-san? response:	Horikiri-san?
context: I want to be the class rep.\Sensei,\The one who wants to do it should do it.\That's true.\Okay, it seems Horikiri-san is reluctant anyway...\Maybe I will ask Nomura-san to do it since she volunteered.\Is that okay, Horikiri-san?\Horikiri-san? response:	Yes, it's fine.
context: Sensei,\The one who wants to do it should do it.\That's true.\Okay, it seems Horikiri-san is reluctant anyway...\Maybe I will ask Nomura-san to do it since she volunteered.\Is that okay, Horikiri-san?\Horikiri-san?\Yes, it's fine. response:	Okay, the female class rep will be Nomura-san.
context: The one who wants to do it should do it.\That's true.\Okay, it seems Horikiri-san is reluctant anyway...\Maybe I will ask Nomura-san to do it since she volunteered.\Is that okay, Horikiri-san?\Horikiri-san?\Yes, it's fine.\Okay, the female class rep will be Nomura-san. response:	Let's give her a big hand.
context: That's true.\Okay, it seems Horikiri-san is reluctant anyway...\Maybe I will ask Nomura-san to do it since she volunteered.\Is that okay, Horikiri-san?\Horikiri-san?\Yes, it's fine.\Okay, the female class rep will be Nomura-san.\Let's give her a big hand. response:	I'm looking forward to working with you.
context: Okay, it seems Horikiri-san is reluctant anyway...\Maybe I will ask Nomura-san to do it since she volunteered.\Is that okay, Horikiri-san?\Horikiri-san?\Yes, it's fine.\Okay, the female class rep will be Nomura-san.\Let's give her a big hand.\I'm looking forward to working with you. response:	Me, too.
context: Maybe I will ask Nomura-san to do it since she volunteered.\Is that okay, Horikiri-san?\Horikiri-san?\Yes, it's fine.\Okay, the female class rep will be Nomura-san.\Let's give her a big hand.\I'm looking forward to working with you.\Me, too. response:	N Give me, give me, give me. Give me a candy! N N Give me a candy chance! N
context: Is that okay, Horikiri-san?\Horikiri-san?\Yes, it's fine.\Okay, the female class rep will be Nomura-san.\Let's give her a big hand.\I'm looking forward to working with you.\Me, too.\N Give me, give me, give me. Give me a candy! N N Give me a candy chance! N response:	N I know how you really feel N
context: Horikiri-san?\Yes, it's fine.\Okay, the female class rep will be Nomura-san.\Let's give her a big hand.\I'm looking forward to working with you.\Me, too.\N Give me, give me, give me. Give me a candy! N N Give me a candy chance! N\N I know how you really feel N response:	N Is this the taste of romance N N that's spreading in my heart?
context: Yes, it's fine.\Okay, the female class rep will be Nomura-san.\Let's give her a big hand.\I'm looking forward to working with you.\Me, too.\N Give me, give me, give me. Give me a candy! N N Give me a candy chance! N\N I know how you really feel N\N Is this the taste of romance N N that's spreading in my heart? response:	N Give me one, too N N You are candy-chan N
context: Okay, the female class rep will be Nomura-san.\Let's give her a big hand.\I'm looking forward to working with you.\Me, too.\N Give me, give me, give me. Give me a candy! N N Give me a candy chance! N\N I know how you really feel N\N Is this the taste of romance N N that's spreading in my heart?\N Give me one, too N N You are candy-chan N response:	Hey, the competition is arond the corner. So, I want to review the choreography.
context: Let's give her a big hand.\I'm looking forward to working with you.\Me, too.\N Give me, give me, give me. Give me a candy! N N Give me a candy chance! N\N I know how you really feel N\N Is this the taste of romance N N that's spreading in my heart?\N Give me one, too N N You are candy-chan N\Hey, the competition is arond the corner. So, I want to review the choreography. response:	- Would you help me? - Eh?
context: I'm looking forward to working with you.\Me, too.\N Give me, give me, give me. Give me a candy! N N Give me a candy chance! N\N I know how you really feel N\N Is this the taste of romance N N that's spreading in my heart?\N Give me one, too N N You are candy-chan N\Hey, the competition is arond the corner. So, I want to review the choreography.\- Would you help me? - Eh? response:	- Okay. Count on me. - Really?
context: Me, too.\N Give me, give me, give me. Give me a candy! N N Give me a candy chance! N\N I know how you really feel N\N Is this the taste of romance N N that's spreading in my heart?\N Give me one, too N N You are candy-chan N\Hey, the competition is arond the corner. So, I want to review the choreography.\- Would you help me? - Eh?\- Okay. Count on me. - Really? response:	a cool move.
context: N Give me, give me, give me. Give me a candy! N N Give me a candy chance! N\N I know how you really feel N\N Is this the taste of romance N N that's spreading in my heart?\N Give me one, too N N You are candy-chan N\Hey, the competition is arond the corner. So, I want to review the choreography.\- Would you help me? - Eh?\- Okay. Count on me. - Really?\a cool move. response:	My Little Lover
context: N I know how you really feel N\N Is this the taste of romance N N that's spreading in my heart?\N Give me one, too N N You are candy-chan N\Hey, the competition is arond the corner. So, I want to review the choreography.\- Would you help me? - Eh?\- Okay. Count on me. - Really?\a cool move.\My Little Lover response:	I am so tired.
context: N Is this the taste of romance N N that's spreading in my heart?\N Give me one, too N N You are candy-chan N\Hey, the competition is arond the corner. So, I want to review the choreography.\- Would you help me? - Eh?\- Okay. Count on me. - Really?\a cool move.\My Little Lover\I am so tired. response:	Choreography for the competition...
context: N Give me one, too N N You are candy-chan N\Hey, the competition is arond the corner. So, I want to review the choreography.\- Would you help me? - Eh?\- Okay. Count on me. - Really?\a cool move.\My Little Lover\I am so tired.\Choreography for the competition... response:	That'll be fun.
context: Hey, the competition is arond the corner. So, I want to review the choreography.\- Would you help me? - Eh?\- Okay. Count on me. - Really?\a cool move.\My Little Lover\I am so tired.\Choreography for the competition...\That'll be fun. response:	What kind of dance should we do?
context: - Would you help me? - Eh?\- Okay. Count on me. - Really?\a cool move.\My Little Lover\I am so tired.\Choreography for the competition...\That'll be fun.\What kind of dance should we do? response:	You know what?
context: - Okay. Count on me. - Really?\a cool move.\My Little Lover\I am so tired.\Choreography for the competition...\That'll be fun.\What kind of dance should we do?\You know what? response:	You must be tired from working hard.
context: a cool move.\My Little Lover\I am so tired.\Choreography for the competition...\That'll be fun.\What kind of dance should we do?\You know what?\You must be tired from working hard. response:	Oh, Riku. It's unusual (to see you now). You were working with the Hand Craft Club this late?
context: My Little Lover\I am so tired.\Choreography for the competition...\That'll be fun.\What kind of dance should we do?\You know what?\You must be tired from working hard.\Oh, Riku. It's unusual (to see you now). You were working with the Hand Craft Club this late? response:	Eh?
context: I am so tired.\Choreography for the competition...\That'll be fun.\What kind of dance should we do?\You know what?\You must be tired from working hard.\Oh, Riku. It's unusual (to see you now). You were working with the Hand Craft Club this late?\Eh? response:	Oh, well... Yeah.
context: Choreography for the competition...\That'll be fun.\What kind of dance should we do?\You know what?\You must be tired from working hard.\Oh, Riku. It's unusual (to see you now). You were working with the Hand Craft Club this late?\Eh?\Oh, well... Yeah. response:	What's wrong Horikiri-shi?
context: That'll be fun.\What kind of dance should we do?\You know what?\You must be tired from working hard.\Oh, Riku. It's unusual (to see you now). You were working with the Hand Craft Club this late?\Eh?\Oh, well... Yeah.\What's wrong Horikiri-shi? response:	You see...
context: What kind of dance should we do?\You know what?\You must be tired from working hard.\Oh, Riku. It's unusual (to see you now). You were working with the Hand Craft Club this late?\Eh?\Oh, well... Yeah.\What's wrong Horikiri-shi?\You see... response:	Huh? No way!
context: You know what?\You must be tired from working hard.\Oh, Riku. It's unusual (to see you now). You were working with the Hand Craft Club this late?\Eh?\Oh, well... Yeah.\What's wrong Horikiri-shi?\You see...\Huh? No way! response:	This is your favorite dance team, Chiyomi. Cool!
context: You must be tired from working hard.\Oh, Riku. It's unusual (to see you now). You were working with the Hand Craft Club this late?\Eh?\Oh, well... Yeah.\What's wrong Horikiri-shi?\You see...\Huh? No way!\This is your favorite dance team, Chiyomi. Cool! response:	I want to audition for it, too!
context: Oh, Riku. It's unusual (to see you now). You were working with the Hand Craft Club this late?\Eh?\Oh, well... Yeah.\What's wrong Horikiri-shi?\You see...\Huh? No way!\This is your favorite dance team, Chiyomi. Cool!\I want to audition for it, too! response:	- The audition is held in Tokyo? - Eh, Tokyo?
context: Eh?\Oh, well... Yeah.\What's wrong Horikiri-shi?\You see...\Huh? No way!\This is your favorite dance team, Chiyomi. Cool!\I want to audition for it, too!\- The audition is held in Tokyo? - Eh, Tokyo? response:	I can't do it. I have to study for the college entrance exam. My mom won't okay it, first of all.
context: Oh, well... Yeah.\What's wrong Horikiri-shi?\You see...\Huh? No way!\This is your favorite dance team, Chiyomi. Cool!\I want to audition for it, too!\- The audition is held in Tokyo? - Eh, Tokyo?\I can't do it. I have to study for the college entrance exam. My mom won't okay it, first of all. response:	You think so, too?
context: What's wrong Horikiri-shi?\You see...\Huh? No way!\This is your favorite dance team, Chiyomi. Cool!\I want to audition for it, too!\- The audition is held in Tokyo? - Eh, Tokyo?\I can't do it. I have to study for the college entrance exam. My mom won't okay it, first of all.\You think so, too? response:	And, if I pass it, I have to stay in Tokyo.
context: You see...\Huh? No way!\This is your favorite dance team, Chiyomi. Cool!\I want to audition for it, too!\- The audition is held in Tokyo? - Eh, Tokyo?\I can't do it. I have to study for the college entrance exam. My mom won't okay it, first of all.\You think so, too?\And, if I pass it, I have to stay in Tokyo. response:	- Stay in Tokyo? - Eh, what are you going to do if you pass?
context: Huh? No way!\This is your favorite dance team, Chiyomi. Cool!\I want to audition for it, too!\- The audition is held in Tokyo? - Eh, Tokyo?\I can't do it. I have to study for the college entrance exam. My mom won't okay it, first of all.\You think so, too?\And, if I pass it, I have to stay in Tokyo.\- Stay in Tokyo? - Eh, what are you going to do if you pass? response:	Are you going to quit school? Your parents won't let you do it.
context: This is your favorite dance team, Chiyomi. Cool!\I want to audition for it, too!\- The audition is held in Tokyo? - Eh, Tokyo?\I can't do it. I have to study for the college entrance exam. My mom won't okay it, first of all.\You think so, too?\And, if I pass it, I have to stay in Tokyo.\- Stay in Tokyo? - Eh, what are you going to do if you pass?\Are you going to quit school? Your parents won't let you do it. response:	You are right, but...
context: I want to audition for it, too!\- The audition is held in Tokyo? - Eh, Tokyo?\I can't do it. I have to study for the college entrance exam. My mom won't okay it, first of all.\You think so, too?\And, if I pass it, I have to stay in Tokyo.\- Stay in Tokyo? - Eh, what are you going to do if you pass?\Are you going to quit school? Your parents won't let you do it.\You are right, but... response:	What? Are you serious?
context: - The audition is held in Tokyo? - Eh, Tokyo?\I can't do it. I have to study for the college entrance exam. My mom won't okay it, first of all.\You think so, too?\And, if I pass it, I have to stay in Tokyo.\- Stay in Tokyo? - Eh, what are you going to do if you pass?\Are you going to quit school? Your parents won't let you do it.\You are right, but...\What? Are you serious? response:	A little.
context: I can't do it. I have to study for the college entrance exam. My mom won't okay it, first of all.\You think so, too?\And, if I pass it, I have to stay in Tokyo.\- Stay in Tokyo? - Eh, what are you going to do if you pass?\Are you going to quit school? Your parents won't let you do it.\You are right, but...\What? Are you serious?\A little. response:	Ah, Chiyomi?
context: You think so, too?\And, if I pass it, I have to stay in Tokyo.\- Stay in Tokyo? - Eh, what are you going to do if you pass?\Are you going to quit school? Your parents won't let you do it.\You are right, but...\What? Are you serious?\A little.\Ah, Chiyomi? response:	Let's talk about this some other time.
context: And, if I pass it, I have to stay in Tokyo.\- Stay in Tokyo? - Eh, what are you going to do if you pass?\Are you going to quit school? Your parents won't let you do it.\You are right, but...\What? Are you serious?\A little.\Ah, Chiyomi?\Let's talk about this some other time. response:	I have to go somewhere from now.
context: - Stay in Tokyo? - Eh, what are you going to do if you pass?\Are you going to quit school? Your parents won't let you do it.\You are right, but...\What? Are you serious?\A little.\Ah, Chiyomi?\Let's talk about this some other time.\I have to go somewhere from now. response:	Oh, is that so?
context: Are you going to quit school? Your parents won't let you do it.\You are right, but...\What? Are you serious?\A little.\Ah, Chiyomi?\Let's talk about this some other time.\I have to go somewhere from now.\Oh, is that so? response:	Riku. Would you go home with Chiyomi?
context: You are right, but...\What? Are you serious?\A little.\Ah, Chiyomi?\Let's talk about this some other time.\I have to go somewhere from now.\Oh, is that so?\Riku. Would you go home with Chiyomi? response:	Yeah.
context: What? Are you serious?\A little.\Ah, Chiyomi?\Let's talk about this some other time.\I have to go somewhere from now.\Oh, is that so?\Riku. Would you go home with Chiyomi?\Yeah. response:	Then, see you.
context: A little.\Ah, Chiyomi?\Let's talk about this some other time.\I have to go somewhere from now.\Oh, is that so?\Riku. Would you go home with Chiyomi?\Yeah.\Then, see you. response:	Huh? Hey, wait!
context: Ah, Chiyomi?\Let's talk about this some other time.\I have to go somewhere from now.\Oh, is that so?\Riku. Would you go home with Chiyomi?\Yeah.\Then, see you.\Huh? Hey, wait! response:	Horikiri-shi, are you interested in romance?
context: Let's talk about this some other time.\I have to go somewhere from now.\Oh, is that so?\Riku. Would you go home with Chiyomi?\Yeah.\Then, see you.\Huh? Hey, wait!\Horikiri-shi, are you interested in romance? response:	It's not that I am not interested, but I don't believe in that kind of stuff.
context: I have to go somewhere from now.\Oh, is that so?\Riku. Would you go home with Chiyomi?\Yeah.\Then, see you.\Huh? Hey, wait!\Horikiri-shi, are you interested in romance?\It's not that I am not interested, but I don't believe in that kind of stuff. response:	You don't believe in it...
context: Oh, is that so?\Riku. Would you go home with Chiyomi?\Yeah.\Then, see you.\Huh? Hey, wait!\Horikiri-shi, are you interested in romance?\It's not that I am not interested, but I don't believe in that kind of stuff.\You don't believe in it... response:	Well then,
context: Riku. Would you go home with Chiyomi?\Yeah.\Then, see you.\Huh? Hey, wait!\Horikiri-shi, are you interested in romance?\It's not that I am not interested, but I don't believe in that kind of stuff.\You don't believe in it...\Well then, response:	have you ever liked anyone?
context: Yeah.\Then, see you.\Huh? Hey, wait!\Horikiri-shi, are you interested in romance?\It's not that I am not interested, but I don't believe in that kind of stuff.\You don't believe in it...\Well then,\have you ever liked anyone? response:	I did when I was little.
context: Then, see you.\Huh? Hey, wait!\Horikiri-shi, are you interested in romance?\It's not that I am not interested, but I don't believe in that kind of stuff.\You don't believe in it...\Well then,\have you ever liked anyone?\I did when I was little. response:	But I forgot about it.
context: Huh? Hey, wait!\Horikiri-shi, are you interested in romance?\It's not that I am not interested, but I don't believe in that kind of stuff.\You don't believe in it...\Well then,\have you ever liked anyone?\I did when I was little.\But I forgot about it. response:	I see.
context: Horikiri-shi, are you interested in romance?\It's not that I am not interested, but I don't believe in that kind of stuff.\You don't believe in it...\Well then,\have you ever liked anyone?\I did when I was little.\But I forgot about it.\I see. response:	Ah...
context: It's not that I am not interested, but I don't believe in that kind of stuff.\You don't believe in it...\Well then,\have you ever liked anyone?\I did when I was little.\But I forgot about it.\I see.\Ah... response:	Recently,
context: You don't believe in it...\Well then,\have you ever liked anyone?\I did when I was little.\But I forgot about it.\I see.\Ah...\Recently, response:	on the internet,
context: Well then,\have you ever liked anyone?\I did when I was little.\But I forgot about it.\I see.\Ah...\Recently,\on the internet, response:	I got interested in this online novel.
context: have you ever liked anyone?\I did when I was little.\But I forgot about it.\I see.\Ah...\Recently,\on the internet,\I got interested in this online novel. response:	Online novel?
context: I did when I was little.\But I forgot about it.\I see.\Ah...\Recently,\on the internet,\I got interested in this online novel.\Online novel? response:	Yes.
context: But I forgot about it.\I see.\Ah...\Recently,\on the internet,\I got interested in this online novel.\Online novel?\Yes. response:	Hanadoroboh (Flower Thief) Zakka (variety goods) amp; Cafe
context: I see.\Ah...\Recently,\on the internet,\I got interested in this online novel.\Online novel?\Yes.\Hanadoroboh (Flower Thief) Zakka (variety goods) amp; Cafe response:	Thank you for walking me home.
context: Ah...\Recently,\on the internet,\I got interested in this online novel.\Online novel?\Yes.\Hanadoroboh (Flower Thief) Zakka (variety goods) amp; Cafe\Thank you for walking me home. response:	No problem.
context: Recently,\on the internet,\I got interested in this online novel.\Online novel?\Yes.\Hanadoroboh (Flower Thief) Zakka (variety goods) amp; Cafe\Thank you for walking me home.\No problem. response:	Umm... What I mentioned earlier,
context: on the internet,\I got interested in this online novel.\Online novel?\Yes.\Hanadoroboh (Flower Thief) Zakka (variety goods) amp; Cafe\Thank you for walking me home.\No problem.\Umm... What I mentioned earlier, response:	Moon Bunny Michaela's Blue Fairy,
context: I got interested in this online novel.\Online novel?\Yes.\Hanadoroboh (Flower Thief) Zakka (variety goods) amp; Cafe\Thank you for walking me home.\No problem.\Umm... What I mentioned earlier,\Moon Bunny Michaela's Blue Fairy, response:	is really interesting.
context: Online novel?\Yes.\Hanadoroboh (Flower Thief) Zakka (variety goods) amp; Cafe\Thank you for walking me home.\No problem.\Umm... What I mentioned earlier,\Moon Bunny Michaela's Blue Fairy,\is really interesting. response:	I really like it...
context: Yes.\Hanadoroboh (Flower Thief) Zakka (variety goods) amp; Cafe\Thank you for walking me home.\No problem.\Umm... What I mentioned earlier,\Moon Bunny Michaela's Blue Fairy,\is really interesting.\I really like it... response:	Yup.
context: Hanadoroboh (Flower Thief) Zakka (variety goods) amp; Cafe\Thank you for walking me home.\No problem.\Umm... What I mentioned earlier,\Moon Bunny Michaela's Blue Fairy,\is really interesting.\I really like it...\Yup. response:	Like (it). (He wants to say I like you.)
context: Thank you for walking me home.\No problem.\Umm... What I mentioned earlier,\Moon Bunny Michaela's Blue Fairy,\is really interesting.\I really like it...\Yup.\Like (it). (He wants to say I like you.) response:	Is that so?
context: No problem.\Umm... What I mentioned earlier,\Moon Bunny Michaela's Blue Fairy,\is really interesting.\I really like it...\Yup.\Like (it). (He wants to say I like you.)\Is that so? response:	Then, I will read it.
context: Umm... What I mentioned earlier,\Moon Bunny Michaela's Blue Fairy,\is really interesting.\I really like it...\Yup.\Like (it). (He wants to say I like you.)\Is that so?\Then, I will read it. response:	Ah... why don't you?
context: Moon Bunny Michaela's Blue Fairy,\is really interesting.\I really like it...\Yup.\Like (it). (He wants to say I like you.)\Is that so?\Then, I will read it.\Ah... why don't you? response:	Yup.
context: is really interesting.\I really like it...\Yup.\Like (it). (He wants to say I like you.)\Is that so?\Then, I will read it.\Ah... why don't you?\Yup. response:	See you.
context: I really like it...\Yup.\Like (it). (He wants to say I like you.)\Is that so?\Then, I will read it.\Ah... why don't you?\Yup.\See you. response:	- Horikiri-shi! - What?
context: Yup.\Like (it). (He wants to say I like you.)\Is that so?\Then, I will read it.\Ah... why don't you?\Yup.\See you.\- Horikiri-shi! - What? response:	Well...
context: Like (it). (He wants to say I like you.)\Is that so?\Then, I will read it.\Ah... why don't you?\Yup.\See you.\- Horikiri-shi! - What?\Well... response:	What is it?
context: Is that so?\Then, I will read it.\Ah... why don't you?\Yup.\See you.\- Horikiri-shi! - What?\Well...\What is it? response:	It's nothing.
