context: The girl I fell in love with at first sight, Rebecca, response:	has successfully become Pastillage's Hero!
context: I'm going to retreat for now.\Of course! I hope I'll see you later.\Yes, Your Highness!\They are friends!\Even in the heat of battle, they remain friends!\It makes one smile.\How is Galette doing?\Leo-nee, come out. response:	Fight me!
context: Of course! I hope I'll see you later.\Yes, Your Highness!\They are friends!\Even in the heat of battle, they remain friends!\It makes one smile.\How is Galette doing?\Leo-nee, come out.\Fight me! response:	If you're looking for me, I'm over here!
context: Yes, Your Highness!\They are friends!\Even in the heat of battle, they remain friends!\It makes one smile.\How is Galette doing?\Leo-nee, come out.\Fight me!\If you're looking for me, I'm over here! response:	Eek, Grand Vert?!
context: They are friends!\Even in the heat of battle, they remain friends!\It makes one smile.\How is Galette doing?\Leo-nee, come out.\Fight me!\If you're looking for me, I'm over here!\Eek, Grand Vert?! response:	That's right!
context: Even in the heat of battle, they remain friends!\It makes one smile.\How is Galette doing?\Leo-nee, come out.\Fight me!\If you're looking for me, I'm over here!\Eek, Grand Vert?!\That's right! response:	This is Galette's holy sword, Grand Vert, the demonic battle axe!
context: It makes one smile.\How is Galette doing?\Leo-nee, come out.\Fight me!\If you're looking for me, I'm over here!\Eek, Grand Vert?!\That's right!\This is Galette's holy sword, Grand Vert, the demonic battle axe! response:	I've got nothing to lose...
context: How is Galette doing?\Leo-nee, come out.\Fight me!\If you're looking for me, I'm over here!\Eek, Grand Vert?!\That's right!\This is Galette's holy sword, Grand Vert, the demonic battle axe!\I've got nothing to lose... response:	Garnet Spark, maximum power!
context: Leo-nee, come out.\Fight me!\If you're looking for me, I'm over here!\Eek, Grand Vert?!\That's right!\This is Galette's holy sword, Grand Vert, the demonic battle axe!\I've got nothing to lose...\Garnet Spark, maximum power! response:	Eat this!
context: Fight me!\If you're looking for me, I'm over here!\Eek, Grand Vert?!\That's right!\This is Galette's holy sword, Grand Vert, the demonic battle axe!\I've got nothing to lose...\Garnet Spark, maximum power!\Eat this! response:	Demon God Wind Slash Carver!
context: If you're looking for me, I'm over here!\Eek, Grand Vert?!\That's right!\This is Galette's holy sword, Grand Vert, the demonic battle axe!\I've got nothing to lose...\Garnet Spark, maximum power!\Eat this!\Demon God Wind Slash Carver! response:	Huh?
context: Eek, Grand Vert?!\That's right!\This is Galette's holy sword, Grand Vert, the demonic battle axe!\I've got nothing to lose...\Garnet Spark, maximum power!\Eat this!\Demon God Wind Slash Carver!\Huh? response:	Why?!
context: That's right!\This is Galette's holy sword, Grand Vert, the demonic battle axe!\I've got nothing to lose...\Garnet Spark, maximum power!\Eat this!\Demon God Wind Slash Carver!\Huh?\Why?! response:	Leo-sama is not Peerless without reason!
context: This is Galette's holy sword, Grand Vert, the demonic battle axe!\I've got nothing to lose...\Garnet Spark, maximum power!\Eat this!\Demon God Wind Slash Carver!\Huh?\Why?!\Leo-sama is not Peerless without reason! response:	She bisected Couverte-sama's signature move perfectly!
context: I've got nothing to lose...\Garnet Spark, maximum power!\Eat this!\Demon God Wind Slash Carver!\Huh?\Why?!\Leo-sama is not Peerless without reason!\She bisected Couverte-sama's signature move perfectly! response:	I thought I could maybe do it with enough momentum...
context: Garnet Spark, maximum power!\Eat this!\Demon God Wind Slash Carver!\Huh?\Why?!\Leo-sama is not Peerless without reason!\She bisected Couverte-sama's signature move perfectly!\I thought I could maybe do it with enough momentum... response:	In the fighting that proceeded from there,
context: Eat this!\Demon God Wind Slash Carver!\Huh?\Why?!\Leo-sama is not Peerless without reason!\She bisected Couverte-sama's signature move perfectly!\I thought I could maybe do it with enough momentum...\In the fighting that proceeded from there, response:	the heroes were the center of excitement for all...
context: Demon God Wind Slash Carver!\Huh?\Why?!\Leo-sama is not Peerless without reason!\She bisected Couverte-sama's signature move perfectly!\I thought I could maybe do it with enough momentum...\In the fighting that proceeded from there,\the heroes were the center of excitement for all... response:	Time's up!
context: Huh?\Why?!\Leo-sama is not Peerless without reason!\She bisected Couverte-sama's signature move perfectly!\I thought I could maybe do it with enough momentum...\In the fighting that proceeded from there,\the heroes were the center of excitement for all...\Time's up! response:	The battle is over!
context: Why?!\Leo-sama is not Peerless without reason!\She bisected Couverte-sama's signature move perfectly!\I thought I could maybe do it with enough momentum...\In the fighting that proceeded from there,\the heroes were the center of excitement for all...\Time's up!\The battle is over! response:	As expected, the Galette Lion Army won!
context: Leo-sama is not Peerless without reason!\She bisected Couverte-sama's signature move perfectly!\I thought I could maybe do it with enough momentum...\In the fighting that proceeded from there,\the heroes were the center of excitement for all...\Time's up!\The battle is over!\As expected, the Galette Lion Army won! response:	As expected, indeed.
context: She bisected Couverte-sama's signature move perfectly!\I thought I could maybe do it with enough momentum...\In the fighting that proceeded from there,\the heroes were the center of excitement for all...\Time's up!\The battle is over!\As expected, the Galette Lion Army won!\As expected, indeed. response:	Thank you!
context: I thought I could maybe do it with enough momentum...\In the fighting that proceeded from there,\the heroes were the center of excitement for all...\Time's up!\The battle is over!\As expected, the Galette Lion Army won!\As expected, indeed.\Thank you! response:	In second place, we the Biscotti Republic, who unfortunately
context: In the fighting that proceeded from there,\the heroes were the center of excitement for all...\Time's up!\The battle is over!\As expected, the Galette Lion Army won!\As expected, indeed.\Thank you!\In second place, we the Biscotti Republic, who unfortunately response:	could not best Galette's score!
context: the heroes were the center of excitement for all...\Time's up!\The battle is over!\As expected, the Galette Lion Army won!\As expected, indeed.\Thank you!\In second place, we the Biscotti Republic, who unfortunately\could not best Galette's score! response:	In last place, we've got the Principality of Pastillage.
context: Time's up!\The battle is over!\As expected, the Galette Lion Army won!\As expected, indeed.\Thank you!\In second place, we the Biscotti Republic, who unfortunately\could not best Galette's score!\In last place, we've got the Principality of Pastillage. response:	That's too bad.
context: The battle is over!\As expected, the Galette Lion Army won!\As expected, indeed.\Thank you!\In second place, we the Biscotti Republic, who unfortunately\could not best Galette's score!\In last place, we've got the Principality of Pastillage.\That's too bad. response:	Oh, it hurts!
context: As expected, the Galette Lion Army won!\As expected, indeed.\Thank you!\In second place, we the Biscotti Republic, who unfortunately\could not best Galette's score!\In last place, we've got the Principality of Pastillage.\That's too bad.\Oh, it hurts! response:	The war was a roaring success to the end.
context: As expected, indeed.\Thank you!\In second place, we the Biscotti Republic, who unfortunately\could not best Galette's score!\In last place, we've got the Principality of Pastillage.\That's too bad.\Oh, it hurts!\The war was a roaring success to the end. response:	In the castle town, a lively celebration
context: Thank you!\In second place, we the Biscotti Republic, who unfortunately\could not best Galette's score!\In last place, we've got the Principality of Pastillage.\That's too bad.\Oh, it hurts!\The war was a roaring success to the end.\In the castle town, a lively celebration response:	for victors of Biscotti and Galette was held.
context: In second place, we the Biscotti Republic, who unfortunately\could not best Galette's score!\In last place, we've got the Principality of Pastillage.\That's too bad.\Oh, it hurts!\The war was a roaring success to the end.\In the castle town, a lively celebration\for victors of Biscotti and Galette was held. response:	Which means we lost the war, but...
context: could not best Galette's score!\In last place, we've got the Principality of Pastillage.\That's too bad.\Oh, it hurts!\The war was a roaring success to the end.\In the castle town, a lively celebration\for victors of Biscotti and Galette was held.\Which means we lost the war, but... response:	But Rebecca's already our Hero
context: In last place, we've got the Principality of Pastillage.\That's too bad.\Oh, it hurts!\The war was a roaring success to the end.\In the castle town, a lively celebration\for victors of Biscotti and Galette was held.\Which means we lost the war, but...\But Rebecca's already our Hero response:	and I don't want to give her back!
context: That's too bad.\Oh, it hurts!\The war was a roaring success to the end.\In the castle town, a lively celebration\for victors of Biscotti and Galette was held.\Which means we lost the war, but...\But Rebecca's already our Hero\and I don't want to give her back! response:	Is what she's saying...
context: Oh, it hurts!\The war was a roaring success to the end.\In the castle town, a lively celebration\for victors of Biscotti and Galette was held.\Which means we lost the war, but...\But Rebecca's already our Hero\and I don't want to give her back!\Is what she's saying... response:	Umm...
context: The war was a roaring success to the end.\In the castle town, a lively celebration\for victors of Biscotti and Galette was held.\Which means we lost the war, but...\But Rebecca's already our Hero\and I don't want to give her back!\Is what she's saying...\Umm... response:	We can't do anything.
context: In the castle town, a lively celebration\for victors of Biscotti and Galette was held.\Which means we lost the war, but...\But Rebecca's already our Hero\and I don't want to give her back!\Is what she's saying...\Umm...\We can't do anything. response:	Talk to the responsible ones.
context: for victors of Biscotti and Galette was held.\Which means we lost the war, but...\But Rebecca's already our Hero\and I don't want to give her back!\Is what she's saying...\Umm...\We can't do anything.\Talk to the responsible ones. response:	You, Heroes Sink and Nanami!
context: Which means we lost the war, but...\But Rebecca's already our Hero\and I don't want to give her back!\Is what she's saying...\Umm...\We can't do anything.\Talk to the responsible ones.\You, Heroes Sink and Nanami! response:	Yes!
context: But Rebecca's already our Hero\and I don't want to give her back!\Is what she's saying...\Umm...\We can't do anything.\Talk to the responsible ones.\You, Heroes Sink and Nanami!\Yes! response:	Pastillage is right next to Biscotti,
context: and I don't want to give her back!\Is what she's saying...\Umm...\We can't do anything.\Talk to the responsible ones.\You, Heroes Sink and Nanami!\Yes!\Pastillage is right next to Biscotti, response:	and I'll make sure you'll have
context: Is what she's saying...\Umm...\We can't do anything.\Talk to the responsible ones.\You, Heroes Sink and Nanami!\Yes!\Pastillage is right next to Biscotti,\and I'll make sure you'll have response:	plenty of time to spend together.
context: Umm...\We can't do anything.\Talk to the responsible ones.\You, Heroes Sink and Nanami!\Yes!\Pastillage is right next to Biscotti,\and I'll make sure you'll have\plenty of time to spend together. response:	So please, let me keep Rebecca!
context: We can't do anything.\Talk to the responsible ones.\You, Heroes Sink and Nanami!\Yes!\Pastillage is right next to Biscotti,\and I'll make sure you'll have\plenty of time to spend together.\So please, let me keep Rebecca! response:	I'll join that request.
context: Talk to the responsible ones.\You, Heroes Sink and Nanami!\Yes!\Pastillage is right next to Biscotti,\and I'll make sure you'll have\plenty of time to spend together.\So please, let me keep Rebecca!\I'll join that request. response:	I want to stay Cou-sama's hero.
context: You, Heroes Sink and Nanami!\Yes!\Pastillage is right next to Biscotti,\and I'll make sure you'll have\plenty of time to spend together.\So please, let me keep Rebecca!\I'll join that request.\I want to stay Cou-sama's hero. response:	Then it's totally fine.
context: Yes!\Pastillage is right next to Biscotti,\and I'll make sure you'll have\plenty of time to spend together.\So please, let me keep Rebecca!\I'll join that request.\I want to stay Cou-sama's hero.\Then it's totally fine. response:	Cou-sama, please...
context: Pastillage is right next to Biscotti,\and I'll make sure you'll have\plenty of time to spend together.\So please, let me keep Rebecca!\I'll join that request.\I want to stay Cou-sama's hero.\Then it's totally fine.\Cou-sama, please... response:	take care of Becky!
context: and I'll make sure you'll have\plenty of time to spend together.\So please, let me keep Rebecca!\I'll join that request.\I want to stay Cou-sama's hero.\Then it's totally fine.\Cou-sama, please...\take care of Becky! response:	They asked me to take care of her!
context: plenty of time to spend together.\So please, let me keep Rebecca!\I'll join that request.\I want to stay Cou-sama's hero.\Then it's totally fine.\Cou-sama, please...\take care of Becky!\They asked me to take care of her! response:	But still, I don't think
context: So please, let me keep Rebecca!\I'll join that request.\I want to stay Cou-sama's hero.\Then it's totally fine.\Cou-sama, please...\take care of Becky!\They asked me to take care of her!\But still, I don't think response:	they need to separate on the day they arrived, right, Couverte?
context: I'll join that request.\I want to stay Cou-sama's hero.\Then it's totally fine.\Cou-sama, please...\take care of Becky!\They asked me to take care of her!\But still, I don't think\they need to separate on the day they arrived, right, Couverte? response:	Yes?
context: I want to stay Cou-sama's hero.\Then it's totally fine.\Cou-sama, please...\take care of Becky!\They asked me to take care of her!\But still, I don't think\they need to separate on the day they arrived, right, Couverte?\Yes? response:	a matter concerning all three countries.
context: Then it's totally fine.\Cou-sama, please...\take care of Becky!\They asked me to take care of her!\But still, I don't think\they need to separate on the day they arrived, right, Couverte?\Yes?\a matter concerning all three countries. response:	So would you stay here for about two days?
context: Cou-sama, please...\take care of Becky!\They asked me to take care of her!\But still, I don't think\they need to separate on the day they arrived, right, Couverte?\Yes?\a matter concerning all three countries.\So would you stay here for about two days? response:	During that time...
context: take care of Becky!\They asked me to take care of her!\But still, I don't think\they need to separate on the day they arrived, right, Couverte?\Yes?\a matter concerning all three countries.\So would you stay here for about two days?\During that time... response:	The three Heroes are free to do as they please.
context: They asked me to take care of her!\But still, I don't think\they need to separate on the day they arrived, right, Couverte?\Yes?\a matter concerning all three countries.\So would you stay here for about two days?\During that time...\The three Heroes are free to do as they please. response:	Just relax.
context: But still, I don't think\they need to separate on the day they arrived, right, Couverte?\Yes?\a matter concerning all three countries.\So would you stay here for about two days?\During that time...\The three Heroes are free to do as they please.\Just relax. response:	Yes.
context: they need to separate on the day they arrived, right, Couverte?\Yes?\a matter concerning all three countries.\So would you stay here for about two days?\During that time...\The three Heroes are free to do as they please.\Just relax.\Yes. response:	Yes.
context: Yes?\a matter concerning all three countries.\So would you stay here for about two days?\During that time...\The three Heroes are free to do as they please.\Just relax.\Yes.\Yes. response:	Thank you, Leo-sama.
context: a matter concerning all three countries.\So would you stay here for about two days?\During that time...\The three Heroes are free to do as they please.\Just relax.\Yes.\Yes.\Thank you, Leo-sama. response:	Cou-sama, your ears are so cute.
context: So would you stay here for about two days?\During that time...\The three Heroes are free to do as they please.\Just relax.\Yes.\Yes.\Thank you, Leo-sama.\Cou-sama, your ears are so cute. response:	Princess.
context: During that time...\The three Heroes are free to do as they please.\Just relax.\Yes.\Yes.\Thank you, Leo-sama.\Cou-sama, your ears are so cute.\Princess. response:	So Sink...
context: The three Heroes are free to do as they please.\Just relax.\Yes.\Yes.\Thank you, Leo-sama.\Cou-sama, your ears are so cute.\Princess.\So Sink... response:	Will you take me on a walk again, in the morning?
context: Just relax.\Yes.\Yes.\Thank you, Leo-sama.\Cou-sama, your ears are so cute.\Princess.\So Sink...\Will you take me on a walk again, in the morning? response:	Yes, of course.
context: Yes.\Yes.\Thank you, Leo-sama.\Cou-sama, your ears are so cute.\Princess.\So Sink...\Will you take me on a walk again, in the morning?\Yes, of course. response:	We can bring Rebecca and Nanami, too, if they'd like.
context: Yes.\Thank you, Leo-sama.\Cou-sama, your ears are so cute.\Princess.\So Sink...\Will you take me on a walk again, in the morning?\Yes, of course.\We can bring Rebecca and Nanami, too, if they'd like. response:	Roger!
context: Thank you, Leo-sama.\Cou-sama, your ears are so cute.\Princess.\So Sink...\Will you take me on a walk again, in the morning?\Yes, of course.\We can bring Rebecca and Nanami, too, if they'd like.\Roger! response:	Let's all go!
context: Cou-sama, your ears are so cute.\Princess.\So Sink...\Will you take me on a walk again, in the morning?\Yes, of course.\We can bring Rebecca and Nanami, too, if they'd like.\Roger!\Let's all go! response:	On a walk?
context: Princess.\So Sink...\Will you take me on a walk again, in the morning?\Yes, of course.\We can bring Rebecca and Nanami, too, if they'd like.\Roger!\Let's all go!\On a walk? response:	All right then...
context: So Sink...\Will you take me on a walk again, in the morning?\Yes, of course.\We can bring Rebecca and Nanami, too, if they'd like.\Roger!\Let's all go!\On a walk?\All right then... response:	Palladion Form: Flying Disk!
context: Will you take me on a walk again, in the morning?\Yes, of course.\We can bring Rebecca and Nanami, too, if they'd like.\Roger!\Let's all go!\On a walk?\All right then...\Palladion Form: Flying Disk! response:	Go Princess!
context: Yes, of course.\We can bring Rebecca and Nanami, too, if they'd like.\Roger!\Let's all go!\On a walk?\All right then...\Palladion Form: Flying Disk!\Go Princess! response:	Okay!
context: We can bring Rebecca and Nanami, too, if they'd like.\Roger!\Let's all go!\On a walk?\All right then...\Palladion Form: Flying Disk!\Go Princess!\Okay! response:	I got it!
context: Roger!\Let's all go!\On a walk?\All right then...\Palladion Form: Flying Disk!\Go Princess!\Okay!\I got it! response:	Nice catch!
context: Let's all go!\On a walk?\All right then...\Palladion Form: Flying Disk!\Go Princess!\Okay!\I got it!\Nice catch! response:	You're so good, Princess.
context: On a walk?\All right then...\Palladion Form: Flying Disk!\Go Princess!\Okay!\I got it!\Nice catch!\You're so good, Princess. response:	You're so cute!
context: All right then...\Palladion Form: Flying Disk!\Go Princess!\Okay!\I got it!\Nice catch!\You're so good, Princess.\You're so cute! response:	Millihi's so good!
context: Palladion Form: Flying Disk!\Go Princess!\Okay!\I got it!\Nice catch!\You're so good, Princess.\You're so cute!\Millihi's so good! response:	Sink is treating a country's princess like a lapdog.
context: Go Princess!\Okay!\I got it!\Nice catch!\You're so good, Princess.\You're so cute!\Millihi's so good!\Sink is treating a country's princess like a lapdog. response:	Yeah, but I can totally understand it.
context: Okay!\I got it!\Nice catch!\You're so good, Princess.\You're so cute!\Millihi's so good!\Sink is treating a country's princess like a lapdog.\Yeah, but I can totally understand it. response:	I always want to pet Leo-sama
context: I got it!\Nice catch!\You're so good, Princess.\You're so cute!\Millihi's so good!\Sink is treating a country's princess like a lapdog.\Yeah, but I can totally understand it.\I always want to pet Leo-sama response:	and the members of the Genoise.
context: Nice catch!\You're so good, Princess.\You're so cute!\Millihi's so good!\Sink is treating a country's princess like a lapdog.\Yeah, but I can totally understand it.\I always want to pet Leo-sama\and the members of the Genoise. response:	You were petting the hell out of them yesterday.
context: You're so good, Princess.\You're so cute!\Millihi's so good!\Sink is treating a country's princess like a lapdog.\Yeah, but I can totally understand it.\I always want to pet Leo-sama\and the members of the Genoise.\You were petting the hell out of them yesterday. response:	They said I was a very good petter!
context: You're so cute!\Millihi's so good!\Sink is treating a country's princess like a lapdog.\Yeah, but I can totally understand it.\I always want to pet Leo-sama\and the members of the Genoise.\You were petting the hell out of them yesterday.\They said I was a very good petter! response:	That's good!
context: Millihi's so good!\Sink is treating a country's princess like a lapdog.\Yeah, but I can totally understand it.\I always want to pet Leo-sama\and the members of the Genoise.\You were petting the hell out of them yesterday.\They said I was a very good petter!\That's good! response:	Pet my neck... the neck, the neck!
context: Sink is treating a country's princess like a lapdog.\Yeah, but I can totally understand it.\I always want to pet Leo-sama\and the members of the Genoise.\You were petting the hell out of them yesterday.\They said I was a very good petter!\That's good!\Pet my neck... the neck, the neck! response:	Yes...
context: Yeah, but I can totally understand it.\I always want to pet Leo-sama\and the members of the Genoise.\You were petting the hell out of them yesterday.\They said I was a very good petter!\That's good!\Pet my neck... the neck, the neck!\Yes... response:	So don't you ever feel like petting Cou-sama?
context: I always want to pet Leo-sama\and the members of the Genoise.\You were petting the hell out of them yesterday.\They said I was a very good petter!\That's good!\Pet my neck... the neck, the neck!\Yes...\So don't you ever feel like petting Cou-sama? response:	I do!
context: and the members of the Genoise.\You were petting the hell out of them yesterday.\They said I was a very good petter!\That's good!\Pet my neck... the neck, the neck!\Yes...\So don't you ever feel like petting Cou-sama?\I do! response:	Especially her bushy tail!
context: You were petting the hell out of them yesterday.\They said I was a very good petter!\That's good!\Pet my neck... the neck, the neck!\Yes...\So don't you ever feel like petting Cou-sama?\I do!\Especially her bushy tail! response:	Ahhh, I say!
context: They said I was a very good petter!\That's good!\Pet my neck... the neck, the neck!\Yes...\So don't you ever feel like petting Cou-sama?\I do!\Especially her bushy tail!\Ahhh, I say! response:	The princess is really cute, too.
context: That's good!\Pet my neck... the neck, the neck!\Yes...\So don't you ever feel like petting Cou-sama?\I do!\Especially her bushy tail!\Ahhh, I say!\The princess is really cute, too. response:	Yeah, huh?
context: Pet my neck... the neck, the neck!\Yes...\So don't you ever feel like petting Cou-sama?\I do!\Especially her bushy tail!\Ahhh, I say!\The princess is really cute, too.\Yeah, huh? response:	Sink is lucky to get that treatment.
context: Yes...\So don't you ever feel like petting Cou-sama?\I do!\Especially her bushy tail!\Ahhh, I say!\The princess is really cute, too.\Yeah, huh?\Sink is lucky to get that treatment. response:	Rebecca-san! Nanami-san!
context: So don't you ever feel like petting Cou-sama?\I do!\Especially her bushy tail!\Ahhh, I say!\The princess is really cute, too.\Yeah, huh?\Sink is lucky to get that treatment.\Rebecca-san! Nanami-san! response:	Let's do it together.
context: I do!\Especially her bushy tail!\Ahhh, I say!\The princess is really cute, too.\Yeah, huh?\Sink is lucky to get that treatment.\Rebecca-san! Nanami-san!\Let's do it together. response:	Okay!
context: Especially her bushy tail!\Ahhh, I say!\The princess is really cute, too.\Yeah, huh?\Sink is lucky to get that treatment.\Rebecca-san! Nanami-san!\Let's do it together.\Okay! response:	Then let's give you a tour of the castle.
context: Ahhh, I say!\The princess is really cute, too.\Yeah, huh?\Sink is lucky to get that treatment.\Rebecca-san! Nanami-san!\Let's do it together.\Okay!\Then let's give you a tour of the castle. response:	Let's go!
context: The princess is really cute, too.\Yeah, huh?\Sink is lucky to get that treatment.\Rebecca-san! Nanami-san!\Let's do it together.\Okay!\Then let's give you a tour of the castle.\Let's go! response:	Let's start off with the kitchen.
context: Yeah, huh?\Sink is lucky to get that treatment.\Rebecca-san! Nanami-san!\Let's do it together.\Okay!\Then let's give you a tour of the castle.\Let's go!\Let's start off with the kitchen. response:	Long time no see!
context: Sink is lucky to get that treatment.\Rebecca-san! Nanami-san!\Let's do it together.\Okay!\Then let's give you a tour of the castle.\Let's go!\Let's start off with the kitchen.\Long time no see! response:	You brought some cute friends.
context: Rebecca-san! Nanami-san!\Let's do it together.\Okay!\Then let's give you a tour of the castle.\Let's go!\Let's start off with the kitchen.\Long time no see!\You brought some cute friends. response:	Hello!
context: Let's do it together.\Okay!\Then let's give you a tour of the castle.\Let's go!\Let's start off with the kitchen.\Long time no see!\You brought some cute friends.\Hello! response:	The Hero and I got a lot of our snacks and treats here.
context: Okay!\Then let's give you a tour of the castle.\Let's go!\Let's start off with the kitchen.\Long time no see!\You brought some cute friends.\Hello!\The Hero and I got a lot of our snacks and treats here. response:	I see.
context: Then let's give you a tour of the castle.\Let's go!\Let's start off with the kitchen.\Long time no see!\You brought some cute friends.\Hello!\The Hero and I got a lot of our snacks and treats here.\I see. response:	Here you go.
context: Let's go!\Let's start off with the kitchen.\Long time no see!\You brought some cute friends.\Hello!\The Hero and I got a lot of our snacks and treats here.\I see.\Here you go. response:	Eat up!
context: Let's start off with the kitchen.\Long time no see!\You brought some cute friends.\Hello!\The Hero and I got a lot of our snacks and treats here.\I see.\Here you go.\Eat up! response:	I'm so full, and so happy!
context: Long time no see!\You brought some cute friends.\Hello!\The Hero and I got a lot of our snacks and treats here.\I see.\Here you go.\Eat up!\I'm so full, and so happy! response:	Rico, you shouldn't let yourself go like that
context: You brought some cute friends.\Hello!\The Hero and I got a lot of our snacks and treats here.\I see.\Here you go.\Eat up!\I'm so full, and so happy!\Rico, you shouldn't let yourself go like that response:	in front of other countries' Heroes.
context: Hello!\The Hero and I got a lot of our snacks and treats here.\I see.\Here you go.\Eat up!\I'm so full, and so happy!\Rico, you shouldn't let yourself go like that\in front of other countries' Heroes. response:	Oh, it's fine.
context: The Hero and I got a lot of our snacks and treats here.\I see.\Here you go.\Eat up!\I'm so full, and so happy!\Rico, you shouldn't let yourself go like that\in front of other countries' Heroes.\Oh, it's fine. response:	Don't mind us.
context: I see.\Here you go.\Eat up!\I'm so full, and so happy!\Rico, you shouldn't let yourself go like that\in front of other countries' Heroes.\Oh, it's fine.\Don't mind us. response:	Now I'm embarrassed.
context: Here you go.\Eat up!\I'm so full, and so happy!\Rico, you shouldn't let yourself go like that\in front of other countries' Heroes.\Oh, it's fine.\Don't mind us.\Now I'm embarrassed. response:	Rico, do you like Sink?
context: Eat up!\I'm so full, and so happy!\Rico, you shouldn't let yourself go like that\in front of other countries' Heroes.\Oh, it's fine.\Don't mind us.\Now I'm embarrassed.\Rico, do you like Sink? response:	I love him!
context: I'm so full, and so happy!\Rico, you shouldn't let yourself go like that\in front of other countries' Heroes.\Oh, it's fine.\Don't mind us.\Now I'm embarrassed.\Rico, do you like Sink?\I love him! response:	He's our country's Hero after all!
context: Rico, you shouldn't let yourself go like that\in front of other countries' Heroes.\Oh, it's fine.\Don't mind us.\Now I'm embarrassed.\Rico, do you like Sink?\I love him!\He's our country's Hero after all! response:	He always plays with me,
context: in front of other countries' Heroes.\Oh, it's fine.\Don't mind us.\Now I'm embarrassed.\Rico, do you like Sink?\I love him!\He's our country's Hero after all!\He always plays with me, response:	and he naps with me and snacks with me!
context: Oh, it's fine.\Don't mind us.\Now I'm embarrassed.\Rico, do you like Sink?\I love him!\He's our country's Hero after all!\He always plays with me,\and he naps with me and snacks with me! response:	He pets me and he holds me.
context: Don't mind us.\Now I'm embarrassed.\Rico, do you like Sink?\I love him!\He's our country's Hero after all!\He always plays with me,\and he naps with me and snacks with me!\He pets me and he holds me. response:	Him being a hero's totally irrelevant.
context: Now I'm embarrassed.\Rico, do you like Sink?\I love him!\He's our country's Hero after all!\He always plays with me,\and he naps with me and snacks with me!\He pets me and he holds me.\Him being a hero's totally irrelevant. response:	This is the knights' training grounds.
context: Rico, do you like Sink?\I love him!\He's our country's Hero after all!\He always plays with me,\and he naps with me and snacks with me!\He pets me and he holds me.\Him being a hero's totally irrelevant.\This is the knights' training grounds. response:	Hello!
context: I love him!\He's our country's Hero after all!\He always plays with me,\and he naps with me and snacks with me!\He pets me and he holds me.\Him being a hero's totally irrelevant.\This is the knights' training grounds.\Hello! response:	Captain, Heroes, join us if you like.
context: He's our country's Hero after all!\He always plays with me,\and he naps with me and snacks with me!\He pets me and he holds me.\Him being a hero's totally irrelevant.\This is the knights' training grounds.\Hello!\Captain, Heroes, join us if you like. response:	Okay!
context: He always plays with me,\and he naps with me and snacks with me!\He pets me and he holds me.\Him being a hero's totally irrelevant.\This is the knights' training grounds.\Hello!\Captain, Heroes, join us if you like.\Okay! response:	Shall we have a match then, Hero?
context: and he naps with me and snacks with me!\He pets me and he holds me.\Him being a hero's totally irrelevant.\This is the knights' training grounds.\Hello!\Captain, Heroes, join us if you like.\Okay!\Shall we have a match then, Hero? response:	Fine by me!
context: He pets me and he holds me.\Him being a hero's totally irrelevant.\This is the knights' training grounds.\Hello!\Captain, Heroes, join us if you like.\Okay!\Shall we have a match then, Hero?\Fine by me! response:	I trained while you were gone, too.
context: Him being a hero's totally irrelevant.\This is the knights' training grounds.\Hello!\Captain, Heroes, join us if you like.\Okay!\Shall we have a match then, Hero?\Fine by me!\I trained while you were gone, too. response:	Looks like Eclair-chan's does the extreme catch, too.
context: This is the knights' training grounds.\Hello!\Captain, Heroes, join us if you like.\Okay!\Shall we have a match then, Hero?\Fine by me!\I trained while you were gone, too.\Looks like Eclair-chan's does the extreme catch, too. response:	It's all because of the hero.
context: Hello!\Captain, Heroes, join us if you like.\Okay!\Shall we have a match then, Hero?\Fine by me!\I trained while you were gone, too.\Looks like Eclair-chan's does the extreme catch, too.\It's all because of the hero. response:	See if you can handle my newly leveled sword skill!
context: Captain, Heroes, join us if you like.\Okay!\Shall we have a match then, Hero?\Fine by me!\I trained while you were gone, too.\Looks like Eclair-chan's does the extreme catch, too.\It's all because of the hero.\See if you can handle my newly leveled sword skill! response:	Take this, Hero!
context: Okay!\Shall we have a match then, Hero?\Fine by me!\I trained while you were gone, too.\Looks like Eclair-chan's does the extreme catch, too.\It's all because of the hero.\See if you can handle my newly leveled sword skill!\Take this, Hero! response:	Thank you.
context: Shall we have a match then, Hero?\Fine by me!\I trained while you were gone, too.\Looks like Eclair-chan's does the extreme catch, too.\It's all because of the hero.\See if you can handle my newly leveled sword skill!\Take this, Hero!\Thank you. response:	Didn't Sink used to wear
context: Fine by me!\I trained while you were gone, too.\Looks like Eclair-chan's does the extreme catch, too.\It's all because of the hero.\See if you can handle my newly leveled sword skill!\Take this, Hero!\Thank you.\Didn't Sink used to wear response:	the wristband that Eclair-chan's wearing now?
context: I trained while you were gone, too.\Looks like Eclair-chan's does the extreme catch, too.\It's all because of the hero.\See if you can handle my newly leveled sword skill!\Take this, Hero!\Thank you.\Didn't Sink used to wear\the wristband that Eclair-chan's wearing now? response:	Yup,
context: Looks like Eclair-chan's does the extreme catch, too.\It's all because of the hero.\See if you can handle my newly leveled sword skill!\Take this, Hero!\Thank you.\Didn't Sink used to wear\the wristband that Eclair-chan's wearing now?\Yup, response:	that was Sink's favorite.
