context: It's been a long time, kid. response:	I'm taking Hana back.
context: Estimated mass: 1,200 kilograms.\Impact energy: 96 megajoules.\That's enough energy to penetrate the debris bumper!\Akari?\A large piece of debris is heading for us.\Debris?\Just get Hana back as soon as possible.\Otherwise, I won't know what Pitz is saying! response:	What's going on with Pitz?
context: Impact energy: 96 megajoules.\That's enough energy to penetrate the debris bumper!\Akari?\A large piece of debris is heading for us.\Debris?\Just get Hana back as soon as possible.\Otherwise, I won't know what Pitz is saying!\What's going on with Pitz? response:	Just before we found the debris, Pitz started freaking out.
context: That's enough energy to penetrate the debris bumper!\Akari?\A large piece of debris is heading for us.\Debris?\Just get Hana back as soon as possible.\Otherwise, I won't know what Pitz is saying!\What's going on with Pitz?\Just before we found the debris, Pitz started freaking out. response:	Because Hana was kidnapped?
context: Akari?\A large piece of debris is heading for us.\Debris?\Just get Hana back as soon as possible.\Otherwise, I won't know what Pitz is saying!\What's going on with Pitz?\Just before we found the debris, Pitz started freaking out.\Because Hana was kidnapped? response:	No, this is just my intuition as a magical girl,
context: A large piece of debris is heading for us.\Debris?\Just get Hana back as soon as possible.\Otherwise, I won't know what Pitz is saying!\What's going on with Pitz?\Just before we found the debris, Pitz started freaking out.\Because Hana was kidnapped?\No, this is just my intuition as a magical girl, response:	but something else is going on here.
context: Debris?\Just get Hana back as soon as possible.\Otherwise, I won't know what Pitz is saying!\What's going on with Pitz?\Just before we found the debris, Pitz started freaking out.\Because Hana was kidnapped?\No, this is just my intuition as a magical girl,\but something else is going on here. response:	I'll handle the debris.
context: Just get Hana back as soon as possible.\Otherwise, I won't know what Pitz is saying!\What's going on with Pitz?\Just before we found the debris, Pitz started freaking out.\Because Hana was kidnapped?\No, this is just my intuition as a magical girl,\but something else is going on here.\I'll handle the debris. response:	You follow Hirosue.
context: Otherwise, I won't know what Pitz is saying!\What's going on with Pitz?\Just before we found the debris, Pitz started freaking out.\Because Hana was kidnapped?\No, this is just my intuition as a magical girl,\but something else is going on here.\I'll handle the debris.\You follow Hirosue. response:	Roger.
context: What's going on with Pitz?\Just before we found the debris, Pitz started freaking out.\Because Hana was kidnapped?\No, this is just my intuition as a magical girl,\but something else is going on here.\I'll handle the debris.\You follow Hirosue.\Roger. response:	I'm counting on you, Daichi.
context: Just before we found the debris, Pitz started freaking out.\Because Hana was kidnapped?\No, this is just my intuition as a magical girl,\but something else is going on here.\I'll handle the debris.\You follow Hirosue.\Roger.\I'm counting on you, Daichi. response:	Roger.
context: Because Hana was kidnapped?\No, this is just my intuition as a magical girl,\but something else is going on here.\I'll handle the debris.\You follow Hirosue.\Roger.\I'm counting on you, Daichi.\Roger. response:	Governor, Teppei is headed for the Nebula Engine.
context: No, this is just my intuition as a magical girl,\but something else is going on here.\I'll handle the debris.\You follow Hirosue.\Roger.\I'm counting on you, Daichi.\Roger.\Governor, Teppei is headed for the Nebula Engine. response:	Have him launch as soon as he's ready!
context: but something else is going on here.\I'll handle the debris.\You follow Hirosue.\Roger.\I'm counting on you, Daichi.\Roger.\Governor, Teppei is headed for the Nebula Engine.\Have him launch as soon as he's ready! response:	Roger.
context: I'll handle the debris.\You follow Hirosue.\Roger.\I'm counting on you, Daichi.\Roger.\Governor, Teppei is headed for the Nebula Engine.\Have him launch as soon as he's ready!\Roger. response:	Target sighted.
context: You follow Hirosue.\Roger.\I'm counting on you, Daichi.\Roger.\Governor, Teppei is headed for the Nebula Engine.\Have him launch as soon as he's ready!\Roger.\Target sighted. response:	I'll destroy it now.
context: Roger.\I'm counting on you, Daichi.\Roger.\Governor, Teppei is headed for the Nebula Engine.\Have him launch as soon as he's ready!\Roger.\Target sighted.\I'll destroy it now. response:	The target has vanished.
context: I'm counting on you, Daichi.\Roger.\Governor, Teppei is headed for the Nebula Engine.\Have him launch as soon as he's ready!\Roger.\Target sighted.\I'll destroy it now.\The target has vanished. response:	No, there's more.
context: Roger.\Governor, Teppei is headed for the Nebula Engine.\Have him launch as soon as he's ready!\Roger.\Target sighted.\I'll destroy it now.\The target has vanished.\No, there's more. response:	A new meteoroid is incoming.
context: Governor, Teppei is headed for the Nebula Engine.\Have him launch as soon as he's ready!\Roger.\Target sighted.\I'll destroy it now.\The target has vanished.\No, there's more.\A new meteoroid is incoming. response:	Bearing: 927.
context: Have him launch as soon as he's ready!\Roger.\Target sighted.\I'll destroy it now.\The target has vanished.\No, there's more.\A new meteoroid is incoming.\Bearing: 927. response:	Relative distance: 350,000.
context: Roger.\Target sighted.\I'll destroy it now.\The target has vanished.\No, there's more.\A new meteoroid is incoming.\Bearing: 927.\Relative distance: 350,000. response:	Relative speed: 420.
context: Target sighted.\I'll destroy it now.\The target has vanished.\No, there's more.\A new meteoroid is incoming.\Bearing: 927.\Relative distance: 350,000.\Relative speed: 420. response:	Impact in 833 seconds.
context: I'll destroy it now.\The target has vanished.\No, there's more.\A new meteoroid is incoming.\Bearing: 927.\Relative distance: 350,000.\Relative speed: 420.\Impact in 833 seconds. response:	There's no record of this debris in the catalog.
context: The target has vanished.\No, there's more.\A new meteoroid is incoming.\Bearing: 927.\Relative distance: 350,000.\Relative speed: 420.\Impact in 833 seconds.\There's no record of this debris in the catalog. response:	Estimated mass: 2,800 kilograms.
context: No, there's more.\A new meteoroid is incoming.\Bearing: 927.\Relative distance: 350,000.\Relative speed: 420.\Impact in 833 seconds.\There's no record of this debris in the catalog.\Estimated mass: 2,800 kilograms. response:	There's no way we couldn't detect the orbit of debris this size...
context: A new meteoroid is incoming.\Bearing: 927.\Relative distance: 350,000.\Relative speed: 420.\Impact in 833 seconds.\There's no record of this debris in the catalog.\Estimated mass: 2,800 kilograms.\There's no way we couldn't detect the orbit of debris this size... response:	Footage incoming.
context: Bearing: 927.\Relative distance: 350,000.\Relative speed: 420.\Impact in 833 seconds.\There's no record of this debris in the catalog.\Estimated mass: 2,800 kilograms.\There's no way we couldn't detect the orbit of debris this size...\Footage incoming. response:	I'll destroy it.
context: Relative distance: 350,000.\Relative speed: 420.\Impact in 833 seconds.\There's no record of this debris in the catalog.\Estimated mass: 2,800 kilograms.\There's no way we couldn't detect the orbit of debris this size...\Footage incoming.\I'll destroy it. response:	The target has vanished.
context: Relative speed: 420.\Impact in 833 seconds.\There's no record of this debris in the catalog.\Estimated mass: 2,800 kilograms.\There's no way we couldn't detect the orbit of debris this size...\Footage incoming.\I'll destroy it.\The target has vanished. response:	A second one?
context: Impact in 833 seconds.\There's no record of this debris in the catalog.\Estimated mass: 2,800 kilograms.\There's no way we couldn't detect the orbit of debris this size...\Footage incoming.\I'll destroy it.\The target has vanished.\A second one? response:	Oh, did my test attract too much attention?
context: There's no record of this debris in the catalog.\Estimated mass: 2,800 kilograms.\There's no way we couldn't detect the orbit of debris this size...\Footage incoming.\I'll destroy it.\The target has vanished.\A second one?\Oh, did my test attract too much attention? response:	But... But...
context: Estimated mass: 2,800 kilograms.\There's no way we couldn't detect the orbit of debris this size...\Footage incoming.\I'll destroy it.\The target has vanished.\A second one?\Oh, did my test attract too much attention?\But... But... response:	There's lots of debris in orbit!
context: There's no way we couldn't detect the orbit of debris this size...\Footage incoming.\I'll destroy it.\The target has vanished.\A second one?\Oh, did my test attract too much attention?\But... But...\There's lots of debris in orbit! response:	I have all kinds of toys ready to give as gifts my fans!
context: Footage incoming.\I'll destroy it.\The target has vanished.\A second one?\Oh, did my test attract too much attention?\But... But...\There's lots of debris in orbit!\I have all kinds of toys ready to give as gifts my fans! response:	Violent...
context: I'll destroy it.\The target has vanished.\A second one?\Oh, did my test attract too much attention?\But... But...\There's lots of debris in orbit!\I have all kinds of toys ready to give as gifts my fans!\Violent... response:	Attacking...
context: The target has vanished.\A second one?\Oh, did my test attract too much attention?\But... But...\There's lots of debris in orbit!\I have all kinds of toys ready to give as gifts my fans!\Violent...\Attacking... response:	Ticket to hell!
context: A second one?\Oh, did my test attract too much attention?\But... But...\There's lots of debris in orbit!\I have all kinds of toys ready to give as gifts my fans!\Violent...\Attacking...\Ticket to hell! response:	More debris incoming.
context: Oh, did my test attract too much attention?\But... But...\There's lots of debris in orbit!\I have all kinds of toys ready to give as gifts my fans!\Violent...\Attacking...\Ticket to hell!\More debris incoming. response:	Thirty-five in total.
context: But... But...\There's lots of debris in orbit!\I have all kinds of toys ready to give as gifts my fans!\Violent...\Attacking...\Ticket to hell!\More debris incoming.\Thirty-five in total. response:	Thirty-six.
context: There's lots of debris in orbit!\I have all kinds of toys ready to give as gifts my fans!\Violent...\Attacking...\Ticket to hell!\More debris incoming.\Thirty-five in total.\Thirty-six. response:	There's still more!
context: I have all kinds of toys ready to give as gifts my fans!\Violent...\Attacking...\Ticket to hell!\More debris incoming.\Thirty-five in total.\Thirty-six.\There's still more! response:	What?
context: Violent...\Attacking...\Ticket to hell!\More debris incoming.\Thirty-five in total.\Thirty-six.\There's still more!\What? response:	What's going on?
context: Attacking...\Ticket to hell!\More debris incoming.\Thirty-five in total.\Thirty-six.\There's still more!\What?\What's going on? response:	Relative distance: 320,000.
context: Ticket to hell!\More debris incoming.\Thirty-five in total.\Thirty-six.\There's still more!\What?\What's going on?\Relative distance: 320,000. response:	Relative speed: 420.
context: More debris incoming.\Thirty-five in total.\Thirty-six.\There's still more!\What?\What's going on?\Relative distance: 320,000.\Relative speed: 420. response:	Impact in 780 seconds.
context: Thirty-five in total.\Thirty-six.\There's still more!\What?\What's going on?\Relative distance: 320,000.\Relative speed: 420.\Impact in 780 seconds. response:	I'll destroy them.
context: Thirty-six.\There's still more!\What?\What's going on?\Relative distance: 320,000.\Relative speed: 420.\Impact in 780 seconds.\I'll destroy them. response:	Not bad...
context: There's still more!\What?\What's going on?\Relative distance: 320,000.\Relative speed: 420.\Impact in 780 seconds.\I'll destroy them.\Not bad... response:	But how about this?
context: What?\What's going on?\Relative distance: 320,000.\Relative speed: 420.\Impact in 780 seconds.\I'll destroy them.\Not bad...\But how about this? response:	They dodged?
context: What's going on?\Relative distance: 320,000.\Relative speed: 420.\Impact in 780 seconds.\I'll destroy them.\Not bad...\But how about this?\They dodged? response:	No!
context: Relative distance: 320,000.\Relative speed: 420.\Impact in 780 seconds.\I'll destroy them.\Not bad...\But how about this?\They dodged?\No! response:	This is the Nebula.
context: Relative speed: 420.\Impact in 780 seconds.\I'll destroy them.\Not bad...\But how about this?\They dodged?\No!\This is the Nebula. response:	Some of the debris is heading your way!
context: Impact in 780 seconds.\I'll destroy them.\Not bad...\But how about this?\They dodged?\No!\This is the Nebula.\Some of the debris is heading your way! response:	Tenkaidou, can you hear me?
context: I'll destroy them.\Not bad...\But how about this?\They dodged?\No!\This is the Nebula.\Some of the debris is heading your way!\Tenkaidou, can you hear me? response:	Propulsion, communication, and ejection systems are all down...
context: Not bad...\But how about this?\They dodged?\No!\This is the Nebula.\Some of the debris is heading your way!\Tenkaidou, can you hear me?\Propulsion, communication, and ejection systems are all down... response:	The Nebula Engine has been hit.
context: But how about this?\They dodged?\No!\This is the Nebula.\Some of the debris is heading your way!\Tenkaidou, can you hear me?\Propulsion, communication, and ejection systems are all down...\The Nebula Engine has been hit. response:	The debris has passed the Nebula, and is heading for the Tenkaidou.
context: They dodged?\No!\This is the Nebula.\Some of the debris is heading your way!\Tenkaidou, can you hear me?\Propulsion, communication, and ejection systems are all down...\The Nebula Engine has been hit.\The debris has passed the Nebula, and is heading for the Tenkaidou. response:	More debris!
context: No!\This is the Nebula.\Some of the debris is heading your way!\Tenkaidou, can you hear me?\Propulsion, communication, and ejection systems are all down...\The Nebula Engine has been hit.\The debris has passed the Nebula, and is heading for the Tenkaidou.\More debris! response:	Are you okay, Teppei?
context: This is the Nebula.\Some of the debris is heading your way!\Tenkaidou, can you hear me?\Propulsion, communication, and ejection systems are all down...\The Nebula Engine has been hit.\The debris has passed the Nebula, and is heading for the Tenkaidou.\More debris!\Are you okay, Teppei? response:	Teppei?
context: Some of the debris is heading your way!\Tenkaidou, can you hear me?\Propulsion, communication, and ejection systems are all down...\The Nebula Engine has been hit.\The debris has passed the Nebula, and is heading for the Tenkaidou.\More debris!\Are you okay, Teppei?\Teppei? response:	The communication system is offline?
context: Tenkaidou, can you hear me?\Propulsion, communication, and ejection systems are all down...\The Nebula Engine has been hit.\The debris has passed the Nebula, and is heading for the Tenkaidou.\More debris!\Are you okay, Teppei?\Teppei?\The communication system is offline? response:	Captain, come in!
context: Propulsion, communication, and ejection systems are all down...\The Nebula Engine has been hit.\The debris has passed the Nebula, and is heading for the Tenkaidou.\More debris!\Are you okay, Teppei?\Teppei?\The communication system is offline?\Captain, come in! response:	This is Manatsu.
context: The Nebula Engine has been hit.\The debris has passed the Nebula, and is heading for the Tenkaidou.\More debris!\Are you okay, Teppei?\Teppei?\The communication system is offline?\Captain, come in!\This is Manatsu. response:	The Nebula has been damaged and knocked out of commission.
context: The debris has passed the Nebula, and is heading for the Tenkaidou.\More debris!\Are you okay, Teppei?\Teppei?\The communication system is offline?\Captain, come in!\This is Manatsu.\The Nebula has been damaged and knocked out of commission. response:	Teppei?
context: More debris!\Are you okay, Teppei?\Teppei?\The communication system is offline?\Captain, come in!\This is Manatsu.\The Nebula has been damaged and knocked out of commission.\Teppei? response:	The debris is on course for the Tenkaidou!
context: Are you okay, Teppei?\Teppei?\The communication system is offline?\Captain, come in!\This is Manatsu.\The Nebula has been damaged and knocked out of commission.\Teppei?\The debris is on course for the Tenkaidou! response:	Head out in the Earth.
context: Teppei?\The communication system is offline?\Captain, come in!\This is Manatsu.\The Nebula has been damaged and knocked out of commission.\Teppei?\The debris is on course for the Tenkaidou!\Head out in the Earth. response:	But Hana...
context: The communication system is offline?\Captain, come in!\This is Manatsu.\The Nebula has been damaged and knocked out of commission.\Teppei?\The debris is on course for the Tenkaidou!\Head out in the Earth.\But Hana... response:	At this rate, the Tenkaidou itself is in danger.
context: Captain, come in!\This is Manatsu.\The Nebula has been damaged and knocked out of commission.\Teppei?\The debris is on course for the Tenkaidou!\Head out in the Earth.\But Hana...\At this rate, the Tenkaidou itself is in danger. response:	Understood.
context: This is Manatsu.\The Nebula has been damaged and knocked out of commission.\Teppei?\The debris is on course for the Tenkaidou!\Head out in the Earth.\But Hana...\At this rate, the Tenkaidou itself is in danger.\Understood. response:	Even more debris has appeared.
context: The Nebula has been damaged and knocked out of commission.\Teppei?\The debris is on course for the Tenkaidou!\Head out in the Earth.\But Hana...\At this rate, the Tenkaidou itself is in danger.\Understood.\Even more debris has appeared. response:	What is Pitz saying?
context: Teppei?\The debris is on course for the Tenkaidou!\Head out in the Earth.\But Hana...\At this rate, the Tenkaidou itself is in danger.\Understood.\Even more debris has appeared.\What is Pitz saying? response:	Forty-seven... Forty-eight... Forty-nine...
context: The debris is on course for the Tenkaidou!\Head out in the Earth.\But Hana...\At this rate, the Tenkaidou itself is in danger.\Understood.\Even more debris has appeared.\What is Pitz saying?\Forty-seven... Forty-eight... Forty-nine... response:	It keeps coming!
context: Head out in the Earth.\But Hana...\At this rate, the Tenkaidou itself is in danger.\Understood.\Even more debris has appeared.\What is Pitz saying?\Forty-seven... Forty-eight... Forty-nine...\It keeps coming! response:	It can't be!
context: But Hana...\At this rate, the Tenkaidou itself is in danger.\Understood.\Even more debris has appeared.\What is Pitz saying?\Forty-seven... Forty-eight... Forty-nine...\It keeps coming!\It can't be! response:	Bingo!
context: At this rate, the Tenkaidou itself is in danger.\Understood.\Even more debris has appeared.\What is Pitz saying?\Forty-seven... Forty-eight... Forty-nine...\It keeps coming!\It can't be!\Bingo! response:	MM bus signal detected.
context: Understood.\Even more debris has appeared.\What is Pitz saying?\Forty-seven... Forty-eight... Forty-nine...\It keeps coming!\It can't be!\Bingo!\MM bus signal detected. response:	Epicenter identified.
context: Even more debris has appeared.\What is Pitz saying?\Forty-seven... Forty-eight... Forty-nine...\It keeps coming!\It can't be!\Bingo!\MM bus signal detected.\Epicenter identified. response:	It's...
context: What is Pitz saying?\Forty-seven... Forty-eight... Forty-nine...\It keeps coming!\It can't be!\Bingo!\MM bus signal detected.\Epicenter identified.\It's... response:	Inside the transport ship Nipper?
context: Forty-seven... Forty-eight... Forty-nine...\It keeps coming!\It can't be!\Bingo!\MM bus signal detected.\Epicenter identified.\It's...\Inside the transport ship Nipper? response:	Security Team 64, get to space port Nipper.
context: It keeps coming!\It can't be!\Bingo!\MM bus signal detected.\Epicenter identified.\It's...\Inside the transport ship Nipper?\Security Team 64, get to space port Nipper. response:	There's no end to them.
context: It can't be!\Bingo!\MM bus signal detected.\Epicenter identified.\It's...\Inside the transport ship Nipper?\Security Team 64, get to space port Nipper.\There's no end to them. response:	Governor, there's even more debris coming.
context: Bingo!\MM bus signal detected.\Epicenter identified.\It's...\Inside the transport ship Nipper?\Security Team 64, get to space port Nipper.\There's no end to them.\Governor, there's even more debris coming. response:	Of all the times for this to happen...
context: MM bus signal detected.\Epicenter identified.\It's...\Inside the transport ship Nipper?\Security Team 64, get to space port Nipper.\There's no end to them.\Governor, there's even more debris coming.\Of all the times for this to happen... response:	What's going on?
context: Epicenter identified.\It's...\Inside the transport ship Nipper?\Security Team 64, get to space port Nipper.\There's no end to them.\Governor, there's even more debris coming.\Of all the times for this to happen...\What's going on? response:	The main event's just starting.
context: It's...\Inside the transport ship Nipper?\Security Team 64, get to space port Nipper.\There's no end to them.\Governor, there's even more debris coming.\Of all the times for this to happen...\What's going on?\The main event's just starting. response:	Over five hundred pieces of debris incoming.
context: Inside the transport ship Nipper?\Security Team 64, get to space port Nipper.\There's no end to them.\Governor, there's even more debris coming.\Of all the times for this to happen...\What's going on?\The main event's just starting.\Over five hundred pieces of debris incoming. response:	They're coming in at relative speed: 620.
context: Security Team 64, get to space port Nipper.\There's no end to them.\Governor, there's even more debris coming.\Of all the times for this to happen...\What's going on?\The main event's just starting.\Over five hundred pieces of debris incoming.\They're coming in at relative speed: 620. response:	We can't stop them all...
context: There's no end to them.\Governor, there's even more debris coming.\Of all the times for this to happen...\What's going on?\The main event's just starting.\Over five hundred pieces of debris incoming.\They're coming in at relative speed: 620.\We can't stop them all... response:	Captain, we'll use the boosted plasmagnum.
context: Governor, there's even more debris coming.\Of all the times for this to happen...\What's going on?\The main event's just starting.\Over five hundred pieces of debris incoming.\They're coming in at relative speed: 620.\We can't stop them all...\Captain, we'll use the boosted plasmagnum. response:	But we haven't even tested it!
context: Of all the times for this to happen...\What's going on?\The main event's just starting.\Over five hundred pieces of debris incoming.\They're coming in at relative speed: 620.\We can't stop them all...\Captain, we'll use the boosted plasmagnum.\But we haven't even tested it! response:	There's no other way to survive this.
context: What's going on?\The main event's just starting.\Over five hundred pieces of debris incoming.\They're coming in at relative speed: 620.\We can't stop them all...\Captain, we'll use the boosted plasmagnum.\But we haven't even tested it!\There's no other way to survive this. response:	You can do it, right?
context: The main event's just starting.\Over five hundred pieces of debris incoming.\They're coming in at relative speed: 620.\We can't stop them all...\Captain, we'll use the boosted plasmagnum.\But we haven't even tested it!\There's no other way to survive this.\You can do it, right? response:	Understood.
context: Over five hundred pieces of debris incoming.\They're coming in at relative speed: 620.\We can't stop them all...\Captain, we'll use the boosted plasmagnum.\But we haven't even tested it!\There's no other way to survive this.\You can do it, right?\Understood. response:	Boosted plasmagnum, stand by!
context: They're coming in at relative speed: 620.\We can't stop them all...\Captain, we'll use the boosted plasmagnum.\But we haven't even tested it!\There's no other way to survive this.\You can do it, right?\Understood.\Boosted plasmagnum, stand by! response:	Boosted plasmagnum, scramble!
context: We can't stop them all...\Captain, we'll use the boosted plasmagnum.\But we haven't even tested it!\There's no other way to survive this.\You can do it, right?\Understood.\Boosted plasmagnum, stand by!\Boosted plasmagnum, scramble! response:	The Marine Gate...
context: Captain, we'll use the boosted plasmagnum.\But we haven't even tested it!\There's no other way to survive this.\You can do it, right?\Understood.\Boosted plasmagnum, stand by!\Boosted plasmagnum, scramble!\The Marine Gate... response:	Target confirmed.
context: But we haven't even tested it!\There's no other way to survive this.\You can do it, right?\Understood.\Boosted plasmagnum, stand by!\Boosted plasmagnum, scramble!\The Marine Gate...\Target confirmed. response:	Boosted plasmagnum, ready to go.
context: There's no other way to survive this.\You can do it, right?\Understood.\Boosted plasmagnum, stand by!\Boosted plasmagnum, scramble!\The Marine Gate...\Target confirmed.\Boosted plasmagnum, ready to go. response:	Wait, Captain...
context: You can do it, right?\Understood.\Boosted plasmagnum, stand by!\Boosted plasmagnum, scramble!\The Marine Gate...\Target confirmed.\Boosted plasmagnum, ready to go.\Wait, Captain... response:	We need to get the Nebula out of there, or Teppei-kun will...
context: Understood.\Boosted plasmagnum, stand by!\Boosted plasmagnum, scramble!\The Marine Gate...\Target confirmed.\Boosted plasmagnum, ready to go.\Wait, Captain...\We need to get the Nebula out of there, or Teppei-kun will... response:	The Nebula can't move.
context: Boosted plasmagnum, stand by!\Boosted plasmagnum, scramble!\The Marine Gate...\Target confirmed.\Boosted plasmagnum, ready to go.\Wait, Captain...\We need to get the Nebula out of there, or Teppei-kun will...\The Nebula can't move. response:	Its propulsion system has been destroyed, and we can't contact it.
context: Boosted plasmagnum, scramble!\The Marine Gate...\Target confirmed.\Boosted plasmagnum, ready to go.\Wait, Captain...\We need to get the Nebula out of there, or Teppei-kun will...\The Nebula can't move.\Its propulsion system has been destroyed, and we can't contact it. response:	The ejection system is probably damaged, too.
context: The Marine Gate...\Target confirmed.\Boosted plasmagnum, ready to go.\Wait, Captain...\We need to get the Nebula out of there, or Teppei-kun will...\The Nebula can't move.\Its propulsion system has been destroyed, and we can't contact it.\The ejection system is probably damaged, too. response:	But...
context: Target confirmed.\Boosted plasmagnum, ready to go.\Wait, Captain...\We need to get the Nebula out of there, or Teppei-kun will...\The Nebula can't move.\Its propulsion system has been destroyed, and we can't contact it.\The ejection system is probably damaged, too.\But... response:	If we don't fire now, it's over.
context: Boosted plasmagnum, ready to go.\Wait, Captain...\We need to get the Nebula out of there, or Teppei-kun will...\The Nebula can't move.\Its propulsion system has been destroyed, and we can't contact it.\The ejection system is probably damaged, too.\But...\If we don't fire now, it's over. response:	It's impossible!
context: Wait, Captain...\We need to get the Nebula out of there, or Teppei-kun will...\The Nebula can't move.\Its propulsion system has been destroyed, and we can't contact it.\The ejection system is probably damaged, too.\But...\If we don't fire now, it's over.\It's impossible! response:	He can't do it!
context: We need to get the Nebula out of there, or Teppei-kun will...\The Nebula can't move.\Its propulsion system has been destroyed, and we can't contact it.\The ejection system is probably damaged, too.\But...\If we don't fire now, it's over.\It's impossible!\He can't do it! response:	You go to the Blume,
context: The Nebula can't move.\Its propulsion system has been destroyed, and we can't contact it.\The ejection system is probably damaged, too.\But...\If we don't fire now, it's over.\It's impossible!\He can't do it!\You go to the Blume, response:	and promise me you'll save humanity's chosen ones.
context: Its propulsion system has been destroyed, and we can't contact it.\The ejection system is probably damaged, too.\But...\If we don't fire now, it's over.\It's impossible!\He can't do it!\You go to the Blume,\and promise me you'll save humanity's chosen ones. response:	Hey!
context: The ejection system is probably damaged, too.\But...\If we don't fire now, it's over.\It's impossible!\He can't do it!\You go to the Blume,\and promise me you'll save humanity's chosen ones.\Hey! response:	Wake up!
context: But...\If we don't fire now, it's over.\It's impossible!\He can't do it!\You go to the Blume,\and promise me you'll save humanity's chosen ones.\Hey!\Wake up! response:	Only those with the necessary resolve can save humanity!
context: If we don't fire now, it's over.\It's impossible!\He can't do it!\You go to the Blume,\and promise me you'll save humanity's chosen ones.\Hey!\Wake up!\Only those with the necessary resolve can save humanity! response:	You understand, don't you, Captain?
context: It's impossible!\He can't do it!\You go to the Blume,\and promise me you'll save humanity's chosen ones.\Hey!\Wake up!\Only those with the necessary resolve can save humanity!\You understand, don't you, Captain? response:	Don't hesitate!
context: He can't do it!\You go to the Blume,\and promise me you'll save humanity's chosen ones.\Hey!\Wake up!\Only those with the necessary resolve can save humanity!\You understand, don't you, Captain?\Don't hesitate! response:	Fire!
context: You go to the Blume,\and promise me you'll save humanity's chosen ones.\Hey!\Wake up!\Only those with the necessary resolve can save humanity!\You understand, don't you, Captain?\Don't hesitate!\Fire! response:	He fired.
context: and promise me you'll save humanity's chosen ones.\Hey!\Wake up!\Only those with the necessary resolve can save humanity!\You understand, don't you, Captain?\Don't hesitate!\Fire!\He fired. response:	An amazing amount of energy...
context: Hey!\Wake up!\Only those with the necessary resolve can save humanity!\You understand, don't you, Captain?\Don't hesitate!\Fire!\He fired.\An amazing amount of energy... response:	Is this that boy's power?
context: Wake up!\Only those with the necessary resolve can save humanity!\You understand, don't you, Captain?\Don't hesitate!\Fire!\He fired.\An amazing amount of energy...\Is this that boy's power? response:	It may be just as King said.
context: Only those with the necessary resolve can save humanity!\You understand, don't you, Captain?\Don't hesitate!\Fire!\He fired.\An amazing amount of energy...\Is this that boy's power?\It may be just as King said. response:	Indeed.
context: You understand, don't you, Captain?\Don't hesitate!\Fire!\He fired.\An amazing amount of energy...\Is this that boy's power?\It may be just as King said.\Indeed. response:	We can entrust our hopes to that team.
context: Don't hesitate!\Fire!\He fired.\An amazing amount of energy...\Is this that boy's power?\It may be just as King said.\Indeed.\We can entrust our hopes to that team. response:	All objects in the firing radius have been annihilated...
context: Fire!\He fired.\An amazing amount of energy...\Is this that boy's power?\It may be just as King said.\Indeed.\We can entrust our hopes to that team.\All objects in the firing radius have been annihilated... response:	Teppei-kun...
context: He fired.\An amazing amount of energy...\Is this that boy's power?\It may be just as King said.\Indeed.\We can entrust our hopes to that team.\All objects in the firing radius have been annihilated...\Teppei-kun... response:	What is this?
context: An amazing amount of energy...\Is this that boy's power?\It may be just as King said.\Indeed.\We can entrust our hopes to that team.\All objects in the firing radius have been annihilated...\Teppei-kun...\What is this? response:	There's a signal where the Nebula was destroyed.
context: Is this that boy's power?\It may be just as King said.\Indeed.\We can entrust our hopes to that team.\All objects in the firing radius have been annihilated...\Teppei-kun...\What is this?\There's a signal where the Nebula was destroyed. response:	Is this...
context: It may be just as King said.\Indeed.\We can entrust our hopes to that team.\All objects in the firing radius have been annihilated...\Teppei-kun...\What is this?\There's a signal where the Nebula was destroyed.\Is this... response:	The Nebula Engine?
context: Indeed.\We can entrust our hopes to that team.\All objects in the firing radius have been annihilated...\Teppei-kun...\What is this?\There's a signal where the Nebula was destroyed.\Is this...\The Nebula Engine? response:	Teppei...
context: We can entrust our hopes to that team.\All objects in the firing radius have been annihilated...\Teppei-kun...\What is this?\There's a signal where the Nebula was destroyed.\Is this...\The Nebula Engine?\Teppei... response:	I'm alive?
context: All objects in the firing radius have been annihilated...\Teppei-kun...\What is this?\There's a signal where the Nebula was destroyed.\Is this...\The Nebula Engine?\Teppei...\I'm alive? response:	DC?
context: Teppei-kun...\What is this?\There's a signal where the Nebula was destroyed.\Is this...\The Nebula Engine?\Teppei...\I'm alive?\DC? response:	What is that machine?
context: What is this?\There's a signal where the Nebula was destroyed.\Is this...\The Nebula Engine?\Teppei...\I'm alive?\DC?\What is that machine? response:	What is that Orgone energy light?
context: There's a signal where the Nebula was destroyed.\Is this...\The Nebula Engine?\Teppei...\I'm alive?\DC?\What is that machine?\What is that Orgone energy light? response:	This is Matsui, with Security Team 64.
context: Is this...\The Nebula Engine?\Teppei...\I'm alive?\DC?\What is that machine?\What is that Orgone energy light?\This is Matsui, with Security Team 64. response:	We've found a suspicious object in the Nipper cargo room.
context: The Nebula Engine?\Teppei...\I'm alive?\DC?\What is that machine?\What is that Orgone energy light?\This is Matsui, with Security Team 64.\We've found a suspicious object in the Nipper cargo room. response:	A Machine Goodfellow?
context: Teppei...\I'm alive?\DC?\What is that machine?\What is that Orgone energy light?\This is Matsui, with Security Team 64.\We've found a suspicious object in the Nipper cargo room.\A Machine Goodfellow? response:	And it's active!
