context: A raid is a large-scale battle response:	with many adventurers, instead of the usual party of six.
context: No, not once.\I can't explain it to someone who doesn't understand.\When you die, you learn a lot...\That you suck, that you're petty, that you're lame.\If you die a hundred times, you learn that a hundred times.\It gets too painful to continue.\I'm amazed you had the guts to show yourself again here,\Shiroe the enchanter. response:	Demikas Race/ Human Monk, Lv. 93 Brigandia Guild Master
context: I can't explain it to someone who doesn't understand.\When you die, you learn a lot...\That you suck, that you're petty, that you're lame.\If you die a hundred times, you learn that a hundred times.\It gets too painful to continue.\I'm amazed you had the guts to show yourself again here,\Shiroe the enchanter.\Demikas Race/ Human Monk, Lv. 93 Brigandia Guild Master response:	Will it be that easy to find companions?
context: When you die, you learn a lot...\That you suck, that you're petty, that you're lame.\If you die a hundred times, you learn that a hundred times.\It gets too painful to continue.\I'm amazed you had the guts to show yourself again here,\Shiroe the enchanter.\Demikas Race/ Human Monk, Lv. 93 Brigandia Guild Master\Will it be that easy to find companions? response:	It'll be up to Shiro's negotiating abilities,
context: That you suck, that you're petty, that you're lame.\If you die a hundred times, you learn that a hundred times.\It gets too painful to continue.\I'm amazed you had the guts to show yourself again here,\Shiroe the enchanter.\Demikas Race/ Human Monk, Lv. 93 Brigandia Guild Master\Will it be that easy to find companions?\It'll be up to Shiro's negotiating abilities, response:	but I'd like to find some backup candidates ourselves.
context: If you die a hundred times, you learn that a hundred times.\It gets too painful to continue.\I'm amazed you had the guts to show yourself again here,\Shiroe the enchanter.\Demikas Race/ Human Monk, Lv. 93 Brigandia Guild Master\Will it be that easy to find companions?\It'll be up to Shiro's negotiating abilities,\but I'd like to find some backup candidates ourselves. response:	What criteria do you use?
context: It gets too painful to continue.\I'm amazed you had the guts to show yourself again here,\Shiroe the enchanter.\Demikas Race/ Human Monk, Lv. 93 Brigandia Guild Master\Will it be that easy to find companions?\It'll be up to Shiro's negotiating abilities,\but I'd like to find some backup candidates ourselves.\What criteria do you use? response:	Intuition, of course!
context: I'm amazed you had the guts to show yourself again here,\Shiroe the enchanter.\Demikas Race/ Human Monk, Lv. 93 Brigandia Guild Master\Will it be that easy to find companions?\It'll be up to Shiro's negotiating abilities,\but I'd like to find some backup candidates ourselves.\What criteria do you use?\Intuition, of course! response:	That's rather vague.
context: Shiroe the enchanter.\Demikas Race/ Human Monk, Lv. 93 Brigandia Guild Master\Will it be that easy to find companions?\It'll be up to Shiro's negotiating abilities,\but I'd like to find some backup candidates ourselves.\What criteria do you use?\Intuition, of course!\That's rather vague. response:	Maybe feeling would be a better way to put it.
context: Demikas Race/ Human Monk, Lv. 93 Brigandia Guild Master\Will it be that easy to find companions?\It'll be up to Shiro's negotiating abilities,\but I'd like to find some backup candidates ourselves.\What criteria do you use?\Intuition, of course!\That's rather vague.\Maybe feeling would be a better way to put it. response:	It's pretty important.
context: Will it be that easy to find companions?\It'll be up to Shiro's negotiating abilities,\but I'd like to find some backup candidates ourselves.\What criteria do you use?\Intuition, of course!\That's rather vague.\Maybe feeling would be a better way to put it.\It's pretty important. response:	Either way, I'll just slow you down.
context: It'll be up to Shiro's negotiating abilities,\but I'd like to find some backup candidates ourselves.\What criteria do you use?\Intuition, of course!\That's rather vague.\Maybe feeling would be a better way to put it.\It's pretty important.\Either way, I'll just slow you down. response:	You hold down the fort for a bit.
context: but I'd like to find some backup candidates ourselves.\What criteria do you use?\Intuition, of course!\That's rather vague.\Maybe feeling would be a better way to put it.\It's pretty important.\Either way, I'll just slow you down.\You hold down the fort for a bit. response:	Oh, don't worry about me.
context: What criteria do you use?\Intuition, of course!\That's rather vague.\Maybe feeling would be a better way to put it.\It's pretty important.\Either way, I'll just slow you down.\You hold down the fort for a bit.\Oh, don't worry about me. response:	This town is developing rapidly, making it a worthy subject of study.
context: Intuition, of course!\That's rather vague.\Maybe feeling would be a better way to put it.\It's pretty important.\Either way, I'll just slow you down.\You hold down the fort for a bit.\Oh, don't worry about me.\This town is developing rapidly, making it a worthy subject of study. response:	Nice panties!
context: That's rather vague.\Maybe feeling would be a better way to put it.\It's pretty important.\Either way, I'll just slow you down.\You hold down the fort for a bit.\Oh, don't worry about me.\This town is developing rapidly, making it a worthy subject of study.\Nice panties! response:	I'm forced to agree.
context: Maybe feeling would be a better way to put it.\It's pretty important.\Either way, I'll just slow you down.\You hold down the fort for a bit.\Oh, don't worry about me.\This town is developing rapidly, making it a worthy subject of study.\Nice panties!\I'm forced to agree. response:	You've got good taste.
context: It's pretty important.\Either way, I'll just slow you down.\You hold down the fort for a bit.\Oh, don't worry about me.\This town is developing rapidly, making it a worthy subject of study.\Nice panties!\I'm forced to agree.\You've got good taste. response:	Aw, you flatter me.
context: Either way, I'll just slow you down.\You hold down the fort for a bit.\Oh, don't worry about me.\This town is developing rapidly, making it a worthy subject of study.\Nice panties!\I'm forced to agree.\You've got good taste.\Aw, you flatter me. response:	But, though I'm not too familiar with adventurer customs,
context: You hold down the fort for a bit.\Oh, don't worry about me.\This town is developing rapidly, making it a worthy subject of study.\Nice panties!\I'm forced to agree.\You've got good taste.\Aw, you flatter me.\But, though I'm not too familiar with adventurer customs, response:	aren't those what they call hot pants?
context: Oh, don't worry about me.\This town is developing rapidly, making it a worthy subject of study.\Nice panties!\I'm forced to agree.\You've got good taste.\Aw, you flatter me.\But, though I'm not too familiar with adventurer customs,\aren't those what they call hot pants? response:	Do they really merit the adoration given to panties?
context: This town is developing rapidly, making it a worthy subject of study.\Nice panties!\I'm forced to agree.\You've got good taste.\Aw, you flatter me.\But, though I'm not too familiar with adventurer customs,\aren't those what they call hot pants?\Do they really merit the adoration given to panties? response:	It's fine.
context: Nice panties!\I'm forced to agree.\You've got good taste.\Aw, you flatter me.\But, though I'm not too familiar with adventurer customs,\aren't those what they call hot pants?\Do they really merit the adoration given to panties?\It's fine. response:	If that's how you see them in your heart,
context: I'm forced to agree.\You've got good taste.\Aw, you flatter me.\But, though I'm not too familiar with adventurer customs,\aren't those what they call hot pants?\Do they really merit the adoration given to panties?\It's fine.\If that's how you see them in your heart, response:	they're definitely pant
context: You've got good taste.\Aw, you flatter me.\But, though I'm not too familiar with adventurer customs,\aren't those what they call hot pants?\Do they really merit the adoration given to panties?\It's fine.\If that's how you see them in your heart,\they're definitely pant response:	Are you okay?
context: Aw, you flatter me.\But, though I'm not too familiar with adventurer customs,\aren't those what they call hot pants?\Do they really merit the adoration given to panties?\It's fine.\If that's how you see them in your heart,\they're definitely pant\Are you okay? response:	Jerk
context: But, though I'm not too familiar with adventurer customs,\aren't those what they call hot pants?\Do they really merit the adoration given to panties?\It's fine.\If that's how you see them in your heart,\they're definitely pant\Are you okay?\Jerk response:	I guess that's enough for today.
context: aren't those what they call hot pants?\Do they really merit the adoration given to panties?\It's fine.\If that's how you see them in your heart,\they're definitely pant\Are you okay?\Jerk\I guess that's enough for today. response:	I-It's a curse!
context: Do they really merit the adoration given to panties?\It's fine.\If that's how you see them in your heart,\they're definitely pant\Are you okay?\Jerk\I guess that's enough for today.\I-It's a curse! response:	It's Akatsuki's curse!
context: It's fine.\If that's how you see them in your heart,\they're definitely pant\Are you okay?\Jerk\I guess that's enough for today.\I-It's a curse!\It's Akatsuki's curse! response:	What kind of phenomenon is that?
context: If that's how you see them in your heart,\they're definitely pant\Are you okay?\Jerk\I guess that's enough for today.\I-It's a curse!\It's Akatsuki's curse!\What kind of phenomenon is that? response:	Can you give me the details?
context: they're definitely pant\Are you okay?\Jerk\I guess that's enough for today.\I-It's a curse!\It's Akatsuki's curse!\What kind of phenomenon is that?\Can you give me the details? response:	Why does that make you happy?
context: Are you okay?\Jerk\I guess that's enough for today.\I-It's a curse!\It's Akatsuki's curse!\What kind of phenomenon is that?\Can you give me the details?\Why does that make you happy? response:	Forget about that...
context: Jerk\I guess that's enough for today.\I-It's a curse!\It's Akatsuki's curse!\What kind of phenomenon is that?\Can you give me the details?\Why does that make you happy?\Forget about that... response:	Help me!
context: I guess that's enough for today.\I-It's a curse!\It's Akatsuki's curse!\What kind of phenomenon is that?\Can you give me the details?\Why does that make you happy?\Forget about that...\Help me! response:	Sorry, sorry.
context: I-It's a curse!\It's Akatsuki's curse!\What kind of phenomenon is that?\Can you give me the details?\Why does that make you happy?\Forget about that...\Help me!\Sorry, sorry. response:	They were just such beautiful curves!
context: It's Akatsuki's curse!\What kind of phenomenon is that?\Can you give me the details?\Why does that make you happy?\Forget about that...\Help me!\Sorry, sorry.\They were just such beautiful curves! response:	If a beautiful girl like me scratched her face up,
context: What kind of phenomenon is that?\Can you give me the details?\Why does that make you happy?\Forget about that...\Help me!\Sorry, sorry.\They were just such beautiful curves!\If a beautiful girl like me scratched her face up, response:	it'd be a loss to boys everywhere!
context: Can you give me the details?\Why does that make you happy?\Forget about that...\Help me!\Sorry, sorry.\They were just such beautiful curves!\If a beautiful girl like me scratched her face up,\it'd be a loss to boys everywhere! response:	She said it herself.
context: Why does that make you happy?\Forget about that...\Help me!\Sorry, sorry.\They were just such beautiful curves!\If a beautiful girl like me scratched her face up,\it'd be a loss to boys everywhere!\She said it herself. response:	I think that's building yourself up a bit too much.
context: Forget about that...\Help me!\Sorry, sorry.\They were just such beautiful curves!\If a beautiful girl like me scratched her face up,\it'd be a loss to boys everywhere!\She said it herself.\I think that's building yourself up a bit too much. response:	Man, you just get better and better.
context: Help me!\Sorry, sorry.\They were just such beautiful curves!\If a beautiful girl like me scratched her face up,\it'd be a loss to boys everywhere!\She said it herself.\I think that's building yourself up a bit too much.\Man, you just get better and better. response:	My opinion of you keeps shooting up!
context: Sorry, sorry.\They were just such beautiful curves!\If a beautiful girl like me scratched her face up,\it'd be a loss to boys everywhere!\She said it herself.\I think that's building yourself up a bit too much.\Man, you just get better and better.\My opinion of you keeps shooting up! response:	Thank you.
context: They were just such beautiful curves!\If a beautiful girl like me scratched her face up,\it'd be a loss to boys everywhere!\She said it herself.\I think that's building yourself up a bit too much.\Man, you just get better and better.\My opinion of you keeps shooting up!\Thank you. response:	I won't get depressed!
context: If a beautiful girl like me scratched her face up,\it'd be a loss to boys everywhere!\She said it herself.\I think that's building yourself up a bit too much.\Man, you just get better and better.\My opinion of you keeps shooting up!\Thank you.\I won't get depressed! response:	She recovered!
context: it'd be a loss to boys everywhere!\She said it herself.\I think that's building yourself up a bit too much.\Man, you just get better and better.\My opinion of you keeps shooting up!\Thank you.\I won't get depressed!\She recovered! response:	I'm a bright star, shining in the night sky!
context: She said it herself.\I think that's building yourself up a bit too much.\Man, you just get better and better.\My opinion of you keeps shooting up!\Thank you.\I won't get depressed!\She recovered!\I'm a bright star, shining in the night sky! response:	I'm the pretty-girl galactic idol, Tetra!
context: I think that's building yourself up a bit too much.\Man, you just get better and better.\My opinion of you keeps shooting up!\Thank you.\I won't get depressed!\She recovered!\I'm a bright star, shining in the night sky!\I'm the pretty-girl galactic idol, Tetra! response:	Call me Tetra!
context: Man, you just get better and better.\My opinion of you keeps shooting up!\Thank you.\I won't get depressed!\She recovered!\I'm a bright star, shining in the night sky!\I'm the pretty-girl galactic idol, Tetra!\Call me Tetra! response:	Tetra, huh?
context: My opinion of you keeps shooting up!\Thank you.\I won't get depressed!\She recovered!\I'm a bright star, shining in the night sky!\I'm the pretty-girl galactic idol, Tetra!\Call me Tetra!\Tetra, huh? response:	I guess you're cute,
context: Thank you.\I won't get depressed!\She recovered!\I'm a bright star, shining in the night sky!\I'm the pretty-girl galactic idol, Tetra!\Call me Tetra!\Tetra, huh?\I guess you're cute, response:	Wink!
context: I won't get depressed!\She recovered!\I'm a bright star, shining in the night sky!\I'm the pretty-girl galactic idol, Tetra!\Call me Tetra!\Tetra, huh?\I guess you're cute,\Wink! response:	but you're so self-satisfied, I don't want to tell you that.
context: She recovered!\I'm a bright star, shining in the night sky!\I'm the pretty-girl galactic idol, Tetra!\Call me Tetra!\Tetra, huh?\I guess you're cute,\Wink!\but you're so self-satisfied, I don't want to tell you that. response:	Wink! Wink!
context: I'm a bright star, shining in the night sky!\I'm the pretty-girl galactic idol, Tetra!\Call me Tetra!\Tetra, huh?\I guess you're cute,\Wink!\but you're so self-satisfied, I don't want to tell you that.\Wink! Wink! response:	Taking into account a variety of factors...
context: I'm the pretty-girl galactic idol, Tetra!\Call me Tetra!\Tetra, huh?\I guess you're cute,\Wink!\but you're so self-satisfied, I don't want to tell you that.\Wink! Wink!\Taking into account a variety of factors... response:	Chief among them,
context: Call me Tetra!\Tetra, huh?\I guess you're cute,\Wink!\but you're so self-satisfied, I don't want to tell you that.\Wink! Wink!\Taking into account a variety of factors...\Chief among them, response:	volume!
context: Tetra, huh?\I guess you're cute,\Wink!\but you're so self-satisfied, I don't want to tell you that.\Wink! Wink!\Taking into account a variety of factors...\Chief among them,\volume! response:	Marie is the clear winner!
context: I guess you're cute,\Wink!\but you're so self-satisfied, I don't want to tell you that.\Wink! Wink!\Taking into account a variety of factors...\Chief among them,\volume!\Marie is the clear winner! response:	Uh, I mean...
context: Wink!\but you're so self-satisfied, I don't want to tell you that.\Wink! Wink!\Taking into account a variety of factors...\Chief among them,\volume!\Marie is the clear winner!\Uh, I mean... response:	Here.
context: but you're so self-satisfied, I don't want to tell you that.\Wink! Wink!\Taking into account a variety of factors...\Chief among them,\volume!\Marie is the clear winner!\Uh, I mean...\Here. response:	Thanks.
context: Wink! Wink!\Taking into account a variety of factors...\Chief among them,\volume!\Marie is the clear winner!\Uh, I mean...\Here.\Thanks. response:	Tetra Race/ Human Cleric, Lv. 92 Light Indigo
context: Taking into account a variety of factors...\Chief among them,\volume!\Marie is the clear winner!\Uh, I mean...\Here.\Thanks.\Tetra Race/ Human Cleric, Lv. 92 Light Indigo response:	A level 92, like Shiro and me.
context: Chief among them,\volume!\Marie is the clear winner!\Uh, I mean...\Here.\Thanks.\Tetra Race/ Human Cleric, Lv. 92 Light Indigo\A level 92, like Shiro and me. response:	So she's had combat experience since the Apocalypse, huh?
context: volume!\Marie is the clear winner!\Uh, I mean...\Here.\Thanks.\Tetra Race/ Human Cleric, Lv. 92 Light Indigo\A level 92, like Shiro and me.\So she's had combat experience since the Apocalypse, huh? response:	She may actually work out.
context: Marie is the clear winner!\Uh, I mean...\Here.\Thanks.\Tetra Race/ Human Cleric, Lv. 92 Light Indigo\A level 92, like Shiro and me.\So she's had combat experience since the Apocalypse, huh?\She may actually work out. response:	Mister, no matter how pretty I am,
context: Uh, I mean...\Here.\Thanks.\Tetra Race/ Human Cleric, Lv. 92 Light Indigo\A level 92, like Shiro and me.\So she's had combat experience since the Apocalypse, huh?\She may actually work out.\Mister, no matter how pretty I am, response:	you're staring at me too much!
context: Here.\Thanks.\Tetra Race/ Human Cleric, Lv. 92 Light Indigo\A level 92, like Shiro and me.\So she's had combat experience since the Apocalypse, huh?\She may actually work out.\Mister, no matter how pretty I am,\you're staring at me too much! response:	I am not!
context: Thanks.\Tetra Race/ Human Cleric, Lv. 92 Light Indigo\A level 92, like Shiro and me.\So she's had combat experience since the Apocalypse, huh?\She may actually work out.\Mister, no matter how pretty I am,\you're staring at me too much!\I am not! response:	Well, a girl like me puts out pheromones at all times, after all!
context: Tetra Race/ Human Cleric, Lv. 92 Light Indigo\A level 92, like Shiro and me.\So she's had combat experience since the Apocalypse, huh?\She may actually work out.\Mister, no matter how pretty I am,\you're staring at me too much!\I am not!\Well, a girl like me puts out pheromones at all times, after all! response:	Pheromones! Pheromones!
context: A level 92, like Shiro and me.\So she's had combat experience since the Apocalypse, huh?\She may actually work out.\Mister, no matter how pretty I am,\you're staring at me too much!\I am not!\Well, a girl like me puts out pheromones at all times, after all!\Pheromones! Pheromones! response:	If they're coming from the butt you're sticking out,
context: So she's had combat experience since the Apocalypse, huh?\She may actually work out.\Mister, no matter how pretty I am,\you're staring at me too much!\I am not!\Well, a girl like me puts out pheromones at all times, after all!\Pheromones! Pheromones!\If they're coming from the butt you're sticking out, response:	maybe they're fart-o-mones, not pheromones?
context: She may actually work out.\Mister, no matter how pretty I am,\you're staring at me too much!\I am not!\Well, a girl like me puts out pheromones at all times, after all!\Pheromones! Pheromones!\If they're coming from the butt you're sticking out,\maybe they're fart-o-mones, not pheromones? response:	You're seriously awesome, old man.
context: Mister, no matter how pretty I am,\you're staring at me too much!\I am not!\Well, a girl like me puts out pheromones at all times, after all!\Pheromones! Pheromones!\If they're coming from the butt you're sticking out,\maybe they're fart-o-mones, not pheromones?\You're seriously awesome, old man. response:	You just keep hitting new highs!
context: you're staring at me too much!\I am not!\Well, a girl like me puts out pheromones at all times, after all!\Pheromones! Pheromones!\If they're coming from the butt you're sticking out,\maybe they're fart-o-mones, not pheromones?\You're seriously awesome, old man.\You just keep hitting new highs! response:	Idols don't fart!
context: I am not!\Well, a girl like me puts out pheromones at all times, after all!\Pheromones! Pheromones!\If they're coming from the butt you're sticking out,\maybe they're fart-o-mones, not pheromones?\You're seriously awesome, old man.\You just keep hitting new highs!\Idols don't fart! response:	This skeleton guy is harsh, isn't he?
context: Well, a girl like me puts out pheromones at all times, after all!\Pheromones! Pheromones!\If they're coming from the butt you're sticking out,\maybe they're fart-o-mones, not pheromones?\You're seriously awesome, old man.\You just keep hitting new highs!\Idols don't fart!\This skeleton guy is harsh, isn't he? response:	Skeleton?
context: Pheromones! Pheromones!\If they're coming from the butt you're sticking out,\maybe they're fart-o-mones, not pheromones?\You're seriously awesome, old man.\You just keep hitting new highs!\Idols don't fart!\This skeleton guy is harsh, isn't he?\Skeleton? response:	Okay, the guy in the armor looks easier to deal with.
context: If they're coming from the butt you're sticking out,\maybe they're fart-o-mones, not pheromones?\You're seriously awesome, old man.\You just keep hitting new highs!\Idols don't fart!\This skeleton guy is harsh, isn't he?\Skeleton?\Okay, the guy in the armor looks easier to deal with. response:	Get off me!
context: maybe they're fart-o-mones, not pheromones?\You're seriously awesome, old man.\You just keep hitting new highs!\Idols don't fart!\This skeleton guy is harsh, isn't he?\Skeleton?\Okay, the guy in the armor looks easier to deal with.\Get off me! response:	Nope! I love rubbing against guys as they freak out!
context: You're seriously awesome, old man.\You just keep hitting new highs!\Idols don't fart!\This skeleton guy is harsh, isn't he?\Skeleton?\Okay, the guy in the armor looks easier to deal with.\Get off me!\Nope! I love rubbing against guys as they freak out! response:	By the way, I hate it when guys rub against me.
context: You just keep hitting new highs!\Idols don't fart!\This skeleton guy is harsh, isn't he?\Skeleton?\Okay, the guy in the armor looks easier to deal with.\Get off me!\Nope! I love rubbing against guys as they freak out!\By the way, I hate it when guys rub against me. response:	So remember that.
context: Idols don't fart!\This skeleton guy is harsh, isn't he?\Skeleton?\Okay, the guy in the armor looks easier to deal with.\Get off me!\Nope! I love rubbing against guys as they freak out!\By the way, I hate it when guys rub against me.\So remember that. response:	I said get off me!
context: This skeleton guy is harsh, isn't he?\Skeleton?\Okay, the guy in the armor looks easier to deal with.\Get off me!\Nope! I love rubbing against guys as they freak out!\By the way, I hate it when guys rub against me.\So remember that.\I said get off me! response:	Okay, you pass.
context: Skeleton?\Okay, the guy in the armor looks easier to deal with.\Get off me!\Nope! I love rubbing against guys as they freak out!\By the way, I hate it when guys rub against me.\So remember that.\I said get off me!\Okay, you pass. response:	Are you absolutely sure?
context: Okay, the guy in the armor looks easier to deal with.\Get off me!\Nope! I love rubbing against guys as they freak out!\By the way, I hate it when guys rub against me.\So remember that.\I said get off me!\Okay, you pass.\Are you absolutely sure? response:	I told you, it's a feeling.
context: Get off me!\Nope! I love rubbing against guys as they freak out!\By the way, I hate it when guys rub against me.\So remember that.\I said get off me!\Okay, you pass.\Are you absolutely sure?\I told you, it's a feeling. response:	It's all right.
context: Nope! I love rubbing against guys as they freak out!\By the way, I hate it when guys rub against me.\So remember that.\I said get off me!\Okay, you pass.\Are you absolutely sure?\I told you, it's a feeling.\It's all right. response:	We're fine here.
context: By the way, I hate it when guys rub against me.\So remember that.\I said get off me!\Okay, you pass.\Are you absolutely sure?\I told you, it's a feeling.\It's all right.\We're fine here. response:	Go take a break in the back.
context: So remember that.\I said get off me!\Okay, you pass.\Are you absolutely sure?\I told you, it's a feeling.\It's all right.\We're fine here.\Go take a break in the back. response:	That calm, arrogant attitude of yours hasn't changed a bit.
context: I said get off me!\Okay, you pass.\Are you absolutely sure?\I told you, it's a feeling.\It's all right.\We're fine here.\Go take a break in the back.\That calm, arrogant attitude of yours hasn't changed a bit. response:	You haven't forgotten my name, have you, Shiroe?
context: Okay, you pass.\Are you absolutely sure?\I told you, it's a feeling.\It's all right.\We're fine here.\Go take a break in the back.\That calm, arrogant attitude of yours hasn't changed a bit.\You haven't forgotten my name, have you, Shiroe? response:	It's been a long time, Mr. Democracy.
context: Are you absolutely sure?\I told you, it's a feeling.\It's all right.\We're fine here.\Go take a break in the back.\That calm, arrogant attitude of yours hasn't changed a bit.\You haven't forgotten my name, have you, Shiroe?\It's been a long time, Mr. Democracy. response:	You bastard!
context: I told you, it's a feeling.\It's all right.\We're fine here.\Go take a break in the back.\That calm, arrogant attitude of yours hasn't changed a bit.\You haven't forgotten my name, have you, Shiroe?\It's been a long time, Mr. Democracy.\You bastard! response:	Step outside!
context: It's all right.\We're fine here.\Go take a break in the back.\That calm, arrogant attitude of yours hasn't changed a bit.\You haven't forgotten my name, have you, Shiroe?\It's been a long time, Mr. Democracy.\You bastard!\Step outside! response:	What will we do outside?
context: We're fine here.\Go take a break in the back.\That calm, arrogant attitude of yours hasn't changed a bit.\You haven't forgotten my name, have you, Shiroe?\It's been a long time, Mr. Democracy.\You bastard!\Step outside!\What will we do outside? response:	You know what!
context: Go take a break in the back.\That calm, arrogant attitude of yours hasn't changed a bit.\You haven't forgotten my name, have you, Shiroe?\It's been a long time, Mr. Democracy.\You bastard!\Step outside!\What will we do outside?\You know what! response:	Shut up, Demi.
context: That calm, arrogant attitude of yours hasn't changed a bit.\You haven't forgotten my name, have you, Shiroe?\It's been a long time, Mr. Democracy.\You bastard!\Step outside!\What will we do outside?\You know what!\Shut up, Demi. response:	He's my guest.
context: You haven't forgotten my name, have you, Shiroe?\It's been a long time, Mr. Democracy.\You bastard!\Step outside!\What will we do outside?\You know what!\Shut up, Demi.\He's my guest. response:	I don't care.
context: It's been a long time, Mr. Democracy.\You bastard!\Step outside!\What will we do outside?\You know what!\Shut up, Demi.\He's my guest.\I don't care. response:	He's my
context: You bastard!\Step outside!\What will we do outside?\You know what!\Shut up, Demi.\He's my guest.\I don't care.\He's my response:	You lost, right?
context: Step outside!\What will we do outside?\You know what!\Shut up, Demi.\He's my guest.\I don't care.\He's my\You lost, right? response:	You lost, didn't you?
context: What will we do outside?\You know what!\Shut up, Demi.\He's my guest.\I don't care.\He's my\You lost, right?\You lost, didn't you? response:	Don't pick a fight over it now.
context: You know what!\Shut up, Demi.\He's my guest.\I don't care.\He's my\You lost, right?\You lost, didn't you?\Don't pick a fight over it now. response:	But...
context: Shut up, Demi.\He's my guest.\I don't care.\He's my\You lost, right?\You lost, didn't you?\Don't pick a fight over it now.\But... response:	I'll crush you again, Demikas.
context: He's my guest.\I don't care.\He's my\You lost, right?\You lost, didn't you?\Don't pick a fight over it now.\But...\I'll crush you again, Demikas. response:	You can't beat Shiroe anyway.
context: I don't care.\He's my\You lost, right?\You lost, didn't you?\Don't pick a fight over it now.\But...\I'll crush you again, Demikas.\You can't beat Shiroe anyway. response:	I've gotten some raid items since our last fight!
context: He's my\You lost, right?\You lost, didn't you?\Don't pick a fight over it now.\But...\I'll crush you again, Demikas.\You can't beat Shiroe anyway.\I've gotten some raid items since our last fight! response:	It's because you think equipment will help you beat him that you can't win.
context: You lost, right?\You lost, didn't you?\Don't pick a fight over it now.\But...\I'll crush you again, Demikas.\You can't beat Shiroe anyway.\I've gotten some raid items since our last fight!\It's because you think equipment will help you beat him that you can't win. response:	Then let's test it.
context: You lost, didn't you?\Don't pick a fight over it now.\But...\I'll crush you again, Demikas.\You can't beat Shiroe anyway.\I've gotten some raid items since our last fight!\It's because you think equipment will help you beat him that you can't win.\Then let's test it. response:	Which do you like more? Hamburg steak or minced cutlet?
context: Don't pick a fight over it now.\But...\I'll crush you again, Demikas.\You can't beat Shiroe anyway.\I've gotten some raid items since our last fight!\It's because you think equipment will help you beat him that you can't win.\Then let's test it.\Which do you like more? Hamburg steak or minced cutlet? response:	I like them both.
context: But...\I'll crush you again, Demikas.\You can't beat Shiroe anyway.\I've gotten some raid items since our last fight!\It's because you think equipment will help you beat him that you can't win.\Then let's test it.\Which do you like more? Hamburg steak or minced cutlet?\I like them both. response:	With lots of that demi-whatsits sauce.
context: I'll crush you again, Demikas.\You can't beat Shiroe anyway.\I've gotten some raid items since our last fight!\It's because you think equipment will help you beat him that you can't win.\Then let's test it.\Which do you like more? Hamburg steak or minced cutlet?\I like them both.\With lots of that demi-whatsits sauce. response:	I'll rip you apart, just like you want.
context: You can't beat Shiroe anyway.\I've gotten some raid items since our last fight!\It's because you think equipment will help you beat him that you can't win.\Then let's test it.\Which do you like more? Hamburg steak or minced cutlet?\I like them both.\With lots of that demi-whatsits sauce.\I'll rip you apart, just like you want. response:	That isn't very nice, Mr. Deluxe.
context: I've gotten some raid items since our last fight!\It's because you think equipment will help you beat him that you can't win.\Then let's test it.\Which do you like more? Hamburg steak or minced cutlet?\I like them both.\With lots of that demi-whatsits sauce.\I'll rip you apart, just like you want.\That isn't very nice, Mr. Deluxe. response:	You're deliberately screwing it up, aren't you?
context: It's because you think equipment will help you beat him that you can't win.\Then let's test it.\Which do you like more? Hamburg steak or minced cutlet?\I like them both.\With lots of that demi-whatsits sauce.\I'll rip you apart, just like you want.\That isn't very nice, Mr. Deluxe.\You're deliberately screwing it up, aren't you? response:	Let me go, Mr. Tofu in Miso Sauce.
context: Then let's test it.\Which do you like more? Hamburg steak or minced cutlet?\I like them both.\With lots of that demi-whatsits sauce.\I'll rip you apart, just like you want.\That isn't very nice, Mr. Deluxe.\You're deliberately screwing it up, aren't you?\Let me go, Mr. Tofu in Miso Sauce. response:	You little
context: Which do you like more? Hamburg steak or minced cutlet?\I like them both.\With lots of that demi-whatsits sauce.\I'll rip you apart, just like you want.\That isn't very nice, Mr. Deluxe.\You're deliberately screwing it up, aren't you?\Let me go, Mr. Tofu in Miso Sauce.\You little response:	And so, Brigandia lost half its members.
context: I like them both.\With lots of that demi-whatsits sauce.\I'll rip you apart, just like you want.\That isn't very nice, Mr. Deluxe.\You're deliberately screwing it up, aren't you?\Let me go, Mr. Tofu in Miso Sauce.\You little\And so, Brigandia lost half its members. response:	I'm sure you can see why, after he lost
context: With lots of that demi-whatsits sauce.\I'll rip you apart, just like you want.\That isn't very nice, Mr. Deluxe.\You're deliberately screwing it up, aren't you?\Let me go, Mr. Tofu in Miso Sauce.\You little\And so, Brigandia lost half its members.\I'm sure you can see why, after he lost response:	to a cat swordsman who wasn't even in a guild.
context: I'll rip you apart, just like you want.\That isn't very nice, Mr. Deluxe.\You're deliberately screwing it up, aren't you?\Let me go, Mr. Tofu in Miso Sauce.\You little\And so, Brigandia lost half its members.\I'm sure you can see why, after he lost\to a cat swordsman who wasn't even in a guild. response:	His strategist, Londark, gave up on him and headed west, too.
context: That isn't very nice, Mr. Deluxe.\You're deliberately screwing it up, aren't you?\Let me go, Mr. Tofu in Miso Sauce.\You little\And so, Brigandia lost half its members.\I'm sure you can see why, after he lost\to a cat swordsman who wasn't even in a guild.\His strategist, Londark, gave up on him and headed west, too. response:	Then, what happened to Demikas?
context: You're deliberately screwing it up, aren't you?\Let me go, Mr. Tofu in Miso Sauce.\You little\And so, Brigandia lost half its members.\I'm sure you can see why, after he lost\to a cat swordsman who wasn't even in a guild.\His strategist, Londark, gave up on him and headed west, too.\Then, what happened to Demikas? response:	Demi-Demi and his whole guild work for Silver Sword now.
