context: Nana had a red tattoo on her arm. response:	It was the lotus flower, the flower also known as Ren...
context: Nice to see you, I'm Mizukoshi. I run the joint.\Oh, Mr. Mizukoshi, this is my best friend Jun-chan.\She's an art student.\Thank you for looking after Nana.\Jun-chan? Not Kyu, Japanese for nine?\Stop that, Mr. Mizukoshi.\By the way, Hachi...\- Hachi? - About this clock. response:	Did you fix it?
context: Oh, Mr. Mizukoshi, this is my best friend Jun-chan.\She's an art student.\Thank you for looking after Nana.\Jun-chan? Not Kyu, Japanese for nine?\Stop that, Mr. Mizukoshi.\By the way, Hachi...\- Hachi? - About this clock.\Did you fix it? response:	Well actually, it's natural it won't move without batteries in it.
context: She's an art student.\Thank you for looking after Nana.\Jun-chan? Not Kyu, Japanese for nine?\Stop that, Mr. Mizukoshi.\By the way, Hachi...\- Hachi? - About this clock.\Did you fix it?\Well actually, it's natural it won't move without batteries in it. response:	Oh of course. How embarrassing. I'm so sorry.
context: Thank you for looking after Nana.\Jun-chan? Not Kyu, Japanese for nine?\Stop that, Mr. Mizukoshi.\By the way, Hachi...\- Hachi? - About this clock.\Did you fix it?\Well actually, it's natural it won't move without batteries in it.\Oh of course. How embarrassing. I'm so sorry. response:	No, it's my fault.
context: Jun-chan? Not Kyu, Japanese for nine?\Stop that, Mr. Mizukoshi.\By the way, Hachi...\- Hachi? - About this clock.\Did you fix it?\Well actually, it's natural it won't move without batteries in it.\Oh of course. How embarrassing. I'm so sorry.\No, it's my fault. response:	I guess I forgot to put batteries in the box.
context: Stop that, Mr. Mizukoshi.\By the way, Hachi...\- Hachi? - About this clock.\Did you fix it?\Well actually, it's natural it won't move without batteries in it.\Oh of course. How embarrassing. I'm so sorry.\No, it's my fault.\I guess I forgot to put batteries in the box. response:	I'll set it for you later.
context: By the way, Hachi...\- Hachi? - About this clock.\Did you fix it?\Well actually, it's natural it won't move without batteries in it.\Oh of course. How embarrassing. I'm so sorry.\No, it's my fault.\I guess I forgot to put batteries in the box.\I'll set it for you later. response:	Sorry to trouble you. Thank you.
context: - Hachi? - About this clock.\Did you fix it?\Well actually, it's natural it won't move without batteries in it.\Oh of course. How embarrassing. I'm so sorry.\No, it's my fault.\I guess I forgot to put batteries in the box.\I'll set it for you later.\Sorry to trouble you. Thank you. response:	Oh, why don't you go for lunch with your friend
context: Did you fix it?\Well actually, it's natural it won't move without batteries in it.\Oh of course. How embarrassing. I'm so sorry.\No, it's my fault.\I guess I forgot to put batteries in the box.\I'll set it for you later.\Sorry to trouble you. Thank you.\Oh, why don't you go for lunch with your friend response:	while business is still slow?
context: Well actually, it's natural it won't move without batteries in it.\Oh of course. How embarrassing. I'm so sorry.\No, it's my fault.\I guess I forgot to put batteries in the box.\I'll set it for you later.\Sorry to trouble you. Thank you.\Oh, why don't you go for lunch with your friend\while business is still slow? response:	Really? You don't mind?
context: Oh of course. How embarrassing. I'm so sorry.\No, it's my fault.\I guess I forgot to put batteries in the box.\I'll set it for you later.\Sorry to trouble you. Thank you.\Oh, why don't you go for lunch with your friend\while business is still slow?\Really? You don't mind? response:	No problem. I'll watch the shop.
context: No, it's my fault.\I guess I forgot to put batteries in the box.\I'll set it for you later.\Sorry to trouble you. Thank you.\Oh, why don't you go for lunch with your friend\while business is still slow?\Really? You don't mind?\No problem. I'll watch the shop. response:	Yay! See you in a bit.
context: I guess I forgot to put batteries in the box.\I'll set it for you later.\Sorry to trouble you. Thank you.\Oh, why don't you go for lunch with your friend\while business is still slow?\Really? You don't mind?\No problem. I'll watch the shop.\Yay! See you in a bit. response:	Your disease, it's started again.
context: I'll set it for you later.\Sorry to trouble you. Thank you.\Oh, why don't you go for lunch with your friend\while business is still slow?\Really? You don't mind?\No problem. I'll watch the shop.\Yay! See you in a bit.\Your disease, it's started again. response:	You know the Jackson burgers are really good!
context: Sorry to trouble you. Thank you.\Oh, why don't you go for lunch with your friend\while business is still slow?\Really? You don't mind?\No problem. I'll watch the shop.\Yay! See you in a bit.\Your disease, it's started again.\You know the Jackson burgers are really good! response:	I should've known there was something going on,
context: Oh, why don't you go for lunch with your friend\while business is still slow?\Really? You don't mind?\No problem. I'll watch the shop.\Yay! See you in a bit.\Your disease, it's started again.\You know the Jackson burgers are really good!\I should've known there was something going on, response:	you finding a job so quickly.
context: while business is still slow?\Really? You don't mind?\No problem. I'll watch the shop.\Yay! See you in a bit.\Your disease, it's started again.\You know the Jackson burgers are really good!\I should've known there was something going on,\you finding a job so quickly. response:	Didn't expect such a young boss.
context: Really? You don't mind?\No problem. I'll watch the shop.\Yay! See you in a bit.\Your disease, it's started again.\You know the Jackson burgers are really good!\I should've known there was something going on,\you finding a job so quickly.\Didn't expect such a young boss. response:	Koichi Sato! Another burger please.
context: No problem. I'll watch the shop.\Yay! See you in a bit.\Your disease, it's started again.\You know the Jackson burgers are really good!\I should've known there was something going on,\you finding a job so quickly.\Didn't expect such a young boss.\Koichi Sato! Another burger please. response:	You got it.
context: Yay! See you in a bit.\Your disease, it's started again.\You know the Jackson burgers are really good!\I should've known there was something going on,\you finding a job so quickly.\Didn't expect such a young boss.\Koichi Sato! Another burger please.\You got it. response:	Hey, you know I don't care.
context: Your disease, it's started again.\You know the Jackson burgers are really good!\I should've known there was something going on,\you finding a job so quickly.\Didn't expect such a young boss.\Koichi Sato! Another burger please.\You got it.\Hey, you know I don't care. response:	As long as you have a job.
context: You know the Jackson burgers are really good!\I should've known there was something going on,\you finding a job so quickly.\Didn't expect such a young boss.\Koichi Sato! Another burger please.\You got it.\Hey, you know I don't care.\As long as you have a job. response:	Never mind the reasons for sticking to it.
context: I should've known there was something going on,\you finding a job so quickly.\Didn't expect such a young boss.\Koichi Sato! Another burger please.\You got it.\Hey, you know I don't care.\As long as you have a job.\Never mind the reasons for sticking to it. response:	Just don't give Shoji a hard time.
context: you finding a job so quickly.\Didn't expect such a young boss.\Koichi Sato! Another burger please.\You got it.\Hey, you know I don't care.\As long as you have a job.\Never mind the reasons for sticking to it.\Just don't give Shoji a hard time. response:	Like last night, too, he got drunk and started saying stuff.
context: Didn't expect such a young boss.\Koichi Sato! Another burger please.\You got it.\Hey, you know I don't care.\As long as you have a job.\Never mind the reasons for sticking to it.\Just don't give Shoji a hard time.\Like last night, too, he got drunk and started saying stuff. response:	Saying stuff?!
context: Koichi Sato! Another burger please.\You got it.\Hey, you know I don't care.\As long as you have a job.\Never mind the reasons for sticking to it.\Just don't give Shoji a hard time.\Like last night, too, he got drunk and started saying stuff.\Saying stuff?! response:	Last night, too? Is he always saying stuff about me?
context: You got it.\Hey, you know I don't care.\As long as you have a job.\Never mind the reasons for sticking to it.\Just don't give Shoji a hard time.\Like last night, too, he got drunk and started saying stuff.\Saying stuff?!\Last night, too? Is he always saying stuff about me? response:	Uh...
context: Hey, you know I don't care.\As long as you have a job.\Never mind the reasons for sticking to it.\Just don't give Shoji a hard time.\Like last night, too, he got drunk and started saying stuff.\Saying stuff?!\Last night, too? Is he always saying stuff about me?\Uh... response:	So actually, Shoji really doesn't like me!
context: As long as you have a job.\Never mind the reasons for sticking to it.\Just don't give Shoji a hard time.\Like last night, too, he got drunk and started saying stuff.\Saying stuff?!\Last night, too? Is he always saying stuff about me?\Uh...\So actually, Shoji really doesn't like me! response:	Because I'm good for nothing!
context: Never mind the reasons for sticking to it.\Just don't give Shoji a hard time.\Like last night, too, he got drunk and started saying stuff.\Saying stuff?!\Last night, too? Is he always saying stuff about me?\Uh...\So actually, Shoji really doesn't like me!\Because I'm good for nothing! response:	It's not like that.
context: Just don't give Shoji a hard time.\Like last night, too, he got drunk and started saying stuff.\Saying stuff?!\Last night, too? Is he always saying stuff about me?\Uh...\So actually, Shoji really doesn't like me!\Because I'm good for nothing!\It's not like that. response:	Shoji is so in love with you
context: Like last night, too, he got drunk and started saying stuff.\Saying stuff?!\Last night, too? Is he always saying stuff about me?\Uh...\So actually, Shoji really doesn't like me!\Because I'm good for nothing!\It's not like that.\Shoji is so in love with you response:	he doesn't know what to do with himself.
context: Saying stuff?!\Last night, too? Is he always saying stuff about me?\Uh...\So actually, Shoji really doesn't like me!\Because I'm good for nothing!\It's not like that.\Shoji is so in love with you\he doesn't know what to do with himself. response:	You're not going to find a man like that just anywhere, you know that?
context: Last night, too? Is he always saying stuff about me?\Uh...\So actually, Shoji really doesn't like me!\Because I'm good for nothing!\It's not like that.\Shoji is so in love with you\he doesn't know what to do with himself.\You're not going to find a man like that just anywhere, you know that? response:	You gotta take better care of him, man.
context: Uh...\So actually, Shoji really doesn't like me!\Because I'm good for nothing!\It's not like that.\Shoji is so in love with you\he doesn't know what to do with himself.\You're not going to find a man like that just anywhere, you know that?\You gotta take better care of him, man. response:	Otherwise, that's when heaven'll get you back.
context: So actually, Shoji really doesn't like me!\Because I'm good for nothing!\It's not like that.\Shoji is so in love with you\he doesn't know what to do with himself.\You're not going to find a man like that just anywhere, you know that?\You gotta take better care of him, man.\Otherwise, that's when heaven'll get you back. response:	I know that.
context: Because I'm good for nothing!\It's not like that.\Shoji is so in love with you\he doesn't know what to do with himself.\You're not going to find a man like that just anywhere, you know that?\You gotta take better care of him, man.\Otherwise, that's when heaven'll get you back.\I know that. response:	But what do I need to do, and how, in order to take better care of him?
context: It's not like that.\Shoji is so in love with you\he doesn't know what to do with himself.\You're not going to find a man like that just anywhere, you know that?\You gotta take better care of him, man.\Otherwise, that's when heaven'll get you back.\I know that.\But what do I need to do, and how, in order to take better care of him? response:	Actually, I thought I was taking pretty good care of him.
context: Shoji is so in love with you\he doesn't know what to do with himself.\You're not going to find a man like that just anywhere, you know that?\You gotta take better care of him, man.\Otherwise, that's when heaven'll get you back.\I know that.\But what do I need to do, and how, in order to take better care of him?\Actually, I thought I was taking pretty good care of him. response:	I wonder if I should have spent the night with him last night.
context: he doesn't know what to do with himself.\You're not going to find a man like that just anywhere, you know that?\You gotta take better care of him, man.\Otherwise, that's when heaven'll get you back.\I know that.\But what do I need to do, and how, in order to take better care of him?\Actually, I thought I was taking pretty good care of him.\I wonder if I should have spent the night with him last night. response:	Nana, it's eight o'clock, so I'm going to close up shop now.
context: You're not going to find a man like that just anywhere, you know that?\You gotta take better care of him, man.\Otherwise, that's when heaven'll get you back.\I know that.\But what do I need to do, and how, in order to take better care of him?\Actually, I thought I was taking pretty good care of him.\I wonder if I should have spent the night with him last night.\Nana, it's eight o'clock, so I'm going to close up shop now. response:	Oh, okay!
context: You gotta take better care of him, man.\Otherwise, that's when heaven'll get you back.\I know that.\But what do I need to do, and how, in order to take better care of him?\Actually, I thought I was taking pretty good care of him.\I wonder if I should have spent the night with him last night.\Nana, it's eight o'clock, so I'm going to close up shop now.\Oh, okay! response:	Thanks for hanging in there.
context: Otherwise, that's when heaven'll get you back.\I know that.\But what do I need to do, and how, in order to take better care of him?\Actually, I thought I was taking pretty good care of him.\I wonder if I should have spent the night with him last night.\Nana, it's eight o'clock, so I'm going to close up shop now.\Oh, okay!\Thanks for hanging in there. response:	Must have tired you out being such a slow business and all.
context: I know that.\But what do I need to do, and how, in order to take better care of him?\Actually, I thought I was taking pretty good care of him.\I wonder if I should have spent the night with him last night.\Nana, it's eight o'clock, so I'm going to close up shop now.\Oh, okay!\Thanks for hanging in there.\Must have tired you out being such a slow business and all. response:	Not at all.
context: But what do I need to do, and how, in order to take better care of him?\Actually, I thought I was taking pretty good care of him.\I wonder if I should have spent the night with him last night.\Nana, it's eight o'clock, so I'm going to close up shop now.\Oh, okay!\Thanks for hanging in there.\Must have tired you out being such a slow business and all.\Not at all. response:	Just to think that I can work
context: Actually, I thought I was taking pretty good care of him.\I wonder if I should have spent the night with him last night.\Nana, it's eight o'clock, so I'm going to close up shop now.\Oh, okay!\Thanks for hanging in there.\Must have tired you out being such a slow business and all.\Not at all.\Just to think that I can work response:	amongst all this cute stuff every day from now,
context: I wonder if I should have spent the night with him last night.\Nana, it's eight o'clock, so I'm going to close up shop now.\Oh, okay!\Thanks for hanging in there.\Must have tired you out being such a slow business and all.\Not at all.\Just to think that I can work\amongst all this cute stuff every day from now, response:	I'm totally happy.
context: Nana, it's eight o'clock, so I'm going to close up shop now.\Oh, okay!\Thanks for hanging in there.\Must have tired you out being such a slow business and all.\Not at all.\Just to think that I can work\amongst all this cute stuff every day from now,\I'm totally happy. response:	As long as you don't mind.
context: Oh, okay!\Thanks for hanging in there.\Must have tired you out being such a slow business and all.\Not at all.\Just to think that I can work\amongst all this cute stuff every day from now,\I'm totally happy.\As long as you don't mind. response:	Are you hungry?
context: Thanks for hanging in there.\Must have tired you out being such a slow business and all.\Not at all.\Just to think that I can work\amongst all this cute stuff every day from now,\I'm totally happy.\As long as you don't mind.\Are you hungry? response:	Do you want to go for something to eat after we close up?
context: Must have tired you out being such a slow business and all.\Not at all.\Just to think that I can work\amongst all this cute stuff every day from now,\I'm totally happy.\As long as you don't mind.\Are you hungry?\Do you want to go for something to eat after we close up? response:	I'll buy.
context: Not at all.\Just to think that I can work\amongst all this cute stuff every day from now,\I'm totally happy.\As long as you don't mind.\Are you hungry?\Do you want to go for something to eat after we close up?\I'll buy. response:	Really?
context: Just to think that I can work\amongst all this cute stuff every day from now,\I'm totally happy.\As long as you don't mind.\Are you hungry?\Do you want to go for something to eat after we close up?\I'll buy.\Really? response:	- Heaven'll get you back! - What do you want to have?
context: amongst all this cute stuff every day from now,\I'm totally happy.\As long as you don't mind.\Are you hungry?\Do you want to go for something to eat after we close up?\I'll buy.\Really?\- Heaven'll get you back! - What do you want to have? response:	Is there anything you don't like?
context: I'm totally happy.\As long as you don't mind.\Are you hungry?\Do you want to go for something to eat after we close up?\I'll buy.\Really?\- Heaven'll get you back! - What do you want to have?\Is there anything you don't like? response:	I'm sorry, Mr. Mizukoshi.
context: As long as you don't mind.\Are you hungry?\Do you want to go for something to eat after we close up?\I'll buy.\Really?\- Heaven'll get you back! - What do you want to have?\Is there anything you don't like?\I'm sorry, Mr. Mizukoshi. response:	I have other plans for tonight. It totally slipped my mind.
context: Are you hungry?\Do you want to go for something to eat after we close up?\I'll buy.\Really?\- Heaven'll get you back! - What do you want to have?\Is there anything you don't like?\I'm sorry, Mr. Mizukoshi.\I have other plans for tonight. It totally slipped my mind. response:	- A date? - No! It's not like that!
context: Do you want to go for something to eat after we close up?\I'll buy.\Really?\- Heaven'll get you back! - What do you want to have?\Is there anything you don't like?\I'm sorry, Mr. Mizukoshi.\I have other plans for tonight. It totally slipped my mind.\- A date? - No! It's not like that! response:	You don't have to be embarrassed.
context: I'll buy.\Really?\- Heaven'll get you back! - What do you want to have?\Is there anything you don't like?\I'm sorry, Mr. Mizukoshi.\I have other plans for tonight. It totally slipped my mind.\- A date? - No! It's not like that!\You don't have to be embarrassed. response:	You're that age, you're allowed to have a boyfriend or two.
context: Really?\- Heaven'll get you back! - What do you want to have?\Is there anything you don't like?\I'm sorry, Mr. Mizukoshi.\I have other plans for tonight. It totally slipped my mind.\- A date? - No! It's not like that!\You don't have to be embarrassed.\You're that age, you're allowed to have a boyfriend or two. response:	Tell him to visit the shop. I'll give him a discount.
context: - Heaven'll get you back! - What do you want to have?\Is there anything you don't like?\I'm sorry, Mr. Mizukoshi.\I have other plans for tonight. It totally slipped my mind.\- A date? - No! It's not like that!\You don't have to be embarrassed.\You're that age, you're allowed to have a boyfriend or two.\Tell him to visit the shop. I'll give him a discount. response:	Thank you.
context: Is there anything you don't like?\I'm sorry, Mr. Mizukoshi.\I have other plans for tonight. It totally slipped my mind.\- A date? - No! It's not like that!\You don't have to be embarrassed.\You're that age, you're allowed to have a boyfriend or two.\Tell him to visit the shop. I'll give him a discount.\Thank you. response:	I messed up.
context: I'm sorry, Mr. Mizukoshi.\I have other plans for tonight. It totally slipped my mind.\- A date? - No! It's not like that!\You don't have to be embarrassed.\You're that age, you're allowed to have a boyfriend or two.\Tell him to visit the shop. I'll give him a discount.\Thank you.\I messed up. response:	No, no, it's fine. I've got Shoji.
context: I have other plans for tonight. It totally slipped my mind.\- A date? - No! It's not like that!\You don't have to be embarrassed.\You're that age, you're allowed to have a boyfriend or two.\Tell him to visit the shop. I'll give him a discount.\Thank you.\I messed up.\No, no, it's fine. I've got Shoji. response:	I'd be in trouble if things started to look good with Mr. Mizukoshi.
context: - A date? - No! It's not like that!\You don't have to be embarrassed.\You're that age, you're allowed to have a boyfriend or two.\Tell him to visit the shop. I'll give him a discount.\Thank you.\I messed up.\No, no, it's fine. I've got Shoji.\I'd be in trouble if things started to look good with Mr. Mizukoshi. response:	Like, these thoughts alone are totally inconsiderate of Shoji.
context: You don't have to be embarrassed.\You're that age, you're allowed to have a boyfriend or two.\Tell him to visit the shop. I'll give him a discount.\Thank you.\I messed up.\No, no, it's fine. I've got Shoji.\I'd be in trouble if things started to look good with Mr. Mizukoshi.\Like, these thoughts alone are totally inconsiderate of Shoji. response:	No way. It's not like that. I can't go on living without Shoji!
context: You're that age, you're allowed to have a boyfriend or two.\Tell him to visit the shop. I'll give him a discount.\Thank you.\I messed up.\No, no, it's fine. I've got Shoji.\I'd be in trouble if things started to look good with Mr. Mizukoshi.\Like, these thoughts alone are totally inconsiderate of Shoji.\No way. It's not like that. I can't go on living without Shoji! response:	Why don't I call him?
context: Tell him to visit the shop. I'll give him a discount.\Thank you.\I messed up.\No, no, it's fine. I've got Shoji.\I'd be in trouble if things started to look good with Mr. Mizukoshi.\Like, these thoughts alone are totally inconsiderate of Shoji.\No way. It's not like that. I can't go on living without Shoji!\Why don't I call him? response:	Oh, Shoji...
context: Thank you.\I messed up.\No, no, it's fine. I've got Shoji.\I'd be in trouble if things started to look good with Mr. Mizukoshi.\Like, these thoughts alone are totally inconsiderate of Shoji.\No way. It's not like that. I can't go on living without Shoji!\Why don't I call him?\Oh, Shoji... response:	Your phone is being re-directed to the answering service center.
context: I messed up.\No, no, it's fine. I've got Shoji.\I'd be in trouble if things started to look good with Mr. Mizukoshi.\Like, these thoughts alone are totally inconsiderate of Shoji.\No way. It's not like that. I can't go on living without Shoji!\Why don't I call him?\Oh, Shoji...\Your phone is being re-directed to the answering service center. response:	Please leave a message after,.,
context: No, no, it's fine. I've got Shoji.\I'd be in trouble if things started to look good with Mr. Mizukoshi.\Like, these thoughts alone are totally inconsiderate of Shoji.\No way. It's not like that. I can't go on living without Shoji!\Why don't I call him?\Oh, Shoji...\Your phone is being re-directed to the answering service center.\Please leave a message after,., response:	Maybe he's still working.
context: I'd be in trouble if things started to look good with Mr. Mizukoshi.\Like, these thoughts alone are totally inconsiderate of Shoji.\No way. It's not like that. I can't go on living without Shoji!\Why don't I call him?\Oh, Shoji...\Your phone is being re-directed to the answering service center.\Please leave a message after,.,\Maybe he's still working. response:	Call me when you get off work.
context: Like, these thoughts alone are totally inconsiderate of Shoji.\No way. It's not like that. I can't go on living without Shoji!\Why don't I call him?\Oh, Shoji...\Your phone is being re-directed to the answering service center.\Please leave a message after,.,\Maybe he's still working.\Call me when you get off work. response:	Call me when you get off work. Just because I'm in Tokyo now doesn't necessarily mean
context: No way. It's not like that. I can't go on living without Shoji!\Why don't I call him?\Oh, Shoji...\Your phone is being re-directed to the answering service center.\Please leave a message after,.,\Maybe he's still working.\Call me when you get off work.\Call me when you get off work. Just because I'm in Tokyo now doesn't necessarily mean response:	Call me when you get off work.
context: Why don't I call him?\Oh, Shoji...\Your phone is being re-directed to the answering service center.\Please leave a message after,.,\Maybe he's still working.\Call me when you get off work.\Call me when you get off work. Just because I'm in Tokyo now doesn't necessarily mean\Call me when you get off work. response:	Call me when you get off work. that I can see Shoji any time I want.
context: Oh, Shoji...\Your phone is being re-directed to the answering service center.\Please leave a message after,.,\Maybe he's still working.\Call me when you get off work.\Call me when you get off work. Just because I'm in Tokyo now doesn't necessarily mean\Call me when you get off work.\Call me when you get off work. that I can see Shoji any time I want. response:	that I can see Shoji any time I want.
context: Your phone is being re-directed to the answering service center.\Please leave a message after,.,\Maybe he's still working.\Call me when you get off work.\Call me when you get off work. Just because I'm in Tokyo now doesn't necessarily mean\Call me when you get off work.\Call me when you get off work. that I can see Shoji any time I want.\that I can see Shoji any time I want. response:	Send that I can see Shoji any time I want.
context: Please leave a message after,.,\Maybe he's still working.\Call me when you get off work.\Call me when you get off work. Just because I'm in Tokyo now doesn't necessarily mean\Call me when you get off work.\Call me when you get off work. that I can see Shoji any time I want.\that I can see Shoji any time I want.\Send that I can see Shoji any time I want. response:	that I can see Shoji any time I want.
context: Maybe he's still working.\Call me when you get off work.\Call me when you get off work. Just because I'm in Tokyo now doesn't necessarily mean\Call me when you get off work.\Call me when you get off work. that I can see Shoji any time I want.\that I can see Shoji any time I want.\Send that I can see Shoji any time I want.\that I can see Shoji any time I want. response:	That's natural, but it feels kind of lonely.
context: Call me when you get off work.\Call me when you get off work. Just because I'm in Tokyo now doesn't necessarily mean\Call me when you get off work.\Call me when you get off work. that I can see Shoji any time I want.\that I can see Shoji any time I want.\Send that I can see Shoji any time I want.\that I can see Shoji any time I want.\That's natural, but it feels kind of lonely. response:	I should have stayed over at Shoji's last night, after all.
context: Call me when you get off work. Just because I'm in Tokyo now doesn't necessarily mean\Call me when you get off work.\Call me when you get off work. that I can see Shoji any time I want.\that I can see Shoji any time I want.\Send that I can see Shoji any time I want.\that I can see Shoji any time I want.\That's natural, but it feels kind of lonely.\I should have stayed over at Shoji's last night, after all. response:	Shoji's got his job,
context: Call me when you get off work.\Call me when you get off work. that I can see Shoji any time I want.\that I can see Shoji any time I want.\Send that I can see Shoji any time I want.\that I can see Shoji any time I want.\That's natural, but it feels kind of lonely.\I should have stayed over at Shoji's last night, after all.\Shoji's got his job, response:	and he's going to start going to school now too.
context: Call me when you get off work. that I can see Shoji any time I want.\that I can see Shoji any time I want.\Send that I can see Shoji any time I want.\that I can see Shoji any time I want.\That's natural, but it feels kind of lonely.\I should have stayed over at Shoji's last night, after all.\Shoji's got his job,\and he's going to start going to school now too. response:	He'll be busier than ever. And I've got work now.
context: that I can see Shoji any time I want.\Send that I can see Shoji any time I want.\that I can see Shoji any time I want.\That's natural, but it feels kind of lonely.\I should have stayed over at Shoji's last night, after all.\Shoji's got his job,\and he's going to start going to school now too.\He'll be busier than ever. And I've got work now. response:	And working is kinda tiring.
context: Send that I can see Shoji any time I want.\that I can see Shoji any time I want.\That's natural, but it feels kind of lonely.\I should have stayed over at Shoji's last night, after all.\Shoji's got his job,\and he's going to start going to school now too.\He'll be busier than ever. And I've got work now.\And working is kinda tiring. response:	Are we not going to be able to see each other when we want?
context: that I can see Shoji any time I want.\That's natural, but it feels kind of lonely.\I should have stayed over at Shoji's last night, after all.\Shoji's got his job,\and he's going to start going to school now too.\He'll be busier than ever. And I've got work now.\And working is kinda tiring.\Are we not going to be able to see each other when we want? response:	I guess life isn't so easy, after all.
context: That's natural, but it feels kind of lonely.\I should have stayed over at Shoji's last night, after all.\Shoji's got his job,\and he's going to start going to school now too.\He'll be busier than ever. And I've got work now.\And working is kinda tiring.\Are we not going to be able to see each other when we want?\I guess life isn't so easy, after all. response:	I thought that if I at least made it to Tokyo, I could have everything my way.
context: I should have stayed over at Shoji's last night, after all.\Shoji's got his job,\and he's going to start going to school now too.\He'll be busier than ever. And I've got work now.\And working is kinda tiring.\Are we not going to be able to see each other when we want?\I guess life isn't so easy, after all.\I thought that if I at least made it to Tokyo, I could have everything my way. response:	In fact, I am getting my way, aren't I?
context: Shoji's got his job,\and he's going to start going to school now too.\He'll be busier than ever. And I've got work now.\And working is kinda tiring.\Are we not going to be able to see each other when we want?\I guess life isn't so easy, after all.\I thought that if I at least made it to Tokyo, I could have everything my way.\In fact, I am getting my way, aren't I? response:	It's almost scary. I'm on a roll, even.
context: and he's going to start going to school now too.\He'll be busier than ever. And I've got work now.\And working is kinda tiring.\Are we not going to be able to see each other when we want?\I guess life isn't so easy, after all.\I thought that if I at least made it to Tokyo, I could have everything my way.\In fact, I am getting my way, aren't I?\It's almost scary. I'm on a roll, even. response:	But I hardly get the feeling I've grasped anything in these hands.
context: He'll be busier than ever. And I've got work now.\And working is kinda tiring.\Are we not going to be able to see each other when we want?\I guess life isn't so easy, after all.\I thought that if I at least made it to Tokyo, I could have everything my way.\In fact, I am getting my way, aren't I?\It's almost scary. I'm on a roll, even.\But I hardly get the feeling I've grasped anything in these hands. response:	I wonder why?
context: And working is kinda tiring.\Are we not going to be able to see each other when we want?\I guess life isn't so easy, after all.\I thought that if I at least made it to Tokyo, I could have everything my way.\In fact, I am getting my way, aren't I?\It's almost scary. I'm on a roll, even.\But I hardly get the feeling I've grasped anything in these hands.\I wonder why? response:	Besides, what is it that I really want?
context: Are we not going to be able to see each other when we want?\I guess life isn't so easy, after all.\I thought that if I at least made it to Tokyo, I could have everything my way.\In fact, I am getting my way, aren't I?\It's almost scary. I'm on a roll, even.\But I hardly get the feeling I've grasped anything in these hands.\I wonder why?\Besides, what is it that I really want? response:	Time with Shoji...
context: I guess life isn't so easy, after all.\I thought that if I at least made it to Tokyo, I could have everything my way.\In fact, I am getting my way, aren't I?\It's almost scary. I'm on a roll, even.\But I hardly get the feeling I've grasped anything in these hands.\I wonder why?\Besides, what is it that I really want?\Time with Shoji... response:	cute clothes and knick-knacks... classy apartment and furniture...
context: I thought that if I at least made it to Tokyo, I could have everything my way.\In fact, I am getting my way, aren't I?\It's almost scary. I'm on a roll, even.\But I hardly get the feeling I've grasped anything in these hands.\I wonder why?\Besides, what is it that I really want?\Time with Shoji...\cute clothes and knick-knacks... classy apartment and furniture... response:	Sure they're all important, but something's missing.
context: In fact, I am getting my way, aren't I?\It's almost scary. I'm on a roll, even.\But I hardly get the feeling I've grasped anything in these hands.\I wonder why?\Besides, what is it that I really want?\Time with Shoji...\cute clothes and knick-knacks... classy apartment and furniture...\Sure they're all important, but something's missing. response:	Am I asking for too much?
context: It's almost scary. I'm on a roll, even.\But I hardly get the feeling I've grasped anything in these hands.\I wonder why?\Besides, what is it that I really want?\Time with Shoji...\cute clothes and knick-knacks... classy apartment and furniture...\Sure they're all important, but something's missing.\Am I asking for too much? response:	Oh, hi Hachiko.
context: But I hardly get the feeling I've grasped anything in these hands.\I wonder why?\Besides, what is it that I really want?\Time with Shoji...\cute clothes and knick-knacks... classy apartment and furniture...\Sure they're all important, but something's missing.\Am I asking for too much?\Oh, hi Hachiko. response:	How was work?
context: I wonder why?\Besides, what is it that I really want?\Time with Shoji...\cute clothes and knick-knacks... classy apartment and furniture...\Sure they're all important, but something's missing.\Am I asking for too much?\Oh, hi Hachiko.\How was work? response:	What are you doing, Nana?
context: Besides, what is it that I really want?\Time with Shoji...\cute clothes and knick-knacks... classy apartment and furniture...\Sure they're all important, but something's missing.\Am I asking for too much?\Oh, hi Hachiko.\How was work?\What are you doing, Nana? response:	Carpentry.
context: Time with Shoji...\cute clothes and knick-knacks... classy apartment and furniture...\Sure they're all important, but something's missing.\Am I asking for too much?\Oh, hi Hachiko.\How was work?\What are you doing, Nana?\Carpentry. response:	I'm making a table and some chairs.
context: cute clothes and knick-knacks... classy apartment and furniture...\Sure they're all important, but something's missing.\Am I asking for too much?\Oh, hi Hachiko.\How was work?\What are you doing, Nana?\Carpentry.\I'm making a table and some chairs. response:	Wow! That's awesome! So elaborate and so cute!
context: Sure they're all important, but something's missing.\Am I asking for too much?\Oh, hi Hachiko.\How was work?\What are you doing, Nana?\Carpentry.\I'm making a table and some chairs.\Wow! That's awesome! So elaborate and so cute! response:	We need a table to eat on, don't we?
context: Am I asking for too much?\Oh, hi Hachiko.\How was work?\What are you doing, Nana?\Carpentry.\I'm making a table and some chairs.\Wow! That's awesome! So elaborate and so cute!\We need a table to eat on, don't we? response:	I'll be finished in a minute, so when I'm done, let's eat.
