context: It comes! From the forest! response:	Slayer! Please!
context: Leave it to me.\I have chosen the most skilled ones to assist.\Oh?\Most skilled perhaps...\but a young woman... and you even brought a child?\These two are my daughter and son.\In the province, they are the top two fighters.\You can witness their skill tonight. response:	Heard that? Do your best, Kohaku.
context: I have chosen the most skilled ones to assist.\Oh?\Most skilled perhaps...\but a young woman... and you even brought a child?\These two are my daughter and son.\In the province, they are the top two fighters.\You can witness their skill tonight.\Heard that? Do your best, Kohaku. response:	F-father... you liar.
context: Oh?\Most skilled perhaps...\but a young woman... and you even brought a child?\These two are my daughter and son.\In the province, they are the top two fighters.\You can witness their skill tonight.\Heard that? Do your best, Kohaku.\F-father... you liar. response:	It's coming! My lord!
context: Most skilled perhaps...\but a young woman... and you even brought a child?\These two are my daughter and son.\In the province, they are the top two fighters.\You can witness their skill tonight.\Heard that? Do your best, Kohaku.\F-father... you liar.\It's coming! My lord! response:	Slayer! There it is!
context: but a young woman... and you even brought a child?\These two are my daughter and son.\In the province, they are the top two fighters.\You can witness their skill tonight.\Heard that? Do your best, Kohaku.\F-father... you liar.\It's coming! My lord!\Slayer! There it is! response:	Yes!
context: These two are my daughter and son.\In the province, they are the top two fighters.\You can witness their skill tonight.\Heard that? Do your best, Kohaku.\F-father... you liar.\It's coming! My lord!\Slayer! There it is!\Yes! response:	Let's go!
context: In the province, they are the top two fighters.\You can witness their skill tonight.\Heard that? Do your best, Kohaku.\F-father... you liar.\It's coming! My lord!\Slayer! There it is!\Yes!\Let's go! response:	The demon is here again?
context: You can witness their skill tonight.\Heard that? Do your best, Kohaku.\F-father... you liar.\It's coming! My lord!\Slayer! There it is!\Yes!\Let's go!\The demon is here again? response:	That demon is also the cause of your long illness.
context: Heard that? Do your best, Kohaku.\F-father... you liar.\It's coming! My lord!\Slayer! There it is!\Yes!\Let's go!\The demon is here again?\That demon is also the cause of your long illness. response:	But Slayers have been summoned.
context: F-father... you liar.\It's coming! My lord!\Slayer! There it is!\Yes!\Let's go!\The demon is here again?\That demon is also the cause of your long illness.\But Slayers have been summoned. response:	We should see the last of that beast tonight.
context: It's coming! My lord!\Slayer! There it is!\Yes!\Let's go!\The demon is here again?\That demon is also the cause of your long illness.\But Slayers have been summoned.\We should see the last of that beast tonight. response:	Then you must hurry and get well.
context: Slayer! There it is!\Yes!\Let's go!\The demon is here again?\That demon is also the cause of your long illness.\But Slayers have been summoned.\We should see the last of that beast tonight.\Then you must hurry and get well. response:	Slayers?
context: Yes!\Let's go!\The demon is here again?\That demon is also the cause of your long illness.\But Slayers have been summoned.\We should see the last of that beast tonight.\Then you must hurry and get well.\Slayers? response:	Surround it!
context: Let's go!\The demon is here again?\That demon is also the cause of your long illness.\But Slayers have been summoned.\We should see the last of that beast tonight.\Then you must hurry and get well.\Slayers?\Surround it! response:	Kohaku!
context: The demon is here again?\That demon is also the cause of your long illness.\But Slayers have been summoned.\We should see the last of that beast tonight.\Then you must hurry and get well.\Slayers?\Surround it!\Kohaku! response:	Take a deep breath and go, Kohaku!
context: That demon is also the cause of your long illness.\But Slayers have been summoned.\We should see the last of that beast tonight.\Then you must hurry and get well.\Slayers?\Surround it!\Kohaku!\Take a deep breath and go, Kohaku! response:	Come on!
context: But Slayers have been summoned.\We should see the last of that beast tonight.\Then you must hurry and get well.\Slayers?\Surround it!\Kohaku!\Take a deep breath and go, Kohaku!\Come on! response:	All right! Got it!
context: We should see the last of that beast tonight.\Then you must hurry and get well.\Slayers?\Surround it!\Kohaku!\Take a deep breath and go, Kohaku!\Come on!\All right! Got it! response:	Hiraikotsu!
context: Then you must hurry and get well.\Slayers?\Surround it!\Kohaku!\Take a deep breath and go, Kohaku!\Come on!\All right! Got it!\Hiraikotsu! response:	Awesome, Sister!
context: Slayers?\Surround it!\Kohaku!\Take a deep breath and go, Kohaku!\Come on!\All right! Got it!\Hiraikotsu!\Awesome, Sister! response:	Sango is the best in the province.
context: Surround it!\Kohaku!\Take a deep breath and go, Kohaku!\Come on!\All right! Got it!\Hiraikotsu!\Awesome, Sister!\Sango is the best in the province. response:	Wow!
context: Kohaku!\Take a deep breath and go, Kohaku!\Come on!\All right! Got it!\Hiraikotsu!\Awesome, Sister!\Sango is the best in the province.\Wow! response:	She slayed the giant spider in one sweep!
context: Take a deep breath and go, Kohaku!\Come on!\All right! Got it!\Hiraikotsu!\Awesome, Sister!\Sango is the best in the province.\Wow!\She slayed the giant spider in one sweep! response:	Let's finish this up!
context: Come on!\All right! Got it!\Hiraikotsu!\Awesome, Sister!\Sango is the best in the province.\Wow!\She slayed the giant spider in one sweep!\Let's finish this up! response:	Crash its head!
context: All right! Got it!\Hiraikotsu!\Awesome, Sister!\Sango is the best in the province.\Wow!\She slayed the giant spider in one sweep!\Let's finish this up!\Crash its head! response:	Okay, me too!
context: Hiraikotsu!\Awesome, Sister!\Sango is the best in the province.\Wow!\She slayed the giant spider in one sweep!\Let's finish this up!\Crash its head!\Okay, me too! response:	It may've been huge, but it was such easy prey.
context: Awesome, Sister!\Sango is the best in the province.\Wow!\She slayed the giant spider in one sweep!\Let's finish this up!\Crash its head!\Okay, me too!\It may've been huge, but it was such easy prey. response:	It was too easy...
context: Sango is the best in the province.\Wow!\She slayed the giant spider in one sweep!\Let's finish this up!\Crash its head!\Okay, me too!\It may've been huge, but it was such easy prey.\It was too easy... response:	This spider... I don't like it...
context: Wow!\She slayed the giant spider in one sweep!\Let's finish this up!\Crash its head!\Okay, me too!\It may've been huge, but it was such easy prey.\It was too easy...\This spider... I don't like it... response:	Why?
context: She slayed the giant spider in one sweep!\Let's finish this up!\Crash its head!\Okay, me too!\It may've been huge, but it was such easy prey.\It was too easy...\This spider... I don't like it...\Why? response:	Kohaku... why did you slay Father and?!
context: Let's finish this up!\Crash its head!\Okay, me too!\It may've been huge, but it was such easy prey.\It was too easy...\This spider... I don't like it...\Why?\Kohaku... why did you slay Father and?! response:	Stop, Kohaku!
context: Crash its head!\Okay, me too!\It may've been huge, but it was such easy prey.\It was too easy...\This spider... I don't like it...\Why?\Kohaku... why did you slay Father and?!\Stop, Kohaku! response:	Don't you recognize me?!
context: Okay, me too!\It may've been huge, but it was such easy prey.\It was too easy...\This spider... I don't like it...\Why?\Kohaku... why did you slay Father and?!\Stop, Kohaku!\Don't you recognize me?! response:	Hey! Slayer?!
context: It may've been huge, but it was such easy prey.\It was too easy...\This spider... I don't like it...\Why?\Kohaku... why did you slay Father and?!\Stop, Kohaku!\Don't you recognize me?!\Hey! Slayer?! response:	What happened?!
context: It was too easy...\This spider... I don't like it...\Why?\Kohaku... why did you slay Father and?!\Stop, Kohaku!\Don't you recognize me?!\Hey! Slayer?!\What happened?! response:	Let them be...
context: This spider... I don't like it...\Why?\Kohaku... why did you slay Father and?!\Stop, Kohaku!\Don't you recognize me?!\Hey! Slayer?!\What happened?!\Let them be... response:	This is very entertaining.
context: Why?\Kohaku... why did you slay Father and?!\Stop, Kohaku!\Don't you recognize me?!\Hey! Slayer?!\What happened?!\Let them be...\This is very entertaining. response:	What happened, Kohaku?!
context: Kohaku... why did you slay Father and?!\Stop, Kohaku!\Don't you recognize me?!\Hey! Slayer?!\What happened?!\Let them be...\This is very entertaining.\What happened, Kohaku?! response:	The thread... of the spider...
context: Stop, Kohaku!\Don't you recognize me?!\Hey! Slayer?!\What happened?!\Let them be...\This is very entertaining.\What happened, Kohaku?!\The thread... of the spider... response:	Why you!
context: Don't you recognize me?!\Hey! Slayer?!\What happened?!\Let them be...\This is very entertaining.\What happened, Kohaku?!\The thread... of the spider...\Why you! response:	Is this your doing?! I'll kill you!
context: Hey! Slayer?!\What happened?!\Let them be...\This is very entertaining.\What happened, Kohaku?!\The thread... of the spider...\Why you!\Is this your doing?! I'll kill you! response:	These siblings have both gone mad!
context: What happened?!\Let them be...\This is very entertaining.\What happened, Kohaku?!\The thread... of the spider...\Why you!\Is this your doing?! I'll kill you!\These siblings have both gone mad! response:	- Kill them! - Yes!
context: Let them be...\This is very entertaining.\What happened, Kohaku?!\The thread... of the spider...\Why you!\Is this your doing?! I'll kill you!\These siblings have both gone mad!\- Kill them! - Yes! response:	Damn!
context: This is very entertaining.\What happened, Kohaku?!\The thread... of the spider...\Why you!\Is this your doing?! I'll kill you!\These siblings have both gone mad!\- Kill them! - Yes!\Damn! response:	S-sister!
context: What happened, Kohaku?!\The thread... of the spider...\Why you!\Is this your doing?! I'll kill you!\These siblings have both gone mad!\- Kill them! - Yes!\Damn!\S-sister! response:	Kohaku?!
context: The thread... of the spider...\Why you!\Is this your doing?! I'll kill you!\These siblings have both gone mad!\- Kill them! - Yes!\Damn!\S-sister!\Kohaku?! response:	Sister!
context: Why you!\Is this your doing?! I'll kill you!\These siblings have both gone mad!\- Kill them! - Yes!\Damn!\S-sister!\Kohaku?!\Sister! response:	Kohaku!
context: Is this your doing?! I'll kill you!\These siblings have both gone mad!\- Kill them! - Yes!\Damn!\S-sister!\Kohaku?!\Sister!\Kohaku! response:	Cast your arrows at these crazed two!
context: These siblings have both gone mad!\- Kill them! - Yes!\Damn!\S-sister!\Kohaku?!\Sister!\Kohaku!\Cast your arrows at these crazed two! response:	K-kohaku!
context: - Kill them! - Yes!\Damn!\S-sister!\Kohaku?!\Sister!\Kohaku!\Cast your arrows at these crazed two!\K-kohaku! response:	S-sister! I'm scared!
context: Damn!\S-sister!\Kohaku?!\Sister!\Kohaku!\Cast your arrows at these crazed two!\K-kohaku!\S-sister! I'm scared! response:	It's all right. I'm with...
context: S-sister!\Kohaku?!\Sister!\Kohaku!\Cast your arrows at these crazed two!\K-kohaku!\S-sister! I'm scared!\It's all right. I'm with... response:	The siblings have made up. So nice, so nice...
context: Kohaku?!\Sister!\Kohaku!\Cast your arrows at these crazed two!\K-kohaku!\S-sister! I'm scared!\It's all right. I'm with...\The siblings have made up. So nice, so nice... response:	Lord!
context: Sister!\Kohaku!\Cast your arrows at these crazed two!\K-kohaku!\S-sister! I'm scared!\It's all right. I'm with...\The siblings have made up. So nice, so nice...\Lord! response:	Young Lord, what have you done?!
context: Kohaku!\Cast your arrows at these crazed two!\K-kohaku!\S-sister! I'm scared!\It's all right. I'm with...\The siblings have made up. So nice, so nice...\Lord!\Young Lord, what have you done?! response:	He is not Father.
context: Cast your arrows at these crazed two!\K-kohaku!\S-sister! I'm scared!\It's all right. I'm with...\The siblings have made up. So nice, so nice...\Lord!\Young Lord, what have you done?!\He is not Father. response:	Take a good look.
context: K-kohaku!\S-sister! I'm scared!\It's all right. I'm with...\The siblings have made up. So nice, so nice...\Lord!\Young Lord, what have you done?!\He is not Father.\Take a good look. response:	T-this is...
context: S-sister! I'm scared!\It's all right. I'm with...\The siblings have made up. So nice, so nice...\Lord!\Young Lord, what have you done?!\He is not Father.\Take a good look.\T-this is... response:	A demon!
context: It's all right. I'm with...\The siblings have made up. So nice, so nice...\Lord!\Young Lord, what have you done?!\He is not Father.\Take a good look.\T-this is...\A demon! response:	I had been thinking that Father was acting differently.
context: The siblings have made up. So nice, so nice...\Lord!\Young Lord, what have you done?!\He is not Father.\Take a good look.\T-this is...\A demon!\I had been thinking that Father was acting differently. response:	He had been possessed by the demon.
context: Lord!\Young Lord, what have you done?!\He is not Father.\Take a good look.\T-this is...\A demon!\I had been thinking that Father was acting differently.\He had been possessed by the demon. response:	It's too bad about those Slayers.
context: Young Lord, what have you done?!\He is not Father.\Take a good look.\T-this is...\A demon!\I had been thinking that Father was acting differently.\He had been possessed by the demon.\It's too bad about those Slayers. response:	Bury them in a corner of the garden.
context: He is not Father.\Take a good look.\T-this is...\A demon!\I had been thinking that Father was acting differently.\He had been possessed by the demon.\It's too bad about those Slayers.\Bury them in a corner of the garden. response:	Yes, sire!
context: Take a good look.\T-this is...\A demon!\I had been thinking that Father was acting differently.\He had been possessed by the demon.\It's too bad about those Slayers.\Bury them in a corner of the garden.\Yes, sire! response:	This is not good...
context: T-this is...\A demon!\I had been thinking that Father was acting differently.\He had been possessed by the demon.\It's too bad about those Slayers.\Bury them in a corner of the garden.\Yes, sire!\This is not good... response:	no one knows where the Village of the Demon Slayers is.
context: A demon!\I had been thinking that Father was acting differently.\He had been possessed by the demon.\It's too bad about those Slayers.\Bury them in a corner of the garden.\Yes, sire!\This is not good...\no one knows where the Village of the Demon Slayers is. response:	All they can say is it's in the mountain...
context: I had been thinking that Father was acting differently.\He had been possessed by the demon.\It's too bad about those Slayers.\Bury them in a corner of the garden.\Yes, sire!\This is not good...\no one knows where the Village of the Demon Slayers is.\All they can say is it's in the mountain... response:	Shaddup! Just find them!
context: He had been possessed by the demon.\It's too bad about those Slayers.\Bury them in a corner of the garden.\Yes, sire!\This is not good...\no one knows where the Village of the Demon Slayers is.\All they can say is it's in the mountain...\Shaddup! Just find them! response:	Inuyasha... You intend to steal the Jewel fragments from them?
context: It's too bad about those Slayers.\Bury them in a corner of the garden.\Yes, sire!\This is not good...\no one knows where the Village of the Demon Slayers is.\All they can say is it's in the mountain...\Shaddup! Just find them!\Inuyasha... You intend to steal the Jewel fragments from them? response:	Of course!
context: Bury them in a corner of the garden.\Yes, sire!\This is not good...\no one knows where the Village of the Demon Slayers is.\All they can say is it's in the mountain...\Shaddup! Just find them!\Inuyasha... You intend to steal the Jewel fragments from them?\Of course! response:	Hopefully, we won't be slayed first.
context: Yes, sire!\This is not good...\no one knows where the Village of the Demon Slayers is.\All they can say is it's in the mountain...\Shaddup! Just find them!\Inuyasha... You intend to steal the Jewel fragments from them?\Of course!\Hopefully, we won't be slayed first. response:	I'll say! Those people are supposed to be pros.
context: This is not good...\no one knows where the Village of the Demon Slayers is.\All they can say is it's in the mountain...\Shaddup! Just find them!\Inuyasha... You intend to steal the Jewel fragments from them?\Of course!\Hopefully, we won't be slayed first.\I'll say! Those people are supposed to be pros. response:	But I'm curious, too...
context: no one knows where the Village of the Demon Slayers is.\All they can say is it's in the mountain...\Shaddup! Just find them!\Inuyasha... You intend to steal the Jewel fragments from them?\Of course!\Hopefully, we won't be slayed first.\I'll say! Those people are supposed to be pros.\But I'm curious, too... response:	about how the Sacred Jewel came to be.
context: All they can say is it's in the mountain...\Shaddup! Just find them!\Inuyasha... You intend to steal the Jewel fragments from them?\Of course!\Hopefully, we won't be slayed first.\I'll say! Those people are supposed to be pros.\But I'm curious, too...\about how the Sacred Jewel came to be. response:	They claim that the Sacred Jewel first appeared in their province.
context: Shaddup! Just find them!\Inuyasha... You intend to steal the Jewel fragments from them?\Of course!\Hopefully, we won't be slayed first.\I'll say! Those people are supposed to be pros.\But I'm curious, too...\about how the Sacred Jewel came to be.\They claim that the Sacred Jewel first appeared in their province. response:	I'm sure Inuyasha wants to know about this, too.
context: Inuyasha... You intend to steal the Jewel fragments from them?\Of course!\Hopefully, we won't be slayed first.\I'll say! Those people are supposed to be pros.\But I'm curious, too...\about how the Sacred Jewel came to be.\They claim that the Sacred Jewel first appeared in their province.\I'm sure Inuyasha wants to know about this, too. response:	What is it? This ominous wind...
context: Of course!\Hopefully, we won't be slayed first.\I'll say! Those people are supposed to be pros.\But I'm curious, too...\about how the Sacred Jewel came to be.\They claim that the Sacred Jewel first appeared in their province.\I'm sure Inuyasha wants to know about this, too.\What is it? This ominous wind... response:	Something is approaching... Lots of them.
context: Hopefully, we won't be slayed first.\I'll say! Those people are supposed to be pros.\But I'm curious, too...\about how the Sacred Jewel came to be.\They claim that the Sacred Jewel first appeared in their province.\I'm sure Inuyasha wants to know about this, too.\What is it? This ominous wind...\Something is approaching... Lots of them. response:	A hoard of demons!
context: I'll say! Those people are supposed to be pros.\But I'm curious, too...\about how the Sacred Jewel came to be.\They claim that the Sacred Jewel first appeared in their province.\I'm sure Inuyasha wants to know about this, too.\What is it? This ominous wind...\Something is approaching... Lots of them.\A hoard of demons! response:	What is this awful feeling?
context: But I'm curious, too...\about how the Sacred Jewel came to be.\They claim that the Sacred Jewel first appeared in their province.\I'm sure Inuyasha wants to know about this, too.\What is it? This ominous wind...\Something is approaching... Lots of them.\A hoard of demons!\What is this awful feeling? response:	This is really weird!
context: about how the Sacred Jewel came to be.\They claim that the Sacred Jewel first appeared in their province.\I'm sure Inuyasha wants to know about this, too.\What is it? This ominous wind...\Something is approaching... Lots of them.\A hoard of demons!\What is this awful feeling?\This is really weird! response:	She's right... I'm starting to feel worse and worse.
context: They claim that the Sacred Jewel first appeared in their province.\I'm sure Inuyasha wants to know about this, too.\What is it? This ominous wind...\Something is approaching... Lots of them.\A hoard of demons!\What is this awful feeling?\This is really weird!\She's right... I'm starting to feel worse and worse. response:	Death is in the air!
context: I'm sure Inuyasha wants to know about this, too.\What is it? This ominous wind...\Something is approaching... Lots of them.\A hoard of demons!\What is this awful feeling?\This is really weird!\She's right... I'm starting to feel worse and worse.\Death is in the air! response:	They're going to attack something!
context: What is it? This ominous wind...\Something is approaching... Lots of them.\A hoard of demons!\What is this awful feeling?\This is really weird!\She's right... I'm starting to feel worse and worse.\Death is in the air!\They're going to attack something! response:	Let's go after them!
context: Something is approaching... Lots of them.\A hoard of demons!\What is this awful feeling?\This is really weird!\She's right... I'm starting to feel worse and worse.\Death is in the air!\They're going to attack something!\Let's go after them! response:	The sibling Slayers... They were still so young.
context: A hoard of demons!\What is this awful feeling?\This is really weird!\She's right... I'm starting to feel worse and worse.\Death is in the air!\They're going to attack something!\Let's go after them!\The sibling Slayers... They were still so young. response:	Poor things.
context: What is this awful feeling?\This is really weird!\She's right... I'm starting to feel worse and worse.\Death is in the air!\They're going to attack something!\Let's go after them!\The sibling Slayers... They were still so young.\Poor things. response:	Damn!
context: This is really weird!\She's right... I'm starting to feel worse and worse.\Death is in the air!\They're going to attack something!\Let's go after them!\The sibling Slayers... They were still so young.\Poor things.\Damn! response:	Slayer!
context: She's right... I'm starting to feel worse and worse.\Death is in the air!\They're going to attack something!\Let's go after them!\The sibling Slayers... They were still so young.\Poor things.\Damn!\Slayer! response:	You are still alive?
context: Death is in the air!\They're going to attack something!\Let's go after them!\The sibling Slayers... They were still so young.\Poor things.\Damn!\Slayer!\You are still alive? response:	You seem to have avenged your long-harbored grudge.
context: They're going to attack something!\Let's go after them!\The sibling Slayers... They were still so young.\Poor things.\Damn!\Slayer!\You are still alive?\You seem to have avenged your long-harbored grudge. response:	After I told you that the Slayers were not at this fortress...
context: Let's go after them!\The sibling Slayers... They were still so young.\Poor things.\Damn!\Slayer!\You are still alive?\You seem to have avenged your long-harbored grudge.\After I told you that the Slayers were not at this fortress... response:	you're going to attack me?
context: The sibling Slayers... They were still so young.\Poor things.\Damn!\Slayer!\You are still alive?\You seem to have avenged your long-harbored grudge.\After I told you that the Slayers were not at this fortress...\you're going to attack me? response:	Such fools...
context: Poor things.\Damn!\Slayer!\You are still alive?\You seem to have avenged your long-harbored grudge.\After I told you that the Slayers were not at this fortress...\you're going to attack me?\Such fools... response:	That's!
context: Damn!\Slayer!\You are still alive?\You seem to have avenged your long-harbored grudge.\After I told you that the Slayers were not at this fortress...\you're going to attack me?\Such fools...\That's! response:	A fortress?
context: Slayer!\You are still alive?\You seem to have avenged your long-harbored grudge.\After I told you that the Slayers were not at this fortress...\you're going to attack me?\Such fools...\That's!\A fortress? response:	The demons were headed...
context: You are still alive?\You seem to have avenged your long-harbored grudge.\After I told you that the Slayers were not at this fortress...\you're going to attack me?\Such fools...\That's!\A fortress?\The demons were headed... response:	Here!
context: You seem to have avenged your long-harbored grudge.\After I told you that the Slayers were not at this fortress...\you're going to attack me?\Such fools...\That's!\A fortress?\The demons were headed...\Here! response:	Wait!
context: After I told you that the Slayers were not at this fortress...\you're going to attack me?\Such fools...\That's!\A fortress?\The demons were headed...\Here!\Wait! response:	T-this is!
context: you're going to attack me?\Such fools...\That's!\A fortress?\The demons were headed...\Here!\Wait!\T-this is! response:	A battlefield of demons?
context: Such fools...\That's!\A fortress?\The demons were headed...\Here!\Wait!\T-this is!\A battlefield of demons? response:	No mistake...
context: That's!\A fortress?\The demons were headed...\Here!\Wait!\T-this is!\A battlefield of demons?\No mistake... response:	This is the village of the Demon Slayers.
context: A fortress?\The demons were headed...\Here!\Wait!\T-this is!\A battlefield of demons?\No mistake...\This is the village of the Demon Slayers. response:	What's the matter, Kagome?
context: The demons were headed...\Here!\Wait!\T-this is!\A battlefield of demons?\No mistake...\This is the village of the Demon Slayers.\What's the matter, Kagome? response:	I don't sense the presence of Jewel fragments.
context: Here!\Wait!\T-this is!\A battlefield of demons?\No mistake...\This is the village of the Demon Slayers.\What's the matter, Kagome?\I don't sense the presence of Jewel fragments. response:	Meaning... we're too late?
context: Wait!\T-this is!\A battlefield of demons?\No mistake...\This is the village of the Demon Slayers.\What's the matter, Kagome?\I don't sense the presence of Jewel fragments.\Meaning... we're too late? response:	If we go after them now, we can catch up!
context: T-this is!\A battlefield of demons?\No mistake...\This is the village of the Demon Slayers.\What's the matter, Kagome?\I don't sense the presence of Jewel fragments.\Meaning... we're too late?\If we go after them now, we can catch up! response:	First, let's bury the dead.
context: A battlefield of demons?\No mistake...\This is the village of the Demon Slayers.\What's the matter, Kagome?\I don't sense the presence of Jewel fragments.\Meaning... we're too late?\If we go after them now, we can catch up!\First, let's bury the dead. response:	Otherwise it'd be too cruel.
context: No mistake...\This is the village of the Demon Slayers.\What's the matter, Kagome?\I don't sense the presence of Jewel fragments.\Meaning... we're too late?\If we go after them now, we can catch up!\First, let's bury the dead.\Otherwise it'd be too cruel. response:	You're right.
context: This is the village of the Demon Slayers.\What's the matter, Kagome?\I don't sense the presence of Jewel fragments.\Meaning... we're too late?\If we go after them now, we can catch up!\First, let's bury the dead.\Otherwise it'd be too cruel.\You're right. response:	There's something!
context: What's the matter, Kagome?\I don't sense the presence of Jewel fragments.\Meaning... we're too late?\If we go after them now, we can catch up!\First, let's bury the dead.\Otherwise it'd be too cruel.\You're right.\There's something! response:	A demon survivor!
context: I don't sense the presence of Jewel fragments.\Meaning... we're too late?\If we go after them now, we can catch up!\First, let's bury the dead.\Otherwise it'd be too cruel.\You're right.\There's something!\A demon survivor! response:	That voice... belongs to Inuyasha.
context: Meaning... we're too late?\If we go after them now, we can catch up!\First, let's bury the dead.\Otherwise it'd be too cruel.\You're right.\There's something!\A demon survivor!\That voice... belongs to Inuyasha. response:	- Huh? - It spoke!
context: If we go after them now, we can catch up!\First, let's bury the dead.\Otherwise it'd be too cruel.\You're right.\There's something!\A demon survivor!\That voice... belongs to Inuyasha.\- Huh? - It spoke! response:	Back off, Kirara.
context: First, let's bury the dead.\Otherwise it'd be too cruel.\You're right.\There's something!\A demon survivor!\That voice... belongs to Inuyasha.\- Huh? - It spoke!\Back off, Kirara. response:	These people are not enemies.
context: Otherwise it'd be too cruel.\You're right.\There's something!\A demon survivor!\That voice... belongs to Inuyasha.\- Huh? - It spoke!\Back off, Kirara.\These people are not enemies. response:	- W-wha! - How cute!
context: You're right.\There's something!\A demon survivor!\That voice... belongs to Inuyasha.\- Huh? - It spoke!\Back off, Kirara.\These people are not enemies.\- W-wha! - How cute! response:	It has been such a long time.
context: There's something!\A demon survivor!\That voice... belongs to Inuyasha.\- Huh? - It spoke!\Back off, Kirara.\These people are not enemies.\- W-wha! - How cute!\It has been such a long time. response:	Old Myoga!
context: A demon survivor!\That voice... belongs to Inuyasha.\- Huh? - It spoke!\Back off, Kirara.\These people are not enemies.\- W-wha! - How cute!\It has been such a long time.\Old Myoga! response:	What're you doing here?!
context: That voice... belongs to Inuyasha.\- Huh? - It spoke!\Back off, Kirara.\These people are not enemies.\- W-wha! - How cute!\It has been such a long time.\Old Myoga!\What're you doing here?! response:	Oh dear...
context: - Huh? - It spoke!\Back off, Kirara.\These people are not enemies.\- W-wha! - How cute!\It has been such a long time.\Old Myoga!\What're you doing here?!\Oh dear... response:	You know him?
context: Back off, Kirara.\These people are not enemies.\- W-wha! - How cute!\It has been such a long time.\Old Myoga!\What're you doing here?!\Oh dear...\You know him? response:	He's Inuyasha's vassal... or tries to be.
context: These people are not enemies.\- W-wha! - How cute!\It has been such a long time.\Old Myoga!\What're you doing here?!\Oh dear...\You know him?\He's Inuyasha's vassal... or tries to be. response:	Precisely... this is the secret province of the Demon Slayers.
context: - W-wha! - How cute!\It has been such a long time.\Old Myoga!\What're you doing here?!\Oh dear...\You know him?\He's Inuyasha's vassal... or tries to be.\Precisely... this is the secret province of the Demon Slayers. response:	For generations, the people of this village...
context: It has been such a long time.\Old Myoga!\What're you doing here?!\Oh dear...\You know him?\He's Inuyasha's vassal... or tries to be.\Precisely... this is the secret province of the Demon Slayers.\For generations, the people of this village... response:	have trained and worked to get rid of demons.
context: Old Myoga!\What're you doing here?!\Oh dear...\You know him?\He's Inuyasha's vassal... or tries to be.\Precisely... this is the secret province of the Demon Slayers.\For generations, the people of this village...\have trained and worked to get rid of demons. response:	Well then, they must've been hated by the demons.
context: What're you doing here?!\Oh dear...\You know him?\He's Inuyasha's vassal... or tries to be.\Precisely... this is the secret province of the Demon Slayers.\For generations, the people of this village...\have trained and worked to get rid of demons.\Well then, they must've been hated by the demons. response:	However...
context: Oh dear...\You know him?\He's Inuyasha's vassal... or tries to be.\Precisely... this is the secret province of the Demon Slayers.\For generations, the people of this village...\have trained and worked to get rid of demons.\Well then, they must've been hated by the demons.\However... response:	to be attacked now of all times.
context: You know him?\He's Inuyasha's vassal... or tries to be.\Precisely... this is the secret province of the Demon Slayers.\For generations, the people of this village...\have trained and worked to get rid of demons.\Well then, they must've been hated by the demons.\However...\to be attacked now of all times. response:	A number of the warriors had been summoned to a castle...
context: He's Inuyasha's vassal... or tries to be.\Precisely... this is the secret province of the Demon Slayers.\For generations, the people of this village...\have trained and worked to get rid of demons.\Well then, they must've been hated by the demons.\However...\to be attacked now of all times.\A number of the warriors had been summoned to a castle... response:	and this village was left with few to protect it.
context: Precisely... this is the secret province of the Demon Slayers.\For generations, the people of this village...\have trained and worked to get rid of demons.\Well then, they must've been hated by the demons.\However...\to be attacked now of all times.\A number of the warriors had been summoned to a castle...\and this village was left with few to protect it. response:	I have this bad feeling.
context: For generations, the people of this village...\have trained and worked to get rid of demons.\Well then, they must've been hated by the demons.\However...\to be attacked now of all times.\A number of the warriors had been summoned to a castle...\and this village was left with few to protect it.\I have this bad feeling. response:	I wonder if those who went to the castle are safe?
context: have trained and worked to get rid of demons.\Well then, they must've been hated by the demons.\However...\to be attacked now of all times.\A number of the warriors had been summoned to a castle...\and this village was left with few to protect it.\I have this bad feeling.\I wonder if those who went to the castle are safe? response:	I'm glad... at least you are alive.
context: Well then, they must've been hated by the demons.\However...\to be attacked now of all times.\A number of the warriors had been summoned to a castle...\and this village was left with few to protect it.\I have this bad feeling.\I wonder if those who went to the castle are safe?\I'm glad... at least you are alive. response:	You there, Slayer! Answer the young Lord!
context: However...\to be attacked now of all times.\A number of the warriors had been summoned to a castle...\and this village was left with few to protect it.\I have this bad feeling.\I wonder if those who went to the castle are safe?\I'm glad... at least you are alive.\You there, Slayer! Answer the young Lord! response:	Old one, that's enough.
context: to be attacked now of all times.\A number of the warriors had been summoned to a castle...\and this village was left with few to protect it.\I have this bad feeling.\I wonder if those who went to the castle are safe?\I'm glad... at least you are alive.\You there, Slayer! Answer the young Lord!\Old one, that's enough. response:	B-but...
context: A number of the warriors had been summoned to a castle...\and this village was left with few to protect it.\I have this bad feeling.\I wonder if those who went to the castle are safe?\I'm glad... at least you are alive.\You there, Slayer! Answer the young Lord!\Old one, that's enough.\B-but... response:	Your name is Sango, right?
context: and this village was left with few to protect it.\I have this bad feeling.\I wonder if those who went to the castle are safe?\I'm glad... at least you are alive.\You there, Slayer! Answer the young Lord!\Old one, that's enough.\B-but...\Your name is Sango, right? response:	I'm sorry...
