context: True Calendar Year 70 Sakimori Academy Entrance Ceremony response:	To all of our new students,
context: He hasn't checked in!\It's Units 3 and 5 that are the real problem.\What about Haruto's Unit 1?\I can't reach him.\Maybe I should go take a look.\It's too dangerous! We're waiting here for L-elf!\Still no signal...\Even though I'm ready and waiting to hack the ship! response:	They're finally here!
context: It's Units 3 and 5 that are the real problem.\What about Haruto's Unit 1?\I can't reach him.\Maybe I should go take a look.\It's too dangerous! We're waiting here for L-elf!\Still no signal...\Even though I'm ready and waiting to hack the ship!\They're finally here! response:	Look at all of them!
context: What about Haruto's Unit 1?\I can't reach him.\Maybe I should go take a look.\It's too dangerous! We're waiting here for L-elf!\Still no signal...\Even though I'm ready and waiting to hack the ship!\They're finally here!\Look at all of them! response:	We can't handle all these!
context: I can't reach him.\Maybe I should go take a look.\It's too dangerous! We're waiting here for L-elf!\Still no signal...\Even though I'm ready and waiting to hack the ship!\They're finally here!\Look at all of them!\We can't handle all these! response:	The army's trying to save face, huh?
context: Maybe I should go take a look.\It's too dangerous! We're waiting here for L-elf!\Still no signal...\Even though I'm ready and waiting to hack the ship!\They're finally here!\Look at all of them!\We can't handle all these!\The army's trying to save face, huh? response:	Too bad, we seem to be doing just fine.
context: It's too dangerous! We're waiting here for L-elf!\Still no signal...\Even though I'm ready and waiting to hack the ship!\They're finally here!\Look at all of them!\We can't handle all these!\The army's trying to save face, huh?\Too bad, we seem to be doing just fine. response:	X-eins! H-neun! We're falling back.
context: Still no signal...\Even though I'm ready and waiting to hack the ship!\They're finally here!\Look at all of them!\We can't handle all these!\The army's trying to save face, huh?\Too bad, we seem to be doing just fine.\X-eins! H-neun! We're falling back. response:	Huh?
context: Even though I'm ready and waiting to hack the ship!\They're finally here!\Look at all of them!\We can't handle all these!\The army's trying to save face, huh?\Too bad, we seem to be doing just fine.\X-eins! H-neun! We're falling back.\Huh? response:	Our objective is simply the operational testing of the Kirschbaums.
context: They're finally here!\Look at all of them!\We can't handle all these!\The army's trying to save face, huh?\Too bad, we seem to be doing just fine.\X-eins! H-neun! We're falling back.\Huh?\Our objective is simply the operational testing of the Kirschbaums. response:	Besides, as much as I hate to say it, we don't have jurisdiction here.
context: Look at all of them!\We can't handle all these!\The army's trying to save face, huh?\Too bad, we seem to be doing just fine.\X-eins! H-neun! We're falling back.\Huh?\Our objective is simply the operational testing of the Kirschbaums.\Besides, as much as I hate to say it, we don't have jurisdiction here. response:	Hey, are you all right?
context: We can't handle all these!\The army's trying to save face, huh?\Too bad, we seem to be doing just fine.\X-eins! H-neun! We're falling back.\Huh?\Our objective is simply the operational testing of the Kirschbaums.\Besides, as much as I hate to say it, we don't have jurisdiction here.\Hey, are you all right? response:	Pull yourself together, K-zwolf.
context: The army's trying to save face, huh?\Too bad, we seem to be doing just fine.\X-eins! H-neun! We're falling back.\Huh?\Our objective is simply the operational testing of the Kirschbaums.\Besides, as much as I hate to say it, we don't have jurisdiction here.\Hey, are you all right?\Pull yourself together, K-zwolf. response:	Wait! Calm down!
context: Too bad, we seem to be doing just fine.\X-eins! H-neun! We're falling back.\Huh?\Our objective is simply the operational testing of the Kirschbaums.\Besides, as much as I hate to say it, we don't have jurisdiction here.\Hey, are you all right?\Pull yourself together, K-zwolf.\Wait! Calm down! response:	Calm yourself, K-zwolf!
context: X-eins! H-neun! We're falling back.\Huh?\Our objective is simply the operational testing of the Kirschbaums.\Besides, as much as I hate to say it, we don't have jurisdiction here.\Hey, are you all right?\Pull yourself together, K-zwolf.\Wait! Calm down!\Calm yourself, K-zwolf! response:	K-zwolf?
context: Huh?\Our objective is simply the operational testing of the Kirschbaums.\Besides, as much as I hate to say it, we don't have jurisdiction here.\Hey, are you all right?\Pull yourself together, K-zwolf.\Wait! Calm down!\Calm yourself, K-zwolf!\K-zwolf? response:	K-zwolf...
context: Our objective is simply the operational testing of the Kirschbaums.\Besides, as much as I hate to say it, we don't have jurisdiction here.\Hey, are you all right?\Pull yourself together, K-zwolf.\Wait! Calm down!\Calm yourself, K-zwolf!\K-zwolf?\K-zwolf... response:	I've sent out a rescue signal.
context: Besides, as much as I hate to say it, we don't have jurisdiction here.\Hey, are you all right?\Pull yourself together, K-zwolf.\Wait! Calm down!\Calm yourself, K-zwolf!\K-zwolf?\K-zwolf...\I've sent out a rescue signal. response:	Don't worry.
context: Hey, are you all right?\Pull yourself together, K-zwolf.\Wait! Calm down!\Calm yourself, K-zwolf!\K-zwolf?\K-zwolf...\I've sent out a rescue signal.\Don't worry. response:	Y-Yes, sir.
context: Pull yourself together, K-zwolf.\Wait! Calm down!\Calm yourself, K-zwolf!\K-zwolf?\K-zwolf...\I've sent out a rescue signal.\Don't worry.\Y-Yes, sir. response:	You haven't mastered mental control yet, I see.
context: Wait! Calm down!\Calm yourself, K-zwolf!\K-zwolf?\K-zwolf...\I've sent out a rescue signal.\Don't worry.\Y-Yes, sir.\You haven't mastered mental control yet, I see. response:	It's no wonder, then.
context: Calm yourself, K-zwolf!\K-zwolf?\K-zwolf...\I've sent out a rescue signal.\Don't worry.\Y-Yes, sir.\You haven't mastered mental control yet, I see.\It's no wonder, then. response:	You don't have to worry, I'm with you.
context: K-zwolf?\K-zwolf...\I've sent out a rescue signal.\Don't worry.\Y-Yes, sir.\You haven't mastered mental control yet, I see.\It's no wonder, then.\You don't have to worry, I'm with you. response:	What am I gonna do? The plan is a bust!
context: K-zwolf...\I've sent out a rescue signal.\Don't worry.\Y-Yes, sir.\You haven't mastered mental control yet, I see.\It's no wonder, then.\You don't have to worry, I'm with you.\What am I gonna do? The plan is a bust! response:	I can't even try to contact the others, not with this guy here...
context: I've sent out a rescue signal.\Don't worry.\Y-Yes, sir.\You haven't mastered mental control yet, I see.\It's no wonder, then.\You don't have to worry, I'm with you.\What am I gonna do? The plan is a bust!\I can't even try to contact the others, not with this guy here... response:	Lieutenant?
context: Don't worry.\Y-Yes, sir.\You haven't mastered mental control yet, I see.\It's no wonder, then.\You don't have to worry, I'm with you.\What am I gonna do? The plan is a bust!\I can't even try to contact the others, not with this guy here...\Lieutenant? response:	Could you step to your right?
context: Y-Yes, sir.\You haven't mastered mental control yet, I see.\It's no wonder, then.\You don't have to worry, I'm with you.\What am I gonna do? The plan is a bust!\I can't even try to contact the others, not with this guy here...\Lieutenant?\Could you step to your right? response:	Yes, sir.
context: You haven't mastered mental control yet, I see.\It's no wonder, then.\You don't have to worry, I'm with you.\What am I gonna do? The plan is a bust!\I can't even try to contact the others, not with this guy here...\Lieutenant?\Could you step to your right?\Yes, sir. response:	We've stumbled across something that really takes me back!
context: It's no wonder, then.\You don't have to worry, I'm with you.\What am I gonna do? The plan is a bust!\I can't even try to contact the others, not with this guy here...\Lieutenant?\Could you step to your right?\Yes, sir.\We've stumbled across something that really takes me back! response:	Just as you are doing now,
context: You don't have to worry, I'm with you.\What am I gonna do? The plan is a bust!\I can't even try to contact the others, not with this guy here...\Lieutenant?\Could you step to your right?\Yes, sir.\We've stumbled across something that really takes me back!\Just as you are doing now, response:	I underwent Karlstein training in this area.
context: What am I gonna do? The plan is a bust!\I can't even try to contact the others, not with this guy here...\Lieutenant?\Could you step to your right?\Yes, sir.\We've stumbled across something that really takes me back!\Just as you are doing now,\I underwent Karlstein training in this area. response:	But then certain facts came to light and I was forced to kill a friend.
context: I can't even try to contact the others, not with this guy here...\Lieutenant?\Could you step to your right?\Yes, sir.\We've stumbled across something that really takes me back!\Just as you are doing now,\I underwent Karlstein training in this area.\But then certain facts came to light and I was forced to kill a friend. response:	Right here on this shoreline.
context: Lieutenant?\Could you step to your right?\Yes, sir.\We've stumbled across something that really takes me back!\Just as you are doing now,\I underwent Karlstein training in this area.\But then certain facts came to light and I was forced to kill a friend.\Right here on this shoreline. response:	My friend was a Royalist.
context: Could you step to your right?\Yes, sir.\We've stumbled across something that really takes me back!\Just as you are doing now,\I underwent Karlstein training in this area.\But then certain facts came to light and I was forced to kill a friend.\Right here on this shoreline.\My friend was a Royalist. response:	That is, he had ties to the old government.
context: Yes, sir.\We've stumbled across something that really takes me back!\Just as you are doing now,\I underwent Karlstein training in this area.\But then certain facts came to light and I was forced to kill a friend.\Right here on this shoreline.\My friend was a Royalist.\That is, he had ties to the old government. response:	If the military found out that a traitor to
context: We've stumbled across something that really takes me back!\Just as you are doing now,\I underwent Karlstein training in this area.\But then certain facts came to light and I was forced to kill a friend.\Right here on this shoreline.\My friend was a Royalist.\That is, he had ties to the old government.\If the military found out that a traitor to response:	the current regime was a member of our team,
context: Just as you are doing now,\I underwent Karlstein training in this area.\But then certain facts came to light and I was forced to kill a friend.\Right here on this shoreline.\My friend was a Royalist.\That is, he had ties to the old government.\If the military found out that a traitor to\the current regime was a member of our team, response:	the team would be put on trial for his crime.
context: I underwent Karlstein training in this area.\But then certain facts came to light and I was forced to kill a friend.\Right here on this shoreline.\My friend was a Royalist.\That is, he had ties to the old government.\If the military found out that a traitor to\the current regime was a member of our team,\the team would be put on trial for his crime. response:	H-neun. X-eins. Q-vier. Me.
context: But then certain facts came to light and I was forced to kill a friend.\Right here on this shoreline.\My friend was a Royalist.\That is, he had ties to the old government.\If the military found out that a traitor to\the current regime was a member of our team,\the team would be put on trial for his crime.\H-neun. X-eins. Q-vier. Me. response:	And L-elf.
context: Right here on this shoreline.\My friend was a Royalist.\That is, he had ties to the old government.\If the military found out that a traitor to\the current regime was a member of our team,\the team would be put on trial for his crime.\H-neun. X-eins. Q-vier. Me.\And L-elf. response:	What kind of crime?
context: My friend was a Royalist.\That is, he had ties to the old government.\If the military found out that a traitor to\the current regime was a member of our team,\the team would be put on trial for his crime.\H-neun. X-eins. Q-vier. Me.\And L-elf.\What kind of crime? response:	A capital offense.
context: That is, he had ties to the old government.\If the military found out that a traitor to\the current regime was a member of our team,\the team would be put on trial for his crime.\H-neun. X-eins. Q-vier. Me.\And L-elf.\What kind of crime?\A capital offense. response:	That's why we killed our friend in secret.
context: If the military found out that a traitor to\the current regime was a member of our team,\the team would be put on trial for his crime.\H-neun. X-eins. Q-vier. Me.\And L-elf.\What kind of crime?\A capital offense.\That's why we killed our friend in secret. response:	In order to survive.
context: the current regime was a member of our team,\the team would be put on trial for his crime.\H-neun. X-eins. Q-vier. Me.\And L-elf.\What kind of crime?\A capital offense.\That's why we killed our friend in secret.\In order to survive. response:	In order to survive...
context: the team would be put on trial for his crime.\H-neun. X-eins. Q-vier. Me.\And L-elf.\What kind of crime?\A capital offense.\That's why we killed our friend in secret.\In order to survive.\In order to survive... response:	If you are going to be killed, kill.
context: H-neun. X-eins. Q-vier. Me.\And L-elf.\What kind of crime?\A capital offense.\That's why we killed our friend in secret.\In order to survive.\In order to survive...\If you are going to be killed, kill. response:	It's something that my friend carved.
context: And L-elf.\What kind of crime?\A capital offense.\That's why we killed our friend in secret.\In order to survive.\In order to survive...\If you are going to be killed, kill.\It's something that my friend carved. response:	Pino is Marie's friend!
context: What kind of crime?\A capital offense.\That's why we killed our friend in secret.\In order to survive.\In order to survive...\If you are going to be killed, kill.\It's something that my friend carved.\Pino is Marie's friend! response:	Friend? My friend?
context: A capital offense.\That's why we killed our friend in secret.\In order to survive.\In order to survive...\If you are going to be killed, kill.\It's something that my friend carved.\Pino is Marie's friend!\Friend? My friend? response:	1796 days ago, you and I first met.
context: That's why we killed our friend in secret.\In order to survive.\In order to survive...\If you are going to be killed, kill.\It's something that my friend carved.\Pino is Marie's friend!\Friend? My friend?\1796 days ago, you and I first met. response:	Where?
context: In order to survive.\In order to survive...\If you are going to be killed, kill.\It's something that my friend carved.\Pino is Marie's friend!\Friend? My friend?\1796 days ago, you and I first met.\Where? response:	Before the Valvraves were completed,
context: In order to survive...\If you are going to be killed, kill.\It's something that my friend carved.\Pino is Marie's friend!\Friend? My friend?\1796 days ago, you and I first met.\Where?\Before the Valvraves were completed, response:	you and I were in the same place.
context: If you are going to be killed, kill.\It's something that my friend carved.\Pino is Marie's friend!\Friend? My friend?\1796 days ago, you and I first met.\Where?\Before the Valvraves were completed,\you and I were in the same place. response:	You were a test pilot.
context: It's something that my friend carved.\Pino is Marie's friend!\Friend? My friend?\1796 days ago, you and I first met.\Where?\Before the Valvraves were completed,\you and I were in the same place.\You were a test pilot. response:	That is what they called you.
context: Pino is Marie's friend!\Friend? My friend?\1796 days ago, you and I first met.\Where?\Before the Valvraves were completed,\you and I were in the same place.\You were a test pilot.\That is what they called you. response:	My vessel was still very small back then, too.
context: Friend? My friend?\1796 days ago, you and I first met.\Where?\Before the Valvraves were completed,\you and I were in the same place.\You were a test pilot.\That is what they called you.\My vessel was still very small back then, too. response:	You climbed into me every day.
context: 1796 days ago, you and I first met.\Where?\Before the Valvraves were completed,\you and I were in the same place.\You were a test pilot.\That is what they called you.\My vessel was still very small back then, too.\You climbed into me every day. response:	But you were lonely.
context: Where?\Before the Valvraves were completed,\you and I were in the same place.\You were a test pilot.\That is what they called you.\My vessel was still very small back then, too.\You climbed into me every day.\But you were lonely. response:	I'm lonely, too! So let's be friends!
context: Before the Valvraves were completed,\you and I were in the same place.\You were a test pilot.\That is what they called you.\My vessel was still very small back then, too.\You climbed into me every day.\But you were lonely.\I'm lonely, too! So let's be friends! response:	Friends? You mean it?
context: you and I were in the same place.\You were a test pilot.\That is what they called you.\My vessel was still very small back then, too.\You climbed into me every day.\But you were lonely.\I'm lonely, too! So let's be friends!\Friends? You mean it? response:	Friends? I don't know about any experiments.
context: You were a test pilot.\That is what they called you.\My vessel was still very small back then, too.\You climbed into me every day.\But you were lonely.\I'm lonely, too! So let's be friends!\Friends? You mean it?\Friends? I don't know about any experiments. response:	I ate them. The information you call memories.
context: That is what they called you.\My vessel was still very small back then, too.\You climbed into me every day.\But you were lonely.\I'm lonely, too! So let's be friends!\Friends? You mean it?\Friends? I don't know about any experiments.\I ate them. The information you call memories. response:	Consumed? Used?
context: My vessel was still very small back then, too.\You climbed into me every day.\But you were lonely.\I'm lonely, too! So let's be friends!\Friends? You mean it?\Friends? I don't know about any experiments.\I ate them. The information you call memories.\Consumed? Used? response:	Information? You mean Runes?
context: You climbed into me every day.\But you were lonely.\I'm lonely, too! So let's be friends!\Friends? You mean it?\Friends? I don't know about any experiments.\I ate them. The information you call memories.\Consumed? Used?\Information? You mean Runes? response:	Runes?
context: But you were lonely.\I'm lonely, too! So let's be friends!\Friends? You mean it?\Friends? I don't know about any experiments.\I ate them. The information you call memories.\Consumed? Used?\Information? You mean Runes?\Runes? response:	The elementary particles of information.
context: I'm lonely, too! So let's be friends!\Friends? You mean it?\Friends? I don't know about any experiments.\I ate them. The information you call memories.\Consumed? Used?\Information? You mean Runes?\Runes?\The elementary particles of information. response:	I see. The information that humans possess is memories.
context: Friends? You mean it?\Friends? I don't know about any experiments.\I ate them. The information you call memories.\Consumed? Used?\Information? You mean Runes?\Runes?\The elementary particles of information.\I see. The information that humans possess is memories. response:	Then the reason I have no memories is...
context: Friends? I don't know about any experiments.\I ate them. The information you call memories.\Consumed? Used?\Information? You mean Runes?\Runes?\The elementary particles of information.\I see. The information that humans possess is memories.\Then the reason I have no memories is... response:	Yamada! We're falling back to the sea!
context: I ate them. The information you call memories.\Consumed? Used?\Information? You mean Runes?\Runes?\The elementary particles of information.\I see. The information that humans possess is memories.\Then the reason I have no memories is...\Yamada! We're falling back to the sea! response:	Oh, crap!
context: Consumed? Used?\Information? You mean Runes?\Runes?\The elementary particles of information.\I see. The information that humans possess is memories.\Then the reason I have no memories is...\Yamada! We're falling back to the sea!\Oh, crap! response:	Run!
context: Information? You mean Runes?\Runes?\The elementary particles of information.\I see. The information that humans possess is memories.\Then the reason I have no memories is...\Yamada! We're falling back to the sea!\Oh, crap!\Run! response:	Runes. My food. I use them whenever I move.
context: Runes?\The elementary particles of information.\I see. The information that humans possess is memories.\Then the reason I have no memories is...\Yamada! We're falling back to the sea!\Oh, crap!\Run!\Runes. My food. I use them whenever I move. response:	Formless. Invisible. Energy.
context: The elementary particles of information.\I see. The information that humans possess is memories.\Then the reason I have no memories is...\Yamada! We're falling back to the sea!\Oh, crap!\Run!\Runes. My food. I use them whenever I move.\Formless. Invisible. Energy. response:	I can't believe it, you ate my memories?
context: I see. The information that humans possess is memories.\Then the reason I have no memories is...\Yamada! We're falling back to the sea!\Oh, crap!\Run!\Runes. My food. I use them whenever I move.\Formless. Invisible. Energy.\I can't believe it, you ate my memories? response:	I can't remember it!
context: Then the reason I have no memories is...\Yamada! We're falling back to the sea!\Oh, crap!\Run!\Runes. My food. I use them whenever I move.\Formless. Invisible. Energy.\I can't believe it, you ate my memories?\I can't remember it! response:	The school entrance ceremony...
context: Yamada! We're falling back to the sea!\Oh, crap!\Run!\Runes. My food. I use them whenever I move.\Formless. Invisible. Energy.\I can't believe it, you ate my memories?\I can't remember it!\The school entrance ceremony... response:	How did I...
context: Oh, crap!\Run!\Runes. My food. I use them whenever I move.\Formless. Invisible. Energy.\I can't believe it, you ate my memories?\I can't remember it!\The school entrance ceremony...\How did I... response:	Sakimori Academy...
context: Run!\Runes. My food. I use them whenever I move.\Formless. Invisible. Energy.\I can't believe it, you ate my memories?\I can't remember it!\The school entrance ceremony...\How did I...\Sakimori Academy... response:	How did I get there?
context: Runes. My food. I use them whenever I move.\Formless. Invisible. Energy.\I can't believe it, you ate my memories?\I can't remember it!\The school entrance ceremony...\How did I...\Sakimori Academy...\How did I get there? response:	Cherry blossoms?
context: Formless. Invisible. Energy.\I can't believe it, you ate my memories?\I can't remember it!\The school entrance ceremony...\How did I...\Sakimori Academy...\How did I get there?\Cherry blossoms? response:	The cherry trees were blooming?
context: I can't believe it, you ate my memories?\I can't remember it!\The school entrance ceremony...\How did I...\Sakimori Academy...\How did I get there?\Cherry blossoms?\The cherry trees were blooming? response:	It's no use! I can't remember anything else!
context: I can't remember it!\The school entrance ceremony...\How did I...\Sakimori Academy...\How did I get there?\Cherry blossoms?\The cherry trees were blooming?\It's no use! I can't remember anything else! response:	What did I do at the entrance ceremony?
context: The school entrance ceremony...\How did I...\Sakimori Academy...\How did I get there?\Cherry blossoms?\The cherry trees were blooming?\It's no use! I can't remember anything else!\What did I do at the entrance ceremony? response:	Now I get it.
context: How did I...\Sakimori Academy...\How did I get there?\Cherry blossoms?\The cherry trees were blooming?\It's no use! I can't remember anything else!\What did I do at the entrance ceremony?\Now I get it. response:	It was all connected.
context: Sakimori Academy...\How did I get there?\Cherry blossoms?\The cherry trees were blooming?\It's no use! I can't remember anything else!\What did I do at the entrance ceremony?\Now I get it.\It was all connected. response:	The Valvraves and my memories.
context: How did I get there?\Cherry blossoms?\The cherry trees were blooming?\It's no use! I can't remember anything else!\What did I do at the entrance ceremony?\Now I get it.\It was all connected.\The Valvraves and my memories. response:	And now my oldest memory just vanished.
context: Cherry blossoms?\The cherry trees were blooming?\It's no use! I can't remember anything else!\What did I do at the entrance ceremony?\Now I get it.\It was all connected.\The Valvraves and my memories.\And now my oldest memory just vanished. response:	Help!
context: The cherry trees were blooming?\It's no use! I can't remember anything else!\What did I do at the entrance ceremony?\Now I get it.\It was all connected.\The Valvraves and my memories.\And now my oldest memory just vanished.\Help! response:	Units 3 and 5 are taking a pounding.
context: It's no use! I can't remember anything else!\What did I do at the entrance ceremony?\Now I get it.\It was all connected.\The Valvraves and my memories.\And now my oldest memory just vanished.\Help!\Units 3 and 5 are taking a pounding. response:	Unit 3 cooled down but still can't move!
context: What did I do at the entrance ceremony?\Now I get it.\It was all connected.\The Valvraves and my memories.\And now my oldest memory just vanished.\Help!\Units 3 and 5 are taking a pounding.\Unit 3 cooled down but still can't move! response:	Unit 5 is almost out of spare Impact Booster coolers!
context: Now I get it.\It was all connected.\The Valvraves and my memories.\And now my oldest memory just vanished.\Help!\Units 3 and 5 are taking a pounding.\Unit 3 cooled down but still can't move!\Unit 5 is almost out of spare Impact Booster coolers! response:	My brother and the others have been found, too!
context: It was all connected.\The Valvraves and my memories.\And now my oldest memory just vanished.\Help!\Units 3 and 5 are taking a pounding.\Unit 3 cooled down but still can't move!\Unit 5 is almost out of spare Impact Booster coolers!\My brother and the others have been found, too! response:	Units 4 and 6 are out of action! That just leaves Unit 1!
context: The Valvraves and my memories.\And now my oldest memory just vanished.\Help!\Units 3 and 5 are taking a pounding.\Unit 3 cooled down but still can't move!\Unit 5 is almost out of spare Impact Booster coolers!\My brother and the others have been found, too!\Units 4 and 6 are out of action! That just leaves Unit 1! response:	I have to help them...
context: And now my oldest memory just vanished.\Help!\Units 3 and 5 are taking a pounding.\Unit 3 cooled down but still can't move!\Unit 5 is almost out of spare Impact Booster coolers!\My brother and the others have been found, too!\Units 4 and 6 are out of action! That just leaves Unit 1!\I have to help them... response:	If I use this... I'll forget even more?
context: Help!\Units 3 and 5 are taking a pounding.\Unit 3 cooled down but still can't move!\Unit 5 is almost out of spare Impact Booster coolers!\My brother and the others have been found, too!\Units 4 and 6 are out of action! That just leaves Unit 1!\I have to help them...\If I use this... I'll forget even more? response:	I told you to run, Senpai!
context: Units 3 and 5 are taking a pounding.\Unit 3 cooled down but still can't move!\Unit 5 is almost out of spare Impact Booster coolers!\My brother and the others have been found, too!\Units 4 and 6 are out of action! That just leaves Unit 1!\I have to help them...\If I use this... I'll forget even more?\I told you to run, Senpai! response:	I can't leave you here!
context: Unit 3 cooled down but still can't move!\Unit 5 is almost out of spare Impact Booster coolers!\My brother and the others have been found, too!\Units 4 and 6 are out of action! That just leaves Unit 1!\I have to help them...\If I use this... I'll forget even more?\I told you to run, Senpai!\I can't leave you here! response:	Operate Unit 1, Marie Nobi.
context: Unit 5 is almost out of spare Impact Booster coolers!\My brother and the others have been found, too!\Units 4 and 6 are out of action! That just leaves Unit 1!\I have to help them...\If I use this... I'll forget even more?\I told you to run, Senpai!\I can't leave you here!\Operate Unit 1, Marie Nobi. response:	If you don't, your classmates will be wiped out.
context: My brother and the others have been found, too!\Units 4 and 6 are out of action! That just leaves Unit 1!\I have to help them...\If I use this... I'll forget even more?\I told you to run, Senpai!\I can't leave you here!\Operate Unit 1, Marie Nobi.\If you don't, your classmates will be wiped out. response:	I only have two years of memories...
context: Units 4 and 6 are out of action! That just leaves Unit 1!\I have to help them...\If I use this... I'll forget even more?\I told you to run, Senpai!\I can't leave you here!\Operate Unit 1, Marie Nobi.\If you don't, your classmates will be wiped out.\I only have two years of memories... response:	The heat buildup isn't stopping!
context: I have to help them...\If I use this... I'll forget even more?\I told you to run, Senpai!\I can't leave you here!\Operate Unit 1, Marie Nobi.\If you don't, your classmates will be wiped out.\I only have two years of memories...\The heat buildup isn't stopping! response:	Why won't Unit 3 cool down?!
context: If I use this... I'll forget even more?\I told you to run, Senpai!\I can't leave you here!\Operate Unit 1, Marie Nobi.\If you don't, your classmates will be wiped out.\I only have two years of memories...\The heat buildup isn't stopping!\Why won't Unit 3 cool down?! response:	Stop it! Don't hurt him any more!
context: I told you to run, Senpai!\I can't leave you here!\Operate Unit 1, Marie Nobi.\If you don't, your classmates will be wiped out.\I only have two years of memories...\The heat buildup isn't stopping!\Why won't Unit 3 cool down?!\Stop it! Don't hurt him any more! response:	I'm the leader!
context: I can't leave you here!\Operate Unit 1, Marie Nobi.\If you don't, your classmates will be wiped out.\I only have two years of memories...\The heat buildup isn't stopping!\Why won't Unit 3 cool down?!\Stop it! Don't hurt him any more!\I'm the leader! response:	The children have nothing to do with this!
context: Operate Unit 1, Marie Nobi.\If you don't, your classmates will be wiped out.\I only have two years of memories...\The heat buildup isn't stopping!\Why won't Unit 3 cool down?!\Stop it! Don't hurt him any more!\I'm the leader!\The children have nothing to do with this! response:	Professor!
context: If you don't, your classmates will be wiped out.\I only have two years of memories...\The heat buildup isn't stopping!\Why won't Unit 3 cool down?!\Stop it! Don't hurt him any more!\I'm the leader!\The children have nothing to do with this!\Professor! response:	I talked them into it!
context: I only have two years of memories...\The heat buildup isn't stopping!\Why won't Unit 3 cool down?!\Stop it! Don't hurt him any more!\I'm the leader!\The children have nothing to do with this!\Professor!\I talked them into it! response:	Hurry out there! Save them!
context: The heat buildup isn't stopping!\Why won't Unit 3 cool down?!\Stop it! Don't hurt him any more!\I'm the leader!\The children have nothing to do with this!\Professor!\I talked them into it!\Hurry out there! Save them! response:	Where's Unit 1?!
context: Why won't Unit 3 cool down?!\Stop it! Don't hurt him any more!\I'm the leader!\The children have nothing to do with this!\Professor!\I talked them into it!\Hurry out there! Save them!\Where's Unit 1?! response:	L-elf!
context: Stop it! Don't hurt him any more!\I'm the leader!\The children have nothing to do with this!\Professor!\I talked them into it!\Hurry out there! Save them!\Where's Unit 1?!\L-elf! response:	But if I pilot it... I'll...
context: I'm the leader!\The children have nothing to do with this!\Professor!\I talked them into it!\Hurry out there! Save them!\Where's Unit 1?!\L-elf!\But if I pilot it... I'll... response:	Let's make new ones, then!
context: The children have nothing to do with this!\Professor!\I talked them into it!\Hurry out there! Save them!\Where's Unit 1?!\L-elf!\But if I pilot it... I'll...\Let's make new ones, then! response:	You can't create a past, but you can make all kinds of futures!
context: Professor!\I talked them into it!\Hurry out there! Save them!\Where's Unit 1?!\L-elf!\But if I pilot it... I'll...\Let's make new ones, then!\You can't create a past, but you can make all kinds of futures! response:	Futures?
context: I talked them into it!\Hurry out there! Save them!\Where's Unit 1?!\L-elf!\But if I pilot it... I'll...\Let's make new ones, then!\You can't create a past, but you can make all kinds of futures!\Futures? response:	Let's make some future memories together!
context: Hurry out there! Save them!\Where's Unit 1?!\L-elf!\But if I pilot it... I'll...\Let's make new ones, then!\You can't create a past, but you can make all kinds of futures!\Futures?\Let's make some future memories together! response:	Together?
context: Where's Unit 1?!\L-elf!\But if I pilot it... I'll...\Let's make new ones, then!\You can't create a past, but you can make all kinds of futures!\Futures?\Let's make some future memories together!\Together? response:	Yeah, together! Let's be friends!
context: L-elf!\But if I pilot it... I'll...\Let's make new ones, then!\You can't create a past, but you can make all kinds of futures!\Futures?\Let's make some future memories together!\Together?\Yeah, together! Let's be friends! response:	Friends...
context: But if I pilot it... I'll...\Let's make new ones, then!\You can't create a past, but you can make all kinds of futures!\Futures?\Let's make some future memories together!\Together?\Yeah, together! Let's be friends!\Friends... response:	Unit 1! Who's in it?
context: Let's make new ones, then!\You can't create a past, but you can make all kinds of futures!\Futures?\Let's make some future memories together!\Together?\Yeah, together! Let's be friends!\Friends...\Unit 1! Who's in it? response:	Committing one more won't save them now!
context: You can't create a past, but you can make all kinds of futures!\Futures?\Let's make some future memories together!\Together?\Yeah, together! Let's be friends!\Friends...\Unit 1! Who's in it?\Committing one more won't save them now! response:	Crush them, Blume!
context: Futures?\Let's make some future memories together!\Together?\Yeah, together! Let's be friends!\Friends...\Unit 1! Who's in it?\Committing one more won't save them now!\Crush them, Blume! response:	That's amazing! It can do that?
context: Let's make some future memories together!\Together?\Yeah, together! Let's be friends!\Friends...\Unit 1! Who's in it?\Committing one more won't save them now!\Crush them, Blume!\That's amazing! It can do that? response:	Haruto Tokishima. Let's get to the transport.
context: Together?\Yeah, together! Let's be friends!\Friends...\Unit 1! Who's in it?\Committing one more won't save them now!\Crush them, Blume!\That's amazing! It can do that?\Haruto Tokishima. Let's get to the transport. response:	You made Marie pilot it?!
context: Yeah, together! Let's be friends!\Friends...\Unit 1! Who's in it?\Committing one more won't save them now!\Crush them, Blume!\That's amazing! It can do that?\Haruto Tokishima. Let's get to the transport.\You made Marie pilot it?! response:	She was Unit 1's original pilot.
context: Friends...\Unit 1! Who's in it?\Committing one more won't save them now!\Crush them, Blume!\That's amazing! It can do that?\Haruto Tokishima. Let's get to the transport.\You made Marie pilot it?!\She was Unit 1's original pilot. response:	Its pilot?
context: Unit 1! Who's in it?\Committing one more won't save them now!\Crush them, Blume!\That's amazing! It can do that?\Haruto Tokishima. Let's get to the transport.\You made Marie pilot it?!\She was Unit 1's original pilot.\Its pilot? response:	I'll explain later. Let's go!
