context: Wait! Wait for me! response:	Mukaido
context: Disinfectant...\It's fine. I don't need any.\But the teacher said to...\Ow!\S-Sorry!\Damn it!\Sorry...\that I'm not very good at this. response:	Hii-kun, are you mad?
context: It's fine. I don't need any.\But the teacher said to...\Ow!\S-Sorry!\Damn it!\Sorry...\that I'm not very good at this.\Hii-kun, are you mad? response:	No, I'm not mad.
context: But the teacher said to...\Ow!\S-Sorry!\Damn it!\Sorry...\that I'm not very good at this.\Hii-kun, are you mad?\No, I'm not mad. response:	It stinks! I smell like chlorine...
context: Ow!\S-Sorry!\Damn it!\Sorry...\that I'm not very good at this.\Hii-kun, are you mad?\No, I'm not mad.\It stinks! I smell like chlorine... response:	Seriously...
context: S-Sorry!\Damn it!\Sorry...\that I'm not very good at this.\Hii-kun, are you mad?\No, I'm not mad.\It stinks! I smell like chlorine...\Seriously... response:	Huh?
context: Damn it!\Sorry...\that I'm not very good at this.\Hii-kun, are you mad?\No, I'm not mad.\It stinks! I smell like chlorine...\Seriously...\Huh? response:	He's way too fast...
context: Sorry...\that I'm not very good at this.\Hii-kun, are you mad?\No, I'm not mad.\It stinks! I smell like chlorine...\Seriously...\Huh?\He's way too fast... response:	That's because we don't do the crawl very often!
context: that I'm not very good at this.\Hii-kun, are you mad?\No, I'm not mad.\It stinks! I smell like chlorine...\Seriously...\Huh?\He's way too fast...\That's because we don't do the crawl very often! response:	It can't be helped!
context: Hii-kun, are you mad?\No, I'm not mad.\It stinks! I smell like chlorine...\Seriously...\Huh?\He's way too fast...\That's because we don't do the crawl very often!\It can't be helped! response:	You'd definitely be faster if we were in the ocean, Hii-kun!
context: No, I'm not mad.\It stinks! I smell like chlorine...\Seriously...\Huh?\He's way too fast...\That's because we don't do the crawl very often!\It can't be helped!\You'd definitely be faster if we were in the ocean, Hii-kun! response:	That hurts.
context: It stinks! I smell like chlorine...\Seriously...\Huh?\He's way too fast...\That's because we don't do the crawl very often!\It can't be helped!\You'd definitely be faster if we were in the ocean, Hii-kun!\That hurts. response:	Sorry...
context: Seriously...\Huh?\He's way too fast...\That's because we don't do the crawl very often!\It can't be helped!\You'd definitely be faster if we were in the ocean, Hii-kun!\That hurts.\Sorry... response:	When you compliment me, it's really...
context: Huh?\He's way too fast...\That's because we don't do the crawl very often!\It can't be helped!\You'd definitely be faster if we were in the ocean, Hii-kun!\That hurts.\Sorry...\When you compliment me, it's really... response:	B-But everyone knows that you can be really amazing, too.
context: He's way too fast...\That's because we don't do the crawl very often!\It can't be helped!\You'd definitely be faster if we were in the ocean, Hii-kun!\That hurts.\Sorry...\When you compliment me, it's really...\B-But everyone knows that you can be really amazing, too. response:	Chii-chan, too...
context: That's because we don't do the crawl very often!\It can't be helped!\You'd definitely be faster if we were in the ocean, Hii-kun!\That hurts.\Sorry...\When you compliment me, it's really...\B-But everyone knows that you can be really amazing, too.\Chii-chan, too... response:	Why are you bringing up Chisaki?
context: It can't be helped!\You'd definitely be faster if we were in the ocean, Hii-kun!\That hurts.\Sorry...\When you compliment me, it's really...\B-But everyone knows that you can be really amazing, too.\Chii-chan, too...\Why are you bringing up Chisaki? response:	Go back already. I'll do this myself.
context: You'd definitely be faster if we were in the ocean, Hii-kun!\That hurts.\Sorry...\When you compliment me, it's really...\B-But everyone knows that you can be really amazing, too.\Chii-chan, too...\Why are you bringing up Chisaki?\Go back already. I'll do this myself. response:	How lame...
context: That hurts.\Sorry...\When you compliment me, it's really...\B-But everyone knows that you can be really amazing, too.\Chii-chan, too...\Why are you bringing up Chisaki?\Go back already. I'll do this myself.\How lame... response:	Oh.
context: Sorry...\When you compliment me, it's really...\B-But everyone knows that you can be really amazing, too.\Chii-chan, too...\Why are you bringing up Chisaki?\Go back already. I'll do this myself.\How lame...\Oh. response:	Chii-chan!
context: When you compliment me, it's really...\B-But everyone knows that you can be really amazing, too.\Chii-chan, too...\Why are you bringing up Chisaki?\Go back already. I'll do this myself.\How lame...\Oh.\Chii-chan! response:	I um...
context: B-But everyone knows that you can be really amazing, too.\Chii-chan, too...\Why are you bringing up Chisaki?\Go back already. I'll do this myself.\How lame...\Oh.\Chii-chan!\I um... response:	You're late!
context: Chii-chan, too...\Why are you bringing up Chisaki?\Go back already. I'll do this myself.\How lame...\Oh.\Chii-chan!\I um...\You're late! response:	What were you guys doing in the nurse's office?
context: Why are you bringing up Chisaki?\Go back already. I'll do this myself.\How lame...\Oh.\Chii-chan!\I um...\You're late!\What were you guys doing in the nurse's office? response:	Stop, you perv!
context: Go back already. I'll do this myself.\How lame...\Oh.\Chii-chan!\I um...\You're late!\What were you guys doing in the nurse's office?\Stop, you perv! response:	What?!
context: How lame...\Oh.\Chii-chan!\I um...\You're late!\What were you guys doing in the nurse's office?\Stop, you perv!\What?! response:	Nothing happened! Really!
context: Oh.\Chii-chan!\I um...\You're late!\What were you guys doing in the nurse's office?\Stop, you perv!\What?!\Nothing happened! Really! response:	Really sketchy!
context: Chii-chan!\I um...\You're late!\What were you guys doing in the nurse's office?\Stop, you perv!\What?!\Nothing happened! Really!\Really sketchy! response:	What?!
context: I um...\You're late!\What were you guys doing in the nurse's office?\Stop, you perv!\What?!\Nothing happened! Really!\Really sketchy!\What?! response:	Really sketchy!
context: You're late!\What were you guys doing in the nurse's office?\Stop, you perv!\What?!\Nothing happened! Really!\Really sketchy!\What?!\Really sketchy! response:	You guys are so perverted!
context: What were you guys doing in the nurse's office?\Stop, you perv!\What?!\Nothing happened! Really!\Really sketchy!\What?!\Really sketchy!\You guys are so perverted! response:	Mukaido-san, go ahead and change.
context: Stop, you perv!\What?!\Nothing happened! Really!\Really sketchy!\What?!\Really sketchy!\You guys are so perverted!\Mukaido-san, go ahead and change. response:	Don't worry about cleaning.
context: What?!\Nothing happened! Really!\Really sketchy!\What?!\Really sketchy!\You guys are so perverted!\Mukaido-san, go ahead and change.\Don't worry about cleaning. response:	O-Okay.
context: Nothing happened! Really!\Really sketchy!\What?!\Really sketchy!\You guys are so perverted!\Mukaido-san, go ahead and change.\Don't worry about cleaning.\O-Okay. response:	Let me see that.
context: Really sketchy!\What?!\Really sketchy!\You guys are so perverted!\Mukaido-san, go ahead and change.\Don't worry about cleaning.\O-Okay.\Let me see that. response:	You don't really seem like you're from the Village of the Sea, Isaki-kun..
context: What?!\Really sketchy!\You guys are so perverted!\Mukaido-san, go ahead and change.\Don't worry about cleaning.\O-Okay.\Let me see that.\You don't really seem like you're from the Village of the Sea, Isaki-kun.. response:	I don't think I seem to be from the surface either, though.
context: Really sketchy!\You guys are so perverted!\Mukaido-san, go ahead and change.\Don't worry about cleaning.\O-Okay.\Let me see that.\You don't really seem like you're from the Village of the Sea, Isaki-kun..\I don't think I seem to be from the surface either, though. response:	Oh, that's not what I meant...
context: You guys are so perverted!\Mukaido-san, go ahead and change.\Don't worry about cleaning.\O-Okay.\Let me see that.\You don't really seem like you're from the Village of the Sea, Isaki-kun..\I don't think I seem to be from the surface either, though.\Oh, that's not what I meant... response:	Sakishima-kun's pretty scary.
context: Mukaido-san, go ahead and change.\Don't worry about cleaning.\O-Okay.\Let me see that.\You don't really seem like you're from the Village of the Sea, Isaki-kun..\I don't think I seem to be from the surface either, though.\Oh, that's not what I meant...\Sakishima-kun's pretty scary. response:	Really?
context: Don't worry about cleaning.\O-Okay.\Let me see that.\You don't really seem like you're from the Village of the Sea, Isaki-kun..\I don't think I seem to be from the surface either, though.\Oh, that's not what I meant...\Sakishima-kun's pretty scary.\Really? response:	But he's not, is he?
context: O-Okay.\Let me see that.\You don't really seem like you're from the Village of the Sea, Isaki-kun..\I don't think I seem to be from the surface either, though.\Oh, that's not what I meant...\Sakishima-kun's pretty scary.\Really?\But he's not, is he? response:	How'd you know we were here?!
context: Let me see that.\You don't really seem like you're from the Village of the Sea, Isaki-kun..\I don't think I seem to be from the surface either, though.\Oh, that's not what I meant...\Sakishima-kun's pretty scary.\Really?\But he's not, is he?\How'd you know we were here?! response:	You kids are from Hama elementary school, right?
context: You don't really seem like you're from the Village of the Sea, Isaki-kun..\I don't think I seem to be from the surface either, though.\Oh, that's not what I meant...\Sakishima-kun's pretty scary.\Really?\But he's not, is he?\How'd you know we were here?!\You kids are from Hama elementary school, right? response:	We're not kids!
context: I don't think I seem to be from the surface either, though.\Oh, that's not what I meant...\Sakishima-kun's pretty scary.\Really?\But he's not, is he?\How'd you know we were here?!\You kids are from Hama elementary school, right?\We're not kids! response:	Are you done with school?
context: Oh, that's not what I meant...\Sakishima-kun's pretty scary.\Really?\But he's not, is he?\How'd you know we were here?!\You kids are from Hama elementary school, right?\We're not kids!\Are you done with school? response:	W-We thought we'd help out...
context: Sakishima-kun's pretty scary.\Really?\But he's not, is he?\How'd you know we were here?!\You kids are from Hama elementary school, right?\We're not kids!\Are you done with school?\W-We thought we'd help out... response:	So we came here!
context: Really?\But he's not, is he?\How'd you know we were here?!\You kids are from Hama elementary school, right?\We're not kids!\Are you done with school?\W-We thought we'd help out...\So we came here! response:	With what?
context: But he's not, is he?\How'd you know we were here?!\You kids are from Hama elementary school, right?\We're not kids!\Are you done with school?\W-We thought we'd help out...\So we came here!\With what? response:	Um, with Ojo...
context: How'd you know we were here?!\You kids are from Hama elementary school, right?\We're not kids!\Are you done with school?\W-We thought we'd help out...\So we came here!\With what?\Um, with Ojo... response:	You guys were still making the Ojoshi-sama, Isaki-kun?
context: You kids are from Hama elementary school, right?\We're not kids!\Are you done with school?\W-We thought we'd help out...\So we came here!\With what?\Um, with Ojo...\You guys were still making the Ojoshi-sama, Isaki-kun? response:	Were you hoping to help out, too?
context: We're not kids!\Are you done with school?\W-We thought we'd help out...\So we came here!\With what?\Um, with Ojo...\You guys were still making the Ojoshi-sama, Isaki-kun?\Were you hoping to help out, too? response:	Yeah, I was!
context: Are you done with school?\W-We thought we'd help out...\So we came here!\With what?\Um, with Ojo...\You guys were still making the Ojoshi-sama, Isaki-kun?\Were you hoping to help out, too?\Yeah, I was! response:	U-Um...
context: W-We thought we'd help out...\So we came here!\With what?\Um, with Ojo...\You guys were still making the Ojoshi-sama, Isaki-kun?\Were you hoping to help out, too?\Yeah, I was!\U-Um... response:	Hope you guys will help out, too.
context: So we came here!\With what?\Um, with Ojo...\You guys were still making the Ojoshi-sama, Isaki-kun?\Were you hoping to help out, too?\Yeah, I was!\U-Um...\Hope you guys will help out, too. response:	Y-You should totally let us help you out.
context: With what?\Um, with Ojo...\You guys were still making the Ojoshi-sama, Isaki-kun?\Were you hoping to help out, too?\Yeah, I was!\U-Um...\Hope you guys will help out, too.\Y-You should totally let us help you out. response:	What the heck?
context: Um, with Ojo...\You guys were still making the Ojoshi-sama, Isaki-kun?\Were you hoping to help out, too?\Yeah, I was!\U-Um...\Hope you guys will help out, too.\Y-You should totally let us help you out.\What the heck? response:	Tsumugu-kun, are you going home?
context: You guys were still making the Ojoshi-sama, Isaki-kun?\Were you hoping to help out, too?\Yeah, I was!\U-Um...\Hope you guys will help out, too.\Y-You should totally let us help you out.\What the heck?\Tsumugu-kun, are you going home? response:	Yeah. I've gotta help Gramps today.
context: Were you hoping to help out, too?\Yeah, I was!\U-Um...\Hope you guys will help out, too.\Y-You should totally let us help you out.\What the heck?\Tsumugu-kun, are you going home?\Yeah. I've gotta help Gramps today. response:	I see...
context: Yeah, I was!\U-Um...\Hope you guys will help out, too.\Y-You should totally let us help you out.\What the heck?\Tsumugu-kun, are you going home?\Yeah. I've gotta help Gramps today.\I see... response:	Is your foot okay now?
context: U-Um...\Hope you guys will help out, too.\Y-You should totally let us help you out.\What the heck?\Tsumugu-kun, are you going home?\Yeah. I've gotta help Gramps today.\I see...\Is your foot okay now? response:	Yeah...
context: Hope you guys will help out, too.\Y-You should totally let us help you out.\What the heck?\Tsumugu-kun, are you going home?\Yeah. I've gotta help Gramps today.\I see...\Is your foot okay now?\Yeah... response:	I hauled the veneer.
context: Y-You should totally let us help you out.\What the heck?\Tsumugu-kun, are you going home?\Yeah. I've gotta help Gramps today.\I see...\Is your foot okay now?\Yeah...\I hauled the veneer. response:	I would have done it.
context: What the heck?\Tsumugu-kun, are you going home?\Yeah. I've gotta help Gramps today.\I see...\Is your foot okay now?\Yeah...\I hauled the veneer.\I would have done it. response:	That'd be hard if you can't stand very well.
context: Tsumugu-kun, are you going home?\Yeah. I've gotta help Gramps today.\I see...\Is your foot okay now?\Yeah...\I hauled the veneer.\I would have done it.\That'd be hard if you can't stand very well. response:	See ya.
context: Yeah. I've gotta help Gramps today.\I see...\Is your foot okay now?\Yeah...\I hauled the veneer.\I would have done it.\That'd be hard if you can't stand very well.\See ya. response:	What the hell's with him?
context: I see...\Is your foot okay now?\Yeah...\I hauled the veneer.\I would have done it.\That'd be hard if you can't stand very well.\See ya.\What the hell's with him? response:	Huh? What?
context: Is your foot okay now?\Yeah...\I hauled the veneer.\I would have done it.\That'd be hard if you can't stand very well.\See ya.\What the hell's with him?\Huh? What? response:	Never mind.
context: Yeah...\I hauled the veneer.\I would have done it.\That'd be hard if you can't stand very well.\See ya.\What the hell's with him?\Huh? What?\Never mind. response:	Oh, there he is.
context: I hauled the veneer.\I would have done it.\That'd be hard if you can't stand very well.\See ya.\What the hell's with him?\Huh? What?\Never mind.\Oh, there he is. response:	Sakishima-kun!
context: I would have done it.\That'd be hard if you can't stand very well.\See ya.\What the hell's with him?\Huh? What?\Never mind.\Oh, there he is.\Sakishima-kun! response:	What the heck, Sakishima? Just getting here now...
context: That'd be hard if you can't stand very well.\See ya.\What the hell's with him?\Huh? What?\Never mind.\Oh, there he is.\Sakishima-kun!\What the heck, Sakishima? Just getting here now... response:	There's nothing left for you to do!
context: See ya.\What the hell's with him?\Huh? What?\Never mind.\Oh, there he is.\Sakishima-kun!\What the heck, Sakishima? Just getting here now...\There's nothing left for you to do! response:	Nothing!
context: What the hell's with him?\Huh? What?\Never mind.\Oh, there he is.\Sakishima-kun!\What the heck, Sakishima? Just getting here now...\There's nothing left for you to do!\Nothing! response:	You're the one who destroyed it.
context: Huh? What?\Never mind.\Oh, there he is.\Sakishima-kun!\What the heck, Sakishima? Just getting here now...\There's nothing left for you to do!\Nothing!\You're the one who destroyed it. response:	Boo.
context: Never mind.\Oh, there he is.\Sakishima-kun!\What the heck, Sakishima? Just getting here now...\There's nothing left for you to do!\Nothing!\You're the one who destroyed it.\Boo. response:	Everyone said they'd help rebuild the broken Ojoshi-sama.
context: Oh, there he is.\Sakishima-kun!\What the heck, Sakishima? Just getting here now...\There's nothing left for you to do!\Nothing!\You're the one who destroyed it.\Boo.\Everyone said they'd help rebuild the broken Ojoshi-sama. response:	But you two are totally after Hiradaira-san, aren't you?
context: Sakishima-kun!\What the heck, Sakishima? Just getting here now...\There's nothing left for you to do!\Nothing!\You're the one who destroyed it.\Boo.\Everyone said they'd help rebuild the broken Ojoshi-sama.\But you two are totally after Hiradaira-san, aren't you? response:	Wh-What the hell are you saying, you idiot!
context: What the heck, Sakishima? Just getting here now...\There's nothing left for you to do!\Nothing!\You're the one who destroyed it.\Boo.\Everyone said they'd help rebuild the broken Ojoshi-sama.\But you two are totally after Hiradaira-san, aren't you?\Wh-What the hell are you saying, you idiot! response:	W-W-We'll never finish at this rate!
context: There's nothing left for you to do!\Nothing!\You're the one who destroyed it.\Boo.\Everyone said they'd help rebuild the broken Ojoshi-sama.\But you two are totally after Hiradaira-san, aren't you?\Wh-What the hell are you saying, you idiot!\W-W-We'll never finish at this rate! response:	Then you all are my minions.
context: Nothing!\You're the one who destroyed it.\Boo.\Everyone said they'd help rebuild the broken Ojoshi-sama.\But you two are totally after Hiradaira-san, aren't you?\Wh-What the hell are you saying, you idiot!\W-W-We'll never finish at this rate!\Then you all are my minions. response:	Like hell! I'm a pro at Ofunehiki!
context: You're the one who destroyed it.\Boo.\Everyone said they'd help rebuild the broken Ojoshi-sama.\But you two are totally after Hiradaira-san, aren't you?\Wh-What the hell are you saying, you idiot!\W-W-We'll never finish at this rate!\Then you all are my minions.\Like hell! I'm a pro at Ofunehiki! response:	What do you mean, pro?
context: Boo.\Everyone said they'd help rebuild the broken Ojoshi-sama.\But you two are totally after Hiradaira-san, aren't you?\Wh-What the hell are you saying, you idiot!\W-W-We'll never finish at this rate!\Then you all are my minions.\Like hell! I'm a pro at Ofunehiki!\What do you mean, pro? response:	Well, we have to make offerings, too, not just the Ojoshi-sama.
context: Everyone said they'd help rebuild the broken Ojoshi-sama.\But you two are totally after Hiradaira-san, aren't you?\Wh-What the hell are you saying, you idiot!\W-W-We'll never finish at this rate!\Then you all are my minions.\Like hell! I'm a pro at Ofunehiki!\What do you mean, pro?\Well, we have to make offerings, too, not just the Ojoshi-sama. response:	Offerings?
context: But you two are totally after Hiradaira-san, aren't you?\Wh-What the hell are you saying, you idiot!\W-W-We'll never finish at this rate!\Then you all are my minions.\Like hell! I'm a pro at Ofunehiki!\What do you mean, pro?\Well, we have to make offerings, too, not just the Ojoshi-sama.\Offerings? response:	Like a dresser, a stand, and a table.
context: Wh-What the hell are you saying, you idiot!\W-W-We'll never finish at this rate!\Then you all are my minions.\Like hell! I'm a pro at Ofunehiki!\What do you mean, pro?\Well, we have to make offerings, too, not just the Ojoshi-sama.\Offerings?\Like a dresser, a stand, and a table. response:	And we need the car.
context: W-W-We'll never finish at this rate!\Then you all are my minions.\Like hell! I'm a pro at Ofunehiki!\What do you mean, pro?\Well, we have to make offerings, too, not just the Ojoshi-sama.\Offerings?\Like a dresser, a stand, and a table.\And we need the car. response:	And a TV and games.
context: Then you all are my minions.\Like hell! I'm a pro at Ofunehiki!\What do you mean, pro?\Well, we have to make offerings, too, not just the Ojoshi-sama.\Offerings?\Like a dresser, a stand, and a table.\And we need the car.\And a TV and games. response:	Are they a gamer?
context: Like hell! I'm a pro at Ofunehiki!\What do you mean, pro?\Well, we have to make offerings, too, not just the Ojoshi-sama.\Offerings?\Like a dresser, a stand, and a table.\And we need the car.\And a TV and games.\Are they a gamer? response:	You idiot!
context: What do you mean, pro?\Well, we have to make offerings, too, not just the Ojoshi-sama.\Offerings?\Like a dresser, a stand, and a table.\And we need the car.\And a TV and games.\Are they a gamer?\You idiot! response:	Ojoshi-sama nowadays is totally hip!
context: Well, we have to make offerings, too, not just the Ojoshi-sama.\Offerings?\Like a dresser, a stand, and a table.\And we need the car.\And a TV and games.\Are they a gamer?\You idiot!\Ojoshi-sama nowadays is totally hip! response:	Hip, totally hip!
context: Offerings?\Like a dresser, a stand, and a table.\And we need the car.\And a TV and games.\Are they a gamer?\You idiot!\Ojoshi-sama nowadays is totally hip!\Hip, totally hip! response:	They're totally fitting in.
context: Like a dresser, a stand, and a table.\And we need the car.\And a TV and games.\Are they a gamer?\You idiot!\Ojoshi-sama nowadays is totally hip!\Hip, totally hip!\They're totally fitting in. response:	Fitting in too much.
context: And we need the car.\And a TV and games.\Are they a gamer?\You idiot!\Ojoshi-sama nowadays is totally hip!\Hip, totally hip!\They're totally fitting in.\Fitting in too much. response:	Ow!
context: And a TV and games.\Are they a gamer?\You idiot!\Ojoshi-sama nowadays is totally hip!\Hip, totally hip!\They're totally fitting in.\Fitting in too much.\Ow! response:	Hii-kun, you shouldn't walk around on your own yet.
context: Are they a gamer?\You idiot!\Ojoshi-sama nowadays is totally hip!\Hip, totally hip!\They're totally fitting in.\Fitting in too much.\Ow!\Hii-kun, you shouldn't walk around on your own yet. response:	Right, Chii-chan?
context: You idiot!\Ojoshi-sama nowadays is totally hip!\Hip, totally hip!\They're totally fitting in.\Fitting in too much.\Ow!\Hii-kun, you shouldn't walk around on your own yet.\Right, Chii-chan? response:	Oh, I just remembered.
context: Ojoshi-sama nowadays is totally hip!\Hip, totally hip!\They're totally fitting in.\Fitting in too much.\Ow!\Hii-kun, you shouldn't walk around on your own yet.\Right, Chii-chan?\Oh, I just remembered. response:	Sorry.
context: Hip, totally hip!\They're totally fitting in.\Fitting in too much.\Ow!\Hii-kun, you shouldn't walk around on your own yet.\Right, Chii-chan?\Oh, I just remembered.\Sorry. response:	My mom asked me to stop by the post office.
context: They're totally fitting in.\Fitting in too much.\Ow!\Hii-kun, you shouldn't walk around on your own yet.\Right, Chii-chan?\Oh, I just remembered.\Sorry.\My mom asked me to stop by the post office. response:	What time does the post office close?
context: Fitting in too much.\Ow!\Hii-kun, you shouldn't walk around on your own yet.\Right, Chii-chan?\Oh, I just remembered.\Sorry.\My mom asked me to stop by the post office.\What time does the post office close? response:	4 o'clock.
context: Ow!\Hii-kun, you shouldn't walk around on your own yet.\Right, Chii-chan?\Oh, I just remembered.\Sorry.\My mom asked me to stop by the post office.\What time does the post office close?\4 o'clock. response:	Thanks, Miuna-chan.
context: Hii-kun, you shouldn't walk around on your own yet.\Right, Chii-chan?\Oh, I just remembered.\Sorry.\My mom asked me to stop by the post office.\What time does the post office close?\4 o'clock.\Thanks, Miuna-chan. response:	See you guys later, I'm heading out.
context: Right, Chii-chan?\Oh, I just remembered.\Sorry.\My mom asked me to stop by the post office.\What time does the post office close?\4 o'clock.\Thanks, Miuna-chan.\See you guys later, I'm heading out. response:	Chii-chan, wait!
context: Oh, I just remembered.\Sorry.\My mom asked me to stop by the post office.\What time does the post office close?\4 o'clock.\Thanks, Miuna-chan.\See you guys later, I'm heading out.\Chii-chan, wait! response:	U-Um, I...
context: Sorry.\My mom asked me to stop by the post office.\What time does the post office close?\4 o'clock.\Thanks, Miuna-chan.\See you guys later, I'm heading out.\Chii-chan, wait!\U-Um, I... response:	I asked you to forget, didn't I?
context: My mom asked me to stop by the post office.\What time does the post office close?\4 o'clock.\Thanks, Miuna-chan.\See you guys later, I'm heading out.\Chii-chan, wait!\U-Um, I...\I asked you to forget, didn't I? response:	I-I'm sorry!
context: What time does the post office close?\4 o'clock.\Thanks, Miuna-chan.\See you guys later, I'm heading out.\Chii-chan, wait!\U-Um, I...\I asked you to forget, didn't I?\I-I'm sorry! response:	But, Chii-chan, I...
context: 4 o'clock.\Thanks, Miuna-chan.\See you guys later, I'm heading out.\Chii-chan, wait!\U-Um, I...\I asked you to forget, didn't I?\I-I'm sorry!\But, Chii-chan, I... response:	You promised, didn't you?!
context: Thanks, Miuna-chan.\See you guys later, I'm heading out.\Chii-chan, wait!\U-Um, I...\I asked you to forget, didn't I?\I-I'm sorry!\But, Chii-chan, I...\You promised, didn't you?! response:	Why do you do stuff like that?!
context: See you guys later, I'm heading out.\Chii-chan, wait!\U-Um, I...\I asked you to forget, didn't I?\I-I'm sorry!\But, Chii-chan, I...\You promised, didn't you?!\Why do you do stuff like that?! response:	B-But if things stay as they are,
context: Chii-chan, wait!\U-Um, I...\I asked you to forget, didn't I?\I-I'm sorry!\But, Chii-chan, I...\You promised, didn't you?!\Why do you do stuff like that?!\B-But if things stay as they are, response:	I didn't think it'd be right for you, Chii-chan...
context: U-Um, I...\I asked you to forget, didn't I?\I-I'm sorry!\But, Chii-chan, I...\You promised, didn't you?!\Why do you do stuff like that?!\B-But if things stay as they are,\I didn't think it'd be right for you, Chii-chan... response:	Why do you get to decide if it's right or wrong?!
context: I asked you to forget, didn't I?\I-I'm sorry!\But, Chii-chan, I...\You promised, didn't you?!\Why do you do stuff like that?!\B-But if things stay as they are,\I didn't think it'd be right for you, Chii-chan...\Why do you get to decide if it's right or wrong?! response:	Sorry. I'm leaving.
context: I-I'm sorry!\But, Chii-chan, I...\You promised, didn't you?!\Why do you do stuff like that?!\B-But if things stay as they are,\I didn't think it'd be right for you, Chii-chan...\Why do you get to decide if it's right or wrong?!\Sorry. I'm leaving. response:	Hii-kun!
context: But, Chii-chan, I...\You promised, didn't you?!\Why do you do stuff like that?!\B-But if things stay as they are,\I didn't think it'd be right for you, Chii-chan...\Why do you get to decide if it's right or wrong?!\Sorry. I'm leaving.\Hii-kun! response:	Why...
context: You promised, didn't you?!\Why do you do stuff like that?!\B-But if things stay as they are,\I didn't think it'd be right for you, Chii-chan...\Why do you get to decide if it's right or wrong?!\Sorry. I'm leaving.\Hii-kun!\Why... response:	I hate this!
context: Why do you do stuff like that?!\B-But if things stay as they are,\I didn't think it'd be right for you, Chii-chan...\Why do you get to decide if it's right or wrong?!\Sorry. I'm leaving.\Hii-kun!\Why...\I hate this! response:	Aw, too bad, boys.
context: B-But if things stay as they are,\I didn't think it'd be right for you, Chii-chan...\Why do you get to decide if it's right or wrong?!\Sorry. I'm leaving.\Hii-kun!\Why...\I hate this!\Aw, too bad, boys. response:	Hiradaira-san went home.
context: I didn't think it'd be right for you, Chii-chan...\Why do you get to decide if it's right or wrong?!\Sorry. I'm leaving.\Hii-kun!\Why...\I hate this!\Aw, too bad, boys.\Hiradaira-san went home. response:	Oh, shut up.
context: Why do you get to decide if it's right or wrong?!\Sorry. I'm leaving.\Hii-kun!\Why...\I hate this!\Aw, too bad, boys.\Hiradaira-san went home.\Oh, shut up. response:	We just really wanted to help out.
context: Sorry. I'm leaving.\Hii-kun!\Why...\I hate this!\Aw, too bad, boys.\Hiradaira-san went home.\Oh, shut up.\We just really wanted to help out. response:	It seems Manaka's not coming back either.
context: Hii-kun!\Why...\I hate this!\Aw, too bad, boys.\Hiradaira-san went home.\Oh, shut up.\We just really wanted to help out.\It seems Manaka's not coming back either. response:	So suspicious!
context: Why...\I hate this!\Aw, too bad, boys.\Hiradaira-san went home.\Oh, shut up.\We just really wanted to help out.\It seems Manaka's not coming back either.\So suspicious! response:	So it really is Manaka.
context: I hate this!\Aw, too bad, boys.\Hiradaira-san went home.\Oh, shut up.\We just really wanted to help out.\It seems Manaka's not coming back either.\So suspicious!\So it really is Manaka. response:	She's our center.
context: Aw, too bad, boys.\Hiradaira-san went home.\Oh, shut up.\We just really wanted to help out.\It seems Manaka's not coming back either.\So suspicious!\So it really is Manaka.\She's our center. response:	Mukaido?
context: Hiradaira-san went home.\Oh, shut up.\We just really wanted to help out.\It seems Manaka's not coming back either.\So suspicious!\So it really is Manaka.\She's our center.\Mukaido? response:	You're not with Hiradaira?
context: Oh, shut up.\We just really wanted to help out.\It seems Manaka's not coming back either.\So suspicious!\So it really is Manaka.\She's our center.\Mukaido?\You're not with Hiradaira? response:	Huh?
context: We just really wanted to help out.\It seems Manaka's not coming back either.\So suspicious!\So it really is Manaka.\She's our center.\Mukaido?\You're not with Hiradaira?\Huh? response:	That's rare.
context: It seems Manaka's not coming back either.\So suspicious!\So it really is Manaka.\She's our center.\Mukaido?\You're not with Hiradaira?\Huh?\That's rare. response:	Because...
context: So suspicious!\So it really is Manaka.\She's our center.\Mukaido?\You're not with Hiradaira?\Huh?\That's rare.\Because... response:	Because... Chii-chan...
context: So it really is Manaka.\She's our center.\Mukaido?\You're not with Hiradaira?\Huh?\That's rare.\Because...\Because... Chii-chan... response:	said she didn't want to talk to me...
context: She's our center.\Mukaido?\You're not with Hiradaira?\Huh?\That's rare.\Because...\Because... Chii-chan...\said she didn't want to talk to me... response:	And then Hii-kun... Hii-kun...
context: Mukaido?\You're not with Hiradaira?\Huh?\That's rare.\Because...\Because... Chii-chan...\said she didn't want to talk to me...\And then Hii-kun... Hii-kun... response:	Tsumugu, take her to the wharf.
context: You're not with Hiradaira?\Huh?\That's rare.\Because...\Because... Chii-chan...\said she didn't want to talk to me...\And then Hii-kun... Hii-kun...\Tsumugu, take her to the wharf. response:	What about you, Gramps?
context: Huh?\That's rare.\Because...\Because... Chii-chan...\said she didn't want to talk to me...\And then Hii-kun... Hii-kun...\Tsumugu, take her to the wharf.\What about you, Gramps? response:	I'm gonna go check the trap on the east side.
context: That's rare.\Because...\Because... Chii-chan...\said she didn't want to talk to me...\And then Hii-kun... Hii-kun...\Tsumugu, take her to the wharf.\What about you, Gramps?\I'm gonna go check the trap on the east side. response:	Oh, okay.
