context: I had lost my way during my journey. response:	Only my soul was wandering, while I stood still.
context: I'm amazed.\No, no, it's something I learned after doing this for so long.\By the way, did you bring a scale?\No, I didn't, but...\I believe in God.\But still, it's quite frustrating.\The demand for pepper has been rising lately.\If you had come a week earlier, I could've bought the pepper cheaper. response:	Then I've come at a good time?
context: No, no, it's something I learned after doing this for so long.\By the way, did you bring a scale?\No, I didn't, but...\I believe in God.\But still, it's quite frustrating.\The demand for pepper has been rising lately.\If you had come a week earlier, I could've bought the pepper cheaper.\Then I've come at a good time? response:	Yes.
context: By the way, did you bring a scale?\No, I didn't, but...\I believe in God.\But still, it's quite frustrating.\The demand for pepper has been rising lately.\If you had come a week earlier, I could've bought the pepper cheaper.\Then I've come at a good time?\Yes. response:	Well then, let us weigh the pepper.
context: No, I didn't, but...\I believe in God.\But still, it's quite frustrating.\The demand for pepper has been rising lately.\If you had come a week earlier, I could've bought the pepper cheaper.\Then I've come at a good time?\Yes.\Well then, let us weigh the pepper. response:	Yes, please do.
context: I believe in God.\But still, it's quite frustrating.\The demand for pepper has been rising lately.\If you had come a week earlier, I could've bought the pepper cheaper.\Then I've come at a good time?\Yes.\Well then, let us weigh the pepper.\Yes, please do. response:	Then I'll need some paper and ink, so please wait a bit.
context: But still, it's quite frustrating.\The demand for pepper has been rising lately.\If you had come a week earlier, I could've bought the pepper cheaper.\Then I've come at a good time?\Yes.\Well then, let us weigh the pepper.\Yes, please do.\Then I'll need some paper and ink, so please wait a bit. response:	What is it?
context: The demand for pepper has been rising lately.\If you had come a week earlier, I could've bought the pepper cheaper.\Then I've come at a good time?\Yes.\Well then, let us weigh the pepper.\Yes, please do.\Then I'll need some paper and ink, so please wait a bit.\What is it? response:	I'm thirsty.
context: If you had come a week earlier, I could've bought the pepper cheaper.\Then I've come at a good time?\Yes.\Well then, let us weigh the pepper.\Yes, please do.\Then I'll need some paper and ink, so please wait a bit.\What is it?\I'm thirsty. response:	Just bear with it.
context: Then I've come at a good time?\Yes.\Well then, let us weigh the pepper.\Yes, please do.\Then I'll need some paper and ink, so please wait a bit.\What is it?\I'm thirsty.\Just bear with it. response:	Would water be okay with you?
context: Yes.\Well then, let us weigh the pepper.\Yes, please do.\Then I'll need some paper and ink, so please wait a bit.\What is it?\I'm thirsty.\Just bear with it.\Would water be okay with you? response:	We also have wine.
context: Well then, let us weigh the pepper.\Yes, please do.\Then I'll need some paper and ink, so please wait a bit.\What is it?\I'm thirsty.\Just bear with it.\Would water be okay with you?\We also have wine. response:	Ah, could I have some water?
context: Yes, please do.\Then I'll need some paper and ink, so please wait a bit.\What is it?\I'm thirsty.\Just bear with it.\Would water be okay with you?\We also have wine.\Ah, could I have some water? response:	A simple request.
context: Then I'll need some paper and ink, so please wait a bit.\What is it?\I'm thirsty.\Just bear with it.\Would water be okay with you?\We also have wine.\Ah, could I have some water?\A simple request. response:	The weight comes to 45 units.
context: What is it?\I'm thirsty.\Just bear with it.\Would water be okay with you?\We also have wine.\Ah, could I have some water?\A simple request.\The weight comes to 45 units. response:	Where did this pepper come from?
context: I'm thirsty.\Just bear with it.\Would water be okay with you?\We also have wine.\Ah, could I have some water?\A simple request.\The weight comes to 45 units.\Where did this pepper come from? response:	Ramapata from the the Kingdom of Riedon.
context: Just bear with it.\Would water be okay with you?\We also have wine.\Ah, could I have some water?\A simple request.\The weight comes to 45 units.\Where did this pepper come from?\Ramapata from the the Kingdom of Riedon. response:	It was imported by the Milone Company.
context: Would water be okay with you?\We also have wine.\Ah, could I have some water?\A simple request.\The weight comes to 45 units.\Where did this pepper come from?\Ramapata from the the Kingdom of Riedon.\It was imported by the Milone Company. response:	Ramapata is known prominently for their spices, isn't it?
context: We also have wine.\Ah, could I have some water?\A simple request.\The weight comes to 45 units.\Where did this pepper come from?\Ramapata from the the Kingdom of Riedon.\It was imported by the Milone Company.\Ramapata is known prominently for their spices, isn't it? response:	Also, there's no mistaking that this certificate is authentic.
context: Ah, could I have some water?\A simple request.\The weight comes to 45 units.\Where did this pepper come from?\Ramapata from the the Kingdom of Riedon.\It was imported by the Milone Company.\Ramapata is known prominently for their spices, isn't it?\Also, there's no mistaking that this certificate is authentic. response:	Well then, how about one Rumione gold coin for each unit?
context: A simple request.\The weight comes to 45 units.\Where did this pepper come from?\Ramapata from the the Kingdom of Riedon.\It was imported by the Milone Company.\Ramapata is known prominently for their spices, isn't it?\Also, there's no mistaking that this certificate is authentic.\Well then, how about one Rumione gold coin for each unit? response:	What is the market price for Rumione gold coins?
context: The weight comes to 45 units.\Where did this pepper come from?\Ramapata from the the Kingdom of Riedon.\It was imported by the Milone Company.\Ramapata is known prominently for their spices, isn't it?\Also, there's no mistaking that this certificate is authentic.\Well then, how about one Rumione gold coin for each unit?\What is the market price for Rumione gold coins? response:	Would Thoreni silver coins be fine?
context: Where did this pepper come from?\Ramapata from the the Kingdom of Riedon.\It was imported by the Milone Company.\Ramapata is known prominently for their spices, isn't it?\Also, there's no mistaking that this certificate is authentic.\Well then, how about one Rumione gold coin for each unit?\What is the market price for Rumione gold coins?\Would Thoreni silver coins be fine? response:	Yes.
context: Ramapata from the the Kingdom of Riedon.\It was imported by the Milone Company.\Ramapata is known prominently for their spices, isn't it?\Also, there's no mistaking that this certificate is authentic.\Well then, how about one Rumione gold coin for each unit?\What is the market price for Rumione gold coins?\Would Thoreni silver coins be fine?\Yes. response:	In Thoreni silver coins...
context: It was imported by the Milone Company.\Ramapata is known prominently for their spices, isn't it?\Also, there's no mistaking that this certificate is authentic.\Well then, how about one Rumione gold coin for each unit?\What is the market price for Rumione gold coins?\Would Thoreni silver coins be fine?\Yes.\In Thoreni silver coins... response:	It would be 32 and 5/6 coins.
context: Ramapata is known prominently for their spices, isn't it?\Also, there's no mistaking that this certificate is authentic.\Well then, how about one Rumione gold coin for each unit?\What is the market price for Rumione gold coins?\Would Thoreni silver coins be fine?\Yes.\In Thoreni silver coins...\It would be 32 and 5/6 coins. response:	That would be by my estimation.
context: Also, there's no mistaking that this certificate is authentic.\Well then, how about one Rumione gold coin for each unit?\What is the market price for Rumione gold coins?\Would Thoreni silver coins be fine?\Yes.\In Thoreni silver coins...\It would be 32 and 5/6 coins.\That would be by my estimation. response:	Then I'll go with that price.
context: Well then, how about one Rumione gold coin for each unit?\What is the market price for Rumione gold coins?\Would Thoreni silver coins be fine?\Yes.\In Thoreni silver coins...\It would be 32 and 5/6 coins.\That would be by my estimation.\Then I'll go with that price. response:	Ah, well then...
context: What is the market price for Rumione gold coins?\Would Thoreni silver coins be fine?\Yes.\In Thoreni silver coins...\It would be 32 and 5/6 coins.\That would be by my estimation.\Then I'll go with that price.\Ah, well then... response:	What's wrong?
context: Would Thoreni silver coins be fine?\Yes.\In Thoreni silver coins...\It would be 32 and 5/6 coins.\That would be by my estimation.\Then I'll go with that price.\Ah, well then...\What's wrong? response:	I'm a bit dizzy...
context: Yes.\In Thoreni silver coins...\It would be 32 and 5/6 coins.\That would be by my estimation.\Then I'll go with that price.\Ah, well then...\What's wrong?\I'm a bit dizzy... response:	A-Are you all right?
context: In Thoreni silver coins...\It would be 32 and 5/6 coins.\That would be by my estimation.\Then I'll go with that price.\Ah, well then...\What's wrong?\I'm a bit dizzy...\A-Are you all right? response:	Y-Yes...
context: It would be 32 and 5/6 coins.\That would be by my estimation.\Then I'll go with that price.\Ah, well then...\What's wrong?\I'm a bit dizzy...\A-Are you all right?\Y-Yes... response:	Are you better now?
context: That would be by my estimation.\Then I'll go with that price.\Ah, well then...\What's wrong?\I'm a bit dizzy...\A-Are you all right?\Y-Yes...\Are you better now? response:	A bit, thank you.
context: Then I'll go with that price.\Ah, well then...\What's wrong?\I'm a bit dizzy...\A-Are you all right?\Y-Yes...\Are you better now?\A bit, thank you. response:	It must be the weariness from your long travels.
context: Ah, well then...\What's wrong?\I'm a bit dizzy...\A-Are you all right?\Y-Yes...\Are you better now?\A bit, thank you.\It must be the weariness from your long travels. response:	I'll bring you some goat milk now.
context: What's wrong?\I'm a bit dizzy...\A-Are you all right?\Y-Yes...\Are you better now?\A bit, thank you.\It must be the weariness from your long travels.\I'll bring you some goat milk now. response:	Excuse me...
context: I'm a bit dizzy...\A-Are you all right?\Y-Yes...\Are you better now?\A bit, thank you.\It must be the weariness from your long travels.\I'll bring you some goat milk now.\Excuse me... response:	For some reason, everything seems to be on a slant to me.
context: A-Are you all right?\Y-Yes...\Are you better now?\A bit, thank you.\It must be the weariness from your long travels.\I'll bring you some goat milk now.\Excuse me...\For some reason, everything seems to be on a slant to me. response:	How does it all look to you?
context: Y-Yes...\Are you better now?\A bit, thank you.\It must be the weariness from your long travels.\I'll bring you some goat milk now.\Excuse me...\For some reason, everything seems to be on a slant to me.\How does it all look to you? response:	No, I would never...
context: Are you better now?\A bit, thank you.\It must be the weariness from your long travels.\I'll bring you some goat milk now.\Excuse me...\For some reason, everything seems to be on a slant to me.\How does it all look to you?\No, I would never... response:	I'm sure it isn't, but...
context: A bit, thank you.\It must be the weariness from your long travels.\I'll bring you some goat milk now.\Excuse me...\For some reason, everything seems to be on a slant to me.\How does it all look to you?\No, I would never...\I'm sure it isn't, but... response:	Hey, are you okay?
context: It must be the weariness from your long travels.\I'll bring you some goat milk now.\Excuse me...\For some reason, everything seems to be on a slant to me.\How does it all look to you?\No, I would never...\I'm sure it isn't, but...\Hey, are you okay? response:	I see something that can't be real!
context: I'll bring you some goat milk now.\Excuse me...\For some reason, everything seems to be on a slant to me.\How does it all look to you?\No, I would never...\I'm sure it isn't, but...\Hey, are you okay?\I see something that can't be real! response:	It looks like I was drinking wine earlier, rather than water.
context: Excuse me...\For some reason, everything seems to be on a slant to me.\How does it all look to you?\No, I would never...\I'm sure it isn't, but...\Hey, are you okay?\I see something that can't be real!\It looks like I was drinking wine earlier, rather than water. response:	Isn't that right, sir?
context: For some reason, everything seems to be on a slant to me.\How does it all look to you?\No, I would never...\I'm sure it isn't, but...\Hey, are you okay?\I see something that can't be real!\It looks like I was drinking wine earlier, rather than water.\Isn't that right, sir? response:	There's a proverb that says you shouldn't drink more than the cheerful bar master.
context: How does it all look to you?\No, I would never...\I'm sure it isn't, but...\Hey, are you okay?\I see something that can't be real!\It looks like I was drinking wine earlier, rather than water.\Isn't that right, sir?\There's a proverb that says you shouldn't drink more than the cheerful bar master. response:	I understand it now.
context: No, I would never...\I'm sure it isn't, but...\Hey, are you okay?\I see something that can't be real!\It looks like I was drinking wine earlier, rather than water.\Isn't that right, sir?\There's a proverb that says you shouldn't drink more than the cheerful bar master.\I understand it now. response:	The secret to a thriving business is to be the sober one in that situation, correct?
context: I'm sure it isn't, but...\Hey, are you okay?\I see something that can't be real!\It looks like I was drinking wine earlier, rather than water.\Isn't that right, sir?\There's a proverb that says you shouldn't drink more than the cheerful bar master.\I understand it now.\The secret to a thriving business is to be the sober one in that situation, correct? response:	It seems I'm drunk too.
context: Hey, are you okay?\I see something that can't be real!\It looks like I was drinking wine earlier, rather than water.\Isn't that right, sir?\There's a proverb that says you shouldn't drink more than the cheerful bar master.\I understand it now.\The secret to a thriving business is to be the sober one in that situation, correct?\It seems I'm drunk too. response:	I'll probably forget all that I've seen and heard here.
context: I see something that can't be real!\It looks like I was drinking wine earlier, rather than water.\Isn't that right, sir?\There's a proverb that says you shouldn't drink more than the cheerful bar master.\I understand it now.\The secret to a thriving business is to be the sober one in that situation, correct?\It seems I'm drunk too.\I'll probably forget all that I've seen and heard here. response:	But when I'm drunk, I tend to talk quite a bit.
context: It looks like I was drinking wine earlier, rather than water.\Isn't that right, sir?\There's a proverb that says you shouldn't drink more than the cheerful bar master.\I understand it now.\The secret to a thriving business is to be the sober one in that situation, correct?\It seems I'm drunk too.\I'll probably forget all that I've seen and heard here.\But when I'm drunk, I tend to talk quite a bit. response:	W-What are you...
context: Isn't that right, sir?\There's a proverb that says you shouldn't drink more than the cheerful bar master.\I understand it now.\The secret to a thriving business is to be the sober one in that situation, correct?\It seems I'm drunk too.\I'll probably forget all that I've seen and heard here.\But when I'm drunk, I tend to talk quite a bit.\W-What are you... response:	The money here, the profit you tried to make off me, and...
context: There's a proverb that says you shouldn't drink more than the cheerful bar master.\I understand it now.\The secret to a thriving business is to be the sober one in that situation, correct?\It seems I'm drunk too.\I'll probably forget all that I've seen and heard here.\But when I'm drunk, I tend to talk quite a bit.\W-What are you...\The money here, the profit you tried to make off me, and... response:	Let's see, to buy my trust, you'll give me double the amount of what I was buying.
context: I understand it now.\The secret to a thriving business is to be the sober one in that situation, correct?\It seems I'm drunk too.\I'll probably forget all that I've seen and heard here.\But when I'm drunk, I tend to talk quite a bit.\W-What are you...\The money here, the profit you tried to make off me, and...\Let's see, to buy my trust, you'll give me double the amount of what I was buying. response:	Double?! T-That's too much!
context: The secret to a thriving business is to be the sober one in that situation, correct?\It seems I'm drunk too.\I'll probably forget all that I've seen and heard here.\But when I'm drunk, I tend to talk quite a bit.\W-What are you...\The money here, the profit you tried to make off me, and...\Let's see, to buy my trust, you'll give me double the amount of what I was buying.\Double?! T-That's too much! response:	Ah, how unfortunate, I'm becoming sober.
context: It seems I'm drunk too.\I'll probably forget all that I've seen and heard here.\But when I'm drunk, I tend to talk quite a bit.\W-What are you...\The money here, the profit you tried to make off me, and...\Let's see, to buy my trust, you'll give me double the amount of what I was buying.\Double?! T-That's too much!\Ah, how unfortunate, I'm becoming sober. response:	The commodity will be...
context: I'll probably forget all that I've seen and heard here.\But when I'm drunk, I tend to talk quite a bit.\W-What are you...\The money here, the profit you tried to make off me, and...\Let's see, to buy my trust, you'll give me double the amount of what I was buying.\Double?! T-That's too much!\Ah, how unfortunate, I'm becoming sober.\The commodity will be... response:	Let's see, money is money, so how about some high-grade armor?
context: But when I'm drunk, I tend to talk quite a bit.\W-What are you...\The money here, the profit you tried to make off me, and...\Let's see, to buy my trust, you'll give me double the amount of what I was buying.\Double?! T-That's too much!\Ah, how unfortunate, I'm becoming sober.\The commodity will be...\Let's see, money is money, so how about some high-grade armor? response:	Armor?
context: W-What are you...\The money here, the profit you tried to make off me, and...\Let's see, to buy my trust, you'll give me double the amount of what I was buying.\Double?! T-That's too much!\Ah, how unfortunate, I'm becoming sober.\The commodity will be...\Let's see, money is money, so how about some high-grade armor?\Armor? response:	It's a safe and standard commodity that will guarantee a profit.
context: The money here, the profit you tried to make off me, and...\Let's see, to buy my trust, you'll give me double the amount of what I was buying.\Double?! T-That's too much!\Ah, how unfortunate, I'm becoming sober.\The commodity will be...\Let's see, money is money, so how about some high-grade armor?\Armor?\It's a safe and standard commodity that will guarantee a profit. response:	And with this, I can return the money I borrowed immediately.
context: Let's see, to buy my trust, you'll give me double the amount of what I was buying.\Double?! T-That's too much!\Ah, how unfortunate, I'm becoming sober.\The commodity will be...\Let's see, money is money, so how about some high-grade armor?\Armor?\It's a safe and standard commodity that will guarantee a profit.\And with this, I can return the money I borrowed immediately. response:	You have a lot of commodities for Rubinhaigen, don't you?
context: Double?! T-That's too much!\Ah, how unfortunate, I'm becoming sober.\The commodity will be...\Let's see, money is money, so how about some high-grade armor?\Armor?\It's a safe and standard commodity that will guarantee a profit.\And with this, I can return the money I borrowed immediately.\You have a lot of commodities for Rubinhaigen, don't you? response:	Armor, huh?
context: Ah, how unfortunate, I'm becoming sober.\The commodity will be...\Let's see, money is money, so how about some high-grade armor?\Armor?\It's a safe and standard commodity that will guarantee a profit.\And with this, I can return the money I borrowed immediately.\You have a lot of commodities for Rubinhaigen, don't you?\Armor, huh? response:	There's a company that's friendly with me in Rubinhaigen,
context: The commodity will be...\Let's see, money is money, so how about some high-grade armor?\Armor?\It's a safe and standard commodity that will guarantee a profit.\And with this, I can return the money I borrowed immediately.\You have a lot of commodities for Rubinhaigen, don't you?\Armor, huh?\There's a company that's friendly with me in Rubinhaigen, response:	so the lending and borrowing would counterbalance.
context: Let's see, money is money, so how about some high-grade armor?\Armor?\It's a safe and standard commodity that will guarantee a profit.\And with this, I can return the money I borrowed immediately.\You have a lot of commodities for Rubinhaigen, don't you?\Armor, huh?\There's a company that's friendly with me in Rubinhaigen,\so the lending and borrowing would counterbalance. response:	How about it?
context: Armor?\It's a safe and standard commodity that will guarantee a profit.\And with this, I can return the money I borrowed immediately.\You have a lot of commodities for Rubinhaigen, don't you?\Armor, huh?\There's a company that's friendly with me in Rubinhaigen,\so the lending and borrowing would counterbalance.\How about it? response:	Thank you very much.
context: It's a safe and standard commodity that will guarantee a profit.\And with this, I can return the money I borrowed immediately.\You have a lot of commodities for Rubinhaigen, don't you?\Armor, huh?\There's a company that's friendly with me in Rubinhaigen,\so the lending and borrowing would counterbalance.\How about it?\Thank you very much. response:	Well then, could you make arrangements for the goods now?
context: And with this, I can return the money I borrowed immediately.\You have a lot of commodities for Rubinhaigen, don't you?\Armor, huh?\There's a company that's friendly with me in Rubinhaigen,\so the lending and borrowing would counterbalance.\How about it?\Thank you very much.\Well then, could you make arrangements for the goods now? response:	I would like to depart for Rubinhaigen as soon as possible.
context: You have a lot of commodities for Rubinhaigen, don't you?\Armor, huh?\There's a company that's friendly with me in Rubinhaigen,\so the lending and borrowing would counterbalance.\How about it?\Thank you very much.\Well then, could you make arrangements for the goods now?\I would like to depart for Rubinhaigen as soon as possible. response:	I-I understand. What about the audit?
context: Armor, huh?\There's a company that's friendly with me in Rubinhaigen,\so the lending and borrowing would counterbalance.\How about it?\Thank you very much.\Well then, could you make arrangements for the goods now?\I would like to depart for Rubinhaigen as soon as possible.\I-I understand. What about the audit? response:	I'll leave it to you. I believe in God after all.
context: There's a company that's friendly with me in Rubinhaigen,\so the lending and borrowing would counterbalance.\How about it?\Thank you very much.\Well then, could you make arrangements for the goods now?\I would like to depart for Rubinhaigen as soon as possible.\I-I understand. What about the audit?\I'll leave it to you. I believe in God after all. response:	I feel sorry for him.
context: so the lending and borrowing would counterbalance.\How about it?\Thank you very much.\Well then, could you make arrangements for the goods now?\I would like to depart for Rubinhaigen as soon as possible.\I-I understand. What about the audit?\I'll leave it to you. I believe in God after all.\I feel sorry for him. response:	But still, I'm amazed that you noticed.
context: How about it?\Thank you very much.\Well then, could you make arrangements for the goods now?\I would like to depart for Rubinhaigen as soon as possible.\I-I understand. What about the audit?\I'll leave it to you. I believe in God after all.\I feel sorry for him.\But still, I'm amazed that you noticed. response:	I'm beautiful, the lay of my tail is good, and I'm smart.
context: Thank you very much.\Well then, could you make arrangements for the goods now?\I would like to depart for Rubinhaigen as soon as possible.\I-I understand. What about the audit?\I'll leave it to you. I believe in God after all.\I feel sorry for him.\But still, I'm amazed that you noticed.\I'm beautiful, the lay of my tail is good, and I'm smart. response:	But my ears and eyes are good too.
context: Well then, could you make arrangements for the goods now?\I would like to depart for Rubinhaigen as soon as possible.\I-I understand. What about the audit?\I'll leave it to you. I believe in God after all.\I feel sorry for him.\But still, I'm amazed that you noticed.\I'm beautiful, the lay of my tail is good, and I'm smart.\But my ears and eyes are good too. response:	I smelled it right when I entered this room.
context: I would like to depart for Rubinhaigen as soon as possible.\I-I understand. What about the audit?\I'll leave it to you. I believe in God after all.\I feel sorry for him.\But still, I'm amazed that you noticed.\I'm beautiful, the lay of my tail is good, and I'm smart.\But my ears and eyes are good too.\I smelled it right when I entered this room. response:	Oh?
context: I-I understand. What about the audit?\I'll leave it to you. I believe in God after all.\I feel sorry for him.\But still, I'm amazed that you noticed.\I'm beautiful, the lay of my tail is good, and I'm smart.\But my ears and eyes are good too.\I smelled it right when I entered this room.\Oh? response:	Not Oh!
context: I'll leave it to you. I believe in God after all.\I feel sorry for him.\But still, I'm amazed that you noticed.\I'm beautiful, the lay of my tail is good, and I'm smart.\But my ears and eyes are good too.\I smelled it right when I entered this room.\Oh?\Not Oh! response:	What are you doing, so suddenly?
context: I feel sorry for him.\But still, I'm amazed that you noticed.\I'm beautiful, the lay of my tail is good, and I'm smart.\But my ears and eyes are good too.\I smelled it right when I entered this room.\Oh?\Not Oh!\What are you doing, so suddenly? response:	Experience leads to trusting others too much.
context: But still, I'm amazed that you noticed.\I'm beautiful, the lay of my tail is good, and I'm smart.\But my ears and eyes are good too.\I smelled it right when I entered this room.\Oh?\Not Oh!\What are you doing, so suddenly?\Experience leads to trusting others too much. response:	And that trust can sometimes be fatal.
context: I'm beautiful, the lay of my tail is good, and I'm smart.\But my ears and eyes are good too.\I smelled it right when I entered this room.\Oh?\Not Oh!\What are you doing, so suddenly?\Experience leads to trusting others too much.\And that trust can sometimes be fatal. response:	You should have learned that after Chloe.
context: But my ears and eyes are good too.\I smelled it right when I entered this room.\Oh?\Not Oh!\What are you doing, so suddenly?\Experience leads to trusting others too much.\And that trust can sometimes be fatal.\You should have learned that after Chloe. response:	That's entirely true.
context: I smelled it right when I entered this room.\Oh?\Not Oh!\What are you doing, so suddenly?\Experience leads to trusting others too much.\And that trust can sometimes be fatal.\You should have learned that after Chloe.\That's entirely true. response:	You fool!
context: Oh?\Not Oh!\What are you doing, so suddenly?\Experience leads to trusting others too much.\And that trust can sometimes be fatal.\You should have learned that after Chloe.\That's entirely true.\You fool! response:	Feeling sorry for yourself is even worse!
context: Not Oh!\What are you doing, so suddenly?\Experience leads to trusting others too much.\And that trust can sometimes be fatal.\You should have learned that after Chloe.\That's entirely true.\You fool!\Feeling sorry for yourself is even worse! response:	You should just learn from it.
context: What are you doing, so suddenly?\Experience leads to trusting others too much.\And that trust can sometimes be fatal.\You should have learned that after Chloe.\That's entirely true.\You fool!\Feeling sorry for yourself is even worse!\You should just learn from it. response:	Oil?
context: Experience leads to trusting others too much.\And that trust can sometimes be fatal.\You should have learned that after Chloe.\That's entirely true.\You fool!\Feeling sorry for yourself is even worse!\You should just learn from it.\Oil? response:	Yes, I hear it's good for maintaining my tail.
context: And that trust can sometimes be fatal.\You should have learned that after Chloe.\That's entirely true.\You fool!\Feeling sorry for yourself is even worse!\You should just learn from it.\Oil?\Yes, I hear it's good for maintaining my tail. response:	Could you buy me some in the next city?
context: You should have learned that after Chloe.\That's entirely true.\You fool!\Feeling sorry for yourself is even worse!\You should just learn from it.\Oil?\Yes, I hear it's good for maintaining my tail.\Could you buy me some in the next city? response:	Have you ever calculated the price for those clothes you're wearing, your spare clothes, the comb,
context: That's entirely true.\You fool!\Feeling sorry for yourself is even worse!\You should just learn from it.\Oil?\Yes, I hear it's good for maintaining my tail.\Could you buy me some in the next city?\Have you ever calculated the price for those clothes you're wearing, your spare clothes, the comb, response:	the expenses for the inn, meals, and the absurd amounts of beer?
context: You fool!\Feeling sorry for yourself is even worse!\You should just learn from it.\Oil?\Yes, I hear it's good for maintaining my tail.\Could you buy me some in the next city?\Have you ever calculated the price for those clothes you're wearing, your spare clothes, the comb,\the expenses for the inn, meals, and the absurd amounts of beer? response:	There's also the poll tax when we enter a city.
context: Feeling sorry for yourself is even worse!\You should just learn from it.\Oil?\Yes, I hear it's good for maintaining my tail.\Could you buy me some in the next city?\Have you ever calculated the price for those clothes you're wearing, your spare clothes, the comb,\the expenses for the inn, meals, and the absurd amounts of beer?\There's also the poll tax when we enter a city. response:	It's not like you can't calculate it, right?
context: You should just learn from it.\Oil?\Yes, I hear it's good for maintaining my tail.\Could you buy me some in the next city?\Have you ever calculated the price for those clothes you're wearing, your spare clothes, the comb,\the expenses for the inn, meals, and the absurd amounts of beer?\There's also the poll tax when we enter a city.\It's not like you can't calculate it, right? response:	I can do addition.
context: Oil?\Yes, I hear it's good for maintaining my tail.\Could you buy me some in the next city?\Have you ever calculated the price for those clothes you're wearing, your spare clothes, the comb,\the expenses for the inn, meals, and the absurd amounts of beer?\There's also the poll tax when we enter a city.\It's not like you can't calculate it, right?\I can do addition. response:	But not only addition, I'm also good at subtraction.
context: Yes, I hear it's good for maintaining my tail.\Could you buy me some in the next city?\Have you ever calculated the price for those clothes you're wearing, your spare clothes, the comb,\the expenses for the inn, meals, and the absurd amounts of beer?\There's also the poll tax when we enter a city.\It's not like you can't calculate it, right?\I can do addition.\But not only addition, I'm also good at subtraction. response:	Then add up how much you've spent.
context: Could you buy me some in the next city?\Have you ever calculated the price for those clothes you're wearing, your spare clothes, the comb,\the expenses for the inn, meals, and the absurd amounts of beer?\There's also the poll tax when we enter a city.\It's not like you can't calculate it, right?\I can do addition.\But not only addition, I'm also good at subtraction.\Then add up how much you've spent. response:	If you're so wise, you should be able to know the answer to my question.
context: Have you ever calculated the price for those clothes you're wearing, your spare clothes, the comb,\the expenses for the inn, meals, and the absurd amounts of beer?\There's also the poll tax when we enter a city.\It's not like you can't calculate it, right?\I can do addition.\But not only addition, I'm also good at subtraction.\Then add up how much you've spent.\If you're so wise, you should be able to know the answer to my question. response:	I don't know.
context: the expenses for the inn, meals, and the absurd amounts of beer?\There's also the poll tax when we enter a city.\It's not like you can't calculate it, right?\I can do addition.\But not only addition, I'm also good at subtraction.\Then add up how much you've spent.\If you're so wise, you should be able to know the answer to my question.\I don't know. response:	I'm sure you will buy it.
context: There's also the poll tax when we enter a city.\It's not like you can't calculate it, right?\I can do addition.\But not only addition, I'm also good at subtraction.\Then add up how much you've spent.\If you're so wise, you should be able to know the answer to my question.\I don't know.\I'm sure you will buy it. response:	You pride yourself for being clever and wise, but you just lose face when you're drunk.
context: It's not like you can't calculate it, right?\I can do addition.\But not only addition, I'm also good at subtraction.\Then add up how much you've spent.\If you're so wise, you should be able to know the answer to my question.\I don't know.\I'm sure you will buy it.\You pride yourself for being clever and wise, but you just lose face when you're drunk. response:	I'm not drunk at all!
context: I can do addition.\But not only addition, I'm also good at subtraction.\Then add up how much you've spent.\If you're so wise, you should be able to know the answer to my question.\I don't know.\I'm sure you will buy it.\You pride yourself for being clever and wise, but you just lose face when you're drunk.\I'm not drunk at all! response:	Hey! What are you doing?!
context: But not only addition, I'm also good at subtraction.\Then add up how much you've spent.\If you're so wise, you should be able to know the answer to my question.\I don't know.\I'm sure you will buy it.\You pride yourself for being clever and wise, but you just lose face when you're drunk.\I'm not drunk at all!\Hey! What are you doing?! response:	Just kidding.
context: Then add up how much you've spent.\If you're so wise, you should be able to know the answer to my question.\I don't know.\I'm sure you will buy it.\You pride yourself for being clever and wise, but you just lose face when you're drunk.\I'm not drunk at all!\Hey! What are you doing?!\Just kidding. response:	Hey...
context: If you're so wise, you should be able to know the answer to my question.\I don't know.\I'm sure you will buy it.\You pride yourself for being clever and wise, but you just lose face when you're drunk.\I'm not drunk at all!\Hey! What are you doing?!\Just kidding.\Hey... response:	It's not good to belittle me.
context: I don't know.\I'm sure you will buy it.\You pride yourself for being clever and wise, but you just lose face when you're drunk.\I'm not drunk at all!\Hey! What are you doing?!\Just kidding.\Hey...\It's not good to belittle me. response:	Don't you understand that you gained that unimaginable profit by grasping onto that master's weakness?
context: I'm sure you will buy it.\You pride yourself for being clever and wise, but you just lose face when you're drunk.\I'm not drunk at all!\Hey! What are you doing?!\Just kidding.\Hey...\It's not good to belittle me.\Don't you understand that you gained that unimaginable profit by grasping onto that master's weakness? response:	Will you buy me oil?
context: You pride yourself for being clever and wise, but you just lose face when you're drunk.\I'm not drunk at all!\Hey! What are you doing?!\Just kidding.\Hey...\It's not good to belittle me.\Don't you understand that you gained that unimaginable profit by grasping onto that master's weakness?\Will you buy me oil? response:	How much do you think you owe me?
context: I'm not drunk at all!\Hey! What are you doing?!\Just kidding.\Hey...\It's not good to belittle me.\Don't you understand that you gained that unimaginable profit by grasping onto that master's weakness?\Will you buy me oil?\How much do you think you owe me? response:	140 silver coins!
context: Hey! What are you doing?!\Just kidding.\Hey...\It's not good to belittle me.\Don't you understand that you gained that unimaginable profit by grasping onto that master's weakness?\Will you buy me oil?\How much do you think you owe me?\140 silver coins! response:	You understand how much that is, right?
