context: I can see it. The reconstruction of this world is already underway. response:	Wha?
context: But I don't really see the issue no matter who's the real thing.\Yuta.\Yeah.\So, you have no proof then?\You could say that. But I am the real one.\This is what you get for competing with the real thing, Fake Summer!\You don't know the sheer scope of your folly!\Oh, be quiet! I will also add that I'll bet you don't have any proof either. response:	You are truly appalling. The proof that I am indeed Mori Summer...
context: Yuta.\Yeah.\So, you have no proof then?\You could say that. But I am the real one.\This is what you get for competing with the real thing, Fake Summer!\You don't know the sheer scope of your folly!\Oh, be quiet! I will also add that I'll bet you don't have any proof either.\You are truly appalling. The proof that I am indeed Mori Summer... response:	Pardon?
context: Yeah.\So, you have no proof then?\You could say that. But I am the real one.\This is what you get for competing with the real thing, Fake Summer!\You don't know the sheer scope of your folly!\Oh, be quiet! I will also add that I'll bet you don't have any proof either.\You are truly appalling. The proof that I am indeed Mori Summer...\Pardon? response:	I am the very visage of the magician embodied within the Mabinogion.
context: So, you have no proof then?\You could say that. But I am the real one.\This is what you get for competing with the real thing, Fake Summer!\You don't know the sheer scope of your folly!\Oh, be quiet! I will also add that I'll bet you don't have any proof either.\You are truly appalling. The proof that I am indeed Mori Summer...\Pardon?\I am the very visage of the magician embodied within the Mabinogion. response:	My true identity is obvious to one with magical power such as Sanja.
context: You could say that. But I am the real one.\This is what you get for competing with the real thing, Fake Summer!\You don't know the sheer scope of your folly!\Oh, be quiet! I will also add that I'll bet you don't have any proof either.\You are truly appalling. The proof that I am indeed Mori Summer...\Pardon?\I am the very visage of the magician embodied within the Mabinogion.\My true identity is obvious to one with magical power such as Sanja. response:	That's right!
context: This is what you get for competing with the real thing, Fake Summer!\You don't know the sheer scope of your folly!\Oh, be quiet! I will also add that I'll bet you don't have any proof either.\You are truly appalling. The proof that I am indeed Mori Summer...\Pardon?\I am the very visage of the magician embodied within the Mabinogion.\My true identity is obvious to one with magical power such as Sanja.\That's right! response:	I knew it was her the moment I saw her!
context: You don't know the sheer scope of your folly!\Oh, be quiet! I will also add that I'll bet you don't have any proof either.\You are truly appalling. The proof that I am indeed Mori Summer...\Pardon?\I am the very visage of the magician embodied within the Mabinogion.\My true identity is obvious to one with magical power such as Sanja.\That's right!\I knew it was her the moment I saw her! response:	I knew this was truly the real Mori Summer!
context: Oh, be quiet! I will also add that I'll bet you don't have any proof either.\You are truly appalling. The proof that I am indeed Mori Summer...\Pardon?\I am the very visage of the magician embodied within the Mabinogion.\My true identity is obvious to one with magical power such as Sanja.\That's right!\I knew it was her the moment I saw her!\I knew this was truly the real Mori Summer! response:	Do you recall how you claimed that I was the real thing too?
context: You are truly appalling. The proof that I am indeed Mori Summer...\Pardon?\I am the very visage of the magician embodied within the Mabinogion.\My true identity is obvious to one with magical power such as Sanja.\That's right!\I knew it was her the moment I saw her!\I knew this was truly the real Mori Summer!\Do you recall how you claimed that I was the real thing too? response:	Don't act so conceited!
context: Pardon?\I am the very visage of the magician embodied within the Mabinogion.\My true identity is obvious to one with magical power such as Sanja.\That's right!\I knew it was her the moment I saw her!\I knew this was truly the real Mori Summer!\Do you recall how you claimed that I was the real thing too?\Don't act so conceited! response:	That was an advanced tactic designed to throw you off guard!
context: I am the very visage of the magician embodied within the Mabinogion.\My true identity is obvious to one with magical power such as Sanja.\That's right!\I knew it was her the moment I saw her!\I knew this was truly the real Mori Summer!\Do you recall how you claimed that I was the real thing too?\Don't act so conceited!\That was an advanced tactic designed to throw you off guard! response:	So that's what it was!
context: My true identity is obvious to one with magical power such as Sanja.\That's right!\I knew it was her the moment I saw her!\I knew this was truly the real Mori Summer!\Do you recall how you claimed that I was the real thing too?\Don't act so conceited!\That was an advanced tactic designed to throw you off guard!\So that's what it was! response:	Don't fall for that.
context: That's right!\I knew it was her the moment I saw her!\I knew this was truly the real Mori Summer!\Do you recall how you claimed that I was the real thing too?\Don't act so conceited!\That was an advanced tactic designed to throw you off guard!\So that's what it was!\Don't fall for that. response:	I will be blunt.
context: I knew it was her the moment I saw her!\I knew this was truly the real Mori Summer!\Do you recall how you claimed that I was the real thing too?\Don't act so conceited!\That was an advanced tactic designed to throw you off guard!\So that's what it was!\Don't fall for that.\I will be blunt. response:	We are all now fully aware that you are am imposter.
context: I knew this was truly the real Mori Summer!\Do you recall how you claimed that I was the real thing too?\Don't act so conceited!\That was an advanced tactic designed to throw you off guard!\So that's what it was!\Don't fall for that.\I will be blunt.\We are all now fully aware that you are am imposter. response:	No one with such a disgraceful countenance could possibly be Mori Summer.
context: Do you recall how you claimed that I was the real thing too?\Don't act so conceited!\That was an advanced tactic designed to throw you off guard!\So that's what it was!\Don't fall for that.\I will be blunt.\We are all now fully aware that you are am imposter.\No one with such a disgraceful countenance could possibly be Mori Summer. response:	Now, repent the error of your ways and part with Sanja.
context: Don't act so conceited!\That was an advanced tactic designed to throw you off guard!\So that's what it was!\Don't fall for that.\I will be blunt.\We are all now fully aware that you are am imposter.\No one with such a disgraceful countenance could possibly be Mori Summer.\Now, repent the error of your ways and part with Sanja. response:	That shut you up good. I knew you were the imposter.
context: That was an advanced tactic designed to throw you off guard!\So that's what it was!\Don't fall for that.\I will be blunt.\We are all now fully aware that you are am imposter.\No one with such a disgraceful countenance could possibly be Mori Summer.\Now, repent the error of your ways and part with Sanja.\That shut you up good. I knew you were the imposter. response:	Fine.
context: So that's what it was!\Don't fall for that.\I will be blunt.\We are all now fully aware that you are am imposter.\No one with such a disgraceful countenance could possibly be Mori Summer.\Now, repent the error of your ways and part with Sanja.\That shut you up good. I knew you were the imposter.\Fine. response:	Huh?
context: Don't fall for that.\I will be blunt.\We are all now fully aware that you are am imposter.\No one with such a disgraceful countenance could possibly be Mori Summer.\Now, repent the error of your ways and part with Sanja.\That shut you up good. I knew you were the imposter.\Fine.\Huh? response:	So what if my old, dark history was dragged out into the light?
context: I will be blunt.\We are all now fully aware that you are am imposter.\No one with such a disgraceful countenance could possibly be Mori Summer.\Now, repent the error of your ways and part with Sanja.\That shut you up good. I knew you were the imposter.\Fine.\Huh?\So what if my old, dark history was dragged out into the light? response:	I just have to ignore it, and it will go away.
context: We are all now fully aware that you are am imposter.\No one with such a disgraceful countenance could possibly be Mori Summer.\Now, repent the error of your ways and part with Sanja.\That shut you up good. I knew you were the imposter.\Fine.\Huh?\So what if my old, dark history was dragged out into the light?\I just have to ignore it, and it will go away. response:	I no longer have any proof that I'm Mori Summer.
context: No one with such a disgraceful countenance could possibly be Mori Summer.\Now, repent the error of your ways and part with Sanja.\That shut you up good. I knew you were the imposter.\Fine.\Huh?\So what if my old, dark history was dragged out into the light?\I just have to ignore it, and it will go away.\I no longer have any proof that I'm Mori Summer. response:	I'm relieved to finally be free of you.
context: Now, repent the error of your ways and part with Sanja.\That shut you up good. I knew you were the imposter.\Fine.\Huh?\So what if my old, dark history was dragged out into the light?\I just have to ignore it, and it will go away.\I no longer have any proof that I'm Mori Summer.\I'm relieved to finally be free of you. response:	So long.
context: That shut you up good. I knew you were the imposter.\Fine.\Huh?\So what if my old, dark history was dragged out into the light?\I just have to ignore it, and it will go away.\I no longer have any proof that I'm Mori Summer.\I'm relieved to finally be free of you.\So long. response:	Mori Summer?
context: Fine.\Huh?\So what if my old, dark history was dragged out into the light?\I just have to ignore it, and it will go away.\I no longer have any proof that I'm Mori Summer.\I'm relieved to finally be free of you.\So long.\Mori Summer? response:	Hey, Nibutani.
context: Huh?\So what if my old, dark history was dragged out into the light?\I just have to ignore it, and it will go away.\I no longer have any proof that I'm Mori Summer.\I'm relieved to finally be free of you.\So long.\Mori Summer?\Hey, Nibutani. response:	F-Fake Summer?
context: So what if my old, dark history was dragged out into the light?\I just have to ignore it, and it will go away.\I no longer have any proof that I'm Mori Summer.\I'm relieved to finally be free of you.\So long.\Mori Summer?\Hey, Nibutani.\F-Fake Summer? response:	Now she and I are both finally free to take our proper paths uninhibited.
context: I just have to ignore it, and it will go away.\I no longer have any proof that I'm Mori Summer.\I'm relieved to finally be free of you.\So long.\Mori Summer?\Hey, Nibutani.\F-Fake Summer?\Now she and I are both finally free to take our proper paths uninhibited. response:	Mistress Mori Summer.
context: I no longer have any proof that I'm Mori Summer.\I'm relieved to finally be free of you.\So long.\Mori Summer?\Hey, Nibutani.\F-Fake Summer?\Now she and I are both finally free to take our proper paths uninhibited.\Mistress Mori Summer. response:	I'm relieved to finally be free of you.
context: I'm relieved to finally be free of you.\So long.\Mori Summer?\Hey, Nibutani.\F-Fake Summer?\Now she and I are both finally free to take our proper paths uninhibited.\Mistress Mori Summer.\I'm relieved to finally be free of you. response:	As if! I know you hate to lose.
context: So long.\Mori Summer?\Hey, Nibutani.\F-Fake Summer?\Now she and I are both finally free to take our proper paths uninhibited.\Mistress Mori Summer.\I'm relieved to finally be free of you.\As if! I know you hate to lose. response:	Sanae, what's wrong?
context: Mori Summer?\Hey, Nibutani.\F-Fake Summer?\Now she and I are both finally free to take our proper paths uninhibited.\Mistress Mori Summer.\I'm relieved to finally be free of you.\As if! I know you hate to lose.\Sanae, what's wrong? response:	You don't look very happy today.
context: Hey, Nibutani.\F-Fake Summer?\Now she and I are both finally free to take our proper paths uninhibited.\Mistress Mori Summer.\I'm relieved to finally be free of you.\As if! I know you hate to lose.\Sanae, what's wrong?\You don't look very happy today. response:	I'm fine.
context: F-Fake Summer?\Now she and I are both finally free to take our proper paths uninhibited.\Mistress Mori Summer.\I'm relieved to finally be free of you.\As if! I know you hate to lose.\Sanae, what's wrong?\You don't look very happy today.\I'm fine. response:	You're sure?
context: Now she and I are both finally free to take our proper paths uninhibited.\Mistress Mori Summer.\I'm relieved to finally be free of you.\As if! I know you hate to lose.\Sanae, what's wrong?\You don't look very happy today.\I'm fine.\You're sure? response:	SENDER: MISTRESS MORI SUMMER TO: DEKOMORI
context: Mistress Mori Summer.\I'm relieved to finally be free of you.\As if! I know you hate to lose.\Sanae, what's wrong?\You don't look very happy today.\I'm fine.\You're sure?\SENDER: MISTRESS MORI SUMMER TO: DEKOMORI response:	Come to my house after school and we will read the Mabinogion together.
context: I'm relieved to finally be free of you.\As if! I know you hate to lose.\Sanae, what's wrong?\You don't look very happy today.\I'm fine.\You're sure?\SENDER: MISTRESS MORI SUMMER TO: DEKOMORI\Come to my house after school and we will read the Mabinogion together. response:	Are you really okay with this?
context: As if! I know you hate to lose.\Sanae, what's wrong?\You don't look very happy today.\I'm fine.\You're sure?\SENDER: MISTRESS MORI SUMMER TO: DEKOMORI\Come to my house after school and we will read the Mabinogion together.\Are you really okay with this? response:	It has nothing to do with me.
context: Sanae, what's wrong?\You don't look very happy today.\I'm fine.\You're sure?\SENDER: MISTRESS MORI SUMMER TO: DEKOMORI\Come to my house after school and we will read the Mabinogion together.\Are you really okay with this?\It has nothing to do with me. response:	Of course it does. She's impersonating you!
context: You don't look very happy today.\I'm fine.\You're sure?\SENDER: MISTRESS MORI SUMMER TO: DEKOMORI\Come to my house after school and we will read the Mabinogion together.\Are you really okay with this?\It has nothing to do with me.\Of course it does. She's impersonating you! response:	Whatever. I just won't let it bother me.
context: I'm fine.\You're sure?\SENDER: MISTRESS MORI SUMMER TO: DEKOMORI\Come to my house after school and we will read the Mabinogion together.\Are you really okay with this?\It has nothing to do with me.\Of course it does. She's impersonating you!\Whatever. I just won't let it bother me. response:	Ow.
context: You're sure?\SENDER: MISTRESS MORI SUMMER TO: DEKOMORI\Come to my house after school and we will read the Mabinogion together.\Are you really okay with this?\It has nothing to do with me.\Of course it does. She's impersonating you!\Whatever. I just won't let it bother me.\Ow. response:	Dekomori.
context: SENDER: MISTRESS MORI SUMMER TO: DEKOMORI\Come to my house after school and we will read the Mabinogion together.\Are you really okay with this?\It has nothing to do with me.\Of course it does. She's impersonating you!\Whatever. I just won't let it bother me.\Ow.\Dekomori. response:	Yesterday was a true work of blunder!
context: Come to my house after school and we will read the Mabinogion together.\Are you really okay with this?\It has nothing to do with me.\Of course it does. She's impersonating you!\Whatever. I just won't let it bother me.\Ow.\Dekomori.\Yesterday was a true work of blunder! response:	Your fakeness was finally exposed for what it really is...
context: Are you really okay with this?\It has nothing to do with me.\Of course it does. She's impersonating you!\Whatever. I just won't let it bother me.\Ow.\Dekomori.\Yesterday was a true work of blunder!\Your fakeness was finally exposed for what it really is... response:	W-wait!
context: It has nothing to do with me.\Of course it does. She's impersonating you!\Whatever. I just won't let it bother me.\Ow.\Dekomori.\Yesterday was a true work of blunder!\Your fakeness was finally exposed for what it really is...\W-wait! response:	Why?
context: Of course it does. She's impersonating you!\Whatever. I just won't let it bother me.\Ow.\Dekomori.\Yesterday was a true work of blunder!\Your fakeness was finally exposed for what it really is...\W-wait!\Why? response:	Why do you sulk? Did it hurt so much to be beaten by me?
context: Whatever. I just won't let it bother me.\Ow.\Dekomori.\Yesterday was a true work of blunder!\Your fakeness was finally exposed for what it really is...\W-wait!\Why?\Why do you sulk? Did it hurt so much to be beaten by me? response:	To be exposed for the imposter you really are?
context: Ow.\Dekomori.\Yesterday was a true work of blunder!\Your fakeness was finally exposed for what it really is...\W-wait!\Why?\Why do you sulk? Did it hurt so much to be beaten by me?\To be exposed for the imposter you really are? response:	Not really.
context: Dekomori.\Yesterday was a true work of blunder!\Your fakeness was finally exposed for what it really is...\W-wait!\Why?\Why do you sulk? Did it hurt so much to be beaten by me?\To be exposed for the imposter you really are?\Not really. response:	Go on, class is starting.
context: Yesterday was a true work of blunder!\Your fakeness was finally exposed for what it really is...\W-wait!\Why?\Why do you sulk? Did it hurt so much to be beaten by me?\To be exposed for the imposter you really are?\Not really.\Go on, class is starting. response:	Well, hmph! This is what I get for exercising tact.
context: Your fakeness was finally exposed for what it really is...\W-wait!\Why?\Why do you sulk? Did it hurt so much to be beaten by me?\To be exposed for the imposter you really are?\Not really.\Go on, class is starting.\Well, hmph! This is what I get for exercising tact. response:	Are you sure?
context: W-wait!\Why?\Why do you sulk? Did it hurt so much to be beaten by me?\To be exposed for the imposter you really are?\Not really.\Go on, class is starting.\Well, hmph! This is what I get for exercising tact.\Are you sure? response:	About what?
context: Why?\Why do you sulk? Did it hurt so much to be beaten by me?\To be exposed for the imposter you really are?\Not really.\Go on, class is starting.\Well, hmph! This is what I get for exercising tact.\Are you sure?\About what? response:	And then Deko went home?
context: Why do you sulk? Did it hurt so much to be beaten by me?\To be exposed for the imposter you really are?\Not really.\Go on, class is starting.\Well, hmph! This is what I get for exercising tact.\Are you sure?\About what?\And then Deko went home? response:	Yes.
context: To be exposed for the imposter you really are?\Not really.\Go on, class is starting.\Well, hmph! This is what I get for exercising tact.\Are you sure?\About what?\And then Deko went home?\Yes. response:	That's no good. That's where you have to shine.
context: Not really.\Go on, class is starting.\Well, hmph! This is what I get for exercising tact.\Are you sure?\About what?\And then Deko went home?\Yes.\That's no good. That's where you have to shine. response:	You are Ghelzonianses, aren't you?
context: Go on, class is starting.\Well, hmph! This is what I get for exercising tact.\Are you sure?\About what?\And then Deko went home?\Yes.\That's no good. That's where you have to shine.\You are Ghelzonianses, aren't you? response:	Please don't memorize that, Senpai!
context: Well, hmph! This is what I get for exercising tact.\Are you sure?\About what?\And then Deko went home?\Yes.\That's no good. That's where you have to shine.\You are Ghelzonianses, aren't you?\Please don't memorize that, Senpai! response:	I did ask them both to come to the club room.
context: Are you sure?\About what?\And then Deko went home?\Yes.\That's no good. That's where you have to shine.\You are Ghelzonianses, aren't you?\Please don't memorize that, Senpai!\I did ask them both to come to the club room. response:	Dekomori is useless to me now. I must find a temporary servant.
context: About what?\And then Deko went home?\Yes.\That's no good. That's where you have to shine.\You are Ghelzonianses, aren't you?\Please don't memorize that, Senpai!\I did ask them both to come to the club room.\Dekomori is useless to me now. I must find a temporary servant. response:	And then there's you!
context: And then Deko went home?\Yes.\That's no good. That's where you have to shine.\You are Ghelzonianses, aren't you?\Please don't memorize that, Senpai!\I did ask them both to come to the club room.\Dekomori is useless to me now. I must find a temporary servant.\And then there's you! response:	Do you really think Deko will be okay?
context: Yes.\That's no good. That's where you have to shine.\You are Ghelzonianses, aren't you?\Please don't memorize that, Senpai!\I did ask them both to come to the club room.\Dekomori is useless to me now. I must find a temporary servant.\And then there's you!\Do you really think Deko will be okay? response:	Whoever that person is, she scares me.
context: That's no good. That's where you have to shine.\You are Ghelzonianses, aren't you?\Please don't memorize that, Senpai!\I did ask them both to come to the club room.\Dekomori is useless to me now. I must find a temporary servant.\And then there's you!\Do you really think Deko will be okay?\Whoever that person is, she scares me. response:	Why is that?
context: You are Ghelzonianses, aren't you?\Please don't memorize that, Senpai!\I did ask them both to come to the club room.\Dekomori is useless to me now. I must find a temporary servant.\And then there's you!\Do you really think Deko will be okay?\Whoever that person is, she scares me.\Why is that? response:	Listen.
context: Please don't memorize that, Senpai!\I did ask them both to come to the club room.\Dekomori is useless to me now. I must find a temporary servant.\And then there's you!\Do you really think Deko will be okay?\Whoever that person is, she scares me.\Why is that?\Listen. response:	Love?
context: I did ask them both to come to the club room.\Dekomori is useless to me now. I must find a temporary servant.\And then there's you!\Do you really think Deko will be okay?\Whoever that person is, she scares me.\Why is that?\Listen.\Love? response:	Yeah. According to Kumin-senpai...
context: Dekomori is useless to me now. I must find a temporary servant.\And then there's you!\Do you really think Deko will be okay?\Whoever that person is, she scares me.\Why is that?\Listen.\Love?\Yeah. According to Kumin-senpai... response:	Don't be ridiculous.
context: And then there's you!\Do you really think Deko will be okay?\Whoever that person is, she scares me.\Why is that?\Listen.\Love?\Yeah. According to Kumin-senpai...\Don't be ridiculous. response:	I actually thought the same thing.
context: Do you really think Deko will be okay?\Whoever that person is, she scares me.\Why is that?\Listen.\Love?\Yeah. According to Kumin-senpai...\Don't be ridiculous.\I actually thought the same thing. response:	When I look back at it...
context: Whoever that person is, she scares me.\Why is that?\Listen.\Love?\Yeah. According to Kumin-senpai...\Don't be ridiculous.\I actually thought the same thing.\When I look back at it... response:	You really should tell her.
context: Why is that?\Listen.\Love?\Yeah. According to Kumin-senpai...\Don't be ridiculous.\I actually thought the same thing.\When I look back at it...\You really should tell her. response:	W-why? Assuming that's true,
context: Listen.\Love?\Yeah. According to Kumin-senpai...\Don't be ridiculous.\I actually thought the same thing.\When I look back at it...\You really should tell her.\W-why? Assuming that's true, response:	if that's what that idiot truly wants, then leave it that way.
context: Love?\Yeah. According to Kumin-senpai...\Don't be ridiculous.\I actually thought the same thing.\When I look back at it...\You really should tell her.\W-why? Assuming that's true,\if that's what that idiot truly wants, then leave it that way. response:	Hey, what's the point of being stubborn about it?
context: Yeah. According to Kumin-senpai...\Don't be ridiculous.\I actually thought the same thing.\When I look back at it...\You really should tell her.\W-why? Assuming that's true,\if that's what that idiot truly wants, then leave it that way.\Hey, what's the point of being stubborn about it? response:	Dekomori is only into her because she believes she's Mori Summer.
context: Don't be ridiculous.\I actually thought the same thing.\When I look back at it...\You really should tell her.\W-why? Assuming that's true,\if that's what that idiot truly wants, then leave it that way.\Hey, what's the point of being stubborn about it?\Dekomori is only into her because she believes she's Mori Summer. response:	That is exactly what ticks me off.
context: I actually thought the same thing.\When I look back at it...\You really should tell her.\W-why? Assuming that's true,\if that's what that idiot truly wants, then leave it that way.\Hey, what's the point of being stubborn about it?\Dekomori is only into her because she believes she's Mori Summer.\That is exactly what ticks me off. response:	How could she be taken in by that imposter so easily?
context: When I look back at it...\You really should tell her.\W-why? Assuming that's true,\if that's what that idiot truly wants, then leave it that way.\Hey, what's the point of being stubborn about it?\Dekomori is only into her because she believes she's Mori Summer.\That is exactly what ticks me off.\How could she be taken in by that imposter so easily? response:	But is she really?
context: You really should tell her.\W-why? Assuming that's true,\if that's what that idiot truly wants, then leave it that way.\Hey, what's the point of being stubborn about it?\Dekomori is only into her because she believes she's Mori Summer.\That is exactly what ticks me off.\How could she be taken in by that imposter so easily?\But is she really? response:	What?
context: W-why? Assuming that's true,\if that's what that idiot truly wants, then leave it that way.\Hey, what's the point of being stubborn about it?\Dekomori is only into her because she believes she's Mori Summer.\That is exactly what ticks me off.\How could she be taken in by that imposter so easily?\But is she really?\What? response:	I think Deko is only doing it because somewhere deep down...
context: if that's what that idiot truly wants, then leave it that way.\Hey, what's the point of being stubborn about it?\Dekomori is only into her because she believes she's Mori Summer.\That is exactly what ticks me off.\How could she be taken in by that imposter so easily?\But is she really?\What?\I think Deko is only doing it because somewhere deep down... response:	She's too stupid to think something that complex.
context: Hey, what's the point of being stubborn about it?\Dekomori is only into her because she believes she's Mori Summer.\That is exactly what ticks me off.\How could she be taken in by that imposter so easily?\But is she really?\What?\I think Deko is only doing it because somewhere deep down...\She's too stupid to think something that complex. response:	What is it?
context: Dekomori is only into her because she believes she's Mori Summer.\That is exactly what ticks me off.\How could she be taken in by that imposter so easily?\But is she really?\What?\I think Deko is only doing it because somewhere deep down...\She's too stupid to think something that complex.\What is it? response:	Ssh.
context: That is exactly what ticks me off.\How could she be taken in by that imposter so easily?\But is she really?\What?\I think Deko is only doing it because somewhere deep down...\She's too stupid to think something that complex.\What is it?\Ssh. response:	What is she doing?
context: How could she be taken in by that imposter so easily?\But is she really?\What?\I think Deko is only doing it because somewhere deep down...\She's too stupid to think something that complex.\What is it?\Ssh.\What is she doing? response:	I bet that's a photo of Deko!
context: But is she really?\What?\I think Deko is only doing it because somewhere deep down...\She's too stupid to think something that complex.\What is it?\Ssh.\What is she doing?\I bet that's a photo of Deko! response:	Battle?
context: What?\I think Deko is only doing it because somewhere deep down...\She's too stupid to think something that complex.\What is it?\Ssh.\What is she doing?\I bet that's a photo of Deko!\Battle? response:	Yeah. You will challenge her to battle in front of Dekomori.
context: I think Deko is only doing it because somewhere deep down...\She's too stupid to think something that complex.\What is it?\Ssh.\What is she doing?\I bet that's a photo of Deko!\Battle?\Yeah. You will challenge her to battle in front of Dekomori. response:	Defeat her, and prove that you are Mori Summer.
context: She's too stupid to think something that complex.\What is it?\Ssh.\What is she doing?\I bet that's a photo of Deko!\Battle?\Yeah. You will challenge her to battle in front of Dekomori.\Defeat her, and prove that you are Mori Summer. response:	That is the best way to do it now there's no more proof
context: What is it?\Ssh.\What is she doing?\I bet that's a photo of Deko!\Battle?\Yeah. You will challenge her to battle in front of Dekomori.\Defeat her, and prove that you are Mori Summer.\That is the best way to do it now there's no more proof response:	that you are the real Mori Summer.
context: Ssh.\What is she doing?\I bet that's a photo of Deko!\Battle?\Yeah. You will challenge her to battle in front of Dekomori.\Defeat her, and prove that you are Mori Summer.\That is the best way to do it now there's no more proof\that you are the real Mori Summer. response:	Excuse me?!
context: What is she doing?\I bet that's a photo of Deko!\Battle?\Yeah. You will challenge her to battle in front of Dekomori.\Defeat her, and prove that you are Mori Summer.\That is the best way to do it now there's no more proof\that you are the real Mori Summer.\Excuse me?! response:	You've done it before, remember?
context: I bet that's a photo of Deko!\Battle?\Yeah. You will challenge her to battle in front of Dekomori.\Defeat her, and prove that you are Mori Summer.\That is the best way to do it now there's no more proof\that you are the real Mori Summer.\Excuse me?!\You've done it before, remember? response:	You must fully become Mori Summer and fight her.
context: Battle?\Yeah. You will challenge her to battle in front of Dekomori.\Defeat her, and prove that you are Mori Summer.\That is the best way to do it now there's no more proof\that you are the real Mori Summer.\Excuse me?!\You've done it before, remember?\You must fully become Mori Summer and fight her. response:	That's how I earned Rikka's trust!
context: Yeah. You will challenge her to battle in front of Dekomori.\Defeat her, and prove that you are Mori Summer.\That is the best way to do it now there's no more proof\that you are the real Mori Summer.\Excuse me?!\You've done it before, remember?\You must fully become Mori Summer and fight her.\That's how I earned Rikka's trust! response:	Infatuated much?
context: Defeat her, and prove that you are Mori Summer.\That is the best way to do it now there's no more proof\that you are the real Mori Summer.\Excuse me?!\You've done it before, remember?\You must fully become Mori Summer and fight her.\That's how I earned Rikka's trust!\Infatuated much? response:	No!
context: That is the best way to do it now there's no more proof\that you are the real Mori Summer.\Excuse me?!\You've done it before, remember?\You must fully become Mori Summer and fight her.\That's how I earned Rikka's trust!\Infatuated much?\No! response:	Even I get embarrassed! But there's no time to think.
context: that you are the real Mori Summer.\Excuse me?!\You've done it before, remember?\You must fully become Mori Summer and fight her.\That's how I earned Rikka's trust!\Infatuated much?\No!\Even I get embarrassed! But there's no time to think. response:	He's right. You can't let her take Deko away from you.
context: Excuse me?!\You've done it before, remember?\You must fully become Mori Summer and fight her.\That's how I earned Rikka's trust!\Infatuated much?\No!\Even I get embarrassed! But there's no time to think.\He's right. You can't let her take Deko away from you. response:	W-why should I care?
context: You've done it before, remember?\You must fully become Mori Summer and fight her.\That's how I earned Rikka's trust!\Infatuated much?\No!\Even I get embarrassed! But there's no time to think.\He's right. You can't let her take Deko away from you.\W-why should I care? response:	Argh, this is too much trouble!
context: You must fully become Mori Summer and fight her.\That's how I earned Rikka's trust!\Infatuated much?\No!\Even I get embarrassed! But there's no time to think.\He's right. You can't let her take Deko away from you.\W-why should I care?\Argh, this is too much trouble! response:	Go, Rikka!
context: That's how I earned Rikka's trust!\Infatuated much?\No!\Even I get embarrassed! But there's no time to think.\He's right. You can't let her take Deko away from you.\W-why should I care?\Argh, this is too much trouble!\Go, Rikka! response:	Understood.
context: Infatuated much?\No!\Even I get embarrassed! But there's no time to think.\He's right. You can't let her take Deko away from you.\W-why should I care?\Argh, this is too much trouble!\Go, Rikka!\Understood. response:	W-what?
context: No!\Even I get embarrassed! But there's no time to think.\He's right. You can't let her take Deko away from you.\W-why should I care?\Argh, this is too much trouble!\Go, Rikka!\Understood.\W-what? response:	You need a crash course!
context: Even I get embarrassed! But there's no time to think.\He's right. You can't let her take Deko away from you.\W-why should I care?\Argh, this is too much trouble!\Go, Rikka!\Understood.\W-what?\You need a crash course! response:	I will engrave you with the power of Wicked Lord Shingan!
context: He's right. You can't let her take Deko away from you.\W-why should I care?\Argh, this is too much trouble!\Go, Rikka!\Understood.\W-what?\You need a crash course!\I will engrave you with the power of Wicked Lord Shingan! response:	Be destroyed, real. Blow up, synapses.
context: W-why should I care?\Argh, this is too much trouble!\Go, Rikka!\Understood.\W-what?\You need a crash course!\I will engrave you with the power of Wicked Lord Shingan!\Be destroyed, real. Blow up, synapses. response:	Vanishment, This World!
context: Argh, this is too much trouble!\Go, Rikka!\Understood.\W-what?\You need a crash course!\I will engrave you with the power of Wicked Lord Shingan!\Be destroyed, real. Blow up, synapses.\Vanishment, This World! response:	Huh?
context: Go, Rikka!\Understood.\W-what?\You need a crash course!\I will engrave you with the power of Wicked Lord Shingan!\Be destroyed, real. Blow up, synapses.\Vanishment, This World!\Huh? response:	What's wrong?!
context: Understood.\W-what?\You need a crash course!\I will engrave you with the power of Wicked Lord Shingan!\Be destroyed, real. Blow up, synapses.\Vanishment, This World!\Huh?\What's wrong?! response:	Vanishment, This World!
context: W-what?\You need a crash course!\I will engrave you with the power of Wicked Lord Shingan!\Be destroyed, real. Blow up, synapses.\Vanishment, This World!\Huh?\What's wrong?!\Vanishment, This World! response:	I think I'm incompatible with this shrine.
context: You need a crash course!\I will engrave you with the power of Wicked Lord Shingan!\Be destroyed, real. Blow up, synapses.\Vanishment, This World!\Huh?\What's wrong?!\Vanishment, This World!\I think I'm incompatible with this shrine. response:	Incompatible? Get real!
context: I will engrave you with the power of Wicked Lord Shingan!\Be destroyed, real. Blow up, synapses.\Vanishment, This World!\Huh?\What's wrong?!\Vanishment, This World!\I think I'm incompatible with this shrine.\Incompatible? Get real! response:	Now what do we do?
context: Be destroyed, real. Blow up, synapses.\Vanishment, This World!\Huh?\What's wrong?!\Vanishment, This World!\I think I'm incompatible with this shrine.\Incompatible? Get real!\Now what do we do? response:	Rikka can't do it, and Deko isn't around to help either.
context: Vanishment, This World!\Huh?\What's wrong?!\Vanishment, This World!\I think I'm incompatible with this shrine.\Incompatible? Get real!\Now what do we do?\Rikka can't do it, and Deko isn't around to help either. response:	Togashi?
