context: The brilliant glow of this sky, does it carry right into your heart? response:	The melody you heard in your dream, it plays like the silence
context: Her fever is a bit high, but it should fall now.\Is it a serious disease at all?\I think it's malaria.\Malaria? Only kids catch that...\Adults can catch it under extreme fatigue.\When we take in new children,\a lot of them catch it right away.\The healthier they look, the higher the fever goes. response:	She's probably been hiding it the whole time.
context: Is it a serious disease at all?\I think it's malaria.\Malaria? Only kids catch that...\Adults can catch it under extreme fatigue.\When we take in new children,\a lot of them catch it right away.\The healthier they look, the higher the fever goes.\She's probably been hiding it the whole time. response:	Then... will Kanata get better?
context: I think it's malaria.\Malaria? Only kids catch that...\Adults can catch it under extreme fatigue.\When we take in new children,\a lot of them catch it right away.\The healthier they look, the higher the fever goes.\She's probably been hiding it the whole time.\Then... will Kanata get better? response:	She won't stay like this...
context: Malaria? Only kids catch that...\Adults can catch it under extreme fatigue.\When we take in new children,\a lot of them catch it right away.\The healthier they look, the higher the fever goes.\She's probably been hiding it the whole time.\Then... will Kanata get better?\She won't stay like this... response:	I think she'll be fine.
context: Adults can catch it under extreme fatigue.\When we take in new children,\a lot of them catch it right away.\The healthier they look, the higher the fever goes.\She's probably been hiding it the whole time.\Then... will Kanata get better?\She won't stay like this...\I think she'll be fine. response:	What a relief.
context: When we take in new children,\a lot of them catch it right away.\The healthier they look, the higher the fever goes.\She's probably been hiding it the whole time.\Then... will Kanata get better?\She won't stay like this...\I think she'll be fine.\What a relief. response:	Thank you...
context: a lot of them catch it right away.\The healthier they look, the higher the fever goes.\She's probably been hiding it the whole time.\Then... will Kanata get better?\She won't stay like this...\I think she'll be fine.\What a relief.\Thank you... response:	Um...
context: The healthier they look, the higher the fever goes.\She's probably been hiding it the whole time.\Then... will Kanata get better?\She won't stay like this...\I think she'll be fine.\What a relief.\Thank you...\Um... response:	My name is Yumina.
context: She's probably been hiding it the whole time.\Then... will Kanata get better?\She won't stay like this...\I think she'll be fine.\What a relief.\Thank you...\Um...\My name is Yumina. response:	Oh.
context: Then... will Kanata get better?\She won't stay like this...\I think she'll be fine.\What a relief.\Thank you...\Um...\My name is Yumina.\Oh. response:	This is made with medicinal herbs.
context: She won't stay like this...\I think she'll be fine.\What a relief.\Thank you...\Um...\My name is Yumina.\Oh.\This is made with medicinal herbs. response:	Please have her drink some a little later.
context: I think she'll be fine.\What a relief.\Thank you...\Um...\My name is Yumina.\Oh.\This is made with medicinal herbs.\Please have her drink some a little later. response:	Um... Thank you for everything.
context: What a relief.\Thank you...\Um...\My name is Yumina.\Oh.\This is made with medicinal herbs.\Please have her drink some a little later.\Um... Thank you for everything. response:	Don't mention it at all.
context: Thank you...\Um...\My name is Yumina.\Oh.\This is made with medicinal herbs.\Please have her drink some a little later.\Um... Thank you for everything.\Don't mention it at all. response:	To serve the people of this town is our joy and our duty.
context: Um...\My name is Yumina.\Oh.\This is made with medicinal herbs.\Please have her drink some a little later.\Um... Thank you for everything.\Don't mention it at all.\To serve the people of this town is our joy and our duty. response:	Now then,
context: My name is Yumina.\Oh.\This is made with medicinal herbs.\Please have her drink some a little later.\Um... Thank you for everything.\Don't mention it at all.\To serve the people of this town is our joy and our duty.\Now then, response:	May the blessings of all be upon you.
context: Oh.\This is made with medicinal herbs.\Please have her drink some a little later.\Um... Thank you for everything.\Don't mention it at all.\To serve the people of this town is our joy and our duty.\Now then,\May the blessings of all be upon you. response:	I thank you for your cooperation.
context: This is made with medicinal herbs.\Please have her drink some a little later.\Um... Thank you for everything.\Don't mention it at all.\To serve the people of this town is our joy and our duty.\Now then,\May the blessings of all be upon you.\I thank you for your cooperation. response:	I- I'm sorry!
context: Please have her drink some a little later.\Um... Thank you for everything.\Don't mention it at all.\To serve the people of this town is our joy and our duty.\Now then,\May the blessings of all be upon you.\I thank you for your cooperation.\I- I'm sorry! response:	How are you feeling?
context: Um... Thank you for everything.\Don't mention it at all.\To serve the people of this town is our joy and our duty.\Now then,\May the blessings of all be upon you.\I thank you for your cooperation.\I- I'm sorry!\How are you feeling? response:	I'm sorry.
context: Don't mention it at all.\To serve the people of this town is our joy and our duty.\Now then,\May the blessings of all be upon you.\I thank you for your cooperation.\I- I'm sorry!\How are you feeling?\I'm sorry. response:	I'm just like miso.
context: To serve the people of this town is our joy and our duty.\Now then,\May the blessings of all be upon you.\I thank you for your cooperation.\I- I'm sorry!\How are you feeling?\I'm sorry.\I'm just like miso. response:	The soup?
context: Now then,\May the blessings of all be upon you.\I thank you for your cooperation.\I- I'm sorry!\How are you feeling?\I'm sorry.\I'm just like miso.\The soup? response:	No.
context: May the blessings of all be upon you.\I thank you for your cooperation.\I- I'm sorry!\How are you feeling?\I'm sorry.\I'm just like miso.\The soup?\No. response:	Miso dregs are...
context: I thank you for your cooperation.\I- I'm sorry!\How are you feeling?\I'm sorry.\I'm just like miso.\The soup?\No.\Miso dregs are... response:	When you make the soup, you strain the miso.
context: I- I'm sorry!\How are you feeling?\I'm sorry.\I'm just like miso.\The soup?\No.\Miso dregs are...\When you make the soup, you strain the miso. response:	The beans and things that are left - dregs.
context: How are you feeling?\I'm sorry.\I'm just like miso.\The soup?\No.\Miso dregs are...\When you make the soup, you strain the miso.\The beans and things that are left - dregs. response:	A leftover, or extra baggage. Like that.
context: I'm sorry.\I'm just like miso.\The soup?\No.\Miso dregs are...\When you make the soup, you strain the miso.\The beans and things that are left - dregs.\A leftover, or extra baggage. Like that. response:	I've been like that since I was a kid. That's why... I decided to try harder.
context: I'm just like miso.\The soup?\No.\Miso dregs are...\When you make the soup, you strain the miso.\The beans and things that are left - dregs.\A leftover, or extra baggage. Like that.\I've been like that since I was a kid. That's why... I decided to try harder. response:	So that I wouldn't make problems for everyone.
context: The soup?\No.\Miso dregs are...\When you make the soup, you strain the miso.\The beans and things that are left - dregs.\A leftover, or extra baggage. Like that.\I've been like that since I was a kid. That's why... I decided to try harder.\So that I wouldn't make problems for everyone. response:	But...
context: No.\Miso dregs are...\When you make the soup, you strain the miso.\The beans and things that are left - dregs.\A leftover, or extra baggage. Like that.\I've been like that since I was a kid. That's why... I decided to try harder.\So that I wouldn't make problems for everyone.\But... response:	You're a lot more complex than you look.
context: Miso dregs are...\When you make the soup, you strain the miso.\The beans and things that are left - dregs.\A leftover, or extra baggage. Like that.\I've been like that since I was a kid. That's why... I decided to try harder.\So that I wouldn't make problems for everyone.\But...\You're a lot more complex than you look. response:	And selfish and spoiled.
context: When you make the soup, you strain the miso.\The beans and things that are left - dregs.\A leftover, or extra baggage. Like that.\I've been like that since I was a kid. That's why... I decided to try harder.\So that I wouldn't make problems for everyone.\But...\You're a lot more complex than you look.\And selfish and spoiled. response:	Did I... say things?
context: The beans and things that are left - dregs.\A leftover, or extra baggage. Like that.\I've been like that since I was a kid. That's why... I decided to try harder.\So that I wouldn't make problems for everyone.\But...\You're a lot more complex than you look.\And selfish and spoiled.\Did I... say things? response:	A lot.
context: A leftover, or extra baggage. Like that.\I've been like that since I was a kid. That's why... I decided to try harder.\So that I wouldn't make problems for everyone.\But...\You're a lot more complex than you look.\And selfish and spoiled.\Did I... say things?\A lot. response:	Oh right, Rio.
context: I've been like that since I was a kid. That's why... I decided to try harder.\So that I wouldn't make problems for everyone.\But...\You're a lot more complex than you look.\And selfish and spoiled.\Did I... say things?\A lot.\Oh right, Rio. response:	What?
context: So that I wouldn't make problems for everyone.\But...\You're a lot more complex than you look.\And selfish and spoiled.\Did I... say things?\A lot.\Oh right, Rio.\What? response:	That piece you were just humming.
context: But...\You're a lot more complex than you look.\And selfish and spoiled.\Did I... say things?\A lot.\Oh right, Rio.\What?\That piece you were just humming. response:	What are you talking about?
context: You're a lot more complex than you look.\And selfish and spoiled.\Did I... say things?\A lot.\Oh right, Rio.\What?\That piece you were just humming.\What are you talking about? response:	It went like this.
context: And selfish and spoiled.\Did I... say things?\A lot.\Oh right, Rio.\What?\That piece you were just humming.\What are you talking about?\It went like this. response:	I'm speechless.
context: Did I... say things?\A lot.\Oh right, Rio.\What?\That piece you were just humming.\What are you talking about?\It went like this.\I'm speechless. response:	After hearing it just once.
context: A lot.\Oh right, Rio.\What?\That piece you were just humming.\What are you talking about?\It went like this.\I'm speechless.\After hearing it just once. response:	Not just once.
context: Oh right, Rio.\What?\That piece you were just humming.\What are you talking about?\It went like this.\I'm speechless.\After hearing it just once.\Not just once. response:	A long time ago, I heard it.
context: What?\That piece you were just humming.\What are you talking about?\It went like this.\I'm speechless.\After hearing it just once.\Not just once.\A long time ago, I heard it. response:	I wanted to play that piece myself.
context: That piece you were just humming.\What are you talking about?\It went like this.\I'm speechless.\After hearing it just once.\Not just once.\A long time ago, I heard it.\I wanted to play that piece myself. response:	That's why I want to...
context: What are you talking about?\It went like this.\I'm speechless.\After hearing it just once.\Not just once.\A long time ago, I heard it.\I wanted to play that piece myself.\That's why I want to... response:	A sound that seems to echo from the heavens. That piece...
context: It went like this.\I'm speechless.\After hearing it just once.\Not just once.\A long time ago, I heard it.\I wanted to play that piece myself.\That's why I want to...\A sound that seems to echo from the heavens. That piece... response:	But miso dregs
context: I'm speechless.\After hearing it just once.\Not just once.\A long time ago, I heard it.\I wanted to play that piece myself.\That's why I want to...\A sound that seems to echo from the heavens. That piece...\But miso dregs response:	are miso dregs no matter what you do.
context: After hearing it just once.\Not just once.\A long time ago, I heard it.\I wanted to play that piece myself.\That's why I want to...\A sound that seems to echo from the heavens. That piece...\But miso dregs\are miso dregs no matter what you do. response:	Kanata.
context: Not just once.\A long time ago, I heard it.\I wanted to play that piece myself.\That's why I want to...\A sound that seems to echo from the heavens. That piece...\But miso dregs\are miso dregs no matter what you do.\Kanata. response:	We can't just leave ourselves indebted to some church.
context: A long time ago, I heard it.\I wanted to play that piece myself.\That's why I want to...\A sound that seems to echo from the heavens. That piece...\But miso dregs\are miso dregs no matter what you do.\Kanata.\We can't just leave ourselves indebted to some church. response:	This Takemikadzuchi is a treasure from another era.
context: I wanted to play that piece myself.\That's why I want to...\A sound that seems to echo from the heavens. That piece...\But miso dregs\are miso dregs no matter what you do.\Kanata.\We can't just leave ourselves indebted to some church.\This Takemikadzuchi is a treasure from another era. response:	There are thousands of secrets just sleeping inside it.
context: That's why I want to...\A sound that seems to echo from the heavens. That piece...\But miso dregs\are miso dregs no matter what you do.\Kanata.\We can't just leave ourselves indebted to some church.\This Takemikadzuchi is a treasure from another era.\There are thousands of secrets just sleeping inside it. response:	Secrets?
context: A sound that seems to echo from the heavens. That piece...\But miso dregs\are miso dregs no matter what you do.\Kanata.\We can't just leave ourselves indebted to some church.\This Takemikadzuchi is a treasure from another era.\There are thousands of secrets just sleeping inside it.\Secrets? response:	Right. If you want to know more, ask Noel later.
context: But miso dregs\are miso dregs no matter what you do.\Kanata.\We can't just leave ourselves indebted to some church.\This Takemikadzuchi is a treasure from another era.\There are thousands of secrets just sleeping inside it.\Secrets?\Right. If you want to know more, ask Noel later. response:	This should be it.
context: are miso dregs no matter what you do.\Kanata.\We can't just leave ourselves indebted to some church.\This Takemikadzuchi is a treasure from another era.\There are thousands of secrets just sleeping inside it.\Secrets?\Right. If you want to know more, ask Noel later.\This should be it. response:	I'm starting it now!
context: Kanata.\We can't just leave ourselves indebted to some church.\This Takemikadzuchi is a treasure from another era.\There are thousands of secrets just sleeping inside it.\Secrets?\Right. If you want to know more, ask Noel later.\This should be it.\I'm starting it now! response:	This piece!
context: We can't just leave ourselves indebted to some church.\This Takemikadzuchi is a treasure from another era.\There are thousands of secrets just sleeping inside it.\Secrets?\Right. If you want to know more, ask Noel later.\This should be it.\I'm starting it now!\This piece! response:	This is probably what the whole piece really sounds like.
context: This Takemikadzuchi is a treasure from another era.\There are thousands of secrets just sleeping inside it.\Secrets?\Right. If you want to know more, ask Noel later.\This should be it.\I'm starting it now!\This piece!\This is probably what the whole piece really sounds like. response:	All sorts of instruments, different parts ringing together.
context: There are thousands of secrets just sleeping inside it.\Secrets?\Right. If you want to know more, ask Noel later.\This should be it.\I'm starting it now!\This piece!\This is probably what the whole piece really sounds like.\All sorts of instruments, different parts ringing together. response:	They become a single music.
context: Secrets?\Right. If you want to know more, ask Noel later.\This should be it.\I'm starting it now!\This piece!\This is probably what the whole piece really sounds like.\All sorts of instruments, different parts ringing together.\They become a single music. response:	Just like riding a tank.
context: Right. If you want to know more, ask Noel later.\This should be it.\I'm starting it now!\This piece!\This is probably what the whole piece really sounds like.\All sorts of instruments, different parts ringing together.\They become a single music.\Just like riding a tank. response:	A commander, a gunner, a driver,
context: This should be it.\I'm starting it now!\This piece!\This is probably what the whole piece really sounds like.\All sorts of instruments, different parts ringing together.\They become a single music.\Just like riding a tank.\A commander, a gunner, a driver, response:	and communications personnel.
context: I'm starting it now!\This piece!\This is probably what the whole piece really sounds like.\All sorts of instruments, different parts ringing together.\They become a single music.\Just like riding a tank.\A commander, a gunner, a driver,\and communications personnel. response:	Everyone works together to work a single tank.
context: This piece!\This is probably what the whole piece really sounds like.\All sorts of instruments, different parts ringing together.\They become a single music.\Just like riding a tank.\A commander, a gunner, a driver,\and communications personnel.\Everyone works together to work a single tank. response:	No one is unneeded.
context: This is probably what the whole piece really sounds like.\All sorts of instruments, different parts ringing together.\They become a single music.\Just like riding a tank.\A commander, a gunner, a driver,\and communications personnel.\Everyone works together to work a single tank.\No one is unneeded. response:	Not a single note is unneeded.
context: All sorts of instruments, different parts ringing together.\They become a single music.\Just like riding a tank.\A commander, a gunner, a driver,\and communications personnel.\Everyone works together to work a single tank.\No one is unneeded.\Not a single note is unneeded. response:	Don't look at me like that. Someone said it to me.
context: They become a single music.\Just like riding a tank.\A commander, a gunner, a driver,\and communications personnel.\Everyone works together to work a single tank.\No one is unneeded.\Not a single note is unneeded.\Don't look at me like that. Someone said it to me. response:	The person I look up to,
context: Just like riding a tank.\A commander, a gunner, a driver,\and communications personnel.\Everyone works together to work a single tank.\No one is unneeded.\Not a single note is unneeded.\Don't look at me like that. Someone said it to me.\The person I look up to, response:	and honor most.
context: A commander, a gunner, a driver,\and communications personnel.\Everyone works together to work a single tank.\No one is unneeded.\Not a single note is unneeded.\Don't look at me like that. Someone said it to me.\The person I look up to,\and honor most. response:	As she told me,
context: and communications personnel.\Everyone works together to work a single tank.\No one is unneeded.\Not a single note is unneeded.\Don't look at me like that. Someone said it to me.\The person I look up to,\and honor most.\As she told me, response:	Kanata.
context: Everyone works together to work a single tank.\No one is unneeded.\Not a single note is unneeded.\Don't look at me like that. Someone said it to me.\The person I look up to,\and honor most.\As she told me,\Kanata. response:	Why do you think seniority and superiors exist?
context: No one is unneeded.\Not a single note is unneeded.\Don't look at me like that. Someone said it to me.\The person I look up to,\and honor most.\As she told me,\Kanata.\Why do you think seniority and superiors exist? response:	So that those in lower ranks can make problems for them.
context: Not a single note is unneeded.\Don't look at me like that. Someone said it to me.\The person I look up to,\and honor most.\As she told me,\Kanata.\Why do you think seniority and superiors exist?\So that those in lower ranks can make problems for them. response:	You don't need to be able right now.
context: Don't look at me like that. Someone said it to me.\The person I look up to,\and honor most.\As she told me,\Kanata.\Why do you think seniority and superiors exist?\So that those in lower ranks can make problems for them.\You don't need to be able right now. response:	But just remember your frustration and powerlessness,
context: The person I look up to,\and honor most.\As she told me,\Kanata.\Why do you think seniority and superiors exist?\So that those in lower ranks can make problems for them.\You don't need to be able right now.\But just remember your frustration and powerlessness, response:	and the happiness of having someone to care for you.
context: and honor most.\As she told me,\Kanata.\Why do you think seniority and superiors exist?\So that those in lower ranks can make problems for them.\You don't need to be able right now.\But just remember your frustration and powerlessness,\and the happiness of having someone to care for you. response:	Someday, when you have to take care of someone, that will be
context: As she told me,\Kanata.\Why do you think seniority and superiors exist?\So that those in lower ranks can make problems for them.\You don't need to be able right now.\But just remember your frustration and powerlessness,\and the happiness of having someone to care for you.\Someday, when you have to take care of someone, that will be response:	your experience.
context: Kanata.\Why do you think seniority and superiors exist?\So that those in lower ranks can make problems for them.\You don't need to be able right now.\But just remember your frustration and powerlessness,\and the happiness of having someone to care for you.\Someday, when you have to take care of someone, that will be\your experience. response:	So make as many problems for me as you'd like.
context: Why do you think seniority and superiors exist?\So that those in lower ranks can make problems for them.\You don't need to be able right now.\But just remember your frustration and powerlessness,\and the happiness of having someone to care for you.\Someday, when you have to take care of someone, that will be\your experience.\So make as many problems for me as you'd like. response:	I made the same ones.
context: So that those in lower ranks can make problems for them.\You don't need to be able right now.\But just remember your frustration and powerlessness,\and the happiness of having someone to care for you.\Someday, when you have to take care of someone, that will be\your experience.\So make as many problems for me as you'd like.\I made the same ones. response:	Of course, when you do something wrong, you'll be scolded and punished.
context: You don't need to be able right now.\But just remember your frustration and powerlessness,\and the happiness of having someone to care for you.\Someday, when you have to take care of someone, that will be\your experience.\So make as many problems for me as you'd like.\I made the same ones.\Of course, when you do something wrong, you'll be scolded and punished. response:	But when you're suffering, if your heart might break, tell me.
context: But just remember your frustration and powerlessness,\and the happiness of having someone to care for you.\Someday, when you have to take care of someone, that will be\your experience.\So make as many problems for me as you'd like.\I made the same ones.\Of course, when you do something wrong, you'll be scolded and punished.\But when you're suffering, if your heart might break, tell me. response:	Understand?
context: and the happiness of having someone to care for you.\Someday, when you have to take care of someone, that will be\your experience.\So make as many problems for me as you'd like.\I made the same ones.\Of course, when you do something wrong, you'll be scolded and punished.\But when you're suffering, if your heart might break, tell me.\Understand? response:	Understood, sir!
context: Someday, when you have to take care of someone, that will be\your experience.\So make as many problems for me as you'd like.\I made the same ones.\Of course, when you do something wrong, you'll be scolded and punished.\But when you're suffering, if your heart might break, tell me.\Understand?\Understood, sir! response:	From now on, I will make as many problems for you as I can!
context: your experience.\So make as many problems for me as you'd like.\I made the same ones.\Of course, when you do something wrong, you'll be scolded and punished.\But when you're suffering, if your heart might break, tell me.\Understand?\Understood, sir!\From now on, I will make as many problems for you as I can! response:	I didn't...
context: So make as many problems for me as you'd like.\I made the same ones.\Of course, when you do something wrong, you'll be scolded and punished.\But when you're suffering, if your heart might break, tell me.\Understand?\Understood, sir!\From now on, I will make as many problems for you as I can!\I didn't... response:	Try to go easy on me.
context: I made the same ones.\Of course, when you do something wrong, you'll be scolded and punished.\But when you're suffering, if your heart might break, tell me.\Understand?\Understood, sir!\From now on, I will make as many problems for you as I can!\I didn't...\Try to go easy on me. response:	Oh, come on. I should have stayed here!
context: Of course, when you do something wrong, you'll be scolded and punished.\But when you're suffering, if your heart might break, tell me.\Understand?\Understood, sir!\From now on, I will make as many problems for you as I can!\I didn't...\Try to go easy on me.\Oh, come on. I should have stayed here! response:	That Kanata, getting Rio to nurse her back to health...
context: But when you're suffering, if your heart might break, tell me.\Understand?\Understood, sir!\From now on, I will make as many problems for you as I can!\I didn't...\Try to go easy on me.\Oh, come on. I should have stayed here!\That Kanata, getting Rio to nurse her back to health... response:	Come on, it wasn't a big deal.
context: Understand?\Understood, sir!\From now on, I will make as many problems for you as I can!\I didn't...\Try to go easy on me.\Oh, come on. I should have stayed here!\That Kanata, getting Rio to nurse her back to health...\Come on, it wasn't a big deal. response:	And it looks like it's just fatigue. She'll be fine if she sleeps.
context: Understood, sir!\From now on, I will make as many problems for you as I can!\I didn't...\Try to go easy on me.\Oh, come on. I should have stayed here!\That Kanata, getting Rio to nurse her back to health...\Come on, it wasn't a big deal.\And it looks like it's just fatigue. She'll be fine if she sleeps. response:	The Takemikadzuchi's lights.
context: From now on, I will make as many problems for you as I can!\I didn't...\Try to go easy on me.\Oh, come on. I should have stayed here!\That Kanata, getting Rio to nurse her back to health...\Come on, it wasn't a big deal.\And it looks like it's just fatigue. She'll be fine if she sleeps.\The Takemikadzuchi's lights. response:	Sorry. I used it for a bit.
context: I didn't...\Try to go easy on me.\Oh, come on. I should have stayed here!\That Kanata, getting Rio to nurse her back to health...\Come on, it wasn't a big deal.\And it looks like it's just fatigue. She'll be fine if she sleeps.\The Takemikadzuchi's lights.\Sorry. I used it for a bit. response:	You listened to that piece, didn't you?
context: Try to go easy on me.\Oh, come on. I should have stayed here!\That Kanata, getting Rio to nurse her back to health...\Come on, it wasn't a big deal.\And it looks like it's just fatigue. She'll be fine if she sleeps.\The Takemikadzuchi's lights.\Sorry. I used it for a bit.\You listened to that piece, didn't you? response:	Yeah.
context: Oh, come on. I should have stayed here!\That Kanata, getting Rio to nurse her back to health...\Come on, it wasn't a big deal.\And it looks like it's just fatigue. She'll be fine if she sleeps.\The Takemikadzuchi's lights.\Sorry. I used it for a bit.\You listened to that piece, didn't you?\Yeah. response:	And you said you wouldn't listen to it ever again.
context: That Kanata, getting Rio to nurse her back to health...\Come on, it wasn't a big deal.\And it looks like it's just fatigue. She'll be fine if she sleeps.\The Takemikadzuchi's lights.\Sorry. I used it for a bit.\You listened to that piece, didn't you?\Yeah.\And you said you wouldn't listen to it ever again. response:	I had to hear it just once.
context: Come on, it wasn't a big deal.\And it looks like it's just fatigue. She'll be fine if she sleeps.\The Takemikadzuchi's lights.\Sorry. I used it for a bit.\You listened to that piece, didn't you?\Yeah.\And you said you wouldn't listen to it ever again.\I had to hear it just once. response:	Why?
context: And it looks like it's just fatigue. She'll be fine if she sleeps.\The Takemikadzuchi's lights.\Sorry. I used it for a bit.\You listened to that piece, didn't you?\Yeah.\And you said you wouldn't listen to it ever again.\I had to hear it just once.\Why? response:	That's a secret.
context: The Takemikadzuchi's lights.\Sorry. I used it for a bit.\You listened to that piece, didn't you?\Yeah.\And you said you wouldn't listen to it ever again.\I had to hear it just once.\Why?\That's a secret. response:	Love and friendship - put these feelings together
context: Sorry. I used it for a bit.\You listened to that piece, didn't you?\Yeah.\And you said you wouldn't listen to it ever again.\I had to hear it just once.\Why?\That's a secret.\Love and friendship - put these feelings together response:	And sing of how important they are
context: You listened to that piece, didn't you?\Yeah.\And you said you wouldn't listen to it ever again.\I had to hear it just once.\Why?\That's a secret.\Love and friendship - put these feelings together\And sing of how important they are response:	I was so happy that I cried
context: Yeah.\And you said you wouldn't listen to it ever again.\I had to hear it just once.\Why?\That's a secret.\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried response:	It hurt so bad that I laughed
context: And you said you wouldn't listen to it ever again.\I had to hear it just once.\Why?\That's a secret.\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed response:	But that all just goes to show that I'm alive
context: I had to hear it just once.\Why?\That's a secret.\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive response:	Let's just take it easy
context: Why?\That's a secret.\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just take it easy response:	Everybody singing!
context: That's a secret.\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just take it easy\Everybody singing! response:	Can you tell me who you're asking to the dance?
context: Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just take it easy\Everybody singing!\Can you tell me who you're asking to the dance? response:	You're just my friend!
context: And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just take it easy\Everybody singing!\Can you tell me who you're asking to the dance?\You're just my friend! response:	Love and friendship - even though they might waver
context: I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just take it easy\Everybody singing!\Can you tell me who you're asking to the dance?\You're just my friend!\Love and friendship - even though they might waver response:	I know, you know, we'll be happy
context: It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just take it easy\Everybody singing!\Can you tell me who you're asking to the dance?\You're just my friend!\Love and friendship - even though they might waver\I know, you know, we'll be happy response:	I want us to echo on forever
context: But that all just goes to show that I'm alive\Let's just take it easy\Everybody singing!\Can you tell me who you're asking to the dance?\You're just my friend!\Love and friendship - even though they might waver\I know, you know, we'll be happy\I want us to echo on forever response:	Can you count my precious hours?
context: Let's just take it easy\Everybody singing!\Can you tell me who you're asking to the dance?\You're just my friend!\Love and friendship - even though they might waver\I know, you know, we'll be happy\I want us to echo on forever\Can you count my precious hours? response:	All the usual words can't even describe it.
context: Everybody singing!\Can you tell me who you're asking to the dance?\You're just my friend!\Love and friendship - even though they might waver\I know, you know, we'll be happy\I want us to echo on forever\Can you count my precious hours?\All the usual words can't even describe it. response:	Our harmony
context: Can you tell me who you're asking to the dance?\You're just my friend!\Love and friendship - even though they might waver\I know, you know, we'll be happy\I want us to echo on forever\Can you count my precious hours?\All the usual words can't even describe it.\Our harmony response:	Can you hear it? Our harmony
context: You're just my friend!\Love and friendship - even though they might waver\I know, you know, we'll be happy\I want us to echo on forever\Can you count my precious hours?\All the usual words can't even describe it.\Our harmony\Can you hear it? Our harmony response:	Next time: The Rainy Sky - A Glass Rainbow
