context: Huh? response:	Mizusawa High School Athletic Festival
context: Huh?\I noticed something\after watching all those matches at nationals.\When girls and thinner boys play Karuta,\they tend to sit back,\so you end up only using your upper body.\It's probably because your muscles aren't\strong enough to support your weight. response:	I've been training at home,
context: I noticed something\after watching all those matches at nationals.\When girls and thinner boys play Karuta,\they tend to sit back,\so you end up only using your upper body.\It's probably because your muscles aren't\strong enough to support your weight.\I've been training at home, response:	but it hasn't really helped.
context: after watching all those matches at nationals.\When girls and thinner boys play Karuta,\they tend to sit back,\so you end up only using your upper body.\It's probably because your muscles aren't\strong enough to support your weight.\I've been training at home,\but it hasn't really helped. response:	Don't worry!
context: When girls and thinner boys play Karuta,\they tend to sit back,\so you end up only using your upper body.\It's probably because your muscles aren't\strong enough to support your weight.\I've been training at home,\but it hasn't really helped.\Don't worry! response:	You just have to keep working at it!
context: they tend to sit back,\so you end up only using your upper body.\It's probably because your muscles aren't\strong enough to support your weight.\I've been training at home,\but it hasn't really helped.\Don't worry!\You just have to keep working at it! response:	I need to go to the restroom.
context: so you end up only using your upper body.\It's probably because your muscles aren't\strong enough to support your weight.\I've been training at home,\but it hasn't really helped.\Don't worry!\You just have to keep working at it!\I need to go to the restroom. response:	What is it, Desktomu-kun?
context: It's probably because your muscles aren't\strong enough to support your weight.\I've been training at home,\but it hasn't really helped.\Don't worry!\You just have to keep working at it!\I need to go to the restroom.\What is it, Desktomu-kun? response:	Oh, you're working hard on your swing.
context: strong enough to support your weight.\I've been training at home,\but it hasn't really helped.\Don't worry!\You just have to keep working at it!\I need to go to the restroom.\What is it, Desktomu-kun?\Oh, you're working hard on your swing. response:	I've been thinking.
context: I've been training at home,\but it hasn't really helped.\Don't worry!\You just have to keep working at it!\I need to go to the restroom.\What is it, Desktomu-kun?\Oh, you're working hard on your swing.\I've been thinking. response:	I can't beat Chihaya-chan and the other
context: but it hasn't really helped.\Don't worry!\You just have to keep working at it!\I need to go to the restroom.\What is it, Desktomu-kun?\Oh, you're working hard on your swing.\I've been thinking.\I can't beat Chihaya-chan and the other response:	members at cards that are farther away,
context: Don't worry!\You just have to keep working at it!\I need to go to the restroom.\What is it, Desktomu-kun?\Oh, you're working hard on your swing.\I've been thinking.\I can't beat Chihaya-chan and the other\members at cards that are farther away, response:	but I can win the cards that are closer by bringing them in.
context: You just have to keep working at it!\I need to go to the restroom.\What is it, Desktomu-kun?\Oh, you're working hard on your swing.\I've been thinking.\I can't beat Chihaya-chan and the other\members at cards that are farther away,\but I can win the cards that are closer by bringing them in. response:	If I can move in a straight line
context: I need to go to the restroom.\What is it, Desktomu-kun?\Oh, you're working hard on your swing.\I've been thinking.\I can't beat Chihaya-chan and the other\members at cards that are farther away,\but I can win the cards that are closer by bringing them in.\If I can move in a straight line response:	to the cards that are farther away,
context: What is it, Desktomu-kun?\Oh, you're working hard on your swing.\I've been thinking.\I can't beat Chihaya-chan and the other\members at cards that are farther away,\but I can win the cards that are closer by bringing them in.\If I can move in a straight line\to the cards that are farther away, response:	I'll be in a position to take advantage
context: Oh, you're working hard on your swing.\I've been thinking.\I can't beat Chihaya-chan and the other\members at cards that are farther away,\but I can win the cards that are closer by bringing them in.\If I can move in a straight line\to the cards that are farther away,\I'll be in a position to take advantage response:	of my opponent's mistakes.
context: I've been thinking.\I can't beat Chihaya-chan and the other\members at cards that are farther away,\but I can win the cards that are closer by bringing them in.\If I can move in a straight line\to the cards that are farther away,\I'll be in a position to take advantage\of my opponent's mistakes. response:	It won't matter if I'm not athletic enough.
context: I can't beat Chihaya-chan and the other\members at cards that are farther away,\but I can win the cards that are closer by bringing them in.\If I can move in a straight line\to the cards that are farther away,\I'll be in a position to take advantage\of my opponent's mistakes.\It won't matter if I'm not athletic enough. response:	After the athletic festival,
context: members at cards that are farther away,\but I can win the cards that are closer by bringing them in.\If I can move in a straight line\to the cards that are farther away,\I'll be in a position to take advantage\of my opponent's mistakes.\It won't matter if I'm not athletic enough.\After the athletic festival, response:	everyone was saying that Karuta was a sport,
context: but I can win the cards that are closer by bringing them in.\If I can move in a straight line\to the cards that are farther away,\I'll be in a position to take advantage\of my opponent's mistakes.\It won't matter if I'm not athletic enough.\After the athletic festival,\everyone was saying that Karuta was a sport, response:	but I consider Karuta an art.
context: If I can move in a straight line\to the cards that are farther away,\I'll be in a position to take advantage\of my opponent's mistakes.\It won't matter if I'm not athletic enough.\After the athletic festival,\everyone was saying that Karuta was a sport,\but I consider Karuta an art. response:	Because men and women can compete against
context: to the cards that are farther away,\I'll be in a position to take advantage\of my opponent's mistakes.\It won't matter if I'm not athletic enough.\After the athletic festival,\everyone was saying that Karuta was a sport,\but I consider Karuta an art.\Because men and women can compete against response:	each other in Karuta.
context: I'll be in a position to take advantage\of my opponent's mistakes.\It won't matter if I'm not athletic enough.\After the athletic festival,\everyone was saying that Karuta was a sport,\but I consider Karuta an art.\Because men and women can compete against\each other in Karuta. response:	I won't let you beat me, Desktomu-kun.
context: of my opponent's mistakes.\It won't matter if I'm not athletic enough.\After the athletic festival,\everyone was saying that Karuta was a sport,\but I consider Karuta an art.\Because men and women can compete against\each other in Karuta.\I won't let you beat me, Desktomu-kun. response:	This isn't happening!
context: It won't matter if I'm not athletic enough.\After the athletic festival,\everyone was saying that Karuta was a sport,\but I consider Karuta an art.\Because men and women can compete against\each other in Karuta.\I won't let you beat me, Desktomu-kun.\This isn't happening! response:	I don't get Karuta at all!
context: After the athletic festival,\everyone was saying that Karuta was a sport,\but I consider Karuta an art.\Because men and women can compete against\each other in Karuta.\I won't let you beat me, Desktomu-kun.\This isn't happening!\I don't get Karuta at all! response:	I'm glad I chose to give Karuta a chance.
context: everyone was saying that Karuta was a sport,\but I consider Karuta an art.\Because men and women can compete against\each other in Karuta.\I won't let you beat me, Desktomu-kun.\This isn't happening!\I don't get Karuta at all!\I'm glad I chose to give Karuta a chance. response:	I can change.
context: but I consider Karuta an art.\Because men and women can compete against\each other in Karuta.\I won't let you beat me, Desktomu-kun.\This isn't happening!\I don't get Karuta at all!\I'm glad I chose to give Karuta a chance.\I can change. response:	I know it.
context: Because men and women can compete against\each other in Karuta.\I won't let you beat me, Desktomu-kun.\This isn't happening!\I don't get Karuta at all!\I'm glad I chose to give Karuta a chance.\I can change.\I know it. response:	And not just physically or mentally...
context: each other in Karuta.\I won't let you beat me, Desktomu-kun.\This isn't happening!\I don't get Karuta at all!\I'm glad I chose to give Karuta a chance.\I can change.\I know it.\And not just physically or mentally... response:	Hey, is there a point to this exercise?
context: I won't let you beat me, Desktomu-kun.\This isn't happening!\I don't get Karuta at all!\I'm glad I chose to give Karuta a chance.\I can change.\I know it.\And not just physically or mentally...\Hey, is there a point to this exercise? response:	I'm not sure, but don't stop!
context: This isn't happening!\I don't get Karuta at all!\I'm glad I chose to give Karuta a chance.\I can change.\I know it.\And not just physically or mentally...\Hey, is there a point to this exercise?\I'm not sure, but don't stop! response:	I need to hone my reflexes if I'm going
context: I don't get Karuta at all!\I'm glad I chose to give Karuta a chance.\I can change.\I know it.\And not just physically or mentally...\Hey, is there a point to this exercise?\I'm not sure, but don't stop!\I need to hone my reflexes if I'm going response:	to put up a fight against the Queen, I think...
context: I'm glad I chose to give Karuta a chance.\I can change.\I know it.\And not just physically or mentally...\Hey, is there a point to this exercise?\I'm not sure, but don't stop!\I need to hone my reflexes if I'm going\to put up a fight against the Queen, I think... response:	Too slow!
context: I can change.\I know it.\And not just physically or mentally...\Hey, is there a point to this exercise?\I'm not sure, but don't stop!\I need to hone my reflexes if I'm going\to put up a fight against the Queen, I think...\Too slow! response:	Straight to the card...
context: I know it.\And not just physically or mentally...\Hey, is there a point to this exercise?\I'm not sure, but don't stop!\I need to hone my reflexes if I'm going\to put up a fight against the Queen, I think...\Too slow!\Straight to the card... response:	How can I learn to do what Shinobu-chan does?
context: And not just physically or mentally...\Hey, is there a point to this exercise?\I'm not sure, but don't stop!\I need to hone my reflexes if I'm going\to put up a fight against the Queen, I think...\Too slow!\Straight to the card...\How can I learn to do what Shinobu-chan does? response:	Hey, I'm going to the tournament
context: Hey, is there a point to this exercise?\I'm not sure, but don't stop!\I need to hone my reflexes if I'm going\to put up a fight against the Queen, I think...\Too slow!\Straight to the card...\How can I learn to do what Shinobu-chan does?\Hey, I'm going to the tournament response:	in Kanazawa this weekend.
context: I'm not sure, but don't stop!\I need to hone my reflexes if I'm going\to put up a fight against the Queen, I think...\Too slow!\Straight to the card...\How can I learn to do what Shinobu-chan does?\Hey, I'm going to the tournament\in Kanazawa this weekend. response:	Wanna come along?
context: I need to hone my reflexes if I'm going\to put up a fight against the Queen, I think...\Too slow!\Straight to the card...\How can I learn to do what Shinobu-chan does?\Hey, I'm going to the tournament\in Kanazawa this weekend.\Wanna come along? response:	Huh? Kanazawa?
context: to put up a fight against the Queen, I think...\Too slow!\Straight to the card...\How can I learn to do what Shinobu-chan does?\Hey, I'm going to the tournament\in Kanazawa this weekend.\Wanna come along?\Huh? Kanazawa? response:	Wasn't it in Saitama?
context: Too slow!\Straight to the card...\How can I learn to do what Shinobu-chan does?\Hey, I'm going to the tournament\in Kanazawa this weekend.\Wanna come along?\Huh? Kanazawa?\Wasn't it in Saitama? response:	The Saitama tournament is next weekend.
context: Straight to the card...\How can I learn to do what Shinobu-chan does?\Hey, I'm going to the tournament\in Kanazawa this weekend.\Wanna come along?\Huh? Kanazawa?\Wasn't it in Saitama?\The Saitama tournament is next weekend. response:	There's another tournament
context: How can I learn to do what Shinobu-chan does?\Hey, I'm going to the tournament\in Kanazawa this weekend.\Wanna come along?\Huh? Kanazawa?\Wasn't it in Saitama?\The Saitama tournament is next weekend.\There's another tournament response:	before that one in Kanazawa, for Class A and B players.
context: Hey, I'm going to the tournament\in Kanazawa this weekend.\Wanna come along?\Huh? Kanazawa?\Wasn't it in Saitama?\The Saitama tournament is next weekend.\There's another tournament\before that one in Kanazawa, for Class A and B players. response:	I'm coming! I'm coming!
context: in Kanazawa this weekend.\Wanna come along?\Huh? Kanazawa?\Wasn't it in Saitama?\The Saitama tournament is next weekend.\There's another tournament\before that one in Kanazawa, for Class A and B players.\I'm coming! I'm coming! response:	Is Kanazawa really far away?
context: Wanna come along?\Huh? Kanazawa?\Wasn't it in Saitama?\The Saitama tournament is next weekend.\There's another tournament\before that one in Kanazawa, for Class A and B players.\I'm coming! I'm coming!\Is Kanazawa really far away? response:	How much will it cost?
context: Huh? Kanazawa?\Wasn't it in Saitama?\The Saitama tournament is next weekend.\There's another tournament\before that one in Kanazawa, for Class A and B players.\I'm coming! I'm coming!\Is Kanazawa really far away?\How much will it cost? response:	It's 8,000 yen if you take a one-way, overnight bus.
context: Wasn't it in Saitama?\The Saitama tournament is next weekend.\There's another tournament\before that one in Kanazawa, for Class A and B players.\I'm coming! I'm coming!\Is Kanazawa really far away?\How much will it cost?\It's 8,000 yen if you take a one-way, overnight bus. response:	Add in the participation fee, and it's around 20,000.
context: The Saitama tournament is next weekend.\There's another tournament\before that one in Kanazawa, for Class A and B players.\I'm coming! I'm coming!\Is Kanazawa really far away?\How much will it cost?\It's 8,000 yen if you take a one-way, overnight bus.\Add in the participation fee, and it's around 20,000. response:	Well, I doubt anyone else can afford it.
context: There's another tournament\before that one in Kanazawa, for Class A and B players.\I'm coming! I'm coming!\Is Kanazawa really far away?\How much will it cost?\It's 8,000 yen if you take a one-way, overnight bus.\Add in the participation fee, and it's around 20,000.\Well, I doubt anyone else can afford it. response:	I'll go by myself.
context: before that one in Kanazawa, for Class A and B players.\I'm coming! I'm coming!\Is Kanazawa really far away?\How much will it cost?\It's 8,000 yen if you take a one-way, overnight bus.\Add in the participation fee, and it's around 20,000.\Well, I doubt anyone else can afford it.\I'll go by myself. response:	No fair!
context: I'm coming! I'm coming!\Is Kanazawa really far away?\How much will it cost?\It's 8,000 yen if you take a one-way, overnight bus.\Add in the participation fee, and it's around 20,000.\Well, I doubt anyone else can afford it.\I'll go by myself.\No fair! response:	That's no fair, Taichi!
context: Is Kanazawa really far away?\How much will it cost?\It's 8,000 yen if you take a one-way, overnight bus.\Add in the participation fee, and it's around 20,000.\Well, I doubt anyone else can afford it.\I'll go by myself.\No fair!\That's no fair, Taichi! response:	I'll buy you a souvenir.
context: How much will it cost?\It's 8,000 yen if you take a one-way, overnight bus.\Add in the participation fee, and it's around 20,000.\Well, I doubt anyone else can afford it.\I'll go by myself.\No fair!\That's no fair, Taichi!\I'll buy you a souvenir. response:	Lucky you. Kanazawa, huh?
context: It's 8,000 yen if you take a one-way, overnight bus.\Add in the participation fee, and it's around 20,000.\Well, I doubt anyone else can afford it.\I'll go by myself.\No fair!\That's no fair, Taichi!\I'll buy you a souvenir.\Lucky you. Kanazawa, huh? response:	That's near Fukui...
context: Add in the participation fee, and it's around 20,000.\Well, I doubt anyone else can afford it.\I'll go by myself.\No fair!\That's no fair, Taichi!\I'll buy you a souvenir.\Lucky you. Kanazawa, huh?\That's near Fukui... response:	Mommy!
context: Well, I doubt anyone else can afford it.\I'll go by myself.\No fair!\That's no fair, Taichi!\I'll buy you a souvenir.\Lucky you. Kanazawa, huh?\That's near Fukui...\Mommy! response:	Don't look.
context: I'll go by myself.\No fair!\That's no fair, Taichi!\I'll buy you a souvenir.\Lucky you. Kanazawa, huh?\That's near Fukui...\Mommy!\Don't look. response:	Impressive.
context: No fair!\That's no fair, Taichi!\I'll buy you a souvenir.\Lucky you. Kanazawa, huh?\That's near Fukui...\Mommy!\Don't look.\Impressive. response:	I hate myself for being so sneaky.
context: That's no fair, Taichi!\I'll buy you a souvenir.\Lucky you. Kanazawa, huh?\That's near Fukui...\Mommy!\Don't look.\Impressive.\I hate myself for being so sneaky. response:	MISSING!
context: I'll buy you a souvenir.\Lucky you. Kanazawa, huh?\That's near Fukui...\Mommy!\Don't look.\Impressive.\I hate myself for being so sneaky.\MISSING! response:	For trying to become better at Karuta before everyone else.
context: Lucky you. Kanazawa, huh?\That's near Fukui...\Mommy!\Don't look.\Impressive.\I hate myself for being so sneaky.\MISSING!\For trying to become better at Karuta before everyone else. response:	For trying to go on a trip with Chihaya.
context: That's near Fukui...\Mommy!\Don't look.\Impressive.\I hate myself for being so sneaky.\MISSING!\For trying to become better at Karuta before everyone else.\For trying to go on a trip with Chihaya. response:	Chihaya.
context: Mommy!\Don't look.\Impressive.\I hate myself for being so sneaky.\MISSING!\For trying to become better at Karuta before everyone else.\For trying to go on a trip with Chihaya.\Chihaya. response:	What?
context: Don't look.\Impressive.\I hate myself for being so sneaky.\MISSING!\For trying to become better at Karuta before everyone else.\For trying to go on a trip with Chihaya.\Chihaya.\What? response:	I'm...
context: Impressive.\I hate myself for being so sneaky.\MISSING!\For trying to become better at Karuta before everyone else.\For trying to go on a trip with Chihaya.\Chihaya.\What?\I'm... response:	I'm going to make Class A.
context: I hate myself for being so sneaky.\MISSING!\For trying to become better at Karuta before everyone else.\For trying to go on a trip with Chihaya.\Chihaya.\What?\I'm...\I'm going to make Class A. response:	Good luck.
context: MISSING!\For trying to become better at Karuta before everyone else.\For trying to go on a trip with Chihaya.\Chihaya.\What?\I'm...\I'm going to make Class A.\Good luck. response:	Good luck.
context: For trying to become better at Karuta before everyone else.\For trying to go on a trip with Chihaya.\Chihaya.\What?\I'm...\I'm going to make Class A.\Good luck.\Good luck. response:	Hmm?
context: For trying to go on a trip with Chihaya.\Chihaya.\What?\I'm...\I'm going to make Class A.\Good luck.\Good luck.\Hmm? response:	Huh?
context: Chihaya.\What?\I'm...\I'm going to make Class A.\Good luck.\Good luck.\Hmm?\Huh? response:	What?!
context: What?\I'm...\I'm going to make Class A.\Good luck.\Good luck.\Hmm?\Huh?\What?! response:	What are you doing, Nishida?!
context: I'm...\I'm going to make Class A.\Good luck.\Good luck.\Hmm?\Huh?\What?!\What are you doing, Nishida?! response:	What about you?!
context: I'm going to make Class A.\Good luck.\Good luck.\Hmm?\Huh?\What?!\What are you doing, Nishida?!\What about you?! response:	You never said anything about this!
context: Good luck.\Good luck.\Hmm?\Huh?\What?!\What are you doing, Nishida?!\What about you?!\You never said anything about this! response:	Over there! Keep it down!
context: Good luck.\Hmm?\Huh?\What?!\What are you doing, Nishida?!\What about you?!\You never said anything about this!\Over there! Keep it down! response:	There was someone else just as sneaky!
context: Hmm?\Huh?\What?!\What are you doing, Nishida?!\What about you?!\You never said anything about this!\Over there! Keep it down!\There was someone else just as sneaky! response:	Why are you here?
context: Huh?\What?!\What are you doing, Nishida?!\What about you?!\You never said anything about this!\Over there! Keep it down!\There was someone else just as sneaky!\Why are you here? response:	A senpai from my Karuta society invited me,
context: What?!\What are you doing, Nishida?!\What about you?!\You never said anything about this!\Over there! Keep it down!\There was someone else just as sneaky!\Why are you here?\A senpai from my Karuta society invited me, response:	so I have dibs.
context: What are you doing, Nishida?!\What about you?!\You never said anything about this!\Over there! Keep it down!\There was someone else just as sneaky!\Why are you here?\A senpai from my Karuta society invited me,\so I have dibs. response:	Dibs? That's bull!
context: What about you?!\You never said anything about this!\Over there! Keep it down!\There was someone else just as sneaky!\Why are you here?\A senpai from my Karuta society invited me,\so I have dibs.\Dibs? That's bull! response:	What about you?
context: You never said anything about this!\Over there! Keep it down!\There was someone else just as sneaky!\Why are you here?\A senpai from my Karuta society invited me,\so I have dibs.\Dibs? That's bull!\What about you? response:	Took a plane.
context: Over there! Keep it down!\There was someone else just as sneaky!\Why are you here?\A senpai from my Karuta society invited me,\so I have dibs.\Dibs? That's bull!\What about you?\Took a plane. response:	Stupid rich boy!
context: There was someone else just as sneaky!\Why are you here?\A senpai from my Karuta society invited me,\so I have dibs.\Dibs? That's bull!\What about you?\Took a plane.\Stupid rich boy! response:	So you're trying to reach Class A first!
context: Why are you here?\A senpai from my Karuta society invited me,\so I have dibs.\Dibs? That's bull!\What about you?\Took a plane.\Stupid rich boy!\So you're trying to reach Class A first! response:	So are you!
context: A senpai from my Karuta society invited me,\so I have dibs.\Dibs? That's bull!\What about you?\Took a plane.\Stupid rich boy!\So you're trying to reach Class A first!\So are you! response:	No, I need to focus on my match.
context: so I have dibs.\Dibs? That's bull!\What about you?\Took a plane.\Stupid rich boy!\So you're trying to reach Class A first!\So are you!\No, I need to focus on my match. response:	Concentrate...
context: Dibs? That's bull!\What about you?\Took a plane.\Stupid rich boy!\So you're trying to reach Class A first!\So are you!\No, I need to focus on my match.\Concentrate... response:	We will now begin memorization time.
context: What about you?\Took a plane.\Stupid rich boy!\So you're trying to reach Class A first!\So are you!\No, I need to focus on my match.\Concentrate...\We will now begin memorization time. response:	Here comes spring, now the flower blooms
context: Took a plane.\Stupid rich boy!\So you're trying to reach Class A first!\So are you!\No, I need to focus on my match.\Concentrate...\We will now begin memorization time.\Here comes spring, now the flower blooms response:	Here comes spring, now the flower blooms
context: Stupid rich boy!\So you're trying to reach Class A first!\So are you!\No, I need to focus on my match.\Concentrate...\We will now begin memorization time.\Here comes spring, now the flower blooms\Here comes spring, now the flower blooms response:	Win.
context: So you're trying to reach Class A first!\So are you!\No, I need to focus on my match.\Concentrate...\We will now begin memorization time.\Here comes spring, now the flower blooms\Here comes spring, now the flower blooms\Win. response:	I have to win!
context: So are you!\No, I need to focus on my match.\Concentrate...\We will now begin memorization time.\Here comes spring, now the flower blooms\Here comes spring, now the flower blooms\Win.\I have to win! response:	Like a boatsman adrift...
context: No, I need to focus on my match.\Concentrate...\We will now begin memorization time.\Here comes spring, now the flower blooms\Here comes spring, now the flower blooms\Win.\I have to win!\Like a boatsman adrift... response:	H-He's fast!
context: Concentrate...\We will now begin memorization time.\Here comes spring, now the flower blooms\Here comes spring, now the flower blooms\Win.\I have to win!\Like a boatsman adrift...\H-He's fast! response:	While autumn leaves crunch...
context: We will now begin memorization time.\Here comes spring, now the flower blooms\Here comes spring, now the flower blooms\Win.\I have to win!\Like a boatsman adrift...\H-He's fast!\While autumn leaves crunch... response:	Since I could not hide...
context: Here comes spring, now the flower blooms\Here comes spring, now the flower blooms\Win.\I have to win!\Like a boatsman adrift...\H-He's fast!\While autumn leaves crunch...\Since I could not hide... response:	Impassionate gods...
context: Here comes spring, now the flower blooms\Win.\I have to win!\Like a boatsman adrift...\H-He's fast!\While autumn leaves crunch...\Since I could not hide...\Impassionate gods... response:	the red that is the Tatsuta River
context: Win.\I have to win!\Like a boatsman adrift...\H-He's fast!\While autumn leaves crunch...\Since I could not hide...\Impassionate gods...\the red that is the Tatsuta River response:	Chihaya-chan has really improved.
context: I have to win!\Like a boatsman adrift...\H-He's fast!\While autumn leaves crunch...\Since I could not hide...\Impassionate gods...\the red that is the Tatsuta River\Chihaya-chan has really improved. response:	Her match against the Queen must have helped.
context: Like a boatsman adrift...\H-He's fast!\While autumn leaves crunch...\Since I could not hide...\Impassionate gods...\the red that is the Tatsuta River\Chihaya-chan has really improved.\Her match against the Queen must have helped. response:	You'll notice once you play against her.
context: H-He's fast!\While autumn leaves crunch...\Since I could not hide...\Impassionate gods...\the red that is the Tatsuta River\Chihaya-chan has really improved.\Her match against the Queen must have helped.\You'll notice once you play against her. response:	She's much faster now.
context: While autumn leaves crunch...\Since I could not hide...\Impassionate gods...\the red that is the Tatsuta River\Chihaya-chan has really improved.\Her match against the Queen must have helped.\You'll notice once you play against her.\She's much faster now. response:	Her opponents aren't even close on her sweet cards.
context: Since I could not hide...\Impassionate gods...\the red that is the Tatsuta River\Chihaya-chan has really improved.\Her match against the Queen must have helped.\You'll notice once you play against her.\She's much faster now.\Her opponents aren't even close on her sweet cards. response:	She can give the Queen a run for her money on those.
context: Impassionate gods...\the red that is the Tatsuta River\Chihaya-chan has really improved.\Her match against the Queen must have helped.\You'll notice once you play against her.\She's much faster now.\Her opponents aren't even close on her sweet cards.\She can give the Queen a run for her money on those. response:	I still see her in my dreams.
context: the red that is the Tatsuta River\Chihaya-chan has really improved.\Her match against the Queen must have helped.\You'll notice once you play against her.\She's much faster now.\Her opponents aren't even close on her sweet cards.\She can give the Queen a run for her money on those.\I still see her in my dreams. response:	I need to match her speed, her edge!
context: Chihaya-chan has really improved.\Her match against the Queen must have helped.\You'll notice once you play against her.\She's much faster now.\Her opponents aren't even close on her sweet cards.\She can give the Queen a run for her money on those.\I still see her in my dreams.\I need to match her speed, her edge! response:	Impassioned vows exchanged over many a tear shed to last
context: Her match against the Queen must have helped.\You'll notice once you play against her.\She's much faster now.\Her opponents aren't even close on her sweet cards.\She can give the Queen a run for her money on those.\I still see her in my dreams.\I need to match her speed, her edge!\Impassioned vows exchanged over many a tear shed to last response:	when I should have gone to sleep instead
context: You'll notice once you play against her.\She's much faster now.\Her opponents aren't even close on her sweet cards.\She can give the Queen a run for her money on those.\I still see her in my dreams.\I need to match her speed, her edge!\Impassioned vows exchanged over many a tear shed to last\when I should have gone to sleep instead response:	Oh! Oops!
context: She's much faster now.\Her opponents aren't even close on her sweet cards.\She can give the Queen a run for her money on those.\I still see her in my dreams.\I need to match her speed, her edge!\Impassioned vows exchanged over many a tear shed to last\when I should have gone to sleep instead\Oh! Oops! response:	Ow, that's a fault.
context: Her opponents aren't even close on her sweet cards.\She can give the Queen a run for her money on those.\I still see her in my dreams.\I need to match her speed, her edge!\Impassioned vows exchanged over many a tear shed to last\when I should have gone to sleep instead\Oh! Oops!\Ow, that's a fault. response:	That's where the Impassionate card was before.
context: She can give the Queen a run for her money on those.\I still see her in my dreams.\I need to match her speed, her edge!\Impassioned vows exchanged over many a tear shed to last\when I should have gone to sleep instead\Oh! Oops!\Ow, that's a fault.\That's where the Impassionate card was before. response:	Chihaya-chan hasn't been able to cut down on her mistakes.
context: I still see her in my dreams.\I need to match her speed, her edge!\Impassioned vows exchanged over many a tear shed to last\when I should have gone to sleep instead\Oh! Oops!\Ow, that's a fault.\That's where the Impassionate card was before.\Chihaya-chan hasn't been able to cut down on her mistakes. response:	She's too concerned about the Impassion cards.
context: I need to match her speed, her edge!\Impassioned vows exchanged over many a tear shed to last\when I should have gone to sleep instead\Oh! Oops!\Ow, that's a fault.\That's where the Impassionate card was before.\Chihaya-chan hasn't been able to cut down on her mistakes.\She's too concerned about the Impassion cards. response:	Thank you very much.
context: Impassioned vows exchanged over many a tear shed to last\when I should have gone to sleep instead\Oh! Oops!\Ow, that's a fault.\That's where the Impassionate card was before.\Chihaya-chan hasn't been able to cut down on her mistakes.\She's too concerned about the Impassion cards.\Thank you very much. response:	I was doing okay for a while,
context: when I should have gone to sleep instead\Oh! Oops!\Ow, that's a fault.\That's where the Impassionate card was before.\Chihaya-chan hasn't been able to cut down on her mistakes.\She's too concerned about the Impassion cards.\Thank you very much.\I was doing okay for a while, response:	but I ended up losing to you in the end, Hiroshi-san.
context: Oh! Oops!\Ow, that's a fault.\That's where the Impassionate card was before.\Chihaya-chan hasn't been able to cut down on her mistakes.\She's too concerned about the Impassion cards.\Thank you very much.\I was doing okay for a while,\but I ended up losing to you in the end, Hiroshi-san. response:	You may be fast, Chihaya-chan,
context: Ow, that's a fault.\That's where the Impassionate card was before.\Chihaya-chan hasn't been able to cut down on her mistakes.\She's too concerned about the Impassion cards.\Thank you very much.\I was doing okay for a while,\but I ended up losing to you in the end, Hiroshi-san.\You may be fast, Chihaya-chan, response:	but you don't scare me.
context: That's where the Impassionate card was before.\Chihaya-chan hasn't been able to cut down on her mistakes.\She's too concerned about the Impassion cards.\Thank you very much.\I was doing okay for a while,\but I ended up losing to you in the end, Hiroshi-san.\You may be fast, Chihaya-chan,\but you don't scare me. response:	Huh?
context: Chihaya-chan hasn't been able to cut down on her mistakes.\She's too concerned about the Impassion cards.\Thank you very much.\I was doing okay for a while,\but I ended up losing to you in the end, Hiroshi-san.\You may be fast, Chihaya-chan,\but you don't scare me.\Huh? response:	Chihaya-chan, stop taking cards with your speed.
context: She's too concerned about the Impassion cards.\Thank you very much.\I was doing okay for a while,\but I ended up losing to you in the end, Hiroshi-san.\You may be fast, Chihaya-chan,\but you don't scare me.\Huh?\Chihaya-chan, stop taking cards with your speed. response:	The 1st Career Survey First Choice Second Choice
context: Thank you very much.\I was doing okay for a while,\but I ended up losing to you in the end, Hiroshi-san.\You may be fast, Chihaya-chan,\but you don't scare me.\Huh?\Chihaya-chan, stop taking cards with your speed.\The 1st Career Survey First Choice Second Choice response:	Queen
context: I was doing okay for a while,\but I ended up losing to you in the end, Hiroshi-san.\You may be fast, Chihaya-chan,\but you don't scare me.\Huh?\Chihaya-chan, stop taking cards with your speed.\The 1st Career Survey First Choice Second Choice\Queen response:	The survey is due on Thursday.
context: but I ended up losing to you in the end, Hiroshi-san.\You may be fast, Chihaya-chan,\but you don't scare me.\Huh?\Chihaya-chan, stop taking cards with your speed.\The 1st Career Survey First Choice Second Choice\Queen\The survey is due on Thursday. response:	We have materials in the career guidance office, so drop by.
context: You may be fast, Chihaya-chan,\but you don't scare me.\Huh?\Chihaya-chan, stop taking cards with your speed.\The 1st Career Survey First Choice Second Choice\Queen\The survey is due on Thursday.\We have materials in the career guidance office, so drop by. response:	This is your own future, so think very carefully!
context: but you don't scare me.\Huh?\Chihaya-chan, stop taking cards with your speed.\The 1st Career Survey First Choice Second Choice\Queen\The survey is due on Thursday.\We have materials in the career guidance office, so drop by.\This is your own future, so think very carefully! response:	Yes, ma'am!
context: Huh?\Chihaya-chan, stop taking cards with your speed.\The 1st Career Survey First Choice Second Choice\Queen\The survey is due on Thursday.\We have materials in the career guidance office, so drop by.\This is your own future, so think very carefully!\Yes, ma'am! response:	Kana-chan, you'll be going
context: Chihaya-chan, stop taking cards with your speed.\The 1st Career Survey First Choice Second Choice\Queen\The survey is due on Thursday.\We have materials in the career guidance office, so drop by.\This is your own future, so think very carefully!\Yes, ma'am!\Kana-chan, you'll be going response:	to a university that has classical literature, right?
