context: Ladies and gentlemen, good evening. response:	Anguish. Anxiety.
context: Excellency, there's a message from Paris.\If you will pardon me for a moment...\Monsieur Noirtier... Please, you have to tell me.\Tell me what Gankutsuou is.\What's this? Hey, wait a minute!\In the event of an emergency, it is possible for a third party who knows the password...\Does this mean that if I can figure out the password, I can access your mind directly?\She's so beautiful! response:	Hey, isn't she...
context: If you will pardon me for a moment...\Monsieur Noirtier... Please, you have to tell me.\Tell me what Gankutsuou is.\What's this? Hey, wait a minute!\In the event of an emergency, it is possible for a third party who knows the password...\Does this mean that if I can figure out the password, I can access your mind directly?\She's so beautiful!\Hey, isn't she... response:	Right. She's Monte Cristo's...
context: Monsieur Noirtier... Please, you have to tell me.\Tell me what Gankutsuou is.\What's this? Hey, wait a minute!\In the event of an emergency, it is possible for a third party who knows the password...\Does this mean that if I can figure out the password, I can access your mind directly?\She's so beautiful!\Hey, isn't she...\Right. She's Monte Cristo's... response:	I realize I am late, but I have come to offer my support to you, General Morcerf.
context: Tell me what Gankutsuou is.\What's this? Hey, wait a minute!\In the event of an emergency, it is possible for a third party who knows the password...\Does this mean that if I can figure out the password, I can access your mind directly?\She's so beautiful!\Hey, isn't she...\Right. She's Monte Cristo's...\I realize I am late, but I have come to offer my support to you, General Morcerf. response:	Well, well!
context: What's this? Hey, wait a minute!\In the event of an emergency, it is possible for a third party who knows the password...\Does this mean that if I can figure out the password, I can access your mind directly?\She's so beautiful!\Hey, isn't she...\Right. She's Monte Cristo's...\I realize I am late, but I have come to offer my support to you, General Morcerf.\Well, well! response:	By all means, please step up to the podium!
context: In the event of an emergency, it is possible for a third party who knows the password...\Does this mean that if I can figure out the password, I can access your mind directly?\She's so beautiful!\Hey, isn't she...\Right. She's Monte Cristo's...\I realize I am late, but I have come to offer my support to you, General Morcerf.\Well, well!\By all means, please step up to the podium! response:	Valentine... I'm certain that your grandfather told you a very important password.
context: Does this mean that if I can figure out the password, I can access your mind directly?\She's so beautiful!\Hey, isn't she...\Right. She's Monte Cristo's...\I realize I am late, but I have come to offer my support to you, General Morcerf.\Well, well!\By all means, please step up to the podium!\Valentine... I'm certain that your grandfather told you a very important password. response:	Do you know what it is?
context: She's so beautiful!\Hey, isn't she...\Right. She's Monte Cristo's...\I realize I am late, but I have come to offer my support to you, General Morcerf.\Well, well!\By all means, please step up to the podium!\Valentine... I'm certain that your grandfather told you a very important password.\Do you know what it is? response:	Valentine, I am now surrounded on all sides by enemies.
context: Hey, isn't she...\Right. She's Monte Cristo's...\I realize I am late, but I have come to offer my support to you, General Morcerf.\Well, well!\By all means, please step up to the podium!\Valentine... I'm certain that your grandfather told you a very important password.\Do you know what it is?\Valentine, I am now surrounded on all sides by enemies. response:	If anything should happen to my body, remember this flower.
context: Right. She's Monte Cristo's...\I realize I am late, but I have come to offer my support to you, General Morcerf.\Well, well!\By all means, please step up to the podium!\Valentine... I'm certain that your grandfather told you a very important password.\Do you know what it is?\Valentine, I am now surrounded on all sides by enemies.\If anything should happen to my body, remember this flower. response:	Blue rose...
context: I realize I am late, but I have come to offer my support to you, General Morcerf.\Well, well!\By all means, please step up to the podium!\Valentine... I'm certain that your grandfather told you a very important password.\Do you know what it is?\Valentine, I am now surrounded on all sides by enemies.\If anything should happen to my body, remember this flower.\Blue rose... response:	My name is Haidee.
context: Well, well!\By all means, please step up to the podium!\Valentine... I'm certain that your grandfather told you a very important password.\Do you know what it is?\Valentine, I am now surrounded on all sides by enemies.\If anything should happen to my body, remember this flower.\Blue rose...\My name is Haidee. response:	Various circumstances brought me to Paris,
context: By all means, please step up to the podium!\Valentine... I'm certain that your grandfather told you a very important password.\Do you know what it is?\Valentine, I am now surrounded on all sides by enemies.\If anything should happen to my body, remember this flower.\Blue rose...\My name is Haidee.\Various circumstances brought me to Paris, response:	Goodness, you honor me.
context: Valentine... I'm certain that your grandfather told you a very important password.\Do you know what it is?\Valentine, I am now surrounded on all sides by enemies.\If anything should happen to my body, remember this flower.\Blue rose...\My name is Haidee.\Various circumstances brought me to Paris,\Goodness, you honor me. response:	This may sound rude, but have we met somewhere before, by any chance?
context: Do you know what it is?\Valentine, I am now surrounded on all sides by enemies.\If anything should happen to my body, remember this flower.\Blue rose...\My name is Haidee.\Various circumstances brought me to Paris,\Goodness, you honor me.\This may sound rude, but have we met somewhere before, by any chance? response:	Yes, ten years ago. I will never forget the day.
context: Valentine, I am now surrounded on all sides by enemies.\If anything should happen to my body, remember this flower.\Blue rose...\My name is Haidee.\Various circumstances brought me to Paris,\Goodness, you honor me.\This may sound rude, but have we met somewhere before, by any chance?\Yes, ten years ago. I will never forget the day. response:	When I was four years old, in the land of Janina.
context: If anything should happen to my body, remember this flower.\Blue rose...\My name is Haidee.\Various circumstances brought me to Paris,\Goodness, you honor me.\This may sound rude, but have we met somewhere before, by any chance?\Yes, ten years ago. I will never forget the day.\When I was four years old, in the land of Janina. response:	Janina?
context: Blue rose...\My name is Haidee.\Various circumstances brought me to Paris,\Goodness, you honor me.\This may sound rude, but have we met somewhere before, by any chance?\Yes, ten years ago. I will never forget the day.\When I was four years old, in the land of Janina.\Janina? response:	You did us the honor of protecting us as a gallant Space Forces officer.
context: My name is Haidee.\Various circumstances brought me to Paris,\Goodness, you honor me.\This may sound rude, but have we met somewhere before, by any chance?\Yes, ten years ago. I will never forget the day.\When I was four years old, in the land of Janina.\Janina?\You did us the honor of protecting us as a gallant Space Forces officer. response:	Oh, is that it?
context: Various circumstances brought me to Paris,\Goodness, you honor me.\This may sound rude, but have we met somewhere before, by any chance?\Yes, ten years ago. I will never forget the day.\When I was four years old, in the land of Janina.\Janina?\You did us the honor of protecting us as a gallant Space Forces officer.\Oh, is that it? response:	You were a patriot dedicated to defending our country.
context: Goodness, you honor me.\This may sound rude, but have we met somewhere before, by any chance?\Yes, ten years ago. I will never forget the day.\When I was four years old, in the land of Janina.\Janina?\You did us the honor of protecting us as a gallant Space Forces officer.\Oh, is that it?\You were a patriot dedicated to defending our country. response:	Or so I believed, until that day.
context: This may sound rude, but have we met somewhere before, by any chance?\Yes, ten years ago. I will never forget the day.\When I was four years old, in the land of Janina.\Janina?\You did us the honor of protecting us as a gallant Space Forces officer.\Oh, is that it?\You were a patriot dedicated to defending our country.\Or so I believed, until that day. response:	Done!
context: Yes, ten years ago. I will never forget the day.\When I was four years old, in the land of Janina.\Janina?\You did us the honor of protecting us as a gallant Space Forces officer.\Oh, is that it?\You were a patriot dedicated to defending our country.\Or so I believed, until that day.\Done! response:	I never expected that I would be using this channel for this purpose...
context: When I was four years old, in the land of Janina.\Janina?\You did us the honor of protecting us as a gallant Space Forces officer.\Oh, is that it?\You were a patriot dedicated to defending our country.\Or so I believed, until that day.\Done!\I never expected that I would be using this channel for this purpose... response:	Still, I have no further need for it now that I have left politics behind.
context: Janina?\You did us the honor of protecting us as a gallant Space Forces officer.\Oh, is that it?\You were a patriot dedicated to defending our country.\Or so I believed, until that day.\Done!\I never expected that I would be using this channel for this purpose...\Still, I have no further need for it now that I have left politics behind. response:	Thank you, Franz.
context: You did us the honor of protecting us as a gallant Space Forces officer.\Oh, is that it?\You were a patriot dedicated to defending our country.\Or so I believed, until that day.\Done!\I never expected that I would be using this channel for this purpose...\Still, I have no further need for it now that I have left politics behind.\Thank you, Franz. response:	You and your friends have kept my granddaughter safe for me.
context: Oh, is that it?\You were a patriot dedicated to defending our country.\Or so I believed, until that day.\Done!\I never expected that I would be using this channel for this purpose...\Still, I have no further need for it now that I have left politics behind.\Thank you, Franz.\You and your friends have kept my granddaughter safe for me. response:	If there is anything in my memories that might prove useful to you, by all means, take them.
context: You were a patriot dedicated to defending our country.\Or so I believed, until that day.\Done!\I never expected that I would be using this channel for this purpose...\Still, I have no further need for it now that I have left politics behind.\Thank you, Franz.\You and your friends have kept my granddaughter safe for me.\If there is anything in my memories that might prove useful to you, by all means, take them. response:	Please take good care of Valentine.
context: Or so I believed, until that day.\Done!\I never expected that I would be using this channel for this purpose...\Still, I have no further need for it now that I have left politics behind.\Thank you, Franz.\You and your friends have kept my granddaughter safe for me.\If there is anything in my memories that might prove useful to you, by all means, take them.\Please take good care of Valentine. response:	W-Who in the world are you?
context: Done!\I never expected that I would be using this channel for this purpose...\Still, I have no further need for it now that I have left politics behind.\Thank you, Franz.\You and your friends have kept my granddaughter safe for me.\If there is anything in my memories that might prove useful to you, by all means, take them.\Please take good care of Valentine.\W-Who in the world are you? response:	I am a sad woman who had the misfortune to lose her father at Janina,
context: I never expected that I would be using this channel for this purpose...\Still, I have no further need for it now that I have left politics behind.\Thank you, Franz.\You and your friends have kept my granddaughter safe for me.\If there is anything in my memories that might prove useful to you, by all means, take them.\Please take good care of Valentine.\W-Who in the world are you?\I am a sad woman who had the misfortune to lose her father at Janina, response:	My father fell victim to the intrigues of a certain young officer, and lost his life as a result.
context: Still, I have no further need for it now that I have left politics behind.\Thank you, Franz.\You and your friends have kept my granddaughter safe for me.\If there is anything in my memories that might prove useful to you, by all means, take them.\Please take good care of Valentine.\W-Who in the world are you?\I am a sad woman who had the misfortune to lose her father at Janina,\My father fell victim to the intrigues of a certain young officer, and lost his life as a result. response:	Oh, my!
context: Thank you, Franz.\You and your friends have kept my granddaughter safe for me.\If there is anything in my memories that might prove useful to you, by all means, take them.\Please take good care of Valentine.\W-Who in the world are you?\I am a sad woman who had the misfortune to lose her father at Janina,\My father fell victim to the intrigues of a certain young officer, and lost his life as a result.\Oh, my! response:	What's she talking about?
context: You and your friends have kept my granddaughter safe for me.\If there is anything in my memories that might prove useful to you, by all means, take them.\Please take good care of Valentine.\W-Who in the world are you?\I am a sad woman who had the misfortune to lose her father at Janina,\My father fell victim to the intrigues of a certain young officer, and lost his life as a result.\Oh, my!\What's she talking about? response:	I-I'm curious as to what this story has to do with these proceedings?
context: If there is anything in my memories that might prove useful to you, by all means, take them.\Please take good care of Valentine.\W-Who in the world are you?\I am a sad woman who had the misfortune to lose her father at Janina,\My father fell victim to the intrigues of a certain young officer, and lost his life as a result.\Oh, my!\What's she talking about?\I-I'm curious as to what this story has to do with these proceedings? response:	They have no bearing on this? Is that what you are trying to say, General Morcerf?
context: Please take good care of Valentine.\W-Who in the world are you?\I am a sad woman who had the misfortune to lose her father at Janina,\My father fell victim to the intrigues of a certain young officer, and lost his life as a result.\Oh, my!\What's she talking about?\I-I'm curious as to what this story has to do with these proceedings?\They have no bearing on this? Is that what you are trying to say, General Morcerf? response:	Or Fernand Mondego, should I say?
context: W-Who in the world are you?\I am a sad woman who had the misfortune to lose her father at Janina,\My father fell victim to the intrigues of a certain young officer, and lost his life as a result.\Oh, my!\What's she talking about?\I-I'm curious as to what this story has to do with these proceedings?\They have no bearing on this? Is that what you are trying to say, General Morcerf?\Or Fernand Mondego, should I say? response:	What?
context: I am a sad woman who had the misfortune to lose her father at Janina,\My father fell victim to the intrigues of a certain young officer, and lost his life as a result.\Oh, my!\What's she talking about?\I-I'm curious as to what this story has to do with these proceedings?\They have no bearing on this? Is that what you are trying to say, General Morcerf?\Or Fernand Mondego, should I say?\What? response:	What does she mean?
context: My father fell victim to the intrigues of a certain young officer, and lost his life as a result.\Oh, my!\What's she talking about?\I-I'm curious as to what this story has to do with these proceedings?\They have no bearing on this? Is that what you are trying to say, General Morcerf?\Or Fernand Mondego, should I say?\What?\What does she mean? response:	Who IS that woman?
context: Oh, my!\What's she talking about?\I-I'm curious as to what this story has to do with these proceedings?\They have no bearing on this? Is that what you are trying to say, General Morcerf?\Or Fernand Mondego, should I say?\What?\What does she mean?\Who IS that woman? response:	Mondego?
context: What's she talking about?\I-I'm curious as to what this story has to do with these proceedings?\They have no bearing on this? Is that what you are trying to say, General Morcerf?\Or Fernand Mondego, should I say?\What?\What does she mean?\Who IS that woman?\Mondego? response:	Gankutsuou is...
context: I-I'm curious as to what this story has to do with these proceedings?\They have no bearing on this? Is that what you are trying to say, General Morcerf?\Or Fernand Mondego, should I say?\What?\What does she mean?\Who IS that woman?\Mondego?\Gankutsuou is... response:	The Chateau d'lf.
context: They have no bearing on this? Is that what you are trying to say, General Morcerf?\Or Fernand Mondego, should I say?\What?\What does she mean?\Who IS that woman?\Mondego?\Gankutsuou is...\The Chateau d'lf. response:	Edmond Dantes.
context: Or Fernand Mondego, should I say?\What?\What does she mean?\Who IS that woman?\Mondego?\Gankutsuou is...\The Chateau d'lf.\Edmond Dantes. response:	My name is Haidee Tebelin,
context: What?\What does she mean?\Who IS that woman?\Mondego?\Gankutsuou is...\The Chateau d'lf.\Edmond Dantes.\My name is Haidee Tebelin, response:	I am the daughter of a father who was brought low by your conspiracy...
context: What does she mean?\Who IS that woman?\Mondego?\Gankutsuou is...\The Chateau d'lf.\Edmond Dantes.\My name is Haidee Tebelin,\I am the daughter of a father who was brought low by your conspiracy... response:	Surely you can offer no justification for what you did.
context: Who IS that woman?\Mondego?\Gankutsuou is...\The Chateau d'lf.\Edmond Dantes.\My name is Haidee Tebelin,\I am the daughter of a father who was brought low by your conspiracy...\Surely you can offer no justification for what you did. response:	W-What's this nonsense?!
context: Mondego?\Gankutsuou is...\The Chateau d'lf.\Edmond Dantes.\My name is Haidee Tebelin,\I am the daughter of a father who was brought low by your conspiracy...\Surely you can offer no justification for what you did.\W-What's this nonsense?! response:	Ladies and gentlemen, it is THIS that is a conspiracy!
context: Gankutsuou is...\The Chateau d'lf.\Edmond Dantes.\My name is Haidee Tebelin,\I am the daughter of a father who was brought low by your conspiracy...\Surely you can offer no justification for what you did.\W-What's this nonsense?!\Ladies and gentlemen, it is THIS that is a conspiracy! response:	A rebellion by malcontents who are trying to disrupt my campaign!
context: The Chateau d'lf.\Edmond Dantes.\My name is Haidee Tebelin,\I am the daughter of a father who was brought low by your conspiracy...\Surely you can offer no justification for what you did.\W-What's this nonsense?!\Ladies and gentlemen, it is THIS that is a conspiracy!\A rebellion by malcontents who are trying to disrupt my campaign! response:	He's right! Grab that woman and get her out of here!
context: Edmond Dantes.\My name is Haidee Tebelin,\I am the daughter of a father who was brought low by your conspiracy...\Surely you can offer no justification for what you did.\W-What's this nonsense?!\Ladies and gentlemen, it is THIS that is a conspiracy!\A rebellion by malcontents who are trying to disrupt my campaign!\He's right! Grab that woman and get her out of here! response:	It's a conspiracy!
context: My name is Haidee Tebelin,\I am the daughter of a father who was brought low by your conspiracy...\Surely you can offer no justification for what you did.\W-What's this nonsense?!\Ladies and gentlemen, it is THIS that is a conspiracy!\A rebellion by malcontents who are trying to disrupt my campaign!\He's right! Grab that woman and get her out of here!\It's a conspiracy! response:	Don't fall for her lies, everyone!
context: I am the daughter of a father who was brought low by your conspiracy...\Surely you can offer no justification for what you did.\W-What's this nonsense?!\Ladies and gentlemen, it is THIS that is a conspiracy!\A rebellion by malcontents who are trying to disrupt my campaign!\He's right! Grab that woman and get her out of here!\It's a conspiracy!\Don't fall for her lies, everyone! response:	Now, I think you should leave.
context: Surely you can offer no justification for what you did.\W-What's this nonsense?!\Ladies and gentlemen, it is THIS that is a conspiracy!\A rebellion by malcontents who are trying to disrupt my campaign!\He's right! Grab that woman and get her out of here!\It's a conspiracy!\Don't fall for her lies, everyone!\Now, I think you should leave. response:	Shut your mouth, Fernand Mondego!
context: W-What's this nonsense?!\Ladies and gentlemen, it is THIS that is a conspiracy!\A rebellion by malcontents who are trying to disrupt my campaign!\He's right! Grab that woman and get her out of here!\It's a conspiracy!\Don't fall for her lies, everyone!\Now, I think you should leave.\Shut your mouth, Fernand Mondego! response:	What's this? Don't look at me like that!
context: Ladies and gentlemen, it is THIS that is a conspiracy!\A rebellion by malcontents who are trying to disrupt my campaign!\He's right! Grab that woman and get her out of here!\It's a conspiracy!\Don't fall for her lies, everyone!\Now, I think you should leave.\Shut your mouth, Fernand Mondego!\What's this? Don't look at me like that! response:	Are you able to prove what you say?
context: A rebellion by malcontents who are trying to disrupt my campaign!\He's right! Grab that woman and get her out of here!\It's a conspiracy!\Don't fall for her lies, everyone!\Now, I think you should leave.\Shut your mouth, Fernand Mondego!\What's this? Don't look at me like that!\Are you able to prove what you say? response:	Why, that's...
context: He's right! Grab that woman and get her out of here!\It's a conspiracy!\Don't fall for her lies, everyone!\Now, I think you should leave.\Shut your mouth, Fernand Mondego!\What's this? Don't look at me like that!\Are you able to prove what you say?\Why, that's... response:	Proof that will never fade for as long as I live. Proof that was branded onto me...
context: It's a conspiracy!\Don't fall for her lies, everyone!\Now, I think you should leave.\Shut your mouth, Fernand Mondego!\What's this? Don't look at me like that!\Are you able to prove what you say?\Why, that's...\Proof that will never fade for as long as I live. Proof that was branded onto me... response:	This brand is a record of everything that I have endured.
context: Don't fall for her lies, everyone!\Now, I think you should leave.\Shut your mouth, Fernand Mondego!\What's this? Don't look at me like that!\Are you able to prove what you say?\Why, that's...\Proof that will never fade for as long as I live. Proof that was branded onto me...\This brand is a record of everything that I have endured. response:	Haidee... This belonged to your father. Take it.
context: Now, I think you should leave.\Shut your mouth, Fernand Mondego!\What's this? Don't look at me like that!\Are you able to prove what you say?\Why, that's...\Proof that will never fade for as long as I live. Proof that was branded onto me...\This brand is a record of everything that I have endured.\Haidee... This belonged to your father. Take it. response:	If you ever suspect that you are about to be violated, use this to take your own life.
context: Shut your mouth, Fernand Mondego!\What's this? Don't look at me like that!\Are you able to prove what you say?\Why, that's...\Proof that will never fade for as long as I live. Proof that was branded onto me...\This brand is a record of everything that I have endured.\Haidee... This belonged to your father. Take it.\If you ever suspect that you are about to be violated, use this to take your own life. response:	Fernand Mondego. Change your name all you like,
context: What's this? Don't look at me like that!\Are you able to prove what you say?\Why, that's...\Proof that will never fade for as long as I live. Proof that was branded onto me...\This brand is a record of everything that I have endured.\Haidee... This belonged to your father. Take it.\If you ever suspect that you are about to be violated, use this to take your own life.\Fernand Mondego. Change your name all you like, response:	Ali... I... I know I'm right.
context: Are you able to prove what you say?\Why, that's...\Proof that will never fade for as long as I live. Proof that was branded onto me...\This brand is a record of everything that I have endured.\Haidee... This belonged to your father. Take it.\If you ever suspect that you are about to be violated, use this to take your own life.\Fernand Mondego. Change your name all you like,\Ali... I... I know I'm right. response:	I did the right thing.
context: Why, that's...\Proof that will never fade for as long as I live. Proof that was branded onto me...\This brand is a record of everything that I have endured.\Haidee... This belonged to your father. Take it.\If you ever suspect that you are about to be violated, use this to take your own life.\Fernand Mondego. Change your name all you like,\Ali... I... I know I'm right.\I did the right thing. response:	He is my sworn enemy, the man who stole everything from me.
context: Proof that will never fade for as long as I live. Proof that was branded onto me...\This brand is a record of everything that I have endured.\Haidee... This belonged to your father. Take it.\If you ever suspect that you are about to be violated, use this to take your own life.\Fernand Mondego. Change your name all you like,\Ali... I... I know I'm right.\I did the right thing.\He is my sworn enemy, the man who stole everything from me. response:	So why do I feel like this?
context: This brand is a record of everything that I have endured.\Haidee... This belonged to your father. Take it.\If you ever suspect that you are about to be violated, use this to take your own life.\Fernand Mondego. Change your name all you like,\Ali... I... I know I'm right.\I did the right thing.\He is my sworn enemy, the man who stole everything from me.\So why do I feel like this? response:	Ali...
context: Haidee... This belonged to your father. Take it.\If you ever suspect that you are about to be violated, use this to take your own life.\Fernand Mondego. Change your name all you like,\Ali... I... I know I'm right.\I did the right thing.\He is my sworn enemy, the man who stole everything from me.\So why do I feel like this?\Ali... response:	The Count... I must warn him! I mustn't let the Count suffer as I do now!
context: If you ever suspect that you are about to be violated, use this to take your own life.\Fernand Mondego. Change your name all you like,\Ali... I... I know I'm right.\I did the right thing.\He is my sworn enemy, the man who stole everything from me.\So why do I feel like this?\Ali...\The Count... I must warn him! I mustn't let the Count suffer as I do now! response:	Count... Has something happened?
context: Fernand Mondego. Change your name all you like,\Ali... I... I know I'm right.\I did the right thing.\He is my sworn enemy, the man who stole everything from me.\So why do I feel like this?\Ali...\The Count... I must warn him! I mustn't let the Count suffer as I do now!\Count... Has something happened? response:	Why do you seem so anxious?
context: Ali... I... I know I'm right.\I did the right thing.\He is my sworn enemy, the man who stole everything from me.\So why do I feel like this?\Ali...\The Count... I must warn him! I mustn't let the Count suffer as I do now!\Count... Has something happened?\Why do you seem so anxious? response:	I'm not sure.
context: I did the right thing.\He is my sworn enemy, the man who stole everything from me.\So why do I feel like this?\Ali...\The Count... I must warn him! I mustn't let the Count suffer as I do now!\Count... Has something happened?\Why do you seem so anxious?\I'm not sure. response:	I just sense the presence of a deep, terrible darkness.
context: He is my sworn enemy, the man who stole everything from me.\So why do I feel like this?\Ali...\The Count... I must warn him! I mustn't let the Count suffer as I do now!\Count... Has something happened?\Why do you seem so anxious?\I'm not sure.\I just sense the presence of a deep, terrible darkness. response:	Count, what should I...
context: So why do I feel like this?\Ali...\The Count... I must warn him! I mustn't let the Count suffer as I do now!\Count... Has something happened?\Why do you seem so anxious?\I'm not sure.\I just sense the presence of a deep, terrible darkness.\Count, what should I... response:	Albert, you should return to Earth. Without delay.
context: Ali...\The Count... I must warn him! I mustn't let the Count suffer as I do now!\Count... Has something happened?\Why do you seem so anxious?\I'm not sure.\I just sense the presence of a deep, terrible darkness.\Count, what should I...\Albert, you should return to Earth. Without delay. response:	You should be at your father's side.
context: The Count... I must warn him! I mustn't let the Count suffer as I do now!\Count... Has something happened?\Why do you seem so anxious?\I'm not sure.\I just sense the presence of a deep, terrible darkness.\Count, what should I...\Albert, you should return to Earth. Without delay.\You should be at your father's side. response:	My father?
context: Count... Has something happened?\Why do you seem so anxious?\I'm not sure.\I just sense the presence of a deep, terrible darkness.\Count, what should I...\Albert, you should return to Earth. Without delay.\You should be at your father's side.\My father? response:	It's times like these when a man makes a lot of enemies. You should watch your back, too.
context: Why do you seem so anxious?\I'm not sure.\I just sense the presence of a deep, terrible darkness.\Count, what should I...\Albert, you should return to Earth. Without delay.\You should be at your father's side.\My father?\It's times like these when a man makes a lot of enemies. You should watch your back, too. response:	Has something happened to my father?!
context: I'm not sure.\I just sense the presence of a deep, terrible darkness.\Count, what should I...\Albert, you should return to Earth. Without delay.\You should be at your father's side.\My father?\It's times like these when a man makes a lot of enemies. You should watch your back, too.\Has something happened to my father?! response:	Return home at once. I will lend you my ship, the Spada.
context: I just sense the presence of a deep, terrible darkness.\Count, what should I...\Albert, you should return to Earth. Without delay.\You should be at your father's side.\My father?\It's times like these when a man makes a lot of enemies. You should watch your back, too.\Has something happened to my father?!\Return home at once. I will lend you my ship, the Spada. response:	The time has come at last for you to learn everything.
context: Count, what should I...\Albert, you should return to Earth. Without delay.\You should be at your father's side.\My father?\It's times like these when a man makes a lot of enemies. You should watch your back, too.\Has something happened to my father?!\Return home at once. I will lend you my ship, the Spada.\The time has come at last for you to learn everything. response:	This may be the last time we meet.
context: Albert, you should return to Earth. Without delay.\You should be at your father's side.\My father?\It's times like these when a man makes a lot of enemies. You should watch your back, too.\Has something happened to my father?!\Return home at once. I will lend you my ship, the Spada.\The time has come at last for you to learn everything.\This may be the last time we meet. response:	No!
context: You should be at your father's side.\My father?\It's times like these when a man makes a lot of enemies. You should watch your back, too.\Has something happened to my father?!\Return home at once. I will lend you my ship, the Spada.\The time has come at last for you to learn everything.\This may be the last time we meet.\No! response:	Fare thee well, Albert my friend.
context: My father?\It's times like these when a man makes a lot of enemies. You should watch your back, too.\Has something happened to my father?!\Return home at once. I will lend you my ship, the Spada.\The time has come at last for you to learn everything.\This may be the last time we meet.\No!\Fare thee well, Albert my friend. response:	Count...
context: It's times like these when a man makes a lot of enemies. You should watch your back, too.\Has something happened to my father?!\Return home at once. I will lend you my ship, the Spada.\The time has come at last for you to learn everything.\This may be the last time we meet.\No!\Fare thee well, Albert my friend.\Count... response:	Why? I thought we were going to trust only each other...
context: Has something happened to my father?!\Return home at once. I will lend you my ship, the Spada.\The time has come at last for you to learn everything.\This may be the last time we meet.\No!\Fare thee well, Albert my friend.\Count...\Why? I thought we were going to trust only each other... response:	Count!
context: Return home at once. I will lend you my ship, the Spada.\The time has come at last for you to learn everything.\This may be the last time we meet.\No!\Fare thee well, Albert my friend.\Count...\Why? I thought we were going to trust only each other...\Count! response:	Count!
context: The time has come at last for you to learn everything.\This may be the last time we meet.\No!\Fare thee well, Albert my friend.\Count...\Why? I thought we were going to trust only each other...\Count!\Count! response:	Count!
context: This may be the last time we meet.\No!\Fare thee well, Albert my friend.\Count...\Why? I thought we were going to trust only each other...\Count!\Count!\Count! response:	Count!
context: No!\Fare thee well, Albert my friend.\Count...\Why? I thought we were going to trust only each other...\Count!\Count!\Count!\Count! response:	Count!
context: Fare thee well, Albert my friend.\Count...\Why? I thought we were going to trust only each other...\Count!\Count!\Count!\Count!\Count! response:	Count!
context: Count...\Why? I thought we were going to trust only each other...\Count!\Count!\Count!\Count!\Count!\Count! response:	We're going back!
context: Why? I thought we were going to trust only each other...\Count!\Count!\Count!\Count!\Count!\Count!\We're going back! response:	Back to that city where vice flourishes!
context: Count!\Count!\Count!\Count!\Count!\Count!\We're going back!\Back to that city where vice flourishes! response:	Stand by for atmospheric reentry.
context: Count!\Count!\Count!\Count!\Count!\We're going back!\Back to that city where vice flourishes!\Stand by for atmospheric reentry. response:	Everything was a lie.
context: Count!\Count!\Count!\Count!\We're going back!\Back to that city where vice flourishes!\Stand by for atmospheric reentry.\Everything was a lie. response:	The tiny rip becomes an enormous tear,
context: Count!\Count!\Count!\We're going back!\Back to that city where vice flourishes!\Stand by for atmospheric reentry.\Everything was a lie.\The tiny rip becomes an enormous tear, response:	Act 16: Scandal
context: Count!\Count!\We're going back!\Back to that city where vice flourishes!\Stand by for atmospheric reentry.\Everything was a lie.\The tiny rip becomes an enormous tear,\Act 16: Scandal response:	Bide your time, and hold out hope!
