context: As long as I have the power to protect my friends, that's all I need. response:	If I could trade for that power, I wouldn't care how weak I was.
context: I can't use any magic power for defense.\Therefore, I won't use any defense!\I will concentrate all of my magic into my sword!\A sword you can't even grip unless you discard all defense...\Behold, the Fairy Sword, Benizakura!\My defeat means defeat for the guild!\This will be my last stand!\Come, Titania! response:	I cannot lose!
context: Therefore, I won't use any defense!\I will concentrate all of my magic into my sword!\A sword you can't even grip unless you discard all defense...\Behold, the Fairy Sword, Benizakura!\My defeat means defeat for the guild!\This will be my last stand!\Come, Titania!\I cannot lose! response:	This is for the guild!
context: I will concentrate all of my magic into my sword!\A sword you can't even grip unless you discard all defense...\Behold, the Fairy Sword, Benizakura!\My defeat means defeat for the guild!\This will be my last stand!\Come, Titania!\I cannot lose!\This is for the guild! response:	I will put everything into this one attack!
context: A sword you can't even grip unless you discard all defense...\Behold, the Fairy Sword, Benizakura!\My defeat means defeat for the guild!\This will be my last stand!\Come, Titania!\I cannot lose!\This is for the guild!\I will put everything into this one attack! response:	What?!
context: Behold, the Fairy Sword, Benizakura!\My defeat means defeat for the guild!\This will be my last stand!\Come, Titania!\I cannot lose!\This is for the guild!\I will put everything into this one attack!\What?! response:	Release the magic power of Tenrou that sleeps in the great land!
context: My defeat means defeat for the guild!\This will be my last stand!\Come, Titania!\I cannot lose!\This is for the guild!\I will put everything into this one attack!\What?!\Release the magic power of Tenrou that sleeps in the great land! response:	I can't move... Curses!
context: This will be my last stand!\Come, Titania!\I cannot lose!\This is for the guild!\I will put everything into this one attack!\What?!\Release the magic power of Tenrou that sleeps in the great land!\I can't move... Curses! response:	The cries of the great land...
context: Come, Titania!\I cannot lose!\This is for the guild!\I will put everything into this one attack!\What?!\Release the magic power of Tenrou that sleeps in the great land!\I can't move... Curses!\The cries of the great land... response:	Terra Clamare!
context: I cannot lose!\This is for the guild!\I will put everything into this one attack!\What?!\Release the magic power of Tenrou that sleeps in the great land!\I can't move... Curses!\The cries of the great land...\Terra Clamare! response:	Titania... defeated.
context: This is for the guild!\I will put everything into this one attack!\What?!\Release the magic power of Tenrou that sleeps in the great land!\I can't move... Curses!\The cries of the great land...\Terra Clamare!\Titania... defeated. response:	Erza...
context: I will put everything into this one attack!\What?!\Release the magic power of Tenrou that sleeps in the great land!\I can't move... Curses!\The cries of the great land...\Terra Clamare!\Titania... defeated.\Erza... response:	The Tenrou Tree has been destroyed by Azuma.
context: What?!\Release the magic power of Tenrou that sleeps in the great land!\I can't move... Curses!\The cries of the great land...\Terra Clamare!\Titania... defeated.\Erza...\The Tenrou Tree has been destroyed by Azuma. response:	Because of that, the divine protection that should be given
context: Release the magic power of Tenrou that sleeps in the great land!\I can't move... Curses!\The cries of the great land...\Terra Clamare!\Titania... defeated.\Erza...\The Tenrou Tree has been destroyed by Azuma.\Because of that, the divine protection that should be given response:	to all who bear the mark of Fairy Tail has disappeared.
context: I can't move... Curses!\The cries of the great land...\Terra Clamare!\Titania... defeated.\Erza...\The Tenrou Tree has been destroyed by Azuma.\Because of that, the divine protection that should be given\to all who bear the mark of Fairy Tail has disappeared. response:	In fact, their magic power is being drained.
context: The cries of the great land...\Terra Clamare!\Titania... defeated.\Erza...\The Tenrou Tree has been destroyed by Azuma.\Because of that, the divine protection that should be given\to all who bear the mark of Fairy Tail has disappeared.\In fact, their magic power is being drained. response:	Fried and Gildarts are no exceptions.
context: Terra Clamare!\Titania... defeated.\Erza...\The Tenrou Tree has been destroyed by Azuma.\Because of that, the divine protection that should be given\to all who bear the mark of Fairy Tail has disappeared.\In fact, their magic power is being drained.\Fried and Gildarts are no exceptions. response:	The fate of the guild lies now on the shoulders of one person, Erza!
context: Titania... defeated.\Erza...\The Tenrou Tree has been destroyed by Azuma.\Because of that, the divine protection that should be given\to all who bear the mark of Fairy Tail has disappeared.\In fact, their magic power is being drained.\Fried and Gildarts are no exceptions.\The fate of the guild lies now on the shoulders of one person, Erza! response:	Can anyone move?
context: Erza...\The Tenrou Tree has been destroyed by Azuma.\Because of that, the divine protection that should be given\to all who bear the mark of Fairy Tail has disappeared.\In fact, their magic power is being drained.\Fried and Gildarts are no exceptions.\The fate of the guild lies now on the shoulders of one person, Erza!\Can anyone move? response:	It's no use. I don't know why, but my magic power is draining out of me!
context: The Tenrou Tree has been destroyed by Azuma.\Because of that, the divine protection that should be given\to all who bear the mark of Fairy Tail has disappeared.\In fact, their magic power is being drained.\Fried and Gildarts are no exceptions.\The fate of the guild lies now on the shoulders of one person, Erza!\Can anyone move?\It's no use. I don't know why, but my magic power is draining out of me! response:	I'm dizzy...
context: Because of that, the divine protection that should be given\to all who bear the mark of Fairy Tail has disappeared.\In fact, their magic power is being drained.\Fried and Gildarts are no exceptions.\The fate of the guild lies now on the shoulders of one person, Erza!\Can anyone move?\It's no use. I don't know why, but my magic power is draining out of me!\I'm dizzy... response:	Does it have something to do with the tree on the center of the island falling?
context: to all who bear the mark of Fairy Tail has disappeared.\In fact, their magic power is being drained.\Fried and Gildarts are no exceptions.\The fate of the guild lies now on the shoulders of one person, Erza!\Can anyone move?\It's no use. I don't know why, but my magic power is draining out of me!\I'm dizzy...\Does it have something to do with the tree on the center of the island falling? response:	What'll we do? Cana's completely lost consciousness.
context: In fact, their magic power is being drained.\Fried and Gildarts are no exceptions.\The fate of the guild lies now on the shoulders of one person, Erza!\Can anyone move?\It's no use. I don't know why, but my magic power is draining out of me!\I'm dizzy...\Does it have something to do with the tree on the center of the island falling?\What'll we do? Cana's completely lost consciousness. response:	Can we still make it to the camp somehow?
context: Fried and Gildarts are no exceptions.\The fate of the guild lies now on the shoulders of one person, Erza!\Can anyone move?\It's no use. I don't know why, but my magic power is draining out of me!\I'm dizzy...\Does it have something to do with the tree on the center of the island falling?\What'll we do? Cana's completely lost consciousness.\Can we still make it to the camp somehow? response:	Things aren't good over here, either.
context: The fate of the guild lies now on the shoulders of one person, Erza!\Can anyone move?\It's no use. I don't know why, but my magic power is draining out of me!\I'm dizzy...\Does it have something to do with the tree on the center of the island falling?\What'll we do? Cana's completely lost consciousness.\Can we still make it to the camp somehow?\Things aren't good over here, either. response:	Gramps's breathing has gotten weaker...
context: Can anyone move?\It's no use. I don't know why, but my magic power is draining out of me!\I'm dizzy...\Does it have something to do with the tree on the center of the island falling?\What'll we do? Cana's completely lost consciousness.\Can we still make it to the camp somehow?\Things aren't good over here, either.\Gramps's breathing has gotten weaker... response:	Damn it... What's happening?
context: It's no use. I don't know why, but my magic power is draining out of me!\I'm dizzy...\Does it have something to do with the tree on the center of the island falling?\What'll we do? Cana's completely lost consciousness.\Can we still make it to the camp somehow?\Things aren't good over here, either.\Gramps's breathing has gotten weaker...\Damn it... What's happening? response:	Is everyone else safe?
context: I'm dizzy...\Does it have something to do with the tree on the center of the island falling?\What'll we do? Cana's completely lost consciousness.\Can we still make it to the camp somehow?\Things aren't good over here, either.\Gramps's breathing has gotten weaker...\Damn it... What's happening?\Is everyone else safe? response:	Did you say something, Siegrain-sama?
context: Does it have something to do with the tree on the center of the island falling?\What'll we do? Cana's completely lost consciousness.\Can we still make it to the camp somehow?\Things aren't good over here, either.\Gramps's breathing has gotten weaker...\Damn it... What's happening?\Is everyone else safe?\Did you say something, Siegrain-sama? response:	Idiot! He's Jellal!
context: What'll we do? Cana's completely lost consciousness.\Can we still make it to the camp somehow?\Things aren't good over here, either.\Gramps's breathing has gotten weaker...\Damn it... What's happening?\Is everyone else safe?\Did you say something, Siegrain-sama?\Idiot! He's Jellal! response:	That's the real identity of the former council member, Siegrain!
context: Can we still make it to the camp somehow?\Things aren't good over here, either.\Gramps's breathing has gotten weaker...\Damn it... What's happening?\Is everyone else safe?\Did you say something, Siegrain-sama?\Idiot! He's Jellal!\That's the real identity of the former council member, Siegrain! response:	Sorry, old habit.
context: Things aren't good over here, either.\Gramps's breathing has gotten weaker...\Damn it... What's happening?\Is everyone else safe?\Did you say something, Siegrain-sama?\Idiot! He's Jellal!\That's the real identity of the former council member, Siegrain!\Sorry, old habit. response:	He destroyed our Magic Council!
context: Gramps's breathing has gotten weaker...\Damn it... What's happening?\Is everyone else safe?\Did you say something, Siegrain-sama?\Idiot! He's Jellal!\That's the real identity of the former council member, Siegrain!\Sorry, old habit.\He destroyed our Magic Council! response:	He's a villain who made people lose all confidence in us!
context: Damn it... What's happening?\Is everyone else safe?\Did you say something, Siegrain-sama?\Idiot! He's Jellal!\That's the real identity of the former council member, Siegrain!\Sorry, old habit.\He destroyed our Magic Council!\He's a villain who made people lose all confidence in us! response:	Hey... You think he's casting a spell or something?
context: Is everyone else safe?\Did you say something, Siegrain-sama?\Idiot! He's Jellal!\That's the real identity of the former council member, Siegrain!\Sorry, old habit.\He destroyed our Magic Council!\He's a villain who made people lose all confidence in us!\Hey... You think he's casting a spell or something? response:	He's in a cage made of magic sealing stone.
context: Did you say something, Siegrain-sama?\Idiot! He's Jellal!\That's the real identity of the former council member, Siegrain!\Sorry, old habit.\He destroyed our Magic Council!\He's a villain who made people lose all confidence in us!\Hey... You think he's casting a spell or something?\He's in a cage made of magic sealing stone. response:	He can't use magic of any kind.
context: Idiot! He's Jellal!\That's the real identity of the former council member, Siegrain!\Sorry, old habit.\He destroyed our Magic Council!\He's a villain who made people lose all confidence in us!\Hey... You think he's casting a spell or something?\He's in a cage made of magic sealing stone.\He can't use magic of any kind. response:	Want to test him?
context: That's the real identity of the former council member, Siegrain!\Sorry, old habit.\He destroyed our Magic Council!\He's a villain who made people lose all confidence in us!\Hey... You think he's casting a spell or something?\He's in a cage made of magic sealing stone.\He can't use magic of any kind.\Want to test him? response:	W-With what?
context: Sorry, old habit.\He destroyed our Magic Council!\He's a villain who made people lose all confidence in us!\Hey... You think he's casting a spell or something?\He's in a cage made of magic sealing stone.\He can't use magic of any kind.\Want to test him?\W-With what? response:	See, look!
context: He destroyed our Magic Council!\He's a villain who made people lose all confidence in us!\Hey... You think he's casting a spell or something?\He's in a cage made of magic sealing stone.\He can't use magic of any kind.\Want to test him?\W-With what?\See, look! response:	He's Jellal, but he can't do anything!
context: He's a villain who made people lose all confidence in us!\Hey... You think he's casting a spell or something?\He's in a cage made of magic sealing stone.\He can't use magic of any kind.\Want to test him?\W-With what?\See, look!\He's Jellal, but he can't do anything! response:	C-Come on, Nadal... Stop.
context: Hey... You think he's casting a spell or something?\He's in a cage made of magic sealing stone.\He can't use magic of any kind.\Want to test him?\W-With what?\See, look!\He's Jellal, but he can't do anything!\C-Come on, Nadal... Stop. response:	What have you been muttering to yourself?
context: He's in a cage made of magic sealing stone.\He can't use magic of any kind.\Want to test him?\W-With what?\See, look!\He's Jellal, but he can't do anything!\C-Come on, Nadal... Stop.\What have you been muttering to yourself? response:	Now that I think about it, we haven't been giving you much food lately.
context: He can't use magic of any kind.\Want to test him?\W-With what?\See, look!\He's Jellal, but he can't do anything!\C-Come on, Nadal... Stop.\What have you been muttering to yourself?\Now that I think about it, we haven't been giving you much food lately. response:	You hungry or something?
context: Want to test him?\W-With what?\See, look!\He's Jellal, but he can't do anything!\C-Come on, Nadal... Stop.\What have you been muttering to yourself?\Now that I think about it, we haven't been giving you much food lately.\You hungry or something? response:	Fine. Try saying, Please give me food, Nadal-sama...
context: W-With what?\See, look!\He's Jellal, but he can't do anything!\C-Come on, Nadal... Stop.\What have you been muttering to yourself?\Now that I think about it, we haven't been giving you much food lately.\You hungry or something?\Fine. Try saying, Please give me food, Nadal-sama... response:	Ask nicely, and I'll allow you to eat.
context: See, look!\He's Jellal, but he can't do anything!\C-Come on, Nadal... Stop.\What have you been muttering to yourself?\Now that I think about it, we haven't been giving you much food lately.\You hungry or something?\Fine. Try saying, Please give me food, Nadal-sama...\Ask nicely, and I'll allow you to eat. response:	Hey!
context: He's Jellal, but he can't do anything!\C-Come on, Nadal... Stop.\What have you been muttering to yourself?\Now that I think about it, we haven't been giving you much food lately.\You hungry or something?\Fine. Try saying, Please give me food, Nadal-sama...\Ask nicely, and I'll allow you to eat.\Hey! response:	And if you don't, then no meals for a week!
context: C-Come on, Nadal... Stop.\What have you been muttering to yourself?\Now that I think about it, we haven't been giving you much food lately.\You hungry or something?\Fine. Try saying, Please give me food, Nadal-sama...\Ask nicely, and I'll allow you to eat.\Hey!\And if you don't, then no meals for a week! response:	Er...za...
context: What have you been muttering to yourself?\Now that I think about it, we haven't been giving you much food lately.\You hungry or something?\Fine. Try saying, Please give me food, Nadal-sama...\Ask nicely, and I'll allow you to eat.\Hey!\And if you don't, then no meals for a week!\Er...za... response:	Don't lose...
context: Now that I think about it, we haven't been giving you much food lately.\You hungry or something?\Fine. Try saying, Please give me food, Nadal-sama...\Ask nicely, and I'll allow you to eat.\Hey!\And if you don't, then no meals for a week!\Er...za...\Don't lose... response:	Don't lose... Erza...
context: You hungry or something?\Fine. Try saying, Please give me food, Nadal-sama...\Ask nicely, and I'll allow you to eat.\Hey!\And if you don't, then no meals for a week!\Er...za...\Don't lose...\Don't lose... Erza... response:	I-Impossible!
context: Fine. Try saying, Please give me food, Nadal-sama...\Ask nicely, and I'll allow you to eat.\Hey!\And if you don't, then no meals for a week!\Er...za...\Don't lose...\Don't lose... Erza...\I-Impossible! response:	You were hit with a massive amount of Tenroujima's magic power!
context: Ask nicely, and I'll allow you to eat.\Hey!\And if you don't, then no meals for a week!\Er...za...\Don't lose...\Don't lose... Erza...\I-Impossible!\You were hit with a massive amount of Tenroujima's magic power! response:	Did I just hear Jellal's voice?
context: Hey!\And if you don't, then no meals for a week!\Er...za...\Don't lose...\Don't lose... Erza...\I-Impossible!\You were hit with a massive amount of Tenroujima's magic power!\Did I just hear Jellal's voice? response:	That can't be...
context: And if you don't, then no meals for a week!\Er...za...\Don't lose...\Don't lose... Erza...\I-Impossible!\You were hit with a massive amount of Tenroujima's magic power!\Did I just hear Jellal's voice?\That can't be... response:	Don't be weak... He's no longer here.
context: Er...za...\Don't lose...\Don't lose... Erza...\I-Impossible!\You were hit with a massive amount of Tenroujima's magic power!\Did I just hear Jellal's voice?\That can't be...\Don't be weak... He's no longer here. response:	Don't be misled by emotions...
context: Don't lose...\Don't lose... Erza...\I-Impossible!\You were hit with a massive amount of Tenroujima's magic power!\Did I just hear Jellal's voice?\That can't be...\Don't be weak... He's no longer here.\Don't be misled by emotions... response:	Center your mind!
context: Don't lose... Erza...\I-Impossible!\You were hit with a massive amount of Tenroujima's magic power!\Did I just hear Jellal's voice?\That can't be...\Don't be weak... He's no longer here.\Don't be misled by emotions...\Center your mind! response:	I will stand up, to protect everyone!
context: I-Impossible!\You were hit with a massive amount of Tenroujima's magic power!\Did I just hear Jellal's voice?\That can't be...\Don't be weak... He's no longer here.\Don't be misled by emotions...\Center your mind!\I will stand up, to protect everyone! response:	Frightening...
context: You were hit with a massive amount of Tenroujima's magic power!\Did I just hear Jellal's voice?\That can't be...\Don't be weak... He's no longer here.\Don't be misled by emotions...\Center your mind!\I will stand up, to protect everyone!\Frightening... response:	Do I lack the footwork?
context: Did I just hear Jellal's voice?\That can't be...\Don't be weak... He's no longer here.\Don't be misled by emotions...\Center your mind!\I will stand up, to protect everyone!\Frightening...\Do I lack the footwork? response:	I don't know whether I'll be able to win with the magic power I have.
context: That can't be...\Don't be weak... He's no longer here.\Don't be misled by emotions...\Center your mind!\I will stand up, to protect everyone!\Frightening...\Do I lack the footwork?\I don't know whether I'll be able to win with the magic power I have. response:	But the difference in weight he and I carry is great.
context: Don't be weak... He's no longer here.\Don't be misled by emotions...\Center your mind!\I will stand up, to protect everyone!\Frightening...\Do I lack the footwork?\I don't know whether I'll be able to win with the magic power I have.\But the difference in weight he and I carry is great. response:	Just as he says, right now, everyone's lives are riding on me.
context: Don't be misled by emotions...\Center your mind!\I will stand up, to protect everyone!\Frightening...\Do I lack the footwork?\I don't know whether I'll be able to win with the magic power I have.\But the difference in weight he and I carry is great.\Just as he says, right now, everyone's lives are riding on me. response:	I must protect them...
context: Center your mind!\I will stand up, to protect everyone!\Frightening...\Do I lack the footwork?\I don't know whether I'll be able to win with the magic power I have.\But the difference in weight he and I carry is great.\Just as he says, right now, everyone's lives are riding on me.\I must protect them... response:	The guild... My friends!
context: I will stand up, to protect everyone!\Frightening...\Do I lack the footwork?\I don't know whether I'll be able to win with the magic power I have.\But the difference in weight he and I carry is great.\Just as he says, right now, everyone's lives are riding on me.\I must protect them...\The guild... My friends! response:	For their sake, I will win!
context: Frightening...\Do I lack the footwork?\I don't know whether I'll be able to win with the magic power I have.\But the difference in weight he and I carry is great.\Just as he says, right now, everyone's lives are riding on me.\I must protect them...\The guild... My friends!\For their sake, I will win! response:	You're so formidable that my heart is racing!
context: Do I lack the footwork?\I don't know whether I'll be able to win with the magic power I have.\But the difference in weight he and I carry is great.\Just as he says, right now, everyone's lives are riding on me.\I must protect them...\The guild... My friends!\For their sake, I will win!\You're so formidable that my heart is racing! response:	Fairy Tail's Titania, Erza Scarlet!
context: I don't know whether I'll be able to win with the magic power I have.\But the difference in weight he and I carry is great.\Just as he says, right now, everyone's lives are riding on me.\I must protect them...\The guild... My friends!\For their sake, I will win!\You're so formidable that my heart is racing!\Fairy Tail's Titania, Erza Scarlet! response:	I am sure not to forget your name, as long as I live.
context: But the difference in weight he and I carry is great.\Just as he says, right now, everyone's lives are riding on me.\I must protect them...\The guild... My friends!\For their sake, I will win!\You're so formidable that my heart is racing!\Fairy Tail's Titania, Erza Scarlet!\I am sure not to forget your name, as long as I live. response:	Curses!
context: Just as he says, right now, everyone's lives are riding on me.\I must protect them...\The guild... My friends!\For their sake, I will win!\You're so formidable that my heart is racing!\Fairy Tail's Titania, Erza Scarlet!\I am sure not to forget your name, as long as I live.\Curses! response:	Let's name you Erza Scarlet!
context: I must protect them...\The guild... My friends!\For their sake, I will win!\You're so formidable that my heart is racing!\Fairy Tail's Titania, Erza Scarlet!\I am sure not to forget your name, as long as I live.\Curses!\Let's name you Erza Scarlet! response:	Scarlet. The color of your hair.
context: The guild... My friends!\For their sake, I will win!\You're so formidable that my heart is racing!\Fairy Tail's Titania, Erza Scarlet!\I am sure not to forget your name, as long as I live.\Curses!\Let's name you Erza Scarlet!\Scarlet. The color of your hair. response:	That way, I'll never forget.
context: For their sake, I will win!\You're so formidable that my heart is racing!\Fairy Tail's Titania, Erza Scarlet!\I am sure not to forget your name, as long as I live.\Curses!\Let's name you Erza Scarlet!\Scarlet. The color of your hair.\That way, I'll never forget. response:	Move!
context: You're so formidable that my heart is racing!\Fairy Tail's Titania, Erza Scarlet!\I am sure not to forget your name, as long as I live.\Curses!\Let's name you Erza Scarlet!\Scarlet. The color of your hair.\That way, I'll never forget.\Move! response:	It was the color of your hair.
context: Fairy Tail's Titania, Erza Scarlet!\I am sure not to forget your name, as long as I live.\Curses!\Let's name you Erza Scarlet!\Scarlet. The color of your hair.\That way, I'll never forget.\Move!\It was the color of your hair. response:	Move!!
context: I am sure not to forget your name, as long as I live.\Curses!\Let's name you Erza Scarlet!\Scarlet. The color of your hair.\That way, I'll never forget.\Move!\It was the color of your hair.\Move!! response:	This is the end!
context: Curses!\Let's name you Erza Scarlet!\Scarlet. The color of your hair.\That way, I'll never forget.\Move!\It was the color of your hair.\Move!!\This is the end! response:	Have another taste of the magic power of Tenroujima!
context: Let's name you Erza Scarlet!\Scarlet. The color of your hair.\That way, I'll never forget.\Move!\It was the color of your hair.\Move!!\This is the end!\Have another taste of the magic power of Tenroujima! response:	Terra Clamare!
context: Scarlet. The color of your hair.\That way, I'll never forget.\Move!\It was the color of your hair.\Move!!\This is the end!\Have another taste of the magic power of Tenroujima!\Terra Clamare! response:	Erza?
context: That way, I'll never forget.\Move!\It was the color of your hair.\Move!!\This is the end!\Have another taste of the magic power of Tenroujima!\Terra Clamare!\Erza? response:	Is this... the end?
context: Move!\It was the color of your hair.\Move!!\This is the end!\Have another taste of the magic power of Tenroujima!\Terra Clamare!\Erza?\Is this... the end? response:	Giving up?
context: It was the color of your hair.\Move!!\This is the end!\Have another taste of the magic power of Tenroujima!\Terra Clamare!\Erza?\Is this... the end?\Giving up? response:	Jellal...
context: Move!!\This is the end!\Have another taste of the magic power of Tenroujima!\Terra Clamare!\Erza?\Is this... the end?\Giving up?\Jellal... response:	Erza.
context: This is the end!\Have another taste of the magic power of Tenroujima!\Terra Clamare!\Erza?\Is this... the end?\Giving up?\Jellal...\Erza. response:	Everyone?
context: Have another taste of the magic power of Tenroujima!\Terra Clamare!\Erza?\Is this... the end?\Giving up?\Jellal...\Erza.\Everyone? response:	I see...
context: Terra Clamare!\Erza?\Is this... the end?\Giving up?\Jellal...\Erza.\Everyone?\I see... response:	So, that's how it is...
context: Erza?\Is this... the end?\Giving up?\Jellal...\Erza.\Everyone?\I see...\So, that's how it is... response:	I apologize.
context: Is this... the end?\Giving up?\Jellal...\Erza.\Everyone?\I see...\So, that's how it is...\I apologize. response:	I'd forgotten one crucial thing...
context: Giving up?\Jellal...\Erza.\Everyone?\I see...\So, that's how it is...\I apologize.\I'd forgotten one crucial thing... response:	I am not protecting everyone!
context: Jellal...\Erza.\Everyone?\I see...\So, that's how it is...\I apologize.\I'd forgotten one crucial thing...\I am not protecting everyone! response:	T-This is...
context: Erza.\Everyone?\I see...\So, that's how it is...\I apologize.\I'd forgotten one crucial thing...\I am not protecting everyone!\T-This is... response:	It is I... who is always... being protected!
context: Everyone?\I see...\So, that's how it is...\I apologize.\I'd forgotten one crucial thing...\I am not protecting everyone!\T-This is...\It is I... who is always... being protected! response:	Tenroujima's magic power that I should have under control is protecting Erza?
context: I see...\So, that's how it is...\I apologize.\I'd forgotten one crucial thing...\I am not protecting everyone!\T-This is...\It is I... who is always... being protected!\Tenroujima's magic power that I should have under control is protecting Erza? response:	Trust... Bonds...
context: So, that's how it is...\I apologize.\I'd forgotten one crucial thing...\I am not protecting everyone!\T-This is...\It is I... who is always... being protected!\Tenroujima's magic power that I should have under control is protecting Erza?\Trust... Bonds... response:	Her true strength...
context: I apologize.\I'd forgotten one crucial thing...\I am not protecting everyone!\T-This is...\It is I... who is always... being protected!\Tenroujima's magic power that I should have under control is protecting Erza?\Trust... Bonds...\Her true strength... response:	It is not One, but Many!
context: I'd forgotten one crucial thing...\I am not protecting everyone!\T-This is...\It is I... who is always... being protected!\Tenroujima's magic power that I should have under control is protecting Erza?\Trust... Bonds...\Her true strength...\It is not One, but Many! response:	What an amazing guild!
context: I am not protecting everyone!\T-This is...\It is I... who is always... being protected!\Tenroujima's magic power that I should have under control is protecting Erza?\Trust... Bonds...\Her true strength...\It is not One, but Many!\What an amazing guild! response:	Excellent.
context: T-This is...\It is I... who is always... being protected!\Tenroujima's magic power that I should have under control is protecting Erza?\Trust... Bonds...\Her true strength...\It is not One, but Many!\What an amazing guild!\Excellent. response:	Natsu, have you seen Gray?
context: It is I... who is always... being protected!\Tenroujima's magic power that I should have under control is protecting Erza?\Trust... Bonds...\Her true strength...\It is not One, but Many!\What an amazing guild!\Excellent.\Natsu, have you seen Gray? response:	Nope, I haven't.
context: Tenroujima's magic power that I should have under control is protecting Erza?\Trust... Bonds...\Her true strength...\It is not One, but Many!\What an amazing guild!\Excellent.\Natsu, have you seen Gray?\Nope, I haven't. response:	Now that I think about it, haven't seen Juvia either. What're they doing?
context: Trust... Bonds...\Her true strength...\It is not One, but Many!\What an amazing guild!\Excellent.\Natsu, have you seen Gray?\Nope, I haven't.\Now that I think about it, haven't seen Juvia either. What're they doing? response:	Gray and Juvia? Don't tell me...
context: Her true strength...\It is not One, but Many!\What an amazing guild!\Excellent.\Natsu, have you seen Gray?\Nope, I haven't.\Now that I think about it, haven't seen Juvia either. What're they doing?\Gray and Juvia? Don't tell me... response:	They lllike each other!
context: It is not One, but Many!\What an amazing guild!\Excellent.\Natsu, have you seen Gray?\Nope, I haven't.\Now that I think about it, haven't seen Juvia either. What're they doing?\Gray and Juvia? Don't tell me...\They lllike each other! response:	Hey, calm down a bit, it's not that exciting.
context: What an amazing guild!\Excellent.\Natsu, have you seen Gray?\Nope, I haven't.\Now that I think about it, haven't seen Juvia either. What're they doing?\Gray and Juvia? Don't tell me...\They lllike each other!\Hey, calm down a bit, it's not that exciting. response:	Next time: Frozen Spirit.
context: Excellent.\Natsu, have you seen Gray?\Nope, I haven't.\Now that I think about it, haven't seen Juvia either. What're they doing?\Gray and Juvia? Don't tell me...\They lllike each other!\Hey, calm down a bit, it's not that exciting.\Next time: Frozen Spirit. response:	And besides, wasn't Juvia with Erza?
context: Natsu, have you seen Gray?\Nope, I haven't.\Now that I think about it, haven't seen Juvia either. What're they doing?\Gray and Juvia? Don't tell me...\They lllike each other!\Hey, calm down a bit, it's not that exciting.\Next time: Frozen Spirit.\And besides, wasn't Juvia with Erza? response:	Well, that's boring.
context: Nope, I haven't.\Now that I think about it, haven't seen Juvia either. What're they doing?\Gray and Juvia? Don't tell me...\They lllike each other!\Hey, calm down a bit, it's not that exciting.\Next time: Frozen Spirit.\And besides, wasn't Juvia with Erza?\Well, that's boring. response:	What do you want to happen to Gray, exactly?
