context: Notice to Akane! I think I have a crush on Azumi-kun response:	4 Days Until the Meet
context: I don't recommend it anyway.\Why don't you try light novel-type stuff instead?\I have a feeling you could do it, Azumi-san.\I think it'd be a better way to spend your time than chasing after literature awards.\You could get your name out there easily.\There are tons of people who end up in their thirties, still trying to become writers.\You should give it a shot while you still have youth on your side.\Kumagaya Sports and Cultural Center response:	So it's just Nishio going on to the semi-finals, huh?
context: Why don't you try light novel-type stuff instead?\I have a feeling you could do it, Azumi-san.\I think it'd be a better way to spend your time than chasing after literature awards.\You could get your name out there easily.\There are tons of people who end up in their thirties, still trying to become writers.\You should give it a shot while you still have youth on your side.\Kumagaya Sports and Cultural Center\So it's just Nishio going on to the semi-finals, huh? response:	Yup.
context: I have a feeling you could do it, Azumi-san.\I think it'd be a better way to spend your time than chasing after literature awards.\You could get your name out there easily.\There are tons of people who end up in their thirties, still trying to become writers.\You should give it a shot while you still have youth on your side.\Kumagaya Sports and Cultural Center\So it's just Nishio going on to the semi-finals, huh?\Yup. response:	Nishio-senpai set a new personal best, too.
context: I think it'd be a better way to spend your time than chasing after literature awards.\You could get your name out there easily.\There are tons of people who end up in their thirties, still trying to become writers.\You should give it a shot while you still have youth on your side.\Kumagaya Sports and Cultural Center\So it's just Nishio going on to the semi-finals, huh?\Yup.\Nishio-senpai set a new personal best, too. response:	Is that so?
context: You could get your name out there easily.\There are tons of people who end up in their thirties, still trying to become writers.\You should give it a shot while you still have youth on your side.\Kumagaya Sports and Cultural Center\So it's just Nishio going on to the semi-finals, huh?\Yup.\Nishio-senpai set a new personal best, too.\Is that so? response:	Mizuno.
context: There are tons of people who end up in their thirties, still trying to become writers.\You should give it a shot while you still have youth on your side.\Kumagaya Sports and Cultural Center\So it's just Nishio going on to the semi-finals, huh?\Yup.\Nishio-senpai set a new personal best, too.\Is that so?\Mizuno. response:	What happened today?
context: You should give it a shot while you still have youth on your side.\Kumagaya Sports and Cultural Center\So it's just Nishio going on to the semi-finals, huh?\Yup.\Nishio-senpai set a new personal best, too.\Is that so?\Mizuno.\What happened today? response:	You weren't focused at all, were you?
context: Kumagaya Sports and Cultural Center\So it's just Nishio going on to the semi-finals, huh?\Yup.\Nishio-senpai set a new personal best, too.\Is that so?\Mizuno.\What happened today?\You weren't focused at all, were you? response:	I was sure you could make it to prefecturals.
context: So it's just Nishio going on to the semi-finals, huh?\Yup.\Nishio-senpai set a new personal best, too.\Is that so?\Mizuno.\What happened today?\You weren't focused at all, were you?\I was sure you could make it to prefecturals. response:	Your time was actually worse than last year.
context: Yup.\Nishio-senpai set a new personal best, too.\Is that so?\Mizuno.\What happened today?\You weren't focused at all, were you?\I was sure you could make it to prefecturals.\Your time was actually worse than last year. response:	Come on, Mizuno...
context: Nishio-senpai set a new personal best, too.\Is that so?\Mizuno.\What happened today?\You weren't focused at all, were you?\I was sure you could make it to prefecturals.\Your time was actually worse than last year.\Come on, Mizuno... response:	You can do better.
context: Is that so?\Mizuno.\What happened today?\You weren't focused at all, were you?\I was sure you could make it to prefecturals.\Your time was actually worse than last year.\Come on, Mizuno...\You can do better. response:	I like watching you.
context: Mizuno.\What happened today?\You weren't focused at all, were you?\I was sure you could make it to prefecturals.\Your time was actually worse than last year.\Come on, Mizuno...\You can do better.\I like watching you. response:	You really look like you're having fun when you're running.
context: What happened today?\You weren't focused at all, were you?\I was sure you could make it to prefecturals.\Your time was actually worse than last year.\Come on, Mizuno...\You can do better.\I like watching you.\You really look like you're having fun when you're running. response:	I'm home.
context: You weren't focused at all, were you?\I was sure you could make it to prefecturals.\Your time was actually worse than last year.\Come on, Mizuno...\You can do better.\I like watching you.\You really look like you're having fun when you're running.\I'm home. response:	Kotarou.
context: I was sure you could make it to prefecturals.\Your time was actually worse than last year.\Come on, Mizuno...\You can do better.\I like watching you.\You really look like you're having fun when you're running.\I'm home.\Kotarou. response:	Your father told me what happened.
context: Your time was actually worse than last year.\Come on, Mizuno...\You can do better.\I like watching you.\You really look like you're having fun when you're running.\I'm home.\Kotarou.\Your father told me what happened. response:	A publisher called you?
context: Come on, Mizuno...\You can do better.\I like watching you.\You really look like you're having fun when you're running.\I'm home.\Kotarou.\Your father told me what happened.\A publisher called you? response:	Don't be like that.
context: You can do better.\I like watching you.\You really look like you're having fun when you're running.\I'm home.\Kotarou.\Your father told me what happened.\A publisher called you?\Don't be like that. response:	Like I said, you ought to hear him out a little more.
context: I like watching you.\You really look like you're having fun when you're running.\I'm home.\Kotarou.\Your father told me what happened.\A publisher called you?\Don't be like that.\Like I said, you ought to hear him out a little more. response:	He doesn't realize the urgency of his situation because you talk like that!
context: You really look like you're having fun when you're running.\I'm home.\Kotarou.\Your father told me what happened.\A publisher called you?\Don't be like that.\Like I said, you ought to hear him out a little more.\He doesn't realize the urgency of his situation because you talk like that! response:	The festival is one thing, but nothing good can come of writing.
context: I'm home.\Kotarou.\Your father told me what happened.\A publisher called you?\Don't be like that.\Like I said, you ought to hear him out a little more.\He doesn't realize the urgency of his situation because you talk like that!\The festival is one thing, but nothing good can come of writing. response:	Stop that.
context: Kotarou.\Your father told me what happened.\A publisher called you?\Don't be like that.\Like I said, you ought to hear him out a little more.\He doesn't realize the urgency of his situation because you talk like that!\The festival is one thing, but nothing good can come of writing.\Stop that. response:	Yeah, huh...
context: Your father told me what happened.\A publisher called you?\Don't be like that.\Like I said, you ought to hear him out a little more.\He doesn't realize the urgency of his situation because you talk like that!\The festival is one thing, but nothing good can come of writing.\Stop that.\Yeah, huh... response:	Well, there are plenty of races left.
context: A publisher called you?\Don't be like that.\Like I said, you ought to hear him out a little more.\He doesn't realize the urgency of his situation because you talk like that!\The festival is one thing, but nothing good can come of writing.\Stop that.\Yeah, huh...\Well, there are plenty of races left. response:	Right?
context: Don't be like that.\Like I said, you ought to hear him out a little more.\He doesn't realize the urgency of his situation because you talk like that!\The festival is one thing, but nothing good can come of writing.\Stop that.\Yeah, huh...\Well, there are plenty of races left.\Right? response:	Yeah, yeah. That's right.
context: Like I said, you ought to hear him out a little more.\He doesn't realize the urgency of his situation because you talk like that!\The festival is one thing, but nothing good can come of writing.\Stop that.\Yeah, huh...\Well, there are plenty of races left.\Right?\Yeah, yeah. That's right. response:	Yeah is all you've been saying.
context: He doesn't realize the urgency of his situation because you talk like that!\The festival is one thing, but nothing good can come of writing.\Stop that.\Yeah, huh...\Well, there are plenty of races left.\Right?\Yeah, yeah. That's right.\Yeah is all you've been saying. response:	Oh, yeah?
context: The festival is one thing, but nothing good can come of writing.\Stop that.\Yeah, huh...\Well, there are plenty of races left.\Right?\Yeah, yeah. That's right.\Yeah is all you've been saying.\Oh, yeah? response:	Er...
context: Stop that.\Yeah, huh...\Well, there are plenty of races left.\Right?\Yeah, yeah. That's right.\Yeah is all you've been saying.\Oh, yeah?\Er... response:	I'm going back to my room.
context: Yeah, huh...\Well, there are plenty of races left.\Right?\Yeah, yeah. That's right.\Yeah is all you've been saying.\Oh, yeah?\Er...\I'm going back to my room. response:	You got this.
context: Well, there are plenty of races left.\Right?\Yeah, yeah. That's right.\Yeah is all you've been saying.\Oh, yeah?\Er...\I'm going back to my room.\You got this. response:	Aye.
context: Right?\Yeah, yeah. That's right.\Yeah is all you've been saying.\Oh, yeah?\Er...\I'm going back to my room.\You got this.\Aye. response:	This sucks.
context: Yeah, yeah. That's right.\Yeah is all you've been saying.\Oh, yeah?\Er...\I'm going back to my room.\You got this.\Aye.\This sucks. response:	My time was terrible.
context: Yeah is all you've been saying.\Oh, yeah?\Er...\I'm going back to my room.\You got this.\Aye.\This sucks.\My time was terrible. response:	Because of your relationship?
context: Oh, yeah?\Er...\I'm going back to my room.\You got this.\Aye.\This sucks.\My time was terrible.\Because of your relationship? response:	You know what they say.
context: Er...\I'm going back to my room.\You got this.\Aye.\This sucks.\My time was terrible.\Because of your relationship?\You know what they say. response:	You can't keep up both at once, and you end up losing both.
context: I'm going back to my room.\You got this.\Aye.\This sucks.\My time was terrible.\Because of your relationship?\You know what they say.\You can't keep up both at once, and you end up losing both. response:	No.
context: You got this.\Aye.\This sucks.\My time was terrible.\Because of your relationship?\You know what they say.\You can't keep up both at once, and you end up losing both.\No. response:	I just couldn't focus on the race.
context: Aye.\This sucks.\My time was terrible.\Because of your relationship?\You know what they say.\You can't keep up both at once, and you end up losing both.\No.\I just couldn't focus on the race. response:	Yeah?
context: This sucks.\My time was terrible.\Because of your relationship?\You know what they say.\You can't keep up both at once, and you end up losing both.\No.\I just couldn't focus on the race.\Yeah? response:	Actually, my best friend told me...
context: My time was terrible.\Because of your relationship?\You know what they say.\You can't keep up both at once, and you end up losing both.\No.\I just couldn't focus on the race.\Yeah?\Actually, my best friend told me... response:	Uh-huh.
context: Because of your relationship?\You know what they say.\You can't keep up both at once, and you end up losing both.\No.\I just couldn't focus on the race.\Yeah?\Actually, my best friend told me...\Uh-huh. response:	That she likes the same guy.
context: You know what they say.\You can't keep up both at once, and you end up losing both.\No.\I just couldn't focus on the race.\Yeah?\Actually, my best friend told me...\Uh-huh.\That she likes the same guy. response:	What?!
context: You can't keep up both at once, and you end up losing both.\No.\I just couldn't focus on the race.\Yeah?\Actually, my best friend told me...\Uh-huh.\That she likes the same guy.\What?! response:	What should I do?
context: No.\I just couldn't focus on the race.\Yeah?\Actually, my best friend told me...\Uh-huh.\That she likes the same guy.\What?!\What should I do? response:	Nope, nope, nope!
context: I just couldn't focus on the race.\Yeah?\Actually, my best friend told me...\Uh-huh.\That she likes the same guy.\What?!\What should I do?\Nope, nope, nope! response:	You have to ditch her, duh!
context: Yeah?\Actually, my best friend told me...\Uh-huh.\That she likes the same guy.\What?!\What should I do?\Nope, nope, nope!\You have to ditch her, duh! response:	No way.
context: Actually, my best friend told me...\Uh-huh.\That she likes the same guy.\What?!\What should I do?\Nope, nope, nope!\You have to ditch her, duh!\No way. response:	Why not?
context: Uh-huh.\That she likes the same guy.\What?!\What should I do?\Nope, nope, nope!\You have to ditch her, duh!\No way.\Why not? response:	Because... my friends are important, too.
context: That she likes the same guy.\What?!\What should I do?\Nope, nope, nope!\You have to ditch her, duh!\No way.\Why not?\Because... my friends are important, too. response:	I seriously don't get it.
context: What?!\What should I do?\Nope, nope, nope!\You have to ditch her, duh!\No way.\Why not?\Because... my friends are important, too.\I seriously don't get it. response:	Are you sure you can stay friends with her?
context: What should I do?\Nope, nope, nope!\You have to ditch her, duh!\No way.\Why not?\Because... my friends are important, too.\I seriously don't get it.\Are you sure you can stay friends with her? response:	I miss you
context: Nope, nope, nope!\You have to ditch her, duh!\No way.\Why not?\Because... my friends are important, too.\I seriously don't get it.\Are you sure you can stay friends with her?\I miss you response:	Me too
context: You have to ditch her, duh!\No way.\Why not?\Because... my friends are important, too.\I seriously don't get it.\Are you sure you can stay friends with her?\I miss you\Me too response:	Yeah?
context: No way.\Why not?\Because... my friends are important, too.\I seriously don't get it.\Are you sure you can stay friends with her?\I miss you\Me too\Yeah? response:	Yeah.
context: Why not?\Because... my friends are important, too.\I seriously don't get it.\Are you sure you can stay friends with her?\I miss you\Me too\Yeah?\Yeah. response:	I didn't make it.
context: Because... my friends are important, too.\I seriously don't get it.\Are you sure you can stay friends with her?\I miss you\Me too\Yeah?\Yeah.\I didn't make it. response:	What about you?
context: I seriously don't get it.\Are you sure you can stay friends with her?\I miss you\Me too\Yeah?\Yeah.\I didn't make it.\What about you? response:	Me neither.
context: Are you sure you can stay friends with her?\I miss you\Me too\Yeah?\Yeah.\I didn't make it.\What about you?\Me neither. response:	I see...
context: I miss you\Me too\Yeah?\Yeah.\I didn't make it.\What about you?\Me neither.\I see... response:	I want to focus on track.
context: Me too\Yeah?\Yeah.\I didn't make it.\What about you?\Me neither.\I see...\I want to focus on track. response:	You are.
context: Yeah?\Yeah.\I didn't make it.\What about you?\Me neither.\I see...\I want to focus on track.\You are. response:	More.
context: Yeah.\I didn't make it.\What about you?\Me neither.\I see...\I want to focus on track.\You are.\More. response:	I'm going to do more.
context: I didn't make it.\What about you?\Me neither.\I see...\I want to focus on track.\You are.\More.\I'm going to do more. response:	I love it.
context: What about you?\Me neither.\I see...\I want to focus on track.\You are.\More.\I'm going to do more.\I love it. response:	I'm going to do it seriously.
context: Me neither.\I see...\I want to focus on track.\You are.\More.\I'm going to do more.\I love it.\I'm going to do it seriously. response:	Me, too.
context: I see...\I want to focus on track.\You are.\More.\I'm going to do more.\I love it.\I'm going to do it seriously.\Me, too. response:	I'm going to go further.
context: I want to focus on track.\You are.\More.\I'm going to do more.\I love it.\I'm going to do it seriously.\Me, too.\I'm going to go further. response:	We promised.
context: You are.\More.\I'm going to do more.\I love it.\I'm going to do it seriously.\Me, too.\I'm going to go further.\We promised. response:	Yeah.
context: More.\I'm going to do more.\I love it.\I'm going to do it seriously.\Me, too.\I'm going to go further.\We promised.\Yeah. response:	Schoolgirl Dazai Osamu
context: I'm going to do more.\I love it.\I'm going to do it seriously.\Me, too.\I'm going to go further.\We promised.\Yeah.\Schoolgirl Dazai Osamu response:	I wanted to talk to you properly.
context: I love it.\I'm going to do it seriously.\Me, too.\I'm going to go further.\We promised.\Yeah.\Schoolgirl Dazai Osamu\I wanted to talk to you properly. response:	Yeah.
context: I'm going to do it seriously.\Me, too.\I'm going to go further.\We promised.\Yeah.\Schoolgirl Dazai Osamu\I wanted to talk to you properly.\Yeah. response:	Sorry I didn't tell you we were dating.
context: Me, too.\I'm going to go further.\We promised.\Yeah.\Schoolgirl Dazai Osamu\I wanted to talk to you properly.\Yeah.\Sorry I didn't tell you we were dating. response:	And I'm sorry I fell for him.
context: I'm going to go further.\We promised.\Yeah.\Schoolgirl Dazai Osamu\I wanted to talk to you properly.\Yeah.\Sorry I didn't tell you we were dating.\And I'm sorry I fell for him. response:	Are you angry, Akane?
context: We promised.\Yeah.\Schoolgirl Dazai Osamu\I wanted to talk to you properly.\Yeah.\Sorry I didn't tell you we were dating.\And I'm sorry I fell for him.\Are you angry, Akane? response:	No.
context: Yeah.\Schoolgirl Dazai Osamu\I wanted to talk to you properly.\Yeah.\Sorry I didn't tell you we were dating.\And I'm sorry I fell for him.\Are you angry, Akane?\No. response:	Thank goodness.
context: Schoolgirl Dazai Osamu\I wanted to talk to you properly.\Yeah.\Sorry I didn't tell you we were dating.\And I'm sorry I fell for him.\Are you angry, Akane?\No.\Thank goodness. response:	The truth is...
context: I wanted to talk to you properly.\Yeah.\Sorry I didn't tell you we were dating.\And I'm sorry I fell for him.\Are you angry, Akane?\No.\Thank goodness.\The truth is... response:	Yeah.
context: Yeah.\Sorry I didn't tell you we were dating.\And I'm sorry I fell for him.\Are you angry, Akane?\No.\Thank goodness.\The truth is...\Yeah. response:	I don't know what to do.
context: Sorry I didn't tell you we were dating.\And I'm sorry I fell for him.\Are you angry, Akane?\No.\Thank goodness.\The truth is...\Yeah.\I don't know what to do. response:	Yeah.
context: And I'm sorry I fell for him.\Are you angry, Akane?\No.\Thank goodness.\The truth is...\Yeah.\I don't know what to do.\Yeah. response:	But... we're friends.
context: Are you angry, Akane?\No.\Thank goodness.\The truth is...\Yeah.\I don't know what to do.\Yeah.\But... we're friends. response:	Thanks, Akane.
context: No.\Thank goodness.\The truth is...\Yeah.\I don't know what to do.\Yeah.\But... we're friends.\Thanks, Akane. response:	Can I confess to him?
context: Thank goodness.\The truth is...\Yeah.\I don't know what to do.\Yeah.\But... we're friends.\Thanks, Akane.\Can I confess to him? response:	I want proper closure.
context: The truth is...\Yeah.\I don't know what to do.\Yeah.\But... we're friends.\Thanks, Akane.\Can I confess to him?\I want proper closure. response:	Run, Melos!
context: Yeah.\I don't know what to do.\Yeah.\But... we're friends.\Thanks, Akane.\Can I confess to him?\I want proper closure.\Run, Melos! response:	Sakura's Fantasies 1
context: I don't know what to do.\Yeah.\But... we're friends.\Thanks, Akane.\Can I confess to him?\I want proper closure.\Run, Melos!\Sakura's Fantasies 1 response:	Tanaka-san!
context: Yeah.\But... we're friends.\Thanks, Akane.\Can I confess to him?\I want proper closure.\Run, Melos!\Sakura's Fantasies 1\Tanaka-san! response:	Please...
context: But... we're friends.\Thanks, Akane.\Can I confess to him?\I want proper closure.\Run, Melos!\Sakura's Fantasies 1\Tanaka-san!\Please... response:	Someone you like
context: Thanks, Akane.\Can I confess to him?\I want proper closure.\Run, Melos!\Sakura's Fantasies 1\Tanaka-san!\Please...\Someone you like response:	Hold it! I'm the one who likes her!
context: Can I confess to him?\I want proper closure.\Run, Melos!\Sakura's Fantasies 1\Tanaka-san!\Please...\Someone you like\Hold it! I'm the one who likes her! response:	Nope, she's all mine!
context: I want proper closure.\Run, Melos!\Sakura's Fantasies 1\Tanaka-san!\Please...\Someone you like\Hold it! I'm the one who likes her!\Nope, she's all mine! response:	She's mine!
context: Run, Melos!\Sakura's Fantasies 1\Tanaka-san!\Please...\Someone you like\Hold it! I'm the one who likes her!\Nope, she's all mine!\She's mine! response:	Mine!
context: Sakura's Fantasies 1\Tanaka-san!\Please...\Someone you like\Hold it! I'm the one who likes her!\Nope, she's all mine!\She's mine!\Mine! response:	Stop fighting!
context: Tanaka-san!\Please...\Someone you like\Hold it! I'm the one who likes her!\Nope, she's all mine!\She's mine!\Mine!\Stop fighting! response:	Don't fight over me.
context: Please...\Someone you like\Hold it! I'm the one who likes her!\Nope, she's all mine!\She's mine!\Mine!\Stop fighting!\Don't fight over me. response:	Come on, hurry up.
context: Someone you like\Hold it! I'm the one who likes her!\Nope, she's all mine!\She's mine!\Mine!\Stop fighting!\Don't fight over me.\Come on, hurry up. response:	Glasses
context: Hold it! I'm the one who likes her!\Nope, she's all mine!\She's mine!\Mine!\Stop fighting!\Don't fight over me.\Come on, hurry up.\Glasses response:	Just give them to me, damn it.
context: Nope, she's all mine!\She's mine!\Mine!\Stop fighting!\Don't fight over me.\Come on, hurry up.\Glasses\Just give them to me, damn it. response:	All mine? Gross.
context: She's mine!\Mine!\Stop fighting!\Don't fight over me.\Come on, hurry up.\Glasses\Just give them to me, damn it.\All mine? Gross. response:	Miu and Inaba 3
context: Mine!\Stop fighting!\Don't fight over me.\Come on, hurry up.\Glasses\Just give them to me, damn it.\All mine? Gross.\Miu and Inaba 3 response:	Hey, what do you like about me?
context: Stop fighting!\Don't fight over me.\Come on, hurry up.\Glasses\Just give them to me, damn it.\All mine? Gross.\Miu and Inaba 3\Hey, what do you like about me? response:	Everything, I guess.
context: Don't fight over me.\Come on, hurry up.\Glasses\Just give them to me, damn it.\All mine? Gross.\Miu and Inaba 3\Hey, what do you like about me?\Everything, I guess. response:	Ryouko-sensei's so cute, don't you think?
context: Come on, hurry up.\Glasses\Just give them to me, damn it.\All mine? Gross.\Miu and Inaba 3\Hey, what do you like about me?\Everything, I guess.\Ryouko-sensei's so cute, don't you think? response:	Huh?
context: Glasses\Just give them to me, damn it.\All mine? Gross.\Miu and Inaba 3\Hey, what do you like about me?\Everything, I guess.\Ryouko-sensei's so cute, don't you think?\Huh? response:	No way.
context: Just give them to me, damn it.\All mine? Gross.\Miu and Inaba 3\Hey, what do you like about me?\Everything, I guess.\Ryouko-sensei's so cute, don't you think?\Huh?\No way. response:	Try to guess what I want for my birthday.
context: All mine? Gross.\Miu and Inaba 3\Hey, what do you like about me?\Everything, I guess.\Ryouko-sensei's so cute, don't you think?\Huh?\No way.\Try to guess what I want for my birthday. response:	Let me guess... A bear?
context: Miu and Inaba 3\Hey, what do you like about me?\Everything, I guess.\Ryouko-sensei's so cute, don't you think?\Huh?\No way.\Try to guess what I want for my birthday.\Let me guess... A bear? response:	But just last week,
context: Hey, what do you like about me?\Everything, I guess.\Ryouko-sensei's so cute, don't you think?\Huh?\No way.\Try to guess what I want for my birthday.\Let me guess... A bear?\But just last week, response:	she was staring at that stuffed teddy...
context: Everything, I guess.\Ryouko-sensei's so cute, don't you think?\Huh?\No way.\Try to guess what I want for my birthday.\Let me guess... A bear?\But just last week,\she was staring at that stuffed teddy... response:	That's what it was?
context: Ryouko-sensei's so cute, don't you think?\Huh?\No way.\Try to guess what I want for my birthday.\Let me guess... A bear?\But just last week,\she was staring at that stuffed teddy...\That's what it was? response:	Ryouko-sensei and Roman 4
context: Huh?\No way.\Try to guess what I want for my birthday.\Let me guess... A bear?\But just last week,\she was staring at that stuffed teddy...\That's what it was?\Ryouko-sensei and Roman 4 response:	Not that I have any plans, but...
context: No way.\Try to guess what I want for my birthday.\Let me guess... A bear?\But just last week,\she was staring at that stuffed teddy...\That's what it was?\Ryouko-sensei and Roman 4\Not that I have any plans, but... response:	Hey, Ryouko-sensei.
context: Try to guess what I want for my birthday.\Let me guess... A bear?\But just last week,\she was staring at that stuffed teddy...\That's what it was?\Ryouko-sensei and Roman 4\Not that I have any plans, but...\Hey, Ryouko-sensei. response:	Oh, uh, I was just...
context: Let me guess... A bear?\But just last week,\she was staring at that stuffed teddy...\That's what it was?\Ryouko-sensei and Roman 4\Not that I have any plans, but...\Hey, Ryouko-sensei.\Oh, uh, I was just... response:	I think you'd look good in a dress.
context: But just last week,\she was staring at that stuffed teddy...\That's what it was?\Ryouko-sensei and Roman 4\Not that I have any plans, but...\Hey, Ryouko-sensei.\Oh, uh, I was just...\I think you'd look good in a dress. response:	I bet you'd look cute.
context: she was staring at that stuffed teddy...\That's what it was?\Ryouko-sensei and Roman 4\Not that I have any plans, but...\Hey, Ryouko-sensei.\Oh, uh, I was just...\I think you'd look good in a dress.\I bet you'd look cute. response:	That'll be 500 yen.
context: That's what it was?\Ryouko-sensei and Roman 4\Not that I have any plans, but...\Hey, Ryouko-sensei.\Oh, uh, I was just...\I think you'd look good in a dress.\I bet you'd look cute.\That'll be 500 yen. response:	Miu and Inaba 4
context: Ryouko-sensei and Roman 4\Not that I have any plans, but...\Hey, Ryouko-sensei.\Oh, uh, I was just...\I think you'd look good in a dress.\I bet you'd look cute.\That'll be 500 yen.\Miu and Inaba 4 response:	Hey, let's get a picture.
context: Not that I have any plans, but...\Hey, Ryouko-sensei.\Oh, uh, I was just...\I think you'd look good in a dress.\I bet you'd look cute.\That'll be 500 yen.\Miu and Inaba 4\Hey, let's get a picture. response:	Sure.
context: Hey, Ryouko-sensei.\Oh, uh, I was just...\I think you'd look good in a dress.\I bet you'd look cute.\That'll be 500 yen.\Miu and Inaba 4\Hey, let's get a picture.\Sure. response:	Okay, here we go.
context: Oh, uh, I was just...\I think you'd look good in a dress.\I bet you'd look cute.\That'll be 500 yen.\Miu and Inaba 4\Hey, let's get a picture.\Sure.\Okay, here we go. response:	Wait, sorry. From a little higher.
context: I think you'd look good in a dress.\I bet you'd look cute.\That'll be 500 yen.\Miu and Inaba 4\Hey, let's get a picture.\Sure.\Okay, here we go.\Wait, sorry. From a little higher. response:	Like this?
context: I bet you'd look cute.\That'll be 500 yen.\Miu and Inaba 4\Hey, let's get a picture.\Sure.\Okay, here we go.\Wait, sorry. From a little higher.\Like this? response:	No, I look ugly from that angle.
context: That'll be 500 yen.\Miu and Inaba 4\Hey, let's get a picture.\Sure.\Okay, here we go.\Wait, sorry. From a little higher.\Like this?\No, I look ugly from that angle. response:	A little more to the right.
context: Miu and Inaba 4\Hey, let's get a picture.\Sure.\Okay, here we go.\Wait, sorry. From a little higher.\Like this?\No, I look ugly from that angle.\A little more to the right. response:	Like this?
context: Hey, let's get a picture.\Sure.\Okay, here we go.\Wait, sorry. From a little higher.\Like this?\No, I look ugly from that angle.\A little more to the right.\Like this? response:	That's it.
context: Sure.\Okay, here we go.\Wait, sorry. From a little higher.\Like this?\No, I look ugly from that angle.\A little more to the right.\Like this?\That's it. response:	From that angle, like this, with a matching pose.
context: Okay, here we go.\Wait, sorry. From a little higher.\Like this?\No, I look ugly from that angle.\A little more to the right.\Like this?\That's it.\From that angle, like this, with a matching pose. response:	Can you try it?
context: Wait, sorry. From a little higher.\Like this?\No, I look ugly from that angle.\A little more to the right.\Like this?\That's it.\From that angle, like this, with a matching pose.\Can you try it? response:	Okay.
context: Like this?\No, I look ugly from that angle.\A little more to the right.\Like this?\That's it.\From that angle, like this, with a matching pose.\Can you try it?\Okay. response:	Oh, and the expression is important, too.
context: No, I look ugly from that angle.\A little more to the right.\Like this?\That's it.\From that angle, like this, with a matching pose.\Can you try it?\Okay.\Oh, and the expression is important, too. response:	Don't take the picture until I say it's okay, no matter what.
context: A little more to the right.\Like this?\That's it.\From that angle, like this, with a matching pose.\Can you try it?\Okay.\Oh, and the expression is important, too.\Don't take the picture until I say it's okay, no matter what. response:	Okay.
context: Like this?\That's it.\From that angle, like this, with a matching pose.\Can you try it?\Okay.\Oh, and the expression is important, too.\Don't take the picture until I say it's okay, no matter what.\Okay. response:	Here I go.
context: That's it.\From that angle, like this, with a matching pose.\Can you try it?\Okay.\Oh, and the expression is important, too.\Don't take the picture until I say it's okay, no matter what.\Okay.\Here I go. response:	Ew! I can't post it on my feed with me looking like this!
context: From that angle, like this, with a matching pose.\Can you try it?\Okay.\Oh, and the expression is important, too.\Don't take the picture until I say it's okay, no matter what.\Okay.\Here I go.\Ew! I can't post it on my feed with me looking like this! response:	Let's try again, from the beginning.
context: Can you try it?\Okay.\Oh, and the expression is important, too.\Don't take the picture until I say it's okay, no matter what.\Okay.\Here I go.\Ew! I can't post it on my feed with me looking like this!\Let's try again, from the beginning. response:	Maybe the angle's too high.
context: Okay.\Oh, and the expression is important, too.\Don't take the picture until I say it's okay, no matter what.\Okay.\Here I go.\Ew! I can't post it on my feed with me looking like this!\Let's try again, from the beginning.\Maybe the angle's too high. response:	What a pain...
context: Oh, and the expression is important, too.\Don't take the picture until I say it's okay, no matter what.\Okay.\Here I go.\Ew! I can't post it on my feed with me looking like this!\Let's try again, from the beginning.\Maybe the angle's too high.\What a pain... response:	I might have overdone it.
