context: What was that? response:	Kawachi
context: You get some sleep over there, too.\I'm fine...\Look at that mug...\All right, everyone...\Please make your final farewells.\Rest in peace.\Big brother...\Grandpa... response:	I'll see you soon.
context: I'm fine...\Look at that mug...\All right, everyone...\Please make your final farewells.\Rest in peace.\Big brother...\Grandpa...\I'll see you soon. response:	Come along, Reina.
context: Look at that mug...\All right, everyone...\Please make your final farewells.\Rest in peace.\Big brother...\Grandpa...\I'll see you soon.\Come along, Reina. response:	Okay!
context: All right, everyone...\Please make your final farewells.\Rest in peace.\Big brother...\Grandpa...\I'll see you soon.\Come along, Reina.\Okay! response:	It's time to say goodbye to Grandpa.
context: Please make your final farewells.\Rest in peace.\Big brother...\Grandpa...\I'll see you soon.\Come along, Reina.\Okay!\It's time to say goodbye to Grandpa. response:	Okay.
context: Rest in peace.\Big brother...\Grandpa...\I'll see you soon.\Come along, Reina.\Okay!\It's time to say goodbye to Grandpa.\Okay. response:	A field of flowers!
context: Big brother...\Grandpa...\I'll see you soon.\Come along, Reina.\Okay!\It's time to say goodbye to Grandpa.\Okay.\A field of flowers! response:	Stop it!
context: Grandpa...\I'll see you soon.\Come along, Reina.\Okay!\It's time to say goodbye to Grandpa.\Okay.\A field of flowers!\Stop it! response:	No! I'm making a field of flowers!
context: I'll see you soon.\Come along, Reina.\Okay!\It's time to say goodbye to Grandpa.\Okay.\A field of flowers!\Stop it!\No! I'm making a field of flowers! response:	I wanna make it!
context: Come along, Reina.\Okay!\It's time to say goodbye to Grandpa.\Okay.\A field of flowers!\Stop it!\No! I'm making a field of flowers!\I wanna make it! response:	You, too, come over here and say goodbye.
context: Okay!\It's time to say goodbye to Grandpa.\Okay.\A field of flowers!\Stop it!\No! I'm making a field of flowers!\I wanna make it!\You, too, come over here and say goodbye. response:	You place these on Grandpa.
context: It's time to say goodbye to Grandpa.\Okay.\A field of flowers!\Stop it!\No! I'm making a field of flowers!\I wanna make it!\You, too, come over here and say goodbye.\You place these on Grandpa. response:	Hey!
context: Okay.\A field of flowers!\Stop it!\No! I'm making a field of flowers!\I wanna make it!\You, too, come over here and say goodbye.\You place these on Grandpa.\Hey! response:	Rindou...
context: A field of flowers!\Stop it!\No! I'm making a field of flowers!\I wanna make it!\You, too, come over here and say goodbye.\You place these on Grandpa.\Hey!\Rindou... response:	Grandpa loved that flower...
context: Stop it!\No! I'm making a field of flowers!\I wanna make it!\You, too, come over here and say goodbye.\You place these on Grandpa.\Hey!\Rindou...\Grandpa loved that flower... response:	That flower makes Grandpa the happiest.
context: No! I'm making a field of flowers!\I wanna make it!\You, too, come over here and say goodbye.\You place these on Grandpa.\Hey!\Rindou...\Grandpa loved that flower...\That flower makes Grandpa the happiest. response:	He's not going to wake up again?
context: I wanna make it!\You, too, come over here and say goodbye.\You place these on Grandpa.\Hey!\Rindou...\Grandpa loved that flower...\That flower makes Grandpa the happiest.\He's not going to wake up again? response:	No. He's not going to wake up.
context: You, too, come over here and say goodbye.\You place these on Grandpa.\Hey!\Rindou...\Grandpa loved that flower...\That flower makes Grandpa the happiest.\He's not going to wake up again?\No. He's not going to wake up. response:	You really are Grandpa's child, aren't you?
context: You place these on Grandpa.\Hey!\Rindou...\Grandpa loved that flower...\That flower makes Grandpa the happiest.\He's not going to wake up again?\No. He's not going to wake up.\You really are Grandpa's child, aren't you? response:	Where did this Yoshii Masako go?
context: Hey!\Rindou...\Grandpa loved that flower...\That flower makes Grandpa the happiest.\He's not going to wake up again?\No. He's not going to wake up.\You really are Grandpa's child, aren't you?\Where did this Yoshii Masako go? response:	I don't think any good would come of finding the person
context: Rindou...\Grandpa loved that flower...\That flower makes Grandpa the happiest.\He's not going to wake up again?\No. He's not going to wake up.\You really are Grandpa's child, aren't you?\Where did this Yoshii Masako go?\I don't think any good would come of finding the person response:	who abandoned her child and ran away.
context: Grandpa loved that flower...\That flower makes Grandpa the happiest.\He's not going to wake up again?\No. He's not going to wake up.\You really are Grandpa's child, aren't you?\Where did this Yoshii Masako go?\I don't think any good would come of finding the person\who abandoned her child and ran away. response:	How utterly irresponsible!
context: That flower makes Grandpa the happiest.\He's not going to wake up again?\No. He's not going to wake up.\You really are Grandpa's child, aren't you?\Where did this Yoshii Masako go?\I don't think any good would come of finding the person\who abandoned her child and ran away.\How utterly irresponsible! response:	My big brother too was stubborn about it...
context: He's not going to wake up again?\No. He's not going to wake up.\You really are Grandpa's child, aren't you?\Where did this Yoshii Masako go?\I don't think any good would come of finding the person\who abandoned her child and ran away.\How utterly irresponsible!\My big brother too was stubborn about it... response:	Watch it!
context: No. He's not going to wake up.\You really are Grandpa's child, aren't you?\Where did this Yoshii Masako go?\I don't think any good would come of finding the person\who abandoned her child and ran away.\How utterly irresponsible!\My big brother too was stubborn about it...\Watch it! response:	That girl can't talk!
context: You really are Grandpa's child, aren't you?\Where did this Yoshii Masako go?\I don't think any good would come of finding the person\who abandoned her child and ran away.\How utterly irresponsible!\My big brother too was stubborn about it...\Watch it!\That girl can't talk! response:	It's a headache!
context: Where did this Yoshii Masako go?\I don't think any good would come of finding the person\who abandoned her child and ran away.\How utterly irresponsible!\My big brother too was stubborn about it...\Watch it!\That girl can't talk!\It's a headache! response:	And she still has all of her baby teeth!
context: I don't think any good would come of finding the person\who abandoned her child and ran away.\How utterly irresponsible!\My big brother too was stubborn about it...\Watch it!\That girl can't talk!\It's a headache!\And she still has all of her baby teeth! response:	She can talk!
context: who abandoned her child and ran away.\How utterly irresponsible!\My big brother too was stubborn about it...\Watch it!\That girl can't talk!\It's a headache!\And she still has all of her baby teeth!\She can talk! response:	And she's not a headache!
context: How utterly irresponsible!\My big brother too was stubborn about it...\Watch it!\That girl can't talk!\It's a headache!\And she still has all of her baby teeth!\She can talk!\And she's not a headache! response:	She can not talk!
context: My big brother too was stubborn about it...\Watch it!\That girl can't talk!\It's a headache!\And she still has all of her baby teeth!\She can talk!\And she's not a headache!\She can not talk! response:	That's why it's so boring being with her!
context: Watch it!\That girl can't talk!\It's a headache!\And she still has all of her baby teeth!\She can talk!\And she's not a headache!\She can not talk!\That's why it's so boring being with her! response:	Here! You can have all these if you go away!
context: That girl can't talk!\It's a headache!\And she still has all of her baby teeth!\She can talk!\And she's not a headache!\She can not talk!\That's why it's so boring being with her!\Here! You can have all these if you go away! response:	You're like a candy shop owner!
context: It's a headache!\And she still has all of her baby teeth!\She can talk!\And she's not a headache!\She can not talk!\That's why it's so boring being with her!\Here! You can have all these if you go away!\You're like a candy shop owner! response:	Sorry, Dai-chan.
context: And she still has all of her baby teeth!\She can talk!\And she's not a headache!\She can not talk!\That's why it's so boring being with her!\Here! You can have all these if you go away!\You're like a candy shop owner!\Sorry, Dai-chan. response:	Setting aside the matter of future plans,
context: She can talk!\And she's not a headache!\She can not talk!\That's why it's so boring being with her!\Here! You can have all these if you go away!\You're like a candy shop owner!\Sorry, Dai-chan.\Setting aside the matter of future plans, response:	who's going to take care of that child right now?
context: And she's not a headache!\She can not talk!\That's why it's so boring being with her!\Here! You can have all these if you go away!\You're like a candy shop owner!\Sorry, Dai-chan.\Setting aside the matter of future plans,\who's going to take care of that child right now? response:	Well, I can't.
context: She can not talk!\That's why it's so boring being with her!\Here! You can have all these if you go away!\You're like a candy shop owner!\Sorry, Dai-chan.\Setting aside the matter of future plans,\who's going to take care of that child right now?\Well, I can't. response:	Not with running the store...
context: That's why it's so boring being with her!\Here! You can have all these if you go away!\You're like a candy shop owner!\Sorry, Dai-chan.\Setting aside the matter of future plans,\who's going to take care of that child right now?\Well, I can't.\Not with running the store... response:	If she were a little more proper...
context: Here! You can have all these if you go away!\You're like a candy shop owner!\Sorry, Dai-chan.\Setting aside the matter of future plans,\who's going to take care of that child right now?\Well, I can't.\Not with running the store...\If she were a little more proper... response:	And she seems to be suffering from delayed speech, too...
context: You're like a candy shop owner!\Sorry, Dai-chan.\Setting aside the matter of future plans,\who's going to take care of that child right now?\Well, I can't.\Not with running the store...\If she were a little more proper...\And she seems to be suffering from delayed speech, too... response:	Mom...
context: Sorry, Dai-chan.\Setting aside the matter of future plans,\who's going to take care of that child right now?\Well, I can't.\Not with running the store...\If she were a little more proper...\And she seems to be suffering from delayed speech, too...\Mom... response:	You're at home. Why don't you take her in for a while?
context: Setting aside the matter of future plans,\who's going to take care of that child right now?\Well, I can't.\Not with running the store...\If she were a little more proper...\And she seems to be suffering from delayed speech, too...\Mom...\You're at home. Why don't you take her in for a while? response:	Y-You know that'd be impossible!
context: who's going to take care of that child right now?\Well, I can't.\Not with running the store...\If she were a little more proper...\And she seems to be suffering from delayed speech, too...\Mom...\You're at home. Why don't you take her in for a while?\Y-You know that'd be impossible! response:	I don't have that much free time on my hands!
context: Well, I can't.\Not with running the store...\If she were a little more proper...\And she seems to be suffering from delayed speech, too...\Mom...\You're at home. Why don't you take her in for a while?\Y-You know that'd be impossible!\I don't have that much free time on my hands! response:	Do you understand how hard it is to raise a child?!
context: Not with running the store...\If she were a little more proper...\And she seems to be suffering from delayed speech, too...\Mom...\You're at home. Why don't you take her in for a while?\Y-You know that'd be impossible!\I don't have that much free time on my hands!\Do you understand how hard it is to raise a child?! response:	Haven't I made enough sacrifices over the years?!
context: If she were a little more proper...\And she seems to be suffering from delayed speech, too...\Mom...\You're at home. Why don't you take her in for a while?\Y-You know that'd be impossible!\I don't have that much free time on my hands!\Do you understand how hard it is to raise a child?!\Haven't I made enough sacrifices over the years?! response:	I'd feel sorry for the girl if she came over
context: And she seems to be suffering from delayed speech, too...\Mom...\You're at home. Why don't you take her in for a while?\Y-You know that'd be impossible!\I don't have that much free time on my hands!\Do you understand how hard it is to raise a child?!\Haven't I made enough sacrifices over the years?!\I'd feel sorry for the girl if she came over response:	and no one had time to look after her.
context: Mom...\You're at home. Why don't you take her in for a while?\Y-You know that'd be impossible!\I don't have that much free time on my hands!\Do you understand how hard it is to raise a child?!\Haven't I made enough sacrifices over the years?!\I'd feel sorry for the girl if she came over\and no one had time to look after her. response:	Wasn't this meeting supposed to be about who would take in Rin?
context: You're at home. Why don't you take her in for a while?\Y-You know that'd be impossible!\I don't have that much free time on my hands!\Do you understand how hard it is to raise a child?!\Haven't I made enough sacrifices over the years?!\I'd feel sorry for the girl if she came over\and no one had time to look after her.\Wasn't this meeting supposed to be about who would take in Rin? response:	It's not like you have any intention of doing anything, do you, big brother?
context: Y-You know that'd be impossible!\I don't have that much free time on my hands!\Do you understand how hard it is to raise a child?!\Haven't I made enough sacrifices over the years?!\I'd feel sorry for the girl if she came over\and no one had time to look after her.\Wasn't this meeting supposed to be about who would take in Rin?\It's not like you have any intention of doing anything, do you, big brother? response:	Think about the situation a little more realistically.
context: I don't have that much free time on my hands!\Do you understand how hard it is to raise a child?!\Haven't I made enough sacrifices over the years?!\I'd feel sorry for the girl if she came over\and no one had time to look after her.\Wasn't this meeting supposed to be about who would take in Rin?\It's not like you have any intention of doing anything, do you, big brother?\Think about the situation a little more realistically. response:	In the first place, I'm not even certain that she is Grandpa's child.
context: Do you understand how hard it is to raise a child?!\Haven't I made enough sacrifices over the years?!\I'd feel sorry for the girl if she came over\and no one had time to look after her.\Wasn't this meeting supposed to be about who would take in Rin?\It's not like you have any intention of doing anything, do you, big brother?\Think about the situation a little more realistically.\In the first place, I'm not even certain that she is Grandpa's child. response:	See? You haven't thought it through so you can't even give me a comeback.
context: Haven't I made enough sacrifices over the years?!\I'd feel sorry for the girl if she came over\and no one had time to look after her.\Wasn't this meeting supposed to be about who would take in Rin?\It's not like you have any intention of doing anything, do you, big brother?\Think about the situation a little more realistically.\In the first place, I'm not even certain that she is Grandpa's child.\See? You haven't thought it through so you can't even give me a comeback. response:	For now, I say we try placing her in a facility as quickly as possible...
context: I'd feel sorry for the girl if she came over\and no one had time to look after her.\Wasn't this meeting supposed to be about who would take in Rin?\It's not like you have any intention of doing anything, do you, big brother?\Think about the situation a little more realistically.\In the first place, I'm not even certain that she is Grandpa's child.\See? You haven't thought it through so you can't even give me a comeback.\For now, I say we try placing her in a facility as quickly as possible... response:	What?!
context: and no one had time to look after her.\Wasn't this meeting supposed to be about who would take in Rin?\It's not like you have any intention of doing anything, do you, big brother?\Think about the situation a little more realistically.\In the first place, I'm not even certain that she is Grandpa's child.\See? You haven't thought it through so you can't even give me a comeback.\For now, I say we try placing her in a facility as quickly as possible...\What?! response:	Rin!
context: Wasn't this meeting supposed to be about who would take in Rin?\It's not like you have any intention of doing anything, do you, big brother?\Think about the situation a little more realistically.\In the first place, I'm not even certain that she is Grandpa's child.\See? You haven't thought it through so you can't even give me a comeback.\For now, I say we try placing her in a facility as quickly as possible...\What?!\Rin! response:	Wanna come home with me?
context: It's not like you have any intention of doing anything, do you, big brother?\Think about the situation a little more realistically.\In the first place, I'm not even certain that she is Grandpa's child.\See? You haven't thought it through so you can't even give me a comeback.\For now, I say we try placing her in a facility as quickly as possible...\What?!\Rin!\Wanna come home with me? response:	Hey! Daikichi!
context: Think about the situation a little more realistically.\In the first place, I'm not even certain that she is Grandpa's child.\See? You haven't thought it through so you can't even give me a comeback.\For now, I say we try placing her in a facility as quickly as possible...\What?!\Rin!\Wanna come home with me?\Hey! Daikichi! response:	Brother?!
context: In the first place, I'm not even certain that she is Grandpa's child.\See? You haven't thought it through so you can't even give me a comeback.\For now, I say we try placing her in a facility as quickly as possible...\What?!\Rin!\Wanna come home with me?\Hey! Daikichi!\Brother?! response:	Old man, I'm hungry...
context: See? You haven't thought it through so you can't even give me a comeback.\For now, I say we try placing her in a facility as quickly as possible...\What?!\Rin!\Wanna come home with me?\Hey! Daikichi!\Brother?!\Old man, I'm hungry... response:	O-Old man...?!
context: For now, I say we try placing her in a facility as quickly as possible...\What?!\Rin!\Wanna come home with me?\Hey! Daikichi!\Brother?!\Old man, I'm hungry...\O-Old man...?! response:	Don't call me old man!
context: What?!\Rin!\Wanna come home with me?\Hey! Daikichi!\Brother?!\Old man, I'm hungry...\O-Old man...?!\Don't call me old man! response:	After all, you're my aunt!
context: Rin!\Wanna come home with me?\Hey! Daikichi!\Brother?!\Old man, I'm hungry...\O-Old man...?!\Don't call me old man!\After all, you're my aunt! response:	A sunny early Sunday afternoon
context: Wanna come home with me?\Hey! Daikichi!\Brother?!\Old man, I'm hungry...\O-Old man...?!\Don't call me old man!\After all, you're my aunt!\A sunny early Sunday afternoon response:	Let's go somewhere today
context: Hey! Daikichi!\Brother?!\Old man, I'm hungry...\O-Old man...?!\Don't call me old man!\After all, you're my aunt!\A sunny early Sunday afternoon\Let's go somewhere today response:	It's the same road I'm used to traveling
context: Brother?!\Old man, I'm hungry...\O-Old man...?!\Don't call me old man!\After all, you're my aunt!\A sunny early Sunday afternoon\Let's go somewhere today\It's the same road I'm used to traveling response:	But I can see it sparkling so bright
context: Old man, I'm hungry...\O-Old man...?!\Don't call me old man!\After all, you're my aunt!\A sunny early Sunday afternoon\Let's go somewhere today\It's the same road I'm used to traveling\But I can see it sparkling so bright response:	With the sun shining down its warmth
context: O-Old man...?!\Don't call me old man!\After all, you're my aunt!\A sunny early Sunday afternoon\Let's go somewhere today\It's the same road I'm used to traveling\But I can see it sparkling so bright\With the sun shining down its warmth response:	And you here by my side...
context: Don't call me old man!\After all, you're my aunt!\A sunny early Sunday afternoon\Let's go somewhere today\It's the same road I'm used to traveling\But I can see it sparkling so bright\With the sun shining down its warmth\And you here by my side... response:	I'm already high, high, high
context: After all, you're my aunt!\A sunny early Sunday afternoon\Let's go somewhere today\It's the same road I'm used to traveling\But I can see it sparkling so bright\With the sun shining down its warmth\And you here by my side...\I'm already high, high, high response:	I feel like dashing out
context: A sunny early Sunday afternoon\Let's go somewhere today\It's the same road I'm used to traveling\But I can see it sparkling so bright\With the sun shining down its warmth\And you here by my side...\I'm already high, high, high\I feel like dashing out response:	Sing, la, la, la
context: Let's go somewhere today\It's the same road I'm used to traveling\But I can see it sparkling so bright\With the sun shining down its warmth\And you here by my side...\I'm already high, high, high\I feel like dashing out\Sing, la, la, la response:	My voice out to forever
context: It's the same road I'm used to traveling\But I can see it sparkling so bright\With the sun shining down its warmth\And you here by my side...\I'm already high, high, high\I feel like dashing out\Sing, la, la, la\My voice out to forever response:	I'm already high, high, high
context: But I can see it sparkling so bright\With the sun shining down its warmth\And you here by my side...\I'm already high, high, high\I feel like dashing out\Sing, la, la, la\My voice out to forever\I'm already high, high, high response:	Ride the dancing wind
context: With the sun shining down its warmth\And you here by my side...\I'm already high, high, high\I feel like dashing out\Sing, la, la, la\My voice out to forever\I'm already high, high, high\Ride the dancing wind response:	Sing, la, la, la
context: And you here by my side...\I'm already high, high, high\I feel like dashing out\Sing, la, la, la\My voice out to forever\I'm already high, high, high\Ride the dancing wind\Sing, la, la, la response:	My voice springs up
context: I'm already high, high, high\I feel like dashing out\Sing, la, la, la\My voice out to forever\I'm already high, high, high\Ride the dancing wind\Sing, la, la, la\My voice springs up response:	Is it good?
context: I feel like dashing out\Sing, la, la, la\My voice out to forever\I'm already high, high, high\Ride the dancing wind\Sing, la, la, la\My voice springs up\Is it good? response:	Uh-huh.
context: Sing, la, la, la\My voice out to forever\I'm already high, high, high\Ride the dancing wind\Sing, la, la, la\My voice springs up\Is it good?\Uh-huh. response:	More?
context: My voice out to forever\I'm already high, high, high\Ride the dancing wind\Sing, la, la, la\My voice springs up\Is it good?\Uh-huh.\More? response:	Uh-huh.
context: I'm already high, high, high\Ride the dancing wind\Sing, la, la, la\My voice springs up\Is it good?\Uh-huh.\More?\Uh-huh. response:	All we have left is rice.
context: Ride the dancing wind\Sing, la, la, la\My voice springs up\Is it good?\Uh-huh.\More?\Uh-huh.\All we have left is rice. response:	I'll make a rice ball...
context: Sing, la, la, la\My voice springs up\Is it good?\Uh-huh.\More?\Uh-huh.\All we have left is rice.\I'll make a rice ball... response:	I don't have anything to put in the rice ball.
context: My voice springs up\Is it good?\Uh-huh.\More?\Uh-huh.\All we have left is rice.\I'll make a rice ball...\I don't have anything to put in the rice ball. response:	Salt!
context: Is it good?\Uh-huh.\More?\Uh-huh.\All we have left is rice.\I'll make a rice ball...\I don't have anything to put in the rice ball.\Salt! response:	Salt?
context: Uh-huh.\More?\Uh-huh.\All we have left is rice.\I'll make a rice ball...\I don't have anything to put in the rice ball.\Salt!\Salt? response:	Hey! That's still hot!
context: More?\Uh-huh.\All we have left is rice.\I'll make a rice ball...\I don't have anything to put in the rice ball.\Salt!\Salt?\Hey! That's still hot! response:	Look!
context: Uh-huh.\All we have left is rice.\I'll make a rice ball...\I don't have anything to put in the rice ball.\Salt!\Salt?\Hey! That's still hot!\Look! response:	But it'll have a tender taste.
context: All we have left is rice.\I'll make a rice ball...\I don't have anything to put in the rice ball.\Salt!\Salt?\Hey! That's still hot!\Look!\But it'll have a tender taste. response:	Here, Grandpa.
context: I'll make a rice ball...\I don't have anything to put in the rice ball.\Salt!\Salt?\Hey! That's still hot!\Look!\But it'll have a tender taste.\Here, Grandpa. response:	I mean Daikichi!
context: I don't have anything to put in the rice ball.\Salt!\Salt?\Hey! That's still hot!\Look!\But it'll have a tender taste.\Here, Grandpa.\I mean Daikichi! response:	Daikichi is strange too...
context: Salt!\Salt?\Hey! That's still hot!\Look!\But it'll have a tender taste.\Here, Grandpa.\I mean Daikichi!\Daikichi is strange too... response:	It's good.
