context: Episode 8 Umaru and Christmas and New Year's response:	Onii-chan! It's snowing!
context: I wanna eat it again!\Sure, sometime soon.\I wanna eat ramen, too.\When Ebina-chan comes home, let's go again.\Who's Ebina-chan?\She's my friend. She's back in Akita right now.\I see... Akita, huh?\Ayup. response:	Come to think of it, the first time Ebina-chan came over was this year, too.
context: Sure, sometime soon.\I wanna eat ramen, too.\When Ebina-chan comes home, let's go again.\Who's Ebina-chan?\She's my friend. She's back in Akita right now.\I see... Akita, huh?\Ayup.\Come to think of it, the first time Ebina-chan came over was this year, too. response:	A lot happened this year, huh?
context: I wanna eat ramen, too.\When Ebina-chan comes home, let's go again.\Who's Ebina-chan?\She's my friend. She's back in Akita right now.\I see... Akita, huh?\Ayup.\Come to think of it, the first time Ebina-chan came over was this year, too.\A lot happened this year, huh? response:	Master!
context: When Ebina-chan comes home, let's go again.\Who's Ebina-chan?\She's my friend. She's back in Akita right now.\I see... Akita, huh?\Ayup.\Come to think of it, the first time Ebina-chan came over was this year, too.\A lot happened this year, huh?\Master! response:	Oh, yeah. I became friends with Kirie-chan this year, too.
context: Who's Ebina-chan?\She's my friend. She's back in Akita right now.\I see... Akita, huh?\Ayup.\Come to think of it, the first time Ebina-chan came over was this year, too.\A lot happened this year, huh?\Master!\Oh, yeah. I became friends with Kirie-chan this year, too. response:	Maybe I should have invited her over today.
context: She's my friend. She's back in Akita right now.\I see... Akita, huh?\Ayup.\Come to think of it, the first time Ebina-chan came over was this year, too.\A lot happened this year, huh?\Master!\Oh, yeah. I became friends with Kirie-chan this year, too.\Maybe I should have invited her over today. response:	My little sister's so violent.
context: I see... Akita, huh?\Ayup.\Come to think of it, the first time Ebina-chan came over was this year, too.\A lot happened this year, huh?\Master!\Oh, yeah. I became friends with Kirie-chan this year, too.\Maybe I should have invited her over today.\My little sister's so violent. response:	Though, I'm sure she's just being shy around me.
context: Ayup.\Come to think of it, the first time Ebina-chan came over was this year, too.\A lot happened this year, huh?\Master!\Oh, yeah. I became friends with Kirie-chan this year, too.\Maybe I should have invited her over today.\My little sister's so violent.\Though, I'm sure she's just being shy around me. response:	Huh...
context: Come to think of it, the first time Ebina-chan came over was this year, too.\A lot happened this year, huh?\Master!\Oh, yeah. I became friends with Kirie-chan this year, too.\Maybe I should have invited her over today.\My little sister's so violent.\Though, I'm sure she's just being shy around me.\Huh... response:	It's not yet time to ring the New Year's bell, but take a look.
context: A lot happened this year, huh?\Master!\Oh, yeah. I became friends with Kirie-chan this year, too.\Maybe I should have invited her over today.\My little sister's so violent.\Though, I'm sure she's just being shy around me.\Huh...\It's not yet time to ring the New Year's bell, but take a look. response:	There are already this many people in line.
context: Master!\Oh, yeah. I became friends with Kirie-chan this year, too.\Maybe I should have invited her over today.\My little sister's so violent.\Though, I'm sure she's just being shy around me.\Huh...\It's not yet time to ring the New Year's bell, but take a look.\There are already this many people in line. response:	Shuba
context: Oh, yeah. I became friends with Kirie-chan this year, too.\Maybe I should have invited her over today.\My little sister's so violent.\Though, I'm sure she's just being shy around me.\Huh...\It's not yet time to ring the New Year's bell, but take a look.\There are already this many people in line.\Shuba response:	Shubaan
context: Maybe I should have invited her over today.\My little sister's so violent.\Though, I'm sure she's just being shy around me.\Huh...\It's not yet time to ring the New Year's bell, but take a look.\There are already this many people in line.\Shuba\Shubaan response:	I got to ring it first!
context: My little sister's so violent.\Though, I'm sure she's just being shy around me.\Huh...\It's not yet time to ring the New Year's bell, but take a look.\There are already this many people in line.\Shuba\Shubaan\I got to ring it first! response:	Hey, give me back my mic!
context: Though, I'm sure she's just being shy around me.\Huh...\It's not yet time to ring the New Year's bell, but take a look.\There are already this many people in line.\Shuba\Shubaan\I got to ring it first!\Hey, give me back my mic! response:	I-I hung out with Sylphyn-san a lot, too...
context: Huh...\It's not yet time to ring the New Year's bell, but take a look.\There are already this many people in line.\Shuba\Shubaan\I got to ring it first!\Hey, give me back my mic!\I-I hung out with Sylphyn-san a lot, too... response:	First Shrine Visits Around the Country
context: It's not yet time to ring the New Year's bell, but take a look.\There are already this many people in line.\Shuba\Shubaan\I got to ring it first!\Hey, give me back my mic!\I-I hung out with Sylphyn-san a lot, too...\First Shrine Visits Around the Country response:	This is live footage from around the country.
context: There are already this many people in line.\Shuba\Shubaan\I got to ring it first!\Hey, give me back my mic!\I-I hung out with Sylphyn-san a lot, too...\First Shrine Visits Around the Country\This is live footage from around the country. response:	Everyone's lining up, even though it's so cold.
context: Shuba\Shubaan\I got to ring it first!\Hey, give me back my mic!\I-I hung out with Sylphyn-san a lot, too...\First Shrine Visits Around the Country\This is live footage from around the country.\Everyone's lining up, even though it's so cold. response:	Man, that's way too many people for the first shrine visit of the year.
context: Shubaan\I got to ring it first!\Hey, give me back my mic!\I-I hung out with Sylphyn-san a lot, too...\First Shrine Visits Around the Country\This is live footage from around the country.\Everyone's lining up, even though it's so cold.\Man, that's way too many people for the first shrine visit of the year. response:	Should we all go later?
context: I got to ring it first!\Hey, give me back my mic!\I-I hung out with Sylphyn-san a lot, too...\First Shrine Visits Around the Country\This is live footage from around the country.\Everyone's lining up, even though it's so cold.\Man, that's way too many people for the first shrine visit of the year.\Should we all go later? response:	What are you talking about, Onii-chan?
context: Hey, give me back my mic!\I-I hung out with Sylphyn-san a lot, too...\First Shrine Visits Around the Country\This is live footage from around the country.\Everyone's lining up, even though it's so cold.\Man, that's way too many people for the first shrine visit of the year.\Should we all go later?\What are you talking about, Onii-chan? response:	We have to count down in the kotatsu.
context: I-I hung out with Sylphyn-san a lot, too...\First Shrine Visits Around the Country\This is live footage from around the country.\Everyone's lining up, even though it's so cold.\Man, that's way too many people for the first shrine visit of the year.\Should we all go later?\What are you talking about, Onii-chan?\We have to count down in the kotatsu. response:	Gaki no Chikai is okay, right?
context: First Shrine Visits Around the Country\This is live footage from around the country.\Everyone's lining up, even though it's so cold.\Man, that's way too many people for the first shrine visit of the year.\Should we all go later?\What are you talking about, Onii-chan?\We have to count down in the kotatsu.\Gaki no Chikai is okay, right? response:	Umaru, are you going to stay up until the countdown?
context: This is live footage from around the country.\Everyone's lining up, even though it's so cold.\Man, that's way too many people for the first shrine visit of the year.\Should we all go later?\What are you talking about, Onii-chan?\We have to count down in the kotatsu.\Gaki no Chikai is okay, right?\Umaru, are you going to stay up until the countdown? response:	Of course! I'm so pumped, like I was going to see the first sunrise!
context: Everyone's lining up, even though it's so cold.\Man, that's way too many people for the first shrine visit of the year.\Should we all go later?\What are you talking about, Onii-chan?\We have to count down in the kotatsu.\Gaki no Chikai is okay, right?\Umaru, are you going to stay up until the countdown?\Of course! I'm so pumped, like I was going to see the first sunrise! response:	Well, then. I guess it's time to get started.
context: Man, that's way too many people for the first shrine visit of the year.\Should we all go later?\What are you talking about, Onii-chan?\We have to count down in the kotatsu.\Gaki no Chikai is okay, right?\Umaru, are you going to stay up until the countdown?\Of course! I'm so pumped, like I was going to see the first sunrise!\Well, then. I guess it's time to get started. response:	Are we going to do something, Onii-chan?
context: Should we all go later?\What are you talking about, Onii-chan?\We have to count down in the kotatsu.\Gaki no Chikai is okay, right?\Umaru, are you going to stay up until the countdown?\Of course! I'm so pumped, like I was going to see the first sunrise!\Well, then. I guess it's time to get started.\Are we going to do something, Onii-chan? response:	Could it be... the samba?
context: What are you talking about, Onii-chan?\We have to count down in the kotatsu.\Gaki no Chikai is okay, right?\Umaru, are you going to stay up until the countdown?\Of course! I'm so pumped, like I was going to see the first sunrise!\Well, then. I guess it's time to get started.\Are we going to do something, Onii-chan?\Could it be... the samba? response:	What kind of way is that to start a new year?
context: We have to count down in the kotatsu.\Gaki no Chikai is okay, right?\Umaru, are you going to stay up until the countdown?\Of course! I'm so pumped, like I was going to see the first sunrise!\Well, then. I guess it's time to get started.\Are we going to do something, Onii-chan?\Could it be... the samba?\What kind of way is that to start a new year? response:	Yakitori
context: Gaki no Chikai is okay, right?\Umaru, are you going to stay up until the countdown?\Of course! I'm so pumped, like I was going to see the first sunrise!\Well, then. I guess it's time to get started.\Are we going to do something, Onii-chan?\Could it be... the samba?\What kind of way is that to start a new year?\Yakitori response:	Yakitori!
context: Umaru, are you going to stay up until the countdown?\Of course! I'm so pumped, like I was going to see the first sunrise!\Well, then. I guess it's time to get started.\Are we going to do something, Onii-chan?\Could it be... the samba?\What kind of way is that to start a new year?\Yakitori\Yakitori! response:	Edamame
context: Of course! I'm so pumped, like I was going to see the first sunrise!\Well, then. I guess it's time to get started.\Are we going to do something, Onii-chan?\Could it be... the samba?\What kind of way is that to start a new year?\Yakitori\Yakitori!\Edamame response:	Edamame!
context: Well, then. I guess it's time to get started.\Are we going to do something, Onii-chan?\Could it be... the samba?\What kind of way is that to start a new year?\Yakitori\Yakitori!\Edamame\Edamame! response:	Kakinotane
context: Are we going to do something, Onii-chan?\Could it be... the samba?\What kind of way is that to start a new year?\Yakitori\Yakitori!\Edamame\Edamame!\Kakinotane response:	Kakinotane!
context: Could it be... the samba?\What kind of way is that to start a new year?\Yakitori\Yakitori!\Edamame\Edamame!\Kakinotane\Kakinotane! response:	Nothing says ringing in the New Year like drinking!
context: What kind of way is that to start a new year?\Yakitori\Yakitori!\Edamame\Edamame!\Kakinotane\Kakinotane!\Nothing says ringing in the New Year like drinking! response:	Bomber, I appreciate you preparing all of this,
context: Yakitori\Yakitori!\Edamame\Edamame!\Kakinotane\Kakinotane!\Nothing says ringing in the New Year like drinking!\Bomber, I appreciate you preparing all of this, response:	but I wasn't going to drink this year, since Umaru is here.
context: Yakitori!\Edamame\Edamame!\Kakinotane\Kakinotane!\Nothing says ringing in the New Year like drinking!\Bomber, I appreciate you preparing all of this,\but I wasn't going to drink this year, since Umaru is here. response:	Bringles
context: Edamame\Edamame!\Kakinotane\Kakinotane!\Nothing says ringing in the New Year like drinking!\Bomber, I appreciate you preparing all of this,\but I wasn't going to drink this year, since Umaru is here.\Bringles response:	Bringles!
context: Edamame!\Kakinotane\Kakinotane!\Nothing says ringing in the New Year like drinking!\Bomber, I appreciate you preparing all of this,\but I wasn't going to drink this year, since Umaru is here.\Bringles\Bringles! response:	Sweet Breads
context: Kakinotane\Kakinotane!\Nothing says ringing in the New Year like drinking!\Bomber, I appreciate you preparing all of this,\but I wasn't going to drink this year, since Umaru is here.\Bringles\Bringles!\Sweet Breads response:	Fluffy Steamed Egg Bun
context: Kakinotane!\Nothing says ringing in the New Year like drinking!\Bomber, I appreciate you preparing all of this,\but I wasn't going to drink this year, since Umaru is here.\Bringles\Bringles!\Sweet Breads\Fluffy Steamed Egg Bun response:	Soft Melon Bun
context: Nothing says ringing in the New Year like drinking!\Bomber, I appreciate you preparing all of this,\but I wasn't going to drink this year, since Umaru is here.\Bringles\Bringles!\Sweet Breads\Fluffy Steamed Egg Bun\Soft Melon Bun response:	Coarse Anko Bun
context: Bomber, I appreciate you preparing all of this,\but I wasn't going to drink this year, since Umaru is here.\Bringles\Bringles!\Sweet Breads\Fluffy Steamed Egg Bun\Soft Melon Bun\Coarse Anko Bun response:	Sweet breads!
context: but I wasn't going to drink this year, since Umaru is here.\Bringles\Bringles!\Sweet Breads\Fluffy Steamed Egg Bun\Soft Melon Bun\Coarse Anko Bun\Sweet breads! response:	Lacto Ice Hyper Cup Chocolate
context: Bringles\Bringles!\Sweet Breads\Fluffy Steamed Egg Bun\Soft Melon Bun\Coarse Anko Bun\Sweet breads!\Lacto Ice Hyper Cup Chocolate response:	Ice Cream
context: Bringles!\Sweet Breads\Fluffy Steamed Egg Bun\Soft Melon Bun\Coarse Anko Bun\Sweet breads!\Lacto Ice Hyper Cup Chocolate\Ice Cream response:	Ice cream!
context: Sweet Breads\Fluffy Steamed Egg Bun\Soft Melon Bun\Coarse Anko Bun\Sweet breads!\Lacto Ice Hyper Cup Chocolate\Ice Cream\Ice cream! response:	And...
context: Fluffy Steamed Egg Bun\Soft Melon Bun\Coarse Anko Bun\Sweet breads!\Lacto Ice Hyper Cup Chocolate\Ice Cream\Ice cream!\And... response:	Nothing says ringing in the New Year like cola!
context: Soft Melon Bun\Coarse Anko Bun\Sweet breads!\Lacto Ice Hyper Cup Chocolate\Ice Cream\Ice cream!\And...\Nothing says ringing in the New Year like cola! response:	Those are all colas?!
context: Coarse Anko Bun\Sweet breads!\Lacto Ice Hyper Cup Chocolate\Ice Cream\Ice cream!\And...\Nothing says ringing in the New Year like cola!\Those are all colas?! response:	Hey, this cola's all red. And there's a clear one, too?!
context: Sweet breads!\Lacto Ice Hyper Cup Chocolate\Ice Cream\Ice cream!\And...\Nothing says ringing in the New Year like cola!\Those are all colas?!\Hey, this cola's all red. And there's a clear one, too?! response:	I picked them out specifically for New Year's.
context: Lacto Ice Hyper Cup Chocolate\Ice Cream\Ice cream!\And...\Nothing says ringing in the New Year like cola!\Those are all colas?!\Hey, this cola's all red. And there's a clear one, too?!\I picked them out specifically for New Year's. response:	Umaru Ranking
context: Ice Cream\Ice cream!\And...\Nothing says ringing in the New Year like cola!\Those are all colas?!\Hey, this cola's all red. And there's a clear one, too?!\I picked them out specifically for New Year's.\Umaru Ranking response:	1: Cola 2: Melon Soda 3: Lemon Soda 4: Plain Soda 5: Ginger Ale
context: Ice cream!\And...\Nothing says ringing in the New Year like cola!\Those are all colas?!\Hey, this cola's all red. And there's a clear one, too?!\I picked them out specifically for New Year's.\Umaru Ranking\1: Cola 2: Melon Soda 3: Lemon Soda 4: Plain Soda 5: Ginger Ale response:	The best pairing with snacks is, of course, cola.
context: And...\Nothing says ringing in the New Year like cola!\Those are all colas?!\Hey, this cola's all red. And there's a clear one, too?!\I picked them out specifically for New Year's.\Umaru Ranking\1: Cola 2: Melon Soda 3: Lemon Soda 4: Plain Soda 5: Ginger Ale\The best pairing with snacks is, of course, cola. response:	Points
context: Nothing says ringing in the New Year like cola!\Those are all colas?!\Hey, this cola's all red. And there's a clear one, too?!\I picked them out specifically for New Year's.\Umaru Ranking\1: Cola 2: Melon Soda 3: Lemon Soda 4: Plain Soda 5: Ginger Ale\The best pairing with snacks is, of course, cola.\Points response:	Though, the sweetness of melon soda
context: Those are all colas?!\Hey, this cola's all red. And there's a clear one, too?!\I picked them out specifically for New Year's.\Umaru Ranking\1: Cola 2: Melon Soda 3: Lemon Soda 4: Plain Soda 5: Ginger Ale\The best pairing with snacks is, of course, cola.\Points\Though, the sweetness of melon soda response:	brings out the saltiness in the snacks, making it the runner-up.
context: Hey, this cola's all red. And there's a clear one, too?!\I picked them out specifically for New Year's.\Umaru Ranking\1: Cola 2: Melon Soda 3: Lemon Soda 4: Plain Soda 5: Ginger Ale\The best pairing with snacks is, of course, cola.\Points\Though, the sweetness of melon soda\brings out the saltiness in the snacks, making it the runner-up. response:	She started explaining!
context: I picked them out specifically for New Year's.\Umaru Ranking\1: Cola 2: Melon Soda 3: Lemon Soda 4: Plain Soda 5: Ginger Ale\The best pairing with snacks is, of course, cola.\Points\Though, the sweetness of melon soda\brings out the saltiness in the snacks, making it the runner-up.\She started explaining! response:	Onii-chan has given his blessing!
context: Umaru Ranking\1: Cola 2: Melon Soda 3: Lemon Soda 4: Plain Soda 5: Ginger Ale\The best pairing with snacks is, of course, cola.\Points\Though, the sweetness of melon soda\brings out the saltiness in the snacks, making it the runner-up.\She started explaining!\Onii-chan has given his blessing! response:	Let's party!
context: 1: Cola 2: Melon Soda 3: Lemon Soda 4: Plain Soda 5: Ginger Ale\The best pairing with snacks is, of course, cola.\Points\Though, the sweetness of melon soda\brings out the saltiness in the snacks, making it the runner-up.\She started explaining!\Onii-chan has given his blessing!\Let's party! response:	Yay! Party time!
context: The best pairing with snacks is, of course, cola.\Points\Though, the sweetness of melon soda\brings out the saltiness in the snacks, making it the runner-up.\She started explaining!\Onii-chan has given his blessing!\Let's party!\Yay! Party time! response:	Wait, I didn't say anything yet!
context: Points\Though, the sweetness of melon soda\brings out the saltiness in the snacks, making it the runner-up.\She started explaining!\Onii-chan has given his blessing!\Let's party!\Yay! Party time!\Wait, I didn't say anything yet! response:	Your beer snacks are like actual food, Bomber.
context: Though, the sweetness of melon soda\brings out the saltiness in the snacks, making it the runner-up.\She started explaining!\Onii-chan has given his blessing!\Let's party!\Yay! Party time!\Wait, I didn't say anything yet!\Your beer snacks are like actual food, Bomber. response:	Beer snacks aren't just snack foods, you know.
context: brings out the saltiness in the snacks, making it the runner-up.\She started explaining!\Onii-chan has given his blessing!\Let's party!\Yay! Party time!\Wait, I didn't say anything yet!\Your beer snacks are like actual food, Bomber.\Beer snacks aren't just snack foods, you know. response:	Yum! I've never had yakitori and potato chips together before!
context: She started explaining!\Onii-chan has given his blessing!\Let's party!\Yay! Party time!\Wait, I didn't say anything yet!\Your beer snacks are like actual food, Bomber.\Beer snacks aren't just snack foods, you know.\Yum! I've never had yakitori and potato chips together before! response:	The meat and potato chips are melting in my mouth...
context: Onii-chan has given his blessing!\Let's party!\Yay! Party time!\Wait, I didn't say anything yet!\Your beer snacks are like actual food, Bomber.\Beer snacks aren't just snack foods, you know.\Yum! I've never had yakitori and potato chips together before!\The meat and potato chips are melting in my mouth... response:	Eat the green onions, too.
context: Let's party!\Yay! Party time!\Wait, I didn't say anything yet!\Your beer snacks are like actual food, Bomber.\Beer snacks aren't just snack foods, you know.\Yum! I've never had yakitori and potato chips together before!\The meat and potato chips are melting in my mouth...\Eat the green onions, too. response:	Eating ice cream after kakinotane is delicious!
context: Yay! Party time!\Wait, I didn't say anything yet!\Your beer snacks are like actual food, Bomber.\Beer snacks aren't just snack foods, you know.\Yum! I've never had yakitori and potato chips together before!\The meat and potato chips are melting in my mouth...\Eat the green onions, too.\Eating ice cream after kakinotane is delicious! response:	Not to mention, it's chocolate flavor.
context: Wait, I didn't say anything yet!\Your beer snacks are like actual food, Bomber.\Beer snacks aren't just snack foods, you know.\Yum! I've never had yakitori and potato chips together before!\The meat and potato chips are melting in my mouth...\Eat the green onions, too.\Eating ice cream after kakinotane is delicious!\Not to mention, it's chocolate flavor. response:	And the textures are different, so it's great!
context: Your beer snacks are like actual food, Bomber.\Beer snacks aren't just snack foods, you know.\Yum! I've never had yakitori and potato chips together before!\The meat and potato chips are melting in my mouth...\Eat the green onions, too.\Eating ice cream after kakinotane is delicious!\Not to mention, it's chocolate flavor.\And the textures are different, so it's great! response:	So good!
context: Beer snacks aren't just snack foods, you know.\Yum! I've never had yakitori and potato chips together before!\The meat and potato chips are melting in my mouth...\Eat the green onions, too.\Eating ice cream after kakinotane is delicious!\Not to mention, it's chocolate flavor.\And the textures are different, so it's great!\So good! response:	Come on, eat up! Eat up! Wow, this is good.
context: Yum! I've never had yakitori and potato chips together before!\The meat and potato chips are melting in my mouth...\Eat the green onions, too.\Eating ice cream after kakinotane is delicious!\Not to mention, it's chocolate flavor.\And the textures are different, so it's great!\So good!\Come on, eat up! Eat up! Wow, this is good. response:	This is great! Let's have another!
context: The meat and potato chips are melting in my mouth...\Eat the green onions, too.\Eating ice cream after kakinotane is delicious!\Not to mention, it's chocolate flavor.\And the textures are different, so it's great!\So good!\Come on, eat up! Eat up! Wow, this is good.\This is great! Let's have another! response:	And then I told the section chief...
context: Eat the green onions, too.\Eating ice cream after kakinotane is delicious!\Not to mention, it's chocolate flavor.\And the textures are different, so it's great!\So good!\Come on, eat up! Eat up! Wow, this is good.\This is great! Let's have another!\And then I told the section chief... response:	Is she asleep?
context: Eating ice cream after kakinotane is delicious!\Not to mention, it's chocolate flavor.\And the textures are different, so it's great!\So good!\Come on, eat up! Eat up! Wow, this is good.\This is great! Let's have another!\And then I told the section chief...\Is she asleep? response:	Yep, she's asleep.
context: Not to mention, it's chocolate flavor.\And the textures are different, so it's great!\So good!\Come on, eat up! Eat up! Wow, this is good.\This is great! Let's have another!\And then I told the section chief...\Is she asleep?\Yep, she's asleep. response:	You sure we shouldn't wake her up for the countdown?
context: And the textures are different, so it's great!\So good!\Come on, eat up! Eat up! Wow, this is good.\This is great! Let's have another!\And then I told the section chief...\Is she asleep?\Yep, she's asleep.\You sure we shouldn't wake her up for the countdown? response:	Let's let her sleep.
context: So good!\Come on, eat up! Eat up! Wow, this is good.\This is great! Let's have another!\And then I told the section chief...\Is she asleep?\Yep, she's asleep.\You sure we shouldn't wake her up for the countdown?\Let's let her sleep. response:	Happy New Year
context: Come on, eat up! Eat up! Wow, this is good.\This is great! Let's have another!\And then I told the section chief...\Is she asleep?\Yep, she's asleep.\You sure we shouldn't wake her up for the countdown?\Let's let her sleep.\Happy New Year response:	The best thing about New Year's is that I can openly laze around.
context: This is great! Let's have another!\And then I told the section chief...\Is she asleep?\Yep, she's asleep.\You sure we shouldn't wake her up for the countdown?\Let's let her sleep.\Happy New Year\The best thing about New Year's is that I can openly laze around. response:	I want to go to a world where New Year's just loops.
context: And then I told the section chief...\Is she asleep?\Yep, she's asleep.\You sure we shouldn't wake her up for the countdown?\Let's let her sleep.\Happy New Year\The best thing about New Year's is that I can openly laze around.\I want to go to a world where New Year's just loops. response:	Oh, Onii-chan.
context: Is she asleep?\Yep, she's asleep.\You sure we shouldn't wake her up for the countdown?\Let's let her sleep.\Happy New Year\The best thing about New Year's is that I can openly laze around.\I want to go to a world where New Year's just loops.\Oh, Onii-chan. response:	Umaru.
context: Yep, she's asleep.\You sure we shouldn't wake her up for the countdown?\Let's let her sleep.\Happy New Year\The best thing about New Year's is that I can openly laze around.\I want to go to a world where New Year's just loops.\Oh, Onii-chan.\Umaru. response:	Yes, sir?
context: You sure we shouldn't wake her up for the countdown?\Let's let her sleep.\Happy New Year\The best thing about New Year's is that I can openly laze around.\I want to go to a world where New Year's just loops.\Oh, Onii-chan.\Umaru.\Yes, sir? response:	Happy New Year
context: Let's let her sleep.\Happy New Year\The best thing about New Year's is that I can openly laze around.\I want to go to a world where New Year's just loops.\Oh, Onii-chan.\Umaru.\Yes, sir?\Happy New Year response:	Do you remember what you promised me?
context: Happy New Year\The best thing about New Year's is that I can openly laze around.\I want to go to a world where New Year's just loops.\Oh, Onii-chan.\Umaru.\Yes, sir?\Happy New Year\Do you remember what you promised me? response:	Promised?
context: The best thing about New Year's is that I can openly laze around.\I want to go to a world where New Year's just loops.\Oh, Onii-chan.\Umaru.\Yes, sir?\Happy New Year\Do you remember what you promised me?\Promised? response:	It was in the latter half of November.
context: I want to go to a world where New Year's just loops.\Oh, Onii-chan.\Umaru.\Yes, sir?\Happy New Year\Do you remember what you promised me?\Promised?\It was in the latter half of November. response:	That's a long time ago.
context: Oh, Onii-chan.\Umaru.\Yes, sir?\Happy New Year\Do you remember what you promised me?\Promised?\It was in the latter half of November.\That's a long time ago. response:	Latter Half of November
context: Umaru.\Yes, sir?\Happy New Year\Do you remember what you promised me?\Promised?\It was in the latter half of November.\That's a long time ago.\Latter Half of November response:	Umaru! The room's a mess!
context: Yes, sir?\Happy New Year\Do you remember what you promised me?\Promised?\It was in the latter half of November.\That's a long time ago.\Latter Half of November\Umaru! The room's a mess! response:	There's not much time left in this year, so I'll do it all at once next year.
context: Happy New Year\Do you remember what you promised me?\Promised?\It was in the latter half of November.\That's a long time ago.\Latter Half of November\Umaru! The room's a mess!\There's not much time left in this year, so I'll do it all at once next year. response:	Don't do it all at once! Do it now!
context: Do you remember what you promised me?\Promised?\It was in the latter half of November.\That's a long time ago.\Latter Half of November\Umaru! The room's a mess!\There's not much time left in this year, so I'll do it all at once next year.\Don't do it all at once! Do it now! response:	Don't worry, Onii-chan! I'll get serious starting next year!
context: Promised?\It was in the latter half of November.\That's a long time ago.\Latter Half of November\Umaru! The room's a mess!\There's not much time left in this year, so I'll do it all at once next year.\Don't do it all at once! Do it now!\Don't worry, Onii-chan! I'll get serious starting next year! response:	You remember that, right?
context: It was in the latter half of November.\That's a long time ago.\Latter Half of November\Umaru! The room's a mess!\There's not much time left in this year, so I'll do it all at once next year.\Don't do it all at once! Do it now!\Don't worry, Onii-chan! I'll get serious starting next year!\You remember that, right? response:	Yeah, I did say that, but...
context: That's a long time ago.\Latter Half of November\Umaru! The room's a mess!\There's not much time left in this year, so I'll do it all at once next year.\Don't do it all at once! Do it now!\Don't worry, Onii-chan! I'll get serious starting next year!\You remember that, right?\Yeah, I did say that, but... response:	New Year January New Year February New Year March
context: Latter Half of November\Umaru! The room's a mess!\There's not much time left in this year, so I'll do it all at once next year.\Don't do it all at once! Do it now!\Don't worry, Onii-chan! I'll get serious starting next year!\You remember that, right?\Yeah, I did say that, but...\New Year January New Year February New Year March response:	The next year when I was gonna get serious has actually come!
context: Umaru! The room's a mess!\There's not much time left in this year, so I'll do it all at once next year.\Don't do it all at once! Do it now!\Don't worry, Onii-chan! I'll get serious starting next year!\You remember that, right?\Yeah, I did say that, but...\New Year January New Year February New Year March\The next year when I was gonna get serious has actually come! response:	I remember it as clear as day.
context: There's not much time left in this year, so I'll do it all at once next year.\Don't do it all at once! Do it now!\Don't worry, Onii-chan! I'll get serious starting next year!\You remember that, right?\Yeah, I did say that, but...\New Year January New Year February New Year March\The next year when I was gonna get serious has actually come!\I remember it as clear as day. response:	You wouldn't lie to me, would you?
context: Don't do it all at once! Do it now!\Don't worry, Onii-chan! I'll get serious starting next year!\You remember that, right?\Yeah, I did say that, but...\New Year January New Year February New Year March\The next year when I was gonna get serious has actually come!\I remember it as clear as day.\You wouldn't lie to me, would you? response:	I-I did indeed say that...
context: Don't worry, Onii-chan! I'll get serious starting next year!\You remember that, right?\Yeah, I did say that, but...\New Year January New Year February New Year March\The next year when I was gonna get serious has actually come!\I remember it as clear as day.\You wouldn't lie to me, would you?\I-I did indeed say that... response:	Psst Psst
context: You remember that, right?\Yeah, I did say that, but...\New Year January New Year February New Year March\The next year when I was gonna get serious has actually come!\I remember it as clear as day.\You wouldn't lie to me, would you?\I-I did indeed say that...\Psst Psst response:	However, I would like you to recall that I never specified
context: Yeah, I did say that, but...\New Year January New Year February New Year March\The next year when I was gonna get serious has actually come!\I remember it as clear as day.\You wouldn't lie to me, would you?\I-I did indeed say that...\Psst Psst\However, I would like you to recall that I never specified response:	an actual date or place, Onii-chan.
context: New Year January New Year February New Year March\The next year when I was gonna get serious has actually come!\I remember it as clear as day.\You wouldn't lie to me, would you?\I-I did indeed say that...\Psst Psst\However, I would like you to recall that I never specified\an actual date or place, Onii-chan. response:	That's enough!
context: The next year when I was gonna get serious has actually come!\I remember it as clear as day.\You wouldn't lie to me, would you?\I-I did indeed say that...\Psst Psst\However, I would like you to recall that I never specified\an actual date or place, Onii-chan.\That's enough! response:	I guess I don't have a choice... Okay, I'll clean up.
context: I remember it as clear as day.\You wouldn't lie to me, would you?\I-I did indeed say that...\Psst Psst\However, I would like you to recall that I never specified\an actual date or place, Onii-chan.\That's enough!\I guess I don't have a choice... Okay, I'll clean up. response:	Oh, you can clean when we get back.
context: You wouldn't lie to me, would you?\I-I did indeed say that...\Psst Psst\However, I would like you to recall that I never specified\an actual date or place, Onii-chan.\That's enough!\I guess I don't have a choice... Okay, I'll clean up.\Oh, you can clean when we get back. response:	Huh? Are we going somewhere?
context: I-I did indeed say that...\Psst Psst\However, I would like you to recall that I never specified\an actual date or place, Onii-chan.\That's enough!\I guess I don't have a choice... Okay, I'll clean up.\Oh, you can clean when we get back.\Huh? Are we going somewhere? response:	Let's go for the year's first shrine visit.
context: Psst Psst\However, I would like you to recall that I never specified\an actual date or place, Onii-chan.\That's enough!\I guess I don't have a choice... Okay, I'll clean up.\Oh, you can clean when we get back.\Huh? Are we going somewhere?\Let's go for the year's first shrine visit. response:	Tago Shrine
context: However, I would like you to recall that I never specified\an actual date or place, Onii-chan.\That's enough!\I guess I don't have a choice... Okay, I'll clean up.\Oh, you can clean when we get back.\Huh? Are we going somewhere?\Let's go for the year's first shrine visit.\Tago Shrine response:	Piping Hot Buttered Potatoes
