context: Just up ahead, I'll defeat Erza... response:	and become an S Class wizard!
context: Crash!\I just told you I'm no good at holding back...\N-Natsu's been obliterated...\As if!\He crushed the ground and used it as a cushion?!\I'm still goin'!\He's a punching bag!\Natsu's face... response:	He's so serious...
context: I just told you I'm no good at holding back...\N-Natsu's been obliterated...\As if!\He crushed the ground and used it as a cushion?!\I'm still goin'!\He's a punching bag!\Natsu's face...\He's so serious... response:	And yet, he's smiling...
context: N-Natsu's been obliterated...\As if!\He crushed the ground and used it as a cushion?!\I'm still goin'!\He's a punching bag!\Natsu's face...\He's so serious...\And yet, he's smiling... response:	Fire Dragon's Roar!
context: As if!\He crushed the ground and used it as a cushion?!\I'm still goin'!\He's a punching bag!\Natsu's face...\He's so serious...\And yet, he's smiling...\Fire Dragon's Roar! response:	You've gotten stronger, Natsu...
context: He crushed the ground and used it as a cushion?!\I'm still goin'!\He's a punching bag!\Natsu's face...\He's so serious...\And yet, he's smiling...\Fire Dragon's Roar!\You've gotten stronger, Natsu... response:	Child of the Dragon...
context: I'm still goin'!\He's a punching bag!\Natsu's face...\He's so serious...\And yet, he's smiling...\Fire Dragon's Roar!\You've gotten stronger, Natsu...\Child of the Dragon... response:	No!!
context: He's a punching bag!\Natsu's face...\He's so serious...\And yet, he's smiling...\Fire Dragon's Roar!\You've gotten stronger, Natsu...\Child of the Dragon...\No!! response:	Natsu...?
context: Natsu's face...\He's so serious...\And yet, he's smiling...\Fire Dragon's Roar!\You've gotten stronger, Natsu...\Child of the Dragon...\No!!\Natsu...? response:	The power just...
context: He's so serious...\And yet, he's smiling...\Fire Dragon's Roar!\You've gotten stronger, Natsu...\Child of the Dragon...\No!!\Natsu...?\The power just... response:	How could you...?
context: And yet, he's smiling...\Fire Dragon's Roar!\You've gotten stronger, Natsu...\Child of the Dragon...\No!!\Natsu...?\The power just...\How could you...? response:	Test or not, you went way overboard...
context: Fire Dragon's Roar!\You've gotten stronger, Natsu...\Child of the Dragon...\No!!\Natsu...?\The power just...\How could you...?\Test or not, you went way overboard... response:	Natsu's...
context: You've gotten stronger, Natsu...\Child of the Dragon...\No!!\Natsu...?\The power just...\How could you...?\Test or not, you went way overboard...\Natsu's... response:	No.
context: Child of the Dragon...\No!!\Natsu...?\The power just...\How could you...?\Test or not, you went way overboard...\Natsu's...\No. response:	I don't think he's dead.
context: No!!\Natsu...?\The power just...\How could you...?\Test or not, you went way overboard...\Natsu's...\No.\I don't think he's dead. response:	That's not the kind of magic it was.
context: Natsu...?\The power just...\How could you...?\Test or not, you went way overboard...\Natsu's...\No.\I don't think he's dead.\That's not the kind of magic it was. response:	See?
context: The power just...\How could you...?\Test or not, you went way overboard...\Natsu's...\No.\I don't think he's dead.\That's not the kind of magic it was.\See? response:	Huh?
context: How could you...?\Test or not, you went way overboard...\Natsu's...\No.\I don't think he's dead.\That's not the kind of magic it was.\See?\Huh? response:	I used Disassembly Magic.
context: Test or not, you went way overboard...\Natsu's...\No.\I don't think he's dead.\That's not the kind of magic it was.\See?\Huh?\I used Disassembly Magic. response:	Lots of Natsus!
context: Natsu's...\No.\I don't think he's dead.\That's not the kind of magic it was.\See?\Huh?\I used Disassembly Magic.\Lots of Natsus! response:	Ow!
context: No.\I don't think he's dead.\That's not the kind of magic it was.\See?\Huh?\I used Disassembly Magic.\Lots of Natsus!\Ow! response:	H-He'll return to his normal form soon.
context: I don't think he's dead.\That's not the kind of magic it was.\See?\Huh?\I used Disassembly Magic.\Lots of Natsus!\Ow!\H-He'll return to his normal form soon. response:	But unfortunately, this is the end of the line for you, Natsu.
context: That's not the kind of magic it was.\See?\Huh?\I used Disassembly Magic.\Lots of Natsus!\Ow!\H-He'll return to his normal form soon.\But unfortunately, this is the end of the line for you, Natsu. response:	You fail the...
context: See?\Huh?\I used Disassembly Magic.\Lots of Natsus!\Ow!\H-He'll return to his normal form soon.\But unfortunately, this is the end of the line for you, Natsu.\You fail the... response:	Hold it right there!
context: Huh?\I used Disassembly Magic.\Lots of Natsus!\Ow!\H-He'll return to his normal form soon.\But unfortunately, this is the end of the line for you, Natsu.\You fail the...\Hold it right there! response:	I haven't thrown in the towel yet!
context: I used Disassembly Magic.\Lots of Natsus!\Ow!\H-He'll return to his normal form soon.\But unfortunately, this is the end of the line for you, Natsu.\You fail the...\Hold it right there!\I haven't thrown in the towel yet! response:	Tell'em!
context: Lots of Natsus!\Ow!\H-He'll return to his normal form soon.\But unfortunately, this is the end of the line for you, Natsu.\You fail the...\Hold it right there!\I haven't thrown in the towel yet!\Tell'em! response:	Don't underestimate me just'cause I've gone chibi!
context: Ow!\H-He'll return to his normal form soon.\But unfortunately, this is the end of the line for you, Natsu.\You fail the...\Hold it right there!\I haven't thrown in the towel yet!\Tell'em!\Don't underestimate me just'cause I've gone chibi! response:	I'm all fired up!
context: H-He'll return to his normal form soon.\But unfortunately, this is the end of the line for you, Natsu.\You fail the...\Hold it right there!\I haven't thrown in the towel yet!\Tell'em!\Don't underestimate me just'cause I've gone chibi!\I'm all fired up! response:	I'm Natsu!
context: But unfortunately, this is the end of the line for you, Natsu.\You fail the...\Hold it right there!\I haven't thrown in the towel yet!\Tell'em!\Don't underestimate me just'cause I've gone chibi!\I'm all fired up!\I'm Natsu! response:	No, I'm Natsu!
context: You fail the...\Hold it right there!\I haven't thrown in the towel yet!\Tell'em!\Don't underestimate me just'cause I've gone chibi!\I'm all fired up!\I'm Natsu!\No, I'm Natsu! response:	This is scary!
context: Hold it right there!\I haven't thrown in the towel yet!\Tell'em!\Don't underestimate me just'cause I've gone chibi!\I'm all fired up!\I'm Natsu!\No, I'm Natsu!\This is scary! response:	I just had a good idea!
context: I haven't thrown in the towel yet!\Tell'em!\Don't underestimate me just'cause I've gone chibi!\I'm all fired up!\I'm Natsu!\No, I'm Natsu!\This is scary!\I just had a good idea! response:	This is actually a stroke of luck!
context: Tell'em!\Don't underestimate me just'cause I've gone chibi!\I'm all fired up!\I'm Natsu!\No, I'm Natsu!\This is scary!\I just had a good idea!\This is actually a stroke of luck! response:	With this many me's, I'll be able to beat Gildarts!
context: Don't underestimate me just'cause I've gone chibi!\I'm all fired up!\I'm Natsu!\No, I'm Natsu!\This is scary!\I just had a good idea!\This is actually a stroke of luck!\With this many me's, I'll be able to beat Gildarts! response:	You made a big mistake!
context: I'm all fired up!\I'm Natsu!\No, I'm Natsu!\This is scary!\I just had a good idea!\This is actually a stroke of luck!\With this many me's, I'll be able to beat Gildarts!\You made a big mistake! response:	This fight belongs to me!
context: I'm Natsu!\No, I'm Natsu!\This is scary!\I just had a good idea!\This is actually a stroke of luck!\With this many me's, I'll be able to beat Gildarts!\You made a big mistake!\This fight belongs to me! response:	This is the first time anyone has dared fight me
context: No, I'm Natsu!\This is scary!\I just had a good idea!\This is actually a stroke of luck!\With this many me's, I'll be able to beat Gildarts!\You made a big mistake!\This fight belongs to me!\This is the first time anyone has dared fight me response:	after turning into multi-munchkins!
context: This is scary!\I just had a good idea!\This is actually a stroke of luck!\With this many me's, I'll be able to beat Gildarts!\You made a big mistake!\This fight belongs to me!\This is the first time anyone has dared fight me\after turning into multi-munchkins! response:	I'm exhausted...
context: I just had a good idea!\This is actually a stroke of luck!\With this many me's, I'll be able to beat Gildarts!\You made a big mistake!\This fight belongs to me!\This is the first time anyone has dared fight me\after turning into multi-munchkins!\I'm exhausted... response:	Now's my chance!
context: This is actually a stroke of luck!\With this many me's, I'll be able to beat Gildarts!\You made a big mistake!\This fight belongs to me!\This is the first time anyone has dared fight me\after turning into multi-munchkins!\I'm exhausted...\Now's my chance! response:	Aye, sir!
context: With this many me's, I'll be able to beat Gildarts!\You made a big mistake!\This fight belongs to me!\This is the first time anyone has dared fight me\after turning into multi-munchkins!\I'm exhausted...\Now's my chance!\Aye, sir! response:	Fire Dragon's Sword Horn!
context: You made a big mistake!\This fight belongs to me!\This is the first time anyone has dared fight me\after turning into multi-munchkins!\I'm exhausted...\Now's my chance!\Aye, sir!\Fire Dragon's Sword Horn! response:	Sword Horn!
context: This fight belongs to me!\This is the first time anyone has dared fight me\after turning into multi-munchkins!\I'm exhausted...\Now's my chance!\Aye, sir!\Fire Dragon's Sword Horn!\Sword Horn! response:	Oh. Natsu...
context: This is the first time anyone has dared fight me\after turning into multi-munchkins!\I'm exhausted...\Now's my chance!\Aye, sir!\Fire Dragon's Sword Horn!\Sword Horn!\Oh. Natsu... response:	Hey!
context: after turning into multi-munchkins!\I'm exhausted...\Now's my chance!\Aye, sir!\Fire Dragon's Sword Horn!\Sword Horn!\Oh. Natsu...\Hey! response:	Say it hurts, Gildarts!
context: I'm exhausted...\Now's my chance!\Aye, sir!\Fire Dragon's Sword Horn!\Sword Horn!\Oh. Natsu...\Hey!\Say it hurts, Gildarts! response:	Say it!
context: Now's my chance!\Aye, sir!\Fire Dragon's Sword Horn!\Sword Horn!\Oh. Natsu...\Hey!\Say it hurts, Gildarts!\Say it! response:	What? Let a guy relax, would ya?
context: Aye, sir!\Fire Dragon's Sword Horn!\Sword Horn!\Oh. Natsu...\Hey!\Say it hurts, Gildarts!\Say it!\What? Let a guy relax, would ya? response:	I just got home.
context: Fire Dragon's Sword Horn!\Sword Horn!\Oh. Natsu...\Hey!\Say it hurts, Gildarts!\Say it!\What? Let a guy relax, would ya?\I just got home. response:	Oh, shut up! I'm gonna take you apart!
context: Sword Horn!\Oh. Natsu...\Hey!\Say it hurts, Gildarts!\Say it!\What? Let a guy relax, would ya?\I just got home.\Oh, shut up! I'm gonna take you apart! response:	Take you apart!
context: Oh. Natsu...\Hey!\Say it hurts, Gildarts!\Say it!\What? Let a guy relax, would ya?\I just got home.\Oh, shut up! I'm gonna take you apart!\Take you apart! response:	Here I go! Fire Dragon's...
context: Hey!\Say it hurts, Gildarts!\Say it!\What? Let a guy relax, would ya?\I just got home.\Oh, shut up! I'm gonna take you apart!\Take you apart!\Here I go! Fire Dragon's... response:	Iron Fist?!
context: Say it hurts, Gildarts!\Say it!\What? Let a guy relax, would ya?\I just got home.\Oh, shut up! I'm gonna take you apart!\Take you apart!\Here I go! Fire Dragon's...\Iron Fist?! response:	Natsu!!
context: Say it!\What? Let a guy relax, would ya?\I just got home.\Oh, shut up! I'm gonna take you apart!\Take you apart!\Here I go! Fire Dragon's...\Iron Fist?!\Natsu!! response:	Owww...
context: What? Let a guy relax, would ya?\I just got home.\Oh, shut up! I'm gonna take you apart!\Take you apart!\Here I go! Fire Dragon's...\Iron Fist?!\Natsu!!\Owww... response:	The guy's a monster!
context: I just got home.\Oh, shut up! I'm gonna take you apart!\Take you apart!\Here I go! Fire Dragon's...\Iron Fist?!\Natsu!!\Owww...\The guy's a monster! response:	Are you okay?
context: Oh, shut up! I'm gonna take you apart!\Take you apart!\Here I go! Fire Dragon's...\Iron Fist?!\Natsu!!\Owww...\The guy's a monster!\Are you okay? response:	But I'm gonna beat that monster!
context: Take you apart!\Here I go! Fire Dragon's...\Iron Fist?!\Natsu!!\Owww...\The guy's a monster!\Are you okay?\But I'm gonna beat that monster! response:	Aye!
context: Here I go! Fire Dragon's...\Iron Fist?!\Natsu!!\Owww...\The guy's a monster!\Are you okay?\But I'm gonna beat that monster!\Aye! response:	Gildarts!
context: Iron Fist?!\Natsu!!\Owww...\The guy's a monster!\Are you okay?\But I'm gonna beat that monster!\Aye!\Gildarts! response:	Fight me!
context: Natsu!!\Owww...\The guy's a monster!\Are you okay?\But I'm gonna beat that monster!\Aye!\Gildarts!\Fight me! response:	Yo.
context: Owww...\The guy's a monster!\Are you okay?\But I'm gonna beat that monster!\Aye!\Gildarts!\Fight me!\Yo. response:	Eat this!
context: The guy's a monster!\Are you okay?\But I'm gonna beat that monster!\Aye!\Gildarts!\Fight me!\Yo.\Eat this! response:	Knockout!
context: Are you okay?\But I'm gonna beat that monster!\Aye!\Gildarts!\Fight me!\Yo.\Eat this!\Knockout! response:	Not Eat this.
context: But I'm gonna beat that monster!\Aye!\Gildarts!\Fight me!\Yo.\Eat this!\Knockout!\Not Eat this. response:	I-I'm back...
context: Aye!\Gildarts!\Fight me!\Yo.\Eat this!\Knockout!\Not Eat this.\I-I'm back... response:	He's at it again...
context: Gildarts!\Fight me!\Yo.\Eat this!\Knockout!\Not Eat this.\I-I'm back...\He's at it again... response:	This makes how many times?
context: Fight me!\Yo.\Eat this!\Knockout!\Not Eat this.\I-I'm back...\He's at it again...\This makes how many times? response:	That kid never learns his lesson.
context: Yo.\Eat this!\Knockout!\Not Eat this.\I-I'm back...\He's at it again...\This makes how many times?\That kid never learns his lesson. response:	Still, to keep facing Gildarts, no matter how many times he gets slapped down,
context: Eat this!\Knockout!\Not Eat this.\I-I'm back...\He's at it again...\This makes how many times?\That kid never learns his lesson.\Still, to keep facing Gildarts, no matter how many times he gets slapped down, response:	he deserves recognition for his courage.
context: Knockout!\Not Eat this.\I-I'm back...\He's at it again...\This makes how many times?\That kid never learns his lesson.\Still, to keep facing Gildarts, no matter how many times he gets slapped down,\he deserves recognition for his courage. response:	He deserves recognition for his courage, she says!
context: Not Eat this.\I-I'm back...\He's at it again...\This makes how many times?\That kid never learns his lesson.\Still, to keep facing Gildarts, no matter how many times he gets slapped down,\he deserves recognition for his courage.\He deserves recognition for his courage, she says! response:	Who the hell do you think you are?
context: I-I'm back...\He's at it again...\This makes how many times?\That kid never learns his lesson.\Still, to keep facing Gildarts, no matter how many times he gets slapped down,\he deserves recognition for his courage.\He deserves recognition for his courage, she says!\Who the hell do you think you are? response:	You got something to say to me, wench, why not just get it off your chest?!
context: He's at it again...\This makes how many times?\That kid never learns his lesson.\Still, to keep facing Gildarts, no matter how many times he gets slapped down,\he deserves recognition for his courage.\He deserves recognition for his courage, she says!\Who the hell do you think you are?\You got something to say to me, wench, why not just get it off your chest?! response:	Don't go acting like you're some kind of mentor!
context: This makes how many times?\That kid never learns his lesson.\Still, to keep facing Gildarts, no matter how many times he gets slapped down,\he deserves recognition for his courage.\He deserves recognition for his courage, she says!\Who the hell do you think you are?\You got something to say to me, wench, why not just get it off your chest?!\Don't go acting like you're some kind of mentor! response:	I'll clean the floor with you!
context: That kid never learns his lesson.\Still, to keep facing Gildarts, no matter how many times he gets slapped down,\he deserves recognition for his courage.\He deserves recognition for his courage, she says!\Who the hell do you think you are?\You got something to say to me, wench, why not just get it off your chest?!\Don't go acting like you're some kind of mentor!\I'll clean the floor with you! response:	I'm back! And now...
context: Still, to keep facing Gildarts, no matter how many times he gets slapped down,\he deserves recognition for his courage.\He deserves recognition for his courage, she says!\Who the hell do you think you are?\You got something to say to me, wench, why not just get it off your chest?!\Don't go acting like you're some kind of mentor!\I'll clean the floor with you!\I'm back! And now... response:	And now...
context: he deserves recognition for his courage.\He deserves recognition for his courage, she says!\Who the hell do you think you are?\You got something to say to me, wench, why not just get it off your chest?!\Don't go acting like you're some kind of mentor!\I'll clean the floor with you!\I'm back! And now...\And now... response:	Fire Dragon's Claw!
context: He deserves recognition for his courage, she says!\Who the hell do you think you are?\You got something to say to me, wench, why not just get it off your chest?!\Don't go acting like you're some kind of mentor!\I'll clean the floor with you!\I'm back! And now...\And now...\Fire Dragon's Claw! response:	That's pretty low!
context: Who the hell do you think you are?\You got something to say to me, wench, why not just get it off your chest?!\Don't go acting like you're some kind of mentor!\I'll clean the floor with you!\I'm back! And now...\And now...\Fire Dragon's Claw!\That's pretty low! response:	Grin...
context: You got something to say to me, wench, why not just get it off your chest?!\Don't go acting like you're some kind of mentor!\I'll clean the floor with you!\I'm back! And now...\And now...\Fire Dragon's Claw!\That's pretty low!\Grin... response:	Scary!
context: Don't go acting like you're some kind of mentor!\I'll clean the floor with you!\I'm back! And now...\And now...\Fire Dragon's Claw!\That's pretty low!\Grin...\Scary! response:	Amusing!
context: I'll clean the floor with you!\I'm back! And now...\And now...\Fire Dragon's Claw!\That's pretty low!\Grin...\Scary!\Amusing! response:	Come outside, Natsu.
context: I'm back! And now...\And now...\Fire Dragon's Claw!\That's pretty low!\Grin...\Scary!\Amusing!\Come outside, Natsu. response:	He's already outside!
context: And now...\Fire Dragon's Claw!\That's pretty low!\Grin...\Scary!\Amusing!\Come outside, Natsu.\He's already outside! response:	Hold on! Time out!
context: Fire Dragon's Claw!\That's pretty low!\Grin...\Scary!\Amusing!\Come outside, Natsu.\He's already outside!\Hold on! Time out! response:	That looks more interesting, Erza!
context: That's pretty low!\Grin...\Scary!\Amusing!\Come outside, Natsu.\He's already outside!\Hold on! Time out!\That looks more interesting, Erza! response:	Mm! What do you say we check it out?!
context: Grin...\Scary!\Amusing!\Come outside, Natsu.\He's already outside!\Hold on! Time out!\That looks more interesting, Erza!\Mm! What do you say we check it out?! response:	Nobody around here has ever heard of an indoor voice!
context: Scary!\Amusing!\Come outside, Natsu.\He's already outside!\Hold on! Time out!\That looks more interesting, Erza!\Mm! What do you say we check it out?!\Nobody around here has ever heard of an indoor voice! response:	But you're going to watch it too, aren't you, Gray?
context: Amusing!\Come outside, Natsu.\He's already outside!\Hold on! Time out!\That looks more interesting, Erza!\Mm! What do you say we check it out?!\Nobody around here has ever heard of an indoor voice!\But you're going to watch it too, aren't you, Gray? response:	Well, I guess...
context: Come outside, Natsu.\He's already outside!\Hold on! Time out!\That looks more interesting, Erza!\Mm! What do you say we check it out?!\Nobody around here has ever heard of an indoor voice!\But you're going to watch it too, aren't you, Gray?\Well, I guess... response:	What's wrong, Cana?
context: He's already outside!\Hold on! Time out!\That looks more interesting, Erza!\Mm! What do you say we check it out?!\Nobody around here has ever heard of an indoor voice!\But you're going to watch it too, aren't you, Gray?\Well, I guess...\What's wrong, Cana? response:	Aren't you going?
context: Hold on! Time out!\That looks more interesting, Erza!\Mm! What do you say we check it out?!\Nobody around here has ever heard of an indoor voice!\But you're going to watch it too, aren't you, Gray?\Well, I guess...\What's wrong, Cana?\Aren't you going? response:	I'll pass...
context: That looks more interesting, Erza!\Mm! What do you say we check it out?!\Nobody around here has ever heard of an indoor voice!\But you're going to watch it too, aren't you, Gray?\Well, I guess...\What's wrong, Cana?\Aren't you going?\I'll pass... response:	Suit yourself.
context: Mm! What do you say we check it out?!\Nobody around here has ever heard of an indoor voice!\But you're going to watch it too, aren't you, Gray?\Well, I guess...\What's wrong, Cana?\Aren't you going?\I'll pass...\Suit yourself. response:	You haven't even hit him once, Natsu!
context: Nobody around here has ever heard of an indoor voice!\But you're going to watch it too, aren't you, Gray?\Well, I guess...\What's wrong, Cana?\Aren't you going?\I'll pass...\Suit yourself.\You haven't even hit him once, Natsu! response:	Oh, shut up...
context: But you're going to watch it too, aren't you, Gray?\Well, I guess...\What's wrong, Cana?\Aren't you going?\I'll pass...\Suit yourself.\You haven't even hit him once, Natsu!\Oh, shut up... response:	What's wrong? Is this all you've got?
context: Well, I guess...\What's wrong, Cana?\Aren't you going?\I'll pass...\Suit yourself.\You haven't even hit him once, Natsu!\Oh, shut up...\What's wrong? Is this all you've got? response:	Listen up, Gildarts...
context: What's wrong, Cana?\Aren't you going?\I'll pass...\Suit yourself.\You haven't even hit him once, Natsu!\Oh, shut up...\What's wrong? Is this all you've got?\Listen up, Gildarts... response:	You're strong, the strongest in the guild...
context: Aren't you going?\I'll pass...\Suit yourself.\You haven't even hit him once, Natsu!\Oh, shut up...\What's wrong? Is this all you've got?\Listen up, Gildarts...\You're strong, the strongest in the guild... response:	You can barely stand up, Natsu...
context: I'll pass...\Suit yourself.\You haven't even hit him once, Natsu!\Oh, shut up...\What's wrong? Is this all you've got?\Listen up, Gildarts...\You're strong, the strongest in the guild...\You can barely stand up, Natsu... response:	And that's why I'm gonna beat you one day, I swear it!
context: Suit yourself.\You haven't even hit him once, Natsu!\Oh, shut up...\What's wrong? Is this all you've got?\Listen up, Gildarts...\You're strong, the strongest in the guild...\You can barely stand up, Natsu...\And that's why I'm gonna beat you one day, I swear it! response:	That sounded cool, Natsu, but I think it's iffy at best.
context: You haven't even hit him once, Natsu!\Oh, shut up...\What's wrong? Is this all you've got?\Listen up, Gildarts...\You're strong, the strongest in the guild...\You can barely stand up, Natsu...\And that's why I'm gonna beat you one day, I swear it!\That sounded cool, Natsu, but I think it's iffy at best. response:	You'll see... I swear... I'll...
context: Oh, shut up...\What's wrong? Is this all you've got?\Listen up, Gildarts...\You're strong, the strongest in the guild...\You can barely stand up, Natsu...\And that's why I'm gonna beat you one day, I swear it!\That sounded cool, Natsu, but I think it's iffy at best.\You'll see... I swear... I'll... response:	Yeah...
context: What's wrong? Is this all you've got?\Listen up, Gildarts...\You're strong, the strongest in the guild...\You can barely stand up, Natsu...\And that's why I'm gonna beat you one day, I swear it!\That sounded cool, Natsu, but I think it's iffy at best.\You'll see... I swear... I'll...\Yeah... response:	I won't pull my punches either...
context: Listen up, Gildarts...\You're strong, the strongest in the guild...\You can barely stand up, Natsu...\And that's why I'm gonna beat you one day, I swear it!\That sounded cool, Natsu, but I think it's iffy at best.\You'll see... I swear... I'll...\Yeah...\I won't pull my punches either... response:	And I ain't gonna lose...
context: You're strong, the strongest in the guild...\You can barely stand up, Natsu...\And that's why I'm gonna beat you one day, I swear it!\That sounded cool, Natsu, but I think it's iffy at best.\You'll see... I swear... I'll...\Yeah...\I won't pull my punches either...\And I ain't gonna lose... response:	Here I go, Gildarts!
context: You can barely stand up, Natsu...\And that's why I'm gonna beat you one day, I swear it!\That sounded cool, Natsu, but I think it's iffy at best.\You'll see... I swear... I'll...\Yeah...\I won't pull my punches either...\And I ain't gonna lose...\Here I go, Gildarts! response:	It's an army of Natsus!
context: And that's why I'm gonna beat you one day, I swear it!\That sounded cool, Natsu, but I think it's iffy at best.\You'll see... I swear... I'll...\Yeah...\I won't pull my punches either...\And I ain't gonna lose...\Here I go, Gildarts!\It's an army of Natsus! response:	He never learns...
context: That sounded cool, Natsu, but I think it's iffy at best.\You'll see... I swear... I'll...\Yeah...\I won't pull my punches either...\And I ain't gonna lose...\Here I go, Gildarts!\It's an army of Natsus!\He never learns... response:	Here I go! Fire Dragon's...
context: You'll see... I swear... I'll...\Yeah...\I won't pull my punches either...\And I ain't gonna lose...\Here I go, Gildarts!\It's an army of Natsus!\He never learns...\Here I go! Fire Dragon's... response:	Roar!
context: Yeah...\I won't pull my punches either...\And I ain't gonna lose...\Here I go, Gildarts!\It's an army of Natsus!\He never learns...\Here I go! Fire Dragon's...\Roar! response:	Iron Fist!
context: I won't pull my punches either...\And I ain't gonna lose...\Here I go, Gildarts!\It's an army of Natsus!\He never learns...\Here I go! Fire Dragon's...\Roar!\Iron Fist! response:	Claw!
context: And I ain't gonna lose...\Here I go, Gildarts!\It's an army of Natsus!\He never learns...\Here I go! Fire Dragon's...\Roar!\Iron Fist!\Claw! response:	Gross!
context: Here I go, Gildarts!\It's an army of Natsus!\He never learns...\Here I go! Fire Dragon's...\Roar!\Iron Fist!\Claw!\Gross! response:	Annoying little turds!
context: It's an army of Natsus!\He never learns...\Here I go! Fire Dragon's...\Roar!\Iron Fist!\Claw!\Gross!\Annoying little turds! response:	I'm all fired up!
context: He never learns...\Here I go! Fire Dragon's...\Roar!\Iron Fist!\Claw!\Gross!\Annoying little turds!\I'm all fired up! response:	Go back to your normal form!
context: Here I go! Fire Dragon's...\Roar!\Iron Fist!\Claw!\Gross!\Annoying little turds!\I'm all fired up!\Go back to your normal form! response:	Now's my chance!
context: Roar!\Iron Fist!\Claw!\Gross!\Annoying little turds!\I'm all fired up!\Go back to your normal form!\Now's my chance! response:	Dragon Slayer Magic!
context: Iron Fist!\Claw!\Gross!\Annoying little turds!\I'm all fired up!\Go back to your normal form!\Now's my chance!\Dragon Slayer Magic! response:	He's close!
context: Claw!\Gross!\Annoying little turds!\I'm all fired up!\Go back to your normal form!\Now's my chance!\Dragon Slayer Magic!\He's close! response:	Crimson Lotus: Exploding Flame Blade!
context: Gross!\Annoying little turds!\I'm all fired up!\Go back to your normal form!\Now's my chance!\Dragon Slayer Magic!\He's close!\Crimson Lotus: Exploding Flame Blade! response:	Is it over?!
context: Annoying little turds!\I'm all fired up!\Go back to your normal form!\Now's my chance!\Dragon Slayer Magic!\He's close!\Crimson Lotus: Exploding Flame Blade!\Is it over?! response:	I don't believe it! Natsu gave it everything he's got!
context: I'm all fired up!\Go back to your normal form!\Now's my chance!\Dragon Slayer Magic!\He's close!\Crimson Lotus: Exploding Flame Blade!\Is it over?!\I don't believe it! Natsu gave it everything he's got! response:	And it had no effect whatsoever?!
context: Go back to your normal form!\Now's my chance!\Dragon Slayer Magic!\He's close!\Crimson Lotus: Exploding Flame Blade!\Is it over?!\I don't believe it! Natsu gave it everything he's got!\And it had no effect whatsoever?! response:	I wouldn't say that! Look closely, Happy!
context: Now's my chance!\Dragon Slayer Magic!\He's close!\Crimson Lotus: Exploding Flame Blade!\Is it over?!\I don't believe it! Natsu gave it everything he's got!\And it had no effect whatsoever?!\I wouldn't say that! Look closely, Happy! response:	I moved Gildarts from his original position!
context: Dragon Slayer Magic!\He's close!\Crimson Lotus: Exploding Flame Blade!\Is it over?!\I don't believe it! Natsu gave it everything he's got!\And it had no effect whatsoever?!\I wouldn't say that! Look closely, Happy!\I moved Gildarts from his original position! response:	That's one giant step!
context: He's close!\Crimson Lotus: Exploding Flame Blade!\Is it over?!\I don't believe it! Natsu gave it everything he's got!\And it had no effect whatsoever?!\I wouldn't say that! Look closely, Happy!\I moved Gildarts from his original position!\That's one giant step! response:	You moved him?
context: Crimson Lotus: Exploding Flame Blade!\Is it over?!\I don't believe it! Natsu gave it everything he's got!\And it had no effect whatsoever?!\I wouldn't say that! Look closely, Happy!\I moved Gildarts from his original position!\That's one giant step!\You moved him? response:	Come to think of it, Gildarts didn't take even one step!
context: Is it over?!\I don't believe it! Natsu gave it everything he's got!\And it had no effect whatsoever?!\I wouldn't say that! Look closely, Happy!\I moved Gildarts from his original position!\That's one giant step!\You moved him?\Come to think of it, Gildarts didn't take even one step! response:	On the other hand, he beat you senseless without even taking one step, Natsu!
context: I don't believe it! Natsu gave it everything he's got!\And it had no effect whatsoever?!\I wouldn't say that! Look closely, Happy!\I moved Gildarts from his original position!\That's one giant step!\You moved him?\Come to think of it, Gildarts didn't take even one step!\On the other hand, he beat you senseless without even taking one step, Natsu! response:	And you're staggering!
context: And it had no effect whatsoever?!\I wouldn't say that! Look closely, Happy!\I moved Gildarts from his original position!\That's one giant step!\You moved him?\Come to think of it, Gildarts didn't take even one step!\On the other hand, he beat you senseless without even taking one step, Natsu!\And you're staggering! response:	I am not!
context: I wouldn't say that! Look closely, Happy!\I moved Gildarts from his original position!\That's one giant step!\You moved him?\Come to think of it, Gildarts didn't take even one step!\On the other hand, he beat you senseless without even taking one step, Natsu!\And you're staggering!\I am not! response:	You're not?!
context: I moved Gildarts from his original position!\That's one giant step!\You moved him?\Come to think of it, Gildarts didn't take even one step!\On the other hand, he beat you senseless without even taking one step, Natsu!\And you're staggering!\I am not!\You're not?! response:	Very impressive, Natsu.
context: That's one giant step!\You moved him?\Come to think of it, Gildarts didn't take even one step!\On the other hand, he beat you senseless without even taking one step, Natsu!\And you're staggering!\I am not!\You're not?!\Very impressive, Natsu. response:	I have a good sense of your power.
context: You moved him?\Come to think of it, Gildarts didn't take even one step!\On the other hand, he beat you senseless without even taking one step, Natsu!\And you're staggering!\I am not!\You're not?!\Very impressive, Natsu.\I have a good sense of your power. response:	As an examiner, I could pass you right now, but...
context: Come to think of it, Gildarts didn't take even one step!\On the other hand, he beat you senseless without even taking one step, Natsu!\And you're staggering!\I am not!\You're not?!\Very impressive, Natsu.\I have a good sense of your power.\As an examiner, I could pass you right now, but... response:	Don't give me that crap!
