context: C- could he have fallen asleep? response:	I don't know...
context: I should be able to pick up Gohan in a few hours like this!\H- how can this be!?\A village we haven't attacked yet has been exterminated!\lf I submerge the Dragon Ball here, no one will be able to find it.\Whatever it takes, I have to get that Dragon Ball...\What happened? Who overcame you?\A S- Saiyan... came for the Dragon Ball...\So it was Vegeta, was it? response:	T- the Dragon-
context: H- how can this be!?\A village we haven't attacked yet has been exterminated!\lf I submerge the Dragon Ball here, no one will be able to find it.\Whatever it takes, I have to get that Dragon Ball...\What happened? Who overcame you?\A S- Saiyan... came for the Dragon Ball...\So it was Vegeta, was it?\T- the Dragon- response:	Know when it's time to die!
context: A village we haven't attacked yet has been exterminated!\lf I submerge the Dragon Ball here, no one will be able to find it.\Whatever it takes, I have to get that Dragon Ball...\What happened? Who overcame you?\A S- Saiyan... came for the Dragon Ball...\So it was Vegeta, was it?\T- the Dragon-\Know when it's time to die! response:	It couldn't be...
context: lf I submerge the Dragon Ball here, no one will be able to find it.\Whatever it takes, I have to get that Dragon Ball...\What happened? Who overcame you?\A S- Saiyan... came for the Dragon Ball...\So it was Vegeta, was it?\T- the Dragon-\Know when it's time to die!\It couldn't be... response:	Freeza-sama, it is Zarbon.
context: Whatever it takes, I have to get that Dragon Ball...\What happened? Who overcame you?\A S- Saiyan... came for the Dragon Ball...\So it was Vegeta, was it?\T- the Dragon-\Know when it's time to die!\It couldn't be...\Freeza-sama, it is Zarbon. response:	Come in.
context: What happened? Who overcame you?\A S- Saiyan... came for the Dragon Ball...\So it was Vegeta, was it?\T- the Dragon-\Know when it's time to die!\It couldn't be...\Freeza-sama, it is Zarbon.\Come in. response:	Has a village been located?
context: A S- Saiyan... came for the Dragon Ball...\So it was Vegeta, was it?\T- the Dragon-\Know when it's time to die!\It couldn't be...\Freeza-sama, it is Zarbon.\Come in.\Has a village been located? response:	No, we have not discovered any villages at this time,
context: So it was Vegeta, was it?\T- the Dragon-\Know when it's time to die!\It couldn't be...\Freeza-sama, it is Zarbon.\Come in.\Has a village been located?\No, we have not discovered any villages at this time, response:	but I have just come from defeating Vegeta.
context: T- the Dragon-\Know when it's time to die!\It couldn't be...\Freeza-sama, it is Zarbon.\Come in.\Has a village been located?\No, we have not discovered any villages at this time,\but I have just come from defeating Vegeta. response:	Oh, is that so? Then Zarbon- san,
context: Know when it's time to die!\It couldn't be...\Freeza-sama, it is Zarbon.\Come in.\Has a village been located?\No, we have not discovered any villages at this time,\but I have just come from defeating Vegeta.\Oh, is that so? Then Zarbon- san, response:	that means you transformed for the first time in ages, yes?
context: It couldn't be...\Freeza-sama, it is Zarbon.\Come in.\Has a village been located?\No, we have not discovered any villages at this time,\but I have just come from defeating Vegeta.\Oh, is that so? Then Zarbon- san,\that means you transformed for the first time in ages, yes? response:	Yes, sir.
context: Freeza-sama, it is Zarbon.\Come in.\Has a village been located?\No, we have not discovered any villages at this time,\but I have just come from defeating Vegeta.\Oh, is that so? Then Zarbon- san,\that means you transformed for the first time in ages, yes?\Yes, sir. response:	So, Vegeta did die, then?
context: Come in.\Has a village been located?\No, we have not discovered any villages at this time,\but I have just come from defeating Vegeta.\Oh, is that so? Then Zarbon- san,\that means you transformed for the first time in ages, yes?\Yes, sir.\So, Vegeta did die, then? response:	Well, I did not exactly check for a body,
context: Has a village been located?\No, we have not discovered any villages at this time,\but I have just come from defeating Vegeta.\Oh, is that so? Then Zarbon- san,\that means you transformed for the first time in ages, yes?\Yes, sir.\So, Vegeta did die, then?\Well, I did not exactly check for a body, response:	but even in the unlikely event that he did survive, he must be gravely injured.
context: No, we have not discovered any villages at this time,\but I have just come from defeating Vegeta.\Oh, is that so? Then Zarbon- san,\that means you transformed for the first time in ages, yes?\Yes, sir.\So, Vegeta did die, then?\Well, I did not exactly check for a body,\but even in the unlikely event that he did survive, he must be gravely injured. response:	Why did you not verify that he was dead?
context: but I have just come from defeating Vegeta.\Oh, is that so? Then Zarbon- san,\that means you transformed for the first time in ages, yes?\Yes, sir.\So, Vegeta did die, then?\Well, I did not exactly check for a body,\but even in the unlikely event that he did survive, he must be gravely injured.\Why did you not verify that he was dead? response:	W- well, Vegeta had been submerged underwater, so...
context: Oh, is that so? Then Zarbon- san,\that means you transformed for the first time in ages, yes?\Yes, sir.\So, Vegeta did die, then?\Well, I did not exactly check for a body,\but even in the unlikely event that he did survive, he must be gravely injured.\Why did you not verify that he was dead?\W- well, Vegeta had been submerged underwater, so... response:	You could have dove into the water, no?
context: that means you transformed for the first time in ages, yes?\Yes, sir.\So, Vegeta did die, then?\Well, I did not exactly check for a body,\but even in the unlikely event that he did survive, he must be gravely injured.\Why did you not verify that he was dead?\W- well, Vegeta had been submerged underwater, so...\You could have dove into the water, no? response:	You were loathe to get yourself wet, and neglected to check for his corpse.
context: Yes, sir.\So, Vegeta did die, then?\Well, I did not exactly check for a body,\but even in the unlikely event that he did survive, he must be gravely injured.\Why did you not verify that he was dead?\W- well, Vegeta had been submerged underwater, so...\You could have dove into the water, no?\You were loathe to get yourself wet, and neglected to check for his corpse. response:	And trying to kill him right away was a rash thing to do in the first place.
context: So, Vegeta did die, then?\Well, I did not exactly check for a body,\but even in the unlikely event that he did survive, he must be gravely injured.\Why did you not verify that he was dead?\W- well, Vegeta had been submerged underwater, so...\You could have dove into the water, no?\You were loathe to get yourself wet, and neglected to check for his corpse.\And trying to kill him right away was a rash thing to do in the first place. response:	What are we to do if Vegeta has hidden a Dragon Ball from us somewhere?
context: Well, I did not exactly check for a body,\but even in the unlikely event that he did survive, he must be gravely injured.\Why did you not verify that he was dead?\W- well, Vegeta had been submerged underwater, so...\You could have dove into the water, no?\You were loathe to get yourself wet, and neglected to check for his corpse.\And trying to kill him right away was a rash thing to do in the first place.\What are we to do if Vegeta has hidden a Dragon Ball from us somewhere? response:	I- I am terribly sorry! I will go check on him at once!
context: but even in the unlikely event that he did survive, he must be gravely injured.\Why did you not verify that he was dead?\W- well, Vegeta had been submerged underwater, so...\You could have dove into the water, no?\You were loathe to get yourself wet, and neglected to check for his corpse.\And trying to kill him right away was a rash thing to do in the first place.\What are we to do if Vegeta has hidden a Dragon Ball from us somewhere?\I- I am terribly sorry! I will go check on him at once! response:	Freeza- sama!
context: Why did you not verify that he was dead?\W- well, Vegeta had been submerged underwater, so...\You could have dove into the water, no?\You were loathe to get yourself wet, and neglected to check for his corpse.\And trying to kill him right away was a rash thing to do in the first place.\What are we to do if Vegeta has hidden a Dragon Ball from us somewhere?\I- I am terribly sorry! I will go check on him at once!\Freeza- sama! response:	I have- I have discovered a village!
context: W- well, Vegeta had been submerged underwater, so...\You could have dove into the water, no?\You were loathe to get yourself wet, and neglected to check for his corpse.\And trying to kill him right away was a rash thing to do in the first place.\What are we to do if Vegeta has hidden a Dragon Ball from us somewhere?\I- I am terribly sorry! I will go check on him at once!\Freeza- sama!\I have- I have discovered a village! response:	What?
context: You could have dove into the water, no?\You were loathe to get yourself wet, and neglected to check for his corpse.\And trying to kill him right away was a rash thing to do in the first place.\What are we to do if Vegeta has hidden a Dragon Ball from us somewhere?\I- I am terribly sorry! I will go check on him at once!\Freeza- sama!\I have- I have discovered a village!\What? response:	However, the village had already been destroyed.
context: You were loathe to get yourself wet, and neglected to check for his corpse.\And trying to kill him right away was a rash thing to do in the first place.\What are we to do if Vegeta has hidden a Dragon Ball from us somewhere?\I- I am terribly sorry! I will go check on him at once!\Freeza- sama!\I have- I have discovered a village!\What?\However, the village had already been destroyed. response:	What was that!?
context: And trying to kill him right away was a rash thing to do in the first place.\What are we to do if Vegeta has hidden a Dragon Ball from us somewhere?\I- I am terribly sorry! I will go check on him at once!\Freeza- sama!\I have- I have discovered a village!\What?\However, the village had already been destroyed.\What was that!? response:	I am afraid it was the work of Vegeta.
context: What are we to do if Vegeta has hidden a Dragon Ball from us somewhere?\I- I am terribly sorry! I will go check on him at once!\Freeza- sama!\I have- I have discovered a village!\What?\However, the village had already been destroyed.\What was that!?\I am afraid it was the work of Vegeta. response:	Then he has hidden a Dragon Ball somewhere!
context: I- I am terribly sorry! I will go check on him at once!\Freeza- sama!\I have- I have discovered a village!\What?\However, the village had already been destroyed.\What was that!?\I am afraid it was the work of Vegeta.\Then he has hidden a Dragon Ball somewhere! response:	There was one surviving villager, but I disposed of him immediately.
context: Freeza- sama!\I have- I have discovered a village!\What?\However, the village had already been destroyed.\What was that!?\I am afraid it was the work of Vegeta.\Then he has hidden a Dragon Ball somewhere!\There was one surviving villager, but I disposed of him immediately. response:	You killed him, then? The only witness we had?
context: I have- I have discovered a village!\What?\However, the village had already been destroyed.\What was that!?\I am afraid it was the work of Vegeta.\Then he has hidden a Dragon Ball somewhere!\There was one surviving villager, but I disposed of him immediately.\You killed him, then? The only witness we had? response:	Y- yes, sir...
context: What?\However, the village had already been destroyed.\What was that!?\I am afraid it was the work of Vegeta.\Then he has hidden a Dragon Ball somewhere!\There was one surviving villager, but I disposed of him immediately.\You killed him, then? The only witness we had?\Y- yes, sir... response:	The thing I hate most is when rash actions are taken when there is insufficient data.
context: However, the village had already been destroyed.\What was that!?\I am afraid it was the work of Vegeta.\Then he has hidden a Dragon Ball somewhere!\There was one surviving villager, but I disposed of him immediately.\You killed him, then? The only witness we had?\Y- yes, sir...\The thing I hate most is when rash actions are taken when there is insufficient data. response:	Be prepared to answer to me as well if Vegeta is dead.
context: What was that!?\I am afraid it was the work of Vegeta.\Then he has hidden a Dragon Ball somewhere!\There was one surviving villager, but I disposed of him immediately.\You killed him, then? The only witness we had?\Y- yes, sir...\The thing I hate most is when rash actions are taken when there is insufficient data.\Be prepared to answer to me as well if Vegeta is dead. response:	Bring Vegeta here at once.
context: I am afraid it was the work of Vegeta.\Then he has hidden a Dragon Ball somewhere!\There was one surviving villager, but I disposed of him immediately.\You killed him, then? The only witness we had?\Y- yes, sir...\The thing I hate most is when rash actions are taken when there is insufficient data.\Be prepared to answer to me as well if Vegeta is dead.\Bring Vegeta here at once. response:	This time, place your hopes on the chance that he is still alive.
context: Then he has hidden a Dragon Ball somewhere!\There was one surviving villager, but I disposed of him immediately.\You killed him, then? The only witness we had?\Y- yes, sir...\The thing I hate most is when rash actions are taken when there is insufficient data.\Be prepared to answer to me as well if Vegeta is dead.\Bring Vegeta here at once.\This time, place your hopes on the chance that he is still alive. response:	-Yes, sir! -Appule!
context: There was one surviving villager, but I disposed of him immediately.\You killed him, then? The only witness we had?\Y- yes, sir...\The thing I hate most is when rash actions are taken when there is insufficient data.\Be prepared to answer to me as well if Vegeta is dead.\Bring Vegeta here at once.\This time, place your hopes on the chance that he is still alive.\-Yes, sir! -Appule! response:	Yes, sir?
context: You killed him, then? The only witness we had?\Y- yes, sir...\The thing I hate most is when rash actions are taken when there is insufficient data.\Be prepared to answer to me as well if Vegeta is dead.\Bring Vegeta here at once.\This time, place your hopes on the chance that he is still alive.\-Yes, sir! -Appule!\Yes, sir? response:	You will contact Planet Freeza
context: Y- yes, sir...\The thing I hate most is when rash actions are taken when there is insufficient data.\Be prepared to answer to me as well if Vegeta is dead.\Bring Vegeta here at once.\This time, place your hopes on the chance that he is still alive.\-Yes, sir! -Appule!\Yes, sir?\You will contact Planet Freeza response:	and inform the Ginyu Special Corps that they are to come here.
context: The thing I hate most is when rash actions are taken when there is insufficient data.\Be prepared to answer to me as well if Vegeta is dead.\Bring Vegeta here at once.\This time, place your hopes on the chance that he is still alive.\-Yes, sir! -Appule!\Yes, sir?\You will contact Planet Freeza\and inform the Ginyu Special Corps that they are to come here. response:	And of course, tell them to bring Scouters with them.
context: Be prepared to answer to me as well if Vegeta is dead.\Bring Vegeta here at once.\This time, place your hopes on the chance that he is still alive.\-Yes, sir! -Appule!\Yes, sir?\You will contact Planet Freeza\and inform the Ginyu Special Corps that they are to come here.\And of course, tell them to bring Scouters with them. response:	They should arrive in five days.
context: Bring Vegeta here at once.\This time, place your hopes on the chance that he is still alive.\-Yes, sir! -Appule!\Yes, sir?\You will contact Planet Freeza\and inform the Ginyu Special Corps that they are to come here.\And of course, tell them to bring Scouters with them.\They should arrive in five days. response:	Understood.
context: This time, place your hopes on the chance that he is still alive.\-Yes, sir! -Appule!\Yes, sir?\You will contact Planet Freeza\and inform the Ginyu Special Corps that they are to come here.\And of course, tell them to bring Scouters with them.\They should arrive in five days.\Understood. response:	F- Freeza- sama, why the Ginyu Special Corps?
context: -Yes, sir! -Appule!\Yes, sir?\You will contact Planet Freeza\and inform the Ginyu Special Corps that they are to come here.\And of course, tell them to bring Scouters with them.\They should arrive in five days.\Understood.\F- Freeza- sama, why the Ginyu Special Corps? response:	Forgive me for saying so,
context: Yes, sir?\You will contact Planet Freeza\and inform the Ginyu Special Corps that they are to come here.\And of course, tell them to bring Scouters with them.\They should arrive in five days.\Understood.\F- Freeza- sama, why the Ginyu Special Corps?\Forgive me for saying so, response:	but I believe it is completely unnecessary to call that group here.
context: You will contact Planet Freeza\and inform the Ginyu Special Corps that they are to come here.\And of course, tell them to bring Scouters with them.\They should arrive in five days.\Understood.\F- Freeza- sama, why the Ginyu Special Corps?\Forgive me for saying so,\but I believe it is completely unnecessary to call that group here. response:	I feel an odd foreboding.
context: and inform the Ginyu Special Corps that they are to come here.\And of course, tell them to bring Scouters with them.\They should arrive in five days.\Understood.\F- Freeza- sama, why the Ginyu Special Corps?\Forgive me for saying so,\but I believe it is completely unnecessary to call that group here.\I feel an odd foreboding. response:	H- how do you mean, foreboding?
context: And of course, tell them to bring Scouters with them.\They should arrive in five days.\Understood.\F- Freeza- sama, why the Ginyu Special Corps?\Forgive me for saying so,\but I believe it is completely unnecessary to call that group here.\I feel an odd foreboding.\H- how do you mean, foreboding? response:	I have been thinking this for a little while now,
context: They should arrive in five days.\Understood.\F- Freeza- sama, why the Ginyu Special Corps?\Forgive me for saying so,\but I believe it is completely unnecessary to call that group here.\I feel an odd foreboding.\H- how do you mean, foreboding?\I have been thinking this for a little while now, response:	but it would seem that there is a powerful Saiyan being brought up,
context: Understood.\F- Freeza- sama, why the Ginyu Special Corps?\Forgive me for saying so,\but I believe it is completely unnecessary to call that group here.\I feel an odd foreboding.\H- how do you mean, foreboding?\I have been thinking this for a little while now,\but it would seem that there is a powerful Saiyan being brought up, response:	and in time, I feel he will become my foe.
context: F- Freeza- sama, why the Ginyu Special Corps?\Forgive me for saying so,\but I believe it is completely unnecessary to call that group here.\I feel an odd foreboding.\H- how do you mean, foreboding?\I have been thinking this for a little while now,\but it would seem that there is a powerful Saiyan being brought up,\and in time, I feel he will become my foe. response:	At first, I thought it was Vegeta, but it does not appear to be.
context: Forgive me for saying so,\but I believe it is completely unnecessary to call that group here.\I feel an odd foreboding.\H- how do you mean, foreboding?\I have been thinking this for a little while now,\but it would seem that there is a powerful Saiyan being brought up,\and in time, I feel he will become my foe.\At first, I thought it was Vegeta, but it does not appear to be. response:	A- are you sure you are not making too much of it?
context: but I believe it is completely unnecessary to call that group here.\I feel an odd foreboding.\H- how do you mean, foreboding?\I have been thinking this for a little while now,\but it would seem that there is a powerful Saiyan being brought up,\and in time, I feel he will become my foe.\At first, I thought it was Vegeta, but it does not appear to be.\A- are you sure you are not making too much of it? response:	Aside from Vegeta, there is only what's-his-name and his child, on Earth.
context: I feel an odd foreboding.\H- how do you mean, foreboding?\I have been thinking this for a little while now,\but it would seem that there is a powerful Saiyan being brought up,\and in time, I feel he will become my foe.\At first, I thought it was Vegeta, but it does not appear to be.\A- are you sure you are not making too much of it?\Aside from Vegeta, there is only what's-his-name and his child, on Earth. response:	Their battle power is supposed to be considerably lower than Vegeta's.
context: H- how do you mean, foreboding?\I have been thinking this for a little while now,\but it would seem that there is a powerful Saiyan being brought up,\and in time, I feel he will become my foe.\At first, I thought it was Vegeta, but it does not appear to be.\A- are you sure you are not making too much of it?\Aside from Vegeta, there is only what's-his-name and his child, on Earth.\Their battle power is supposed to be considerably lower than Vegeta's. response:	Are you telling me that my foreboding is wrong?
context: I have been thinking this for a little while now,\but it would seem that there is a powerful Saiyan being brought up,\and in time, I feel he will become my foe.\At first, I thought it was Vegeta, but it does not appear to be.\A- are you sure you are not making too much of it?\Aside from Vegeta, there is only what's-his-name and his child, on Earth.\Their battle power is supposed to be considerably lower than Vegeta's.\Are you telling me that my foreboding is wrong? response:	N- no, sir.
context: but it would seem that there is a powerful Saiyan being brought up,\and in time, I feel he will become my foe.\At first, I thought it was Vegeta, but it does not appear to be.\A- are you sure you are not making too much of it?\Aside from Vegeta, there is only what's-his-name and his child, on Earth.\Their battle power is supposed to be considerably lower than Vegeta's.\Are you telling me that my foreboding is wrong?\N- no, sir. response:	Never mind that, I would like you to hurry and bring Vegeta here.
context: and in time, I feel he will become my foe.\At first, I thought it was Vegeta, but it does not appear to be.\A- are you sure you are not making too much of it?\Aside from Vegeta, there is only what's-his-name and his child, on Earth.\Their battle power is supposed to be considerably lower than Vegeta's.\Are you telling me that my foreboding is wrong?\N- no, sir.\Never mind that, I would like you to hurry and bring Vegeta here. response:	Y- yes, sir!
context: At first, I thought it was Vegeta, but it does not appear to be.\A- are you sure you are not making too much of it?\Aside from Vegeta, there is only what's-his-name and his child, on Earth.\Their battle power is supposed to be considerably lower than Vegeta's.\Are you telling me that my foreboding is wrong?\N- no, sir.\Never mind that, I would like you to hurry and bring Vegeta here.\Y- yes, sir! response:	The Ginyu Special Corps...
context: A- are you sure you are not making too much of it?\Aside from Vegeta, there is only what's-his-name and his child, on Earth.\Their battle power is supposed to be considerably lower than Vegeta's.\Are you telling me that my foreboding is wrong?\N- no, sir.\Never mind that, I would like you to hurry and bring Vegeta here.\Y- yes, sir!\The Ginyu Special Corps... response:	The Saiyans do indeed
context: Aside from Vegeta, there is only what's-his-name and his child, on Earth.\Their battle power is supposed to be considerably lower than Vegeta's.\Are you telling me that my foreboding is wrong?\N- no, sir.\Never mind that, I would like you to hurry and bring Vegeta here.\Y- yes, sir!\The Ginyu Special Corps...\The Saiyans do indeed response:	appear to have a fathomless battle power ensconced within them.
context: Their battle power is supposed to be considerably lower than Vegeta's.\Are you telling me that my foreboding is wrong?\N- no, sir.\Never mind that, I would like you to hurry and bring Vegeta here.\Y- yes, sir!\The Ginyu Special Corps...\The Saiyans do indeed\appear to have a fathomless battle power ensconced within them. response:	Every time they do battle, it rises greatly.
context: Are you telling me that my foreboding is wrong?\N- no, sir.\Never mind that, I would like you to hurry and bring Vegeta here.\Y- yes, sir!\The Ginyu Special Corps...\The Saiyans do indeed\appear to have a fathomless battle power ensconced within them.\Every time they do battle, it rises greatly. response:	Naturally, there is no way that it can stand against me,
context: N- no, sir.\Never mind that, I would like you to hurry and bring Vegeta here.\Y- yes, sir!\The Ginyu Special Corps...\The Saiyans do indeed\appear to have a fathomless battle power ensconced within them.\Every time they do battle, it rises greatly.\Naturally, there is no way that it can stand against me, response:	but when considering the future, l must nip it in the bud now.
context: Never mind that, I would like you to hurry and bring Vegeta here.\Y- yes, sir!\The Ginyu Special Corps...\The Saiyans do indeed\appear to have a fathomless battle power ensconced within them.\Every time they do battle, it rises greatly.\Naturally, there is no way that it can stand against me,\but when considering the future, l must nip it in the bud now. response:	lt would be problematic if one were to become a super Saiyan, after all.
context: Y- yes, sir!\The Ginyu Special Corps...\The Saiyans do indeed\appear to have a fathomless battle power ensconced within them.\Every time they do battle, it rises greatly.\Naturally, there is no way that it can stand against me,\but when considering the future, l must nip it in the bud now.\lt would be problematic if one were to become a super Saiyan, after all. response:	That was some good sleep. I wonder how long I've been asleep.
context: The Ginyu Special Corps...\The Saiyans do indeed\appear to have a fathomless battle power ensconced within them.\Every time they do battle, it rises greatly.\Naturally, there is no way that it can stand against me,\but when considering the future, l must nip it in the bud now.\lt would be problematic if one were to become a super Saiyan, after all.\That was some good sleep. I wonder how long I've been asleep. response:	It's no use! I'm so exhausted, I can't move at all!
context: The Saiyans do indeed\appear to have a fathomless battle power ensconced within them.\Every time they do battle, it rises greatly.\Naturally, there is no way that it can stand against me,\but when considering the future, l must nip it in the bud now.\lt would be problematic if one were to become a super Saiyan, after all.\That was some good sleep. I wonder how long I've been asleep.\It's no use! I'm so exhausted, I can't move at all! response:	D- damn it!
context: appear to have a fathomless battle power ensconced within them.\Every time they do battle, it rises greatly.\Naturally, there is no way that it can stand against me,\but when considering the future, l must nip it in the bud now.\lt would be problematic if one were to become a super Saiyan, after all.\That was some good sleep. I wonder how long I've been asleep.\It's no use! I'm so exhausted, I can't move at all!\D- damn it! response:	I- I am... not... about... to die!
context: Every time they do battle, it rises greatly.\Naturally, there is no way that it can stand against me,\but when considering the future, l must nip it in the bud now.\lt would be problematic if one were to become a super Saiyan, after all.\That was some good sleep. I wonder how long I've been asleep.\It's no use! I'm so exhausted, I can't move at all!\D- damn it!\I- I am... not... about... to die! response:	W- what? To think that he'd still be alive. He's one tough guy.
context: Naturally, there is no way that it can stand against me,\but when considering the future, l must nip it in the bud now.\lt would be problematic if one were to become a super Saiyan, after all.\That was some good sleep. I wonder how long I've been asleep.\It's no use! I'm so exhausted, I can't move at all!\D- damn it!\I- I am... not... about... to die!\W- what? To think that he'd still be alive. He's one tough guy. response:	Then again, it's because of that that l'll be spared this time around.
context: but when considering the future, l must nip it in the bud now.\lt would be problematic if one were to become a super Saiyan, after all.\That was some good sleep. I wonder how long I've been asleep.\It's no use! I'm so exhausted, I can't move at all!\D- damn it!\I- I am... not... about... to die!\W- what? To think that he'd still be alive. He's one tough guy.\Then again, it's because of that that l'll be spared this time around. response:	We're going to treat you. You're one lucky guy.
context: lt would be problematic if one were to become a super Saiyan, after all.\That was some good sleep. I wonder how long I've been asleep.\It's no use! I'm so exhausted, I can't move at all!\D- damn it!\I- I am... not... about... to die!\W- what? To think that he'd still be alive. He's one tough guy.\Then again, it's because of that that l'll be spared this time around.\We're going to treat you. You're one lucky guy. response:	Hey, listen, Gohan- kun,
context: That was some good sleep. I wonder how long I've been asleep.\It's no use! I'm so exhausted, I can't move at all!\D- damn it!\I- I am... not... about... to die!\W- what? To think that he'd still be alive. He's one tough guy.\Then again, it's because of that that l'll be spared this time around.\We're going to treat you. You're one lucky guy.\Hey, listen, Gohan- kun, response:	look at this.
context: It's no use! I'm so exhausted, I can't move at all!\D- damn it!\I- I am... not... about... to die!\W- what? To think that he'd still be alive. He's one tough guy.\Then again, it's because of that that l'll be spared this time around.\We're going to treat you. You're one lucky guy.\Hey, listen, Gohan- kun,\look at this. response:	One of the Dragon Balls has started moving.
context: D- damn it!\I- I am... not... about... to die!\W- what? To think that he'd still be alive. He's one tough guy.\Then again, it's because of that that l'll be spared this time around.\We're going to treat you. You're one lucky guy.\Hey, listen, Gohan- kun,\look at this.\One of the Dragon Balls has started moving. response:	It's coming straight this way.
context: I- I am... not... about... to die!\W- what? To think that he'd still be alive. He's one tough guy.\Then again, it's because of that that l'll be spared this time around.\We're going to treat you. You're one lucky guy.\Hey, listen, Gohan- kun,\look at this.\One of the Dragon Balls has started moving.\It's coming straight this way. response:	Could that be Kuririn- kun?
context: W- what? To think that he'd still be alive. He's one tough guy.\Then again, it's because of that that l'll be spared this time around.\We're going to treat you. You're one lucky guy.\Hey, listen, Gohan- kun,\look at this.\One of the Dragon Balls has started moving.\It's coming straight this way.\Could that be Kuririn- kun? response:	I'm sure it is! He did it!
context: Then again, it's because of that that l'll be spared this time around.\We're going to treat you. You're one lucky guy.\Hey, listen, Gohan- kun,\look at this.\One of the Dragon Balls has started moving.\It's coming straight this way.\Could that be Kuririn- kun?\I'm sure it is! He did it! response:	He must have met the Grand Elder, and gotten his Ball.
context: We're going to treat you. You're one lucky guy.\Hey, listen, Gohan- kun,\look at this.\One of the Dragon Balls has started moving.\It's coming straight this way.\Could that be Kuririn- kun?\I'm sure it is! He did it!\He must have met the Grand Elder, and gotten his Ball. response:	J- just a moment. Then, what exactly is this other one here?
context: Hey, listen, Gohan- kun,\look at this.\One of the Dragon Balls has started moving.\It's coming straight this way.\Could that be Kuririn- kun?\I'm sure it is! He did it!\He must have met the Grand Elder, and gotten his Ball.\J- just a moment. Then, what exactly is this other one here? response:	These five here are probably the ones that Freeza guy has, right?
context: look at this.\One of the Dragon Balls has started moving.\It's coming straight this way.\Could that be Kuririn- kun?\I'm sure it is! He did it!\He must have met the Grand Elder, and gotten his Ball.\J- just a moment. Then, what exactly is this other one here?\These five here are probably the ones that Freeza guy has, right? response:	But look, there's this one over here all by itself.
context: One of the Dragon Balls has started moving.\It's coming straight this way.\Could that be Kuririn- kun?\I'm sure it is! He did it!\He must have met the Grand Elder, and gotten his Ball.\J- just a moment. Then, what exactly is this other one here?\These five here are probably the ones that Freeza guy has, right?\But look, there's this one over here all by itself. response:	Huh? You're right, and it's close to here.
context: It's coming straight this way.\Could that be Kuririn- kun?\I'm sure it is! He did it!\He must have met the Grand Elder, and gotten his Ball.\J- just a moment. Then, what exactly is this other one here?\These five here are probably the ones that Freeza guy has, right?\But look, there's this one over here all by itself.\Huh? You're right, and it's close to here. response:	Let's see... that direction, right?
context: Could that be Kuririn- kun?\I'm sure it is! He did it!\He must have met the Grand Elder, and gotten his Ball.\J- just a moment. Then, what exactly is this other one here?\These five here are probably the ones that Freeza guy has, right?\But look, there's this one over here all by itself.\Huh? You're right, and it's close to here.\Let's see... that direction, right? response:	Ah! We told you that Vegeta was attacking a village, remember?
context: I'm sure it is! He did it!\He must have met the Grand Elder, and gotten his Ball.\J- just a moment. Then, what exactly is this other one here?\These five here are probably the ones that Freeza guy has, right?\But look, there's this one over here all by itself.\Huh? You're right, and it's close to here.\Let's see... that direction, right?\Ah! We told you that Vegeta was attacking a village, remember? response:	It was in that direction!
context: He must have met the Grand Elder, and gotten his Ball.\J- just a moment. Then, what exactly is this other one here?\These five here are probably the ones that Freeza guy has, right?\But look, there's this one over here all by itself.\Huh? You're right, and it's close to here.\Let's see... that direction, right?\Ah! We told you that Vegeta was attacking a village, remember?\It was in that direction! response:	B- but Vegeta isn't over there.
context: J- just a moment. Then, what exactly is this other one here?\These five here are probably the ones that Freeza guy has, right?\But look, there's this one over here all by itself.\Huh? You're right, and it's close to here.\Let's see... that direction, right?\Ah! We told you that Vegeta was attacking a village, remember?\It was in that direction!\B- but Vegeta isn't over there. response:	I can't sense his Ki.
context: These five here are probably the ones that Freeza guy has, right?\But look, there's this one over here all by itself.\Huh? You're right, and it's close to here.\Let's see... that direction, right?\Ah! We told you that Vegeta was attacking a village, remember?\It was in that direction!\B- but Vegeta isn't over there.\I can't sense his Ki. response:	I've got it! He attacked the village, but was unable to find the Dragon Ball!
context: But look, there's this one over here all by itself.\Huh? You're right, and it's close to here.\Let's see... that direction, right?\Ah! We told you that Vegeta was attacking a village, remember?\It was in that direction!\B- but Vegeta isn't over there.\I can't sense his Ki.\I've got it! He attacked the village, but was unable to find the Dragon Ball! response:	He figured it wasn't there, and went off somewhere else.
context: Huh? You're right, and it's close to here.\Let's see... that direction, right?\Ah! We told you that Vegeta was attacking a village, remember?\It was in that direction!\B- but Vegeta isn't over there.\I can't sense his Ki.\I've got it! He attacked the village, but was unable to find the Dragon Ball!\He figured it wasn't there, and went off somewhere else. response:	Please let me borrow that Radar! I'm going to go get that Dragon Ball.
context: Let's see... that direction, right?\Ah! We told you that Vegeta was attacking a village, remember?\It was in that direction!\B- but Vegeta isn't over there.\I can't sense his Ki.\I've got it! He attacked the village, but was unable to find the Dragon Ball!\He figured it wasn't there, and went off somewhere else.\Please let me borrow that Radar! I'm going to go get that Dragon Ball. response:	All right! Luck is turning in our favor somewhat!
context: Ah! We told you that Vegeta was attacking a village, remember?\It was in that direction!\B- but Vegeta isn't over there.\I can't sense his Ki.\I've got it! He attacked the village, but was unable to find the Dragon Ball!\He figured it wasn't there, and went off somewhere else.\Please let me borrow that Radar! I'm going to go get that Dragon Ball.\All right! Luck is turning in our favor somewhat! response:	Good, good, now's our chance!
