context: Gust of wind... response:	Yes!
context: Wait.\It's bad manners to move so many cards at one time.\Of course. I'm sorry.\It's fine. Leave them.\Huh?\Leave them in that order.\She's playing with the handicap of having to use her left hand.\Compared to that, shuffling her cards around is nothing. response:	She's so manly!
context: It's bad manners to move so many cards at one time.\Of course. I'm sorry.\It's fine. Leave them.\Huh?\Leave them in that order.\She's playing with the handicap of having to use her left hand.\Compared to that, shuffling her cards around is nothing.\She's so manly! response:	Thank you very much!
context: Of course. I'm sorry.\It's fine. Leave them.\Huh?\Leave them in that order.\She's playing with the handicap of having to use her left hand.\Compared to that, shuffling her cards around is nothing.\She's so manly!\Thank you very much! response:	But I have no idea how this helps.
context: It's fine. Leave them.\Huh?\Leave them in that order.\She's playing with the handicap of having to use her left hand.\Compared to that, shuffling her cards around is nothing.\She's so manly!\Thank you very much!\But I have no idea how this helps. response:	Redo my memorization...
context: Huh?\Leave them in that order.\She's playing with the handicap of having to use her left hand.\Compared to that, shuffling her cards around is nothing.\She's so manly!\Thank you very much!\But I have no idea how this helps.\Redo my memorization... response:	If she's trying to confuse me, she'll end up hurting herself.
context: Leave them in that order.\She's playing with the handicap of having to use her left hand.\Compared to that, shuffling her cards around is nothing.\She's so manly!\Thank you very much!\But I have no idea how this helps.\Redo my memorization...\If she's trying to confuse me, she'll end up hurting herself. response:	It's suicidal to mess around with your card positioning.
context: She's playing with the handicap of having to use her left hand.\Compared to that, shuffling her cards around is nothing.\She's so manly!\Thank you very much!\But I have no idea how this helps.\Redo my memorization...\If she's trying to confuse me, she'll end up hurting herself.\It's suicidal to mess around with your card positioning. response:	This is a gamble.
context: Compared to that, shuffling her cards around is nothing.\She's so manly!\Thank you very much!\But I have no idea how this helps.\Redo my memorization...\If she's trying to confuse me, she'll end up hurting herself.\It's suicidal to mess around with your card positioning.\This is a gamble. response:	Don't think.
context: She's so manly!\Thank you very much!\But I have no idea how this helps.\Redo my memorization...\If she's trying to confuse me, she'll end up hurting herself.\It's suicidal to mess around with your card positioning.\This is a gamble.\Don't think. response:	Do what I usually do,
context: Thank you very much!\But I have no idea how this helps.\Redo my memorization...\If she's trying to confuse me, she'll end up hurting herself.\It's suicidal to mess around with your card positioning.\This is a gamble.\Don't think.\Do what I usually do, response:	only with my left hand.
context: But I have no idea how this helps.\Redo my memorization...\If she's trying to confuse me, she'll end up hurting herself.\It's suicidal to mess around with your card positioning.\This is a gamble.\Don't think.\Do what I usually do,\only with my left hand. response:	a whirlwind of flower petals descends
context: Redo my memorization...\If she's trying to confuse me, she'll end up hurting herself.\It's suicidal to mess around with your card positioning.\This is a gamble.\Don't think.\Do what I usually do,\only with my left hand.\a whirlwind of flower petals descends response:	Rain takes longer...
context: If she's trying to confuse me, she'll end up hurting herself.\It's suicidal to mess around with your card positioning.\This is a gamble.\Don't think.\Do what I usually do,\only with my left hand.\a whirlwind of flower petals descends\Rain takes longer... response:	I did it! Just like normal!
context: It's suicidal to mess around with your card positioning.\This is a gamble.\Don't think.\Do what I usually do,\only with my left hand.\a whirlwind of flower petals descends\Rain takes longer...\I did it! Just like normal! response:	Everything's normal, just flipped!
context: This is a gamble.\Don't think.\Do what I usually do,\only with my left hand.\a whirlwind of flower petals descends\Rain takes longer...\I did it! Just like normal!\Everything's normal, just flipped! response:	The storm blasts...
context: Don't think.\Do what I usually do,\only with my left hand.\a whirlwind of flower petals descends\Rain takes longer...\I did it! Just like normal!\Everything's normal, just flipped!\The storm blasts... response:	Note that though we may be...
context: Do what I usually do,\only with my left hand.\a whirlwind of flower petals descends\Rain takes longer...\I did it! Just like normal!\Everything's normal, just flipped!\The storm blasts...\Note that though we may be... response:	Why is she suddenly so much faster?
context: only with my left hand.\a whirlwind of flower petals descends\Rain takes longer...\I did it! Just like normal!\Everything's normal, just flipped!\The storm blasts...\Note that though we may be...\Why is she suddenly so much faster? response:	Why?
context: a whirlwind of flower petals descends\Rain takes longer...\I did it! Just like normal!\Everything's normal, just flipped!\The storm blasts...\Note that though we may be...\Why is she suddenly so much faster?\Why? response:	I see.
context: Rain takes longer...\I did it! Just like normal!\Everything's normal, just flipped!\The storm blasts...\Note that though we may be...\Why is she suddenly so much faster?\Why?\I see. response:	Instead taking cards from this direction to that direction,
context: I did it! Just like normal!\Everything's normal, just flipped!\The storm blasts...\Note that though we may be...\Why is she suddenly so much faster?\Why?\I see.\Instead taking cards from this direction to that direction, response:	she's taking them from that direction to this direction.
context: Everything's normal, just flipped!\The storm blasts...\Note that though we may be...\Why is she suddenly so much faster?\Why?\I see.\Instead taking cards from this direction to that direction,\she's taking them from that direction to this direction. response:	It's less confusing if you just mirror your normal motions.
context: The storm blasts...\Note that though we may be...\Why is she suddenly so much faster?\Why?\I see.\Instead taking cards from this direction to that direction,\she's taking them from that direction to this direction.\It's less confusing if you just mirror your normal motions. response:	The flow has changed since she moved her cards.
context: Note that though we may be...\Why is she suddenly so much faster?\Why?\I see.\Instead taking cards from this direction to that direction,\she's taking them from that direction to this direction.\It's less confusing if you just mirror your normal motions.\The flow has changed since she moved her cards. response:	This will be tough for her opponent.
context: Why is she suddenly so much faster?\Why?\I see.\Instead taking cards from this direction to that direction,\she's taking them from that direction to this direction.\It's less confusing if you just mirror your normal motions.\The flow has changed since she moved her cards.\This will be tough for her opponent. response:	Amazing, Ayase-san!
context: Why?\I see.\Instead taking cards from this direction to that direction,\she's taking them from that direction to this direction.\It's less confusing if you just mirror your normal motions.\The flow has changed since she moved her cards.\This will be tough for her opponent.\Amazing, Ayase-san! response:	Please wait.
context: I see.\Instead taking cards from this direction to that direction,\she's taking them from that direction to this direction.\It's less confusing if you just mirror your normal motions.\The flow has changed since she moved her cards.\This will be tough for her opponent.\Amazing, Ayase-san!\Please wait. response:	Excuse me.
context: Instead taking cards from this direction to that direction,\she's taking them from that direction to this direction.\It's less confusing if you just mirror your normal motions.\The flow has changed since she moved her cards.\This will be tough for her opponent.\Amazing, Ayase-san!\Please wait.\Excuse me. response:	I can't lose to her.
context: she's taking them from that direction to this direction.\It's less confusing if you just mirror your normal motions.\The flow has changed since she moved her cards.\This will be tough for her opponent.\Amazing, Ayase-san!\Please wait.\Excuse me.\I can't lose to her. response:	No matter who my opponent is.
context: It's less confusing if you just mirror your normal motions.\The flow has changed since she moved her cards.\This will be tough for her opponent.\Amazing, Ayase-san!\Please wait.\Excuse me.\I can't lose to her.\No matter who my opponent is. response:	The sky may hold the same moon
context: The flow has changed since she moved her cards.\This will be tough for her opponent.\Amazing, Ayase-san!\Please wait.\Excuse me.\I can't lose to her.\No matter who my opponent is.\The sky may hold the same moon response:	She sent Ayase-san's hand flying!
context: This will be tough for her opponent.\Amazing, Ayase-san!\Please wait.\Excuse me.\I can't lose to her.\No matter who my opponent is.\The sky may hold the same moon\She sent Ayase-san's hand flying! response:	The headband girl recovered.
context: Amazing, Ayase-san!\Please wait.\Excuse me.\I can't lose to her.\No matter who my opponent is.\The sky may hold the same moon\She sent Ayase-san's hand flying!\The headband girl recovered. response:	She has a powerful swing.
context: Please wait.\Excuse me.\I can't lose to her.\No matter who my opponent is.\The sky may hold the same moon\She sent Ayase-san's hand flying!\The headband girl recovered.\She has a powerful swing. response:	She goes for the card in front as well as the one that's read.
context: Excuse me.\I can't lose to her.\No matter who my opponent is.\The sky may hold the same moon\She sent Ayase-san's hand flying!\The headband girl recovered.\She has a powerful swing.\She goes for the card in front as well as the one that's read. response:	She even knocks away her opponent's hand at times.
context: I can't lose to her.\No matter who my opponent is.\The sky may hold the same moon\She sent Ayase-san's hand flying!\The headband girl recovered.\She has a powerful swing.\She goes for the card in front as well as the one that's read.\She even knocks away her opponent's hand at times. response:	That's playing rough!
context: No matter who my opponent is.\The sky may hold the same moon\She sent Ayase-san's hand flying!\The headband girl recovered.\She has a powerful swing.\She goes for the card in front as well as the one that's read.\She even knocks away her opponent's hand at times.\That's playing rough! response:	Yuube-san didn't hit my hand away.
context: The sky may hold the same moon\She sent Ayase-san's hand flying!\The headband girl recovered.\She has a powerful swing.\She goes for the card in front as well as the one that's read.\She even knocks away her opponent's hand at times.\That's playing rough!\Yuube-san didn't hit my hand away. response:	She passed through the opening I left her.
context: She sent Ayase-san's hand flying!\The headband girl recovered.\She has a powerful swing.\She goes for the card in front as well as the one that's read.\She even knocks away her opponent's hand at times.\That's playing rough!\Yuube-san didn't hit my hand away.\She passed through the opening I left her. response:	Amazing...
context: The headband girl recovered.\She has a powerful swing.\She goes for the card in front as well as the one that's read.\She even knocks away her opponent's hand at times.\That's playing rough!\Yuube-san didn't hit my hand away.\She passed through the opening I left her.\Amazing... response:	Don't panic. Stay calm.
context: She has a powerful swing.\She goes for the card in front as well as the one that's read.\She even knocks away her opponent's hand at times.\That's playing rough!\Yuube-san didn't hit my hand away.\She passed through the opening I left her.\Amazing...\Don't panic. Stay calm. response:	This fall, I'll be aiming to become Queen with Megumu!
context: She goes for the card in front as well as the one that's read.\She even knocks away her opponent's hand at times.\That's playing rough!\Yuube-san didn't hit my hand away.\She passed through the opening I left her.\Amazing...\Don't panic. Stay calm.\This fall, I'll be aiming to become Queen with Megumu! response:	I can't win with weak attacks.
context: She even knocks away her opponent's hand at times.\That's playing rough!\Yuube-san didn't hit my hand away.\She passed through the opening I left her.\Amazing...\Don't panic. Stay calm.\This fall, I'll be aiming to become Queen with Megumu!\I can't win with weak attacks. response:	If I hesitate, I'll lose the card.
context: That's playing rough!\Yuube-san didn't hit my hand away.\She passed through the opening I left her.\Amazing...\Don't panic. Stay calm.\This fall, I'll be aiming to become Queen with Megumu!\I can't win with weak attacks.\If I hesitate, I'll lose the card. response:	Focus.
context: Yuube-san didn't hit my hand away.\She passed through the opening I left her.\Amazing...\Don't panic. Stay calm.\This fall, I'll be aiming to become Queen with Megumu!\I can't win with weak attacks.\If I hesitate, I'll lose the card.\Focus. response:	Focus.
context: She passed through the opening I left her.\Amazing...\Don't panic. Stay calm.\This fall, I'll be aiming to become Queen with Megumu!\I can't win with weak attacks.\If I hesitate, I'll lose the card.\Focus.\Focus. response:	Chihaya...
context: Amazing...\Don't panic. Stay calm.\This fall, I'll be aiming to become Queen with Megumu!\I can't win with weak attacks.\If I hesitate, I'll lose the card.\Focus.\Focus.\Chihaya... response:	She's playing hard with her left hand.
context: Don't panic. Stay calm.\This fall, I'll be aiming to become Queen with Megumu!\I can't win with weak attacks.\If I hesitate, I'll lose the card.\Focus.\Focus.\Chihaya...\She's playing hard with her left hand. response:	Having fun...
context: This fall, I'll be aiming to become Queen with Megumu!\I can't win with weak attacks.\If I hesitate, I'll lose the card.\Focus.\Focus.\Chihaya...\She's playing hard with her left hand.\Having fun... response:	Now that I think about it,
context: I can't win with weak attacks.\If I hesitate, I'll lose the card.\Focus.\Focus.\Chihaya...\She's playing hard with her left hand.\Having fun...\Now that I think about it, response:	Chihaya took her first card from me with her left hand.
context: If I hesitate, I'll lose the card.\Focus.\Focus.\Chihaya...\She's playing hard with her left hand.\Having fun...\Now that I think about it,\Chihaya took her first card from me with her left hand. response:	Must be fun...
context: Focus.\Focus.\Chihaya...\She's playing hard with her left hand.\Having fun...\Now that I think about it,\Chihaya took her first card from me with her left hand.\Must be fun... response:	Playing karuta with Chihaya must be fun.
context: Focus.\Chihaya...\She's playing hard with her left hand.\Having fun...\Now that I think about it,\Chihaya took her first card from me with her left hand.\Must be fun...\Playing karuta with Chihaya must be fun. response:	Thank you very much.
context: Chihaya...\She's playing hard with her left hand.\Having fun...\Now that I think about it,\Chihaya took her first card from me with her left hand.\Must be fun...\Playing karuta with Chihaya must be fun.\Thank you very much. response:	Shock
context: She's playing hard with her left hand.\Having fun...\Now that I think about it,\Chihaya took her first card from me with her left hand.\Must be fun...\Playing karuta with Chihaya must be fun.\Thank you very much.\Shock response:	Yes, I eked out a win.
context: Having fun...\Now that I think about it,\Chihaya took her first card from me with her left hand.\Must be fun...\Playing karuta with Chihaya must be fun.\Thank you very much.\Shock\Yes, I eked out a win. response:	Ayase: won by 2 cards.
context: Now that I think about it,\Chihaya took her first card from me with her left hand.\Must be fun...\Playing karuta with Chihaya must be fun.\Thank you very much.\Shock\Yes, I eked out a win.\Ayase: won by 2 cards. response:	Okay.
context: Chihaya took her first card from me with her left hand.\Must be fun...\Playing karuta with Chihaya must be fun.\Thank you very much.\Shock\Yes, I eked out a win.\Ayase: won by 2 cards.\Okay. response:	Don't get the wrong idea!
context: Must be fun...\Playing karuta with Chihaya must be fun.\Thank you very much.\Shock\Yes, I eked out a win.\Ayase: won by 2 cards.\Okay.\Don't get the wrong idea! response:	I didn't lose to you!
context: Playing karuta with Chihaya must be fun.\Thank you very much.\Shock\Yes, I eked out a win.\Ayase: won by 2 cards.\Okay.\Don't get the wrong idea!\I didn't lose to you! response:	I lost because my memorization wasn't good enough!
context: Thank you very much.\Shock\Yes, I eked out a win.\Ayase: won by 2 cards.\Okay.\Don't get the wrong idea!\I didn't lose to you!\I lost because my memorization wasn't good enough! response:	I'll work on my memorization by studying for college exams,
context: Shock\Yes, I eked out a win.\Ayase: won by 2 cards.\Okay.\Don't get the wrong idea!\I didn't lose to you!\I lost because my memorization wasn't good enough!\I'll work on my memorization by studying for college exams, response:	so I'll be back!
context: Yes, I eked out a win.\Ayase: won by 2 cards.\Okay.\Don't get the wrong idea!\I didn't lose to you!\I lost because my memorization wasn't good enough!\I'll work on my memorization by studying for college exams,\so I'll be back! response:	She even treats college exam prep as preparation for karuta!
context: Ayase: won by 2 cards.\Okay.\Don't get the wrong idea!\I didn't lose to you!\I lost because my memorization wasn't good enough!\I'll work on my memorization by studying for college exams,\so I'll be back!\She even treats college exam prep as preparation for karuta! response:	Marvelous...
context: Okay.\Don't get the wrong idea!\I didn't lose to you!\I lost because my memorization wasn't good enough!\I'll work on my memorization by studying for college exams,\so I'll be back!\She even treats college exam prep as preparation for karuta!\Marvelous... response:	Chihaya.
context: Don't get the wrong idea!\I didn't lose to you!\I lost because my memorization wasn't good enough!\I'll work on my memorization by studying for college exams,\so I'll be back!\She even treats college exam prep as preparation for karuta!\Marvelous...\Chihaya. response:	That was incredible, Chihaya.
context: I didn't lose to you!\I lost because my memorization wasn't good enough!\I'll work on my memorization by studying for college exams,\so I'll be back!\She even treats college exam prep as preparation for karuta!\Marvelous...\Chihaya.\That was incredible, Chihaya. response:	You won with your left hand.
context: I lost because my memorization wasn't good enough!\I'll work on my memorization by studying for college exams,\so I'll be back!\She even treats college exam prep as preparation for karuta!\Marvelous...\Chihaya.\That was incredible, Chihaya.\You won with your left hand. response:	That was incredible!
context: I'll work on my memorization by studying for college exams,\so I'll be back!\She even treats college exam prep as preparation for karuta!\Marvelous...\Chihaya.\That was incredible, Chihaya.\You won with your left hand.\That was incredible! response:	I believe that you have the talent for Karuta.
context: so I'll be back!\She even treats college exam prep as preparation for karuta!\Marvelous...\Chihaya.\That was incredible, Chihaya.\You won with your left hand.\That was incredible!\I believe that you have the talent for Karuta. response:	We will now announce the pairings for the second round.
context: She even treats college exam prep as preparation for karuta!\Marvelous...\Chihaya.\That was incredible, Chihaya.\You won with your left hand.\That was incredible!\I believe that you have the talent for Karuta.\We will now announce the pairings for the second round. response:	Please check the chart and sit at your assigned position.
context: Marvelous...\Chihaya.\That was incredible, Chihaya.\You won with your left hand.\That was incredible!\I believe that you have the talent for Karuta.\We will now announce the pairings for the second round.\Please check the chart and sit at your assigned position. response:	Hey, Ayase.
context: Chihaya.\That was incredible, Chihaya.\You won with your left hand.\That was incredible!\I believe that you have the talent for Karuta.\We will now announce the pairings for the second round.\Please check the chart and sit at your assigned position.\Hey, Ayase. response:	You survived the first round?
context: That was incredible, Chihaya.\You won with your left hand.\That was incredible!\I believe that you have the talent for Karuta.\We will now announce the pairings for the second round.\Please check the chart and sit at your assigned position.\Hey, Ayase.\You survived the first round? response:	Yep, you too?
context: You won with your left hand.\That was incredible!\I believe that you have the talent for Karuta.\We will now announce the pairings for the second round.\Please check the chart and sit at your assigned position.\Hey, Ayase.\You survived the first round?\Yep, you too? response:	Oh, yeah!
context: That was incredible!\I believe that you have the talent for Karuta.\We will now announce the pairings for the second round.\Please check the chart and sit at your assigned position.\Hey, Ayase.\You survived the first round?\Yep, you too?\Oh, yeah! response:	I avenged Tsukuba!
context: I believe that you have the talent for Karuta.\We will now announce the pairings for the second round.\Please check the chart and sit at your assigned position.\Hey, Ayase.\You survived the first round?\Yep, you too?\Oh, yeah!\I avenged Tsukuba! response:	Ayase, I feel like I can't lose today.
context: We will now announce the pairings for the second round.\Please check the chart and sit at your assigned position.\Hey, Ayase.\You survived the first round?\Yep, you too?\Oh, yeah!\I avenged Tsukuba!\Ayase, I feel like I can't lose today. response:	Nishida Yusei vs. Wataya Arata
context: Please check the chart and sit at your assigned position.\Hey, Ayase.\You survived the first round?\Yep, you too?\Oh, yeah!\I avenged Tsukuba!\Ayase, I feel like I can't lose today.\Nishida Yusei vs. Wataya Arata response:	Shock
context: Hey, Ayase.\You survived the first round?\Yep, you too?\Oh, yeah!\I avenged Tsukuba!\Ayase, I feel like I can't lose today.\Nishida Yusei vs. Wataya Arata\Shock response:	Kaneko Natsumi vs. Ayase Chihaya
context: You survived the first round?\Yep, you too?\Oh, yeah!\I avenged Tsukuba!\Ayase, I feel like I can't lose today.\Nishida Yusei vs. Wataya Arata\Shock\Kaneko Natsumi vs. Ayase Chihaya response:	Kaneko-san from Akita.
context: Yep, you too?\Oh, yeah!\I avenged Tsukuba!\Ayase, I feel like I can't lose today.\Nishida Yusei vs. Wataya Arata\Shock\Kaneko Natsumi vs. Ayase Chihaya\Kaneko-san from Akita. response:	I didn't get paired against Arata again.
context: Oh, yeah!\I avenged Tsukuba!\Ayase, I feel like I can't lose today.\Nishida Yusei vs. Wataya Arata\Shock\Kaneko Natsumi vs. Ayase Chihaya\Kaneko-san from Akita.\I didn't get paired against Arata again. response:	Chihaya, see you later.
context: I avenged Tsukuba!\Ayase, I feel like I can't lose today.\Nishida Yusei vs. Wataya Arata\Shock\Kaneko Natsumi vs. Ayase Chihaya\Kaneko-san from Akita.\I didn't get paired against Arata again.\Chihaya, see you later. response:	S-Sure.
context: Ayase, I feel like I can't lose today.\Nishida Yusei vs. Wataya Arata\Shock\Kaneko Natsumi vs. Ayase Chihaya\Kaneko-san from Akita.\I didn't get paired against Arata again.\Chihaya, see you later.\S-Sure. response:	Can I reach him?
context: Nishida Yusei vs. Wataya Arata\Shock\Kaneko Natsumi vs. Ayase Chihaya\Kaneko-san from Akita.\I didn't get paired against Arata again.\Chihaya, see you later.\S-Sure.\Can I reach him? response:	Or is he still out of reach?
context: Shock\Kaneko Natsumi vs. Ayase Chihaya\Kaneko-san from Akita.\I didn't get paired against Arata again.\Chihaya, see you later.\S-Sure.\Can I reach him?\Or is he still out of reach? response:	I want to know.
context: Kaneko Natsumi vs. Ayase Chihaya\Kaneko-san from Akita.\I didn't get paired against Arata again.\Chihaya, see you later.\S-Sure.\Can I reach him?\Or is he still out of reach?\I want to know. response:	I'm not crazy about karuta the way Ayase is.
context: Kaneko-san from Akita.\I didn't get paired against Arata again.\Chihaya, see you later.\S-Sure.\Can I reach him?\Or is he still out of reach?\I want to know.\I'm not crazy about karuta the way Ayase is. response:	I prefer to avoid playing stronger players.
context: I didn't get paired against Arata again.\Chihaya, see you later.\S-Sure.\Can I reach him?\Or is he still out of reach?\I want to know.\I'm not crazy about karuta the way Ayase is.\I prefer to avoid playing stronger players. response:	I'll take all the easy wins I can get.
context: Chihaya, see you later.\S-Sure.\Can I reach him?\Or is he still out of reach?\I want to know.\I'm not crazy about karuta the way Ayase is.\I prefer to avoid playing stronger players.\I'll take all the easy wins I can get. response:	But...
context: S-Sure.\Can I reach him?\Or is he still out of reach?\I want to know.\I'm not crazy about karuta the way Ayase is.\I prefer to avoid playing stronger players.\I'll take all the easy wins I can get.\But... response:	But...
context: Can I reach him?\Or is he still out of reach?\I want to know.\I'm not crazy about karuta the way Ayase is.\I prefer to avoid playing stronger players.\I'll take all the easy wins I can get.\But...\But... response:	I have to go back to being crazy about karuta.
context: Or is he still out of reach?\I want to know.\I'm not crazy about karuta the way Ayase is.\I prefer to avoid playing stronger players.\I'll take all the easy wins I can get.\But...\But...\I have to go back to being crazy about karuta. response:	Naniwa Bay, now the flower blooms, but for winter
context: I want to know.\I'm not crazy about karuta the way Ayase is.\I prefer to avoid playing stronger players.\I'll take all the easy wins I can get.\But...\But...\I have to go back to being crazy about karuta.\Naniwa Bay, now the flower blooms, but for winter response:	When I'm up against you...
context: I'm not crazy about karuta the way Ayase is.\I prefer to avoid playing stronger players.\I'll take all the easy wins I can get.\But...\But...\I have to go back to being crazy about karuta.\Naniwa Bay, now the flower blooms, but for winter\When I'm up against you... response:	Komano-kun and Oe-san won their first round matches.
context: I prefer to avoid playing stronger players.\I'll take all the easy wins I can get.\But...\But...\I have to go back to being crazy about karuta.\Naniwa Bay, now the flower blooms, but for winter\When I'm up against you...\Komano-kun and Oe-san won their first round matches. response:	Tsukuba-kun won with a bye.
context: I'll take all the easy wins I can get.\But...\But...\I have to go back to being crazy about karuta.\Naniwa Bay, now the flower blooms, but for winter\When I'm up against you...\Komano-kun and Oe-san won their first round matches.\Tsukuba-kun won with a bye. response:	Hanano-san won?! Amazing!
context: But...\But...\I have to go back to being crazy about karuta.\Naniwa Bay, now the flower blooms, but for winter\When I'm up against you...\Komano-kun and Oe-san won their first round matches.\Tsukuba-kun won with a bye.\Hanano-san won?! Amazing! response:	Everyone's doing great!
context: But...\I have to go back to being crazy about karuta.\Naniwa Bay, now the flower blooms, but for winter\When I'm up against you...\Komano-kun and Oe-san won their first round matches.\Tsukuba-kun won with a bye.\Hanano-san won?! Amazing!\Everyone's doing great! response:	to tell the people in the capital that I make for the islands
context: I have to go back to being crazy about karuta.\Naniwa Bay, now the flower blooms, but for winter\When I'm up against you...\Komano-kun and Oe-san won their first round matches.\Tsukuba-kun won with a bye.\Hanano-san won?! Amazing!\Everyone's doing great!\to tell the people in the capital that I make for the islands response:	You're not supposed to make any sound when a card is being read.
context: Naniwa Bay, now the flower blooms, but for winter\When I'm up against you...\Komano-kun and Oe-san won their first round matches.\Tsukuba-kun won with a bye.\Hanano-san won?! Amazing!\Everyone's doing great!\to tell the people in the capital that I make for the islands\You're not supposed to make any sound when a card is being read. response:	May my sighs be blamed upon the moon,
context: When I'm up against you...\Komano-kun and Oe-san won their first round matches.\Tsukuba-kun won with a bye.\Hanano-san won?! Amazing!\Everyone's doing great!\to tell the people in the capital that I make for the islands\You're not supposed to make any sound when a card is being read.\May my sighs be blamed upon the moon, response:	They're so into the match.
context: Komano-kun and Oe-san won their first round matches.\Tsukuba-kun won with a bye.\Hanano-san won?! Amazing!\Everyone's doing great!\to tell the people in the capital that I make for the islands\You're not supposed to make any sound when a card is being read.\May my sighs be blamed upon the moon,\They're so into the match. response:	These parents must care very much about their child.
context: Tsukuba-kun won with a bye.\Hanano-san won?! Amazing!\Everyone's doing great!\to tell the people in the capital that I make for the islands\You're not supposed to make any sound when a card is being read.\May my sighs be blamed upon the moon,\They're so into the match.\These parents must care very much about their child. response:	Arata!
context: Hanano-san won?! Amazing!\Everyone's doing great!\to tell the people in the capital that I make for the islands\You're not supposed to make any sound when a card is being read.\May my sighs be blamed upon the moon,\They're so into the match.\These parents must care very much about their child.\Arata! response:	Mom, Dad...
context: Everyone's doing great!\to tell the people in the capital that I make for the islands\You're not supposed to make any sound when a card is being read.\May my sighs be blamed upon the moon,\They're so into the match.\These parents must care very much about their child.\Arata!\Mom, Dad... response:	If I win the high school tournament, I have a favor to ask.
context: to tell the people in the capital that I make for the islands\You're not supposed to make any sound when a card is being read.\May my sighs be blamed upon the moon,\They're so into the match.\These parents must care very much about their child.\Arata!\Mom, Dad...\If I win the high school tournament, I have a favor to ask. response:	I want you to let me attend a university in Tokyo.
context: You're not supposed to make any sound when a card is being read.\May my sighs be blamed upon the moon,\They're so into the match.\These parents must care very much about their child.\Arata!\Mom, Dad...\If I win the high school tournament, I have a favor to ask.\I want you to let me attend a university in Tokyo. response:	Arata...
context: May my sighs be blamed upon the moon,\They're so into the match.\These parents must care very much about their child.\Arata!\Mom, Dad...\If I win the high school tournament, I have a favor to ask.\I want you to let me attend a university in Tokyo.\Arata... response:	Most scholarship offers will come from private schools.
context: They're so into the match.\These parents must care very much about their child.\Arata!\Mom, Dad...\If I win the high school tournament, I have a favor to ask.\I want you to let me attend a university in Tokyo.\Arata...\Most scholarship offers will come from private schools. response:	It would take 4,000,000 yen in the
context: These parents must care very much about their child.\Arata!\Mom, Dad...\If I win the high school tournament, I have a favor to ask.\I want you to let me attend a university in Tokyo.\Arata...\Most scholarship offers will come from private schools.\It would take 4,000,000 yen in the response:	first year to cover registration, tuition, and living expenses!
context: Arata!\Mom, Dad...\If I win the high school tournament, I have a favor to ask.\I want you to let me attend a university in Tokyo.\Arata...\Most scholarship offers will come from private schools.\It would take 4,000,000 yen in the\first year to cover registration, tuition, and living expenses! response:	You're smart enough to attend a local public university!
context: Mom, Dad...\If I win the high school tournament, I have a favor to ask.\I want you to let me attend a university in Tokyo.\Arata...\Most scholarship offers will come from private schools.\It would take 4,000,000 yen in the\first year to cover registration, tuition, and living expenses!\You're smart enough to attend a local public university! response:	Lose your match!
context: If I win the high school tournament, I have a favor to ask.\I want you to let me attend a university in Tokyo.\Arata...\Most scholarship offers will come from private schools.\It would take 4,000,000 yen in the\first year to cover registration, tuition, and living expenses!\You're smart enough to attend a local public university!\Lose your match! response:	Lose your match!
context: I want you to let me attend a university in Tokyo.\Arata...\Most scholarship offers will come from private schools.\It would take 4,000,000 yen in the\first year to cover registration, tuition, and living expenses!\You're smart enough to attend a local public university!\Lose your match!\Lose your match! response:	May I see you never forget...
context: Arata...\Most scholarship offers will come from private schools.\It would take 4,000,000 yen in the\first year to cover registration, tuition, and living expenses!\You're smart enough to attend a local public university!\Lose your match!\Lose your match!\May I see you never forget... response:	Hang in there, chubby kid!
context: Most scholarship offers will come from private schools.\It would take 4,000,000 yen in the\first year to cover registration, tuition, and living expenses!\You're smart enough to attend a local public university!\Lose your match!\Lose your match!\May I see you never forget...\Hang in there, chubby kid! response:	I'm no longer the kid I used to be.
context: It would take 4,000,000 yen in the\first year to cover registration, tuition, and living expenses!\You're smart enough to attend a local public university!\Lose your match!\Lose your match!\May I see you never forget...\Hang in there, chubby kid!\I'm no longer the kid I used to be. response:	Yusei, you should work on game awareness instead of game sense.
context: first year to cover registration, tuition, and living expenses!\You're smart enough to attend a local public university!\Lose your match!\Lose your match!\May I see you never forget...\Hang in there, chubby kid!\I'm no longer the kid I used to be.\Yusei, you should work on game awareness instead of game sense. response:	With your mastery of the basics, you can do it.
context: You're smart enough to attend a local public university!\Lose your match!\Lose your match!\May I see you never forget...\Hang in there, chubby kid!\I'm no longer the kid I used to be.\Yusei, you should work on game awareness instead of game sense.\With your mastery of the basics, you can do it. response:	Make assumptions about the places where cards will be read earlier.
context: Lose your match!\Lose your match!\May I see you never forget...\Hang in there, chubby kid!\I'm no longer the kid I used to be.\Yusei, you should work on game awareness instead of game sense.\With your mastery of the basics, you can do it.\Make assumptions about the places where cards will be read earlier. response:	I'll teach you how it works.
context: Lose your match!\May I see you never forget...\Hang in there, chubby kid!\I'm no longer the kid I used to be.\Yusei, you should work on game awareness instead of game sense.\With your mastery of the basics, you can do it.\Make assumptions about the places where cards will be read earlier.\I'll teach you how it works. response:	You'll learn how to take control of any match!
context: May I see you never forget...\Hang in there, chubby kid!\I'm no longer the kid I used to be.\Yusei, you should work on game awareness instead of game sense.\With your mastery of the basics, you can do it.\Make assumptions about the places where cards will be read earlier.\I'll teach you how it works.\You'll learn how to take control of any match! response:	You rock, chubby kid!
