context: No matter what you say, you are the criminal who hurt my brother! response:	That's why you'll die.
context: Oh no, Recipro's done.\Did I break the radiator during my kick earlier?\Todoroki, can you regulate temperature?\I'm not used to it with my left yet. Why?\Freeze my legs!\Without plugging up the exhausts!\You're in the way!\Iida! response:	You stop, too!
context: Did I break the radiator during my kick earlier?\Todoroki, can you regulate temperature?\I'm not used to it with my left yet. Why?\Freeze my legs!\Without plugging up the exhausts!\You're in the way!\Iida!\You stop, too! response:	-Iida... -Just do it! Hurry!
context: Todoroki, can you regulate temperature?\I'm not used to it with my left yet. Why?\Freeze my legs!\Without plugging up the exhausts!\You're in the way!\Iida!\You stop, too!\-Iida... -Just do it! Hurry! response:	Can I do it...?
context: I'm not used to it with my left yet. Why?\Freeze my legs!\Without plugging up the exhausts!\You're in the way!\Iida!\You stop, too!\-Iida... -Just do it! Hurry!\Can I do it...? response:	No, right now...
context: Freeze my legs!\Without plugging up the exhausts!\You're in the way!\Iida!\You stop, too!\-Iida... -Just do it! Hurry!\Can I do it...?\No, right now... response:	Damn it!
context: Without plugging up the exhausts!\You're in the way!\Iida!\You stop, too!\-Iida... -Just do it! Hurry!\Can I do it...?\No, right now...\Damn it! response:	Thanks, Todoroki.
context: You're in the way!\Iida!\You stop, too!\-Iida... -Just do it! Hurry!\Can I do it...?\No, right now...\Damn it!\Thanks, Todoroki. response:	I will fight.
context: Iida!\You stop, too!\-Iida... -Just do it! Hurry!\Can I do it...?\No, right now...\Damn it!\Thanks, Todoroki.\I will fight. response:	I'll throw away my arm!
context: You stop, too!\-Iida... -Just do it! Hurry!\Can I do it...?\No, right now...\Damn it!\Thanks, Todoroki.\I will fight.\I'll throw away my arm! response:	Recipro...
context: -Iida... -Just do it! Hurry!\Can I do it...?\No, right now...\Damn it!\Thanks, Todoroki.\I will fight.\I'll throw away my arm!\Recipro... response:	One For All...
context: Can I do it...?\No, right now...\Damn it!\Thanks, Todoroki.\I will fight.\I'll throw away my arm!\Recipro...\One For All... response:	If I just...
context: No, right now...\Damn it!\Thanks, Todoroki.\I will fight.\I'll throw away my arm!\Recipro...\One For All...\If I just... response:	If I just...
context: Damn it!\Thanks, Todoroki.\I will fight.\I'll throw away my arm!\Recipro...\One For All...\If I just...\If I just... response:	Go!
context: Thanks, Todoroki.\I will fight.\I'll throw away my arm!\Recipro...\One For All...\If I just...\If I just...\Go! response:	Affiliation: U.A. High School Hero Class 1-A Birthday: 8/22 Height: 179 cm Blood Type: A Likes: Beef Stew
context: I will fight.\I'll throw away my arm!\Recipro...\One For All...\If I just...\If I just...\Go!\Affiliation: U.A. High School Hero Class 1-A Birthday: 8/22 Height: 179 cm Blood Type: A Likes: Beef Stew response:	Tenya Iida Quirk: Engine He can run very fast using the engines in his calves.
context: I'll throw away my arm!\Recipro...\One For All...\If I just...\If I just...\Go!\Affiliation: U.A. High School Hero Class 1-A Birthday: 8/22 Height: 179 cm Blood Type: A Likes: Beef Stew\Tenya Iida Quirk: Engine He can run very fast using the engines in his calves. response:	Affiliation: Unknown Birthday: Unknown Height: Unknown Blood Type: Unknown Likes: Unknown
context: Recipro...\One For All...\If I just...\If I just...\Go!\Affiliation: U.A. High School Hero Class 1-A Birthday: 8/22 Height: 179 cm Blood Type: A Likes: Beef Stew\Tenya Iida Quirk: Engine He can run very fast using the engines in his calves.\Affiliation: Unknown Birthday: Unknown Height: Unknown Blood Type: Unknown Likes: Unknown response:	Stain Quirk: Unknown Unknown
context: One For All...\If I just...\If I just...\Go!\Affiliation: U.A. High School Hero Class 1-A Birthday: 8/22 Height: 179 cm Blood Type: A Likes: Beef Stew\Tenya Iida Quirk: Engine He can run very fast using the engines in his calves.\Affiliation: Unknown Birthday: Unknown Height: Unknown Blood Type: Unknown Likes: Unknown\Stain Quirk: Unknown Unknown response:	Minutes earlier
context: If I just...\If I just...\Go!\Affiliation: U.A. High School Hero Class 1-A Birthday: 8/22 Height: 179 cm Blood Type: A Likes: Beef Stew\Tenya Iida Quirk: Engine He can run very fast using the engines in his calves.\Affiliation: Unknown Birthday: Unknown Height: Unknown Blood Type: Unknown Likes: Unknown\Stain Quirk: Unknown Unknown\Minutes earlier response:	He's fast! But-
context: If I just...\Go!\Affiliation: U.A. High School Hero Class 1-A Birthday: 8/22 Height: 179 cm Blood Type: A Likes: Beef Stew\Tenya Iida Quirk: Engine He can run very fast using the engines in his calves.\Affiliation: Unknown Birthday: Unknown Height: Unknown Blood Type: Unknown Likes: Unknown\Stain Quirk: Unknown Unknown\Minutes earlier\He's fast! But- response:	Not faster than I can handle!
context: Go!\Affiliation: U.A. High School Hero Class 1-A Birthday: 8/22 Height: 179 cm Blood Type: A Likes: Beef Stew\Tenya Iida Quirk: Engine He can run very fast using the engines in his calves.\Affiliation: Unknown Birthday: Unknown Height: Unknown Blood Type: Unknown Likes: Unknown\Stain Quirk: Unknown Unknown\Minutes earlier\He's fast! But-\Not faster than I can handle! response:	Hey-
context: Affiliation: U.A. High School Hero Class 1-A Birthday: 8/22 Height: 179 cm Blood Type: A Likes: Beef Stew\Tenya Iida Quirk: Engine He can run very fast using the engines in his calves.\Affiliation: Unknown Birthday: Unknown Height: Unknown Blood Type: Unknown Likes: Unknown\Stain Quirk: Unknown Unknown\Minutes earlier\He's fast! But-\Not faster than I can handle!\Hey- response:	Stop it, you little-
context: Tenya Iida Quirk: Engine He can run very fast using the engines in his calves.\Affiliation: Unknown Birthday: Unknown Height: Unknown Blood Type: Unknown Likes: Unknown\Stain Quirk: Unknown Unknown\Minutes earlier\He's fast! But-\Not faster than I can handle!\Hey-\Stop it, you little- response:	Pro Hero - Gran Torino - Quirk: Jet
context: Affiliation: Unknown Birthday: Unknown Height: Unknown Blood Type: Unknown Likes: Unknown\Stain Quirk: Unknown Unknown\Minutes earlier\He's fast! But-\Not faster than I can handle!\Hey-\Stop it, you little-\Pro Hero - Gran Torino - Quirk: Jet response:	I do not know who you are, honored elder,
context: Stain Quirk: Unknown Unknown\Minutes earlier\He's fast! But-\Not faster than I can handle!\Hey-\Stop it, you little-\Pro Hero - Gran Torino - Quirk: Jet\I do not know who you are, honored elder, response:	but leave the rest to me.
context: Minutes earlier\He's fast! But-\Not faster than I can handle!\Hey-\Stop it, you little-\Pro Hero - Gran Torino - Quirk: Jet\I do not know who you are, honored elder,\but leave the rest to me. response:	Seriously?
context: He's fast! But-\Not faster than I can handle!\Hey-\Stop it, you little-\Pro Hero - Gran Torino - Quirk: Jet\I do not know who you are, honored elder,\but leave the rest to me.\Seriously? response:	Why are you here?
context: Not faster than I can handle!\Hey-\Stop it, you little-\Pro Hero - Gran Torino - Quirk: Jet\I do not know who you are, honored elder,\but leave the rest to me.\Seriously?\Why are you here? response:	Pro Hero - Endeavor - Quirk: Hellflame
context: Hey-\Stop it, you little-\Pro Hero - Gran Torino - Quirk: Jet\I do not know who you are, honored elder,\but leave the rest to me.\Seriously?\Why are you here?\Pro Hero - Endeavor - Quirk: Hellflame response:	Isn't it obvious?
context: Stop it, you little-\Pro Hero - Gran Torino - Quirk: Jet\I do not know who you are, honored elder,\but leave the rest to me.\Seriously?\Why are you here?\Pro Hero - Endeavor - Quirk: Hellflame\Isn't it obvious? response:	It's because I am a hero.
context: Pro Hero - Gran Torino - Quirk: Jet\I do not know who you are, honored elder,\but leave the rest to me.\Seriously?\Why are you here?\Pro Hero - Endeavor - Quirk: Hellflame\Isn't it obvious?\It's because I am a hero. response:	Even though I used a lower temperature as a warning,
context: I do not know who you are, honored elder,\but leave the rest to me.\Seriously?\Why are you here?\Pro Hero - Endeavor - Quirk: Hellflame\Isn't it obvious?\It's because I am a hero.\Even though I used a lower temperature as a warning, response:	this is the first time anyone's been able to stay conscious after being on the receiving end.
context: but leave the rest to me.\Seriously?\Why are you here?\Pro Hero - Endeavor - Quirk: Hellflame\Isn't it obvious?\It's because I am a hero.\Even though I used a lower temperature as a warning,\this is the first time anyone's been able to stay conscious after being on the receiving end. response:	Be careful!
context: Seriously?\Why are you here?\Pro Hero - Endeavor - Quirk: Hellflame\Isn't it obvious?\It's because I am a hero.\Even though I used a lower temperature as a warning,\this is the first time anyone's been able to stay conscious after being on the receiving end.\Be careful! response:	This guy's...
context: Why are you here?\Pro Hero - Endeavor - Quirk: Hellflame\Isn't it obvious?\It's because I am a hero.\Even though I used a lower temperature as a warning,\this is the first time anyone's been able to stay conscious after being on the receiving end.\Be careful!\This guy's... response:	Absorption and release, huh? But since the damage from the absorption remains...
context: Pro Hero - Endeavor - Quirk: Hellflame\Isn't it obvious?\It's because I am a hero.\Even though I used a lower temperature as a warning,\this is the first time anyone's been able to stay conscious after being on the receiving end.\Be careful!\This guy's...\Absorption and release, huh? But since the damage from the absorption remains... response:	It's just a small fry's Quirk!
context: Isn't it obvious?\It's because I am a hero.\Even though I used a lower temperature as a warning,\this is the first time anyone's been able to stay conscious after being on the receiving end.\Be careful!\This guy's...\Absorption and release, huh? But since the damage from the absorption remains...\It's just a small fry's Quirk! response:	That's strange...
context: It's because I am a hero.\Even though I used a lower temperature as a warning,\this is the first time anyone's been able to stay conscious after being on the receiving end.\Be careful!\This guy's...\Absorption and release, huh? But since the damage from the absorption remains...\It's just a small fry's Quirk!\That's strange... response:	No, Todoroki!
context: Even though I used a lower temperature as a warning,\this is the first time anyone's been able to stay conscious after being on the receiving end.\Be careful!\This guy's...\Absorption and release, huh? But since the damage from the absorption remains...\It's just a small fry's Quirk!\That's strange...\No, Todoroki! response:	This guy's got multiple Quirks!
context: this is the first time anyone's been able to stay conscious after being on the receiving end.\Be careful!\This guy's...\Absorption and release, huh? But since the damage from the absorption remains...\It's just a small fry's Quirk!\That's strange...\No, Todoroki!\This guy's got multiple Quirks! response:	I see, so that's how it is.
context: Be careful!\This guy's...\Absorption and release, huh? But since the damage from the absorption remains...\It's just a small fry's Quirk!\That's strange...\No, Todoroki!\This guy's got multiple Quirks!\I see, so that's how it is. response:	Those two bystanders ran away, right?
context: This guy's...\Absorption and release, huh? But since the damage from the absorption remains...\It's just a small fry's Quirk!\That's strange...\No, Todoroki!\This guy's got multiple Quirks!\I see, so that's how it is.\Those two bystanders ran away, right? response:	In that case...
context: Absorption and release, huh? But since the damage from the absorption remains...\It's just a small fry's Quirk!\That's strange...\No, Todoroki!\This guy's got multiple Quirks!\I see, so that's how it is.\Those two bystanders ran away, right?\In that case... response:	I cracked the road...
context: It's just a small fry's Quirk!\That's strange...\No, Todoroki!\This guy's got multiple Quirks!\I see, so that's how it is.\Those two bystanders ran away, right?\In that case...\I cracked the road... response:	It's been a while, so my control's not great...
context: That's strange...\No, Todoroki!\This guy's got multiple Quirks!\I see, so that's how it is.\Those two bystanders ran away, right?\In that case...\I cracked the road...\It's been a while, so my control's not great... response:	Huh, you're not bad, honored elder.
context: No, Todoroki!\This guy's got multiple Quirks!\I see, so that's how it is.\Those two bystanders ran away, right?\In that case...\I cracked the road...\It's been a while, so my control's not great...\Huh, you're not bad, honored elder. response:	There should be a lot of heroes gathered over there.
context: This guy's got multiple Quirks!\I see, so that's how it is.\Those two bystanders ran away, right?\In that case...\I cracked the road...\It's been a while, so my control's not great...\Huh, you're not bad, honored elder.\There should be a lot of heroes gathered over there. response:	It's been at least two or three minutes.
context: I see, so that's how it is.\Those two bystanders ran away, right?\In that case...\I cracked the road...\It's been a while, so my control's not great...\Huh, you're not bad, honored elder.\There should be a lot of heroes gathered over there.\It's been at least two or three minutes. response:	Even though they're all gathered there... Good grief!
context: Those two bystanders ran away, right?\In that case...\I cracked the road...\It's been a while, so my control's not great...\Huh, you're not bad, honored elder.\There should be a lot of heroes gathered over there.\It's been at least two or three minutes.\Even though they're all gathered there... Good grief! response:	Let's restrain this guy quickly and turn him over to the police so we can go help!
context: In that case...\I cracked the road...\It's been a while, so my control's not great...\Huh, you're not bad, honored elder.\There should be a lot of heroes gathered over there.\It's been at least two or three minutes.\Even though they're all gathered there... Good grief!\Let's restrain this guy quickly and turn him over to the police so we can go help! response:	Shoto, there's trouble! Follow me!
context: I cracked the road...\It's been a while, so my control's not great...\Huh, you're not bad, honored elder.\There should be a lot of heroes gathered over there.\It's been at least two or three minutes.\Even though they're all gathered there... Good grief!\Let's restrain this guy quickly and turn him over to the police so we can go help!\Shoto, there's trouble! Follow me! response:	I'll show you what it means to be a hero!
context: It's been a while, so my control's not great...\Huh, you're not bad, honored elder.\There should be a lot of heroes gathered over there.\It's been at least two or three minutes.\Even though they're all gathered there... Good grief!\Let's restrain this guy quickly and turn him over to the police so we can go help!\Shoto, there's trouble! Follow me!\I'll show you what it means to be a hero! response:	Midoriya...
context: Huh, you're not bad, honored elder.\There should be a lot of heroes gathered over there.\It's been at least two or three minutes.\Even though they're all gathered there... Good grief!\Let's restrain this guy quickly and turn him over to the police so we can go help!\Shoto, there's trouble! Follow me!\I'll show you what it means to be a hero!\Midoriya... response:	Shoto!
context: There should be a lot of heroes gathered over there.\It's been at least two or three minutes.\Even though they're all gathered there... Good grief!\Let's restrain this guy quickly and turn him over to the police so we can go help!\Shoto, there's trouble! Follow me!\I'll show you what it means to be a hero!\Midoriya...\Shoto! response:	-It's just his location... -Don't look at your phone, look at me!
context: It's been at least two or three minutes.\Even though they're all gathered there... Good grief!\Let's restrain this guy quickly and turn him over to the police so we can go help!\Shoto, there's trouble! Follow me!\I'll show you what it means to be a hero!\Midoriya...\Shoto!\-It's just his location... -Don't look at your phone, look at me! response:	Where are you going, Shoto?!
context: Even though they're all gathered there... Good grief!\Let's restrain this guy quickly and turn him over to the police so we can go help!\Shoto, there's trouble! Follow me!\I'll show you what it means to be a hero!\Midoriya...\Shoto!\-It's just his location... -Don't look at your phone, look at me!\Where are you going, Shoto?! response:	An alleyway at 4-2-10 Ekou Street.
context: Let's restrain this guy quickly and turn him over to the police so we can go help!\Shoto, there's trouble! Follow me!\I'll show you what it means to be a hero!\Midoriya...\Shoto!\-It's just his location... -Don't look at your phone, look at me!\Where are you going, Shoto?!\An alleyway at 4-2-10 Ekou Street. response:	If you finish what you're doing or find any free pros, send them there.
context: Shoto, there's trouble! Follow me!\I'll show you what it means to be a hero!\Midoriya...\Shoto!\-It's just his location... -Don't look at your phone, look at me!\Where are you going, Shoto?!\An alleyway at 4-2-10 Ekou Street.\If you finish what you're doing or find any free pros, send them there. response:	I'm leaving you to take care of the trouble.
context: I'll show you what it means to be a hero!\Midoriya...\Shoto!\-It's just his location... -Don't look at your phone, look at me!\Where are you going, Shoto?!\An alleyway at 4-2-10 Ekou Street.\If you finish what you're doing or find any free pros, send them there.\I'm leaving you to take care of the trouble. response:	I'm sure you'll be able to resolve it quickly.
context: Midoriya...\Shoto!\-It's just his location... -Don't look at your phone, look at me!\Where are you going, Shoto?!\An alleyway at 4-2-10 Ekou Street.\If you finish what you're doing or find any free pros, send them there.\I'm leaving you to take care of the trouble.\I'm sure you'll be able to resolve it quickly. response:	My friend might be in trouble...
context: Shoto!\-It's just his location... -Don't look at your phone, look at me!\Where are you going, Shoto?!\An alleyway at 4-2-10 Ekou Street.\If you finish what you're doing or find any free pros, send them there.\I'm leaving you to take care of the trouble.\I'm sure you'll be able to resolve it quickly.\My friend might be in trouble... response:	Shoto...
context: -It's just his location... -Don't look at your phone, look at me!\Where are you going, Shoto?!\An alleyway at 4-2-10 Ekou Street.\If you finish what you're doing or find any free pros, send them there.\I'm leaving you to take care of the trouble.\I'm sure you'll be able to resolve it quickly.\My friend might be in trouble...\Shoto... response:	Leave that villain to my sidekicks.
context: Where are you going, Shoto?!\An alleyway at 4-2-10 Ekou Street.\If you finish what you're doing or find any free pros, send them there.\I'm leaving you to take care of the trouble.\I'm sure you'll be able to resolve it quickly.\My friend might be in trouble...\Shoto...\Leave that villain to my sidekicks. response:	Honored elder, go now to the address I'll give you.
context: An alleyway at 4-2-10 Ekou Street.\If you finish what you're doing or find any free pros, send them there.\I'm leaving you to take care of the trouble.\I'm sure you'll be able to resolve it quickly.\My friend might be in trouble...\Shoto...\Leave that villain to my sidekicks.\Honored elder, go now to the address I'll give you. response:	I, Endeavor, will be sufficient support for those over there by myself.
context: If you finish what you're doing or find any free pros, send them there.\I'm leaving you to take care of the trouble.\I'm sure you'll be able to resolve it quickly.\My friend might be in trouble...\Shoto...\Leave that villain to my sidekicks.\Honored elder, go now to the address I'll give you.\I, Endeavor, will be sufficient support for those over there by myself. response:	Go!
context: I'm leaving you to take care of the trouble.\I'm sure you'll be able to resolve it quickly.\My friend might be in trouble...\Shoto...\Leave that villain to my sidekicks.\Honored elder, go now to the address I'll give you.\I, Endeavor, will be sufficient support for those over there by myself.\Go! response:	Did I release a little too much power?
context: I'm sure you'll be able to resolve it quickly.\My friend might be in trouble...\Shoto...\Leave that villain to my sidekicks.\Honored elder, go now to the address I'll give you.\I, Endeavor, will be sufficient support for those over there by myself.\Go!\Did I release a little too much power? response:	It's not broken... is it?
context: My friend might be in trouble...\Shoto...\Leave that villain to my sidekicks.\Honored elder, go now to the address I'll give you.\I, Endeavor, will be sufficient support for those over there by myself.\Go!\Did I release a little too much power?\It's not broken... is it? response:	They stopped him!
context: Shoto...\Leave that villain to my sidekicks.\Honored elder, go now to the address I'll give you.\I, Endeavor, will be sufficient support for those over there by myself.\Go!\Did I release a little too much power?\It's not broken... is it?\They stopped him! response:	Here's my chance!
context: Leave that villain to my sidekicks.\Honored elder, go now to the address I'll give you.\I, Endeavor, will be sufficient support for those over there by myself.\Go!\Did I release a little too much power?\It's not broken... is it?\They stopped him!\Here's my chance! response:	I will defeat you!
context: Honored elder, go now to the address I'll give you.\I, Endeavor, will be sufficient support for those over there by myself.\Go!\Did I release a little too much power?\It's not broken... is it?\They stopped him!\Here's my chance!\I will defeat you! response:	This time, you, as a criminal-
context: I, Endeavor, will be sufficient support for those over there by myself.\Go!\Did I release a little too much power?\It's not broken... is it?\They stopped him!\Here's my chance!\I will defeat you!\This time, you, as a criminal- response:	Keep after him!
context: Go!\Did I release a little too much power?\It's not broken... is it?\They stopped him!\Here's my chance!\I will defeat you!\This time, you, as a criminal-\Keep after him! response:	And I, as a hero!
context: Did I release a little too much power?\It's not broken... is it?\They stopped him!\Here's my chance!\I will defeat you!\This time, you, as a criminal-\Keep after him!\And I, as a hero! response:	Stand up! He's still...
context: It's not broken... is it?\They stopped him!\Here's my chance!\I will defeat you!\This time, you, as a criminal-\Keep after him!\And I, as a hero!\Stand up! He's still... response:	He's probably knocked out after all that... right?
context: They stopped him!\Here's my chance!\I will defeat you!\This time, you, as a criminal-\Keep after him!\And I, as a hero!\Stand up! He's still...\He's probably knocked out after all that... right? response:	Then, let's restrain him and get out to the street.
context: Here's my chance!\I will defeat you!\This time, you, as a criminal-\Keep after him!\And I, as a hero!\Stand up! He's still...\He's probably knocked out after all that... right?\Then, let's restrain him and get out to the street. response:	Is there anything to tie him up with?
context: I will defeat you!\This time, you, as a criminal-\Keep after him!\And I, as a hero!\Stand up! He's still...\He's probably knocked out after all that... right?\Then, let's restrain him and get out to the street.\Is there anything to tie him up with? response:	Just in case, let's take all his weapons off him.
context: This time, you, as a criminal-\Keep after him!\And I, as a hero!\Stand up! He's still...\He's probably knocked out after all that... right?\Then, let's restrain him and get out to the street.\Is there anything to tie him up with?\Just in case, let's take all his weapons off him. response:	Good idea.
context: Keep after him!\And I, as a hero!\Stand up! He's still...\He's probably knocked out after all that... right?\Then, let's restrain him and get out to the street.\Is there anything to tie him up with?\Just in case, let's take all his weapons off him.\Good idea. response:	He's too strong!
context: And I, as a hero!\Stand up! He's still...\He's probably knocked out after all that... right?\Then, let's restrain him and get out to the street.\Is there anything to tie him up with?\Just in case, let's take all his weapons off him.\Good idea.\He's too strong! response:	Damn it!
context: Stand up! He's still...\He's probably knocked out after all that... right?\Then, let's restrain him and get out to the street.\Is there anything to tie him up with?\Just in case, let's take all his weapons off him.\Good idea.\He's too strong!\Damn it! response:	Let's all attack him at once!
context: He's probably knocked out after all that... right?\Then, let's restrain him and get out to the street.\Is there anything to tie him up with?\Just in case, let's take all his weapons off him.\Good idea.\He's too strong!\Damn it!\Let's all attack him at once! response:	Right!
context: Then, let's restrain him and get out to the street.\Is there anything to tie him up with?\Just in case, let's take all his weapons off him.\Good idea.\He's too strong!\Damn it!\Let's all attack him at once!\Right! response:	Damn it, I can't see!
context: Is there anything to tie him up with?\Just in case, let's take all his weapons off him.\Good idea.\He's too strong!\Damn it!\Let's all attack him at once!\Right!\Damn it, I can't see! response:	Where is he?!
context: Just in case, let's take all his weapons off him.\Good idea.\He's too strong!\Damn it!\Let's all attack him at once!\Right!\Damn it, I can't see!\Where is he?! response:	Run away!
context: Good idea.\He's too strong!\Damn it!\Let's all attack him at once!\Right!\Damn it, I can't see!\Where is he?!\Run away! response:	Endeavor!
context: He's too strong!\Damn it!\Let's all attack him at once!\Right!\Damn it, I can't see!\Where is he?!\Run away!\Endeavor! response:	He can regenerate, huh?
context: Damn it!\Let's all attack him at once!\Right!\Damn it, I can't see!\Where is he?!\Run away!\Endeavor!\He can regenerate, huh? response:	Then-
context: Let's all attack him at once!\Right!\Damn it, I can't see!\Where is he?!\Run away!\Endeavor!\He can regenerate, huh?\Then- response:	How about this?!
context: Right!\Damn it, I can't see!\Where is he?!\Run away!\Endeavor!\He can regenerate, huh?\Then-\How about this?! response:	Carbonized cells cannot regenerate.
context: Damn it, I can't see!\Where is he?!\Run away!\Endeavor!\He can regenerate, huh?\Then-\How about this?!\Carbonized cells cannot regenerate. response:	Look out!
context: Where is he?!\Run away!\Endeavor!\He can regenerate, huh?\Then-\How about this?!\Carbonized cells cannot regenerate.\Look out! response:	Those heroes with Quirks that are not effective against the villain,
context: Run away!\Endeavor!\He can regenerate, huh?\Then-\How about this?!\Carbonized cells cannot regenerate.\Look out!\Those heroes with Quirks that are not effective against the villain, response:	go to Ekou Street, District 4 to help there!
context: Endeavor!\He can regenerate, huh?\Then-\How about this?!\Carbonized cells cannot regenerate.\Look out!\Those heroes with Quirks that are not effective against the villain,\go to Ekou Street, District 4 to help there! response:	There's a villain there, too?
context: He can regenerate, huh?\Then-\How about this?!\Carbonized cells cannot regenerate.\Look out!\Those heroes with Quirks that are not effective against the villain,\go to Ekou Street, District 4 to help there!\There's a villain there, too? response:	I don't know, but I'm counting on you!
context: Then-\How about this?!\Carbonized cells cannot regenerate.\Look out!\Those heroes with Quirks that are not effective against the villain,\go to Ekou Street, District 4 to help there!\There's a villain there, too?\I don't know, but I'm counting on you! response:	He's fast! Then-
context: How about this?!\Carbonized cells cannot regenerate.\Look out!\Those heroes with Quirks that are not effective against the villain,\go to Ekou Street, District 4 to help there!\There's a villain there, too?\I don't know, but I'm counting on you!\He's fast! Then- response:	I won't let you get away!
context: Carbonized cells cannot regenerate.\Look out!\Those heroes with Quirks that are not effective against the villain,\go to Ekou Street, District 4 to help there!\There's a villain there, too?\I don't know, but I'm counting on you!\He's fast! Then-\I won't let you get away! response:	Native, can you move?
context: Look out!\Those heroes with Quirks that are not effective against the villain,\go to Ekou Street, District 4 to help there!\There's a villain there, too?\I don't know, but I'm counting on you!\He's fast! Then-\I won't let you get away!\Native, can you move? response:	Yeah, I'm okay now.
context: Those heroes with Quirks that are not effective against the villain,\go to Ekou Street, District 4 to help there!\There's a villain there, too?\I don't know, but I'm counting on you!\He's fast! Then-\I won't let you get away!\Native, can you move?\Yeah, I'm okay now. response:	U-Um...
context: go to Ekou Street, District 4 to help there!\There's a villain there, too?\I don't know, but I'm counting on you!\He's fast! Then-\I won't let you get away!\Native, can you move?\Yeah, I'm okay now.\U-Um... response:	You hurt your legs, right?
context: There's a villain there, too?\I don't know, but I'm counting on you!\He's fast! Then-\I won't let you get away!\Native, can you move?\Yeah, I'm okay now.\U-Um...\You hurt your legs, right? response:	Let me do this, at least.
context: I don't know, but I'm counting on you!\He's fast! Then-\I won't let you get away!\Native, can you move?\Yeah, I'm okay now.\U-Um...\You hurt your legs, right?\Let me do this, at least. response:	Th-Thank you very much.
context: He's fast! Then-\I won't let you get away!\Native, can you move?\Yeah, I'm okay now.\U-Um...\You hurt your legs, right?\Let me do this, at least.\Th-Thank you very much. response:	That's my line.
context: I won't let you get away!\Native, can you move?\Yeah, I'm okay now.\U-Um...\You hurt your legs, right?\Let me do this, at least.\Th-Thank you very much.\That's my line. response:	You can find anything at a trash collection site.
context: Native, can you move?\Yeah, I'm okay now.\U-Um...\You hurt your legs, right?\Let me do this, at least.\Th-Thank you very much.\That's my line.\You can find anything at a trash collection site. response:	Todoroki, I'll pull it!
context: Yeah, I'm okay now.\U-Um...\You hurt your legs, right?\Let me do this, at least.\Th-Thank you very much.\That's my line.\You can find anything at a trash collection site.\Todoroki, I'll pull it! response:	Your arms are all messed up, right?
context: U-Um...\You hurt your legs, right?\Let me do this, at least.\Th-Thank you very much.\That's my line.\You can find anything at a trash collection site.\Todoroki, I'll pull it!\Your arms are all messed up, right? response:	Sorry...
context: You hurt your legs, right?\Let me do this, at least.\Th-Thank you very much.\That's my line.\You can find anything at a trash collection site.\Todoroki, I'll pull it!\Your arms are all messed up, right?\Sorry... response:	Even though I'm a pro, I was just in the way.
context: Let me do this, at least.\Th-Thank you very much.\That's my line.\You can find anything at a trash collection site.\Todoroki, I'll pull it!\Your arms are all messed up, right?\Sorry...\Even though I'm a pro, I was just in the way. response:	No, I don't think you could've done anything
context: Th-Thank you very much.\That's my line.\You can find anything at a trash collection site.\Todoroki, I'll pull it!\Your arms are all messed up, right?\Sorry...\Even though I'm a pro, I was just in the way.\No, I don't think you could've done anything response:	one-on-one with the hero killer's Quirk.
context: That's my line.\You can find anything at a trash collection site.\Todoroki, I'll pull it!\Your arms are all messed up, right?\Sorry...\Even though I'm a pro, I was just in the way.\No, I don't think you could've done anything\one-on-one with the hero killer's Quirk. response:	He's too strong.
context: You can find anything at a trash collection site.\Todoroki, I'll pull it!\Your arms are all messed up, right?\Sorry...\Even though I'm a pro, I was just in the way.\No, I don't think you could've done anything\one-on-one with the hero killer's Quirk.\He's too strong. response:	Fighting three-on-one with the guy making mistakes himself, we still barely won.
context: Todoroki, I'll pull it!\Your arms are all messed up, right?\Sorry...\Even though I'm a pro, I was just in the way.\No, I don't think you could've done anything\one-on-one with the hero killer's Quirk.\He's too strong.\Fighting three-on-one with the guy making mistakes himself, we still barely won. response:	He was probably flustered and forgot about Midoriya's recovery time.
context: Your arms are all messed up, right?\Sorry...\Even though I'm a pro, I was just in the way.\No, I don't think you could've done anything\one-on-one with the hero killer's Quirk.\He's too strong.\Fighting three-on-one with the guy making mistakes himself, we still barely won.\He was probably flustered and forgot about Midoriya's recovery time. response:	And he wasn't able to deal with Iida's last Reciproburst or Midoriya's movements.
context: Sorry...\Even though I'm a pro, I was just in the way.\No, I don't think you could've done anything\one-on-one with the hero killer's Quirk.\He's too strong.\Fighting three-on-one with the guy making mistakes himself, we still barely won.\He was probably flustered and forgot about Midoriya's recovery time.\And he wasn't able to deal with Iida's last Reciproburst or Midoriya's movements. response:	Now, let's quickly get him to the police-
context: Even though I'm a pro, I was just in the way.\No, I don't think you could've done anything\one-on-one with the hero killer's Quirk.\He's too strong.\Fighting three-on-one with the guy making mistakes himself, we still barely won.\He was probably flustered and forgot about Midoriya's recovery time.\And he wasn't able to deal with Iida's last Reciproburst or Midoriya's movements.\Now, let's quickly get him to the police- response:	Wha...? Why are you here?
context: No, I don't think you could've done anything\one-on-one with the hero killer's Quirk.\He's too strong.\Fighting three-on-one with the guy making mistakes himself, we still barely won.\He was probably flustered and forgot about Midoriya's recovery time.\And he wasn't able to deal with Iida's last Reciproburst or Midoriya's movements.\Now, let's quickly get him to the police-\Wha...? Why are you here? response:	Gran Torino!
