context: Yukigaoka Kitagawa Daiichi response:	My first and last official match of junior high...
context: I'm not sure I could've returned that one!\None of the girl volleyball players or old ladies served like that!\How's that different from last year?\One more.\Hey. Enough is enough.\They don't listen to their captain.\This could be a problem.\He has quick reflexes! response:	He's right in front
context: None of the girl volleyball players or old ladies served like that!\How's that different from last year?\One more.\Hey. Enough is enough.\They don't listen to their captain.\This could be a problem.\He has quick reflexes!\He's right in front response:	If this keeps happen
context: How's that different from last year?\One more.\Hey. Enough is enough.\They don't listen to their captain.\This could be a problem.\He has quick reflexes!\He's right in front\If this keeps happen response:	He was wearing a wig?
context: One more.\Hey. Enough is enough.\They don't listen to their captain.\This could be a problem.\He has quick reflexes!\He's right in front\If this keeps happen\He was wearing a wig? response:	You just noticed?
context: Hey. Enough is enough.\They don't listen to their captain.\This could be a problem.\He has quick reflexes!\He's right in front\If this keeps happen\He was wearing a wig?\You just noticed? response:	Everyone at the entrance ceremony could tell.
context: They don't listen to their captain.\This could be a problem.\He has quick reflexes!\He's right in front\If this keeps happen\He was wearing a wig?\You just noticed?\Everyone at the entrance ceremony could tell. response:	You guys! Shut up!
context: This could be a problem.\He has quick reflexes!\He's right in front\If this keeps happen\He was wearing a wig?\You just noticed?\Everyone at the entrance ceremony could tell.\You guys! Shut up! response:	Tanaka, you shut up, too.
context: He has quick reflexes!\He's right in front\If this keeps happen\He was wearing a wig?\You just noticed?\Everyone at the entrance ceremony could tell.\You guys! Shut up!\Tanaka, you shut up, too. response:	Sawamura-kun, I'd like a word with you.
context: He's right in front\If this keeps happen\He was wearing a wig?\You just noticed?\Everyone at the entrance ceremony could tell.\You guys! Shut up!\Tanaka, you shut up, too.\Sawamura-kun, I'd like a word with you. response:	Fortunately, he's not punishing us.
context: If this keeps happen\He was wearing a wig?\You just noticed?\Everyone at the entrance ceremony could tell.\You guys! Shut up!\Tanaka, you shut up, too.\Sawamura-kun, I'd like a word with you.\Fortunately, he's not punishing us. response:	And no apologies necessary,
context: He was wearing a wig?\You just noticed?\Everyone at the entrance ceremony could tell.\You guys! Shut up!\Tanaka, you shut up, too.\Sawamura-kun, I'd like a word with you.\Fortunately, he's not punishing us.\And no apologies necessary, response:	provided you all agree that you saw nothing.
context: You just noticed?\Everyone at the entrance ceremony could tell.\You guys! Shut up!\Tanaka, you shut up, too.\Sawamura-kun, I'd like a word with you.\Fortunately, he's not punishing us.\And no apologies necessary,\provided you all agree that you saw nothing. response:	But, you guys...
context: Everyone at the entrance ceremony could tell.\You guys! Shut up!\Tanaka, you shut up, too.\Sawamura-kun, I'd like a word with you.\Fortunately, he's not punishing us.\And no apologies necessary,\provided you all agree that you saw nothing.\But, you guys... response:	All because you couldn't hit a serve! You suck.
context: You guys! Shut up!\Tanaka, you shut up, too.\Sawamura-kun, I'd like a word with you.\Fortunately, he's not punishing us.\And no apologies necessary,\provided you all agree that you saw nothing.\But, you guys...\All because you couldn't hit a serve! You suck. response:	What's different from last year?
context: Tanaka, you shut up, too.\Sawamura-kun, I'd like a word with you.\Fortunately, he's not punishing us.\And no apologies necessary,\provided you all agree that you saw nothing.\But, you guys...\All because you couldn't hit a serve! You suck.\What's different from last year? response:	Are you kidding me?
context: Sawamura-kun, I'd like a word with you.\Fortunately, he's not punishing us.\And no apologies necessary,\provided you all agree that you saw nothing.\But, you guys...\All because you couldn't hit a serve! You suck.\What's different from last year?\Are you kidding me? response:	I was dumb to even think it.
context: Fortunately, he's not punishing us.\And no apologies necessary,\provided you all agree that you saw nothing.\But, you guys...\All because you couldn't hit a serve! You suck.\What's different from last year?\Are you kidding me?\I was dumb to even think it. response:	You suck!
context: And no apologies necessary,\provided you all agree that you saw nothing.\But, you guys...\All because you couldn't hit a serve! You suck.\What's different from last year?\Are you kidding me?\I was dumb to even think it.\You suck! response:	You talk too much.
context: provided you all agree that you saw nothing.\But, you guys...\All because you couldn't hit a serve! You suck.\What's different from last year?\Are you kidding me?\I was dumb to even think it.\You suck!\You talk too much. response:	Hey.
context: But, you guys...\All because you couldn't hit a serve! You suck.\What's different from last year?\Are you kidding me?\I was dumb to even think it.\You suck!\You talk too much.\Hey. response:	I want you to listen to me.
context: All because you couldn't hit a serve! You suck.\What's different from last year?\Are you kidding me?\I was dumb to even think it.\You suck!\You talk too much.\Hey.\I want you to listen to me. response:	I don't know what your motive was for attending Karasuno.
context: What's different from last year?\Are you kidding me?\I was dumb to even think it.\You suck!\You talk too much.\Hey.\I want you to listen to me.\I don't know what your motive was for attending Karasuno. response:	But I'm sure you came here with victory on your mind.
context: Are you kidding me?\I was dumb to even think it.\You suck!\You talk too much.\Hey.\I want you to listen to me.\I don't know what your motive was for attending Karasuno.\But I'm sure you came here with victory on your mind. response:	Yes.
context: I was dumb to even think it.\You suck!\You talk too much.\Hey.\I want you to listen to me.\I don't know what your motive was for attending Karasuno.\But I'm sure you came here with victory on your mind.\Yes. response:	Of course.
context: You suck!\You talk too much.\Hey.\I want you to listen to me.\I don't know what your motive was for attending Karasuno.\But I'm sure you came here with victory on your mind.\Yes.\Of course. response:	Karasuno was one of the top teams in the prefecture till a few years ago.
context: You talk too much.\Hey.\I want you to listen to me.\I don't know what your motive was for attending Karasuno.\But I'm sure you came here with victory on your mind.\Yes.\Of course.\Karasuno was one of the top teams in the prefecture till a few years ago. response:	It happened only once, but we even went to nationals.
context: Hey.\I want you to listen to me.\I don't know what your motive was for attending Karasuno.\But I'm sure you came here with victory on your mind.\Yes.\Of course.\Karasuno was one of the top teams in the prefecture till a few years ago.\It happened only once, but we even went to nationals. response:	Now we rank at best in the prefecture's top 8. Neither weak not strong.
context: I want you to listen to me.\I don't know what your motive was for attending Karasuno.\But I'm sure you came here with victory on your mind.\Yes.\Of course.\Karasuno was one of the top teams in the prefecture till a few years ago.\It happened only once, but we even went to nationals.\Now we rank at best in the prefecture's top 8. Neither weak not strong. response:	Other schools call us things like,
context: I don't know what your motive was for attending Karasuno.\But I'm sure you came here with victory on your mind.\Yes.\Of course.\Karasuno was one of the top teams in the prefecture till a few years ago.\It happened only once, but we even went to nationals.\Now we rank at best in the prefecture's top 8. Neither weak not strong.\Other schools call us things like, response:	Fallen Rivals,
context: But I'm sure you came here with victory on your mind.\Yes.\Of course.\Karasuno was one of the top teams in the prefecture till a few years ago.\It happened only once, but we even went to nationals.\Now we rank at best in the prefecture's top 8. Neither weak not strong.\Other schools call us things like,\Fallen Rivals, response:	and Unflying Crows.
context: Yes.\Of course.\Karasuno was one of the top teams in the prefecture till a few years ago.\It happened only once, but we even went to nationals.\Now we rank at best in the prefecture's top 8. Neither weak not strong.\Other schools call us things like,\Fallen Rivals,\and Unflying Crows. response:	I remember well when Karasuno competed in spring nationals.
context: Of course.\Karasuno was one of the top teams in the prefecture till a few years ago.\It happened only once, but we even went to nationals.\Now we rank at best in the prefecture's top 8. Neither weak not strong.\Other schools call us things like,\Fallen Rivals,\and Unflying Crows.\I remember well when Karasuno competed in spring nationals. response:	Students from my neighborhood,
context: Karasuno was one of the top teams in the prefecture till a few years ago.\It happened only once, but we even went to nationals.\Now we rank at best in the prefecture's top 8. Neither weak not strong.\Other schools call us things like,\Fallen Rivals,\and Unflying Crows.\I remember well when Karasuno competed in spring nationals.\Students from my neighborhood, response:	I'd pass by high school students
context: It happened only once, but we even went to nationals.\Now we rank at best in the prefecture's top 8. Neither weak not strong.\Other schools call us things like,\Fallen Rivals,\and Unflying Crows.\I remember well when Karasuno competed in spring nationals.\Students from my neighborhood,\I'd pass by high school students response:	competed against the country's best teams, in a huge gymnasium in Tokyo.
context: Now we rank at best in the prefecture's top 8. Neither weak not strong.\Other schools call us things like,\Fallen Rivals,\and Unflying Crows.\I remember well when Karasuno competed in spring nationals.\Students from my neighborhood,\I'd pass by high school students\competed against the country's best teams, in a huge gymnasium in Tokyo. response:	It gave me goosebumps.
context: Other schools call us things like,\Fallen Rivals,\and Unflying Crows.\I remember well when Karasuno competed in spring nationals.\Students from my neighborhood,\I'd pass by high school students\competed against the country's best teams, in a huge gymnasium in Tokyo.\It gave me goosebumps. response:	We're going to go there again.
context: Fallen Rivals,\and Unflying Crows.\I remember well when Karasuno competed in spring nationals.\Students from my neighborhood,\I'd pass by high school students\competed against the country's best teams, in a huge gymnasium in Tokyo.\It gave me goosebumps.\We're going to go there again. response:	I'm going to the same court as the little giant.
context: and Unflying Crows.\I remember well when Karasuno competed in spring nationals.\Students from my neighborhood,\I'd pass by high school students\competed against the country's best teams, in a huge gymnasium in Tokyo.\It gave me goosebumps.\We're going to go there again.\I'm going to the same court as the little giant. response:	There are many
context: I remember well when Karasuno competed in spring nationals.\Students from my neighborhood,\I'd pass by high school students\competed against the country's best teams, in a huge gymnasium in Tokyo.\It gave me goosebumps.\We're going to go there again.\I'm going to the same court as the little giant.\There are many response:	schools dreaming of going to nationals.
context: Students from my neighborhood,\I'd pass by high school students\competed against the country's best teams, in a huge gymnasium in Tokyo.\It gave me goosebumps.\We're going to go there again.\I'm going to the same court as the little giant.\There are many\schools dreaming of going to nationals. response:	You bastard...
context: I'd pass by high school students\competed against the country's best teams, in a huge gymnasium in Tokyo.\It gave me goosebumps.\We're going to go there again.\I'm going to the same court as the little giant.\There are many\schools dreaming of going to nationals.\You bastard... response:	Don't worry.
context: competed against the country's best teams, in a huge gymnasium in Tokyo.\It gave me goosebumps.\We're going to go there again.\I'm going to the same court as the little giant.\There are many\schools dreaming of going to nationals.\You bastard...\Don't worry. response:	I mean what I say.
context: It gave me goosebumps.\We're going to go there again.\I'm going to the same court as the little giant.\There are many\schools dreaming of going to nationals.\You bastard...\Don't worry.\I mean what I say. response:	For us to make that happen, our team has be unified.
context: We're going to go there again.\I'm going to the same court as the little giant.\There are many\schools dreaming of going to nationals.\You bastard...\Don't worry.\I mean what I say.\For us to make that happen, our team has be unified. response:	And we can't have the dean keeping an eye on us.
context: I'm going to the same court as the little giant.\There are many\schools dreaming of going to nationals.\You bastard...\Don't worry.\I mean what I say.\For us to make that happen, our team has be unified.\And we can't have the dean keeping an eye on us. response:	I'm not telling you guys to become buddies.
context: There are many\schools dreaming of going to nationals.\You bastard...\Don't worry.\I mean what I say.\For us to make that happen, our team has be unified.\And we can't have the dean keeping an eye on us.\I'm not telling you guys to become buddies. response:	Even if you were enemies on opposite sides of the net in junior high,
context: schools dreaming of going to nationals.\You bastard...\Don't worry.\I mean what I say.\For us to make that happen, our team has be unified.\And we can't have the dean keeping an eye on us.\I'm not telling you guys to become buddies.\Even if you were enemies on opposite sides of the net in junior high, response:	I need you to understand that now, you're on the same side.
context: You bastard...\Don't worry.\I mean what I say.\For us to make that happen, our team has be unified.\And we can't have the dean keeping an eye on us.\I'm not telling you guys to become buddies.\Even if you were enemies on opposite sides of the net in junior high,\I need you to understand that now, you're on the same side. response:	Do you get it?
context: Don't worry.\I mean what I say.\For us to make that happen, our team has be unified.\And we can't have the dean keeping an eye on us.\I'm not telling you guys to become buddies.\Even if you were enemies on opposite sides of the net in junior high,\I need you to understand that now, you're on the same side.\Do you get it? response:	No matter how outstanding you are,
context: I mean what I say.\For us to make that happen, our team has be unified.\And we can't have the dean keeping an eye on us.\I'm not telling you guys to become buddies.\Even if you were enemies on opposite sides of the net in junior high,\I need you to understand that now, you're on the same side.\Do you get it?\No matter how outstanding you are, response:	no matter how willing you are to give it your all,
context: For us to make that happen, our team has be unified.\And we can't have the dean keeping an eye on us.\I'm not telling you guys to become buddies.\Even if you were enemies on opposite sides of the net in junior high,\I need you to understand that now, you're on the same side.\Do you get it?\No matter how outstanding you are,\no matter how willing you are to give it your all, response:	if you fail to get along, and hinder your teammates...
context: And we can't have the dean keeping an eye on us.\I'm not telling you guys to become buddies.\Even if you were enemies on opposite sides of the net in junior high,\I need you to understand that now, you're on the same side.\Do you get it?\No matter how outstanding you are,\no matter how willing you are to give it your all,\if you fail to get along, and hinder your teammates... response:	You're not wanted!
context: I'm not telling you guys to become buddies.\Even if you were enemies on opposite sides of the net in junior high,\I need you to understand that now, you're on the same side.\Do you get it?\No matter how outstanding you are,\no matter how willing you are to give it your all,\if you fail to get along, and hinder your teammates...\You're not wanted! response:	Until you realize that you're both teammates,
context: Even if you were enemies on opposite sides of the net in junior high,\I need you to understand that now, you're on the same side.\Do you get it?\No matter how outstanding you are,\no matter how willing you are to give it your all,\if you fail to get along, and hinder your teammates...\You're not wanted!\Until you realize that you're both teammates, response:	you won't be participating in this club!
context: I need you to understand that now, you're on the same side.\Do you get it?\No matter how outstanding you are,\no matter how willing you are to give it your all,\if you fail to get along, and hinder your teammates...\You're not wanted!\Until you realize that you're both teammates,\you won't be participating in this club! response:	Haikyuu!!
context: Do you get it?\No matter how outstanding you are,\no matter how willing you are to give it your all,\if you fail to get along, and hinder your teammates...\You're not wanted!\Until you realize that you're both teammates,\you won't be participating in this club!\Haikyuu!! response:	Haikyuu!!
context: No matter how outstanding you are,\no matter how willing you are to give it your all,\if you fail to get along, and hinder your teammates...\You're not wanted!\Until you realize that you're both teammates,\you won't be participating in this club!\Haikyuu!!\Haikyuu!! response:	What does it mean to realize that we're teammates?
context: no matter how willing you are to give it your all,\if you fail to get along, and hinder your teammates...\You're not wanted!\Until you realize that you're both teammates,\you won't be participating in this club!\Haikyuu!!\Haikyuu!!\What does it mean to realize that we're teammates? response:	How do you do it?
context: if you fail to get along, and hinder your teammates...\You're not wanted!\Until you realize that you're both teammates,\you won't be participating in this club!\Haikyuu!!\Haikyuu!!\What does it mean to realize that we're teammates?\How do you do it? response:	Who knows?
context: You're not wanted!\Until you realize that you're both teammates,\you won't be participating in this club!\Haikyuu!!\Haikyuu!!\What does it mean to realize that we're teammates?\How do you do it?\Who knows? response:	Please let me in! Please let me play volleyball!
context: Until you realize that you're both teammates,\you won't be participating in this club!\Haikyuu!!\Haikyuu!!\What does it mean to realize that we're teammates?\How do you do it?\Who knows?\Please let me in! Please let me play volleyball! response:	I'll get along with Kageyama, too!
context: you won't be participating in this club!\Haikyuu!!\Haikyuu!!\What does it mean to realize that we're teammates?\How do you do it?\Who knows?\Please let me in! Please let me play volleyball!\I'll get along with Kageyama, too! response:	Please!
context: Haikyuu!!\Haikyuu!!\What does it mean to realize that we're teammates?\How do you do it?\Who knows?\Please let me in! Please let me play volleyball!\I'll get along with Kageyama, too!\Please! response:	Are you sure about this, Daichi?
context: Haikyuu!!\What does it mean to realize that we're teammates?\How do you do it?\Who knows?\Please let me in! Please let me play volleyball!\I'll get along with Kageyama, too!\Please!\Are you sure about this, Daichi? response:	They're still members.
context: What does it mean to realize that we're teammates?\How do you do it?\Who knows?\Please let me in! Please let me play volleyball!\I'll get along with Kageyama, too!\Please!\Are you sure about this, Daichi?\They're still members. response:	Teams come together gradually, anyway.
context: How do you do it?\Who knows?\Please let me in! Please let me play volleyball!\I'll get along with Kageyama, too!\Please!\Are you sure about this, Daichi?\They're still members.\Teams come together gradually, anyway. response:	I know that, but...
context: Who knows?\Please let me in! Please let me play volleyball!\I'll get along with Kageyama, too!\Please!\Are you sure about this, Daichi?\They're still members.\Teams come together gradually, anyway.\I know that, but... response:	Out of my way!
context: Please let me in! Please let me play volleyball!\I'll get along with Kageyama, too!\Please!\Are you sure about this, Daichi?\They're still members.\Teams come together gradually, anyway.\I know that, but...\Out of my way! response:	I apologize!
context: I'll get along with Kageyama, too!\Please!\Are you sure about this, Daichi?\They're still members.\Teams come together gradually, anyway.\I know that, but...\Out of my way!\I apologize! response:	I swear I'll get along with this guy.
context: Please!\Are you sure about this, Daichi?\They're still members.\Teams come together gradually, anyway.\I know that, but...\Out of my way!\I apologize!\I swear I'll get along with this guy. response:	Please let me participate in the club.
context: Are you sure about this, Daichi?\They're still members.\Teams come together gradually, anyway.\I know that, but...\Out of my way!\I apologize!\I swear I'll get along with this guy.\Please let me participate in the club. response:	Are you sure you mean that?
context: They're still members.\Teams come together gradually, anyway.\I know that, but...\Out of my way!\I apologize!\I swear I'll get along with this guy.\Please let me participate in the club.\Are you sure you mean that? response:	If I had to cooperate with that guy in a match,
context: Teams come together gradually, anyway.\I know that, but...\Out of my way!\I apologize!\I swear I'll get along with this guy.\Please let me participate in the club.\Are you sure you mean that?\If I had to cooperate with that guy in a match, response:	I'd rather receive, spike, and toss all by myself.
context: I know that, but...\Out of my way!\I apologize!\I swear I'll get along with this guy.\Please let me participate in the club.\Are you sure you mean that?\If I had to cooperate with that guy in a match,\I'd rather receive, spike, and toss all by myself. response:	How could you say that?
context: Out of my way!\I apologize!\I swear I'll get along with this guy.\Please let me participate in the club.\Are you sure you mean that?\If I had to cooperate with that guy in a match,\I'd rather receive, spike, and toss all by myself.\How could you say that? response:	I can't believe you just told me your true feelings.
context: I apologize!\I swear I'll get along with this guy.\Please let me participate in the club.\Are you sure you mean that?\If I had to cooperate with that guy in a match,\I'd rather receive, spike, and toss all by myself.\How could you say that?\I can't believe you just told me your true feelings. response:	But I think that's a good thing.
context: I swear I'll get along with this guy.\Please let me participate in the club.\Are you sure you mean that?\If I had to cooperate with that guy in a match,\I'd rather receive, spike, and toss all by myself.\How could you say that?\I can't believe you just told me your true feelings.\But I think that's a good thing. response:	Still, in volleyball, you can't drop the ball, you can't hold the ball,
context: Please let me participate in the club.\Are you sure you mean that?\If I had to cooperate with that guy in a match,\I'd rather receive, spike, and toss all by myself.\How could you say that?\I can't believe you just told me your true feelings.\But I think that's a good thing.\Still, in volleyball, you can't drop the ball, you can't hold the ball, response:	and one player can't touch the ball twice.
context: Are you sure you mean that?\If I had to cooperate with that guy in a match,\I'd rather receive, spike, and toss all by myself.\How could you say that?\I can't believe you just told me your true feelings.\But I think that's a good thing.\Still, in volleyball, you can't drop the ball, you can't hold the ball,\and one player can't touch the ball twice. response:	How do you plan to play by yourself?
context: If I had to cooperate with that guy in a match,\I'd rather receive, spike, and toss all by myself.\How could you say that?\I can't believe you just told me your true feelings.\But I think that's a good thing.\Still, in volleyball, you can't drop the ball, you can't hold the ball,\and one player can't touch the ball twice.\How do you plan to play by yourself? response:	Let me ask you something. Are you actually stupid?
context: I'd rather receive, spike, and toss all by myself.\How could you say that?\I can't believe you just told me your true feelings.\But I think that's a good thing.\Still, in volleyball, you can't drop the ball, you can't hold the ball,\and one player can't touch the ball twice.\How do you plan to play by yourself?\Let me ask you something. Are you actually stupid? response:	Right!
context: How could you say that?\I can't believe you just told me your true feelings.\But I think that's a good thing.\Still, in volleyball, you can't drop the ball, you can't hold the ball,\and one player can't touch the ball twice.\How do you plan to play by yourself?\Let me ask you something. Are you actually stupid?\Right! response:	Tanaka, block and follow properly.
context: I can't believe you just told me your true feelings.\But I think that's a good thing.\Still, in volleyball, you can't drop the ball, you can't hold the ball,\and one player can't touch the ball twice.\How do you plan to play by yourself?\Let me ask you something. Are you actually stupid?\Right!\Tanaka, block and follow properly. response:	Osu!
context: But I think that's a good thing.\Still, in volleyball, you can't drop the ball, you can't hold the ball,\and one player can't touch the ball twice.\How do you plan to play by yourself?\Let me ask you something. Are you actually stupid?\Right!\Tanaka, block and follow properly.\Osu! response:	The court and ball are in front of my eyes.
context: Still, in volleyball, you can't drop the ball, you can't hold the ball,\and one player can't touch the ball twice.\How do you plan to play by yourself?\Let me ask you something. Are you actually stupid?\Right!\Tanaka, block and follow properly.\Osu!\The court and ball are in front of my eyes. response:	And it sucks that I'm not allowed in...
context: and one player can't touch the ball twice.\How do you plan to play by yourself?\Let me ask you something. Are you actually stupid?\Right!\Tanaka, block and follow properly.\Osu!\The court and ball are in front of my eyes.\And it sucks that I'm not allowed in... response:	Dammit! I have no time to waste like this.
context: How do you plan to play by yourself?\Let me ask you something. Are you actually stupid?\Right!\Tanaka, block and follow properly.\Osu!\The court and ball are in front of my eyes.\And it sucks that I'm not allowed in...\Dammit! I have no time to waste like this. response:	I'm gonna make them let me in.
context: Let me ask you something. Are you actually stupid?\Right!\Tanaka, block and follow properly.\Osu!\The court and ball are in front of my eyes.\And it sucks that I'm not allowed in...\Dammit! I have no time to waste like this.\I'm gonna make them let me in. response:	You realize we're teammates now?
context: Right!\Tanaka, block and follow properly.\Osu!\The court and ball are in front of my eyes.\And it sucks that I'm not allowed in...\Dammit! I have no time to waste like this.\I'm gonna make them let me in.\You realize we're teammates now? response:	I'm a force to be reckoned with.
context: Tanaka, block and follow properly.\Osu!\The court and ball are in front of my eyes.\And it sucks that I'm not allowed in...\Dammit! I have no time to waste like this.\I'm gonna make them let me in.\You realize we're teammates now?\I'm a force to be reckoned with. response:	That's reason enough for me to be on the team.
context: Osu!\The court and ball are in front of my eyes.\And it sucks that I'm not allowed in...\Dammit! I have no time to waste like this.\I'm gonna make them let me in.\You realize we're teammates now?\I'm a force to be reckoned with.\That's reason enough for me to be on the team. response:	Just what I'd expect from the King
context: The court and ball are in front of my eyes.\And it sucks that I'm not allowed in...\Dammit! I have no time to waste like this.\I'm gonna make them let me in.\You realize we're teammates now?\I'm a force to be reckoned with.\That's reason enough for me to be on the team.\Just what I'd expect from the King response:	Anyway, what are you going to do?
context: And it sucks that I'm not allowed in...\Dammit! I have no time to waste like this.\I'm gonna make them let me in.\You realize we're teammates now?\I'm a force to be reckoned with.\That's reason enough for me to be on the team.\Just what I'd expect from the King\Anyway, what are you going to do? response:	I'll challenge them
context: Dammit! I have no time to waste like this.\I'm gonna make them let me in.\You realize we're teammates now?\I'm a force to be reckoned with.\That's reason enough for me to be on the team.\Just what I'd expect from the King\Anyway, what are you going to do?\I'll challenge them response:	to a two-on-two match.
context: I'm gonna make them let me in.\You realize we're teammates now?\I'm a force to be reckoned with.\That's reason enough for me to be on the team.\Just what I'd expect from the King\Anyway, what are you going to do?\I'll challenge them\to a two-on-two match. response:	If we win, they have to let us in.
context: You realize we're teammates now?\I'm a force to be reckoned with.\That's reason enough for me to be on the team.\Just what I'd expect from the King\Anyway, what are you going to do?\I'll challenge them\to a two-on-two match.\If we win, they have to let us in. response:	If we team up, we'll appear friendly no matter how we feel.
context: I'm a force to be reckoned with.\That's reason enough for me to be on the team.\Just what I'd expect from the King\Anyway, what are you going to do?\I'll challenge them\to a two-on-two match.\If we win, they have to let us in.\If we team up, we'll appear friendly no matter how we feel. response:	That will speed things up.
context: That's reason enough for me to be on the team.\Just what I'd expect from the King\Anyway, what are you going to do?\I'll challenge them\to a two-on-two match.\If we win, they have to let us in.\If we team up, we'll appear friendly no matter how we feel.\That will speed things up. response:	We're going to challenge our senpais?
context: Just what I'd expect from the King\Anyway, what are you going to do?\I'll challenge them\to a two-on-two match.\If we win, they have to let us in.\If we team up, we'll appear friendly no matter how we feel.\That will speed things up.\We're going to challenge our senpais? response:	What if we lose?
context: Anyway, what are you going to do?\I'll challenge them\to a two-on-two match.\If we win, they have to let us in.\If we team up, we'll appear friendly no matter how we feel.\That will speed things up.\We're going to challenge our senpais?\What if we lose? response:	We won't lose. You have me on your side.
context: I'll challenge them\to a two-on-two match.\If we win, they have to let us in.\If we team up, we'll appear friendly no matter how we feel.\That will speed things up.\We're going to challenge our senpais?\What if we lose?\We won't lose. You have me on your side. response:	Is this guy for real?
context: to a two-on-two match.\If we win, they have to let us in.\If we team up, we'll appear friendly no matter how we feel.\That will speed things up.\We're going to challenge our senpais?\What if we lose?\We won't lose. You have me on your side.\Is this guy for real? response:	Does he really mean what he says?
context: If we win, they have to let us in.\If we team up, we'll appear friendly no matter how we feel.\That will speed things up.\We're going to challenge our senpais?\What if we lose?\We won't lose. You have me on your side.\Is this guy for real?\Does he really mean what he says? response:	You just need to do the best you can...
context: If we team up, we'll appear friendly no matter how we feel.\That will speed things up.\We're going to challenge our senpais?\What if we lose?\We won't lose. You have me on your side.\Is this guy for real?\Does he really mean what he says?\You just need to do the best you can... response:	Huh?
context: That will speed things up.\We're going to challenge our senpais?\What if we lose?\We won't lose. You have me on your side.\Is this guy for real?\Does he really mean what he says?\You just need to do the best you can...\Huh? response:	Do you think anyone would agree to that and be all, Yes, I'll do the best I can?
context: We're going to challenge our senpais?\What if we lose?\We won't lose. You have me on your side.\Is this guy for real?\Does he really mean what he says?\You just need to do the best you can...\Huh?\Do you think anyone would agree to that and be all, Yes, I'll do the best I can? response:	So what do you suggest?
context: What if we lose?\We won't lose. You have me on your side.\Is this guy for real?\Does he really mean what he says?\You just need to do the best you can...\Huh?\Do you think anyone would agree to that and be all, Yes, I'll do the best I can?\So what do you suggest? response:	Keep gazing through that window?
context: We won't lose. You have me on your side.\Is this guy for real?\Does he really mean what he says?\You just need to do the best you can...\Huh?\Do you think anyone would agree to that and be all, Yes, I'll do the best I can?\So what do you suggest?\Keep gazing through that window? response:	In junior high, I was only in one real match, the one against your school.
context: Is this guy for real?\Does he really mean what he says?\You just need to do the best you can...\Huh?\Do you think anyone would agree to that and be all, Yes, I'll do the best I can?\So what do you suggest?\Keep gazing through that window?\In junior high, I was only in one real match, the one against your school. response:	We didn't have enough team members to apply for a tournament till then.
context: Does he really mean what he says?\You just need to do the best you can...\Huh?\Do you think anyone would agree to that and be all, Yes, I'll do the best I can?\So what do you suggest?\Keep gazing through that window?\In junior high, I was only in one real match, the one against your school.\We didn't have enough team members to apply for a tournament till then. response:	I couldn't have real practice, so I trained wherever I could.
context: You just need to do the best you can...\Huh?\Do you think anyone would agree to that and be all, Yes, I'll do the best I can?\So what do you suggest?\Keep gazing through that window?\In junior high, I was only in one real match, the one against your school.\We didn't have enough team members to apply for a tournament till then.\I couldn't have real practice, so I trained wherever I could. response:	The gym, hallways, random corners...
context: Huh?\Do you think anyone would agree to that and be all, Yes, I'll do the best I can?\So what do you suggest?\Keep gazing through that window?\In junior high, I was only in one real match, the one against your school.\We didn't have enough team members to apply for a tournament till then.\I couldn't have real practice, so I trained wherever I could.\The gym, hallways, random corners... response:	In hallways?
context: Do you think anyone would agree to that and be all, Yes, I'll do the best I can?\So what do you suggest?\Keep gazing through that window?\In junior high, I was only in one real match, the one against your school.\We didn't have enough team members to apply for a tournament till then.\I couldn't have real practice, so I trained wherever I could.\The gym, hallways, random corners...\In hallways? response:	So that first tournament...
context: So what do you suggest?\Keep gazing through that window?\In junior high, I was only in one real match, the one against your school.\We didn't have enough team members to apply for a tournament till then.\I couldn't have real practice, so I trained wherever I could.\The gym, hallways, random corners...\In hallways?\So that first tournament... response:	When I stood at the center of the court in that huge gymnasium...
context: Keep gazing through that window?\In junior high, I was only in one real match, the one against your school.\We didn't have enough team members to apply for a tournament till then.\I couldn't have real practice, so I trained wherever I could.\The gym, hallways, random corners...\In hallways?\So that first tournament...\When I stood at the center of the court in that huge gymnasium... response:	I felt the spotlight on me, I got worked up, like Gwaaa!
context: In junior high, I was only in one real match, the one against your school.\We didn't have enough team members to apply for a tournament till then.\I couldn't have real practice, so I trained wherever I could.\The gym, hallways, random corners...\In hallways?\So that first tournament...\When I stood at the center of the court in that huge gymnasium...\I felt the spotlight on me, I got worked up, like Gwaaa! response:	Gwaaa?
context: We didn't have enough team members to apply for a tournament till then.\I couldn't have real practice, so I trained wherever I could.\The gym, hallways, random corners...\In hallways?\So that first tournament...\When I stood at the center of the court in that huge gymnasium...\I felt the spotlight on me, I got worked up, like Gwaaa!\Gwaaa? response:	I wanted to stay there, but...
context: I couldn't have real practice, so I trained wherever I could.\The gym, hallways, random corners...\In hallways?\So that first tournament...\When I stood at the center of the court in that huge gymnasium...\I felt the spotlight on me, I got worked up, like Gwaaa!\Gwaaa?\I wanted to stay there, but... response:	Staying on the court...
context: The gym, hallways, random corners...\In hallways?\So that first tournament...\When I stood at the center of the court in that huge gymnasium...\I felt the spotlight on me, I got worked up, like Gwaaa!\Gwaaa?\I wanted to stay there, but...\Staying on the court... response:	Men's Volleyball prefecture tournament Kitagawa Daiichi, bitterly defeated
