context: Don't let her get that back! response:	What's going on?!
context: Ah, eh... I don't mind but...\Great! You really are my savior!\Uh... by the way, you were chased by somebody a little while ago...\W-What?!\I wish someone like you would be my Ashikabi-sama.\Ashikabi?\Yes. I've been looking for a long time.\Someone precious, one who I haven't met. response:	We were all born for our own Ashikabi-sama.
context: Great! You really are my savior!\Uh... by the way, you were chased by somebody a little while ago...\W-What?!\I wish someone like you would be my Ashikabi-sama.\Ashikabi?\Yes. I've been looking for a long time.\Someone precious, one who I haven't met.\We were all born for our own Ashikabi-sama. response:	To guide them to the higher sky.
context: Uh... by the way, you were chased by somebody a little while ago...\W-What?!\I wish someone like you would be my Ashikabi-sama.\Ashikabi?\Yes. I've been looking for a long time.\Someone precious, one who I haven't met.\We were all born for our own Ashikabi-sama.\To guide them to the higher sky. response:	Eh?!
context: W-What?!\I wish someone like you would be my Ashikabi-sama.\Ashikabi?\Yes. I've been looking for a long time.\Someone precious, one who I haven't met.\We were all born for our own Ashikabi-sama.\To guide them to the higher sky.\Eh?! response:	What was that?
context: I wish someone like you would be my Ashikabi-sama.\Ashikabi?\Yes. I've been looking for a long time.\Someone precious, one who I haven't met.\We were all born for our own Ashikabi-sama.\To guide them to the higher sky.\Eh?!\What was that? response:	Sahashi-san?
context: Ashikabi?\Yes. I've been looking for a long time.\Someone precious, one who I haven't met.\We were all born for our own Ashikabi-sama.\To guide them to the higher sky.\Eh?!\What was that?\Sahashi-san? response:	Ah, Landlord?!
context: Yes. I've been looking for a long time.\Someone precious, one who I haven't met.\We were all born for our own Ashikabi-sama.\To guide them to the higher sky.\Eh?!\What was that?\Sahashi-san?\Ah, Landlord?! response:	Is there anyone else in your room?
context: Someone precious, one who I haven't met.\We were all born for our own Ashikabi-sama.\To guide them to the higher sky.\Eh?!\What was that?\Sahashi-san?\Ah, Landlord?!\Is there anyone else in your room? response:	Ah, it's just my friend visiting me...
context: We were all born for our own Ashikabi-sama.\To guide them to the higher sky.\Eh?!\What was that?\Sahashi-san?\Ah, Landlord?!\Is there anyone else in your room?\Ah, it's just my friend visiting me... response:	Ah, huh.
context: To guide them to the higher sky.\Eh?!\What was that?\Sahashi-san?\Ah, Landlord?!\Is there anyone else in your room?\Ah, it's just my friend visiting me...\Ah, huh. response:	This apartment house is exclusively for singles.
context: Eh?!\What was that?\Sahashi-san?\Ah, Landlord?!\Is there anyone else in your room?\Ah, it's just my friend visiting me...\Ah, huh.\This apartment house is exclusively for singles. response:	If you bring a woman in...
context: What was that?\Sahashi-san?\Ah, Landlord?!\Is there anyone else in your room?\Ah, it's just my friend visiting me...\Ah, huh.\This apartment house is exclusively for singles.\If you bring a woman in... response:	You gotta get out immediately!
context: Sahashi-san?\Ah, Landlord?!\Is there anyone else in your room?\Ah, it's just my friend visiting me...\Ah, huh.\This apartment house is exclusively for singles.\If you bring a woman in...\You gotta get out immediately! response:	Y-Yes.
context: Ah, Landlord?!\Is there anyone else in your room?\Ah, it's just my friend visiting me...\Ah, huh.\This apartment house is exclusively for singles.\If you bring a woman in...\You gotta get out immediately!\Y-Yes. response:	Minato-san!
context: Is there anyone else in your room?\Ah, it's just my friend visiting me...\Ah, huh.\This apartment house is exclusively for singles.\If you bring a woman in...\You gotta get out immediately!\Y-Yes.\Minato-san! response:	Yes!
context: Ah, it's just my friend visiting me...\Ah, huh.\This apartment house is exclusively for singles.\If you bring a woman in...\You gotta get out immediately!\Y-Yes.\Minato-san!\Yes! response:	Ah, you finished changing.
context: Ah, huh.\This apartment house is exclusively for singles.\If you bring a woman in...\You gotta get out immediately!\Y-Yes.\Minato-san!\Yes!\Ah, you finished changing. response:	I'm... sorry.
context: This apartment house is exclusively for singles.\If you bring a woman in...\You gotta get out immediately!\Y-Yes.\Minato-san!\Yes!\Ah, you finished changing.\I'm... sorry. response:	Was I... lacking modesty?
context: If you bring a woman in...\You gotta get out immediately!\Y-Yes.\Minato-san!\Yes!\Ah, you finished changing.\I'm... sorry.\Was I... lacking modesty? response:	Oh, your boobs... No! I don't...
context: You gotta get out immediately!\Y-Yes.\Minato-san!\Yes!\Ah, you finished changing.\I'm... sorry.\Was I... lacking modesty?\Oh, your boobs... No! I don't... response:	Rather, I was happy... Oh, no! I mean!
context: Y-Yes.\Minato-san!\Yes!\Ah, you finished changing.\I'm... sorry.\Was I... lacking modesty?\Oh, your boobs... No! I don't...\Rather, I was happy... Oh, no! I mean! response:	Good...
context: Minato-san!\Yes!\Ah, you finished changing.\I'm... sorry.\Was I... lacking modesty?\Oh, your boobs... No! I don't...\Rather, I was happy... Oh, no! I mean!\Good... response:	Well, you better not do that anywhere else.
context: Yes!\Ah, you finished changing.\I'm... sorry.\Was I... lacking modesty?\Oh, your boobs... No! I don't...\Rather, I was happy... Oh, no! I mean!\Good...\Well, you better not do that anywhere else. response:	Minato-san!
context: Ah, you finished changing.\I'm... sorry.\Was I... lacking modesty?\Oh, your boobs... No! I don't...\Rather, I was happy... Oh, no! I mean!\Good...\Well, you better not do that anywhere else.\Minato-san! response:	Ah, I mean... I'm not saying it's okay if you do that in front of me...
context: I'm... sorry.\Was I... lacking modesty?\Oh, your boobs... No! I don't...\Rather, I was happy... Oh, no! I mean!\Good...\Well, you better not do that anywhere else.\Minato-san!\Ah, I mean... I'm not saying it's okay if you do that in front of me... response:	I'm hungry.
context: Was I... lacking modesty?\Oh, your boobs... No! I don't...\Rather, I was happy... Oh, no! I mean!\Good...\Well, you better not do that anywhere else.\Minato-san!\Ah, I mean... I'm not saying it's okay if you do that in front of me...\I'm hungry. response:	Ah, yes, I got it.
context: Oh, your boobs... No! I don't...\Rather, I was happy... Oh, no! I mean!\Good...\Well, you better not do that anywhere else.\Minato-san!\Ah, I mean... I'm not saying it's okay if you do that in front of me...\I'm hungry.\Ah, yes, I got it. response:	Skyland Ah, yes, I got it.
context: Rather, I was happy... Oh, no! I mean!\Good...\Well, you better not do that anywhere else.\Minato-san!\Ah, I mean... I'm not saying it's okay if you do that in front of me...\I'm hungry.\Ah, yes, I got it.\Skyland Ah, yes, I got it. response:	Skyland
context: Good...\Well, you better not do that anywhere else.\Minato-san!\Ah, I mean... I'm not saying it's okay if you do that in front of me...\I'm hungry.\Ah, yes, I got it.\Skyland Ah, yes, I got it.\Skyland response:	That was so delicious!
context: Well, you better not do that anywhere else.\Minato-san!\Ah, I mean... I'm not saying it's okay if you do that in front of me...\I'm hungry.\Ah, yes, I got it.\Skyland Ah, yes, I got it.\Skyland\That was so delicious! response:	I'm glad you're satisfied.
context: Minato-san!\Ah, I mean... I'm not saying it's okay if you do that in front of me...\I'm hungry.\Ah, yes, I got it.\Skyland Ah, yes, I got it.\Skyland\That was so delicious!\I'm glad you're satisfied. response:	Ah... she completely finished dishes for ten.
context: Ah, I mean... I'm not saying it's okay if you do that in front of me...\I'm hungry.\Ah, yes, I got it.\Skyland Ah, yes, I got it.\Skyland\That was so delicious!\I'm glad you're satisfied.\Ah... she completely finished dishes for ten. response:	Minato-san!
context: I'm hungry.\Ah, yes, I got it.\Skyland Ah, yes, I got it.\Skyland\That was so delicious!\I'm glad you're satisfied.\Ah... she completely finished dishes for ten.\Minato-san! response:	Please let me cook dinner.
context: Ah, yes, I got it.\Skyland Ah, yes, I got it.\Skyland\That was so delicious!\I'm glad you're satisfied.\Ah... she completely finished dishes for ten.\Minato-san!\Please let me cook dinner. response:	Eh?! Really?
context: Skyland Ah, yes, I got it.\Skyland\That was so delicious!\I'm glad you're satisfied.\Ah... she completely finished dishes for ten.\Minato-san!\Please let me cook dinner.\Eh?! Really? response:	Yes! Please look forward to it!
context: Skyland\That was so delicious!\I'm glad you're satisfied.\Ah... she completely finished dishes for ten.\Minato-san!\Please let me cook dinner.\Eh?! Really?\Yes! Please look forward to it! response:	Ah, then I'll just stop by the bank, so go ahead to the grocery store.
context: That was so delicious!\I'm glad you're satisfied.\Ah... she completely finished dishes for ten.\Minato-san!\Please let me cook dinner.\Eh?! Really?\Yes! Please look forward to it!\Ah, then I'll just stop by the bank, so go ahead to the grocery store. response:	Do you know the way?
context: I'm glad you're satisfied.\Ah... she completely finished dishes for ten.\Minato-san!\Please let me cook dinner.\Eh?! Really?\Yes! Please look forward to it!\Ah, then I'll just stop by the bank, so go ahead to the grocery store.\Do you know the way? response:	Yes, I do.
context: Ah... she completely finished dishes for ten.\Minato-san!\Please let me cook dinner.\Eh?! Really?\Yes! Please look forward to it!\Ah, then I'll just stop by the bank, so go ahead to the grocery store.\Do you know the way?\Yes, I do. response:	I want you to get out...
context: Minato-san!\Please let me cook dinner.\Eh?! Really?\Yes! Please look forward to it!\Ah, then I'll just stop by the bank, so go ahead to the grocery store.\Do you know the way?\Yes, I do.\I want you to get out... response:	How can I say that?
context: Please let me cook dinner.\Eh?! Really?\Yes! Please look forward to it!\Ah, then I'll just stop by the bank, so go ahead to the grocery store.\Do you know the way?\Yes, I do.\I want you to get out...\How can I say that? response:	Here it is.
context: Eh?! Really?\Yes! Please look forward to it!\Ah, then I'll just stop by the bank, so go ahead to the grocery store.\Do you know the way?\Yes, I do.\I want you to get out...\How can I say that?\Here it is. response:	Donnamondas family restaurant has now reopened. Please visit.
context: Yes! Please look forward to it!\Ah, then I'll just stop by the bank, so go ahead to the grocery store.\Do you know the way?\Yes, I do.\I want you to get out...\How can I say that?\Here it is.\Donnamondas family restaurant has now reopened. Please visit. response:	Please visit.
context: Ah, then I'll just stop by the bank, so go ahead to the grocery store.\Do you know the way?\Yes, I do.\I want you to get out...\How can I say that?\Here it is.\Donnamondas family restaurant has now reopened. Please visit.\Please visit. response:	Ah!
context: Do you know the way?\Yes, I do.\I want you to get out...\How can I say that?\Here it is.\Donnamondas family restaurant has now reopened. Please visit.\Please visit.\Ah! response:	Hey! You're the guy with that cocky Sekirei!
context: Yes, I do.\I want you to get out...\How can I say that?\Here it is.\Donnamondas family restaurant has now reopened. Please visit.\Please visit.\Ah!\Hey! You're the guy with that cocky Sekirei! response:	You're yesterday's SM costume ladies!
context: I want you to get out...\How can I say that?\Here it is.\Donnamondas family restaurant has now reopened. Please visit.\Please visit.\Ah!\Hey! You're the guy with that cocky Sekirei!\You're yesterday's SM costume ladies! response:	Where is that Sekirei?
context: How can I say that?\Here it is.\Donnamondas family restaurant has now reopened. Please visit.\Please visit.\Ah!\Hey! You're the guy with that cocky Sekirei!\You're yesterday's SM costume ladies!\Where is that Sekirei? response:	S-Sekirei?
context: Here it is.\Donnamondas family restaurant has now reopened. Please visit.\Please visit.\Ah!\Hey! You're the guy with that cocky Sekirei!\You're yesterday's SM costume ladies!\Where is that Sekirei?\S-Sekirei? response:	Minato-san!
context: Donnamondas family restaurant has now reopened. Please visit.\Please visit.\Ah!\Hey! You're the guy with that cocky Sekirei!\You're yesterday's SM costume ladies!\Where is that Sekirei?\S-Sekirei?\Minato-san! response:	I forgot to ask what you want to eat!
context: Please visit.\Ah!\Hey! You're the guy with that cocky Sekirei!\You're yesterday's SM costume ladies!\Where is that Sekirei?\S-Sekirei?\Minato-san!\I forgot to ask what you want to eat! response:	No! Run away, Musubi-chan!
context: Ah!\Hey! You're the guy with that cocky Sekirei!\You're yesterday's SM costume ladies!\Where is that Sekirei?\S-Sekirei?\Minato-san!\I forgot to ask what you want to eat!\No! Run away, Musubi-chan! response:	Eh?
context: Hey! You're the guy with that cocky Sekirei!\You're yesterday's SM costume ladies!\Where is that Sekirei?\S-Sekirei?\Minato-san!\I forgot to ask what you want to eat!\No! Run away, Musubi-chan!\Eh? response:	Too bad for you, meeting us two days in a row.
context: You're yesterday's SM costume ladies!\Where is that Sekirei?\S-Sekirei?\Minato-san!\I forgot to ask what you want to eat!\No! Run away, Musubi-chan!\Eh?\Too bad for you, meeting us two days in a row. response:	The capital city's small, huh?
context: Where is that Sekirei?\S-Sekirei?\Minato-san!\I forgot to ask what you want to eat!\No! Run away, Musubi-chan!\Eh?\Too bad for you, meeting us two days in a row.\The capital city's small, huh? response:	You two!
context: S-Sekirei?\Minato-san!\I forgot to ask what you want to eat!\No! Run away, Musubi-chan!\Eh?\Too bad for you, meeting us two days in a row.\The capital city's small, huh?\You two! response:	You are too slow!
context: Minato-san!\I forgot to ask what you want to eat!\No! Run away, Musubi-chan!\Eh?\Too bad for you, meeting us two days in a row.\The capital city's small, huh?\You two!\You are too slow! response:	Musubi-chan!
context: I forgot to ask what you want to eat!\No! Run away, Musubi-chan!\Eh?\Too bad for you, meeting us two days in a row.\The capital city's small, huh?\You two!\You are too slow!\Musubi-chan! response:	'Cause you're with a man, I thought you'd emerged already.
context: No! Run away, Musubi-chan!\Eh?\Too bad for you, meeting us two days in a row.\The capital city's small, huh?\You two!\You are too slow!\Musubi-chan!\'Cause you're with a man, I thought you'd emerged already. response:	But it seems you haven't.
context: Eh?\Too bad for you, meeting us two days in a row.\The capital city's small, huh?\You two!\You are too slow!\Musubi-chan!\'Cause you're with a man, I thought you'd emerged already.\But it seems you haven't. response:	Lucky.
context: Too bad for you, meeting us two days in a row.\The capital city's small, huh?\You two!\You are too slow!\Musubi-chan!\'Cause you're with a man, I thought you'd emerged already.\But it seems you haven't.\Lucky. response:	Musubi-chan!
context: The capital city's small, huh?\You two!\You are too slow!\Musubi-chan!\'Cause you're with a man, I thought you'd emerged already.\But it seems you haven't.\Lucky.\Musubi-chan! response:	Minato-san?
context: You two!\You are too slow!\Musubi-chan!\'Cause you're with a man, I thought you'd emerged already.\But it seems you haven't.\Lucky.\Musubi-chan!\Minato-san? response:	If you do anything to her,
context: You are too slow!\Musubi-chan!\'Cause you're with a man, I thought you'd emerged already.\But it seems you haven't.\Lucky.\Musubi-chan!\Minato-san?\If you do anything to her, response:	I will...
context: Musubi-chan!\'Cause you're with a man, I thought you'd emerged already.\But it seems you haven't.\Lucky.\Musubi-chan!\Minato-san?\If you do anything to her,\I will... response:	Eh?!
context: 'Cause you're with a man, I thought you'd emerged already.\But it seems you haven't.\Lucky.\Musubi-chan!\Minato-san?\If you do anything to her,\I will...\Eh?! response:	Why do you protect her?
context: But it seems you haven't.\Lucky.\Musubi-chan!\Minato-san?\If you do anything to her,\I will...\Eh?!\Why do you protect her? response:	You aren't her Ashikabi, are you?
context: Lucky.\Musubi-chan!\Minato-san?\If you do anything to her,\I will...\Eh?!\Why do you protect her?\You aren't her Ashikabi, are you? response:	Musubi-chan, run!
context: Musubi-chan!\Minato-san?\If you do anything to her,\I will...\Eh?!\Why do you protect her?\You aren't her Ashikabi, are you?\Musubi-chan, run! response:	So, do you wanna die with her?
context: Minato-san?\If you do anything to her,\I will...\Eh?!\Why do you protect her?\You aren't her Ashikabi, are you?\Musubi-chan, run!\So, do you wanna die with her? response:	- M-M-Musubi-chan, run now! - I... my body... why do I feel like this?
context: If you do anything to her,\I will...\Eh?!\Why do you protect her?\You aren't her Ashikabi, are you?\Musubi-chan, run!\So, do you wanna die with her?\- M-M-Musubi-chan, run now! - I... my body... why do I feel like this? response:	Hey!
context: I will...\Eh?!\Why do you protect her?\You aren't her Ashikabi, are you?\Musubi-chan, run!\So, do you wanna die with her?\- M-M-Musubi-chan, run now! - I... my body... why do I feel like this?\Hey! response:	Wait!
context: Eh?!\Why do you protect her?\You aren't her Ashikabi, are you?\Musubi-chan, run!\So, do you wanna die with her?\- M-M-Musubi-chan, run now! - I... my body... why do I feel like this?\Hey!\Wait! response:	Shit! He's running around!
context: Why do you protect her?\You aren't her Ashikabi, are you?\Musubi-chan, run!\So, do you wanna die with her?\- M-M-Musubi-chan, run now! - I... my body... why do I feel like this?\Hey!\Wait!\Shit! He's running around! response:	Hibiki, let's attack them on both flanks!
context: You aren't her Ashikabi, are you?\Musubi-chan, run!\So, do you wanna die with her?\- M-M-Musubi-chan, run now! - I... my body... why do I feel like this?\Hey!\Wait!\Shit! He's running around!\Hibiki, let's attack them on both flanks! response:	That was rough.
context: Musubi-chan, run!\So, do you wanna die with her?\- M-M-Musubi-chan, run now! - I... my body... why do I feel like this?\Hey!\Wait!\Shit! He's running around!\Hibiki, let's attack them on both flanks!\That was rough. response:	What happened to you?
context: So, do you wanna die with her?\- M-M-Musubi-chan, run now! - I... my body... why do I feel like this?\Hey!\Wait!\Shit! He's running around!\Hibiki, let's attack them on both flanks!\That was rough.\What happened to you? response:	Your face is all red.
context: - M-M-Musubi-chan, run now! - I... my body... why do I feel like this?\Hey!\Wait!\Shit! He's running around!\Hibiki, let's attack them on both flanks!\That was rough.\What happened to you?\Your face is all red. response:	Ah, Musubi-chan?!
context: Hey!\Wait!\Shit! He's running around!\Hibiki, let's attack them on both flanks!\That was rough.\What happened to you?\Your face is all red.\Ah, Musubi-chan?! response:	What should I do?
context: Wait!\Shit! He's running around!\Hibiki, let's attack them on both flanks!\That was rough.\What happened to you?\Your face is all red.\Ah, Musubi-chan?!\What should I do? response:	What should I do, Minato-san?
context: Shit! He's running around!\Hibiki, let's attack them on both flanks!\That was rough.\What happened to you?\Your face is all red.\Ah, Musubi-chan?!\What should I do?\What should I do, Minato-san? response:	My body is... getting hot!
context: Hibiki, let's attack them on both flanks!\That was rough.\What happened to you?\Your face is all red.\Ah, Musubi-chan?!\What should I do?\What should I do, Minato-san?\My body is... getting hot! response:	Wha... Musubi-chan, hey!
context: That was rough.\What happened to you?\Your face is all red.\Ah, Musubi-chan?!\What should I do?\What should I do, Minato-san?\My body is... getting hot!\Wha... Musubi-chan, hey! response:	I-I'm sorry!
context: What happened to you?\Your face is all red.\Ah, Musubi-chan?!\What should I do?\What should I do, Minato-san?\My body is... getting hot!\Wha... Musubi-chan, hey!\I-I'm sorry! response:	Minato-san, I...
context: Your face is all red.\Ah, Musubi-chan?!\What should I do?\What should I do, Minato-san?\My body is... getting hot!\Wha... Musubi-chan, hey!\I-I'm sorry!\Minato-san, I... response:	This is bad... really...
context: Ah, Musubi-chan?!\What should I do?\What should I do, Minato-san?\My body is... getting hot!\Wha... Musubi-chan, hey!\I-I'm sorry!\Minato-san, I...\This is bad... really... response:	Do you think you can escape from us?
context: What should I do?\What should I do, Minato-san?\My body is... getting hot!\Wha... Musubi-chan, hey!\I-I'm sorry!\Minato-san, I...\This is bad... really...\Do you think you can escape from us? response:	You're trapped like rats in a bag. Now give up!
context: What should I do, Minato-san?\My body is... getting hot!\Wha... Musubi-chan, hey!\I-I'm sorry!\Minato-san, I...\This is bad... really...\Do you think you can escape from us?\You're trapped like rats in a bag. Now give up! response:	Ah, Musubi-chan?
context: My body is... getting hot!\Wha... Musubi-chan, hey!\I-I'm sorry!\Minato-san, I...\This is bad... really...\Do you think you can escape from us?\You're trapped like rats in a bag. Now give up!\Ah, Musubi-chan? response:	Hikari, look!
context: Wha... Musubi-chan, hey!\I-I'm sorry!\Minato-san, I...\This is bad... really...\Do you think you can escape from us?\You're trapped like rats in a bag. Now give up!\Ah, Musubi-chan?\Hikari, look! response:	That's bad!
context: I-I'm sorry!\Minato-san, I...\This is bad... really...\Do you think you can escape from us?\You're trapped like rats in a bag. Now give up!\Ah, Musubi-chan?\Hikari, look!\That's bad! response:	- She's done it! - Oh, no!
context: Minato-san, I...\This is bad... really...\Do you think you can escape from us?\You're trapped like rats in a bag. Now give up!\Ah, Musubi-chan?\Hikari, look!\That's bad!\- She's done it! - Oh, no! response:	Who would have thought she'd make contact in a place like this?
context: This is bad... really...\Do you think you can escape from us?\You're trapped like rats in a bag. Now give up!\Ah, Musubi-chan?\Hikari, look!\That's bad!\- She's done it! - Oh, no!\Who would have thought she'd make contact in a place like this? response:	We let our guard down.
context: Do you think you can escape from us?\You're trapped like rats in a bag. Now give up!\Ah, Musubi-chan?\Hikari, look!\That's bad!\- She's done it! - Oh, no!\Who would have thought she'd make contact in a place like this?\We let our guard down. response:	But... it's so annoying.
context: You're trapped like rats in a bag. Now give up!\Ah, Musubi-chan?\Hikari, look!\That's bad!\- She's done it! - Oh, no!\Who would have thought she'd make contact in a place like this?\We let our guard down.\But... it's so annoying. response:	Now that she's emerged, there's nothing we can do about it.
context: Ah, Musubi-chan?\Hikari, look!\That's bad!\- She's done it! - Oh, no!\Who would have thought she'd make contact in a place like this?\We let our guard down.\But... it's so annoying.\Now that she's emerged, there's nothing we can do about it. response:	Anyway, would you die so we feel better?
context: Hikari, look!\That's bad!\- She's done it! - Oh, no!\Who would have thought she'd make contact in a place like this?\We let our guard down.\But... it's so annoying.\Now that she's emerged, there's nothing we can do about it.\Anyway, would you die so we feel better? response:	Let Minato-san go!
context: That's bad!\- She's done it! - Oh, no!\Who would have thought she'd make contact in a place like this?\We let our guard down.\But... it's so annoying.\Now that she's emerged, there's nothing we can do about it.\Anyway, would you die so we feel better?\Let Minato-san go! response:	You got tough all of a sudden.
context: - She's done it! - Oh, no!\Who would have thought she'd make contact in a place like this?\We let our guard down.\But... it's so annoying.\Now that she's emerged, there's nothing we can do about it.\Anyway, would you die so we feel better?\Let Minato-san go!\You got tough all of a sudden. response:	If you don't let him go...
context: Who would have thought she'd make contact in a place like this?\We let our guard down.\But... it's so annoying.\Now that she's emerged, there's nothing we can do about it.\Anyway, would you die so we feel better?\Let Minato-san go!\You got tough all of a sudden.\If you don't let him go... response:	Tell me, what will you do if I don't?
context: We let our guard down.\But... it's so annoying.\Now that she's emerged, there's nothing we can do about it.\Anyway, would you die so we feel better?\Let Minato-san go!\You got tough all of a sudden.\If you don't let him go...\Tell me, what will you do if I don't? response:	Hikari, above you!
context: But... it's so annoying.\Now that she's emerged, there's nothing we can do about it.\Anyway, would you die so we feel better?\Let Minato-san go!\You got tough all of a sudden.\If you don't let him go...\Tell me, what will you do if I don't?\Hikari, above you! response:	Not bad.
context: Now that she's emerged, there's nothing we can do about it.\Anyway, would you die so we feel better?\Let Minato-san go!\You got tough all of a sudden.\If you don't let him go...\Tell me, what will you do if I don't?\Hikari, above you!\Not bad. response:	I underestimated you since you've just made contact.
context: Anyway, would you die so we feel better?\Let Minato-san go!\You got tough all of a sudden.\If you don't let him go...\Tell me, what will you do if I don't?\Hikari, above you!\Not bad.\I underestimated you since you've just made contact. response:	We don't fight against ones who've emerged, on principle.
context: Let Minato-san go!\You got tough all of a sudden.\If you don't let him go...\Tell me, what will you do if I don't?\Hikari, above you!\Not bad.\I underestimated you since you've just made contact.\We don't fight against ones who've emerged, on principle. response:	Well, do your best to ascend to the higher sky.
context: You got tough all of a sudden.\If you don't let him go...\Tell me, what will you do if I don't?\Hikari, above you!\Not bad.\I underestimated you since you've just made contact.\We don't fight against ones who've emerged, on principle.\Well, do your best to ascend to the higher sky. response:	We've lost our jobs.
context: If you don't let him go...\Tell me, what will you do if I don't?\Hikari, above you!\Not bad.\I underestimated you since you've just made contact.\We don't fight against ones who've emerged, on principle.\Well, do your best to ascend to the higher sky.\We've lost our jobs. response:	So annoying! Now we have to find another girl!
context: Tell me, what will you do if I don't?\Hikari, above you!\Not bad.\I underestimated you since you've just made contact.\We don't fight against ones who've emerged, on principle.\Well, do your best to ascend to the higher sky.\We've lost our jobs.\So annoying! Now we have to find another girl! response:	What's the point of fighting without a master?
context: Hikari, above you!\Not bad.\I underestimated you since you've just made contact.\We don't fight against ones who've emerged, on principle.\Well, do your best to ascend to the higher sky.\We've lost our jobs.\So annoying! Now we have to find another girl!\What's the point of fighting without a master? response:	Homura!
context: Not bad.\I underestimated you since you've just made contact.\We don't fight against ones who've emerged, on principle.\Well, do your best to ascend to the higher sky.\We've lost our jobs.\So annoying! Now we have to find another girl!\What's the point of fighting without a master?\Homura! response:	Obnoxious guy! Were you keeping watch on us?
context: I underestimated you since you've just made contact.\We don't fight against ones who've emerged, on principle.\Well, do your best to ascend to the higher sky.\We've lost our jobs.\So annoying! Now we have to find another girl!\What's the point of fighting without a master?\Homura!\Obnoxious guy! Were you keeping watch on us? response:	You only go after the ones who haven't emerged yet.
context: We don't fight against ones who've emerged, on principle.\Well, do your best to ascend to the higher sky.\We've lost our jobs.\So annoying! Now we have to find another girl!\What's the point of fighting without a master?\Homura!\Obnoxious guy! Were you keeping watch on us?\You only go after the ones who haven't emerged yet. response:	Do you really think you can win this game like that?
context: Well, do your best to ascend to the higher sky.\We've lost our jobs.\So annoying! Now we have to find another girl!\What's the point of fighting without a master?\Homura!\Obnoxious guy! Were you keeping watch on us?\You only go after the ones who haven't emerged yet.\Do you really think you can win this game like that? response:	Oh, shut up! You're just acting like a guardian!
context: We've lost our jobs.\So annoying! Now we have to find another girl!\What's the point of fighting without a master?\Homura!\Obnoxious guy! Were you keeping watch on us?\You only go after the ones who haven't emerged yet.\Do you really think you can win this game like that?\Oh, shut up! You're just acting like a guardian! response:	Wanna fight?
context: So annoying! Now we have to find another girl!\What's the point of fighting without a master?\Homura!\Obnoxious guy! Were you keeping watch on us?\You only go after the ones who haven't emerged yet.\Do you really think you can win this game like that?\Oh, shut up! You're just acting like a guardian!\Wanna fight? response:	If you wish.
context: What's the point of fighting without a master?\Homura!\Obnoxious guy! Were you keeping watch on us?\You only go after the ones who haven't emerged yet.\Do you really think you can win this game like that?\Oh, shut up! You're just acting like a guardian!\Wanna fight?\If you wish. response:	Oh, crap! We'll get charred again.
context: Homura!\Obnoxious guy! Were you keeping watch on us?\You only go after the ones who haven't emerged yet.\Do you really think you can win this game like that?\Oh, shut up! You're just acting like a guardian!\Wanna fight?\If you wish.\Oh, crap! We'll get charred again. response:	But that girl seems to have met her master.
context: Obnoxious guy! Were you keeping watch on us?\You only go after the ones who haven't emerged yet.\Do you really think you can win this game like that?\Oh, shut up! You're just acting like a guardian!\Wanna fight?\If you wish.\Oh, crap! We'll get charred again.\But that girl seems to have met her master. response:	A fight between emerged Sekireis is...
context: You only go after the ones who haven't emerged yet.\Do you really think you can win this game like that?\Oh, shut up! You're just acting like a guardian!\Wanna fight?\If you wish.\Oh, crap! We'll get charred again.\But that girl seems to have met her master.\A fight between emerged Sekireis is... response:	Not my business.
context: Do you really think you can win this game like that?\Oh, shut up! You're just acting like a guardian!\Wanna fight?\If you wish.\Oh, crap! We'll get charred again.\But that girl seems to have met her master.\A fight between emerged Sekireis is...\Not my business. response:	I don't get that guy.
context: Oh, shut up! You're just acting like a guardian!\Wanna fight?\If you wish.\Oh, crap! We'll get charred again.\But that girl seems to have met her master.\A fight between emerged Sekireis is...\Not my business.\I don't get that guy. response:	Well, there must've been others watching us.
context: Wanna fight?\If you wish.\Oh, crap! We'll get charred again.\But that girl seems to have met her master.\A fight between emerged Sekireis is...\Not my business.\I don't get that guy.\Well, there must've been others watching us. response:	What we are doing is a battle royale staged in this city.
context: If you wish.\Oh, crap! We'll get charred again.\But that girl seems to have met her master.\A fight between emerged Sekireis is...\Not my business.\I don't get that guy.\Well, there must've been others watching us.\What we are doing is a battle royale staged in this city. response:	A noticeable rookie is easy prey.
context: Oh, crap! We'll get charred again.\But that girl seems to have met her master.\A fight between emerged Sekireis is...\Not my business.\I don't get that guy.\Well, there must've been others watching us.\What we are doing is a battle royale staged in this city.\A noticeable rookie is easy prey. response:	Are you alright, Minato-san?
context: But that girl seems to have met her master.\A fight between emerged Sekireis is...\Not my business.\I don't get that guy.\Well, there must've been others watching us.\What we are doing is a battle royale staged in this city.\A noticeable rookie is easy prey.\Are you alright, Minato-san? response:	Forget that... your chest! Your chest!
context: A fight between emerged Sekireis is...\Not my business.\I don't get that guy.\Well, there must've been others watching us.\What we are doing is a battle royale staged in this city.\A noticeable rookie is easy prey.\Are you alright, Minato-san?\Forget that... your chest! Your chest! response:	What on earth are you guys?
context: Not my business.\I don't get that guy.\Well, there must've been others watching us.\What we are doing is a battle royale staged in this city.\A noticeable rookie is easy prey.\Are you alright, Minato-san?\Forget that... your chest! Your chest!\What on earth are you guys? response:	We are...
