context: What's happened so far! response:	Our sister, Miyazawa Yukino...
context: We're off to the student council meeting.\Geez, Arima.\I'm blushing and stammering so much...\Why can't you figure it out? Get a clue.\Arima hasn't tried to show any hint of love at all since then.\I bet he's thinking that he would annoy me if he's too persistent.\He's such a damn gentleman.\He has an excellent poker face to begin with. response:	I couldn't tell what he was thinking the first time either.
context: Geez, Arima.\I'm blushing and stammering so much...\Why can't you figure it out? Get a clue.\Arima hasn't tried to show any hint of love at all since then.\I bet he's thinking that he would annoy me if he's too persistent.\He's such a damn gentleman.\He has an excellent poker face to begin with.\I couldn't tell what he was thinking the first time either. response:	If he'd just show a little more on his face I'd have an easier time saying it.
context: I'm blushing and stammering so much...\Why can't you figure it out? Get a clue.\Arima hasn't tried to show any hint of love at all since then.\I bet he's thinking that he would annoy me if he's too persistent.\He's such a damn gentleman.\He has an excellent poker face to begin with.\I couldn't tell what he was thinking the first time either.\If he'd just show a little more on his face I'd have an easier time saying it. response:	Show it on his face?!
context: Why can't you figure it out? Get a clue.\Arima hasn't tried to show any hint of love at all since then.\I bet he's thinking that he would annoy me if he's too persistent.\He's such a damn gentleman.\He has an excellent poker face to begin with.\I couldn't tell what he was thinking the first time either.\If he'd just show a little more on his face I'd have an easier time saying it.\Show it on his face?! response:	That's it!
context: Arima hasn't tried to show any hint of love at all since then.\I bet he's thinking that he would annoy me if he's too persistent.\He's such a damn gentleman.\He has an excellent poker face to begin with.\I couldn't tell what he was thinking the first time either.\If he'd just show a little more on his face I'd have an easier time saying it.\Show it on his face?!\That's it! response:	The timing's so hard because I try to say it out of the blue.
context: I bet he's thinking that he would annoy me if he's too persistent.\He's such a damn gentleman.\He has an excellent poker face to begin with.\I couldn't tell what he was thinking the first time either.\If he'd just show a little more on his face I'd have an easier time saying it.\Show it on his face?!\That's it!\The timing's so hard because I try to say it out of the blue. response:	I have to arrange for him to be receptive.
context: He's such a damn gentleman.\He has an excellent poker face to begin with.\I couldn't tell what he was thinking the first time either.\If he'd just show a little more on his face I'd have an easier time saying it.\Show it on his face?!\That's it!\The timing's so hard because I try to say it out of the blue.\I have to arrange for him to be receptive. response:	The more Arima's flustered,
context: He has an excellent poker face to begin with.\I couldn't tell what he was thinking the first time either.\If he'd just show a little more on his face I'd have an easier time saying it.\Show it on his face?!\That's it!\The timing's so hard because I try to say it out of the blue.\I have to arrange for him to be receptive.\The more Arima's flustered, response:	the easier it'll be for me to tell him!
context: I couldn't tell what he was thinking the first time either.\If he'd just show a little more on his face I'd have an easier time saying it.\Show it on his face?!\That's it!\The timing's so hard because I try to say it out of the blue.\I have to arrange for him to be receptive.\The more Arima's flustered,\the easier it'll be for me to tell him! response:	I'll break that poker face!
context: If he'd just show a little more on his face I'd have an easier time saying it.\Show it on his face?!\That's it!\The timing's so hard because I try to say it out of the blue.\I have to arrange for him to be receptive.\The more Arima's flustered,\the easier it'll be for me to tell him!\I'll break that poker face! response:	He's alone.
context: Show it on his face?!\That's it!\The timing's so hard because I try to say it out of the blue.\I have to arrange for him to be receptive.\The more Arima's flustered,\the easier it'll be for me to tell him!\I'll break that poker face!\He's alone. response:	This is the return match sent from heaven!
context: That's it!\The timing's so hard because I try to say it out of the blue.\I have to arrange for him to be receptive.\The more Arima's flustered,\the easier it'll be for me to tell him!\I'll break that poker face!\He's alone.\This is the return match sent from heaven! response:	New chance!
context: The timing's so hard because I try to say it out of the blue.\I have to arrange for him to be receptive.\The more Arima's flustered,\the easier it'll be for me to tell him!\I'll break that poker face!\He's alone.\This is the return match sent from heaven!\New chance! response:	Arima.
context: I have to arrange for him to be receptive.\The more Arima's flustered,\the easier it'll be for me to tell him!\I'll break that poker face!\He's alone.\This is the return match sent from heaven!\New chance!\Arima. response:	What're you doing?
context: The more Arima's flustered,\the easier it'll be for me to tell him!\I'll break that poker face!\He's alone.\This is the return match sent from heaven!\New chance!\Arima.\What're you doing? response:	Nothing!
context: the easier it'll be for me to tell him!\I'll break that poker face!\He's alone.\This is the return match sent from heaven!\New chance!\Arima.\What're you doing?\Nothing! response:	I'm home...
context: I'll break that poker face!\He's alone.\This is the return match sent from heaven!\New chance!\Arima.\What're you doing?\Nothing!\I'm home... response:	Sis, listen to this!
context: He's alone.\This is the return match sent from heaven!\New chance!\Arima.\What're you doing?\Nothing!\I'm home...\Sis, listen to this! response:	I can't believe what Tsukino did!
context: This is the return match sent from heaven!\New chance!\Arima.\What're you doing?\Nothing!\I'm home...\Sis, listen to this!\I can't believe what Tsukino did! response:	Who cares? It's over and done with.
context: New chance!\Arima.\What're you doing?\Nothing!\I'm home...\Sis, listen to this!\I can't believe what Tsukino did!\Who cares? It's over and done with. response:	Today, at school, right when I was in class...
context: Arima.\What're you doing?\Nothing!\I'm home...\Sis, listen to this!\I can't believe what Tsukino did!\Who cares? It's over and done with.\Today, at school, right when I was in class... response:	As an example, this goes like this, and after this, goes like this...
context: What're you doing?\Nothing!\I'm home...\Sis, listen to this!\I can't believe what Tsukino did!\Who cares? It's over and done with.\Today, at school, right when I was in class...\As an example, this goes like this, and after this, goes like this... response:	I really got yelled at!
context: Nothing!\I'm home...\Sis, listen to this!\I can't believe what Tsukino did!\Who cares? It's over and done with.\Today, at school, right when I was in class...\As an example, this goes like this, and after this, goes like this...\I really got yelled at! response:	Quit doing weird stuff like that to me!
context: I'm home...\Sis, listen to this!\I can't believe what Tsukino did!\Who cares? It's over and done with.\Today, at school, right when I was in class...\As an example, this goes like this, and after this, goes like this...\I really got yelled at!\Quit doing weird stuff like that to me! response:	Well, when I saw you,
context: Sis, listen to this!\I can't believe what Tsukino did!\Who cares? It's over and done with.\Today, at school, right when I was in class...\As an example, this goes like this, and after this, goes like this...\I really got yelled at!\Quit doing weird stuff like that to me!\Well, when I saw you, response:	I felt like I just had to make you laugh.
context: I can't believe what Tsukino did!\Who cares? It's over and done with.\Today, at school, right when I was in class...\As an example, this goes like this, and after this, goes like this...\I really got yelled at!\Quit doing weird stuff like that to me!\Well, when I saw you,\I felt like I just had to make you laugh. response:	It must be sisterly love.
context: Who cares? It's over and done with.\Today, at school, right when I was in class...\As an example, this goes like this, and after this, goes like this...\I really got yelled at!\Quit doing weird stuff like that to me!\Well, when I saw you,\I felt like I just had to make you laugh.\It must be sisterly love. response:	How so?!
context: Today, at school, right when I was in class...\As an example, this goes like this, and after this, goes like this...\I really got yelled at!\Quit doing weird stuff like that to me!\Well, when I saw you,\I felt like I just had to make you laugh.\It must be sisterly love.\How so?! response:	Sis, say something to her, would you?
context: As an example, this goes like this, and after this, goes like this...\I really got yelled at!\Quit doing weird stuff like that to me!\Well, when I saw you,\I felt like I just had to make you laugh.\It must be sisterly love.\How so?!\Sis, say something to her, would you? response:	You're lucky...
context: I really got yelled at!\Quit doing weird stuff like that to me!\Well, when I saw you,\I felt like I just had to make you laugh.\It must be sisterly love.\How so?!\Sis, say something to her, would you?\You're lucky... response:	Jr. High is so fun...
context: Quit doing weird stuff like that to me!\Well, when I saw you,\I felt like I just had to make you laugh.\It must be sisterly love.\How so?!\Sis, say something to her, would you?\You're lucky...\Jr. High is so fun... response:	Sis?
context: Well, when I saw you,\I felt like I just had to make you laugh.\It must be sisterly love.\How so?!\Sis, say something to her, would you?\You're lucky...\Jr. High is so fun...\Sis? response:	What's wrong?
context: I felt like I just had to make you laugh.\It must be sisterly love.\How so?!\Sis, say something to her, would you?\You're lucky...\Jr. High is so fun...\Sis?\What's wrong? response:	Lots of stuff happens to high schoolers...
context: It must be sisterly love.\How so?!\Sis, say something to her, would you?\You're lucky...\Jr. High is so fun...\Sis?\What's wrong?\Lots of stuff happens to high schoolers... response:	Oh, but you wouldn't get it.
context: How so?!\Sis, say something to her, would you?\You're lucky...\Jr. High is so fun...\Sis?\What's wrong?\Lots of stuff happens to high schoolers...\Oh, but you wouldn't get it. response:	Middle schoolers are so carefree...
context: Sis, say something to her, would you?\You're lucky...\Jr. High is so fun...\Sis?\What's wrong?\Lots of stuff happens to high schoolers...\Oh, but you wouldn't get it.\Middle schoolers are so carefree... response:	What's up with that holier-than-thou attitude?
context: You're lucky...\Jr. High is so fun...\Sis?\What's wrong?\Lots of stuff happens to high schoolers...\Oh, but you wouldn't get it.\Middle schoolers are so carefree...\What's up with that holier-than-thou attitude? response:	Oh, the usual.
context: Jr. High is so fun...\Sis?\What's wrong?\Lots of stuff happens to high schoolers...\Oh, but you wouldn't get it.\Middle schoolers are so carefree...\What's up with that holier-than-thou attitude?\Oh, the usual. response:	It has to do with Arima.
context: Sis?\What's wrong?\Lots of stuff happens to high schoolers...\Oh, but you wouldn't get it.\Middle schoolers are so carefree...\What's up with that holier-than-thou attitude?\Oh, the usual.\It has to do with Arima. response:	This is our sister
context: What's wrong?\Lots of stuff happens to high schoolers...\Oh, but you wouldn't get it.\Middle schoolers are so carefree...\What's up with that holier-than-thou attitude?\Oh, the usual.\It has to do with Arima.\This is our sister response:	we're talking about here.
context: Lots of stuff happens to high schoolers...\Oh, but you wouldn't get it.\Middle schoolers are so carefree...\What's up with that holier-than-thou attitude?\Oh, the usual.\It has to do with Arima.\This is our sister\we're talking about here. response:	She probably dug her own grave,...
context: Oh, but you wouldn't get it.\Middle schoolers are so carefree...\What's up with that holier-than-thou attitude?\Oh, the usual.\It has to do with Arima.\This is our sister\we're talking about here.\She probably dug her own grave,... response:	So hopeless.
context: Middle schoolers are so carefree...\What's up with that holier-than-thou attitude?\Oh, the usual.\It has to do with Arima.\This is our sister\we're talking about here.\She probably dug her own grave,...\So hopeless. response:	Kano, quit seeing through me!
context: What's up with that holier-than-thou attitude?\Oh, the usual.\It has to do with Arima.\This is our sister\we're talking about here.\She probably dug her own grave,...\So hopeless.\Kano, quit seeing through me! response:	It's times like these that
context: Oh, the usual.\It has to do with Arima.\This is our sister\we're talking about here.\She probably dug her own grave,...\So hopeless.\Kano, quit seeing through me!\It's times like these that response:	I realize how alone I am...
context: It has to do with Arima.\This is our sister\we're talking about here.\She probably dug her own grave,...\So hopeless.\Kano, quit seeing through me!\It's times like these that\I realize how alone I am... response:	besides my family.
context: This is our sister\we're talking about here.\She probably dug her own grave,...\So hopeless.\Kano, quit seeing through me!\It's times like these that\I realize how alone I am...\besides my family. response:	No one, besides Arima...
context: we're talking about here.\She probably dug her own grave,...\So hopeless.\Kano, quit seeing through me!\It's times like these that\I realize how alone I am...\besides my family.\No one, besides Arima... response:	But nothing's going to get done if I just mope around!
context: She probably dug her own grave,...\So hopeless.\Kano, quit seeing through me!\It's times like these that\I realize how alone I am...\besides my family.\No one, besides Arima...\But nothing's going to get done if I just mope around! response:	Let's's do this!
context: So hopeless.\Kano, quit seeing through me!\It's times like these that\I realize how alone I am...\besides my family.\No one, besides Arima...\But nothing's going to get done if I just mope around!\Let's's do this! response:	I shouldn't be blindly overconfident
context: Kano, quit seeing through me!\It's times like these that\I realize how alone I am...\besides my family.\No one, besides Arima...\But nothing's going to get done if I just mope around!\Let's's do this!\I shouldn't be blindly overconfident response:	about what I'm doing.
context: It's times like these that\I realize how alone I am...\besides my family.\No one, besides Arima...\But nothing's going to get done if I just mope around!\Let's's do this!\I shouldn't be blindly overconfident\about what I'm doing. response:	I have to think about this rationally.
context: I realize how alone I am...\besides my family.\No one, besides Arima...\But nothing's going to get done if I just mope around!\Let's's do this!\I shouldn't be blindly overconfident\about what I'm doing.\I have to think about this rationally. response:	Looking at my past failures...
context: besides my family.\No one, besides Arima...\But nothing's going to get done if I just mope around!\Let's's do this!\I shouldn't be blindly overconfident\about what I'm doing.\I have to think about this rationally.\Looking at my past failures... response:	It's possible that the cause of the failures until now...
context: No one, besides Arima...\But nothing's going to get done if I just mope around!\Let's's do this!\I shouldn't be blindly overconfident\about what I'm doing.\I have to think about this rationally.\Looking at my past failures...\It's possible that the cause of the failures until now... response:	If a direct attack doesn't work...
context: But nothing's going to get done if I just mope around!\Let's's do this!\I shouldn't be blindly overconfident\about what I'm doing.\I have to think about this rationally.\Looking at my past failures...\It's possible that the cause of the failures until now...\If a direct attack doesn't work... response:	through indirect means.
context: Let's's do this!\I shouldn't be blindly overconfident\about what I'm doing.\I have to think about this rationally.\Looking at my past failures...\It's possible that the cause of the failures until now...\If a direct attack doesn't work...\through indirect means. response:	This isn't going to work! This is way too embarrassing!
context: I shouldn't be blindly overconfident\about what I'm doing.\I have to think about this rationally.\Looking at my past failures...\It's possible that the cause of the failures until now...\If a direct attack doesn't work...\through indirect means.\This isn't going to work! This is way too embarrassing! response:	I don't have the talent for this kind of thing!
context: about what I'm doing.\I have to think about this rationally.\Looking at my past failures...\It's possible that the cause of the failures until now...\If a direct attack doesn't work...\through indirect means.\This isn't going to work! This is way too embarrassing!\I don't have the talent for this kind of thing! response:	This is pointless.
context: I have to think about this rationally.\Looking at my past failures...\It's possible that the cause of the failures until now...\If a direct attack doesn't work...\through indirect means.\This isn't going to work! This is way too embarrassing!\I don't have the talent for this kind of thing!\This is pointless. response:	I don't have any friends to tell him for me.
context: Looking at my past failures...\It's possible that the cause of the failures until now...\If a direct attack doesn't work...\through indirect means.\This isn't going to work! This is way too embarrassing!\I don't have the talent for this kind of thing!\This is pointless.\I don't have any friends to tell him for me. response:	Gulp.
context: It's possible that the cause of the failures until now...\If a direct attack doesn't work...\through indirect means.\This isn't going to work! This is way too embarrassing!\I don't have the talent for this kind of thing!\This is pointless.\I don't have any friends to tell him for me.\Gulp. response:	Sis......G...good luck.
context: If a direct attack doesn't work...\through indirect means.\This isn't going to work! This is way too embarrassing!\I don't have the talent for this kind of thing!\This is pointless.\I don't have any friends to tell him for me.\Gulp.\Sis......G...good luck. response:	I used to do everything so efficiently.
context: through indirect means.\This isn't going to work! This is way too embarrassing!\I don't have the talent for this kind of thing!\This is pointless.\I don't have any friends to tell him for me.\Gulp.\Sis......G...good luck.\I used to do everything so efficiently. response:	Why the sudden cowardice?
context: This isn't going to work! This is way too embarrassing!\I don't have the talent for this kind of thing!\This is pointless.\I don't have any friends to tell him for me.\Gulp.\Sis......G...good luck.\I used to do everything so efficiently.\Why the sudden cowardice? response:	This has never happened before...
context: I don't have the talent for this kind of thing!\This is pointless.\I don't have any friends to tell him for me.\Gulp.\Sis......G...good luck.\I used to do everything so efficiently.\Why the sudden cowardice?\This has never happened before... response:	We both like each other. And I want to tell him that.
context: This is pointless.\I don't have any friends to tell him for me.\Gulp.\Sis......G...good luck.\I used to do everything so efficiently.\Why the sudden cowardice?\This has never happened before...\We both like each other. And I want to tell him that. response:	Why isn't it working out?
context: I don't have any friends to tell him for me.\Gulp.\Sis......G...good luck.\I used to do everything so efficiently.\Why the sudden cowardice?\This has never happened before...\We both like each other. And I want to tell him that.\Why isn't it working out? response:	Miyazawa, can we leave the rest to you?
context: Gulp.\Sis......G...good luck.\I used to do everything so efficiently.\Why the sudden cowardice?\This has never happened before...\We both like each other. And I want to tell him that.\Why isn't it working out?\Miyazawa, can we leave the rest to you? response:	We have to go to prep school.
context: Sis......G...good luck.\I used to do everything so efficiently.\Why the sudden cowardice?\This has never happened before...\We both like each other. And I want to tell him that.\Why isn't it working out?\Miyazawa, can we leave the rest to you?\We have to go to prep school. response:	Sure.
context: I used to do everything so efficiently.\Why the sudden cowardice?\This has never happened before...\We both like each other. And I want to tell him that.\Why isn't it working out?\Miyazawa, can we leave the rest to you?\We have to go to prep school.\Sure. response:	What the heck am I doing?
context: Why the sudden cowardice?\This has never happened before...\We both like each other. And I want to tell him that.\Why isn't it working out?\Miyazawa, can we leave the rest to you?\We have to go to prep school.\Sure.\What the heck am I doing? response:	Darn! I'm just a breath away from enjoying a rose-colored love-love high school life!
context: This has never happened before...\We both like each other. And I want to tell him that.\Why isn't it working out?\Miyazawa, can we leave the rest to you?\We have to go to prep school.\Sure.\What the heck am I doing?\Darn! I'm just a breath away from enjoying a rose-colored love-love high school life! response:	Where's everyone else?
context: We both like each other. And I want to tell him that.\Why isn't it working out?\Miyazawa, can we leave the rest to you?\We have to go to prep school.\Sure.\What the heck am I doing?\Darn! I'm just a breath away from enjoying a rose-colored love-love high school life!\Where's everyone else? response:	They're all gone already. All that's left is clean up.
context: Why isn't it working out?\Miyazawa, can we leave the rest to you?\We have to go to prep school.\Sure.\What the heck am I doing?\Darn! I'm just a breath away from enjoying a rose-colored love-love high school life!\Where's everyone else?\They're all gone already. All that's left is clean up. response:	And I hurried over too, since practice ended early.
context: Miyazawa, can we leave the rest to you?\We have to go to prep school.\Sure.\What the heck am I doing?\Darn! I'm just a breath away from enjoying a rose-colored love-love high school life!\Where's everyone else?\They're all gone already. All that's left is clean up.\And I hurried over too, since practice ended early. response:	I'll help you.
context: We have to go to prep school.\Sure.\What the heck am I doing?\Darn! I'm just a breath away from enjoying a rose-colored love-love high school life!\Where's everyone else?\They're all gone already. All that's left is clean up.\And I hurried over too, since practice ended early.\I'll help you. response:	Oh, thanks.
context: Sure.\What the heck am I doing?\Darn! I'm just a breath away from enjoying a rose-colored love-love high school life!\Where's everyone else?\They're all gone already. All that's left is clean up.\And I hurried over too, since practice ended early.\I'll help you.\Oh, thanks. response:	Hey, we're all alone...
context: What the heck am I doing?\Darn! I'm just a breath away from enjoying a rose-colored love-love high school life!\Where's everyone else?\They're all gone already. All that's left is clean up.\And I hurried over too, since practice ended early.\I'll help you.\Oh, thanks.\Hey, we're all alone... response:	Oh, unexpectedly lucky!
context: Darn! I'm just a breath away from enjoying a rose-colored love-love high school life!\Where's everyone else?\They're all gone already. All that's left is clean up.\And I hurried over too, since practice ended early.\I'll help you.\Oh, thanks.\Hey, we're all alone...\Oh, unexpectedly lucky! response:	A surprise chance!
context: Where's everyone else?\They're all gone already. All that's left is clean up.\And I hurried over too, since practice ended early.\I'll help you.\Oh, thanks.\Hey, we're all alone...\Oh, unexpectedly lucky!\A surprise chance! response:	Oh, sorry. I'll pick it up.
context: They're all gone already. All that's left is clean up.\And I hurried over too, since practice ended early.\I'll help you.\Oh, thanks.\Hey, we're all alone...\Oh, unexpectedly lucky!\A surprise chance!\Oh, sorry. I'll pick it up. response:	That's okay.
context: And I hurried over too, since practice ended early.\I'll help you.\Oh, thanks.\Hey, we're all alone...\Oh, unexpectedly lucky!\A surprise chance!\Oh, sorry. I'll pick it up.\That's okay. response:	What do I do?
context: I'll help you.\Oh, thanks.\Hey, we're all alone...\Oh, unexpectedly lucky!\A surprise chance!\Oh, sorry. I'll pick it up.\That's okay.\What do I do? response:	He noticed. He saw me staring at him.
context: Oh, thanks.\Hey, we're all alone...\Oh, unexpectedly lucky!\A surprise chance!\Oh, sorry. I'll pick it up.\That's okay.\What do I do?\He noticed. He saw me staring at him. response:	Just like how I always do, and spit it out...
context: Hey, we're all alone...\Oh, unexpectedly lucky!\A surprise chance!\Oh, sorry. I'll pick it up.\That's okay.\What do I do?\He noticed. He saw me staring at him.\Just like how I always do, and spit it out... response:	Won't he think,
context: Oh, unexpectedly lucky!\A surprise chance!\Oh, sorry. I'll pick it up.\That's okay.\What do I do?\He noticed. He saw me staring at him.\Just like how I always do, and spit it out...\Won't he think, response:	Why now all of a sudden?
context: A surprise chance!\Oh, sorry. I'll pick it up.\That's okay.\What do I do?\He noticed. He saw me staring at him.\Just like how I always do, and spit it out...\Won't he think,\Why now all of a sudden? response:	But you didn't answer me then...
context: Oh, sorry. I'll pick it up.\That's okay.\What do I do?\He noticed. He saw me staring at him.\Just like how I always do, and spit it out...\Won't he think,\Why now all of a sudden?\But you didn't answer me then... response:	It's been several days already...
context: That's okay.\What do I do?\He noticed. He saw me staring at him.\Just like how I always do, and spit it out...\Won't he think,\Why now all of a sudden?\But you didn't answer me then...\It's been several days already... response:	Besides...
context: What do I do?\He noticed. He saw me staring at him.\Just like how I always do, and spit it out...\Won't he think,\Why now all of a sudden?\But you didn't answer me then...\It's been several days already...\Besides... response:	I don't know if he still likes me now.
context: He noticed. He saw me staring at him.\Just like how I always do, and spit it out...\Won't he think,\Why now all of a sudden?\But you didn't answer me then...\It's been several days already...\Besides...\I don't know if he still likes me now. response:	Th...that's right.
context: Just like how I always do, and spit it out...\Won't he think,\Why now all of a sudden?\But you didn't answer me then...\It's been several days already...\Besides...\I don't know if he still likes me now.\Th...that's right. response:	He might have liked me then,
context: Won't he think,\Why now all of a sudden?\But you didn't answer me then...\It's been several days already...\Besides...\I don't know if he still likes me now.\Th...that's right.\He might have liked me then, response:	but that doesn't mean he still likes me now, does it?
context: Why now all of a sudden?\But you didn't answer me then...\It's been several days already...\Besides...\I don't know if he still likes me now.\Th...that's right.\He might have liked me then,\but that doesn't mean he still likes me now, does it? response:	He might have gotten disillusioned.
context: But you didn't answer me then...\It's been several days already...\Besides...\I don't know if he still likes me now.\Th...that's right.\He might have liked me then,\but that doesn't mean he still likes me now, does it?\He might have gotten disillusioned. response:	I mean, just look at me.
context: It's been several days already...\Besides...\I don't know if he still likes me now.\Th...that's right.\He might have liked me then,\but that doesn't mean he still likes me now, does it?\He might have gotten disillusioned.\I mean, just look at me. response:	I might have gotten carried away and done something weird.
context: Besides...\I don't know if he still likes me now.\Th...that's right.\He might have liked me then,\but that doesn't mean he still likes me now, does it?\He might have gotten disillusioned.\I mean, just look at me.\I might have gotten carried away and done something weird. response:	I mean, I AM weird!
context: I don't know if he still likes me now.\Th...that's right.\He might have liked me then,\but that doesn't mean he still likes me now, does it?\He might have gotten disillusioned.\I mean, just look at me.\I might have gotten carried away and done something weird.\I mean, I AM weird! response:	I'm a showoff and a liar...
context: Th...that's right.\He might have liked me then,\but that doesn't mean he still likes me now, does it?\He might have gotten disillusioned.\I mean, just look at me.\I might have gotten carried away and done something weird.\I mean, I AM weird!\I'm a showoff and a liar... response:	I've got personality flaws!
context: He might have liked me then,\but that doesn't mean he still likes me now, does it?\He might have gotten disillusioned.\I mean, just look at me.\I might have gotten carried away and done something weird.\I mean, I AM weird!\I'm a showoff and a liar...\I've got personality flaws! response:	I'm not perfect like Arima...
context: but that doesn't mean he still likes me now, does it?\He might have gotten disillusioned.\I mean, just look at me.\I might have gotten carried away and done something weird.\I mean, I AM weird!\I'm a showoff and a liar...\I've got personality flaws!\I'm not perfect like Arima... response:	He may have said he liked me,
context: He might have gotten disillusioned.\I mean, just look at me.\I might have gotten carried away and done something weird.\I mean, I AM weird!\I'm a showoff and a liar...\I've got personality flaws!\I'm not perfect like Arima...\He may have said he liked me, response:	but I don't know how he could!
context: I mean, just look at me.\I might have gotten carried away and done something weird.\I mean, I AM weird!\I'm a showoff and a liar...\I've got personality flaws!\I'm not perfect like Arima...\He may have said he liked me,\but I don't know how he could! response:	I don't know a single
context: I might have gotten carried away and done something weird.\I mean, I AM weird!\I'm a showoff and a liar...\I've got personality flaws!\I'm not perfect like Arima...\He may have said he liked me,\but I don't know how he could!\I don't know a single response:	good thing about myself!
context: I mean, I AM weird!\I'm a showoff and a liar...\I've got personality flaws!\I'm not perfect like Arima...\He may have said he liked me,\but I don't know how he could!\I don't know a single\good thing about myself! response:	Miyazawa...? What's wrong?
context: I'm a showoff and a liar...\I've got personality flaws!\I'm not perfect like Arima...\He may have said he liked me,\but I don't know how he could!\I don't know a single\good thing about myself!\Miyazawa...? What's wrong? response:	Nothing...This is fine!
context: I've got personality flaws!\I'm not perfect like Arima...\He may have said he liked me,\but I don't know how he could!\I don't know a single\good thing about myself!\Miyazawa...? What's wrong?\Nothing...This is fine! response:	Just being friends is good enough! Being a girlfriend isn't everything!
context: I'm not perfect like Arima...\He may have said he liked me,\but I don't know how he could!\I don't know a single\good thing about myself!\Miyazawa...? What's wrong?\Nothing...This is fine!\Just being friends is good enough! Being a girlfriend isn't everything! response:	I'm okay with just being friends!
context: He may have said he liked me,\but I don't know how he could!\I don't know a single\good thing about myself!\Miyazawa...? What's wrong?\Nothing...This is fine!\Just being friends is good enough! Being a girlfriend isn't everything!\I'm okay with just being friends! response:	Because...I may lose my only friend...
context: but I don't know how he could!\I don't know a single\good thing about myself!\Miyazawa...? What's wrong?\Nothing...This is fine!\Just being friends is good enough! Being a girlfriend isn't everything!\I'm okay with just being friends!\Because...I may lose my only friend... response:	Say, Miyazawa.
context: I don't know a single\good thing about myself!\Miyazawa...? What's wrong?\Nothing...This is fine!\Just being friends is good enough! Being a girlfriend isn't everything!\I'm okay with just being friends!\Because...I may lose my only friend...\Say, Miyazawa. response:	You haven't told me your feelings yet.
context: good thing about myself!\Miyazawa...? What's wrong?\Nothing...This is fine!\Just being friends is good enough! Being a girlfriend isn't everything!\I'm okay with just being friends!\Because...I may lose my only friend...\Say, Miyazawa.\You haven't told me your feelings yet. response:	When could you give me an answer?
context: Miyazawa...? What's wrong?\Nothing...This is fine!\Just being friends is good enough! Being a girlfriend isn't everything!\I'm okay with just being friends!\Because...I may lose my only friend...\Say, Miyazawa.\You haven't told me your feelings yet.\When could you give me an answer? response:	What?
context: Nothing...This is fine!\Just being friends is good enough! Being a girlfriend isn't everything!\I'm okay with just being friends!\Because...I may lose my only friend...\Say, Miyazawa.\You haven't told me your feelings yet.\When could you give me an answer?\What? response:	I'm okay with just being friends!
context: Just being friends is good enough! Being a girlfriend isn't everything!\I'm okay with just being friends!\Because...I may lose my only friend...\Say, Miyazawa.\You haven't told me your feelings yet.\When could you give me an answer?\What?\I'm okay with just being friends! response:	He might have liked me then...
context: I'm okay with just being friends!\Because...I may lose my only friend...\Say, Miyazawa.\You haven't told me your feelings yet.\When could you give me an answer?\What?\I'm okay with just being friends!\He might have liked me then... response:	That doesn't mean he
context: Because...I may lose my only friend...\Say, Miyazawa.\You haven't told me your feelings yet.\When could you give me an answer?\What?\I'm okay with just being friends!\He might have liked me then...\That doesn't mean he response:	still likes me now!
context: Say, Miyazawa.\You haven't told me your feelings yet.\When could you give me an answer?\What?\I'm okay with just being friends!\He might have liked me then...\That doesn't mean he\still likes me now! response:	I'm fine with just being friends!
context: You haven't told me your feelings yet.\When could you give me an answer?\What?\I'm okay with just being friends!\He might have liked me then...\That doesn't mean he\still likes me now!\I'm fine with just being friends! response:	I don't want to lose him!
context: When could you give me an answer?\What?\I'm okay with just being friends!\He might have liked me then...\That doesn't mean he\still likes me now!\I'm fine with just being friends!\I don't want to lose him! response:	I must look really ugly right now.
context: What?\I'm okay with just being friends!\He might have liked me then...\That doesn't mean he\still likes me now!\I'm fine with just being friends!\I don't want to lose him!\I must look really ugly right now. response:	I finally figured out
context: I'm okay with just being friends!\He might have liked me then...\That doesn't mean he\still likes me now!\I'm fine with just being friends!\I don't want to lose him!\I must look really ugly right now.\I finally figured out response:	what's been motivating me.
context: He might have liked me then...\That doesn't mean he\still likes me now!\I'm fine with just being friends!\I don't want to lose him!\I must look really ugly right now.\I finally figured out\what's been motivating me. response:	I was running away.
context: That doesn't mean he\still likes me now!\I'm fine with just being friends!\I don't want to lose him!\I must look really ugly right now.\I finally figured out\what's been motivating me.\I was running away. response:	I'm so unfair...
context: still likes me now!\I'm fine with just being friends!\I don't want to lose him!\I must look really ugly right now.\I finally figured out\what's been motivating me.\I was running away.\I'm so unfair... response:	I ran away to keep myself from getting hurt.
context: I'm fine with just being friends!\I don't want to lose him!\I must look really ugly right now.\I finally figured out\what's been motivating me.\I was running away.\I'm so unfair...\I ran away to keep myself from getting hurt. response:	I didn't have faith in Arima.
context: I don't want to lose him!\I must look really ugly right now.\I finally figured out\what's been motivating me.\I was running away.\I'm so unfair...\I ran away to keep myself from getting hurt.\I didn't have faith in Arima. response:	Now that I think about it, I might not have even...
context: I must look really ugly right now.\I finally figured out\what's been motivating me.\I was running away.\I'm so unfair...\I ran away to keep myself from getting hurt.\I didn't have faith in Arima.\Now that I think about it, I might not have even... response:	tried to tell him I liked him.
context: I finally figured out\what's been motivating me.\I was running away.\I'm so unfair...\I ran away to keep myself from getting hurt.\I didn't have faith in Arima.\Now that I think about it, I might not have even...\tried to tell him I liked him. response:	Why am I like this? I'm so ashamed...What should I do?
